[00:00:24.116 --> 00:00:25.017]  I'm Alex Jones.
[00:24:37.417 --> 00:24:44.579]  And for anyone to use that for keeping track of people, I think that's just really creepy actually.
[00:24:45.699 --> 00:24:46.899]  I don't feel comfortable with that.
[00:24:47.079 --> 00:24:47.900]  It's incredible.
[00:24:48.200 --> 00:24:54.161]  Internet kill switches, cyber security, the takeover of the web, warrantless wiretapping.
[00:24:54.542 --> 00:24:57.542]  This is America 10 years after 9-11.
[00:24:57.902 --> 00:25:00.563]  And it has nothing to do with keeping us safe.
[00:25:01.163 --> 00:25:06.645]  Zuckerman, the owner of Facebook, insultingly called his own users dumb F's.
[00:25:07.105 --> 00:25:13.872]  But worst of all, once you've posted your photos and your personal data on Facebook, they say they own it forever.
[00:25:14.312 --> 00:25:17.255]  You can make your account private, but it's always there.
[00:25:17.615 --> 00:25:18.456]  They're using it.
[00:25:18.877 --> 00:25:23.781]  Social networks like Twitter, Facebook, and all of it, they have deep government ties.
[00:25:24.522 --> 00:25:30.007]  Google was set up with funding from In-Q-Tel, a company whose main client is the CIA.
[00:25:31.443 --> 00:25:38.206]  As Wayne Madsen reports, the CIA has always used the popular media of the day to push their propaganda.
[00:25:38.726 --> 00:25:42.728]  And today we see Facebook expanding their face recognition capabilities.
[00:25:43.388 --> 00:25:46.050]  I'm Darren McBreen for InfoWars Nightly News.
[00:25:51.152 --> 00:25:52.613]  The American Dream.
[00:25:53.873 --> 00:25:55.834]  There's a reason they call it a dream.
[00:25:56.634 --> 00:25:57.955]  Who's there?
[00:25:58.775 --> 00:26:00.136]  Cock-a-doodle-doo, pal.
[00:26:05.485 --> 00:26:07.146]  No, no, no, no, no!
[00:26:07.166 --> 00:26:08.927]  I don't have any more money!
[00:26:09.607 --> 00:26:11.008]  My job sucks right now!
[00:26:11.048 --> 00:26:11.669]  Please!
[00:26:11.749 --> 00:26:13.230]  I'll have more money next month!
[00:26:15.011 --> 00:26:16.572]  You can't take my house!
[00:26:16.952 --> 00:26:17.973]  Is that your signature?
[00:26:18.153 --> 00:26:20.815]  It is a private bank, owned by private stockholders.
[00:26:21.275 --> 00:26:22.476]  A private bank?
[00:26:22.636 --> 00:26:24.597]  Do not let the name Federal fool you.
[00:26:24.817 --> 00:26:31.842]  If I got this money from the bank, and the bank got it from the Federal Reserve dump trucks, where does the Federal Reserve get their money?
[00:26:43.848 --> 00:26:47.455]  They take our property away from us, just like Thomas Jefferson said they would.
[00:26:47.895 --> 00:26:49.859]  Those sons of bitches!
[00:26:51.302 --> 00:26:53.586]  It's the greatest theft in human history.
[00:27:22.918 --> 00:27:23.518]  Welcome back.
[00:27:23.578 --> 00:27:28.960]  It's InfoWars Nightly News on this Tuesday, September 13th, 2011 edition.
[00:27:29.320 --> 00:27:36.662]  The Health Ranger, Mike Adams, is going to be joining us in a moment to break down some of the stories that we're about to start covering here.
[00:27:37.122 --> 00:27:39.343]  First off, we've got some good news.
[00:27:39.843 --> 00:27:44.224]  TSA creator says dismantle, privatize the agency.
[00:27:44.864 --> 00:27:59.091]  We'll be talking more about that with Mike Adams, this out of Human Events, another victory showing no matter how much propaganda and how arrogant and hubris filled the social controllers are, they will not break our will.
[00:27:59.131 --> 00:28:02.092]  When we fight back, we can take back our society.
[00:28:02.812 --> 00:28:05.353]  Also, we're going to talk to Mike about another victory.
[00:28:06.054 --> 00:28:12.517]  Rick Perry is being attacked in every single debate he's in about trying to lie and force
[00:28:13.177 --> 00:28:20.621]  Texas schoolgirls to take a dangerous vaccine linked to many deaths and illnesses and other complications during the trials.
[00:28:20.981 --> 00:28:23.862]  There were even more deaths once he tried to mandate it.
[00:28:24.283 --> 00:28:28.185]  And so he's being torn up in the debates and more good news is coming out.
[00:28:29.445 --> 00:28:31.585]  As all the candidates basically turn against him.
[00:28:31.926 --> 00:28:38.567]  Showing that our ideas that were laughed at four or five years ago when they were causing deaths in the trials are now becoming mainstream.
[00:28:38.827 --> 00:28:40.647]  Because we have facts and the truth on our side.
[00:28:41.067 --> 00:28:46.228]  It's also coming out that Merck paid legislators to pass a mandatory Gardasil vaccine bill.
[00:28:46.728 --> 00:28:50.029]  And the numbers have come out what they paid for the yes votes.
[00:28:50.509 --> 00:28:56.630]  We're talking two thousand to three thousand dollars per person in the California legislature
[00:28:57.330 --> 00:29:06.253]  A sum as low as just a thousand dollars to do this when they make over five hundred dollars for the three rounds of shots.
[00:29:06.853 --> 00:29:18.657]  So, you invest a couple hundred thousand dollars to buy all the legislatures off in a state of legislators and then you get hundreds of millions if not billions per state by having them mandated.
[00:29:19.017 --> 00:29:21.698]  Also, Sanevax Inc.
[00:29:22.378 --> 00:29:24.519]  reports that they found human papilloma
[00:29:25.547 --> 00:29:34.093]  RNA and DNA contamination in Gardasil to now have a FDA investigation.
[00:29:34.133 --> 00:29:38.216]  They are requesting that that happen, and that's out on the business wire today.
[00:29:38.296 --> 00:29:39.517]  So we're on the march.
[00:29:39.557 --> 00:29:41.258]  The empire is on the run.
[00:29:41.639 --> 00:29:53.888]  But the first reason I've got Mike Adams joining us tonight here at InfoWars Nightly News, seven o'clock weeknights here at PrisonPlanet.tv, is to get into this report.
[00:29:54.608 --> 00:30:04.334]  Because I read the whole thing this morning and we posted it on InfoWars.com as well as first finding it at NaturalNews.com and I found the research was really spot on for my own research.
[00:30:04.794 --> 00:30:18.902]  NASA's come out, the military, the Pentagon has come out, big corporations have come out, and they say the biggest national security threat to this country and the rest of the world right now is solar flares.
[00:30:19.443 --> 00:30:22.645]  The sun was really active a decade ago, it went somewhat dormant,
[00:30:23.698 --> 00:30:52.010]  and now is back with a vengeance and these are solar flares tens of millions of miles long thousands of times bigger than the earth and already just a few weeks ago we had major cities on the west coast with no power because of it and they say even bigger ones are coming and so this is a huge event and the reason it's so important from my perspective is the system has got us so afraid of terrorists whether it's real or manufactured and
[00:30:53.117 --> 00:31:01.841]  You've got a better chance of dying by being struck by lightning, by even shark attack, honeybee attack, snake bite, than you do being killed by terrorists.
[00:31:01.861 --> 00:31:07.024]  So why is there all this, oh my gosh, we've got to have checkpoints everywhere and search everybody or al-Qaeda is going to kill us.
[00:31:07.404 --> 00:31:09.985]  Since when do we become land of the cowards, home of the slaves?
[00:31:10.745 --> 00:31:15.468]  You know, old timers knew, don't be a coward because when your time comes, son, nobody can stop it.
[00:31:15.908 --> 00:31:18.229]  A solar flare could burn this planet to a crisp.
[00:31:19.244 --> 00:31:22.128]  But statistically, that's probably not what's going to happen, thank God.
[00:31:22.448 --> 00:31:33.463]  Statistically, it could cause electromagnetic pulse, much more powerful than any weapons system, and knock out every nuclear reactor on the planet, or on the side of the planet facing the sun.
[00:31:34.244 --> 00:31:36.866]  That's in daylight when the flare hits.
[00:31:37.387 --> 00:31:44.753]  And we already saw a big weapons plant that was mixing uranium and plutonium in France explode yesterday.
[00:31:45.074 --> 00:31:47.335]  They said, don't worry, there's no radiation, but there were some deaths.
[00:31:47.776 --> 00:31:49.818]  Just like they lied to us for several months.
[00:31:50.738 --> 00:31:51.299]  Remember that?
[00:31:51.859 --> 00:31:57.064]  They lied to us for more than three months, saying there's no high radiation, there's been no meltdowns.
[00:31:57.364 --> 00:31:58.505]  Turns out five of the six
[00:31:59.426 --> 00:32:04.069]  Reactors in Japan at Fukushima completely melted down.
[00:32:04.429 --> 00:32:13.895]  I knew that three days in when reactor number three with MOX fuel, plutonium, blew up and I blew up the video and saw what looked like rods.
[00:32:14.175 --> 00:32:22.240]  I went and looked at the manufacturer of that 40-year-old General Electric system and learned that that was a rod casing, not just from the rods stored on top,
[00:32:22.600 --> 00:32:23.700]  But internal rods.
[00:32:23.800 --> 00:32:25.321]  It completely blew sky high.
[00:32:25.641 --> 00:32:27.981]  They knew the isotopes showed there'd been a total meltdown.
[00:32:28.241 --> 00:32:31.162]  The biggest disaster in human history with nuclear systems.
[00:32:31.642 --> 00:32:35.823]  And our government's answer was raise the levels of what they say is safe radiation.
[00:32:36.043 --> 00:32:38.844]  So that's my commentary on the situation.
[00:32:39.204 --> 00:32:42.304]  Now to go through it all is just a great patriot.
[00:32:42.624 --> 00:32:45.385]  Somebody who is just doing so much wonderful work.
[00:32:45.945 --> 00:32:53.671]  Out of all the great people out there fighting corruption, I've got to say Mike Adams is right up there at the top from Natural News, of course.
[00:32:53.931 --> 00:32:56.473]  He is the health ranger, and we're going to go through all of this.
[00:32:56.834 --> 00:33:02.398]  The solar flares, the vaccines, the TSA, and the fact that he narrowly has survived.
[00:33:02.678 --> 00:33:06.461]  You're talking just 100 yards away, helicopters dumping, putting out fires.
[00:33:06.521 --> 00:33:12.206]  So he can't be in studio because he's still got the fires at bay as he lives outside Austin, ravaged.
[00:33:12.266 --> 00:33:13.767]  Mike Adams, great to have you here with us.
[00:33:14.347 --> 00:33:15.528]  Alex, great to be joining you.
[00:33:15.548 --> 00:33:16.408]  Thanks for having me on.
[00:33:17.709 --> 00:33:19.490]  Mike, I've thrown out all these issues.
[00:33:19.550 --> 00:33:20.690]  What do you want to tackle first?
[00:33:21.451 --> 00:33:23.011]  Well, let's talk about the solar flares.
[00:33:23.151 --> 00:33:27.734]  And now segueing from the fires of Central Texas, which were quite devastating.
[00:33:28.474 --> 00:33:33.216]  You know, I'm into personal preparedness, as you are, and most of your listeners are.
[00:33:33.676 --> 00:33:37.718]  But when those fires hit, I realized I had a huge gap in my preparedness plan.
[00:33:38.099 --> 00:33:40.800]  I did not have a fire respirator and fire gear.
[00:33:41.340 --> 00:33:51.968]  So I immediately made sure that I had that covered and then so I actually ordered products and got them in and now I can actually fight fires to some degree that are in my front yard if I have to.
[00:33:52.508 --> 00:33:57.291]  But then I also began to ask questions, where else do I have gaps in personal preparedness?
[00:33:57.692 --> 00:34:05.197]  What are the real risks to safety, to growing food, to surviving on our planet?
[00:34:05.877 --> 00:34:08.860]  You hinted at this, one of the things that the US government does
[00:34:09.560 --> 00:34:25.871]  just maliciously and and insidiously is the they make people think that things that are dangerous are very very dangerous like so-called terrorism and then at the same time they ignore the things that are really dangerous and make them seem like they're not dangerous at all
[00:34:26.371 --> 00:34:27.853]  Like Fukushima, for example.
[00:34:28.173 --> 00:34:34.721]  Or now, what is theoretically a big risk of a... I should say a big risk in our lifetime.
[00:34:34.961 --> 00:34:38.285]  Not today, not tomorrow, but over a human lifetime.
[00:34:38.585 --> 00:34:43.230]  It's a very real risk that a solar flare could knock out the power grid.
[00:34:43.971 --> 00:34:55.135]  And it could knock it out for years in some places, and it could disconnect power from the nuclear facilities that are trying to run coolant pumps to keep their fuel rods from going into a meltdown status.
[00:34:55.155 --> 00:34:56.176]  That's right, Mike.
[00:34:56.216 --> 00:35:00.177]  We are such a dependent society now, and technology's great, but it's a double-edged sword.
[00:35:00.658 --> 00:35:01.078]  It took
[00:35:01.858 --> 00:35:04.460]  Eighty years or more to build our modern system.
[00:35:04.741 --> 00:35:11.567]  And when a little tornado comes through, or a hurricane, you can have places out for three, four months, and it's a national effort to get it back up.
[00:35:11.947 --> 00:35:19.494]  But if you have widespread systems knocked out, then it causes a cascading where you're literally knocked back to the Stone Age.
[00:35:19.514 --> 00:35:20.034]  And you're right.
[00:35:20.495 --> 00:35:27.922]  They estimate, because they've been studying the sun for more than 300 years in a modern scientific fashion, that these solar flares are a hundred year event.
[00:35:28.502 --> 00:35:32.483]  The problem is, it appears we're entering one of those in the next decade.
[00:35:32.724 --> 00:35:39.006]  So you're right, it's a once-in-a-lifetime deal, but we're here, and a hundred years ago, we didn't have these systems to be knocked out.
[00:35:39.026 --> 00:35:47.749]  But if you go back a hundred years ago, there were events with solar flares that did blow out some of the early cities, that did have electrical systems, and it's happening now.
[00:35:48.009 --> 00:35:49.510]  And it's not just you saying this.
[00:35:50.532 --> 00:35:51.112]  No, not at all.
[00:35:51.212 --> 00:35:53.953]  NASA has put out information about this.
[00:35:54.414 --> 00:36:08.059]  Oak Ridge National Laboratory has actually calculated the risk of a large solar flare knocking out a nuclear facility, and it calculated that risk as being 33% over the 40-year lifetime of a typical nuclear power plant.
[00:36:08.439 --> 00:36:15.444]  So that's a one-third or 33 in 100 chance for every nuclear facility that exists out there.
[00:36:15.845 --> 00:36:24.671]  But the really, well, you could say good news or bad news is that these events, and the last big one was called the Carrington event in 1859.
[00:36:25.091 --> 00:36:32.417]  So that's pre-modern technology, that's pre-electrical grid for the most part, and that's pre-nuclear power plants all over the country.
[00:36:32.797 --> 00:36:37.221]  Domain wash lines outside in some areas literally light up with electricity.
[00:36:38.021 --> 00:36:38.562]  Exactly!
[00:36:38.622 --> 00:36:43.806]  They had telegraph lines and power surged through the telegraph lines and actually lit up.
[00:36:43.846 --> 00:36:50.531]  And they could disconnect their batteries and they could still send telegraphs in some areas because there was so much power surging through these lines.
[00:36:50.971 --> 00:37:00.979]  But modern civilization, with its reliance on nuclear power, and there are well over 400 nuclear power plants operating every day around the world,
[00:37:02.080 --> 00:37:10.204]  This system has never faced a Carrington-scale event, a solar flare, that could wipe out the power grid.
[00:37:10.424 --> 00:37:23.890]  And underwriting laboratories, Oak Ridge, and other systems that carry out these inspections, from my research, they've never even called for electronics and things to be even somewhat shielded.
[00:37:24.351 --> 00:37:30.774]  I mean, the establishment has known, at least in the last 50-60 years, about this electromagnetic pulse and
[00:37:31.554 --> 00:37:36.839]  Other things that the sun can cause, and they've made no preparation except in their systems.
[00:37:37.660 --> 00:37:48.549]  And this is almost like a nuclear war level type crisis, because we've got 7 billion people, more than half of them totally urban and dependent on technology.
[00:37:48.950 --> 00:37:53.494]  And if we were to have even a partial knockout, I mean, this is catastrophic.
[00:37:53.894 --> 00:37:58.357]  Well, yeah, and it's not just losing electricity and losing the satellites and losing the power grid.
[00:37:58.637 --> 00:38:20.531]  It's the fact that hundreds of nuclear power plants could then go into a meltdown situation and unleash Fukushima-scale events times hundreds, which would irradiate the soils, irradiate the oceans, irradiate the atmosphere, and it would make human life on our planet virtually unlivable for perhaps a year, perhaps a couple of years.
[00:38:20.711 --> 00:38:24.293]  Exactly, that's why I called it as bad as a nuclear war, not being clear.
[00:38:24.313 --> 00:38:25.154]  You're absolutely right.
[00:38:25.474 --> 00:38:30.597]  Now, and the government admits this themselves, and major corporations, and you source it all in your article.
[00:38:30.857 --> 00:38:32.798]  You're not speculating here.
[00:38:33.378 --> 00:38:39.642]  Why do you think there's this irrational chutzpah or bravado in the establishment?
[00:38:39.662 --> 00:38:43.885]  I mean, even after Fukushima has been for six months raining radiation down,
[00:38:44.645 --> 00:38:51.252]  California as far east as Vermont, many levels higher in isotopes, in milk, in lettuce.
[00:38:51.713 --> 00:39:00.202]  And their answer was, we'll just raise the isotope between a thousand times and a hundred thousand times, depending on what isotope, and just wave a wand and say it's safe.
[00:39:00.622 --> 00:39:06.268]  So do they really believe if they just say, reactor's exploding and radiating us, if they just wave it?
[00:39:06.889 --> 00:39:08.389]  And say everything's fine?
[00:39:08.429 --> 00:39:10.070]  I mean, I'm all into technology.
[00:39:10.450 --> 00:39:15.711]  And I know they even have a lot of cleaner, safer nuclear technologies, but there's no attempt to move to those.
[00:39:15.951 --> 00:39:18.152]  They're building more of the old designs.
[00:39:18.512 --> 00:39:20.292]  I mean, what's wrong with these people?
[00:39:20.513 --> 00:39:25.714]  With the GMO, with the nuclear weapons, with all of it, it's like they want to destroy us.
[00:39:26.690 --> 00:39:27.571]  Well, you're exactly right.
[00:39:27.591 --> 00:39:40.780]  There are nuclear power designs that can passively cool the fissionable materials without using electric pumps, but those designs have not been incorporated widely, or at all, actually.
[00:39:41.161 --> 00:39:43.182]  So that has been abandoned.
[00:39:43.202 --> 00:39:48.486]  Instead, they favor the general electric designs that require more pumps and more maintenance and more upkeep.
[00:39:48.846 --> 00:39:56.733]  But overall, there is an inherent arrogance in the scientific community, not only when it comes to nuclear power, but also medicine.
[00:39:57.313 --> 00:40:03.299]  There's an arrogance about vaccines, that vaccines have to work, and they must work, because we say they do, not because of any evidence.
[00:40:03.319 --> 00:40:03.539]  It's a cult!
[00:40:03.579 --> 00:40:10.265]  I mean, doctors have one of the highest suicide rates, they have one of the lowest life expectancies, it's the same with top scientists.
[00:40:10.585 --> 00:40:16.050]  You meet these people, and they're usually neurotic, and literally think they're geniuses,
[00:40:16.630 --> 00:40:19.832]  And when you talk to them, they're only smart in a specialized area.
[00:40:20.072 --> 00:40:21.232]  They don't have general knowledge.
[00:40:21.452 --> 00:40:25.514]  Now, I meet other scientists and people that have general knowledge, and they're tuned in and awake.
[00:40:25.855 --> 00:40:32.378]  But it seems like the establishment goes for this centralized type, arrogant, know-it-all person.
[00:40:33.258 --> 00:40:37.020]  Yeah, that's exactly what's out there, and that's what's dominated the vaccine industry.
[00:40:37.540 --> 00:40:40.681]  That is what has dominated even the energy industries.
[00:40:40.701 --> 00:40:48.985]  You know, science has a lot of promise, but it has also given us, sadly, a lot of circle-the-wagon, circular logic.
[00:40:49.465 --> 00:40:58.870]  The self-supporting scientists who abandon ideas that should really be able to help us, such as, for example, free energy technology, which I believe exists.
[00:40:59.070 --> 00:40:59.610]  We know cold
[00:40:59.990 --> 00:41:01.672]  Or even regular off-the-grid.
[00:41:01.973 --> 00:41:04.716]  They won't come and inspect and give you the permit in most states.
[00:41:05.557 --> 00:41:07.619]  If you have your own off-the-grid, they'll harass you.
[00:41:07.900 --> 00:41:11.144]  But, oh, everything's government-paid for if you tie into the grid.
[00:41:12.105 --> 00:41:15.729]  Well, now you're still part of the grid, and I think that's one of the big drivers.
[00:41:15.769 --> 00:41:18.392]  There's a lot of reasons here, but I want your take on this, and we'll get into other issues.
[00:41:19.053 --> 00:41:25.936]  Because big corporations, and I'm all for free market, but these are monopoly men, invest in different technological ideas.
[00:41:26.636 --> 00:41:34.719]  Once they invest in it, there can't ever be any oversight, they can't ever admit dangers, because now it's seen simply as a product.
[00:41:35.100 --> 00:41:43.223]  Well that's right, and what's really astonishing is that by running our world on these dangerous nuclear power designs,
[00:41:43.883 --> 00:41:47.366]  They're putting human civilization in grave danger.
[00:41:47.627 --> 00:41:48.768]  They're risking everything.
[00:41:48.828 --> 00:41:54.853]  They're risking the future of human life on our planet in order to protect their corporate profits in the nuclear power industry.
[00:41:55.334 --> 00:41:56.415]  We need to dismantle.
[00:41:56.455 --> 00:42:01.199]  I mean, look, I've never been an opponent of nuclear power just to be an opponent of it.
[00:42:01.459 --> 00:42:05.983]  But now understanding this risk of a solar flare and how it could cascade into the power systems
[00:42:06.764 --> 00:42:15.770]  I think we must really look at changing nuclear power to a passive cooling design or dismantling the existing power structure.
[00:42:15.810 --> 00:42:19.272]  Look, look, look, this is a 1940s type system.
[00:42:19.973 --> 00:42:21.394]  It's extremely dangerous.
[00:42:22.314 --> 00:42:27.019]  It's a huge industry now in nuclear weapons and the rest of it.
[00:42:27.079 --> 00:42:29.281]  That's why they go with the old reactor systems.
[00:42:29.681 --> 00:42:32.784]  It's so they get fissile material to build more weapons.
[00:42:32.804 --> 00:42:33.225]  That's right.
[00:42:33.685 --> 00:42:35.787]  And they're destroying our entire future.
[00:42:36.007 --> 00:42:42.954]  You know, Dr. Busby, who advises the EU and the British government, he said a lot of his colleagues think they're doing all this to reduce fertility.
[00:42:43.354 --> 00:42:51.758]  Because they know fertility has plunged everywhere where you have nuclear reactors and also the development of the fuel.
[00:42:52.478 --> 00:42:55.120]  And so this is all part of a larger eugenics operation.
[00:42:55.860 --> 00:43:12.008]  It's clear now with the disaster in the last year, yesterday in France, the disaster in Canada, they got no attention, the 50s disaster in Simi Valley that was bigger than Chernobyl that was covered up, Chernobyl, Fukushima, and government then trying to lie, getting caught
[00:43:12.808 --> 00:43:15.550]  And no one even gets in trouble, at least the Japanese resigned.
[00:43:15.810 --> 00:43:17.771]  Here they would be promoted like 9-11.
[00:43:18.231 --> 00:43:19.772]  It's time to get rid of nuclear power.
[00:43:20.172 --> 00:43:21.473]  It's time to get it out of the ships.
[00:43:21.713 --> 00:43:22.293]  I totally agree.
[00:43:22.313 --> 00:43:22.814]  The boats.
[00:43:23.174 --> 00:43:24.555]  It's time to get it out of the subs.
[00:43:24.955 --> 00:43:27.176]  Look, they've got two reactors in Austin.
[00:43:27.696 --> 00:43:33.880]  And they're so good at keeping it quiet, I tell people at cocktail parties and they laugh at me saying, I would have heard.
[00:43:34.080 --> 00:43:35.460]  They're both up at the J.J.
[00:43:35.501 --> 00:43:37.462]  Pickle Center in North Austin.
[00:43:37.682 --> 00:43:39.343]  They're both dangerous research
[00:43:40.163 --> 00:44:01.117]  And for folks that don't know about nuclear power, that means they're turning them on and off all the time, they're doing tests up there, and they've got research reactors all over the country, they've got level 4 bio-weapons labs, with stuff that will kill all humans it comes in contact with, that makes airborne Ebola look like child's play, in hundreds of facilities, in level 2 and level 3 containment.
[00:44:01.377 --> 00:44:10.043]  Again, it's like the corporate whores that run things have a death wish, and they want me to be scared of men with beards and turbans, and I'm sick of it!
[00:44:11.264 --> 00:44:29.073]  Well, I'm glad you mentioned the biohazards because if you come down to it, Alex, I think the top three greatest threats to the continuation of life on our planet, human life in particular, are number one, the solar flares wiping out modern civilization through the scenario we just described.
[00:44:29.453 --> 00:44:33.776]  Number two is GMOs and the genetic engineering and the DNA contamination of our planet.
[00:44:34.136 --> 00:44:37.798]  And number three is the bioweapons, the possible release
[00:44:38.058 --> 00:44:45.183]  Accidental or intentional of infectious disease, you know, level 4 bioweapons that devastate human populations.
[00:44:45.483 --> 00:44:47.164]  So those three are the big three.
[00:44:47.224 --> 00:44:49.766]  Again, solar flares, GMOs, and bioweapons.
[00:44:50.146 --> 00:44:53.028]  And each one of those could destroy human civilization.
[00:44:53.328 --> 00:45:03.215]  In combination, we are really at risk and we need to take action to stop these death worshippers from having such control over our planet.
[00:45:04.793 --> 00:45:12.339]  Well, Mike, Mike, looking at this information, now we've got a few minutes left here on InfoWars Nightly News.
[00:45:12.359 --> 00:45:17.263]  We normally just interview a guest for 10 minutes, but your information is so important, we could talk to you for hours.
[00:45:18.304 --> 00:45:28.192]  What do you make of the fact that Rick Perry's being excoriated for his attempted forced inoculation of schoolgirls with the admittedly deadly Gardasil?
[00:45:28.872 --> 00:45:35.614]  And the fact that more and more it's coming out that Mark is buying off legislatures to then try to force people to take stuff.
[00:45:35.654 --> 00:45:39.896]  I mean this is the ultimate tyranny here, the ultimate civil rights issue.
[00:45:40.296 --> 00:45:45.157]  Yeah, well it also shows the ultimate victory that we are achieving.
[00:45:45.177 --> 00:45:51.339]  InfoWars, Prison Planet, you Alex, what an impact you're having and Matt Drudge as well.
[00:45:51.680 --> 00:45:55.681]  Because this issue is now, it has now become an attack point
[00:45:56.201 --> 00:46:12.824]  On Rick Perry, whereas several years ago, I think it was 2007 or 2008, when both InfoWars and Natural News first wrote about this issue, we were the lone voices in the wilderness criticizing Rick Perry for Gardasil vaccines, and people criticized us!
[00:46:12.884 --> 00:46:20.266]  They said, oh no, all these teenage girls, they have to be protected, they have to be made safe, and these vaccines are the best thing in the world.
[00:46:20.706 --> 00:46:22.487]  Well, that tide has turned.
[00:46:22.807 --> 00:46:24.167]  And now it's an attack point.
[00:46:24.567 --> 00:46:30.990]  It is rightly discrediting Rick Perry because he made the wrong decision, because he put teenage girls at risk.
[00:46:31.370 --> 00:46:38.032]  I believe he is indirectly responsible through his decision, through his false mandate, his hoax, that that was a requirement.
[00:46:38.392 --> 00:46:45.835]  He is responsible for the maiming or perhaps even the deaths of some number of teenage girls who should be alive today.
[00:46:46.155 --> 00:46:52.340]  There were deaths in Texas and other areas after it happened and it helped them break the ice and try to get the force mandate in other areas.
[00:46:52.640 --> 00:46:54.942]  Moving quickly here, another victory.
[00:46:55.883 --> 00:46:59.026]  TSA in major polls is over 90% unpopular.
[00:47:00.126 --> 00:47:01.367]  Everyone's coming out against it.
[00:47:01.408 --> 00:47:02.248]  Here's human events.
[00:47:02.729 --> 00:47:04.590]  They've been accused of rampant thievery.
[00:47:04.670 --> 00:47:05.411]  One of them got caught.
[00:47:05.471 --> 00:47:06.332]  More got caught today.
[00:47:06.952 --> 00:47:08.994]  Spending billions of dollars like drunken sailors.
[00:47:09.374 --> 00:47:12.436]  Groping children and little old ladies and making everyone take off their shoes.
[00:47:13.177 --> 00:47:22.363]  And then it goes on to say that the founder of the TSA, Representative John Mica, has now come out and said, abolish it.
[00:47:22.784 --> 00:47:28.047]  And even if they try to sell some corporate fascist model of it, they'll now fall as well.
[00:47:28.448 --> 00:47:35.132]  I mean, this is another victory from voices in the wilderness talking about this many years ago to now.
[00:47:35.152 --> 00:47:38.675]  I mean, it just shows on every issue, when we have the truth and fight back, we win.
[00:47:39.879 --> 00:47:40.379]  Absolutely.
[00:47:40.419 --> 00:47:50.085]  This is a huge victory, but it's also an urgent warning because you know, you know very well what government agencies do when they feel they're about to be squeezed out of existence.
[00:47:50.505 --> 00:47:52.526]  They create false flag attacks.
[00:47:52.866 --> 00:48:04.552]  So you can bet the TSA, somebody within the TSA, maybe rogue agents, maybe somebody up at the top, is trying to figure out how can they stay relevant in a time when people are sick and tired of them.
[00:48:04.913 --> 00:48:08.855]  And the answer to that is to stage an attack in an airport
[00:48:09.415 --> 00:48:12.178]  We saw them practicing this before, I believe, in Minnesota.
[00:48:13.099 --> 00:48:18.986]  In fact, stage an attack to make the TSA look like it's actually doing something, even though it isn't.
[00:48:19.487 --> 00:48:23.511]  Well, they just got caught in Arizona trying to get plastic explosives on a plane.
[00:48:24.372 --> 00:48:32.674]  And of course, the underwear bomber, where admittedly they got him on the plane, he was all drugged out, came out, the State Department was ordered to do that.
[00:48:33.054 --> 00:48:36.434]  I mean, and this just hangs out there in plain view.
[00:48:36.474 --> 00:48:39.075]  Well, Mike Adams, it's great having you in Central Texas.
[00:48:39.515 --> 00:48:43.436]  You're going to be sitting in and doing the radio show this Friday, 11 a.m.
[00:48:43.836 --> 00:48:48.817]  to 2 p.m., centralnaturalnews.com, and I know you'll be covering this and a lot more.
[00:48:49.117 --> 00:48:51.137]  Mike Adams, thank you so much for joining us tonight.
[00:48:51.397 --> 00:48:51.978]  Thank you, Alex.
[00:48:52.038 --> 00:48:52.678]  Great to join you.
[00:48:52.698 --> 00:48:53.298]  Have a great show.
[00:48:53.438 --> 00:48:54.078]  You too, my friend.
[00:48:54.778 --> 00:48:59.481]  All right, ladies and gentlemen, that's it with Mike Adams and that concludes InfoWars Nightly News.
[00:48:59.742 --> 00:49:02.423]  We'll be back tomorrow night, 7 p.m.
[00:49:02.904 --> 00:49:04.865]  Central Standard Time, 8 p.m.
[00:49:04.925 --> 00:49:07.386]  Eastern, 5 Pacific, 6 Mountain.
[00:49:07.787 --> 00:49:13.771]  If you believe in what we're doing, or if you believe in the First Amendment and the work we're putting in here to cover real issues,
[00:49:14.651 --> 00:49:16.893]  Please become a PrisonPlanet.tv member.
[00:49:16.974 --> 00:49:19.136]  Please buy friends and family memberships.
[00:49:19.556 --> 00:49:24.922]  Please spread the word about InfoWarsNews.com and all the new things we're adding, the new features.
[00:49:26.083 --> 00:49:28.305]  I mean the crew here, the work, the research.
[00:49:28.385 --> 00:49:31.268]  We passionately believe in human liberty.
[00:49:31.909 --> 00:49:34.591]  And again, I want to thank all the members of PrisonPlanet.tv.
[00:49:34.871 --> 00:49:36.833]  I want to ask you all to record these shows.
[00:49:37.333 --> 00:49:38.854]  We're going to launch a lot of new systems.
[00:49:38.894 --> 00:49:42.357]  Well, this will be delivered on tabletop systems to subscribers.
[00:49:43.158 --> 00:49:48.462]  We've got a lot of TV networks and systems, but we're developing the show right now, and we couldn't have done this without you.
[00:49:48.762 --> 00:49:55.067]  Please also visit the online video bookstore at InfoWars.com, because we couldn't have done any of this without your support.
[00:49:55.487 --> 00:50:00.955]  I'm Alex Jones signing off for InfoWars Nightly News from the front lines of the InfoWar.
