[00:00:21.135 --> 00:00:22.336]  We're making history.
[00:21:18.854 --> 00:21:19.555]  Remember that.
[00:21:21.095 --> 00:21:21.796]  All right, that's it.
[00:21:21.856 --> 00:21:22.756]  God bless you all.
[00:21:23.597 --> 00:21:24.097]  Son, come here.
[00:21:27.941 --> 00:21:29.021]  Thank you for the courage, sir.
[00:21:29.762 --> 00:21:31.483]  Watching that really gets me angry again.
[00:21:31.684 --> 00:21:36.828]  And you notice they ran a hoax last year saying Wakefield had been discredited, had Lanzet pull a study.
[00:21:37.208 --> 00:21:42.572]  It turned out there were all these other studies that confirmed it, and then just said that it was a hoax.
[00:21:42.852 --> 00:21:44.894]  They've run hoaxes saying there's no mercury in the shots.
[00:21:44.934 --> 00:21:48.057]  I mean, it's just, well, it doesn't cause Guillain-Barré when it's on the insert.
[00:21:50.219 --> 00:21:52.861]  Just incredible information there.
[00:21:54.502 --> 00:21:57.124]  It is a nightmare and we've got to face the true horror of it.
[00:21:57.924 --> 00:22:08.051]  Okay, let's go to this final little piece before we go to break and come back with our first interview with the gentleman that pointed out that Goldman Sachs rules the world on BBC and got so much attention.
[00:22:08.071 --> 00:22:09.232]  And then Max Keiser coming up.
[00:22:09.292 --> 00:22:14.395]  It's a jam-packed transmission, putting a lot of work into it here at PrisonPlanet.tv and InfoWarsNews.
[00:22:15.676 --> 00:22:16.517]  Thank you.
[00:22:45.416 --> 00:22:51.081]  This is the first time you've ever seen the mural?
[00:22:51.281 --> 00:22:55.524]  No, actually I live here, so I come through and check it out every now and then.
[00:22:55.725 --> 00:22:59.328]  I've taken pictures, I read about it online, looked it up.
[00:23:00.148 --> 00:23:00.929]  What do you think it means?
[00:23:02.878 --> 00:23:04.619]  I can only tell you what I read.
[00:23:05.760 --> 00:23:11.424]  Basically, it seems like there's a soldier cutting through the devil's piece and his sword is an Arabian sword.
[00:23:12.464 --> 00:23:16.567]  I'm not sure about the women and the angel type things.
[00:23:18.969 --> 00:23:22.511]  The tower here is very familiar to a lot of people.
[00:23:22.531 --> 00:23:23.432]  It kind of looks like a
[00:23:24.105 --> 00:23:25.666]  9-1-1 towers.
[00:23:25.746 --> 00:23:28.226]  I don't know, it's a strange thing to have in this airport.
[00:23:28.667 --> 00:23:30.427]  What are your thoughts when you see something like this?
[00:23:31.167 --> 00:23:32.188]  I think it's very well done.
[00:23:32.228 --> 00:23:32.908]  It's impactful.
[00:23:33.188 --> 00:23:35.569]  The color scheme is great.
[00:23:35.629 --> 00:23:38.710]  The theme seems a little austere for an airport.
[00:23:38.770 --> 00:23:43.772]  You don't think there's a nefarious hidden agenda, hidden meaning behind it or anything like that?
[00:23:43.792 --> 00:23:44.332]  I don't know.
[00:23:44.372 --> 00:23:45.712]  I've heard that theory a lot.
[00:23:46.632 --> 00:23:47.553]  Maybe.
[00:23:47.613 --> 00:23:50.834]  Underground prisons under Denver or DIA, all that stuff.
[00:23:51.758 --> 00:23:52.179]  Could be.
[00:23:52.199 --> 00:23:53.420]  I'm a little skeptical.
[00:23:53.660 --> 00:23:55.422]  So this is the first time you've ever seen this mural?
[00:23:55.583 --> 00:23:57.024]  Yeah, the first time I've ever seen it.
[00:23:57.204 --> 00:23:57.965]  Let's take a look.
[00:23:57.985 --> 00:24:00.909]  I mean, what are your thoughts when you look at something like that?
[00:24:00.929 --> 00:24:04.273]  Do you think it's kind of an odd mural to be put in an airport?
[00:24:04.633 --> 00:24:05.514]  Not necessarily.
[00:24:05.554 --> 00:24:06.836]  I think it explains a lot.
[00:24:07.597 --> 00:24:09.419]  Okay, such as?
[00:24:09.459 --> 00:24:13.122]  Such as just, you know, I mean, America and everything else.
[00:24:13.382 --> 00:24:18.926]  There's a lot going on in the world right now and it pretty much shows what's going on.
[00:24:18.946 --> 00:24:26.693]  You know, there's a knight, he's taking care of things, there's people that are suffering and he looks like he's taking over and taking care of it.
[00:24:26.933 --> 00:24:29.355]  So he's like a protector, you think?
[00:24:29.435 --> 00:24:35.280]  I think he's a protector, you know, I mean, you're wearing a gas mask and you have a sword in your hand, what else are you doing?
[00:24:36.394 --> 00:24:38.275]  Is this the first time you've ever seen the mural?
[00:24:38.476 --> 00:24:39.056]  Yes it is.
[00:24:39.476 --> 00:24:40.737]  I've seen it on the internet before.
[00:24:40.857 --> 00:24:44.900]  Alright, so you've seen it on the internet and then I saw you turn the corner and you're like, oh my god, here it is.
[00:24:44.960 --> 00:24:47.122]  So, alright, so what are your thoughts on it?
[00:24:48.062 --> 00:24:55.828]  I've heard some theories where there's like an underground facility in this airport and it's just like really dark and kind of scary looking.
[00:24:56.509 --> 00:24:58.190]  It is a little creepy looking.
[00:24:58.290 --> 00:24:59.411]  Machine gun wielding.
[00:24:59.691 --> 00:25:02.153]  And the crying innocence in the background.
[00:25:02.173 --> 00:25:03.894]  Yeah, it's kind of creepy.
[00:25:03.914 --> 00:25:04.554]  Like fleeing?
[00:25:05.928 --> 00:25:10.111]  It's just, I mean, this is kind of sad, obviously.
[00:25:11.212 --> 00:25:20.858]  A kid who died in Auschwitz, 14 years old, that, you know, basically their childhood was taken away from them through everything they went through, it looks like.
[00:25:21.518 --> 00:25:23.800]  You know, they hate enemies, they
[00:25:26.431 --> 00:25:29.194]  They hope that one day they'll be able to wake up and laugh again.
[00:25:29.254 --> 00:25:32.137]  It's sad that there's people out there that think like that.
[00:25:32.237 --> 00:25:37.503]  Some people say it's put here to distract people from what really goes on in D.I.A.
[00:25:37.783 --> 00:25:42.628]  Don't you think it's an odd place to put a mural like this in an international airport?
[00:25:42.668 --> 00:25:43.870]  I mean, it's kind of weird, isn't it?
[00:25:44.170 --> 00:25:44.550]  It is.
[00:25:44.770 --> 00:25:47.814]  If you wanted to send a message to someone,
[00:25:48.134 --> 00:25:49.356]  I mean, it's kind of the best place.
[00:25:49.636 --> 00:25:53.902]  So do you think this is more of an artistic endeavor, you know, with the symbolism and everything?
[00:25:53.922 --> 00:25:57.827]  You know, this guy kind of looks like a Nazi, but is there any hidden meanings?
[00:25:58.387 --> 00:25:59.529]  A dark, hidden meaning?
[00:25:59.589 --> 00:26:02.413]  Or is this more kind of an artistic piece, you know?
[00:26:04.446 --> 00:26:11.372]  I think, I'm not someone who looks at things in a dark, hidden type of way, so to me, I don't look at it like that.
[00:26:12.133 --> 00:26:14.855]  You know, the most disturbing piece of this whole thing is just that.
[00:26:15.656 --> 00:26:16.837]  That's what gets me the most.
[00:26:17.217 --> 00:26:20.680]  What about the rumors that there's a whole underground type of bunker here?
[00:26:20.720 --> 00:26:21.841]  Have you heard those as well?
[00:26:21.861 --> 00:26:22.582]  Heard those?
[00:26:23.122 --> 00:26:25.084]  Do you think there's any truth to that?
[00:26:25.606 --> 00:26:26.406]  Definitely.
[00:26:26.606 --> 00:26:27.166]  Possible.
[00:26:27.266 --> 00:26:29.527]  More possible than what they give you on the news.
[00:26:30.067 --> 00:26:41.871]  It looks funny the way that you can see, when you're coming in, you can see that there's construction's been over for years here, but there's construction everywhere, all over, going on, on the grounds of the airport.
[00:26:42.211 --> 00:26:42.751]  Constantly.
[00:26:42.791 --> 00:26:50.793]  And you can see them actually working up, because once it's a hill, and they'll have a road that goes around it, and you come back a year later, and there's two roads because the hill's kind of moved up.
[00:26:51.266 --> 00:26:53.527]  As if the hills are expanding upwards.
[00:26:53.547 --> 00:26:57.589]  Do you think it's an odd place to have a mural like this in an international airport?
[00:26:57.749 --> 00:26:58.329]  Absolutely.
[00:26:58.990 --> 00:26:59.570]  Absolutely.
[00:26:59.750 --> 00:27:02.431]  I don't know what it's place is here or why it's here.
[00:27:02.451 --> 00:27:06.753]  It's definitely not something you expect to see walking through an airport though.
[00:27:09.187 --> 00:27:10.388]  It's going to be a 10-hour show.
[00:27:10.448 --> 00:27:12.810]  I had to come back and say something about that as we go to break.
[00:27:14.131 --> 00:27:16.272]  I've been out to the Denver International Airport.
[00:27:16.733 --> 00:27:17.733]  I've talked to the experts.
[00:27:17.793 --> 00:27:18.174]  I've looked at it.
[00:27:18.194 --> 00:27:19.855]  They are building giant underground bases.
[00:27:20.776 --> 00:27:30.683]  And close to there, you've got some of the main bases in Colorado that are being set up by the Pentagon for NORTHCOM.
[00:27:31.664 --> 00:27:32.805]  It is the real
[00:27:34.671 --> 00:27:35.932]  Government of the United States.
[00:27:35.952 --> 00:27:38.674]  They've got a shadow Congress, a place for them to meet.
[00:27:38.715 --> 00:27:41.177]  They're in Colorado Springs, under the mountains.
[00:27:41.217 --> 00:27:42.918]  They admittedly have underground bases there.
[00:27:43.499 --> 00:27:45.941]  And I've talked to some of the workers that have been involved in it.
[00:27:46.001 --> 00:27:56.510]  It's all compartmentalized, but they've got giant underground connectors and systems there to bring Americans in on aircraft to disappear underground, into prisons and execution centers.
[00:27:57.391 --> 00:28:03.901]  But also to get the elites underground, under biochemical nuclear radiological attack.
[00:28:04.482 --> 00:28:05.324]  Super creepy!
[00:28:05.985 --> 00:28:09.030]  And then you look at the mural, you know, a lot of it is Spanish.
[00:28:11.184 --> 00:28:11.945]  uh... civil war
[00:28:42.165 --> 00:28:48.690]  By the globalists that have made Colorado the real capital of the US in their own admissions.
[00:28:50.140 --> 00:28:53.103]  The capital of the shadow government to just add to the foreboding.
[00:28:53.543 --> 00:28:55.925]  This is the psychopaths, this is beautiful, this is not ugly.
[00:28:56.546 --> 00:29:08.776]  Because then you've got Anubis and all these other giant weird Egyptian gods there and pyramids and as the guy said mountains that start rising up where they're dumping the dirt and building for year after year.
[00:29:08.836 --> 00:29:12.660]  I mean there's something weird going on there and we'll continue to take your tips.
[00:29:13.300 --> 00:29:14.381]  at InfoWars.com.
[00:29:14.461 --> 00:29:15.461]  Okay, we're going to break.
[00:29:15.502 --> 00:29:18.944]  Coming back with the fella that made all that news and they said, is he real?
[00:29:19.024 --> 00:29:19.984]  Is he a yes man?
[00:29:20.465 --> 00:29:21.045]  Is it fake?
[00:29:21.085 --> 00:29:22.506]  He said, Goldman Sachs is evil.
[00:29:22.946 --> 00:29:23.887]  It's gotta be fake.
[00:29:23.927 --> 00:29:26.008]  Everybody knows they make the sun shine.
[00:29:26.489 --> 00:29:27.650]  It's InfoWars Nightly News.
[00:29:27.670 --> 00:29:28.030]  Stay with us.
[00:29:56.435 --> 00:30:00.280]  The governments don't rule the world, Goldman Sachs rules the world.
[00:30:01.060 --> 00:30:05.005]  Goldman Sachs does not care about this rescue package, neither does the big funds.
[00:30:05.425 --> 00:30:08.809]  So, actually, I would actually tell people, I want to help people.
[00:30:09.329 --> 00:30:11.552]  People can make money from this, it isn't just traders.
[00:30:11.732 --> 00:30:12.312]  Welcome back.
[00:30:12.372 --> 00:30:14.393]  It's InfoWars Nightly News.
[00:30:14.593 --> 00:30:22.716]  That was a short clip from the interview that aired a week and a half, two weeks ago, with the gentleman we're about to be talking with.
[00:30:23.356 --> 00:30:35.061]  And when Alessio Rastani came out and said those things that I've said, Max Keiser said, so many other economists we've talked to have basically said, the BBC reporter acted like
[00:30:35.441 --> 00:30:41.103]  You know, he had said that the Pope was caught barbecuing small children on his front lawn or something.
[00:30:41.343 --> 00:30:52.506]  I mean, it was this feigned disbelief when it's well known the things he was talking about are pretty much accepted fact by anybody that can add four plus four together.
[00:30:53.186 --> 00:30:58.670]  But expanding on that, then we saw Forbes and all these other publications say, was it a hoax?
[00:30:58.811 --> 00:30:59.471]  Is it fake?
[00:30:59.871 --> 00:31:01.112]  He's not really a trader.
[00:31:01.813 --> 00:31:06.477]  And so it really turned into the system panicking.
[00:31:06.537 --> 00:31:10.980]  Eliseo Bastani has been a full-time trader for six years, focusing mostly on U.S.
[00:31:11.000 --> 00:31:11.621]  stock markets.
[00:31:12.061 --> 00:31:17.566]  He writes for the blog leadingtrader.com, a highly visited site, a website dedicated to
[00:31:18.186 --> 00:31:20.387]  Alex, first of all, let me say thank you very much for having me on your show.
[00:31:20.407 --> 00:31:21.107]  It's a great honor.
[00:31:45.678 --> 00:31:48.459]  And I'm a big fan of Austin, Texas, myself.
[00:31:49.000 --> 00:31:49.420]  Love to visit.
[00:31:50.120 --> 00:32:03.927]  But as to why I think it happened, for one thing, I think it was because it was too good to be true, maybe, for someone who's a trader to come on TV and say those things.
[00:32:04.367 --> 00:32:11.231]  Because usually, this financial pundit to come on TV, they don't say anything so substantive.
[00:32:11.391 --> 00:32:13.732]  They just say the same old crap all the time.
[00:32:15.131 --> 00:32:29.194]  So someone actually spoke, someone actually said something which sounded true, seemed to be true for some of these guys, some of these, you know, media folks, so maybe that was one reason.
[00:32:30.735 --> 00:32:36.876]  As for whether it was a conspiracy to discredit me, it's possible, but I don't know for sure.
[00:32:38.151 --> 00:32:42.473]  Well, my point is, is I've seen other people on other prominent channels.
[00:32:42.994 --> 00:32:52.759]  Max Keiser, for one, coming up later, he had his own BBC show a few years ago and basically said similar things, because it's true, and there wasn't this big gasping and freaking out.
[00:32:53.519 --> 00:33:02.183]  I mean, I think a lot of it is because this stuff is so transparent now, it's so obvious that the Emperor is wearing no clothes, that when you pointed it out in a clear and concise way, it freaked him out.
[00:33:02.223 --> 00:33:12.889]  I mean, I've talked to people that are invited to Federal Reserve meetings to be let in, you know, to the inside scoop if they're wealthy, and they say, things are going to collapse, here's how we profit.
[00:33:13.189 --> 00:33:14.470]  I know a lot of big stock traders.
[00:33:14.750 --> 00:33:15.790]  That is their big joke.
[00:33:16.051 --> 00:33:17.331]  So what you said was true.
[00:33:17.391 --> 00:33:19.172]  You said, hey, you can make a lot of money off this.
[00:33:19.653 --> 00:33:24.775]  And so you did let the cat out of the bag, or you let the general public know that they're on the menu for dinner.
[00:33:24.815 --> 00:33:36.602]  But let's now talk, you know, unfettered, specifically from your years of trading, why you picked up this worldview and what some of the other traders around you say.
[00:33:36.622 --> 00:33:40.644]  I mean, let us into more of the secrets that seem to upset these people so much.
[00:33:42.099 --> 00:33:48.205]  Yeah, I mean, it's interesting you mentioned secrets because I don't think they are secrets, you know.
[00:33:48.225 --> 00:34:03.258]  I mean, I know there's a lot of people in the general public who don't know about these things, about the fact that traders and even nowadays with technology, even ordinary people can make money when markets go down.
[00:34:04.119 --> 00:34:06.281]  But what I was talking about, I mean, you're right, Alex, because
[00:34:08.378 --> 00:34:23.671]  In a way, what I was talking about is what Goldman Sachs has been getting away with for years, which is basically dumping crap on people and then betting against the very same people, you know?
[00:34:24.132 --> 00:34:30.337]  So, taking the opposite side of the action to what they themselves were selling.
[00:34:31.078 --> 00:34:32.879]  It happened in the dot-com crash the year 2000.
[00:34:34.122 --> 00:34:36.364]  It happened in the Great Depression in the 1930s.
[00:34:36.444 --> 00:34:38.967]  It happened in the housing bubble, in the housing crash.
[00:34:40.128 --> 00:34:54.503]  So what I was saying to people is, look, these guys, these bankers, these idiots who got us into this mess in the first place, these guys are already making money by betting against you, by betting against everybody in the stock market.
[00:34:54.523 --> 00:34:55.804]  So now it's your turn.
[00:34:56.185 --> 00:34:57.246]  Don't be a chump.
[00:34:58.891 --> 00:35:02.672]  I'm not suggesting people should go out there and gamble with their money.
[00:35:02.692 --> 00:35:03.472]  That's not what I'm saying.
[00:35:03.492 --> 00:35:16.675]  What I'm saying is, what I was trying to get out there is, there are ways that you too, whether you're listening in from home or anywhere, that you too can get on the same game that these guys have been doing for years.
[00:35:18.115 --> 00:35:21.896]  So I don't think it's a big secret, but some people obviously thought, well,
[00:35:23.681 --> 00:35:24.402]  This stuff is new.
[00:35:25.182 --> 00:35:27.804]  Well, some have likened it to suicide bankers.
[00:35:28.044 --> 00:35:39.110]  Max Keiser tells a documented story in the 9-11 Commission of a guy who stayed at his desk, even though the building was on fire, to make
[00:35:40.211 --> 00:36:08.833]  trades betting against airlines and you know he made five million dollars but he died it's almost this target uh... psychosis or narcosis where they get so obsessed with the mission that they're wrecking society it's it's not free market it's government has allowed them to do this allowed certain inside players and we saw the timberwolf emails connected to the big bank saying look at my dumb idiot uh... customers man they're morons i'm gonna sell them this S.H.
[00:36:09.894 --> 00:36:10.635]  Blank tee.
[00:36:10.935 --> 00:36:11.675]  Ha ha ha.
[00:36:12.015 --> 00:36:19.099]  You have earthquakes in Japan or earthquakes in the US and invariably Goldman Sachs and other brokers put out the Twitter.
[00:36:19.439 --> 00:36:20.660]  Oh my wallet fell.
[00:36:20.980 --> 00:36:24.462]  I mean just a total disconnection from humanity.
[00:36:26.636 --> 00:36:31.357]  Give me your view on that because, you know, that's really what you were hitting upon was the predatory nature.
[00:36:32.217 --> 00:36:51.200]  See, the thing is, I'll be honest with you, Alex, look, when I'm looking to short the markets, you know, in layman's terms, you know, bet against the markets or make money downwards, I don't really think of it, I mean, maybe I guess I should, you know, maybe I should think of it from a human standpoint, but I don't.
[00:36:51.881 --> 00:36:54.421]  For me, it's just, you know, a job, you know, it's
[00:36:55.368 --> 00:37:03.531]  In the same way that the carpenter, you know, makes buildings, you know, houses, and in the same way that the plumber fixes pipes, a fireman does his job.
[00:37:03.591 --> 00:37:10.913]  For me, betting against the markets and selling short when markets crash, it's just part of the game, you know.
[00:37:11.453 --> 00:37:22.377]  I don't really think of it in those kind of terms, you know, whether people are, you know, the fact is that companies are going bankrupt and people's jobs and
[00:37:23.505 --> 00:37:24.866]  Uh, pension is going down with it.
[00:37:24.946 --> 00:37:28.048]  I mean, I know it sounds terrible, but that's the truth.
[00:37:28.869 --> 00:37:31.611]  Sure, you're just being honest about the current system.
[00:37:31.631 --> 00:37:33.092]  I mean, that's like with Bonnie and Clyde.
[00:37:33.132 --> 00:37:34.733]  They ask Clyde, why do you rob banks?
[00:37:34.773 --> 00:37:40.598]  He said, that's where the money's at, or you've got the parable of the scorpion and the frog, and the scorpion says, will you take me across the river?
[00:37:41.138 --> 00:37:42.580]  And the frog says, you're going to sting me and kill me.
[00:37:42.600 --> 00:37:43.421]  He said, no, I promise.
[00:37:43.461 --> 00:37:44.062]  I'll be friendly.
[00:37:44.462 --> 00:37:45.804]  Take me across and I'll be nice.
[00:37:45.844 --> 00:37:47.265]  So the frog says, nice frog.
[00:37:47.285 --> 00:37:48.347]  Says, get on my back.
[00:37:48.367 --> 00:37:51.891]  And when they go over to the other side, the scorpion stings him and the frog's in pain, dying.
[00:37:51.911 --> 00:37:52.752]  He says, why'd you kill me?
[00:37:53.153 --> 00:37:53.913]  He said, I'm a scorpion.
[00:37:54.614 --> 00:38:08.417]  And so I guess, in a way, we're the sheep here to be gang-raped, and the vampires are here to feed, and then they even call it free market, so the grassroots calls for socialism, which only helps the bankers more, because now they can consolidate power and suck it off offshore.
[00:38:08.477 --> 00:38:15.019]  I mean, it's kind of our bug-eyed, sheepish, mentally retarded lot to just sit here and be gang-raped?
[00:38:16.099 --> 00:38:16.739]  Right.
[00:38:17.579 --> 00:38:18.699]  I would say this, Alex.
[00:38:19.460 --> 00:38:20.520]  A lot of people do think
[00:38:21.824 --> 00:38:28.489]  That people who sell short, people who are betting against the markets, making money when the markets crash, that it's immoral.
[00:38:29.250 --> 00:38:30.410]  I personally do not believe that.
[00:38:30.450 --> 00:38:31.491]  I don't accept that view.
[00:38:33.433 --> 00:38:35.694]  Short sellers provide a good service to the markets.
[00:38:36.275 --> 00:38:39.257]  We can't do without them, basically because for two reasons.
[00:38:39.969 --> 00:38:41.451]  They provide liquidity in the markets.
[00:38:41.511 --> 00:38:43.194]  There's more activity, more liquidity, more money.
[00:38:43.254 --> 00:38:45.798]  And also brings balance from a rational exuberance.
[00:38:45.818 --> 00:38:46.999]  You must have missed what I was saying.
[00:38:47.640 --> 00:38:48.542]  I think you're a good guy.
[00:38:48.562 --> 00:38:49.343]  You're being honest.
[00:38:49.683 --> 00:38:52.187]  We could short big, evil, corrupt companies we don't like.
[00:38:52.608 --> 00:38:55.171]  I purely get it's just a tool force of nature.
[00:38:55.752 --> 00:39:13.564]  I'm talking about Goldman Sachs, Bank of America, JP Morgan, the insiders who were exempt from SEC rules, whose former officers sit in the Federal Reserve and SEC, who've gotten tens of trillions of bank or bailout money to back up their derivative crap, because you were bringing up people selling garbage.
[00:39:13.944 --> 00:39:14.545]  I'm talking about...
[00:39:15.643 --> 00:39:19.164]  Listing garbage as AAA, that's criminal.
[00:39:19.724 --> 00:39:20.925]  And that's what I'm talking about.
[00:39:21.205 --> 00:39:30.447]  You know, you were getting off into, you know, on the show that I saw on BBC about Goldman Sachs, you know, making money in downtimes and they rule the world, and they were freaking out about that.
[00:39:30.888 --> 00:39:33.408]  So, I mean, that was just them freaking out about the obvious.
[00:39:33.949 --> 00:39:40.250]  I was just going further to the point of the rest of the story, because you started to allude to how they're selling people toxic assets.
[00:39:40.991 --> 00:39:41.731]  That's right, yeah.
[00:39:42.251 --> 00:39:44.312]  Well, that's absolutely true, and I would agree with you 100%, because
[00:39:46.214 --> 00:39:50.676]  Goldman Sachs has been behind, as I mentioned, almost every major crash in history.
[00:39:50.696 --> 00:39:52.857]  A good example is the dot-com crash.
[00:39:52.997 --> 00:39:56.338]  I myself, actually, Alex, was a victim of that crash.
[00:39:56.658 --> 00:40:00.400]  I was one of these donkeys in the year 2000 who bought these dot-com crap.
[00:40:01.266 --> 00:40:02.667]  Because again, I didn't know what I was doing.
[00:40:03.088 --> 00:40:05.350]  I was just following the same strategy everyone else did.
[00:40:05.370 --> 00:40:08.013]  Buy and hold stocks and eventually you make money.
[00:40:08.593 --> 00:40:21.426]  What I didn't realize is, as I do realize now, is that Goldman Sachs, among with a whole bunch of other people, JP Morgan and everyone else, these guys have been over-inflating these technology stocks.
[00:40:22.208 --> 00:40:38.792]  You know, inflating this bubble through a number of processes, which you probably know about, like one is called laddering, where basically, you know, you promise your clients that, you know, you're going to give them a lower price of the stock.
[00:40:40.212 --> 00:40:43.393]  And eventually you say down the line, you will buy it at a higher price.
[00:40:43.413 --> 00:40:50.395]  So almost kind of guaranteeing that the price of the stock is going to rise and rise, you know, by this kind of manipulation.
[00:40:51.449 --> 00:41:02.314]  So yeah, Goldman Sachs has been around, you know, they've been behind every major crash in history, and again, dumping these crappy stocks onto unaware investors, and then betting against the very same people.
[00:41:03.935 --> 00:41:16.461]  Sure, they invented the pump and dump, and if you look in third world countries, first world countries, they'll spend a decade getting their Prime Minister, their President, their Finance Minister in, in South America, in Asia, in Europe.
[00:41:16.521 --> 00:41:17.682]  I mean, it's always the same.
[00:41:17.962 --> 00:41:19.303]  This is a criminal crew.
[00:41:20.043 --> 00:41:24.666]  And I think them freaking out on you coming out and saying, hey, this is predatory, being honest about it.
[00:41:25.126 --> 00:41:29.749]  I mean, it was like saying, oh, my gosh, you mean fish swim in the sea or, you know, two plus three equals four.
[00:41:29.789 --> 00:41:31.630]  I mean, it was the height of ridiculous.
[00:41:31.690 --> 00:41:34.172]  And for weeks, a week and a half, is he real?
[00:41:34.232 --> 00:41:34.612]  Is he real?
[00:41:34.672 --> 00:41:35.673]  And they could have just called you.
[00:41:35.973 --> 00:41:36.814]  We went and looked it up.
[00:41:37.134 --> 00:41:44.018]  They tried to say you were one of these yes men or something when you were simply stating that the sky is blue, the birds have wings.
[00:41:46.200 --> 00:41:47.881]  I mean, it's just too amazing.
[00:41:47.901 --> 00:41:49.082]  Now, let's get more into this.
[00:41:49.143 --> 00:41:54.587]  Why specifically are you saying, because I agree with your analysis, but from your own research, why does Goldman Sachs rule the world?
[00:41:55.028 --> 00:42:05.057]  And then, what are some of the strategies or gambits that people can use, that the establishment's using, to profit from the engineered downturn?
[00:42:05.277 --> 00:42:07.299]  Because I know if the general public profits from it,
[00:42:07.919 --> 00:42:16.486]  That can actually screw up their actuaries and can actually help in the end if we just don't cookie cutter when they say buy and hold it while we slit your throat.
[00:42:17.227 --> 00:42:21.390]  If people actually learn what you and others have learned, then the magicians can't screw us.
[00:42:23.372 --> 00:42:25.614]  Yeah, I wish that second point could be true.
[00:42:25.874 --> 00:42:28.576]  I'll come to that point in a second, Alex.
[00:42:29.517 --> 00:42:31.859]  As to the first one, as to why I said it, again,
[00:42:32.990 --> 00:42:34.231]  That's something I believe to be true.
[00:42:34.251 --> 00:42:37.574]  It's something, I mean, to be honest, it doesn't something that interests me that much.
[00:42:38.335 --> 00:42:40.697]  I don't think of it too much about what Goldman Sachs is up to.
[00:42:40.757 --> 00:42:44.381]  But as to why I said it, I mean, here's one good example.
[00:42:45.522 --> 00:42:54.250]  As you yourself know, Alex, as many people may know, you know, a lot of ex-Goldman Sachs employees work in the government in the United States.
[00:42:55.229 --> 00:43:06.354]  I've already mentioned a few days ago I was in Ireland and I mentioned on the show that Henry Poulsen, this is a guy who was the former CEO of Goldman Sachs.
[00:43:06.394 --> 00:43:09.795]  He gives himself banker bailout money and then gives himself his own waivers.
[00:43:09.815 --> 00:43:11.076]  You're talking about the revolving door.
[00:43:11.336 --> 00:43:11.836]  Please continue.
[00:43:11.856 --> 00:43:12.176]  That's right.
[00:43:12.196 --> 00:43:23.881]  I mean this guy was the architect of the bailouts and this guy then was funneling all this money to his, you know, to his cronies like Robert Rubin and John Thames of Merrill Lynch and, you know,
[00:43:24.898 --> 00:43:32.480]  They're basically making other guys in the city rich through bailout money.
[00:43:33.260 --> 00:43:42.203]  The fact is, the relationship between the banks and the government is so blurred that it's not really clear who is the puppeteer and who is the puppet.
[00:43:42.839 --> 00:43:45.921]  But people can make up their own minds about that as to who rules the world.
[00:43:47.362 --> 00:43:49.323]  Well, it's like an inbred family.
[00:43:49.363 --> 00:43:51.264]  I mean, it's a revolving door, as you just said.
[00:43:51.724 --> 00:43:55.126]  So it isn't the government or the mega banks that run it.
[00:43:55.606 --> 00:43:57.367]  It's like two Siamese twins.
[00:43:57.427 --> 00:44:00.969]  I mean, it's like a breed.
[00:44:01.269 --> 00:44:03.691]  I mean, these people do even intermarry.
[00:44:04.171 --> 00:44:07.433]  And so, I mean, that's what's happening right here.
[00:44:07.893 --> 00:44:08.754]  How do we stop it?
[00:44:09.949 --> 00:44:10.169]  Yeah.
[00:44:10.629 --> 00:44:11.189]  Well, sorry?
[00:44:11.209 --> 00:44:12.610]  No, go ahead.
[00:44:13.130 --> 00:44:14.691]  Finish your point.
[00:44:15.211 --> 00:44:18.032]  Going to your second point about how the public can get on the game.
[00:44:18.612 --> 00:44:19.432]  That's the problem.
[00:44:19.452 --> 00:44:23.774]  You see, the problem is whenever people get on any game, it's too late.
[00:44:24.554 --> 00:44:26.295]  You see, that's why it's called the herd effect.
[00:44:26.595 --> 00:44:29.716]  The herd, I know it's an ugly word to use, but that's the truth.
[00:44:30.396 --> 00:44:31.457]  By the time the masses
[00:44:32.412 --> 00:44:40.377]  Yeah, they watch CNBC, but that's my point.
[00:44:40.678 --> 00:44:45.161]  If you watch Infowars.com, I'm not tooting my horn, you're going to be years ahead.
[00:44:45.201 --> 00:44:45.921]  No, I'm serious.
[00:44:46.241 --> 00:44:49.824]  You're going to be years ahead, and you are not going to be in the herd.
[00:44:50.184 --> 00:44:54.167]  I agree, by the time the general public figures it out, gold will be at $5,000.
[00:44:54.607 --> 00:44:57.629]  Or by the time, you know, things like that happen.
[00:44:57.669 --> 00:45:02.112]  But I'm not talking about the herd, I'm talking about the inside baseball we're here to
[00:45:02.812 --> 00:45:03.292]  Discussing.
[00:45:05.333 --> 00:45:20.997]  Yeah, well, as far as what the institutions are up to, the point is actually, I mean, I don't really care what those guys, that's not the way I look at the markets.
[00:45:22.452 --> 00:45:25.212]  I mean, I don't do any kind of insider trading or anything like that.
[00:45:25.593 --> 00:45:28.393]  I don't have that kind of information.
[00:45:29.153 --> 00:45:35.754]  What I do is the legal way of trading, and it's the next best thing to insider trading.
[00:45:37.775 --> 00:45:50.057]  For me, trading is trading off the charts and using as many tools as I have in my access to be able to discern what the insiders are up to.
[00:45:51.892 --> 00:46:05.423]  So, as a trader, when you're trying to make an income from this and when you're trying to be able to make money from this, you can't really hope that you're going to get some inside tips.
