[00:00:23.697 --> 00:00:24.638]  Thank you for joining us.
[00:25:47.271 --> 00:25:51.475]  We don't have to have a counterfeiting board in Washington, D.C.
[00:25:51.815 --> 00:25:56.579]  ripping off regular people for the benefit of Wall Street and the big banks and the government itself.
[00:25:57.140 --> 00:25:59.201]  So, we don't have to have all these wars.
[00:25:59.562 --> 00:26:00.222]  What are they fighting?
[00:26:00.302 --> 00:26:07.788]  Six or seven wars and, of course, secret wars and just wading knee-deep in blood all over the world.
[00:26:08.749 --> 00:26:09.770]  Other countries resent it.
[00:26:09.790 --> 00:26:11.471]  Americans ought to resent it.
[00:26:12.072 --> 00:26:13.293]  Ron Paul is talking about
[00:26:14.017 --> 00:26:20.819]  Really, the most important issue, even more important than the money issue, and it's hard to think of anything that is, except the one issue of war and peace.
[00:26:21.379 --> 00:26:27.501]  So, no more wars, bring the troops home, stop the counterfeiting, cut government spending.
[00:26:27.841 --> 00:26:28.841]  It can be done.
[00:26:29.062 --> 00:26:34.003]  And I know that people have questioned, well, if Ron Paul were elected, the Congress would never go along with him.
[00:26:34.363 --> 00:26:37.124]  But all I can say is, if Ron Paul were to be elected,
[00:26:37.554 --> 00:26:47.278]  And the kind of mandate he would have, all those congressmen who care about being elected more than anything else and being re-elected, would be asking Dr. Paul, what do we do?
[00:26:47.678 --> 00:26:48.358]  Absolutely!
[00:26:48.618 --> 00:27:01.203]  The whole country would be in the mood for big changes, I hate to use Roosevelt's phrase, but an actual new deal, a new deal for the American people, a new deal of freedom, a new deal of prosperity, a Ron Paul new deal.
[00:27:02.347 --> 00:27:02.987]  Absolutely.
[00:27:03.288 --> 00:27:07.730]  And just 15, 20 years ago, he couldn't get one co-sponsor to audit the Fed.
[00:27:07.770 --> 00:27:10.211]  It passed the House, as you know, last year.
[00:27:10.551 --> 00:27:13.352]  And with Ron Paul as president, they would have a lot of trouble.
[00:27:14.593 --> 00:27:18.135]  No army can stop an idea whose time has come, as the French philosopher
[00:27:18.715 --> 00:27:28.618]  Victor Hugo said, and after decades of laboring out there in the wilderness, Lou, you and others that deserve so much credit, our time is coming.
[00:27:29.278 --> 00:27:31.439]  Liberty is approaching.
[00:27:31.899 --> 00:27:37.000]  And even if Ron Paul doesn't win this round, he certainly wins by injecting real issues.
[00:27:37.601 --> 00:27:38.981]  And freedom is popular.
[00:27:39.201 --> 00:27:43.884]  And we need to legalize freedom as Ron Paul and as you have said.
[00:27:44.204 --> 00:27:46.125]  Lew Rockwell of LewRockwell.com.
[00:27:46.165 --> 00:27:54.050]  I'll continue to track all the amazing research and reports you put out and also the work you do over at the Von Mies Institute that you founded and head up.
[00:27:54.330 --> 00:27:56.151]  Lew Rockwell, thank you so much for joining us.
[00:27:56.851 --> 00:27:57.852]  Alex, thank you so much.
[00:27:58.717 --> 00:28:02.738]  You don't need me to tell you that humanity is in a deep crisis.
[00:28:03.158 --> 00:28:04.359]  Everyone can feel it.
[00:28:04.659 --> 00:28:13.101]  We know a tectonic struggle is now taking place against the forces of freedom and those who love darkness, bondage, and enslavement.
[00:28:13.541 --> 00:28:16.682]  Yes, my friends, evil is rising.
[00:28:16.982 --> 00:28:17.822]  But take heart.
[00:28:18.002 --> 00:28:21.543]  For every action, there is an equal and opposite reaction.
[00:28:21.824 --> 00:28:26.785]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:28:27.225 --> 00:28:30.827]  We are in an information war, and we are losing that war.
[00:28:31.067 --> 00:28:32.448]  The globalists are scared.
[00:28:32.768 --> 00:28:33.788]  They've overreached.
[00:28:34.128 --> 00:28:37.250]  The future of the info war is in your hands.
[00:28:37.690 --> 00:28:39.671]  Join PrisonPlanet.tv.
[00:28:39.871 --> 00:28:45.874]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:28:46.054 --> 00:28:49.476]  Continue to spread the word about the broadcast on YouTube, Facebook,
[00:28:49.696 --> 00:28:50.478]  We're good to go.
[00:29:08.854 --> 00:29:16.444]  Coming up, we've got a special report on the news behind the news, the rest of the story, as Paul Harvey would say, in Libya.
[00:29:16.524 --> 00:29:18.066]  But first, the rest of the news.
[00:29:18.607 --> 00:29:19.888]  The police state news.
[00:29:20.848 --> 00:29:35.632]  You know, yesterday, the CEO and main owner of Apple Computers, Steve Jobs, came out and said, hey, I've got health problems, and if they ever got too bad for me to continue my chairmanship, I'm going to leave.
[00:29:36.352 --> 00:29:38.793]  And so he's basically made that announcement.
[00:29:39.293 --> 00:29:48.936]  And then I watched the mainstream corporate whore media engage in a love fest about how humanitarian he is, how great he is, and how he cares so much about everybody.
[00:29:49.776 --> 00:30:04.481]  And I just want to say to Steve Jobs, you may be this big Zen Buddha we've heard about all day, but I saw your company put out a lot of PR propaganda concerning the fact that the factories that you control in China have record suicides at them.
[00:30:05.121 --> 00:30:10.203]  In fact, hundreds of times the average that we see in other Chinese or even U.S.
[00:30:10.243 --> 00:30:10.663]  factories.
[00:30:11.451 --> 00:30:14.152]  And so that's something you guys need to answer for.
[00:30:14.292 --> 00:30:24.134]  Also, you have Al Gore on your board, who has palatial mansions all over the world and all these jet aircraft, who lectures the general public they shouldn't be able to take hot baths.
[00:30:24.814 --> 00:30:37.838]  And so you guys are always pushing carbon taxes while you're responsible for absolutely huge carbon outputs of the devil gas carbon dioxide generated from your server farms, which
[00:30:38.812 --> 00:30:39.834]  Again, I'm not concerned.
[00:30:40.175 --> 00:30:42.358]  The plants are really hungry for that carbon dioxide.
[00:30:43.521 --> 00:30:44.001]  But you...
[00:30:45.362 --> 00:30:46.543]  Say it's horrible and evil.
[00:30:47.223 --> 00:30:59.031]  And so before you prepare to leave this world and cross to the River Styx and give Charon his piece of gold, wouldn't you like to actually become the humanitarian that you've always claimed you are?
[00:30:59.592 --> 00:31:14.962]  I mean, I get really sick of the eugenicist globalists pushing the case to kill Granny Bill Gates and your other cohorts that came out of the same NSA, IBM nest lecturing us all day from the West Coast.
[00:31:15.722 --> 00:31:17.223]  And Silicon Valley.
[00:31:17.804 --> 00:31:40.778]  I mean, we're going to file a special report dealing with this later next week, but just look at the co-founder of Apple who told major newspapers that he basically supports a transhumanist view of the world and that the human race is destined to become a little more than house pets.
[00:31:42.327 --> 00:31:50.032]  You are the people selling this view that humans should just give up to your machines and give up our humanity because it's not worth anything.
[00:31:50.492 --> 00:31:56.796]  Well, if we're worthless, like the Chinese workers you've got to put nets outside for, because they're committing suicide by the hundreds.
[00:31:57.136 --> 00:32:04.901]  If we are so worthless, then don't grandstand and tell us we're worth something when we buy your trendy, fancy, shiny objects.
[00:32:05.481 --> 00:32:11.386]  I mean, of all of these devices that are doing the programming, we're not programming the machines, they're now programming us.
[00:32:11.807 --> 00:32:13.989]  Yours are some of the prettiest baubles.
[00:32:14.109 --> 00:32:24.558]  But again, as you approach the event horizon, I beg of you to simply look destiny and eternity in the mirror and actually do something good.
[00:32:25.079 --> 00:32:25.820]  What's the solution?
[00:32:27.125 --> 00:32:49.792]  If Apple, the biggest corporation in the world, arguably, after ExxonMobil, came out and said, hey, we are going to charge a few dollars more for our iPhones and iPads and the rest of it, or maybe take a few dollars less in profit to certify and seal on our Chinese-made products that it was a living wage.
[00:32:50.865 --> 00:33:03.369]  I was reading where some of these workers have to chain their children up to power poles down the street every day and they sit there starving and defecating on themselves while the parents hope to get enough money to hopefully feed them that night.
[00:33:04.370 --> 00:33:16.254]  I think with all your tens of billions that you could shut up and stop acting like you're a good little socialist and lecturing us all day about carbon taxes and have a move to certify that your products are human friendly.
[00:33:16.914 --> 00:33:19.697]  You know, like on the back of the shampoos saying, animal-friendly.
[00:33:20.117 --> 00:33:21.299]  Animals weren't tested on.
[00:33:21.579 --> 00:33:23.040]  What about Chinese slaves?
[00:33:23.061 --> 00:33:24.742]  Were they tested on?
[00:33:25.083 --> 00:33:26.644]  Where'd you get that liver, Steve?
[00:33:27.385 --> 00:33:29.447]  That's the type of stuff I'm talking about here, okay?
[00:33:29.707 --> 00:33:36.094]  So before you make that jump into hyperspace, you need to decide, is it going to be down there, or is it going to be up there?
[00:33:37.175 --> 00:33:38.276]  And are there atheists?
[00:33:39.235 --> 00:33:39.936]  In foxholes.
[00:34:09.958 --> 00:34:13.990]  Well, get a little angel on your shoulder and maybe give you an alternative.
[00:34:16.311 --> 00:34:20.073]  That was my pontification for the evening, and it was quite lengthy.
[00:34:20.513 --> 00:34:24.734]  That's why this is a special report, not the news show, premiering next Thursday, 7 p.m.
[00:34:24.754 --> 00:34:26.935]  Central, at PrisonPlanet.tv.
[00:34:27.315 --> 00:34:37.379]  We're seeing a lot of police state news out there, and, well, Big Sis, you know her, the jack-booted gentleman, who was the former governor of Arizona.
[00:34:37.700 --> 00:34:43.502]  Well, Big Sis gives green light for drone that tazes suspects from above.
[00:34:44.142 --> 00:34:50.664]  And it's got shotgun mounts, taser mounts, why it can do whatever you need it to do.
[00:34:51.125 --> 00:35:00.208]  And they're putting out all these great promotional videos showing them chasing the evil people that aren't submitting to the global system.
[00:35:01.769 --> 00:35:03.069]  And see, here's my issue with this.
[00:35:03.109 --> 00:35:14.997]  There's this giant arms buildup with our tax money in the United States and other Western countries to give the latest high-tech gadgets to the police who are just dying to try them out on us.
[00:35:15.417 --> 00:35:20.981]  And I've seen all the deaths from tasers and people being tortured with them for asking cops directions.
[00:35:21.581 --> 00:35:22.262]  And I ask us,
[00:35:23.880 --> 00:35:27.722]  I ask the public, is this something you want to be part of?
[00:35:27.843 --> 00:35:29.804]  Is this something you want to support?
[00:35:30.164 --> 00:35:32.506]  Were you given a memo on this as a taxpayer?
[00:35:33.106 --> 00:35:35.968]  To have these drones chasing you around on the streets?
[00:35:37.432 --> 00:35:47.418]  I remember IBM a decade ago funding the Digital Angel and seeing the Mexican Attorney General come out and say, I'm making my employees take these implantable chips.
[00:35:47.878 --> 00:35:51.820]  Well, now hospitals are pushing these on people and parents are being told in the U.S.
[00:35:51.880 --> 00:35:52.561]  it's a great thing.
[00:35:53.181 --> 00:36:03.607]  And I saw a report that tens of thousands of people in Mexico and in other areas south of Mexico and Latin America are taking these in the name of protecting themselves from kidnapping.
[00:36:04.389 --> 00:36:09.552]  So we see more and more the mainlining of these police state type control grids.
[00:36:10.192 --> 00:36:19.918]  And finally in police state news tonight, Natural News and Mike Adams have learned more about the Rossum food raids and other raids against dairies across the country.
[00:36:20.538 --> 00:36:41.457]  It turns out that just like in the raids against Amish that lasted in some cases over a year and spent more than a million dollars, they send in government agents posing as health food conscious people to set up the Amish and others to beg them, in some cases for months, to sell them some raw healthy milk.
[00:36:42.412 --> 00:36:55.117]  Then the police stage a SWAT team raid on the Amish and other groups so they can then show the armed raid to jurors and say, look, we wouldn't SWAT team somebody if they weren't a hardened criminal, put them in jail.
[00:36:55.477 --> 00:37:09.102]  Some of these people are facing multi-hundred thousand dollar bonds for the crime of producing and selling fresh raw milk cheeses that you can still buy at Whole Foods and other mainline stores for a limited time.
[00:37:09.722 --> 00:37:16.532]  So the police state isn't worried about the big banksters and their tens of trillions stolen of taxpayer money or the derivative scam.
[00:37:16.852 --> 00:37:25.023]  They're worried about people nationwide selling eggs, tomatoes, squash, and yes, raw, real milk to the population.
[00:37:25.566 --> 00:37:31.571]  Now in some interesting news that isn't as depressing, we have a report here out of Reuters.
[00:37:32.111 --> 00:37:35.254]  Astronomers discover a planet made of diamond.
[00:37:35.574 --> 00:37:43.340]  They've got radio telescopes that at hundreds and hundreds of light years away, in some cases thousands, can actually, with a spectrograph,
[00:37:44.701 --> 00:37:46.862]  Now coming back to a place a little closer, our little planet,
[00:38:10.589 --> 00:38:21.572]  Third rock from the sun here in the spiral arm of the Milky Way galaxy to a place in North Africa where a dictator for 42 years has controlled the nation.
[00:38:22.052 --> 00:38:25.013]  And he's being exchanged for another dictator.
[00:38:25.833 --> 00:38:33.755]  But this new dictatorship is the plutocratic offshore central banks that are now admitting that six months ago
[00:38:34.781 --> 00:38:37.082]  A month and a half before the U.N.
[00:38:37.122 --> 00:38:38.303]  resolution or the U.S.
[00:38:38.343 --> 00:38:54.850]  got involved in this new war that we were told wasn't a war and it was a kinetic military action, a month and a half before that was even announced to the world and Obama told us it would last days, not weeks, we are now told that yes, indeed,
[00:38:56.909 --> 00:38:57.169]  U.S.
[00:38:57.189 --> 00:39:03.414]  Special Forces, British Special Forces, NATO Special Forces were involved from the beginning.
[00:39:03.735 --> 00:39:09.179]  So it wasn't an organic uprising of the Libyan people against Muammar Gaddafi.
[00:39:09.599 --> 00:39:19.628]  No, it was Western Special Forces going in to the east of the country and being armed over the border from the nation of Libya.
[00:39:20.800 --> 00:39:34.408]  Egypt, and that those armed rebels tried to overthrow the government, and when Gaddafi resisted it, and resisted the Al Qaeda forces, that's who they admit they are, the world was told he was attacking peaceful demonstrators.
[00:39:34.908 --> 00:39:48.756]  So we take you now to our final report of the evening, filed by Rob Due on the subject of Libya and the unfolding humanitarian disaster.
[00:39:49.617 --> 00:39:51.998]  NATO hands terrorists who killed U.S.
[00:39:52.018 --> 00:39:53.698]  troops control of Libya.
[00:39:56.738 --> 00:40:00.659]  Al Qaeda gets a new home after the so-called rebels seize Tripoli.
[00:40:01.740 --> 00:40:02.260]  While U.S.
[00:40:02.280 --> 00:40:13.522]  troops are dying in Afghanistan and Iraq in the supposed war on terror, these same terrorists are now being handed control of an entire country and its lucrative resources.
[00:40:15.054 --> 00:40:20.857]  As a massive NATO bombardment of Tripoli aids the al-Qaeda-backed rebels in their overthrow of Colonel Qaddafi.
[00:40:21.877 --> 00:40:25.119]  Qaddafi himself has gone into hiding outside the city.
[00:40:25.779 --> 00:40:37.705]  Shortly after the start of the conflict in March, Hakeem al-Hassadi, the leader of the anti-Qaddafi rebel army, admitted that rebel ranks include al-Qaeda terrorists who have killed U.S.
[00:40:37.745 --> 00:40:39.526]  troops in Iraq and Afghanistan.
[00:40:40.266 --> 00:40:45.909]  Al-Hassadi describes the fighters as, quote, patriots and good Muslims, not terrorists.
[00:40:46.990 --> 00:41:02.199]  As the Wall Street Journal reported in a piece entitled, Ex-Mujahideen Lead Libyan Rebels, al-Qaeda terrorists who worked directly for bin Laden were tasked with recruiting, training, and acting as frontline field commanders for the rebel army.
[00:41:02.739 --> 00:41:02.879]  In 2002,
[00:41:04.580 --> 00:41:16.226]  French intelligence experts revealed how Western intelligence agencies bankrolled the Libyan al-Qaeda cell controlled directly by Osama bin Laden to hatch a plot to kill Colonel Qaddafi that was foiled in March of 1996.
[00:41:17.847 --> 00:41:19.788]  Indeed, it was Qaddafi's Libya
[00:41:20.408 --> 00:41:24.090]  Who put out the first Interpol warrant for Bin Laden's arrest in 1998.
[00:41:24.851 --> 00:41:33.616]  Western intelligence agencies blocked the warrant from being pursued, allowing Bin Laden and Al Qaeda to go on and kill more than 200 people in the truck bombings of the U.S.
[00:41:33.656 --> 00:41:35.617]  embassies in Kenya and Tanzania.
[00:41:36.717 --> 00:41:41.420]  Some of the very rebels now being funded, trained, and given embassies in Britain and U.S.
[00:41:41.740 --> 00:41:47.924]  were part of the Al Qaeda cell that tried to kill Gaddafi on behalf of the United States and Britain 15 years ago.
[00:41:49.039 --> 00:41:54.642]  Libya's future hinges on the globalist ability to lie long enough to get an occupation force in place.
[00:41:55.503 --> 00:42:04.407]  Richard Haass, president of the Fortune 500 line, Council on Foreign Relations, has stated clearly that, quote, Libya now needs boots on the ground.
[00:42:05.808 --> 00:42:07.209]  NATO boots, to be specific.
[00:42:08.095 --> 00:42:15.560]  The UK has already admitted to having prepared at least 200 more troops to land in Libya at any given moment.
[00:42:16.181 --> 00:42:20.944]  And arrangements are already underway to tap NATO members for additional troop commitments.
[00:42:22.885 --> 00:42:25.067]  This is Rob Due for InfoWars Nightly News.
[00:42:27.847 --> 00:42:34.412]  Well, great job this evening to our entire crew, and that basically concludes this special report.
[00:42:35.352 --> 00:42:39.615]  To be clear, we're going to be doing special reports that are more extensive, like the one you've just watched tonight.
[00:42:40.176 --> 00:42:46.560]  We're also going to have the focused, hard-hitting, condensed news program that will air Monday through Friday, 7 p.m.
[00:42:46.640 --> 00:42:47.721]  Central, that's 8 p.m.
[00:42:47.781 --> 00:42:49.862]  Eastern, every night for 30 minutes.
[00:42:50.262 --> 00:42:53.685]  But many evenings there will be expanded special reports.
[00:42:54.266 --> 00:42:54.907]  We're good.
[00:43:03.393 --> 00:43:08.297]  The very cutting edge of alternative media for 16 years and we're reaching so many millions of people.
[00:43:08.697 --> 00:43:12.700]  That's why we've built this new studio and are expanding.
[00:43:12.740 --> 00:43:22.408]  And what you're seeing here are just the very start and the beginnings of much wider things that we're going to be doing.
[00:43:22.448 --> 00:43:26.852]  And I want to thank all of you that are here at the genesis of this new operation.
[00:43:27.648 --> 00:43:33.233]  Now I told you that a lot of times at the end of the news show, or at the end of a special report, we'll have an expanded commentary.
[00:43:33.774 --> 00:43:45.144]  And so I want to leave you with more of Alex Jones with a report I filed yesterday, and we're premiering here, where I break down one of the most insane outrages I've ever seen.
[00:43:45.725 --> 00:43:48.767]  Every time I think that I have seen it all.
[00:43:49.705 --> 00:43:57.475]  Every time that I think that the global social engineers can't be more arrogant in their activities, I am.
[00:43:59.053 --> 00:43:59.433]  Shocked.
[00:44:00.074 --> 00:44:02.355]  Every time I think I can't be shocked, I am shocked.
[00:44:03.016 --> 00:44:10.461]  They have banned the police, the firefighters, the military, the heroes of 9-11 from being part of the 10th anniversary.
[00:44:11.162 --> 00:44:18.587]  And I answer the questions in this special report of why the establishment is doing something this bizarre.
[00:44:20.228 --> 00:44:21.631]  It's because they're scared of these people.
[00:44:21.671 --> 00:44:25.938]  They know these folks are awake to what really happened on 9-11 and that is the answer.
[00:44:26.219 --> 00:44:29.364]  So I take you now from Alex Jones to Alex Jones.
[00:44:29.384 --> 00:44:32.550]  We'll see you back live tomorrow on the radio 11 a.m.
[00:44:32.590 --> 00:44:32.891]  Central.
[00:44:41.698 --> 00:44:51.512]  Every time I think the globalists cannot top their outrageous crimes and bizarre behavior, I am completely blown away.
[00:44:53.052 --> 00:45:15.784]  CNN, Fox News, you name it, are reporting that the firefighters, the police officers, the National Guard, the medics, the doctors that rush towards the destruction as true heroes on 9-11 are barred from the September 11th, 10th anniversary events in New York.
[00:45:15.964 --> 00:45:17.345]  Here's the headline out of CNN.
[00:45:17.745 --> 00:45:21.668]  First responders to cry exclusion from 9-11 ceremony.
[00:45:21.768 --> 00:45:29.073]  Regardless of what the official story is, whether it's true or not, you can't debate that these men and women were heroes.
[00:45:29.734 --> 00:45:32.856]  They rushed in when everybody else ran out.
[00:45:33.336 --> 00:45:40.442]  Thousands of first responders died and they're now barred from being part of the memorial services.
[00:45:41.062 --> 00:45:42.203]  You have to ask yourself why.
[00:45:43.342 --> 00:45:49.786]  This is happening because they are questioning the official story, the official fairy tale.
[00:45:50.567 --> 00:45:57.251]  And they're also questioning the fact that they've been blocked from getting medical care for nine plus years.
[00:45:58.032 --> 00:46:01.354]  I'm the first person to officially question the official story of 9-11.
[00:46:02.375 --> 00:46:07.078]  And in the first few years, I went to ground zero on the anniversaries
[00:46:07.498 --> 00:46:09.999]  And a lot of the people there were angry at me.
[00:46:10.059 --> 00:46:12.780]  A lot of the first responders that were there were angry.
[00:46:12.880 --> 00:46:17.941]  But in the last five years, something else happened entirely.
[00:46:18.521 --> 00:46:29.765]  The majority of the first responders came over, firefighters, police, captains, commanders, you name it, and shook my hand.
[00:46:30.939 --> 00:46:33.040]  And said, we remember the bombs going off.
[00:46:33.420 --> 00:46:36.041]  We remember the reports of controlled demolition.
[00:46:36.281 --> 00:46:48.306]  After all, they were told that the air was safe to breathe, even though it was admitted that Christina Todd Whitman first reported deadly asbestos and other chemicals piled up feet deep.
[00:46:48.926 --> 00:46:55.010]  She was ordered by the White House to lie and tell first responders no respiration masks needed.
[00:46:55.130 --> 00:46:55.790]  Don't worry.
[00:46:56.190 --> 00:46:57.011]  Go in now.
[00:46:57.311 --> 00:46:58.352]  There's no health problem.
[00:46:58.592 --> 00:46:59.572]  And it gets even worse.
[00:46:59.632 --> 00:47:13.941]  Not only are these heroes barred from the 10th anniversary, where these whore politicians are going to grandstand and talk about how they're heroes and sell a police state in America and all these wars on the backs of the dead and dying.
[00:47:15.433 --> 00:47:19.156]  Now it's come out that they run them through a terror database.
[00:47:19.737 --> 00:47:26.262]  For nine years, we pushed to get health care for those who were poisoned by asbestos and other chemicals.
[00:47:26.623 --> 00:47:30.886]  And finally, Congress passed a paltry sum to give them some medical care.
[00:47:31.267 --> 00:47:36.771]  They say you've got to be run through a Homeland Security database every time you get that health care.
[00:47:37.032 --> 00:47:41.696]  So the firefighters, the police officers, the military survivors, the veterans,
[00:47:42.316 --> 00:47:46.479]  Are run through a terror database every time they get a prescription filled.
[00:47:46.939 --> 00:47:48.440]  Every time they get medical care.
[00:47:48.921 --> 00:47:50.241]  This is outrageous.
[00:47:50.301 --> 00:47:56.205]  And now we've learned unions all over the country make their members get homeland security approval to have a job.
[00:47:56.686 --> 00:48:05.572]  This is preparing everyone for a system where if you're not a good little New World Order minion, a good little globalist Nazi, you're not going to be able to have a job.
[00:48:06.232 --> 00:48:11.917]  And I remember watching Governor Ridge, the former head of Homeland Security, on C-SPAN admit this eight years ago.
[00:48:12.617 --> 00:48:15.880]  This is such an incredible betrayal.
[00:48:16.781 --> 00:48:33.934]  And it shows you why the federal documents we've received from law enforcement are so pertinent, where they list the number one terror threat as returning veterans, gun owners, libertarians, people that want to end the Fed, people that want to end these wars, people that want to get us out of the UN.
[00:48:34.975 --> 00:48:39.560]  The truth is, we have criminal banks in control of America that are looting this country.
[00:48:39.981 --> 00:48:48.911]  And they want to use the image of those firefighters and police, those heroes, to push their police state takeover and TSA going on the streets of America.
[00:48:49.332 --> 00:48:50.713]  And they don't want those angry...
[00:48:51.514 --> 00:49:07.286]  Survivors who have pointed out the deadly dust and pointed out the fact that there were bombs in the buildings, they don't want them down there with Obama and Bush and the rest of them, while these blood-sucking globalists use their heroics and their memory to sell their tyranny.
[00:49:07.466 --> 00:49:15.873]  But in the final equation, it is going to be truth, not delusions and not propaganda, that is going to save our republic and our society.
[00:49:16.653 --> 00:49:20.801]  and reverse the criminal tide that is dominating our species.
[00:49:21.783 --> 00:49:28.176]  It is going to be the cold hard facts that is going to defeat the globalists and their spin doctors and propaganda.
[00:49:29.022 --> 00:49:42.707]  That's why, in closing, I want to encourage all of you to spread the word about our new weeknight TV show that kicks off September 1st, next Thursday, at InfoWars.com and PrisonPlanet.tv.
[00:49:43.087 --> 00:49:49.570]  It's going to be a hard-hitting, focused, and condensed news broadcast for 30 minutes every night.
[00:49:50.170 --> 00:49:55.752]  And many weeknights, we're going to have expanded special reports that air right after the new news show.
[00:49:56.893 --> 00:49:57.413]  We're winning.
[00:49:58.783 --> 00:49:59.689]  We're waking people up.
[00:50:00.785 --> 00:50:06.310]  Free humanity cannot be stopped because the light of liberty burns in all of your hearts and souls.
[00:50:06.810 --> 00:50:10.053]  So please spread the word about InfoWars Nightly News.
[00:50:10.854 --> 00:50:16.478]  And please spread the word about the fact that no army can stop an idea whose time has come.
[00:50:17.039 --> 00:50:19.361]  Remember, this is an InfoWar.
[00:50:19.781 --> 00:50:21.362]  There's a war on for your mind.
[00:50:21.803 --> 00:50:29.209]  Break those mental shackles today and fulfill your destiny to be a free, sentient human being.
[00:50:29.409 --> 00:50:33.451]  You don't need me to tell you that humanity is in a deep crisis.
[00:50:33.851 --> 00:50:35.072]  Everyone can feel it.
[00:50:35.352 --> 00:50:43.797]  We know a tectonic struggle is now taking place against the forces of freedom and those who love darkness, bondage, and enslavement.
[00:50:44.237 --> 00:50:47.419]  Yes, my friends, evil is rising.
[00:50:47.679 --> 00:50:48.539]  But take heart.
[00:50:48.739 --> 00:50:52.241]  For every action, there is an equal and opposite reaction.
[00:50:52.521 --> 00:50:57.504]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:50:57.924 --> 00:51:01.507]  We are in an information war, and we are losing that war.
[00:51:01.767 --> 00:51:03.168]  The globalists are scared.
[00:51:03.488 --> 00:51:04.489]  They've overreached.
[00:51:04.830 --> 00:51:07.952]  The future of the info war is in your hands.
[00:51:08.392 --> 00:51:10.374]  Join PrisonPlanet.tv.
[00:51:10.574 --> 00:51:16.559]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:51:16.759 --> 00:51:23.584]  Continue to spread the word about the broadcast on YouTube, Facebook, Twitter, and every other globalist propaganda platform.
[00:51:23.724 --> 00:51:24.445]  We are going to use
[00:51:24.485 --> 00:51:25.832]  Use their system against them.
[00:51:25.973 --> 00:51:28.807]  The InfoWar now goes into high gear.
