[00:00:15.299 --> 00:00:18.540]  You want to stand up in the info war?
[00:31:08.032 --> 00:31:23.701]  And he's, if he, if the miracle happens and the American people wake up and they nominate him, they're going to get rid of him just like they did to Kennedy's and everyone else that allegedly a single assassin takes care of.
[00:31:24.582 --> 00:31:26.723]  Going all the way back to Abraham Lincoln.
[00:31:28.211 --> 00:31:33.979]  Russell, let me ask you a question from your historical research and just your gut sense for things that's proven accurate.
[00:31:34.540 --> 00:31:36.202]  You're somebody that stood up to tyranny.
[00:31:36.522 --> 00:31:38.925]  You've actually done more than just occupy a square.
[00:31:38.965 --> 00:31:42.430]  You physically occupied your own land and faced the federal attacks.
[00:31:43.871 --> 00:32:00.383]  Knowing this system, what's going to happen when a culture that sold their soul for convenience, for bread and circus football, who thinks it can't happen here, what's going to happen when the bottom completely drops out and the big banksters are offshore laughing about it?
[00:32:00.863 --> 00:32:02.824]  What is going to happen to the average person who
[00:32:04.085 --> 00:32:07.187]  Who is very soft and who doesn't have a culture.
[00:32:07.207 --> 00:32:11.450]  They have this plastic corporate culture that blows with the wind.
[00:32:12.151 --> 00:32:22.378]  I mean, if we had 7 million people, major university studies have shown, that starved to death or died from complications from malnourishment in the 10 years of the Great Depression,
[00:32:23.018 --> 00:32:25.479]  And 90% of people then were self-sufficient.
[00:32:25.959 --> 00:32:28.801]  Only 10% were totally urban and unself-sufficient.
[00:32:29.121 --> 00:32:30.142]  Now we have the flip.
[00:32:30.522 --> 00:32:33.123]  90% are urban and unself-sufficient.
[00:32:33.443 --> 00:32:37.285]  Of the 10% that are in the country, only 5% are self-sufficient.
[00:32:37.965 --> 00:32:40.907]  I mean, this sounds like a Beyond Road Warrior scenario.
[00:32:41.387 --> 00:32:51.452]  If things really do collapse like it looks like they are, and we see government and corporations racing around, digging in, and preparing for war with the people, what are they planning?
[00:32:53.004 --> 00:33:00.808]  You know, it's estimated that the big cities of America have about three to four days of food for the populace.
[00:33:02.168 --> 00:33:03.389]  Three to four days.
[00:33:04.790 --> 00:33:17.576]  Now, with America approaching chaos, absolute chaos, and it can't feed itself because it can't afford the imports any longer.
[00:33:18.036 --> 00:33:21.458]  It can't afford to buy anything.
[00:33:23.445 --> 00:33:32.467]  What we're going to be done, what is going to be done, is this is the most well-armed country in the world.
[00:33:34.347 --> 00:33:38.788]  Those guns are going to be used on each other and against law enforcement.
[00:33:39.188 --> 00:33:42.249]  It's just, it's going to be, that's what chaos is.
[00:33:43.489 --> 00:33:44.089]  Exactly.
[00:33:44.249 --> 00:33:50.991]  It's, it's going to be a country that's in rebellion and they don't even know why they're in rebellion.
[00:33:52.298 --> 00:33:56.004]  That's the sad part of what's coming, as I see it.
[00:33:56.905 --> 00:34:00.631]  Is it rebellion because they've lost their convenience?
[00:34:01.312 --> 00:34:04.337]  Is it rebellion because they've lost their self-sufficiency?
[00:34:04.758 --> 00:34:05.939]  It's all of the above.
[00:34:06.747 --> 00:34:10.608]  But without a value system, it's going to be chaos.
[00:34:11.088 --> 00:34:12.469]  Wow, very well said.
[00:34:12.509 --> 00:34:14.509]  In fact, you've really crystallized it for myself.
[00:34:15.209 --> 00:34:21.991]  People are just going to attack in all directions while the engineers of this sit offshore and kind of let us burn each other out.
[00:34:22.471 --> 00:34:23.852]  That's what they've done in Latin America.
[00:34:23.892 --> 00:34:27.653]  I've read the IMF World Bank documents where they say we'll let them riot for a year.
[00:34:27.993 --> 00:34:30.894]  They'll beg for us to come in with the military later.
[00:34:31.254 --> 00:34:31.874]  So how do we
[00:34:32.934 --> 00:34:41.340]  Use the chickens coming home to actually wake people up to go after the real threat, these corporate kleptocrats, instead of all of us just killing each other.
[00:34:41.360 --> 00:34:44.002]  I mean, how do we do that, Russell?
[00:34:45.503 --> 00:34:55.691]  You know, I've watched America go from where young people like when I was in grade school wanting to grow up to be a policeman.
[00:34:57.813 --> 00:35:02.837]  To where now every citizen is deathly afraid of the police.
[00:35:03.858 --> 00:35:12.045]  The police themselves have transformed into this agent of destruction.
[00:35:12.606 --> 00:35:17.470]  And they enjoy the persecution of individuals.
[00:35:17.670 --> 00:35:20.153]  Like you see what happened in Syria.
[00:35:21.434 --> 00:35:22.254]  It's happening here.
[00:35:25.306 --> 00:35:29.968]  I do believe, just like in Syria, this is what we're going to see in America.
[00:35:30.208 --> 00:35:32.209]  Except, America's well-armed.
[00:35:35.150 --> 00:35:38.931]  Yes, I mean, we saw millions of guns sold in the month of December.
[00:35:39.552 --> 00:35:50.536]  I mean, if even just a few percentage points of the 180 million people now that own guns use them, I mean, it's going to be watching us eat each other alive, basically.
[00:35:52.837 --> 00:35:54.698]  I'm really afraid for America.
[00:35:54.718 --> 00:35:56.519]  I'm not afraid for myself.
[00:35:57.740 --> 00:36:16.350]  You know, these concentration camps they call Indian Reservations, by the way, that's another show because this is legally Indian Reservation, federally recognized Indian Reservations in America, are still on the books as prisoner of war camps.
[00:36:17.370 --> 00:36:25.653]  And that technically, on the books of America, we're still in a state of war with the United States government.
[00:36:26.333 --> 00:36:36.517]  And how that came about was a lawyer friend at Guantanamo defending or trying to defend one of those so-called terrorists.
[00:36:39.538 --> 00:36:41.018]  It might be a terrorist, I don't know.
[00:36:41.339 --> 00:36:42.379]  But the point being,
[00:36:43.206 --> 00:36:50.292]  He, in his research, found out that Guantanamo was taken from Indian policy.
[00:36:50.752 --> 00:37:07.046]  So I and my friend, my younger brother, he's a lawyer, we went and researched even further into Pentagon files, etc., and found out that technically we're prisoner of war.
[00:37:07.873 --> 00:37:24.690]  Camps on these Indian reservations that explains why we don't do not have constitutional rights so What is going to happen is all these areas and you know, they got the FEMA camps and in it and everything else.
[00:37:25.010 --> 00:37:29.375]  They're prepared They're prepared to get the survivors
[00:37:30.666 --> 00:37:32.187]  Off to the prisoner of war camp.
[00:37:32.627 --> 00:37:43.650]  And then the docile few that are left will get in line for their jobs in a society that no longer is built on convenience.
[00:37:44.510 --> 00:37:45.311]  Boy, you said it.
[00:37:45.771 --> 00:37:58.055]  And that is the system, as much as I don't want to believe that, the system, the controllers are building their entire architecture, their entire stance is built around a total collapse and they're the ones
[00:37:59.415 --> 00:38:05.097]  Pulling the trigger to do it while telling the poor sheep that they're there wanting to keep them safe and take care of them.
[00:38:05.197 --> 00:38:09.098]  It is monstrous what they're attempting to do.
[00:38:09.118 --> 00:38:13.479]  I want to shift gears now into your health.
[00:38:13.599 --> 00:38:16.760]  I mean, I've been watching the videos that you've been doing, your updates.
[00:38:16.780 --> 00:38:19.701]  We've been posting them on my YouTube channel and at InfoWars.com.
[00:38:20.221 --> 00:38:23.062]  And I'm excited to see you getting better and better and better and better.
[00:38:23.122 --> 00:38:27.784]  And I mean, I saw an update you did a few weeks ago and you look even better and sound better than then.
[00:38:28.624 --> 00:38:30.605]  Russell, I mean, are you 100% cured?
[00:38:30.645 --> 00:38:36.127]  And how did you do it when they told you, you know, basically you didn't have any hope at the regular doctors?
[00:38:37.488 --> 00:38:41.649]  Well, my wife had a tremendous amount to do with it.
[00:38:41.689 --> 00:38:43.070]  She's the miracle worker.
[00:38:43.110 --> 00:38:44.070]  She saved my life.
[00:38:44.711 --> 00:38:49.893]  But we use alternative medicines that are only available in three states.
[00:38:51.474 --> 00:38:56.619]  Alternative cancer treatments are illegal in 47 of the 50 states.
[00:38:56.699 --> 00:39:02.644]  The only three, of course, as you know, are Nevada, Utah, and Arizona.
[00:39:02.684 --> 00:39:10.431]  Well, we found alternative methods that naturopathic doctors who study the insides
[00:39:11.912 --> 00:39:17.575]  of the human body for the same length of time as MDs, medical doctors.
[00:39:18.075 --> 00:39:22.076]  So these naturopathic doctors we consulted.
[00:39:22.497 --> 00:39:26.478]  We also went to an oncologist who does tomotherapy.
[00:39:26.498 --> 00:39:30.920]  He's the only one in the United States does tomotherapy on a regular basis, full time.
[00:39:31.581 --> 00:39:37.003]  When that is the lifesaver, by the way, because it's a laser like machine that only kills
[00:39:38.568 --> 00:39:40.269]  Cancer cells, not good cells.
[00:39:40.289 --> 00:39:46.851]  See, radiation, when they throw it on you, it kills good cells, more good cells than cancer cells.
[00:39:47.791 --> 00:40:05.156]  So, we went with him for laser treatment, and we went to then, of course, to my own people, both in Mexico, Canada, and on different reservations in America, and we got Indian medicine.
[00:40:06.502 --> 00:40:11.925]  Now, my oncologist and the naturopath have asked just exactly what it was.
[00:40:12.026 --> 00:40:23.913]  Well, my wife is going to write a book on our six-month journey defeating cancer because, as you know, I completely defeated it, including lung cancer.
[00:40:23.993 --> 00:40:25.294]  I had two separate cancers.
[00:40:26.134 --> 00:40:29.517]  The esophageal cancer of the tongue and throat.
[00:40:30.362 --> 00:40:35.906]  And the lymph nodes, and the neck, and then I have a separate cancer in the lungs.
[00:40:36.287 --> 00:40:36.527]  Wow.
[00:40:36.927 --> 00:40:37.628]  We got through it.
[00:40:38.168 --> 00:40:50.758]  But the worst thing is what we found out that this country, it's a mass, mass conspiracy to make American people sick.
[00:40:53.631 --> 00:41:04.718]  Well, as you said, with the American Indians, with the sterilization, the bad meat, the blankets with the smallpox, with the British officers' manuals, I mean, this is all on record.
[00:41:05.138 --> 00:41:10.241]  It's been duplicated everywhere, all over the world, and expanding on that.
[00:41:10.261 --> 00:41:16.445]  I mean, for those that don't know, who just are watching for the first time, or may have heard in the newspapers all over the country that you had cancer, it was big news.
[00:41:17.185 --> 00:41:26.392]  Now that you've beaten it, it's not big news, and it should be, because of the conspiracy, the money they make off killing you, you had gotten where you couldn't even talk.
[00:41:26.412 --> 00:41:28.213]  I mean, tell people how bad it was.
[00:41:28.273 --> 00:41:30.975]  I mean, you lost all that weight in a matter of weeks.
[00:41:31.675 --> 00:41:32.336]  It was amazing.
[00:41:32.376 --> 00:41:33.396]  Tell that story briefly.
[00:41:34.637 --> 00:41:39.401]  Well, I lost a pound a day for 65 days.
[00:41:39.421 --> 00:41:41.042]  That was the average.
[00:41:41.442 --> 00:41:44.484]  I lost 65 pounds in less than two months.
[00:41:47.239 --> 00:41:49.860]  What happened is that I just couldn't eat.
[00:41:51.280 --> 00:41:54.181]  And I didn't want to eat no matter what was happening.
[00:41:54.201 --> 00:42:01.004]  And of course, after I was diagnosed, all energy left me.
[00:42:01.844 --> 00:42:12.468]  And so we went to the naturopathic doctors, we started getting intravenous blood work done, which
[00:42:14.326 --> 00:42:32.211]  They extract about a third of a quart of blood from you, they clean it of toxins and heavy metals, and then they inject oxygen, mistletoe, and vitamin C, which all kill cancer cells.
[00:42:33.312 --> 00:42:36.013]  And they used other supplements that I took.
[00:42:36.733 --> 00:42:43.435]  But the biggest help, and all of the doctors, naturopathic and the oncologists, they want to know
[00:42:44.825 --> 00:42:46.886]  What kind of Indian medicine?
[00:42:47.006 --> 00:42:48.047]  They're the only ones.
[00:42:48.947 --> 00:42:52.509]  The whole world hasn't come to our door.
[00:42:53.830 --> 00:42:57.812]  It's amazing how this whole thing has been kept silent.
[00:42:58.352 --> 00:43:05.235]  But man, have we found out the vast conspiracy in every aspect of American industry.
[00:43:05.255 --> 00:43:10.218]  You know, the pharmaceutical, the military, the medical.
[00:43:11.575 --> 00:43:17.841]  The government, it's to disease us up and then sell us the drugs.
[00:43:18.341 --> 00:43:23.866]  The drugs are what make you weak and keep the recurrence of cancer coming back.
[00:43:25.127 --> 00:43:37.818]  All those, and I took them for a while, sugar diabetes pills, rheumatoid arthritis pills, hypertension pills.
[00:43:38.856 --> 00:43:45.803]  Those are made of chemicals that the human body cannot process adequately or even definitively.
[00:43:45.883 --> 00:43:51.568]  Oh yeah, the additives in the food that they allow them to put in are... I mean, look at diabetes, cancer.
[00:43:51.608 --> 00:43:53.389]  The United States leads the world.
[00:43:53.690 --> 00:43:59.234]  And I've seen studies where people 50 years ago ate all the fat, the unhealthy food, and weren't fat.
[00:44:00.195 --> 00:44:07.301]  It's all the additives that are making people swollen with water because of the toxins and they know exactly what they're doing.
[00:44:07.321 --> 00:44:18.249]  I mean, I personally finally, you know, watching you with, you know, cancer and others, I finally went ahead and started getting off totally, you know, the processed stuff, taking real vitamins and minerals.
[00:44:18.289 --> 00:44:22.893]  I've lost 37 pounds, I mean, by eating nothing processed.
[00:44:22.933 --> 00:44:25.675]  I mean, it's almost instant and it really is true
[00:44:26.135 --> 00:44:34.557]  That the system, McDonald's and others, and the foaming agents and their McNuggets, and I wasn't eating that, they're allowed to put silicone in it, Russell?
[00:44:34.617 --> 00:44:36.277]  I mean, well, it's incredible.
[00:44:36.957 --> 00:44:40.718]  It's only 40% of a hamburger is meat.
[00:44:41.678 --> 00:44:52.380]  The rest is hooves, it's cow manure, it soars from the hides and the muscles, it's, oh my God, it's gristle.
[00:44:53.540 --> 00:44:58.081]  Uh, what they put into hamburgers is, is, should be illegal.
[00:44:59.962 --> 00:45:00.242]  Wow.
[00:45:00.642 --> 00:45:04.063]  But I mean, here you are just progressively, I mean, you're cured then.
[00:45:04.103 --> 00:45:06.323]  I mean, I mean, you look better than before you had cancer.
[00:45:07.264 --> 00:45:07.424]  Right.
[00:45:07.504 --> 00:45:10.725]  I'm, I'm back to my fighting weight, man, when I used to box.
[00:45:15.151 --> 00:45:16.671]  Well, congratulations on that.
[00:45:16.711 --> 00:45:23.893]  We've had your website up during the interview, and hopefully this can be, you know, the next of many interviews, you know, now that you're back.
[00:45:23.993 --> 00:45:34.735]  I was, you know, we all prayed for you on the radio as well, and I know your supporters around the country did, and, you know, you cannot deny, I mean, I know there's studies out there that people's prayers also help.
[00:45:36.115 --> 00:45:36.375]  Right.
[00:45:37.295 --> 00:45:40.316]  Now, in the final announcement, I'd like to say this.
[00:45:41.414 --> 00:45:49.620]  That no matter what Obama says or anyone else in the country about what's happening in the international community, it's a lie.
[00:45:51.302 --> 00:45:58.107]  The American people now are being told nothing and everything about lies.
[00:45:59.027 --> 00:46:03.010]  It's really a pathetic government we have here now.
[00:46:04.211 --> 00:46:06.113]  And we've got to do something about it.
[00:46:08.678 --> 00:46:09.499]  I agree with you.
[00:46:09.519 --> 00:46:14.945]  I mean, what are some of your ideas to... I mean, I think the public's starting to wake up now that we're getting pure lies.
[00:46:16.147 --> 00:46:23.475]  Well, first of all, if you re-elect anybody, you're a masochist at the very best.
[00:46:24.571 --> 00:46:36.494]  But what has to happen, aside from that, is occupy Senators' offices, local and national.
[00:46:36.634 --> 00:46:37.935]  Occupy D.C.
[00:46:38.595 --> 00:46:53.499]  Do something that will get America's attention and use the facts, the facts you hear on this show, the facts you hear from all over the web,
[00:46:54.642 --> 00:46:57.745]  We've got to start acting like Americans.
[00:46:59.866 --> 00:47:02.368]  Separately, a few little other issues I want to get your view on.
[00:47:02.769 --> 00:47:05.431]  Here's SOPA, where they're openly trying to restrict free speech.
[00:47:06.151 --> 00:47:16.460]  Here's top Obama people we covered in the news earlier, openly saying start shutting down the conspiracy terrorist with alternative medicine, people criticizing vaccines.
[00:47:16.980 --> 00:47:18.081]  They say arrest us.
[00:47:18.141 --> 00:47:21.404]  I mean, they know that people are really starting to get wise to them.
[00:47:23.067 --> 00:47:40.046]  I believe they do and they're panicking and in panic they're going to make mistakes and we better start really being attuned to what's going around us and quit watching those networks, ABC, CBS.
[00:47:41.207 --> 00:47:44.490]  NBC, it's pathetic what they're putting out.
[00:47:44.931 --> 00:47:50.015]  You know, Russell, something's happening here, and I want to get your view on this while we have you.
[00:47:51.216 --> 00:47:55.120]  I have been conscious to the eugenics, the population reduction, the poisoning.
[00:47:55.180 --> 00:47:56.041]  I have the documents.
[00:47:56.401 --> 00:47:57.302]  You have the documents.
[00:47:57.322 --> 00:48:04.188]  They're all out there, not just for American Indians, but people all over the world this system is being used against.
[00:48:04.548 --> 00:48:06.130]  And even though I was conscious of it,
[00:48:06.710 --> 00:48:11.214]  Until the last few months, I hadn't even put what I knew into action.
[00:48:11.574 --> 00:48:20.882]  And I think it's that separate, you know, system of Russell Means is awake and knows the system can't be trusted, but you've got a local doctor who means well, who's compartmentalized.
[00:48:21.242 --> 00:48:23.444]  They're saying, take all these pills, so you take them.
[00:48:24.184 --> 00:48:24.985]  I'm the same way.
[00:48:25.165 --> 00:48:29.369]  I know that, you know, the GMO is poison, but then I don't do all I can to stay away from it.
[00:48:29.389 --> 00:48:35.113]  You know, there's a difference between, and I want your take on this, because I don't know what you call it, knowing something
[00:48:35.914 --> 00:48:40.216]  But still, it's almost like it's a fiction, even though you know it's true, and actually living it.
[00:48:40.236 --> 00:48:43.378]  You know, it's one thing to talk the talk versus walk the walk.
[00:48:43.398 --> 00:48:44.178]  Do you see what I'm saying?
[00:48:45.079 --> 00:48:47.080]  Oh, very much so, because I'm a vegan.
[00:48:47.100 --> 00:48:54.543]  You know, I come from what is America, which is a meat-eating culture.
[00:48:55.764 --> 00:48:59.686]  I'm a vegan now, and it's the only way to wellness.
[00:48:59.906 --> 00:49:03.228]  It's the only way your body can naturally fight off
[00:49:04.575 --> 00:49:12.120]  Uh, these introductory, I mean these first introduction diseases, it's uh, it's
[00:49:14.484 --> 00:49:31.440]  If they did not subsidize the beef industry, for instance, or the poultry industry, or the fish industry, or the agricultural industry, food would be astronomical and we would be forced to be vegans because we'd be growing our own.
[00:49:31.500 --> 00:49:34.964]  And as you said, only 5% of us are self-sufficient now anyway.
[00:49:35.344 --> 00:49:38.127]  But what I want to point out about
[00:49:40.323 --> 00:49:51.612]  Uh, the beef industry, if the subsidization, and this is how much taxes, your taxes, everyone's taxes are going towards just the beef industry alone.
[00:49:52.293 --> 00:50:00.219]  If you took away those subsidies, a steak would cost $90 in the supermarket and a pound of hamburger would cost $35.
[00:50:00.259 --> 00:50:00.960]  My God.
[00:50:06.955 --> 00:50:09.816]  And the chickens are starting to come home to roost.
[00:50:10.156 --> 00:50:13.597]  Well, Russell, thank you so much for joining us.
[00:50:13.677 --> 00:50:16.058]  And again, I look forward to speaking to you again in the future.
[00:50:16.438 --> 00:50:18.999]  And we're really glad to see you back and better.
[00:50:19.019 --> 00:50:28.182]  And it's certainly a testament to stuff that they call alternative medicine, that in so many cases the system is trying to suppress because it's the real treatments.
[00:50:28.362 --> 00:50:29.742]  It's not the alternative.
[00:50:30.103 --> 00:50:32.143]  And we won't get a chance to talk to you, I know, for a while.
[00:50:32.283 --> 00:50:34.344]  Anything else you'd like to tell the audience out there?
[00:50:36.263 --> 00:50:42.006]  Just what I've just always been saying every time I'm with you, we gotta do something and do it fast.
[00:50:42.026 --> 00:50:44.948]  All right, Russell, I want to say bye to you right at the end.
[00:50:44.988 --> 00:50:47.329]  I'm going to end the show and come back and say bye to you privately, okay, my friend?
[00:50:47.810 --> 00:50:48.370]  All right, my friend.
[00:50:48.550 --> 00:50:49.030]  All right, great.
[00:50:49.511 --> 00:50:54.494]  Well, folks, that's it for that powerful interview here on M4's Nightly News.
[00:50:54.814 --> 00:51:02.098]  I'm going to play some excerpts of this in the next few days, also on the syndicated radio show that airs 12 noon Eastern, 11 a.m.
[00:51:02.138 --> 00:51:04.559]  Central, 9 a.m.
[00:51:04.619 --> 00:51:05.080]  Pacific.
[00:51:06.324 --> 00:51:09.967]  But you can also go to YouTube and watch for free.
[00:51:10.007 --> 00:51:12.088]  It's also posted here at PrisonPlanet.TV.
[00:51:12.489 --> 00:51:23.737]  Welcome to the Reservation, hour-long documentary we did with Russell Means that we put out for folks to actually get what Russell really stands for, not what the corporate-controlled media says he stands for.
[00:51:23.797 --> 00:51:27.099]  Very interesting fellow, and one of a kind, certainly.
[00:51:27.539 --> 00:51:29.020]  Okay, that's it for this edition.
[00:51:29.080 --> 00:51:33.844]  Great job to the crew, and hopefully we'll see you back here tomorrow night, 7 o'clock Central.
