[00:00:21.676 --> 00:00:24.639]  Good evening and welcome to InfoWars Nightly News.
[00:29:18.636 --> 00:29:26.280]  If that happens, the cost of everything from credit card debt to home mortgages, along with the cost of borrowing for the country, will shoot up and the U.S.
[00:29:26.300 --> 00:29:30.182]  will experience a recession like you've never seen before, Boyles said.
[00:29:31.022 --> 00:29:35.085]  Simpson said the commission members differed on when they thought the temping point might come.
[00:29:35.987 --> 00:29:39.108]  But no one thought it would be more than two years away.
[00:29:39.749 --> 00:29:41.589]  Okay folks, time to get prepared.
[00:29:42.730 --> 00:29:51.033]  So just last year, we had politicians saying that we've got about two years to get our house in order or there's going to be an economic collapse with the way things are going.
[00:29:52.334 --> 00:29:59.757]  Now we're going to turn to our guest who has written a book, he's written several books, but this particular one that we carried, InfoWars.com Survivors, talks about
[00:30:01.141 --> 00:30:07.443]  What's going to happen after the collapse, or what leads up to it, and the things that people did to prepare.
[00:30:07.663 --> 00:30:12.164]  It's Survivors by James Wesley Rawls, a novel of the coming collapse.
[00:30:13.364 --> 00:30:16.225]  And Jim Rawls is a former U.S.
[00:30:16.385 --> 00:30:17.865]  intelligence officer and survivalist.
[00:30:17.905 --> 00:30:23.087]  He's got survivalblog.com, and he's been writing since the mid-80s, since he got out to college.
[00:30:23.107 --> 00:30:24.127]  So let's welcome him on the show.
[00:30:24.167 --> 00:30:25.287]  Hey, Jim, how's it going?
[00:30:25.908 --> 00:30:26.308]  Just fine.
[00:30:26.328 --> 00:30:27.168]  Thanks for having me on.
[00:30:27.884 --> 00:30:31.065]  So, I read this book, oh, I guess two months ago.
[00:30:31.926 --> 00:30:37.388]  Somebody had left it on the book counter, and the cover is what caught my eye.
[00:30:37.928 --> 00:30:39.768]  You got a guy walking in on a horse.
[00:30:39.928 --> 00:30:52.313]  He's got an AK with no stock strapped to his back, and there's fires, and basically, you know, something out of a scene of the road, looks like he's walking into.
[00:30:53.293 --> 00:30:54.574]  So tell us a little bit about Survivors.
[00:30:55.610 --> 00:30:59.431]  Sure, Survivors is a novel set in the near future.
[00:31:00.652 --> 00:31:08.434]  It describes a classic hyperinflation and socioeconomic collapse that's very severe.
[00:31:09.154 --> 00:31:15.676]  It brings the power grids down and essentially brings our national economy to a grinding halt.
[00:31:17.134 --> 00:31:26.182]  And it's a sequel to my novel Patriots, which has been kind of a perennial favorite in preparedness circles since the early 90s.
[00:31:27.463 --> 00:31:44.418]  And it follows a number of characters and their reactions to the economic collapse and how they scramble to, how they react, how they pull through that situation.
[00:31:45.111 --> 00:31:52.674]  In my first novel, Patriots, the main characters were fairly well prepared.
[00:31:52.694 --> 00:31:57.937]  In Survivors, which is set in the exact same time period but different geography,
[00:31:59.409 --> 00:32:12.078]  The main characters are not very well prepared for the collapse, and I get the opportunity there to talk about a lot of alternative ways to get through hard times.
[00:32:12.659 --> 00:32:12.919]  Right.
[00:32:13.379 --> 00:32:14.540]  Techniques and technologies.
[00:32:14.800 --> 00:32:22.225]  To me, you know, it seems like this book is geared toward people who may have been thinking about these types of issues, but they aren't
[00:32:23.206 --> 00:32:28.029]  Going into the action phase, the one lady is hoarding seeds.
[00:32:28.149 --> 00:32:33.753]  She doesn't really know why, but she's gotten some advice and she's going to hoard seeds.
[00:32:35.174 --> 00:32:42.619]  The one group who has the farm out in the west, they find that their father was really well prepared when they break open the wall.
[00:32:42.639 --> 00:32:47.202]  I'm giving some of the book away, but they break open this wall and find a cache of silver and guns.
[00:32:48.806 --> 00:32:49.347]  You know, stuff.
[00:32:49.667 --> 00:32:59.577]  So it shows that, what I like, that it's not totally impossible to get yourself prepared even if you've only done one or two things.
[00:32:59.597 --> 00:33:04.922]  You can still get in that mindset and still continue, you know, along the path.
[00:33:04.982 --> 00:33:10.428]  Because, you know, this is something that even our government officials are saying that could happen within two years now.
[00:33:10.548 --> 00:33:11.549]  They put a timetable on it.
[00:33:12.520 --> 00:33:21.350]  That's right, and of more immediate concern, we're looking at a Greek financial crisis that may come to a head in as little as five weeks.
[00:33:22.491 --> 00:33:32.282]  There's a lot of concern that the Greek crisis could, in addition to just breaking apart the European Union,
[00:33:33.160 --> 00:33:53.060]  Caused massive bank runs, a major liquidity crisis with cascading margin calls rippling their way all the way around the planet, stock market collapses, bond market problems with failed governmental bond auctions.
[00:33:53.201 --> 00:33:55.303]  It could be a serious, serious problem.
[00:33:56.716 --> 00:34:06.878]  I agree, and what I've been telling people in my circle of friends and people I know is that what you're going to see in Europe, we're two to three years down the line is going to happen here.
[00:34:07.878 --> 00:34:19.101]  We've got a little, I think by being so spread out, I think there are things that would take longer to hit some places than others, but definitely in the cities you're going to have some immediate problems, say if the electricity goes out for some
[00:34:19.921 --> 00:34:20.461]  We're good to go.
[00:34:37.113 --> 00:34:59.694]  Well, it's very difficult to predict, but suffice it to say, I think we could see, at the very minimum, some large bank runs and a collapse of the FTSE in England and all the other major stock indices in Europe, starting with the financial stocks.
[00:35:01.048 --> 00:35:13.477]  We could very well see considerable turmoil and if it turns into a global credit collapse, it could have some very wide-reaching repercussions.
[00:35:14.297 --> 00:35:17.860]  One of the great imponderables is the derivatives market.
[00:35:18.620 --> 00:35:23.924]  There are hundreds of trillions of dollars in derivatives in play at any given time and
[00:35:24.901 --> 00:35:32.946]  Because the derivatives market is essentially new, it's really built up just in the last eight years, it really doesn't have a track record.
[00:35:33.827 --> 00:35:36.828]  It wasn't there in 1987 when they had the stock market collapse then.
[00:35:43.223 --> 00:35:45.644]  There was no real derivatives market at that time.
[00:35:45.664 --> 00:35:48.304]  Well, there was a fraction of what exists now.
[00:35:49.024 --> 00:35:51.445]  Nothing near the scale that exists now.
[00:35:51.965 --> 00:35:54.846]  So the counterparty risk for derivatives is huge.
[00:35:55.866 --> 00:36:10.630]  And if entire counterparties disappear, and some of those counterparties are actual sovereign risks, as in national governments, if those governments can't meet those obligations, the implications could be enormous.
[00:36:12.639 --> 00:36:13.480]  Let's go back to your book.
[00:36:13.900 --> 00:36:28.890]  One of the things I like about the book, and if you guys want to get an overhead shot of this, that'd be great, is, you know, and a lot of people do this, but your quotes, I really liked each one, and I had to read a couple of them several times over, but in Chapter 3, you have a, you know, Thomas Jefferson quote, probably one most people have seen,
[00:36:32.953 --> 00:36:43.779]  Uh, the issue of their currency, first by inflation, then by deflation, the banks and the corporations will grow up around them, will deprive the people of all their property until their children wake up homeless and the continent their fathers conquered.
[00:36:44.260 --> 00:36:49.403]  The issuing power should be taken from the banks and restored to the people to whom it properly belongs.
[00:36:50.563 --> 00:36:57.426]  Yeah, that one is actually a paraphrase because they didn't use the terms inflation and deflation in that time period, but it is a good one.
[00:36:57.927 --> 00:36:58.187]  Yeah.
[00:36:58.667 --> 00:37:16.255]  Well, I like how you started each chapter with one of those, and how, you know, you've got the one character who's in the army overseas, and he's got to make his way back through a Europe that has also collapsed, and using gold and silver.
[00:37:16.615 --> 00:37:17.396]  Talk about some of the things.
[00:37:17.436 --> 00:37:19.777]  I forget the character's name right off the top of my head.
[00:37:20.177 --> 00:37:21.138]  His name is Andy Lane.
[00:37:21.198 --> 00:37:22.378]  He's an army captain.
[00:37:22.538 --> 00:37:22.798]  Right.
[00:37:23.239 --> 00:37:28.402]  Who was released from active duty in Afghanistan just as the collapse is unfolding.
[00:37:29.342 --> 00:37:34.065]  And he's sent back to Germany as part of his out-processing.
[00:37:35.205 --> 00:37:46.612]  But then he ends up getting stranded and there's all the commercial flights have been grounded both because of the economic turmoil and because of some hijackings and bombing terrorism that's going on.
[00:37:47.612 --> 00:37:49.714]  There's no flights going back to the United States.
[00:37:50.314 --> 00:37:55.257]  Even the military airlift command flights have been totally disrupted.
[00:37:56.038 --> 00:37:59.840]  So he has to find his way back to the United States in the midst of all of this.
[00:38:00.261 --> 00:38:01.842]  It makes for a pretty dramatic story.
[00:38:02.102 --> 00:38:04.964]  It does, because he doesn't come right back to the United States.
[00:38:05.004 --> 00:38:06.625]  He has to make his way...
[00:38:07.445 --> 00:38:07.746]  Yeah.
[00:38:07.766 --> 00:38:10.748]  He has really great adventures on the way.
[00:38:10.928 --> 00:38:13.309]  He does, and it's a great book.
[00:38:14.510 --> 00:38:17.833]  One of the other parts is the bad guys in this.
[00:38:17.913 --> 00:38:26.239]  It's a roving gang that just grows and grows and grows as it goes and just conquers each kind of holdout settlement.
[00:38:26.479 --> 00:38:32.643]  What kind of research did you do into this gang type of warfare that could happen?
[00:38:33.023 --> 00:38:36.606]  I was researching MS-13, which is a particularly violent
[00:38:37.546 --> 00:39:01.112]  gang and their modus operandi really isn't too much different in the novel from what they do today except in if you end up in a situation without rule of law where there's a vacuum of law enforcement the gangs will have the opportunity to you know run rampant and take over entire towns
[00:39:02.091 --> 00:39:02.651]  I think so.
[00:39:32.882 --> 00:39:40.912]  And one more section in Survivors that I thought was interesting was
[00:39:43.226 --> 00:39:46.588]  The way people were forming bonds and communities out of necessity.
[00:39:47.248 --> 00:39:51.150]  People would show up and they had supplies that would help with another group.
[00:39:51.410 --> 00:39:57.253]  Specifically the two, the husband and wife, who were flying in their little flying machines and ending up in places.
[00:39:57.313 --> 00:39:59.574]  And then they pick up and take off.
[00:40:00.815 --> 00:40:05.457]  I guess, what's the mindset of people that are going to have to rebuild communities?
[00:40:06.218 --> 00:40:10.380]  What is going to happen if we do get into a crunch situation?
[00:40:11.206 --> 00:40:16.871]  Well, in the crunch, I think people are going to have to either pull together or perish.
[00:40:18.092 --> 00:40:21.495]  If there's going to be any rebuilding, it really needs to be done from the bottom up.
[00:40:22.215 --> 00:40:31.523]  If the experience of Hurricane Katrina taught us anything, it is that disaster response fails horribly when it's from the top down.
[00:40:32.263 --> 00:40:37.528]  But the response from the bottom up, from the community grassroots level, can be quite effective.
[00:40:38.371 --> 00:40:42.913]  And in both my novel Patriots and later in Survivors, I described how people do that.
[00:40:43.433 --> 00:40:48.895]  Well, and I noticed that there's not a lot of government solutions in this book.
[00:40:49.195 --> 00:40:51.936]  In fact, there seems to be a lack of government.
[00:40:54.377 --> 00:41:03.340]  Just like in Patriots, there's a foreign occupational army that comes in, and there's a war of resistance against them.
[00:41:03.880 --> 00:41:05.881]  But that's the only real government that springs up.
[00:41:07.314 --> 00:41:18.661]  In terms of top-down government, and it's bad government, and a lot of the drama in both novels involves trying to restore constitutional government.
[00:41:19.902 --> 00:41:22.203]  So what got you started into writing on these subjects?
[00:41:23.864 --> 00:41:25.605]  What was your impetus for that?
[00:41:26.126 --> 00:41:33.590]  I was an army intelligence officer, and a lot of my research, some of which was in the classified arena,
[00:41:35.885 --> 00:41:39.647]  led me to believe that modern societies are very fragile.
[00:41:40.867 --> 00:41:57.253]  And I recognized in all these country studies, seeing country after country, where the fragility of the system can meet a brick wall, and things can fall apart very quickly and easily.
[00:41:59.187 --> 00:42:08.876]  It's happened again and again all over the world and then I recognized the fact that our own society was even more fragile because we have even longer chains of supply.
[00:42:09.536 --> 00:42:14.881]  We have an even greater dependence upon the power grids in particular and technology in general.
[00:42:15.942 --> 00:42:18.384]  And that's why in the winter of 1990-1991 I began drafting my novel Patriots.
[00:42:23.991 --> 00:42:27.172]  So you saw the handwriting on the wall of something that could potentially happen.
[00:42:27.192 --> 00:42:29.512]  Right.
[00:42:30.252 --> 00:42:31.352]  Some things we can't stop.
[00:42:31.432 --> 00:42:31.892]  I know that.
[00:42:31.972 --> 00:42:47.375]  We can at least speak out against our governments and the banking systems that look like they are imploding this stuff by design, on purpose, and just so they can go around and collect up the pieces after they fall.
[00:42:47.395 --> 00:42:51.456]  In my conversation with Alex Jones earlier this week,
[00:42:52.655 --> 00:43:06.499]  Part of our conjecture was whether there might be a planned economic collapse, but both Alex and I wondered if that situation might get beyond their control.
[00:43:07.340 --> 00:43:17.863]  They might stage a crisis as part of the Hegelian dialectic, but then if the reins of power get out of their hands, if
[00:43:18.695 --> 00:43:31.383]  Society collapses so completely that there's no longer a functioning military, no longer a functioning law enforcement system, and no longer a functioning financial system.
[00:43:32.143 --> 00:43:33.624]  Basically, it's out of their hands.
[00:43:33.704 --> 00:43:36.446]  They basically have created a house of cards.
[00:43:37.186 --> 00:43:39.868]  It will fall in front of them and
[00:43:40.905 --> 00:43:42.866]  They won't be the ones putting things back together.
[00:43:43.146 --> 00:43:43.386]  Right.
[00:43:43.546 --> 00:43:44.567]  No, it's going to be up to us.
[00:43:44.967 --> 00:43:51.090]  And that's what people have to look in the mirror and realize that the solutions are not going to come from the government.
[00:43:51.110 --> 00:43:52.530]  They're not going to come from the police.
[00:43:52.750 --> 00:43:54.551]  These guys are going to be trying to protect their families.
[00:43:54.631 --> 00:44:03.015]  As you point out in your book, at this Air Force base, all of a sudden there was nobody there minding the armory.
[00:44:03.175 --> 00:44:10.258]  And that's because these people are going to be running to the hills as well, or trying to take care of their families and their loved ones.
[00:44:10.879 --> 00:44:10.999]  Right.
[00:44:12.599 --> 00:44:18.241]  It is important that people plan ahead and that they stock up and train as best as they can.
[00:44:18.841 --> 00:44:25.642]  It'll only be the families that are well prepared where you'll have people that can keep an eye on the big picture.
[00:44:25.662 --> 00:44:26.262]  Right.
[00:44:26.583 --> 00:44:27.923]  Be part of the real solution.
[00:44:28.443 --> 00:44:37.065]  Because if you're worried about where you're going to get your next meal, you're not going to be in any position to be one of the ones that is restoring order.
[00:44:37.881 --> 00:44:39.182]  Well, let's go into some of those things.
[00:44:39.242 --> 00:44:40.624]  What can some people do to prepare?
[00:44:40.664 --> 00:44:44.708]  What are, like, a top five, I guess, that people can do right now?
[00:44:44.728 --> 00:44:54.018]  The top of the list would be water filtration and identifying open water sources you can draw water from.
[00:44:55.757 --> 00:44:57.539]  Then beyond that, of course, food storage.
[00:44:58.561 --> 00:45:02.968]  Starting out by just doubling up on the staple foods that you buy on a regular basis.
[00:45:03.008 --> 00:45:06.873]  Things like pasta, wheat, rice, beans, honey.
[00:45:07.234 --> 00:45:09.077]  Things that store for a long period of time.
[00:45:10.379 --> 00:45:16.742]  And then beyond that, moving on to longer term storage foods.
[00:45:17.482 --> 00:45:23.404]  Some of those, if they're vacuum packed freeze dried foods, they can have up to a 30 year shelf life.
[00:45:24.065 --> 00:45:26.566]  They're fairly expensive though, compared to just bulk foods.
[00:45:27.886 --> 00:45:34.429]  And then beyond that, of course, first aid and advanced medical equipment, communications equipment.
[00:45:35.171 --> 00:45:43.757]  Yeah, I'm going to share a story with you.
[00:45:43.797 --> 00:45:46.479]  I've got a couple friends who say when they're
[00:45:47.509 --> 00:45:49.749]  Some of their other friends go over and say, why do you have so many guns?
[00:45:49.769 --> 00:45:55.671]  They say, well, I have a gun for you, and I have a gun for him, and I have a gun for this guy down the street, because you guys don't have any.
[00:45:55.991 --> 00:45:58.011]  And, you know, they're prepared, and I'm prepared.
[00:45:58.651 --> 00:45:59.871]  Not nearly as much as I should be.
[00:45:59.911 --> 00:46:02.332]  I think you could always do a little bit more to get prepared.
[00:46:02.772 --> 00:46:11.814]  And especially as you see, you know, the writing on the wall that something bad could very well happen in the next, you know, couple of years, next three or four years.
[00:46:11.834 --> 00:46:12.614]  I mean, we are
[00:46:13.294 --> 00:46:17.917]  Kind of walking this fine line with the technology, with, you know, the electrical grid.
[00:46:17.977 --> 00:46:19.678]  I mean, the sun could knock everything out.
[00:46:19.718 --> 00:46:20.279]  You never know.
[00:46:20.319 --> 00:46:24.041]  It might not even be a government or a terrorist that gets us.
[00:46:24.081 --> 00:46:29.785]  It could just be the sun decides it wants to shoot out a few flares and knocks everything out and then, you know, where are you going to be?
[00:46:30.555 --> 00:46:30.835]  That's right.
[00:46:31.195 --> 00:46:36.996]  Well, you touched on something that's pretty important, and that is having extra on hand for charity.
[00:46:38.016 --> 00:46:40.577]  Charity is one of the themes that runs through all of my writings.
[00:46:41.337 --> 00:46:49.719]  And if you're going to go overboard in any area, you can't go too far wrong with extra food, extra fuel, and extra ammunition.
[00:46:50.359 --> 00:46:57.240]  Because if you missed out on stocking up on anything, if you overlooked anything, you can make up for that with barter.
[00:46:58.195 --> 00:47:02.579]  And there's nothing quite like common caliber ammunition as the ultimate barter item.
[00:47:03.479 --> 00:47:09.044]  Most families only have a few hundred rounds of ammunition at most on hand.
[00:47:09.084 --> 00:47:12.627]  They're suddenly going to want several thousand rounds, you'll say.
[00:47:13.387 --> 00:47:20.133]  So if you have extra common caliber ammunition, you're going to be in the catbird seat in terms of barter.
[00:47:21.167 --> 00:47:27.411]  And a little tidbit out there, I believe 9mm is the most common handgun ammunition, is that correct?
[00:47:27.591 --> 00:47:29.253]  It is now, globally, yes.
[00:47:29.993 --> 00:47:37.838]  Although, one thing I recommend is that people do some research and find out what caliber their local police department and their local sheriff's department uses.
[00:47:38.479 --> 00:47:48.686]  And even if you don't own a gun chambered in those calibers, stock up a few hundred rounds of those, because you want to have lots of folks on your side.
[00:47:49.746 --> 00:47:55.028]  Nothing better than being able to either have barter or charity ammunition on hand.
[00:47:55.989 --> 00:47:57.249]  Yeah, I agree.
[00:47:57.269 --> 00:47:58.790]  Hey, tell everyone about your blog.
[00:47:59.870 --> 00:48:03.691]  Well, Survival Blog has been around since August of 2005.
[00:48:03.791 --> 00:48:07.513]  We got our start providentially just a month before Hurricane Katrina.
[00:48:09.247 --> 00:48:10.909]  And it's grown by leaps and bounds.
[00:48:10.929 --> 00:48:17.215]  It's basically doubled each year for the first four years it was in existence, and it started to plateau now.
[00:48:17.295 --> 00:48:24.782]  But we now have a huge number of visits each week.
[00:48:25.463 --> 00:48:28.966]  We have a very loyal readership.
[00:48:29.667 --> 00:48:32.029]  It's primarily readers in the U.S.
[00:48:32.229 --> 00:48:32.910]  and Canada.
[00:48:35.525 --> 00:48:42.107]  And then to a lesser extent, other English-speaking countries, and then a smattering globally.
[00:48:42.947 --> 00:48:45.548]  We have about 300,000 unique visits per week.
[00:48:46.728 --> 00:48:51.790]  We've in total had almost 40 million unique visitors since 2005.
[00:48:53.270 --> 00:48:56.571]  And the beauty of Survival Blog is that it's all free.
[00:48:57.907 --> 00:49:01.469]  All of the archives are available for people to roam through at will.
[00:49:01.609 --> 00:49:04.190]  It's fully searchable by topic.
[00:49:04.210 --> 00:49:07.832]  You can type in a keyword in our search box and bring up whatever topic you'd like.
[00:49:08.332 --> 00:49:13.215]  There's over 15,000 archived articles, letters, and quotes.
[00:49:13.915 --> 00:49:24.824]  That people can delve into and I recommend that people make hard copies of the most crucial articles because of course in a grid down situation, you're not going to have access to the Internet.
[00:49:25.744 --> 00:49:29.847]  And then as a backup, we also have an archive CD that's available at very low cost.
[00:49:30.768 --> 00:49:32.189]  I recommend people get that as well.
[00:49:32.249 --> 00:49:39.635]  That gives you all the archives of Survival Blog on a CD or you can put it on a memory stick to have that available.
[00:49:40.175 --> 00:49:44.177]  I have been printing stuff out for years, just because you never know.
[00:49:44.758 --> 00:49:45.878]  Lots of practical stuff.
[00:49:45.998 --> 00:49:49.921]  How to, you know, make your fishing snares and stuff like that.
[00:49:51.181 --> 00:49:56.404]  Yeah, there's nothing beats a hard copy for long term.
[00:49:56.665 --> 00:49:58.646]  And you can always burn it if you need to.
[00:50:00.020 --> 00:50:01.561]  Yeah, to keep warm, God forbid.
[00:50:01.801 --> 00:50:03.141]  Yeah.
[00:50:03.701 --> 00:50:08.283]  You know, you've traveled across the country, you've interviewed people, you've been on speaking engagements.
[00:50:08.303 --> 00:50:12.485]  How many people across the country do you think are in that preparedness state of mind?
[00:50:12.505 --> 00:50:19.107]  I mean, we've got shows on the cable networks now talking about people who are getting prepared and stuff like that.
[00:50:19.127 --> 00:50:21.628]  So it's kind of entering the vernacular a little bit.
[00:50:22.448 --> 00:50:26.710]  It is entering the national psyche, but in terms of real
[00:50:27.827 --> 00:50:29.648]  Practical, tangible preparedness.
[00:50:29.668 --> 00:50:35.511]  There's a lot more people interested in preparedness than those who have actually gotten off their tail and done anything about it.
[00:50:35.931 --> 00:50:42.374]  I'd say in terms of people that are actually tangibly preparing, I'd say it's only about 2% of the population.
[00:50:43.294 --> 00:50:48.957]  Which is kind of pitiful, but it's better than nothing and each person that gets prepared
[00:50:50.043 --> 00:50:50.723]  That's true.
[00:50:51.143 --> 00:50:52.864]  Are you looking at any timetables in particular?
[00:50:52.884 --> 00:50:55.525]  Are you seeing anything that's telling you something might be coming up?
[00:50:55.565 --> 00:50:57.645]  What do you have on your radar?
[00:50:57.665 --> 00:51:03.327]  Well, right now, my most immediate concern is Greece and the Greek debt situation spiraling out of control.
[00:51:19.025 --> 00:51:22.907]  But beyond that, it's really hard to put a date on anything.
[00:51:22.927 --> 00:51:29.171]  You know, back in the late 1990s, we had the firm date of Y2K to look at.
[00:51:30.317 --> 00:51:36.382]  The only vague date that we can look at right now would be the next peak in the solar cycle.
[00:51:38.203 --> 00:51:42.726]  The sunspot cycle is supposed to peak in about five years, because it's an 11-year cycle.
[00:51:43.567 --> 00:51:53.454]  And if we have a severe cycle, then there's a chance of a major Carrington event-style solar flare that could happen within the next five years.
[00:51:54.517 --> 00:52:10.980]  Beyond that though, I don't like to put a date on anything because I think it's presumptuous and it also is short-sighted because if you either try to put a date on something or name a particular scenario, you're boxing yourself in.
[00:52:11.881 --> 00:52:17.282]  It's better to prepare for every possible event so that you don't get blindsided.
[00:52:17.462 --> 00:52:22.223]  It would be very embarrassing to prepare just for an economic collapse and then get nuked.
[00:52:23.876 --> 00:52:28.459]  If you're building a home shelter, it should be more than just a storm shelter.
[00:52:29.000 --> 00:52:30.701]  It should be more than just a walk-in vault.
[00:52:30.761 --> 00:52:34.143]  It should also be a combination blast and fallout shelter.
[00:52:35.765 --> 00:52:37.886]  I'm one of those all-of-the-above kind of guys.
[00:52:39.647 --> 00:52:41.228]  Well, that sounds like good advice.
[00:52:41.849 --> 00:52:44.911]  And people can learn more about that on survivalblog.com, I take it.
[00:52:45.370 --> 00:52:45.590]  Correct.
[00:52:45.630 --> 00:52:47.751]  Yes, and it's all available free, as I mentioned.
[00:52:48.191 --> 00:52:55.355]  I do have some books in print, and they're nice, handy references, and they're a great thing to put in someone's hands to get them motivated.
[00:52:56.175 --> 00:52:58.216]  But I'm basically a man on a mission.
[00:52:59.356 --> 00:53:01.477]  My goal is not to sell books.
[00:53:01.537 --> 00:53:03.438]  My goal is to get America prepared.
[00:53:03.859 --> 00:53:04.119]  Right.
[00:53:04.419 --> 00:53:05.599]  And that's where we all need to be.
[00:53:05.619 --> 00:53:07.740]  I was an Eagle Scout, and that's our motto.
[00:53:07.800 --> 00:53:08.381]  Be prepared.
[00:53:08.701 --> 00:53:10.281]  And that's what you have to start with.
[00:53:12.815 --> 00:53:14.756]  I just recently returned from a ski trip.
[00:53:14.776 --> 00:53:20.220]  When we got off the plane, one of my buddies didn't have his straps for his snowboard.
[00:53:20.320 --> 00:53:25.424]  Well, I pulled out the bungee cords, because I always carry bungee cords.
[00:53:25.865 --> 00:53:29.467]  It all starts with the mindset, and then you've got to go into the action phase.
[00:53:30.188 --> 00:53:31.369]  Jim Rawls, thanks for joining us!
[00:53:32.210 --> 00:53:33.731]  Thank you so much for having me on!
[00:53:34.051 --> 00:53:37.294]  We'll have you back on soon, and I'm sure you have a lot to talk about.
[00:53:37.314 --> 00:53:40.656]  I'm sure Alex may even have you in guest hosting one day.
[00:53:42.526 --> 00:53:43.327]  Oh sure, I'd be happy to.
[00:53:43.367 --> 00:53:43.847]  Thank you.
[00:53:44.588 --> 00:53:46.429]  Alright, there he goes.
[00:53:46.449 --> 00:53:47.510]  This is Jim Ross.
[00:53:47.530 --> 00:53:49.651]  Here's the book, Survivors.
[00:53:50.052 --> 00:53:50.472]  I read it.
[00:53:50.592 --> 00:54:05.943]  It's a combination fiction novel with a lot of practical tips involved of things you can do today to get in that mindset so you are a survivor, so you're not somebody left out in the cold when it happens.
[00:54:07.425 --> 00:54:08.786]  Before we leave, we've got the Daily Quote.
[00:54:09.980 --> 00:54:17.345]  And this is from the book, chapter, I think this is, I forget what chapter, I think it's chapter 5, of Survivors, and it's from John Adams.
[00:54:17.585 --> 00:54:22.709]  The government turns every contingency into an excuse for enhancing power in itself.
[00:54:23.409 --> 00:54:24.690]  And that is from Survivors.
[00:54:25.591 --> 00:54:28.313]  You can pick it up at InfoWars.com.
[00:54:28.813 --> 00:54:30.094]  I recommend you get it, it's a great book.
[00:54:31.135 --> 00:54:36.659]  I read it in about, oh, two weeks, off and on, and it's got a lot of great tips.
[00:54:38.434 --> 00:54:39.775]  So there you go.
[00:54:39.815 --> 00:54:41.617]  Don't be left out in the cold.
[00:54:41.657 --> 00:54:42.658]  Start preparing today.
[00:54:42.798 --> 00:54:43.598]  I'm preparing.
[00:54:44.299 --> 00:54:50.464]  Reading that article earlier today about the Trinity, the Trinity speakers say you as must share sacrifice.
[00:54:51.365 --> 00:54:58.551]  That really started putting a timetable, at least in my head, before I was just kind of planning for general events.
[00:54:58.591 --> 00:55:04.896]  But now I am looking at actual, you know, an actual timetable that we have to start looking at.
[00:55:06.049 --> 00:55:25.343]  Because if we don't change our ways, if it's all about increasing taxes, and increasing the debt, and not doing anything about that, and, you know, the economy's not going to grow, therefore there's not going to be any change in where we're going, and when the chips fall, the bankers are going to be there picking stuff up, pretending like they didn't know it was going to happen.
[00:55:26.482 --> 00:55:27.222]  That's our show.
[00:55:27.502 --> 00:55:34.065]  If you're watching this on YouTube, please consider becoming a member at PrisonPlanet.tv or InfoWarsNews.com.
[00:55:34.365 --> 00:55:35.646]  And we do this five days a week.
[00:55:36.526 --> 00:55:45.570]  Every night we're bringing you the news that we think is important, not the fluff about who's talking about who or who's doing what to who.
[00:55:45.590 --> 00:55:47.710]  I mean, we're looking at real issues here.
[00:55:48.091 --> 00:55:51.052]  And join us in this crusade to wake people up.
[00:55:52.125 --> 00:55:53.706]  Let's get people prepared out there.
[00:55:53.986 --> 00:56:01.773]  Let's not sit around and pretend we didn't hear it, we don't know anything, and then when it finally happens, you know, we're gonna wish we've done something.
[00:56:01.893 --> 00:56:09.359]  Gonna wish we've bought that, you know, some storable food, got some silver, got some firearms, learned how to use the firearms properly.
[00:56:09.499 --> 00:56:11.240]  I mean, it's one thing to get a handgun.
[00:56:11.280 --> 00:56:18.186]  It's another thing to know how to clean it, take it apart, load it under duress, and fire and hit your target.
[00:56:18.806 --> 00:56:20.267]  So, with that, I'm Rob Dewis.
[00:56:20.287 --> 00:56:21.507]  This is InfoWars Nightly News.
[00:56:21.527 --> 00:56:24.869]  I'd like to thank Paul Joseph Watson for doing the news portion.
[00:56:25.650 --> 00:56:26.890]  And we'll be back here next week.
[00:56:26.990 --> 00:56:28.211]  Alex will be out on the road.
[00:56:28.831 --> 00:56:35.075]  He's got two speaking engagements, one in Dallas and one in Orlando the next two Sundays.
[00:56:36.206 --> 00:56:40.589]  Coming up, so we'll have a variety of guests anchoring the InfoWars Nightly News.
[00:56:40.629 --> 00:56:41.770]  I'll be one of them, Aaron Dykes.
[00:56:41.810 --> 00:56:45.812]  We're going to get McBreen back in here, and possibly even Jon Bowne.
[00:56:46.373 --> 00:56:54.578]  We've heard his voice on a few projects, but I think we're going to get him in here, sit him down, reading the news under the lights of the InfoWars studios.
[00:56:54.598 --> 00:56:55.699]  That's all for now.
[00:56:55.819 --> 00:56:56.420]  I'm Rob Due.
[00:56:56.580 --> 00:56:59.281]  Thanks for watching, and be sure to check out PrisonPlanet.tv.
