[00:00:22.435 --> 00:00:25.559]  Hello everyone, welcome to the InfoWars Nightly News.
[00:27:24.277 --> 00:27:29.598]  Similar to the Richter scale for earthquakes, each represents a tenfold increase in energy output.
[00:27:30.239 --> 00:27:36.761]  So an X is 10 times an M, and 100 times a C. Within each letter class, there is a finer scale, from 1 to 9.
[00:27:39.443 --> 00:27:42.085]  C-class flares are too weak to noticeably affect Earth.
[00:27:42.825 --> 00:27:49.149]  M-class flares can cause brief radio blackouts at the poles and minor radiation storms that might endanger astronauts.
[00:27:50.449 --> 00:27:53.111]  It's the X-class flares that are the real juggernauts.
[00:27:53.451 --> 00:27:57.313]  Although X is the last letter, there are flares more than 10 times the power of an X-1.
[00:27:57.814 --> 00:27:59.354]  So X-class flares can go higher than 9.
[00:28:00.595 --> 00:28:05.018]  The most powerful flare on record was in 2003, during the last solar maximum.
[00:28:05.839 --> 00:28:08.680]  It was so powerful that it overloaded the sensors measuring it.
[00:28:09.141 --> 00:28:13.784]  They cut out at X-17, and the flare was later estimated to be about X-45.
[00:28:14.845 --> 00:28:24.331]  A powerful X-class flare like that can create long-lasting radiation storms, which can harm satellites, and even give airline passengers flying near the poles small radiation doses.
[00:28:25.111 --> 00:28:29.795]  X-flares also have the potential to create global transmission problems and worldwide blackouts.
[00:28:31.935 --> 00:28:41.458]  So the question is, if a solar flare or EMP was to hit, what would it do to the hundreds and hundreds of nuclear reactors?
[00:28:42.058 --> 00:28:44.419]  We are joined now by Matthew Stein.
[00:28:44.479 --> 00:28:47.140]  He is a design engineer, a green builder,
[00:28:47.640 --> 00:29:04.026]  A graduate of MIT, holds a Bachelor of Science in Mechanical Engineering and is the author of two best-selling books, When Disaster Strikes, a comprehensive guide to emergency planning and crisis, and When Technology Fails, a manual for self-reliance.
[00:29:04.606 --> 00:29:10.628]  And he joins us now to talk about the real and present danger of a massive nuclear meltdown.
[00:29:11.588 --> 00:29:13.069]  A nuclear Armageddon.
[00:29:13.550 --> 00:29:17.192]  And Stein writes in a recent paper published on the internet,
[00:29:39.830 --> 00:29:41.891]  Well, it's good to have you with us today, Mr. Stein.
[00:29:41.931 --> 00:29:46.673]  We appreciate you joining the program, and we definitely appreciate your books and your latest article.
[00:29:47.233 --> 00:29:52.155]  It's titled, 400 Chernobyls, Solar Flares, EMP, and Nuclear Armageddon.
[00:29:52.515 --> 00:29:57.077]  And I was wondering if you could do us a favor and kind of break down the best you can, what you put down in this article.
[00:29:58.137 --> 00:29:59.958]  Sure, I'll try to give it to you in a nutshell.
[00:30:00.258 --> 00:30:01.559]  Well, it turns out that
[00:30:02.856 --> 00:30:05.478]  The sun burps several times a year.
[00:30:05.758 --> 00:30:13.704]  It's called a coronal mass ejection, and the sun basically launches a big mass of hot plasma, sun stuff, out into space.
[00:30:13.744 --> 00:30:17.146]  And it goes really fast, like a thousand times faster than our rockets fly.
[00:30:17.686 --> 00:30:21.829]  And most of the time it goes out into space harmlessly and nowhere near the Earth, no problem.
[00:30:21.909 --> 00:30:23.911]  And every now and then it goes out towards the Earth.
[00:30:23.971 --> 00:30:25.452]  Well, we had a big solar storm
[00:30:26.112 --> 00:30:29.974]  About two weeks ago, incredible northern lights lit up the skies.
[00:30:30.014 --> 00:30:33.256]  They had to reroute some flights over the North Pole, but it was no big deal.
[00:30:33.856 --> 00:30:43.821]  Well, it turns out that, oh, on the average every 7,500 years, something like that, you know, it's kind of a crapshot, that one of these coronal mass ejections is really huge.
[00:30:43.841 --> 00:30:48.463]  You get what's called an extreme geomagnetic disturbance in the planet.
[00:30:48.604 --> 00:30:51.245]  A GMD, geomagnetic disturbance, extreme.
[00:30:52.020 --> 00:30:54.482]  Now last one happened in 1921.
[00:30:54.762 --> 00:31:07.370]  Now in 1921 when it happened, lit up the sky incredibly from the North Pole all the way south to Haiti and Hawaii and from the South Pole all the way far north to Samoa for two days and nights.
[00:31:07.390 --> 00:31:08.691]  I mean, incredible light show.
[00:31:09.071 --> 00:31:13.855]  Burned down some radio stations, burned down some telegraphs, burned down Penn Central Station.
[00:31:13.895 --> 00:31:21.720]  You know, set some wires and light poles on fire, but not that big of a deal because this was in the days when there was no grid.
[00:31:22.260 --> 00:31:31.191]  It was just individual electrified cities, there was no nuclear power plants, there was no internet, and you know, power went down for a while and the world went around just fine.
[00:31:31.231 --> 00:31:37.037]  Well, if it happened today, the same storm as 1921, or the even bigger one, 60 years earlier in 1859, called the Carrington Event, it would thrive.
[00:31:42.845 --> 00:31:47.346]  These massive power transformers that our modern grid is totally dependent on.
[00:31:47.366 --> 00:31:52.727]  Now, we started installing these in the late 60s, finished off in the 90s upgrading our grid.
[00:31:52.768 --> 00:31:57.389]  Well, it turns out these transformers, they're really great and efficient and work wonderful.
[00:31:57.849 --> 00:32:00.870]  Well, they get cooked by a massive solar storm.
[00:32:01.230 --> 00:32:02.290]  And so what would it do?
[00:32:02.410 --> 00:32:02.590]  Well,
[00:32:03.863 --> 00:32:13.613]  You'd go out and you'd see the most incredible light show, like you've never seen before in your life, and nobody, most people alive today have never seen before in their life, and the grid would go down.
[00:32:13.673 --> 00:32:16.136]  There'd be no radio transmissions, there'd be no nothing.
[00:32:16.196 --> 00:32:24.905]  Well the problem is, that when the grid goes down, nuclear power stations automatically disconnect themselves from the grid and go to emergency shutdown.
[00:32:25.625 --> 00:32:25.846]  Now,
[00:32:26.869 --> 00:32:32.230]  When Fukushima blew its top a few months, about a year ago, it did that.
[00:32:32.810 --> 00:32:39.031]  According to Japanese authorities, it was not the earthquake directly that caused Fukushima to fail and melt down.
[00:32:39.111 --> 00:32:40.711]  The earthquake dropped the grid.
[00:32:41.371 --> 00:32:52.573]  When the grid dropped, Fukushima went into emergency shutdown and backup generators and battery packs kicked in to keep the massive pumps flowing, to keep the cooling systems going.
[00:32:52.873 --> 00:32:55.894]  So you got like millions of watts of energy
[00:32:56.634 --> 00:33:00.275]  Okay, okay, pardon the interruption, but I can see where you're going with this.
[00:33:00.755 --> 00:33:18.421]  We know that it's going to blow transformers, we're talking about the solar flares, and it's bad enough to have years of power outages and problems with infrastructure damage, but you're talking about the reactors, you're getting to the reactors, and that's the real face, the real threat that we're facing right now, am I correct?
[00:33:18.881 --> 00:33:29.206]  So we're talking both massive power failure, starvation, internet down, stock market crash, but on top of that, you're talking nuclear Armageddon.
[00:33:29.827 --> 00:33:31.548]  Now it's a good news, bad news story.
[00:33:31.608 --> 00:33:38.911]  What it means is that officially, these nuclear power plants have to have one week of fuel on hand.
[00:33:39.311 --> 00:33:44.574]  And the assumption is the grid in America is always stable and it always comes up within a few days and it's not a problem.
[00:33:44.854 --> 00:33:47.996]  Or if it is a problem, they can bring a diesel truck with extra fuel.
[00:33:48.516 --> 00:33:53.338]  Well, if you're talking a situation like a hundred Katrinas happen at once, the whole country's in chaos.
[00:33:53.718 --> 00:33:56.379]  Can you imagine how poorly we did with Katrina?
[00:33:56.419 --> 00:34:02.922]  Now talk about a hundred times over, are we going to make sure that these diesel fuel trucks show up at every nuclear power plant?
[00:34:02.942 --> 00:34:11.325]  104 in America, roughly 440 in the world, and keep these things running for perhaps years while they're getting the grid going, or certainly for months.
[00:34:11.726 --> 00:34:13.326]  Problem is, they're going to melt down.
[00:34:13.706 --> 00:34:17.348]  Many of them are going to fail and melt down long before we get the grid repaired.
[00:34:17.688 --> 00:34:18.948]  And there's nowhere to run.
[00:34:19.149 --> 00:34:19.869]  There's nowhere to run.
[00:34:19.889 --> 00:34:20.709]  There's nowhere to hide.
[00:34:20.749 --> 00:34:23.790]  And we're literally surrounded by these things.
[00:34:23.950 --> 00:34:31.173]  And I read where you said that more than a third, 37% of the population, live within 50 miles of a nuclear reactor.
[00:34:31.233 --> 00:34:34.053]  So we also know that they're built on the coastline.
[00:34:34.073 --> 00:34:35.514]  75% of the population lives on the coast.
[00:34:39.028 --> 00:34:39.589]  We're good to go.
[00:34:53.487 --> 00:34:57.728]  You know, multiple, multiple generations before you can inhabit New York City again.
[00:34:58.008 --> 00:35:00.169]  And it'll be like that all up and down the East Coast.
[00:35:00.229 --> 00:35:01.169]  Now here's the kicker.
[00:35:01.650 --> 00:35:07.732]  For a simple price of a stealth bomber, B-2 bomber, 2 billion bucks, we could fix the problem.
[00:35:07.772 --> 00:35:08.812]  Now we cannot fix
[00:35:09.472 --> 00:35:14.674]  We cannot prevent all bad things from happening from a major solar storm or from a terrorist EMP.
[00:35:14.974 --> 00:35:34.580]  But for two billion bucks we could implement the fixes on the grid so the grid won't be fried and we could implement backup parts and backup fuel and backup systems at each nuclear power plant to guarantee at least, you know, I mean there's nothing foolproof, but to try and prevent the massive nuclear armageddon I'm talking about.
[00:35:34.640 --> 00:35:35.200]  So right now
[00:35:35.700 --> 00:35:40.941]  We're looking at a situation that's 100% guaranteed to happen the way the world is wired today.
[00:35:41.541 --> 00:35:45.602]  And because these nuclear storms, I mean, these solar storms happen.
[00:35:45.882 --> 00:35:50.743]  I mean, they're a fact of nature and they happen every average 70, 100 years.
[00:35:51.143 --> 00:35:52.724]  So the last one was 90 years ago.
[00:35:52.744 --> 00:35:54.204]  The one before that was 60 years.
[00:35:54.264 --> 00:35:55.064]  So do the math.
[00:35:55.364 --> 00:35:56.624]  You know, it's going to happen.
[00:35:57.065 --> 00:35:58.685]  And we're either going to pretend
[00:35:59.460 --> 00:36:11.449]  That it's not going to happen like they did, you know, with New Orleans, the Army Corps of Engineers knew for 70 years that we need to fix those dikes, those levees, that it was a disaster waiting to happen.
[00:36:11.509 --> 00:36:13.370]  It wasn't a question of if, but when.
[00:36:13.891 --> 00:36:17.734]  And they had plans and they even approved the money, but the money got spent on other things.
[00:36:17.794 --> 00:36:22.958]  So we're in that situation now where the engineers and the scientists know this is not an if, but when.
[00:36:25.159 --> 00:36:31.482]  Before you joined us, we watched a quick video and we learned about the different classifications according to strength.
[00:36:31.883 --> 00:36:35.865]  You know, the B class being the smallest class of solar flare, X being the largest.
[00:36:36.445 --> 00:36:39.046]  How big of an X class are you expecting?
[00:36:39.127 --> 00:36:39.527]  How many?
[00:36:40.007 --> 00:36:40.627]  How often?
[00:36:41.248 --> 00:36:42.849]  And how long will the danger last?
[00:36:43.209 --> 00:36:45.050]  You know, what are the most credible predictions?
[00:36:45.430 --> 00:36:48.111]  What is the solar flare forecast for 2012?
[00:36:49.366 --> 00:36:54.269]  Well, a solar flare forecast is that every 11 years, the sun's pole flips.
[00:36:54.990 --> 00:36:59.413]  And when it does that, you have what's called a solar maximum, which is a period of extra intensity.
[00:36:59.913 --> 00:37:10.220]  Now, it looks like, from the preliminary solar storms we've already seen, the flip of the pole is roughly around the end of 2012, Mayan calendar, all that stuff.
[00:37:10.280 --> 00:37:19.046]  I mean, I don't believe particularly in a random number that is predicting the end of the world, but they do kind of coincide, those two together.
[00:37:19.566 --> 00:37:30.552]  So, scientists are very concerned that there's a significant chance that this solar maximum will end up being like the 1921 extreme event, or the 1859 Carrington event.
[00:37:30.633 --> 00:37:33.174]  And nobody knows exactly what's going to happen.
[00:37:33.214 --> 00:37:44.220]  But I will tell you, in 2003, we had a fairly extreme X-class solar flare, and it converged down in South Africa, and it cooked 14 of those transformers.
[00:37:44.601 --> 00:37:48.563]  Now, that flare was less than one-tenth the strength
[00:37:48.863 --> 00:37:49.423]  We're good to go.
[00:38:09.556 --> 00:38:15.261]  We're talking 350 in America alone, in 2000 worldwide, if we had an event like the 1921.
[00:38:15.402 --> 00:38:24.590]  And that's in an official study from Meditech under the auspices of the Oak Ridge National Labs and double-checked by Sandia National Labs.
[00:38:24.630 --> 00:38:30.315]  So these are like some of the smartest brains in the world working on this problem, and they're saying this is real.
[00:38:31.940 --> 00:38:43.067]  Well, that brings us to the last chapter of your book, When Disaster Strikes, The Unthinkable, Surviving a Nuclear Disaster.
[00:38:43.267 --> 00:38:50.472]  I know you can't go into detail, but could you tell us a little bit about the three separate strategies, depending on the type of nuclear meltdown.
[00:38:51.012 --> 00:38:57.677]  I know you talked about a dirty bomb, an actual nuclear bomb attack, or in this case the solar flares and a nuclear meltdown.
[00:38:57.957 --> 00:38:59.358]  Could you go into that chapter for us?
[00:38:59.878 --> 00:39:00.198]  Okay.
[00:39:00.819 --> 00:39:06.602]  There are three different events, like you mentioned, and the strategies are different for each one.
[00:39:06.782 --> 00:39:11.825]  So, let's start with the worst one, which is the solar flare and the meltdown.
[00:39:11.885 --> 00:39:15.347]  Now, a meltdown could happen for any God-known reason.
[00:39:15.387 --> 00:39:19.549]  I mean, Three Mile Island, the skies are blue, you know, there was no earthquake.
[00:39:19.649 --> 00:39:20.630]  It just happened.
[00:39:20.710 --> 00:39:22.351]  It was an anomaly and it happened.
[00:39:22.731 --> 00:39:40.293]  So it could happen near you, and since one-third of us live in America, live within 50 miles of a nuclear power plant, the secret there is to figure out where the wind is, to know ahead of time where the plant is, to have your getaway plan, because you've got to get upstream, upwind of that power plant.
[00:39:41.474 --> 00:39:47.217]  And you want to make sure that you've got your air filtered so you're not breathing plutonium into your lungs in case there's air vented.
[00:39:47.657 --> 00:39:57.783]  You want to use not just a mask like they showed in the SARS epidemic, in the least you want to have a painter's mask from, you know, Home Depot, Supply One, whatever.
[00:39:58.263 --> 00:40:00.204]  That's got the carbon canisters on it.
[00:40:00.244 --> 00:40:02.225]  It's kind of a poor man's gas mask.
[00:40:02.545 --> 00:40:09.789]  There's carbon filters that filter out about more than 95% of all particulate and also toxic gases in there.
[00:40:09.869 --> 00:40:11.190]  So they'll help you get through smoke.
[00:40:11.230 --> 00:40:12.330]  They'll help you get through things.
[00:40:12.590 --> 00:40:14.031]  They'll take most of that stuff out.
[00:40:14.411 --> 00:40:16.833]  You also want to make sure you filter all of your water.
[00:40:17.233 --> 00:40:25.077]  I use a good carb... A filter must have a carbon block in it to suck out organic compounds and it should have a microporous filter.
[00:40:25.477 --> 00:40:26.978]  Most of that nasty stuff
[00:40:27.558 --> 00:40:31.921]  We'll be stuck on particles large enough that a good bacterial filter will take it out.
[00:40:32.221 --> 00:40:34.842]  So you want to prevent it from, and you want to wash all of your food.
[00:40:35.302 --> 00:40:38.284]  You know, any food you're getting, anything off the ground, you want to wash it.
[00:40:38.304 --> 00:40:40.745]  You want to shake your clothing off, wash it if possible.
[00:40:41.085 --> 00:40:44.948]  And you need to get out of the downwind contaminated zone as soon as possible.
[00:40:45.148 --> 00:40:49.930]  Well, you're also talking about, you need, and every family needs this, you have to have a survival kit.
[00:40:49.950 --> 00:40:52.532]  You know, my family calls it, you know, grab-and-go bags.
[00:40:52.572 --> 00:40:56.634]  So what would you recommend for your basic grab-and-go survival kit?
[00:40:57.105 --> 00:41:01.446]  Okay, now on my website, Wentechfails.com, I've got all the details.
[00:41:01.486 --> 00:41:03.507]  So I'll give you a few of the top heavy hitters.
[00:41:03.907 --> 00:41:08.868]  You definitely want to have food, clothing, shelter, medicine for you and your family.
[00:41:08.948 --> 00:41:10.149]  A good first aid kit.
[00:41:10.569 --> 00:41:14.610]  My grab and go kit, I have two, I have a big blue tub that I keep my stuff in.
[00:41:15.070 --> 00:41:16.790]  And I keep large and small items.
[00:41:16.870 --> 00:41:19.431]  I also have a big box of all my camping gear.
[00:41:19.451 --> 00:41:21.852]  Because I live in earthquake and wildfire country.
[00:41:22.392 --> 00:41:26.133]  And so here, if I had a big earthquake in the summer, bridges would go down.
[00:41:26.773 --> 00:41:33.978]  The gas lines would bust, a fire would start out, so I've got to be able to get out of the way of the ensuing firestorm.
[00:41:34.398 --> 00:41:38.421]  And if I can't get my four-wheel drive across the rivers, I'm going to have to do it on foot.
[00:41:38.881 --> 00:41:40.422]  So that's why I have my backpack.
[00:41:40.642 --> 00:41:44.124]  So I have a little compact first aid kit that's this big, palm of your hand.
[00:41:44.344 --> 00:41:45.205]  I supplement that.
[00:41:45.545 --> 00:41:50.768]  One of the most important items in your grab-and-go kit, inch and a half roll of cloth adhesive first aid tape.
[00:41:50.948 --> 00:41:51.569]  People say, why?
[00:41:52.129 --> 00:41:55.593]  Well, you can bind wounds with it, but more importantly, think about it.
[00:41:55.994 --> 00:41:57.295]  What do you see in a disaster?
[00:41:57.375 --> 00:41:59.238]  You see people walking down the roads.
[00:41:59.418 --> 00:42:01.440]  If it's a big disaster, they're not in their cars.
[00:42:01.600 --> 00:42:04.284]  There's no gas, the bridges are down, things aren't working.
[00:42:04.584 --> 00:42:05.205]  They're walking.
[00:42:05.785 --> 00:42:07.627]  And if people aren't used to walking, what happens?
[00:42:07.647 --> 00:42:08.428]  You blister up.
[00:42:08.689 --> 00:42:10.431]  When you blister up, your heels burst.
[00:42:10.991 --> 00:42:11.992]  You're not going anywhere.
[00:42:12.012 --> 00:42:24.897]  If you've got sore spots, you whip those shoes and socks off, take some of that tape off the sticky side, you scrub it on your skin, you get rid of the oils and the dirt and the scummy stuff, because it won't stick on a normal skin very well.
[00:42:25.178 --> 00:42:32.821]  Scrub that off, throw that piece of tape away, put some fresh tape on your heels, pop those shoes and socks back on, and you're back in business.
[00:42:33.041 --> 00:42:36.123]  I told this story to a real heavy duty survivalist guy.
[00:42:36.143 --> 00:42:37.964]  He's got like 50 guns in his collection.
[00:42:38.044 --> 00:42:39.785]  He was interviewing him on a radio show.
[00:42:39.945 --> 00:42:41.325]  Actually, more like 75 guns.
[00:42:41.386 --> 00:42:42.286]  I mean, really gun nut.
[00:42:43.106 --> 00:42:45.708]  And he laughed and he said, you know, this is real embarrassing.
[00:42:46.188 --> 00:42:47.609]  He said, but I'll tell you this story.
[00:42:47.649 --> 00:42:49.730]  But I was in the Grand Canyon backpacking.
[00:42:49.790 --> 00:42:51.191]  You know, here I am, Mr. Tough Guy.
[00:42:51.531 --> 00:42:52.332]  I'm backpacking.
[00:42:52.432 --> 00:42:56.114]  I didn't have moleskin, which is really sticky stuff to stick on blisters.
[00:42:56.534 --> 00:42:58.616]  And I didn't have any of that tape you're talking about.
[00:42:58.936 --> 00:42:59.976]  And I blew my heels out.
[00:43:00.076 --> 00:43:02.078]  And they got raw and they were bleeding all over the place.
[00:43:02.118 --> 00:43:03.339]  They had to call a helicopter.
[00:43:03.499 --> 00:43:04.679]  Here I am, Mr. Hard Guy.
[00:43:05.000 --> 00:43:05.940]  They call a helicopter.
[00:43:05.980 --> 00:43:10.323]  Guy gets out of the helicopter and says, boy, you better have a credit card.
[00:43:10.950 --> 00:43:14.591]  And you better have a lot of credit left on it, because this is going to cost you.
[00:43:15.031 --> 00:43:19.113]  So, most of us in a disaster cannot call that helicopter.
[00:43:19.393 --> 00:43:21.593]  Remember, that inch and a half roll of cloth tape.
[00:43:21.733 --> 00:43:22.374]  You don't have that?
[00:43:22.494 --> 00:43:27.135]  Duct tape will do, but you know, I'd rather have first aid tape on my skin than duct tape.
[00:43:27.175 --> 00:43:30.036]  I'm not sure what my reaction to duct tape is going to be, but anyway.
[00:43:30.777 --> 00:43:31.678]  So that's one item.
[00:43:31.758 --> 00:43:35.180]  Another item people don't think about, I have a colloidal silver generator.
[00:43:35.480 --> 00:43:38.542]  And I know you guys talk about colloidal silver on the air, I've heard your ads.
[00:43:39.442 --> 00:43:43.665]  And so, that's like a pharmacy in a jar.
[00:43:43.805 --> 00:43:52.630]  You know, in other words, it runs off batteries, or I've got a charger so I can plug it into 120 volts if that's running, or otherwise it can run off batteries and use a solar charger.
[00:43:53.323 --> 00:44:01.065]  And that allows me to build an ionic colloidal silver solution that's toxic to all known pathogenic bacteria and non-toxic to human beings.
[00:44:02.293 --> 00:44:08.877]  If you've got a strep throat and you can pop a pill and it works, then that'll work faster than your colloidal silver.
[00:44:09.297 --> 00:44:26.188]  But I tell you, if you've got antibiotic-resistant strep, you've got methicillin-resistant staph infection, MRSA, you've got antibiotic-resistant TB, extreme drug-resistant TB, you can put that silver in there and breathe it through a nebulizer and it'll knock that stuff, and the pharmaceuticals won't.
[00:44:26.248 --> 00:44:29.350]  So, you know, right now, I read an article in the New York Times
[00:44:30.020 --> 00:44:32.962]  And they're talking about nanoparticle silver everywhere.
[00:44:33.022 --> 00:44:37.064]  They're using nanosilver in all the wipes and on the floors, all over the hospitals.
[00:44:37.504 --> 00:44:40.786]  Now they're worried that some bugs will become resistant to silver.
[00:44:40.806 --> 00:44:48.070]  Well, if hospitals are using silver as a last resistant for antibiotic resistant superbugs, don't you want it for your family?
[00:44:48.090 --> 00:44:49.031]  I mean, come on!
[00:44:49.591 --> 00:44:51.812]  You know, if they're using it, why can't I use it?
[00:44:51.952 --> 00:44:54.013]  So I bring that with me wherever I travel.
[00:44:54.353 --> 00:45:02.617]  Well, it makes sense, and you know, we all have to be responsible, especially caring for our loved ones, and you know, we all have to be responsible and be prepared for any situation.
[00:45:03.397 --> 00:45:04.518]  You know what I thought was interesting?
[00:45:04.538 --> 00:45:09.660]  I was wondering if you could elaborate on or tell the audience about the pit in the stomach exercise.
[00:45:10.219 --> 00:45:16.685]  Now that's a really, this could be the most important thing you get in this show today.
[00:45:16.845 --> 00:45:18.627]  This is an incredibly important thing.
[00:45:19.228 --> 00:45:20.369]  Now, think about it.
[00:45:21.348 --> 00:45:25.811]  The rational mind is only as good as the information base it has to draw upon.
[00:45:26.071 --> 00:45:30.495]  So in order to make a really good rational decision, you have to have information.
[00:45:31.015 --> 00:45:35.118]  Now in a disaster, you rarely have very good information at your fingertips.
[00:45:35.178 --> 00:45:37.339]  So you're trying to figure out, do I go this way?
[00:45:37.359 --> 00:45:38.140]  Do I go that way?
[00:45:38.200 --> 00:45:38.861]  What do I do?
[00:45:38.901 --> 00:45:40.702]  So I'm going to use a real-life situation.
[00:45:41.437 --> 00:45:47.740]  There was a well-known, well-loved guy from the Bay Area, popular in the media, James Kim and family.
[00:45:47.780 --> 00:45:58.464]  They'd gone to Seattle and visiting people on a Thanksgiving holiday and they were headed back to San Francisco, driving down the Central Valley of Oregon, Highway 5, missed their exit in the middle of the night.
[00:45:58.864 --> 00:46:05.027]  They were supposed to be staying at a hotel on Gold Coast, Gold Beach on the coast of Oregon.
[00:46:05.507 --> 00:46:08.068]  Well, they looked in their map and they thought,
[00:46:08.872 --> 00:46:09.793]  Oh, there's a shortcut.
[00:46:09.833 --> 00:46:14.096]  Let's take this back road, because it'll be four in the morning by the time we get there if we've got to backtrack.
[00:46:14.116 --> 00:46:15.056]  So take the shortcut.
[00:46:15.116 --> 00:46:15.717]  It's snowing.
[00:46:15.757 --> 00:46:20.240]  It turns out they got off the shortcut, which would have been closed anyways, further up from the snow.
[00:46:20.580 --> 00:46:21.601]  They got totally lost.
[00:46:21.641 --> 00:46:22.601]  They were scared.
[00:46:22.641 --> 00:46:24.602]  They went to sleep, said, we'll figure it out in the morning.
[00:46:24.663 --> 00:46:29.486]  Woke up snowbound in the morning, middle of nowhere, out of cell phone range, didn't know what to do.
[00:46:30.086 --> 00:46:31.267]  So here's the pit of the stomach.
[00:46:31.307 --> 00:46:32.407]  You don't know what to do.
[00:46:32.447 --> 00:46:33.667]  You can't figure it out with your head.
[00:46:33.687 --> 00:46:35.588]  You don't have the information.
[00:46:35.868 --> 00:46:39.850]  There's an inner compass that Mother Nature built into every single one of us.
[00:46:40.010 --> 00:46:41.590]  Each and every human being has it.
[00:46:41.891 --> 00:46:43.971]  The beings that didn't have it, it's in your DNA.
[00:46:43.991 --> 00:46:46.792]  They got popped in the pot, they died in the battlefield, whatever.
[00:46:46.812 --> 00:46:48.073]  The saber-toothed fiber got them.
[00:46:48.373 --> 00:46:50.354]  Okay, so you can't figure it out with your head.
[00:46:50.574 --> 00:46:54.495]  You know you can't trust the head when it's changing its mind every minute.
[00:46:54.956 --> 00:46:55.836]  One minute it says, do this.
[00:46:56.116 --> 00:46:56.996]  Two minutes later, do that.
[00:46:57.457 --> 00:46:58.337]  Then it's like, wait a minute.
[00:46:58.977 --> 00:46:59.838]  I can't trust this.
[00:46:59.918 --> 00:47:00.658]  It doesn't know.
[00:47:00.678 --> 00:47:03.000]  So I've got to get in touch with this inner compass.
[00:47:03.040 --> 00:47:11.146]  So that's when you go ask, if you're spiritual, you offer prayer, Jesus, Buddha, Mohammed, I don't care, you know, it's whatever your personal connection is.
[00:47:11.467 --> 00:47:13.588]  If you're not spiritual, just say, please help me.
[00:47:14.048 --> 00:47:15.229]  You take some deep breaths.
[00:47:15.570 --> 00:47:17.391]  This, you're going to be feeling, not thought.
[00:47:17.411 --> 00:47:22.635]  You're going to be using feelings in the body instead of thinking in the head to bypass the rational mind.
[00:47:23.095 --> 00:47:31.339]  So you take some deep breaths until you can feel the center, the dantian, right here, between the bottom of the ribcage, right above your belly button.
[00:47:31.859 --> 00:47:34.240]  You've got to feel that knot in your stomach relaxed.
[00:47:34.300 --> 00:47:35.200]  Keep breathing deeply.
[00:47:35.220 --> 00:47:37.441]  It might take you a while if you're freaking out.
[00:47:37.901 --> 00:47:39.582]  Keep breathing deeply until it relaxes.
[00:47:39.682 --> 00:47:41.623]  Now what you're going to do is you're going to go in pictures.
[00:47:42.478 --> 00:47:44.560]  So, first, this is the guy in the river.
[00:47:44.580 --> 00:47:47.182]  He says, well, okay, he's stuck.
[00:47:47.262 --> 00:47:48.422]  He's in the middle of nowhere.
[00:47:48.603 --> 00:47:51.084]  The thought is, the rational mind says, follow the river.
[00:47:51.405 --> 00:47:53.666]  That's like the rule of survival.
[00:47:53.686 --> 00:47:55.568]  Now, rules are just general guidelines.
[00:47:55.588 --> 00:47:56.508]  They're not always right.
[00:47:57.129 --> 00:47:59.290]  So, you know, follow, should I follow the river?
[00:47:59.691 --> 00:48:04.034]  So, pit of the stomach, you breathe, you make a picture of yourself in your mind, hiking down the river.
[00:48:04.574 --> 00:48:06.516]  Now, all of a sudden, you feel that stomach.
[00:48:06.576 --> 00:48:08.057]  If you feel it tighten up into a knot,
[00:48:08.945 --> 00:48:09.746]  Bad choice.
[00:48:09.826 --> 00:48:10.907]  You know it's not a good choice.
[00:48:10.927 --> 00:48:13.630]  It's like, whoa, I thought I was supposed to follow the river.
[00:48:13.650 --> 00:48:14.891]  That's the rule of survival, right?
[00:48:14.951 --> 00:48:16.873]  Well, okay, well maybe I should follow the ridge.
[00:48:16.933 --> 00:48:21.457]  Maybe if I go up on the ridge, I'll see like some smoke from a fireplace in the distance and a house.
[00:48:21.497 --> 00:48:22.138]  I'll go that way.
[00:48:22.178 --> 00:48:24.900]  Or maybe it would be a search helicopter or something like that.
[00:48:24.941 --> 00:48:26.102]  And so maybe I should go up on the ridge.
[00:48:26.122 --> 00:48:30.266]  So you breathe deeply and you relax until you get that pit of the stomach relaxed again.
[00:48:30.986 --> 00:48:34.787]  And then you make a picture in your mind of hiking up on the ridge and being on the ridgetop.
[00:48:34.807 --> 00:48:41.788]  And if you feel an ah feeling, like an expanded relaxed feeling, kind of a really good feeling, great thing to do.
[00:48:41.908 --> 00:48:47.850]  If you feel a queasy, sickly, yucky feeling or a knot in your stomach, bad choice again.
[00:48:47.870 --> 00:48:49.210]  So then think, well, wait a minute.
[00:48:49.850 --> 00:48:53.551]  I've been in my car two days and I've run out of food and I've burned my tires.
[00:48:53.571 --> 00:48:54.671]  This is what James Kim did.
[00:48:55.131 --> 00:48:57.472]  You know, my two infant children are freezing.
[00:48:57.532 --> 00:48:58.332]  My wife's cold.
[00:48:58.372 --> 00:48:59.272]  We're going to freeze to death.
[00:48:59.312 --> 00:49:00.092]  We don't do anything.
[00:49:00.412 --> 00:49:03.133]  The mind says, the chicken thing to do is to stay in your car.
[00:49:03.173 --> 00:49:03.753]  You gotta go.
[00:49:03.773 --> 00:49:04.713]  You gotta do something.
[00:49:04.773 --> 00:49:05.453]  Fight or flight.
[00:49:06.034 --> 00:49:11.735]  Okay, so, but then you picture in your mind, and you picture yourself in your car, and you get that ahhh feeling.
[00:49:11.775 --> 00:49:13.615]  It's like, oh wow, I gotta stay in the car.
