[00:00:01.615 --> 00:00:02.358]  We've got it brother!
[00:29:51.299 --> 00:29:52.881]  That's mysolarbackup.com.
[00:29:53.101 --> 00:29:55.182]  Remember, the government doesn't own the sun.
[00:29:55.343 --> 00:29:57.684]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:30:03.066 --> 00:30:06.687]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:30:07.027 --> 00:30:15.149]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:30:15.889 --> 00:30:19.910]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:30:20.510 --> 00:30:31.332]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:30:31.972 --> 00:30:40.975]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:30:41.475 --> 00:30:46.517]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:30:46.897 --> 00:30:54.080]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:30:54.400 --> 00:30:56.801]  That's www.silverlungs.com.
[00:31:02.330 --> 00:31:05.971]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:31:06.352 --> 00:31:09.353]  This is our last chance to not relive history.
[00:31:09.593 --> 00:31:14.375]  As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[00:31:14.395 --> 00:31:20.597]  I have tremendous influence on our President and Congress, and they really are calling the shots.
[00:31:20.777 --> 00:31:25.823]  I think it's incumbent upon all of us as American citizens to pay attention.
[00:31:25.983 --> 00:31:29.086]  Fall of the Republic identifies the enemies of our nation.
[00:31:29.327 --> 00:31:35.994]  A criminal offshore cartel, hell-bent on destroying sovereignty and on its ashes constructing world government.
[00:31:36.094 --> 00:31:38.216]  Tim Geithner, Bernanke, they're arsonists!
[00:31:38.457 --> 00:31:39.738]  They're asking for more matches!
[00:31:40.038 --> 00:31:42.241]  And the Congress is saying, who do we make the check out to?
[00:31:42.461 --> 00:31:49.349]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the republic.
[00:31:49.750 --> 00:31:58.860]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:32:00.987 --> 00:32:02.249]  Hi, this is Alex Jones.
[00:32:02.289 --> 00:32:07.636]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:32:07.876 --> 00:32:12.522]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:32:12.903 --> 00:32:13.303]  It's true.
[00:32:13.383 --> 00:32:17.949]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:32:18.470 --> 00:32:23.153]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:32:23.694 --> 00:32:25.615]  They call it a Survival Seed Bank.
[00:32:25.995 --> 00:32:30.618]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:32:30.798 --> 00:32:31.699]  And here's the best part.
[00:32:31.919 --> 00:32:34.701]  These seeds have not been genetically modified in any way.
[00:32:34.981 --> 00:32:38.303]  And you actually get enough seeds to plant a full acre crisis garden.
[00:32:38.624 --> 00:32:41.445]  So visit them today at SurvivalSeedBank.com.
[00:32:41.806 --> 00:32:43.687]  That's SurvivalSeedBank.com.
[00:32:44.027 --> 00:32:44.948]  Or give them a call at 877-327-0365.
[00:32:48.590 --> 00:32:50.732]  That's 877-327-0365.
[00:32:52.814 --> 00:32:57.337]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:32:57.658 --> 00:33:00.120]  This is Alex Jones for survivalseabank.com.
[00:33:02.282 --> 00:33:03.442]  Coast to coast.
[00:33:03.823 --> 00:33:05.164]  Direct from Austin.
[00:33:05.864 --> 00:33:09.087]  You're listening to the Alex Jones Broadcasting Network.
[00:33:26.903 --> 00:33:27.364]  All right.
[00:33:28.965 --> 00:33:29.766]  We are live.
[00:33:29.786 --> 00:33:34.752]  It is the 22nd day of January, 2012.
[00:33:36.053 --> 00:33:42.240]  I'll have open phones and a ton of other really important news in the second hour today.
[00:33:42.260 --> 00:33:44.963]  I'm here every Sunday, 4 to 6 p.m.
[00:33:47.085 --> 00:34:05.159]  Blasting out on the Sunday Show on more than 60 AM and FM stations, the weekday show over a hundred, XM Channel 166, the websites are Infowars.com, PrisonPlanet.com and PrisonPlanet.tv, amongst many others, like WhatIsTheEndgame.com.
[00:34:05.980 --> 00:34:07.601]  Oh, you don't know what the endgame is?
[00:34:07.641 --> 00:34:10.704]  That's like saying, I don't know what the matrix is.
[00:34:11.765 --> 00:34:15.348]  One cannot be told about the matrix, one has to see
[00:34:16.178 --> 00:34:17.759]  The Matrix for themselves.
[00:34:18.900 --> 00:34:42.916]  And I am tending to wax philosophical here because my mind swims around the great reservoir of research I've done and then in the spoken word to assemble the information is a great task.
[00:34:44.568 --> 00:34:46.389]  To try to assemble it simply.
[00:34:47.990 --> 00:34:54.232]  But if you assemble it simply, then that falls in the paradigm of not being three-dimensional and having depth to it.
[00:34:54.893 --> 00:35:04.617]  Because when you're communicating with a population that's been trained in one-dimensional thought processes, it's very, very hard.
[00:35:09.719 --> 00:35:11.040]  The best way to put this is,
[00:35:13.806 --> 00:35:18.311]  The general public is basically in different degrees of sleep.
[00:35:19.873 --> 00:35:21.755]  And I mean technically is in sleep.
[00:35:22.756 --> 00:35:34.089]  You can pull up BBC articles, major studies about television being directly linked to different neurological disorders, not just seizures, but early onset of
[00:35:37.389 --> 00:35:38.809]  Things like Alzheimer's.
[00:35:39.189 --> 00:35:40.670]  In fact, just type in Alzheimer's TV.
[00:35:40.890 --> 00:35:44.551]  First one's BBC, but there's about three million articles on it.
[00:35:45.031 --> 00:35:45.471]  More hits.
[00:35:45.891 --> 00:35:47.131]  Last time I checked a few months ago.
[00:35:47.151 --> 00:35:47.932]  We'll see where it is now.
[00:35:49.852 --> 00:35:54.833]  Again, I want listeners to understand, every sentence I say can be pulled up as a data point.
[00:35:55.654 --> 00:35:56.634]  That's how my brain works.
[00:35:56.954 --> 00:35:58.454]  None of this is my opinion.
[00:36:00.735 --> 00:36:01.815]  And I know the future.
[00:36:02.155 --> 00:36:03.315]  You know why I know the future?
[00:36:03.335 --> 00:36:05.516]  Because the future already happened.
[00:36:06.752 --> 00:36:07.873]  The future is already here.
[00:36:09.934 --> 00:36:32.866]  We are in a subterranean, suppressed, sloth-like, slow-motion future that is dripped out like poisoned honey from a honey hive, and the globalists are up in their technocratic beehive, and we're down here like addled, poisoned ants stumbling around.
[00:36:35.706 --> 00:36:39.927]  And one cannot be told about the matrix, one must see it.
[00:36:39.947 --> 00:36:58.070]  I think a simple way to put this is, we are not in a matrix, but the technocrats, the globalists, are trying to build one.
[00:36:58.910 --> 00:37:04.251]  They're trying to build a completely artificial habitat
[00:37:06.297 --> 00:37:08.279]  For the general public.
[00:37:12.162 --> 00:37:15.525]  They're trying to limit the information you come in contact with.
[00:37:15.565 --> 00:37:18.547]  They're trying to make you very, very shallow.
[00:37:18.567 --> 00:37:25.233]  They're trying to reduce the language and the number of words people use.
[00:37:25.273 --> 00:37:31.538]  The system admits in so many white papers it'll make your head spin that they want to basically abolish the family.
[00:37:31.558 --> 00:37:34.461]  And they've done an incredible job of that.
[00:37:37.844 --> 00:38:00.604]  And then you read all these globalist white papers, like the Wired Magazine article I've talked about for 14 years, Why the Future Doesn't Need Us, Bill Joy, co-owner of Sun Microsystems, and he says in the article, you know, I went to this conference with 200 tech company owners, some of the richest guys in the world, and you know, the debate was, do we kill everybody,
[00:38:04.386 --> 00:38:05.807]  Because they're not needed anymore?
[00:38:05.867 --> 00:38:12.071]  Because labor isn't just cheap, it's actually a negative because of robotics and the future and claiming that humans are hurting the earth?
[00:38:12.512 --> 00:38:18.856]  Or do we give people little mindless games and fake jobs and a fake civilization to live in?
[00:38:20.037 --> 00:38:22.519]  And he says that's the debate we're having right now.
[00:38:26.127 --> 00:38:41.418]  And I've read similar white papers and similar articles hundreds of times from the establishment, and then I try to have a discussion with my listeners at an adult level, from the perspective of what the people running this planet are really discussing.
[00:38:42.319 --> 00:38:44.781]  In fact, we can just type in Alzheimer's,
[00:38:45.902 --> 00:38:47.762]  television and it'll bring up the BBC.
[00:38:47.782 --> 00:38:49.003]  Just Alzheimer's television.
[00:38:49.543 --> 00:38:51.643]  And we can also type in why the future doesn't need us.
[00:38:51.663 --> 00:38:52.743]  We'll show people both those.
[00:38:53.423 --> 00:38:54.924]  And people are listening on the radio.
[00:38:54.964 --> 00:38:56.124]  They go, you'll show us both?
[00:38:56.464 --> 00:38:58.164]  Yes, at PrisonPlanet.tv.
[00:38:58.184 --> 00:38:58.924]  We're streaming video.
[00:38:59.685 --> 00:39:01.785]  And there's a little free video function at Infowars.com.
[00:39:01.825 --> 00:39:02.705]  You want to watch it there.
[00:39:02.965 --> 00:39:03.805]  But you can do this.
[00:39:04.025 --> 00:39:05.346]  This is interactive radio.
[00:39:05.846 --> 00:39:09.246]  This is meant, really, that this show is designed around radio.
[00:39:10.186 --> 00:39:12.847]  The video side of it is just a
[00:39:14.389 --> 00:39:15.710]  Small outgrowth.
[00:39:20.492 --> 00:39:21.752]  Yeah, that's not the article.
[00:39:21.792 --> 00:39:25.754]  Man jailed for sharing his father's industrial composition.
[00:39:26.734 --> 00:39:29.696]  Did you just type Alzheimer's television?
[00:39:29.756 --> 00:39:32.277]  Just Alzheimer's TV and boom, it's right there.
[00:39:32.877 --> 00:39:34.358]  At least it was like a month ago.
[00:39:34.838 --> 00:39:36.739]  Or have you typed in, why the future doesn't need us?
[00:39:36.819 --> 00:39:37.639]  It's Wired Magazine.
[00:39:38.860 --> 00:39:39.480]  April issue, 1999.
[00:39:39.820 --> 00:39:41.501]  You can pull it up right there.
[00:39:45.555 --> 00:39:47.175]  Did you click web or did you click news?
[00:39:48.956 --> 00:39:50.636]  Yeah, you don't click web because it's old.
[00:39:52.337 --> 00:39:54.237]  New stuff, you click news.
[00:39:55.598 --> 00:39:56.778]  Old stuff, you click web.
[00:39:56.798 --> 00:39:58.358]  There it is, BBC, top link.
[00:40:02.639 --> 00:40:04.120]  New stuff, you click news.
[00:40:04.160 --> 00:40:06.100]  Is it the other way around?
[00:40:08.221 --> 00:40:09.941]  New stuff, you click news.
[00:40:11.082 --> 00:40:12.482]  Old stuff, you click web.
[00:40:13.666 --> 00:40:16.567]  When you're using this NSA search engine, Google.
[00:40:18.067 --> 00:40:18.587]  So there it is.
[00:40:18.627 --> 00:40:19.887]  TV's linked to Alzheimer's.
[00:40:19.987 --> 00:40:20.267]  Okay.
[00:40:21.268 --> 00:40:22.668]  Here is the next one.
[00:40:23.688 --> 00:40:25.148]  Why the future doesn't need us.
[00:40:25.908 --> 00:40:26.369]  Bill Joy.
[00:40:31.970 --> 00:40:33.090]  It's why the future doesn't need us.
[00:40:33.110 --> 00:40:35.530]  I believe it's April 1999.
[00:40:35.750 --> 00:40:37.331]  We'll see if I'm accurate in my memory.
[00:40:38.371 --> 00:40:38.571]  So.
[00:40:40.640 --> 00:40:41.120]  Yeah, there it is.
[00:40:41.200 --> 00:40:42.861]  Why the future doesn't need us.
[00:40:43.141 --> 00:40:44.581]  Bill Joy, April 2000.
[00:40:44.781 --> 00:40:50.463]  Oh, see my little primitive electrochemical computer failed.
[00:40:51.684 --> 00:40:53.004]  You get little glitches like that.
[00:40:56.045 --> 00:40:57.386]  A group glitch here.
[00:40:57.406 --> 00:41:00.727]  Hey, nobody's bad.
[00:41:00.967 --> 00:41:05.449]  I'm glad that you guys were going to the, I mean, how are, how do you know that?
[00:41:06.729 --> 00:41:09.410]  Because radio listeners are listening and they're doing the same thing right now.
[00:41:10.509 --> 00:41:11.290]  And that's important.
[00:41:12.191 --> 00:41:26.867]  That's like last week, you know, we had an article that was linked on Drudge, this top story for like a day, that was dealing with the whole situation with the internet wars that have begun.
[00:41:28.772 --> 00:41:35.076]  The future of the web, the future of technological development, you know, being basically fought out right now.
[00:41:35.596 --> 00:41:37.677]  And from this point on, it's just going to intensify.
[00:41:38.197 --> 00:41:41.720]  There's always been internet wars, but I mean, they're really, really, really kicking now.
[00:41:44.261 --> 00:41:46.562]  That's the Daily Bell article that came out a day after ours.
[00:41:47.423 --> 00:41:51.785]  Our article is, um, the great internet wars have begun.
[00:41:53.066 --> 00:41:56.068]  But, um, that's a good article too.
[00:42:00.520 --> 00:42:01.360]  I mean, I don't know.
[00:42:03.201 --> 00:42:07.001]  It's like I'm supposed to apologize because I'm informed.
[00:42:07.702 --> 00:42:09.682]  It's like I'm bad because I'm smart.
[00:42:10.522 --> 00:42:14.683]  I'm bad because I actually study what the global controllers are into.
[00:42:15.143 --> 00:42:18.244]  And they're into building a giant global prison and then killing us.
[00:42:19.284 --> 00:42:20.624]  And they say they're going to do it.
[00:42:21.464 --> 00:42:23.265]  And I'm giving you all the proof of it.
[00:42:24.446 --> 00:42:26.007]  And I'm still the bad guy.
[00:42:26.608 --> 00:42:31.291]  I mean, I would be a great guy if I got up here and I talk about the NFL playoffs.
[00:42:32.231 --> 00:42:33.953]  People are like, man, he's really manly.
[00:42:34.073 --> 00:42:40.377]  He watches something piped into his house and comments on it and lives through other people.
[00:42:44.180 --> 00:42:45.781]  But we're going to come back from break.
[00:42:46.980 --> 00:42:49.004]  And I'm going to get into the big threats to humanity.
[00:42:49.324 --> 00:42:51.087]  I'm going to list just a few of them for you.
[00:42:51.408 --> 00:42:54.113]  Then we'll start the second hour.
[00:42:56.417 --> 00:43:00.023]  And then I will take your phone calls and cover the other news.
[00:43:01.502 --> 00:43:05.307]  Did you ever think you'd be where you are, a decade into the 21st century?
[00:43:05.647 --> 00:43:07.530]  Record foreclosure rates for homes.
[00:43:07.930 --> 00:43:09.412]  If not yours, your neighbors.
[00:43:09.793 --> 00:43:12.316]  Thankful for the unemployment check since you were laid off.
[00:43:12.756 --> 00:43:19.245]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[00:43:19.745 --> 00:43:22.948]  Did you ever think your future would feel this out of control?
[00:43:22.968 --> 00:43:27.892]  The fact is, in all this craziness, there's only one thing you can control.
[00:43:28.192 --> 00:43:29.454]  Your greatest dependency.
[00:43:29.714 --> 00:43:30.775]  Your food supply.
[00:43:31.155 --> 00:43:34.998]  Make 2012 the year you take control by getting prepared.
[00:43:35.339 --> 00:43:40.363]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:43:40.583 --> 00:43:43.325]  Get a 21-day supply of food free with purchase.
[00:43:43.566 --> 00:43:43.806]  Call 800-409-5633.
[00:43:46.488 --> 00:43:47.129]  We're good to go.
[00:44:05.327 --> 00:44:06.247]  Tyranny is here.
[00:44:06.587 --> 00:44:10.108]  The grim future foretold in 1984 has become reality.
[00:44:10.128 --> 00:44:12.729]  It really says that the state is God.
[00:44:12.749 --> 00:44:18.191]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:44:18.611 --> 00:44:24.853]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:44:25.273 --> 00:44:30.835]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:44:31.255 --> 00:44:34.956]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:44:35.436 --> 00:44:39.419]  Prepare to enter the secretive world of emergency dictatorship.
[00:44:39.719 --> 00:44:45.223]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:44:45.663 --> 00:44:48.625]  It's only the beginning of the New World Order's hellish plan.
[00:44:49.226 --> 00:44:50.647]  The police state isn't coming.
[00:44:51.207 --> 00:44:51.707]  It's here.
[00:44:52.308 --> 00:44:59.133]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:45:01.465 --> 00:45:06.889]  When you're out on the road, the last place you want to be is on the road.
[00:45:08.109 --> 00:45:12.893]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:45:13.253 --> 00:45:20.037]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:45:21.979 --> 00:45:24.160]  They sew pride in every stitch.
[00:45:26.061 --> 00:45:28.323]  Guarantee you'll love the way they fit.
[00:45:30.476 --> 00:45:34.337]  They put a diamond gusset in the crotch, where you need it most.
[00:45:35.057 --> 00:45:38.198]  Blue diamond gussets, got it.
[00:45:38.898 --> 00:45:39.718]  Others don't.
[00:45:40.138 --> 00:45:42.018]  We turn jeans inside out.
[00:45:42.278 --> 00:45:43.779]  Diamond gusset jeans.
[00:45:44.059 --> 00:45:46.619]  Made in the USA with unparalleled quality.
[00:45:46.939 --> 00:45:53.201]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:45:53.561 --> 00:45:55.781]  Order yours at gusset.com.
[00:45:56.261 --> 00:45:58.302]  Diamond gusset jeans, got it.
[00:45:58.642 --> 00:45:59.502]  Others don't.
[00:46:00.592 --> 00:46:04.835]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:46:05.135 --> 00:46:05.755]  Number one.
[00:46:06.055 --> 00:46:09.217]  New climate legislation could easily double or triple your electric bill.
[00:46:09.478 --> 00:46:10.058]  Number two.
[00:46:10.338 --> 00:46:14.901]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:46:15.241 --> 00:46:15.682]  It's true.
[00:46:15.982 --> 00:46:20.545]  Total government control of electricity in the name of smart grid technology is coming.
[00:46:20.845 --> 00:46:21.385]  Number three.
[00:46:21.665 --> 00:46:24.947]  In some areas of the country, the power grid is dangerously overloaded.
[00:46:25.268 --> 00:46:28.950]  And now, new socialist legislation is only compounding the problem.
[00:46:29.150 --> 00:46:29.711]  Number 4.
[00:46:29.951 --> 00:46:32.313]  Dangerous weather is always a threat to local grids.
[00:46:32.714 --> 00:46:36.097]  Every year, thousands of families lose their power from weather-related outages.
[00:46:36.398 --> 00:46:36.618]  Number 5.
[00:46:37.198 --> 00:46:41.123]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:46:41.343 --> 00:46:46.108]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:46:46.388 --> 00:46:50.411]  You can get more information at www.mysolarbackup.com.
[00:46:50.551 --> 00:46:52.132]  That's mysolarbackup.com.
[00:46:52.333 --> 00:46:54.434]  Remember, the government doesn't own the sun.
[00:46:54.594 --> 00:46:57.176]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:46:57.196 --> 00:47:03.421]  Coast to Coast.
[00:47:03.801 --> 00:47:05.202]  Direct from Austin.
[00:47:05.843 --> 00:47:09.065]  You're listening to the Alex Jones Broadcasting Network.
[00:47:19.580 --> 00:47:27.866]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:47:29.247 --> 00:47:31.409]  And what is the New World Order?
[00:47:32.670 --> 00:47:36.193]  Well, it's the Ponzi scheme operators that were able to take over the U.S.
[00:47:36.293 --> 00:47:45.299]  in 1913, and many other countries before and after that date, and they issue the currency and credit.
[00:47:45.379 --> 00:47:47.101]  They are God on this planet.
[00:47:48.479 --> 00:47:51.660]  Through fraud, through scams, through buying off politicians.
[00:47:53.620 --> 00:48:04.963]  And we've lived under that hoax for so long that, did you know that when you hear about your city or county or school district or state's budget, that that's a total fraud?
[00:48:04.983 --> 00:48:11.685]  In the 1930s and 40s, the Chicago Mafia had a 1313 system is what it was called.
[00:48:14.208 --> 00:48:15.989]  And they would have a double set of books.
[00:48:16.690 --> 00:48:27.576]  And they would, through the city of Chicago, tell the public about the budget, but generally about 70% or more of the money was in other accounts.
[00:48:27.616 --> 00:48:28.897]  They just didn't call it budget.
[00:48:28.917 --> 00:48:33.279]  And they would have big budgetary discussions about our budgets, this, our budgets, that.
[00:48:34.040 --> 00:48:39.483]  But in the comprehensive annual financial reports, they had all the real investments and the rest of the money.
[00:48:40.467 --> 00:48:41.387]  It's the same thing here.
[00:48:41.407 --> 00:48:42.408]  That's what I'm saying, folks.
[00:48:42.528 --> 00:48:44.508]  It's all completely fake.
[00:48:45.109 --> 00:48:52.091]  I mean, I'm sure you've heard the city of Austin's announcing between 30 and 80 percent rate hike increases.
[00:48:53.011 --> 00:48:54.852]  Overall, energy globally has gotten cheaper.
[00:48:55.712 --> 00:48:58.813]  But they don't care, they're saying it's for the earth, we're going to charge you more.
[00:48:59.313 --> 00:49:04.994]  No, it's for the big power companies that came in and used federal regulators to shut down their competition.
[00:49:05.014 --> 00:49:12.316]  This is happening all over the country, but here in Austin it's more egregious because our city council is so mindless and corrupt.
[00:49:13.776 --> 00:49:14.816]  It's a mixture of both.
[00:49:15.756 --> 00:49:18.597]  And they're just going to slap these giant rate increases on people.
[00:49:20.037 --> 00:49:22.658]  People are like, well that's the government trying to get a shortfall.
[00:49:24.932 --> 00:49:33.077]  A small part of it is a budgetary shortfall, but you're not looking at all the other accounts that are off the budgetary discussion that no one ever talks about.
[00:49:33.097 --> 00:49:37.620]  I mean, folks, if you're a new listener, this is big medicine I'm giving you.
[00:49:38.181 --> 00:49:39.721]  This is the man behind the curtain.
[00:49:39.742 --> 00:49:41.823]  This is the lottery numbers.
[00:49:41.863 --> 00:49:44.124]  This is the big kahuna.
[00:49:44.665 --> 00:49:46.526]  And I hope it's not pearls before swine.
[00:49:49.244 --> 00:49:50.645]  And it just goes on from there.
[00:49:51.425 --> 00:49:56.829]  I remember in 2000, the federal government only had a few dozen Predator drones.
[00:49:58.410 --> 00:50:08.617]  And they were saying by 2012, more than half of the Air Force's force would be drone.
[00:50:09.317 --> 00:50:13.220]  And I saw a number just two days ago of they've now got 7,000 Predators alone.
[00:50:15.202 --> 00:50:17.826]  And they've got all these Reapers and all the rest of it.
[00:50:18.507 --> 00:50:26.037]  And then there's that whole discussion there of humans aren't even going to be involved in the military soon, except for servicing the equipment.
[00:50:26.798 --> 00:50:29.362]  And so that makes you more detached from war crimes.
[00:50:30.310 --> 00:50:37.156]  And now they've announced with the NDAA they'll secretly arrest citizens and bomb any country they want without even talking to Congress.
[00:50:37.257 --> 00:50:46.846]  And the police are using predators and reapers on citizens now for stolen cows or pot grows or whatever the case is.
[00:50:49.460 --> 00:50:51.741]  America doesn't even exist anymore.
[00:50:52.081 --> 00:50:59.204]  The United States was beach-headed in 1913 with the Federal Reserve and has been taken over by the military-industrial complex.
[00:50:59.284 --> 00:51:01.845]  It's self-controlled by the technocratic elite.
[00:51:01.885 --> 00:51:05.986]  That's the rest of Eisenhower's 1960 speech, 1961 speech.
[00:51:09.807 --> 00:51:11.008]  It's just totally fake!
[00:51:12.361 --> 00:51:38.093]  It's totally fake, and how do you talk to a public that doesn't know even the three branches of government, much less that that's been usurped, and that the entire military is going to combat drones in the air, combat robots on the ground, that the globalists have all these white papers saying soon they'll be able to do whatever they want because they're going to have big enough robot armies to not rely on U.S.
[00:51:38.153 --> 00:51:40.454]  troops not pulling triggers on citizens.
[00:51:43.117 --> 00:51:55.368]  There's a giant national security state being built behind a tissue-thin carton and now they've pulled that down and it's staring us right in the face.
[00:51:55.388 --> 00:52:05.858]  I mean, how many years did I tell you that they were going to be using military and police on the streets of America?
[00:52:07.338 --> 00:52:14.964]  How many years did I tell you before 9-11 there'd be giant terror attacks, and I said they'd probably blow up the World Trade Center by the way, that's on record.
[00:52:16.125 --> 00:52:20.809]  Even Rolling Stone, New York Magazine, Nightline, they've all reported on that, that is a fact.
[00:52:21.229 --> 00:52:22.450]  They didn't believe it, they went and checked.
[00:52:23.130 --> 00:52:33.779]  I said they'll blow up the World Trade Center, blame it on their asset bin Laden, as a pretext to invade this list of countries, which were accurate, and as a pretext to set up domestic security checkpoints that'll begin in the airports.
[00:52:36.579 --> 00:52:40.441]  I even said they'd launch a bio-attack shortly after the attack on the World Trade Center.
[00:52:41.821 --> 00:52:54.007]  And thanks to the ADL, it's not just me saying that, it's on record, the ADL, on September 12th, in an article titled, What They're Saying, attacked me and said, Jones says a bio-attack has already been launched.
[00:52:55.768 --> 00:52:57.589]  Why didn't the FBI come and question me?
[00:52:57.609 --> 00:53:02.931]  I mean, how did I know the World Trade Center was going to be blown up?
[00:53:04.178 --> 00:53:06.560]  How did I know a bio-attack had already been launched?
[00:53:09.042 --> 00:53:09.803]  You ever think about that?
[00:53:09.823 --> 00:53:15.708]  Do you realize what I've done in front of all of you?
[00:53:16.248 --> 00:53:27.678]  Do you realize that I've completely reverse-engineered their entire system to the point that I'm at my parents' house today and I say, Disney World is a Department of Defense laboratory?
[00:53:29.281 --> 00:53:31.503]  Never even seeing that information.
[00:53:32.163 --> 00:53:34.144]  I knew they were involved in developing biometrics.
[00:53:35.305 --> 00:53:37.887]  And we pulled it up with Department of Defense white papers.
[00:53:38.727 --> 00:53:40.048]  And we've put them on screen here today.
[00:53:40.088 --> 00:53:40.788]  How did I know that?
[00:53:41.249 --> 00:53:44.090]  Because the whole thing's a laboratory.
[00:53:44.531 --> 00:53:46.132]  President Eisenhower warned you.
[00:53:46.592 --> 00:53:47.693]  I'm not psychic.
[00:53:48.033 --> 00:53:49.774]  The whole thing's fake!
[00:53:52.736 --> 00:53:54.097]  The whole thing at the top.
[00:53:57.463 --> 00:53:59.504]  Mid-level and low-level, it's not.
[00:54:00.024 --> 00:54:01.985]  They're not in complete control.
[00:54:02.646 --> 00:54:04.526]  The matrix is not complete.
[00:54:05.007 --> 00:54:06.247]  We're not out of the game.
[00:54:06.347 --> 00:54:14.771]  At the top, it's all standardized, and the system is trying to get us to basically enter into their totally artificial environment.
[00:54:16.112 --> 00:54:21.995]  That's why all over the US, England, and Canada, they're fining people in major cities for backyard gardens.
[00:54:23.035 --> 00:54:25.156]  If you're any listener, just type it into the search engine.
[00:54:25.196 --> 00:54:25.797]  I'm not kidding.
[00:54:27.037 --> 00:54:32.380]  Guys, type in SWAT team for growing cucumbers.
[00:54:33.441 --> 00:54:35.222]  You'll get Canada, you'll also get the U.S.
[00:54:35.902 --> 00:54:41.425]  Because they say in Tulsa, Oklahoma, you can't be trusted growing a garden in your backyard.
[00:54:41.485 --> 00:54:42.446]  It might be drugs.
[00:54:44.361 --> 00:54:48.867]  Even Forbes a few months ago said, why are there thousands of raids on lemonade stands?
[00:54:49.728 --> 00:54:54.674]  Why is the federal government obsessed with lemonade stands and giving grants to local police to go after them?
[00:54:54.934 --> 00:54:56.636]  Because your kids have got to be trained.
[00:54:57.057 --> 00:54:59.379]  Everything you do is in a big box store.
[00:55:00.180 --> 00:55:02.602]  Everything you do is in a survey.
[00:55:02.702 --> 00:55:07.045]  I mean, you walk into these box stores, Disney World, cruise ships, airports.
[00:55:07.485 --> 00:55:09.526]  It's cameras hanging every five feet.
[00:55:09.867 --> 00:55:10.887]  It's data mining.
[00:55:10.947 --> 00:55:13.289]  It's customer cards tracking everything you do.
[00:55:13.649 --> 00:55:14.590]  It's total control.
[00:55:14.870 --> 00:55:27.759]  And I remember 15 years ago reading about all the major Safeways, you name it, had hidden retina scanners that were tracking the eye as you look at products.
[00:55:27.819 --> 00:55:29.580]  Now it's admitted that it's in most big stores.
[00:55:30.841 --> 00:55:43.773]  I was even taken by one of the head people, off record obviously, I wasn't allowed to talk about it but he said for one year because they were going to another university, into a Department of Defense laboratory.
[00:55:46.325 --> 00:55:47.485]  You're like, where is that?
[00:55:47.625 --> 00:55:50.406]  University of Texas facility.
[00:55:50.566 --> 00:56:03.309]  That psychology department is only a small public building, public front, for underground bases, monkey farms, weaponized, you name it.
[00:56:03.829 --> 00:56:06.350]  Stuff that'll kill 9 out of 10 people on your block.
[00:56:08.192 --> 00:56:16.297]  Every department is about brainwashing, and how to manipulate men and women, and what pheromone to add, and what chemical to put in the water.
