[00:00:03.917 --> 00:00:04.517]  Hi, welcome.
[00:19:55.777 --> 00:19:58.500]  They held out for almost three or four months.
[00:19:58.840 --> 00:20:03.284]  They had to send in divisions in there just because they had some guns and fought back.
[00:20:04.185 --> 00:20:07.928]  I mean, the Germans had big tanks and had Stukas bombing the buildings.
[00:20:08.269 --> 00:20:10.251]  They just stayed in the basements, waited, and killed people.
[00:20:10.771 --> 00:20:11.492]  When they came to get him.
[00:20:11.712 --> 00:20:12.733]  So it's tactics at that point.
[00:20:12.753 --> 00:20:14.615]  Point is, they just said, well, they're going to kill us anyways.
[00:20:15.176 --> 00:20:18.039]  Might as well just kill some... I mean, you know, I mean it gets down to that point of...
[00:20:19.994 --> 00:20:23.656]  They can't even get our guns and ban them because they know people aren't going to turn them in.
[00:20:23.676 --> 00:20:25.097]  A certain percentage are going to fight.
[00:20:25.718 --> 00:20:26.638]  That's where they hold back.
[00:20:26.699 --> 00:20:28.139]  The founders put that in place.
[00:20:28.160 --> 00:20:29.360]  The vampires are all around us.
[00:20:29.400 --> 00:20:31.262]  If you can see them politically, they're all right there.
[00:20:31.282 --> 00:20:31.822]  They're invisible.
[00:20:32.062 --> 00:20:33.603]  You throw dust up, you can suddenly see them.
[00:20:33.823 --> 00:20:39.367]  They're all right there, but the guns, the free speech, the fact that we're fighting, that we're not losing hope, that's holding them back.
[00:20:39.807 --> 00:20:46.412]  The fact that they commit an atrocity, like I believe this was a false flag and all the signs, it's over the top.
[00:20:47.779 --> 00:20:57.093]  The fact that they did all of that, and still are having to automatically still back off, and have to go to the UN and try to ban our guns, I mean, we're not giving up.
[00:20:57.213 --> 00:21:00.057]  And I'm not somebody who shoots my mouth off about violence, but here's the deal.
[00:21:01.289 --> 00:21:07.071]  Me nor my wife or my children, if army trucks come around and say you're going to the FEMA camp or we've got shots for you, we're not doing it.
[00:21:07.271 --> 00:21:07.431]  Right.
[00:21:07.671 --> 00:21:12.833]  And you know, that's the point of, well, it's been nice, uh, you know, being here, but I ain't going alone.
[00:21:12.853 --> 00:21:13.233]  Okay.
[00:21:13.273 --> 00:21:14.614]  Nobody's taking my kids, none of it.
[00:21:15.094 --> 00:21:16.414]  You're going to have to fight for my children.
[00:21:16.694 --> 00:21:19.595]  And nowadays in a nation of cowards, I guess that's a radical statement.
[00:21:19.855 --> 00:21:21.036]  I'm not going to a death camp.
[00:21:21.416 --> 00:21:27.638]  I'm supposed to just get my hat and like run down into the pit to get, have you seen all those film footage of the naked women stripping off?
[00:21:27.658 --> 00:21:29.779]  Cause they were going to recycle their clothes and stuff.
[00:21:30.399 --> 00:21:32.261]  And they got their babies and they go in there and get shot?
[00:21:32.281 --> 00:21:43.890]  Or like you see one group run down in and they shoot them and then another group, like the guy has the hat in his hand and he wants that approval from the guy in the black uniform so he kind of, no thank you sir, uh-uh.
[00:21:43.950 --> 00:21:46.673]  And if I'm a tough guy or radical because
[00:21:47.810 --> 00:21:48.510]  Well, I mean, yeah.
[00:21:48.550 --> 00:21:49.391]  I mean, it's real simple.
[00:21:49.411 --> 00:21:55.754]  I mean, if I went in my garage, it's happened before, and there's a big old bull raccoon over there, I mean, they can kill full-grown pit bulls.
[00:21:55.894 --> 00:21:56.674]  I mean, they're that tough.
[00:21:56.954 --> 00:22:00.256]  They jump on their head and, you know, bite their eyes out and try to put them in water.
[00:22:00.276 --> 00:22:01.077]  I mean, they're really tough.
[00:22:01.417 --> 00:22:03.738]  But the point is, it's a little bitty raccoon.
[00:22:03.778 --> 00:22:11.602]  If I walk in my garage and there's one and it goes, you know, I'm just going to go back in the house because let me tell you, I mean, I can either go in there and shoot them or I'm not going to try to find them.
[00:22:11.942 --> 00:22:13.062]  The thing probably only weighs 25 pounds.
[00:22:14.465 --> 00:22:16.346]  But it will tear you apart.
[00:22:16.827 --> 00:22:19.348]  I mean, snapping so fast you'll have bites all over you.
[00:22:19.909 --> 00:22:22.450]  And so we need to look like wolverines or raccoons.
[00:22:22.891 --> 00:22:25.132]  We need to stop thinking of ourselves as these wimps.
[00:22:25.633 --> 00:22:34.599]  A bunch of criminals that have taken over the country and bombed Oklahoma City and staged Fast and Furious think they're going to have some Soviet New World Order takeover, re-education camp operation.
[00:22:35.279 --> 00:22:37.100]  Then, we're not starting a fight, we're here.
[00:22:37.580 --> 00:22:39.761]  You come and start a fight with me, you're gonna get one right back.
[00:22:39.781 --> 00:22:42.603]  I mean, I'm already point-blank attacking them with words.
[00:22:43.303 --> 00:22:45.885]  And before the shooting starts, that's the most powerful weapon, Kristin.
[00:22:46.525 --> 00:22:50.487]  So, I mean, I'm right up front, like I've done my whole life, just pounding these people right in the face.
[00:22:50.767 --> 00:22:54.229]  Because they're attacking us with their words, with their disinfo, their lies.
[00:22:54.529 --> 00:22:56.310]  My weapon's the truth, it's a lot more powerful.
[00:22:56.738 --> 00:23:01.445]  Wasn't it in the war, the book of... Oh my goodness, I just lost my train of thought.
[00:23:01.845 --> 00:23:03.928]  Essentially, if you have to shoot first, you've already lost.
[00:23:04.369 --> 00:23:06.311]  Isn't that the concept of that?
[00:23:06.712 --> 00:23:07.974]  Sure, until it starts.
[00:23:08.054 --> 00:23:10.417]  And then once they shoot first, you always shoot first.
[00:23:11.358 --> 00:23:12.180]  You understand the difference?
[00:23:14.114 --> 00:23:15.314]  They start the war.
[00:23:15.394 --> 00:23:16.174]  They start the war.
[00:23:16.214 --> 00:23:19.935]  That doesn't mean you always shoot second after it starts.
[00:23:20.895 --> 00:23:22.976]  You always shoot first once it starts.
[00:23:23.636 --> 00:23:25.376]  You never shoot first until it starts.
[00:23:25.536 --> 00:23:25.796]  Got it.
[00:23:25.956 --> 00:23:27.476]  Then you choose the time and the place.
[00:23:27.496 --> 00:23:28.056]  There you go.
[00:23:28.337 --> 00:23:28.837]  Under your own.
[00:23:29.597 --> 00:23:29.837]  Got it.
[00:23:31.537 --> 00:23:39.839]  Well, the next one comes to you from Jewel and she says, a few months ago you had Stuart Rhodes on and he mentioned he was going to attend a meeting with state governors.
[00:23:40.159 --> 00:23:40.999]  Have you heard anything back?
[00:23:41.039 --> 00:23:42.219]  No, we should get Stuart Rhodes back on.
[00:23:43.004 --> 00:23:43.244]  Okay.
[00:23:43.624 --> 00:23:43.865]  Done.
[00:23:44.305 --> 00:23:44.965]  Check that one off.
[00:23:46.086 --> 00:23:47.727]  And... And we should get Stewart Rhodes on the next few days.
[00:23:48.447 --> 00:23:48.687]  Yeah.
[00:23:48.968 --> 00:23:49.308]  That'd be good.
[00:23:49.788 --> 00:23:51.169]  The next one is for... How many questions?
[00:23:51.189 --> 00:23:53.330]  Rob, you've got to go edit the other piece of the news tonight.
[00:23:53.350 --> 00:23:54.151]  How much time do we have?
[00:23:56.412 --> 00:23:57.112]  Do a wide shot.
[00:23:57.152 --> 00:23:58.013]  Run on out and check on that.
[00:23:59.292 --> 00:23:59.612]  Good job.
[00:23:59.652 --> 00:24:00.432]  And leave this all in.
[00:24:00.452 --> 00:24:01.273]  Don't even edit this out.
[00:24:01.773 --> 00:24:03.233]  We're going to see all the behind the scenes here.
[00:24:03.834 --> 00:24:04.634]  Christy, continue.
[00:24:05.114 --> 00:24:10.096]  The next one comes to you from Nevik, and he says, my question is, how do you feel about the approaching world war?
[00:24:10.636 --> 00:24:13.797]  And how will it affect the freedom movement here in America and globally?
[00:24:16.198 --> 00:24:16.758]  Say that again.
[00:24:16.998 --> 00:24:19.739]  There's a little more to that, but essentially he's he's asking.
[00:24:20.765 --> 00:24:26.690]  He thinks there's an approaching World War III, and how would that affect our freedom movement here?
[00:24:26.710 --> 00:24:27.571]  Oh my gosh.
[00:24:27.631 --> 00:24:27.972]  Yeah, yeah.
[00:24:27.992 --> 00:24:34.177]  They always get these wars going so that people say, well, it's patriotic, we didn't want to get in the war, but we've got to get behind it now.
[00:24:34.237 --> 00:24:34.617]  Yeah, of course.
[00:24:34.637 --> 00:24:37.400]  And they're creeping towards that with Russia, with China even.
[00:24:37.840 --> 00:24:39.342]  People say, well, do you like Russia and China?
[00:24:39.402 --> 00:24:40.323]  No, I don't live there.
[00:24:40.843 --> 00:24:47.049]  They're authoritarian too, but I'm run by foreign banks who want to get me into this war so they can get us all in debt to them.
[00:24:47.569 --> 00:24:48.650]  I don't want to go to the party.
[00:24:48.970 --> 00:24:51.732]  I don't want to have a war with the cops, with the military, with anybody.
[00:24:52.593 --> 00:24:55.755]  You're just not shooting me up with cancer viruses or taking me to a FEMA camp.
[00:24:56.416 --> 00:24:57.236]  Don't tread on me.
[00:24:57.316 --> 00:25:01.239]  It's like, I'm not looking for trouble, but if you think you're going to walk all over me, it ain't happening.
[00:25:01.519 --> 00:25:04.441]  My fear is that it's happening so slowly, nobody's paying attention.
[00:25:05.282 --> 00:25:09.385]  Well, I mean, they're putting Russian special forces into Syria, and they're battling U.S.
[00:25:09.425 --> 00:25:14.669]  special forces and NATO forces from NATO countries right now in Damascus.
[00:25:15.805 --> 00:25:16.326]  As we speak.
[00:25:16.606 --> 00:25:17.448]  Yeah, there were U.S.
[00:25:17.468 --> 00:25:24.157]  troops killed and mercenaries when they attacked the Russian-held enclave of South Ossetia and Abkhazia back in 2008.
[00:25:24.198 --> 00:25:26.040]  I want you to say that a little faster.
[00:25:26.060 --> 00:25:26.982]  That was good.
[00:25:28.003 --> 00:25:28.244]  Why?
[00:25:28.264 --> 00:25:30.747]  Because it just sounds very hard to pronounce quickly.
[00:25:32.361 --> 00:25:33.442]  Sorry, not a funny topic.
[00:25:34.002 --> 00:25:38.264]  C4StayAway and Kathy, both users, kind of asked a similar question.
[00:25:38.284 --> 00:25:46.308]  They said, can you give some advice on how to most effectively introduce someone who's never given a thought to a world so turned upside down?
[00:25:46.649 --> 00:25:47.529]  Basically, where do you start?
[00:25:47.609 --> 00:25:49.450]  You know, people, you try to tell them something.
[00:25:49.610 --> 00:25:51.091]  What's a good way to kind of wake them up?
[00:25:51.511 --> 00:25:56.519]  I shot a piece for the Nightly News that Aaron's about to do live in there when we get up close to 7 here.
[00:25:56.539 --> 00:26:00.045]  That's why Jacobson's in there with my piece for the news, getting it ready right now.
[00:26:00.065 --> 00:26:01.347]  Right, I saw you doing it earlier.
[00:26:03.942 --> 00:26:08.343]  And I just went over the fact that, hey, the radiation was five to eight times higher than they said.
[00:26:08.363 --> 00:26:09.384]  They ordered him to lie about it.
[00:26:10.004 --> 00:26:16.586]  We told you, you know, a year and three, four months ago in Fukushima happened because there were scientists that went in with their own meters and said it.
[00:26:16.666 --> 00:26:18.587]  I mean, people were dying for the radiation.
[00:26:18.607 --> 00:26:19.087]  It was so high.
[00:26:19.227 --> 00:26:19.387]  Yeah.
[00:26:19.407 --> 00:26:20.888]  I mean, we know the type of reactors.
[00:26:20.908 --> 00:26:21.608]  We know their load.
[00:26:21.628 --> 00:26:24.809]  We know some completely melted down bigger than Chernobyl.
[00:26:24.969 --> 00:26:25.469]  They lied.
[00:26:25.869 --> 00:26:26.069]  Yeah.
[00:26:26.149 --> 00:26:27.270]  And that stuff's blowing right at us.
[00:26:28.231 --> 00:26:30.692]  Now they admit the fish, everything.
[00:26:31.273 --> 00:26:33.754]  It's really hit Alaska hard and it's causing a nightmare there.
[00:26:33.774 --> 00:26:39.557]  It turns out that Joe Paterno, of course he knew it at Penn State about that.
[00:26:39.577 --> 00:26:42.199]  I don't see how you couldn't.
[00:26:42.239 --> 00:26:44.320]  The point is... People lie.
[00:26:44.480 --> 00:26:46.021]  Let me tell you, it's not just about knowing.
[00:26:46.181 --> 00:26:46.381]  Yeah.
[00:26:47.025 --> 00:26:54.549]  People are naive about how evil, evil people crave power and crave getting into positions so they can get away with it all.
[00:26:54.689 --> 00:26:55.449]  That's what it's about.
[00:26:56.110 --> 00:27:04.494]  I mean, a normal person, you know, just wants to have a good, stable life and take care of their family and doesn't shield their wife or their husband because they're trying to be good people.
[00:27:05.134 --> 00:27:09.496]  A normal person doesn't cheat somebody in business because they want them to do good.
[00:27:09.676 --> 00:27:15.498]  And they've got pride in themselves that they do a good business and they work hard and they deserve the money they made.
[00:27:15.878 --> 00:27:18.219]  But more and more people think, no, no, you get ahead.
[00:27:18.239 --> 00:27:23.320]  That's stupid, you know, to not cheat on your family.
[00:27:23.400 --> 00:27:26.682]  That's stupid to not... But then it goes beyond that.
[00:27:26.962 --> 00:27:31.403]  These evil people like doing things that normal people don't even ever think about.
[00:27:31.783 --> 00:27:32.804]  And so good people
[00:27:34.640 --> 00:27:35.881]  Are like blind to evil.
[00:27:36.161 --> 00:27:40.643]  We just can't believe something's actually happening.
[00:27:41.123 --> 00:27:44.485]  You don't want to believe that, because if it does, it crumbles your whole reality.
[00:27:44.645 --> 00:27:46.866]  Yeah, but our whole reality is going to crumble.
[00:27:47.046 --> 00:27:52.208]  See, there's always good running parallel to evil, and evil's supposed to be a little bitty piece of things, you know, in a healthy society.
[00:27:52.388 --> 00:27:54.209]  You want to try to get rid of all of it, but it's always going to be there.
[00:27:54.989 --> 00:27:58.951]  And then good's this big wide band, you know, this stream, and next to it's this evil river.
[00:27:59.622 --> 00:28:06.149]  Well, they told us there is no good and evil, joined that evil into the mainstream, and then infected it all where the whole stream's going dark.
[00:28:06.850 --> 00:28:11.035]  And now they're saying, people that like freedom and don't trust big government, they're the bad ones.
[00:28:11.315 --> 00:28:13.057]  People that like the family, they're the bad ones.
[00:28:13.317 --> 00:28:16.120]  People that want to be honorable, ah, they're just stupid schmucks.
[00:28:16.401 --> 00:28:17.342]  They don't know how to get ahead.
[00:28:17.922 --> 00:28:19.764]  And so they sell all these people that
[00:28:20.345 --> 00:28:21.906]  You know, being corrupt is a way to get ahead.
[00:28:22.206 --> 00:28:25.247]  So they get more and more corrupt, thinking, I would have got ahead if I'd have been more corrupt.
[00:28:25.527 --> 00:28:28.528]  And pretty soon the business dries up, the society collapses.
[00:28:28.548 --> 00:28:29.388]  The globalists know this.
[00:28:29.688 --> 00:28:32.709]  They're imploding society so they can be in control of it.
[00:28:33.869 --> 00:28:37.670]  The way to do good in business is being honest to people, you know, having a name they can trust you.
[00:28:37.950 --> 00:28:44.492]  The way to do good in life is to, you know, not live in the fast lane and be focused.
[00:28:44.532 --> 00:28:49.054]  But they sell people on, oh no, you're missing out because you're not doing this.
[00:28:49.753 --> 00:28:52.774]  You're missing out because, you know, you're not involved in all this.
[00:28:53.795 --> 00:28:56.636]  And this is what you call a fallen society.
[00:28:56.916 --> 00:28:59.377]  They gave us the disease of corruption and evil.
[00:28:59.397 --> 00:29:00.438]  Not that any of us are perfect.
[00:29:01.818 --> 00:29:04.159]  To where we don't even recognize what's good or bad anymore.
[00:29:04.539 --> 00:29:05.720]  So we could be brought down.
[00:29:06.140 --> 00:29:08.081]  So we could be spiritually blinded.
[00:29:08.121 --> 00:29:10.522]  And the atheists out there are fed up by saying spiritual.
[00:29:10.802 --> 00:29:11.142]  Whatever!
[00:29:11.602 --> 00:29:12.863]  Basic discernment.
[00:29:15.233 --> 00:29:15.873]  Basic discernment.
[00:29:15.893 --> 00:29:16.314]  Because you know what?
[00:29:16.374 --> 00:29:21.137]  I don't see the atheists out there confronting the eugenics and the globalists and the New World Order.
[00:29:21.637 --> 00:29:23.998]  I see you guys attacking us that stand up against it.
[00:29:24.278 --> 00:29:26.060]  And that's not fair to put you all in one basket.
[00:29:26.320 --> 00:29:32.283]  I also see most of the mainline churches Bible-thumping and a bunch of Pharisees up on the mountain saying they're better than everybody.
[00:29:32.704 --> 00:29:34.345]  All I know is the world's in a crisis.
[00:29:35.385 --> 00:29:36.766]  Great change is taking place.
[00:29:37.867 --> 00:29:40.548]  And you better be on the side of good, ladies and gentlemen.
[00:29:40.808 --> 00:29:43.110]  Because going along with evil does not get you ahead.
[00:29:43.723 --> 00:29:45.144]  Alright, you asked how many questions we've got.
[00:29:45.644 --> 00:29:46.164]  Fifteen?
[00:29:46.204 --> 00:29:47.305]  Can we make them fast, do you think?
[00:29:47.345 --> 00:29:47.865]  Yeah, let's do it.
[00:29:47.965 --> 00:29:49.286]  Okay, this is from Robert.
[00:29:49.306 --> 00:29:51.106]  It's kind of an extension of the last question.
[00:29:51.146 --> 00:29:52.587]  It says, what woke you up?
[00:29:52.767 --> 00:29:54.368]  Is there a specific event?
[00:29:54.708 --> 00:29:59.850]  No, it was a collection of things and just common sense.
[00:30:00.191 --> 00:30:02.552]  And then seeing police deal the drugs where I lived in Dallas.
[00:30:02.612 --> 00:30:09.555]  And then get on the news talking about how they were fighting drugs and use it to shake down people that were buying drugs that they didn't buy from them.
[00:30:11.431 --> 00:30:12.652]  Supply and demand, I suppose.
[00:30:13.032 --> 00:30:20.298]  The next one's from George, and he says, Alex, I would really like to stop participating in the population reduction agent known as cigarettes.
[00:30:20.318 --> 00:30:24.662]  We touched on this, I think, the last portion, too, but here's what worked for you personally.
[00:30:24.782 --> 00:30:26.103]  Just kind of a self-encouragement.
[00:30:29.685 --> 00:30:31.508]  I just got tired of feeling like crap.
[00:30:32.409 --> 00:30:35.573]  And I've quit smoking for four years, two years, one year.
[00:30:35.593 --> 00:30:37.495]  I mean, I kind of always gone off and on.
[00:30:37.515 --> 00:30:43.864]  It always just starts with that cigarette at a bar, out having dinner with friends, and then, oh, you're, you know, buy a pack going home.
[00:30:44.405 --> 00:30:46.507]  And now it's been over a year since I've had one, and I just...
[00:30:47.128 --> 00:30:51.831]  I just no more chewing tobacco, no more cigars, no more any of it.
[00:30:52.451 --> 00:30:57.534]  And I finally had that thing happen that happened a few other times where I quit for four years once or two years on the time.
[00:30:58.615 --> 00:30:59.476]  It stinks to me.
[00:30:59.996 --> 00:31:00.196]  Yeah.
[00:31:00.536 --> 00:31:06.240]  So something happened where it just clicked and I realized this isn't just tobacco.
[00:31:06.360 --> 00:31:08.201]  They're putting all these additives and stuff in.
[00:31:08.601 --> 00:31:09.602]  So just decide.
[00:31:09.642 --> 00:31:12.543]  It's not like you're fighting to not want to do it.
[00:31:12.763 --> 00:31:14.685]  Just decide that you don't want to.
[00:31:15.782 --> 00:31:18.664]  You know, die 20 years early, and you want to be there for your children.
[00:31:18.904 --> 00:31:19.104]  Yeah.
[00:31:19.665 --> 00:31:26.130]  Well, I actually took it up a little bit in college, and my way of getting over it was that every time I wanted a cigarette, I would go for a run.
[00:31:26.290 --> 00:31:28.972]  So I just got tired of running, so I didn't want a cigarette.
[00:31:28.992 --> 00:31:29.672]  Well, that's what they say.
[00:31:29.692 --> 00:31:31.814]  They say you've got to replace bad habits with good.
[00:31:31.834 --> 00:31:32.615]  Yeah, exactly.
[00:31:32.635 --> 00:31:34.076]  Make it like a conscious effort there.
[00:31:34.736 --> 00:31:49.333]  The next one is from I See the Future, and it says, Alex, have you noticed that right after the Supreme Court hands all this free money to Big Pharma, that all of a sudden Big Pharma will begin to settle out of court on many drugs and illegal practices that they've charged with your tax money, of course?
[00:31:49.353 --> 00:31:50.014]  That's a good question.
[00:31:50.034 --> 00:31:50.695]  When was the first part?
[00:31:51.816 --> 00:32:04.305]  The Supreme Court hands all the free money to Big Pharma and then all of a sudden Big Pharma turns around and... Yeah, the Supreme Court took what Big Pharma wrote and they bragged they did the health care plan, which is trillions of dollars over the next decade.
[00:32:04.705 --> 00:32:10.129]  And then yes, now they're settling because it's just coming out, all their whistleblowers are coming out.
[00:32:10.530 --> 00:32:15.714]  So that's really what's going on, is that the whistleblowers, it's so immoral what's happening.
[00:32:18.558 --> 00:32:20.079]  They're all coming out and speaking out.
[00:32:20.099 --> 00:32:21.440]  It's like in Europe and the U.S.
[00:32:21.500 --> 00:32:24.643]  it turned out for 20 years they've been setting and rigging the interest rates.
[00:32:24.663 --> 00:32:25.263]  Well, no kidding.
[00:32:26.304 --> 00:32:27.124]  To rip people off.
[00:32:27.525 --> 00:32:29.766]  They've made trillions conservatively.
[00:32:29.967 --> 00:32:30.487]  That's admitted.
[00:32:30.727 --> 00:32:32.428]  They're paying a $22 billion fine.
[00:32:34.190 --> 00:32:43.196]  So, it's kind of like when they caught Wells Fargo and Wachovia laundering $300 plus trillion, excuse me, $300 plus billion in drug money a few years ago.
[00:32:43.216 --> 00:32:43.917]  It was in the news.
[00:32:45.118 --> 00:32:45.938]  They paid a $115 million fine.
[00:32:48.663 --> 00:32:50.765]  Well, if it was $376 billion, what is $100 million?
[00:32:50.785 --> 00:32:54.668]  I think it came out to a very low percent.
[00:32:54.708 --> 00:32:55.209]  I think it was 10%.
[00:32:55.529 --> 00:32:56.390]  I've got to do the math again.
[00:32:56.410 --> 00:32:58.672]  I think it was like 3% or something.
[00:32:58.692 --> 00:32:59.353]  I'm going from memory.
[00:32:59.373 --> 00:33:00.654]  $300 billion roughly?
[00:33:00.674 --> 00:33:01.294]  $3 billion is 1%.
[00:33:01.334 --> 00:33:02.976]  So what would you say it was?
[00:33:12.518 --> 00:33:13.038]  Oh man.
[00:33:13.199 --> 00:33:14.640]  It was, it was, it was $376 billion.
[00:33:14.660 --> 00:33:14.740]  Okay.
[00:33:14.760 --> 00:33:17.161]  People just type in banks laundered $376 billion, Bloomberg, APL come up.
[00:33:17.182 --> 00:33:19.223]  $376 billion and they paid, I think it was $110 or $115 million.
[00:33:19.243 --> 00:33:20.204]  Just say $110 million, fine.
[00:33:20.224 --> 00:33:20.324]  Wow.
[00:33:20.344 --> 00:33:20.684]  So what's that?
[00:33:20.704 --> 00:33:21.645]  $110 million divided into $376 billion.
[00:33:38.570 --> 00:33:38.950]  Jesus.
[00:33:39.070 --> 00:33:39.651]  I don't even know.
[00:33:39.671 --> 00:33:41.432]  I can't even... I need a calculator.
[00:33:41.812 --> 00:33:44.894]  The point is... It's a minuscule amount.
[00:33:44.914 --> 00:33:45.635]  We've done it before.
[00:33:45.655 --> 00:33:45.735]  Yeah.
[00:33:46.555 --> 00:33:47.036]  Minuscule.
[00:33:47.496 --> 00:33:49.217]  So the issue here is...
[00:33:52.517 --> 00:33:54.098]  They've got a license to kill and steal.
[00:33:54.558 --> 00:33:59.701]  And so even if some of the crooks aren't totally evil, they're going to give way to even worse and worse people.
[00:33:59.761 --> 00:34:04.364]  That's how once corruption starts, it's a wedge and they blow it open for everybody.
[00:34:04.524 --> 00:34:04.724]  Yeah.
[00:34:05.064 --> 00:34:08.586]  And then now the very worst of the worse are in there, like Stalin.
[00:34:08.606 --> 00:34:12.088]  They get more and more power and no one can resist them anymore.
[00:34:12.168 --> 00:34:17.351]  And so whatever their darkest nightmare is and all their servants dreams are, that is turned loose.
[00:34:19.506 --> 00:34:20.386]  Does that sound fun?
[00:34:20.626 --> 00:34:21.867]  No, absolutely not.
[00:34:21.887 --> 00:34:22.847]  It sounds horrific.
[00:34:23.467 --> 00:34:29.929]  The next one's from Hykesalot, and he says, Alex, will illegal aliens be exempt from paying for the new health care tax?
[00:34:30.549 --> 00:34:34.550]  Yes, they've already announced they're exempt and they're going to have it all free until the country is fully bankrupt.
[00:34:34.570 --> 00:34:38.452]  The job is bankrupt the country because they're loaning us all fiat money to begin with.
[00:34:38.512 --> 00:34:39.492]  They want real assets.
[00:34:40.319 --> 00:34:46.161]  So then bankrupt the country and I mean Greece is already going through a bailout, Spain's going through a potential bailout.
[00:34:46.201 --> 00:34:48.181]  Three or four bailouts, they always get more.
[00:34:48.581 --> 00:34:53.903]  Then what's, then if everybody's broke then there's just this very very very elite and that's it.
[00:34:54.303 --> 00:35:00.285]  Who have written the laws where they're tax exempt with hundreds of trillions of dollars offshore.
[00:35:00.305 --> 00:35:00.745]  Right.
[00:35:01.465 --> 00:35:03.225]  And so then they can come back and buy it all up.
[00:35:05.302 --> 00:35:11.384]  So essentially they just want everybody to collapse and then they get to just have the, like America becomes their own personal island.
[00:35:11.404 --> 00:35:14.845]  Yeah, just type in Boss Hog on banking in YouTube and he'll explain it.
[00:35:14.865 --> 00:35:15.725]  Boss Hog.
[00:35:15.745 --> 00:35:16.586]  I want to watch that.
[00:35:17.006 --> 00:35:17.926]  Boss Hog on banking.
[00:35:17.946 --> 00:35:19.126]  He's explaining it to Roscoe.
[00:35:19.907 --> 00:35:26.789]  And Roscoe's like, Boss, why do you want to loan them money when they ain't got it to pay it back for the carnival?
[00:35:27.109 --> 00:35:29.570]  He goes, that's easy, Roscoe.
[00:35:30.050 --> 00:35:33.431]  What you do is you don't loan money to people when they don't have money.
[00:35:35.166 --> 00:35:37.527]  He says, that's what you think.
[00:35:37.567 --> 00:35:44.810]  No, you loan people money when they don't have it because then you got the promissory note side and you get all their property.
[00:35:45.411 --> 00:35:47.692]  Then Roscoe's like, oh, that sounds good, boss.
[00:35:47.712 --> 00:35:50.373]  I'm not doing a very good imitation here because I'm tired.
[00:35:51.233 --> 00:35:54.175]  We'll just skip around all our movies here.
[00:35:55.535 --> 00:35:56.836]  That wasn't the best imitation.
[00:35:58.036 --> 00:35:58.497]  It was good.
[00:35:58.537 --> 00:36:01.078]  I think they were going to close up on that one too.
[00:36:02.215 --> 00:36:08.129]  Uh, Imagine asks you, what did you mean when you said, I should create another movie about 9-11?
[00:36:08.410 --> 00:36:11.337]  Is there something that would blow it even more open?
[00:36:12.892 --> 00:36:23.300]  Well, I've made four films concerning the inside job that was 9-11, this catastrophic, catalyzing event meant to launch us into this new dark age of tyranny.
[00:36:23.900 --> 00:36:27.182]  And PNAC's own words, Dick Cheney and others own words.
[00:36:28.163 --> 00:36:33.927]  A year before 9-11, they wrote about how they wanted a Pearl Harbor event to do all this false flag, just pure evil.
[00:36:34.468 --> 00:36:38.531]  They also talk about race-specific bioweapons they want to use to kill certain races of people.
[00:36:39.415 --> 00:36:40.816]  That barely got any news coverage.
[00:36:40.837 --> 00:36:43.579]  Our local Austin paper thought it was horrific, wrote an article about it.
[00:36:43.619 --> 00:36:45.261]  People who want to look that up, you think I'm joking.
[00:36:45.901 --> 00:36:47.123]  But the peanut document's public.
[00:36:47.643 --> 00:36:53.669]  The reason I would make a new 9-11 film now would be, I would start it with just all the admitted governments.
[00:36:54.009 --> 00:36:59.555]  The Nazis, the czars, the communist Russians, Israel, the United States, England.
[00:37:00.436 --> 00:37:01.356]  They do it constantly.
[00:37:02.262 --> 00:37:12.107]  So from the USS Liberty, to Operation Ajax in Iran, to the Gulf of Tonkin, to Operation Northwoods, right through, and then events that happened after 9-11.
[00:37:12.127 --> 00:37:14.688]  I would just look at all the other events in the first half of the film.
[00:37:15.668 --> 00:37:22.832]  And then I would look at how 9-11 changed our world, and then I would say, now here's the top 20 points of 9-11.
[00:37:23.372 --> 00:37:24.273]  Like I would do 9-11 at the end.
[00:37:25.799 --> 00:37:30.721]  Because people are like, well, why would you just say it's an inside job, even though there's the motive, the police hit the takeover?
[00:37:31.081 --> 00:37:35.102]  But the fact is, it's just hard-hitting with all these historians and proof and documents.
[00:37:35.542 --> 00:37:38.483]  Okay, here's 20 false flags our government and other governments did.
[00:37:40.024 --> 00:37:47.186]  And here's how our world changed and how they used it, and how they're now saying it isn't Al-Qaeda, it's people that don't like big government or the terrorists and returning veterans.
[00:37:47.826 --> 00:37:52.248]  And then, oh, they're funding Al-Qaeda in Syria and Libya and, you know, show that history.
[00:37:53.266 --> 00:37:58.467]  And show how our world has changed, and then go, do you now want me to show you why 9-11 is an inside job?
[00:37:58.787 --> 00:37:59.927]  Okay, I will.
[00:38:00.488 --> 00:38:05.329]  Not just who's got a motive, who's got a history of it, but here's 20 points.
[00:38:05.889 --> 00:38:07.429]  And by the way, sit there with just a list.
[00:38:07.569 --> 00:38:08.029]  That'd be awesome.
[00:38:08.069 --> 00:38:12.270]  Showing, maybe have an extra that's like two hours with another hundred points.
[00:38:12.890 --> 00:38:13.170]  Yeah.
[00:38:13.310 --> 00:38:20.012]  Because I mean, that's the problem with 9-11, is that it is ridiculous how out in the open this is.
[00:38:20.632 --> 00:38:21.412]  That's what's frustrating.
