[00:00:01.169 --> 00:00:01.309]  I think.
[00:29:33.090 --> 00:29:37.431]  And watch how those women, CPS workers, laugh when they destroy families.
[00:29:37.451 --> 00:29:38.591]  They really enjoy the pain.
[00:29:38.611 --> 00:29:40.472]  It makes them feel big and powerful.
[00:29:40.872 --> 00:29:42.672]  And they are the abusers, statistically.
[00:29:42.992 --> 00:29:45.272]  They are the most dangerous group out there, is the CPS.
[00:29:46.253 --> 00:29:47.393]  Let's just run through some more here.
[00:29:47.433 --> 00:29:48.173]  There's just too much.
[00:29:48.553 --> 00:29:50.534]  CPS involved in child trafficking.
[00:29:51.514 --> 00:29:57.375]  And it goes through people speaking out about state-sponsored kidnapping of her daughter.
[00:29:58.891 --> 00:29:59.932]  Amazing information.
[00:30:01.153 --> 00:30:06.757]  Continuing with other news, GPS warrior Nancy Schaefer gunned down Associated Press.
[00:30:06.797 --> 00:30:09.779]  She called me a week before and said, in a few weeks I'm going to come on your show.
[00:30:10.319 --> 00:30:18.965]  I have evidence, she's state senator in Georgia at the time, a few years ago, that they are, do have a list, and they do have quotas, and they're picking up kids for these rich families.
[00:30:19.626 --> 00:30:22.147]  And her and her husband committed suicide with firearms that weekend.
[00:30:22.888 --> 00:30:23.669]  Anybody believe that?
[00:30:24.389 --> 00:30:27.512]  Got a bridge I am ready to sell you on.
[00:30:28.193 --> 00:30:28.754]  On Pluto.
[00:30:28.994 --> 00:30:35.621]  Here is a clip of the late senator clearly murdered by a mafia hit team because she wanted to cut in on their child trafficking operations.
[00:30:37.537 --> 00:30:45.481]  I have been confronted with families struggling to remove their children from the clutches of child protective services.
[00:30:46.361 --> 00:30:55.505]  I wrote a scathing report last year on the corruption in child protective services and an update and copies are out on the table.
[00:30:55.785 --> 00:31:03.313]  The Department of Child Protective Services has become a protected empire built on taking children and separating families.
[00:31:03.933 --> 00:31:11.561]  This is not to say that there are not those children who do need to be removed from wretched situations and need protection.
[00:31:11.982 --> 00:31:17.667]  However, my report is concerned with the children and parents caught up in legal kidnapping.
[00:31:18.548 --> 00:31:30.815]  Having worked with probably 300 cases statewide and hundreds and hundreds across the country, and in nearly every state, I am convinced there is no accountability in Child Protective Services.
[00:31:31.295 --> 00:31:47.004]  The Adoption and the Safe Families Act set in motion first in 1974 by Walter Mondale, and later in 1997 by President Bill Clinton, offered cash bonuses to the states for every child they adopted out of foster care.
[00:31:47.484 --> 00:31:55.586]  Some counties often offer four to six thousand dollars bonus for each child adopted out to strangers.
[00:31:56.866 --> 00:32:00.447]  And an additional two thousand for a special needs child.
[00:32:00.807 --> 00:32:04.088]  Employees work to keep the federal dollars flowing.
[00:32:04.368 --> 00:32:13.090]  The National Center on Child Abuse and Neglect in 1998 reported that six times more children died in foster care than in the general public.
[00:32:13.630 --> 00:32:24.120]  And that once removed to official safety, these children are far more likely to suffer abuse, including sexual molestation, than in the general population.
[00:32:24.440 --> 00:32:27.303]  Think what that number is today, ten years later.
[00:32:29.525 --> 00:32:32.828]  She committed suicide with her husband a few weeks after that.
[00:32:33.129 --> 00:32:35.291]  And she called me, she said, I want to come on the next week.
[00:32:35.851 --> 00:32:36.792]  I've got the proof.
[00:32:37.573 --> 00:32:38.534]  This is incredible.
[00:32:39.977 --> 00:32:44.179]  Well, they knew you had the proof, honey, but you're in a better place than they're going.
[00:32:45.099 --> 00:32:46.240]  That lady was so great.
[00:32:46.280 --> 00:32:47.801]  She was really hurting them in Georgia.
[00:32:47.821 --> 00:32:50.722]  I mean, she was really exposing them.
[00:32:51.202 --> 00:32:55.324]  All the kids they were killing and hurting and drugging, and they went over and they murdered her and her husband.
[00:32:55.344 --> 00:32:55.944]  Something fierce.
[00:32:56.524 --> 00:32:59.566]  If they ever come to my house and kill me and my family, no, it's a lie.
[00:33:01.411 --> 00:33:05.133]  Gary Webb sent me a disk, and I wasn't very good at websites.
[00:33:05.413 --> 00:33:09.515]  When he got killed, I had M4s, but it was Pulitzer Prize winner.
[00:33:09.936 --> 00:33:11.636]  He said, can you make a website with all these documents?
[00:33:11.656 --> 00:33:12.377]  I want to put this on.
[00:33:12.437 --> 00:33:13.618]  And I never even got around to it.
[00:33:14.938 --> 00:33:16.379]  And that stuff was all public.
[00:33:16.399 --> 00:33:18.120]  It was this Pulitzer Prize winning research.
[00:33:18.780 --> 00:33:19.941]  So don't send a hit team to kill me.
[00:33:19.961 --> 00:33:21.262]  He's got to have some secret dossier.
[00:33:21.522 --> 00:33:23.583]  But he had a new book coming out to vindicate himself.
[00:33:24.323 --> 00:33:26.905]  And hell, now they grow the open publicly in Afghanistan.
[00:33:28.155 --> 00:33:36.405]  And he had told myself and others, including Celica Still and Ricky Ross, guys have been breaking into his house, you name it, he'd moved.
[00:33:36.805 --> 00:33:41.450]  He'd seen special forces types coming off his roof, going right down the drain pipes like in movies.
[00:33:42.191 --> 00:33:48.438]  And they came to his house, had him sign a letter that he was going to kill himself, and then shot him twice in the head.
[00:33:49.195 --> 00:33:52.856]  It looks like at the end he struggled because they blew his jaw off and then shot him in the back of the head.
[00:33:53.436 --> 00:33:55.616]  And within minutes of the announcement, oh, it was suicide.
[00:33:55.656 --> 00:33:56.777]  It's always when you know it's staged.
[00:33:57.097 --> 00:33:58.997]  Breitbart, he had a heart attack.
[00:33:59.077 --> 00:34:00.657]  Minutes after we heard he was at the hospital.
[00:34:00.697 --> 00:34:02.378]  Just don't ask questions.
[00:34:02.958 --> 00:34:09.579]  About to release the fact that, you know, Obama was meeting with communists and Bill Ayers and others and you're dead.
[00:34:10.339 --> 00:34:12.580]  We're so high profile they haven't killed me yet.
[00:34:12.640 --> 00:34:15.200]  But I mean, it's like they're torturing kids everywhere.
[00:34:15.240 --> 00:34:17.501]  How am I supposed to be afraid of being killed?
[00:34:19.696 --> 00:34:20.717]  I mean, it's like no-brainer.
[00:34:20.737 --> 00:34:23.338]  If you saw a gang of thugs beating a five-year-old.
[00:34:24.219 --> 00:34:27.801]  I mean, most women I know, they saw five big men beating a five-year-old.
[00:34:28.061 --> 00:34:30.903]  Most women I know would charge in and try to defend the child.
[00:34:31.163 --> 00:34:32.824]  What has happened to us as a society?
[00:34:32.864 --> 00:34:37.808]  I mean, we've got to face these people and damn the maneuvers.
[00:34:38.168 --> 00:34:38.888]  Go straight at them.
[00:34:38.908 --> 00:34:41.230]  I mean, this is not a debate anymore.
[00:34:43.328 --> 00:34:48.972]  Or just give up your humanity and roll over so you can watch TV and eat and have fun and go on a vacation.
[00:34:48.992 --> 00:34:50.793]  And people are like, yeah, that sounds pretty good.
[00:34:50.813 --> 00:34:51.414]  I think I'll do that.
[00:34:51.814 --> 00:34:52.114]  Really?
[00:34:52.735 --> 00:34:53.635]  That's what life's about?
[00:34:53.655 --> 00:34:55.337]  It's about being a big sack of crap?
[00:34:56.537 --> 00:34:57.658]  I mean, is that what it's really all about?
[00:34:57.678 --> 00:35:03.522]  It's being a mindless coward that just buys into a false reality and plays into what the controllers think while they hurt children?
[00:35:04.773 --> 00:35:05.374]  Well, fine.
[00:35:05.394 --> 00:35:07.537]  There's always a bunch of couch potatoes in history.
[00:35:07.817 --> 00:35:16.048]  Not me, and not our viewers and listeners, and compatriots, comrades, those that love liberty, men, women of every race, color, creed, and religion out there.
[00:35:16.309 --> 00:35:19.272]  We're coming straight on to the New World Order, and we're not backing down.
[00:35:19.313 --> 00:35:20.114]  We're taking them down.
[00:35:20.154 --> 00:35:20.875]  That's the end of it.
[00:35:22.614 --> 00:35:26.117]  No amount of scientific propaganda or fluoride is going to help you, New World Order.
[00:35:26.137 --> 00:35:27.338]  We're going to get you, and you know it.
[00:35:27.378 --> 00:35:28.279]  That's why you're scared.
[00:35:28.459 --> 00:35:30.180]  You're not arrogant like you were a few years ago.
[00:35:30.380 --> 00:35:32.502]  You're throwing it all in our face right now to acclimate us.
[00:35:32.702 --> 00:35:35.144]  And let me tell you something, you chicken-neck gloveless psychologist.
[00:35:35.444 --> 00:35:36.425]  It ain't working, okay?
[00:35:36.966 --> 00:35:39.328]  I see you, and I see exactly what you are.
[00:35:39.948 --> 00:35:43.711]  You look like your last year's guacamole bowl.
[00:35:44.892 --> 00:35:49.136]  I see exactly what you are, and you look like the portrait
[00:35:50.310 --> 00:35:51.030]  of Mr. Gray.
[00:35:51.431 --> 00:35:52.651]  You look like a dead horse.
[00:35:53.652 --> 00:35:54.052]  All right.
[00:35:54.952 --> 00:35:56.413]  Here's one out of KLTV.
[00:35:56.493 --> 00:35:58.734]  Four-year-old drowns while in foster care.
[00:35:59.275 --> 00:36:04.997]  And I see these reports where they go, all the children will die, it's just the way it is, in CPS care.
[00:36:05.858 --> 00:36:07.419]  Kids becoming nobody's children.
[00:36:07.439 --> 00:36:11.961]  Hillsborough, Florida, nine-year-old autistic girl went missing Saturday afternoon, according to Hillsborough County Sheriffs.
[00:36:12.441 --> 00:36:13.282]  She was autistic.
[00:36:14.028 --> 00:36:16.569]  Yeah, well they find them in graves all the time, doesn't matter.
[00:36:16.589 --> 00:36:18.290]  And it's the government!
[00:36:18.550 --> 00:36:20.090]  Nobody's going to watch them.
[00:36:20.771 --> 00:36:23.252]  Father harassed by CPS for feeding kids organic food.
[00:36:23.572 --> 00:36:25.953]  Oh yeah, they take vegans kids all the time too.
[00:36:26.513 --> 00:36:27.233]  Just any reason.
[00:36:27.253 --> 00:36:29.294]  There's no law, they just say, hey!
[00:36:30.195 --> 00:36:30.915]  It's all over the news.
[00:36:30.975 --> 00:36:33.676]  Police pull you over now, and even if you've got $100 in your wallet, they take it.
[00:36:33.876 --> 00:36:34.716]  That's drug money.
[00:36:35.777 --> 00:36:37.117]  That's drug money right there.
[00:36:37.137 --> 00:36:38.738]  I'm going to take that for me right now.
[00:36:40.119 --> 00:36:41.499]  Roscoe Pico train.
[00:36:41.799 --> 00:36:43.400]  I wish we had Roscoe Pico train.
[00:36:45.014 --> 00:36:46.414]  He was a nice guy compared to this.
[00:36:46.514 --> 00:36:48.315]  Judge orders parents to vaccinate baby.
[00:36:48.335 --> 00:36:49.575]  That's in Australia.
[00:36:50.496 --> 00:36:51.536]  Brisbane Times.
[00:36:51.576 --> 00:36:52.536]  That's also happening here.
[00:36:52.576 --> 00:36:54.917]  There's no law, but they're a eugenics court.
[00:36:54.937 --> 00:36:56.337]  They're not a real court with due process.
[00:36:56.357 --> 00:36:57.257]  There's no jury here.
[00:36:57.738 --> 00:36:59.178]  There's some pervert judge.
[00:36:59.918 --> 00:37:05.660]  Continuing, a pediatrician calls State Trooper Child Protective Services on mother for refusing to vaccinate child.
[00:37:06.300 --> 00:37:07.261]  Another report right there.
[00:37:07.301 --> 00:37:09.622]  That's just some of what's going on.
[00:37:09.662 --> 00:37:11.684]  And they are killing thousands of kids a year.
[00:37:12.184 --> 00:37:13.145]  It is a holocaust.
[00:37:13.205 --> 00:37:15.506]  They are murdering them in mass.
[00:37:15.846 --> 00:37:17.027]  And are you their champion?
[00:37:17.087 --> 00:37:18.308]  Will you stand for them?
[00:37:18.608 --> 00:37:19.709]  Will you defend them?
[00:37:19.929 --> 00:37:22.151]  Will you not watch the baseball game tonight?
[00:37:22.471 --> 00:37:25.893]  Will you not go act tough with your buddies and walk out with tattoos?
[00:37:25.913 --> 00:37:27.414]  I'm not saying your tattoos are bad, but you know what I mean?
[00:37:27.674 --> 00:37:29.435]  Neck tub at the bar and look at your motorcycle.
[00:37:29.796 --> 00:37:31.176]  I'm tough.
[00:37:32.287 --> 00:37:33.188]  And if you're like, ah, so what?
[00:37:33.308 --> 00:37:34.408]  They're killing some kids.
[00:37:34.448 --> 00:37:36.230]  I'm gonna go see my girlfriend and act tough.
[00:37:37.050 --> 00:37:37.410]  Okay.
[00:37:38.231 --> 00:37:39.412]  Now you're aiding and abetting it.
[00:37:40.012 --> 00:37:40.873]  Now you're part of it.
[00:37:41.053 --> 00:37:41.873]  Because that's why I'm here.
[00:37:42.434 --> 00:37:44.975]  I'm here to make sure you were told and had a choice.
[00:37:46.116 --> 00:37:47.097]  Feel that little tingle?
[00:37:47.837 --> 00:37:48.417]  Back of your neck?
[00:37:48.738 --> 00:37:53.501]  That's your soul getting in the elevator to go straight to hell.
[00:37:55.262 --> 00:37:56.142]  You don't believe in hell?
[00:37:56.723 --> 00:37:59.264]  Your dark energy is gonna go somewhere.
[00:37:59.585 --> 00:38:01.506]  And it sure isn't gonna go towards the light, is it?
[00:38:02.352 --> 00:38:06.334]  I don't care what religion you are, there's good and evil, ladies and gentlemen, and you will pay.
[00:38:07.314 --> 00:38:09.215]  You're like, oh, I don't believe in religion, spirits.
[00:38:09.435 --> 00:38:11.196]  We're on a planet going through space here?
[00:38:11.777 --> 00:38:14.358]  You looked around you, magic's all around you, ladies and gentlemen.
[00:38:14.738 --> 00:38:15.979]  This whole life is a test.
[00:38:16.399 --> 00:38:18.080]  I've seen things you people wouldn't believe.
[00:38:18.480 --> 00:38:21.321]  I'm not going to even sit here and talk about it, but let me tell you something, this stuff's real.
[00:38:22.742 --> 00:38:24.082]  Devil went down to Georgia, that's real.
[00:38:24.563 --> 00:38:25.103]  It's all real.
[00:38:25.963 --> 00:38:29.185]  All right, let's go ahead and get into the news here tonight.
[00:38:32.728 --> 00:38:33.509]  NATO Summit.
[00:38:33.629 --> 00:38:45.959]  They use G20, NATO, Fortune 500, any meeting of globalist crooks to shut down a city, hire provocateurs to break some windows so they can physically assault any peaceful protesters, and they get caught and they don't care.
[00:38:46.159 --> 00:38:48.801]  But they're just saying no protest allowed, no freedom.
[00:38:49.021 --> 00:38:53.205]  They're sound canoning people randomly in Chicago as part of a public service announcement.
[00:38:53.385 --> 00:38:55.487]  They're now hitting them with stuff that damages your mental ear.
[00:38:56.027 --> 00:38:56.807]  And that's in the news.
[00:38:57.608 --> 00:39:02.750]  40 federal agencies are now revealed in a secret command bunker, basically just training for martial law.
[00:39:02.810 --> 00:39:03.731]  So there's that report.
[00:39:05.051 --> 00:39:06.712]  Also, Chicago cop disappears.
[00:39:08.773 --> 00:39:10.774]  Activist ahead of NATO War Council.
[00:39:10.954 --> 00:39:15.056]  Yeah, they always just go and arrest a bunch of activists as part of a martial law mini-drill.
[00:39:15.497 --> 00:39:22.320]  And they even admit with the G-20 when Rob got arrested, I was pointing, they were snatching and grabbing men in uniforms, peaceful protesters, and throwing them in cars.
[00:39:22.620 --> 00:39:28.184]  That was a psy-op to test the media, so they can get away with snatching grabs, which they now admit under the NDAA.
[00:39:28.684 --> 00:39:35.509]  And I got called, and the number, Rob, not Rob D., Rob Jacobson was here, he showed me, he goes, we got a call, this says G20 security.
[00:39:35.529 --> 00:39:36.809]  And I called and I go, yeah, that's security.
[00:39:37.050 --> 00:39:38.030]  You're not getting another call.
[00:39:38.170 --> 00:39:38.991]  But that was not U.S.
[00:39:39.071 --> 00:39:41.613]  Army personnel that grabbed those protesters.
[00:39:41.653 --> 00:39:42.633]  That was our security.
[00:39:42.853 --> 00:39:44.194]  And it turned out they were in command.
[00:39:44.475 --> 00:39:47.797]  Private unnamed security commanded the Army, the police, everybody.
[00:39:48.397 --> 00:40:01.051]  Everywhere they go, whether it's Australia, or Canada, or the US, or Germany, or London, where the guy's delivering newspapers a few years ago to a G20 summit, to a little home wall shop, he goes, the film got released, he goes, I have newspapers.
[00:40:01.111 --> 00:40:01.972]  And they just beat him to death.
[00:40:01.992 --> 00:40:03.633]  The cops had a celebration of their power.
[00:40:03.994 --> 00:40:04.654]  It was their power.
[00:40:04.674 --> 00:40:06.737]  It was their power.
[00:40:06.757 --> 00:40:07.417]  It was their enjoyment.
[00:40:08.740 --> 00:40:10.401]  So there is that report.
[00:40:10.501 --> 00:40:12.483]  Cops disappearing activists.
[00:40:12.503 --> 00:40:13.303]  Well, that sounds like freedom.
[00:40:13.323 --> 00:40:13.843]  What's wrong with that?
[00:40:13.863 --> 00:40:15.164]  You've got to disappear people and that's freedom.
[00:40:15.965 --> 00:40:19.127]  Undercover CPS or CPD, Chicago Police Department.
[00:40:19.447 --> 00:40:20.848]  Cops don't like being filmed.
[00:40:21.268 --> 00:40:22.609]  We'll show you a clip of that.
[00:40:22.629 --> 00:40:29.794]  And then We Are Change talks to the superintendent of the Chicago Police Department, Gary McCarthy, about agent provocateurs.
[00:40:29.814 --> 00:40:34.637]  He was going to do a press conference, but when he heard about provocateurs, I got one that can see.
[00:40:35.038 --> 00:40:38.040]  He's right here at the corner of Fifth and Liberty.
[00:40:38.821 --> 00:40:40.312]  They're like, get out of there, and he's like...
[00:40:41.940 --> 00:40:42.460]  That's what happens.
[00:40:42.480 --> 00:40:44.681]  When they see that you can see, they go, whoa!
[00:40:44.701 --> 00:40:48.382]  Because their ether they swim in like a fish is ignorance.
[00:40:49.023 --> 00:40:50.903]  And they just love the fact you're blind.
[00:40:51.684 --> 00:40:53.504]  They love the fact you're not aware of them.
[00:40:53.865 --> 00:40:54.925]  Like Barracuda.
[00:40:55.325 --> 00:40:57.226]  And until you wake up, they've just got you.
[00:40:57.246 --> 00:41:00.047]  It's like you're blind, and these vampires can have their way with you.
[00:41:00.067 --> 00:41:04.489]  But the minute you wake up to history and your human potential and everything, you just go, pshew!
[00:41:04.509 --> 00:41:06.930]  It's like they're like, no!
[00:41:06.950 --> 00:41:06.990]  No!
[00:41:07.110 --> 00:41:07.970]  Shut down the web!
[00:41:08.010 --> 00:41:08.870]  More seeing!
[00:41:09.170 --> 00:41:10.231]  Do not allow this!
[00:41:11.667 --> 00:41:12.608]  Let's go to that next clip.
[00:41:12.648 --> 00:41:13.528]  There's two of them.
[00:41:32.099 --> 00:41:38.867]  I don't want you taking my picture.
[00:41:39.087 --> 00:41:41.129]  You understand that?
[00:41:41.349 --> 00:41:42.791]  It's a public sidewalk, sir.
[00:41:42.911 --> 00:41:45.254]  I don't want you taking my picture.
[00:41:45.634 --> 00:41:46.415]  I understand, sir.
[00:41:46.455 --> 00:41:47.136]  I understand.
[00:41:49.821 --> 00:41:54.803]  We were just wondering if it was interesting seeing plainclothes officer, you guys coming out of the undercover car.
[00:41:54.823 --> 00:41:56.824]  So we're just trying to... Who are you with?
[00:41:57.344 --> 00:41:57.765]  Chicago.
[00:41:57.865 --> 00:42:04.307]  You realize if I get shot someday because of this stupid **** being on the... You're not gonna get shot by a terrorist?
[00:42:04.648 --> 00:42:05.248]  You never know.
[00:42:05.448 --> 00:42:06.188]  What terrorist?
[00:42:06.228 --> 00:42:06.789]  You never know.
[00:42:07.289 --> 00:42:08.529]  What terrorist?
[00:42:08.649 --> 00:42:09.930]  I got your picture.
[00:42:10.070 --> 00:42:10.350]  Okay.
[00:42:10.430 --> 00:42:11.591]  I'm fine with that, sir.
[00:42:11.651 --> 00:42:12.831]  You got my picture?
[00:42:12.871 --> 00:42:16.553]  Who are you with?
[00:42:16.613 --> 00:42:17.013]  Myself.
[00:42:17.053 --> 00:42:17.994]  Who are you with?
[00:42:18.194 --> 00:42:18.654]  Who are you with?
[00:42:20.205 --> 00:42:21.146]  I'm telling you.
[00:42:21.186 --> 00:42:22.307]  Get the camera out of my face.
[00:42:22.327 --> 00:42:23.188]  I'm not in your face.
[00:42:23.609 --> 00:42:25.450]  I'm clearly five feet away from you.
[00:42:25.470 --> 00:42:28.714]  You guys have something to hide.
[00:42:28.794 --> 00:42:30.235]  It's okay, but we're not doing anything illegal.
[00:42:30.255 --> 00:42:31.577]  Keep it up.
[00:42:31.637 --> 00:42:32.357]  Public sidewalk.
[00:42:36.482 --> 00:42:37.583]  Alright, stop right there.
[00:42:37.883 --> 00:42:38.484]  Stop right there.
[00:42:38.504 --> 00:42:39.645]  We'll go to the next clip in a moment.
[00:42:39.745 --> 00:42:42.388]  Again, this is the essence of tyranny you're witnessing right now.
[00:42:44.022 --> 00:42:49.167]  Now remember Luke in Chicago where the guy's going, I don't like you taking my picture, I'm gonna call you in as a terrorist.
[00:42:49.227 --> 00:42:51.068]  No you're not, but you're gonna go away for a while.
[00:42:52.089 --> 00:43:01.458]  And I know they say sir in a show of out of control they are, but I mean you shouldn't say sir to some sack of crap nerd wimps trying to act tough to intimidate everybody.
[00:43:02.415 --> 00:43:03.455]  But that's who they are.
[00:43:03.476 --> 00:43:05.376]  They're the worst in society.
[00:43:05.416 --> 00:43:07.037]  They can't get a woman who are nobodies.
[00:43:07.357 --> 00:43:19.003]  They go join the system to dominate and hurt us and tell us in America... In Illinois, they've had the state go down to towns and try to put people in prison for life for filming police.
[00:43:20.680 --> 00:43:22.642]  Now that in criminals, I don't know what is.
[00:43:23.063 --> 00:43:27.127]  That shows how sick and reprobate and bankrupt these people are.
[00:43:27.347 --> 00:43:37.398]  Let's go to the next clip as the superintendent of police absolutely throws a hissy and runs like a vampire at high noon when he's asked about false flag provocateurs.
[00:43:38.018 --> 00:43:45.463]  Will the Chicago PD be using agent provocateurs, police officers dressed up as black bloc anarchists like we've seen in other large demonstrations across the country?
[00:43:46.364 --> 00:43:46.544]  What?
[00:43:47.084 --> 00:43:53.289]  Will you be using police provocateurs, agent provocateurs dressed as black bloc members during the NATO demonstrations?
[00:43:53.329 --> 00:43:58.653]  Because other police departments have done that at the NATO and G8 summits to instigate violence.
[00:43:58.913 --> 00:44:00.474]  I don't know what you're talking about.
[00:44:00.514 --> 00:44:01.915]  Alright guys, we're done.
[00:44:02.035 --> 00:44:03.376]  We'll see ya.
[00:44:03.396 --> 00:44:03.636]  See ya.
[00:44:04.497 --> 00:44:07.499]  I guess that wasn't a good question to ask.
[00:44:10.185 --> 00:44:19.118]  You see, you see, these guys think they're part of the inside, some little police chief ingesting fluoride, ingesting, he's probably got a, you know, kid at home that's autistic, you know, statistically.
[00:44:19.798 --> 00:44:21.361]  He's soft-killed, he's already gone.
[00:44:21.661 --> 00:44:23.724]  But it doesn't matter, he's let in on little secrets.
[00:44:23.744 --> 00:44:26.888]  He's like, uh, you know, I mean, superintendent of police,
[00:44:28.417 --> 00:44:32.499]  In Chicago, I mean, let me tell you, he probably hangs out with Don Carleone every day.
[00:44:33.059 --> 00:44:35.019]  I mean, this is amazing.
[00:44:35.620 --> 00:44:37.000]  Most corrupt city in the U.S.
[00:44:37.020 --> 00:44:41.762]  I don't know what you're talking about, and I'm getting out of here right now!
[00:44:42.562 --> 00:44:42.922]  Hey!
[00:44:43.242 --> 00:44:44.743]  Why don't you join humanity, man?
[00:44:45.683 --> 00:44:46.544]  Really, you're older.
[00:44:46.584 --> 00:44:49.705]  What is having a mustache and a police outfit done for you?
[00:44:50.065 --> 00:44:51.685]  People kiss your butt at the steakhouse?
[00:44:52.586 --> 00:44:52.846]  Okay!
[00:44:54.804 --> 00:44:58.308]  Before you know it, you're going to be 75 years old with terminal cancer.
[00:44:58.969 --> 00:45:08.159]  And back then, you know, back in the day, which is right now, don't you want to look back and wish you'd done something right now, all these years later?
[00:45:10.213 --> 00:45:11.314]  But it's not all these years later.
[00:45:11.795 --> 00:45:14.257]  You've got a chance now to do something.
[00:45:14.678 --> 00:45:15.699]  Sell a prompt to Free News.
[00:45:16.120 --> 00:45:17.241]  One more little giblet here.
[00:45:17.361 --> 00:45:20.204]  Secret interpretation of the Patriot Act will remain secret.
[00:45:21.125 --> 00:45:27.212]  Federal courts are now saying, well, we're going to say we can secretly arrest you and disappear you and break into your house and stuff.
[00:45:27.612 --> 00:45:30.676]  And we're going to keep that ruling secret, too, because it'll make us look bad.
[00:45:32.854 --> 00:45:35.256]  I mean, boy, we talk about the Germans.
[00:45:35.776 --> 00:45:37.337]  How did they let this happen to their country?
[00:45:37.617 --> 00:45:39.018]  How do we let this happen to ours?
[00:45:39.618 --> 00:45:41.640]  I have a quote here by Mother Teresa.
[00:45:42.720 --> 00:45:47.784]  Being unwanted, unloved, uncared for, forgotten by everybody, I think that is a much greater hunger.
[00:45:48.664 --> 00:45:51.606]  A much greater poverty than the person who has nothing to eat.
[00:45:52.006 --> 00:45:53.107]  Mother Teresa, that's right.
[00:45:53.587 --> 00:45:55.949]  And we're here for people under assault by the New World Order.
[00:45:56.209 --> 00:46:00.792]  Not because we're good, not because we're special, but because we're red-blooded and just want to live and survive.
[00:46:01.032 --> 00:46:02.994]  I want to find others that want to survive and be decent.
[00:46:03.394 --> 00:46:09.838]  We don't hunger after raping children and stealing property and dominating people and telling people there's no First Amendment.
[00:46:10.098 --> 00:46:12.580]  We don't hunger after selling deadly prescription drugs.
[00:46:12.840 --> 00:46:18.304]  We don't hunger after endless wars and black uniforms and cameras and power because we have power.
[00:46:19.124 --> 00:46:25.587]  And the only crime of good people is that we don't use our power to smash and crush the maggots that are the New World Order.
[00:46:25.607 --> 00:46:30.329]  We're going to come back with an incredible woman, Sibel Edmonds, straight ahead.
[00:46:30.429 --> 00:46:32.330]  One of the biggest whistleblowers in modern history.
[00:46:32.570 --> 00:46:33.370]  Probably the biggest.
[00:46:33.450 --> 00:46:34.690]  I mean, words cannot describe this.
[00:46:35.071 --> 00:46:39.012]  Witness to the criminals that run our government, running Al Qaeda and staging 9-11.
[00:46:39.392 --> 00:46:39.893]  Stay with us.
[00:46:39.933 --> 00:46:40.533]  We'll be right back.
[00:46:46.886 --> 00:46:51.129]  Not poisonous, and well, we resist them via a free market system.
[00:46:52.050 --> 00:46:53.591]  Hello, my fellow info warriors.
[00:46:53.751 --> 00:46:58.996]  Alex Jones here, introducing you to the ProPure family of gravity-fed filters.
[00:46:59.436 --> 00:47:06.402]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:47:07.082 --> 00:47:16.455]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters.
[00:47:16.896 --> 00:47:19.179]  And ProPure is the top of the line.
[00:47:19.659 --> 00:47:22.243]  Their filters are impregnated with silver.
[00:47:23.064 --> 00:47:24.246]  A natural antibiotic.
[00:47:24.906 --> 00:47:28.271]  On top of that, they're bigger, so they filter faster.
[00:47:28.571 --> 00:47:31.675]  You don't have to prime these the first time you use them.
[00:47:32.055 --> 00:47:32.716]  It's amazing.
[00:47:32.736 --> 00:47:38.543]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:47:39.560 --> 00:47:44.563]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:47:44.823 --> 00:47:50.787]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:47:50.907 --> 00:47:52.768]  Almost get all of it out of there.
[00:47:53.108 --> 00:47:54.089]  That's also available.
[00:47:54.409 --> 00:48:06.376]  And if you look at the different systems they offer, the ProPure Big Brush Finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:48:06.476 --> 00:48:10.538]  Then there's this big baby right here, the Pro-Pure King, large version.
[00:48:10.779 --> 00:48:12.880]  Got a lot of different options that come with it.
[00:48:13.240 --> 00:48:17.563]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:48:17.823 --> 00:48:19.824]  And of course, it's burnished stainless steel.
[00:48:20.184 --> 00:48:27.589]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:48:28.109 --> 00:48:33.316]  Small and portable but packs a huge punch, cleans out all that garbage.
[00:48:33.696 --> 00:48:40.385]  They also have a glass site spigot so you don't have to take the top off and look in the bottom area to see how much water.
[00:48:40.425 --> 00:48:43.890]  You can see how fast it's filtering with this optional system.
[00:48:44.130 --> 00:48:44.791]  The Globalist
[00:48:45.231 --> 00:48:46.972]  Obviously, you're hitting us through our water.
[00:48:47.272 --> 00:48:48.953]  It's time to take control of our lives.
[00:48:49.214 --> 00:48:57.119]  It's time to not give our children and families these poisons, and these systems cut it down to non-detectable levels across the board.
[00:48:57.479 --> 00:48:59.720]  ProPure is the name.
[00:49:00.240 --> 00:49:02.242]  I only promote what I believe in.
