[00:00:41.629 --> 00:00:42.891]  It's Friday, October 12th.
[00:30:53.250 --> 00:31:00.976]  The machine couldn't get a reading on her saline bag, so a TSA agent forced one open, contaminating the fluid she needs to survive.
[00:31:01.516 --> 00:31:05.599]  Because of organ failure, Denae also has feeding tubes into her stomach.
[00:31:06.239 --> 00:31:09.782]  She says agents made her lift her shirt to pull back the bandages.
[00:31:10.382 --> 00:31:15.866]  The pat-down at Dallas Airport was completely different than the one I got at LAX.
[00:31:16.127 --> 00:31:24.413]  And I'm sure this woman was just doing her job, but she actually touched my vagina.
[00:31:24.493 --> 00:31:32.439]  And so I think that's why I'm crying, that's why I'm so emotional, because I'm already so upset that they're making me go, making me do this, making me choose.
[00:31:33.200 --> 00:31:43.230]  To either get molested, because that's what I feel like, or go through this machine that's completely unhealthy and dangerous.
[00:31:44.171 --> 00:31:53.360]  On the heels of this show being unveiled, the Travel Channel, which is normally a fun and harmless network, is also debuting a new show called Baggage Battles.
[00:31:54.142 --> 00:32:02.268]  What viewers won't find out watching this show is that a lot of, quote, baggage battles could have been prevented had the TSA not stolen your stuff.
[00:32:02.909 --> 00:32:07.772]  A crime that former TSA employee Pythias Brown says occurs frequently.
[00:32:07.792 --> 00:32:18.080]  I can estimate maybe had been about 200 grand a year, maybe more, for about four years.
[00:32:18.100 --> 00:32:18.080]  $800,000?
[00:32:18.480 --> 00:32:18.540]  Yes.
[00:32:19.201 --> 00:32:20.602]  Worth of items that you stole?
[00:32:20.682 --> 00:32:20.862]  Yes.
[00:32:21.262 --> 00:32:21.782]  Out of luggage?
[00:32:22.023 --> 00:32:22.163]  Yes.
[00:32:23.038 --> 00:32:27.940]  So the bottom line here is the Travel Channel is mostly an entertaining and harmless network.
[00:32:28.321 --> 00:32:33.543]  However, this season they have dropped the ball by promoting a deeply flawed agency.
[00:32:34.043 --> 00:32:43.848]  And remember, if you want to hold the TSA accountable, partake in our Opt Out and Film campaign, which is taking place from November the 19th through the 26th.
[00:32:44.448 --> 00:32:47.390]  Reporting for InfoWars Nightly News, I'm David Ortiz.
[00:32:50.762 --> 00:32:55.864]  Going to go to a special report now from Dan Bodondi, of course with the flu season about to be in full swing.
[00:32:56.365 --> 00:32:59.886]  The new round of vaccines they're going to use to target you and your children.
[00:33:00.266 --> 00:33:05.849]  And Dan's going to show you some material which you can use to inform yourself on this important subject.
[00:33:08.986 --> 00:33:12.289]  Hi, this is Dan Bodondi reporting for the InfoWars Nightly News.
[00:33:12.869 --> 00:33:17.053]  Summer has come to a close as we move rapidly to the fall season.
[00:33:17.513 --> 00:33:21.736]  It's time for big propaganda by big pharma to make big money.
[00:33:22.517 --> 00:33:26.520]  This scaremongering is what the mainstream media calls the flu season.
[00:33:27.261 --> 00:33:35.007]  This is a time of year that you will see commercials on your TV, signs at pharmacies, and even at Walmart to say, get your flu shots now.
[00:33:36.164 --> 00:33:38.801]  You will be bombarded with propaganda!
[00:33:39.491 --> 00:33:50.776]  By your doctors, your children's schools, and in some cases, even your employer, they will tell you that it is not only mandatory, but a policy, when in fact, there is no law.
[00:33:51.676 --> 00:34:00.180]  And the London Telegraph reports that flu jab linked to fits under 5s on over 110,000 children were linked with a tenfold increase in fits.
[00:34:00.880 --> 00:34:06.923]  And doctors should stock alternative vaccines for under 5s who are due to have the seasonal flu vaccine this winter.
[00:34:07.861 --> 00:34:15.991]  The action is being taken as a rate of convulsions caused by high fever among children in Australia, given the jab, was 10 times higher than normal.
[00:34:16.552 --> 00:34:22.539]  Up to 1 in 100 children given the jab suffered from rebuke convulsions in the following hours and days.
[00:34:23.300 --> 00:34:33.086]  And it goes on to say that seasonal flu vaccines contain three strands which have been identified by the World Health Organization as the most common in circulation that year.
[00:34:33.566 --> 00:34:37.329]  This year, the vaccines contain the pandemic strand H1N1.
[00:34:37.409 --> 00:34:42.992]  And ABC News reports that whooping cough vaccine protection short-lived studies warn.
[00:34:43.112 --> 00:34:47.495]  And they're saying that experts urge Americans to protect themselves with booster shots.
[00:34:47.975 --> 00:34:55.362]  Protection against whooping cough declines during 5 years after a vaccine is given to a 4- to 6-year-old child, a new study suggests.
[00:34:55.462 --> 00:34:57.263]  That's a lot of vaccines to 6 years, folks.
[00:34:58.044 --> 00:35:12.496]  An outbreak of whooping cough in California led experts to conclude that the current DTAP vaccine for children has not worked as well as older versions from nearly 2 decades ago, according to the new study in Thursday's New England Journal of Medicine.
[00:35:13.237 --> 00:35:20.059]  Whooping cough, formerly called pitosis, is deadly for infants with outbreaks occurring every few years despite vaccinations.
[00:35:20.499 --> 00:35:22.120]  Again, despite vaccinations.
[00:35:22.220 --> 00:35:25.761]  Now here they are, warning you that the vaccines don't work.
[00:35:26.221 --> 00:35:30.262]  But go on to say, until then, the current vaccine is safe and effective.
[00:35:30.842 --> 00:35:33.183]  It just doesn't last as long as we would like.
[00:35:33.523 --> 00:35:37.384]  And parents should know that some protection is better than no protection.
[00:35:37.824 --> 00:35:38.784]  That's a contradiction.
[00:35:38.844 --> 00:35:40.905]  How about no vaccine is better?
[00:35:41.966 --> 00:35:46.890]  Speaking of schools, GlobalGazette.com is reporting a flu clinic schedule at school functions.
[00:35:47.170 --> 00:35:53.655]  The Saro-Gordon County Department of Health will offer school-based flu clinics at various school functions.
[00:35:54.116 --> 00:35:59.580]  It's a convenient opportunity for the whole family to get vaccinated against the flu, said Karen Kremins.
[00:35:59.880 --> 00:36:05.125]  She also states that we plan on to offer both the shot and the missed flu vaccine at these clinics.
[00:36:05.845 --> 00:36:07.607]  And this also goes back to the 2010 ABC reports.
[00:36:10.529 --> 00:36:13.811]  Family, school gave daughter H1N1 vaccine without consent.
[00:36:14.191 --> 00:36:21.836]  A California family said a school violated their right to choose and jeopardize their daughter's health by giving her the H1N1 vaccine.
[00:36:22.256 --> 00:36:30.181]  Parent Jose Gomez said he made it very clear in a consent form that he did not want his daughter to be vaccinated, but she was anyway.
[00:36:31.201 --> 00:36:37.665]  And it states that last week Martha was pulled out of class, and during an on-site clinic, she was given the vaccine.
[00:36:37.685 --> 00:36:39.467]  And we just talked about the on-site clinics.
[00:36:40.047 --> 00:36:45.591]  And Martha said, the daughter, I was very upset because nobody did anything when I said no.
[00:36:46.851 --> 00:36:56.218]  And Martha said she told a school security guard and a nurse who ministered the shot that her parents were against it, but was told they had probably changed their mind.
[00:36:57.242 --> 00:36:57.983]  Unbelievable.
[00:36:58.023 --> 00:37:08.754]  And speaking of exemptions, folks, a report from Melissa Milton, our very own lovely reporter from Infowars.com reports a New Jersey attempts to strip parental rights with vaccine anti-exemption bill.
[00:37:09.815 --> 00:37:18.724]  And it's reported that Senate Bill 1759 was approved 6-2 by the state's Senate Health, Human Services and Senior Citizens Committee last week.
[00:37:19.741 --> 00:37:27.487]  The bill would place a greater burden on parents to clarify a valid reason for not wanting their kids to be vaccinated.
[00:37:28.088 --> 00:37:34.713]  It would define and further restrict what the definition of a valid reason is, limited options for opting out.
[00:37:35.534 --> 00:37:37.256]  Folks, that is against parental rights.
[00:37:38.789 --> 00:37:40.230]  And it's not only the children, folks.
[00:37:40.350 --> 00:37:42.732]  Now they're going after the senior citizens.
[00:37:43.273 --> 00:37:49.858]  And this next report by Alpha.org states that federal advisers say enhanced flu vaccine may suit seniors.
[00:37:50.599 --> 00:38:02.769]  The CDC, known as the Center of Disease Control, appointed Advisory Committee on Immunizations Practice says a new, more powerful flu vaccine should be considered for nation's seniors.
[00:38:03.730 --> 00:38:17.249]  And in the article they state that, called flu zone high dose, developed specifically for seniors, the vaccine has quadruple, that's four times the amount folks, of immunity building antibodies as standard influenza vaccine.
[00:38:17.269 --> 00:38:20.233]  In other words, four times the mercury folks, four times the poison.
[00:38:20.934 --> 00:38:26.499]  And they state that each shot will be about $25, which is nearly twice the cost of the standard vaccine.
[00:38:26.819 --> 00:38:29.241]  Now, why do they want to poison the seniors even more?
[00:38:29.261 --> 00:38:32.504]  Could this be part of the Obama's health care end-of-life program?
[00:38:32.925 --> 00:38:35.947]  Big Pharma creates resistant tuberculosis white plague.
[00:38:36.267 --> 00:38:38.609]  This is reported by TheNaturalSociety.com.
[00:38:39.010 --> 00:38:43.634]  And they state, again, Big Pharma creates resistant white plague through mass drugging.
[00:38:44.054 --> 00:38:48.357]  And through the article, it states that the disease is a totally man-made disease.
[00:38:48.437 --> 00:39:04.246]  Now, this is being reported by members of the World Health Organization Stop TB, that's Tuberculosis Partnership, outraged over the man-made disease progression, with member Lusika Dito stating that the drug-resistant TB is totally man-made disease.
[00:39:04.406 --> 00:39:09.369]  Again, a member of the World Health Organization is stating that TB is a man-made disease.
[00:39:09.969 --> 00:39:13.390]  Well, they manufacture these diseases so you can take the vaccinations.
[00:39:13.690 --> 00:39:24.194]  And parents, if you think getting your children vaccinated is going to protect them against everything, well, the latest research shows vaccinated children are more chronically ill than non-vaccinated children.
[00:39:24.614 --> 00:39:34.078]  And this is reported from naturalnews.com, and the article says that research has shown that vaccinated children are more chronically ill than their non-vaccinated counterpart.
[00:39:34.478 --> 00:39:41.280]  According to the CDC, the number of vaccines that are given to the children has increased more than three times in the last 29 years.
[00:39:41.881 --> 00:39:49.243]  In 1983, the children were given 10 shots from birth to six years of age, compared to 36 to 38 for the same age group in 2012.
[00:39:50.264 --> 00:39:54.245]  And it goes on to say that vaccines can carry with them very serious side effects.
[00:39:54.725 --> 00:40:00.367]  Ranging from mild complications such as fever or rash to major issues such as seizure and death.
[00:40:00.707 --> 00:40:08.289]  Children who are lucky enough to evade any major difficulties can carry with them health problems that will last for the rest of their lives.
[00:40:08.929 --> 00:40:13.011]  Folks, this is a very important issue that must not be ignored.
[00:40:13.571 --> 00:40:17.152]  Be responsible, as a parent, and for your own health.
[00:40:17.752 --> 00:40:18.612]  Do the research.
[00:40:19.172 --> 00:40:20.293]  Arm yourself with the truth.
[00:40:20.673 --> 00:40:24.214]  So when you are confronted by a vaccine pusher, you can just say no.
[00:40:25.350 --> 00:40:27.030]  You and your child's life depend on it.
[00:40:27.731 --> 00:40:37.112]  In Part 2 of this special report, we will reveal statistics that Big Pharma and the CDC use to justify poking you with the vaccine.
[00:40:38.073 --> 00:40:43.574]  I urge you to purchase this book, Don't Vaccinate Before You Educate, by Maya Eisenstein.
[00:40:43.974 --> 00:40:47.594]  All the information you need to know about child vaccinations.
[00:40:47.915 --> 00:40:51.655]  It's available right now on InfoWarsStore.com.
[00:40:52.275 --> 00:40:54.896]  And this is Dan Bodondi reporting for the InfoWars Nightly News.
[00:40:58.186 --> 00:41:01.828]  That's going to wrap it up for the news section of InfoWars Nightly News.
[00:41:02.308 --> 00:41:05.629]  Now, if you're into the Second Amendment, you'll be sure to want to watch this piece.
[00:41:06.130 --> 00:41:10.472]  Matt Williams is talking with Adam Moorhead from Legion Firearms.
[00:41:10.512 --> 00:41:11.552]  Let's go to this interview.
[00:41:13.933 --> 00:41:16.695]  Thank you for joining us on a special report for InfoWars.
[00:41:16.955 --> 00:41:18.075]  My name is Matt Williams.
[00:41:18.275 --> 00:41:23.938]  I'm a firearms expert, gunsmith, firearms instructor, and definitely a firearms aficionado.
[00:41:24.882 --> 00:41:27.043]  Today we are here with Legion Firearms.
[00:41:28.063 --> 00:41:29.783]  We have the President, Adam Moorhead here.
[00:41:30.083 --> 00:41:31.124]  Adam, thanks for joining us.
[00:41:31.144 --> 00:41:31.824]  Thank you, Matthew.
[00:41:32.804 --> 00:41:36.305]  We have your leading product, the LF-15C.
[00:41:37.305 --> 00:41:42.066]  The LF-15C is by far one of the most outstanding rifles I've ever seen in my life.
[00:41:42.547 --> 00:41:47.768]  The performance of it, the accuracy of it, just the final touches that everyone looks for.
[00:41:48.604 --> 00:41:51.266]  Maybe you could tell us a little bit about Legion, your history.
[00:41:51.327 --> 00:41:55.150]  Why did you guys come up with the idea of starting a manufacturing company?
[00:41:55.931 --> 00:41:57.092]  Sure, Matt.
[00:41:57.152 --> 00:42:02.677]  Some time ago, my good friend and I, Jamie Waymire, were sitting around just talking about firearms.
[00:42:04.038 --> 00:42:08.422]  He and I used to go shooting, him and his buddies, and we were shooting military products.
[00:42:08.442 --> 00:42:09.523]  They're all ex-Army guys.
[00:42:10.043 --> 00:42:13.046]  So we got really into the dynamics of what makes a really good rifle.
[00:42:13.846 --> 00:42:19.949]  Fast forward a little while, he joins a contracting company, wasn't making enough money over here, so was back in Afghanistan.
[00:42:19.969 --> 00:42:26.752]  When they found out he had operational experience, instead of building communication towers like he was hired to do, they had him searching for IEDs.
[00:42:27.393 --> 00:42:30.114]  So now I'm fearing for his life, want him to come home to his family.
[00:42:30.134 --> 00:42:36.797]  I had been doing consulting for startups and financial institutions for the last several years and wanted to get back in the game.
[00:42:38.198 --> 00:42:41.420]  We started talking about what it'd be to build a modern firearms company.
[00:42:41.620 --> 00:42:51.185]  Thought about retail, thought about websites, and really came to the conclusion that if we wanted to do something game-changing, if we wanted to really bring our ideas to market, we had to get into manufacturing.
[00:42:51.725 --> 00:42:56.708]  So we started a plan, raised a little bit of money, and the first thing that we developed was the LF-15C.
[00:42:56.808 --> 00:42:58.929]  It's an outstanding product.
[00:42:58.989 --> 00:42:59.630]  It's amazing.
[00:43:00.859 --> 00:43:12.782]  The LF-15C, for those who aren't familiar with Legion, is almost self-cleaning, almost self-lubricating, and sub-minute of angle accuracy with military ball ammo in some cases.
[00:43:12.802 --> 00:43:13.502]  Absolutely.
[00:43:13.982 --> 00:43:18.803]  Yeah, the one thing we were thinking about in designing this is what is going to make a premier firearm.
[00:43:19.323 --> 00:43:21.304]  We're designing stuff for the modern warfighter, right?
[00:43:22.424 --> 00:43:33.988]  Our brothers and sisters that are in law enforcement, in the military, that depend on their primary weapon system to keep them alive, they have really just a few major criteria that they have to meet, right?
[00:43:34.129 --> 00:43:38.390]  It has to be accurate, it has to be able to hit on target, it has to be reliable.
[00:43:38.690 --> 00:43:40.531]  If a gun goes down, your life's in jeopardy.
[00:43:41.011 --> 00:43:43.072]  And finally, it has to have great longevity.
[00:43:43.612 --> 00:43:45.413]  So, you look at a lot of guns out there,
[00:43:46.093 --> 00:43:54.376]  They jam up easy, the fit and finish isn't what it could be, they get corroded or they get carbon buildup, and that makes for an easy failure.
[00:43:54.396 --> 00:44:03.339]  Or to extend the life of it, they'll use cold hammer forged barrels, which are great, nothing bad about them, but they're just not as accurate, right?
[00:44:03.399 --> 00:44:12.442]  So we really endeavored to take every piece of the weapon system, go through it piece by piece, and optimize it so you can eliminate a lot of those failures and have much better accuracy.
[00:44:12.822 --> 00:44:13.843]  Yeah, without a doubt.
[00:44:13.883 --> 00:44:18.827]  I remember going to your proving grounds and just being astounded at the level of accuracy that was coming out of this.
[00:44:18.847 --> 00:44:22.150]  It was indeed an M4 platform and not a bolt gun.
[00:44:22.230 --> 00:44:22.390]  Right.
[00:44:24.096 --> 00:44:32.002]  You know, for most parts, I've only experienced that out of the more modern bolt guns like the Remington 5Rs and stuff like that in the higher upper echelons.
[00:44:32.482 --> 00:44:40.848]  To see a platform, an M4 platform, be able to deliver this kind of service and dependability to its operators is just unheard of, almost.
[00:44:41.529 --> 00:44:42.890]  So, it's an amazing product.
[00:44:44.431 --> 00:44:47.573]  How did you get into the civilians, you know, the civilian market?
[00:44:47.713 --> 00:44:49.975]  Or is that usually what is driving the force?
[00:44:50.115 --> 00:44:50.795]  Well, it's funny.
[00:44:51.836 --> 00:44:58.419]  Civilians want to use what the operators are using, but the operators often will end up using what becomes really hot in the civilian market.
[00:44:58.779 --> 00:45:00.480]  So we knew that we had to be in both.
[00:45:00.840 --> 00:45:01.961]  But it's not just about that.
[00:45:02.081 --> 00:45:04.062]  It's also about getting people into shooting, right?
[00:45:04.502 --> 00:45:07.483]  So Legion Firearms, we always want to be a very inclusive company.
[00:45:07.883 --> 00:45:10.985]  We want people to come out and experience what it's like to go shooting.
[00:45:11.745 --> 00:45:12.505]  Shooting's fun, right?
[00:45:12.585 --> 00:45:27.289]  So, even if your life doesn't depend on this as a way to make a living, it's really fun to go punch holes in paper, or shoot at steel targets, go to carbine training classes, learn how to shoot, get new accessories, optimize your weapons platform.
[00:45:27.749 --> 00:45:31.070]  It's a lot of fun to go out on the weekends and shoot, and we want everyone to be able to experience that.
[00:45:31.310 --> 00:45:31.871]  Absolutely.
[00:45:31.931 --> 00:45:36.932]  I mean, a lot more states are starting to allow the 5.56 as a hunting cartridge.
[00:45:37.372 --> 00:45:40.893]  Here in Texas, this year alone, they actually allowed suppressors to be used for
[00:45:41.133 --> 00:45:42.595]  For hunting, which I think is awesome.
[00:45:43.596 --> 00:45:45.378]  Why disturb the wildlife while you're hunting them?
[00:45:46.839 --> 00:45:50.483]  So I think these are excellent platforms for that very thing.
[00:45:51.504 --> 00:45:59.172]  Maybe we can start on little pieces and examine what is the root cause of the level of accuracy.
[00:45:59.653 --> 00:46:02.576]  How did you manage to bring this level of accuracy to the consumer?
[00:46:03.174 --> 00:46:03.954]  Sure, absolutely.
[00:46:04.854 --> 00:46:06.775]  Just to go over a little bit of this weapon system.
[00:46:07.155 --> 00:46:09.055]  Now, the M4 platform has been around since 1957.
[00:46:10.075 --> 00:46:15.857]  Eugene Stoner developed this to be a very easy-to-use weapon system, accurate.
[00:46:17.137 --> 00:46:21.978]  And if anyone knows their history out there in Vietnam, they experienced some problems when they started putting some different ammo in it.
[00:46:22.078 --> 00:46:24.299]  But otherwise, he created a very good weapon system.
[00:46:25.079 --> 00:46:28.099]  What we wanted to do, like I said, make it more accurate, better longevity.
[00:46:28.399 --> 00:46:30.640]  Now, accuracy mainly has to do with the barrel.
[00:46:31.540 --> 00:46:36.163]  This is ordinance grade 416 stainless steel with polygonal rifling through it.
[00:46:36.303 --> 00:46:39.124]  So it almost acts as a self-cleaning barrel.
[00:46:39.204 --> 00:46:44.527]  As the round moves down the barrel, it rifles through and brings a lot of the residue with it.
[00:46:44.967 --> 00:46:47.949]  Just so the audience understands the polygonal rifle concept.
[00:46:48.467 --> 00:46:55.290]  Many rifles out there are either broach cut, button cut, in which case it gives a deep groove inside the barrel.
[00:46:55.770 --> 00:47:02.453]  Now, those grooves will actually start building up with contaminants, mostly carbon, but it does inherently affect accuracy.
[00:47:02.493 --> 00:47:15.738]  With a polygonal land system, it's more uniformed, so you have more smooth edges and smooth land, so at that point, there's real no indention, so to speak, to allow for that carbon and contaminants to build up.
[00:47:16.351 --> 00:47:20.174]  Also with this barrel, you can see we have our specialized hex fluting in it.
[00:47:20.935 --> 00:47:24.858]  One of the things that makes stainless steel barrels a little less popular is the weight.
[00:47:25.319 --> 00:47:29.182]  So with this hex cut fluting, we are able to do three significant things.
[00:47:29.583 --> 00:47:32.945]  One is cut almost a pound off your standard mid-length 16-inch barrel.
[00:47:33.746 --> 00:47:42.118]  Two, it stops a lot of the resonance that would normally travel through a barrel that affects accuracy, especially if you're doing fast shooting, you've got to get back on site acquisition.
[00:47:42.779 --> 00:47:45.883]  It helps also to dissipate heat throughout the length of the barrel.
[00:47:46.364 --> 00:47:47.625]  So if you're in a firefight...
[00:47:48.686 --> 00:47:53.067]  God forbid you're in there for a long time, heat becomes a real, real problem.
[00:47:53.547 --> 00:47:55.028]  And this helps dissipate that a little bit.
[00:47:55.428 --> 00:48:00.189]  So, it makes for a much more functional system on top of the super accuracy that we get out of the 416 stainless.
[00:48:00.249 --> 00:48:01.289]  That's amazing.
[00:48:01.769 --> 00:48:06.410]  And the finishing, you know, is this, what is the finish exactly?
[00:48:06.450 --> 00:48:12.052]  I know you've got nickel boron on the bulk carrier and the internals, but what's this wonderful finish that I keep seeing?
[00:48:13.052 --> 00:48:13.873]  This is Cerakote.
[00:48:13.993 --> 00:48:15.395]  It's actually a ceramic coating.
[00:48:15.835 --> 00:48:19.819]  We have a full ceramic coating facility up in Temple.
[00:48:19.959 --> 00:48:22.462]  We can do basically any color that the customer wants.
[00:48:22.482 --> 00:48:26.787]  You know, the real popular ones, of course, black, FBE, your OD, your Coyote.
[00:48:27.487 --> 00:48:32.613]  We have our own special alpha gray and a tactical gray that are really cool looking, very trick and slick.
[00:48:32.993 --> 00:48:36.676]  Plus, they're really durable, so, you know, we want you to go out and beat up our guns.
[00:48:36.696 --> 00:48:43.282]  We want you to go out and throw them in the dirt, or whatever you have, and still have that finish looking great, and this is one way to do it, is with Cerakote.
[00:48:43.482 --> 00:48:47.705]  Yeah, no, I've heard a lot of nice things about Cerakote, more so over Duracote.
[00:48:48.526 --> 00:48:51.489]  Not only the application process, but the longevity of the product.
[00:48:52.389 --> 00:48:54.531]  You also do, for a few dollars more,
[00:48:55.772 --> 00:48:56.293]  Multicam.
[00:48:56.533 --> 00:49:02.277]  Yeah, Multicam is a fantastic camouflage and on these rifles it looks spectacular.
[00:49:02.798 --> 00:49:07.962]  So it's a fantastic finish and definitely a part of the reliability package and low maintenance.
[00:49:08.542 --> 00:49:11.785]  On the lower receiver, I notice that's not a mil-spec trigger you got in there.
[00:49:12.395 --> 00:49:13.015]  No, it's not.
[00:49:13.075 --> 00:49:16.557]  This is actually the Advanced Combat Trigger, which is a new system that we've been testing.
[00:49:16.737 --> 00:49:18.118]  It starts life as a GI trigger.
[00:49:18.619 --> 00:49:28.044]  It's then polished and coated in nickel boron, so it brings the trigger pull down from, you know, 10, between 7 and 10, wherever GI triggers lay, and they always lay someplace different.
[00:49:28.724 --> 00:49:30.606]  Down to a consistent 5, 5 1⁄2 pounds.
[00:49:31.367 --> 00:49:39.176]  We normally actually ship our guns with a CMC trigger, which is a Texas manufacturer that makes a fantastic 3 1⁄2 pound pull drop-in trigger assembly.
[00:49:39.557 --> 00:49:41.539]  But we've been playing with these a little bit and we really like them.
[00:49:41.839 --> 00:49:45.584]  And at a retail price of around $79, it's pretty affordable.
[00:49:45.704 --> 00:49:46.304]  Yeah, I would say.
[00:49:46.545 --> 00:49:46.965]  I would say.
[00:49:47.606 --> 00:49:49.228]  This is just a completely awesome package.
[00:49:49.768 --> 00:49:52.169]  I noticed you had, is this a Noveske switch block?
[00:49:52.629 --> 00:49:53.129]  Absolutely.
[00:49:53.169 --> 00:50:12.596]  For those of you out there that want to run a suppressed weapon system, the switch block allows you to be able to tailor the gas that's coming through the gas tube into the action, so you can run either single shot, where there's no gas traveling back, or suppressed, where you mitigate a little bit of the gas coming back, or of course, if you're running a standard configuration, you can open it right up.
[00:50:12.916 --> 00:50:15.457]  And it's super easy to adjust with just a simple adjustment.
[00:50:15.477 --> 00:50:16.457]  The pulls out, pushes in.
[00:50:16.497 --> 00:50:17.978]  You don't need any special tools.
[00:50:18.318 --> 00:50:19.178]  Anyone can operate it.
[00:50:19.378 --> 00:50:28.074]  So you really have taken a revolutionary approach to the M4 platform and made something that, well, I'm sure in Vietnam they were cursing this right now.
[00:50:28.094 --> 00:50:28.495]  They were.
[00:50:28.835 --> 00:50:30.458]  But you've actually made this.
[00:50:31.510 --> 00:50:31.950]  Pretty much.
[00:50:32.531 --> 00:50:33.711]  I think it's been plateaued.
[00:50:33.751 --> 00:50:36.213]  I don't know what more could be done to M4 to make it better.
[00:50:36.373 --> 00:50:37.093]  We like to think so.
[00:50:37.113 --> 00:50:40.656]  We like to think this weapon system is the end-all be-all for the M4 platform.
[00:50:40.716 --> 00:50:42.357]  You mentioned before the nickel-boron.
[00:50:42.617 --> 00:50:45.298]  This is a monolithic upper receiver, so it's really strong.
[00:50:45.338 --> 00:50:49.141]  It really helps accuracy because of the free-floating barrel system here.
[00:50:49.541 --> 00:50:55.945]  The nickel-boron, both on the bolt carrier group and the inside of the upper receiver and lower receiver, adds something that
[00:50:56.485 --> 00:51:01.646]  A lot of manufacturers are starting to come up to and understand, but we've been doing it since our inception.
[00:51:03.006 --> 00:51:06.707]  For reliability, you want to be able to have something where the carbon doesn't build up.
[00:51:06.807 --> 00:51:08.408]  And here it's, like you said, it's magic.
[00:51:08.448 --> 00:51:09.348]  It's almost cleaning itself.
[00:51:09.828 --> 00:51:13.689]  This gun just came out of a carbine course where we fired a thousand rounds through it.
[00:51:13.769 --> 00:51:16.089]  If you look inside the action, yeah, it's dirty.
[00:51:16.109 --> 00:51:17.270]  It's not that dirty.
[00:51:17.810 --> 00:51:21.691]  We can run three, four thousand rounds before we clean it, let alone going through and maintaining it.
[00:51:21.831 --> 00:51:23.851]  That's amazing for a gas impingement system.
[00:51:24.151 --> 00:51:26.933]  Absolutely, because you have all that blowback and carbon coming back there.
[00:51:27.673 --> 00:51:28.914]  Another thing, lubrication?
[00:51:29.214 --> 00:51:31.715]  Hell, we'll just lubricate the gas rings, the firing pin.
[00:51:32.276 --> 00:51:32.836]  That's it.
[00:51:34.137 --> 00:51:35.377]  No dumping lube in there.
[00:51:35.477 --> 00:51:37.018]  I mean, we use very little lube.
[00:51:37.258 --> 00:51:39.720]  You don't have to get it all greased up and disgusting.
[00:51:39.760 --> 00:51:47.985]  And furthermore, if you think about the environments that we end up fighting in, you don't want a ton of grease and goop in there that attracts dust.
[00:51:48.065 --> 00:51:48.685]  What's that do?
[00:51:48.725 --> 00:51:50.266]  It makes it so you can't fire your weapon.
[00:51:51.107 --> 00:51:53.449]  That was something that was very critical to the design of our gun.
[00:51:53.629 --> 00:51:59.856]  Well, I remember one of the products that I use wholeheartedly is Legion Oil.
[00:51:59.976 --> 00:52:00.436]  Yeah, thanks.
[00:52:01.577 --> 00:52:05.041]  And I have got nothing but amazing results out of it.
[00:52:05.101 --> 00:52:09.825]  It has a high flash point, so you don't see it evaporate under heat.
[00:52:10.466 --> 00:52:11.407]  It doesn't collect dust.
[00:52:12.140 --> 00:52:14.382]  Where did you guys come up with the idea of the oil?
[00:52:14.902 --> 00:52:19.005]  Well, actually, I had been working with this company on creating a biolube.
[00:52:19.065 --> 00:52:27.630]  I figured if we're going to continue to make advancements as far as the interior not needing lubrication, let's not use petrol-based lubrication, right?
[00:52:27.650 --> 00:52:28.511]  Right.
[00:52:28.531 --> 00:52:34.595]  So, there's been a lot of advancements in how people have taken soy and wheat and corn and made them into really good lubricants.
[00:52:35.115 --> 00:52:42.081]  We found this one that outperformed, on specifications alone, everything that we'd looked at from the modern gun lubrication companies.
[00:52:42.602 --> 00:52:48.087]  So we ordered a batch of it and started playing with it, and like you said, it's amazing how well it performs.
[00:52:48.127 --> 00:52:54.032]  Yeah, I've been a huge fan of the product and, you know, nowadays everyone's so used to smelling hoppies or stuff like that.
[00:52:54.613 --> 00:52:56.476]  They smell the Legion and they're like, what is that?
[00:52:56.576 --> 00:52:57.558]  You know, what's that oil in?
[00:52:57.618 --> 00:52:58.640]  Or what's that smell?
[00:52:58.700 --> 00:53:00.222]  And I'm like, that's Legion.
[00:53:00.242 --> 00:53:07.215]  So, finding a lube that can survive up where I, myself, am shooting thousands of rounds downrange and don't have a weapon seized.
[00:53:08.456 --> 00:53:10.998]  There's only two lubes that have been able to do it, and Legion's is one of them.
[00:53:11.098 --> 00:53:12.379]  That's awesome.
[00:53:12.999 --> 00:53:15.860]  Now, this year you had released a pistol.
[00:53:16.041 --> 00:53:16.221]  Yes.
[00:53:16.401 --> 00:53:17.281]  Can you tell us a little bit about it?
[00:53:17.621 --> 00:53:20.023]  Yeah, you know, we've been doing rifles for a little while.
[00:53:20.083 --> 00:53:21.724]  We have, of course, our Charlie out there.
[00:53:21.744 --> 00:53:22.924]  We have our Delta out there.
[00:53:23.605 --> 00:53:25.866]  We've got a new LF4 that's coming out soon.
[00:53:25.906 --> 00:53:27.647]  What's the difference between the Charlie and Delta?
[00:53:27.887 --> 00:53:28.927]  Oh yeah, that's a great question.
[00:53:29.288 --> 00:53:32.589]  So our Charlie utilizes a monolithic upper receiver.
[00:53:33.029 --> 00:53:40.131]  The Delta, on the other hand, uses a two-piece or modular setup, so you have a little more adjustability in what you want to do as far as a rail system.
