[00:00:22.051 --> 00:00:23.332]  It's Tuesday, February 28, 2012.
[00:29:20.720 --> 00:29:30.864]  That's a story at the Daily Bell from Ron Holland, and he really highlights the point that whatever happens electorally, what's really happening here is that true grassroots revolution
[00:29:31.804 --> 00:29:33.304]  Beginning to reach a tipping point.
[00:29:33.605 --> 00:29:35.545]  The entire media charade coming down.
[00:29:35.605 --> 00:29:36.906]  Nobody trusts them anymore.
[00:29:37.586 --> 00:29:45.268]  That dovetails with the recent Gallup poll, which shows an all-time low in their polling sample of 10% approval in Congress.
[00:29:45.588 --> 00:29:51.230]  You've got the previous CBS poll from a few months ago showing even 9% of approval for Congress.
[00:29:51.690 --> 00:30:04.483]  And people really are waking up in those respects, and that has been the true momentum of this campaign, whatever happens in terms of the official vote, whatever happens at a brokered convention, because there's multiple fronts to this war.
[00:30:05.438 --> 00:30:13.621]  Well, the media front, as you well know, I mean, look what happened after, or I should say, during the 2008 election.
[00:30:13.921 --> 00:30:26.946]  There was so much media bias against Paul, and it was networks like yours, and now networks like ours as well, who are trumpeting and standing on the front lines and giving the people an alternative perspective.
[00:30:27.978 --> 00:30:46.777]  And they're doing whatever they can to sort of discredit our efforts and this and that, but the reality is we don't have the bureaucratic editorial overhead that the mainstream media has because we have people who are on the ground feeding us information real-time from YouTube and social networks and such that we can get out the message faster than they can.
[00:30:49.019 --> 00:31:01.525]  And look, how many times, Darren, you know the answer to this as well as I do, but how many times have stories that you guys have been reporting on suddenly been reported on weeks later by the mainstream media?
[00:31:02.146 --> 00:31:15.153]  Our message is so ahead of the curve, and they're always going to be playing catch-up because we don't have the same overhead, and that's why the American people come to our messages first, that's why they come to our broadcasts, to hear what is really happening, and they're not trusting the mainstream media anymore.
[00:31:15.714 --> 00:31:27.176]  Well, it's because they're painting over the truth, and even though they do a quick paint-by-numbers brush-over, it still takes time for them to kind of distort those things and spin them into what they think is going to be useful reports.
[00:31:27.576 --> 00:31:33.497]  But really, that whole dam is breaking, and people are more and more turning to the alternative press, turning to the Internet.
[00:31:33.877 --> 00:31:37.238]  Even if they clamp down on the Internet, there's going to be other alternative movements.
[00:31:37.578 --> 00:31:41.819]  And I think that's the real big story of 2012 and the support for Ron Paul.
[00:31:42.537 --> 00:31:43.578]  Oh, there's no question about that.
[00:31:43.618 --> 00:31:47.682]  There's alternative networks springing up everywhere, the alternative radio stations.
[00:31:48.202 --> 00:32:00.734]  I mean, look, anybody with a webcam or an iPhone can simply do video blogs, upload them to YouTube, and that can spread across the web faster than the mainstream media can catch up with it.
[00:32:01.055 --> 00:32:07.581]  And that's why you see the mainstream media basically dying on the vine as we become more successful as the days progress.
[00:32:07.941 --> 00:32:16.445]  Yeah, well, they've cited in this report that I already mentioned from Ron Holland how they captured a reporter accidentally on a hot microphone saying, see this room?
[00:32:16.826 --> 00:32:19.547]  Two-thirds of us get laid off when Ron Paul is president.
[00:32:19.927 --> 00:32:27.511]  That's what they're scared of because they know they're paid liars and that kind of thing falls off if people awaken to the truth and demand the truth.
[00:32:27.871 --> 00:32:30.853]  And that's why they're turning to InfoWars and all the other alternative sites.
[00:32:31.233 --> 00:32:36.876]  Now, turning back to your revolution pack, tell us about the latest commercial and the other efforts you have underway there.
[00:32:37.452 --> 00:32:38.914]  Well, thank you for bringing that up, Aaron.
[00:32:38.954 --> 00:32:42.919]  The latest commercial we have released, it's titled T for Two.
[00:32:43.580 --> 00:32:49.748]  Simply go to our YouTube channel, you can find it, or just do a simple search for the word T for Two in RevPack, and you'll find our commercial.
[00:32:50.649 --> 00:32:51.350]  It's really cute.
[00:32:52.205 --> 00:33:00.327]  You might be able to pull it and play it on your show here, but it's got two kids playing senior citizens, and they're discussing Social Security.
[00:33:00.607 --> 00:33:05.488]  I don't want to give away all the twists, but it's a really light-hearted and fun commercial.
[00:33:05.708 --> 00:33:12.810]  We're getting a lot of great feedback, and we've already raised a significant amount of money to get it broadcast on the Super Tuesday States.
[00:33:12.830 --> 00:33:16.091]  We're still trying to raise money, and hopefully we can make that happen.
[00:33:16.874 --> 00:33:25.901]  What's your overall take on the rise of super PACs and the whole debate over corporate driven free speech and true free speech and where that's headed with the political paradigm?
[00:33:26.502 --> 00:33:31.784]  Well, in my opinion, I think super PACs are only going to be in existence for probably this election cycle.
[00:33:32.485 --> 00:33:48.532]  They're going to try to do whatever they can to close those loopholes in the Citizens United case, to shut them down because, I mean, our super PAC, we've been accepting donations in quite large sums from a lot of people, but we also accept small donations from grassroots individuals.
[00:33:48.992 --> 00:33:53.574]  So we have a pretty fair balance between the two, but then you have people like the Gingrich campaign,
[00:33:54.528 --> 00:34:05.976]  Who are receiving tens of millions of dollars from singular individuals, and that can be a problem when you want to have a fair election.
[00:34:05.996 --> 00:34:08.418]  I mean, that means really people can come in and buy up the elections.
[00:34:09.258 --> 00:34:14.222]  So I have a feeling that they're probably going to try to close those loopholes coming into the next election season.
[00:34:14.842 --> 00:34:17.124]  And so, hey, I think this is the last hurrah.
[00:34:17.144 --> 00:34:19.625]  If you want to fight for freedom now, and you want to get it done,
[00:34:20.766 --> 00:34:36.685]  You gotta donate the millions to the Revolution Pack so that we can broadcast these commercials, so we can get our boots on the ground, and all the Super Tuesday states, we can do the independent exit polling, and we can provide the alternative media solutions that are required to awaken, aware, and activate the American people.
[00:34:37.085 --> 00:34:43.712]  Well, you have reached people with your ads apart from the official Ron Paul campaign, and then separately all those great grassroots activists.
[00:34:44.032 --> 00:34:49.678]  Keep up your efforts because you are scaring the hell out of the system, and I think we all know that from what we've seen.
[00:34:50.058 --> 00:34:51.840]  Anyway, thanks for joining us, Gary Franchi.
[00:34:51.860 --> 00:34:52.721]  Any closing comments?
[00:34:53.450 --> 00:34:57.014]  No, just keep up the great work you guys are doing and we'll see you on the other side.
[00:34:57.414 --> 00:34:58.475]  All right, thanks for joining us.
[00:34:58.595 --> 00:35:01.318]  And that is all for tonight's InfoWars Nightly News.
[00:35:01.638 --> 00:35:04.821]  Of course, don't forget to subscribe, spread the word about this broadcast.
[00:35:05.182 --> 00:35:12.990]  If you want to support us financially, we don't have the billions, we don't have the foundations behind us, but we do have the power of the truth and that's what we're trying to work with.
[00:35:13.350 --> 00:35:14.952]  Thanks for watching and spread the word.
[00:35:14.972 --> 00:35:15.212]  Good night.
