[00:00:06.147 --> 00:00:07.548]  Worldwide transmission.
[00:25:41.898 --> 00:25:43.660]  As Butler Schaeffer says, two wings of the same
[00:25:43.680 --> 00:25:44.040]  I don't
[00:26:12.059 --> 00:26:19.121]  It's why they don't want multiple parties, and it's why there's, you know, there's no, except in style, there's no difference.
[00:26:19.161 --> 00:26:20.901]  This is not, this is not an accident.
[00:26:21.241 --> 00:26:21.901]  It's deliberate.
[00:26:22.562 --> 00:26:24.402]  It's the, it's why they love democracy.
[00:26:25.182 --> 00:26:40.266]  One of the many reasons they love democracy, it's been a great thing for the, for the growth of the state, that everybody thinks Hans Hoppe's great book on democracy, The God That Failed, is the key guide to why democracy
[00:26:40.646 --> 00:26:44.307]  As it's developed, it's just an instrument for the state to use against the rest of us.
[00:26:44.967 --> 00:26:47.368]  And Quigley, of course, is very important to read.
[00:26:47.408 --> 00:26:50.048]  I'm so glad you're bringing Gary Allen's book back into print.
[00:26:50.068 --> 00:26:51.489]  Gary Allen was a very great man.
[00:26:51.889 --> 00:26:52.449]  Great writer.
[00:26:53.049 --> 00:26:56.950]  And this is a wonderful book, Alex.
[00:26:56.970 --> 00:26:59.291]  So these are all things worth reading.
[00:26:59.871 --> 00:27:05.912]  And as usual, as you point out in this YouTube from Ron, he's always worth listening to.
[00:27:05.932 --> 00:27:06.992]  That's true today.
[00:27:07.053 --> 00:27:07.833]  It was true 30 or 40 years ago.
[00:27:11.240 --> 00:27:18.906]  In reaction to Richard Nixon's closing of the gold window and imposing price and wage controls on the economy in 1971.
[00:27:20.167 --> 00:27:20.988]  He's the same guy.
[00:27:21.668 --> 00:27:24.210]  And he's a sure guide to all this sort of thing.
[00:27:24.891 --> 00:27:27.473]  And look him up on YouTube.
[00:27:27.533 --> 00:27:32.997]  He's got many, many YouTubes from all his earlier campaigns, from his congressional speeches.
[00:27:33.458 --> 00:27:34.679]  They're all worth listening to.
[00:27:36.740 --> 00:27:39.843]  But again, don't expect anybody else to be Ron Paul.
[00:27:40.343 --> 00:27:50.050]  There's only been one Ron Paul, and I would say that even though I support Ron Paul in all his, in everything he does in terms of his political races, politics is a snare and a delusion.
[00:27:50.090 --> 00:27:51.871]  I mean, there's only one Ron Paul.
[00:27:52.751 --> 00:27:54.492]  Maybe there will be somebody else in the future.
[00:27:54.533 --> 00:27:55.413]  We can't rule it out.
[00:27:55.793 --> 00:27:59.896]  But there's only one of these guys in 200 years, so they don't come along very often.
[00:28:00.436 --> 00:28:02.057]  And we should appreciate what we've got.
[00:28:02.478 --> 00:28:05.980]  We should support him, read him, author of many important books.
[00:28:06.260 --> 00:28:07.561]  He's also a great intellectual.
[00:28:07.961 --> 00:28:08.702]  I mean, this again sets
[00:28:12.415 --> 00:28:16.660]  I don't think I've ever brought anything up to him that he didn't already know about and then he'll know about stuff I don't know about.
[00:28:16.680 --> 00:28:18.322]  I mean, I guess that's all he's doing is researching.
[00:28:32.776 --> 00:28:34.457]  That's our interview with Lou Rockwell.
[00:28:34.477 --> 00:28:38.740]  When we come back, there's a secret nuclear program in Austin, Texas.
[00:28:38.840 --> 00:28:40.941]  Some of it is admitted, a lot of it's underground.
[00:28:41.382 --> 00:28:47.626]  A rail gun blew up a few days ago outside of Austin, part of a Department of Defense program with UT.
[00:28:48.186 --> 00:28:51.949]  We're gonna look at the secret nuclear program straight ahead.
[00:28:51.969 --> 00:28:54.370]  And possible nuclear waste dumps.
[00:28:54.410 --> 00:28:56.452]  This is huge information.
[00:28:56.472 --> 00:28:58.153]  Stay with us, we'll be right back.
[00:29:02.998 --> 00:29:17.472]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:29:18.473 --> 00:29:22.157]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:29:23.157 --> 00:29:35.167]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:29:35.928 --> 00:29:43.193]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:29:43.874 --> 00:29:53.485]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:29:54.246 --> 00:29:57.529]  As well, we are always ready to answer any questions you may have.
[00:29:58.190 --> 00:30:01.293]  That's www.SilverLungs.com
[00:30:01.934 --> 00:30:06.076]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:30:06.376 --> 00:30:10.117]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:30:10.517 --> 00:30:14.199]  Every day, we document the attempts to take control of our lives.
[00:30:14.539 --> 00:30:16.540]  But there's one thing we can all control.
[00:30:16.740 --> 00:30:18.000]  Your greatest dependency.
[00:30:18.340 --> 00:30:18.700]  Food.
[00:30:19.081 --> 00:30:26.423]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:30:26.683 --> 00:30:28.964]  This food is nutrient-dense and tastes great.
[00:30:29.224 --> 00:30:30.525]  It's simple to make, portable,
[00:30:30.765 --> 00:30:32.886]  And has a shelf life of up to 25 years.
[00:30:33.246 --> 00:30:36.889]  Now with eFoodsDirect, you'll get the most affordable, best tasting food you can buy.
[00:30:37.129 --> 00:30:41.691]  To celebrate the beginning of summer, you can save 20% off their already affordable prices.
[00:30:41.931 --> 00:30:45.514]  This offer ends on June 20th, so take advantage of the summer savings now.
[00:30:45.854 --> 00:30:51.397]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex for specials.
[00:30:51.697 --> 00:30:53.018]  Don't let this offer pass you by.
[00:30:53.278 --> 00:30:55.259]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:30:58.661 --> 00:31:00.141]  More the best for less.
[00:31:00.301 --> 00:31:00.842]  Guaranteed.
[00:31:01.642 --> 00:31:06.903]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:31:07.143 --> 00:31:09.344]  Start purifying your water with ProPure.
[00:31:09.544 --> 00:31:15.065]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:31:15.265 --> 00:31:18.486]  And it's available discounted at Infowars.com.
[00:31:18.646 --> 00:31:21.827]  Its filters are silver impregnated to prevent bacterial growth.
[00:31:22.087 --> 00:31:23.527]  There's no priming required.
[00:31:23.787 --> 00:31:24.588]  It's NSF 42 certified.
[00:31:26.048 --> 00:31:28.550]  Optional fluoride filters can reduce fluoride up to 95%.
[00:31:29.331 --> 00:31:30.952]  Easy to set up and use.
[00:31:31.152 --> 00:31:32.453]  Doesn't require electricity.
[00:31:32.573 --> 00:31:35.436]  Purify water from lakes, streams, ponds, and wells.
[00:31:35.736 --> 00:31:38.898]  This filter system leaves in beneficial minerals, which is key.
[00:31:39.119 --> 00:31:43.122]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:31:43.262 --> 00:31:45.864]  ProPure is the best gravity-fed filter out there.
[00:31:46.004 --> 00:31:47.305]  It's what my family uses.
[00:31:47.585 --> 00:31:50.768]  Infowars.com already has the lowest price on ProPure.
[00:31:50.868 --> 00:31:56.510]  But if you add the promo code WATER at checkout, you get an additional 10% off at InfoWars.com.
[00:31:56.710 --> 00:31:59.291]  You can also call to order.
[00:31:59.311 --> 00:31:59.672]  888-253-3139.
[00:32:01.932 --> 00:32:07.335]  When you're out on the road, the last place you want to be is on the road.
[00:32:08.595 --> 00:32:13.357]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:32:13.717 --> 00:32:20.380]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:32:22.452 --> 00:32:28.903]  They sew pride in every stitch Guarantee you love the way they fit
[00:32:30.814 --> 00:32:34.816]  They put a Diamond Gusset in the crotch, where you need it most.
[00:32:35.536 --> 00:32:38.618]  Blue Diamond Gussets, got it.
[00:32:39.378 --> 00:32:40.199]  Others don't.
[00:32:40.599 --> 00:32:42.480]  We turn jeans inside out.
[00:32:42.760 --> 00:32:44.261]  Diamond Gusset Jeans.
[00:32:44.541 --> 00:32:47.102]  Made in the USA with unparalleled quality.
[00:32:47.422 --> 00:32:53.686]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:32:54.046 --> 00:32:56.247]  Order yours at gusset.com.
[00:32:56.747 --> 00:32:58.768]  Diamond Gusset Jeans, got it.
[00:32:59.128 --> 00:32:59.629]  Others don't.
[00:33:02.990 --> 00:33:05.893]  Coast to Coast, direct from Austin.
[00:33:06.573 --> 00:33:10.657]  You're listening to the Alex Jones Broadcasting Network.
[00:33:14.581 --> 00:33:22.308]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:33:36.906 --> 00:33:47.851]  We take you now to InfoWars Nightly News reporter Aaron Dykes as we begin part one of our investigation into the secret national security complexes buried under Austin, Texas.
[00:33:48.292 --> 00:33:50.433]  Rail guns, nuclear reactors and more.
[00:33:51.993 --> 00:34:05.380]  We have an InfoWars exclusive report uncovering the nuclear secrets of Austin, Texas as dangerous experimentations in the continuity of government threatens our very way of life.
[00:34:08.300 --> 00:34:13.005]  We have been compelled to create a permanent armaments industry of vast proportions.
[00:34:13.425 --> 00:34:22.394]  We must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:34:22.434 --> 00:34:25.838]  From before the days of President Dwight D. Eisenhower.
[00:34:26.278 --> 00:34:31.781]  The military-industrial complex has dominated research at universities across the United States.
[00:34:32.102 --> 00:34:47.190]  We must also be alert to the equal and opposite danger that public policy could itself become the captive of a scientific technological elite in laboratories and testing fields.
[00:34:47.391 --> 00:34:52.754]  The free university has experienced a revolution in the conduct of research.
[00:34:53.442 --> 00:34:54.803]  There have been many disasters.
[00:34:54.843 --> 00:35:00.085]  In California in 1959, a large sodium reactor melted down.
[00:35:00.665 --> 00:35:07.168]  And many estimates show that it was over 70 times bigger than Three Mile Island, and similar in effect to Chernobyl.
[00:35:07.828 --> 00:35:10.669]  But Americans weren't told about it for decades later.
[00:35:10.689 --> 00:35:17.232]  The reactor problem in July of 1959 involved partial core meltdown, was not publicly acknowledged until decades later.
[00:35:17.512 --> 00:35:35.524]  That's why it's important to look at all the secret and covert infrastructure across the United States, including Austin, Texas, the site of three different covert nuclear reactors and reports of huge caches of radioactive waste being hidden in the community of Austin, Texas.
[00:35:36.084 --> 00:35:41.108]  This is similar to large stockpiles that have been found in California and other states.
[00:35:41.428 --> 00:35:43.109]  No one wants the waste in their community.
[00:35:43.749 --> 00:35:45.811]  So government universities tend to hide it.
[00:35:46.770 --> 00:35:56.935]  Alex Jones here with a breaking first report on the underground infrastructure that literally infest Austin, Texas and surrounding areas.
[00:35:57.295 --> 00:36:07.500]  Bioweapons, rail guns, secret cyclotron facilities exploding just a few days ago, and big underground nuclear plants.
[00:36:08.200 --> 00:36:09.260]  Research facilities.
[00:36:10.141 --> 00:36:16.823]  Some of the biggest research facilities in the country, right here in Austin, and almost no newspaper articles about it.
[00:36:17.163 --> 00:36:20.464]  The articles we found online by the statesman and others have been removed.
[00:36:20.804 --> 00:36:22.785]  Wikipedia has had the record of it expunged.
[00:36:23.085 --> 00:36:36.690]  But my father, when he was going to the University of Texas in the late 60s, and was in departments that had access to the downtown reactor, saw it himself, worked on it as part of his physics class.
[00:36:37.423 --> 00:36:42.204]  Then, in the late 80s, they built new, larger reactors in North Austin.
[00:36:42.444 --> 00:36:43.704]  We're going to show you both of those.
[00:36:43.724 --> 00:37:04.949]  But in our investigation of these secretive infrastructures the Department of Defense is controlling right here in Austin, but also in many other cities around the country, we discovered that hiding right under our nose, our own Chris Oden's great-grandfather had been the head superintendent of all the facilities for the University of Texas in Austin, the biggest campus in the world.
[00:37:05.749 --> 00:37:19.800]  And that up until 1970, when he retired, he told his great-grandson and family, for that matter, that the huge underground cave system right outside Austin had been used as a secret dumping ground.
[00:37:20.180 --> 00:37:31.509]  So, Chris, here in our office, tell folks exactly what your grandfather told you that they stored in there and how big this cave system is.
[00:37:31.849 --> 00:37:45.125]  My great-grandfather, Benny Ellis, had told me many times about a site on the western portion of Austin, what used to be outside the city limits, right off of Redbud Trail.
[00:37:47.068 --> 00:37:54.772]  I'd say just a couple of hundred yards south of where the dam is at the beginning of the Old Town Lake, Lady Bird Lake, whatever they call it.
[00:37:55.072 --> 00:38:05.638]  And he told me for many years they had dumped barrels of chemical waste, heavy chests and containers of metal waste that he knew to be radioactive.
[00:38:06.779 --> 00:38:12.642]  He described them as containers with biohazard labels, radioactive labels.
[00:38:13.542 --> 00:38:21.468]  Um, he had had the, um, responsibility of controlling transportation, and so in many cases, uh, he was witness to such events.
[00:38:21.808 --> 00:38:28.552]  And you said that your great-grandfather said that they would wall it off, and that there were areas that were cemented, so they would put it back in crevices.
[00:38:28.752 --> 00:38:33.496]  Over the years, even when looking at the, uh, the cave entrance site, there are
[00:38:34.116 --> 00:38:36.398]  Layers that are comprised of older concrete.
[00:38:36.438 --> 00:38:38.079]  You can see it's pitted and it's aged.
[00:38:38.459 --> 00:38:44.044]  And then there have been newer installations where it's more polished, updated concrete.
[00:38:44.064 --> 00:38:50.929]  They've even disguised, or what I consider disguised, a portion of it as drainage for the entrance that goes underneath the cliff that's near it.
[00:38:51.089 --> 00:38:57.495]  This is a big deal because we have this history not just here but in Russia, Japan, where they just store this stuff all over the place.
[00:38:57.515 --> 00:38:59.076]  They store it in warehouses illegally.
[00:39:00.117 --> 00:39:08.264]  Repeat what you told me on the radio earlier today about the fact that they started moving it out to Red Bud because it had been in East Austin.
[00:39:09.348 --> 00:39:24.898]  Yes, according to him, for many years they had been attempting to store wastes of many kinds, dumping wastes of many kinds, as well as simply storing heavy equipment used by the university out where what is today Dishfalk Field.
[00:39:24.978 --> 00:39:26.799]  It's a large baseball diamond.
[00:39:27.580 --> 00:39:32.983]  That part of Austin was East Austin, typically known for having a higher minority population.
[00:39:33.664 --> 00:39:35.445]  There was a lot of blowback from the community.
[00:39:36.265 --> 00:39:41.847]  And they, in turn, began to store it underground in those lesser-known facilities.
[00:39:42.367 --> 00:39:44.587]  Hey, this is stored in the richest part of Austin now!
[00:39:45.608 --> 00:39:46.688]  It was not at that time.
[00:39:46.748 --> 00:39:47.968]  It was city limits.
[00:39:47.988 --> 00:39:49.889]  There was very little development.
[00:39:49.949 --> 00:39:52.009]  It was country.
[00:39:52.269 --> 00:39:59.651]  It was, at that time... I've got friends that live out there, and there's old fishing shacks and things in the 30s and 40s, and that's all that was out there.
[00:40:00.251 --> 00:40:00.391]  Right.
[00:40:00.411 --> 00:40:01.772]  I mean, that was the countryside.
[00:40:02.212 --> 00:40:02.572]  Exactly.
[00:40:02.992 --> 00:40:07.335]  Now before we get into the full report, that's just part one, because this just started developing yesterday.
[00:40:07.815 --> 00:40:18.941]  What's your overall view, and did your great-grandfather, who was the head of superintendent of facilities at UT for all those years, did he ever talk about the reactor underneath the presidential library?
[00:40:19.882 --> 00:40:27.146]  He did describe what many had said was underneath the Robert Lee Memorial Building.
[00:40:28.466 --> 00:40:29.827]  He said that
[00:40:31.411 --> 00:40:35.334]  There was more activity going on under the ground than above the ground.
[00:40:36.715 --> 00:40:42.540]  The campus was enormous and the tunnels were vast.
[00:40:43.942 --> 00:40:49.666]  They were able to do things like transfer library books from one building to another.
[00:40:50.623 --> 00:40:52.545]  Underground when weather wouldn't permit.
[00:40:52.565 --> 00:41:01.592]  He even described times when personnel would use underground corridors instead of traveling above ground.
[00:41:01.612 --> 00:41:03.013]  And it's not just Austin, Texas.
[00:41:03.033 --> 00:41:05.695]  There is secret infrastructure in every major city.
[00:41:05.735 --> 00:41:12.140]  But even my grandfather and family that lived here in Austin talked about the old SAC base that's now our international airport, Bergstrom.
[00:41:12.621 --> 00:41:17.164]  And they admit that the Hilton Hotel out there is the big SAC command building.
[00:41:17.504 --> 00:41:17.925]  Was that?
[00:41:18.365 --> 00:41:24.191]  And I've talked to family who's currently in the military who says, well, we can't talk about it, but yes, there's a big underground base there.
[00:41:24.491 --> 00:41:30.076]  There's railways connected to UT, the Capitol, and all the way out to Fort Hood, 60 miles away.
[00:41:30.677 --> 00:41:31.578]  I mean, it's amazing.
[00:41:31.618 --> 00:41:38.344]  The United States has spent more money than all other countries combined on defense, but also on COG, continuity of government.
[00:41:38.905 --> 00:41:39.845]  Can you imagine?
[00:41:40.766 --> 00:41:42.268]  How big these underground bases are.
[00:41:42.308 --> 00:41:49.196]  I mean, I've been told it's just staggering the whole giant secret government corporate infrastructure that's underground.
[00:41:50.103 --> 00:42:03.188]  Despite the bedrock here, despite the manpower that would go into such a thing, I know I've been told of underground bases, even located in the Capitol, that were installed during the Cold War simply for bomb shelters.
[00:42:03.668 --> 00:42:06.269]  Chris Oden, thank you for taking time out to talk with us today.
[00:42:06.289 --> 00:42:14.312]  We're going to get into the full report right now from you guys on the street yesterday, Aaron Dykes yourself and Rob Jacobson running camera.
[00:42:14.692 --> 00:42:16.453]  We're going to have a part two next week.
[00:42:16.513 --> 00:42:18.954]  This rabbit hole goes very, very deep.
[00:42:19.574 --> 00:42:29.120]  The fact that most Austinites don't even know that bioweapons are being developed in Austin, that if they got out would kill over 90% of the people, things like mousepox, things like airborne Ebola.
[00:42:30.401 --> 00:42:42.329]  The fact that we've got an old reactor still operating, hidden underneath UT downtown, and then two up north, and you tell the average person and they laugh at you and there's almost no news coverage.
[00:42:42.349 --> 00:42:46.312]  You have to go back to the 80s to even find Austin American Statesman articles on this.
[00:42:46.972 --> 00:42:48.093]  This is wild.
[00:42:53.126 --> 00:42:57.356]  We'll be right back with more concerning the secret infrastructure underneath Austin, Texas.
[00:43:04.139 --> 00:43:11.826]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:43:12.246 --> 00:43:15.889]  Alex and his staff have used these pure soap products for years.
[00:43:16.329 --> 00:43:23.155]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:43:23.636 --> 00:43:26.118]  See them on the web at 5starsoap.com.
[00:43:26.658 --> 00:43:31.161]  Or call 800-340-7091 for a free catalog.
[00:43:31.481 --> 00:43:37.145]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:43:37.425 --> 00:43:42.529]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:43:42.849 --> 00:43:44.470]  This is an amazing deal.
[00:43:44.830 --> 00:43:49.433]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:43:50.054 --> 00:43:53.196]  See them on the web at 5starsoap.com or call
[00:43:53.436 --> 00:43:54.904]  Call 800-340-7091 for a free catalog.
[00:44:01.775 --> 00:44:05.896]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:44:06.196 --> 00:44:09.936]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:44:10.336 --> 00:44:14.017]  Every day, we document the attempts to take control of our lives.
[00:44:14.357 --> 00:44:16.358]  But there's one thing we can all control.
[00:44:16.558 --> 00:44:17.818]  Your greatest dependency.
[00:44:18.158 --> 00:44:18.518]  Food.
[00:44:18.898 --> 00:44:26.239]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:44:26.499 --> 00:44:28.820]  This food is nutrient-dense and tastes great.
[00:44:29.040 --> 00:44:30.340]  It's simple to make, portable,
[00:44:30.580 --> 00:44:32.701]  And has a shelf life of up to 25 years.
[00:44:33.061 --> 00:44:36.703]  Now with eFoodsDirect, you'll get the most affordable, best tasting food you can buy.
[00:44:36.943 --> 00:44:41.525]  To celebrate the beginning of summer, you can save 20% off their already affordable prices.
[00:44:41.765 --> 00:44:43.306]  This offer ends on June 20th.
[00:44:43.486 --> 00:44:45.327]  So take advantage of the summer savings now.
[00:44:45.687 --> 00:44:51.210]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex for specials.
[00:44:51.510 --> 00:44:52.850]  Don't let this offer pass you by.
[00:44:53.091 --> 00:44:55.071]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:44:58.474 --> 00:45:00.623]  More the best, for less guaranteed.
[00:45:01.343 --> 00:45:05.586]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:45:05.886 --> 00:45:06.506]  Number 1.
[00:45:06.806 --> 00:45:09.948]  New climate legislation could easily double or triple your electric bill.
[00:45:10.229 --> 00:45:10.789]  Number 2.
[00:45:11.089 --> 00:45:15.652]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:45:15.992 --> 00:45:16.433]  It's true.
[00:45:16.733 --> 00:45:21.296]  Total government control of electricity in the name of smart grid technology is coming.
[00:45:21.596 --> 00:45:22.136]  Number 3.
[00:45:22.436 --> 00:45:25.718]  In some areas of the country, the power grid is dangerously overloaded.
[00:45:26.019 --> 00:45:29.721]  And now, new socialist legislation is only compounding the problem.
[00:45:29.921 --> 00:45:30.461]  Number four.
[00:45:30.701 --> 00:45:33.082]  Dangerous weather is always a threat to local grids.
[00:45:33.462 --> 00:45:36.864]  Every year, thousands of families lose their power from weather-related outages.
[00:45:37.144 --> 00:45:37.684]  Number five.
[00:45:37.944 --> 00:45:41.866]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:45:42.086 --> 00:45:46.848]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:45:47.148 --> 00:45:51.169]  You can get more information at www.mysolarbackup.com.
[00:45:51.309 --> 00:45:52.870]  That's mysolarbackup.com.
[00:45:53.090 --> 00:45:57.692]  Remember, the government doesn't own the sun, so go to mysolarbackup.com, or call 1-866-422-9000.
[00:45:58.012 --> 00:45:58.052]  877-327-0365.
[00:46:03.015 --> 00:46:06.656]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:46:06.976 --> 00:46:15.097]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:46:15.837 --> 00:46:19.858]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:46:20.458 --> 00:46:31.280]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:46:31.920 --> 00:46:40.923]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:46:41.423 --> 00:46:46.465]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:46:46.865 --> 00:46:54.028]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:46:54.348 --> 00:46:57.089]  That's www.SilverLungs.com.
[00:47:02.918 --> 00:47:05.839]  Coast to Coast, direct from Austin.
[00:47:06.519 --> 00:47:10.600]  You're listening to the Alex Jones Broadcasting Network.
[00:47:19.802 --> 00:47:27.324]  You've just heard part one of our first report concerning secret technology underground bases here in Austin, Texas.
[00:47:27.924 --> 00:47:31.765]  Our reporters go to the scene of where nuclear waste may be buried.
[00:47:33.553 --> 00:47:35.494]  Aaron Dykes here for InfoWars.com.
[00:47:35.514 --> 00:47:42.257]  We're here on the UT campus in downtown Austin to expose some of the secret infrastructure that goes on at universities.
[00:47:42.677 --> 00:47:46.019]  Right here in Austin, Texas, there are several nuclear facilities.
[00:47:46.239 --> 00:47:48.380]  One is reportedly underground this campus.
[00:47:48.700 --> 00:47:50.280]  There's another at the J.J.
[00:47:50.340 --> 00:47:57.384]  Pickle Research Facility, part of the larger Austin system just a few miles north of downtown here in Austin, Texas.
[00:47:58.524 --> 00:48:09.242]  Now I'm standing here with one of our newest production team members, Christopher Oden, and not only is he a long-term Austin resident, his grandfather used to be a superintendent right here on UT campus.
[00:48:09.623 --> 00:48:10.625]  Christopher, tell us what you know.
[00:48:12.253 --> 00:48:27.380]  I do know that for a number of years, according to my great-grandfather, Benjamin Ellis, there was research conducted here that was not only kept under great security and great secrecy, it was
[00:48:28.801 --> 00:48:33.223]  done by other agencies than just the University of Texas.
[00:48:33.784 --> 00:48:57.415]  I know that not only is there a nuclear reactor approximately six stories beneath our feet and the facilities to maintain such a reactor, there are a number of them, at least one, possibly two, at the Pickle Research Center about 15 miles north of here, as well as various locations in local caves within Travis County.
[00:48:58.647 --> 00:48:59.627]  Right here at J.J.
[00:48:59.687 --> 00:49:11.930]  Pickle, there's actually a nuclear reactor, a full-scale nuclear system going on behind research facilities, bio labs, and other regular university functions that are going on.
[00:49:12.470 --> 00:49:14.671]  And we want to know why is this being covered up?
[00:49:14.791 --> 00:49:16.011]  Why is it not talked about?
[00:49:16.231 --> 00:49:25.113]  We have footage we're going to show you of some of the cooling towers, and on Google Earth you can see some of the cooling ponds that are used for nuclear reactors.
[00:49:26.133 --> 00:49:40.899]  On June 13, 2012, there was an explosion at another research facility, which really just raises bigger questions about a lot of the secretive and often dangerous research that goes on under the auspices of university education.
[00:49:40.919 --> 00:49:49.222]  The University of Texas has been much less than transparent about a lot of their activities.
[00:49:51.283 --> 00:50:01.267]  They have nanotechnology projects that are published, but they've been very, very hush-hush about their nuclear reactor work.
[00:50:01.847 --> 00:50:10.971]  We do know across the country approximately 48 out of 64 nuclear reactor locations are admittedly leaking, admittedly rotting.
[00:50:11.411 --> 00:50:15.134]  They're leaking the radioactive element tritium into water supplies.
[00:50:15.494 --> 00:50:18.557]  That's all in MSNBC and other mainstream sources.
[00:50:18.957 --> 00:50:20.658]  So we know there's something going on.
[00:50:20.718 --> 00:50:24.642]  We know nuclear is not as clean as we were once convinced it was.
[00:50:25.102 --> 00:50:30.987]  And so the idea that something even more covert could be going on with dumping this material is certainly alarming.
[00:50:31.727 --> 00:50:42.679]  We're here at a location in a ravine just off of the Tom Miller Dam south of the Colorado River here in Austin and CJ here will explain what our sources told us.
[00:50:43.139 --> 00:50:49.947]  My great-grandfather did tell me that the University of Texas was using this area to dispose of nuclear waste.
[00:50:50.627 --> 00:51:02.357]  As we learn more about the disturbing nuclear secrets of Austin and its threats to the environment, we begin to understand how little we really know about what's going on in government and the world we live in.
[00:51:02.377 --> 00:51:06.401]  This is Aaron Dykes for InfoWars.com, signing off.
[00:51:06.721 --> 00:51:11.003]  And we will continue to bring you more coverage on that story as it unfolds.
[00:51:11.223 --> 00:51:23.810]  Meanwhile, we have learned that the CDC bioterror lab in Atlanta has had some serious problems with the airflow systems that they designed to stop the release of infectious agents.
[00:51:24.050 --> 00:51:27.352]  This revealed in government documents and internal emails.
[00:51:27.692 --> 00:51:30.853]  And this is the area of the building where they store anthrax.
[00:51:31.273 --> 00:51:33.875]  They have dangerous strains of influenza stored there.
[00:51:34.375 --> 00:51:35.856]  Monkeypox, you name it.
[00:51:36.136 --> 00:51:40.979]  These are microbes that have the potential to be used as bioweapons.
[00:51:41.319 --> 00:51:52.265]  And if any of these microbes were to get released on accident, let's say through one of those faulty ventilation systems, then there is seriously a potential for a global pandemic.
[00:51:52.706 --> 00:51:53.806]  It is that serious.
[00:51:54.086 --> 00:51:57.148]  And are there bioweapons labs in your neighborhood?
[00:51:57.669 --> 00:51:59.950]  InfoWars Nightly News investigates.
[00:52:02.588 --> 00:52:14.215]  Government-funded universities across the western world are developing massive warehouses full of bioweapons that they say is for biodefense under the BioShield program.
[00:52:14.675 --> 00:52:29.605]  Airborne Ebola, smallpox, bubonic plague, bird flu, and the H1N1 superbug are being weaponized and kept in moderately secured facilities like at the Galveston National Laboratory on the campus of the University of Texas.
[00:52:30.245 --> 00:52:41.480]  Now this may be one of the biggest threats we now face, as the risk of a deadly virus escaping one of these laboratories and starting a global pandemic, well it is a clear and present danger.
[00:52:42.597 --> 00:52:44.339]  Weaponized airborne Ebola.
