[00:00:04.625 --> 00:00:05.385]  Hi and welcome.
[00:19:12.765 --> 00:19:15.306]  It's a desire for truth that I think people are truly scared of.
[00:19:16.403 --> 00:19:18.464]  All right, so this comes from Jisk.
[00:19:19.545 --> 00:19:21.566]  He actually wrote an accompanying article for it.
[00:19:21.626 --> 00:19:22.886]  I'll reference it here in a second.
[00:19:22.966 --> 00:19:27.468]  He says, have you looked into Leo Wanta and these trillions of dollars?
[00:19:27.608 --> 00:19:28.089]  Not true.
[00:19:28.189 --> 00:19:28.609]  Not real.
[00:19:28.809 --> 00:19:29.429]  It's not true.
[00:19:29.569 --> 00:19:29.930]  Not true.
[00:19:29.970 --> 00:19:30.410]  Not real.
[00:19:30.590 --> 00:19:31.210]  Well, there you go.
[00:19:31.330 --> 00:19:31.750]  There you have it.
[00:19:32.631 --> 00:19:37.753]  I mean, I mean, I mean, yeah, it's not as real as the Easter Bunny.
[00:19:37.773 --> 00:19:39.534]  I mean, you know, it's not as real.
[00:19:39.554 --> 00:19:40.455]  I love talking about Easter Bunny.
[00:19:40.475 --> 00:19:41.235]  It's an old joke.
[00:19:41.255 --> 00:19:42.495]  You always make me giggle when you say that.
[00:19:42.676 --> 00:19:43.256]  Whatever.
[00:19:43.276 --> 00:19:43.836]  I overdo it.
[00:19:43.856 --> 00:19:44.957]  The point is so ridiculous.
[00:19:46.232 --> 00:19:48.493]  It's as real as those Nigerian letters you get in the mail.
[00:19:49.474 --> 00:19:49.734]  Okay.
[00:19:50.014 --> 00:19:51.555]  The scammish idea.
[00:19:51.795 --> 00:19:52.695]  Well, maybe they're real.
[00:19:52.835 --> 00:19:56.317]  I mean, people, I've had people call me up and go, Hey, I got this Nigerian letter.
[00:19:56.337 --> 00:19:57.357]  They're offering me a million dollars.
[00:19:57.397 --> 00:19:58.258]  I pay them 5,000.
[00:19:58.298 --> 00:19:59.418]  They want to believe their ships come in.
[00:20:00.139 --> 00:20:02.240]  And I go, no, that's about a 10 year old internet scam.
[00:20:02.280 --> 00:20:02.780]  It's not real.
[00:20:02.800 --> 00:20:06.622]  And I've had families, distant families say, no, my million is here.
[00:20:06.642 --> 00:20:07.182]  I'm sending my 5,000.
[00:20:07.622 --> 00:20:12.685]  And then you send your 5,000 and then you get the, you get the email back on.
[00:20:12.765 --> 00:20:13.645]  Oh, that wasn't quite enough.
[00:20:13.665 --> 00:20:14.186]  5,000 more is needed.
[00:20:15.782 --> 00:20:17.403]  And sometimes they do four or five payments.
[00:20:17.984 --> 00:20:20.906]  And you know who they're angry at after they get ripped off?
[00:20:21.226 --> 00:20:21.987]  You for telling them.
[00:20:22.387 --> 00:20:24.389]  They're not angry at the Nigerian scammer.
[00:20:24.869 --> 00:20:27.772]  Because they always get emailed that Prince Habib got arrested.
[00:20:27.792 --> 00:20:29.393]  Of course.
[00:20:29.513 --> 00:20:32.415]  I mean, it wasn't that he couldn't... Prince Habib got arrested.
[00:20:32.876 --> 00:20:37.679]  People, once they're getting scammed, they just get deeper and deeper into the fraud.
[00:20:37.780 --> 00:20:39.421]  Yeah.
[00:20:39.481 --> 00:20:42.663]  I mean, and that's what they want.
[00:20:42.683 --> 00:20:43.144]  It's what they get.
[00:20:43.916 --> 00:20:55.823]  This next one comes to you from John, and he says, Alex, did you know that in the big re-education camp PDF that you discovered weeks ago, there was a section where they talk about the Army squatting community centers.
[00:20:56.183 --> 00:21:01.486]  Can you clarify what a FEMA DRC, Disaster Recovery Center, actually is?
[00:21:01.526 --> 00:21:03.387]  There's actually one located near me.
[00:21:04.551 --> 00:21:08.834]  Well, again, there are real disasters, there's real reasons for this.
[00:21:08.874 --> 00:21:13.258]  So they kind of cluster real issues of hurricanes, earthquakes within it.
[00:21:13.318 --> 00:21:13.898]  That's part of it.
[00:21:14.278 --> 00:21:17.741]  And then it just has takeover of local government, gun confiscation.
[00:21:18.722 --> 00:21:22.204]  So there's some legitimate functions, and that's how they always sell it.
[00:21:22.224 --> 00:21:25.567]  Kind of like the Army does Jaws of Life for car wrecks.
[00:21:25.587 --> 00:21:27.068]  Like, well, are you against the Army being here?
[00:21:27.088 --> 00:21:28.269]  They're just helping this poor man.
[00:21:28.289 --> 00:21:29.130]  Yeah.
[00:21:29.590 --> 00:21:31.812]  Are you against the Air Force spraying mosquitoes in Florida?
[00:21:32.850 --> 00:21:34.692]  That's our military getting the job done.
[00:21:35.393 --> 00:21:42.162]  So there's just this mission creep where it's just an acclamation and they do things that they think are going to be popular up front.
[00:21:42.522 --> 00:21:44.184]  So the troops feel good being in the community.
[00:21:44.545 --> 00:21:45.846]  The troops being brainwashed too.
[00:21:46.968 --> 00:21:49.931]  So it's just a conditioning process for the police, the military, the public.
[00:21:50.252 --> 00:21:51.173]  We're all in the same boat.
[00:21:51.493 --> 00:21:51.694]  Yeah.
[00:21:52.765 --> 00:21:55.287]  Well, this next one actually comes to you from Freedom Angel.
[00:21:55.987 --> 00:21:58.409]  What do you know about Project Athena?
[00:21:58.689 --> 00:22:04.913]  How come Catherine Albrecht never talked about it being from MIT as she had some dealings with them?
[00:22:06.054 --> 00:22:06.815]  I have no idea.
[00:22:07.215 --> 00:22:08.075]  You'll have to look into this.
[00:22:08.456 --> 00:22:09.556]  We'll star that question.
[00:22:09.596 --> 00:22:13.119]  Might as well ask me about Lucky Charms or something.
[00:22:13.139 --> 00:22:15.320]  Sometimes they jump over the rainbow.
[00:22:15.701 --> 00:22:17.482]  Yeah, no, I mean, all that was Greek.
[00:22:18.044 --> 00:22:28.067]  All right, well, this next one comes to you from Tori, and she says, why do some states like Texas have state guards, and how powerful are they in relation to the police departments, the regular military?
[00:22:28.087 --> 00:22:29.387]  Ooh, that's a good question.
[00:22:29.407 --> 00:22:31.888]  Yeah, you kind of touched on that today in today's show.
[00:22:32.028 --> 00:22:35.149]  I heard you say something about state police or something to that effect, so.
[00:22:35.449 --> 00:22:37.730]  Well, I mean, I'm actually trying to work on a piece on this.
[00:22:37.810 --> 00:22:39.750]  It's funny that they asked that question.
[00:22:40.070 --> 00:22:42.051]  That's the original vestigial
[00:22:44.207 --> 00:22:45.690]  Shadow of the state militia.
[00:22:45.710 --> 00:22:51.122]  Because all the state militia was they demonized in the news was a posse or a civil defense.
[00:22:52.060 --> 00:23:02.543]  So that if the sheriff, who's elected, needs a group of people for fires or for whatever, he can go around and find out, or she can go around and find out, whoever they think's good, and whoever's willing to get something done.
[00:23:02.943 --> 00:23:06.384]  Hey, you know, you got bulldozers, there's fires coming this way, get over here.
[00:23:06.764 --> 00:23:09.185]  You know, get on the radio, get on local radio, TV.
[00:23:09.485 --> 00:23:10.966]  Back in the old days, you know, ride on your horse.
[00:23:11.306 --> 00:23:12.446]  Hey, get down here, we need help.
[00:23:12.486 --> 00:23:14.647]  You know, get your buckets, the town's on fire.
[00:23:15.527 --> 00:23:19.468]  And so, states have guards, and then they also have the National Guard.
[00:23:19.768 --> 00:23:22.449]  Originally it was state guards, then they set up National Guard, it was under the governors.
[00:23:22.749 --> 00:23:27.871]  Now they've basically federalized those, where they're federal, so they're even getting rid of the state, having it's quote, National Guard.
[00:23:28.231 --> 00:23:30.352]  And so, it's really what's left of the militia.
[00:23:31.781 --> 00:23:34.842]  Awesome, that's actually really informative.
[00:23:35.142 --> 00:23:38.083]  Mitsteer E is this user.
[00:23:38.463 --> 00:23:43.085]  What do you think about Romney saying no congressional approval needed to bomb Iran?
[00:23:43.505 --> 00:23:44.705]  And he's not alone in saying that.
[00:23:44.945 --> 00:23:46.786]  Hey, he likes Obama's health care.
[00:23:47.606 --> 00:23:49.347]  He says he's against it, but he helped write it.
[00:23:49.647 --> 00:23:53.308]  But we've got to do what the Supreme Court said and the IRS taxing us isn't a tax.
[00:23:54.128 --> 00:23:55.529]  And it's a standard NDAA.
[00:23:55.569 --> 00:24:02.914]  He supports secret arrest, drone killing, endless war, warrantless wiretappings, open borders, carbon taxes.
[00:24:03.315 --> 00:24:05.416]  He's bought and paid for by the exact same people.
[00:24:05.776 --> 00:24:10.920]  Bain's given double the money that he's part owner of and used to head to Obama than they even gave him.
[00:24:12.410 --> 00:24:13.571]  I don't think so.
[00:24:33.820 --> 00:24:34.860]  Yeah, of course.
[00:24:35.121 --> 00:24:37.742]  Do you see that cartoon we had on InfoWars today?
[00:24:38.002 --> 00:24:42.403]  It was the sheep and it was like, whichever way you choose, and it all funneled into the same place.
[00:24:42.703 --> 00:24:44.144]  I didn't see it, but yeah.
[00:24:44.164 --> 00:24:45.124]  It fits into that.
[00:24:45.685 --> 00:24:54.228]  Vaughn comes to you and he asks, Alex, I'm curious to get your take on the inevitable emerging cloning technology and the implications on society.
[00:24:56.434 --> 00:25:01.857]  Well, clones have inherent genetic problems, and it's all part of humanity playing God.
[00:25:02.857 --> 00:25:18.504]  Just like an iPhone has tech built into it that you pay for when you buy it to spy on you, the globalists have said with their medical tyranny that they're not going to give us any, like they sterilize us, but then come and say we have a technology so you can have a child.
[00:25:18.944 --> 00:25:21.566]  But then they're going to get rid of traits that are bad in the child.
[00:25:22.286 --> 00:25:24.347]  That means build into it what they want.
[00:25:25.819 --> 00:25:43.466]  And so this whole thing is a medical mad scientist tyranny and it's Strap yourselves in we're gonna see some very very crazy times, but we should do a whole special on cloning because we're already eating clone meat milk from clone cows They're doing cross-species weird clones.
[00:25:43.506 --> 00:25:49.388]  I mean it's the sky's the limit we're living in this planet is like a giant biological weapons experiment or something and
[00:25:50.697 --> 00:25:51.798]  Yeah, you don't know what's real anymore.
[00:25:52.898 --> 00:25:55.799]  Glitch says, as a child I read Prisoners of Power.
[00:25:55.839 --> 00:25:58.420]  It's a sci-fi book written by a Russian duo.
[00:25:59.041 --> 00:26:01.902]  And the brothers back in the night, they wrote it in the 1960s.
[00:26:02.282 --> 00:26:06.324]  Since then, I've read the book many times, discovering new aspects of the world that they painted.
[00:26:06.744 --> 00:26:12.308]  In 2010 and 2011, the biggest sci-fi movie ever made in Russia came out in two parts.
[00:26:12.849 --> 00:26:18.353]  The name of the movie was Inhabited Island, and essentially the story parallels many of today's trends.
[00:26:18.453 --> 00:26:25.379]  So probably some of the most notable of them are radiation towers affecting people's minds, propaganda, brainwash, etc.
[00:26:26.519 --> 00:26:30.683]  So, uh, I'm not... Sorry, I kind of lost my question.
[00:26:31.926 --> 00:26:34.551]  Can we find other articles that are like that?
[00:26:34.591 --> 00:26:38.137]  Is there any other sci-fi movie or anything else that you've seen?
[00:26:38.838 --> 00:26:42.304]  I've noticed articles that, you know, we see a cartoon that it's painted the future, etc.
[00:26:43.749 --> 00:26:46.270]  Yeah, I mean, all these movies and culture show a dystopia.
[00:26:46.290 --> 00:26:47.830]  It's like, just get ready for it.
[00:26:47.870 --> 00:26:48.610]  That's what happens.
[00:26:48.630 --> 00:26:50.791]  In the future, the government says, how many kids you can have?
[00:26:51.211 --> 00:26:56.693]  In the future, you're going to be watched and controlled, because eugenicists developed most of the modern technologies we have.
[00:26:56.733 --> 00:26:57.313]  They steered them.
[00:26:57.333 --> 00:26:57.973]  They controlled them.
[00:26:58.734 --> 00:27:04.035]  Robber barons and royalty believed in all this, so they've built the culture we're in, and this is the world they're taking us to.
[00:27:04.875 --> 00:27:07.476]  I haven't seen that film or read that book, but it sounds intriguing.
[00:27:07.696 --> 00:27:07.956]  Yeah.
[00:27:08.417 --> 00:27:09.637]  Well, maybe we'll follow up with that, too.
[00:27:12.111 --> 00:27:21.577]  Everyone, this is from Freedom Spear, and he says, everyone knows that having preventative medicine, surgery and dental work, whatever, is not an inalienable right.
[00:27:21.597 --> 00:27:24.158]  And we actually touched on that in one of the last Ask Alex segments.
[00:27:24.718 --> 00:27:30.722]  Moreover, passing a law that mandates purchasing such services, products, anything else is completely unconstitutional and very illegal.
[00:27:31.022 --> 00:27:31.742]  Again, we've covered it.
[00:27:32.263 --> 00:27:40.167]  What organization or enforcement arm has the authority to arrest the Supreme Court justices responsible for this illegal activity?
[00:27:41.348 --> 00:27:42.768]  Congress can defund them.
[00:27:43.949 --> 00:27:47.090]  Congress, it's not really a separation of powers the way we've been taught.
[00:27:47.190 --> 00:27:51.411]  Congress is dominant, then there's the courts, then there's the executive.
[00:27:51.891 --> 00:27:57.152]  So there's a separation of powers, but because Congress is 500 plus people, it's got the real power.
[00:27:57.172 --> 00:28:06.035]  And that's why the globalists have sold it out and gotten it to be weakened and transferred into nine justices they can control and one president and then a bureaucracy.
[00:28:07.353 --> 00:28:12.137]  But it's up to the states to nullify and not follow and fight.
[00:28:12.157 --> 00:28:13.359]  It's up to us individually.
[00:28:13.379 --> 00:28:18.283]  Because it's not like they're trying to give free health care to people that others pay for.
[00:28:18.664 --> 00:28:22.988]  These are eugenicist tyrants that are now using this to control people.
[00:28:23.549 --> 00:28:25.671]  So that's the main issue with the health care takeover.
[00:28:27.881 --> 00:28:30.682]  The next one is from Thomas, and he says... And what's the bottom one?
[00:28:30.882 --> 00:28:32.463]  We'll do this page, we'll do the other half tomorrow.
[00:28:32.743 --> 00:28:33.543]  Oh, okay.
[00:28:33.604 --> 00:28:34.844]  We'll do 24, that's just about half.
[00:28:35.424 --> 00:28:37.285]  Yeah, we'll finish this page.
[00:28:38.005 --> 00:28:40.527]  I said I'd do 50, but my goodness gracious.
[00:28:40.547 --> 00:28:41.707]  Hey, I'm moving quick, though.
[00:28:41.727 --> 00:28:42.467]  I'm very impressed.
[00:28:42.527 --> 00:28:44.068]  I feel like I'm being interrogated, though.
[00:28:44.488 --> 00:28:45.069]  Where's the light?
[00:28:45.109 --> 00:28:45.669]  Right over your head.
[00:28:46.489 --> 00:28:51.751]  If you don't, this is from Thomas, and he says, if you don't know your history, you're doomed to repeat it, which I think is valid.
[00:28:52.111 --> 00:28:58.413]  My question is, you started talking about Vietnam, Yugoslavian wars, etc., and what was the real cause, I was wondering?
[00:28:58.473 --> 00:29:04.916]  And I understood the breaking news about the New World Order every day, but I would love to hear a history lesson from your perspective.
[00:29:07.196 --> 00:29:10.078]  Well, it's not that the communists in Vietnam were good guys.
[00:29:10.619 --> 00:29:13.321]  Ho Chi Minh came to the CIA and the U.S.
[00:29:13.361 --> 00:29:16.724]  government said, I want to set up a system with you, a free system.
[00:29:17.364 --> 00:29:21.828]  And they said, no, we're going to have the corrupt narcotics traffickers in the South still run things.
[00:29:21.848 --> 00:29:22.569]  We're going to prop up.
[00:29:23.407 --> 00:29:25.948]  You know, the Indochina French model.
[00:29:27.168 --> 00:29:28.849]  And so they turned against us.
[00:29:29.149 --> 00:29:35.192]  And CIA staged bombings to blame the North to get the war going and put advisors in in 1960, early 59, and the rest is history.
[00:29:39.153 --> 00:29:45.998]  But does it mean, you know, the Chinese then backing the Northern Vietnamese, that doesn't mean they're good.
[00:29:46.038 --> 00:29:49.380]  It's like, just because our government's corrupt doesn't mean Iran's good.
[00:29:49.400 --> 00:29:51.202]  It's like corruption across the board.
[00:29:52.142 --> 00:29:55.385]  As for Yugoslavia, I mean, you have Tito, who was a balancing force.
[00:29:55.425 --> 00:29:56.826]  They get rid of him, they break it up.
[00:29:57.466 --> 00:30:00.268]  They engage in the bombing of Belgrade with the depleted uranium.
[00:30:00.308 --> 00:30:05.451]  I mean, it's all just about destroying nation states that the bankers don't control.
[00:30:05.912 --> 00:30:12.016]  And as bad as Assad is in Syria or Gaddafi was in Libya, they're putting something far worse in.
[00:30:12.036 --> 00:30:20.321]  So when you hear about, oh, freedom fighters are trying to protest, it's al-Qaeda blowing up police stations and lining up black people in Libya and shooting them.
[00:30:20.882 --> 00:30:23.443]  And the media is like, oh, this guy might have said a word.
[00:30:23.463 --> 00:30:24.484]  We better fire him.
[00:30:24.744 --> 00:30:26.325]  But, oh, you're lining up blacks and shooting them?
[00:30:26.345 --> 00:30:27.046]  Well, that's nice.
[00:30:28.867 --> 00:30:30.728]  Bill Gates has a shot for the little black child.
[00:30:31.468 --> 00:30:33.529]  George Bush is hugging one of the child's crying.
[00:30:33.549 --> 00:30:36.711]  You know it's all just an AFRICOM invasion PR.
[00:30:36.731 --> 00:30:50.659]  Yeah they've done actually studies where the government has proven that you know they had this skepticism of advertising working and I studied a case study in college on it and it was basically they they went in with the idea that it doesn't work but obviously they know it works and
[00:30:51.411 --> 00:30:52.352]  I don't know.
[00:31:07.714 --> 00:31:09.975]  I mean, people will be like, my God, Alex, this is ridiculous.
[00:31:09.995 --> 00:31:12.616]  But then it's George Bush and the photos everywhere.
[00:31:12.636 --> 00:31:16.978]  Meanwhile, AFRICOM is running and just slaughtering everybody, arming the dictators.
[00:31:17.799 --> 00:31:23.421]  And they're doing it in North Africa and South Africa, thousands of miles from Kony, who hadn't been seen in five years.
[00:31:24.322 --> 00:31:25.903]  And they admit, oh, yeah, it's transparent.
[00:31:26.003 --> 00:31:28.584]  I mean, it's just like... Right.
[00:31:28.724 --> 00:31:36.728]  I mean, the UN is in Africa, in Uganda, where they're talking about Kony, on record lining up people and killing whole villages to take their property.
[00:31:37.731 --> 00:31:40.593]  And you go tell a trendy, they're like, look, dude, I got tattoos.
[00:31:40.754 --> 00:31:41.414]  I got all this.
[00:31:41.434 --> 00:31:42.635]  I'm like, OK, I don't care if you got tattoos.
[00:31:42.655 --> 00:31:44.116]  I'm not against those.
[00:31:44.176 --> 00:31:44.937]  I'm dressed trendy.
[00:31:45.938 --> 00:31:47.319]  Don't tell me he's not cool.
[00:31:47.339 --> 00:31:48.720]  And I'm like, but it's slaughtering people.
[00:31:48.740 --> 00:31:51.523]  They go, dude, your hair does not look like mine.
[00:31:52.563 --> 00:31:55.326]  And I'm just like, OK, I understand you're super trendy and everything.
[00:31:55.366 --> 00:31:57.107]  But, you know, I mean, come on.
[00:31:57.568 --> 00:32:01.051]  It's just like they're like, look, I choose to believe we're helping Africa.
[00:32:01.071 --> 00:32:01.751]  And I'm just like, OK.
[00:32:02.872 --> 00:32:03.833]  Like, be quiet, racist.
[00:32:04.614 --> 00:32:04.954]  Yeah.
[00:32:05.595 --> 00:32:07.175]  And she's like, OK, all right.
[00:32:07.215 --> 00:32:10.397]  I mean, it's buying into the delusion.
[00:32:10.437 --> 00:32:11.478]  It's like, I'm a winner.
[00:32:11.498 --> 00:32:13.258]  I buy into the propaganda.
[00:32:13.699 --> 00:32:16.160]  The next question comes to you from Husband and Dad.
[00:32:16.180 --> 00:32:17.040]  That's the username.
[00:32:17.921 --> 00:32:22.263]  Alex, you present yourself extremely well as a benchmark of civil disobedience.
[00:32:22.623 --> 00:32:28.306]  And there is a large number, there are a large number of activists that would do better if they were just a bit more civil.
[00:32:28.706 --> 00:32:31.908]  So could you, in your own words, define civil disobedience?
[00:32:34.841 --> 00:32:43.509]  Well, I don't think I'm the benchmark of anything really, but maybe alternative media success, but that's just because a lot of people aren't trying.
[00:32:46.532 --> 00:32:50.996]  Civil disobedience just means you're not Molov cocktailing the police station.
[00:32:52.237 --> 00:33:00.224]  Instead, you're saying no to things that are clearly wrong and kind of peacefully sabotaging the system and putting yourself against the machinery.
[00:33:01.940 --> 00:33:02.521]  Very succinct.
[00:33:02.541 --> 00:33:03.201]  I like that.
[00:33:04.342 --> 00:33:09.887]  Charles asks you, he says, Alex, my question is, can we abolish the Fed without the government's help?
[00:33:10.348 --> 00:33:11.188]  Or is it impossible?
[00:33:12.369 --> 00:33:15.953]  Yes, just like people are abolishing GMO foods by demanding organic.
[00:33:16.553 --> 00:33:19.216]  And none of it's perfect, but there's a process there, voting with dollars.
[00:33:19.236 --> 00:33:25.581]  That's why they want to get a tyranny in, because they're scared if we just vote with our dollars and our actions and the little things we do, it's over for them.
[00:33:25.641 --> 00:33:26.202]  It's game over.
[00:33:26.442 --> 00:33:26.783]  Absolutely.
[00:33:30.672 --> 00:33:37.340]  Yes, if everybody started doing more barter, that's why they're attacking all these little farms and Amish and these community co-ops, things that really scares them.
[00:33:38.461 --> 00:33:40.644]  Getting back to old-fashioned activities in any way.
[00:33:42.642 --> 00:33:44.762]  Women, men, learning how to make their own clothes.
[00:33:45.183 --> 00:33:46.743]  That's one of the biggest things that scares the system.
[00:33:46.763 --> 00:33:49.583]  I say that because you said your mom made that nice coat you got.
[00:33:49.963 --> 00:33:52.604]  Jacket, sports jacket, whatever you call it.
[00:33:53.244 --> 00:33:54.604]  I mean, they're really scared of that.
[00:33:54.664 --> 00:33:57.605]  Just the idea of little things cuts into their monopoly.
[00:33:58.965 --> 00:34:02.946]  Picture the New World Order as this giant box store that basically resorbs you or absorbs you.
[00:34:04.226 --> 00:34:05.266]  So, what was the question?
[00:34:05.986 --> 00:34:09.287]  It was just, you know, how to be civil, disobedient.
[00:34:09.607 --> 00:34:10.067]  Yeah, that's it.
[00:34:11.152 --> 00:34:12.092]  Oh no, that was the last question.
[00:34:12.173 --> 00:34:13.093]  I'm so sorry.
[00:34:13.373 --> 00:34:16.374]  Destroying the Fed without intervention from the government.
[00:34:16.394 --> 00:34:17.455]  You just criticize it.
[00:34:17.475 --> 00:34:18.936]  You expose it as a private fraud.
[00:34:18.976 --> 00:34:20.596]  That it's the biggest welfare recipient.
[00:34:21.036 --> 00:34:22.797]  That it's taken over our country and the world.
[00:34:22.817 --> 00:34:24.338]  That they brag they've conquered us.
[00:34:24.358 --> 00:34:25.518]  Look how arrogant they are.
[00:34:26.239 --> 00:34:28.560]  And using local alternative currencies.
[00:34:29.300 --> 00:34:31.901]  They've got all sorts of them all over the country, all over the world.
[00:34:32.442 --> 00:34:33.582]  And just realizing they're the enemy.
[00:34:33.602 --> 00:34:35.703]  You know, Obama comes.
[00:34:36.904 --> 00:34:38.024]  Politicians come and go.
[00:34:38.064 --> 00:34:39.945]  But still the big fat bankers are sitting there.
[00:34:41.235 --> 00:34:41.655]  I like that.
[00:34:41.915 --> 00:34:42.295]  Barter.
[00:34:42.436 --> 00:34:45.397]  Well, the Civil Rights Movement was a huge part of that.
[00:34:45.437 --> 00:34:47.398]  They withdrew from riding the buses.
[00:34:47.978 --> 00:34:49.498]  And then they started... Well, exactly.
[00:34:49.658 --> 00:34:52.980]  And also supporting local businesses.
[00:34:53.020 --> 00:34:54.921]  And it doesn't mean you're a purist, because you can't be.
[00:34:54.941 --> 00:34:57.762]  I mean, you can't buy a locally made...
[00:35:00.358 --> 00:35:01.659]  Electro voice microphone.
[00:35:01.860 --> 00:35:03.462]  I think that's made in Germany or Japan.
[00:35:03.482 --> 00:35:04.543]  I mean, this is made in Germany.
[00:35:05.905 --> 00:35:07.206]  And nothing against the Germans.
[00:35:07.226 --> 00:35:08.308]  This is actually a quality product.
[00:35:08.328 --> 00:35:11.532]  We actually hire some workers that actually, you know, get something out of it, which is good.
[00:35:11.572 --> 00:35:12.553]  They put back in the economy.
[00:35:13.814 --> 00:35:16.478]  But buying local really does do something.
[00:35:18.272 --> 00:35:28.902]  If fractional reserve banking would be replaced by another system, what would it be replaced with?
[00:35:29.182 --> 00:35:31.625]  For example, an interest-free monetary system?
[00:35:31.645 --> 00:35:32.906]  Would that work in practice?
[00:35:34.215 --> 00:35:35.236]  We debated that.
[00:35:35.316 --> 00:35:37.437]  It could be interest-free from state banks.
[00:35:37.457 --> 00:35:39.778]  I don't know about a federal bank, because that can always get taken over.
[00:35:39.798 --> 00:35:43.220]  But if you had state banks, they've had some big successes with that.
[00:35:43.240 --> 00:35:54.845]  And that's what we talked about in the first question, or one of the first, was this issue where people go, well, you've got Tarpley on, who's for an interest-free system, but by a big federal bank, the Hamiltonian model.
[00:35:55.066 --> 00:36:00.468]  And then you've got Ron Paul on over here, who is talking about gold or silver back.
[00:36:02.069 --> 00:36:03.971]  Any of these systems can be manipulated and gamed.
[00:36:04.331 --> 00:36:10.796]  It's mainly about a debate and monetary, people being informed monetarily, so the system, because they can corrupt any system.
[00:36:11.196 --> 00:36:14.959]  But if the people are informed about monetary systems, that gives a leg up against it.
[00:36:16.263 --> 00:36:19.966]  Knowledge is where you start, and then it's action from there that's leading to.
[00:36:20.886 --> 00:36:30.913]  Warwick asks, Alex, mainstream media is now openly reporting horrific things such as the idea of afterbirth abortion, thousands of elderly people being intentionally killed.
[00:36:32.154 --> 00:36:33.495]  Is this mainstream news?
[00:36:35.677 --> 00:36:38.298]  Ultimately, he's asking, is this showing that we're winning?
[00:36:38.438 --> 00:36:42.862]  Like, they're actually reporting on something that we find to be true?
[00:36:42.882 --> 00:36:44.623]  Or are they just kind of throwing us a bone?
[00:36:45.905 --> 00:36:50.528]  I used to think that all this stuff coming out was victories.
[00:36:51.049 --> 00:36:53.250]  And it's a mixed bag.
[00:36:53.270 --> 00:36:56.332]  Sometimes a reporter gets it through, an editor says it's the right thing to do.
[00:36:56.913 --> 00:37:03.577]  And I think, I don't think, I know in the last decade, that last five or six years, that really started where people went out and did real reporting.
[00:37:04.017 --> 00:37:10.342]  Their boss backed them, because maybe the newspaper editors knew World Order, but now their kid's autistic, they figure out this is important.
[00:37:10.962 --> 00:37:11.743]  They allow it out.
[00:37:11.843 --> 00:37:14.385]  So more and more people started getting the truth out.
[00:37:14.745 --> 00:37:17.747]  So the system kind of just went, OK, yeah, we're going to kill all people.
[00:37:17.767 --> 00:37:18.348]  What's the big deal?
[00:37:18.368 --> 00:37:20.409]  Yeah, we're going to kill kids up to age three if we want.
[00:37:21.030 --> 00:37:25.894]  So it's people telling the truth and hitting the barbed wire to get the truth out.
[00:37:25.914 --> 00:37:28.256]  That is a victory.
[00:37:28.276 --> 00:37:29.797]  But there's also a lot of just acclimating.
[00:37:30.738 --> 00:37:31.959]  Oh, you want the truth to come out?
[00:37:31.999 --> 00:37:32.239]  Yeah.
[00:37:32.399 --> 00:37:33.240]  Open the floodgates.
[00:37:33.300 --> 00:37:35.962]  And suddenly in hundreds of papers, we're run by foreign banks.
[00:37:36.102 --> 00:37:36.983]  We're your slaves.
[00:37:37.363 --> 00:37:38.764]  You've been conquered by world government.
[00:37:38.784 --> 00:37:39.805]  There's nothing you can do about it.
[00:37:40.751 --> 00:37:46.096]  So see, it's kind of like the system's gone from denying all this because they realized people weren't listening to them.
[00:37:46.116 --> 00:37:49.458]  It was discrediting them, denying things.
[00:37:49.819 --> 00:37:52.421]  So they've kind of just gone to a now open the floodgates.
[00:37:52.681 --> 00:37:54.222]  Oh, you think there's some tyranny?
[00:37:54.262 --> 00:37:56.264]  Yeah, this is what you didn't know was going on.
[00:37:56.304 --> 00:37:57.225]  What you gonna do about that?
[00:37:58.366 --> 00:38:00.628]  You're like, oh my God, there's hell itself right there.
[00:38:00.648 --> 00:38:01.569]  And they're like, yeah.
[00:38:02.469 --> 00:38:04.371]  So it's a lot of things.
[00:38:04.951 --> 00:38:07.313]  And also their agenda now is moving into light speed.
[00:38:07.694 --> 00:38:09.035]  So they can't hide it anymore.
[00:38:09.448 --> 00:38:12.248]  You know, they also do this in a monotone voice, if you notice.
[00:38:12.268 --> 00:38:15.229]  Yeah, they don't want you being emotional.
[00:38:15.949 --> 00:38:20.450]  I was never successful on purpose, whereas I wasn't angry.
[00:38:20.590 --> 00:38:22.570]  They're always like, don't get upset in politics.
[00:38:22.970 --> 00:38:23.930]  Be calm.
[00:38:23.970 --> 00:38:25.351]  That's how you get through to people.
[00:38:25.771 --> 00:38:26.331]  Bullcrap.
[00:38:26.911 --> 00:38:36.473]  When everybody is in a drone, mesmerized state, they need to be awakened by it, by having their survival mechanisms in their mind activated.
[00:38:36.733 --> 00:38:38.553]  And I'm a guy hopping around like a dog barking.
[00:38:39.053 --> 00:38:48.577]  I mean, it'd be like if robbers were breaking into your house, you get up and they're crowbarring up in your garage or whatever, your car, and you look at the German Shepherd and you go, shut up, I can't believe you were barking.
[00:38:48.938 --> 00:38:51.059]  That is so extreme of you to be barking at them.
[00:38:51.459 --> 00:38:54.740]  You know, we get upset and motivated for a reason.
[00:38:55.180 --> 00:38:57.562]  So I'm kind of like, rrr, rrr, rrr, rrr.
