[00:00:21.573 --> 00:00:27.016]  Welcome to the Monday, January 30th, 2012 edition of the InfoWars Nightly News.
[00:28:58.425 --> 00:29:02.969]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:29:03.950 --> 00:29:06.472]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:29:06.652 --> 00:29:13.458]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:29:18.114 --> 00:29:19.435]  Please don't kill her.
[00:29:37.461 --> 00:29:38.081]  Welcome back.
[00:29:38.261 --> 00:29:45.383]  It is Monday, January 30th, 2012, and I'm doing the interview section of InfoWars Nightly News tonight.
[00:29:45.403 --> 00:29:50.484]  I want to thank Aaron Dykes for the great job he did preceding me here this evening.
[00:29:51.045 --> 00:29:56.486]  And continuing with financial news, and we're going to our financial news expert, Nomi Prins.
[00:29:56.886 --> 00:29:58.006]  Here's the New York Post.
[00:29:58.026 --> 00:29:59.707]  The Associated Press is also reporting this.
[00:30:00.227 --> 00:30:03.268]  MF Global client money feared gone.
[00:30:03.888 --> 00:30:06.290]  We've been hearing for two months that, well, they're going to find it.
[00:30:06.310 --> 00:30:07.711]  Of course, we know where it went.
[00:30:07.931 --> 00:30:08.251]  J.P.
[00:30:08.271 --> 00:30:10.212]  Morgan and others over in London.
[00:30:10.733 --> 00:30:11.153]  But now...
[00:30:12.327 --> 00:30:15.728]  After stringing folks along, they're saying, well, now it's just feared gone.
[00:30:16.208 --> 00:30:25.132]  Of course, Corzine, a month ago, got caught lying in Congress, saying that he didn't know where the money went and didn't give the order.
[00:30:25.172 --> 00:30:29.914]  And then the head of the Chicago Mercantile Exchange came out and said, no, we were in conversations that day.
[00:30:30.394 --> 00:30:31.114]  He gave the order.
[00:30:31.854 --> 00:30:35.836]  Also, pundits fear perfect storm despite official optimism.
[00:30:36.496 --> 00:30:40.518]  Official optimism may have spun this whole thing in Europe and here in the U.S.
[00:30:41.138 --> 00:30:41.358]  that
[00:30:42.390 --> 00:30:50.980]  We have to have austerity because we're in debt, but then the elephant in the room is the majority of this money is our government's propping up the derivatives.
[00:30:51.020 --> 00:30:52.142]  That's why we're in debt.
[00:30:53.023 --> 00:30:54.004]  I mean, this is incredible.
[00:30:55.871 --> 00:30:57.892]  And we have a photo that I'm going to show to our guests.
[00:30:57.912 --> 00:30:58.833]  We'll put it up there now.
[00:30:59.233 --> 00:31:05.798]  This came out on different news wires a few days ago and got pulled, but not before we saved it.
[00:31:06.198 --> 00:31:11.501]  And that's a shot from one of the Davos Switzerland conference meetings they were having.
[00:31:11.782 --> 00:31:16.144]  Notice it says, Global Governance Failure in the background.
[00:31:16.164 --> 00:31:19.006]  And they were discussing how their system isn't working.
[00:31:19.046 --> 00:31:21.888]  The answer is giving the kleptocrats even more power.
[00:31:22.368 --> 00:31:24.110]  The Associated Press reports Euro
[00:31:25.230 --> 00:31:36.499]  Rich, poor gap, provide key issues at Davos, while the very perpetrators talk about giving themselves a hundred trillion more of our money to fix things, then they'll help the poor.
[00:31:36.879 --> 00:31:37.600]  Just amazing.
[00:31:38.420 --> 00:31:43.904]  Financial Times of London's reporting, Greek fury at plan for EU budget control.
[00:31:44.224 --> 00:31:45.665]  So the rumors are all true now.
[00:31:45.766 --> 00:31:52.671]  Germany and others have said, we'll send tax enforcers in to impose the VAT, the rest of it, to pay Greece's debt.
[00:31:53.171 --> 00:31:57.314]  Which was a bunch of Goldman Sachs, JP Morgan people that signed them on to it.
[00:31:57.354 --> 00:32:02.358]  Just, again, off the charts financial espionage against these countries.
[00:32:02.799 --> 00:32:03.820]  And here's Sky Television.
[00:32:04.100 --> 00:32:06.462]  Sarkozy announces sales tax rise.
[00:32:06.782 --> 00:32:08.363]  So just taxes everywhere globally.
[00:32:09.384 --> 00:32:15.528]  Cutting the services, raising the taxes to pay the lion's share of it to the very banksters that have implemented this crisis.
[00:32:15.588 --> 00:32:17.829]  And talk about an insider whistleblower.
[00:32:18.310 --> 00:32:22.793]  I guess for close to a decade she's been out there exposing them, writing best-selling books.
[00:32:24.867 --> 00:32:25.988]  She is Nomi Prins.
[00:32:26.709 --> 00:32:34.675]  Before becoming a journalist, Nomi worked on Wall Street as a managing director at Goldman Sachs and ran the international analytics group of Bear Stearns in London.
[00:32:35.135 --> 00:32:40.300]  She is also a senior fellow at Demos based in Los Angeles.
[00:32:40.940 --> 00:32:44.303]  And we'll have her website up on screen for viewers out there.
[00:32:44.323 --> 00:32:46.665]  You certainly want to visit it.
[00:32:47.166 --> 00:32:52.250]  And she has a new novel out that ties into what's happening in reality as well.
[00:32:52.270 --> 00:32:54.472]  So she'll tell us about that before she leaves us.
[00:32:54.773 --> 00:32:56.815]  Hey, thank you for coming on with us today, Naomi.
[00:32:57.455 --> 00:32:58.296]  Thanks a lot, Alex.
[00:32:58.736 --> 00:33:00.878]  Well, you heard me rattle through all of that.
[00:33:02.219 --> 00:33:03.501]  What's the latest in the world?
[00:33:03.881 --> 00:33:04.922]  What do you think is most important?
[00:33:06.158 --> 00:33:08.378]  Well, it's all connected.
[00:33:08.398 --> 00:33:34.404]  I think at this point, the connectivity between all the things you talked about, the fact that a global betting organization like MF Global can make bets relative to Europe, and when they go sour and are going sour, can basically take their customers' secured funds to use them to prop up their bets, and then when it all falls apart, can sit in front of Congress as John Corzine, former head of MF Global, did.
[00:33:34.844 --> 00:33:35.184]  I think?
[00:33:52.014 --> 00:34:12.804]  and bailout not the countries but the banks within the countries who own the government debt of the countries and if they've got bailout money they can prop up the government debt that was created to subsidize them to begin with and then they can go about their merry way leaving the countries themselves and those local economies in tatters.
[00:34:13.364 --> 00:34:16.166]  Now you go on to Greece and people in the streets.
[00:34:16.226 --> 00:34:16.506]  Well
[00:34:16.946 --> 00:34:21.088]  In Greece we've had, well they've had, four rounds of austerity measures.
[00:34:21.108 --> 00:34:38.357]  And this doesn't get talked about a lot in, well almost at all, in the mainstream news, but people have had jobs cut, they have had their hours cut, they have had their pay per hour cut, they've had taxes increased on properties they can't afford.
[00:34:38.617 --> 00:34:44.420]  They've already had a lot of austerity, none of which has clearly helped the local economy because it is not their fault.
[00:34:45.200 --> 00:34:45.840]  I don't know.
[00:35:06.721 --> 00:35:06.861]  Yes.
[00:35:21.872 --> 00:35:25.995]  Trillions of dollars as we've talked about before in subsidies to the banking system.
[00:35:26.275 --> 00:35:35.280]  The banks in return are holding as we've also talked about 1.6 trillion dollars of reserves or the money they got back at the Fed for which they're getting interest.
[00:35:35.860 --> 00:35:43.465]  The ECB just did the same trick with the push of Treasury Secretary Tim Geithner who was instrumental in the bank bailout here.
[00:35:44.105 --> 00:35:49.896]  Whereby they extended loans at the end of last year in December to the banks in Europe.
[00:35:50.377 --> 00:35:53.262]  The banks in Europe took these loans, cheap loans at 1% interest.
[00:35:54.423 --> 00:35:56.324]  And put the money back to the ECB.
[00:35:56.404 --> 00:35:59.405]  So now there's $600 billion worth of loans at the ECB.
[00:35:59.445 --> 00:36:23.175]  So in total, and I'll stop here, and we'll go on to the next question, there are $2.5 trillion worth of money that the banking system, these are the banks that get these loans, have put back onto the books of the Fed and the European Central Bank, doing absolutely nothing to help the populations either in the United States or in Europe
[00:36:23.914 --> 00:36:28.371]  That are at their expense, this has all been happening.
[00:36:30.080 --> 00:36:37.701]  Well, looking at an example of this here in the United States, we're seeing what they call financial martial law in Michigan.
[00:36:37.721 --> 00:36:39.802]  That's what the governor and others, as you know, have called it.
[00:36:40.242 --> 00:36:57.325]  Where they're coming into cities and saying, you don't get to vote, and we're disbanding your city council, and we're going to hire a corporate company to manage everything and raise rates on people, even though the money has been stolen out the back door, even though global offshoring has destroyed the city.
[00:36:58.960 --> 00:37:08.624]  And then I saw another example of one of the biggest towns in Rhode Island, where, in their own words, democracy has been suspended.
[00:37:08.884 --> 00:37:10.244]  They're getting rid of the city council.
[00:37:10.625 --> 00:37:13.025]  A private corporation is now taking control of the town.
[00:37:13.446 --> 00:37:15.847]  This is what we see with all these other states.
[00:37:16.347 --> 00:37:20.508]  We're now hearing that, not just counties and cities, but states going bankrupt.
[00:37:20.908 --> 00:37:24.810]  We're now hearing about hundreds of Greek islands that are owned by the people.
[00:37:24.870 --> 00:37:26.871]  They're national parks that are also very valuable.
[00:37:27.671 --> 00:37:41.598]  Being sold, and in some cases transferred as collateral, the London Guardian reported, to hedge fund managers who sold them the garbage to begin with, and made money on the upside of the bubble, and then on the downside they get the islands.
[00:37:42.198 --> 00:37:43.519]  I mean, it's just incredible.
[00:37:43.559 --> 00:37:49.462]  This is like we're a bank robber, the cops show up and give them an award and say, we're going to make you the head of bank security.
[00:37:49.482 --> 00:37:53.064]  They take the lack of knowledge the public has about finance,
[00:37:53.684 --> 00:37:58.646]  And they use the corporate bought-and-paid-for media, in some cases, that's gotten government bailout money.
[00:37:59.647 --> 00:38:04.389]  And it is just an absolute criminal's paradise.
[00:38:04.409 --> 00:38:08.171]  I mean, you wrote about this six, seven, eight years ago in 2004.
[00:38:08.951 --> 00:38:11.112]  Other people's money, the corporate mugging of America.
[00:38:12.751 --> 00:38:14.332]  I mean, how bad is this going to get?
[00:38:14.432 --> 00:38:16.913]  I'm basically in my long-winded question and statement.
[00:38:17.713 --> 00:38:28.597]  This austerity that we've seen in the third world, now in Europe, it's now coming here, and we see along with it the internet censorship, the NDAA, everything that goes with it, it's classical tyranny.
[00:38:29.537 --> 00:38:33.838]  Yeah, and again, it's all connected, as you just pointed out.
[00:38:34.518 --> 00:38:56.284]  What's happening in the small towns in the United States, what's happening in the Greek islands, what's happening in Milan, in Italy, they have a lawsuit against Goldman Sachs, Merrill Lynch, which is now Bank of America, JP Morgan and a number of others for basically selling the town a bunch of bad bonds a number of years ago that the town had to borrow money or chose to borrow money from the same banks
[00:38:56.564 --> 00:39:03.352]  To buy, and now they're stuck with collateral that's worthless, having to pay back these loans, and going bankrupt themselves.
[00:39:03.392 --> 00:39:07.196]  And this has repeated in city after city across the United States and across Europe.
[00:39:07.497 --> 00:39:15.045]  And that's the reason that there isn't enough money in local budgets or in state budgets or in national budgets to run
[00:39:15.666 --> 00:39:16.366]  An economy.
[00:39:16.706 --> 00:39:18.767]  Because all of the money has been drained out.
[00:39:18.867 --> 00:39:19.867]  That was in step one.
[00:39:19.907 --> 00:39:33.670]  In step two, in order to repay the money that has, to repay the loans that were made against money that has now been drained out, these same banks and hedge funds and private equity funds and venture capital firms are looking for collateral.
[00:39:33.690 --> 00:39:35.111]  The collateral is what's left.
[00:39:35.511 --> 00:39:36.031]  What's left?
[00:39:36.071 --> 00:39:37.191]  Yes, they're Greek islands.
[00:39:37.251 --> 00:39:38.512]  They're resort hotels.
[00:39:38.572 --> 00:39:43.853]  They're the electric company infrastructure in small towns in Spain.
[00:39:43.933 --> 00:39:44.333]  They are
[00:39:45.573 --> 00:39:52.537]  The wind power organizations and an organization in Norway.
[00:39:52.677 --> 00:40:01.361]  They are all of the pieces of infrastructure that make up an economy that are being used as collateral in the second phase of this whole pillage.
[00:40:02.894 --> 00:40:23.309]  One of the, for example, even the other night when all the protesters were again arrested outside of Oakland, I was looking up after that because it just made me so mad that we're arresting the wrong people all the time, that I looked up what the city of Oakland has done in the past and they lost a lot of money investing in securities that Goldman and others had
[00:40:23.869 --> 00:40:26.952]  Basically sold to them through a German company.
[00:40:27.713 --> 00:40:31.516]  So, you know, this is in Oakland, but they are losing money because of that.
[00:40:31.576 --> 00:40:35.340]  Protesters are protesting against this and they're the ones getting arrested.
[00:40:36.140 --> 00:40:48.152]  So it's really an increase in a problem because the worse it gets, the more the financial institutions want to get back the bets they've already made and the more they will go after real assets, real
[00:40:49.161 --> 00:40:51.908]  Real infrastructure, real towns.
[00:40:52.369 --> 00:40:54.875]  And this is the next phase of this problem.
[00:40:56.752 --> 00:41:00.675]  Well, I think about Austin, Texas, and they say it's about environmentalism.
[00:41:00.695 --> 00:41:01.556]  That's just a cover.
[00:41:01.576 --> 00:41:18.750]  But I remember five years ago reading about how our power prices would go way up because big multinationals were coming in using government inside regulators to shut down or curtail the city-owned, the county-owned, the co-op-owned power systems, including some that were hydroelectric.
[00:41:19.651 --> 00:41:20.612]  Shutting them down
[00:41:22.074 --> 00:41:22.855]  Yeah.
[00:41:36.954 --> 00:41:49.782]  But it wrecks the economy even further, and as you know, the IMF documents that got leaked in 2002 to BBC, they stated, oh, that's even better, because once the economy goes into cardiac arrest, we buy up even more.
[00:41:50.103 --> 00:41:53.905]  And then it goes into more cardiac arrest, so we can buy it for pennies on the dollar.
[00:41:54.145 --> 00:41:57.047]  And then it gets even worse, and then we buy it up even cheaper.
[00:41:57.367 --> 00:42:04.672]  I mean, this is a scorched earth policy, and you can't call it, I don't call it capitalism, it's worse than even crony capitalism.
[00:42:04.792 --> 00:42:05.132]  It is a
[00:42:06.681 --> 00:42:08.223]  It's a form of economic warfare.
[00:42:09.124 --> 00:42:16.013]  It's and downright stealing and what happens is the more that these countries are open and I believe that in
[00:42:17.808 --> 00:42:40.484]  Not too long from now, three to six months, a year, a lot of the Latin American countries that have had so many problems with debt in the past and had so many structural adjustment programs through the IMF and the World Bank and so forth, at the moment they appear, and they are in the research documents of a lot of banks right now, of Goldman, of JP Morgan, Bank of America, Deutsche Bank, as the remaining bastions of
[00:42:41.144 --> 00:42:41.484]  Thank you.
[00:42:57.074 --> 00:43:01.718]  No one was paying attention to them a few years ago on the ride up to this current depression that we're in.
[00:43:02.099 --> 00:43:04.601]  And so my fear is that that's going to be the next step.
[00:43:04.621 --> 00:43:08.324]  You're seeing some growth rates that are 6, 7, 8 percent in GDP.
[00:43:08.364 --> 00:43:09.946]  That's where the money's going to go.
[00:43:10.366 --> 00:43:11.567]  And we're just going to have yet another
[00:43:12.808 --> 00:43:17.512]  Massive fallout that's going to complement the fallout we've seen in the United States and that we're seeing in Europe.
[00:43:17.572 --> 00:43:19.014]  Because, yes, it spirals.
[00:43:19.034 --> 00:43:24.338]  The spiral keeps going around and around the world and taking over what is left of local infrastructure.
[00:43:24.358 --> 00:43:29.523]  And the minute a town or a state or a nationality can't have control
[00:43:30.123 --> 00:43:45.116]  Over its own resources and over its own infrastructure and it's really just on a sort of global roulette table of, you know, which bank representing which other bank representing which fund is going to get in there and buy it and restructure it.
[00:43:45.276 --> 00:43:48.059]  It's a downward spiral and that's what we're in now.
[00:43:48.079 --> 00:43:51.041]  We're in a quicker spiral now because there's just no juice in the tank.
[00:43:51.081 --> 00:43:52.482]  This is all being run on
[00:43:54.016 --> 00:43:57.137]  subsidized funding from the governments.
[00:43:57.217 --> 00:44:10.179]  And so not only has these issues of lending, seeing a country go down the tanks, going after their assets happened before, we've seen it before, but now it's being done with far more government subsidization.
[00:44:10.339 --> 00:44:15.420]  And so that just makes it a much more dangerous and a faster, quicker unraveling.
[00:44:16.680 --> 00:44:20.521]  We're showing a video on screen put out by the World Economic Forum
[00:44:22.915 --> 00:44:46.251]  Their official site where they talk about failure in global governance and how more global government's the answer and they always act like it's somebody else's mismanagement that's done this but it is these very groups that are managing things but they always seem to spin it when they're the public authors of all this as if giving them more power will fix it and the prestitute media will never call them on it.
[00:44:46.472 --> 00:44:47.973]  No, I mean we were talking right before we went
[00:44:48.873 --> 00:45:01.619]  On air here tonight about the fact that you were speaking at a conference today for the award-winning film Inside Job that's aired on HBO and you were discussing the fact that people just now are finally starting to get it.
[00:45:02.139 --> 00:45:03.140]  Can you speak to that?
[00:45:04.184 --> 00:45:11.946]  Yeah, I was at a panel over the weekend where Inside Job was aired and it's an Oscar-winning film by Charles Ferguson.
[00:45:12.086 --> 00:45:13.827]  It's an amazing way of connecting.
[00:45:13.867 --> 00:45:30.852]  It starts off in Iceland and it shows how a very solid and regulated town can basically become prey to international financial predators and then it sort of goes through ultimately how people are losing jobs in the United States from that and the housing crisis
[00:45:31.112 --> 00:45:54.118]  Prices and everything else in a very very clear way and what it does particularly well as it talks about the personal connections amongst people for example who run Columbia Business School or Harvard Business School with people like Larry Summers who became head over there at Harvard and was also the economic advisor of Obama when all of this bailout money and subsidization of the banking industry was on full steam.
[00:45:54.698 --> 00:45:56.619]  To Tim Geithner's relationships and to
[00:45:57.839 --> 00:46:10.627]  Even Christine Lagarde, who is the current IMF chief, and in the movie she actually comes off as being pro-people in a way, but now she's head of the IMF and is trying to extract austerity measures, which is interesting.
[00:46:10.667 --> 00:46:15.830]  I pointed that out after the film, of course, that the film had been made before she achieved that position.
[00:46:16.310 --> 00:46:19.292]  But it really just shows the interconnectivity of these people.
[00:46:20.152 --> 00:46:45.509]  Literally people walking away from the interviews with Charles Ferguson because they don't want to answer questions It shows such an angering lack of accountability and of course the big guys Tim Geithner Hank Paulson Larry Summers none of these guys even agreed to be interviewed so the people who were interviewed were sort of like the second Tier people and even they were getting angry with questions like well, don't you think you screwed up?
[00:46:45.549 --> 00:46:49.652]  But you don't don't you think that that what happened was wrong aren't you concerned that?
[00:46:50.353 --> 00:47:00.392]  Yeah, Columbia University is writing papers that talk about how great derivatives are when we know that Warren Buffett is saying that derivatives are weapons of mass destruction and getting these
[00:47:01.758 --> 00:47:13.629]  Non-answers from people and I just, you know, the audience there that night was just wringing their fingers and like, you know, scratching their heads and saying, we didn't even know this was going on, like, how can that be?
[00:47:13.649 --> 00:47:20.155]  And I said afterwards, and I hate to tell you, but it's gotten worse since that film came out, which was only a year and a half ago.
[00:47:20.875 --> 00:47:23.718]  Since it came out, derivatives, for example, are 20% more in the world
[00:47:25.499 --> 00:47:27.461]  Um, than they were a year and a half ago.
[00:47:27.981 --> 00:47:28.581]  20% more.
[00:47:28.621 --> 00:47:30.222]  That's, that's not just 20%.
[00:47:30.623 --> 00:47:35.606]  That is over a hundred trillion dollars more of derivative exposure.
[00:47:35.986 --> 00:47:41.990]  The top four banks in this country control 95% of the derivative exposure of this country, up 20%.
[00:47:42.030 --> 00:47:43.211]  So nothing has changed.
[00:47:43.251 --> 00:47:44.152]  It's only gotten worse.
[00:47:44.212 --> 00:47:47.414]  And people in the audience were just literally like, we had no idea.
[00:47:47.614 --> 00:47:50.456]  There were reporters in there that didn't even know the 20% number.
[00:47:50.496 --> 00:47:51.557]  They were like, you're kidding me.
[00:47:51.597 --> 00:47:54.819]  Like, like we just heard Obama say that all this stuff is contained.
[00:47:55.579 --> 00:47:58.081]  And I said, well, you know, for what that's worth.
[00:47:59.982 --> 00:48:10.368]  Let me ask you this question, Nomi, and people can find out more on your website, nomiprince.com, about all your books and the research and the whistleblowing that you've done from the inside in the last decade or so.
[00:48:10.728 --> 00:48:15.751]  You saw this coming a long, long way away, and I want to briefly talk about what woke you up.
[00:48:16.351 --> 00:48:19.533]  But I have noticed a different tone from the Davos crowd.
[00:48:19.553 --> 00:48:23.535]  I mean, last year, they're like, we need a hundred trillion more to save you.
[00:48:24.055 --> 00:48:26.757]  This year, they're saying failure of global governance.
[00:48:26.797 --> 00:48:31.039]  George Soros is saying this is the most dangerous time in the world he's ever seen.
[00:48:31.399 --> 00:48:32.280]  Catastrophe.
[00:48:34.601 --> 00:48:36.423]  They seem really freaked out now.
[00:48:36.483 --> 00:48:40.447]  So they're starting to get the fact that the world is awakening to them.
[00:48:40.487 --> 00:48:43.510]  Hillary Clinton has said they're losing the info war.
[00:48:43.570 --> 00:48:44.410]  The public's awake.
[00:48:44.450 --> 00:48:46.172]  Zbigniew Brzezinski said the same thing.
[00:48:46.192 --> 00:48:50.876]  I mean, I'm not hyping it when I say I talk to the public.
[00:48:50.916 --> 00:48:53.699]  I do a lot of radio interviews myself, TV and stuff.
[00:48:54.119 --> 00:48:55.360]  I've never seen
[00:48:56.041 --> 00:48:57.783]  People waking up like they are now.
[00:48:57.883 --> 00:49:01.047]  So what do you think we'll see a year from now at the next Davos?
[00:49:01.087 --> 00:49:03.170]  How is the world going to change now?
[00:49:03.730 --> 00:49:07.315]  And how do you see the establishment trying to curtail this awakening?
[00:49:07.355 --> 00:49:14.544]  Because I see it as them hitting the tap out button or the panic switch when they start admitting they want internet censorship.
[00:49:15.509 --> 00:49:17.250]  Yeah, well that's very scary.
[00:49:17.350 --> 00:49:22.872]  It's internet, it's Twitter, that becomes a much scarier way of suppressing information.
[00:49:22.892 --> 00:49:29.814]  I think a year from now, I think leading up to a year from now, I think we're going to see more of what we have been seeing all along but increasing so in Greece.
[00:49:29.854 --> 00:49:31.215]  I think we're going to see more people
[00:49:32.135 --> 00:49:36.876]  Vocally and physically in streets and sharing information with each other.
[00:49:36.896 --> 00:49:44.898]  You know, one thing I said the other night when someone in the audience said, well, okay, this is all great in theory, you know, you're saying we shouldn't have derivatives, we should have this, we should have that, but what do we really do?
[00:49:44.958 --> 00:49:47.699]  And I'm like, well, what you can do is what some people are doing.
[00:49:47.719 --> 00:49:51.440]  First of all, you can be here, and second of all, you can tell people what you're hearing.
[00:49:51.480 --> 00:50:00.062]  You can listen to sources of information, you can choose what sources you wish to agree with or that you believe or that you're connected to, but you have to, it's kind of a comment about
[00:50:01.042 --> 00:50:10.869]  On all of the world's population to continue to spread the message out, and I think with the Internet, while we still have it, it's a way to get that information out quickly.
[00:50:10.909 --> 00:50:23.337]  Look, it's technology that has increased this degradation of the world economy because it's made trading and derivatives and flowing capital throughout the world so much quicker than ever before, and it will continue to be even more quicker.
[00:50:23.957 --> 00:50:29.121]  The banks themselves that really own the exchanges and own the technology platforms for trading.
[00:50:29.161 --> 00:50:34.405]  So all of that has manifested in a faster devolution of the global economy.
[00:50:34.645 --> 00:50:37.648]  And I think we need to be equally vigilant of that.
[00:50:37.748 --> 00:50:38.889]  And I think people are.
[00:50:39.149 --> 00:50:42.111]  The more people that know, the more people will know.
[00:50:42.191 --> 00:50:44.093]  And I think that we can accelerate that.
[00:50:44.533 --> 00:50:46.555]  You know, you've been talking about it for years.
[00:50:47.395 --> 00:50:52.900]  When I wrote other people's money and said that credit derivatives, which at the time were like, you know, half a
[00:50:53.280 --> 00:50:59.883]  Trillion dollar market and now they're a 16 trillion dollar market, part of the larger 700 trillion total derivatives market.
[00:51:00.243 --> 00:51:01.824]  So these things are going to be a problem.
[00:51:01.844 --> 00:51:09.267]  They're completely vacant of transparency and support and they're not safe and nobody listened.
[00:51:09.307 --> 00:51:12.288]  I think now at least we're talking about it, which is important.
[00:51:12.688 --> 00:51:15.430]  I don't think the people in Davos truly understand finance.
[00:51:15.490 --> 00:51:16.450]  I really, really don't.
[00:51:16.490 --> 00:51:17.451]  I think they're scared.
[00:51:17.751 --> 00:51:27.236]  I think they're realizing that bailing out bank after bank after bank with all of these trillions of dollars isn't helping economies, but they're still in this mode where they're paralyzed.
[00:51:27.256 --> 00:51:35.961]  They don't know what else to do, so they're still pointing to austerity, and that's what's making populations so much more enraged, because they know there's nothing more to squeeze from us.
[00:51:36.821 --> 00:51:39.103]  That's really the issue, and that's when things come to a head.
[00:51:41.784 --> 00:51:45.385]  Who make these decisions, they see that, they are afraid of that.
[00:51:45.725 --> 00:51:54.148]  I don't know, I know they have not yet made the leap to understanding what really needs to be done and slapping back these financial institutions as opposed to funding them.
[00:51:54.688 --> 00:52:00.269]  But I think at least they see that what they're doing isn't working and that people are noticing and that's positive.
[00:52:00.309 --> 00:52:02.970]  That can only hopefully spread at this point.
[00:52:03.550 --> 00:52:05.131]  Well every time I research
[00:52:07.566 --> 00:52:08.046]  An issue.
[00:52:08.166 --> 00:52:12.228]  It always goes back to a handful of brokerage firms and big investment banks.
[00:52:13.309 --> 00:52:18.131]  And they have unlimited Ponzi scheme money out of derivatives and the rest of it.
[00:52:18.712 --> 00:52:20.933]  To where, yeah, they can basically play God.
[00:52:20.953 --> 00:52:23.514]  And they're incredibly hubris filled.
[00:52:23.554 --> 00:52:25.435]  I mean, you worked around these people at the highest levels.
[00:52:25.735 --> 00:52:27.836]  You got Corzine making 40 to 1 bets.
[00:52:28.396 --> 00:52:29.877]  I mean, it really shows that
[00:52:32.561 --> 00:52:35.685]  They think they're in control, but they're not in control of themselves.
[00:52:36.146 --> 00:52:41.372]  And they're so good at consolidating power that I don't see them getting away with this.
[00:52:41.393 --> 00:52:43.696]  I mean, what do you see in your crystal ball?
[00:52:44.912 --> 00:52:49.174]  Well, I think they definitely feel invincible, and they have been invincible.
[00:52:49.194 --> 00:52:50.714]  They've been proven to be invincible.
[00:52:50.754 --> 00:52:59.417]  Even a John Corzine who's crashed a company, stolen people's money, can sit there and lie in front of Congress and doesn't feel he's going to be touched, and may not be touched.
[00:52:59.837 --> 00:53:03.859]  But the problem is that there's going to be a point at which there simply isn't enough
[00:53:04.019 --> 00:53:06.080]  I think it's going to take a while before all of those risks kind of
[00:53:30.806 --> 00:53:31.527]  We're good to go.
[00:53:50.865 --> 00:53:55.366]  I do think there will be at least another bank to really tank severely.
[00:53:55.406 --> 00:53:57.127]  It's probably going to be Bank of America.
[00:53:57.147 --> 00:53:58.887]  It's deserved to tank now for years.
[00:53:58.927 --> 00:54:00.367]  You know, we've talked about it in the past.
[00:54:00.587 --> 00:54:02.368]  They're very good at patching up their losses.
[00:54:02.668 --> 00:54:06.349]  They've tried to sell off assets they've owned at rock-bottom prices over the years.
[00:54:06.369 --> 00:54:14.231]  There's only so much left they can do that with and make money to flow, which is why they're trying to find ways to, you know, increase fees on their customers.
[00:54:14.271 --> 00:54:16.591]  And if one thing doesn't work, go to another thing and so forth.
[00:54:16.631 --> 00:54:18.552]  So they still have us as customers.
[00:54:19.132 --> 00:54:19.953]  We're good to go.
[00:54:49.349 --> 00:54:54.734]  Is there a big explosion point, or does it just continue the slow decline?
[00:54:55.174 --> 00:54:55.735]  Well, that's it.
[00:54:55.935 --> 00:54:57.176]  I think one year is a slow decline.
[00:54:57.196 --> 00:54:57.716]  It's interesting.
[00:54:57.756 --> 00:55:05.523]  I just read a book called Zombie Banks, which is written by a fellow named Yonarum O'Naram, or Yeoman O'Naram.
[00:55:05.964 --> 00:55:12.573]  And he talks about how the sort of governments have been funding these zombie banks that really are the living dead.
[00:55:12.594 --> 00:55:14.857]  They basically eat human financial flesh, right?
[00:55:15.358 --> 00:55:19.544]  And that's what they continue to do and therefore it's been a slow burn because it goes from place to place.
[00:55:19.584 --> 00:55:21.247]  And because they own the government.
[00:55:22.008 --> 00:55:27.594]  And because it's complex, they can engage, like Japan, 20 years at the feet of zombie banks.
[00:55:27.654 --> 00:55:28.856]  Right, that's exactly it.
[00:55:28.876 --> 00:55:30.017]  Thank you for bringing up Japan.
[00:55:30.177 --> 00:55:31.659]  That was the other half of my train of thought.
[00:55:31.719 --> 00:55:32.681]  Thank you for finishing that.
[00:55:32.701 --> 00:55:38.307]  So anyway, he talks about how Japan was that lost decade, and I'm reading this chapter about Japan in this book, and I said, you know what?
[00:55:38.968 --> 00:55:39.989]  We are halfway.
[00:55:40.510 --> 00:55:42.312]  We are five years into this.
[00:55:42.693 --> 00:55:43.714]  We are halfway in.
[00:55:43.754 --> 00:55:54.607]  You know, a lost decade doesn't really sound so long when we're already talking about the fact that in 2007, you know, Citigroup went to Hank Paulson and said, hey, we have a
[00:55:54.747 --> 00:55:56.388]  You know, we have a tremendous problem here.
[00:55:56.408 --> 00:55:57.449]  We need government help.
[00:55:57.509 --> 00:56:00.731]  And then after that, you know, Bear Stearns imploded, went to J.P.
[00:56:00.751 --> 00:56:01.071]  Morgan.
[00:56:01.311 --> 00:56:02.692]  We still support that trade.
[00:56:02.892 --> 00:56:05.814]  We still support that to the tune of $30 billion of Fed guarantees.
[00:56:06.114 --> 00:56:09.876]  All of that started five years ago, and we're still nowhere near the end.
[00:56:09.956 --> 00:56:12.218]  So we could be looking at, you know, a couple less decades.
[00:56:12.238 --> 00:56:17.741]  So that, in answer to your prior question, that's why I see this as a slow burn rather than a complete explosion.
[00:56:17.801 --> 00:56:19.902]  But that doesn't, that just makes it slower.
[00:56:20.223 --> 00:56:23.605]  It doesn't make it less dangerous.
