[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[00:27:55.807 --> 00:28:03.292]  But you see much more diverse crowd at the Ron Paul rallies, and particularly the youth, than you see at any Republican function.
[00:28:03.792 --> 00:28:15.321]  And it's what the Republicans, if they had half a clue, would realize nationally is that Ron Paul is a phenomenon, getting 5,000 to 10,000 people at speeches, more than any other candidate.
[00:28:15.841 --> 00:28:20.285]  And they need to realize that they need that momentum, and they need that to win in the fall.
[00:28:21.005 --> 00:28:25.929]  And I'm just hoping that they will do some outreach to him to try to get him to participate in their convention.
[00:28:26.627 --> 00:28:32.049]  Speaking of your father, Congressman Ron Paul, who has said that if he doesn't win the presidency, he's going to retire.
[00:28:32.470 --> 00:28:36.671]  Texas, of course, is very sad about that, but the idea continues on.
[00:28:37.152 --> 00:28:46.016]  And undoubtedly, we're winning the war, even if he doesn't win the battle, in educating hearts and minds about the true constitutional system.
[00:28:46.676 --> 00:28:51.998]  But what is at the heart of the delegate battle and the broker convention strategy?
[00:28:52.438 --> 00:28:55.980]  Can you tell us, if Paul doesn't win the full nomination, what
[00:28:56.380 --> 00:29:02.407]  What they're going to call for and can you put to bed these rumors the latest one yesterday in the Seattle Times.
[00:29:03.248 --> 00:29:11.597]  It's all over the news that Mitt Romney was to get the nomination that there's discussions of asking you to be vice president.
[00:29:12.657 --> 00:29:19.680]  Well, I always tell people if there's a secret plan for that to happen, it's so secret that nobody's let me in on it yet.
[00:29:20.260 --> 00:29:21.961]  I kind of doubt that will happen.
[00:29:21.981 --> 00:29:28.203]  I do tell people to be considered to be the Vice President of the United States is obviously an honor.
[00:29:28.263 --> 00:29:28.864]  I mean, it is.
[00:29:29.104 --> 00:29:34.106]  And I know some people may not like hearing that, but to tell you the truth, it is an honor to be considered.
[00:29:34.526 --> 00:29:34.846]  I don't
[00:29:55.931 --> 00:30:06.500]  Unless something changes dramatically in the next couple of primaries, in all likelihood, Romney will collect the numbers necessary to get the nomination sometime in May or June.
[00:30:07.761 --> 00:30:16.909]  One of the things is that if you win five states, you get to get your name placed in nomination and you get guaranteed a position at the convention.
[00:30:16.929 --> 00:30:18.270]  And there's still some chance of that.
[00:30:19.113 --> 00:30:25.856]  Even though my dad didn't win five states, a lot of the delegations are not decided until you go through the state convention.
[00:30:25.876 --> 00:30:29.157]  They have county conventions and they work their way up.
[00:30:29.177 --> 00:30:34.819]  And Ron Paul's done very well in Nevada, Missouri, Maine, Iowa.
[00:30:35.620 --> 00:30:37.322]  And a couple of the other caucus states.
[00:30:37.342 --> 00:30:51.361]  So there's an outside chance that he still wins five states, but I think that's one of the reasons that he'll go on probably giving speeches and traveling around and encouraging voters at least through the state conventions, which are mostly over in June.
[00:30:51.857 --> 00:30:55.441]  Sure, it's a victory just to be there injecting real issues.
[00:30:55.501 --> 00:30:58.625]  Moving quickly through some questions in the five minutes we have left, Senator.
[00:30:59.065 --> 00:31:12.581]  TSA, they have now announced, Congresswoman Jackson has announced here in Texas, Sheila Jackson Lee, that they have undercover homeland security outside of the Tenth Amendment.
[00:31:13.061 --> 00:31:15.902]  TSA now on the buses and the highways.
[00:31:16.282 --> 00:31:21.645]  We've known this is coming, but that's just as illegal as Obama taking orders from the UN.
[00:31:22.005 --> 00:31:25.687]  There's got to be some end to this craziness.
[00:31:25.747 --> 00:31:36.191]  Dave Mustaine was just here in town visiting me a few weeks ago, a rock star from Megadeth, and he complained to me that his 14-year-old daughter got groped at the airport here in Austin.
[00:31:36.432 --> 00:31:38.853]  There's got to be some end to this.
[00:31:38.893 --> 00:31:41.174]  Can you call for hearings in the Senate?
[00:31:42.014 --> 00:31:46.635]  Is it illegal from your constitutional research to have the TSA now on the streets of Texas?
[00:31:48.016 --> 00:31:49.156]  I can't call for hearings.
[00:31:49.356 --> 00:31:51.657]  The majority party completely controls hearings.
[00:31:51.957 --> 00:31:54.638]  ISSA can get hearings in the House and it's had some.
[00:31:55.238 --> 00:31:57.899]  The interesting thing is what happened to you guys in Texas?
[00:31:57.979 --> 00:32:04.041]  I thought you guys were going to stand up to the federal government and ban the TSA from doing that in Texas.
[00:32:04.571 --> 00:32:13.702]  The feds threatened a air blockade, military blockade, and the unanimous house then fell to their knees and said, here's our daughters and sons, start groping.
[00:32:14.935 --> 00:32:36.633]  We're going to continue the fight up here and it really becomes more complicated because this ends up becoming not just about personal liberty, it becomes about union power and the fact that the Democrats are big on creating new government unions because they're new voting blocks and new blocks of money that they can get, you know, forced union dues to support their campaigns.
[00:32:37.113 --> 00:32:40.957]  So really the TSA is one of the biggest government unions now and so
[00:32:41.657 --> 00:32:46.042]  We've been fighting, you know, to privatize security, many of us, and would like to do that.
[00:32:46.222 --> 00:32:56.271]  We will probably propose legislation coming up that will do that, as well as some that'll be less dramatic, but would actually forbid them from doing pat-downs.
[00:32:56.732 --> 00:33:02.718]  We think the idea of random pat-downs is ridiculous, insulting, and really making no one safe.
[00:33:03.538 --> 00:33:22.635]  And, you know, I think that if you made searches based on evidence of suspicious behavior or something like that or basically had some kind of risk assessment done, then you wouldn't be doing this to elderly women, babies, children.
[00:33:23.235 --> 00:33:29.640]  The other thing that would make it a little better, not perfect, but it would be just to have a frequent flyer program of some sort.
[00:33:30.080 --> 00:33:36.785]  And I don't want the government running it, but if it were done privately and voluntarily I think you could develop some kind of frequent flyer program.
[00:33:37.810 --> 00:33:40.450]  Two final questions, Senator Paul.
[00:33:41.591 --> 00:33:52.873]  Number one, everyone has been impressed, even mainstream media has been impressed, that you could run for office for the first time in your life and be catapulted into the U.S.
[00:33:52.913 --> 00:34:03.535]  Senate and that you have kept your promises and done so well and had such a senatorial gentlemanly bearing and have learned the procedures and things.
[00:34:03.655 --> 00:34:05.015]  I mean, everyone I know
[00:34:05.575 --> 00:34:07.857]  Across the political spectrum is saying Rand Paul.
[00:34:08.538 --> 00:34:16.224]  If Ron Paul doesn't make it, well, Rand Paul is definitely presidential material for the Republic.
[00:34:17.185 --> 00:34:22.430]  I mean, I know you don't like to toot your own horn, but I mean, are you starting to think more about running for president?
[00:34:23.376 --> 00:34:27.699]  Well, I think it's too early to tell, and a lot of it, you know, depends on what happens with this election.
[00:34:28.039 --> 00:34:45.331]  So, you know, we'll wait and see, but I think also the voice within the Senate can be a pretty loud voice, and I'm definitely going to do everything I can to use the position of the Senate to fight for constitutional limited government, to really fight to fend off what I think is a coming calamity.
[00:34:45.411 --> 00:34:48.733]  If we do not address this debt bomb that's coming at us,
[00:34:49.313 --> 00:34:54.858]  We really are in for a bad way and it may be something that hits us before there is even another presidential election.
[00:34:55.318 --> 00:35:01.604]  So we're fighting day in day out to get people around here to wake up to the imminence of this problem.
[00:35:01.644 --> 00:35:06.948]  I've been telling people for a year there's a day of reckoning coming and it's not something we're looking forward to.
[00:35:07.008 --> 00:35:15.456]  It's either something where we destroy our currency and when you destroy a currency you at least a chaos in the streets and we don't want that to happen.
[00:35:16.036 --> 00:35:36.765]  All of these problems are fixable, though, and we have a wonderful country with a wonderful heritage, and there is an amazing potential locked up in our country that if it were unleashed and you allow people to freely interact and trade with each other, that we would once again be a dominant force in the world if we would just really believe in ourselves and believe in our heritage.
[00:35:37.532 --> 00:35:38.273]  I agree with you.
[00:35:38.593 --> 00:35:53.648]  Speaking of our heritage, not having high taxes, Buffett, Warren Buffett, the biggest recipient of the banker bailouts domestically, that's McClatchy Associated Press, it's a fact, he says raise taxes on millionaires or people making $150,000 individually or a quarter million in a couple.
[00:35:57.125 --> 00:36:00.788]  Well, he's the guy that wants that money out of the next bailout on record.
[00:36:01.048 --> 00:36:02.629]  I mean, this is asinine.
[00:36:04.150 --> 00:36:09.874]  Give us a brief comment on that, Senator, because I know you've got to go, and then what you're going to do on a balanced budget amendment.
[00:36:11.070 --> 00:36:14.332]  I tell people I'm getting sick and tired of hearing about Buffett's secretary.
[00:36:14.392 --> 00:36:22.916]  I think she makes more money than I do, and I think her assets are probably greater than mine, and so I'm not, you know, too concerned about Warren Buffett's secretary.
[00:36:23.296 --> 00:36:32.861]  But I think the argument that if two people paid the same percentage in taxes, you know, if he pays 15%, his secretary pays 15%, let's say she makes $200,000 a year and he makes
[00:36:35.802 --> 00:36:37.824]  20 million a year or 200 million.
[00:36:38.184 --> 00:36:41.506]  He pays a thousandfold more in taxes than she does.
[00:36:41.966 --> 00:36:46.049]  So the thing is, is you can have progressive taxation with a flat tax code.
[00:36:46.609 --> 00:36:51.352]  So the idea that the rich are not paying their fair share in our country is a lie.
[00:36:51.792 --> 00:36:53.293]  It is absolutely untrue.
[00:36:53.333 --> 00:36:56.715]  We have the most progressive tax code maybe in the world.
[00:36:56.955 --> 00:36:59.717]  Our tax code is more progressive than Sweden's tax code.
[00:37:00.218 --> 00:37:02.359]  So they need to just tell the truth on it.
[00:37:02.779 --> 00:37:10.722]  But the bottom line is I want the private sector, the pie that is the private sector, to be bigger and the pie that is the government sector to be smaller.
[00:37:10.762 --> 00:37:12.623]  So I don't want anybody's taxes to go up.
[00:37:13.103 --> 00:37:17.985]  And if you're richer than me and you've got three cars and I've got a moped, I need to go out and work harder.
[00:37:18.585 --> 00:37:20.086]  And I don't need to take it from you.
[00:37:20.166 --> 00:37:24.048]  I need to encourage you to hire more people by allowing you to do better.
[00:37:24.548 --> 00:37:29.751]  And so I don't really look at people who are wealthy business owners and say, oh, let me drag them down.
[00:37:29.771 --> 00:37:37.295]  I look at them and I say, how can we get the government out of the way so this creative person, man or woman, can create more jobs?
[00:37:37.835 --> 00:37:39.416]  So I look at it the opposite way.
[00:37:39.436 --> 00:37:44.899]  And I think there's enough people left in America who like the idea of the American dream, who like the idea of success.
[00:37:45.739 --> 00:37:47.280]  And every generation there's somebody.
[00:37:47.320 --> 00:37:55.184]  I meet people every day whose parents just finished high school and weren't very successful who are now successful in this generation.
[00:37:55.204 --> 00:37:59.526]  It doesn't always happen, but that has been the beauty of America is that mobility.
[00:38:00.226 --> 00:38:07.109]  And the interesting thing is 60% of the people born in the lowest rung, the bottom 20%, move up out of poverty.
[00:38:07.129 --> 00:38:11.811]  60% of millionaires the following year don't make a million dollars a year.
[00:38:12.112 --> 00:38:14.993]  So people move up and down this social ladder all the time.
[00:38:15.673 --> 00:38:19.394]  And that freedom to go up and down the ladder is really what America's about.
[00:38:19.954 --> 00:38:26.275]  Well, the crony monopolists, they know that when you raise taxes over time, it destroys the pie and impoverishes.
[00:38:26.495 --> 00:38:28.656]  They want the control, undoubtedly.
[00:38:29.216 --> 00:38:34.637]  It is so refreshing to talk to a senator who does not compromise and is just so real.
[00:38:35.077 --> 00:38:37.998]  Senator Rand Paul, thank you so much for the time today.
[00:38:38.438 --> 00:38:39.098]  Thank you, Alex.
[00:38:39.438 --> 00:38:39.838]  Amazing.
[00:38:43.359 --> 00:38:44.819]  I'd like to ask you a question about the
[00:38:45.438 --> 00:38:50.625]  You know about the incident down in Orlando, Florida with Trayvon Martin and George Zimmerman?
[00:38:51.086 --> 00:38:53.669]  Yeah, I heard about it on TV and things of that nature.
[00:38:54.270 --> 00:38:58.696]  Okay, can you give me any insight on the details that you know of this case?
[00:38:59.824 --> 00:39:15.355]  Well, from what my understanding is, there was a kid, and he's African American, the guy was Hispanic, and some incident occurred between the two of them, when I guess the guy was being suspicious.
[00:39:16.456 --> 00:39:18.938]  He left the area, the guy ended up chasing, following him.
[00:39:19.398 --> 00:39:21.960]  Somehow a fight ensued between the two of them.
[00:39:22.741 --> 00:39:25.423]  The guy pulled out a gun and shot and killed the kid.
[00:39:27.102 --> 00:39:27.382]  Okay.
[00:39:27.642 --> 00:39:33.964]  Do you know that there is a news agency and some news agencies that are calling George Zimmerman the accuser?
[00:39:35.784 --> 00:39:36.845]  They're calling him a white man.
[00:39:36.885 --> 00:39:37.445]  Did you know that?
[00:39:37.465 --> 00:39:39.205]  No, I think he's Hispanic.
[00:39:40.466 --> 00:39:44.307]  Okay, I guess one of his parents has some white or Caucasian in them.
[00:39:45.087 --> 00:39:46.287]  So they are calling him a white man.
[00:39:46.548 --> 00:39:49.928]  Well, they don't necessarily make him white because he got Caucasian in him.
[00:39:49.948 --> 00:39:53.069]  I got a little bit of Irish in me.
[00:39:53.089 --> 00:39:53.990]  They don't call me Irish.
[00:39:55.010 --> 00:39:55.190]  True.
[00:39:56.223 --> 00:40:00.465]  Would you have any insight, any theories on why they might do this?
[00:40:01.546 --> 00:40:01.786]  No.
[00:40:02.626 --> 00:40:05.027]  News, news rating, media, things like that.
[00:40:05.788 --> 00:40:06.008]  No.
[00:40:07.308 --> 00:40:22.556]  The lawsuit was filed in 2008 by the NRDC, asking them to ban the possibly carcinogenic bisphenol A. The FDA, after court order, rejected the ban, stating that they do not have enough human research.
[00:40:23.103 --> 00:40:38.815]  Well, the irony of this is that in 2009, there was an American Recovery and Reinvestment Act funding to the National Institute of Environmental Health Sciences, in which the purpose was to fill in the gaps.
[00:40:39.316 --> 00:40:44.039]  Now, it was supposed to be a two-year study, so I started wondering, where did the money go?
[00:40:44.219 --> 00:40:45.260]  Where did these gaps?
[00:40:45.721 --> 00:40:46.141]  Hello?
[00:40:46.561 --> 00:40:48.423]  Why haven't they got the human research yet?
[00:40:48.863 --> 00:40:53.547]  Well, I found the Funding Opportunity Description, and the earliest start date was set for August 2011.
[00:40:53.927 --> 00:40:59.011]  So once again, the FDA is kicking the can down the road, and they love to do this.
[00:40:59.612 --> 00:41:10.120]  Time is money, and time is something that, you know, when people are dying of breast cancer, those people don't have as much as the people making the decisions.
[00:41:10.241 --> 00:41:13.023]  So, this is how it is.
[00:41:14.244 --> 00:41:16.486]  Now, in the Funding Opportunity Description,
[00:41:17.603 --> 00:41:19.364]  It says that they want rat studies.
[00:41:19.924 --> 00:41:24.606]  It doesn't even say anything about human studies in the actual description that the researchers gave.
[00:41:25.406 --> 00:41:30.228]  And it also states that the research is going to be taking place at FDA headquarters.
[00:41:30.248 --> 00:41:46.755]  So, I'm hoping that there is a meeting done with the researchers saying we need human studies, but at the same time I'm really not hoping that because I don't really like the idea of humans being studied for the effects of this phenol A. I think that we've got enough research and that
[00:41:47.625 --> 00:41:57.127]  That the FDA should do its job and ban the injection of this compound into our food.
[00:41:57.187 --> 00:42:03.789]  It's not labeled.
[00:42:04.409 --> 00:42:07.570]  Hello, this is John Mueller reporting for InfoWars.com.
[00:42:09.420 --> 00:42:12.101]  Hello and welcome to the wannabe Alex Jones Report.
[00:42:12.341 --> 00:42:19.504]  I am going to be reporting to you the news on all the things that are important and what you would think are unimportant but really is important.
[00:42:20.385 --> 00:42:23.106]  Now our first story tonight is going to be on Ron Paul 2012.
[00:42:23.306 --> 00:42:27.227]  Now there's a guy named Ron Paul out there, if you haven't heard.
[00:42:27.527 --> 00:42:38.232]  He has a son named Rand Paul who ran for Senate in Kentucky, I believe, and he himself is running for President of the United States of America in the primary for the Republican nomination.
[00:42:38.792 --> 00:42:43.817]  Now, he's been doing very good in the beginning, but lately his results have been slacking off.
[00:42:44.157 --> 00:42:52.524]  And this may wonder very many people in the world why Ron Paul's crowds are so much bigger than all the other candidates' crowds.
[00:42:52.905 --> 00:42:55.747]  Let's go to our correspondent in the field to address on this matter.
[00:42:56.268 --> 00:42:57.108]  John, are you out there?
[00:42:57.569 --> 00:42:58.149]  Yes, John.
[00:42:58.169 --> 00:42:59.971]  Thank you for passing it to me again.
[00:42:59.991 --> 00:43:02.253]  The Ron Paul 2012 campaign is very underway.
[00:43:05.379 --> 00:43:08.160]  There has been a lot of victories from Paul.
[00:43:08.200 --> 00:43:12.582]  He's gotten a lot more votes than he did the last year, uh, in the last presidential election.
[00:43:13.162 --> 00:43:18.744]  He has practically won Maine, but there's a big controversy on whether they might have stolen that from him.
[00:43:20.225 --> 00:43:22.546]  Okay, what are real responsibilities?
[00:43:22.586 --> 00:43:31.069]  People nowadays, adults, watch Desperate Housewives, Sopranos, uh, Made Men, uh, Mad Men.
[00:43:31.390 --> 00:43:34.771]  All these shows were greed and trickery.
[00:43:35.410 --> 00:43:43.352]  And, uh, lust and sexual prowess and money and power are considered the adult attributes.
[00:43:43.752 --> 00:43:50.374]  And things like morality, kindness to others, are laughed upon and abused and walked over.
[00:43:51.654 --> 00:43:52.715]  Keep it real, America.
[00:43:52.755 --> 00:43:53.615]  Be a real adult.
[00:43:54.335 --> 00:43:55.495]  A real warrior.
[00:43:55.815 --> 00:43:57.036]  The adults care for others.
[00:43:57.076 --> 00:43:58.336]  They put others in front of themselves.
[00:44:03.106 --> 00:44:07.467]  K4Wars.com, Prison Planet TV, people like that, they're here to help you.
[00:44:08.087 --> 00:44:10.847]  To realize your power and to take it back.
[00:44:10.887 --> 00:44:12.148]  Because kindness is okay.
[00:44:13.128 --> 00:44:13.668]  Real wealth.
[00:44:15.308 --> 00:44:17.969]  Real wealth is love, is family, is stability.
[00:44:18.389 --> 00:44:23.089]  It's knowing for a hundred years your family's going to have food and not worry about it.
[00:44:23.129 --> 00:44:25.890]  Not worry about them getting taken advantage of.
[00:44:26.710 --> 00:44:27.850]  That would be real wealth.
[00:44:28.470 --> 00:44:32.371]  But today, wealthy people, they're either robbers or they're robber barons.
[00:44:33.186 --> 00:44:36.190]  Uh, they're, you know, the minimal wealthy ones are just robbers.
[00:44:37.031 --> 00:44:40.655]  They take everything they can in every way and cheat the taxes and everything.
[00:44:40.675 --> 00:44:43.218]  They're workers, they don't pay benefits.
[00:44:44.239 --> 00:44:47.563]  And then the robber barons, you know, the Wall Street guys, the J.P.
[00:44:47.583 --> 00:44:51.228]  Morgans, the Koch brothers, and on and on.
[00:44:52.841 --> 00:45:03.069]  Again, as a routine reporter investigation has resulted in numerous civil rights violations of two InfoWars Nightly News reporters, Darren McBreen and Marcus Morales, by the Fulton Police Department in the city of Roswell, Georgia.
[00:45:03.670 --> 00:45:18.942]  Exclusive InfoWars News reports by Paul Joseph Watson at InfoWars.com and John Bone at InfoWars Nightly News are indicating that the two InfoWars Nightly News reporters, McBreen and Morales, have been subjected to harassment and official oppression by the local law enforcement authorities in the city of Roswell, Georgia.
[00:45:19.778 --> 00:45:35.512]  According to the exclusive reports at InfoWars.com and InfoWars Nightly News, McBrain and Morales had been dispatched to the city of Roswell, Georgia to investigate the bizarre circumstances surrounding the suspicious death of a local resident, Andrew Wordis, being labeled a suicide following a two-hour standoff with local law enforcement officials.
[00:45:36.113 --> 00:45:42.999]  The Atlanta Journal-Constitution is reporting that marshals from the Fulton County Marshal's Office were sent to Mr. Wordis' property to execute an eviction order
[00:45:43.991 --> 00:45:48.555]  Words responded to the attempt to evict him by barricading inside his home and refusing to speak to authorities.
[00:45:49.175 --> 00:45:57.302]  Known by his friends and family as the Chicken Man, Words began raising chickens as pets on his two-acre property near the city limits of Roswell, Georgia, in the county of Fulton.
[00:45:57.902 --> 00:46:12.334]  Following unsuccessful prior attempts by the city of Roswell to cite Words for various violations of city codes related to the raising of livestock, and attempts to intimidate the mortgage holder of Words' mortgage, the city of Roswell filed a 55-page lawsuit against Words, calling his chickens a nuisance,
[00:46:12.614 --> 00:46:16.636]  And simultaneously having Wordes' poverty declared a conservation area or green space.
[00:46:17.357 --> 00:46:26.401]  Wordes was then incarcerated for repeatedly violating or disregarding these new city codes, and as a result of his incarceration and numerous legal defense actions, had fallen behind on his mortgage.
[00:46:27.202 --> 00:46:34.806]  Under the auspices of environmentalism, the city of Roswell issued Wordes an eviction notice and called in the county marshal's office to evict Wordes from his home.
[00:46:35.586 --> 00:46:43.918]  Following a two hour long standoff, Wordez told authorities and reporters to get off his property and according to local authorities then doused his home in gasoline and lit it on fire.
[00:46:44.519 --> 00:46:48.645]  This alleged action resulted in a huge explosion in the home which claimed the life of Andrew Wordez.
[00:46:49.551 --> 00:47:03.978]  Upon arrival at the Roswell City Hall, McBrain and Morales had their civil rights violated by officers from the Fulton Police Department, who refused them entry into the hall, and told the reporters that they were not allowed to film, stating that they did not have the proper credentials to enter the public government facility, or film on the property.
[00:47:04.579 --> 00:47:18.146]  McBrain and Morales were made aware that they had been subjected to additional civil rights violations, when officers from the Fulton Police Department admitted to having followed the reporters around the city, as they investigated the circumstances surrounding the Woods' death, and interviewed Woods' friends and neighbors.
[00:47:18.826 --> 00:47:30.635]  Follow-up reports from the Darren McBreen the following day indicate that city officials are being more cooperative, but the ability to question government officials has been hampered, and any opportunity to get an on-the-spot account of events is now gone.
[00:47:31.415 --> 00:47:40.202]  McBreen has indicated that he will attempt to ascertain why he and his fellow reporter Morales have been refused entry into the Roswell City Hall, and will be reporting back with details as soon as they become available.
[00:47:40.442 --> 00:47:42.464]  This is Chris Lieberson, InfoWars Nightly News.
[00:47:45.169 --> 00:47:54.236]  Tonight I will be discussing two topics, one of which many of you already probably know about is the Department of Homeland Security arming themselves to the teeth.
[00:47:55.237 --> 00:48:02.903]  Second, I will be discussing Andrew Wardez's tragic death.
[00:48:04.384 --> 00:48:06.906]  Well, let's start off with the Department of Homeland Security.
[00:48:08.510 --> 00:48:23.926]  This is an article uploaded by Paul Joseph Watson on April 5, 2012, and it is titled, After Huge Ammo Buy, DHS Purchases Bullet Resistant Booths, Federal Agency Preparing to Unveil More Checkpoints.
[00:48:25.629 --> 00:48:36.794]  It starts off saying, The Department of Homeland Security recently stoked concern by contracting a company to provide them with 450 million rounds of hollow-point bullets.
[00:48:37.494 --> 00:48:44.838]  Now, the federal agency is also purchasing bulletproof checkpoint booths that include stop-and-go lights.
[00:48:46.638 --> 00:48:54.042]  A press release from Shelter's Direct brags about how they are providing the DHS with bullet-resistant guard booths.
[00:48:55.359 --> 00:48:59.800]  InfoWars.com, the number one internet news site in the nation.
[00:49:00.160 --> 00:49:03.001]  Because no starvation without representation.
[00:49:03.361 --> 00:49:06.301]  The sensation of PrisonPlanet.com-ization.
[00:49:06.321 --> 00:49:09.182]  Fighting Agenda 21 modernization.
[00:49:09.382 --> 00:49:10.582]  And the New World Orders.
[00:49:11.182 --> 00:49:12.043]  Weaponization.
[00:49:12.303 --> 00:49:12.903]  Corruption.
[00:49:13.343 --> 00:49:14.543]  Fake organization.
[00:49:14.943 --> 00:49:17.704]  InfoWars.com fighting globalization.
[00:49:17.984 --> 00:49:20.184]  And the cultivation of sterilization.
[00:49:20.204 --> 00:49:23.365]  And the fastest incorporation of the unified occupation.
[00:49:24.005 --> 00:49:26.167]  It's the cultivation of globalization!
[00:49:26.427 --> 00:49:30.811]  So get to Infowars.com and slay the New World Compilation!
[00:49:32.513 --> 00:49:32.873]  Good evening.
[00:49:32.913 --> 00:49:34.555]  Welcome to the Infowars Nightly News.
[00:49:34.635 --> 00:49:35.956]  I'm your host, Gus Cantavero.
[00:49:36.376 --> 00:49:48.147]  This week, President Barack Obama invoked the Warren-Buffett rule in an attention-getting headline stunt for the President's re-election campaign, trying to capitalize on the anger from the Occupy Wall Street movement.
[00:49:49.625 --> 00:49:58.029]  Warren Buffett famously penned an op-ed last year in the Wall Street Journal where he said that he shouldn't pay more tax than his secretary does.
[00:49:58.429 --> 00:50:05.093]  But he didn't mention that his secretary makes over $200,000 and that all of his money comes from capital gains.
[00:50:06.033 --> 00:50:13.676]  Now we can figure that out because his secretary pays over 30% tax, and that's reserved for the tax bracket of between $200,000 and $500,000.
[00:50:13.996 --> 00:50:20.839]  And if Warren Buffett is only paying 17% tax, then that must mean he makes below $200,000.
[00:50:20.919 --> 00:50:23.680]  So where's all his money come from?
[00:50:24.040 --> 00:50:30.063]  It comes from his tax shelters, his overseas investments, it comes from his capital gains.
[00:50:31.360 --> 00:50:37.003]  The tax plan that he is proposing will of course be rigged to protect people like him.
[00:50:37.523 --> 00:50:45.967]  It will be rigged to protect all the people who make all of their money from capital gains and from sheltering their money overseas.
[00:50:46.528 --> 00:50:50.970]  It's not going to do a thing to actually increase the fairness of the tax rates.
[00:50:52.173 --> 00:51:01.381]  And Barack Obama has used the word fair to say that it's only fair for the rich to pay their fair share.
[00:51:01.761 --> 00:51:05.425]  Well, I have an issue with the misapplication of the word fair.
[00:51:05.705 --> 00:51:07.907]  Fair is not to increase the taxes on the wealthy.
[00:51:07.967 --> 00:51:10.029]  Fair is to lower the taxes on the middle class.
[00:51:10.709 --> 00:51:20.798]  It's just not fair for people who make around $150,000 or $200,000 to be paying 30-40% tax of all their combined income in a two-family house.
[00:51:21.318 --> 00:51:26.042]  You know, why do we have to play all these games to try to get deductions?
[00:51:26.342 --> 00:51:28.965]  It seems to be that the only way to get wealthy
[00:51:29.525 --> 00:51:33.947]  is to break the laws, is to skirt the tax laws, to hide your money overseas.
[00:51:34.267 --> 00:51:42.472]  It's just simply impossible, playing the game fairly, to become part of that 1%, which is really the upward mobility that everybody really wants to begin with.
[00:51:43.692 --> 00:51:48.034]  The Daily News has an op-ed titled, No, Mr. President, We're Not That Stupid.
[00:51:48.515 --> 00:51:51.296]  Buffett Rule is a stunt, not sound policy to revive the economy.
[00:51:51.336 --> 00:51:52.877]  This is written by Andrea Tataros.
[00:51:59.497 --> 00:52:02.198]  I'm announcing our biggest contest ever.
[00:52:03.258 --> 00:52:09.400]  And we're looking for people who love freedom and who want to be all in in the resistance to tyrants.
[00:52:13.162 --> 00:52:15.402]  So you say you want to fight the New World Order.
[00:52:16.183 --> 00:52:22.285]  Why, if you were on the radio, if you were Alex Jones, you'd really kick some globalist ass.
[00:52:23.643 --> 00:52:24.704]  Well, here's your chance.
[00:52:25.505 --> 00:52:36.514]  We're hiring not one, but two new reporters whose reports are going to be on the radio, whose reports are going to be on the nightly news, who will even anchor the show.
[00:52:37.719 --> 00:52:44.725]  If you're ready, here's your chance to step into my shoes, and I hope you surpass what I've done.
[00:52:45.686 --> 00:52:54.253]  Two winners, $10,000 in prizes, and a shot to be a reporter inside the InfoWars.com Command Center.
[00:52:54.853 --> 00:52:58.877]  We're looking to hire one male reporter and one female reporter.
[00:53:00.089 --> 00:53:16.304]  And when you win, you win $5,000, your video gets seen by hundreds of thousands if not millions of people on YouTube, and you get put into the very front of the running to be hired as a reporter slash anchor right here on our operation.
[00:53:18.680 --> 00:53:21.100]  Do you have what it takes to be the next Info Warrior?
[00:53:22.001 --> 00:53:26.141]  The rules are posted below me here and at InfoWars.com.
[00:53:26.481 --> 00:53:27.502]  This is a big deal.
[00:53:28.122 --> 00:53:30.662]  You know, the globalists are expanding their global empire.
[00:53:31.042 --> 00:53:33.943]  But at the same time, the people are waking up all over the world.
[00:53:35.123 --> 00:53:37.283]  We've expanded our operations in the last year.
[00:53:37.623 --> 00:53:39.504]  We've added the nightly news five nights a week.
[00:53:39.824 --> 00:53:41.244]  We're making more special reports.
[00:53:41.664 --> 00:53:44.665]  We're reaching 15 million people every week.
[00:53:45.385 --> 00:53:46.865]  In a year, I want that to be 30 million.
[00:53:48.427 --> 00:53:50.068]  This is your chance to join the team.
[00:53:50.728 --> 00:53:52.228]  I want to see what you can do.
[00:53:52.989 --> 00:53:54.289]  But a big hint is this.
[00:53:55.030 --> 00:53:57.551]  Can your news piece make the news?
[00:53:58.851 --> 00:54:01.512]  Does it get people's attention?
[00:54:01.832 --> 00:54:03.153]  Does it educate people?
[00:54:03.373 --> 00:54:04.733]  Does it open minds?
[00:54:05.333 --> 00:54:11.596]  That's more important than being beautiful or speaking with perfect eloquence as an orator.
[00:54:12.816 --> 00:54:14.377]  All of that is important.
[00:54:15.512 --> 00:54:20.414]  But we're looking for people that have that magic spark, that fire of liberty in their heart.
[00:54:21.154 --> 00:54:22.835]  Because I want you to join our team.
[00:54:23.235 --> 00:54:28.437]  I want to give you a launch pad so you can really take off and engage the globalists.
[00:54:28.977 --> 00:54:34.900]  And if this works, we'll have contests all the time and we'll continue to build this operation.
[00:54:35.400 --> 00:54:42.523]  I'm involved in a talent search looking for people who have the fires of liberty burning in their hearts and their minds.
[00:54:43.755 --> 00:54:46.837]  You've got until April 30th to complete your news report.
