[00:00:21.684 --> 00:00:22.787]  It's Tuesday, September 18, 2012.
[00:27:38.224 --> 00:27:41.206]  It had almost no effect on their test structure.
[00:27:41.886 --> 00:27:47.991]  So they actually planted bombs inside their test structure to test the hypothesis of explosives inside the building.
[00:27:48.412 --> 00:27:57.780]  And their conclusion of the Wright Armament Laboratory out of Elgin Air Force Base was that there were bombs inside the Murrah building that were responsible for the majority of the damage.
[00:27:58.260 --> 00:28:03.565]  So you have one branch of government saying one thing, but yet the Justice Department, the FBI, saying another.
[00:28:04.281 --> 00:28:05.782]  You touched on something very interesting.
[00:28:05.802 --> 00:28:11.444]  You talked about how Bill Clinton got re-elected, how he said himself that Oklahoma City helped him a great deal.
[00:28:11.504 --> 00:28:23.429]  Would you put it past the Obama administration, a group that has run schemes such as Fast and Furious to run guns into Mexico, would you put it past the Obama administration to pull off a false flag of this magnitude to Oklahoma City?
[00:28:24.594 --> 00:28:34.916]  I would not put it past any administration under this government, because these false flag attacks since Gulf of Tonkin and several since, no one has ever been held accountable.
[00:28:35.396 --> 00:28:48.779]  No one's ever been held responsible for their crimes, for their treason against their country in order to simulate and attack a self-inflicted wound, usually a very slight one, to fulfill a political agenda or a foreign policy agenda.
[00:28:49.239 --> 00:28:52.727]  No one has ever been held accountable, so why would they stop?
[00:28:53.208 --> 00:28:57.978]  Logic dictates that they would continue and that these attacks would only intensify.
[00:28:57.998 --> 00:29:00.463]  If it ain't broke, don't fix it.
[00:29:01.181 --> 00:29:01.541]  Exactly.
[00:29:01.581 --> 00:29:04.644]  Now we see, you know, lone gunmen such as Timothy McVeigh.
[00:29:05.345 --> 00:29:08.888]  Well, they're supposed lone gunmen, even though he had connections to L.O.M.
[00:29:08.928 --> 00:29:09.208]  City.
[00:29:09.268 --> 00:29:16.814]  We see guys like the Underwear Bomber, even though we have a witness, Kurt Haskell, who's been on the show, who said he was escorted onto the plane.
[00:29:17.174 --> 00:29:22.259]  This Batman Joker clown, even though people say he was let into the theater and
[00:29:22.919 --> 00:29:29.343]  Various reports say that smoke bombs were thrown through different locations from the theater, which means he'd have at least one accomplice.
[00:29:29.704 --> 00:29:33.186]  Why do you think they love this lone gunman scenario so much?
[00:29:34.258 --> 00:29:37.300]  Because it fulfills their agenda.
[00:29:37.500 --> 00:29:40.101]  Their agenda is to disarm the American people.
[00:29:40.161 --> 00:29:42.002]  Let there be no doubt about that.
[00:29:42.582 --> 00:29:50.486]  Gun control was dead in this country because Fast and Furious had broken into the blogosphere and then into the public.
[00:29:50.886 --> 00:30:00.231]  People knew that the largest gun smuggler in recent history, if not all of American history, was the Bureau of Alcohol, Tobacco, and Firearms.
[00:30:00.571 --> 00:30:02.532]  And they were shipping guns to Mexico
[00:30:03.152 --> 00:30:07.693]  To cause violence to justify gun control in this country.
[00:30:07.733 --> 00:30:13.595]  That has come out in their own memos where they're saying the gun violence in Mexico, they leave out the part where they're causing it.
[00:30:13.955 --> 00:30:21.057]  Where they say the gun violence in Mexico can be used to put more restrictions on long gun purchases in this country.
[00:30:21.398 --> 00:30:29.220]  That by definition is a false flag attack but it busted wide open once a couple cops got killed, once a couple American cops got killed
[00:30:29.580 --> 00:30:30.660]  It busted wide open.
[00:30:30.700 --> 00:30:34.742]  Although they're trying to play damage control, gun control itself was dead.
[00:30:34.802 --> 00:30:49.887]  But now suddenly, out of the ashes of Fast and Furious comes this new gun control agenda with momentum because of these lone shooter scenarios that play in the hands of the agenda that American citizens, individuals, cannot be trusted with firearms.
[00:30:50.447 --> 00:30:53.148]  No, we just had an article on the screen, if we can throw that back up, guys.
[00:30:53.168 --> 00:30:54.949]  This was from The Telegraph.
[00:30:55.029 --> 00:30:55.889]  It's Obama.
[00:30:56.369 --> 00:30:58.490]  It talks about the Fast and Furious.
[00:30:58.530 --> 00:30:59.451]  Yeah, that's the one right there.
[00:30:59.791 --> 00:31:03.872]  Headline, Fast and Furious scandal turning into President Obama's Watergate.
[00:31:03.912 --> 00:31:05.693]  Would you agree with an assessment like that?
[00:31:07.921 --> 00:31:11.703]  No, it could be, because for one, it was far worse than Watergate.
[00:31:11.743 --> 00:31:12.964]  Watergate was a minor crime.
[00:31:13.024 --> 00:31:15.105]  I mean, Nixon should have paid for that, and he did.
[00:31:15.685 --> 00:31:21.629]  But it was a relatively minor political crime, especially in light of recent political events over the past decade or so.
[00:31:22.210 --> 00:31:25.772]  And it wasn't Obama's Watergate because it did not bring his presidency down.
[00:31:26.092 --> 00:31:27.413]  That's a very interesting point.
[00:31:27.973 --> 00:31:28.814]  Very interesting point.
[00:31:28.854 --> 00:31:34.118]  Obama's still in power, even though we have Fast and Furious going on, still ongoing.
[00:31:34.619 --> 00:31:38.602]  Eric Holder saying, I don't want to testify, I don't want to give these documents.
[00:31:38.962 --> 00:31:40.824]  And it's become a really ridiculous thing.
[00:31:40.844 --> 00:31:51.993]  Obama, I was talking to a friend of mine, he was talking about it's hard for him to latch onto Obama, even though he's an Obama supporter, because there's so many different things that Obama promotes that kind of distract from the last thing.
[00:31:52.273 --> 00:32:19.657]  Because first we had Trayvon Martin, and when I say these things, I'm not downplaying, I mean, the Trayvon Martin tragedy was definitely a tragedy, but you go from Trayvon Martin to Seal Team Six, to did they kill Bin Laden, did they not kill Bin Laden, and it just keeps going on and on, and then he's out there promoting the new Batman massacre, like you said, was just something else to take our guns, and even recently, the Obama administration says they want to come after people for using controlled substances for smoking pot.
[00:32:20.484 --> 00:32:23.670]  I mean, any excuse they can to come after your guns, they're coming after your guns, Holland.
[00:32:24.548 --> 00:32:29.692]  Exactly, and there's a lot of people who are frustrated with Obama because his whole presidency is PR.
[00:32:30.113 --> 00:32:35.737]  He has done nothing for the people, nothing for those people he promised he would do things for once he became president.
[00:32:36.258 --> 00:32:37.759]  People are seeing through that.
[00:32:38.059 --> 00:32:39.380]  They're seeing through the PR.
[00:32:39.420 --> 00:32:48.948]  That's why he may need some kind of traumatic event to absolve people of their critical thinking skills so they're not thinking about the facts.
[00:32:49.008 --> 00:32:51.470]  They're appealing to emotion because emotion can be controlled.
[00:32:51.530 --> 00:32:52.391]  Irrational people
[00:32:56.955 --> 00:33:04.901]  Yeah, you made a very good point there.
[00:33:04.921 --> 00:33:07.624]  People will buy into this shock and awe.
[00:33:07.964 --> 00:33:12.408]  So let's say if he does pull off a false flag attack, now he'll have the American people behind him.
[00:33:12.428 --> 00:33:19.814]  Because we just saw today that certain provisions of the NDAA that were reversed were actually, I guess you could call it re-reversed.
[00:33:20.514 --> 00:33:38.475]  They said that the the homeland battlefield scenario which basically claims that the United States and well It says the whole world but the United States in particular is a battlefield which would grant Obama certain or whatever president certain I guess you'd call them wartime powers to act as they please So what do you think about that?
[00:33:39.500 --> 00:34:00.578]  Well, I think it's ludicrous and an illustration of the age in which we live, which is robbed of irony, that a former constitutional scholar, who is now president, his administrations are arguing that the court's ban on NDAA is unconstitutional because it restricts his powers as commander-in-chief
[00:34:01.158 --> 00:34:17.325]  In wartime, he's in fact arguing that NDAA powers for the government to detain American citizens at will without recourse to the justice system for the duration of a decade-long war, that this is constitutional.
[00:34:18.066 --> 00:34:19.086]  That is his argument.
[00:34:19.466 --> 00:34:27.470]  And the fact that the mainstream media is accepting this argument without laughing in the administration's face tells you that they've lost total touch with reality also.
[00:34:28.396 --> 00:34:35.801]  And we've heard Obama say that he does need to consult the constitutional issue, something that Ron Paul commented on.
[00:34:36.082 --> 00:34:44.007]  And we've even seen the FBI Director Mueller, who said that he doesn't like certain provisions of the NDAA because it keeps the FBI from doing their job.
[00:34:44.348 --> 00:34:50.812]  Because if these guys are locked up in some hole in Gitmo, they can't extract information from them, you know, to solve their crime.
[00:34:50.852 --> 00:34:52.634]  So it's just an ongoing problem.
[00:34:53.669 --> 00:35:14.075]  Well, that's probably just a turf war right there, but we know that N-D-A-A, I mean, President Obama signed that on New Year's Eve, which tells you that he did not want a lot of press on that, because most media, they're out covering New Year's Eve celebrations, not covering the fact that President Obama is signing a law to be executed in this nation on New Year's Eve.
[00:35:14.115 --> 00:35:15.316]  He was trying to hide it.
[00:35:16.056 --> 00:35:30.122]  And now he's arguing in the court, before the Supreme Court, that they must have this power to detain and hold American citizens at will for suspicion of associating with quote-unquote terrorist sources.
[00:35:30.262 --> 00:35:31.863]  And that can be construed to mean anything.
[00:35:31.923 --> 00:35:32.763]  It's very dangerous.
[00:35:33.083 --> 00:35:41.287]  I mean, like Ron Paul, the fact that Ron Paul was detained on the airport tarmac right after the political convention and accused of being a terrorist threat,
[00:35:42.507 --> 00:35:43.988]  That was not mere incompetence.
[00:35:44.008 --> 00:35:48.749]  I know the TSA is composed of a lot of dim bulbs, but they're not that dumb.
[00:35:49.029 --> 00:35:50.170]  That was intimidation.
[00:35:50.190 --> 00:35:51.390]  That was political intimidation.
[00:35:51.410 --> 00:35:53.231]  That was the federal police of this nation.
[00:35:53.531 --> 00:35:54.811]  Well, they're not even actually police.
[00:35:54.851 --> 00:35:59.392]  The federal security guards are being used as a political intimidation tool.
[00:35:59.592 --> 00:36:01.413]  That's not supposed to happen in this country.
[00:36:01.653 --> 00:36:06.214]  So what's going to happen in 2016 when an independent presidential candidate runs?
[00:36:06.855 --> 00:36:07.535]  I mean, it's scary.
[00:36:08.135 --> 00:36:13.501]  And we've seen TSA, we've all known that they were going to leave the airports eventually, and they are out on the streets.
[00:36:13.722 --> 00:36:18.007]  They're even showing up at political events, Paul Ryan, Mitt Romney events.
[00:36:18.067 --> 00:36:24.134]  But if I could switch gears here for a second, we have an article, InfoWars.com, headline, Panetta, U.S.
[00:36:24.154 --> 00:36:26.697]  will attack Iran if it decides to build nuke.
[00:36:27.406 --> 00:36:28.347]  This came out last week.
[00:36:28.367 --> 00:36:29.368]  I'll read the article to you.
[00:36:29.688 --> 00:36:37.174]  Secretary of Defense Leon Panetta said Tuesday of last week that if Iran decides to build a nuclear weapon, the United States will take military action.
[00:36:37.634 --> 00:36:40.217]  And the article goes on to say that the U.S.
[00:36:40.257 --> 00:36:41.317]  has no evidence.
[00:36:41.357 --> 00:36:45.941]  It says Israel has no evidence that Iran is trying to build a nuclear weapon.
[00:36:46.241 --> 00:36:48.563]  They're just saying that they have whatever components.
[00:36:48.603 --> 00:36:55.149]  We see a potential Bush yellow cake situation where they're just saying it's over there so we have all the right to rush in.
[00:36:56.294 --> 00:36:59.097]  Well, they've laid the forms for war.
[00:36:59.137 --> 00:37:00.878]  They just have to pour in the concrete.
[00:37:00.918 --> 00:37:01.539]  It's all there.
[00:37:01.579 --> 00:37:02.720]  They're not going to rip down the forms.
[00:37:02.740 --> 00:37:03.981]  And they have to take Iran.
[00:37:04.662 --> 00:37:14.711]  Iran can shut down the Straits of Hormuz at will, and it renders the expenditure of lives and resources and time in securing the oil fields of Iraq useless.
[00:37:15.131 --> 00:37:25.515]  Unless at some point we secure total security for the Persian Gulf at the Strait of Hormuz, that means removing the current antagonistic regime of Iran.
[00:37:25.535 --> 00:37:29.977]  That's why we're going after Syria right now, the lone remaining ally in the Middle East of Iran.
[00:37:30.517 --> 00:37:40.501]  So this is all a geopolitical chess game, and this latest turmoil in the Middle East over the innocence of Muslims video, I can only interpret in that lens.
[00:37:41.161 --> 00:37:44.085]  No, you made a very interesting point that actually brings me to my next article.
[00:37:44.125 --> 00:37:45.947]  We have a new article by Kurt Nimmo.
[00:37:46.884 --> 00:37:55.589]  Neocon's Engineering October Surprise, and that's just what you talked about, this goofy Muslim movie that's out there inciting rage, so to speak.
[00:37:56.430 --> 00:37:58.671]  Paul Joseph Watson was on our radio show this morning.
[00:37:58.711 --> 00:37:59.952]  He made a very interesting point.
[00:38:00.332 --> 00:38:06.055]  He said he saw the video, at least what's posted online, and he said somebody's getting angry about this new Muslim video.
[00:38:06.075 --> 00:38:10.378]  It's like a Christian getting mad at a Monty Python video.
[00:38:10.418 --> 00:38:13.500]  So, I mean, what do you think about this new Muslim video?
[00:38:14.352 --> 00:38:17.994]  Well, I viewed the video in the lens of a filmmaker myself.
[00:38:18.354 --> 00:38:21.056]  So I looked at it as a product produced by a filmmaker.
[00:38:21.656 --> 00:38:26.558]  And about two minutes in, I was wondering if it was satire or comedy, but it wasn't funny.
[00:38:27.039 --> 00:38:28.659]  And then I realized they were being serious.
[00:38:29.140 --> 00:38:31.041]  And then I realized, well, actually, no, they're not being serious.
[00:38:31.061 --> 00:38:35.503]  This is not a serious product that anyone would ever try to sell to anyone.
[00:38:35.503 --> 00:38:36.003]  We're good to go.
[00:38:54.455 --> 00:38:56.897]  Comically bad, but it's not funny.
[00:38:57.598 --> 00:38:58.238]  It's insulting.
[00:38:58.278 --> 00:39:00.140]  I was embarrassed for the filmmakers.
[00:39:00.960 --> 00:39:06.485]  No one could take it seriously, and I can only imagine that it was a deliberate... It's cover for what's going on overseas.
[00:39:07.405 --> 00:39:08.326]  You made a very good point.
[00:39:08.366 --> 00:39:10.408]  I like what you said talking about being a filmmaker.
[00:39:10.468 --> 00:39:17.373]  When you see films such as Kony 2012, this is a little off topic, but when you see films like Kony 2012, what do you think about things like that?
[00:39:17.894 --> 00:39:19.635]  Is that propaganda?
[00:39:19.675 --> 00:39:20.276]  What is that?
[00:39:20.296 --> 00:39:21.216]  What is your view on the Kony 2012?
[00:39:22.290 --> 00:39:34.120]  Well, I admired the speed at which the message was spread, which is why I looked into it, because that's what we're all trying to do, to compose a message about something right that needs to be wrong, and giving it to the world and watching it explode.
[00:39:34.140 --> 00:39:35.021]  That's what we all want to do.
[00:39:35.061 --> 00:39:47.412]  So I looked at Kony 2012 and I realized that it was fulfilling a foreign policy objective in Congo and Uganda over this mysterious Kony who hasn't been seen in six years.
[00:39:47.472 --> 00:39:48.312]  It's a non-issue.
[00:39:48.353 --> 00:39:48.713]  In fact,
[00:39:49.133 --> 00:39:55.457]  It's been proven that the filmmakers collaborated with the regimes in Africa and throwing some people in their movie in jail to be tortured.
[00:39:56.397 --> 00:40:02.201]  Of course, the subsequent meltdown of the filmmaker was not expected by those who put it out.
[00:40:02.701 --> 00:40:09.285]  So you can see that even though they try to, that they engage in memetic engineering, creating these memes are going to influence behavior.
[00:40:09.745 --> 00:40:12.786]  Through YouTube videos, through music videos, through TV and film.
[00:40:13.126 --> 00:40:18.087]  They insert these viruses into the human thinking to try to alter our behavior.
[00:40:18.127 --> 00:40:19.628]  And Kony2012 is part of that.
[00:40:20.008 --> 00:40:20.688]  And it imploded.
[00:40:20.708 --> 00:40:24.989]  It blew up in their face because the filmmaker, something went really bad there.
[00:40:25.489 --> 00:40:27.249]  So we can see that they're trying.
[00:40:27.429 --> 00:40:28.610]  They're not very good.
[00:40:28.710 --> 00:40:31.330]  For example, this Innocence of Muslims video is atrocious.
[00:40:31.430 --> 00:40:32.051]  It's horrible.
[00:40:32.091 --> 00:40:33.191]  It's a joke.
[00:40:34.391 --> 00:40:37.052]  And if that was an earnest effort, I'm embarrassed for the controllers.
[00:40:37.796 --> 00:40:41.958]  Yeah, people comparing it to a South Park, you know, Team America kind of movie.
[00:40:41.978 --> 00:40:42.598]  Yeah, yeah, yeah.
[00:40:42.639 --> 00:40:47.121]  You know, I haven't had a chance to see the whole thing, but the clips I saw were pretty bad.
[00:40:47.641 --> 00:40:55.285]  So, as far as, you know, you being an expert on false flags, having done this film, do you see any big risk, any, you know, new target for the U.S.?
[00:40:55.365 --> 00:40:57.746]  Anything that we may want to look out for?
[00:40:57.766 --> 00:41:03.729]  Because we see that they're rolling out to bus stations and going out to sports venues.
[00:41:03.749 --> 00:41:06.291]  Do you foresee any big event?
[00:41:07.071 --> 00:41:10.712]  Well, obviously, like I said before, the crosshairs are on Iran.
[00:41:10.772 --> 00:41:11.792]  Syria is merely in the way.
[00:41:11.892 --> 00:41:15.393]  Perhaps they'll have to wait to take care of Syria before they go after Iran.
[00:41:15.433 --> 00:41:18.434]  But when Syria falls, Iran is definitely next.
[00:41:18.854 --> 00:41:22.835]  And that is going to be bad, because it's going to be perhaps a joint strike between the U.S.
[00:41:22.855 --> 00:41:23.315]  and Israel.
[00:41:25.135 --> 00:41:26.595]  Iran's going to respond in kind.
[00:41:26.615 --> 00:41:30.196]  They're going to respond by shutting down the Straits of Hormuz, which they can at will.
[00:41:30.596 --> 00:41:32.897]  That means oil prices go through the roof.
[00:41:33.737 --> 00:41:38.461]  Uh, perhaps leading to an economic collapse in this country or a food supply collapse.
[00:41:38.481 --> 00:41:45.126]  That's very possible if food is so expensive to transport that it's not worth transporting it because no one can make any money.
[00:41:45.446 --> 00:41:48.388]  And of course if the government tries to step in to move food, that's going to be a disaster.
[00:41:48.408 --> 00:41:49.029]  It's not going to work.
[00:41:49.509 --> 00:41:56.553]  So, I think if we go into Iran, we're really going to see, at the very least, a major historic economic downturn.
[00:41:56.593 --> 00:42:00.155]  And also, in terms of retribution, Iran is going to strike back.
[00:42:00.775 --> 00:42:05.898]  If we attack their country, they're going to activate cells in this country that have been planted here for years.
[00:42:05.938 --> 00:42:12.121]  And if not that, you know, the CIA will activate their own cells and create a wave of terror across this country.
[00:42:12.581 --> 00:42:15.323]  Small time attacking shopping malls, attacking small targets.
[00:42:15.783 --> 00:42:20.747]  That will lead to a nationwide rule of martial law, which people will welcome.
[00:42:21.167 --> 00:42:23.769]  Because there will be small things getting blown up left and right.
[00:42:23.909 --> 00:42:25.731]  If we go into Iran, there will be terrorism.
[00:42:26.171 --> 00:42:29.594]  In this country, there will be a concrete police state.
[00:42:29.994 --> 00:42:30.755]  I can guarantee that.
[00:42:31.465 --> 00:42:34.846]  Yes, you make an excellent point talking about the police.
[00:42:34.886 --> 00:42:36.547]  We all know there are FEMA camps.
[00:42:36.587 --> 00:42:39.729]  We've seen it on the Jesse Ventura Show, Conspiracy Theory.
[00:42:40.129 --> 00:42:44.691]  Alex and Jesse, they go out and they meet the people who run these FEMA camps.
[00:42:45.111 --> 00:42:49.653]  And they say, or whatever name they gave them, the housing units or whatever they call them.
[00:42:49.933 --> 00:42:52.154]  And they say, oh, the kids are very happy here.
[00:42:52.174 --> 00:42:56.896]  And they say, why do we have barbed wire fences and bales of razor wire out here?
[00:42:57.316 --> 00:42:58.697]  So, I mean, you make a very good point.
[00:42:58.757 --> 00:42:59.858]  People need to be prepared.
[00:43:00.178 --> 00:43:03.980]  They need to, I'm not saying go out and buy a bunch of guns, but go get your food and your water.
[00:43:04.340 --> 00:43:08.583]  Be prepared in case a false flag attack happens.
[00:43:08.923 --> 00:43:11.525]  Do you make any preparations when you're on your radio show?
[00:43:11.785 --> 00:43:16.668]  And if anybody calls in to ask you about preparations, do you make any particular type of preparations?
[00:43:18.038 --> 00:43:24.743]  Well, I mean, I'm not an economics expert, so I actually, I stock up on a little metal, but not too much, simply because it's not my thing.
[00:43:24.783 --> 00:43:27.004]  I rather, frankly, I stock up on firearms.
[00:43:27.364 --> 00:43:27.524]  Really?
[00:43:27.544 --> 00:43:31.187]  Because, not just for use, but for barter and trading.
[00:43:31.247 --> 00:43:35.670]  If something really does go down, guns are literally going to be worth their weight.
[00:43:35.750 --> 00:43:39.132]  And gold, you can sell them as gold, and you can actually use them if you need to.
[00:43:39.152 --> 00:43:41.033]  You can't throw your gold pieces at someone.
[00:43:42.314 --> 00:43:44.616]  So, that's, and also food.
[00:43:44.676 --> 00:43:45.516]  That's the big thing, food.
[00:43:45.536 --> 00:43:47.738]  I don't want to be having to line up at a local Walmart
[00:43:48.398 --> 00:43:54.563]  Now, talking about the government getting ready for martial law, they've gone out and bought over a billion bullets now between various agencies.
[00:43:54.583 --> 00:43:58.526]  They're saying they're for target practice and now they're even talking about they have sniper bullets, supposedly blanks.
[00:44:14.915 --> 00:44:23.446]  That I guess for target practice, well, you target practice to eventually shoot something, you know, so what are they gearing up for?
[00:44:23.767 --> 00:44:29.134]  Do you see any reason or need for them to have all these stockpiles of bullets and new armored vehicles?
[00:44:30.215 --> 00:44:30.716]  I do not.
[00:44:30.956 --> 00:44:36.400]  The logic dictates that society does not need that to solve crime or even terrorism.
[00:44:36.860 --> 00:44:40.903]  Good investigation, proper national security would solve the terrorism problem.
[00:44:41.243 --> 00:44:45.927]  The national defense problem could be solved by not intervening in wars overseas.
[00:44:45.967 --> 00:44:49.649]  The only use of these armored vehicles... I mean, those sniper rounds are no joke.
[00:44:49.689 --> 00:44:51.310]  That's what the snipers are using overseas.
[00:44:52.131 --> 00:44:53.992]  Sierra Match King holopoints.
[00:44:54.052 --> 00:44:55.513]  Those are the real deal.
[00:44:55.874 --> 00:44:56.254]  168 grain.
[00:44:56.694 --> 00:44:57.735]  Those are used for killing people.
[00:44:57.755 --> 00:44:58.416]  They're not blanks.
[00:44:59.897 --> 00:45:03.463]  So what we're seeing is the federal law enforcement agencies gearing up.
[00:45:04.425 --> 00:45:04.965]  For what?
[00:45:05.807 --> 00:45:07.309]  I mean, what is going to happen?
[00:45:07.549 --> 00:45:08.431]  What are they foreseeing?
[00:45:08.511 --> 00:45:09.853]  What are they planning for?
[00:45:09.933 --> 00:45:10.995]  They know something we don't.
[00:45:11.456 --> 00:45:11.956]  Exactly.
[00:45:12.257 --> 00:45:12.678]  Exactly.
[00:45:13.439 --> 00:45:15.961]  All right, our guest is Holland Vanden Nieuwenhoff.
[00:45:16.301 --> 00:45:17.242]  Can you give us your sights?
[00:45:18.463 --> 00:45:22.146]  Well, of course, you can check out the movie, A Noble Lie, at the InfoWarshop.
[00:45:22.706 --> 00:45:24.448]  Check it out there, make your purchase.
[00:45:24.468 --> 00:45:28.111]  You can check out the trailer and contact us about the movie at a noblelie.com.
[00:45:28.711 --> 00:45:33.595]  And I also have my own radio show, Free Mind Report at freemindreport.com.
[00:45:33.655 --> 00:45:36.497]  It's heard in Austin on 90.1, Monday evenings, 6 to 8 p.m.
[00:45:39.966 --> 00:45:40.307]  Okay.
[00:45:40.848 --> 00:45:41.189]  All right.
[00:45:41.229 --> 00:45:42.872]  And the film is A Noble Lie.
[00:45:42.892 --> 00:45:43.714]  I've seen it myself.
[00:45:43.814 --> 00:45:45.017]  I very much enjoyed it.
[00:45:45.337 --> 00:45:47.041]  And I want to thank you, Holland, for your time.
[00:45:47.121 --> 00:45:49.887]  And please stop by if you have any new developments.
[00:45:49.907 --> 00:45:50.708]  How's the film doing?
[00:45:51.821 --> 00:45:52.661]  It's doing very well.
[00:45:53.082 --> 00:45:55.963]  Actually, we just got word that we got accepted to two more film festivals.
[00:45:56.403 --> 00:45:57.563]  I don't even know the names.
[00:45:57.623 --> 00:45:58.424]  It's doing very well.
[00:45:59.124 --> 00:46:10.289]  And we're actually working on a current project right now called State of Mind, The Psychology of Control, which is a treatment of mind control, examination of the concept of mind control on societal and individual level.
[00:46:11.409 --> 00:46:11.909]  All right.
[00:46:12.030 --> 00:46:15.231]  Our guest is Holland Vanden Neuwenhoff, and we definitely thank you for your time, Holland.
[00:46:15.991 --> 00:46:16.291]  Thank you.
[00:46:16.351 --> 00:46:16.852]  Thank you very much.
[00:46:17.312 --> 00:46:17.632]  All right.
[00:46:18.533 --> 00:46:23.695]  And there he goes, ladies and gentlemen, another excellent breakdown of the coming police state.
[00:46:23.816 --> 00:46:25.036]  Like he said, get ready.
[00:46:25.416 --> 00:46:30.999]  They could roll out a new false flag at any moment, so just be prepared for that.
[00:46:31.339 --> 00:46:32.960]  The film, A Noble Eye.
[00:46:33.320 --> 00:46:36.081]  You can get your copy of A Noble Eye at the Info Wars shop.
[00:46:36.401 --> 00:46:38.622]  You'll see it right there for $19.95.
[00:46:38.662 --> 00:46:45.866]  A great film to show your family and friends, people who are skeptical of false flag situations we see in this film.
[00:46:47.447 --> 00:46:57.190]  Well, the official story says that Timothy McVeigh never stepped foot inside the Murrah Building, but even though there were bombs found inside the Murrah Building, so if he never went in there, how did those bombs get there?
[00:46:57.210 --> 00:46:58.291]  And that's not speculation.
[00:46:58.571 --> 00:47:04.133]  You can see on the film, the then Governor of Oklahoma, Frank Keating, saying that there were bombs found inside the building.
[00:47:04.153 --> 00:47:05.314]  So, a great film.
[00:47:06.695 --> 00:47:08.976]  Another great product from Infowars.com.
[00:47:09.236 --> 00:47:14.859]  And also, if you like this film, if you like our guests, support our broadcast by subscribing to PrisonPlanet.tv.
[00:47:15.200 --> 00:47:22.104]  For those of you who are watching on YouTube, we definitely appreciate your views, but subscribe to our PrisonPlanet.tv.
[00:47:22.344 --> 00:47:24.305]  It really supports our broadcast because people say,
[00:47:24.705 --> 00:47:25.925]  Hey, you guys should get this guy on.
[00:47:25.945 --> 00:47:26.825]  You should get that guy on.
[00:47:26.845 --> 00:47:27.526]  You guys should do this.
[00:47:27.546 --> 00:47:28.086]  You should do that.
[00:47:28.446 --> 00:47:29.686]  And we want to do that stuff.
[00:47:29.726 --> 00:47:37.367]  We just need support from our viewers to help us do those things, because we don't have a big corporate sugar daddy leaving money on the dresser at night for us.
[00:47:37.587 --> 00:47:40.188]  We're viewer-supported by people like you.
[00:47:40.548 --> 00:47:41.768]  So support our broadcast.
[00:47:42.088 --> 00:47:43.968]  And that's it for the InfoWars Nightly News.
[00:47:44.288 --> 00:47:45.429]  I'm your host, Jakari Jackson.
[00:47:45.449 --> 00:47:49.509]  The Lord willing, we'll be right back tomorrow night with another slew of great reports.
[00:47:49.849 --> 00:47:52.330]  So this is Jakari Jackson for the InfoWars Nightly News.
[00:47:52.490 --> 00:47:53.090]  You have a good night.
