[00:00:22.301 --> 00:00:23.402]  Welcome, my friends!
[00:27:12.749 --> 00:27:14.129]  It compounded the problem.
[00:27:14.449 --> 00:27:19.751]  We've delayed some of the pain, but the pain is going to be far more agonizing now because of what we did.
[00:27:19.771 --> 00:27:26.393]  I mean, we are going to have a collapse in the bond market and or the currency market or, you know.
[00:27:26.953 --> 00:27:31.678]  And when that happens, it's going to be very painful for average Americans.
[00:27:31.718 --> 00:27:34.721]  I mean, right now, if you still have a job, the U.S.
[00:27:34.781 --> 00:27:36.202]  economy, it's not that bad.
[00:27:36.643 --> 00:27:40.026]  But we get a collapse of the dollar, we get runaway inflation.
[00:27:40.326 --> 00:27:44.871]  Having a job is not going to be much of a consolation if your paycheck doesn't buy anything.
[00:27:45.171 --> 00:27:49.994]  So things are going to get very bad, very fast when this thing starts to unravel.
[00:27:50.314 --> 00:28:04.042]  And all it takes is the world to figure out that this whole thing is an illusion, that inflation is a lot worse than the Fed maintains, and that the Fed is powerless to do anything about it without toppling the U.S.
[00:28:04.102 --> 00:28:04.542]  economy.
[00:28:04.582 --> 00:28:06.684]  Because they can't raise interest rates.
[00:28:06.744 --> 00:28:08.705]  We have got so much debt right now.
[00:28:09.005 --> 00:28:09.185]  I think?
[00:28:31.019 --> 00:28:38.006]  The Fed is keeping interest rates as low as possible, but that is screwing up the economy more and more because we go deeper into debt.
[00:28:38.266 --> 00:28:41.929]  You know, we take all that, all those free drugs and we use them because they're free.
[00:28:42.250 --> 00:28:46.374]  But meanwhile, you know, we build up a bigger problem because of that.
[00:28:46.434 --> 00:28:52.800]  And ultimately, we've got to go cold turkey, which we're going to have to do if we want to avoid the death by overdose.
[00:28:54.421 --> 00:28:55.862]  It's going to be that much more difficult.
[00:29:13.277 --> 00:29:14.418]  He's capable of doing it.
[00:29:14.879 --> 00:29:15.599]  And if the U.S.
[00:29:15.699 --> 00:29:28.092]  actually goes down publicly in a hard crash, can you imagine the confidence-destroying shockwaves that's going to have and the bedlam that is going to break out from that?
[00:29:28.752 --> 00:29:30.893]  Oh yeah, and you know, as I said, there's only two choices.
[00:29:31.293 --> 00:29:39.935]  Either we have massive inflation that destroys the economy, or we avoid the massive inflation with big increases in interest rates and that destroys the economy.
[00:29:39.975 --> 00:29:41.335]  But there's no way around it.
[00:29:41.555 --> 00:29:47.377]  I mean, at least if we destroy the economy without destroying the dollar, then we can rebuild a viable one.
[00:29:47.417 --> 00:29:48.537]  Because what we have now
[00:29:48.937 --> 00:29:49.257]  Sure, sure.
[00:30:09.816 --> 00:30:18.023]  And the establishment doesn't want to go in that direction because they get first use of that 0% money and then get to loan it out.
[00:30:18.283 --> 00:30:22.867]  But they are basically like the snake consuming itself in the endgame.
[00:30:23.227 --> 00:30:24.188]  It's terrible.
[00:30:24.508 --> 00:30:31.814]  How do you think then the constellation of special interests that control Washington and Europe
[00:30:32.755 --> 00:30:39.538]  You know, knowing, researching what they're going to do so you can make your financial decisions.
[00:30:39.818 --> 00:30:41.458]  How do you see them responding?
[00:30:41.478 --> 00:30:45.740]  Because I see them getting ready for collapse, civil unrest, trying to start wars.
[00:30:45.760 --> 00:30:49.161]  They might be, you know, if they're smart enough to understand that's going to happen.
[00:30:49.201 --> 00:30:53.423]  But, you know, they're just trying to get by election cycle to election cycle.
[00:30:53.703 --> 00:31:11.905]  They just want to make sure that they're the ones in office, that they have the power, and they're going to deal with these crises, and they're going to use them as an opportunity to grab even more power and more wealth for themselves, and they're going to blame it all on capitalism and the inherent failures that we need to rely on government to solve.
[00:31:12.486 --> 00:31:25.460]  Ultimately, the real winners, Alex, of this are going to be the emerging markets, countries like China, that are wasting a fortune, propping up our economy, trying to keep us consuming things that we can't afford.
[00:31:26.201 --> 00:31:28.884]  We are really screwing up the global economy.
[00:31:28.904 --> 00:31:30.966]  We are exploiting bad monetary policy.
[00:31:31.447 --> 00:31:33.108]  So you agree with Jim Rogers on that?
[00:31:33.869 --> 00:31:42.214]  Yeah, I mean, that is going to be a giant, you know, like a huge new revolution outside the United States.
[00:31:42.294 --> 00:31:43.415]  When the U.S.
[00:31:43.475 --> 00:31:47.017]  finally collapses, people think, well, gee, the whole world is going to suffer.
[00:31:47.077 --> 00:31:48.657]  No, the world is suffering now.
[00:31:48.978 --> 00:31:58.283]  The world is suffering the cost of having to support us, having to keep lending us money, having to keep supplying us with goods and resources that other people are doing without.
[00:31:58.303 --> 00:32:01.745]  But in the short term, do you agree it's going to have some wild shockwaves?
[00:32:03.151 --> 00:32:03.491]  Excuse me?
[00:32:03.711 --> 00:32:06.393]  In the short term, do you agree it's going to have some shockwaves, though?
[00:32:06.613 --> 00:32:13.578]  Well, it's going to have shockwaves, but some of them are going to be very positive for the countries that have been lending us money and supplying us with goods.
[00:32:13.678 --> 00:32:15.920]  I mean, their people are suffering now.
[00:32:15.940 --> 00:32:20.964]  I mean, you always hear people talk about the fact that Americans are living beyond their means.
[00:32:21.444 --> 00:32:24.166]  And a lot of people agree we are living beyond our means.
[00:32:24.226 --> 00:32:25.747]  But how is that possible?
[00:32:26.147 --> 00:32:30.811]  It's only possible because somebody else outside of America is living beneath their means.
[00:32:31.351 --> 00:32:42.053]  And so if we stop living above our means, that means the people who are living beneath their means now can see a big increase in their standard of living because they can start consuming commensurate with their own productivity.
[00:32:42.093 --> 00:32:47.774]  So many people are going to benefit when this economic pecking order reverses.
[00:32:48.235 --> 00:32:52.155]  We're way up on the top of the pyramid right now, but we're not going to stay there because we don't belong there.
[00:32:52.535 --> 00:32:55.036]  We got to the top because we were the freest people.
[00:32:55.376 --> 00:33:02.918]  We were the most productive people, and we did that because we had the smallest government that didn't regulate, that didn't tax, that didn't micromanage.
[00:33:03.258 --> 00:33:04.559]  That's not the case anymore.
[00:33:04.599 --> 00:33:06.960]  We don't have that comparative advantage in freedom.
[00:33:07.160 --> 00:33:23.645]  We're a high-tax, high-regulated society, and we're mired in debt, and we're simply living off of our past glory, but we don't deserve the status that we have, and eventually, you know, reality is, you know, the perception is going to match the reality, just like the stock market bubble
[00:33:24.125 --> 00:33:27.388]  Burst, because it wasn't what people thought, just like the real estate bubble burst.
[00:33:27.748 --> 00:33:28.348]  This U.S.
[00:33:28.408 --> 00:33:36.514]  bubble, this government-treasury-dollar bubble is going to burst, and when it does, I mean, we're going to have to deal with the consequences, which are going to be horrific.
[00:33:37.375 --> 00:33:38.416]  Well, I agree with that.
[00:33:38.876 --> 00:33:40.538]  I've only got a few more questions, Peter.
[00:33:40.938 --> 00:33:41.658]  What's the time?
[00:33:41.678 --> 00:33:51.386]  I mean, I know you keep saying we don't know the exact times, but if you had to dead reckon, when will everybody basically know that this process you're talking about has played itself out?
[00:33:52.233 --> 00:33:58.355]  Well, when the dollar is no longer the safe haven, when treasuries are no longer the safe haven, I don't know how much longer we have.
[00:33:58.375 --> 00:34:08.379]  I think that this is the time period where all the highly indebted sovereigns are having to deal with the consequences of their profligacy.
[00:34:08.639 --> 00:34:14.361]  You're seeing it play out in Europe first, but it's going to happen for the U.S.
[00:34:14.421 --> 00:34:16.082]  Japan has got debt problems.
[00:34:16.102 --> 00:34:18.423]  There are a lot of governments that have borrowed too much money
[00:34:18.943 --> 00:34:23.047]  And they haven't had to deal with the problem, and now it's happening.
[00:34:23.308 --> 00:34:24.669]  It started in Europe.
[00:34:25.169 --> 00:34:29.414]  Just like if you remember, how did the mortgage crisis evolve?
[00:34:29.654 --> 00:34:31.255]  It started in subprime.
[00:34:31.536 --> 00:34:37.041]  And at the time, all the experts, including the Fed and the Treasury Department, said, don't worry, it's contained.
[00:34:37.401 --> 00:34:38.422]  It wasn't contained.
[00:34:38.743 --> 00:34:40.545]  It just simply moved up the food chain.
[00:34:40.785 --> 00:34:43.427]  It consumed all the mortgages, including the prime mortgages.
[00:34:44.028 --> 00:34:47.632]  Because the problem was the same throughout the mortgage industry.
[00:34:47.892 --> 00:34:51.837]  It wasn't simply, you know, the subprime market, but that's what a lot of people thought.
[00:34:52.257 --> 00:34:54.300]  That's the same thing with sovereign credit.
[00:34:54.460 --> 00:35:00.006]  So why have they lowered France to our level in credit rating, but then they still say the U.S.
[00:35:00.066 --> 00:35:01.448]  is better and everybody floods here?
[00:35:01.768 --> 00:35:04.010]  Is it because the United States has the most nuclear weapons?
[00:35:04.824 --> 00:35:13.388]  I don't think that has anything to do with it, but yeah, it's interesting that the dollar is down today, treasuries are up, because people are worried that France just got downgraded.
[00:35:13.648 --> 00:35:17.290]  They got downgraded to the same level that America is already at.
[00:35:18.770 --> 00:35:23.652]  And the truth is, we don't even deserve the double A plus rating that we currently have.
[00:35:23.972 --> 00:35:26.834]  We should have been downgraded many latches below that.
[00:35:27.534 --> 00:35:29.255]  I don't even think we should have an investment.
[00:35:29.275 --> 00:35:29.475]  Great.
[00:35:29.515 --> 00:35:30.735]  I think our debt is junk.
[00:35:31.096 --> 00:35:34.617]  There is no possible way we can repay it with real money.
[00:35:34.817 --> 00:35:35.297]  Sure.
[00:35:35.317 --> 00:35:36.358]  Maybe you missed my point.
[00:35:36.418 --> 00:35:38.499]  I mean, obviously the giant U.S.
[00:35:38.539 --> 00:35:43.521]  military, though, in the final equation, is probably why our rating is still high.
[00:35:43.561 --> 00:35:46.042]  I'm not saying we deserve that, but obviously that fact...
[00:35:47.005 --> 00:35:59.836]  I don't know how our military has anything to do with our credit rating because if we end up printing a bunch of money to pay our bills and we screw our creditors, it doesn't matter that we can blow them up, we're not paying them back.
[00:35:59.876 --> 00:36:03.379]  I mean, there is no feasible way that Americans should pay back their debt.
[00:36:03.399 --> 00:36:07.003]  Okay, then why do we still have that high rating if it's junk as you say, which I agree.
[00:36:08.035 --> 00:36:08.635]  Well, we haven't.
[00:36:08.675 --> 00:36:13.658]  Look, the S&P put AAA ratings on mortgage paper that went to zero.
[00:36:13.678 --> 00:36:18.080]  I mean, I think there's a lot of politics involved with these rating agencies.
[00:36:18.140 --> 00:36:19.681]  I mean, the government sanctions them.
[00:36:19.701 --> 00:36:24.743]  There's not that many companies that are even authorized to rate securities like S&P.
[00:36:24.803 --> 00:36:28.765]  So I think they're under a lot of pressure not to anger the governments.
[00:36:28.825 --> 00:36:33.408]  And so I think they give them too high a rating for that reason.
[00:36:33.908 --> 00:36:37.834]  But look, a lot of people just don't want to admit the obvious or they're oblivious to it.
[00:36:37.874 --> 00:36:49.070]  Just like I said earlier, the Federal Reserve and all their expert economists were on the cusp of the greatest collapse since the Great Depression and these experts had no idea it was coming.
[00:36:49.551 --> 00:36:56.818]  I mean, that's the equivalent of a weatherman not being able to see a Category 5 tornado when it's 50 miles off the coast.
[00:36:57.159 --> 00:37:01.082]  Yet, these clowns are still in charge of making economic policy.
[00:37:01.122 --> 00:37:07.128]  So, if the Fed economists couldn't figure it out, why should the S&P or Moody's economists be any better?
[00:37:07.188 --> 00:37:09.731]  I mean, they're getting the people from the same sources.
[00:37:10.111 --> 00:37:15.296]  Let me add this final proviso and get your take on it in closing with a brief mention of Iran and what you think about that.
[00:37:15.696 --> 00:37:20.060]  Look, if the State Department, if these major corporations based in the U.S.
[00:37:20.581 --> 00:37:27.567]  have been buying off politicians, paying people off, giving them sweetheart business deals, the world is holding all these dollars.
[00:37:27.968 --> 00:37:35.675]  They know they've been conned, they know they've been ripped off, they know they're being devalued, but they realize if they stop propping up the U.S.,
[00:37:36.095 --> 00:37:37.635]  They'll really be devalued.
[00:37:37.895 --> 00:37:47.778]  So they're so deeply involved in the Ponzi scheme, just like somebody on Social Security, even though it's going to bring down the whole system, they can't extricate themselves out of it.
[00:37:48.338 --> 00:37:49.298]  You always can.
[00:37:49.338 --> 00:37:54.140]  I mean, sometimes you think you're in a trap where you have to throw good money after bad forever.
[00:37:54.620 --> 00:38:03.642]  But I think when our creditors really take a look at this, and I'm sure they already have, you take China, for example, and if China has $2 trillion in change,
[00:38:04.122 --> 00:38:04.302]  Yeah.
[00:38:28.703 --> 00:38:29.163]  Yes, sir.
[00:38:46.892 --> 00:38:54.537]  I mean, yes, they can use their interest payments to buy more bonds, but they can't use it for something that actually benefits the Chinese.
[00:38:54.757 --> 00:38:57.519]  They can't take the money and spend it on something they want.
[00:38:57.859 --> 00:39:01.841]  All they can do is keep loaning it back to us, and we buy the stuff that we want.
[00:39:01.861 --> 00:39:03.362]  But it's not helping the Chinese.
[00:39:03.442 --> 00:39:04.083]  It's amazing.
[00:39:04.523 --> 00:39:10.247]  Well, very interesting points, and the clock is ticking on
[00:39:11.007 --> 00:39:11.628]  I don't
[00:39:35.186 --> 00:39:38.830]  Military expenditures, when we're already spending too much money on it as it is.
[00:39:38.850 --> 00:39:41.233]  I mean, that's where Ron Paul's got it right, you know.
[00:39:41.253 --> 00:39:46.959]  I think other than Rick Perry, he's the only Republican candidate that actually served in the military.
[00:39:46.999 --> 00:39:53.746]  All these other chicken hawks are out there talking about, we need more, we need to go to war, when none of them actually are, you know, has served.
[00:39:53.746 --> 00:39:54.426]  We're good to go.
[00:40:18.604 --> 00:40:38.838]  But he certainly thinks that our leaders have bad policy and our fallen policy has been bad and has contributed to a lot of the resentment that's felt around the world for the United States and we should rethink that type of foreign policy and be more concerned about defending America, especially not from the Middle East, but from Washington, D.C.
[00:40:38.878 --> 00:40:41.760]  I mean, that's where our greatest threat to our liberty comes from.
[00:40:41.800 --> 00:40:42.901]  It doesn't come from without.
[00:40:43.381 --> 00:40:44.342]  It comes from within.
[00:40:44.682 --> 00:40:45.163]  No kidding.
[00:40:45.183 --> 00:40:46.644]  Look at the NDAA, all of it.
[00:40:47.204 --> 00:40:48.085]  Peter, I'm about to end the show.
[00:40:48.125 --> 00:40:49.546]  Let me say bye to you here in just a moment.
[00:40:49.566 --> 00:40:50.207]  All right.
[00:40:50.487 --> 00:40:50.808]  Thank you.
[00:40:51.048 --> 00:40:53.970]  Folks, that was an amazing interview with Peter Schiff.
[00:40:54.751 --> 00:40:58.674]  We'll be back this Sunday on the Syndicated Radio Show, 4 to 6, back Monday, 11 a.m.
[00:40:58.695 --> 00:41:03.839]  to 2 p.m., and of course back here next Monday night, Lord willing, at 7 a.m.
[00:41:03.899 --> 00:41:04.360]  Central.
[00:41:05.180 --> 00:41:06.321]  That's it for this Friday, 13th.
[00:41:07.823 --> 00:41:10.447]  2012 edition of InfoWars Nightly News.
[00:41:10.788 --> 00:41:15.094]  Great job to the crew and great job to all the subscribers at InfoWarsNews.com.
[00:41:15.375 --> 00:41:16.537]  I'm Alex Jones signing off.
