[00:00:01.711 --> 00:00:02.272]  We've got it!
[00:24:58.230 --> 00:24:58.530]  Really?
[00:24:58.610 --> 00:25:00.432]  Why'd Hitler blow up his own Capitol building?
[00:25:01.112 --> 00:25:04.395]  Why'd our government attack its own ships and say that Viet Cong did it?
[00:25:04.655 --> 00:25:06.576]  To start the Vietnam War!
[00:25:06.916 --> 00:25:07.857]  Gulf of Tonkin!
[00:25:07.877 --> 00:25:09.618]  I mean, you don't know why?
[00:25:10.419 --> 00:25:13.280]  Let me give you a Final Fantasies, a cartoon.
[00:25:13.860 --> 00:25:14.460]  Pretty good movie.
[00:25:15.021 --> 00:25:19.902]  And the head general wants to be able to take over, so he lets the enemy into one of the main command bases.
[00:25:21.043 --> 00:25:28.485]  You know, children's movies understand this, but adults go, I just don't see why the government would let terrorists attack us.
[00:25:29.026 --> 00:25:30.506]  Because they use the terrorists!
[00:25:30.546 --> 00:25:32.407]  It's not our government, it's foreign banks!
[00:25:35.356 --> 00:25:40.204]  Continuing, but all these dramas were facilitated by the FBI.
[00:25:41.386 --> 00:25:48.717]  It goes on, men in Newborough, New York had a fanciful idea to fly explosive laden model airplanes into the Pentagon and the Capitol.
[00:25:49.875 --> 00:25:51.196]  Was hatched in Massachusetts.
[00:25:51.817 --> 00:26:05.247]  But all these dramas were facilitated by the FBI, whose undercover agents and informers posed as terrorists, offering a dummy missile, fake C-4 explosives, a dismantled suicide vest, and rudimentary training.
[00:26:05.607 --> 00:26:08.289]  Suspects naively played their parts until they were arrested.
[00:26:08.549 --> 00:26:11.512]  Yeah, the guy that was gonna blow up the Christmas tree in Portland?
[00:26:12.844 --> 00:26:16.626]  Turned out he had been totally picked, told to attack the Christmas tree by the FBI.
[00:26:16.946 --> 00:26:17.527]  That's the issue.
[00:26:17.547 --> 00:26:22.089]  They go find literal loons or mentally retarded people.
[00:26:22.849 --> 00:26:23.510]  They profile them.
[00:26:24.010 --> 00:26:26.391]  And then they tell them what to attack.
[00:26:26.912 --> 00:26:28.192]  Klan groups, all of it.
[00:26:28.733 --> 00:26:34.596]  Black, new Black Panthers, taught white supremacists over and over again.
[00:26:35.296 --> 00:26:36.637]  All over the country it's admitted.
[00:26:37.978 --> 00:26:39.819]  When an Oregon student, Mohammed
[00:26:41.098 --> 00:26:49.703]  Osama Mohammed, I mean, what a moron that changed his name to that, thought of using a car bomb to attack a festive Christmas tree lighting ceremony in Portland.
[00:26:49.983 --> 00:26:59.708]  The FBI provided a van loaded with six 55-gallon drums of inert material, harmless blasting caps and detonator cord, and a gallon of diesel fuel to make the van smell flammable.
[00:27:00.188 --> 00:27:06.011]  An undercover FBI agent even did the driving with Mr. Mohammed, the passenger seat, to trigger the bomb.
[00:27:07.052 --> 00:27:08.072]  And they go, is this legal?
[00:27:08.153 --> 00:27:08.833]  Is it legitimate?
[00:27:10.802 --> 00:27:12.062]  Folks, of course it's not.
[00:27:12.342 --> 00:27:15.523]  The point is the FBI has carried out the attacks before.
[00:27:16.183 --> 00:27:20.624]  I point you back to the New York Times back in 1993, the first World Trade Center attack.
[00:27:20.844 --> 00:27:23.144]  Now let me bring you to the next little tidbit.
[00:27:25.765 --> 00:27:36.206]  Remember I pointed out that Breitbart was saying he was going to release that day stuff with Obama at communist meetings and calling for communism and race war and stuff like that.
[00:27:36.666 --> 00:27:39.867]  He died hours before he was going to release it.
[00:27:41.212 --> 00:27:47.455]  And the media said within an hour and a half, not more than two hours, that don't worry, it's natural causes, nothing to see here, move along.
[00:27:48.216 --> 00:27:52.598]  Even though it takes, you know, three, four weeks with Whitney Houston, months for Michael Jackson, anybody else.
[00:27:53.258 --> 00:27:57.700]  They, within an hour and a half, just, the media just said, listen, you know, he died normally.
[00:27:59.161 --> 00:28:00.602]  We don't know how he died, but just go to sleep.
[00:28:03.280 --> 00:28:09.441]  And then the main medical examiner's office came out and said, well, our preliminary autopsy's done, but the toxicology isn't.
[00:28:09.721 --> 00:28:11.622]  There's not extreme trauma.
[00:28:11.642 --> 00:28:13.322]  There's not too much blunt force trauma.
[00:28:13.362 --> 00:28:16.843]  So we're saying that, you know, he wasn't killed by that, but we'll have our final report.
[00:28:17.183 --> 00:28:19.843]  That got spun, and Alex Jones is wrong!
[00:28:21.544 --> 00:28:25.665]  Breitbart, you know, Alex Jones is a terrible conspiracy theorist.
[00:28:26.125 --> 00:28:29.085]  Breitbart, the coroner, says natural causes, when that's not what they said.
[00:28:30.346 --> 00:28:31.886]  All I said was we should look into this.
[00:28:32.691 --> 00:28:35.012]  Well, well, what's World Net Daily reporting?
[00:28:35.052 --> 00:28:36.793]  It's also out in the L.A.
[00:28:36.833 --> 00:28:37.174]  papers.
[00:28:37.554 --> 00:28:40.275]  Breitbart's coroner poisoned to death.
[00:28:40.896 --> 00:28:46.899]  The police are looking into who may have killed the coroner who was poisoned and is dead from poison.
[00:28:47.359 --> 00:28:48.340]  They've confirmed that.
[00:28:49.240 --> 00:28:52.542]  Oh, oh, but I'm sure it's a coincidence, right?
[00:28:52.562 --> 00:28:54.924]  I mean, the government never lies to us.
[00:28:55.804 --> 00:28:56.524]  Everything's fine.
[00:28:56.565 --> 00:28:57.345]  Go back to sleep.
[00:28:58.125 --> 00:28:58.706]  We'll be right back.
[00:29:01.494 --> 00:29:06.757]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:29:06.997 --> 00:29:09.218]  Start purifying your water with ProPure.
[00:29:09.418 --> 00:29:18.342]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:29:18.523 --> 00:29:21.704]  Its filters are silver impregnated to prevent bacterial growth.
[00:29:21.964 --> 00:29:23.385]  There's no priming required.
[00:29:23.645 --> 00:29:25.686]  It's NSF-42 certified.
[00:29:25.926 --> 00:29:28.407]  Optional fluoride filters can reduce fluoride up to 95%.
[00:29:29.488 --> 00:29:30.809]  Easy to set up and use.
[00:29:31.009 --> 00:29:32.309]  Doesn't require electricity.
[00:29:32.430 --> 00:29:35.291]  Purify water from lakes, streams, ponds, and wells.
[00:29:35.591 --> 00:29:38.753]  This filter system leaves in beneficial minerals, which is key.
[00:29:38.973 --> 00:29:40.754]  Save money by not buying bottled water.
[00:29:40.894 --> 00:29:42.975]  And avoid BPA that leaches from the plastic.
[00:29:43.115 --> 00:29:45.716]  ProPure is the best gravity-fed filter out there.
[00:29:45.857 --> 00:29:47.157]  It's what my family uses.
[00:29:47.437 --> 00:29:50.639]  Infowars.com already has the lowest price on ProPure.
[00:29:50.739 --> 00:29:56.002]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:29:56.582 --> 00:30:00.765]  You can also call to order 888-253-3139.
[00:30:03.407 --> 00:30:11.093]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:30:11.534 --> 00:30:15.157]  Alex and his staff have used these pure soap products for years.
[00:30:15.597 --> 00:30:22.422]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:30:22.903 --> 00:30:25.725]  See them on the web at 5starsoap.com.
[00:30:25.925 --> 00:30:30.427]  Or call 800-340-7091 for a free catalog.
[00:30:30.748 --> 00:30:36.411]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:30:36.691 --> 00:30:41.793]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:30:42.114 --> 00:30:43.734]  This is an amazing deal.
[00:30:44.095 --> 00:30:48.697]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:30:49.317 --> 00:30:52.459]  See them on the web at 5starsoap.com or call
[00:30:53.139 --> 00:30:56.960]  800-340-7091 for a free catalog.
[00:31:01.181 --> 00:31:02.421]  Hi, this is Alex Jones.
[00:31:02.461 --> 00:31:07.802]  Did you know that the Global Elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:31:08.042 --> 00:31:12.683]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:31:13.063 --> 00:31:13.463]  It's true.
[00:31:13.543 --> 00:31:16.124]  Seeds have outperformed even gold and silver before in this country.
[00:31:16.364 --> 00:31:18.084]  And it's possible that it could even happen again.
[00:31:18.624 --> 00:31:23.329]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:31:23.870 --> 00:31:30.777]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:31:30.978 --> 00:31:31.879]  And here's the best part.
[00:31:32.099 --> 00:31:38.466]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:31:38.766 --> 00:31:41.609]  So visit them today at survivalseedbank.com.
[00:31:41.969 --> 00:31:43.851]  That's survivalseedbank.com.
[00:31:44.171 --> 00:31:45.112]  Or give them a call at 877-327-0365.
[00:31:45.132 --> 00:31:45.512]  That's 877-327-0365.
[00:31:45.532 --> 00:31:48.255]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:31:48.775 --> 00:31:50.497]  This is Alex Jones for survivalseedbank.com.
[00:32:01.803 --> 00:32:16.266]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:32:17.266 --> 00:32:20.967]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:32:21.967 --> 00:32:26.028]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[00:32:26.641 --> 00:32:33.964]  It also comes equipped with the proper applicators and devices needed to deliver your Silver Solutions directly to key target areas.
[00:32:34.724 --> 00:32:42.006]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:32:42.687 --> 00:32:52.250]  Be sure to watch our new 7-minute video tour of the Silver Lung System at www.SilverLungs.com to learn more about how the Silver Lung System works.
[00:32:53.050 --> 00:32:56.313]  As well, we are always ready to answer any questions you may have.
[00:32:56.973 --> 00:33:00.176]  That's www.silverlungs.com.
[00:33:02.418 --> 00:33:09.224]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:33:28.376 --> 00:33:31.479]  Thank you for spending part of your Sunday with us.
[00:33:33.301 --> 00:33:41.710]  More and more of America and the rest of the world is waking up that you better be involved in politics or basically get enslaved.
[00:33:43.291 --> 00:33:48.957]  And that the true American virtue is being informed and is being involved and is detesting
[00:33:50.154 --> 00:33:52.876]  The culture of dependency and big government.
[00:33:53.677 --> 00:34:15.693]  But conservatives are waking up to the fact that big megacorporations are funding and manipulating and controlling the politicians who then turn government into a giant vacuum cleaner to suck up your wealth and transfer it to them in government contracts and bailouts, but more importantly, to shut down the megacorporations competition.
[00:34:17.587 --> 00:34:19.596]  I'm a local Austin quote business.
[00:34:19.737 --> 00:34:21.566]  I hire over 30 people here locally.
[00:34:22.665 --> 00:34:48.631]  I also have contractors in other countries, people like the Watsons over in England, the Watson Brothers, Paul Watson, Steve Watson, but I can't even get a phone call back if I call the city of Austin and we've done it and said, yeah, I'd like one of your people to come out and talk about cutting my taxes or getting rid of my local taxes, waiving them like you do for all these big companies, and I'll hire more people.
[00:34:49.972 --> 00:34:51.132]  And they laugh at you.
[00:34:51.872 --> 00:34:56.593]  But I was reading in California in a town where Apple only has 10 employees, they pay no taxes.
[00:34:57.554 --> 00:34:59.334]  And wherever they have them, they pay no taxes.
[00:35:00.194 --> 00:35:10.496]  Because it's Al Gore, who's on the board, and they have suicide nets around the Apple factories in China, some of the worst in the planet, because they want pure giant profits.
[00:35:11.236 --> 00:35:18.298]  And that pig, Al Gore, was here a few months ago and got over $8 million cut off in taxes for Apple.
[00:35:19.465 --> 00:35:27.727]  That pig that's talking about how I need to have my taxes raised and Warren Buffett, the biggest recipient of bailout money in the last four years.
[00:35:28.247 --> 00:35:29.968]  Trillions of dollars to his companies.
[00:35:30.788 --> 00:35:33.149]  Over $3 billion to him individually in one phase.
[00:35:33.889 --> 00:35:37.930]  Individually, $3 billion of your tax money and that piece of trash.
[00:35:38.590 --> 00:35:46.537]  gets up there and uses class warfare envy with ignorant working-class people and says, gee, my secretary pays a higher percentage than I do.
[00:35:46.857 --> 00:35:51.542]  That's not fair because you wrote the stinking laws they changed in the 80s and 90s.
[00:35:51.722 --> 00:35:55.005]  He literally wrote the change to get rid of Glass-Steagall.
[00:35:56.618 --> 00:36:05.661]  He literally, out of anybody, is the author of this, and then he sits there after he's done this to us and wants to raise my taxes.
[00:36:06.321 --> 00:36:11.983]  Anybody making over $125,000 a year individually, quarter million collectively, that's not the rich.
[00:36:12.283 --> 00:36:14.524]  That's the people that buy cars and houses.
[00:36:14.964 --> 00:36:16.765]  That's the people that go on vacations.
[00:36:16.985 --> 00:36:19.486]  That's the people that get their hair done, that come to your restaurant.
[00:36:19.966 --> 00:36:25.508]  And all over Austin, where I live, one of the wealthiest cities in the country, I see shops and places closing.
[00:36:25.888 --> 00:36:28.569]  Places I've gone to for decades shutting down.
[00:36:28.789 --> 00:36:31.270]  I see the big box stores half empty even.
[00:36:31.790 --> 00:36:34.011]  This is the blight of big government.
[00:36:35.752 --> 00:36:41.734]  And no amount of tens of trillions will ever pay off all the derivatives garbage these bankers have had to sign on to.
[00:36:42.054 --> 00:36:44.635]  Now, continuing here, none of that matters though.
[00:36:45.135 --> 00:36:46.016]  None of that matters.
[00:36:47.130 --> 00:36:54.153]  Does it matter if America's really in a depression, or the housing market's sinking faster, or unemployment and close to 50 million on food stamps?
[00:36:54.433 --> 00:36:57.234]  Does it matter if they're throwing the Bill of Rights and Constitution out the window?
[00:36:57.875 --> 00:37:07.239]  And increasing all the domestic spy funding and TSA in every major city now, running warrantless checkpoints on highways outside of the 10th Amendment, not just the 4th Amendment?
[00:37:07.679 --> 00:37:14.562]  It doesn't matter, because... Bin Laden got killed on International Commie Day!
[00:37:15.623 --> 00:37:16.324]  Mayday!
[00:37:17.364 --> 00:37:30.953]  A year ago, doesn't matter, I had top State Department official and CIA, black op, you know, trainer, the guy that wrote Tom Clancy's books with him, CFR member, Dr. Steve Pchenik, made headlines all over the country.
[00:37:31.473 --> 00:37:42.180]  When he first came on my show in 2002 and said Bin Laden died of Marfan's and kidney failure, the American hospital in Dubai, then it came out on CBS later and confirmed it, this broke here.
[00:37:43.407 --> 00:37:47.388]  Just like it broke that the underwear bomber was gotten on the plane by the U.S.
[00:37:47.408 --> 00:37:47.808]  government.
[00:37:48.368 --> 00:37:52.229]  Kurt Haskell, who by the way is on tomorrow, the lawyer with his wife, sees all this happen.
[00:37:52.269 --> 00:37:54.990]  He gets on with no passport.
[00:37:55.590 --> 00:37:56.311]  Turns out the U.S.
[00:37:56.331 --> 00:37:58.991]  government demanded they give him a visa, the Talib.
[00:38:00.152 --> 00:38:08.694]  And then a month and a half later on C-SPAN, the Undersecretary of State admits they were ordered by an unnamed agency to get the underwear bomber on the plane, drugged out of his mind.
[00:38:11.335 --> 00:38:12.015]  I'm digressing.
[00:38:13.871 --> 00:38:17.234]  Puchinik goes, you've got a lot of courage, I want to come on your show and tell you something.
[00:38:17.574 --> 00:38:22.158]  He comes on, he says he died, he's on ice, Bush is going to roll him out in the 2004 election.
[00:38:23.419 --> 00:38:32.287]  This is Puchinik, you can look up Steve Puchinik, they have like Times of London saying, you know, he manipulated the Communists into killing the Prime Minister of Italy and stuff.
[00:38:32.327 --> 00:38:35.950]  I mean, this is a guy who assassinated, you know, presidents in foreign countries.
[00:38:37.031 --> 00:38:39.253]  A real Mission Impossible guy, okay, the real deal.
[00:38:40.580 --> 00:38:41.901]  By the way, I want to get Pecheneg on this week.
[00:38:41.941 --> 00:38:43.862]  I keep forgetting because it's this whole Bin Laden thing.
[00:38:45.143 --> 00:38:50.767]  Then, Walter Cronkite comes out and says, yes, Bush is going to use this against Kerry.
[00:38:51.107 --> 00:38:52.208]  Don't you dare try it.
[00:38:53.129 --> 00:39:00.053]  Then, Madeleine Albright, the former Secretary of State under Herr Clinton, comes out on CNN and NBC.
[00:39:01.294 --> 00:39:02.115]  I played the clips here.
[00:39:02.135 --> 00:39:02.635]  You can look them up.
[00:39:02.655 --> 00:39:03.516]  We've written articles about it.
[00:39:03.816 --> 00:39:04.837]  And says, yeah, he's dead.
[00:39:04.857 --> 00:39:05.617]  They're going to roll him out.
[00:39:05.877 --> 00:39:06.818]  So they backed off.
[00:39:08.599 --> 00:39:09.760]  And later pulled him out.
[00:39:13.792 --> 00:39:23.854]  But the issue here that I'm getting at is that if you go to InfoWars.com, we've republished the articles from last year with the latest info about how ridiculously fake it is.
[00:39:26.134 --> 00:39:37.517]  And how Obama, at the Correspondents Banquet, in a TV ad they're running... What's the name of that stupid TV ad we're about to play again?
[00:39:38.757 --> 00:39:39.437]  One Chance.
[00:39:40.506 --> 00:39:41.807]  Sounds like prom night or something.
[00:39:42.708 --> 00:39:43.809]  One chance.
[00:39:47.112 --> 00:39:48.212]  It's more like spring break.
[00:39:48.933 --> 00:39:54.017]  The point is, I'm sorry, it's just this is, this is so, this is such theater.
[00:39:54.278 --> 00:39:59.362]  There he is at the correspondence dinner with all these Hollywood people to make it look like government is Hollywood.
[00:39:59.822 --> 00:40:03.665]  Edward Bernays, the head of psychological warfare, the Department of War.
[00:40:04.366 --> 00:40:06.748]  Pre-Department of Defense came up with all that.
[00:40:06.768 --> 00:40:08.909]  He said, we'll put Hollywood people up there with government.
[00:40:09.190 --> 00:40:10.210]  We'll blur the lines.
[00:40:10.251 --> 00:40:11.451]  We'll make it like they're stars.
[00:40:12.012 --> 00:40:13.793]  This will make the public submit to government.
[00:40:14.113 --> 00:40:19.718]  Plus, they'll think the president actually runs everything, so we can put a new one in every four to eight years and fool the public.
[00:40:20.698 --> 00:40:27.624]  By the way, the author of Tragedy and Hope, the head of Georgetown Political Science, Carol Quigley, Bill Clinton's mentor, also wrote that in Tragedy and Hope.
[00:40:29.881 --> 00:40:37.783]  Then a Ron Paul comes along, doesn't play ball with that, and it screws up their whole fantasy land, so they've got to cheat him in the first few primaries until it looks like he's not a winner.
[00:40:38.083 --> 00:40:38.783]  Sad issue, though.
[00:40:39.043 --> 00:40:42.124]  Now it's admitted he won in Maine and Iowa, like I told you he did.
[00:40:42.924 --> 00:40:43.684]  He was the leader.
[00:40:43.964 --> 00:40:45.005]  He would have been the nominee.
[00:40:45.445 --> 00:40:47.165]  That shows the power of the Liberty Movement now.
[00:40:47.425 --> 00:40:48.445]  They had to steal it.
[00:40:49.366 --> 00:40:51.226]  Oh yeah, this week it all got confirmed, he really won.
[00:40:51.566 --> 00:40:53.247]  What is it, four states he really won they stole?
[00:40:53.887 --> 00:40:56.827]  And the Republican leadership says, we don't care if it's proof he won, you're not getting it.
[00:40:58.308 --> 00:40:59.148]  Anyways, continuing.
[00:41:00.775 --> 00:41:06.799]  Um, article up at Infowars.com, Obama exploits Bin Laden hoax for election propaganda.
[00:41:07.159 --> 00:41:08.760]  Let's go over the lies.
[00:41:09.281 --> 00:41:15.265]  There was that first Situation Room photo they released that May Day, Sunday evening, a year ago.
[00:41:15.285 --> 00:41:18.087]  And it was clearly a staged photo.
[00:41:18.407 --> 00:41:19.488]  Looked like a movie poster.
[00:41:19.768 --> 00:41:20.948]  Hillary's covering her mouth.
[00:41:21.669 --> 00:41:22.930]  Obama's looking all serious.
[00:41:22.970 --> 00:41:24.511]  The General's looking down at the computer.
[00:41:24.871 --> 00:41:27.473]  Everybody's, you know, it's like football coaches or something.
[00:41:28.226 --> 00:41:30.968]  And they said we were watching him be killed by the SEALs live cams.
[00:41:31.008 --> 00:41:32.769]  They all tell the lie on TV.
[00:41:32.789 --> 00:41:33.509]  They watched him die.
[00:41:34.770 --> 00:41:35.730]  People say release the footage.
[00:41:35.750 --> 00:41:37.111]  They go, oh, we didn't tape it actually.
[00:41:37.131 --> 00:41:39.112]  Oh, and Bin Laden wasn't in a firefight.
[00:41:39.132 --> 00:41:40.353]  He didn't use his wife as a shield.
[00:41:40.413 --> 00:41:44.015]  And then there was no dialysis machine, by the way, in the house he'd been in for years.
[00:41:45.175 --> 00:41:47.077]  Almost on death's door with the CIA visiting 2001.
[00:41:47.117 --> 00:41:47.877]  CBS News report on it, 2002.
[00:41:48.377 --> 00:41:48.798]  It's a fact.
[00:41:52.048 --> 00:41:53.928]  Al-Qaeda is used to attack Libya now, Syria.
[00:41:53.948 --> 00:41:57.449]  I have articles today where we're told Al-Qaeda is not a threat now, they're our friends.
[00:41:58.329 --> 00:41:59.970]  It's the American people are the new enemy.
[00:42:00.270 --> 00:42:02.990]  So the war on terror is over, but now the war is on you.
[00:42:03.070 --> 00:42:08.771]  But side issue, you get this giant theater that no one I know bought.
[00:42:09.692 --> 00:42:12.592]  You get the way it's released, you have the fake Situation Room photo.
[00:42:12.872 --> 00:42:13.992]  Then we say, well, show us the body.
[00:42:14.413 --> 00:42:16.173]  Oh, sorry, it got thrown in the ocean.
[00:42:17.537 --> 00:42:19.158]  Then a bunch of people speak out on the ship.
[00:42:19.198 --> 00:42:20.119]  They all get disciplined.
[00:42:20.219 --> 00:42:23.502]  Record number of people dishonorably discharged off that carrier.
[00:42:25.848 --> 00:42:26.989]  You have the stage photo.
[00:42:27.049 --> 00:42:28.571]  We've got up at Infowars.com.
[00:42:28.951 --> 00:42:31.654]  Then they say, well, it's a Muslim way to be thrown in the sea.
[00:42:31.694 --> 00:42:33.115]  No, that's against Islamic law.
[00:42:33.736 --> 00:42:34.296]  Doesn't matter.
[00:42:34.616 --> 00:42:36.178]  It's meant to be a shoddy story.
[00:42:36.838 --> 00:42:41.243]  It's meant to be just absolutely rotten because they don't care.
[00:42:41.963 --> 00:42:44.185]  It's all a big joke to them.
[00:42:44.666 --> 00:42:49.430]  You know, we have a clip we'll play later of Obama laughing and saying, you know, my
[00:42:51.294 --> 00:42:55.896]  Dad was born in Kenya, but I was born in Hawaii, and he winks, and everybody laughs.
[00:42:56.736 --> 00:42:58.897]  He's blocked all his high school, college records.
[00:42:59.197 --> 00:43:01.238]  It's on record he had two different names.
[00:43:01.278 --> 00:43:02.138]  That's now been confirmed.
[00:43:02.358 --> 00:43:04.059]  That was called a conspiracy theory, remember?
[00:43:04.299 --> 00:43:07.721]  They said three years ago they'd released the official form, and said there is no other form.
[00:43:07.881 --> 00:43:09.982]  Then they released the new fake one that's been proven fake.
[00:43:11.102 --> 00:43:15.724]  And nobody's got a more covered-up background, and then Breitbart is set to release video.
[00:43:17.003 --> 00:43:27.441]  ...of him at meetings with the Weatherman bombers, who we later know paid for his house and tuition and stuff, and he's gonna release it and he dies, and I... ...and we're gonna go to break.
[00:43:32.654 --> 00:43:36.797]  No running wires, no chemicals, no water, no running costs, and no maintenance.
[00:43:37.197 --> 00:43:40.159]  And these fuel savers come complete with all parts and accessories.
[00:43:40.540 --> 00:43:42.981]  See how it works at airfusionsystems.com.
[00:43:43.141 --> 00:43:47.505]  Spelled A-I-R-F-U-S-I-O-N systems dot com.
[00:43:47.845 --> 00:43:48.325]  Or call 888-887-9981.
[00:43:48.345 --> 00:43:48.385]  888-887-9981.
[00:43:48.425 --> 00:43:50.146]  Fuel savers from airfusionsystems.com.
[00:43:50.387 --> 00:43:52.308]  Save fuel, save money, save earth!
[00:44:01.351 --> 00:44:04.974]  Right now, the average family spends one-fourth of their income on food.
[00:44:05.174 --> 00:44:10.939]  It's time to cut your food budget in half by using the best, most affordable food on the planet from eFoodsDirect.
[00:44:11.079 --> 00:44:14.282]  The savings from eating this food will actually help you pay your other bills.
[00:44:14.622 --> 00:44:22.409]  Serve these delicious meals to your family tonight for a quick and easy dinner for about $1.25 a serving, compared to over $3 a serving for any other food.
[00:44:22.589 --> 00:44:29.275]  This food is compact, making it easy to store some away, and will be just as delicious in 25 years as the ones you cook tonight.
[00:44:29.655 --> 00:44:30.396]  Is it affordable?
[00:44:30.676 --> 00:44:31.396]  Absolutely!
[00:44:31.657 --> 00:44:36.600]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[00:44:36.880 --> 00:44:41.343]  See the comparison at eFoodsDirect.com forward slash Alex or call 800-409-5633.
[00:44:43.385 --> 00:44:48.008]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[00:44:48.308 --> 00:44:52.891]  Give eFoodsDirect a call and order one of the Alex Jones Family Packs and test it out today.
[00:44:53.172 --> 00:44:55.173]  Start your journey of food independence today.
[00:44:55.453 --> 00:44:57.695]  At efoodsdirect.com forward slash Alex.
[00:44:58.035 --> 00:44:58.415]  Or call 800-409-5633.
[00:45:25.573 --> 00:45:28.355]  Optional fluoride filters can reduce fluoride up to 95%.
[00:45:28.856 --> 00:45:30.497]  Easy to set up and use.
[00:45:30.677 --> 00:45:31.978]  Doesn't require electricity.
[00:45:32.098 --> 00:45:34.961]  Purify water from lakes, streams, ponds, and wells.
[00:45:35.261 --> 00:45:38.423]  This filter system leaves in beneficial minerals, which is key.
[00:45:38.643 --> 00:45:42.647]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:45:42.787 --> 00:45:45.389]  ProPure is the best gravity-fed filter out there.
[00:45:45.529 --> 00:45:46.850]  It's what my family uses.
[00:45:47.110 --> 00:45:47.791]  Infowars.com
[00:45:48.411 --> 00:45:51.632]  When you're out on the road, the last place you want to be is on the road.
[00:45:51.672 --> 00:45:55.293]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:45:55.313 --> 00:45:56.713]  There's a place down in Tennessee
[00:46:17.298 --> 00:46:28.156]  Well they make blue diamond gusset jeans They sew pride in every stitch Guarantee you'll love the way they fit
[00:46:30.322 --> 00:46:34.343]  They put a Diamond Gusset in the crotch where you need it most.
[00:46:35.043 --> 00:46:38.164]  Blue Diamond Gussets got it.
[00:46:38.865 --> 00:46:39.685]  Others don't.
[00:46:40.105 --> 00:46:41.986]  We turn jeans inside out.
[00:46:42.246 --> 00:46:43.766]  Diamond Gusset Jeans.
[00:46:44.026 --> 00:46:46.607]  Made in the USA with unparalleled quality.
[00:46:46.927 --> 00:46:50.948]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:46:50.968 --> 00:46:53.169]  So you can ride all day with confidence.
[00:46:53.549 --> 00:46:55.770]  Order yours at gusset.com.
[00:46:56.250 --> 00:46:58.270]  Diamond Gusset Jeans got it.
[00:46:58.611 --> 00:46:59.491]  Others don't.
[00:47:02.443 --> 00:47:03.584]  Coast to coast.
[00:47:03.965 --> 00:47:05.286]  Direct from Austin.
[00:47:06.027 --> 00:47:10.110]  You're listening to the Alex Jones Broadcasting Network.
[00:47:15.135 --> 00:47:15.856]  Big Brother.
[00:47:16.116 --> 00:47:17.398]  Mainstream media.
[00:47:17.798 --> 00:47:19.099]  Government cover-ups.
[00:47:19.199 --> 00:47:20.160]  You want answers?
[00:47:20.480 --> 00:47:21.562]  Well, so does he.
[00:47:22.522 --> 00:47:27.167]  It's Alex Jones on the GCN Radio Network.
[00:47:39.323 --> 00:47:49.856]  Okay, we are back live.
[00:47:50.016 --> 00:47:53.280]  Hadn't done that in a while where we just don't even go to break.
[00:47:54.381 --> 00:47:55.283]  Thank you for joining us.
[00:47:58.776 --> 00:48:05.978]  It is Sunday, the 29th day of April 2012, and we've got a whole other hour after this segment coming up, and I'm going to open the phones at that point.
[00:48:06.378 --> 00:48:12.899]  In fact, here is the toll-free number on any of the issues I've raised, or any topics you'd like to get into, or questions or comments you have.
[00:48:13.379 --> 00:48:15.440]  The Sunday number is different than the weekday number.
[00:48:15.480 --> 00:48:15.820]  It's 877-789-ALEX, 877-789-2539.
[00:48:22.521 --> 00:48:25.105]  We're going to take first-time callers on this Sunday show.
[00:48:25.625 --> 00:48:28.569]  First-time callers, please.
[00:48:28.589 --> 00:48:29.090]  877-789-ALEX.
