[00:00:21.972 --> 00:00:23.478]  Welcome to M4 Wars Nightly News.
[00:31:20.877 --> 00:31:25.561]  and Japan, where his wife is, and who is now stuck on a no-fly list.
[00:31:26.742 --> 00:31:27.542]  Wade, how are you doing?
[00:31:29.064 --> 00:31:30.705]  I'm doing fairly good, considering.
[00:31:32.146 --> 00:31:34.428]  It's a strange, this is a very strange case.
[00:31:34.488 --> 00:31:37.491]  We just got finished talking to Doug Hagman,
[00:31:38.480 --> 00:31:41.422]  And it's hard to believe that our government could do this.
[00:31:41.863 --> 00:31:47.327]  Just label somebody as an enemy of the state without notifying them that they've been put on some secret list.
[00:31:48.067 --> 00:31:49.449]  And then strand people.
[00:31:52.891 --> 00:31:54.993]  Indeed, it's a scary feeling.
[00:31:55.813 --> 00:32:03.079]  I guess one of the questions that comes up is, you know, you were allowed to fly out of San Francisco to Hawaii.
[00:32:04.023 --> 00:32:06.924]  And you were on the ground for quite a while, even.
[00:32:07.324 --> 00:32:11.305]  You had to apply in advance to travel on a military plane.
[00:32:12.246 --> 00:32:16.067]  And nothing ever came up about this as you were waiting for your tickets.
[00:32:16.127 --> 00:32:21.609]  Nothing came up while you were taking your time leaving and on the ground for five hours.
[00:32:22.429 --> 00:32:31.452]  And yet, when you get to Hawaii, they pull you off with armed guards and tell you that you're not allowed to fly either home or forward to meet your wife in Japan.
[00:32:31.472 --> 00:32:32.152]  Is that correct?
[00:32:33.685 --> 00:32:34.386]  That's correct.
[00:32:34.466 --> 00:32:42.472]  I mean, it started out like something fairly routine when I got asked to come back into the terminal from the secure area.
[00:32:43.873 --> 00:32:44.733]  I went over to the U.S.
[00:32:44.793 --> 00:32:46.354]  Customs and Immigration's office.
[00:32:46.815 --> 00:32:49.417]  The lights were off, the doors were locked, nobody was there.
[00:32:49.977 --> 00:32:57.823]  So, I was invited back to the airman's break room for the Air Mobility Command's terminal.
[00:32:58.482 --> 00:33:06.914]  For a space available to actually went behind the desk into a secure area area of the facility, and I sat on the couch waiting to hear something about 1520 minutes later to.
[00:33:11.471 --> 00:33:15.354]  Heavily armed Air Force security forces guys showed up.
[00:33:16.234 --> 00:33:28.581]  One of them had an M4, the other one was carrying an M4 with a .203 grenade launcher attached and a .50 cal ammo can with probably 20-30 rounds of 40mm grenades.
[00:33:29.181 --> 00:33:34.905]  Now just to be clear, this is a military base, which is why it's soldiers coming, right?
[00:33:35.005 --> 00:33:37.586]  We haven't gotten that far down the police state yet, perhaps.
[00:33:37.746 --> 00:33:38.066]  I don't know.
[00:33:38.387 --> 00:33:38.947]  Maybe we have.
[00:33:40.471 --> 00:33:52.321]  Now, not only did they miss the fact that you were on a no-fly list heading out that you had not been notified of, but you've been vetted significantly even by the TSA.
[00:33:52.362 --> 00:33:55.705]  You have a TWIC card, a T-W-I-C card.
[00:33:55.745 --> 00:33:58.247]  Could you explain to us what that is and what's involved in that process?
[00:33:59.282 --> 00:34:02.383]  Uh, the TWIC card is a Transportation Worker Identification Credential.
[00:34:03.043 --> 00:34:05.384]  Um, it's not something that just anyone can get.
[00:34:05.444 --> 00:34:23.968]  You have to be either a commercial truck driver that's carrying hazardous materials, or you have to be someone that requires access to secured facilities such as nuclear power plants, ports, um, or work on vessels and merchant marine, as was my case for getting the TWIC card.
[00:34:24.428 --> 00:34:25.429]  Ah, so you've had that.
[00:34:25.629 --> 00:34:26.649]  You've had secret clearance.
[00:34:27.307 --> 00:34:34.850]  You've just recently gotten a carry, a firearms carry permit that is an enhanced carry, you said, right?
[00:34:35.931 --> 00:34:36.691]  Yes, that's right.
[00:34:37.751 --> 00:34:45.154]  In order to get a firearms permit in the state of Mississippi, you have to go to the Department of Public Safety and you have to get your fingerprints done.
[00:34:45.815 --> 00:34:51.677]  And then they in turn send your fingerprints to the Federal Bureau of Investigation.
[00:34:52.290 --> 00:34:57.715]  To check and see if you have any criminal history, any outstanding warrants, you're under any type of investigations.
[00:34:58.135 --> 00:34:59.857]  They do a very thorough background check.
[00:35:00.417 --> 00:35:05.762]  And then if nothing comes back, they are supposed to issue the permit within 45 days.
[00:35:06.623 --> 00:35:08.705]  I applied for my permit on August 17, 2012.
[00:35:09.725 --> 00:35:11.887]  Received my permit approximately around September 22, 2012.
[00:35:12.208 --> 00:35:15.851]  So it was well within the 45-day window.
[00:35:17.092 --> 00:35:18.974]  So nothing slowed down that process.
[00:35:19.853 --> 00:35:34.665]  Okay, so to recap, you've been vetted by the TSA, you've been vetted by the FBI, and you have no criminal record, and yet somehow you're on the no-fly list, and they have you stranded in Hawaii.
[00:35:34.685 --> 00:35:36.066]  You can't go forward or back.
[00:35:37.787 --> 00:35:43.291]  You have been involved with Mississippi Preppers organization, is that correct?
[00:35:44.112 --> 00:35:45.133]  Can you tell us a little bit about that?
[00:35:45.153 --> 00:35:46.193]  Yeah, the Mississippi Preppers Project.
[00:35:47.802 --> 00:35:51.079]  Do you think that perhaps that had anything to do with you being detained?
[00:35:53.356 --> 00:35:57.179]  God, if it does, that's a pretty sad situation.
[00:35:57.239 --> 00:36:09.249]  It is a pretty sad situation, but we've seen Department of Homeland Security documents that say that people who are preppers and people who are patriots and who are outspoken about politics are basically enemies of the state.
[00:36:09.329 --> 00:36:11.611]  I wonder if we're seeing something about that.
[00:36:11.651 --> 00:36:12.671]  Did you notice anything?
[00:36:12.691 --> 00:36:18.276]  I mean, is there any reason at all that you would think that that would be set apart?
[00:36:20.544 --> 00:36:25.027]  I don't know, but there was an interesting situation that I had earlier this year.
[00:36:26.028 --> 00:36:34.555]  We had a member that joined the website, and I was hosting a meet-and-greet at my house to meet current members and former members that I haven't had a face-to-face conversation with.
[00:36:35.937 --> 00:36:40.641]  And one of the guys that came over there, he was disabled.
[00:36:40.701 --> 00:36:45.525]  He drove a vehicle that had an Afghanistan veterans plate on it.
[00:36:46.352 --> 00:36:52.057]  He identified himself as a Navy combat veteran, a Chief Petty Officer, retired.
[00:36:52.898 --> 00:37:09.211]  He started telling me details about how he was in SEAL Team 2 and worked with the SEALs for years and stuff like that, but things were not adding up with the guy's story because I've been around and I've talked to people in the Special Operations community.
[00:37:09.898 --> 00:37:14.440]  Through either mutual friends or chance meetings through jobs that I've had.
[00:37:15.381 --> 00:37:23.565]  And this guy did not present himself like the caliber of those people because they're mentally tough, mentally strong, and they don't talk about that they're SEALs.
[00:37:23.765 --> 00:37:25.626]  You will never hear a SEAL say, oh, I was a SEAL.
[00:37:26.386 --> 00:37:28.767]  So that immediately struck me as odd.
[00:37:29.268 --> 00:37:32.749]  So I had a casual conversation with him, nodded my head.
[00:37:34.921 --> 00:37:36.525]  My wife and I had a dinner engagement.
[00:37:36.585 --> 00:37:37.808]  He stayed all the way to the end.
[00:37:38.269 --> 00:37:39.712]  Eventually, we said, hey, look, you got to go.
[00:37:39.752 --> 00:37:40.274]  We're leaving.
[00:37:40.294 --> 00:37:43.020]  And we parted ways.
[00:37:43.281 --> 00:37:43.962]  So I immediately...
[00:37:45.293 --> 00:37:51.357]  When I got back the next day, I talked to my wife about it, who's active duty Navy, and I said, something doesn't seem right.
[00:37:51.397 --> 00:38:01.805]  I'm going to go contact Special Operations people in Coronado, California, and see if I can run a Freedom of Information Act request on this guy to vet him and see if he was indeed a SEAL.
[00:38:03.246 --> 00:38:04.247]  Very quick process.
[00:38:04.307 --> 00:38:07.009]  Got the FOIA request back, and I can share that with you if you'd like.
[00:38:08.030 --> 00:38:09.391]  But the guy was not a Navy SEAL.
[00:38:10.911 --> 00:38:14.113]  I had a friend of mine that's in the military, military police unit.
[00:38:14.553 --> 00:38:17.374]  He ran a background check on him just to see if he was ever in the military.
[00:38:17.394 --> 00:38:19.035]  He was never in the military.
[00:38:19.195 --> 00:38:19.375]  Really?
[00:38:19.395 --> 00:38:26.478]  Yet this guy had a Mississippi concealed carry permit, an authentic, from what I can tell, retired military ID.
[00:38:26.939 --> 00:38:30.540]  He even showed me his DD-214 that showed he had seal time on it.
[00:38:30.920 --> 00:38:31.181]  Wow.
[00:38:32.301 --> 00:38:32.921]  Wow.
[00:38:33.261 --> 00:38:34.242]  Boy, that's suspicious.
[00:38:35.553 --> 00:38:41.841]  I just reached, I made the assumption that this guy, okay, I know he's not a CO, I know he's never been in the military.
[00:38:42.422 --> 00:38:43.243]  I'm curious.
[00:38:44.264 --> 00:38:48.489]  It just so happened to be, I was out driving around one day and I saw his vehicle pass.
[00:38:49.650 --> 00:38:54.817]  And I said, well, I'm going the same way as him, just kind of curious to see where he goes.
[00:38:55.854 --> 00:39:07.226]  And lo and behold, he pulls into the federal court building down in Gulfport, pulls in around the back, and there's a Department of Homeland Security office there, and he pulls into the parking lot and parks in the handicapped spot.
[00:39:07.546 --> 00:39:07.827]  Really?
[00:39:08.287 --> 00:39:09.949]  And he just kept driving down the road.
[00:39:10.009 --> 00:39:11.450]  I said, huh, imagine that.
[00:39:12.091 --> 00:39:12.551]  Wow.
[00:39:13.352 --> 00:39:13.693]  Wow.
[00:39:14.373 --> 00:39:15.895]  That's amazing information.
[00:39:16.900 --> 00:39:21.641]  He said to me a few days before, saying, look, you know, you showed him to one of our vets.
[00:39:21.661 --> 00:39:23.162]  You were careless with a firearm.
[00:39:23.802 --> 00:39:28.743]  He actually tried to hand a bag that it's alleged that he had a firearm because I never searched his bag.
[00:39:29.323 --> 00:39:36.685]  He handed my bag off to my wife and I said, you know, that wasn't cool.
[00:39:36.705 --> 00:39:38.286]  You know, you need to get your bag or whatever.
[00:39:38.746 --> 00:39:42.947]  And then he hands his bag off to someone who's active duty Air Force EOD.
[00:39:43.687 --> 00:39:45.368]  And of course, you know, he's like, I'm not holding your bag.
[00:39:45.388 --> 00:39:46.208]  You hold your own bag.
[00:39:47.032 --> 00:39:55.154]  So, after that incident, you know, we said, hey, you know, we're going to kick you off the website and don't contact us anymore because you're, you know, you're scaring us.
[00:39:55.614 --> 00:39:55.834]  Wow.
[00:39:56.094 --> 00:39:58.574]  So, that happened several months ago.
[00:39:59.074 --> 00:39:59.495]  Wow.
[00:40:00.135 --> 00:40:10.417]  If there's anything that I could think of that would put me on the no-fly list, I guess I upset somebody at DHS because... Well, that certainly is... He was supposed to be some kind of a teacher or informant.
[00:40:10.437 --> 00:40:11.637]  He did a very poor job.
[00:40:11.757 --> 00:40:13.357]  Yeah, that certainly is suspicious.
[00:40:13.637 --> 00:40:13.857]  Wow.
[00:40:14.998 --> 00:40:16.238]  Well, in terms of...
[00:40:17.583 --> 00:40:25.950]  Yeah, we'd like to follow into that a little bit more, but now in terms of your immediate situation, you've contacted your senator and your congressman.
[00:40:26.270 --> 00:40:29.293]  I believe you said you've also contacted Rand Paul.
[00:40:30.674 --> 00:40:31.975]  What have you heard back from them?
[00:40:32.115 --> 00:40:42.243]  You can't get anything from immigration, you can't get anything from Homeland Security or TSA, so what have you heard from your congressman?
[00:40:44.013 --> 00:40:46.355]  I haven't heard anything from my Congressman's office.
[00:40:47.356 --> 00:40:56.662]  They need a public information release form, which I have to get back over to the library in Hickam and print it out and fax it to them.
[00:40:56.722 --> 00:41:01.084]  But I was able to fax one to my Senator, Roger Ricker's office, yesterday.
[00:41:01.104 --> 00:41:03.966]  And they're working on the process today.
[00:41:04.006 --> 00:41:05.747]  I received a call from them this morning.
[00:41:06.708 --> 00:41:09.210]  Senator Rand Paul's office contacted me yesterday.
[00:41:10.186 --> 00:41:13.107]  And said that they would like to help me, but I'm not a Mississippi resident.
[00:41:13.187 --> 00:41:15.368]  So, I'm not a Kentucky resident.
[00:41:15.708 --> 00:41:16.008]  I see.
[00:41:18.028 --> 00:41:23.690]  Well, I hope that... Well, we're going to continue to follow your story.
[00:41:23.730 --> 00:41:25.591]  Please let us know what's going on with it.
[00:41:27.431 --> 00:41:29.212]  On the bright side, at least you're in Hawaii.
[00:41:29.852 --> 00:41:39.055]  You're not confined to a mental institution like they did Brandon Robb, but it's really, really frightening for all of our viewers to see that the government can act this way without any accountability.
[00:41:39.785 --> 00:41:45.288]  And it's also interesting to see what's going on with this person who was not a Navy SEAL, but pretending to be one.
[00:41:47.189 --> 00:41:48.230]  Well, thank you very much, Wade.
[00:41:48.610 --> 00:41:49.590]  We'll be talking to you again.
[00:41:51.651 --> 00:41:52.932]  Well, that's very disturbing news.
[00:41:53.632 --> 00:41:55.553]  Please spread this story wide.
[00:41:55.713 --> 00:41:57.154]  We need to find out what's going on.
[00:41:57.194 --> 00:41:58.895]  We need to find out why he's being held.
[00:41:59.335 --> 00:42:06.679]  And also, it would be interesting to find out what's going on with the background snooping that was going on, apparently, by the DHS.
[00:42:07.240 --> 00:42:07.880]  We'll be right back.
[00:42:22.208 --> 00:42:24.894]  Who controls the past, controls the future.
[00:42:25.375 --> 00:42:27.801]  Who controls the present, controls the past.
[00:42:28.721 --> 00:42:34.445]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[00:42:34.585 --> 00:42:36.666]  All you gotta do is start looking around.
[00:42:37.027 --> 00:42:38.588]  Start thinking for yourself.
[00:42:38.908 --> 00:42:40.589]  Start investigating things.
[00:42:40.889 --> 00:42:44.371]  And you will see it all right there.
[00:42:44.972 --> 00:42:46.373]  So you have the power.
[00:42:46.733 --> 00:42:48.294]  Humanity has the power.
[00:42:48.734 --> 00:42:49.835]  We have the power.
[00:42:49.855 --> 00:42:50.836]  Do you wanna fight?
[00:42:50.876 --> 00:42:53.217]  You better believe you got one!
[00:42:54.518 --> 00:42:58.601]  Let us never tolerate outrageous conspiracy theories.
[00:42:58.761 --> 00:43:03.125]  As for me, give me Liberty or give me death!
[00:43:26.886 --> 00:43:28.447]  Infowarsmoneybomb.com!
[00:43:28.607 --> 00:43:30.108]  We just expanded next door!
[00:43:30.268 --> 00:43:31.548]  We're coming for the New World Order!
[00:43:31.848 --> 00:43:33.449]  It's Infowars Moneybomb 2012.
[00:43:33.489 --> 00:43:36.991]  48 hours to change the world.
[00:43:47.350 --> 00:43:57.998]  Infowarsmoneybomb.com to read our mission and to see the amazing roster of guests we've got lined up sharing their insights on liberty and resistance to tyranny.
[00:43:58.279 --> 00:44:06.625]  I got involved in radio and TV as well as filmmaking 17 years ago because I didn't like the direction I saw our country and our world going in.
[00:44:07.065 --> 00:44:12.650]  The attacks on basic freedoms like the Second Amendment, the move towards collectivism in the nanny state.
[00:44:13.230 --> 00:44:25.076]  And over the last decade and a half, Infowars.com and my radio show and the films have become really part of the core resistance to tyranny worldwide.
[00:44:25.876 --> 00:44:40.963]  It seems like yesterday, but it was more than five years ago that I was sitting in my small office of about 3,000 square feet and realized that we were already reaching millions of people a week and that we had a responsibility to expand our operations in the face of the globalists.
[00:44:41.323 --> 00:44:46.448]  It was listeners five years ago that demanded we have a money bomb and expand our operations.
[00:44:47.329 --> 00:44:50.972]  We've gone from less than 10 crew members to more than 50 today.
[00:44:51.513 --> 00:44:54.416]  Five years ago, I was reaching about 3 million people a week.
[00:44:54.936 --> 00:44:57.078]  Now it's 15 million a week, conservatively.
[00:44:57.739 --> 00:45:04.966]  Imagine what will happen if you just tell one person a day about InfoWars.com or our news reports that are online.
[00:45:05.646 --> 00:45:17.481]  Imagine what will happen if you donate just $5 or $10 to Infowarsmoneybomb.com and allow us to go to the next level and put the nightly news out on free-to-air satellite worldwide.
[00:45:18.182 --> 00:45:20.164]  No, that one action won't save the world.
[00:45:20.845 --> 00:45:33.978]  But it will trigger brush fires in the minds of men and women everywhere that will bring down the globalist and restore humanity on the right path of justice and liberty and a level playing field.
[00:45:34.199 --> 00:45:34.999]  We have a choice.
[00:45:35.159 --> 00:45:39.324]  The globalist dark age of control freak technocracy or
[00:45:40.344 --> 00:45:41.845]  1776 worldwide.
[00:45:42.245 --> 00:45:50.027]  This October 18th and 19th, from Thursday morning right through into Saturday morning, it's InfoWars Money Bomb 2012.
[00:45:51.467 --> 00:45:53.048]  48 hours to change the world.
[00:45:53.428 --> 00:46:00.510]  I'll see you live with the free video and audio streams emanating from PrisonPlanet.com and InfoWars.com.
[00:46:00.950 --> 00:46:04.691]  I'm Alex Jones, defending liberty, resisting tyranny.
[00:46:52.694 --> 00:46:53.234]  Welcome back.
[00:46:53.654 --> 00:46:55.675]  Our next guest is Ronnie Cummings.
[00:46:55.815 --> 00:47:00.536]  He's a director, national director, of the Organic Consumers Association.
[00:47:01.096 --> 00:47:05.998]  Mr. Cummings has been a long-time activist for clean, natural, organic food.
[00:47:06.898 --> 00:47:13.220]  For 15 years, he's headed this organization, and they're pushing for strict organic standards.
[00:47:13.340 --> 00:47:16.421]  Mr. Cummings, you're in Mexico right now, is that correct?
[00:47:17.658 --> 00:47:26.921]  Yes, the Organic Consumers Association has an affiliated network in Mexico called V-Organica, which translates to The Organic Way.
[00:47:27.721 --> 00:47:37.703]  And we're very much involved here south of the border in fighting against Monsanto and genetically engineered foods and promoting the growing organic movement in Mexico.
[00:47:38.304 --> 00:47:38.544]  Great.
[00:47:38.624 --> 00:47:41.144]  Now there's a fight going on in California as well, right?
[00:47:41.524 --> 00:47:42.004]  Proposition 37.
[00:47:42.064 --> 00:47:43.865]  Tell us a little bit about how that's going.
[00:47:45.094 --> 00:48:09.168]  Yes, I mean after many years of trying to get the federal government or the Food and Drug Administration to listen to the public, 90% of whom want mandatory labeling of genetically engineered foods, a group of activists about a year and a half ago decided that let's forget about the federal government for now and let's use the California ballot initiative
[00:48:09.608 --> 00:48:10.168]  Thank you.
[00:48:10.188 --> 00:48:10.429]  Thank you.
[00:48:25.516 --> 00:48:27.136]  That's very important I think, isn't it?
[00:48:27.196 --> 00:48:31.557]  You know, a lot of people are concerned about pesticides on the outside of their food.
[00:48:52.122 --> 00:48:59.348]  But, you know, a lot of people don't realize that what they're getting is pesticides that have been genetically engineered systemically throughout the food.
[00:48:59.368 --> 00:48:59.888]  Is that correct?
[00:49:00.809 --> 00:49:01.149]  Yes.
[00:49:01.269 --> 00:49:10.156]  I mean, the polling we've done in California and other places, approximately 40% of Americans feel that these genetically engineered foods are dangerous.
[00:49:10.657 --> 00:49:14.379]  Another 40% aren't sure whether they're dangerous or not.
[00:49:14.840 --> 00:49:17.442]  But one thing we all have in common is we want
[00:49:18.303 --> 00:49:20.625]  The ability to know what's in our food.
[00:49:20.665 --> 00:49:25.251]  We want to be able to choose whether to eat genetically engineered foods or not.
[00:49:25.931 --> 00:49:31.618]  Right now the only way you can be sure to avoid genetically engineered foods is to buy organic foods.
[00:49:32.939 --> 00:49:48.531]  But these are not always available to people, which is the reason why we need mandatory labeling, just like 61 other countries in the world already have, including the European Union and Japan and China and India, Brazil, many others.
[00:49:49.011 --> 00:50:00.908]  That's true, but I mean, even at places like Whole Foods, they admit that a lot of their food is genetically modified, and yet, you know, their slogan is always natural, right?
[00:50:01.328 --> 00:50:04.293]  So, I mean, without any labeling, you really don't know what you're eating.
[00:50:05.796 --> 00:50:06.477]  You sure don't.
[00:50:06.517 --> 00:50:14.784]  I mean, in the United States today, we're buying about $32 billion worth of certified organic foods.
[00:50:14.824 --> 00:50:18.607]  That's, you know, 4-5% of all grocery store sales.
[00:50:19.148 --> 00:50:28.236]  But consumers are also purchasing an even larger amount, $50 million worth of so-called natural or all-natural food and products.
[00:50:28.696 --> 00:50:35.661]  And when you look more closely, you find that there is nothing regulating the use of the word natural.
[00:50:36.081 --> 00:50:37.362]  In other words, it's a hype.
[00:50:37.482 --> 00:50:38.463]  It's greenwashing.
[00:50:38.803 --> 00:50:53.374]  So even in these natural food stores like Whole Foods and Trader Joe's and in the natural section of conventional supermarkets, whether you're talking about H-E-B or Safeway or Publix,
[00:50:54.174 --> 00:51:00.002]  A lot of the stuff out there that bears the natural label is not natural at all.
[00:51:00.042 --> 00:51:08.032]  It was produced with genetically engineered seeds, pesticides were used, chemical fertilizers, so on and so forth.
[00:51:08.092 --> 00:51:12.537]  So our message is beware of natural
[00:51:13.298 --> 00:51:16.299]  And if you want something really natural, look for organic.
[00:51:16.680 --> 00:51:31.446]  And that's the reason why we wrote into the ballot initiative in California, Proposition 37, that it will be against the law after November 6th in California to call something natural or all natural unless it really is.
[00:51:32.726 --> 00:51:38.849]  You know, I would think that a chain like Whole Foods would be interested in
[00:51:40.763 --> 00:51:50.134]  They would want to remove any question or any cloud as to whether their food that they're selling is first quality or totally organic.
[00:51:50.394 --> 00:51:55.520]  I would think that they would want to hop in with both feet on this initiative, but their support's been kind of lukewarm so far, hasn't it?
[00:51:56.534 --> 00:51:57.195]  It has.
[00:51:57.275 --> 00:52:22.273]  It's taken a tremendous amount of pressure coming from public interest organizations such as Organic Consumers Association, or networks like Natural News, or Mercola, or Cornucopia Institute, and Alex Jones Network to force Whole Foods to, first of all, they finally endorsed Proposition in California saying they support it.
[00:52:22.953 --> 00:52:29.118]  But now, the last few weeks, the pressure has been, it's not enough to just endorse.
[00:52:29.539 --> 00:52:31.520]  You're a multi-billion dollar company.
[00:52:31.560 --> 00:52:37.825]  How about putting some serious resources into supporting Prop 37?
[00:52:38.746 --> 00:52:40.147]  And that's a real important issue, isn't it?
[00:52:40.187 --> 00:52:44.891]  Because, I mean, you're really, you know, there's a lot of money on the other side that's coming.
[00:52:45.131 --> 00:52:49.635]  How is that kind of stacking up in terms of the for and against advertising funding?
[00:52:50.606 --> 00:53:18.807]  Yes, I mean, what's happened is that the people trying to deny us the right to know whether our food is genetically engineered or not, that is the biotechnology companies, the big multinational food corporations, the big supermarket chains, they have raised over 40 million dollars so far, which is quite a bit for a state ballot initiative, in order to put a barrage of misleading and outright
[00:53:20.347 --> 00:53:29.411]  Lying ads on television telling people that, oh, if you vote yes on Prop 37, it's going to raise your grocery bills.
[00:53:29.911 --> 00:53:36.194]  It's going to create a vast bureaucracy in the state of California.
[00:53:36.354 --> 00:53:39.635]  It's going to hurt California family farmers.
[00:53:39.695 --> 00:53:43.696]  It's going to hurt small grocery stores and so on and so forth.
[00:53:44.437 --> 00:53:47.078]  Our side, the side pushing for yes,
[00:53:48.046 --> 00:53:48.206]  I'm
[00:54:18.486 --> 00:54:30.754]  Making sure that we raise every dime we can and we're also countering the power of this vast budget that Monsanto and the big agriculture have and big supermarkets.
[00:54:31.275 --> 00:54:35.718]  We have 10,000 volunteers out in the field in California.
[00:54:36.178 --> 00:54:39.460]  We're leafleting every day out in front of grocery stores.
[00:54:39.761 --> 00:54:44.204]  We're tabling at county fairs and events and campuses and so on.
[00:54:44.544 --> 00:54:53.951]  We also have volunteers now organizing themselves into these phone banks calling registered voters in California.
[00:54:54.951 --> 00:54:58.254]  We've been able to put up quite a few ads on the radio.
[00:54:58.934 --> 00:55:02.857]  We're the dominant voice, of course, on the internet and the social media.
[00:55:03.677 --> 00:55:16.141]  But we're building up our war chest so that we can at least, in the last two weeks of the campaign, get out a lot of television ads to counter the lies that are out there.
[00:55:16.181 --> 00:55:25.545]  We're going to win, but we can't win without a certain amount of money and without a vast number of volunteers helping us.
[00:55:26.585 --> 00:55:29.706]  It certainly would make sense, it seems to me, for Whole Foods if they want to
[00:55:30.487 --> 00:55:37.531]  Maintain consumer confidence that they are getting true, whole, natural foods that they would want to jump in with this.
[00:55:37.891 --> 00:55:44.555]  I can't understand either how they could argue, how the other side could argue that this is going to increase food costs.
[00:55:44.615 --> 00:55:49.758]  I mean, there's labels with extensive ingredients on there right now on all the foods that people buy.
[00:55:50.018 --> 00:55:51.098]  Well, what is their argument for that?
[00:55:51.138 --> 00:55:51.899]  How do they try to do that?
[00:55:52.279 --> 00:55:54.220]  Do they try to support that or do they just make an assertion?
[00:55:54.935 --> 00:56:07.839]  They're just making that assertion because they know that most Americans are financially stressed these days and that the cost of food is a major factor in our household budgets.
[00:56:08.319 --> 00:56:14.280]  So they're trying to say that this is going to raise the cost of your food hundreds of dollars a year.
[00:56:15.841 --> 00:56:23.383]  And, you know, they have no basis for saying this because the bottom line is that if a company like Kellogg's, for example,
[00:56:24.303 --> 00:56:32.946]  wants to admit that there's genetically engineered corn in their Kellogg's Corn Flakes or in their Kashi, so-called natural cereal.
[00:56:33.686 --> 00:56:45.471]  All they have to do is, the next time they print labels on these cereal boxes, they add a few words saying it was produced using genetic engineering.
[00:56:46.271 --> 00:56:48.992]  The cost of this ink, of course, is negligible.
[00:56:49.552 --> 00:57:07.501]  I mean, what they're really talking about in industry is that they want to keep concealing from us the fact that these subsidized, taxpayer-subsidized, genetically engineered crops, corn, soybeans, corn, sugar beans, canola, and so on,
[00:57:08.661 --> 00:57:12.223]  You know, reduce their costs, their input costs a little bit.
[00:57:12.623 --> 00:57:16.064]  But the bottom line is that the public wants a choice.
[00:57:16.945 --> 00:57:33.491]  If you look at the European Union, for example, which is the largest agricultural market in the world, when they required genetically engineered foods to be labeled over a decade ago, it did not cause a rise in food prices.
[00:57:34.011 --> 00:57:54.862]  What it does cause is consumers to pay attention to labels and for them to voice their concerns to their grocery stores and to the manufacturers if they're utilizing a technology, in this case genetic engineering, that has not been properly safety tested and is not properly regulated.
[00:57:55.142 --> 00:57:55.502]  That's right.
[00:57:55.522 --> 00:57:56.983]  It's not going to raise their costs.
[00:57:57.023 --> 00:58:02.105]  What it might do is it might lower some of their profits temporarily until they start providing people what the people really want.
[00:58:02.386 --> 00:58:02.806]  That's correct.
[00:58:04.371 --> 00:58:05.051]  Exactly.
[00:58:05.411 --> 00:58:12.175]  Well, I certainly wish you the best, and we're going to continue to cover this, keep us informed as to how things are going.
[00:58:12.936 --> 00:58:17.939]  And we're all, everybody, even though we're here in Texas, this is something that affects the entire nation.
[00:58:17.999 --> 00:58:29.146]  So hopefully people all over the nation will pay attention, and not just large corporations like Whole Foods, but maybe individuals will send some money to support this, because it's something we're all into.
[00:58:30.327 --> 00:58:30.887]  We appreciate it.
[00:58:31.367 --> 00:58:32.308]  Thank you very much.
[00:58:32.588 --> 00:58:32.968]  Thank you.
[00:58:33.408 --> 00:58:34.508]  Keep up the good work.
[00:58:34.688 --> 00:58:35.028]  Thank you.
[00:58:35.068 --> 00:58:35.429]  Good night.
[00:58:36.109 --> 00:58:37.369]  Well, that's it for the Nightly News.
[00:58:37.529 --> 00:58:38.209]  I'm David Knight.
[00:58:38.570 --> 00:58:40.790]  Don't forget that our Money Bomb is in just two days.
[00:58:40.990 --> 00:58:43.891]  We're going to have a 48-hour Money Bomb, but you can start donating now.
[00:58:44.731 --> 00:58:52.894]  And you're not going to find the mainstream news talking about issues like someone being put on a no-fly list and stranded away from home.
[00:58:53.474 --> 00:58:55.134]  That's not the kind of stories that they cover.
[00:58:55.795 --> 00:58:56.835]  But InfoWars does.
[00:58:57.715 --> 00:58:59.636]  We'll see you back here tomorrow, 7 p.m.
[00:58:59.676 --> 00:58:59.976]  Central.
[00:59:53.835 --> 00:59:56.564]  Who controls the past, controls the future.
[00:59:57.005 --> 00:59:59.472]  Who controls the present, controls the past.
[01:00:00.339 --> 01:00:06.104]  The death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[01:00:06.224 --> 01:00:08.285]  All you got to do is start looking around.
[01:00:08.646 --> 01:00:10.227]  Start thinking for yourself.
[01:00:10.527 --> 01:00:12.168]  Start investigating things.
[01:00:12.529 --> 01:00:16.552]  And you will see it all right there.
[01:00:16.592 --> 01:00:18.013]  So you have the power.
[01:00:18.353 --> 01:00:19.935]  Humanity has the power.
[01:00:20.355 --> 01:00:21.476]  We have the power.
[01:00:21.536 --> 01:00:24.858]  If you want to fight, you better believe you got one!
[01:00:27.181 --> 01:00:30.248]  Let us never tolerate outrageous conspiracy theories.
[01:00:30.388 --> 01:00:34.778]  As for me, give me liberty or give me death!
[01:00:58.524 --> 01:01:00.084]  Infowarsmoneybomb.com!
[01:01:00.225 --> 01:01:01.745]  We just expanded next door!
[01:01:01.905 --> 01:01:03.806]  We're coming for the New World Order!
[01:01:04.666 --> 01:01:06.807]  Get over here!
