[00:00:01.465 --> 00:00:08.509]  This transmission is coming to you.
[00:24:58.645 --> 00:25:09.196]  She talks about this ruthless government always forces people to fight to the death, and that's what we're seeing more and more in corrupt governments around the world, and then that that's used as a popular form of entertainment.
[00:25:10.086 --> 00:25:11.707]  And specifically, she asks these questions.
[00:25:12.387 --> 00:25:20.869]  She says, when you look at government today, what do you think about the choices your government is making, or other governments around the world?
[00:25:21.229 --> 00:25:26.491]  She asks, what is your relationship to reality TV and your relationship to the news?
[00:25:27.251 --> 00:25:29.352]  And she says that her Hunger Games
[00:25:30.172 --> 00:25:42.748]  It's kind of a combination of reality TV and news combined, which is a lot like what we get today, this sort of fictional construct, this hologram of fabrication that the White House tries to spin for us.
[00:25:43.109 --> 00:25:44.751]  The movie has much in common with that.
[00:25:45.271 --> 00:25:49.576]  And then she asks, was there anything in the book that disturbs you that reflects things in your own life?
[00:25:50.057 --> 00:26:05.795]  She's essentially asking you to look around and look at what's happening in society today, to question government, to question reality, to stop watching the TV and the reality games and get out of the bread and circuses mindset and start thinking about the real world around you.
[00:26:06.456 --> 00:26:18.057]  Now, she's not been doing interviews, Suzanne Collins, the author, and I believe Alex Jones was hoping to get her on the show, but her publisher said that she wasn't doing any interviews with anyone.
[00:26:18.993 --> 00:26:20.774]  But it's very clear that we don't need to.
[00:26:21.115 --> 00:26:22.456]  Her book says the whole story.
[00:26:22.776 --> 00:26:23.777]  She is pro-liberty.
[00:26:24.217 --> 00:26:25.818]  She supports the idea of a republic.
[00:26:26.118 --> 00:26:29.060]  She sees the government as being engaged in bread and circuses.
[00:26:29.421 --> 00:26:32.943]  And she is against over-oppressive, tyrannical governments.
[00:26:33.464 --> 00:26:34.644]  And she understands it.
[00:26:34.685 --> 00:26:46.153]  She understands that the Capitol ends up becoming this parade of these ninny, cosmetically modified, genetically modified, total miscreants who have no
[00:26:47.974 --> 00:26:49.014]  They don't know reality.
[00:26:49.375 --> 00:27:02.999]  Meanwhile, the 12 districts provide all the food, provide the coal, provide the manufacturing base, and it turns out that the so-called peacekeepers in this film, you know, the peacekeepers, which are really the Capitol soldiers, they come from District 2.
[00:27:03.379 --> 00:27:09.661]  So the peacekeepers are actually recruited from the public, which is exactly what we're seeing today with the TSA.
[00:27:10.181 --> 00:27:15.343]  Yes, the TSA is, I think, the peacekeepers from this film.
[00:27:16.343 --> 00:27:22.068]  And the TSA, of course, is recruited from everyday mainstream perverts, I might say.
[00:27:22.488 --> 00:27:25.630]  Some of the most bizarre people who are still sort of mainstream people.
[00:27:26.271 --> 00:27:31.395]  And they are then recruited to oppress and hammer down on the common people.
[00:27:31.475 --> 00:27:34.918]  Let them know who's in charge and strip away their liberties and so on.
[00:27:35.856 --> 00:27:37.358]  So all of that is going on today.
[00:27:37.858 --> 00:27:39.400]  Let me make a prediction here, by the way.
[00:27:39.881 --> 00:27:48.310]  When we talk about the 450 million rounds of hollow point ammo at DHS, and then we talk about the TSA, and then the Hunger Games, they all have something in common.
[00:27:48.871 --> 00:27:55.358]  The common thread is that I believe we're going to see the TSA in the next few years being armed.
[00:27:55.959 --> 00:28:11.012]  Yes, just like the peacekeepers in the Hunger Games were armed and then used against the people, today I believe we're going to see, we're going to see the TSA agents who will actually be armed and then used at these roadside checkpoints and they will be the new brown shirts in America.
[00:28:11.652 --> 00:28:12.833]  And you gotta wonder why?
[00:28:12.913 --> 00:28:13.694]  Why is that the case?
[00:28:13.814 --> 00:28:14.635]  Why the TSA?
[00:28:14.875 --> 00:28:15.796]  Why give them guns?
[00:28:16.416 --> 00:28:19.179]  Precisely because they don't have law enforcement training.
[00:28:20.239 --> 00:28:23.482]  Because your average, well, and they don't have soldiering training.
[00:28:24.063 --> 00:28:27.886]  A typical soldier is going to uphold the Constitution and the Bill of Rights.
[00:28:28.226 --> 00:28:31.609]  A typical soldier has ethics and morals.
[00:28:32.050 --> 00:28:37.595]  A typical law enforcement officer understands the basics of fundamental human rights.
[00:28:37.615 --> 00:28:40.498]  I know there are some exceptions to that, but fundamentally they get it.
[00:28:41.098 --> 00:28:50.390]  And so the TSA has been created as a new police force, oppressive agency to bypass basic law and order and sworn oaths of office.
[00:28:50.410 --> 00:28:53.593]  And they're going to be armed, they're going to be the peacekeepers just like we saw from the Hunger Games.
[00:28:53.613 --> 00:28:54.795]  A lot more straight ahead.
[00:28:54.815 --> 00:28:56.357]  Stay with us on the Alex Jones Show.
[00:28:56.377 --> 00:28:56.978]  We'll be right back.
[00:29:01.115 --> 00:29:04.736]  Right now, the average family spends one-fourth of their income on food.
[00:29:04.916 --> 00:29:10.698]  It's time to cut your food budget in half by using the best, most affordable food on the planet from eFoodsDirect.
[00:29:10.838 --> 00:29:14.059]  The savings from eating this food will actually help you pay your other bills.
[00:29:14.359 --> 00:29:22.162]  Serve these delicious meals to your family tonight for a quick and easy dinner for about $1.25 a serving, compared to over $3 a serving for any other food.
[00:29:22.342 --> 00:29:29.084]  This food is compact, making it easy to store some away, and will be just as delicious in 25 years as the ones you cook tonight.
[00:29:29.424 --> 00:29:30.144]  Is it affordable?
[00:29:30.485 --> 00:29:31.165]  Absolutely!
[00:29:31.405 --> 00:29:36.347]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[00:29:36.627 --> 00:29:41.089]  See the comparison at efoodsdirect.com forward slash Alex or call 800-409-5633.
[00:29:43.130 --> 00:29:47.752]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[00:29:48.072 --> 00:29:52.655]  Give efoodsdirect a call and order one of the Alex Jones Family Packs and test it out today.
[00:29:52.935 --> 00:29:55.896]  Start your journey of food independence today at efoodsdirect.com.
[00:29:58.337 --> 00:30:05.140]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:30:05.460 --> 00:30:09.522]  Number one, new climate legislation could easily double or triple your electric bill.
[00:30:09.802 --> 00:30:15.224]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:30:15.545 --> 00:30:16.005]  It's true.
[00:30:16.305 --> 00:30:20.847]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:21.167 --> 00:30:21.708]  Number 3.
[00:30:21.988 --> 00:30:25.272]  In some areas of the country, the power grid is dangerously overloaded.
[00:30:25.572 --> 00:30:29.296]  And now, new socialist legislation is only compounding the problem.
[00:30:29.496 --> 00:30:30.037]  Number 4.
[00:30:30.277 --> 00:30:32.660]  Dangerous weather is always a threat to local grids.
[00:30:33.040 --> 00:30:36.384]  Every year, thousands of families lose their power from weather-related outages.
[00:30:36.704 --> 00:30:41.428]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:30:41.648 --> 00:30:46.412]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:30:46.712 --> 00:30:50.735]  You can get more information at www.mysolarbackup.com.
[00:30:50.875 --> 00:30:52.437]  That's mysolarbackup.com.
[00:30:52.677 --> 00:30:57.280]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[00:31:02.674 --> 00:31:06.297]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:31:06.637 --> 00:31:14.763]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:31:15.504 --> 00:31:19.547]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:31:20.127 --> 00:31:30.956]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:31:31.576 --> 00:31:40.580]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:31:41.081 --> 00:31:46.123]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:31:46.523 --> 00:31:53.686]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:31:54.007 --> 00:31:56.748]  That's www.silverlungs.com.
[00:32:01.118 --> 00:32:02.138]  I had tried everything.
[00:32:02.198 --> 00:32:04.339]  I'd cut back the amount of food I was eating.
[00:32:04.539 --> 00:32:07.260]  I was lifting weights and jogging, but nothing was working.
[00:32:07.680 --> 00:32:12.141]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[00:32:12.501 --> 00:32:18.903]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:32:19.363 --> 00:32:29.806]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:32:30.566 --> 00:32:34.708]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:32:35.049 --> 00:32:41.072]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:32:41.312 --> 00:32:42.453]  Now that's results.
[00:32:42.873 --> 00:32:49.297]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:32:49.657 --> 00:32:54.980]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:32:55.380 --> 00:32:57.642]  Start your journey to health and wellness today.
[00:32:57.942 --> 00:32:59.203]  Infowarsteam.com
[00:33:02.099 --> 00:33:04.941]  Coast to coast, direct from Austin.
[00:33:05.682 --> 00:33:08.984]  You're listening to the Alex Jones Broadcasting Network.
[00:33:09.265 --> 00:33:25.217]  Yeah, we're right here on the front lines of the InfoWars, in my InfoWars t-shirt today.
[00:33:25.297 --> 00:33:28.219]  InfoWars, may the truth be with you!
[00:33:28.239 --> 00:33:29.400]  Oh yeah!
[00:33:30.854 --> 00:33:36.718]  Yeah, this is Mike Adams filling in today for Alex Jones on the Alex Jones Show, Sunday edition, live on this April 22nd.
[00:33:36.818 --> 00:33:37.798]  I hope you're enjoying the show.
[00:33:38.439 --> 00:33:39.840]  We've got a lot more coming up for you.
[00:33:39.860 --> 00:33:42.702]  John Rappaport is joining us in just a couple of minutes here.
[00:33:42.722 --> 00:33:44.943]  In fact, we've got him online, but I want to cover this first.
[00:33:46.024 --> 00:33:53.508]  There has been some controversy about, let's say, an ad put out by the Kraft Corporation
[00:33:54.509 --> 00:34:02.371]  This was an ad created by their public relations agency and it shows an infant breastfeeding and holding up an Oreo cookie.
[00:34:03.092 --> 00:34:09.574]  So while the infant's mouth is occupied with the breastfeeding action, the hand of the baby is holding up the Oreo cookie.
[00:34:10.674 --> 00:34:23.618]  The message to me, when you look at that, is that I guess the Oreo cookies are just as good a nutrition as human breast milk, which is an absurd statement trying to make these two things equal.
[00:34:24.907 --> 00:34:32.233]  But the Kraft, by the way, you can search that, just search online for Kraft Foods Oreo Cookie Breastfeeding, if you want.
[00:34:32.253 --> 00:34:40.600]  We're not going to show it here because we just don't want to take part in that sort of, I don't know, this sort of corporate porn that they're putting out.
[00:34:40.760 --> 00:34:45.604]  Remember the deal last week with, what was it, HBO put out that story about the four-year-olds?
[00:34:45.624 --> 00:34:46.504]  I'm not even going to go into it.
[00:34:46.985 --> 00:34:49.667]  But this was breastfeeding with Oreo cookies.
[00:34:50.127 --> 00:34:51.889]  So I went into my museum.
[00:34:52.449 --> 00:34:52.629]  Right?
[00:34:52.749 --> 00:34:53.710]  I have a museum.
[00:34:54.070 --> 00:35:04.398]  Because I am the Health Ranger, I collect all kinds of memorabilia of advertising and props from the history of junk food advertising.
[00:35:05.138 --> 00:35:08.441]  And I brought in here today, into the studio, a rare print.
[00:35:09.261 --> 00:35:19.232]  From 1953 by the 7-Up Company, showing the advertising of 7-Up to infants, well toddlers in this case, and young children.
[00:35:19.252 --> 00:35:22.235]  And they also brought in a 7-Up baby bottle.
[00:35:22.255 --> 00:35:23.516]  I'm going to show you right here.
[00:35:23.576 --> 00:35:25.338]  This is a baby bottle.
[00:35:26.540 --> 00:35:27.140]  Well, there we go.
[00:35:28.174 --> 00:35:38.505]  You can feed 7-Up to your baby with a 7-Up branded baby bottle, because high fructose corn syrup, let's remember, is really good for babies, just like vaccines.
[00:35:39.185 --> 00:35:42.189]  Give them more seizures, and that's good for them.
[00:35:42.389 --> 00:35:43.750]  Of course, I'm being sarcastic.
[00:35:44.731 --> 00:35:46.413]  Let me read you from this ad.
[00:35:46.453 --> 00:35:48.495]  Go ahead with that overhead shot if you can get that.
[00:35:48.595 --> 00:35:50.557]  And you can watch this on PrismPlanet.tv.
[00:35:50.577 --> 00:35:52.539]  But here's the ad for 7-Up.
[00:35:52.559 --> 00:35:57.745]  It shows a baby in a sailor hat with a bottle of 7-Up right here.
[00:35:58.325 --> 00:36:00.327]  And it says the all-family drink.
[00:36:00.708 --> 00:36:01.348]  Here's the text.
[00:36:01.869 --> 00:36:03.170]  Fresh up with 7-Up.
[00:36:03.671 --> 00:36:07.455]  Looks like your skipper orders nothing but the best, sailor boy.
[00:36:08.255 --> 00:36:10.476]  It's got a creepy sounding text right there.
[00:36:10.996 --> 00:36:23.700]  Yes, mom knows sparkling crystal clear 7up is so pure, so good, so wholesome, that folks of all ages, even tiny tars like you, can fresh up all they like.
[00:36:24.120 --> 00:36:30.923]  And then it says get a family supply of 24 bottles, buy 7up by the case, or get the handy 7up family pack.
[00:36:31.363 --> 00:36:34.124]  And the slogan is, you like it, it likes you.
[00:36:36.103 --> 00:36:38.827]  How's that for creativity from the 1950s?
[00:36:39.188 --> 00:36:41.291]  You like it, it likes you!
[00:36:41.311 --> 00:36:47.000]  I'm actually... I'm cracking up at some of this stuff.
[00:36:47.970 --> 00:36:50.352]  I'm going to bring some more ads from the museum.
[00:36:50.852 --> 00:36:53.174]  Here's another ad from the Museum of Junk Food History.
[00:36:53.194 --> 00:36:53.554]  This is from 1955.
[00:36:54.075 --> 00:37:01.841]  This isn't about infants, but just another ad to show you that I'm collecting these things, and some of them are fascinating.
[00:37:01.861 --> 00:37:03.683]  You should see all the marketing to infants and children.
[00:37:03.703 --> 00:37:07.145]  In any case, I want to bring in John Rappaport from nomorefakenews.com.
[00:37:08.126 --> 00:37:17.009]  to comment on that issue and then let's get into the vaccine seizures of babies and why is it the doctors are saying seizures are now good for your babies.
[00:37:17.450 --> 00:37:20.411]  John Rappaport is, of course, from nomorefakenews.com.
[00:37:20.891 --> 00:37:27.693]  He's a researcher, a journalist, a really intelligent investigator and he's hosted the Alex Jones Show before as well.
[00:37:27.733 --> 00:37:29.174]  John, are you with us today?
[00:37:29.334 --> 00:37:29.954]  I am, Mike.
[00:37:30.034 --> 00:37:30.855]  Great to be here.
[00:37:30.875 --> 00:37:33.076]  Yeah, you like it, it likes you.
[00:37:33.096 --> 00:37:34.236]  I grew up with that.
[00:37:35.036 --> 00:37:36.177]  I remember it very well.
[00:37:37.177 --> 00:37:40.259]  And, uh, you know, it's one of those things that used to stick in your mind.
[00:37:40.920 --> 00:37:41.740]  I mean, it really would.
[00:37:42.221 --> 00:37:43.501]  You like it, it likes you.
[00:37:43.602 --> 00:37:44.502]  Okay, you like it.
[00:37:44.622 --> 00:37:45.563]  Let me have a 7-Up.
[00:37:45.963 --> 00:37:46.443]  Really?
[00:37:47.024 --> 00:37:48.105]  Oh, yeah, definitely.
[00:37:48.785 --> 00:37:49.305]  Oh, man.
[00:37:49.686 --> 00:37:52.708]  That and the T-Zone for smoking.
[00:37:52.788 --> 00:37:54.689]  You got some of those ads in the museum?
[00:37:55.470 --> 00:37:57.551]  I haven't collected smoking ads, no.
[00:37:57.891 --> 00:37:59.372]  Just the junk food ads.
[00:38:00.413 --> 00:38:01.554]  A doctor in a white coat?
[00:38:02.119 --> 00:38:02.279]  No.
[00:38:02.619 --> 00:38:03.760]  No, but I've seen that.
[00:38:03.820 --> 00:38:06.342]  So, you know, doctors recommend camels more than any other cigarette?
[00:38:06.882 --> 00:38:08.683]  Yeah, Lucky Strikes, camels, yeah.
[00:38:08.924 --> 00:38:09.124]  Yeah.
[00:38:09.624 --> 00:38:11.085]  Well, this is what's going on today, John.
[00:38:11.105 --> 00:38:15.068]  We've got, in our world today, the corporations are marketing poison to children.
[00:38:15.728 --> 00:38:18.090]  The vaccines are probably, of course, the best example of that.
[00:38:18.150 --> 00:38:24.774]  Now, the 7-Up marketing to children probably stopped a couple of decades ago, well, at least in the blatant way that it's shown here.
[00:38:25.194 --> 00:38:28.997]  But the vaccine marketing is in your face right now today.
[00:38:29.637 --> 00:38:32.019]  What's your latest information on the vaccine front, John?
[00:38:33.420 --> 00:38:52.894]  Well, the government is still trying to deny, of course, that there's any link to autism, despite the fact that it's been shown that they actually paid out 83 parents of children, brain-damaged children, and the brain damage from vaccines, and these children all had autism.
[00:38:53.915 --> 00:38:58.138]  So they've actually paid it out, linked to vaccines.
[00:38:59.011 --> 00:39:10.863]  They've as much as admitted that there's a link, while on the other hand, the PR machine keeps rolling on and saying, oh, there's no connection, no problem, and everything's fine, and vaccines have nothing to do with autism.
[00:39:11.784 --> 00:39:14.827]  So this is just sheer, I mean, it's lying.
[00:39:15.660 --> 00:39:18.203]  But how long can they keep this up, John?
[00:39:18.263 --> 00:39:20.505]  It's clear that the truth is getting out there.
[00:39:20.945 --> 00:39:29.074]  Even Donald Trump went on Fox News and said his own employees took a baby, got multiple vaccines, three hours later the baby was autistic.
[00:39:29.234 --> 00:39:33.559]  Even Donald Trump, and he's in favor of vaccines, and he's speaking out against it now.
[00:39:35.396 --> 00:39:37.437]  Well, they're running out of room, Mike.
[00:39:37.798 --> 00:39:38.478]  What can I say?
[00:39:38.498 --> 00:39:51.888]  You know, all they can do is scream at people who point out the fallacies and who say the truth, and they can say, well, you're wrong, you're not a scientist, you wouldn't know.
[00:39:51.908 --> 00:40:01.935]  And not only that, but you're dangerous, very dangerous, because you could keep people from getting their children vaccinated and then, you know, the world would end.
[00:40:02.455 --> 00:40:11.757]  Well, that's the message of Melinda Gates now, from the Bill and Melinda Gates Foundation, that anyone who questions the Bill Gates vaccination agenda might be hurting people.
[00:40:12.297 --> 00:40:15.938]  No, you can't question their campaign of mass vaccination.
[00:40:16.018 --> 00:40:17.718]  You might be causing death, they say.
[00:40:18.018 --> 00:40:24.460]  So those who are actually killing the children are saying that the people questioning them are the baby killers.
[00:40:25.339 --> 00:40:42.186]  What I want to see at a big speech of Bill Gates in a giant hall is one of these kids from India who's one of the 47,500 who've developed paralysis from the polio vaccine that Gates is supporting.
[00:40:42.646 --> 00:40:52.910]  I want to see one of those children come up the front aisle, down the center, in a wheelchair and look at Bill Gates and say, thanks Bill.
[00:40:53.854 --> 00:40:56.582]  That's what I want to see because that's what's really happening.
[00:40:57.145 --> 00:40:58.146]  Yeah, exactly, exactly.
[00:40:58.786 --> 00:41:01.627]  We need to have the confrontation of truth here.
[00:41:02.208 --> 00:41:10.912]  And there is this wave of polio across India today, or polio-like paralysis, but it's not being caused by polio in the wild, it's being caused by the polio vaccines.
[00:41:10.952 --> 00:41:15.074]  In fact, Aaron Dykes and Paul Watson did a story on that, posted on Infowars.com.
[00:41:16.275 --> 00:41:21.337]  So it's gotten to the point where the diseases are now being caused by the vaccines.
[00:41:21.678 --> 00:41:25.920]  We even had the Institute of Medicine admit that the measles vaccines caused the measles.
[00:41:27.037 --> 00:41:27.597]  Absolutely.
[00:41:27.617 --> 00:41:37.765]  And I can tell you that in the story that I researched many years ago, and got a tremendously reliable source to tell me,
[00:41:38.868 --> 00:41:48.576]  You know, in the early 1970s, the United Nations says, well, we wiped out smallpox in Africa with a vaccine, and it's the greatest thing that's ever happened to humanity, and so on and so on.
[00:41:48.976 --> 00:42:02.727]  Well, I know for a fact that after that campaign was over, there was a secret meeting in Geneva, a secret, secret meeting of the World Health Organization, where they decided, a committee, that they would never use that vaccine again.
[00:42:03.187 --> 00:42:03.788]  And the reason?
[00:42:04.108 --> 00:42:06.310]  Because it was causing smallpox.
[00:42:06.750 --> 00:42:07.231]  That was it.
[00:42:07.771 --> 00:42:11.374]  But on the other hand, they said, oh, we absolutely wiped out smallpox in Africa.
[00:42:12.054 --> 00:42:20.680]  A highly, highly dangerous vaccine that they put on the shelf and they hid the facts from the public that they were actually causing smallpox.
[00:42:20.740 --> 00:42:27.785]  But then at some point, they must have realized, wait a minute, this smallpox vaccine is great at reducing the global population.
[00:42:28.286 --> 00:42:35.431]  Let's keep the vaccine agenda moving forward so we can actually cause fatalities and reduce global population.
[00:42:35.871 --> 00:42:41.458]  And just feed right into the Eugenics Global Depopulation Agenda, which Bill Gates openly admits he's a fan of.
[00:42:41.999 --> 00:42:42.800]  I mean, it's all right there.
[00:42:42.820 --> 00:42:43.801]  He's right out there.
[00:42:43.841 --> 00:42:44.722]  He's right out in front.
[00:42:45.022 --> 00:42:46.003]  All right, we got to go to a break.
[00:42:46.384 --> 00:42:52.051]  We'll be right back with more with John Rappaport, more about vaccines and other topics straight ahead on the Alex Jones Show.
[00:42:52.491 --> 00:42:52.872]  Stay with us.
[00:42:52.892 --> 00:42:53.432]  We'll be right back.
[00:43:01.274 --> 00:43:02.535]  Hi, this is Alex Jones.
[00:43:02.575 --> 00:43:07.917]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:43:08.158 --> 00:43:12.800]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:43:13.180 --> 00:43:13.580]  It's true.
[00:43:13.660 --> 00:43:18.203]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:43:18.743 --> 00:43:23.446]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:43:23.967 --> 00:43:25.908]  They call it a Survival Seed Bank.
[00:43:26.288 --> 00:43:30.891]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:43:31.091 --> 00:43:31.992]  And here's the best part.
[00:43:32.212 --> 00:43:34.974]  These seeds have not been genetically modified in any way.
[00:43:35.274 --> 00:43:38.576]  And you actually get enough seeds to plant a full acre crisis garden.
[00:43:38.897 --> 00:43:41.738]  So visit them today at SurvivalSeedBank.com.
[00:43:42.079 --> 00:43:43.980]  That's SurvivalSeedBank.com.
[00:43:44.320 --> 00:43:45.241]  Or give them a call at 877-327-0365.
[00:43:48.863 --> 00:43:49.884]  That's 877-327-0365.
[00:43:50.304 --> 00:43:57.611]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:43:57.931 --> 00:44:00.393]  This is Alex Jones for SurvivalSeedBank.com.
[00:44:00.934 --> 00:44:04.537]  Right now, the average family spends one-fourth of their income on food.
[00:44:04.737 --> 00:44:10.502]  It's time to cut your food budget in half by using the best, most affordable food on the planet from eFoodsDirect.
[00:44:10.662 --> 00:44:13.825]  The savings from eating this food will actually help you pay your other bills.
[00:44:14.165 --> 00:44:21.975]  Serve these delicious meals to your family tonight for a quick and easy dinner for about $1.25 a serving, compared to over $3 a serving for any other food.
[00:44:22.135 --> 00:44:28.884]  This food is compact, making it easy to store some away, and will be just as delicious in 25 years as the ones you cook tonight.
[00:44:29.224 --> 00:44:29.944]  Is it affordable?
[00:44:30.264 --> 00:44:30.964]  Absolutely!
[00:44:31.204 --> 00:44:36.145]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[00:44:36.425 --> 00:44:40.886]  See the comparison at efoodsdirect.com forward slash Alex or call 800-409-5633.
[00:44:42.927 --> 00:44:47.567]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[00:44:47.868 --> 00:44:52.448]  Give efoodsdirect a call and order one of the Alex Jones Family Packs and test it out today.
[00:44:52.728 --> 00:44:55.589]  Start your journey of food independence today at efoodsdirect.com.
[00:45:00.272 --> 00:45:03.994]  4, 5, 6, even 7 dollars a gallon?
[00:45:04.454 --> 00:45:09.997]  According to fuel industry insiders and economic experts, those are the forecasted fuel prices, with no end in sight.
[00:45:10.437 --> 00:45:14.320]  Fight back fuel prices with the Fuel Saver from airfusionsystems.com.
[00:45:14.640 --> 00:45:17.481]  These fuel savers can save you from 20 to 40 percent.
[00:45:17.802 --> 00:45:21.664]  They're designed to fit any vehicle, from compacts to SUVs to transport trucks.
[00:45:21.924 --> 00:45:25.206]  The Fuel Saver works on all gas, diesel, even propane engines.
[00:45:25.686 --> 00:45:28.468]  Easy do-it-yourself installation in about 15 minutes.
[00:45:28.708 --> 00:45:29.369]  And the best part?
[00:45:29.709 --> 00:45:36.093]  No engine modifications, no computer chipping, no running wires, no chemicals, no water, no running costs, and no maintenance.
[00:45:36.494 --> 00:45:39.456]  And these fuel savers come complete with all parts and accessories.
[00:45:39.836 --> 00:45:47.622]  See how it works at airfusionsystems.com spelled A-I-R F-U-S-I-O-N systems dot com or call 888-887-9981
[00:45:51.504 --> 00:45:52.885]  888-887-9981.
[00:45:54.545 --> 00:45:57.046]  Fuel savers from airfusionsystems.com.
[00:45:57.406 --> 00:45:59.607]  Save fuel, save money, save Earth!
[00:46:01.167 --> 00:46:06.589]  When you're out on the road, the last place you want to be is on the road.
[00:46:07.829 --> 00:46:12.591]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:46:12.971 --> 00:46:19.393]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:46:21.687 --> 00:46:28.063]  They sew pride in every stitch Guarantee you love the way they fit
[00:46:30.171 --> 00:46:34.052]  They put a Diamond Gusset in the crotch, where you need it most.
[00:46:34.753 --> 00:46:37.874]  Blue Diamond Gussets, got it.
[00:46:38.594 --> 00:46:39.394]  Others don't.
[00:46:39.834 --> 00:46:41.715]  We turn jeans inside out.
[00:46:41.975 --> 00:46:43.476]  Diamond Gusset Jeans.
[00:46:43.756 --> 00:46:46.316]  Made in the USA with unparalleled quality.
[00:46:46.637 --> 00:46:52.899]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:46:53.279 --> 00:46:55.480]  Order yours at gusset.com.
[00:46:55.980 --> 00:46:58.000]  Diamond Gusset Jeans, got it.
[00:46:58.341 --> 00:46:59.101]  Others don't.
[00:47:02.051 --> 00:47:04.973]  Coast to Coast, direct from Austin.
[00:47:05.634 --> 00:47:09.737]  You're listening to the Alex Jones Broadcasting Network.
[00:47:11.038 --> 00:47:16.562]  What we've got here is failure to communicate.
[00:47:17.743 --> 00:47:21.225]  Some men you just can't reach.
[00:47:22.006 --> 00:47:26.469]  So you get what we had here last week, which is the way he wants.
[00:47:26.509 --> 00:47:30.912]  We're talking with John Rappaport, an investigative journalist.
[00:47:32.449 --> 00:47:40.824]  Researcher about vaccines, seizures in children and much more here on the Alex Jones Show this Sunday, April 22nd.
[00:47:44.491 --> 00:47:46.112]  This clock is throwing me off a little bit.
[00:47:46.132 --> 00:47:47.112]  I apologize to our listeners.
[00:47:47.172 --> 00:47:49.232]  But look, the news is hard-hitting.
[00:47:49.252 --> 00:47:49.872]  That's what matters.
[00:47:49.892 --> 00:47:51.073]  And our guest is right on the money.
[00:47:51.093 --> 00:47:56.794]  And we're going to be going into some of the details of not just vaccines, but talking about NSA surveillance.
[00:47:56.814 --> 00:48:08.016]  The NSA is now tracking 20 million transactions in total of the American people, your phone calls, your emails, other forms of data from Americans.
[00:48:08.676 --> 00:48:11.837]  And this is all authorized under the USA Patriot Act.
[00:48:12.757 --> 00:48:16.641]  And it's something that the NSA said they were not doing in the past.
[00:48:16.681 --> 00:48:18.143]  They said they don't monitor your email.
[00:48:18.163 --> 00:48:18.783]  Turns out they are.
[00:48:19.324 --> 00:48:22.667]  John Rappaport joins us from nomorefakenews.com.
[00:48:22.987 --> 00:48:35.160]  And John, what is your take on this just incredible expansion of the police state surveilling every little detail of our lives and tracking everything that we are doing and what we might do?
[00:48:36.581 --> 00:48:38.482]  Well, this was the agenda all along, Mike.
[00:48:39.022 --> 00:48:41.083]  I mean, the agenda was not to catch terrorists.
[00:48:41.163 --> 00:48:50.627]  The agenda is total control over the society, so that they can say, okay, well, let's put these emails over here, because these could be dangerous people.
[00:48:50.967 --> 00:48:51.827]  Well, what does that mean?
