[00:00:00.129 --> 00:00:02.313]  Coast, direct from Austin.
[00:23:17.445 --> 00:23:18.166]  We're good to go.
[00:23:33.517 --> 00:23:46.214]  And Sean's a graduate of Princeton University, a very, very bright kid, and he fits perfect into our show because it's right down his alley because he's a huge studier of the Illuminati and all that stuff.
[00:23:46.234 --> 00:23:47.556]  He knows it inside and out.
[00:23:48.032 --> 00:23:52.679]  Oh, he has amazing understanding, getting a chance to hang out with him quite a bit there on the shoots.
[00:23:53.500 --> 00:23:55.763]  And of course, Tyrell's knocking it out of the park as well.
[00:23:55.843 --> 00:24:02.572]  I just can't wait to see the episodes because, I mean, I was there in part of some of the investigations, but I haven't seen any of it.
[00:24:02.592 --> 00:24:03.494]  Have you seen any of it?
[00:24:03.934 --> 00:24:06.555]  Yeah, I've seen four shows, the ones I've voiced over.
[00:24:06.575 --> 00:24:18.638]  Yeah, I've seen them completely right now, what there'll be except minus my voiceover and a few small little edits that they'll have to do to tighten it up a little bit, but I've seen four of the shows and three of them I have not seen yet.
[00:24:18.958 --> 00:24:21.759]  What would you say about this season compared to the other seasons?
[00:24:22.479 --> 00:24:30.346]  I'd say this season it's even more bizarre, and I think this season's going to be even more entertaining for people to watch.
[00:24:30.967 --> 00:24:33.749]  Because we also get into your buddy Ike.
[00:24:34.230 --> 00:24:35.591]  Ike, or whatever his name is.
[00:24:35.811 --> 00:24:37.132]  Ha ha, yeah.
[00:24:38.073 --> 00:24:39.474]  I wish you guys wouldn't have got into it.
[00:24:39.494 --> 00:24:40.135]  Tell us what happened.
[00:24:40.774 --> 00:24:46.721]  Well, you know, I wouldn't have did it except it was on Time Magazine's Top Ten Conspiracies.
[00:24:47.141 --> 00:24:56.131]  I mean, people believe this and, you know, we're also there to show the conspiracy, but we're also there to show if the conspiracy we believe is a fraud.
[00:24:56.651 --> 00:25:01.436]  You know, we play both sides of the... So you don't believe the Queen is a five and a half foot reptoid?
[00:25:02.148 --> 00:25:03.049]  Do I believe it?
[00:25:03.389 --> 00:25:03.729]  Yeah.
[00:25:04.130 --> 00:25:04.350]  No.
[00:25:04.810 --> 00:25:19.643]  But I'll tell you, it's very intriguing and entertaining, Alex, because, you know, when you go back to ancient times, why do world carvings and pictures on caves and stuff all show reptiles who walk upright?
[00:25:20.223 --> 00:25:20.723]  No, I know.
[00:25:20.803 --> 00:25:21.804]  It's kind of like the movie.
[00:25:21.824 --> 00:25:26.105]  It's very intriguing, and if you look at the birth of Christianity, okay?
[00:25:26.345 --> 00:25:30.187]  How did Christianity start, allegedly, according to the Bible?
[00:25:30.547 --> 00:25:33.208]  A man, a woman, and a talking snake.
[00:25:33.628 --> 00:25:35.448]  Well, a snake's a reptile, isn't it?
[00:25:36.129 --> 00:25:42.351]  And then when you get into the fact that all of our brains have a certain person that's reptilian,
[00:25:42.971 --> 00:25:50.156]  Which means to tell me, I believe in evolution, that means that we were the same if you go back far enough.
[00:25:50.717 --> 00:25:53.719]  Well, who's to say that they died off or not?
[00:25:54.139 --> 00:25:57.161]  Jesse, maybe you are a reptoid shape shifter.
[00:25:57.782 --> 00:25:59.043]  Well, I don't know.
[00:25:59.103 --> 00:26:00.584]  I could always swim pretty good.
[00:26:00.644 --> 00:26:02.185]  Reptiles usually can swim.
[00:26:02.265 --> 00:26:05.587]  Hey, I was inviting you down here to Barton Springs.
[00:26:05.627 --> 00:26:06.088]  You'd love it.
[00:26:06.788 --> 00:26:07.749]  Tell us about the surfing.
[00:26:09.125 --> 00:26:10.926]  Oh, well, surfing is fine.
[00:26:10.966 --> 00:26:13.148]  My wife's now doing a lot of paddle surfing.
[00:26:13.168 --> 00:26:14.509]  She's doing it more than I am.
[00:26:14.829 --> 00:26:16.850]  Wait till you hear this one, though, Alex.
[00:26:16.870 --> 00:26:20.213]  This beats all in the United States of America.
[00:26:20.813 --> 00:26:22.975]  In Minnesota, right?
[00:26:23.875 --> 00:26:25.977]  You have to license a surfboard.
[00:26:28.338 --> 00:26:29.359]  Can you believe that?
[00:26:29.779 --> 00:26:32.021]  And they require you to wear a life jacket.
[00:26:32.924 --> 00:26:52.317]  Now if Laird Hamilton, the greatest big wave surfer in the world, who rides 40 foot waves, and he also paddles surf, if he came to Minnesota to do a lesson thing or whatever, he would be required to license his surfboard and wear a life jacket.
[00:26:52.597 --> 00:26:54.218]  That's something I want to get your take on.
[00:26:54.899 --> 00:26:59.322]  Because this nanny state is their real takeover system.
[00:26:59.722 --> 00:27:02.584]  Now, they're not letting children run at school recess.
[00:27:02.604 --> 00:27:04.786]  They've gotten rid of dodgeball, touch football.
[00:27:04.886 --> 00:27:13.792]  And now, in a suburb of Houston in the country, a woman in a rural area on a cul-de-sac, her kids were riding on bicycles and scooters.
[00:27:13.852 --> 00:27:18.736]  The police arrested her and said kids cannot be in a cul-de-sac.
[00:27:19.136 --> 00:27:21.298]  I mean, this nanny state is pure tyranny.
[00:27:21.938 --> 00:27:22.599]  It's awful.
[00:27:22.939 --> 00:27:26.343]  You know, there's a reason I was governor, Alex.
[00:27:26.383 --> 00:27:27.063]  You know why?
[00:27:27.344 --> 00:27:27.584]  Why?
[00:27:28.185 --> 00:27:30.727]  I figured out the way around it, Minnesota.
[00:27:32.289 --> 00:27:37.254]  When I was there to practice, I brought surfboards and I did not license my surfboards.
[00:27:37.274 --> 00:27:38.415]  You know how I got around it?
[00:27:39.452 --> 00:27:42.315]  Well, when you license it, you have to give them an address.
[00:27:42.975 --> 00:27:45.317]  Well, I gave them my address in Mexico.
[00:27:46.438 --> 00:27:48.380]  So I didn't have to license my boards.
[00:27:48.460 --> 00:27:49.842]  And the guy said, yep, that'll work.
[00:27:49.882 --> 00:27:57.729]  He said, as long as the address you give me on the sales thing is outside of the state of Minnesota, you do not have to pay for a license.
[00:27:58.329 --> 00:28:02.654]  And people should always look for those loopholes because the establishment always puts those in there for themselves.
[00:28:03.114 --> 00:28:15.407]  I was buying a small one-man tiny kayak for one of my children at Academy a few months ago, and they got in my face, not rudely, but, you know, hey, the state police want this, you need to register this.
[00:28:15.447 --> 00:28:16.388]  And I said, is it the law?
[00:28:16.828 --> 00:28:19.031]  They said, no, but the police want it.
[00:28:19.531 --> 00:28:21.472]  And I said, what, am I going to use it to blow up the dam?
[00:28:21.792 --> 00:28:23.392]  And I said, fine, I'm not buying it.
[00:28:23.632 --> 00:28:24.873]  They said, fine, you're not getting it.
[00:28:25.153 --> 00:28:26.033]  I started walking out.
[00:28:26.073 --> 00:28:28.154]  The manager goes, no, no, no, you can have it.
[00:28:28.574 --> 00:28:32.315]  And Governor, we're talking about a $200 little cheap plastic kayak.
[00:28:32.575 --> 00:28:37.077]  I mean, what type of country is this where they want me to register my kayak?
[00:28:37.956 --> 00:28:40.877]  The same country that I have to register a surfboard.
[00:28:41.678 --> 00:28:45.679]  And get this, Alex, there's no serial numbers on a surfboard.
[00:28:46.140 --> 00:28:50.241]  So therefore, how do they know the license this surfboard even belongs to?
[00:28:50.301 --> 00:28:52.522]  Not about saying you gotta wear a life preserver!
[00:28:54.183 --> 00:28:55.543]  Well, I'll put it to you this way.
[00:28:55.984 --> 00:29:06.108]  If you showed up on the beaches of Hawaii, the beaches of California, the beaches of Mexico, the surf beaches, if you were wearing a life jacket, they'd probably string you up.
[00:29:15.643 --> 00:29:23.306]  If you want an American company with American products made by Americans, here is the Cal Bend Soap Company.
[00:29:23.766 --> 00:29:27.388]  Alex and his staff have used these pure soap products for years.
[00:29:27.828 --> 00:29:34.631]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:29:35.131 --> 00:29:42.873]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:29:42.993 --> 00:29:48.654]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:29:48.914 --> 00:29:54.015]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:29:54.335 --> 00:29:55.976]  This is an amazing deal.
[00:29:56.316 --> 00:30:00.857]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:30:01.537 --> 00:30:04.722]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:30:13.277 --> 00:30:18.099]  Have you ever thought about actually getting off the grid and becoming truly self-reliant?
[00:30:18.239 --> 00:30:25.542]  Introducing a brand new book for independent Americans who want practical advice on how to survive and even prosper in the challenging days ahead.
[00:30:25.642 --> 00:30:33.825]  The big book of off-the-grid secrets is packed with hard-hitting information on self-reliance gardening, food preparation, alternative energy, home security, and more.
[00:30:34.085 --> 00:30:37.847]  At 436 pages, there's simply nothing like it anywhere.
[00:30:38.027 --> 00:30:42.430]  Get the big book of off-the-grid secrets by going to offthegridsecrets.com.
[00:30:42.450 --> 00:30:44.771]  That's offthegridsecrets.com.
[00:30:44.931 --> 00:30:45.952]  Or call 800-206-4095.
[00:30:46.052 --> 00:30:48.693]  That's 800-206-4095.
[00:30:48.793 --> 00:30:56.178]  Order online and get our top 14 off-the-grid special reports free with your order.
[00:30:56.258 --> 00:31:00.460]  Reports like cash garden, how to grow all the food you'll ever need, and stick to your
[00:31:00.520 --> 00:31:05.104]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:31:05.124 --> 00:31:06.605]  78% of the Midwest corn belt is in drought conditions.
[00:31:06.625 --> 00:31:09.848]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:31:27.642 --> 00:31:32.367]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:31:32.608 --> 00:31:39.996]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[00:31:40.256 --> 00:31:43.940]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:31:44.120 --> 00:31:45.642]  Now is the time to get your supply.
[00:31:45.902 --> 00:31:49.765]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:31:49.906 --> 00:31:52.568]  You know about their delicious, long-term, storable foods.
[00:31:52.828 --> 00:31:55.470]  The fact is, you can eat it anytime to save money today.
[00:31:55.610 --> 00:31:59.994]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[00:32:00.174 --> 00:32:00.715]  Don't wait!
[00:32:00.815 --> 00:32:03.177]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:32:03.277 --> 00:32:05.879]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:32:06.079 --> 00:32:07.941]  You can bet your life on eFoods Direct.
[00:32:15.063 --> 00:32:22.748]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:32:23.168 --> 00:32:26.810]  Alex and his staff have used these pure soap products for years.
[00:32:27.251 --> 00:32:34.035]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:32:34.555 --> 00:32:42.081]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:32:42.401 --> 00:32:48.086]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:32:48.346 --> 00:32:53.450]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:32:53.770 --> 00:32:55.412]  This is an amazing deal.
[00:32:55.752 --> 00:33:00.296]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:33:00.956 --> 00:33:08.641]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:33:14.164 --> 00:33:15.365]  Coast to Coast.
[00:33:15.705 --> 00:33:17.166]  Direct from Austin.
[00:33:17.746 --> 00:33:20.988]  You're listening to the Alex Jones Broadcasting Network.
[00:33:24.361 --> 00:33:28.383]  Big Brother, mainstream media, government cover-ups.
[00:33:29.164 --> 00:33:30.624]  You want to stop tyranny?
[00:33:30.885 --> 00:33:32.245]  Well, so does he.
[00:33:32.546 --> 00:33:37.328]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:37.468 --> 00:33:39.589]  Revolution Calling, my friends!
[00:33:40.490 --> 00:33:41.811]  Revolution Calling!
[00:33:41.831 --> 00:33:43.231]  Revolution Calling!
[00:33:43.251 --> 00:33:47.434]  Revolution Calling!
[00:33:55.037 --> 00:33:57.960]  But what kind of revolution do we speak?
[00:33:59.381 --> 00:34:02.183]  Will it be a socialist, communist, or fascist revolution?
[00:34:02.784 --> 00:34:06.087]  That's what the globalists hope as they engineer the collapse of our society.
[00:34:06.447 --> 00:34:10.130]  That they'll be able to sell us on radical tyranny as the solution.
[00:34:10.751 --> 00:34:13.774]  No, I want to restore the republic of our forebearers.
[00:34:14.514 --> 00:34:17.217]  Of George Washington, Thomas Jefferson, Benjamin Franklin.
[00:34:17.944 --> 00:34:19.907]  That's what I want to restore.
[00:34:20.368 --> 00:34:25.475]  Thank you for joining us on this Worldwide Sunday Transmission, the 23rd of September, 2012.
[00:34:26.136 --> 00:34:31.705]  Here is Jesse Ventura, former governor of Minnesota.
[00:34:34.189 --> 00:34:40.494]  Well, listen, I was down at the Texas coast just three, four months ago for my parents' birthdays.
[00:34:40.974 --> 00:34:41.594]  They wanted to go down there.
[00:34:41.614 --> 00:34:42.715]  It was a total nanny state.
[00:34:44.737 --> 00:34:49.420]  Now they have like these beach rangers coming up and harassing you and saying, look out if you go back in there.
[00:34:49.500 --> 00:34:53.683]  There's rattlesnakes and just, I mean, I've been going in there my whole life and never had any interaction.
[00:34:53.984 --> 00:34:58.147]  Now it's total interaction over and over again, like it was a comedy or something.
[00:34:58.947 --> 00:35:01.890]  Why do you think I live half the year in Mexico?
[00:35:02.290 --> 00:35:05.713]  Mexico doesn't bother you with nonsense like that.
[00:35:06.233 --> 00:35:11.758]  If you go out and kill yourself doing something, well, the Mexican people, they're very religious.
[00:35:12.238 --> 00:35:19.304]  They will probably say a prayer for you, and they will feel bad for you, but ultimately they're going to say, what a knucklehead he was.
[00:35:20.765 --> 00:35:22.887]  Exactly, but that's what I'm talking about.
[00:35:22.907 --> 00:35:33.095]  But to finish the brief story, I actually saw people hen-pecking each other because now all the dogs, including Labradors, in lakes and in the ocean, are wearing these big life jackets.
[00:35:33.456 --> 00:35:39.060]  And I saw a woman come over to people that had some dogs and said, you ought to have your dog in a life jacket.
[00:35:39.421 --> 00:35:43.804]  This new nanny state where people come and tell you what to do, not just the cops.
[00:35:44.125 --> 00:35:45.386]  What is going on in this country?
[00:35:45.806 --> 00:35:47.947]  I can only go back to the water, Alex.
[00:35:48.527 --> 00:35:54.850]  Everybody's drinking fluoridated water, which of course we all know fluoride is the major ingredient to Prozac.
[00:35:55.330 --> 00:35:57.792]  And that's the only answer I can give you.
[00:35:58.092 --> 00:36:02.814]  They're dumbing themselves down and they're getting all docile because they're drinking Prozac water.
[00:36:03.434 --> 00:36:16.604]  By the way, they call you a conspiracy theorist for having that incredible episode, one of my favorite last year on that, Governor Ventura, but the Harvard study came out two months ago and they looked at more than 20 studies and said it's conclusive.
[00:36:17.405 --> 00:36:22.789]  Fluoride, sodium fluoride in the water, it's actually an acid, they remove an electron so it's worse, that's why it's so bad.
[00:36:23.529 --> 00:36:28.253]  It is toxic, it causes cancer, and it lowers IQ massively.
[00:36:28.453 --> 00:36:31.896]  So it's not debatable now, so why is it still in our water, Governor?
[00:36:32.656 --> 00:36:35.558]  Well, why did they put it in the water in the first place?
[00:36:36.039 --> 00:36:40.622]  You know, when you find out the Nazis were the first ones to put fluoride in the water.
[00:36:40.882 --> 00:36:44.485]  So we're following some beautiful Nazi-type thinking.
[00:36:44.825 --> 00:36:45.225]  Exactly.
[00:36:45.325 --> 00:36:52.970]  I want to know why in Austin, where I live, because I've seen the film, when doctors go and speak to the council, the mayor laughs at them.
[00:36:53.331 --> 00:36:57.674]  I mean, I'm telling you, it is outrageous that they're doing this to us and they think it's funny.
[00:36:58.414 --> 00:37:00.035]  I don't know how you got me.
[00:37:00.795 --> 00:37:07.738]  Brainerd Minnesota, Brainerd Minnesota voted their city council to not fluoridate the water.
[00:37:08.018 --> 00:37:09.899]  The federal government came in and made them.
[00:37:10.179 --> 00:37:13.681]  Yeah, and since when are the feds doing that in New Jersey, Minnesota and Texas?
[00:37:14.061 --> 00:37:16.142]  I've seen now where the feds are ordering it.
[00:37:16.582 --> 00:37:17.483]  Oh, absolutely!
[00:37:17.883 --> 00:37:30.451]  Brainerd, Minnesota, their mayor and council voted that their public water, that they did not want fluoride in their water, and the federal government came in and told them, oh no, you're putting fluoride in the water.
[00:37:31.272 --> 00:37:33.393]  So you don't even get a choice anymore.
[00:37:33.774 --> 00:37:34.594]  It's unbelievable.
[00:37:34.654 --> 00:37:36.816]  I mean, it is just such tyranny that we're seeing.
[00:37:37.876 --> 00:37:39.898]  Speaking of that, I want to go to a few phone calls, Governor.
[00:37:40.638 --> 00:37:46.264]  Before you go though Alex, I got hot news for you and I'll tell you this for all you listeners.
[00:37:46.584 --> 00:37:46.925]  Please.
[00:37:47.585 --> 00:37:54.993]  I stated that if a grassroots campaign took place across America, grassroots, and didn't cost any money,
[00:37:55.905 --> 00:38:09.629]  If they got me ballot access in all 50 states, and if the grassroots campaign could guarantee that I would be in the debates, then I will give serious consideration 2016 of running for president.
[00:38:10.009 --> 00:38:11.569]  Are you breaking that here?
[00:38:11.629 --> 00:38:17.271]  Well, I've said it a couple places, but you're pretty well, they're all the same day, so you're hearing it the same day.
[00:38:17.731 --> 00:38:24.117]  Wow, well thank you for announcing that because our show... It's up to the people of the United States of America.
[00:38:24.517 --> 00:38:36.327]  If they want to form, if they want to cross this great land of ours, get me ballot access in all 50 states, and then raise enough hell to ensure that I get... Look at it this way, Alex.
[00:38:36.747 --> 00:38:41.051]  They always tell us that competition is tremendous in the private sector, right?
[00:38:41.411 --> 00:38:42.813]  It's good to have competition.
[00:38:43.193 --> 00:38:45.555]  How come there's no competition in the public sector?
[00:38:46.055 --> 00:38:47.916]  Why do we only get two choices?
[00:38:48.237 --> 00:38:52.619]  Why, for 20 years, have we not seen a third voice in a presidential election?
[00:38:52.779 --> 00:38:53.900]  Okay, Governor, let me stop you.
[00:38:53.940 --> 00:38:54.740]  This is a big deal.
[00:38:54.780 --> 00:39:00.263]  We've been talking for 40 minutes here, and now you drop this bombshell on us.
[00:39:00.283 --> 00:39:02.645]  So I want to officially have your statement here.
[00:39:02.685 --> 00:39:03.965]  So let me give you the floor for a few minutes.
[00:39:04.306 --> 00:39:11.310]  Please start over and make the announcement, because my show's big enough that it'll probably end up breaking nationally here that you say it on this show.
[00:39:11.770 --> 00:39:13.631]  So, Governor Ventura, please make your announcement.
[00:39:14.133 --> 00:39:41.639]  Well, I said that if a grassroots effort, not a money effort, I don't want millions of dollars raised and I don't want to do all that, but if there's a grassroots blue-collar effort out there and people do the legwork to get Jesse Ventura on the 2016 ballot for president, and if they can likewise guarantee me, because I've got to be in the debate, I won't do it if I can't have an opportunity to win.
[00:39:42.319 --> 00:39:47.721]  And the only way you can have an opportunity to win is you must be included in the debates.
[00:39:48.181 --> 00:40:01.166]  If they can guarantee me the debates and guarantee me ballot access in all 50 states, I will give very strong consideration to running for president in 2016 as a complete independent, with no party.
[00:40:01.506 --> 00:40:07.067]  Wow, so you're announcing here today on the radio that you will run for president.
[00:40:07.327 --> 00:40:22.591]  That's amazing because we've all been disheartened by the fact that Ron Paul didn't go third party, that he didn't challenge Mitt Romney more, as we've now learned from one of their campaign people, that they made the decision not to do that in Michigan months and months and months ago.
[00:40:23.771 --> 00:40:26.652]  And we need somebody third party to inject real issues
[00:40:26.932 --> 00:40:29.334]  Well, I don't want to even be a third party, Alex.
[00:40:29.494 --> 00:40:35.037]  I'm talking about Jesse Ventura as a- Governor Ventura as an individual, not even a party.
[00:40:35.358 --> 00:40:36.939]  Me, as an individual.
[00:40:37.339 --> 00:40:41.122]  Because my book advocates the abolishment of political parties.
[00:40:41.522 --> 00:40:44.204]  So I do not want to be aligned with any party.
[00:40:44.484 --> 00:40:47.646]  Get me ballot access in all 50 states and I think Puerto Rico.
[00:40:47.686 --> 00:40:48.827]  Don't they vote too?
[00:40:57.052 --> 00:40:58.774]  What's the timeframe on that though?
[00:40:58.994 --> 00:41:08.042]  To get me ballot access in all 50 states to where I'll be on the ballot in all 50 states and guarantee me that I can participate in the debates.
[00:41:08.342 --> 00:41:12.926]  I will then give heavy consideration to running when I see that's in place.
[00:41:13.306 --> 00:41:18.489]  When did you make this decision that you would throw your hat in the 2012 presidential race?
[00:41:18.509 --> 00:41:18.489]  2016.
[00:41:18.889 --> 00:41:22.251]  The 2016 one, not this one.
[00:41:22.291 --> 00:41:25.073]  No, no, I understand that, but I mean, when did you make the decision in 2012?
[00:41:25.153 --> 00:41:36.219]  Well, I just kept looking at the whole situation and realizing that something needs to be done to defeat and destroy this two-party, as Ralph Nader put it, the two-party dictatorship.
[00:41:36.799 --> 00:41:48.684]  And again, I'm up for challenges, and I think it would be just a wild affair to actually be a legitimate candidate for president and be part of no political party.
[00:41:49.044 --> 00:41:55.687]  Well, we need someone who's got the personality, the background, and the understanding to do it, and there is no one out there.
[00:41:55.727 --> 00:41:56.207]  Ron Paul.
[00:41:56.787 --> 00:41:57.827]  Is going to be too old.
[00:41:59.488 --> 00:42:02.528]  And there's no one else who even has the integrity.
[00:42:02.788 --> 00:42:10.070]  You know, I don't agree with every single one of your political stances, but I know that you're a real guy who cares about freedom and who can't be bought.
[00:42:10.090 --> 00:42:15.051]  I mean, I've studied what you did as governor, why the whole system came after you, why the whole media turned against you.
[00:42:15.071 --> 00:42:17.892]  And it was because you couldn't be bought by special interest.
[00:42:18.232 --> 00:42:20.233]  And that's what we need is somebody with integrity.
[00:42:20.613 --> 00:42:21.753]  So that's very, very exciting.
[00:42:22.273 --> 00:42:24.374]  You know what's interesting, Alex?
[00:42:24.434 --> 00:42:29.637]  When I was governor, I didn't accept any PAC money or anything at all, no special interest money.
[00:42:30.017 --> 00:42:34.900]  Did you know for four years in office, I never met once with a lobbyist?
[00:42:34.940 --> 00:42:36.761]  Lobbyists were banned from my office.
[00:42:36.861 --> 00:42:39.603]  I told my staff, I said, I don't need to meet with a lobbyist.
[00:42:39.663 --> 00:42:43.585]  They said they didn't elect me, so therefore they get no audience with me.
[00:42:46.803 --> 00:42:54.246]  Whether you agree with everything Ventura says or not, you've got to respect the fact that he truly stands for what he believes in and has integrity.
[00:42:54.466 --> 00:43:00.089]  We're going to go to break and come back with Lyndon LaRouche, who just had his 90th birthday, straight ahead.
[00:43:00.549 --> 00:43:09.893]  I'm Alex Jones, and our websites are Infowars.com, PrisonPlanet.com, and don't forget we stream video of the shows live at PrisonPlanet.tv.
[00:43:10.413 --> 00:43:10.973]  Stay with us.
[00:43:11.133 --> 00:43:12.054]  More straight ahead.
[00:43:13.251 --> 00:43:18.533]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:43:18.773 --> 00:43:20.993]  Start purifying your water with ProPure.
[00:43:21.193 --> 00:43:30.136]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:43:30.276 --> 00:43:33.497]  Its filters are silver impregnated to prevent bacterial growth.
[00:43:33.737 --> 00:43:35.157]  There's no priming required.
[00:43:35.417 --> 00:43:37.438]  It's NSF 42 certified.
[00:43:37.658 --> 00:43:40.179]  Optional fluoride filters can reduce fluoride up to 95%
[00:43:41.259 --> 00:43:42.680]  Easy to set up and use.
[00:43:42.780 --> 00:43:44.061]  Doesn't require electricity.
[00:43:44.201 --> 00:43:47.063]  Purify water from lakes, streams, ponds, and wells.
[00:43:47.363 --> 00:43:50.545]  This filter system leaves in beneficial minerals, which is key.
[00:43:50.745 --> 00:43:52.547]  Save money by not buying bottled water.
[00:43:52.667 --> 00:43:54.748]  And avoid BPA that leaches from the plastic.
[00:43:54.888 --> 00:43:57.490]  ProPure is the best gravity-fed filter out there.
[00:43:57.630 --> 00:43:58.991]  It's what my family uses.
[00:43:59.191 --> 00:44:02.433]  Infowars.com already has the lowest price on ProPure.
[00:44:02.533 --> 00:44:07.797]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:44:08.337 --> 00:44:12.500]  You can also call to order 888-253-3139.
[00:44:13.121 --> 00:44:17.945]  Have you ever thought about actually getting off the grid and becoming truly self-reliant?
[00:44:18.085 --> 00:44:25.390]  Introducing a brand new book for independent Americans who want practical advice on how to survive and even prosper in the challenging days ahead.
[00:44:25.491 --> 00:44:33.677]  The big book of off-the-grid secrets is packed with hard-hitting information on self-reliance gardening, food preparation, alternative energy, home security, and more.
[00:44:33.917 --> 00:44:37.699]  At 436 pages, there's simply nothing like it anywhere.
[00:44:37.879 --> 00:44:42.261]  Get the big book of off-the-grid secrets by going to offthegridsecrets.com.
[00:44:42.301 --> 00:44:44.602]  That's offthegridsecrets.com.
[00:44:44.763 --> 00:44:45.783]  Or call 800-206-4095.
[00:44:45.883 --> 00:44:48.524]  That's 800-206-4095.
[00:44:48.624 --> 00:44:56.028]  Order online and get our top 14 off-the-grid special reports free with your order.
[00:44:56.108 --> 00:45:03.532]  Reports like cash garden, how to grow all the food you'll ever need and stick to your guns, how to legally carry firearms almost anywhere, anytime.
[00:45:03.652 --> 00:45:05.933]  Alex Jones here with a very important announcement for truth seekers.
[00:45:05.993 --> 00:45:09.454]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:45:22.478 --> 00:45:28.847]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:45:29.068 --> 00:45:32.092]  And that's Dreams From My Real Father by Joel Gilbert.
[00:45:32.412 --> 00:45:34.475]  Available at Infowars.com.
[00:45:34.756 --> 00:45:38.401]  This film exposes the fraud that Obama is like nothing I've seen.
[00:45:38.561 --> 00:45:42.144]  If you want to know who Obama's real daddy is, this is the film for you.
[00:45:42.384 --> 00:45:46.787]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:45:46.988 --> 00:45:49.309]  You'll also find it at infowarshop.com.
[00:45:49.489 --> 00:45:51.651]  None Dare Call a Conspiracy by Gary Allen.
[00:45:51.791 --> 00:45:53.032]  The book that woke me up.
[00:45:53.332 --> 00:45:55.294]  We're also carrying Behind the Green Mask.
[00:45:55.614 --> 00:45:57.616]  UN Agenda 21 by Rosa Corey.
[00:45:57.776 --> 00:46:00.418]  This book is coffin nails to the globalist takeover.
[00:46:00.718 --> 00:46:07.169]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[00:46:07.549 --> 00:46:11.796]  These titles and a lot more are all available at InfoWarshop.com.
[00:46:13.507 --> 00:46:23.677]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:46:24.137 --> 00:46:34.347]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:46:35.268 --> 00:46:42.609]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:46:42.829 --> 00:46:49.691]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:46:50.031 --> 00:46:54.452]  This product was designed to be an invaluable part of your vital preparations.
[00:46:54.812 --> 00:47:02.113]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[00:47:02.313 --> 00:47:12.203]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[00:47:14.005 --> 00:47:15.166]  Coast to Coast.
[00:47:15.526 --> 00:47:16.888]  Direct from Austin.
[00:47:17.588 --> 00:47:20.812]  You're listening to the Alex Jones Broadcasting Network.
[00:47:26.021 --> 00:47:31.843]  From the front lines of the Information War, it's Alex Jones!
