[00:00:28.564 --> 00:00:31.947]  Good evening, ladies and gentlemen, and welcome to the InfoWars Nightly News.
[00:28:10.045 --> 00:28:25.029]  Well, it was brought to our attention by the Intel Hub that the LA to New York in a half an hour, 10,000 plus mile per hour tunnel train used for underground bases has been underway for a long time.
[00:28:25.509 --> 00:28:25.909]  It's been
[00:28:27.668 --> 00:28:47.645]  Under the agenda of the Rand Corporation, who in 1972 in the LA Times, June 11, 1972 LA Times said, a Rand Corporation physicist has devised a rapid transit system to get you from Los Angeles to New York in half an hour for a $50 fare.
[00:28:47.685 --> 00:28:51.809]  That's back when people were good and honest and weren't going to use things for their own
[00:28:52.449 --> 00:28:55.091]  Means I'm talking about the elitist.
[00:28:55.571 --> 00:29:01.494]  He said existing technology made such a system feasible and so does a cost analysis.
[00:29:01.634 --> 00:29:08.458]  The essence of the idea is to dig a tunnel more or less along the present routes of US highways 66 and 30.
[00:29:09.079 --> 00:29:15.583]  The tunnel would contain several large tubes for east-west travel of trains that float on magnetic fields.
[00:29:16.792 --> 00:29:24.616]  Moving at top speeds of 10,000 miles per hour, passengers would face forward during acceleration, backwards during deceleration.
[00:29:25.157 --> 00:29:30.300]  All of that sounds very, very interesting and sounds great.
[00:29:30.340 --> 00:29:36.683]  It sounds like the kind of technology that we need and we need to strive towards, but
[00:29:38.516 --> 00:29:49.178]  Looking at this nuclear tunnel boring machine that Switzerland... Switzerland has a lot of nuclear tunnel boring machines, but we have the best.
[00:29:49.698 --> 00:30:01.381]  And in this report, last Friday, the final breakthrough on the east tube of the Gothard base tunnel occurred, and they used a TBM, a tunnel boring machine, to do that.
[00:30:02.001 --> 00:30:05.422]  And if you look here at the RAND Corporation's report,
[00:30:06.801 --> 00:30:31.519]  On the actual route system that would be used as a result of these tunnel boring machines, it went from San Francisco, well, this was, when this report came out, this was years ago, but you can find it online, the Transplanetary Subway Systems Imburgeoning Capability by Robert M. Salter, February of 1978, courtesy of the RAND Corporation.
[00:30:32.760 --> 00:30:34.541]  The route went from San Francisco
[00:30:35.760 --> 00:30:41.744]  As they said, along 30 and 66, all the way up to New York, up into New England.
[00:30:42.585 --> 00:31:00.096]  But what may have happened is, well, seems to have happened, is the Defense Department and the government and the secret, need I say, shadow government has taken over this transit system and they use it for their own benefit.
[00:31:02.298 --> 00:31:04.900]  And moving on now to a daily quote
[00:31:05.987 --> 00:31:14.632]  Which will bring us right into our next guest, Joseph Plummer, who's written an excellent book called Dishonest Money, which you can find at Infowars.com in the store.
[00:31:15.772 --> 00:31:17.653]  This is from Woodrow Wilson.
[00:31:17.694 --> 00:31:20.955]  He says, I am a most unhappy man.
[00:31:21.055 --> 00:31:23.477]  I have unwittingly ruined my country.
[00:31:24.057 --> 00:31:27.079]  A great industrial nation is controlled by its system of credit.
[00:31:27.759 --> 00:31:29.720]  Our system of credit is concentrated.
[00:31:30.160 --> 00:31:35.903]  The growth of the nation, therefore, and all our activities are in the hands of a few men.
[00:31:36.043 --> 00:31:39.704]  Woodrow Wilson after signing the Federal Reserve into existence.
[00:31:40.645 --> 00:31:50.209]  And now we take that thought to our next break and our interview with Joseph Plummer, author of Dishonest Money, right after this.
[00:31:57.654 --> 00:32:00.356]  I'm announcing our biggest contest ever.
[00:32:01.417 --> 00:32:07.561]  And we're looking for people who love freedom and who want to be all in in the resistance to tyrants.
[00:32:11.324 --> 00:32:13.586]  So you say you want to fight the New World Order.
[00:32:14.346 --> 00:32:20.451]  Why, if you were on the radio, if you were Alex Jones, you'd really kick some globalist ass.
[00:32:21.803 --> 00:32:22.844]  Well, here's your chance.
[00:32:23.666 --> 00:32:34.760]  We're hiring not one, but two new reporters whose reports are going to be on the radio, whose reports are going to be on the nightly news, who will even anchor the show.
[00:32:34.780 --> 00:32:36.483]  If you're ready,
[00:32:37.208 --> 00:32:42.871]  Here's your chance to step into my shoes, and I hope you surpass what I've done.
[00:32:43.831 --> 00:32:52.395]  Two winners, $10,000 in prizes, and a shot to be a reporter inside the InfoWars.com command center.
[00:32:52.995 --> 00:32:57.017]  We're looking to hire one male reporter and one female reporter.
[00:32:58.246 --> 00:33:14.458]  And when you win, you win $5,000, your video gets seen by hundreds of thousands if not millions of people on YouTube, and you get put into the very front of the running to be hired as a reporter slash anchor right here in our operation.
[00:33:16.817 --> 00:33:19.258]  Do you have what it takes to be the next Info Warrior?
[00:33:20.158 --> 00:33:24.299]  The rules are posted below me here and at InfoWars.com.
[00:33:24.639 --> 00:33:25.659]  This is a big deal.
[00:33:26.280 --> 00:33:28.820]  You know, the globalists are expanding their global empire.
[00:33:29.200 --> 00:33:32.101]  But at the same time, the people are waking up all over the world.
[00:33:33.282 --> 00:33:35.442]  We've expanded our operations in the last year.
[00:33:35.762 --> 00:33:37.663]  We've added the nightly news five nights a week.
[00:33:37.983 --> 00:33:39.403]  We're making more special reports.
[00:33:39.823 --> 00:33:42.824]  We're reaching 15 million people every week.
[00:33:43.545 --> 00:33:45.005]  In a year, I want that to be 30 million.
[00:33:46.584 --> 00:33:48.226]  This is your chance to join the team.
[00:33:48.886 --> 00:33:50.388]  I want to see what you can do.
[00:33:51.148 --> 00:33:52.449]  But a big hint is this.
[00:33:53.190 --> 00:33:55.712]  Can your news piece make the news?
[00:33:57.014 --> 00:33:59.676]  Does it get people's attention?
[00:33:59.996 --> 00:34:01.298]  Does it educate people?
[00:34:01.538 --> 00:34:02.899]  Does it open minds?
[00:34:03.500 --> 00:34:09.765]  That's more important than being beautiful or speaking with perfect eloquence as an orator.
[00:34:10.986 --> 00:34:12.528]  All of that is important.
[00:34:13.666 --> 00:34:18.567]  But we're looking for people that have that magic spark, that fire of liberty in their heart.
[00:34:19.308 --> 00:34:21.008]  Because I want you to join our team.
[00:34:21.388 --> 00:34:26.590]  I want to give you a launch pad so you can really take off and engage the globalists.
[00:34:27.130 --> 00:34:33.032]  And if this works, we'll have contests all the time and we'll continue to build this operation.
[00:34:33.552 --> 00:34:40.674]  I'm involved in a talent search looking for people who have the fires of liberty burning in their hearts and their minds.
[00:34:41.892 --> 00:34:47.876]  You've got until April 30th to complete your news report, and then we'll announce the winners one week later.
[00:34:48.737 --> 00:34:50.838]  Are you gonna join the InfoWar?
[00:34:51.459 --> 00:34:52.800]  Do you have what it takes?
[00:34:53.900 --> 00:34:54.581]  It's up to you.
[00:34:56.960 --> 00:35:00.382]  All serious entries will be posted on InfoWars.com.
[00:35:01.122 --> 00:35:02.003]  So everybody wins.
[00:35:02.743 --> 00:35:04.564]  You're getting the message of liberty out.
[00:35:05.024 --> 00:35:06.085]  And that's what really matters.
[00:35:06.845 --> 00:35:10.347]  But in the final equation, it's not about showing Alex Jones what you got.
[00:35:10.747 --> 00:35:17.671]  It's about showing the world and the globalist that no army can stop an idea whose time has come.
[00:35:18.551 --> 00:35:20.392]  Join me in the InfoWar.
[00:35:26.118 --> 00:35:28.423]  So you say you want to fight the Infowar.
[00:35:29.264 --> 00:35:31.990]  You say you want to go head up against the New World Order.
[00:35:32.751 --> 00:35:34.535]  You can do a better job than Alex Jones?
[00:35:35.577 --> 00:35:36.478]  I know you can.
[00:35:37.340 --> 00:35:38.282]  And here's your chance.
[00:36:07.511 --> 00:36:13.579]  I really enjoy it when the globalists try to poison us and, well, we resist them via a free market system.
[00:36:14.534 --> 00:36:21.483]  Hello my fellow info warriors, Alex Jones here introducing you to the ProPure family of gravity-fed filters.
[00:36:21.924 --> 00:36:28.893]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:36:29.574 --> 00:36:38.948]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters.
[00:36:39.369 --> 00:36:41.652]  And ProPure is the top of the line.
[00:36:42.153 --> 00:36:44.737]  Their filters are impregnated with silver,
[00:36:45.558 --> 00:36:46.739]  A natural antibiotic.
[00:36:47.380 --> 00:36:50.764]  On top of that, they're bigger, so they filter faster.
[00:36:51.064 --> 00:36:54.167]  You don't have to prime these the first time you use them.
[00:36:54.548 --> 00:36:55.188]  It's amazing.
[00:36:55.228 --> 00:37:01.034]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:37:02.054 --> 00:37:07.036]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:37:07.316 --> 00:37:13.259]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:37:13.399 --> 00:37:15.259]  Almost get all of it out of there.
[00:37:15.580 --> 00:37:16.560]  That's also available.
[00:37:16.900 --> 00:37:28.865]  And if you look at the different systems they offer, the ProPure Big Brush Finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:37:28.985 --> 00:37:33.028]  Then there's this big baby right here, the Pro-Pure King large version.
[00:37:33.269 --> 00:37:35.370]  Got a lot of different options that come with it.
[00:37:35.731 --> 00:37:40.034]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:37:40.314 --> 00:37:42.316]  And of course, it's burnished stainless steel.
[00:37:42.676 --> 00:37:50.083]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:37:50.583 --> 00:37:51.183]  I think?
[00:38:07.714 --> 00:38:09.456]  Obviously you're hitting us through our water.
[00:38:09.756 --> 00:38:11.458]  It's time to take control of our lives.
[00:38:11.698 --> 00:38:14.922]  It's time to not give our children and families these poisons.
[00:38:15.142 --> 00:38:19.607]  And these systems cut it down to non-detectable levels across the board.
[00:38:19.967 --> 00:38:22.210]  ProPure is the name.
[00:38:22.730 --> 00:38:24.732]  I only promote what I believe in.
[00:38:25.353 --> 00:38:28.897]  And I use ProPure in my home and my office.
[00:38:29.217 --> 00:38:33.482]  And I recommend that you check out the information on ProPure at InfoWars.com.
[00:38:33.702 --> 00:38:39.928]  We already have the lowest price at InfoWars.com on the ProPure gravity filter system.
[00:38:40.709 --> 00:38:48.696]  But when you add in the 10% off when InfoWarriors use the product code WATER at InfoWars.com, nobody can top it.
[00:38:49.076 --> 00:38:50.437]  So again, it's a win-win-win.
[00:38:50.497 --> 00:38:59.165]  Stop drinking the poison water, checkmate the globalists when it comes to your health, and support InfoWars.com and the work we're doing here.
[00:38:59.525 --> 00:39:03.806]  You know, many revolutionaries rob banks and things and kidnap people for funds.
[00:39:04.206 --> 00:39:08.788]  We promote in the free market the products we use that are about preparedness.
[00:39:09.128 --> 00:39:19.311]  That's how we fund this revolution against the New World Order in our move to restore our constitutional republic and a spirit of 1776 worldwide.
[00:39:19.691 --> 00:39:21.332]  Check it out at InfoWars.com.
[00:39:21.752 --> 00:39:27.754]  ProPure, top of the line, number one, most powerful and effective and economical
[00:39:28.194 --> 00:39:32.716]  And welcome back to the InfoWars Nightly News.
[00:39:32.736 --> 00:39:34.177]  I'm John Bowne, your host tonight.
[00:39:51.943 --> 00:39:58.411]  We are going to speak with Joe Plummer, who has written a book called Dishonest Money, Financing the Road to Ruin.
[00:39:59.172 --> 00:40:04.999]  And what Joe has done for us, he's taken the monumental task of
[00:40:06.161 --> 00:40:22.750]  Taking G. Edward Griffins, the creature from Jekyll Island, and of course a lot of other information, and breaking it down for the common person to understand why we're in the situation we're in, and the intricacies involved with the criminal activity that was born of the Federal Reserve.
[00:40:23.750 --> 00:40:26.912]  And of course you can find this book at the Infowars store.
[00:40:28.012 --> 00:40:29.653]  Again, it is Dishonest Money.
[00:40:29.773 --> 00:40:32.355]  And now we go to Joseph Plummer.
[00:40:32.795 --> 00:40:34.196]  And Joseph, thanks for joining us.
[00:40:34.776 --> 00:40:35.717]  Good to be with you, John.
[00:40:36.949 --> 00:40:42.593]  And I just want to start off with a quote here, basically from your Obi-Wan Kenobi.
[00:40:43.434 --> 00:40:50.519]  G. Edward Griffin says of Dishonest Money, an excellent job of condensing a large and complicated topic.
[00:40:51.320 --> 00:41:00.327]  And that's saying something there, because G. Edward has written this epic book, and each chapter in itself seems to be a book in itself.
[00:41:01.426 --> 00:41:13.655]  But you've taken that and condensed it down for people so that it's easier to read, easier for them to understand and recognize within our system the criminality that we're experiencing and have been experiencing for decades.
[00:41:14.996 --> 00:41:24.483]  Yeah, I was pretty happy to get that recommendation because there really isn't anybody else I can think of who I would rather have an endorsement from than Ed Griffin.
[00:41:25.223 --> 00:41:28.686]  When I started looking into the Federal Reserve System back in 2003,
[00:41:30.887 --> 00:41:44.856]  Everything I found was just needlessly convoluted and seemed intentionally vague, and there was a bunch of different conflicting information, and just depending on who you were, you know, whose opinion you were taking, there were just all these different arguments.
[00:41:45.356 --> 00:41:53.121]  And it wasn't until a couple years of going through the books written by economists, which is just nothing but economies.
[00:41:53.161 --> 00:41:56.303]  If you're familiar with legalese lawyers, imagine economies.
[00:41:56.363 --> 00:41:57.684]  It's the same basic concept.
[00:41:58.624 --> 00:42:06.969]  I finally came across The Creature from Jekyll Island a couple years later in 2005, and it was just like, oh my God, this is fantastic!
[00:42:07.009 --> 00:42:07.549]  This is great!
[00:42:07.609 --> 00:42:24.959]  Somebody actually took their time, tried to break it all down, presented only relevant information, pointed out the most important stuff, and at that point, I was really excited, because I had a good understanding by then, but I didn't have anything that I could actually give to people.
[00:42:25.539 --> 00:42:29.382]  And I was really happy because I was like, OK, anybody can understand this.
[00:42:29.822 --> 00:42:34.385]  Well, the thing that I didn't take into account is, yeah, anybody can understand it.
[00:42:34.605 --> 00:42:38.507]  But unfortunately, most people aren't too excited about reading a 600 page book.
[00:42:39.008 --> 00:42:42.470]  And so that was really upsetting for me because the.
[00:42:43.050 --> 00:42:43.130]  It's
[00:43:04.645 --> 00:43:21.165]  The story of the people who are using that system against us, using control of the money supply to corrupt our institutions and every other horribly evil thing that they're doing, and put it into a form that nobody would be intimidated by.
[00:43:21.525 --> 00:43:25.526]  And then throughout the book, I encourage people, because I think this was a big part of it.
[00:43:25.846 --> 00:43:31.427]  If somebody doesn't know anything about a particular topic, you're already a little bit apprehensive to approach it.
[00:43:31.847 --> 00:43:37.668]  If it's a topic that is notoriously difficult to understand, as is the monetary system, it's worse.
[00:43:38.088 --> 00:43:42.709]  And then if you add into that, it's a 600-page book, it just is another obstacle.
[00:43:43.069 --> 00:43:50.351]  So basically what I wanted to do is prove that the topic does not need to be intimidating, that it isn't that difficult to understand.
[00:43:51.051 --> 00:43:55.753]  And condense it down into something that anybody wouldn't be intimidated by.
[00:43:55.773 --> 00:43:57.373]  This is a one-day book.
[00:43:57.393 --> 00:44:00.814]  You can read it in five hours if you were to sit down and read it.
[00:44:01.795 --> 00:44:07.236]  It seems, reading G. Edwards' book, and I have to be honest, I didn't get to the end.
[00:44:07.336 --> 00:44:07.856]  It's huge.
[00:44:08.237 --> 00:44:09.077]  I'm still reading it.
[00:44:09.597 --> 00:44:15.519]  But you do read it and you come up with a conclusion that, well, the first conclusion is, I've got to get this out to people I know.
[00:44:15.979 --> 00:44:17.160]  How do we not know this?
[00:44:17.320 --> 00:44:19.441]  How has this been kept secret all this time?
[00:44:19.881 --> 00:44:24.483]  And then you gradually start to think, well, this is what should be taught about American history.
[00:44:24.823 --> 00:44:28.744]  I think your book, if we win this thing, you know what I mean?
[00:44:29.945 --> 00:44:34.247]  Your book will be used in public schools and, you know, all over the world.
[00:44:34.997 --> 00:44:42.385]  Well, you know, I really, truly, simply wanted to write something that could reach all those other people.
[00:44:42.445 --> 00:44:53.076]  Like I said, I just wanted to give them something that they could easily open, they could easily understand, they wouldn't be intimidated by because it's so incredibly important for people to understand this.
[00:44:53.416 --> 00:44:54.837]  And then if they're looking for
[00:44:55.538 --> 00:45:02.243]  You know, just the epitome of the story, as I recommend in my book, then go to Ed Griffiths.
[00:45:02.283 --> 00:45:07.686]  But at the very least, gain this general understanding.
[00:45:07.706 --> 00:45:12.770]  Because if you have a general understanding of what they're doing, it's going to make it a lot more difficult for them to continue what they're doing.
[00:45:12.790 --> 00:45:19.434]  In fact, eventually, as people gain awareness, it's going to make it impossible for them to continue doing what they're doing.
[00:45:19.534 --> 00:45:29.878]  Sure, and I'm sure there are a lot of people out there, although our listeners are pretty savvy on this topic, but there are a few people out there saying, well, come on guys, what are you talking about?
[00:45:30.258 --> 00:45:32.699]  What kind of secret information are you talking about?
[00:45:33.099 --> 00:45:48.266]  Well, here in America we're talking about the meeting that took place on Jekyll Island in Georgia and was done by an elite group of bankers and Senator Aldrich, who was the father-in-law of J.D.
[00:45:48.306 --> 00:45:48.786]  Rockefeller.
[00:45:49.766 --> 00:45:55.450]  And then they used code names in order that the information didn't get out.
[00:45:56.191 --> 00:46:06.658]  And the story in itself of how the income tax was created, how the Federal Reserve was created, would make an incredible movie, which we haven't seen yet.
[00:46:07.638 --> 00:46:14.464]  Yeah, it's not all just dry data, and it's not all just economic facts and all this other stuff.
[00:46:14.524 --> 00:46:16.246]  It really is a story.
[00:46:16.326 --> 00:46:18.128]  It reads like a story, because it is.
[00:46:18.208 --> 00:46:28.197]  It's a scandalous story of how they essentially transported the system that they had in England and were using in England to the United States.
[00:46:28.757 --> 00:46:30.178]  Via the Rothschild dynasty?
[00:46:30.879 --> 00:46:32.961]  Rothschild, Rockefeller, Waldenberg?
[00:46:33.041 --> 00:46:35.463]  Once you get it down, it's pretty easy to understand.
[00:46:35.523 --> 00:46:54.200]  It begins, it's kind of hard not to point a finger at the Rothschilds because they create such a looming dynasty with the takeover of the Bank of England and then of course spreading out amongst the sons and the brothers amongst Europe and of course they have to come and take that jewel of America
[00:46:55.942 --> 00:47:04.866]  But by then, their techniques of undermining the banking system and the economy of a country has already been formed.
[00:47:05.967 --> 00:47:14.411]  So give folks an idea about how the banking system used to work before the Rothschild dynasty got a hold of it.
[00:47:14.871 --> 00:47:16.572]  That's what G. Edward explains also.
[00:47:17.032 --> 00:47:20.234]  But how it used to work, how it's supposed to work,
[00:47:21.300 --> 00:47:25.302]  An example of that, and then show how they make it work.
[00:47:26.343 --> 00:47:28.484]  Well, it was never perfect.
[00:47:28.744 --> 00:47:33.706]  We've never had really a 100% money system, and so that's a problem.
[00:47:34.006 --> 00:47:35.967]  They've always had fractional reserves.
[00:47:36.047 --> 00:47:46.813]  The thing is, though, it used to actually have some backing, and that backing was gold or silver, and so that limited the amount of money that they could create out of nothing, and then, of course, that limits the amount of
[00:47:47.873 --> 00:47:48.654]  Thank you for having me.
[00:48:05.149 --> 00:48:08.771]  They are certainly better than the system that we have right now.
[00:48:08.872 --> 00:48:12.634]  There may be, you know, through technology, there may be different options that are available.
[00:48:12.714 --> 00:48:13.274]  I don't know.
[00:48:13.735 --> 00:48:20.539]  But to the people who are so against gold, they say, well, you know, they can manipulate gold.
[00:48:20.579 --> 00:48:21.840]  They can manipulate silver.
[00:48:21.920 --> 00:48:24.602]  They can, you know, hoard it or do all these other things.
[00:48:24.662 --> 00:48:25.302]  And it's true.
[00:48:25.342 --> 00:48:33.688]  And then with the fractional reserves, the fractional reserve capability on top of that, it gives them the ability to still cause problems.
[00:48:34.420 --> 00:48:40.805]  But what they did by removing gold was gain complete control over all money.
[00:48:40.925 --> 00:48:43.767]  That is something they could have never achieved with gold or silver.
[00:48:43.867 --> 00:48:46.669]  Now they are the sole source of all money.
[00:48:47.629 --> 00:48:54.814]  And money in itself seems like a static thing and sure people can sit there and go, well that's the economy and that's the one that we're working under.
[00:48:55.175 --> 00:48:58.117]  But in the words of John D. Rockefeller, competition is a sin.
[00:48:59.377 --> 00:49:10.484]  And so what they do is, what happens with that economic system is it moves out into our reality, into our society, our culture, our civilization, and they're able to
[00:49:12.458 --> 00:49:16.781]  It creates an atmosphere where competition is eliminated.
[00:49:17.602 --> 00:49:28.569]  Independent banks or independent small businesses that were creating savings were actually at some point able to go out and spend more money and create more jobs for the economy.
[00:49:29.210 --> 00:49:30.090]  This system
[00:49:30.831 --> 00:49:33.814]  Money is completely controlled, especially at this point in our history.
[00:49:33.834 --> 00:49:39.558]  Well, you know, if you want to control government, let's just break it down to the most basics.
[00:49:39.639 --> 00:49:40.880]  You want to control anybody.
[00:49:42.101 --> 00:49:50.388]  Money is the thing that ultimately determines whether or not an institution or an organization is going to be able to do what it wants to do.
[00:49:51.008 --> 00:49:53.449]  Words on paper are not going to control government.
[00:49:54.270 --> 00:49:57.431]  Campaign stump speeches aren't going to control government.
[00:49:57.472 --> 00:50:00.433]  Promises aren't going to control government or corporations.
[00:50:00.513 --> 00:50:04.375]  Promises aren't going to control people who are in the seat of power anywhere.
[00:50:05.236 --> 00:50:08.917]  Essentially, you have a couple basic options.
[00:50:09.098 --> 00:50:13.360]  One option is force and the other option is money.
[00:50:13.880 --> 00:50:27.584]  So until we can actually control the amount of money that the federal government has access to, it's going to continue implementing the policies of those who control our regulatory system and our governmental system.
[00:50:28.064 --> 00:50:37.347]  And these are the elites that, you know, even people who are apologists for globalism admit that these people have disproportionate influence.
[00:50:37.387 --> 00:50:39.028]  They use nice euphemisms.
[00:50:39.428 --> 00:50:41.248]  But essentially, these are the policymakers.
[00:50:41.268 --> 00:50:42.849]  These are the people who are determining
[00:50:43.909 --> 00:50:52.911]  Policies, they're determining our foreign policy, they're determining our domestic policy, they're determining economic policy and monetary policy.
[00:50:53.151 --> 00:50:55.812]  All of this stuff affects us.
[00:50:56.432 --> 00:51:01.853]  And it just so happens that it affects us in a negative way, and all of the benefits accrue to them.
[00:51:02.273 --> 00:51:03.534]  So as long as they remain in charge,
[00:51:05.274 --> 00:51:18.243]  Of this system for confiscating wealth and undoing the current system as it is or, you know, continually eroding what was there and creating something that they can continue using to their advantage.
[00:51:19.163 --> 00:51:22.386]  We have problems, but if we're able to cut off that money.
[00:51:23.226 --> 00:51:31.393]  We gain the same power that the people who are creating this money out of thin air have had all of this time.
[00:51:31.733 --> 00:51:35.216]  If I could, I'm a big fan of using their own words against them.
[00:51:35.456 --> 00:51:43.182]  So this is a quote that I have in the book from the guy who created our current monetary system.
[00:51:43.282 --> 00:51:44.784]  This is from John Maynard Keynes.
[00:51:44.804 --> 00:51:47.146]  So I'm sure most of you have heard of Keynesianism.
[00:51:47.426 --> 00:51:48.787]  That's the system we're under right now.
[00:51:48.847 --> 00:51:49.387]  Here's the quote.
[00:51:50.288 --> 00:51:59.372]  By a continuing process of inflation, governments can confiscate, secretly and unobserved, an important part of the wealth of their citizens.
[00:51:59.832 --> 00:52:07.275]  There is no subtler, no surer means of overturning the existing basis of society than to debauch the currency.
[00:52:07.855 --> 00:52:18.200]  The process engages all the hidden forces of economic law on the side of destruction, and it does it in a manner which not one man in a million is able to diagnose.
[00:52:18.920 --> 00:52:24.227]  Now, that might have been true when Keynes wrote that in, I think, 1919 or 1920.
[00:52:24.608 --> 00:52:27.832]  It isn't true anymore, okay?
[00:52:28.253 --> 00:52:35.923]  Now, thanks to the numerous books, Dishonest Money, Financing the Road to Ruin... Thanks to the internet, which Keynes had no idea was coming.
[00:52:36.624 --> 00:52:36.924]  Right.
[00:52:37.044 --> 00:52:47.769]  It is very easy at this point for you to pick up a book on the topic, learn what they're doing, learn how it works against you, the enormous power.
[00:52:48.150 --> 00:52:56.434]  Another thing I like to say to people is I say, imagine if today I gave you the exclusive right to create out of thin air
[00:52:57.134 --> 00:52:57.374]  Money.
[00:52:57.694 --> 00:53:03.555]  You have the exclusive right to create what everybody else either has to earn, borrow, or steal.
[00:53:04.055 --> 00:53:05.416]  How much power would you have?
[00:53:05.756 --> 00:53:15.078]  How much power would InfoWars have if today, I mean to reach the masses with the truth, if InfoWars was given the exclusive right to create money out of thin air?
[00:53:15.778 --> 00:53:16.918]  What would your reach be?
[00:53:16.938 --> 00:53:20.139]  You know what we are able to create out of thin air?
[00:53:21.018 --> 00:53:21.398]  What's that?
[00:53:21.618 --> 00:53:22.078]  Knowledge.
[00:53:22.499 --> 00:53:22.879]  There you go.
[00:53:22.899 --> 00:53:24.960]  Which is a lot stronger than money.
[00:53:26.240 --> 00:53:43.968]  And it leads me to a thought that I have, especially when I read G. Edward Griffin in your book, is it's hard to imagine, but I think about my grandparents and my great-grandparents in World War I and World War II and the Vietnam War, the wars we've endured for these people.
[00:53:45.629 --> 00:53:46.349]  For these people.
[00:53:47.563 --> 00:53:48.144]  Exactly.
[00:53:48.284 --> 00:53:50.146]  It's to erode national sovereignty.
[00:53:50.166 --> 00:53:53.248]  I mean, that is their unapologetic goal.
[00:53:53.849 --> 00:53:55.791]  And they had no knowledge of that.
[00:53:56.451 --> 00:54:03.018]  You know, it sounds almost un-American to say that, but it's very American to say it, because we have to get America back.
[00:54:03.458 --> 00:54:10.685]  And if we got America back, and we got these people out of power and in control of our currency, can you imagine what kind of world we could live in?
[00:54:11.656 --> 00:54:11.876]  Yeah.
[00:54:12.477 --> 00:54:13.819]  Well, that's what we're working on.
[00:54:13.999 --> 00:54:22.069]  That's what we feel compelled to do, is to continually expose that, you know, the current system is based on deception, theft, and violence.
[00:54:22.870 --> 00:54:28.577]  And when you eliminate their ability to deceive, you erode an enormous amount of their power.
[00:54:29.398 --> 00:54:41.283]  Because without the deception, then people are a whole lot less likely to accept the theft, and that only leaves them with the last option, which is violence, and you can't conceal violence.
[00:54:41.603 --> 00:54:45.745]  And you also need the theft to finance the violence.
[00:54:45.765 --> 00:54:46.065]  Sure.
[00:54:46.145 --> 00:54:49.546]  And you need the consent of the deceived to accept the violence.
[00:54:49.587 --> 00:54:57.270]  So, you know, I always, I like to begin with that concept of destroying the deception as a base, and then continually working towards
[00:54:58.090 --> 00:55:00.072]  You know, this has been going on forever.
[00:55:00.092 --> 00:55:00.853]  Forever.
[00:55:01.414 --> 00:55:06.179]  There have been elites and there have been those who were exploited beneath them.
[00:55:06.499 --> 00:55:11.205]  Of course, nobody or a few people want to believe that they're living in a predatory system.
[00:55:11.805 --> 00:55:13.647]  We have to show them that they are.
[00:55:13.747 --> 00:55:17.852]  Just because it's not necessarily visible, the consequences are there.
[00:55:18.092 --> 00:55:20.753]  And you just have to point out to them the cause of those consequences.
[00:55:20.773 --> 00:55:26.415]  Well, it's very reassuring that there are people like you out there that are taking a stand and making a difference.
[00:55:26.995 --> 00:55:30.517]  And it's also reassuring that they're getting so desperate and sloppy.
[00:55:32.197 --> 00:55:40.080]  With all the stories of their overreach, there's also a huge amount of sloppiness that happens day in, day out here, every time you look at the news.
[00:55:41.721 --> 00:55:53.451]  We want to thank you Joe Plummer for writing this book and of course you can find Joe Plummer's Dishonest Money Financing the Road to Ruin at Infowars.com and go under store to find that.
[00:55:53.511 --> 00:55:55.532]  And again, thank you Joe for joining us today.
[00:55:56.153 --> 00:55:57.414]  Good to be with you, thank you.
[00:55:57.634 --> 00:55:58.375]  Alright, take care.
[00:56:01.573 --> 00:56:08.500]  Alright, if you want to join us here at Infowars.com and PrisonPlanet.tv, there's a 15-day free trial going on.
[00:56:09.261 --> 00:56:23.514]  If you're seeing this on YouTube, the easiest way to come and check out what we're doing is by doing the 15-day free trial and decide for yourself if what we're doing is conspiracy theory, conspiracy fact, or actual true journalism.
[00:56:24.335 --> 00:56:25.796]  There's a 15-day free trial.
[00:56:25.836 --> 00:56:28.296]  Just go to PrisonPlanet.tv.
[00:56:28.336 --> 00:56:31.698]  And of course, we're getting more and more submissions for the Reporter Contest.
[00:56:32.038 --> 00:56:38.500]  If you want to join us here at InfoWars.com, actually join us right here at InfoWars.com.
[00:56:38.520 --> 00:56:40.160]  We have the Reporter Contest going on.
[00:56:40.581 --> 00:56:45.222]  It's at InfoWars.com forward slash reporter dash contest.
[00:56:45.682 --> 00:56:50.584]  And of course, there's 5,000 per reporter prizes, 10,000 in total, 5,000 for a male and 5,000 for a female.
[00:56:53.945 --> 00:56:56.587]  And we've had a lot of good entries so far.
[00:56:56.887 --> 00:57:03.471]  You have until April 30, 2012, and we've got the official rules up there and the official guidelines.
[00:57:04.072 --> 00:57:05.233]  Just follow those guidelines.
[00:57:05.253 --> 00:57:08.535]  They're fairly simple, and we welcome more.
