[00:00:00.029 --> 00:00:00.549]  Alex Jones!
[00:55:35.348 --> 00:55:36.989]  That's a headline at Infowars.com.
[00:55:37.009 --> 00:55:39.071]  The globalist federal government seceded from America.
[00:55:40.356 --> 00:55:43.418]  We need state declarations, state meetings with other states.
[00:55:43.738 --> 00:55:45.318]  We need to get leaders standing up.
[00:55:45.338 --> 00:55:51.842]  We've got the state rep coming on today who introduced the bill and got it unanimously passed to arrest TSA workers that grab your genitals.
[00:55:52.862 --> 00:55:55.463]  Just to enforce law, the feds threatened an armed blockade.
[00:55:56.184 --> 00:55:57.264]  The Senate killed the bill.
[00:55:57.765 --> 00:55:58.945]  It's coming back this year.
[00:55:59.185 --> 00:56:00.206]  We're not stopping.
[00:56:01.474 --> 00:56:02.395]  See, that's the thing.
[00:56:02.695 --> 00:56:04.177]  We're going to stand up against this.
[00:56:04.457 --> 00:56:05.438]  They want to break our will.
[00:56:05.998 --> 00:56:07.360]  Recognize the occupation.
[00:56:07.740 --> 00:56:10.442]  Recognize the planned economy is there to carry out eugenics.
[00:56:11.303 --> 00:56:16.808]  Even if you're for planned economies and believe in socialism, this is a globalist authoritarian system.
[00:56:18.036 --> 00:56:21.897]  Um, we need to understand that we can use other venues.
[00:56:22.818 --> 00:56:26.579]  Impeachment Obama petition reaches threshold for official response.
[00:56:26.699 --> 00:56:29.600]  Effort dovetails secession fever sweeping America.
[00:56:29.640 --> 00:56:31.280]  Paul Watson, Infowars.com.
[00:56:32.101 --> 00:56:32.541]  Use that!
[00:56:33.501 --> 00:56:36.922]  Use grand juries going after people in Fast and Furious.
[00:56:37.382 --> 00:56:40.123]  Use media coverage going after these criminals.
[00:56:40.163 --> 00:56:41.523]  They're all crooks that are doing this.
[00:56:41.763 --> 00:56:42.904]  So start investigating them.
[00:56:43.104 --> 00:56:44.964]  Private investigators, start investigating them.
[00:56:45.184 --> 00:56:46.324]  Oh, you think they'll come after you?
[00:56:46.565 --> 00:56:47.965]  They can't come after us all.
[00:56:48.205 --> 00:56:49.125]  Let's get aggressive.
[00:56:49.145 --> 00:56:50.225]  These are our enemies.
[00:56:50.826 --> 00:56:54.807]  Use every non-violent means to run these people to ground.
[00:56:56.887 --> 00:56:59.768]  Get in an aggressive, offensive posture.
[00:57:00.990 --> 00:57:02.171]  Get past your fear.
[00:57:02.211 --> 00:57:03.551]  You better fear them winning.
[00:57:04.612 --> 00:57:05.932]  I mean, it's when you're cornered, folks.
[00:57:05.992 --> 00:57:06.873]  It's not that you're tough.
[00:57:07.133 --> 00:57:08.213]  It's not that you've got courage.
[00:57:08.474 --> 00:57:11.415]  You're not gonna roll over to the wolves and let them tear your guts out.
[00:57:12.095 --> 00:57:13.536]  You're gonna stand up and you're gonna fight.
[00:57:14.036 --> 00:57:14.757]  That's what I'm doing.
[00:57:14.797 --> 00:57:15.497]  I'm committed.
[00:57:15.557 --> 00:57:16.718]  I've put on the whole armor.
[00:57:17.098 --> 00:57:18.578]  I've said, God, it's in your hands.
[00:57:20.199 --> 00:57:21.080]  I am your vessel.
[00:57:21.240 --> 00:57:23.641]  Imperfect as I am, energize me!
[00:57:24.421 --> 00:57:25.462]  Energize me!
[00:57:26.042 --> 00:57:27.543]  God, help us!
[00:57:28.003 --> 00:57:28.583]  Please!
[00:57:28.903 --> 00:57:29.384]  We're here!
[00:57:29.424 --> 00:57:29.984]  We're ready!
[00:57:31.704 --> 00:57:33.224]  That's, that's what we've got to do!
[00:57:33.284 --> 00:57:35.845]  The globalists have said to Satan, Satan give us power!
[00:57:36.065 --> 00:57:37.306]  They're devil worshippers, folks!
[00:57:37.566 --> 00:57:38.206]  I've studied them!
[00:57:40.366 --> 00:57:42.807]  I questioned God when I was a teenager and things, folks.
[00:57:42.827 --> 00:57:45.908]  Started researching the New World Order, and man, it brought it all back home!
[00:57:46.548 --> 00:57:48.249]  They asked Satan to give them power!
[00:57:48.889 --> 00:57:50.309]  We've got to ask the God of life!
[00:57:51.190 --> 00:57:52.970]  The God of the universe to empower us!
[00:57:53.270 --> 00:57:54.510]  That's number one, folks.
[00:57:54.771 --> 00:57:55.971]  And then recognize the enemy.
[00:57:57.094 --> 00:57:59.315]  Sue them for fluoride in your local water.
[00:57:59.375 --> 00:58:00.076]  Get aggressive.
[00:58:00.256 --> 00:58:01.456]  Get in their face every week.
[00:58:01.696 --> 00:58:03.037]  Put bumper stickers on your car.
[00:58:03.077 --> 00:58:03.918]  Do access shows.
[00:58:03.978 --> 00:58:05.198]  Upload YouTube videos.
[00:58:06.019 --> 00:58:08.280]  I'm gonna break down more of this, but we're gonna give out numbers.
[00:58:08.300 --> 00:58:11.721]  We got under Michael Kauffman coming on in the third hour, about agenda 21.
[00:58:11.781 --> 00:58:12.482]  Know your enemy.
[00:58:13.102 --> 00:58:16.244]  And I've just got a lot more I'm gonna lay out here, but this is a battle plan.
[00:58:16.504 --> 00:58:17.624]  This is the way to do it.
[00:58:22.587 --> 00:58:26.549]  This is GCN, the Genesis Communications Radio Network.
[00:58:29.727 --> 00:58:32.509]  Have you ever wanted to generate your own supply of electrical power?
[00:58:32.790 --> 00:58:34.471]  Even save money on your electric bill?
[00:58:34.771 --> 00:58:38.094]  If so, this could be one of the most important messages you will ever hear.
[00:58:38.395 --> 00:58:40.476]  Solar power generators are now available.
[00:58:40.596 --> 00:58:44.039]  These emergency backup systems provide life-saving electrical power.
[00:58:44.240 --> 00:58:50.065]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:58:50.325 --> 00:58:53.688]  It's like having an electrical power plant running quietly in your own home.
[00:58:54.028 --> 00:58:58.629]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:58:58.769 --> 00:59:04.471]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:59:04.751 --> 00:59:05.791]  And here's the best news.
[00:59:06.011 --> 00:59:08.972]  A remarkable fall truckload sale is going on right now.
[00:59:09.192 --> 00:59:12.993]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:59:13.093 --> 00:59:15.674]  To find out why these solar generators are the best generators,
[00:59:15.914 --> 00:59:18.757]  And get $1,700 in bonuses for doing so.
[00:59:18.937 --> 00:59:20.819]  Go to falltruckloadsale.com.
[00:59:20.940 --> 00:59:22.801]  That's falltruckloadsale.com.
[00:59:23.022 --> 00:59:25.084]  Generate your own supply of electricity.
[00:59:25.204 --> 00:59:27.146]  Go to falltruckloadsale.com.
[00:59:27.266 --> 00:59:29.148]  That's falltruckloadsale.com.
[00:59:32.912 --> 00:59:34.834]  Waging war on corruption.
[00:59:35.295 --> 00:59:38.057]  Alex Jones on the GCM Radio Network.
[00:59:44.608 --> 00:59:48.769]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:59:49.429 --> 00:59:50.229]  You want answers?
[00:59:51.029 --> 00:59:51.929]  Well, so does he.
[00:59:52.570 --> 00:59:56.210]  He's Alex Jones on the GCN Radio Network.
[00:59:56.750 --> 01:00:00.851]  And now, live from Austin, Texas, Alex Jones.
[01:00:03.232 --> 01:00:06.992]  Alright, when we go on to the next segment, the phones aren't open yet.
[01:00:07.552 --> 01:00:09.673]  I'm going to give the number out specifically
[01:00:14.003 --> 01:00:24.469]  Well, I know on the nightly news tonight we've got a state rep coming on, the one that introduced legislation, I've interviewed him a couple times, to enforce the law and not let TSA grope people's genitals.
[01:00:25.050 --> 01:00:33.535]  It's nullification, but it's moving towards states seceding to re-upload the Bill of Rights and Constitution, to reconstitute the federal government.
[01:00:33.875 --> 01:00:36.777]  We're not, these are the most important points I haven't gotten to yet.
[01:00:37.237 --> 01:00:39.239]  No half measures are going to work.
[01:00:41.220 --> 01:00:41.980]  I've got my notes here.
[01:00:42.921 --> 01:00:43.781]  That's what I'm getting at.
[01:00:43.821 --> 01:00:45.141]  We need bold action.
[01:00:45.181 --> 01:00:46.842]  We need the whole world to stage.
[01:00:47.322 --> 01:00:52.584]  The globalists are staging things going, oh, you want to succeed so you can put black people back in chains?
[01:00:53.984 --> 01:00:55.465]  The Civil War wasn't even about that.
[01:00:56.465 --> 01:00:58.646]  No, we're not saying we're forming our own country.
[01:00:59.086 --> 01:01:02.127]  British intelligence was manipulating the South to break the country up.
[01:01:02.327 --> 01:01:03.227]  Both sides were wrong.
[01:01:03.868 --> 01:01:06.929]  A lot of times in history, it's not this side or that side was good or bad.
[01:01:08.109 --> 01:01:09.470]  Iran's run by corrupt people.
[01:01:09.650 --> 01:01:10.610]  We're run by corrupt people.
[01:01:13.214 --> 01:01:14.534]  Israel's run by corrupt people.
[01:01:15.435 --> 01:01:16.855]  Syria's run by corrupt people.
[01:01:17.315 --> 01:01:29.340]  But is it moral to send Al-Qaeda into Syria and kill people for 14 months now, and blow things up, and suicide bomb, and then get on the news and say, give our rights up!
[01:01:29.440 --> 01:01:30.520]  Al-Qaeda's in Syria!
[01:01:30.820 --> 01:01:35.022]  Hillary said like five times last month, we've got to invade because Al-Qaeda's there!
[01:01:35.342 --> 01:01:35.762]  And I'm like...
[01:01:37.273 --> 01:01:39.054]  Our government put Al-Qaeda there on record.
[01:01:39.714 --> 01:01:43.496]  And they think you're so dumb, they go, oh, we gotta go into Syria because of Al-Qaeda.
[01:01:43.516 --> 01:01:52.581]  I mean, it's like... It's... You know, it's... How do you even deal with being talked to like that?
[01:01:52.801 --> 01:01:53.442]  But it works!
[01:01:54.595 --> 01:01:58.736]  And see, I guess I'm supposed to be a good little globalist and go, man, the public's really dumb and stupid.
[01:01:58.976 --> 01:02:02.898]  How can I, you know, you know, sit there and join the New World Order and get all powerful?
[01:02:02.938 --> 01:02:03.558]  All this is easy.
[01:02:03.978 --> 01:02:08.419]  What, and tear down my own species so that my kids grow up in a world with even dumber people?
[01:02:09.119 --> 01:02:11.740]  I want you to be on fire with freedom.
[01:02:15.501 --> 01:02:17.022]  And it gets into philosophy, you know.
[01:02:21.616 --> 01:02:24.797]  I haven't even talked about this yet, but I'll talk about it later in the next hour.
[01:02:24.817 --> 01:02:34.621]  We're going to get Kaufman on for about 40 minutes, but I've got to get into Formula One, because it's all corporately, you know, set up to have taxpayers pay for it.
[01:02:34.981 --> 01:02:37.361]  Almost the whole thing is paid for by people in Texas.
[01:02:38.402 --> 01:02:44.124]  Texas taxpayers paid for it, and then I get double-raped because I have this operation in Austin.
[01:02:45.424 --> 01:02:49.746]  Austin even then has more taxes and tax exemptions, you know, things taxpayers paid for.
[01:02:50.626 --> 01:02:58.996]  And some globalist, you know, knuckle-dragger and, you know, involved in all sorts of, you know, corruption schemes and everything else, and courts after him and everything else, this Ecclestone guy.
[01:02:59.016 --> 01:03:04.763]  You know, he has these little tart daughters running around, and he gave them $3 billion this year.
[01:03:04.783 --> 01:03:08.228]  Yeah, he's, oh, here's a $3 billion gift to my daughters.
[01:03:08.268 --> 01:03:08.868]  I have the article.
[01:03:10.507 --> 01:03:13.169]  And literally, I said 50.
[01:03:13.429 --> 01:03:18.653]  It's probably more than 50 helicopters this morning just flying over Austin from the private airports out to Formula One.
[01:03:19.434 --> 01:03:21.596]  And these are like a private Bilderberg meeting.
[01:03:21.616 --> 01:03:22.897]  It's like a public Bilderberg meeting.
[01:03:23.237 --> 01:03:26.279]  They've got royalty here, everybody else, and I'm paying for it.
[01:03:26.920 --> 01:03:27.820]  And then, um...
[01:03:28.701 --> 01:03:29.642]  I like Aerosmith.
[01:03:29.722 --> 01:03:32.003]  I mean, obviously, it's interesting music.
[01:03:33.004 --> 01:03:36.606]  Joe Perry dedicated his solo album to me last year, and I've talked to him and his wife.
[01:03:36.626 --> 01:03:37.267]  They're nice folks.
[01:03:38.207 --> 01:03:40.529]  And he's a patriot and knows what's going on.
[01:03:40.569 --> 01:03:42.950]  But I got words like, hey, we got tickets for you.
[01:03:45.172 --> 01:03:45.992]  Come out to the thing.
[01:03:46.232 --> 01:03:48.033]  Backstage, see Formula One, everything.
[01:03:48.454 --> 01:03:48.954]  Sold out.
[01:03:48.994 --> 01:03:49.755]  Super sought after.
[01:03:50.914 --> 01:03:52.516]  I don't even know if they're playing there.
[01:03:52.916 --> 01:03:55.258]  I'm just guessing because I got the word yesterday.
[01:03:55.278 --> 01:03:56.219]  I don't even know.
[01:03:56.480 --> 01:04:03.106]  But the point is, it's not like I'm mad at Formula One and the helicopters because I'm not in them.
[01:04:03.627 --> 01:04:09.773]  I mean, I've been invited by rich people in Europe to be flown by private jet to Europe and be part of events and stuff.
[01:04:09.993 --> 01:04:12.215]  And I'm not knocking those people, famous people.
[01:04:12.235 --> 01:04:13.696]  But it's just not what I do.
[01:04:14.707 --> 01:04:18.671]  Yeah, I'd like to hang out with interesting, cool people who hate tyranny.
[01:04:18.691 --> 01:04:24.036]  I mean, that's... Hanging out with famous people is fun because a lot of times they're really interesting.
[01:04:24.557 --> 01:04:31.924]  But it's not like I'm... Most people would literally kill their mother to be part of an elite event.
[01:04:32.004 --> 01:04:35.047]  And me, I might kill my mother not to be part of it.
[01:04:35.107 --> 01:04:35.968]  I'm being sarcastic.
[01:04:36.568 --> 01:04:37.469]  We'll be right back.
[01:04:37.529 --> 01:04:37.930]  Stay with us.
[01:04:40.450 --> 01:04:50.618]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[01:04:51.059 --> 01:05:01.287]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[01:05:02.228 --> 01:05:09.552]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[01:05:09.773 --> 01:05:16.637]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[01:05:16.977 --> 01:05:21.399]  This product was designed to be an invaluable part of your vital preparations.
[01:05:21.760 --> 01:05:29.084]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[01:05:29.284 --> 01:05:39.136]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[01:05:39.677 --> 01:05:44.903]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:05:45.163 --> 01:05:47.364]  Start purifying your water with ProPure.
[01:05:47.584 --> 01:05:53.107]  My friends, I've done a lot of research, and the best gravity filter out there, bar none, is ProPure.
[01:05:53.287 --> 01:05:56.529]  And it's available discounted at Infowars.com.
[01:05:56.689 --> 01:05:59.870]  Its filters are silver impregnated to prevent bacterial growth.
[01:06:00.130 --> 01:06:01.551]  There's no priming required.
[01:06:01.811 --> 01:06:03.832]  It's NSF-42 certified.
[01:06:04.092 --> 01:06:06.554]  Optional fluoride filters can reduce fluoride up to 95%.
[01:06:07.654 --> 01:06:08.975]  Easy to set up and use.
[01:06:09.175 --> 01:06:10.476]  Doesn't require electricity.
[01:06:10.596 --> 01:06:13.457]  Purify water from lakes, streams, ponds, and wells.
[01:06:13.758 --> 01:06:16.920]  This filter system leaves in beneficial minerals, which is key.
[01:06:17.140 --> 01:06:21.122]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[01:06:21.282 --> 01:06:23.884]  ProPure is the best gravity-fed filter out there.
[01:06:24.024 --> 01:06:25.345]  It's what my family uses.
[01:06:25.605 --> 01:06:28.807]  Infowars.com already has the lowest price on ProPure.
[01:06:28.907 --> 01:06:34.470]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:06:34.730 --> 01:06:37.691]  You can also call to order 888-253-3139.
[01:06:38.352 --> 01:06:42.133]  Have you ever wanted to generate your own supply of electrical power?
[01:06:42.394 --> 01:06:44.094]  Even save money on your electric bill?
[01:06:44.374 --> 01:06:47.696]  If so, this could be one of the most important messages you will ever hear.
[01:06:47.996 --> 01:06:50.057]  Solar power generators are now available.
[01:06:50.197 --> 01:06:53.640]  These emergency backup systems provide life-saving electrical power.
[01:06:53.841 --> 01:06:59.666]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[01:06:59.927 --> 01:07:03.310]  It's like having an electrical power plant running quietly in your own home.
[01:07:03.630 --> 01:07:11.458]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling, whether it's hurricanes, ice storms, brownouts, or blackouts.
[01:07:11.638 --> 01:07:14.100]  You'll never suffer through painful power outages again.
[01:07:14.340 --> 01:07:15.401]  And here's the best news.
[01:07:15.621 --> 01:07:18.583]  A remarkable fall truckload sale is going on right now.
[01:07:18.803 --> 01:07:22.585]  It gets you $1,700 in bonuses when you buy a solar generator.
[01:07:22.705 --> 01:07:30.410]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[01:07:30.550 --> 01:07:32.412]  That's falltruckloadsale.com.
[01:07:32.632 --> 01:07:34.693]  Generate your own supply of electricity.
[01:07:34.813 --> 01:07:36.735]  Go to falltruckloadsale.com.
[01:07:36.875 --> 01:07:38.656]  That's falltruckloadsale.com.
[01:07:46.559 --> 01:07:57.446]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[01:08:01.669 --> 01:08:04.371]  You're listening to the Alex Jones Show.
[01:08:05.752 --> 01:08:15.338]  Stand up and be counted for what you are about to receive.
[01:08:16.994 --> 01:08:18.498]  We are the dealers.
[01:08:18.518 --> 01:08:20.844]  We'll give you everything you need.
[01:08:23.791 --> 01:08:25.174]  Ladies and gentlemen...
[01:08:26.656 --> 01:08:38.485]  It is the 16th day of November 2012, and I am your host, Alex Jones, and I'm here Monday through Friday, 12 noon.
[01:08:38.505 --> 01:08:41.627]  That's 12 noon, the 3 p.m.
[01:08:41.827 --> 01:08:47.251]  Eastern, and I have the fire of liberty burning in my heart and...
[01:08:48.484 --> 01:09:04.051]  Projecting out through my mind for freedom and the disgust of the peacock-like globalists perching and fawning and wanting to be worshipped like gods when they ought to be trodden underfoot like the maggots they are.
[01:09:05.612 --> 01:09:07.293]  And that basically is what it comes down to.
[01:09:07.353 --> 01:09:08.533]  I don't like deception.
[01:09:08.713 --> 01:09:10.133]  I don't like manipulation.
[01:09:10.233 --> 01:09:11.314]  I don't like bullies.
[01:09:11.694 --> 01:09:12.954]  I don't like scum.
[01:09:13.434 --> 01:09:15.635]  I don't like how ugly the New World Order is.
[01:09:16.615 --> 01:09:19.076]  And I want them dismantled.
[01:09:19.816 --> 01:09:21.637]  Instead, they're dismantling us.
[01:09:21.957 --> 01:09:23.657]  They're waging war against us.
[01:09:24.098 --> 01:09:29.259]  They are injecting our children nationwide now without parental consent.
[01:09:29.319 --> 01:09:32.680]  And it's like, oh, the school gives your kids shots now even if you say no.
[01:09:32.700 --> 01:09:35.121]  Oh, the grand jury won't indict us.
[01:09:35.441 --> 01:09:36.161]  We're the government.
[01:09:36.362 --> 01:09:38.403]  They're now to the point of just doing whatever they want.
[01:09:38.423 --> 01:09:41.685]  Yeah, we'll secretly arrest you if we want.
[01:09:41.705 --> 01:09:43.125]  Yeah, we'll disappear you if you want.
[01:09:43.145 --> 01:09:46.347]  Yeah, we're just gonna raise your property taxes even though your house value went down.
[01:09:46.367 --> 01:09:49.889]  Yeah, we're just gonna give you GMO even if you don't want it.
[01:09:50.290 --> 01:09:57.734]  Yeah, we're just gonna put the military under NATO and tell Congress sit down and shut up in three different congressional hearings this year.
[01:09:58.314 --> 01:10:06.385]  Yeah, you know what, we're gonna go ahead and just sign an executive order for the cyber security takeover that even CBS News called Russian or Chinese style internet censorship.
[01:10:06.645 --> 01:10:10.771]  Since Congress wouldn't do it, Obama just signed an executive order that puts it in place.
[01:10:11.271 --> 01:10:12.733]  And then, you know what, made it secret.
[01:10:13.494 --> 01:10:14.095]  But the U.N.
[01:10:14.135 --> 01:10:17.157]  came out today and said, oh, this is part of our new U.N.
[01:10:17.257 --> 01:10:17.637]  agreement.
[01:10:18.277 --> 01:10:19.798]  Obama's now agreed to it.
[01:10:19.999 --> 01:10:22.040]  We're going to be giving the codes to the D.N.S.
[01:10:22.500 --> 01:10:24.021]  so we can shut your website off.
[01:10:24.041 --> 01:10:25.242]  People can't get there if we want to.
[01:10:26.303 --> 01:10:27.664]  That's in mainstream news today.
[01:10:27.704 --> 01:10:28.364]  I'm going to get to that.
[01:10:28.745 --> 01:10:31.907]  I mean, just earth shattering stuff going on.
[01:10:34.053 --> 01:10:35.953]  Earth-shattering things going on.
[01:10:36.694 --> 01:10:42.355]  And so no, I don't want to fly around in the helicopters and be backstage at the Formula One here in Austin.
[01:10:42.815 --> 01:10:47.316]  Even though I was nicely invited by people to it that way, I'm not going to go.
[01:10:47.336 --> 01:10:50.317]  And I'm not bragging, I'm not gilling because I'm special.
[01:10:50.797 --> 01:10:53.918]  They're injecting children with cancer viruses everywhere.
[01:10:55.184 --> 01:10:59.105]  I cannot get my mind around peacocking around.
[01:10:59.825 --> 01:11:03.886]  And I understand people go for business, whatever, it's a sport, it's fun.
[01:11:04.147 --> 01:11:08.848]  My point is, folks, we've got to get our priorities straight, ladies and gentlemen.
[01:11:10.448 --> 01:11:11.529]  That's what I'm saying to you.
[01:11:11.609 --> 01:11:19.431]  I mean, if you aren't upset about what's going on, if you aren't passionately engaging the globalists, there's something wrong with you.
[01:11:19.471 --> 01:11:20.291]  Now, if you just joined us,
[01:11:22.122 --> 01:11:23.303]  I've known this for a long time.
[01:11:23.343 --> 01:11:46.214]  I knew the way to get away from the globalist was states' rights movement, not to secede to form new countries, but to secede so the states, so we can use government institutions, because it's in the Declaration of Independence, Bill of Rights, Constitution, and there's precedent across the world to have the states pull out into the real republic, to form the second republic, to restore, so there's no debate, what do we re-upload?
[01:11:46.574 --> 01:11:49.736]  Declaration of Independence, Constitution, Bill of Rights, unaltered.
[01:11:50.456 --> 01:11:55.844]  But a plan of action, and the governor says, hey, military, army, you're under us.
[01:11:57.682 --> 01:11:58.062]  Boom!
[01:11:58.162 --> 01:12:01.763]  We are starting... Oh, Congress, you say you want us to back off.
[01:12:02.043 --> 01:12:07.624]  You'll have hearings about the Federal Reserve running our country and the $47 trillion you've given them to offshore banks the last four years.
[01:12:08.004 --> 01:12:09.245]  Oh, you're saying you'll back off.
[01:12:09.505 --> 01:12:15.866]  The minute we start reaching for their throats, the minute we... Again, folks, you have to believe in yourselves.
[01:12:16.206 --> 01:12:18.427]  I see people saying, oh, we could never do this.
[01:12:18.747 --> 01:12:20.607]  We could never get people to actually do this.
[01:12:20.887 --> 01:12:23.668]  We could never... It's because you don't believe in yourself.
[01:12:27.173 --> 01:12:40.816]  Less than 1% of the population actually organized the beginnings of the rebellion against the British Empire, the biggest, most powerful empire that had, wait for it, never been defeated.
[01:12:40.836 --> 01:12:43.577]  And you know why they've never been defeated?
[01:12:43.897 --> 01:12:49.538]  Because there were continuous wars for a thousand years before Britain was formed.
[01:12:51.041 --> 01:12:52.762]  And it was a Viking culture.
[01:12:53.443 --> 01:12:58.085]  Celtic overall, but a Viking, a Viking war zone for over a thousand years.
[01:12:59.887 --> 01:13:02.808]  So those people got organized into a big empire.
[01:13:03.149 --> 01:13:03.849]  It was over.
[01:13:05.870 --> 01:13:10.033]  Plus they had incredible statescraft and manipulation from all the other wars.
[01:13:13.582 --> 01:13:19.367]  And our forebear said we're taking you on because we're not going to be your slaves.
[01:13:19.767 --> 01:13:20.347]  You know why?
[01:13:20.407 --> 01:13:35.859]  Because only insiders could operate businesses who were connected to the crown and all these men who have great much greater status and stature in their innate power were not going to sit there and be treated as third-class slaves.
[01:13:36.159 --> 01:13:36.600]  You understand?
[01:13:39.025 --> 01:13:40.086]  And it's the same thing today.
[01:13:40.546 --> 01:13:47.791]  When someone makes money out of an invention, out of a book, out of literature, out of construction, out of work, I admire them.
[01:13:47.891 --> 01:13:49.132]  I want to be around them.
[01:13:49.913 --> 01:13:53.956]  You know, when somebody is good at sports, you admire them just because of the human prowess.
[01:13:54.256 --> 01:13:58.639]  When somebody's a great rodeo rider, you know, you admire them because they're an example of humanity.
[01:13:59.019 --> 01:13:59.860]  I admire that.
[01:14:00.020 --> 01:14:01.381]  I like strong, good people.
[01:14:01.661 --> 01:14:02.722]  I like being around it.
[01:14:02.742 --> 01:14:04.963]  Let me tell you, I've been around New World Order people.
[01:14:05.144 --> 01:14:07.305]  These are hunchback little demons.
[01:14:07.805 --> 01:14:07.966]  I mean,
[01:14:08.928 --> 01:14:16.153]  Look at the head of Formula One who's taken over Austin, Bernie Ecclestone, who gave $3 billion to his two daughters as a gift.
[01:14:16.373 --> 01:14:23.259]  They own the most expensive houses in the U.S., literally paid for by taxpayers' money worldwide.
[01:14:23.619 --> 01:14:26.621]  Everyone pays for the tracks, and then he's tax-exempt.
[01:14:26.941 --> 01:14:35.948]  That makes me so angry, I want to throw up, and now they've got the army out there running checkpoints on the highway right outside my office.
[01:14:40.766 --> 01:14:43.008]  That makes me want to throw up!
[01:14:43.068 --> 01:14:45.611]  And have you read the letters of George Washington about his businesses?
[01:14:46.071 --> 01:14:47.072]  And about how he was treated?
[01:14:47.773 --> 01:14:49.915]  And how he wasn't allowed to operate by a bunch of scum?
[01:14:51.141 --> 01:14:55.724]  You know, that's what this comes down to, ladies and gentlemen, and I don't like the New World Order.
[01:14:56.044 --> 01:14:57.184]  I don't like parasites.
[01:14:57.464 --> 01:15:03.988]  I don't like people that want to break my will and have perverts take my kids to a private room and stick their hands down their pants.
[01:15:04.348 --> 01:15:16.335]  I recognize how far we've fallen under authoritarian psychopaths who are engaged in a premeditated scientific takeover of our country.
[01:15:18.444 --> 01:15:22.686]  I'm going to lay out a battle plan here briefly, then I'm going to give the number out and take your calls on this issue.
[01:15:26.587 --> 01:15:39.813]  But they're going to try to phrase my call for the second American Revolution, a restoration, a reboot, a kick the New World Order out, recognize we've been hijacked literally,
[01:15:41.172 --> 01:15:54.995]  That's powerful information that they've been arrogant enough to brag in hundreds of publications, and on television, and at the EU Parliament, and at the British Parliament, and in our Congress, in the article, Bankers Declare US Europe Conquered, World Government Now an Open Secret.
[01:15:55.315 --> 01:16:04.797]  That, you can bring that to state houses, you can bring this to grand juries, you can bring this to every, we just, folks, they could kill me for what I'm doing right now, I hope you realize that.
[01:16:06.129 --> 01:16:06.369]  Okay?
[01:16:06.650 --> 01:16:07.030]  And you know what?
[01:16:07.050 --> 01:16:07.911]  That's a good price to pay.
[01:16:07.971 --> 01:16:08.651]  I'm not worried about it.
[01:16:08.832 --> 01:16:12.155]  They probably won't because it'll make me a martyr and energize everything I've done.
[01:16:12.915 --> 01:16:14.537]  And selfishly, I hope it doesn't happen.
[01:16:14.857 --> 01:16:18.881]  But if it did... The point is, ladies and gentlemen...
[01:16:21.061 --> 01:16:22.442]  My body doesn't want to die.
[01:16:22.483 --> 01:16:24.024]  My spirit, whatever it takes.
[01:16:24.044 --> 01:16:25.806]  In fact, it's beyond that.
[01:16:26.427 --> 01:16:28.769]  Because I know these people are hurting innocents.
[01:16:29.350 --> 01:16:38.759]  I take it personally when leukemia explodes in kids and pediatric cancer is up over 10,000% and I know they're doing it with the GMO and the vaccines and I've got the documents where they talked about how they do it.
[01:16:39.140 --> 01:16:40.381]  I get really upset.
[01:16:40.661 --> 01:16:41.962]  I have nightmares about that.
[01:16:42.663 --> 01:16:46.089]  I have such unbelievable hatred of these people, it could destroy me.
[01:16:46.109 --> 01:16:47.272]  Do you understand that?
[01:16:47.873 --> 01:16:51.178]  So I've got to do it for love, but that's even more painful.
[01:16:54.454 --> 01:16:57.775]  You've got to take it personal and you've got to realize the power you've got.
[01:16:57.855 --> 01:16:59.096]  And you've got to ask God.
[01:16:59.416 --> 01:17:01.657]  You say, God, I don't know how to defeat these people.
[01:17:01.997 --> 01:17:04.878]  If you ask God to direct you, you're going to start seeing doors open.
[01:17:05.118 --> 01:17:06.519]  You're going to start seeing opportunities.
[01:17:06.759 --> 01:17:08.380]  Go walk down the street and warn people.
