[00:00:00.129 --> 00:00:07.975]  So... Big Brother.
[00:39:04.867 --> 00:39:08.549]  Valerie Jarrett and the people in the White House.
[00:39:09.029 --> 00:39:16.192]  So we've been running an incredible amount of secret wars under Obama, where normally we should have known about it.
[00:39:16.332 --> 00:39:17.833]  Our Congress has never covered it.
[00:39:18.373 --> 00:39:23.376]  And we have had more wars and covert operations under him than any other president I know.
[00:39:24.276 --> 00:39:29.959]  And since he's come out of the CIA, he's run by the CIA, what you have here is a cultural clash
[00:39:30.540 --> 00:39:43.965]  Between military generals who refuse to continue to listen to civilian authority, and I have encouraged that through my lectures at the war colleges, my meetings with the generals, saying that at some point in time, you generals will have to stand up.
[00:39:44.565 --> 00:39:52.448]  Civilian leaders who led us into the war in Vietnam, who led us into the wars in Iraq, who led us into Afghanistan, you have performed poorly.
[00:39:52.928 --> 00:39:54.849]  You have performed exceedingly poorly.
[00:39:54.869 --> 00:39:57.910]  You have destroyed the integrity of the military and the army.
[00:39:59.488 --> 00:40:03.823]  These generals watched while their own men were being killed and said nothing.
[00:40:04.224 --> 00:40:04.425]  Yeah.
[00:40:04.918 --> 00:40:05.758]  It's unfortunate.
[00:40:06.539 --> 00:40:08.099]  They should have said something.
[00:40:08.139 --> 00:40:09.240]  They should have stood forward.
[00:40:09.740 --> 00:40:20.864]  And instead, they were given the cover story by Dempsey, who's a total coward, someone I met, had total disrespect for, and Panetta, another coward who should be impeached and in the White House.
[00:40:21.424 --> 00:40:23.865]  And in turn, they were told to stand down.
[00:40:24.125 --> 00:40:34.049]  But what was happening in the middle of all of this Benghazi episode was the fact that not only was a Navy rear admiral and a carrier task force sent back, which is unheard of,
[00:40:34.509 --> 00:40:46.163]  And they were ready to protect our soldiers after seven hours of an attack, where these special forces units were literally putting their lives on the line to say, look, save us.
[00:40:46.303 --> 00:40:48.626]  And they were told that they would be saved, but they weren't.
[00:40:49.235 --> 00:41:05.105]  Basically what happened is, this was an attempt by the White House, by Panetta, by all the men in the CIA from the old days, like Brannan, who should have been indicted for war criminals under 9-11, 2001, who's a continuing problem.
[00:41:06.066 --> 00:41:09.788]  Donilon, who should have been indicted for criminal activities under 9-11.
[00:41:11.045 --> 00:41:20.287]  And this is all a combination where the military did not do what they should have done, which was to refuse the civilian order and be treasonous, as I have been repeatedly.
[00:41:21.707 --> 00:41:25.068]  Defied civilian order to save the lives of our military men.
[00:41:25.209 --> 00:41:27.490]  I'm ashamed of our military for having done that.
[00:41:27.990 --> 00:41:50.860]  I'm sorry that they did it, but basically what's happened is that there was a fear in the White House, and a correct fear, that part of what I had been doing and others had been doing was to develop a military corps of generals, which Petraeus is part of, say that we will no longer follow civilian orders, meaning that the civilians who've come to power are President Bush Jr.
[00:41:51.958 --> 00:41:53.031]  Uh, excellent.
[00:41:53.675 --> 00:41:56.816]  And Obama really knows nothing about foreign policy.
[00:41:56.956 --> 00:42:04.259]  And the people who they picked, Susan Rice, Hillary Clinton, Samantha Powers, Brandon, all of these people are incompetent.
[00:42:04.439 --> 00:42:22.647]  They've had a history of incompetence in their ideologues, and they basically wanted to go into countries like Libya and overthrow Gaddafi, who was our ally for years, and create stories that really were not even rational, and claim that we would create an Arab Spring, when in fact they had no solution as to what that meant.
[00:42:23.388 --> 00:42:24.409]  And where that was going.
[00:42:24.889 --> 00:42:34.220]  And in Benghazi, this was the final point of where the military and the civilians, or the CIA, came to a clash of who was in charge.
[00:42:34.380 --> 00:42:41.629]  And it was clear that at this point in time, the President committed not only a legal act to abuse the State Department as a cover,
[00:42:42.222 --> 00:43:01.154]  For torture and and extradition as well as as well as sending a weapon illegally into Syria on rebels where we have never declared war but at the same time it was the clash to allow the civilian to get rid of all those generals who in any way could be defying the White House.
[00:43:01.254 --> 00:43:03.355]  So this is really a coup attempt.
[00:43:03.876 --> 00:43:10.460]  This was a taking down of a real military coup to say we've had enough.
[00:43:11.027 --> 00:43:15.810]  And unfortunately, our military backed down, and they will pay a heavy price for it.
[00:43:16.410 --> 00:43:22.114]  Fourteen other Navy commanders were dismissed during this period, and that was not written about.
[00:43:22.574 --> 00:43:33.621]  So that basically, the White House, under the direction of Brennan, who's a very dangerous CIA operative, who was involved in 9-11, should have been indicted for criminal activities under the 2000 Act.
[00:43:35.302 --> 00:43:41.787]  One 9-11, Donlan as well, and this gets into that specific issue.
[00:43:41.887 --> 00:43:49.732]  Now, the person who's missing in all of this, and the most important person who's never been talked about, is exactly the person you were talking about.
[00:43:50.152 --> 00:44:00.179]  And that's Mr. Bob Mueller, who for years I have warned that if he doesn't watch what he's doing, he should be under investigation, and should be the one who's being investigated.
[00:44:00.805 --> 00:44:10.571]  Mueller has had a very, very, very dangerous history of having come in before 9-11, one week beforehand, appointed by Bush Jr.
[00:44:10.951 --> 00:44:20.076]  to head up the FBI, and knew very well that his involvement in 9-11, the stand-down and the false attack that we had,
[00:44:20.843 --> 00:44:24.346]  And basically, he was covering that up with the FBI agents.
[00:44:24.546 --> 00:44:25.687]  There's no question about it.
[00:44:25.707 --> 00:44:34.794]  And by the way, his number two, just to briefly interject, was saying that they were going to allow an Al Qaeda attack as a pretext.
[00:44:34.814 --> 00:44:37.116]  He even gave newspaper interviews.
[00:44:37.176 --> 00:44:37.936]  John O'Neill.
[00:44:38.296 --> 00:44:40.378]  And then he died in the World Trade Center, we're told.
[00:44:40.638 --> 00:44:40.958]  Correct.
[00:44:41.259 --> 00:44:49.425]  And I knew about O'Neill because John O'Neill was the CIA operative who was sent to New York and the head of counterintelligence to the CIA told me about him.
[00:44:49.924 --> 00:44:51.005]  And he warned about it.
[00:44:51.445 --> 00:44:55.627]  Mueller should be investigated, should be indicted for war crimes.
[00:44:55.787 --> 00:45:00.669]  He is very much a part of this cover-up, and has been for a very long, long time.
[00:45:01.390 --> 00:45:05.051]  Mueller goes back, and so does the FBI, which should also be investigated.
[00:45:05.071 --> 00:45:08.173]  But unfortunately, we don't have investigative capability.
[00:45:08.313 --> 00:45:10.674]  Our Congress, our Senate is totally defunct.
[00:45:11.348 --> 00:45:16.329]  So we have to develop some kind of body where the American public comes in and says, you know what?
[00:45:16.809 --> 00:45:18.790]  Our congressmen and senators are useless.
[00:45:18.950 --> 00:45:20.230]  Our civilians are useless.
[00:45:20.650 --> 00:45:33.994]  But Mueller has to be investigated repeatedly for his involvement, not only in 9-11-2001 cover up the criminal activities, but now illegal operation against the military, the CIA.
[00:45:34.134 --> 00:45:39.015]  And it harks back to the time of J. Edgar Hoover, when he used the investigative powers
[00:45:39.660 --> 00:45:40.640]  We're good to go.
[00:46:02.646 --> 00:46:09.815]  For over 30 years, when I've worked with the FBI or the CIA, they have been the most least cooperative group I've ever seen.
[00:46:09.916 --> 00:46:14.181]  In particular, they also make up their own storylines, which is absolutely amazing.
[00:46:14.682 --> 00:46:17.886]  I was involved in the Hanafi Muslim, and they failed terribly.
[00:46:18.306 --> 00:46:20.187]  And I defied presidential order.
[00:46:20.587 --> 00:46:22.528]  And that was basically treason.
[00:46:22.869 --> 00:46:32.454]  I threw out the President of the United States, Jimmy Carter, and warned him that if he would have come back into the room, I would have 500 hostages killed as he started it.
[00:46:33.010 --> 00:46:34.672]  That was basically treason.
[00:46:35.153 --> 00:46:42.423]  At the same time, I committed treason when I overthrew someone in the Aldo Morrow kidnapping, and that's what we call a hard coup.
[00:46:42.803 --> 00:46:48.972]  There was no question that I overrode the CIA, overrode military orders, overrode civilian orders.
[00:46:49.412 --> 00:46:50.374]  But in my opinion,
[00:46:50.954 --> 00:46:55.716]  And at the directive of whoever it was, in my own opinion, I was able to do that.
[00:46:55.856 --> 00:46:58.117]  And for those years, nobody could understand it.
[00:46:58.197 --> 00:47:04.159]  That's why I was able to override the CIA and either fire or dismiss them or marginalize them.
[00:47:04.199 --> 00:47:06.460]  Well, now that you've told the Jimmy Carter story, I looked it up.
[00:47:06.520 --> 00:47:11.622]  It's on record that you were the State Department representative at the famous Camp David Accord.
[00:47:11.642 --> 00:47:14.383]  We should have you on just about the history sometime.
[00:47:15.603 --> 00:47:19.664]  But let me get back to the story of why this happened.
[00:47:19.704 --> 00:47:20.885]  What happened with President Carter?
[00:47:21.965 --> 00:47:30.388]  Well, Jimmy Carter, President Carter had initially created, got himself involved in a bank hold up where he was micromanaging everything.
[00:47:30.468 --> 00:47:35.289]  And as a result of that, what happened was a man by the name of Khalid,
[00:47:36.021 --> 00:47:46.605]  Who saw his daughter drowned by the Elijah Muhammad group, held five different buildings hostages, including the B'nai B'rith, shot Mayor Barry, and we had 500 hostages.
[00:47:47.405 --> 00:47:48.966]  The FBI could not handle it.
[00:47:49.646 --> 00:47:51.487]  The CIA could not handle it.
[00:47:51.827 --> 00:47:54.568]  And I was called in the middle of the night to take it over.
[00:47:55.149 --> 00:47:58.890]  And Earl Silbert, who was at that time not my friend, but was the U.S.
[00:47:58.950 --> 00:48:01.171]  Attorney General, I told him that whatever happened,
[00:48:01.627 --> 00:48:02.768]  We'll be canceled.
[00:48:02.788 --> 00:48:03.989]  We'll have a gag order.
[00:48:04.129 --> 00:48:05.010]  No one is to talk.
[00:48:05.150 --> 00:48:06.371]  Nobody is to say anything.
[00:48:06.772 --> 00:48:08.773]  And I took over complete command and control.
[00:48:08.833 --> 00:48:11.756]  There were three ambassadors from my, uh, Yahoo!
[00:48:11.796 --> 00:48:17.140]  Khan from Pakistan, from Egypt, and from Iran, all of whom were just sitting there.
[00:48:17.181 --> 00:48:18.582]  So I provided the Quran.
[00:48:18.622 --> 00:48:25.568]  I quickly formulated the strategy and tactics where I took over the control of Khalees and told them that this is what's going to happen.
[00:48:25.888 --> 00:48:27.670]  Sure, and that's on record too.
[00:48:27.970 --> 00:48:29.011]  It sounds amazing to listeners.
[00:48:55.968 --> 00:48:57.089]  Let's expand on this.
[00:48:57.129 --> 00:48:58.090]  Let's expand on this then.
[00:48:59.091 --> 00:49:01.612]  I'm just letting people know the kind of stuff you've done and what you've seen.
[00:49:01.953 --> 00:49:05.615]  Where is this going now where mercenaries, because the U.S.
[00:49:05.655 --> 00:49:11.260]  has been corrupt for a long time and that's part of the whole Machiavellian system and you know when you dance with the devil you
[00:49:11.940 --> 00:49:13.262]  The devil doesn't change, you change.
[00:49:13.723 --> 00:49:21.854]  But now you can see it that what these mercenaries and the CIA and 80% of intelligence now run by private groups.
[00:49:22.234 --> 00:49:24.858]  I found an NSA base by my house and I've confirmed it.
[00:49:25.118 --> 00:49:26.641]  Well, it's a private group data mining.
[00:49:26.661 --> 00:49:27.802]  I mean, that's how bad it is.
[00:49:27.822 --> 00:49:28.764]  It's just everywhere now.
[00:49:29.244 --> 00:49:32.428]  They've made the American people their enemy, too, because that's a new battlefield for them.
[00:49:32.868 --> 00:49:34.610]  They don't care about long-term.
[00:49:34.670 --> 00:49:36.653]  Now they really just want their paychecks.
[00:49:37.073 --> 00:49:40.037]  You've got contractors, low-level, paid more than top generals.
[00:49:40.818 --> 00:49:46.024]  And so it's a private corporate coup that we see happening, and they brag about it.
[00:49:46.384 --> 00:49:47.706]  Where is it going, then?
[00:49:48.544 --> 00:50:08.273]  Well, it is going into a major confrontation with our military because for every mercenary who basically was either ex-special forces receives $250,000 and you put in a special forces legal soldier next to him and he's only making $40,000 or $50,000.
[00:50:09.694 --> 00:50:11.075]  You're going to get real conflicts.
[00:50:11.315 --> 00:50:26.324]  And I remember telling General Schumacher, the head of Special Forces, the head of the Army, ten years ago, that our major enemy within five to ten years, and it's right now about Benghazi, will be those mercenaries under L3, under Northrop Grumman,
[00:50:26.804 --> 00:50:35.670]  Under all the companies that have been outsourced, and Panetta has been one of the greatest users of these L3 communications, as has the CIA.
[00:50:35.730 --> 00:50:39.112]  By the way, they plan to use L3 domestically for civil unrest.
[00:50:39.432 --> 00:50:41.594]  They got a giant training base here in Texas.
[00:50:41.614 --> 00:50:42.014]  Stay there.
[00:50:42.034 --> 00:50:44.295]  I want to come back then and just zero in.
[00:50:44.856 --> 00:50:55.763]  Why did Obama stand down then, if it was some type of internal operation with the neocons wanting to get missiles, you know, into the next theater to expand the war?
[00:50:56.543 --> 00:51:00.505]  Why did Obama play into their hands, or has he joined up with these people?
[00:51:00.545 --> 00:51:01.886]  I mean, I want to zero in on this.
[00:51:03.067 --> 00:51:07.870]  Have you ever wanted to generate your own supply of electrical power, even save money on your electric bill?
[00:51:08.030 --> 00:51:11.112]  If so, this is going to be the most important message you will ever hear.
[00:51:11.312 --> 00:51:13.473]  Solar power generators are now available.
[00:51:13.733 --> 00:51:18.216]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:51:18.476 --> 00:51:24.462]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:51:24.762 --> 00:51:27.905]  It's like having an electric power plant running quietly in your own home.
[00:51:28.246 --> 00:51:32.129]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:51:32.370 --> 00:51:37.314]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[00:51:37.575 --> 00:51:38.435]  And here's the best news.
[00:51:38.536 --> 00:51:42.239]  A remarkable fall truckload sale going on right now that gets you $1,700.
[00:51:43.881 --> 00:51:46.103]  $100 in bonuses when you buy a solar generator.
[00:51:46.323 --> 00:51:53.209]  To find out why solar generators are the best generators and get $1,700 for doing so, go to falltruckloadsale.com.
[00:51:53.249 --> 00:51:55.051]  That's falltruckloadsale.com.
[00:51:55.271 --> 00:51:57.353]  Generate your own supply of electricity.
[00:51:57.593 --> 00:51:59.575]  Go to falltruckloadsale.com.
[00:51:59.755 --> 00:52:01.176]  That's falltruckloadsale.com.
[00:52:02.927 --> 00:52:07.071]  What do you do when your propane runs out and you don't have a large amount of wood for cooking?
[00:52:07.491 --> 00:52:10.894]  That's when you need a Grover Rocket Stove from StockStorage.com.
[00:52:11.174 --> 00:52:18.240]  The Grover Rocket Stove starts easily with any combustible material like junk mail, small twigs, leaves, weeds or dry sagebrush.
[00:52:18.540 --> 00:52:22.604]  Then just add a small amount of kindling wood and you'll be cooking entire meals in minutes.
[00:52:22.904 --> 00:52:31.770]  Grover Rocket Stoves are made right here in the USA and are built to last a lifetime using heavy-duty thick-gauge steel and are painted with high-temp paint to withstand heat.
[00:52:32.130 --> 00:52:42.777]  Go to StockStorage.com and see three great Grover Rocket Stoves, stainless steel, heavy-duty, or our original Grover Rocket Stove for only $135 and get free shipping to the lower 48.
[00:52:42.817 --> 00:52:44.638]  For phone orders, call 801-361-6984.
[00:52:47.680 --> 00:52:49.541]  Or go to stockstorage.com.
[00:52:49.861 --> 00:52:54.664]  That's 801-361-6984 or stockstorage.com.
[00:52:55.025 --> 00:52:58.487]  The original Grover Rocket Stove Minimal Wood Use Cooking Stoves.
[00:52:58.767 --> 00:53:01.629]  Available exclusively from stockstorage.com.
[00:53:01.969 --> 00:53:06.071]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:53:06.732 --> 00:53:08.853]  I want you to know some very important information.
[00:53:09.762 --> 00:53:18.110]  In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:53:18.731 --> 00:53:23.656]  Now, 27 years later, Carnivora capsules are used around the world to keep people healthy.
[00:53:24.284 --> 00:53:35.252]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[00:53:35.652 --> 00:53:42.657]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[00:53:43.337 --> 00:53:47.598]  Call 1-866-VENUSFLY or order from carnivora.com.
[00:53:47.638 --> 00:53:50.819]  That's C-A-R-N-I-V-O-R-A dot com.
[00:53:51.239 --> 00:53:58.201]  That's 1-866-836-8735, 1-866-VENUSFLY, or visit carnivora.com.
[00:53:58.481 --> 00:53:59.501]  Protect your immune system.
[00:53:59.762 --> 00:54:00.822]  It's the only one you've got.
[00:54:00.842 --> 00:54:12.545]  A decision is being made by the President and the Joint Chiefs in the War Room with the Pentagon.
[00:54:13.300 --> 00:54:21.405]  When they realize there is no possibility of recalling the wing, there will be only one course of action of total commitment.
[00:54:22.225 --> 00:54:25.748]  Mandry, do you recall what Clemenceau once said about war?
[00:54:25.768 --> 00:54:29.970]  No, I didn't think I knew what he was talking about.
[00:54:29.990 --> 00:54:32.632]  He said war was too important to be left to the generals.
[00:54:33.552 --> 00:54:37.695]  When he said that 50 years ago, he might have been right.
[00:54:38.495 --> 00:54:42.498]  But today, war is too important to be left to politicians.
[00:54:43.507 --> 00:54:49.756]  They have neither the time, the training, nor the inclination for strategic thought.
[00:54:51.478 --> 00:54:54.983]  Resistance to tyrants is obedience to God.
[00:54:55.564 --> 00:54:57.327]  It's Alex Jones.
[00:54:59.631 --> 00:55:01.873]  Okay, we got one more segment here, and then another.
[00:55:01.953 --> 00:55:04.334]  Two more segments, short ones, with Dr. Steve Pchenik.
[00:55:04.854 --> 00:55:07.076]  Riveting, powerful interview, unfortunately.
[00:55:07.456 --> 00:55:12.399]  So much is what he's saying, I can just verify from open intelligence, reading between the lines here.
[00:55:12.419 --> 00:55:24.707]  I was saying, isn't it about phasing out the military, converting it to a social enforcement thing domestically, everything going to drones, controlled by megacorporations that have hijacked our country?
[00:55:24.987 --> 00:55:27.109]  And he said, bingo, that's it.
[00:55:27.549 --> 00:55:30.711]  So, Dr. Pachanik, you also had another announcement you wanted to make about the CFR.
[00:55:31.051 --> 00:55:37.116]  Break down geopolitically where all this is going, because soon the mercenaries are going to be cut out of the equation, too.
[00:55:37.136 --> 00:55:42.679]  The New World Order, it likes robots, it likes drones, it likes drone subs and drone ships.
[00:55:42.719 --> 00:55:43.560]  Explain where we're going.
[00:55:44.500 --> 00:55:46.422]  Basically, this is the end of the Army.
[00:55:46.982 --> 00:55:48.663]  We no longer really need an Army.
[00:55:48.803 --> 00:55:50.485]  It will be decreased in size.
[00:55:50.565 --> 00:55:51.025]  They know this.
[00:55:51.045 --> 00:55:52.286]  This is the end.
[00:55:52.446 --> 00:55:54.308]  We don't need Army units.
[00:55:54.328 --> 00:55:56.950]  We don't need the teeth-to-tail ratio.
[00:55:57.050 --> 00:56:03.035]  In other words, the amount of supply that we need to get actual fighters in who have not done well is very high.
[00:56:03.155 --> 00:56:11.902]  So basically, where we are going into is a new kind of warfare, which is space warfare, cyberwar, cyberattack, which is really very important.
[00:56:12.403 --> 00:56:13.764]  Does it belong to the Army?
[00:56:14.853 --> 00:56:26.119]  It really now belongs to a whole new concept which the United States has to begin to understand, which has to deal with private industry and working in cyber war and cyber security.
[00:56:26.319 --> 00:56:33.423]  Because the Army isn't necessarily designated or has been trained in cyber war and cyber attack, although they're interested in it.
[00:56:33.823 --> 00:56:37.405]  It's not the sine qua non of their reason.
[00:56:37.865 --> 00:56:40.807]  So what you have is the elimination of really war structures.
[00:56:41.317 --> 00:56:41.757]  We're good.
[00:56:57.279 --> 00:56:59.540]  Very, you know, retarded individuals.
[00:57:00.060 --> 00:57:01.940]  But you got to get in Jemse's face there.
[00:57:01.980 --> 00:57:03.040]  It's still useful for that.
[00:57:03.120 --> 00:57:05.421]  Well, but Jemse is a coward.
[00:57:05.541 --> 00:57:10.262]  I mean, if I were what I normally was, George Marshall, I would have fired him on spot.
[00:57:10.402 --> 00:57:12.683]  I would have fired 600 generals on spot.
[00:57:13.023 --> 00:57:14.143]  We don't do that anymore.
[00:57:14.163 --> 00:57:15.503]  Instead, we promote the generals.
[00:57:15.523 --> 00:57:17.284]  We give them pensions for $3 million.
[00:57:17.584 --> 00:57:18.504]  So they're useless.
[00:57:18.664 --> 00:57:18.884]  Sure.
[00:57:18.944 --> 00:57:21.285]  Bottom line, where's it going with Obama then?
[00:57:21.665 --> 00:57:22.486]  How bad is this?
[00:57:22.506 --> 00:57:25.867]  Obama is going to be heading into a very serious problem of impeachment.
[00:57:26.167 --> 00:57:39.473]  If he continues all these wars that are illegal wars, which have not been overseen by the Congress, and are not the most effective Congress, but the American public understands that this is not just the President who quietly goes around and does what he does.
[00:57:39.813 --> 00:57:46.956]  He has been ordering these covert operations for years on end, and is a product of the CIA, and can no longer continue this.
[00:57:47.515 --> 00:57:54.881]  We will implode in terms of both our national security, and also our military will refuse to follow any more orders.
[00:57:54.981 --> 00:58:02.667]  And in particular, I talk about our Air Force, which is in space warfare, which has to do with satellite warfare, and our Navy.
[00:58:03.228 --> 00:58:12.235]  Because our Navy, when you talk about our Navy, nobody's really talked about our nuclear subs and our fleets, what we call SINCPAC, Commander of the
[00:58:12.978 --> 00:58:14.399]  Or the nuclear drone subs.
[00:58:14.459 --> 00:58:19.282]  They have those classified missile platforms that have been around for 20 years.
[00:58:20.042 --> 00:58:20.262]  Right.
[00:58:20.683 --> 00:58:23.064]  So some kind of deterrence is required.
[00:58:23.304 --> 00:58:25.766]  Are we going to be going into another major war?
[00:58:25.986 --> 00:58:26.186]  No.
[00:58:26.626 --> 00:58:40.535]  But we have created under Obama and the Bush administration more unnecessary wars thanks to the CIA, thanks to incompetent civilians and incompetent generals who wanted to just get their... Back in 60 seconds, Doc.
[00:58:43.069 --> 00:58:44.934]  You are listening to GCN.
[00:58:46.619 --> 00:58:48.865]  Visit GCNlive.com today.
[00:58:52.518 --> 00:58:55.601]  Alex Jones here with a very important announcement for truth seekers.
[00:58:55.981 --> 00:59:01.705]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:59:01.925 --> 00:59:08.330]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:59:08.531 --> 00:59:13.935]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:59:14.215 --> 00:59:17.858]  This film exposes the fraud that Obama is like nothing I've seen.
[00:59:18.038 --> 00:59:21.621]  If you want to know who Obama's real daddy is, this is the film for you.
[00:59:21.841 --> 00:59:26.224]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:59:26.444 --> 00:59:32.489]  You'll also find at Infowarshop.com, None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[00:59:32.789 --> 00:59:37.092]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[00:59:37.232 --> 00:59:39.874]  This book is coffin nails to the globalist takeover.
[00:59:40.174 --> 00:59:46.696]  The Greater Good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[00:59:46.996 --> 00:59:51.718]  These titles and a lot more are all available at InfoWarshot.com.
[00:59:55.439 --> 00:59:57.360]  Waging war on corruption.
[00:59:57.840 --> 01:00:00.601]  Alex Jones on the GCM Radio Network.
[01:00:06.912 --> 01:00:11.054]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:11.734 --> 01:00:12.534]  You want answers?
[01:00:13.314 --> 01:00:14.215]  Well, so does he.
[01:00:14.875 --> 01:00:18.476]  He's Alex Jones on the GCN Radio Network.
[01:00:19.056 --> 01:00:23.158]  And now, live from Austin, Texas, Alex Jones.
[01:00:25.519 --> 01:00:29.580]  Wow, we were just talking about space-based weapons and how advanced they really are with Dr. McShannock.
[01:00:29.840 --> 01:00:34.062]  Okay, we've got five minutes, Doc, and Larry Pratt's coming up, folks, on the assault on the Second Amendment.
[01:00:36.158 --> 01:00:39.239]  Government is getting more and more corrupt, more and more out of control.
[01:00:39.259 --> 01:00:42.220]  Look at the Secret Service and the hookers, all of it.
[01:00:43.080 --> 01:00:46.001]  They've got all these super weapons, but they're starting all these wars.
[01:00:46.421 --> 01:00:48.322]  They're trying to convert America to the police state.
[01:00:48.682 --> 01:00:50.703]  What's the establishment's grand plan?
[01:00:51.403 --> 01:00:53.884]  And is there any way to turn it around in your view, Dr. Puccini?
[01:00:54.727 --> 01:01:02.430]  Yes, I think it's very easy that the American public now, yesterday, started requiring that states write that they wanted to secede from the Union.
[01:01:02.770 --> 01:01:10.534]  I think this is something I wrote about 10, 20 years ago in State of Emergency, that the federal government has lost its legitimacy across the board.
[01:01:10.594 --> 01:01:16.176]  On the civilian side, legislative, executive, judicial, on the military and the intelligence side.
[01:01:16.736 --> 01:01:20.998]  It is no longer a legitimate body of our national, of our republic.
[01:01:21.418 --> 01:01:23.159]  It has become a serious problem.
[01:01:23.792 --> 01:01:27.456]  To our Republic and the sustaining of the ability of the Republic to remain.
[01:01:27.476 --> 01:01:31.942]  So therefore the question becomes, does the Republic really have legitimacy?
[01:01:32.062 --> 01:01:32.843]  And the answer is no.
[01:01:33.516 --> 01:01:39.879]  The federal government has lost its legitimacy, and I think those who are requiring and asking for states' rights, I think, are right.
[01:01:40.399 --> 01:01:49.863]  I wrote about it in the state of emergency when I said state after state will fight over water resources, and that from now on our country has to be concerned about domestic issues.
[01:01:50.263 --> 01:01:57.766]  Taking care of our veterans, taking care of people's jobs, making sure that we grow domestically and not fund some military-industrial complex.
[01:01:58.426 --> 01:02:08.336]  General Eisenhower, one of our greatest generals, said we no longer need, it's dangerous, and at the same time warned the CIA that they would create a legacy of ashes.
[01:02:08.914 --> 01:02:12.137]  His words have come back to resonate 40, 50 years later.
[01:02:12.517 --> 01:02:21.705]  We have to decrease and eliminate most of our military across the board, just as George Marshall did when he fired six to 700 generals in one day.
[01:02:21.725 --> 01:02:27.470]  Eisenhower kept firing them until young men who were 26 and 27 were division commanders.
[01:02:27.850 --> 01:02:29.431]  We don't need an army anymore.
[01:02:29.852 --> 01:02:31.313]  We have space warfare.
[01:02:31.373 --> 01:02:32.354]  We have cyber war.
[01:02:32.414 --> 01:02:33.295]  We don't need that.
[01:02:33.775 --> 01:02:39.425]  And the notion that we really need is the greatest national security problem we have is our national debt.
[01:02:39.886 --> 01:02:45.156]  And the greatest problem in our national debt is that we're not really developing our own economic strength.
[01:02:46.500 --> 01:02:51.501]  And in doing that, we have to now get rid of those people who have committed the crimes against the state.
[01:02:51.921 --> 01:02:52.901]  Number one is Mueller.
[01:02:53.141 --> 01:02:58.883]  I think Mueller should be brought forth more than anybody else and investigated for what he has been investigating.
[01:02:58.983 --> 01:03:02.643]  Number two is the CIA, and they should be eliminated completely.
[01:03:02.703 --> 01:03:03.924]  Number three, the generals.
[01:03:04.324 --> 01:03:10.465]  About three to four hundred should be dismissed right away and taken down to the simplest core of special forces.
[01:03:10.945 --> 01:03:17.769]  Number four, I think everybody involved in this Benghazi attack, from Hillary Clinton, should be indicted for war crime.
[01:03:18.149 --> 01:03:20.190]  The President should be possibly impeached.
[01:03:20.631 --> 01:03:26.214]  Every one of the men in the White House, Donald and Brandon particularly, should be impeached and indicted.
[01:03:26.774 --> 01:03:31.517]  And as well as Clapper and the DNI, which is totally useless.
[01:03:32.137 --> 01:03:34.278]  And General Dempsey should be court-martialed.
[01:03:34.678 --> 01:03:35.618]  That's my opinion.
[01:03:35.738 --> 01:03:37.238]  I think that's what's going to happen.
[01:03:37.318 --> 01:03:42.219]  I think the American public is sick and tired of corruption, of excuses, of lies.
[01:03:42.680 --> 01:03:48.421]  And throughout the world, we have been the only country that has lived through those lies and have been able to break through them.
[01:03:48.861 --> 01:03:50.501]  The American public is not stupid.
[01:03:51.082 --> 01:03:52.362]  They will not tolerate that.
[01:03:52.722 --> 01:03:56.943]  But the lies of 9-11 have come back of 2001 to recapitulate again the lies of Benghazi of 9-11.
[01:04:01.661 --> 01:04:04.563]  Congress needs to wake up, but it represents nothing.
[01:04:04.863 --> 01:04:07.084]  Congress is now a dead body.
[01:04:07.344 --> 01:04:08.585]  It has very little legitimacy.
[01:04:08.905 --> 01:04:10.666]  The White House has very little legitimacy.
[01:04:10.806 --> 01:04:30.758]  And so all we have is giant, organized crime syndicates battling for taxpayer money, and that's why they want to keep raising taxes to get more corporate welfare, and they plan on using the giant welfare hordes as the political muscle to vote the middle class's money directly into the bankers' hands, while the dumbed-down welfare queens drool, demanding more goodies.
