[00:00:06.038 --> 00:00:07.880]  Ladies and gentlemen,
[00:36:13.703 --> 00:36:17.244]  TV producer over in England, we get him on.
[00:36:17.264 --> 00:36:20.865]  He'd been working for a month for the big security firm.
[00:36:22.523 --> 00:36:30.737]  He said they're not even doing basic checks, and that they said at the end of the Olympics, after they're over, there'll be an event that changes our world forever.
[00:36:32.801 --> 00:36:34.985]  And that the military was secretly being stationed.
[00:36:36.024 --> 00:36:39.067]  In and around that area where they're having the Olympics over in England.
[00:36:39.928 --> 00:36:43.191]  Now it's admitted there's no security, that's all over the British news.
[00:36:43.592 --> 00:36:45.694]  It's admitted the military was secretly stationed.
[00:36:46.535 --> 00:36:48.657]  And it's admitted that there's basically no security.
[00:36:48.777 --> 00:36:53.502]  And now Israel says Iran is planning to attack the Olympics.
[00:36:54.750 --> 00:36:57.170]  Iran is doing everything it can to not get attacked.
[00:36:57.190 --> 00:36:58.531]  I'm not saying Iran's perfect.
[00:36:58.571 --> 00:36:59.531]  All these governments are corrupt.
[00:36:59.551 --> 00:37:05.932]  The point is, it's jumping through all the hoops, putting up with Western-backed commandos attacking their country.
[00:37:05.992 --> 00:37:06.672]  That's on record.
[00:37:07.772 --> 00:37:09.613]  Destabilization actions.
[00:37:10.273 --> 00:37:20.855]  So they're now going to attack the Olympics via Hezbollah so that they control, which they do to a great extent, so that they will get attacked and overthrown.
[00:37:25.069 --> 00:37:34.853]  I mean, that is just... That'd be like saying... I don't follow it enough, but... Who's like the top heavyweight fighter in UFC right now?
[00:37:36.033 --> 00:37:36.754]  I have no idea.
[00:37:36.774 --> 00:37:42.056]  But I mean, let's just say... Mike Tyson in his prime in 19... 1988.
[00:37:43.496 --> 00:37:50.499]  It'd be like saying, I'm gonna go pick a fight with Mike Tyson right now!
[00:37:50.519 --> 00:37:52.640]  I mean...
[00:37:54.076 --> 00:37:57.378]  Yes, yes, Israel says Iran is going to attack the Olympics.
[00:37:57.978 --> 00:38:04.102]  I mean, that is huge, because all the different sources we've got say they are planning something big at the Olympics.
[00:38:04.442 --> 00:38:16.229]  It may not happen now, because we're talking about it, but listen, in the 1972 Olympics in Munich, they have one day in September, I don't know if it's on the new DVD, I saw it in theaters in the late 90s when it came out, narrated.
[00:38:18.571 --> 00:38:20.672]  I saw it, Randy Couture, is that his name?
[00:38:22.242 --> 00:38:27.007]  It's like saying, I'm just gonna, I'm gonna start a fight with Randy, you know, Couture or something like that.
[00:38:27.688 --> 00:38:32.693]  I mean, that's how crazy this is, you know, them saying Iran is now going to do this, but getting back to one day in September.
[00:38:33.735 --> 00:38:34.995]  But guys, I want to buy that.
[00:38:35.195 --> 00:38:36.816]  I mean, I keep saying buy it, buy it, buy it.
[00:38:36.896 --> 00:38:41.237]  Will you have one of the crew buy one day in September the DVD or whatever?
[00:38:41.777 --> 00:38:45.178]  But the point is, or off Netflix or whatever, I just want to play the clip at the end.
[00:38:45.918 --> 00:38:51.100]  But my point is, I don't know if they've still got it on the DVD, but I know it won an Academy Award.
[00:38:51.480 --> 00:38:55.961]  I saw it at the Arbor Movie Theater in Austin, Texas.
[00:38:56.661 --> 00:38:59.362]  The old Arbor, when it was still inside the mall in North Austin.
[00:38:59.382 --> 00:39:01.383]  I don't know why those details matter.
[00:39:01.963 --> 00:39:02.563]  I saw it.
[00:39:04.164 --> 00:39:06.446]  In the late 90s, I think it came out like in 99.
[00:39:08.589 --> 00:39:22.243]  And at the end of the movie, they go ahead and say, oh yeah, German intelligence actually staged the hijackings with the terrorist and was, there was actually a group in, you know, an intelligence who was working with the group above the people that launched the attack in Munich.
[00:39:24.076 --> 00:39:29.379]  And, you know, they have an hour and a half documentary about the terrorists and all the rest of it.
[00:39:29.839 --> 00:39:35.582]  And then at the end of the movie, the former head of German intelligence laughs and says they basically staged a bunch of it.
[00:39:37.603 --> 00:39:40.325]  I mean, talk about throwing it in our face.
[00:39:40.725 --> 00:39:46.768]  And again, a lot of times they'll go out and hire a terrorist group that goes out and recruits real Muslim terrorists.
[00:39:47.388 --> 00:39:48.269]  That was the case here.
[00:39:49.755 --> 00:39:52.536]  But then security stands down to let them come in and do it.
[00:39:52.777 --> 00:39:53.457]  That's my point.
[00:39:53.557 --> 00:39:59.460]  I'm not saying there aren't some wild-eyed Muslim extremists and crazies from every group out there.
[00:39:59.980 --> 00:40:09.946]  The point is the Western governments, since the end of World War II and even before with the British, have been funding the radical Muslims and using them to overthrow countries.
[00:40:11.126 --> 00:40:17.350]  This new thing NATO's doing, helping overthrow Egypt and putting in Al-Qaeda and Muslim Brotherhood,
[00:40:19.059 --> 00:40:22.701]  This overthrowing Gaddafi who made deals with the West and putting Al-Qaeda in charge.
[00:40:23.462 --> 00:40:28.805]  This having Al-Qaeda backed by US, British and other special forces are now in Damascus.
[00:40:29.690 --> 00:40:32.112]  You know, attacking the presidential parliament and other facilities.
[00:40:32.152 --> 00:40:33.053]  I mean, this is a real war.
[00:40:33.294 --> 00:40:42.863]  There's a giant guerrilla war with Al-Qaeda jihadis in Al-Qaeda uniforms, black uniforms, with the flag of Al-Qaeda, with the patch of Al-Qaeda.
[00:40:43.203 --> 00:40:47.328]  It's on the news, and it's, yeah, we gotta get Assad, we'll work with whoever we have to.
[00:40:47.668 --> 00:40:49.229]  That isn't something new.
[00:40:51.312 --> 00:40:52.553]  That's incredibly old.
[00:40:56.584 --> 00:40:59.486]  The British, I mean Lawrence of Arabia is a true movie.
[00:41:02.489 --> 00:41:04.230]  Lawrence of Arabia is a true story.
[00:41:05.051 --> 00:41:05.591]  It's a true story.
[00:41:06.652 --> 00:41:18.501]  But they have it as if he's a hero going and unifying what was the desert into Saudi Arabia and he goes and makes a deal with the Bedouins and gets weapons to them to go overthrow the other groups.
[00:41:18.742 --> 00:41:21.043]  That's really what happened.
[00:41:21.344 --> 00:41:23.045]  That's the group that funds Al Qaeda.
[00:41:23.085 --> 00:41:24.046]  That's the Wahhabist.
[00:41:25.578 --> 00:41:26.799]  They put them in charge.
[00:41:28.879 --> 00:41:36.202]  From people living in big tents out in the desert to giant sex palaces.
[00:41:39.164 --> 00:41:49.088]  And then 15 of the Patsy hijackers, who were intelligence operatives, it came out they worked for the Saudi government, trained at US military bases, that all came out.
[00:41:50.382 --> 00:41:54.667]  The heads of the bases would come out and say, these guys were trained in my classes, including Muhammad Adam.
[00:41:54.687 --> 00:42:01.376]  Then you see the headline, head of defense language school, colonel being court-martialed for releasing classified information.
[00:42:04.540 --> 00:42:06.201]  We don't know exactly what happened on 9-11.
[00:42:06.301 --> 00:42:08.562]  You know, some say, oh, it was a triple cross.
[00:42:09.022 --> 00:42:13.445]  You know, we thought it was drills for hijacking, but they use it as a real hijacking.
[00:42:13.945 --> 00:42:22.950]  You know, in this movie theater, you got a person or persons with a bunch of high-caliber, you know, semi-auto guns shooting people, and guys tried to stop them and jumped on them and stuff.
[00:42:23.670 --> 00:42:25.672]  But we're to believe people with box cutters.
[00:42:25.692 --> 00:42:26.272]  Let me tell you something.
[00:42:26.592 --> 00:42:28.814]  If I was on an airplane, people say, well, that's today.
[00:42:28.834 --> 00:42:29.154]  No, no, no.
[00:42:29.454 --> 00:42:34.878]  I was on an airplane and four guys got up with box cutters and said, do what we say.
[00:42:34.998 --> 00:42:38.120]  I mean, I'm not the toughest guy around, but let me tell you something.
[00:42:38.200 --> 00:42:39.481]  I live for stuff like this.
[00:42:40.042 --> 00:42:41.943]  OK, I mean, I don't I don't like it.
[00:42:42.063 --> 00:42:51.170]  But once once once the door opens, once someone is violent in my face, I mean, I turn into an absolute vicious goblin like creature.
[00:42:51.830 --> 00:42:56.795]  And most men I know, especially when you become an adult, that's why adults don't get in a lot of fights.
[00:42:56.975 --> 00:43:00.378]  Because it's not like you're a teenager anymore and people go to the hospital.
[00:43:00.538 --> 00:43:02.680]  People end up dying when adults get in fights.
[00:43:04.753 --> 00:43:15.503]  I mean, can you imagine a plane full of a bunch of defense contractors, former and current military, and guys who all weigh about 180 pounds, 160 pounds, some of them 140 pounds, pull out box cutters?
[00:43:15.823 --> 00:43:17.284]  I mean, let me tell you something.
[00:43:17.725 --> 00:43:19.707]  You're about to get hurt real bad.
[00:43:20.007 --> 00:43:24.051]  I can't even get physically excited, physically, until there's a threat.
[00:43:25.069 --> 00:43:26.090]  I know most men are that way.
[00:43:26.611 --> 00:43:29.854]  I mean, the minute somebody pulls, by the way, that's happened to me repeatedly.
[00:43:29.914 --> 00:43:30.635]  I grew up in Dallas.
[00:43:31.096 --> 00:43:32.417]  I've had people pull knives on me.
[00:43:32.477 --> 00:43:33.458]  I've taken them away from them.
[00:43:33.939 --> 00:43:36.041]  I've used their head like a basketball on the ground.
[00:43:36.382 --> 00:43:42.789]  But the point is, and then gone to jail, even though until later, you know, the fact came out that I was attacked.
[00:43:44.835 --> 00:43:45.436]  Sad issue.
[00:43:45.716 --> 00:43:46.818]  All of you know the truth.
[00:43:46.858 --> 00:43:47.839]  Here's the toll-free number.
[00:43:47.859 --> 00:43:47.999]  800-259-9231.
[00:43:48.059 --> 00:43:50.162]  Guys, will you launch the phone system for me?
[00:43:50.182 --> 00:43:50.562]  Thank you.
[00:43:50.582 --> 00:43:51.864]  800-259-9231 is the toll-free number to join us on air today.
[00:43:51.884 --> 00:43:54.287]  I'm just going to take calls for 20, 30, 40 minutes and just try to
[00:44:04.139 --> 00:44:07.881]  Try to regroup here because I've got a whole bunch of video clips and audio clips I want to play.
[00:44:08.202 --> 00:44:10.163]  I've got whole stacks of research and documents.
[00:44:10.523 --> 00:44:19.268]  If you're a radio listener, if you were watching on PrisonPlanet.tv, no exaggeration, I would guess there are 300 plus articles and documents in here in front of me.
[00:44:19.609 --> 00:44:23.651]  And I have looked and read almost all of them just in the last two days, and I want to cover it all.
[00:44:24.692 --> 00:44:26.693]  It is all off the charts crazy.
[00:44:26.713 --> 00:44:26.753]  800-259-9231.
[00:44:32.918 --> 00:44:34.299]  And it makes my head spin.
[00:44:34.359 --> 00:44:35.540]  I just had the article.
[00:44:36.661 --> 00:44:37.141]  Here it is.
[00:44:37.781 --> 00:44:40.203]  This was ABC News and RT.
[00:44:41.244 --> 00:44:49.129]  We reported on this over a year ago because independent journalists and others went into the area at their own risk.
[00:44:49.629 --> 00:44:54.333]  We first saw that they weren't reporting any radiation in and around Fukushima, but in other areas they were.
[00:44:55.496 --> 00:45:03.004]  And it turns out the radiation is many times what they said it was, and eight times what they said it was hitting the West Coast.
[00:45:03.385 --> 00:45:10.893]  And it turned out, of course, giant tuna caught last year, just three months after the event, had high levels of radiation.
[00:45:11.233 --> 00:45:13.896]  And milk and food all over the US has been found with it.
[00:45:14.116 --> 00:45:16.159]  That's actually been in the news, but back of the paper.
[00:45:17.878 --> 00:45:24.961]  Fukushima contractor forced workers to fake radiation readings and to say that there was low radiation when it was actually high.
[00:45:25.001 --> 00:45:42.528]  That's RT, a company charged with decontaminating the devastated Fukushima nuclear power plant, encouraged its workers to falsify lower, falsely lower their radiation dosimeter readings by covering the devices with lead, according to a leaked tape of an internal meeting.
[00:45:42.868 --> 00:45:44.629]  This is all over the Japanese news right now.
[00:45:46.089 --> 00:45:47.750]  We first posted it a couple days ago.
[00:45:47.790 --> 00:45:52.354]  There were commenters on InfoWars.com and normal people saying we'd made it up and it wasn't real.
[00:45:53.095 --> 00:45:54.796]  And again, that's a psych warfare tactic.
[00:45:54.857 --> 00:45:57.118]  We've tracked a lot of their IP addresses, Department of Defense.
[00:45:58.019 --> 00:46:05.886]  They have to at least just say it isn't true up front because then the mind mitigates that and somehow creates denial even though you know it's true.
[00:46:12.372 --> 00:46:13.152]  And so that's all.
[00:46:14.758 --> 00:46:18.501]  Alright, I'm gonna go to your phone calls here because, again, I'm just completely overwhelmed with news.
[00:46:21.643 --> 00:46:23.024]  Suspect arrested in L.A.
[00:46:23.104 --> 00:46:24.465]  homeless stabbings.
[00:46:26.526 --> 00:46:28.067]  You know what the answer is to that, of course.
[00:46:28.147 --> 00:46:30.629]  Banned knives because someone used it to kill people.
[00:46:31.450 --> 00:46:37.334]  And, of course, Piers Morgan, Felipe Calderon,
[00:46:44.275 --> 00:47:04.079]  Bloomberg, ABC News, the usual suspects, Michael Moore, they're all running around saying right now that we have got to restrict our guns because of what this supposed person did.
[00:47:04.439 --> 00:47:12.121]  Everybody's just officially buying the story in the media that they say it's him, that's it, he's the gunman, he's in a jail cell flopping around screaming he's the Joker.
[00:47:13.439 --> 00:47:20.423]  I mean, they could commit a mass shooting and give me a drug that totally fries my brain, where I'm flopping around, and then just say I did it.
[00:47:20.463 --> 00:47:33.409]  I mean, this is the oldest trick in the book, and they describe in Operation Northwoods how to frame patsies for mass shootings at, you guessed it, what they do in Operation Gladio, movie theaters, bus stations, things like that.
[00:47:33.690 --> 00:47:37.311]  And now they're calling for the TSA in the bus stations and all the rest of it.
[00:47:37.752 --> 00:47:38.812]  We told you that was coming.
[00:47:38.852 --> 00:47:39.753]  So what I'm going to do is this.
[00:47:40.828 --> 00:47:43.749]  I'm going to come back, take calls for 30-40 minutes.
[00:47:44.930 --> 00:47:49.672]  Then I'm going to try to do a Focus News Blitz on world news and more.
[00:47:51.352 --> 00:48:04.058]  And when our two guests join us that are experts on false flag terror, and specifically the Oklahoma City Inside Job event, we're going to tie it into this event because the prime suspects, if it's a false flag,
[00:48:08.311 --> 00:48:14.335]  Is the very Justice Department caught running the false flag of Fast and Furious to blame the Second Amendment?
[00:48:14.515 --> 00:48:19.939]  It's the very same crew and I had on researcher and former Marine
[00:48:26.340 --> 00:48:31.663]  Grabbing the DVD here from A Noble Lie, Holland Vanden Neuwenhoff and Chris Emery.
[00:48:32.023 --> 00:48:38.106]  I had them on just a few months ago, so I would suggest they go get the last interviews where we said false flag alert.
[00:48:38.506 --> 00:48:45.129]  I remember discussing with them what type of false flags we expected, and we said shopping malls, grocery stores, movie theaters.
[00:48:45.649 --> 00:48:46.250]  I remember that.
[00:48:46.270 --> 00:48:48.511]  If it wasn't the last interview, it was the one before that.
[00:48:49.775 --> 00:48:54.500]  Because we were all very concerned that they were about to pull one with the UN Treaty and the rest of it.
[00:48:54.920 --> 00:48:56.021]  So, they're experts.
[00:48:56.982 --> 00:49:00.004]  Probably even more so than I am on Oklahoma City because they focus on it full-time.
[00:49:00.024 --> 00:49:02.266]  I mean, I've forgotten so much about it.
[00:49:02.447 --> 00:49:03.347]  There's so much proof.
[00:49:03.387 --> 00:49:04.228]  It's like an ocean of it.
[00:49:04.629 --> 00:49:05.689]  They're going to be joining us.
[00:49:06.390 --> 00:49:16.319]  That's why we kept saying in articles and on the air, this film is important because they're getting ready to stage mass shootings to blame it on the Second Amendment and the Patriot Movement.
[00:49:18.919 --> 00:49:26.301]  We said in the last three or four interviews that that's why they put the film out now was because the very same crew that carried this out is now in the White House.
[00:49:27.241 --> 00:49:29.461]  The people that run Obama ran this.
[00:49:30.441 --> 00:49:36.323]  They even put out... Remember Glenn Beck going on air and saying they're going to stage a new Oklahoma City and blame it on me?
[00:49:36.383 --> 00:49:40.744]  He pointed at himself because in the fundraising memos they mentioned Glenn Beck.
[00:49:41.024 --> 00:49:46.865]  Well on Media Matters they say Alex Jones, Glenn Beck, Rush Limbaugh, Matt Drudge, people like that.
[00:49:49.312 --> 00:49:54.454]  I mean, they think we're so dumb, they say, without a new Oklahoma City or 9-11, Obama will never get re-elected.
[00:49:54.734 --> 00:49:56.015]  Oh my gosh, I just remembered that.
[00:49:56.775 --> 00:49:59.296]  We haven't even had an article about, was this the false flag?
[00:50:00.117 --> 00:50:01.277]  That we kept warning about.
[00:50:01.477 --> 00:50:04.559]  I mean, they say they're going to have a false flag.
[00:50:04.979 --> 00:50:08.520]  Even Glenn Beck has, even Michael Savage comes out and says they may stage one.
[00:50:10.021 --> 00:50:15.564]  And then they have the classic lone nut, you know, available at InfoWarshop.com.
[00:50:17.179 --> 00:50:24.940]  But again, I just start ranting about how they have a history of false flags instead of even pointing out that this is exactly what we predicted they would do.
[00:50:25.620 --> 00:50:27.621]  Wow, that just made my head spin right there.
[00:50:28.721 --> 00:50:30.401]  That just made my head spin right there.
[00:50:31.781 --> 00:50:32.422]  That's another problem.
[00:50:32.442 --> 00:50:41.263]  I'm so busy with management, personnel, hiring people, that it's really got me off balance running this whole place, trying to stay focused on the news and information.
[00:50:41.983 --> 00:50:42.823]  I don't know what I'm going to do.
[00:50:44.364 --> 00:50:45.784]  I don't know what I'm going to do, ladies and gentlemen.
[00:50:48.345 --> 00:50:54.153]  I've got to get back focused on the info because I can't just get up here and say I think it's an inside job.
[00:50:54.814 --> 00:50:57.077]  I've got to give you all the reasons it's an inside job.
[00:50:57.398 --> 00:50:59.901]  I'd be crazy if I didn't look at this as an inside job.
[00:51:01.701 --> 00:51:02.682]  Let me ask you a question.
[00:51:02.922 --> 00:51:04.083]  What does freedom mean to you?
[00:51:04.423 --> 00:51:05.243]  The freedom to choose?
[00:51:05.304 --> 00:51:06.024]  The freedom to vote?
[00:51:06.264 --> 00:51:07.005]  The freedom to worship?
[00:51:07.245 --> 00:51:09.226]  How about the freedom to take control of your own future?
[00:51:09.466 --> 00:51:14.570]  My friends at eFoodsDirect are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:51:14.930 --> 00:51:22.035]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:51:22.335 --> 00:51:25.938]  The Patriot Pack is a 30-day supply of eFoods' quick fix, easy to store food.
[00:51:26.198 --> 00:51:30.842]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:51:31.082 --> 00:51:34.646]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:51:34.886 --> 00:51:40.090]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:51:40.331 --> 00:51:46.276]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[00:51:46.576 --> 00:51:47.717]  Operators are standing by.
[00:51:47.737 --> 00:51:52.021]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:51:52.321 --> 00:51:55.524]  eFoods is so affordable, the more you store and eat, the more you save.
[00:51:55.784 --> 00:52:00.528]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[00:52:01.028 --> 00:52:05.132]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:52:05.792 --> 00:52:07.914]  I want you to know some very important information.
[00:52:08.824 --> 00:52:17.149]  In 1985, President Ronald Reagan requested that Carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:52:17.789 --> 00:52:22.692]  Now, 27 years later, Carnivora capsules are used around the world to keep people healthy.
[00:52:23.323 --> 00:52:34.316]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[00:52:34.716 --> 00:52:41.725]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[00:52:42.385 --> 00:52:46.647]  Call 1-866-VENUSFLY or order from carnivora.com.
[00:52:46.687 --> 00:52:49.868]  That's C-A-R-N-I-V-O-R-A dot com.
[00:52:50.289 --> 00:52:57.232]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[00:52:57.552 --> 00:52:58.532]  Protect your immune system.
[00:52:58.812 --> 00:52:59.853]  It's the only one you've got.
[00:53:00.393 --> 00:53:05.738]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:53:05.858 --> 00:53:10.903]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:53:11.043 --> 00:53:11.884]  Why spend more?
[00:53:12.044 --> 00:53:19.791]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:53:20.071 --> 00:53:20.552]  Yes, only $37.95.
[00:53:20.612 --> 00:53:21.573]  That's 70% less than our competitors.
[00:53:24.215 --> 00:53:27.398]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:53:27.618 --> 00:53:34.104]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:53:34.264 --> 00:53:36.887]  Plus, all orders over $49 ship free.
[00:53:37.087 --> 00:53:40.730]  MyPatriotSupply.com is American owned by patriots like you.
[00:53:40.970 --> 00:53:42.752]  Passionate about freedom and preparedness.
[00:53:42.952 --> 00:53:46.694]  Call now 866-229-0927.
[00:53:46.835 --> 00:53:48.756]  That's 866-229-0927.
[00:53:49.116 --> 00:53:54.840]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:53:54.980 --> 00:53:55.960]  Choose the original.
[00:53:56.081 --> 00:53:59.623]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:54:18.732 --> 00:54:20.573]  Here for now, forever gone.
[00:54:25.755 --> 00:54:27.636]  The seasons don't fear the reaper.
[00:54:28.737 --> 00:54:43.704]  You need to understand, ladies and gentlemen, that we have a criminal government in place who's been caught staging false flags over and over again.
[00:54:43.724 --> 00:54:47.206]  And we would be insane
[00:54:50.091 --> 00:55:16.696]  If we did not investigate government for this, and it just hit me like a ton of bricks last night, that we had had Holland, Vander Neuwenhoff, and Chris Emery on, and others, in the last four months saying we all believed terror attacks were coming, and that from the pre-propaganda we were seeing, that I believed it was going to be mass shootings of shopping malls, grocery stores, and movie theaters.
[00:55:18.223 --> 00:55:19.543]  To bring in the TSA.
[00:55:20.444 --> 00:55:22.945]  And I know I said that over and over and over again.
[00:55:24.585 --> 00:55:28.706]  So radio listeners, if you can dig that out of my last interviews with them, I don't have the crew to do it.
[00:55:29.527 --> 00:55:30.987]  We will then play it on air.
[00:55:33.308 --> 00:55:35.789]  And again, it's not about, oh, we're right, we told you so.
[00:55:36.309 --> 00:55:46.252]  The White House and Obama's advisors have said in the Financial Times of London, in their internal fundraising memos to mega donors, that don't worry,
[00:55:47.878 --> 00:55:51.302]  There's going to be a new Oklahoma City or 9-11 and we're going to blame it on people.
[00:55:51.602 --> 00:55:52.843]  They don't say we're going to do it.
[00:55:53.064 --> 00:55:54.986]  They just say, don't worry, there's going to be one.
[00:55:56.667 --> 00:55:59.931]  Don't worry, the restaurant's going to burn down and we're going to get the insurance money.
[00:56:00.592 --> 00:56:09.882]  Imagine if the owner of a restaurant said, we're bankrupt, but don't worry, everybody that's worked here for years, there's going to be a fire next week, and so we're going to build a new restaurant with that money.
[00:56:11.499 --> 00:56:17.322]  Then if the restaurant burnt down the next week, the fire marshals would be there saying, you have a right to remain silent.
[00:56:17.742 --> 00:56:20.483]  Anything you say can and will be used against you in a court of law.
[00:56:20.904 --> 00:56:25.046]  They'd have the arson dogs in there, finding where they dumped the gasoline.
[00:56:25.306 --> 00:56:26.386]  But no, no, no, no.
[00:56:26.626 --> 00:56:37.832]  All these White House advisors, Robert Shapiro, the big lawyer, all of them say, barring an Oklahoma City or a 9-11, so the president can rally people and be a hero, he's not going to get reelected.
[00:56:40.754 --> 00:56:43.036]  And now he's getting his bump in the polls.
[00:56:43.376 --> 00:56:43.976]  Just watch.
[00:56:44.417 --> 00:56:48.759]  And he's out there grandstanding in Colorado, having his surrogates call to restrict our guns.
[00:56:49.040 --> 00:56:50.981]  And he's like, I don't know if I'm going to call for that.
[00:56:52.022 --> 00:56:52.562]  My U.N.
[00:56:52.642 --> 00:56:54.143]  treaty doesn't restrict your guns.
[00:56:54.683 --> 00:56:58.006]  They're actually, they have the CFR out saying that and Obama today.
[00:56:58.766 --> 00:56:59.667]  Oh, but guess what?
[00:57:00.487 --> 00:57:07.152]  Different TV channels, I've got that in my stack, different TV channels, guess what they're doing?
[00:57:09.108 --> 00:57:16.732]  NBC's Gregory blames Batman massacre on angry political dialogue, says Rush Limbaugh to blame for shootings.
[00:57:18.433 --> 00:57:23.275]  He wrote an article Friday morning, saying how long until they blame somebody like Alex Jones or Rush Limbaugh.
[00:57:24.016 --> 00:57:24.476]  There you go.
[00:57:24.996 --> 00:57:26.897]  Rush Limbaugh, it's your fault.
[00:57:28.118 --> 00:57:30.499]  Poor old Rush hardly even talks about the Second Amendment.
[00:57:31.581 --> 00:57:34.643]  Rush Limbaugh is like milk toast, ladies and gentlemen.
[00:57:35.243 --> 00:57:37.964]  I mean, people say, good, we hate Rush Limbaugh.
[00:57:37.984 --> 00:57:41.686]  So many even conservative libertarian hosts I know behind the scenes are jealous.
[00:57:42.207 --> 00:57:46.189]  Listen, folks, if they can destroy Rush Limbaugh, let me give you a little newsflash.
[00:57:46.749 --> 00:57:50.191]  They take down the biggest person first, and I know you see him as establishment.
[00:57:50.611 --> 00:57:52.252]  Let me tell you, the Obamanoids don't.
[00:57:52.932 --> 00:57:54.573]  They blamed Oklahoma City on him.
[00:57:55.454 --> 00:57:59.036]  And see, oh, I just called Watson during the break, and I'm going to come back and go to your calls, I promise.
[00:57:59.796 --> 00:58:00.877]  He's going to write another article.
[00:58:02.125 --> 00:58:03.606]  Right now, because I'm like, whoa!
[00:58:04.046 --> 00:58:09.069]  Paul, we've got the memos, we've got the statements that they wanted a new Oklahoma City to blame on us.
[00:58:09.670 --> 00:58:11.951]  We've got Glenn Beck saying they're getting ready to stage something.
[00:58:11.991 --> 00:58:13.031]  We've got Michael Savage.
[00:58:13.472 --> 00:58:17.714]  Put all that up there with our clips saying it, and all the articles where we warned about it.
[00:58:18.575 --> 00:58:22.917]  Basically, you know, you'd be crazy to not look at Obama's people, because they did Fast and Furious.
[00:58:22.937 --> 00:58:27.260]  I mean, look, you go after who's been caught doing stuff like this before.
[00:58:29.161 --> 00:58:36.226]  I mean, the current Attorney General in 1995 was up to his eyeballs in Oklahoma City, folks.
[00:58:36.627 --> 00:58:36.847]  Okay?
[00:58:37.087 --> 00:58:38.828]  That's why they're the suspects.
[00:58:43.832 --> 00:58:47.795]  This is GCN, the Genesis Communications Radio Network.
[00:58:51.223 --> 00:58:52.483]  Hi, this is Alex Jones.
[00:58:52.523 --> 00:58:57.865]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:58:58.105 --> 00:59:02.747]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:59:03.127 --> 00:59:03.527]  It's true.
[00:59:03.607 --> 00:59:08.149]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:59:08.689 --> 00:59:13.392]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:59:13.913 --> 00:59:15.854]  They call it a Survival Seed Bank.
[00:59:16.234 --> 00:59:20.837]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:59:21.037 --> 00:59:21.938]  And here's the best part.
[00:59:22.158 --> 00:59:24.920]  These seeds have not been genetically modified in any way.
[00:59:25.220 --> 00:59:28.522]  And you actually get enough seeds to plant a full acre crisis garden.
[00:59:28.842 --> 00:59:31.684]  So visit them today at SurvivalSeedBank.com.
[00:59:32.045 --> 00:59:33.926]  That's SurvivalSeedBank.com.
[00:59:34.266 --> 00:59:35.187]  Or give them a call at 877-327-0365.
[00:59:38.909 --> 00:59:42.531]  That's 877-327-0365.
[00:59:43.051 --> 00:59:47.553]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:59:47.873 --> 00:59:50.334]  This is Alex Jones for SurvivalSeaBank.com.
[00:59:54.076 --> 00:59:55.996]  Waging war on corruption.
[00:59:56.457 --> 00:59:59.218]  Alex Jones on the GCM Radio Network.
[01:00:05.936 --> 01:00:10.097]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.758 --> 01:00:11.558]  You want answers?
[01:00:12.338 --> 01:00:13.238]  Well, so does he.
[01:00:13.898 --> 01:00:17.540]  He's Alex Jones on the GCN Radio Network.
