[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[00:39:44.455 --> 00:39:57.284]  If they want to commit mass genocide, if they want to kill off 5.8 billion people on the planet and bring it down to just 1 billion people, if they want to use children for vaccine experiments and exploit their bodies, they think it's totally fine.
[00:39:57.984 --> 00:40:02.908]  Because they have, they worship a philosophy of the zombie universe.
[00:40:03.008 --> 00:40:07.691]  No free will, no creator, nothing is divine, nothing matters.
[00:40:07.971 --> 00:40:18.298]  In fact, you're not even alive, you have no free will, you have no consciousness, and therefore, if they torture you, if they abuse you, if they kill you, there is no moral consequence to their actions.
[00:40:19.259 --> 00:40:21.580]  You see how dangerous and deadly that is?
[00:40:22.614 --> 00:40:44.688]  So for us, as info warriors, as truth tellers, as people who wish to aspire to the greatness of human civilization, who wish to protect innocent life, who wish to expand the diversity of life and beauty on this planet, and that's what Alex's documentary gets to, Humanity's Greatest Secrets, Their Way of the Universe, and this is what my documentary talks about, The God Within.
[00:40:46.044 --> 00:40:54.751]  If we want to achieve this greatness, we have to first respect the existence of consciousness, that we are conscious beings, that we have free will.
[00:40:55.151 --> 00:40:55.952]  Now stay with me here.
[00:40:55.972 --> 00:40:59.195]  I know this is not run-of-the-mill politics, alright?
[00:40:59.435 --> 00:41:01.757]  This is not current events news.
[00:41:01.777 --> 00:41:04.919]  You're not going to get this on CNN or even Fox News.
[00:41:05.259 --> 00:41:10.884]  This is what is above everything that we are dealing with right here in the battle for freedom and liberty.
[00:41:11.364 --> 00:41:35.251]  When you want to achieve victory over tyrants, you have to first have a philosophical foundation that respects and understands and values the sacredness of life on this planet, and that means you have to respect the fact that we have a creator, that the universe has a creator, that we are conscious beings, and therefore, therefore, we are responsible for our actions.
[00:41:35.891 --> 00:41:36.211]  You see?
[00:41:36.591 --> 00:41:52.175]  You see how the philosophy of the zombie universe, the dead universe, the unconscious universe that's pushed by modern physics, and those scientists who are mostly just atheists, by the way, that philosophy is one of nothing matters, you're not responsible for your actions.
[00:41:52.535 --> 00:41:54.375]  In fact, this is set up for pre-crime.
[00:41:54.815 --> 00:42:05.218]  Because they can say that if they predetermine that you're going to act out in a certain way in the future, they can arrest you today under pre-crime because you can't control your actions because you're a biological robot.
[00:42:05.898 --> 00:42:15.322]  It's also a get-out-of-jail-free card for criminals who do go out and commit murder and rape and theft and scheme and plot and destroy, which is everybody in Washington these days, it seems.
[00:42:15.643 --> 00:42:21.605]  Those people are given a free pass because, again, the scientists say, well, those people aren't responsible for their actions either.
[00:42:21.965 --> 00:42:26.467]  They're just acting out like a giant biochemical neurological pinball machine.
[00:42:26.928 --> 00:42:27.828]  It's cause and effect.
[00:42:28.088 --> 00:42:28.969]  They have no free will.
[00:42:29.009 --> 00:42:29.709]  They have no choice.
[00:42:30.029 --> 00:42:31.470]  They couldn't help themselves.
[00:42:32.210 --> 00:42:39.717]  So when someone goes out and murders and rapes and steals, they can't help themselves, these scientists would argue, because they have no consciousness and they have no free will.
[00:42:40.157 --> 00:42:44.161]  That philosophy, Freds, that is going to lead to the destruction of society.
[00:42:44.201 --> 00:42:50.387]  It is the devolution, the erosion of everything that matters in a society that is supposed to achieve greatness.
[00:42:51.148 --> 00:42:56.372]  And that's why we have to battle this ignorance at every level, including the spiritual level.
[00:42:57.193 --> 00:43:05.956]  So it's not just about, let's stand up for our First and Second Amendment rights and Fourth Amendment rights and so on, even though that element is crucial, it is absolutely important.
[00:43:06.536 --> 00:43:20.401]  We also have to, and Alex Jones totally gets this, he's completely on board, he's aligned with this message, we also have to win the spiritual war so that there is an underlying value for life.
[00:43:20.701 --> 00:43:25.043]  Otherwise, how are we going to protect the next generation if people don't value the future of life on Earth?
[00:43:26.112 --> 00:43:38.995]  How are we going to protect the seed supply if we don't value heirloom seeds and the creation, generation after generation of food provided by the Creator and provided by Mother Nature?
[00:43:39.295 --> 00:43:46.837]  How are we going to continue life on Earth if we don't have a philosophy that even values life and consciousness and creation?
[00:43:47.777 --> 00:43:49.098]  You see why this matters?
[00:43:49.478 --> 00:44:08.831]  So if you look behind every tyrant, every TSA pedophile, every corrupt criminal in Washington, if you look behind them, if you peel away that biology and look at their soul, you're going to find a dark, demonic, destructive, zombie soul that is headed for annihilation.
[00:44:09.651 --> 00:44:13.594]  That is headed for total destruction, because that is what they worship.
[00:44:13.915 --> 00:44:17.217]  And they want to take as many of you with them as they can.
[00:44:17.237 --> 00:44:29.347]  Now, in contrast to that, most of you, and myself and others here, if you look at our souls, we are, in effect, defenders of life, of consciousness.
[00:44:29.748 --> 00:44:30.629]  We are working
[00:44:31.409 --> 00:44:48.400]  Hard, every single day and most nights even, to work in the protection of these ideas of protecting the innocent, seeking justice, telling the truth, allowing the emergence of reality to be acknowledged by everyone out there.
[00:44:48.981 --> 00:45:00.769]  So that there is no more deception, there is no more destruction, that people are free to live their lives with a sense of liberty and with a sense of spiritual connection to that which is divine, which is all around us, everywhere.
[00:45:01.749 --> 00:45:03.450]  That is what we fight for.
[00:45:04.310 --> 00:45:17.795]  So don't ever think that when you listen to the Alex Jones Show, or you read it, don't think it's only about the day-to-day fighting for freedom of speech, fighting for liberty.
[00:45:18.175 --> 00:45:29.879]  That's crucial, but there's also a spiritual element behind it, above it, you might say, that imbues the words of the writers and the speakers with a sense of serving that which is
[00:45:30.379 --> 00:45:36.225]  The future of humanity, which is honoring life, the sacredness of life, honoring the Creator.
[00:45:37.006 --> 00:45:43.913]  And I gotta say, too, every day that you have, I don't mean to get preachy here, it's just that this is just flowing right now, but...
[00:45:45.160 --> 00:45:47.201]  Every day that you have left in your life is a gift.
[00:45:47.522 --> 00:45:50.083]  It's a gift from your Creator.
[00:45:50.464 --> 00:45:55.127]  And that gift is your opportunity to set the record straight for your soul.
[00:45:55.187 --> 00:45:58.649]  I mean, most of us believe that our souls are eternal.
[00:45:58.689 --> 00:46:02.551]  They exist beyond this particular biological existence, right?
[00:46:02.912 --> 00:46:04.693]  I mean, it's written right into Christianity.
[00:46:04.993 --> 00:46:12.818]  For one thing, after life, there's a day of reckoning, there is a judgment, your life is reviewed, and you either go to heaven or hell, depending on what you did.
[00:46:14.594 --> 00:46:19.259]  Even if you don't believe that literally, I believe something like that definitely does happen.
[00:46:19.279 --> 00:46:20.100]  There is a reckoning.
[00:46:20.120 --> 00:46:20.900]  There is judgment.
[00:46:20.960 --> 00:46:22.182]  What you do does matter.
[00:46:23.069 --> 00:46:25.511]  That there is an accounting for your life.
[00:46:25.751 --> 00:46:37.581]  So every day that you have remaining, I beg of you out there, every day of your life you have remaining is an opportunity to set your karmic record, the record of your soul, into the positive realm.
[00:46:37.821 --> 00:46:38.902]  How many people did you help?
[00:46:39.202 --> 00:46:40.483]  How many people did you defend?
[00:46:40.543 --> 00:46:42.304]  How many innocents did you help protect?
[00:46:42.625 --> 00:46:44.506]  Did you mentor a child?
[00:46:44.546 --> 00:46:46.608]  Did you spread awareness and awakening?
[00:46:46.668 --> 00:46:50.071]  Did you go online and help people awaken to the truth?
[00:46:50.771 --> 00:46:56.695]  Did you do those things because all of those increase your positive, almost you could call it a karmic score?
[00:46:56.715 --> 00:47:02.099]  Or, in contrast to that, were you a destructive person?
[00:47:02.559 --> 00:47:03.340]  Did you harm people?
[00:47:03.380 --> 00:47:04.120]  Did you deceive people?
[00:47:04.160 --> 00:47:04.821]  Did you lie?
[00:47:05.341 --> 00:47:07.363]  Consistently and in a harmful way?
[00:47:07.423 --> 00:47:10.305]  Did you kill people who shouldn't have been killed?
[00:47:10.905 --> 00:47:12.145]  You know, were you a destructive person?
[00:47:12.185 --> 00:47:13.806]  That's also written on your karmic record.
[00:47:14.046 --> 00:47:18.167]  And when you face that day of reckoning, that day of judgment, it's gonna be like a balance sheet.
[00:47:18.207 --> 00:47:19.968]  It's like bringing up an Excel spreadsheet.
[00:47:20.408 --> 00:47:22.109]  Oh, here's the balance sheet of your life.
[00:47:22.409 --> 00:47:23.809]  You did all of these positive things.
[00:47:23.829 --> 00:47:25.470]  That's plus one, plus five, plus ten.
[00:47:25.790 --> 00:47:27.190]  Oh, but then you did all these negative things.
[00:47:27.290 --> 00:47:28.070]  Minus seven.
[00:47:28.531 --> 00:47:29.431]  You know, minus twelve.
[00:47:30.211 --> 00:47:34.013]  I mean, everybody's made mistakes, but can you now make up for them?
[00:47:34.313 --> 00:47:44.379]  Can you engage in more good and more positivity than any of the negative mistakes or harm that you might have inadvertently done before you really awakened, before you really realized what was going on?
[00:47:44.719 --> 00:47:46.380]  And did you fight against tyranny?
[00:47:46.780 --> 00:47:51.743]  Did you fight against the domination agenda, the controllers who are trying to suppress?
[00:47:51.763 --> 00:47:52.664]  I mean, think about it.
[00:47:53.104 --> 00:48:00.891]  If free will is granted to us by the Creator, then the Creator wants us to express freedom, wants us to express the divine principles of liberty.
[00:48:01.291 --> 00:48:13.281]  So any force out there that attempts to impinge upon that liberty, that attempts to disconnect us from that which is divine, which is granted by the Creator, those forces are then, by definition, evil.
[00:48:14.269 --> 00:48:23.714]  So when you stand against that, when you exercise free speech, just by standing up for what is right and what is true, you improve the positive score on your balance sheet.
[00:48:23.754 --> 00:48:34.939]  And believe me, that one day when your physical existence is over on this planet and you face that Creator, and you look at your balance sheet, your whole life is going to be reviewed out right in front of you like a giant billboard.
[00:48:34.959 --> 00:48:36.820]  Oh, here's your life, let's watch it over again.
[00:48:36.840 --> 00:48:39.381]  It's like a movie in fast motion.
[00:48:39.401 --> 00:48:40.382]  Let's review what you did.
[00:48:41.420 --> 00:48:44.261]  And God help all those people who work for the TSA today.
[00:48:44.621 --> 00:48:47.922]  God help them because they're going to look at their movie and they're going to be ashamed.
[00:48:47.942 --> 00:48:54.644]  They're going to be ashamed of what they did and who they harmed and they sold their soul for a paycheck?
[00:48:55.464 --> 00:48:56.324]  Are you kidding me?
[00:48:57.724 --> 00:49:03.046]  How cheaply can you compromise your soul?
[00:49:03.586 --> 00:49:05.986]  And so many people are selling out today for a paycheck.
[00:49:06.167 --> 00:49:07.307]  It is absolutely
[00:49:08.610 --> 00:49:09.291]  Unconscionable.
[00:49:09.311 --> 00:49:10.773]  Okay, enough on this.
[00:49:10.913 --> 00:49:11.494]  Enough on this.
[00:49:11.534 --> 00:49:14.898]  I just hope it resonates with you.
[00:49:15.940 --> 00:49:17.322]  I hope you get the seriousness of this.
[00:49:17.662 --> 00:49:19.985]  This is not just an info war, this is a spiritual war.
[00:49:20.993 --> 00:49:42.930]  And if anything, if anything, if you, look, if you think, if you think that the Infowars team is being attacked for telling the truth about Operation Fast and Furious and about spy drones and about all these other things, you just wait until this message of awareness and consciousness and the divine, you just wait until this message really starts getting out because the attacks will be even stronger against
[00:49:43.610 --> 00:49:45.614]  All of us, because they know that this is the key.
[00:49:45.955 --> 00:49:46.957]  This is the key.
[00:49:47.217 --> 00:49:52.127]  If you understand these fundamental philosophical and spiritual principles, you are unstoppable.
[00:49:52.548 --> 00:49:55.313]  Like, for example, did you know your soul is bulletproof?
[00:49:56.445 --> 00:49:57.065]  Did you know that?
[00:49:57.125 --> 00:50:00.106]  I mean, your soul cannot be harmed by bullets.
[00:50:00.607 --> 00:50:05.769]  Only your physical body, which is, you know, a small blip of time on this planet in terms of the greater cosmos.
[00:50:06.069 --> 00:50:09.050]  Your physical body can be harmed, but your soul cannot be harmed.
[00:50:09.090 --> 00:50:22.395]  In fact, if you are, let's say, killed, standing up for what is right and what is just, defending the lives of innocent children, defending the future of life on our planet, defending humanity, if your physical body is killed for that,
[00:50:23.359 --> 00:50:24.300]  You know, so be it!
[00:50:24.340 --> 00:50:31.689]  Your soul actually is redeemed through that action if you had the intention of protecting life and protecting that which is sacred.
[00:50:31.709 --> 00:50:33.651]  So, your soul is bulletproof.
[00:50:33.691 --> 00:50:34.432]  They can't hurt it.
[00:50:34.733 --> 00:50:36.354]  Your soul is radiation-proof.
[00:50:36.595 --> 00:50:39.558]  You know, even the worst accident at Fukushima can't destroy your soul.
[00:50:40.279 --> 00:50:41.459]  And that's the beauty of it all.
[00:50:42.059 --> 00:50:42.499]  It's there.
[00:50:42.559 --> 00:50:43.780]  That's the real you.
[00:50:44.200 --> 00:50:45.080]  It's not this hand.
[00:50:45.120 --> 00:50:46.000]  It's not this arm.
[00:50:46.040 --> 00:50:49.781]  The real you is what you decide to do with your free will, with your heart, with your spirit.
[00:50:50.161 --> 00:50:59.303]  That's what matters and that's why we will be victorious in this fight for freedom and justice for all of us across the cosmos.
[00:50:59.383 --> 00:51:00.243]  It's that big.
[00:51:00.843 --> 00:51:01.143]  All right.
[00:51:03.003 --> 00:51:04.824]  We'll get back to some other topics when we return.
[00:51:04.844 --> 00:51:06.784]  Stay with us right here on the Alex Jones Show.
[00:51:09.090 --> 00:51:10.070]  Let me ask you a question.
[00:51:10.290 --> 00:51:11.471]  What does freedom mean to you?
[00:51:11.491 --> 00:51:12.631]  The freedom to choose?
[00:51:12.691 --> 00:51:13.412]  The freedom to vote?
[00:51:13.632 --> 00:51:14.392]  The freedom to worship?
[00:51:14.632 --> 00:51:16.593]  How about the freedom to take control of your own future?
[00:51:16.833 --> 00:51:21.975]  My friends at eFoodsDirect are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:51:22.295 --> 00:51:29.398]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:51:29.678 --> 00:51:33.299]  The Patriot Pack is a 30 day supply of eFoods quick fix, easy to store food.
[00:51:33.539 --> 00:51:38.203]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:51:38.443 --> 00:51:42.005]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:51:42.225 --> 00:51:47.449]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:51:47.669 --> 00:51:53.634]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[00:51:53.934 --> 00:51:55.075]  Operators are standing by.
[00:51:55.255 --> 00:51:59.380]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:51:59.680 --> 00:52:02.923]  eFoods is so affordable, the more you store and eat, the more you save.
[00:52:03.183 --> 00:52:07.948]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[00:52:08.389 --> 00:52:13.634]  American gardeners and fellow patriots, make the right choice with your money, time and your family food supply.
[00:52:13.814 --> 00:52:18.857]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:52:19.017 --> 00:52:19.838]  Why spend more?
[00:52:19.998 --> 00:52:27.742]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hardy, easy to grow heirloom seeds.
[00:52:28.023 --> 00:52:28.503]  Yes, only $37.95.
[00:52:28.563 --> 00:52:29.543]  That's 70% less than our competitors.
[00:52:32.185 --> 00:52:35.368]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:52:35.588 --> 00:52:42.074]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:52:42.234 --> 00:52:44.857]  Plus, all orders over $49 ship free.
[00:52:45.057 --> 00:52:48.700]  MyPatriotSupply.com is American owned by patriots like you.
[00:52:48.940 --> 00:52:50.722]  Passionate about freedom and preparedness.
[00:52:50.922 --> 00:52:54.645]  Call now, 866-229-0927.
[00:52:54.805 --> 00:52:56.706]  That's 866-229-0927.
[00:52:57.087 --> 00:53:02.811]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:53:02.951 --> 00:53:03.932]  Choose the original.
[00:53:04.052 --> 00:53:07.275]  Choose the survival seed vault at MyPatriotSupply.com.
[00:53:08.228 --> 00:53:13.312]  Do you know which 37 crucial food items are going to fly off the shelves when the next disaster hits?
[00:53:13.612 --> 00:53:19.856]  If you don't, you and your family may be without food and waiting in long food lines after a big disaster strikes!
[00:53:20.017 --> 00:53:23.719]  You would be surprised how many people don't have these food items right now!
[00:53:24.840 --> 00:53:34.267]  123survivalplan.com has set up a for patriots only video with inside information on the 37 food items that will sell out first when the next disaster strikes.
[00:53:34.507 --> 00:53:36.889]  The video on 123survivalplan.com
[00:53:37.469 --> 00:53:43.372]  Has crucial information you and your family need to prepare for any disaster, natural or man-made.
[00:53:43.712 --> 00:53:48.415]  And you won't have to be afraid of going hungry or being sent to a FEMA refugee camp.
[00:53:48.595 --> 00:53:53.737]  See the video that over one million other smart patriots have already seen in the last four months.
[00:53:53.997 --> 00:53:54.918]  Prepare now.
[00:53:55.258 --> 00:54:00.841]  Go to 123survivalplan.com and learn which 37 food items you should hoard.
[00:54:01.121 --> 00:54:01.921]  Easy to remember.
[00:54:02.962 --> 00:54:04.323]  123survivalplan.com.
[00:54:04.523 --> 00:54:04.843]  Again,
[00:54:05.183 --> 00:54:06.907]  That's 123survivalplan.com!
[00:54:22.401 --> 00:54:23.962]  Yeah, welcome back to the Alex Jones Show.
[00:54:23.982 --> 00:54:26.465]  I was just getting texted during the break.
[00:54:26.485 --> 00:54:30.368]  Yeah, a lot of people really liked that segment that we just did.
[00:54:30.388 --> 00:54:33.231]  I hope it resonated with you because it really is.
[00:54:33.291 --> 00:54:36.413]  There's a spiritual war going on here.
[00:54:36.654 --> 00:54:37.835]  There is a destructive force.
[00:54:37.875 --> 00:54:41.097]  There is a demonic, evil force on this planet.
[00:54:41.798 --> 00:54:44.379]  That we've got to defeat if we hope to have any future whatsoever.
[00:54:44.439 --> 00:54:46.900]  So, get out to InfoWars.com.
[00:54:47.380 --> 00:54:51.162]  Watch that documentary, Humanity's Greatest Secret Stairway to the Universe.
[00:54:51.222 --> 00:54:53.102]  That is a massive eye-opener.
[00:54:53.202 --> 00:54:57.484]  I strongly endorse the message of that documentary.
[00:54:57.504 --> 00:55:01.506]  And if you want to watch my take on it, I just released another documentary four days ago.
[00:55:01.906 --> 00:55:03.667]  That's at DivinityNow.com.
[00:55:04.867 --> 00:55:15.960]  Which is a site that is about spirituality, it's about the existence of a creator, it is about consciousness, it is about exploring reality, and no doctrine, nothing for sale there.
[00:55:15.980 --> 00:55:21.967]  It's just, this is, you know, we're fighting for the future of survival of humanity.
[00:55:22.007 --> 00:55:24.149]  So, I know you're part of that.
[00:55:24.690 --> 00:55:25.130]  Join in.
[00:55:25.370 --> 00:55:25.611]  Alright.
[00:55:27.011 --> 00:55:27.992]  This is heavy stuff.
[00:55:28.552 --> 00:55:33.316]  If you really understand what we're dealing with here, you can't help but be moved by it.
[00:55:38.300 --> 00:55:41.082]  We do have the trace mineral salt lick on the desk here.
[00:55:41.102 --> 00:55:43.404]  I'm going to talk about that coming up in the next segment.
[00:55:44.225 --> 00:55:46.406]  Before that, a couple of lists that are really important.
[00:55:46.446 --> 00:55:48.128]  I want to run by you here in this segment.
[00:55:49.088 --> 00:55:51.630]  Remember the recent power grid failures in D.C.
[00:55:51.751 --> 00:55:52.931]  and the eastern seaboard?
[00:55:53.772 --> 00:55:57.719]  No, some very important things to learn about this in terms of preparedness.
[00:55:58.740 --> 00:56:05.632]  And there are a lot of InfoWars sponsors that offer preparedness items and I really encourage you to check those out because they can be truly life-saving.
[00:56:05.692 --> 00:56:06.734]  But, check it out!
[00:56:08.880 --> 00:56:11.102]  9-1-1 failed in many areas.
[00:56:11.642 --> 00:56:12.523]  Cell phones failed.
[00:56:12.563 --> 00:56:13.723]  They're a fragile technology.
[00:56:13.964 --> 00:56:15.665]  The internet went down in many areas.
[00:56:15.765 --> 00:56:18.246]  Netflix, Pinterest, and Instagram were all down.
[00:56:18.907 --> 00:56:21.228]  The Amazon cloud that powers them went down.
[00:56:21.828 --> 00:56:25.190]  Most people have no clue what to do in an emergency.
[00:56:25.831 --> 00:56:30.574]  They were not prepared and therefore they worsen any crisis because they become a burden on the system.
[00:56:30.834 --> 00:56:34.296]  This is a story that I believe this was on Natural News.
[00:56:34.376 --> 00:56:35.757]  It may have been posted on InfoWars as well.
[00:56:37.058 --> 00:56:43.690]  A national grid down situation would be far more complex to repair than the localized grid down that we saw in the eastern seaboard.
[00:56:44.030 --> 00:56:49.200]  And also, modern cities are built on systems that have little or no redundancy.
[00:56:50.353 --> 00:56:52.394]  Think about the things you rely on if you live in a city.
[00:56:52.414 --> 00:57:01.637]  You rely on the water supply, you rely on the power, the natural gas, emergency services to keep the order, you know, just to keep the criminals from mugging everybody on the street.
[00:57:02.817 --> 00:57:10.800]  Modern cities do not have redundancy in all of those systems, which means a cascading failure can kick in and be very, very deadly very quickly.
[00:57:11.480 --> 00:57:14.284]  So, um, and Mother Nature will humble humanity.
[00:57:14.324 --> 00:57:15.025]  That's another message.
[00:57:15.045 --> 00:57:17.568]  Now, similar to this, here's another List article.
[00:57:17.608 --> 00:57:22.155]  This is on InfoWars.com from Michael Snyder at the economic collapse.
[00:57:22.435 --> 00:57:28.363]  25 signs the collapse of America is speeding up as society rots from the inside out.
[00:57:29.224 --> 00:57:39.110]  And again, if you think about why is society rotting from the inside out, if you look at the underlying philosophy that we talked about in the last segment, it's because the scientific dictatorship believes you're a dead zombie.
[00:57:39.671 --> 00:57:44.474]  Literally, they think you have no mind, you have no will, you have no soul.
[00:57:44.494 --> 00:57:45.974]  They literally believe that.
[00:57:46.014 --> 00:57:48.036]  Anyway, points from this story.
[00:57:49.286 --> 00:57:53.754]  Homicides in Chicago are 38% ahead of where they were a year ago.
[00:57:55.197 --> 00:58:00.847]  Roaming gangs of youths are causing havoc along the Magnificent Mile in Chicago.
[00:58:02.014 --> 00:58:08.078]  A lifeguard in Florida was fired for attempting to save a man that was drowning outside his patrol zone.
[00:58:08.838 --> 00:58:11.200]  Oh, how dare you leave your patrol zone and try to save a life?
[00:58:11.220 --> 00:58:12.040]  See, this is it.
[00:58:12.320 --> 00:58:13.481]  They don't value life.
[00:58:13.621 --> 00:58:14.082]  You get it?
[00:58:14.222 --> 00:58:14.622]  You get it?
[00:58:14.682 --> 00:58:16.343]  That's why they can euthanize people.
[00:58:16.403 --> 00:58:17.344]  Time Magazine.
[00:58:17.664 --> 00:58:18.684]  How to Die.
[00:58:19.405 --> 00:58:20.325]  Kill Granny.
[00:58:20.345 --> 00:58:22.467]  This is why they don't value life.
[00:58:24.431 --> 00:58:31.058]  Thieves are stealing identities and filing fraudulent tax returns to get large refunds that are not owed to them.
[00:58:31.078 --> 00:58:34.862]  The Secret Service, well you know all about the Secret Service and all their scandals.
[00:58:35.843 --> 00:58:44.592]  Everything is going down in flames and we've got to get to a fundamental philosophy of valuing life and creation if we're going to save this.
[00:58:44.972 --> 00:58:47.055]  So stay with us, a lot straight ahead on the Alex Jones Show.
[00:58:51.380 --> 00:58:55.351]  This is GCN, the Genesis Communications Radio Network.
[00:58:58.527 --> 00:59:03.790]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:59:04.030 --> 00:59:06.232]  Start purifying your water with ProPure.
[00:59:06.452 --> 00:59:15.377]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:59:15.537 --> 00:59:18.719]  Its filters are silver impregnated to prevent bacterial growth.
[00:59:18.999 --> 00:59:20.440]  There's no priming required.
[00:59:20.680 --> 00:59:22.721]  It's NSF 42 certified.
[00:59:22.941 --> 00:59:25.423]  Optional fluoride filters can reduce fluoride up to 95%
[00:59:26.503 --> 00:59:27.843]  Easy to set up and use.
[00:59:28.043 --> 00:59:29.324]  Doesn't require electricity.
[00:59:29.464 --> 00:59:32.305]  Purify water from lakes, streams, ponds, and wells.
[00:59:32.625 --> 00:59:35.785]  This filter system leaves in beneficial minerals, which is key.
[00:59:36.006 --> 00:59:39.987]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:59:40.147 --> 00:59:42.727]  ProPure is the best gravity-fed filter out there.
[00:59:42.867 --> 00:59:44.188]  It's what my family uses.
[00:59:44.448 --> 00:59:47.649]  Infowars.com already has the lowest price on ProPure.
[00:59:47.769 --> 00:59:53.010]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:59:53.550 --> 00:59:54.912]  You can also call to order 888-253-3139.
[00:59:54.932 --> 00:59:55.533]  Waging war on corruption.
[00:59:55.613 --> 00:59:57.296]  Alex Jones on the GCM Radio Network.
[01:00:13.274 --> 01:00:17.438]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:18.098 --> 01:00:18.899]  You want answers?
[01:00:19.700 --> 01:00:20.601]  Well, so does he.
[01:00:21.241 --> 01:00:24.924]  He's Alex Jones on the GCN Radio Network.
[01:00:25.425 --> 01:00:29.489]  And now, live from Austin, Texas, Alex Jones.
[01:00:31.792 --> 01:00:37.957]  We have entered the second hour of truth-telling here at InfoWars at the studios in Austin, Texas.
[01:00:38.017 --> 01:00:44.443]  Mike Adams filling in here for Alex, who I hope is listening today.
[01:00:45.123 --> 01:00:49.086]  He hasn't texted me anything yet, so he must be happy with the show.
[01:00:49.527 --> 01:00:53.790]  Now, we've got a couple more news items to cover here in this short segment.
[01:00:54.871 --> 01:00:56.272]  But first I want to start off with this one.
[01:00:56.292 --> 01:00:57.012]  Check this out.
[01:00:58.032 --> 01:01:01.453]  NASA has released some new pictures of Mars.
[01:01:02.134 --> 01:01:03.494]  And Fox News is reporting this.
[01:01:03.554 --> 01:01:04.494]  Big picture on Mars.
[01:01:04.514 --> 01:01:07.035]  NASA rover snaps stunning view of red planet.
[01:01:07.875 --> 01:01:08.656]  You know what's fascinating?
[01:01:08.676 --> 01:01:10.136]  I don't know if you saw these pictures.
[01:01:10.216 --> 01:01:11.797]  They were all over the internet yesterday.
[01:01:11.817 --> 01:01:12.657]  I took a look at them.
[01:01:13.737 --> 01:01:14.998]  Something's different about these pictures.
[01:01:15.038 --> 01:01:15.758]  Did you notice it?
[01:01:16.558 --> 01:01:23.201]  They have stopped doing the red-shifting photoshopping of the Martian sky and the Martian landscape.
[01:01:25.722 --> 01:01:29.568]  Those of you who know what I'm talking about, you're probably laughing right now because you're like, yeah, that's exactly right.
[01:01:29.608 --> 01:01:31.492]  They stopped making it look red.
[01:01:32.173 --> 01:01:34.036]  The new pictures don't show a red sky.
[01:01:34.697 --> 01:01:37.923]  They show a landscape that looks a lot like Wyoming.
[01:01:38.925 --> 01:01:51.430]  I mean, seriously, if you look at the pictures of Mars from the 1970s and the 1980s and the 1990s, they were all essentially photoshopped or red-shifted by NASA before they released them.
[01:01:51.450 --> 01:01:56.973]  They were all shown to be really, really red, like it's a really red sky and it's really red soil.
[01:01:57.373 --> 01:01:58.053]  Okay, here we go.
[01:01:58.073 --> 01:02:01.054]  Some pictures coming up right now for those watching on PrisonPlanet.tv.
[01:02:02.540 --> 01:02:07.243]  The atmosphere in these pictures, it's kind of a purplish-gray.
[01:02:07.923 --> 01:02:13.146]  The mountains in the distance look like, you know, the Smoky Mountains in the U.S.
[01:02:13.286 --> 01:02:13.726]  almost.
[01:02:14.887 --> 01:02:16.788]  This is a change.
[01:02:17.008 --> 01:02:17.969]  It's a powerful change.
[01:02:18.089 --> 01:02:19.950]  No one in the press is talking about this.
[01:02:21.517 --> 01:02:36.212]  And for those of you who have looked at the history of NASA, you know that NASA has been very, very reluctant to really tell the truth about signs of bacterial life on Mars and things like that, evidence of water on Mars or water on the moon, all these kinds of things.
[01:02:36.472 --> 01:02:39.134]  So this now, with these pictures coming out, this is a shift.
[01:02:39.909 --> 01:02:47.412]  They've taken away the red sky and the red soil and now they're showing it as a regular landscape that could be from any other planet.
[01:02:47.432 --> 01:02:49.273]  It could be from planet Earth.
[01:02:52.134 --> 01:02:55.156]  And what I think about it, this part is just conjecture, but I think
[01:02:56.056 --> 01:03:01.061]  I think that they are prepping the public to announce some kind of discovery of life on Mars.
[01:03:01.081 --> 01:03:02.803]  I mean, microbial life.
[01:03:02.823 --> 01:03:04.644]  I'm not talking about little green men running around.
