[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[00:23:14.552 --> 00:23:15.713]  So that is coming up.
[00:23:15.713 --> 00:23:17.655]  I will cover this also.
[00:23:20.691 --> 00:23:24.494]  A lot of mainstream news picking up InfoWars using it as a news source.
[00:23:24.494 --> 00:23:25.554]  We're really breaking through.
[00:23:25.554 --> 00:23:27.616]  Agenda 21, is the U.S.
[00:23:27.616 --> 00:23:29.117]  on the verge of takeover?
[00:23:29.117 --> 00:23:30.317]  That's Business Insider.
[00:23:30.317 --> 00:23:35.761]  They favorably linked our reports and say they've looked at our research and it looks pretty darn accurate.
[00:23:35.761 --> 00:23:36.982]  You bet it is.
[00:23:36.982 --> 00:23:41.065]  See, they can't just laugh at us anymore and go, oh, none of that exists.
[00:23:41.065 --> 00:23:44.927]  And here's The Examiner, Obama impeachment bill gaining steam.
[00:23:44.927 --> 00:23:48.590]  And it breaks down our interview with Walter Jones last week and now Ron Paul has endorsed it.
[00:23:49.501 --> 00:23:56.907]  Very, very exciting on the Obama impeachment bill gaining steam by the folks over at the Examiner.
[00:23:56.907 --> 00:23:58.448]  So good job there.
[00:23:58.448 --> 00:24:05.193]  And I'll be covering that in more detail coming up in the last 30 minutes of the show today.
[00:24:05.193 --> 00:24:07.535]  I meant to get to this now, but I'm running out of time here.
[00:24:07.535 --> 00:24:10.557]  So I'm just going to cover a smattering of other news now.
[00:24:10.557 --> 00:24:16.162]  And then the last 30 minutes, I'll also get to really what's on my heart and mind, what I want to cover that's most important.
[00:24:17.759 --> 00:24:23.921]  And that's normalcy bias and how it ties into Stockholm Syndrome and learned helplessness.
[00:24:23.921 --> 00:24:34.463]  And those are three different observed psychological, mass, cultural, but also individual manifestations that you need to understand.
[00:24:34.463 --> 00:24:36.684]  They also tie into cognitive dissonance.
[00:24:36.684 --> 00:24:41.085]  Guys, will you print me a definition of cognitive dissonance so I don't forget to cover that?
[00:24:41.085 --> 00:24:43.866]  Because all of these are seen as different phenomenon
[00:24:45.069 --> 00:24:46.509]  But they're not.
[00:24:46.509 --> 00:24:48.050]  It's all part of denial.
[00:24:48.050 --> 00:24:54.272]  All part of being sheep-like.
[00:24:54.272 --> 00:24:59.753]  And it leads to a very dark place.
[00:24:59.753 --> 00:25:05.395]  Good, in essence, wants to build up and have more light and empowerment and creativity.
[00:25:05.395 --> 00:25:11.157]  Evil seeks to dominate, destroy, humiliate.
[00:25:12.603 --> 00:25:22.231]  And evil manifest a population with a heavy normalcy bias, a mass Stockholm syndrome system, a huge learned helplessness.
[00:25:22.231 --> 00:25:24.133]  So I will cover that and I'll tie it into...
[00:25:25.913 --> 00:25:29.394]  There's a bunch of the, I mean, the scary part is every couple of days I see these articles now.
[00:25:29.394 --> 00:25:30.875]  It's so prolific.
[00:25:30.875 --> 00:25:33.596]  You know, a couple of days ago I was covering this scandal.
[00:25:33.596 --> 00:25:35.696]  It's in the Daily Mail, also Associated Press.
[00:25:35.696 --> 00:25:41.358]  Thousands of pills filled with powdered human baby flesh discovered by customs officials in South Korea coming out of China.
[00:25:41.358 --> 00:25:45.340]  Of course, that's because they're small-time operators shipping in 17,000 pills.
[00:25:45.340 --> 00:25:46.560]  Big U.S.
[00:25:46.560 --> 00:25:50.342]  and French have been caught, companies.
[00:25:50.342 --> 00:25:51.902]  It's in a lot of the cosmetics now.
[00:25:51.902 --> 00:25:54.183]  It's in the high-end collagen women inject their lips with.
[00:25:56.783 --> 00:26:01.704]  It's not a good idea, it can carry viruses and things, plus it dehumanizes, but oh, so what?
[00:26:01.704 --> 00:26:07.465]  See, when you don't care about the humanity of a baby, well suddenly you don't have any humanity, nobody cares about you.
[00:26:07.465 --> 00:26:21.268]  See, this worldy idea of care about yourself, you know, me, me, me, me, me, like that's some type of attribute, and like you're getting ahead of people, that's like not peeing in the pool, that's like pooping in the pool.
[00:26:21.268 --> 00:26:24.429]  It's like if everybody went and pooped in the pool, sorry to use that analogy, it'd be very horrible.
[00:26:25.177 --> 00:26:31.442]  See, people develop morals for cultures and societies because they want their children to have a future.
[00:26:31.442 --> 00:26:39.609]  The world and the Madison Avenue shells being trendy and evil and into darkness as if it's sexy and powerful.
[00:26:39.609 --> 00:26:42.352]  Well, I've been around the block and I've experienced evil.
[00:26:42.352 --> 00:26:43.533]  Let me tell you, there's nothing good about it.
[00:26:44.457 --> 00:26:51.842]  The winners at the level of below ultra elite, the ultra elite are all about deception, backstabbing, but not with each other.
[00:26:51.842 --> 00:26:53.323]  It's about for everybody else.
[00:26:53.323 --> 00:27:06.293]  But in successful business and life, if you're known as being honorable, if you're known as your word meaning something, if you're known as delivering the goods, delivering the goods,
[00:27:07.952 --> 00:27:10.174]  Then you are loved.
[00:27:10.174 --> 00:27:14.357]  And in a world of betrayal, let me tell you, you're like a life raft.
[00:27:14.357 --> 00:27:22.863]  So all you yuppies out there think it's so cool to be mindless and to be disreputable and to be backstabbing and fake, you have no future.
[00:27:22.863 --> 00:27:30.768]  I mean, you think you're getting ahead at a little low level, bottom feeder level?
[00:27:30.768 --> 00:27:37.493]  You're like worms eating a dead fish on the bottom of the sea, while those of us that are into liberty and freedom are like eagles up in the sky.
[00:27:39.213 --> 00:27:58.843]  I'll continue here with the parables, but I see articles like this all the time, and I remember 10 years ago we were writing articles about China selling political dissidents organs, and the State Department came out and attacked us and others and said it didn't exist.
[00:27:58.843 --> 00:28:07.908]  Well, China admits they have ads where they advertise political dissidents organs, and the fact that Falun Gong are healthy and don't drink and don't, you know, have sex with people they're not married to and all this stuff.
[00:28:08.993 --> 00:28:13.216]  But every few days now, I see articles like this one today, London Independent.
[00:28:13.216 --> 00:28:14.818]  And again, it's the normalcy bias.
[00:28:14.818 --> 00:28:20.042]  Bill Gates came out last year, you just type in Bill Gates, endorses death panels, you'll see him in two different speeches.
[00:28:20.042 --> 00:28:22.484]  And he says, yeah, you kill grandma, you can hire ten teachers.
[00:28:22.484 --> 00:28:26.467]  And the teachers clap in one of the speeches.
[00:28:26.467 --> 00:28:27.728]  See, the normalcy bias.
[00:28:27.728 --> 00:28:32.072]  After they got government health care, now the death panels are going in where they say, yeah, we're not going to let you have that procedure.
[00:28:32.072 --> 00:28:32.832]  England already has it.
[00:28:35.905 --> 00:28:39.047]  They had Newsweek come out and say, Case for Killing Granny.
[00:28:39.047 --> 00:28:45.870]  Here it is, Britain arrested in Thailand after being found with six roasted human fetuses to be sold to Westerners.
[00:28:45.870 --> 00:28:51.773]  They were wrapped in gold leaf to be eaten as part of black magic rituals for rich Westerners.
[00:28:51.773 --> 00:28:52.153]  That's right.
[00:28:52.153 --> 00:28:58.196]  See, there's nothing cooler for a nouveau riche yuppie than to eat some baby parts.
[00:28:58.196 --> 00:28:58.676]  Satanism.
[00:29:00.845 --> 00:29:07.508]  When you're out on the road, the last place you want to be is on the road.
[00:29:07.508 --> 00:29:12.650]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:29:12.650 --> 00:29:21.374]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:29:21.374 --> 00:29:25.436]  They sew pride in every stitch.
[00:29:25.436 --> 00:29:27.757]  Guarantee you'll love the way they fit.
[00:29:39.524 --> 00:29:41.665]  We turned jeans inside out.
[00:29:41.665 --> 00:29:43.465]  Diamond Gusset Jeans.
[00:29:43.465 --> 00:29:46.346]  Made in the USA with unparalleled quality.
[00:29:46.346 --> 00:29:50.587]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:29:50.587 --> 00:29:52.968]  So you can ride all day with confidence.
[00:29:52.968 --> 00:29:55.669]  Order yours at gusset.com.
[00:29:55.669 --> 00:29:57.249]  Diamond Gusset Jeans.
[00:29:57.249 --> 00:29:58.030]  Got it.
[00:29:58.030 --> 00:29:58.910]  Others don't.
[00:30:00.046 --> 00:30:05.549]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:30:05.549 --> 00:30:07.950]  Start purifying your water with ProPure.
[00:30:07.950 --> 00:30:17.055]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:30:17.055 --> 00:30:20.496]  Its filters are silver impregnated to prevent bacterial growth.
[00:30:20.496 --> 00:30:22.177]  There's no priming required.
[00:30:22.177 --> 00:30:24.458]  It's NSF 42 certified.
[00:30:24.458 --> 00:30:26.959]  Optional fluoride filters can reduce fluoride up to 95%.
[00:30:28.080 --> 00:30:29.561]  Easy to set up and use.
[00:30:29.561 --> 00:30:30.981]  Doesn't require electricity.
[00:30:30.981 --> 00:30:34.142]  Purify water from lakes, streams, ponds, and wells.
[00:30:34.142 --> 00:30:37.524]  This filter system leaves in beneficial minerals, which is key.
[00:30:37.524 --> 00:30:41.666]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:30:41.666 --> 00:30:44.407]  ProPure is the best gravity-fed filter out there.
[00:30:44.407 --> 00:30:45.967]  It's what my family uses.
[00:30:45.967 --> 00:30:49.289]  Infowars.com already has the lowest price on ProPure.
[00:30:49.289 --> 00:30:54.531]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:30:55.111 --> 00:30:58.713]  You can also call to order 888-253-3139.
[00:30:58.713 --> 00:31:04.335]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:31:04.335 --> 00:31:08.658]  Number one, new climate legislation could easily double or triple your electric bill.
[00:31:08.658 --> 00:31:14.420]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:31:14.420 --> 00:31:15.161]  It's true.
[00:31:15.161 --> 00:31:19.703]  Total government control of electricity in the name of smart grid technology is coming.
[00:31:20.023 --> 00:31:20.844]  Number 3.
[00:31:20.844 --> 00:31:24.427]  In some areas of the country, the power grid is dangerously overloaded.
[00:31:24.427 --> 00:31:28.351]  And now, new socialist legislation is only compounding the problem.
[00:31:28.351 --> 00:31:29.152]  Number 4.
[00:31:29.152 --> 00:31:31.915]  Dangerous weather is always a threat to local grids.
[00:31:31.915 --> 00:31:35.258]  Every year, thousands of families lose their power from weather-related outages.
[00:31:35.578 --> 00:31:40.520]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:31:40.520 --> 00:31:45.561]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:31:45.561 --> 00:31:49.743]  You can get more information at www.mysolarbackup.com.
[00:31:49.743 --> 00:31:51.523]  That's mysolarbackup.com.
[00:31:51.523 --> 00:31:56.125]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[00:32:01.716 --> 00:32:09.841]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:32:09.841 --> 00:32:13.903]  Alex and his staff have used these pure soap products for years.
[00:32:13.903 --> 00:32:21.207]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:32:21.207 --> 00:32:24.029]  See them on the web at 5starsoap.com.
[00:32:24.229 --> 00:32:29.072]  Or call 800-340-7091 for a free catalog.
[00:32:29.072 --> 00:32:35.016]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:32:35.016 --> 00:32:40.420]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:32:40.420 --> 00:32:42.401]  This is an amazing deal.
[00:32:42.401 --> 00:32:47.645]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:32:47.645 --> 00:32:50.787]  See them on the web at 5starsoap.com or call
[00:32:50.947 --> 00:33:01.397]  800-340-7091 for a free catalog.
[00:33:01.397 --> 00:33:02.919]  Coast to Coast.
[00:33:02.919 --> 00:33:04.981]  Direct from Austin.
[00:33:04.981 --> 00:33:08.184]  You're listening to the Alex Jones Broadcasting Network.
[00:33:16.687 --> 00:33:22.149]  Everybody knows the president was born in Kenya.
[00:33:22.149 --> 00:33:25.711]  Everybody knows he takes his orders from the U.N.
[00:33:25.711 --> 00:33:28.012]  and Chicago mob.
[00:33:28.012 --> 00:33:36.535]  Everybody knows he wants our guns and shipped the others into Mexico.
[00:33:36.535 --> 00:33:39.837]  Everybody knows the big banks launder the drug money.
[00:33:40.977 --> 00:33:45.401]  Everybody knows the rich people eat fetus pills.
[00:33:45.401 --> 00:33:48.763]  But that's how it goes.
[00:33:48.763 --> 00:33:52.566]  Cause everybody knows.
[00:33:52.566 --> 00:33:54.587]  Everybody knows the fight was fixed.
[00:33:59.491 --> 00:33:59.851]  Really?
[00:33:59.851 --> 00:34:01.872]  I thought Don King fights aren't rigged.
[00:34:01.872 --> 00:34:04.053]  I heard that was a conspiracy theory.
[00:34:04.053 --> 00:34:07.155]  Showy got arrested for murder and was a mobster.
[00:34:07.155 --> 00:34:09.756]  I don't believe any of the Don King fights are fixed.
[00:34:09.756 --> 00:34:10.737]  You people are weird.
[00:34:10.737 --> 00:34:13.759]  You should not question anybody or have any discernment.
[00:34:13.759 --> 00:34:18.481]  You should go to the worst part of town and walk down alleys at night with big wads of cash in your pockets.
[00:34:18.481 --> 00:34:22.243]  Yeah, yeah.
[00:34:22.243 --> 00:34:23.804]  Oh, their free house?
[00:34:23.804 --> 00:34:25.225]  Remember all the Obama supporters?
[00:34:25.225 --> 00:34:27.566]  I'm gonna get a free house, Mr. President.
[00:34:28.627 --> 00:34:31.428]  I'm going to get a free car, Mr. President.
[00:34:31.428 --> 00:34:35.788]  And he'd say, yes, you're going to get it.
[00:34:35.788 --> 00:34:41.069]  Oh, you wanted your free box of chocolates and you didn't get it.
[00:34:41.069 --> 00:34:47.430]  All right, with us for the rest of this hour, a little bit of the next, and then Dr. of course he's going to be joining us is Dr. Webster Griffin-Tarpley.
[00:34:47.430 --> 00:34:49.771]  But I got to hit one thing before we go to Webster.
[00:34:49.771 --> 00:34:55.652]  With the incontrovertible, overwhelming, over the top, in quadruplicate, on top of quadruplicate,
[00:34:56.618 --> 00:34:57.541]  That's only eight.
[00:34:57.541 --> 00:34:57.782]  Eight.
[00:34:57.782 --> 00:34:59.909]  There's like hundreds of pieces of evidence he was born in Kenya.
[00:34:59.909 --> 00:35:02.016]  And they're using that to blackmail Obama.
[00:35:02.016 --> 00:35:02.919]  Before we get to that...
[00:35:04.096 --> 00:35:06.838]  And the latest revelations here, and analyze it.
[00:35:06.838 --> 00:35:11.221]  I didn't spend enough time Friday covering it, so here on the Sunday Show we are.
[00:35:11.221 --> 00:35:13.223]  I thought I'd cover the Washington Times.
[00:35:13.223 --> 00:35:18.586]  House GOP leaders order Holder to cooperate on gun running probe.
[00:35:18.586 --> 00:35:26.332]  Well, number one, we've played the press conferences two years ago where Holder admitted he was running Operation Gun Runner.
[00:35:26.332 --> 00:35:30.315]  He just didn't tell people they were shipping guns into Mexico to blame the Second Amendment.
[00:35:31.479 --> 00:35:34.980]  So then he got caught in testimony last year lying.
[00:35:34.980 --> 00:35:36.640]  He's since been caught.
[00:35:36.640 --> 00:35:42.021]  So has that creature, Janet Napolitano.
[00:35:42.021 --> 00:35:42.502]  All of them.
[00:35:42.502 --> 00:35:52.164]  I've done newscasts over and over again, nightly news, here on the radio as well, showing you the video clips dated from C-SPAN.
[00:35:52.164 --> 00:35:55.064]  But the mainstream media is too lazy or too dumb.
[00:35:55.064 --> 00:35:57.265]  Fox News won't go back and show the perjury.
[00:35:59.246 --> 00:36:02.229]  The point is, if the system wants to destroy Obama, they can.
[00:36:02.229 --> 00:36:03.610]  Mitt Romney's a fall guy.
[00:36:03.610 --> 00:36:05.472]  He's taken a fall.
[00:36:05.472 --> 00:36:13.420]  He won't go after Obama on launching wars without congressional approval, saying the UN's his boss, shipping guns in.
[00:36:13.420 --> 00:36:16.403]  He won't go after him for the energy deals.
[00:36:16.403 --> 00:36:18.745]  And a lot of conservatives are noticing that.
[00:36:18.745 --> 00:36:20.366]  And again, people are like, what, are you a Republican?
[00:36:20.366 --> 00:36:20.507]  No.
[00:36:22.266 --> 00:36:23.207]  That's my point.
[00:36:23.207 --> 00:36:27.748]  It shows Romney is bought and paid for that he won't go after Obama.
[00:36:27.748 --> 00:36:41.553]  But the reason I raise Fast and Furious, where again, they've been caught shipping hand grenades and 20,000 plus guns down to Mexico to blame the Second Amendment, is I got here an hour and a half before showtime, and we've got three TVs on.
[00:36:41.553 --> 00:36:46.695]  One in here, in the control room, one in the break room, and one out in the video editing conference room.
[00:36:46.695 --> 00:36:48.356]  They're always on, 24 hours a day.
[00:36:49.036 --> 00:36:51.038]  We've got people here pretty much 24 hours a day.
[00:36:51.038 --> 00:36:56.103]  And we've got Fox on one, CNN on another, and MSNBC on another, or CNBC.
[00:36:56.103 --> 00:37:00.307]  Well, I was flipping through the channels, because my son's up here today, and he wanted to watch some TV.
[00:37:00.307 --> 00:37:04.350]  I rarely let him, but I wanted to put it on National Geographic or something.
[00:37:04.350 --> 00:37:07.473]  And I went on Al Gore's channel that's in basic cable.
[00:37:08.254 --> 00:37:09.515]  And basic satellite.
[00:37:09.515 --> 00:37:10.495]  And it shouldn't be, by the way.
[00:37:10.495 --> 00:37:12.956]  It doesn't even have 100,000 viewers an hour.
[00:37:12.956 --> 00:37:13.936]  It's not supposed to be in there.
[00:37:13.936 --> 00:37:15.237]  There's a big controversy.
[00:37:15.237 --> 00:37:17.658]  And there is this thing nobody watches.
[00:37:17.658 --> 00:37:25.681]  And so now, I've been here for over two hours, and it's still demonizing the Second Amendment and saying guns are causing violence in Mexico.
[00:37:26.241 --> 00:37:26.622]  No.
[00:37:26.622 --> 00:37:31.987]  Drug prohibition and the fact that there is no Second Amendment in Mexico is causing that.
[00:37:31.987 --> 00:37:38.173]  And the White House shipping 20,000 plus guns and hand grenades in so they could trace them back and blame the Second Amendment.
[00:37:38.173 --> 00:37:39.374]  That is.
[00:37:39.374 --> 00:37:49.844]  And in hours of going back there during each break to see what they're up to, they never mention Fast and Furious.
[00:37:49.844 --> 00:37:50.425]  It's incredible.
[00:37:51.368 --> 00:37:52.249]  It's incredible.
[00:37:52.249 --> 00:37:53.411]  All right, enough from me.
[00:37:53.411 --> 00:37:55.814]  We're here to get an update from Dr. Webster Tarpley.
[00:37:55.814 --> 00:37:58.919]  He's written two books on Obama, including the unauthorized biography.
[00:37:58.919 --> 00:38:06.549]  I have to say, everything he wrote before Obama even got in office, as Obama was elected, he was president-elect, his first book came out.
[00:38:07.518 --> 00:38:16.480]  And he also wrote George Bush, the author of his biography in 92, that's amazingly accurate, and is the blueprint for many subsequent biographies.
[00:38:16.480 --> 00:38:18.481]  He's a fluent Italian, German, French, Latin.
[00:38:18.481 --> 00:38:19.541]  He's a doctor of history.
[00:38:19.541 --> 00:38:21.982]  He's also an economist, top of his class.
[00:38:21.982 --> 00:38:22.922]  I won't go through it all.
[00:38:22.922 --> 00:38:24.422]  He has a PhD in history.
[00:38:24.422 --> 00:38:26.763]  We're just going to stop right there.
[00:38:26.763 --> 00:38:30.724]  He's a Phi Beta Kappa Fulbright scholar.
[00:38:32.406 --> 00:38:33.909]  University of Turin, Italy.
[00:38:33.909 --> 00:38:35.772]  The point is, Webster Tarpley joins us.
[00:38:35.772 --> 00:38:39.358]  He was the first to really skewer Obama.
[00:38:39.358 --> 00:38:43.785]  But I gotta be honest, I was telling him, you know, back in 07, I'm like, born in Kenya?
[00:38:43.785 --> 00:38:44.466]  Come on, Tarpley.
[00:38:45.600 --> 00:38:48.142]  And he said, yes, they want to get him in to blackmail him.
[00:38:48.142 --> 00:38:49.663]  He's going to be worse than Bush.
[00:38:49.663 --> 00:38:57.350]  So he made the Obama deception that was made while he was president-elect, released a month after he was in office, been seen over 40 million times online.
[00:38:57.350 --> 00:39:01.353]  It's free, the Obama deception, or buy the DVD at Infowars.com.
[00:39:01.353 --> 00:39:05.537]  And the point is that it is so incredibly accurate.
[00:39:05.537 --> 00:39:09.620]  Get that film out to everybody and explain to them it's three and a half years old.
[00:39:09.620 --> 00:39:12.603]  It'll blow them away because everything in it has come true.
[00:39:12.603 --> 00:39:13.984]  People think it was made yesterday.
[00:39:15.097 --> 00:39:19.519]  The full blueprint, and Tarpley's one of the main experts who helped me make the film, and he's in the film.
[00:39:19.519 --> 00:39:23.720]  Now, that said, why are we going back into the providence of the birth certificate and all this?
[00:39:23.720 --> 00:39:37.025]  Because now we learn his literary agent, the one he still uses for 16 years, 9 months, has put out over 100 publications, including Harvard Law Review, you name it, saying he was born in Kenya.
[00:39:37.025 --> 00:39:38.706]  And all of his other records are sealed.
[00:39:39.306 --> 00:39:40.467]  Folks, he was born in Kenya.
[00:39:40.467 --> 00:39:42.950]  We've got the fake birth certificates.
[00:39:42.950 --> 00:39:45.432]  People getting arrested trying to go to Kenya.
[00:39:45.432 --> 00:39:50.518]  The White House admitting in investigations that it's been cut out of the birth filings in Kenya.
[00:39:50.518 --> 00:39:51.979]  That means it was there.
[00:39:51.979 --> 00:39:53.060]  His mother's CIA.
[00:39:53.060 --> 00:39:54.542]  Grandma's CIA.
[00:39:54.542 --> 00:39:55.163]  So the point is...
[00:39:56.454 --> 00:40:03.676]  All they've got is the fake thing in the newspaper saying he was born in Hawaii, which you would do so you can later claim that fraudulently.
[00:40:03.676 --> 00:40:05.556]  The point is, we got him.
[00:40:05.556 --> 00:40:07.157]  And they're trying to spin this.
[00:40:07.157 --> 00:40:08.857]  Dr. Tarpley, thank you for joining us.
[00:40:08.857 --> 00:40:10.037]  We've got a break in about three minutes.
[00:40:10.037 --> 00:40:11.598]  We'll have you for two more segments.
[00:40:11.598 --> 00:40:15.699]  But why is this so important, and what do you make of the new info?
[00:40:15.699 --> 00:40:17.199]  Then we'll come back and get into it in detail.
[00:40:18.359 --> 00:40:28.202]  Well, I think we're still in a situation where the preference of the ruling class for president in 2012 is not clear.
[00:40:28.202 --> 00:40:30.723]  I would not dismiss Romney at all.
[00:40:30.723 --> 00:40:35.384]  I think Romney is a formidable candidate for
[00:40:36.124 --> 00:40:53.431]  Some of the worst segments of the ruling class, but since you want to start with Obama, this indeed is what I've gone through in Obama the Postmodern Coup, published in the spring of 2008, and then Barack H. Obama the Unauthorized Biography in particular, which is from about August
[00:40:54.331 --> 00:41:01.115]  Well, I just remember in 07, you must have had articles out breaking all that was in the book, basically.
[00:41:01.115 --> 00:41:03.776]  I remember you... Well, starting actually January 08.
[00:41:03.776 --> 00:41:09.900]  Starting between the Ohio caucus and New Hampshire when it hit me what this was.
[00:41:09.900 --> 00:41:12.962]  So, the situation is more or less what you've said.
[00:41:12.962 --> 00:41:18.625]  That we've got this literary agent who points to the fact that Obama was born in Kenya.
[00:41:18.625 --> 00:41:20.986]  His father a Kenyan finance minister.
[00:41:20.986 --> 00:41:22.607]  I think that's a little bit exaggerated.
[00:41:23.639 --> 00:41:34.384]  And then you've got, I believe, the Secretary of State of Arizona, who wants to require the authorities in Hawaii to deliver a birth certificate.
[00:41:34.384 --> 00:41:39.566]  I think the long and the short of that is simply, you want to see the original birth certificate, right?
[00:41:39.566 --> 00:41:51.992]  Last year, last April, Obama, responding to all this pressure, after Obama had claimed that there was no such thing as a long-form birth certificate, he finally produced such a long-form
[00:41:52.732 --> 00:41:53.393]  We're good to go.
[00:42:11.756 --> 00:42:19.728]  And, as you're pointing out, he's a dyed-in-the-wool CIA Foundation agent, CIA, OSS family.
[00:42:19.728 --> 00:42:23.835]  Of course, his entire career is working for these foundations.
[00:42:23.835 --> 00:42:27.320]  That's right, this confirms he is a British citizen born in Kenya at that time.
[00:42:28.154 --> 00:42:37.577]  Yes, and that's all fine, but now let's also have a political judgment of all of this, which is, I think, the way in which the decision is actually made.
[00:42:37.577 --> 00:42:41.438]  All right, stay there, and let's not forget, folks, everything you're hearing you can look up and document.
[00:42:41.438 --> 00:42:50.801]  Abercrombie, the governor of the state of Hawaii, said two months before Obama released the long form that he said didn't exist, said, we've looked, it's not there, to a reporter.
[00:42:50.801 --> 00:42:53.082]  That was in the Honolulu Advertiser.
[00:42:53.082 --> 00:42:54.922]  I mean, they made this thing up.
[00:42:54.922 --> 00:42:55.803]  He's not who he says he is.
[00:43:00.424 --> 00:43:04.790]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:43:04.790 --> 00:43:08.835]  As a listener, you know why you need to have a supply of the best durable food on the planet.
[00:43:08.835 --> 00:43:12.860]  Every day, we document the attempts to take control of our lives.
[00:43:12.860 --> 00:43:15.063]  But there's one thing we can all control.
[00:43:15.063 --> 00:43:16.584]  Your greatest dependency.
[00:43:16.584 --> 00:43:16.905]  Food.
[00:43:17.305 --> 00:43:24.828]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:43:24.828 --> 00:43:27.368]  This food is nutrient-dense and tastes great.
[00:43:27.368 --> 00:43:31.310]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:43:31.310 --> 00:43:34.891]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:43:35.211 --> 00:43:37.813]  And the new products and pricing will blow you away.
[00:43:37.813 --> 00:43:42.656]  Compared to other food sources including home-cooked meals, you can cut your food cost in half.
[00:43:42.656 --> 00:43:44.637]  You just can't afford to ignore this.
[00:43:44.637 --> 00:43:50.281]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:43:50.281 --> 00:43:51.822]  Don't let this offer pass you by.
[00:43:51.822 --> 00:43:53.863]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:43:53.863 --> 00:43:55.124]  More the best for less guaranteed.
[00:44:00.163 --> 00:44:05.687]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:44:05.687 --> 00:44:08.109]  Start purifying your water with ProPure.
[00:44:08.109 --> 00:44:17.195]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:44:17.195 --> 00:44:20.658]  Its filters are silver and pregnant to prevent bacterial growth.
[00:44:20.658 --> 00:44:22.339]  There's no priming required.
[00:44:22.339 --> 00:44:24.601]  It's NSF-42 certified.
[00:44:24.601 --> 00:44:27.122]  Optional fluoride filters can reduce fluoride up to 95%.
[00:44:28.163 --> 00:44:29.704]  Easy to set up and use.
[00:44:29.704 --> 00:44:31.125]  Doesn't require electricity.
[00:44:31.125 --> 00:44:34.288]  Purify water from lakes, streams, ponds, and wells.
[00:44:34.288 --> 00:44:37.671]  This filter system leaves in beneficial minerals, which is key.
[00:44:37.671 --> 00:44:39.572]  Save money by not buying bottled water.
[00:44:39.572 --> 00:44:41.814]  And avoid BPA that leaches from the plastic.
[00:44:41.814 --> 00:44:44.556]  ProPure is the best gravity-fed filter out there.
[00:44:44.556 --> 00:44:46.118]  It's what my family uses.
[00:44:46.118 --> 00:44:49.440]  Infowars.com already has the lowest price on ProPure.
[00:44:49.440 --> 00:44:54.685]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:44:55.265 --> 00:45:02.010]  You can also call to order 888-253-3139.
[00:45:02.010 --> 00:45:10.135]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:45:10.135 --> 00:45:14.198]  Alex and his staff have used these pure soap products for years.
[00:45:14.198 --> 00:45:21.503]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:45:21.503 --> 00:45:23.985]  See them on the web at 5starsoap.com.
[00:45:24.525 --> 00:45:29.348]  Or call 800-340-7091 for a free catalog.
[00:45:29.348 --> 00:45:35.291]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:45:35.291 --> 00:45:40.714]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:45:40.714 --> 00:45:42.695]  This is an amazing deal.
[00:45:42.695 --> 00:45:47.918]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:45:47.918 --> 00:45:51.080]  See them on the web at 5starsoap.com or call
