[00:00:00.049 --> 00:00:00.650]  We've got it!
[00:24:40.575 --> 00:24:41.956]  As if they're telling me something.
[00:24:42.557 --> 00:24:50.142]  The point is, the system is run by megabanks on record that planned all of this and engineered it through derivatives.
[00:24:50.423 --> 00:24:52.044]  I've done hundreds of broadcasts on it.
[00:24:52.744 --> 00:24:54.726]  I made Fall of the Republic documenting it.
[00:24:55.734 --> 00:24:56.615]  Yes, I know that.
[00:24:58.035 --> 00:24:58.916]  That's the whole point.
[00:24:59.156 --> 00:25:00.697]  The troops themselves aren't bad.
[00:25:00.857 --> 00:25:03.519]  There's another group that say, I'm criticizing the military.
[00:25:04.759 --> 00:25:06.501]  That's like saying I'm criticizing a gun.
[00:25:07.041 --> 00:25:12.464]  A gun is an inanimate object that you control, that the government controls.
[00:25:12.724 --> 00:25:17.847]  The military is supposed to follow orders, basically making themselves inanimate objects.
[00:25:18.348 --> 00:25:20.129]  So again, it's not about the military.
[00:25:20.349 --> 00:25:25.012]  See, even in America today, we're so brainwashed to even get to the issue.
[00:25:25.796 --> 00:25:32.159]  You have to go through all this stuff of first, oh, it isn't true, and then, well, they need to do this because America's collapsing.
[00:25:33.019 --> 00:25:42.424]  Instead of, it was engineered to do this so the system could play the part of the savior while consolidating and converting us from a free republic to a tyranny.
[00:25:43.485 --> 00:25:44.185]  You see what I'm saying?
[00:25:46.201 --> 00:26:04.051]  And in our article at InfoWars.com, we have scores of links to the Army Times, to the Council on Foreign Relations, to open videos of Army troops and National Guard doing crowd control with batons in Connecticut two weeks ago.
[00:26:05.211 --> 00:26:08.213]  Just at a mainline parade and getting in people's faces.
[00:26:09.383 --> 00:26:16.151]  The point is, is that the Rand Corporation, the CFR, the federal government, the top general in the U.S.
[00:26:16.231 --> 00:26:24.100]  Army, it's quoted in our article with links to him saying it, that they're going to put 4,000 plus troops, a brigade,
[00:26:25.268 --> 00:26:26.609]  In every U.S.
[00:26:26.689 --> 00:26:29.192]  major city, for the American people.
[00:26:29.812 --> 00:26:36.419]  And I'm talking about not with batons, folks, with Abrams tanks, with Bradley fighting vehicles, with Warrior APCs.
[00:26:37.360 --> 00:26:47.049]  I've had the military people on, who've sent us photos and come on, where they're putting caches of armored vehicles strategically all over the country for us.
[00:26:48.151 --> 00:26:56.716]  And then I have the Army admitting it's for us, and I have the big banks admitting they planned this with the end of Glass-Steagall in 1999.
[00:26:57.116 --> 00:26:57.496]  All of it.
[00:26:58.117 --> 00:26:58.997]  This is a big deal.
[00:26:59.277 --> 00:27:04.340]  Because even if you love troops on the streets and think it's cool, the question is, why do they want it?
[00:27:04.600 --> 00:27:08.102]  Because they're going to implode this country by design to re-engineer it and re-educate it.
[00:27:10.404 --> 00:27:13.486]  So you should be asking yourself, why are they getting all the troops ready?
[00:27:14.106 --> 00:27:15.847]  Instead, it's just like, what's wrong with troops?
[00:27:15.867 --> 00:27:17.088]  I ain't done nothing wrong!
[00:27:18.126 --> 00:27:20.507]  A lot of people didn't do anything wrong in Nazi Germany.
[00:27:20.547 --> 00:27:21.468]  How'd that end up for them?
[00:27:21.808 --> 00:27:23.289]  A lot of folks didn't do anything wrong in Cuba.
[00:27:23.309 --> 00:27:28.131]  A lot of folks, a thousand years ago, Central Mexico didn't do anything wrong.
[00:27:28.551 --> 00:27:35.054]  But the Aztecs would, you know, march 500 miles to a little village and grab every man, woman, child and haul them back and cut their hearts out.
[00:27:36.735 --> 00:27:38.176]  Chinese didn't do anything wrong.
[00:27:38.396 --> 00:27:40.397]  Mao Zedong killed over 60 million of them.
[00:27:44.019 --> 00:27:45.800]  Chinese history say 80 plus mil.
[00:27:47.461 --> 00:27:47.642]  U.S.
[00:27:47.662 --> 00:27:47.902]  Government.
[00:27:47.922 --> 00:27:48.644]  State Department says 64 mil.
[00:27:48.664 --> 00:27:48.925]  Whatever.
[00:27:48.945 --> 00:27:50.529]  64, 84 mil, whatever.
[00:27:50.670 --> 00:27:51.291]  The point is that
[00:27:56.221 --> 00:27:58.002]  Government is always the number one threat.
[00:27:58.122 --> 00:28:01.364]  University of Hawaii's done studies, others have.
[00:28:01.404 --> 00:28:04.526]  It's called Demosite.
[00:28:04.546 --> 00:28:08.449]  262 million deaths in the last century alone from what?
[00:28:09.229 --> 00:28:09.770]  Governments.
[00:28:10.090 --> 00:28:11.271]  And that's non-military.
[00:28:11.311 --> 00:28:18.615]  That's not soldiers or combatants or civilians killed in Dresden fire bombings or bombing of London or Hiroshima and Nagasaki.
[00:28:18.996 --> 00:28:20.436]  Governments killed
[00:28:22.090 --> 00:28:25.854]  260 plus million people.
[00:28:26.735 --> 00:28:28.356]  That was the United States population in 1975.
[00:28:33.792 --> 00:28:35.152]  In 100 years.
[00:28:36.113 --> 00:28:37.553]  So, see, I'm a weirdo.
[00:28:37.793 --> 00:28:38.313]  I'll admit it.
[00:28:38.734 --> 00:28:42.875]  I'm like George Washington in that I worry about the real number one threat in history.
[00:28:43.515 --> 00:28:44.875]  I actually am an American.
[00:28:45.275 --> 00:28:46.516]  I actually like the founders.
[00:28:46.776 --> 00:28:49.197]  I think they were really cool and knew what they were doing.
[00:28:49.937 --> 00:28:51.917]  I want that instead of the UN.
[00:28:53.158 --> 00:28:53.978]  Wait till you hear this.
[00:28:54.018 --> 00:29:00.220]  They say, end all national sovereignty BBC reports, but first the report about tanks for you and your family straight ahead.
[00:29:02.381 --> 00:29:07.643]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:29:07.883 --> 00:29:10.084]  Start purifying your water with ProPure.
[00:29:10.304 --> 00:29:19.247]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:29:19.407 --> 00:29:22.588]  Its filters are silver impregnated to prevent bacterial growth.
[00:29:22.848 --> 00:29:24.269]  There's no priming required.
[00:29:24.529 --> 00:29:26.569]  It's NSF 42 certified.
[00:29:26.809 --> 00:29:29.290]  Optional fluoride filters can reduce fluoride up to 95%.
[00:29:29.370 --> 00:29:30.611]  Easy to set up and use.
[00:29:31.451 --> 00:29:31.671]  I think?
[00:29:59.046 --> 00:30:08.231]  888-253-3139 When you're out on the road, the last place you want to be is on the road.
[00:30:09.432 --> 00:30:14.215]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:30:14.595 --> 00:30:21.378]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:30:23.320 --> 00:30:25.321]  They sew pride in every stitch.
[00:30:27.383 --> 00:30:29.618]  Guarantee you love the way they fit.
[00:30:31.667 --> 00:30:35.670]  They put a diamond gusset in the crotch, where you need it most.
[00:30:36.390 --> 00:30:39.493]  Blue diamond gussets, got it.
[00:30:40.233 --> 00:30:41.034]  Others don't.
[00:30:41.474 --> 00:30:43.355]  We turn jeans inside out.
[00:30:43.615 --> 00:30:45.097]  Diamond gusset jeans.
[00:30:45.397 --> 00:30:47.959]  Made in the USA with unparalleled quality.
[00:30:48.279 --> 00:30:54.543]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:30:54.903 --> 00:30:57.125]  Order yours at gusset.com.
[00:30:57.605 --> 00:30:59.647]  Diamond gusset jeans, got it.
[00:30:59.987 --> 00:31:00.487]  Others don't.
[00:31:04.156 --> 00:31:11.843]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:31:12.263 --> 00:31:15.887]  Alex and his staff have used these pure soap products for years.
[00:31:16.347 --> 00:31:23.173]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:31:23.653 --> 00:31:26.136]  See them on the web at 5starsoap.com.
[00:31:26.676 --> 00:31:31.157]  Or call 800-340-7091 for a free catalog.
[00:31:31.497 --> 00:31:37.159]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:31:37.439 --> 00:31:42.541]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:31:42.841 --> 00:31:44.461]  This is an amazing deal.
[00:31:44.821 --> 00:31:49.383]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:31:50.043 --> 00:31:57.707]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:32:01.730 --> 00:32:05.892]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:32:06.112 --> 00:32:09.814]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:32:10.134 --> 00:32:13.816]  Every day, we document the attempts to take control of our lives.
[00:32:14.177 --> 00:32:18.219]  But there's one thing we can all control, your greatest dependency, food.
[00:32:18.619 --> 00:32:25.969]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:32:26.149 --> 00:32:28.453]  This food is nutrient-dense and tastes great.
[00:32:28.693 --> 00:32:32.318]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:32:32.638 --> 00:32:36.223]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:32:36.503 --> 00:32:38.904]  And the new products and pricing will blow you away.
[00:32:39.104 --> 00:32:43.705]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:32:43.966 --> 00:32:45.626]  You just can't afford to ignore this.
[00:32:45.946 --> 00:32:51.348]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:32:51.588 --> 00:32:52.928]  Don't let this offer pass you by.
[00:32:53.109 --> 00:32:55.129]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:32:55.169 --> 00:32:56.410]  More the best, for less guaranteed.
[00:33:03.211 --> 00:33:10.013]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:33:37.550 --> 00:33:41.972]  Welcome back, ladies and gentlemen, on this Sunday Worldwide Transmission.
[00:33:41.992 --> 00:33:43.392]  We're going to be opening the phones up.
[00:33:43.773 --> 00:33:45.413]  I'll give the number out in the next segment.
[00:33:45.433 --> 00:33:49.195]  We'll take a ton of calls in the second hour today.
[00:33:50.035 --> 00:33:53.597]  Getting back into the article, don't be alarmed.
[00:33:53.757 --> 00:33:56.898]  Army trains MPs to drive tanks on US streets.
[00:33:58.456 --> 00:34:02.319]  Today, the public doesn't know why it's bad to have the military involved.
[00:34:02.780 --> 00:34:07.204]  I mean, as a child, I knew going to third world countries, this is what a horrible third world country is.
[00:34:07.604 --> 00:34:11.448]  There's troops bugging their eyes out at everybody with machine guns on the street corners.
[00:34:11.508 --> 00:34:15.772]  It's what comes with bondage and poverty and no due process.
[00:34:16.973 --> 00:34:19.135]  But now, it's what keeps us safe.
[00:34:19.315 --> 00:34:20.556]  Oh, and it's not for Al Qaeda.
[00:34:20.936 --> 00:34:22.618]  It's for libertarians, conservatives.
[00:34:23.880 --> 00:34:28.421]  Rural people, they're setting up the Rural Council, run by the Department of Defense.
[00:34:29.161 --> 00:34:33.403]  And the Army has come out and said, yes, we want to call in airstrikes on citizens.
[00:34:34.043 --> 00:34:40.965]  And they're using Predator drones, Associated Press and Reuters report, to arrest, quote, cattle thieves in North Dakota.
[00:34:41.565 --> 00:34:46.686]  So the whole military system that Eisenhower warned us about...
[00:34:52.366 --> 00:34:54.287]  We're just playing some audio clips there in the background.
[00:34:54.307 --> 00:34:54.887]  Sorry about that.
[00:34:55.167 --> 00:34:55.507]  Okay.
[00:34:56.608 --> 00:34:58.508]  Getting back into what I was saying.
[00:34:58.548 --> 00:34:58.988]  It's alright.
[00:34:59.048 --> 00:34:59.449]  It's alright.
[00:35:00.449 --> 00:35:02.750]  Getting back into what I was focusing on here.
[00:35:05.191 --> 00:35:13.073]  It is in plain view that the Pentagon says that they are basically taking America over.
[00:35:13.794 --> 00:35:19.836]  And our money is being used against us that President Eisenhower warned us about
[00:35:21.770 --> 00:35:27.391]  In 1961, when he left office, and his full quote wasn't just, beware the military-industrial complex.
[00:35:28.832 --> 00:35:37.394]  He said the elite technocrats, he said technocratic, technological elite, would take over and they would control the military.
[00:35:38.054 --> 00:35:43.295]  And that's what DARPA is, that's what Google and the NSA, it's the same thing, are.
[00:35:44.895 --> 00:35:47.436]  It's special interests taking over the society.
[00:35:48.570 --> 00:35:49.753]  It's a technocracy.
[00:35:49.773 --> 00:35:54.562]  If you read The Economist or any of these publications, you're like, oh, we're run by technocrats now.
[00:35:54.923 --> 00:35:56.025]  Aren't we glad they're there?
[00:35:56.065 --> 00:35:56.987]  They care about us.
[00:35:57.428 --> 00:35:57.869]  No, they don't.
[00:35:57.889 --> 00:35:58.611]  They're authoritarian.
[00:36:01.653 --> 00:36:02.754]  So here is the report.
[00:36:02.854 --> 00:36:03.754]  Don't be alarmed.
[00:36:03.934 --> 00:36:07.336]  Army trains MPs to drive tanks on US streets.
[00:36:07.536 --> 00:36:09.577]  Sightings of vehicles provoke fears of martial law.
[00:36:10.277 --> 00:36:15.600]  Folks, they have thousands of drills all over the country to acclimate the public to military occupation.
[00:36:16.241 --> 00:36:17.621]  It's admitted in the New York Times.
[00:36:17.641 --> 00:36:22.224]  They train with Boy Scouts to go door-to-door and report on what guns their parents own.
[00:36:22.804 --> 00:36:26.566]  And they put it in the New York Times with a straight face.
[00:36:33.473 --> 00:36:34.574]  I mean, that's Hitlerjugend.
[00:36:34.754 --> 00:36:37.457]  And then I get emails saying, don't criticize the Boy Scouts.
[00:36:37.737 --> 00:36:39.499]  I'm not criticizing the Boy Scouts.
[00:36:39.799 --> 00:36:40.860]  I was in the Boy Scouts.
[00:36:41.240 --> 00:36:45.744]  You shouldn't turn the Boy Scouts into a paramilitary spy arm.
[00:36:47.105 --> 00:36:47.586]  Don't believe me?
[00:36:47.626 --> 00:36:50.569]  Just type in, Girl Scouts help fight terror and more.
[00:36:50.909 --> 00:36:52.791]  Boy Scouts help fight terror and more.
[00:36:54.369 --> 00:37:04.262]  And you'll get the New York Times, you name it, showing them this group of Explorer Scouts, average age 14, practice taking on a disgruntled veteran who wouldn't turn in his firearms.
[00:37:04.608 --> 00:37:05.628]  I mean, go read it!
[00:37:05.868 --> 00:37:07.089]  It's got photos of it!
[00:37:08.109 --> 00:37:13.571]  I got footage of this at urban warfare drills in the late 90s and people couldn't believe it.
[00:37:14.311 --> 00:37:19.933]  They had the Boy Scouts in Texas and Maryland and other places, and this had never been in the news.
[00:37:19.953 --> 00:37:23.554]  We're like, why are all these Boy Scouts with the troops in this drill in the town?
[00:37:24.194 --> 00:37:28.376]  And then we talked to their parents, they're like, well yeah, they asked if the Scouts could help them, but we don't like it.
[00:37:28.656 --> 00:37:32.217]  They came in the house and were creating a list of our firearms.
[00:37:35.128 --> 00:37:37.870]  I mean, this is like body snatchers or something.
[00:37:37.910 --> 00:37:42.514]  It's like an invasion from Mars, but it's not Martians, it's our own people.
[00:37:43.334 --> 00:37:45.556]  And it's happened over and over and over again.
[00:37:45.576 --> 00:37:51.821]  And you can't get the average American out there to even understand this.
[00:37:51.841 --> 00:37:53.182]  They're like, well, what's wrong with trips?
[00:37:53.322 --> 00:37:54.183]  Or, well, we need them.
[00:37:54.223 --> 00:37:55.083]  Things are collapsing.
[00:37:57.094 --> 00:37:57.994]  Oh, that's not true.
[00:37:58.334 --> 00:37:59.074]  And then the article.
[00:37:59.134 --> 00:38:02.235]  People even comment, and again, they're the minority, but that's who I'm concerned about.
[00:38:02.675 --> 00:38:05.056]  Because they represent, I would say, the majority out there.
[00:38:08.836 --> 00:38:17.818]  They go on to, you know, quote here with links to the Army Times saying they're putting troops on the streets.
[00:38:18.278 --> 00:38:19.599]  Brigade Homeland was the headline.
[00:38:20.319 --> 00:38:21.759]  The Washington Post admitting it.
[00:38:23.159 --> 00:38:25.160]  And then links to the
[00:38:26.738 --> 00:38:35.522]  Head of the Army, in an article in the May-June issue of Foreign Affairs, put out by CFR, a mouthpiece for the Influential Council on Foreign Relations, Chief of Staff of the U.S.
[00:38:35.642 --> 00:38:46.488]  Army, General Raymond T. O'Donero, advocates the Army be transferred to a more flexible force by developing in situations normally reserved for domestic law enforcement officials.
[00:38:46.828 --> 00:38:51.270]  He argues that by doing so, troops will be better equipped to deal with conflict elsewhere.
[00:38:52.646 --> 00:38:58.191]  Oh yes, because there'll be police every day and then it goes on to talk about brigades in every city.
[00:38:59.292 --> 00:39:00.954]  And that's all this is.
[00:39:01.834 --> 00:39:06.078]  And it is the opposite of what happens in our free republic.
[00:39:07.780 --> 00:39:09.942]  And I can open the phones up.
[00:39:11.510 --> 00:39:23.315]  I mean, I remember that Army Times article, it was also on Stars and Stripes, where they said, yeah, we're going to be out with the jaws of life at car wrecks and things for PR purposes, but we're also training to pull triggers here in the U.S.
[00:39:26.536 --> 00:39:27.837]  Pull triggers.
[00:39:30.031 --> 00:39:31.872]  Like at Waco, or at Ruby Ridge.
[00:39:32.733 --> 00:39:37.657]  And if America is so stupid that it doesn't know... I know every Hollywood movie shows troops on the streets.
[00:39:38.297 --> 00:39:42.641]  I mean, I know it's fashionable to think of Jack Bauer, but he's not going to be torturing Al-Qaeda.
[00:39:43.081 --> 00:39:45.923]  Al-Qaeda's being shipped in again by NATO to take over countries.
[00:39:46.444 --> 00:39:47.765]  They're going to be tearing your teeth out.
[00:39:49.246 --> 00:39:52.469]  There's more news today about CIA black torture sites all over the world.
[00:39:53.371 --> 00:39:55.935]  Again, our government's been taken over.
[00:39:56.155 --> 00:40:03.867]  The military doesn't want to take part in this, but at the Super Bowl, the Kentucky Derby, at every event, they have military as the security.
[00:40:04.107 --> 00:40:05.169]  It's totally illegal!
[00:40:07.864 --> 00:40:11.025]  And I know I harp on this forever, but everything we talked about is now coming true.
[00:40:11.746 --> 00:40:14.607]  And it's being done because the globalists want to collapse this country.
[00:40:14.927 --> 00:40:25.691]  And they're going to sell it like, oh, they're fixing things during the financial collapse and riots and the welfare checks not arriving or the welfare checks, because of hyperinflation, you know, not buying enough.
[00:40:27.392 --> 00:40:31.654]  We're all going to be lectured about how it's a good thing.
[00:40:33.109 --> 00:40:38.607]  And well, Alex, yeah, there are troops on the streets, and you ought to be lucky they're there keeping America safe!
[00:40:39.480 --> 00:40:45.064]  And yeah, we are having to arrest some extremists, because after all, you know, after the terrorists hit us, we had to do it.
[00:40:45.124 --> 00:40:49.087]  And whatever it takes to get the country back on its feet, just take all the rights.
[00:40:49.288 --> 00:40:50.208]  I want my money back.
[00:40:50.388 --> 00:40:51.669]  You'll never get your money back.
[00:40:51.870 --> 00:40:54.892]  They are putting this in because they're getting ready to make you a pauper.
[00:40:55.132 --> 00:40:56.553]  They want to convert the country.
[00:40:56.753 --> 00:40:59.756]  It's official from the UN into a bankrupt nation.
[00:40:59.956 --> 00:41:07.282]  Here's part of the clip from the news where they're like, well, yeah, the tanks roll around all day in the city, but we can't tell you where they're parked for security reasons.
[00:41:08.686 --> 00:41:11.689]  Because you can't trust the enemy, the American people.
[00:41:11.709 --> 00:41:14.512]  I remember at the G20, we went to talk to the Army.
[00:41:14.732 --> 00:41:16.193]  They had regular Army and National Guard.
[00:41:16.814 --> 00:41:19.556]  Rob Dew on tape's like, yeah, we'd like to talk to your commanding officer.
[00:41:19.596 --> 00:41:20.097]  Here's their name.
[00:41:20.117 --> 00:41:20.777]  We're with the media.
[00:41:20.978 --> 00:41:23.080]  We want to ask about why the military's involved domestically.
[00:41:23.100 --> 00:41:25.682]  The military says, yeah, we'll call you in an hour.
[00:41:26.102 --> 00:41:29.446]  The cops show up and say you were trying to blow the military up.
[00:41:30.290 --> 00:41:34.531]  And I called up the captain on air, and I said, what is your problem?
[00:41:34.811 --> 00:41:37.252]  You came to them saying they were going to blow stuff up.
[00:41:37.612 --> 00:41:41.293]  Well, yeah, the military felt like they might have wanted to blow them up.
[00:41:42.734 --> 00:41:47.635]  And I was like, I said to him on air, I said, do you really want your kids growing up in a country like this?
[00:41:49.008 --> 00:41:50.509]  I mean, are you pinching yourself right now?
[00:41:50.769 --> 00:42:08.898]  Reporters pull up to troops, want to talk to the public information officer who's on the website, in Pittsburgh, and you call their hotel and call their rental place and send police after them, and tell them that, well, we're preparing to arrest you for terrorism.
[00:42:10.000 --> 00:42:12.403]  And he said, well, I just, we just had to check.
[00:42:12.723 --> 00:42:13.864]  I mean, it's like mental illness.
[00:42:13.884 --> 00:42:16.447]  Like, oh, we just say you're a terrorist, you're disappearing now.
[00:42:16.767 --> 00:42:19.490]  And a lot of people go, well, we better shut up than to be intimidated.
[00:42:19.690 --> 00:42:20.431]  We better shut up?
[00:42:20.711 --> 00:42:21.171]  No, no, no.
[00:42:21.432 --> 00:42:23.214]  You don't get intimidated by this tyranny.
[00:42:23.234 --> 00:42:26.537]  You get back in its face and you explain it's wrong to everybody.
[00:42:26.937 --> 00:42:29.240]  We've got the moral high ground and we save this country.
[00:42:30.327 --> 00:42:33.709]  Everybody should be afraid of not getting involved, not standing up.
[00:42:33.729 --> 00:42:34.449]  We're going to come back.
[00:42:34.909 --> 00:42:35.650]  I'm going to get to this.
[00:42:35.690 --> 00:42:37.291]  Then I'm going to get to the GMO threat.
[00:42:37.771 --> 00:42:38.931]  Big news on that front.
[00:42:38.971 --> 00:42:40.852]  I'll get into all the other crazy news.
[00:42:40.912 --> 00:42:42.453]  I mean, look at this BBC article.
[00:42:43.714 --> 00:42:45.215]  And they're reporting it like it's a good thing.
[00:42:45.615 --> 00:42:49.117]  EU should undermine national sovereignty.
[00:42:49.177 --> 00:42:49.497]  Homo.
[00:42:51.141 --> 00:42:54.790]  Homogeneity says UN Migration Chief.
[00:42:55.311 --> 00:42:56.033]  This is official.
[00:42:56.654 --> 00:42:57.917]  Get rid of national sovereignty.
[00:42:58.057 --> 00:42:59.440]  That's always been their plan.
[00:43:00.122 --> 00:43:00.623]  You understand?
[00:43:02.332 --> 00:43:06.555]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:43:06.875 --> 00:43:07.155]  Number 1.
[00:43:07.796 --> 00:43:10.938]  New climate legislation could easily double or triple your electric bill.
[00:43:11.218 --> 00:43:11.778]  Number 2.
[00:43:12.079 --> 00:43:16.642]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:43:16.962 --> 00:43:17.422]  It's true.
[00:43:17.722 --> 00:43:22.265]  Total government control of electricity in the name of smart grid technology is coming.
[00:43:22.586 --> 00:43:23.126]  Number 3.
[00:43:23.406 --> 00:43:26.708]  In some areas of the country, the power grid is dangerously overloaded.
[00:43:27.008 --> 00:43:30.691]  And now, new socialist legislation is only compounding the problem.
[00:43:30.891 --> 00:43:31.452]  Number 4.
[00:43:31.692 --> 00:43:34.055]  Dangerous weather is always a threat to local grids.
[00:43:34.455 --> 00:43:37.840]  Every year, thousands of families lose their power from weather-related outages.
[00:43:38.140 --> 00:43:38.360]  Number 5.
[00:43:38.921 --> 00:43:42.866]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:43:43.086 --> 00:43:47.832]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:43:48.112 --> 00:43:52.133]  You can get more information at www.mysolarbackup.com.
[00:43:52.294 --> 00:43:53.854]  That's mysolarbackup.com.
[00:43:54.074 --> 00:43:56.155]  Remember, the government doesn't own the sun.
[00:43:56.335 --> 00:43:58.676]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:44:04.059 --> 00:44:07.660]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:44:08.020 --> 00:44:16.141]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:44:16.881 --> 00:44:20.902]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:44:21.502 --> 00:44:32.324]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:44:32.944 --> 00:44:41.966]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:44:42.466 --> 00:44:47.527]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:44:47.888 --> 00:44:55.049]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:44:55.369 --> 00:44:58.130]  That's www.SilverLungs.com.
[00:45:02.091 --> 00:45:07.354]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:45:07.595 --> 00:45:09.796]  Start purifying your water with ProPure.
[00:45:10.016 --> 00:45:15.540]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:45:15.720 --> 00:45:18.962]  And it's available discounted at InfoWars.com.
[00:45:19.102 --> 00:45:22.304]  Its filters are silver impregnated to prevent bacterial growth.
[00:45:22.564 --> 00:45:23.985]  There's no priming required.
[00:45:24.245 --> 00:45:26.287]  It's NSF-42 certified.
[00:45:26.527 --> 00:45:29.008]  Optional fluoride filters can reduce fluoride up to 95%.
[00:45:30.069 --> 00:45:31.409]  Easy to set up and use.
[00:45:31.609 --> 00:45:32.910]  Doesn't require electricity.
[00:45:33.030 --> 00:45:35.891]  Purify water from lakes, streams, ponds, and wells.
[00:45:36.191 --> 00:45:39.351]  This filter system leaves in beneficial minerals, which is key.
[00:45:39.571 --> 00:45:43.573]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:45:43.713 --> 00:45:46.313]  ProPure is the best gravity-fed filter out there.
[00:45:46.453 --> 00:45:47.754]  It's what my family uses.
[00:45:48.014 --> 00:45:51.234]  Infowars.com already has the lowest price on ProPure.
[00:45:51.335 --> 00:45:56.896]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:45:57.156 --> 00:46:00.119]  You can also call to order 888-253-3139.
[00:46:00.780 --> 00:46:03.262]  Hi, this is Alex Jones.
[00:46:03.302 --> 00:46:08.647]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:46:08.887 --> 00:46:13.532]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:46:13.912 --> 00:46:14.292]  It's true.
[00:46:14.392 --> 00:46:18.937]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:46:19.457 --> 00:46:24.160]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:46:24.701 --> 00:46:26.622]  They call it a Survival Seed Bank.
[00:46:27.002 --> 00:46:31.625]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:46:31.805 --> 00:46:32.706]  And here's the best part.
[00:46:32.926 --> 00:46:35.708]  These seeds have not been genetically modified in any way.
[00:46:35.988 --> 00:46:39.310]  And you actually get enough seeds to plant a full acre crisis garden.
[00:46:39.610 --> 00:46:42.452]  So visit them today at SurvivalSeedBank.com.
[00:46:42.813 --> 00:46:44.694]  That's SurvivalSeedBank.com.
[00:46:45.034 --> 00:46:45.955]  Or give them a call at 877-327-0365.
[00:46:49.597 --> 00:46:53.300]  That's 877-327-0365.
[00:46:53.821 --> 00:46:58.344]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:46:58.645 --> 00:47:01.127]  This is Alex Jones for survivalseedbank.com.
[00:47:03.209 --> 00:47:04.369]  Coast to coast.
[00:47:04.730 --> 00:47:06.091]  Direct from Austin.
[00:47:06.771 --> 00:47:09.994]  You're listening to the Alex Jones Broadcasting Network.
[00:47:19.153 --> 00:47:30.038]  We now take you live to the Central Texas Command Center and the heart of the resistance rallying patriots worldwide.
[00:47:34.240 --> 00:47:36.861]  You're listening to the Alex Jones Show.
[00:47:41.573 --> 00:47:44.614]  Okay, we're gonna have open phones in the second hour.
[00:47:44.934 --> 00:47:48.655]  Do you think it's a good idea to have the NSA illegally spying on everybody?
[00:47:49.056 --> 00:47:52.977]  Maybe it's a good idea to have forced inoculation as state governments are now pushing.
[00:47:53.617 --> 00:47:58.399]  Maybe it's a good idea to not allow food to be GMO labeled, as the federal government is stating right now.
