[00:00:00.669 --> 00:00:01.590]  Alex Jones.
[00:39:51.448 --> 00:39:52.208]  He got behind there.
[00:39:52.228 --> 00:39:53.928]  They snuck up on him and shot him in the face.
[00:39:55.389 --> 00:39:58.089]  I mean, the military's full of people.
[00:39:58.109 --> 00:40:00.430]  If they tell you they'll kill Navy SEALs.
[00:40:00.450 --> 00:40:03.330]  Oh, oh, oh, all this patriotism.
[00:40:05.671 --> 00:40:05.951]  Really?
[00:40:06.191 --> 00:40:07.291]  Um, I, uh, talked.
[00:40:10.458 --> 00:40:13.360]  To a Navy SEAL right here in Austin, Texas.
[00:40:16.642 --> 00:40:24.106]  And his best buddies in SEAL Team 6, and he wasn't killed in the helicopter that blew up in the fake bin Laden raid, or the one that blew up
[00:40:25.489 --> 00:40:31.371]  Packed with 20-plus SEAL members, and the word is, well, yeah, they know a bomb was on it.
[00:40:31.411 --> 00:40:34.632]  They think Al-Qaeda got a bomb on the helicopter.
[00:40:35.113 --> 00:40:37.273]  But then they wonder, how did Al-Qaeda do that?
[00:40:37.974 --> 00:40:39.774]  And why did they all get concerned that day?
[00:40:39.814 --> 00:40:46.397]  Because they'd never been put, that many of them, on one of those old National Guard Chinook 1960s-era helicopters.
[00:40:47.077 --> 00:40:50.679]  And they weren't sent out to save a group that was pinned down.
[00:40:51.019 --> 00:40:52.199]  So why'd the media lie?
[00:40:52.219 --> 00:40:54.060]  I mean, they all see that it's a PR stunt.
[00:40:54.560 --> 00:41:00.725]  They all knew there were complaints when it happened, and they know there was a bomb on the helicopter, but Al-Qaeda must have done it.
[00:41:01.045 --> 00:41:01.786]  Yeah, right!
[00:41:02.006 --> 00:41:03.127]  They're at the military base.
[00:41:03.227 --> 00:41:14.996]  Al-Qaeda knew that that helicopter was going to have a bunch of Navy SEALs sardined like, you know, a game of telephone booth into it, and then it was going to go blow up, and they'd have a fake mission.
[00:41:15.016 --> 00:41:17.798]  You were going on to be heroes for the public back at home.
[00:41:18.118 --> 00:41:21.861]  Kind of like Pat Tillman was charging a hill fighting Al-Qaeda.
[00:41:23.295 --> 00:41:24.668]  Going up to the top of the hill.
[00:41:30.031 --> 00:41:35.754]  Just like the SEALs were going to save, Army Rangers pinned down.
[00:41:36.134 --> 00:41:38.536]  And then it turned out, oh no, it was a resupply effort.
[00:41:38.576 --> 00:41:40.157]  Turns out, there was no mission.
[00:41:40.497 --> 00:41:41.617]  They admit, there was nothing.
[00:41:41.757 --> 00:41:46.800]  They just said, get on the helicopter and fly up to this point, and the helicopter blows up with all of them on board.
[00:41:47.180 --> 00:41:53.884]  And the people that investigate it, the SEALs that are alive, think Al-Qaeda stuck a bomb on the helicopter.
[00:41:54.565 --> 00:41:58.767]  Come on guys, you're so tough, you're so mentally tough, you got it all together.
[00:42:00.063 --> 00:42:06.567]  But you're so hyped up in this little cult of serving the New World Order that you don't see your use like garbage.
[00:42:07.267 --> 00:42:12.670]  Our military, you could say what you wanted about it, but pre-1990, they wouldn't let anybody use depleted uranium.
[00:42:13.491 --> 00:42:13.971]  Nobody.
[00:42:16.272 --> 00:42:18.854]  Because it's a death sentence for everybody that uses it.
[00:42:19.774 --> 00:42:26.578]  You might die in a year, you might die in 20, but let me tell you, it's about like smoking 10 packs of cigarettes a day and drinking a gallon of Jack Daniels.
[00:42:26.958 --> 00:42:28.179]  I mean, it's gonna hurt you bad.
[00:42:33.519 --> 00:42:34.519]  I mean, I know the troops.
[00:42:34.659 --> 00:42:35.620]  I mean, I know the people.
[00:42:35.640 --> 00:42:40.641]  I've got family and who's got family and folks I know who've been sick.
[00:42:41.761 --> 00:42:44.161]  And record numbers dying and birth defects.
[00:42:44.221 --> 00:42:51.263]  And oh, so what if Fallujah has 14 to 16 times normal level of cancer and birth defects?
[00:42:52.143 --> 00:42:55.624]  And then the troops come back, especially from Fallujah, where they blew the whole place up with it.
[00:42:56.004 --> 00:42:57.504]  And then they're all dead and dying.
[00:42:58.444 --> 00:43:00.065]  And then you got to hear people going,
[00:43:01.226 --> 00:43:05.649]  We care a lot about the SEALS, so I decked out Jesse Ventura.
[00:43:06.370 --> 00:43:08.091]  You don't talk bad about the SEALS, really?
[00:43:08.392 --> 00:43:11.474]  They got you guys using weapons systems that are gonna kill you down in a hammer.
[00:43:12.014 --> 00:43:12.875]  But you don't want to hear that.
[00:43:12.915 --> 00:43:16.978]  You're young and tough and you can handle it and the government wouldn't do that to you.
[00:43:16.998 --> 00:43:19.100]  Oh yeah, did you hear Doug Rocky?
[00:43:20.848 --> 00:43:32.711]  Vietnam veteran, combat, right through, service for decades, physicist, other PhDs, writing the book on DU, most of his team dead, he's had 30-something surgeries.
[00:43:35.432 --> 00:43:38.232]  This is a fact that the system doesn't care about you.
[00:43:38.272 --> 00:43:40.853]  It's a fact that they could care less.
[00:43:40.933 --> 00:43:44.114]  And going back to the Romans, they learned how to give them spree decor.
[00:43:45.322 --> 00:43:48.865]  They learned how to say, you're the elite of the elite, so they break their backs more than anybody.
[00:43:49.546 --> 00:43:52.169]  And the special, you know, cohorts.
[00:43:54.824 --> 00:43:57.586]  The more elite cohorts, and they didn't really have medals then.
[00:43:57.606 --> 00:44:01.649]  It was what staff and what eagle they got to carry.
[00:44:02.249 --> 00:44:03.150]  And they would do anything.
[00:44:03.190 --> 00:44:14.197]  They'd march barefoot, you know, for three days through snow because they had the, you know, the top signets, the top logos, the top banners and flags and pennants that they were carrying.
[00:44:14.217 --> 00:44:21.702]  And Napoleon wrote about how men would give their lives and throw themselves on the bayonets for little pieces of metal and cloth.
[00:44:22.182 --> 00:44:24.364]  He was the one that really deployed medals.
[00:44:25.724 --> 00:44:26.185]  Medals.
[00:44:26.205 --> 00:44:27.545]  I mean, it's a joke.
[00:44:29.186 --> 00:44:34.609]  It's a joke when those medals are for empowering a corrupt empire.
[00:44:36.790 --> 00:44:48.756]  Empowering a corrupt New World Order while your own homeland, using a fascist Nazi term by the way, this black uniforms, the Nazi terms, they're adopting all of the fascistic regalia.
[00:44:49.857 --> 00:44:51.478]  All the symbols, they're not hiding from it.
[00:44:53.311 --> 00:44:57.281]  And then they take the dead and dying veterans' death benefits they've paid for.
[00:44:57.970 --> 00:44:59.190]  And, oh, that's not patriotic!
[00:44:59.451 --> 00:45:00.291]  You know, don't talk about it.
[00:45:00.431 --> 00:45:01.131]  Dr. Doug Rocky.
[00:45:01.151 --> 00:45:02.752]  Didn't want to talk about it on air, but I got him to.
[00:45:03.412 --> 00:45:06.853]  And he gets all these hundreds of calls a week, and he calls the local VA, and they won't help.
[00:45:06.893 --> 00:45:08.974]  He calls the local Veterans of Foreign Wars.
[00:45:09.014 --> 00:45:15.036]  He calls the local, you know, veterans groups, and they just go, no, we're not going to help take that veteran to the VA.
[00:45:15.376 --> 00:45:16.516]  Well, he's in a wheelchair now.
[00:45:16.556 --> 00:45:26.200]  He's been back from Iraq for two years, and, you know, he's a staff sergeant, and he's bleeding, you know, out of his gums and out of his hind end, and I can't take all these people.
[00:45:26.940 --> 00:45:29.545]  I'm taking these guys three or four days a week and I'm real sick myself.
[00:45:29.986 --> 00:45:31.428]  Can you just give me some people to help me?
[00:45:31.449 --> 00:45:32.811]  The VA won't come pick them up.
[00:45:32.851 --> 00:45:33.192]  They can't.
[00:45:33.212 --> 00:45:33.873]  They're overwhelmed.
[00:45:35.215 --> 00:45:38.862]  And I heard of this on the news today that there's so many troops coming back now the VA can't handle it.
[00:45:39.642 --> 00:45:46.424]  And you call the veterans groups up, because they're all the guys that were, you know, in the military when there weren't wars or whatever, and they're all just kind of sitting back drinking beer.
[00:45:46.444 --> 00:45:51.206]  They're like, you want us to go take somebody into the VA or try to get a medical treatment?
[00:45:51.246 --> 00:45:57.328]  No, I'm going to drink some beer and sit there and call people ragheads and hodgies and watch Fox News.
[00:46:00.989 --> 00:46:06.471]  I saw the comments on the New York Post and places, and it's all like, how great.
[00:46:06.851 --> 00:46:07.331]  He's right.
[00:46:07.371 --> 00:46:08.232]  They are savages.
[00:46:08.292 --> 00:46:08.872]  Kill them all.
[00:46:10.759 --> 00:46:12.040]  They're going to kill your pension fund.
[00:46:12.060 --> 00:46:13.181]  They're going to kill your bank account.
[00:46:13.201 --> 00:46:14.722]  They're going to kill the value of your dollar.
[00:46:15.222 --> 00:46:17.083]  They're going to take your house when it's paid for.
[00:46:17.103 --> 00:46:19.885]  They're going to bring you into a hardcore depression.
[00:46:21.506 --> 00:46:29.031]  You think the new old order is just going to kill some brown people under 15 years of sanctions, a million of them that starved to death or died from medical issues?
[00:46:29.331 --> 00:46:31.052]  I've talked to the real troops that came back.
[00:46:31.332 --> 00:46:33.974]  They said most of those people are so debilitated
[00:46:35.509 --> 00:46:41.713]  That every once in a while, if you killed their family, they'd go dig up an AK-47 and try to shoot you, and then it's called an insurgent.
[00:46:43.294 --> 00:47:01.765]  All the disease, the sewage running down the streets, the people starving to death, and any time the contractors come in, and later confirmed, and mow down a bunch of innocent people, it's now been confirmed in federal documents, Blackwater people running around the streets on cocaine, naked, shooting up apartment buildings and cars.
[00:47:01.785 --> 00:47:03.426]  And we have videos of similar stuff.
[00:47:05.148 --> 00:47:08.410]  And then the people get mad and rise up against it, and so the entire U.S.
[00:47:08.450 --> 00:47:13.833]  military lines up and levels the city, and they got snipers racking up their record kills.
[00:47:14.634 --> 00:47:18.116]  Well, yeah, because in World War II in Vietnam, they're actually fighting an enemy that shot back.
[00:47:19.357 --> 00:47:22.298]  Actual soldiers, actual warriors.
[00:47:23.279 --> 00:47:32.965]  It wasn't a bunch of starving people running around with drones and sword robots going in and just carpet bombing everything and heavy artillery leveling.
[00:47:34.147 --> 00:47:38.249]  And what, maybe a thousand people out of tens of thousands decided to stand up?
[00:47:40.230 --> 00:47:42.352]  And it's just anybody moving in an area, shoot them.
[00:47:42.372 --> 00:47:44.413]  And it's like, oh, it's legendary.
[00:47:44.773 --> 00:47:48.115]  We can sit here in an office building and shoot people all day.
[00:47:48.455 --> 00:47:50.016]  Oh, it's so manly.
[00:47:51.176 --> 00:47:53.618]  Meanwhile, you don't care about those Hodgies?
[00:47:53.998 --> 00:47:57.060]  Well, the New World Order doesn't care about you.
[00:47:58.246 --> 00:48:00.168]  And so, and I know you're listening and laughing right now.
[00:48:00.228 --> 00:48:05.952]  You're 30 years old or whatever, or you're 25, and, you know, some of your buddies are kind of sick, but whatever.
[00:48:05.972 --> 00:48:08.794]  That's what they signed up for, and, you know, the VA will take care of them.
[00:48:08.834 --> 00:48:11.897]  You don't know why your buddy's kidneys are failing or why there's blood coming out of his gums.
[00:48:12.537 --> 00:48:21.404]  Yeah, your buddy did just have a baby girl, and her eyes are in the wrong spot, and she's got holes in her heart, and, you know, and it's only got half a kidney.
[00:48:22.425 --> 00:48:23.106]  But you know what?
[00:48:23.166 --> 00:48:23.866]  So what?
[00:48:23.946 --> 00:48:24.987]  Shut up, Alex Jones.
[00:48:25.027 --> 00:48:25.988]  You're not patriotic.
[00:48:26.684 --> 00:48:34.833]  I know you don't care about anybody because you're a tough guy, but a few years down the road, you're going to go in and get diagnosed with that cancer when you're 35 or 40.
[00:48:36.214 --> 00:48:42.641]  And then they're going to cut your chest open and go in there and remove one of your lungs and you get to have all that fun because it really gets the lungs.
[00:48:43.202 --> 00:48:45.445]  You guys are really looking forward to some lung cancer.
[00:48:46.830 --> 00:48:48.552]  Those little Hodgies got to die real quick.
[00:48:48.572 --> 00:48:52.095]  Of course, now they get to have all the deformed children, and people make jokes about that.
[00:48:52.115 --> 00:48:55.559]  I've seen the websites that post the photos of the horribly deformed children.
[00:48:55.599 --> 00:48:58.622]  I see people making jokes about them, going, good, let the Hodgies die.
[00:48:58.642 --> 00:49:01.284]  Oh, well, your kids are going to be popping out like that, too.
[00:49:01.825 --> 00:49:04.227]  And is that going to be real cute and funny, too?
[00:49:04.467 --> 00:49:06.509]  Because you see, there's one rule in this universe.
[00:49:07.330 --> 00:49:08.872]  What comes around, goes around.
[00:49:09.313 --> 00:49:10.414]  You reap what you sow.
[00:49:10.835 --> 00:49:14.419]  You can call it karma if you want, but I'm not talking about some next life, I'm talking about now.
[00:49:14.719 --> 00:49:16.762]  And I shake with fear.
[00:49:17.623 --> 00:49:20.807]  Not of man, but the only thing I fear, God, the universe, justice.
[00:49:21.368 --> 00:49:23.150]  I get chills for you!
[00:49:24.131 --> 00:49:27.012]  I wouldn't be surprised if God didn't step on this whole country.
[00:49:27.532 --> 00:49:30.974]  This decadent, slovenly, 51 million aborted babies.
[00:49:31.374 --> 00:49:31.954]  Delusional.
[00:49:32.054 --> 00:49:32.995]  I guess they deserve to die too.
[00:49:33.035 --> 00:49:33.835]  Are they Haji's too?
[00:49:33.855 --> 00:49:35.796]  Everybody's dehumanized now, including our troops?
[00:49:36.496 --> 00:49:39.197]  I wouldn't be surprised if God didn't step on this whole country.
[00:49:40.318 --> 00:49:42.399]  And crush me and my whole family in the process.
[00:49:42.459 --> 00:49:43.359]  I wouldn't slight God.
[00:49:43.939 --> 00:49:45.200]  Just because we're judged.
[00:49:46.480 --> 00:49:48.741]  Just because I was standing next to people like you.
[00:49:49.181 --> 00:49:50.422]  Now you can always repent.
[00:49:51.889 --> 00:49:56.452]  We can always spiritually make the decision to say, what we've all done collectively is wrong.
[00:49:57.112 --> 00:49:57.513]  But no.
[00:49:57.993 --> 00:50:02.856]  No, we're going to wear black uniforms and skull hats and act real tough and, gee, I'm real good!
[00:50:03.677 --> 00:50:04.977]  I shot women!
[00:50:05.678 --> 00:50:06.398]  I'll do it again!
[00:50:06.418 --> 00:50:07.159]  They're savages!
[00:50:07.479 --> 00:50:08.740]  They like to scare people!
[00:50:08.840 --> 00:50:09.580]  I scared them!
[00:50:10.281 --> 00:50:11.381]  I like to scare people!
[00:50:11.582 --> 00:50:14.483]  It's weird, in his book he's like, I like to scare people!
[00:50:14.503 --> 00:50:18.326]  And he's on O'Reilly, he's like, I like to kill people, I want to scare people!
[00:50:24.332 --> 00:50:26.255]  They're not shutting down any military folks.
[00:50:26.275 --> 00:50:28.037]  They're getting ready for the next big terror attack.
[00:50:28.478 --> 00:50:30.981]  They can say, well, we were going to cut the military, but now we can't.
[00:50:31.522 --> 00:50:32.483]  I've seen it scripted.
[00:50:32.524 --> 00:50:33.285]  It's a formula.
[00:50:33.905 --> 00:50:34.687]  It's all coming up.
[00:50:34.707 --> 00:50:35.187]  Stay with us.
[00:50:40.632 --> 00:50:45.656]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:50:45.856 --> 00:50:54.983]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:50:55.223 --> 00:51:09.254]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:51:09.534 --> 00:51:14.801]  Order the Berkey Light System today, complete with two black Berkey elements for only two hundred and thirty one dollars.
[00:51:14.941 --> 00:51:17.484]  And the Berkey Guy will ship your order free of charge.
[00:51:17.664 --> 00:51:24.513]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only thirty nine ninety nine.
[00:51:24.653 --> 00:51:26.794]  That's over 30% off the retail price.
[00:51:26.994 --> 00:51:27.915]  Call the Berkey guy at 1-877-886-3653.
[00:51:27.935 --> 00:51:28.135]  That's 1-877-886-3653.
[00:51:28.155 --> 00:51:29.296]  Or order online at GoBerkey.com.
[00:51:29.316 --> 00:51:30.536]  That's GoBerkey.com today!
[00:51:40.382 --> 00:51:41.543]  Hello, I'm Alex Jones.
[00:51:41.803 --> 00:51:52.250]  Myself, my family, the InfoWars.com team want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[00:51:52.470 --> 00:51:56.613]  InfoWars.com is leading the fight against the technocrats.
[00:51:56.953 --> 00:51:59.355]  But we can't do that without your help.
[00:51:59.695 --> 00:52:10.222]  By getting the films, bumper stickers, and t-shirts at InfoWars.com, you will wake up people in your area and support our operation as we move to the next level.
[00:52:10.942 --> 00:52:14.283]  We need your help to spread the word like never before.
[00:52:14.443 --> 00:52:20.064]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[00:52:20.584 --> 00:52:30.067]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[00:52:30.467 --> 00:52:31.647]  The war is here.
[00:52:31.967 --> 00:52:33.407]  It's an info war.
[00:52:33.868 --> 00:52:36.548]  The spirit of 1776 versus the mindset of 1984.
[00:52:40.249 --> 00:52:43.911]  If you don't want to be unprepared, BePrepared.com.
[00:52:44.091 --> 00:52:50.293]  BePrepared.com is the official site of Emergency Essentials, the 24-year leader in emergency preparedness.
[00:52:50.514 --> 00:52:51.294]  Why do they lead?
[00:52:51.454 --> 00:52:54.915]  Because of best value, best selection, and their low price guarantee.
[00:52:55.115 --> 00:52:59.577]  Take advantage of BePrepared.com's inventory reduction sale going on right now.
[00:52:59.737 --> 00:53:03.019]  Save up to 43% on food storage and emergency supplies.
[00:53:03.239 --> 00:53:03.819]  Up to 43%.
[00:53:04.720 --> 00:53:07.881]  For example, be prepared with freeze-dried peaches and strawberries.
[00:53:08.021 --> 00:53:17.928]  Freeze-dried roast beef, 182-piece first aid kits, nine-meal MRE kits, a waterproof multifunction emergency LED flashlight for only $3.99 and much more.
[00:53:18.068 --> 00:53:19.109]  BePrepared.com.
[00:53:19.169 --> 00:53:22.432]  All supplies last, but hurry, sale ends when inventory's gone.
[00:53:22.572 --> 00:53:24.493]  Call 800-999-1863.
[00:53:25.414 --> 00:53:27.595]  That's 800-999-1863.
[00:53:27.736 --> 00:53:31.218]  Or online at BePrepared.com.
[00:53:31.338 --> 00:53:32.639]  BePrepared.com.
[00:53:32.719 --> 00:53:35.221]  Best value, best selection, and low price guarantee.
[00:53:35.341 --> 00:53:36.282]  The choice is clear.
[00:53:36.542 --> 00:53:39.203]  Be unprepared or be prepared dot com.
[00:54:04.448 --> 00:54:09.792]  And there's this whole culture of just saying you support the troops, but then feeding them into meat grinders.
[00:54:10.672 --> 00:54:12.614]  And now you're going to have to deal with troops here at home.
[00:54:13.575 --> 00:54:23.322]  And let me tell you, I've had them in New York when I'm videotaping them across the street, run over, scream at me, cuss at me, with firearms on their sides.
[00:54:25.903 --> 00:54:26.524]  For no reason.
[00:54:28.468 --> 00:54:33.090]  And it's not the kind of military I've seen or what my family that's in the military looks like.
[00:54:33.450 --> 00:54:38.752]  They've got a special brand of dumbed-down idiot that they're going to have domestically here in the U.S.
[00:54:40.412 --> 00:54:50.836]  And then cops bugging their eyes out in black uniforms with machine guns looking all paranoid like any moment a demon is going to jump out of the bushes and eat them.
[00:54:51.796 --> 00:54:56.298]  And then they've got all these groups training the local police to just get ready for all Hades to break loose.
[00:54:58.832 --> 00:54:59.673]  And it probably is.
[00:54:59.713 --> 00:55:06.036]  The system is going to stage a bunch of terror attacks against their minions to get them all hyped up to have a war with the American people.
[00:55:06.296 --> 00:55:07.317]  That's what's being prepared.
[00:55:07.637 --> 00:55:15.542]  And I keep telling you this since I went to urban warfare drills more than 13, 14 years ago and witnessed them training to come to your house and take your guns.
[00:55:16.863 --> 00:55:19.564]  And you've now seen drills in Iowa just a few years ago of this.
[00:55:19.945 --> 00:55:22.366]  And you've seen them calling for troops on the streets in America.
[00:55:23.847 --> 00:55:25.388]  And then we've got this guy coming out
[00:55:29.284 --> 00:55:33.810]  Demonizing Ventura, and it turns out he's part of all of that training.
[00:55:35.152 --> 00:55:36.073]  Big Brother in St.
[00:55:36.113 --> 00:55:38.877]  Louis schools plans to monitor student activity at home.
[00:55:40.279 --> 00:55:45.146]  Again, in Pennsylvania, it was the government itself that announced they're watching you at home on your laptops.
[00:55:46.946 --> 00:55:49.688]  And then when people backlashed, they said, oh, we're not doing it.
[00:55:50.148 --> 00:55:56.473]  They had said they were doing it, but then in a psy-op, with no respect for you, they said, oh, I mean, we're not doing it, it's a conspiracy theory.
[00:55:56.713 --> 00:56:00.456]  Then it came out in court, of course they were, including watching children in their showers.
[00:56:02.097 --> 00:56:03.798]  And now they're announcing Big Brother in St.
[00:56:03.818 --> 00:56:05.940]  Louis schools plans to monitor student activity at home.
[00:56:05.960 --> 00:56:06.941]  You want to be part of our school?
[00:56:07.930 --> 00:56:10.771]  You're going to wear a wristband that tracks your heart rate, everything.
[00:56:11.391 --> 00:56:19.854]  Elementary schools in Missouri plan to use RichWatch-like devices called Polar Active Monitors to surveil children, not only at school but also at home.
[00:56:19.934 --> 00:56:21.995]  Parkway Elementary schools get them while they're young.
[00:56:22.935 --> 00:56:23.255]  And St.
[00:56:23.295 --> 00:56:28.237]  Louis plans to collect data about activity levels and even sleep patterns for a week at a time.
[00:56:28.277 --> 00:56:30.878]  It will have the students wear the devices around the clock, according to St.
[00:56:31.518 --> 00:56:32.098]  Louis Today.
[00:56:35.546 --> 00:56:36.846]  A pilot program again in April.
[00:56:36.886 --> 00:56:39.267]  Yeah, Department of Defense runs it in San Antonio.
[00:56:39.287 --> 00:56:40.087]  They got similar stuff.
[00:56:40.407 --> 00:56:47.168]  And AI computer cameras in the classrooms and in the school rooms that watch what you eat and what you say.
[00:56:51.769 --> 00:56:55.970]  I'm getting footage sitting everywhere of like telescreens going up in town squares, Walmarts, malls.
[00:56:57.111 --> 00:57:01.771]  And it's on the news and you walk in and there's big screens like in every, every dystopic movie.
[00:57:01.831 --> 00:57:02.472]  Running Man,
[00:57:04.770 --> 00:57:05.571]  Equilibrium.
[00:57:05.651 --> 00:57:10.596]  I mean, every movie where it's a nightmare future, there's big TV screens saying, don't trust your neighbors on them.
[00:57:10.856 --> 00:57:14.800]  And now you walk in and they've got jumbo screens saying, don't watch your neighbors.
[00:57:15.821 --> 00:57:21.366]  And they've got the troops, the ones that are evil or dumb enough, all ready to wage war against us.
[00:57:22.887 --> 00:57:24.349]  And foreign governments training them.
[00:57:24.469 --> 00:57:25.850]  German, Dutch, Israeli.
[00:57:25.870 --> 00:57:27.011]  I mean, I've been to the urban drills.
[00:57:27.051 --> 00:57:27.572]  I've shown you.
[00:57:28.092 --> 00:57:28.673]  I've shown you.
[00:57:28.693 --> 00:57:29.754]  I mean, it's in the news.
[00:57:31.069 --> 00:57:34.411]  And they, I tell you, this country is just so in such trouble.
[00:57:35.471 --> 00:57:45.155]  And you watch a lot of the public's gonna line up behind these authoritarians when they stage this and salute the troops coming down the street and they'll salute, I've heard them call for it.
[00:57:46.516 --> 00:57:49.417]  If I get arrested and taken away, they'll be like, good, arrest that traitor.
[00:57:50.238 --> 00:57:54.340]  I mean, I've heard them saying, good, get rid of the posse comitatus, put troops on the streets.
[00:57:54.960 --> 00:57:57.061]  And I've heard them now, the good old boys are like, you know what?
[00:57:58.752 --> 00:57:59.192]  Go ahead!
[00:57:59.212 --> 00:58:02.454]  Because I heard the right-wingers are working with the hajis.
[00:58:02.954 --> 00:58:04.235]  And I'm like, but I thought you're right-wing.
[00:58:04.255 --> 00:58:04.975]  They're like, shut up.
[00:58:04.995 --> 00:58:05.516]  We're gonna get you.
[00:58:05.556 --> 00:58:06.556]  We know you work with Al-Qaeda.
[00:58:06.576 --> 00:58:08.397]  And I'm like, no, no, I don't work with Al-Qaeda.
[00:58:08.417 --> 00:58:08.997]  The government does.
[00:58:09.398 --> 00:58:10.518]  We're gonna arrest you, buddy.
[00:58:11.599 --> 00:58:13.160]  We're patriots and you're not.
[00:58:13.440 --> 00:58:15.541]  I mean, they're ready to turn this country over to pure evil.
[00:58:15.801 --> 00:58:16.461]  They want to do it.
[00:58:23.085 --> 00:58:27.047]  This is GCN, the Genesis Communications Radio Network.
[00:58:30.549 --> 00:58:34.353]  Did you ever think you'd be where you are, a decade into the 21st century?
[00:58:34.694 --> 00:58:36.576]  Record foreclosure rates for homes.
[00:58:36.976 --> 00:58:38.458]  If not yours, your neighbor's.
[00:58:38.838 --> 00:58:41.341]  Thankful for the unemployment check since you were laid off.
[00:58:41.801 --> 00:58:48.289]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[00:58:48.789 --> 00:58:52.010]  Did you ever think your future would feel this out of control?
[00:58:52.310 --> 00:58:56.952]  The fact is, in all this craziness, there's only one thing you can control.
[00:58:57.232 --> 00:58:58.493]  Your greatest dependency.
[00:58:58.753 --> 00:58:59.833]  Your food supply.
[00:59:00.193 --> 00:59:04.035]  Make 2012 the year you take control by getting prepared.
[00:59:04.375 --> 00:59:08.657]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:59:09.817 --> 00:59:12.359]  Get a 21-day supply of food free with purchase.
[00:59:12.579 --> 00:59:18.302]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:59:18.602 --> 00:59:20.103]  Take back control in 2012.
[00:59:20.783 --> 00:59:26.406]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:59:26.706 --> 00:59:29.528]  Remember, you can bet your life on efoodsdirect.
[00:59:33.370 --> 00:59:35.311]  Waging war on corruption.
[00:59:35.771 --> 00:59:38.493]  Alex Jones on the GCM Radio Network.
[00:59:45.113 --> 00:59:45.734]  Big Brother.
[00:59:46.414 --> 00:59:47.455]  Mainstream media.
[00:59:48.176 --> 00:59:49.297]  Government cover-ups.
[00:59:49.937 --> 00:59:50.758]  You want answers?
[00:59:51.539 --> 00:59:52.439]  Well, so does he.
[00:59:53.080 --> 00:59:56.663]  He's Alex Jones on the GCN Radio Network.
[00:59:57.264 --> 01:00:01.387]  And now, live from Austin, Texas, Alex Jones.
[01:00:02.928 --> 01:00:08.814]  There comes a time in any system when a dam breaks.
[01:00:09.875 --> 01:00:26.546]  From water, or an avalanche begins because of too much snow piling up, or when you put a piece of paper onto a hot stove and then it finally browns and then reaches flashpoint at a certain Fahrenheit and flashes into flame.
[01:00:27.406 --> 01:00:31.129]  Now, in historical perspectives, a couple years is like a millisecond.
[01:00:31.769 --> 01:00:34.331]  And we are now entering the flashpoint.
[01:00:37.423 --> 01:00:39.068]  Where the paper ignites.
[01:00:40.010 --> 01:00:44.884]  Before the Constitution was browning and cracking, now it's caught on fire.
[01:00:46.414 --> 01:00:50.597]  And the dam broke, the tyranny's flooding in, and the government's like, yeah, we're going to censor you.
[01:00:50.957 --> 01:00:52.438]  We got spies in every street corner.
[01:00:52.458 --> 01:00:53.499]  We're face scanning you.
[01:00:53.879 --> 01:00:56.781]  We're putting passive MRIs in to brain scan you.
[01:00:56.801 --> 01:00:58.462]  We're going to have checkpoints everywhere.
[01:00:58.482 --> 01:00:59.943]  Now we're setting the checkpoints up.
[01:01:00.303 --> 01:01:01.804]  We're going to start censoring the internet.
[01:01:02.245 --> 01:01:03.405]  We're going to have machine guns.
[01:01:03.445 --> 01:01:05.227]  Yes, we're training your kids to spy on you.
[01:01:05.647 --> 01:01:06.888]  Anyone could be a terrorist.
[01:01:06.908 --> 01:01:11.291]  I mean, there's PSAs now for kids where they're like, turn in a family member and get $200.
[01:01:11.551 --> 01:01:15.413]  I mean, that's from 10 years ago in Road to Tyranny, but now there's new ones out.
[01:01:16.975 --> 01:01:21.579]  Everything they were beta testing is now going, going mainstream.
[01:01:23.040 --> 01:01:28.945]  Right as they implode the economy and give us fake numbers that, you know, we're in the best recovery ever and everything's milk and honey.
[01:01:29.345 --> 01:01:32.048]  Sorry, half those businesses you used to do business with are shut down.
[01:01:32.088 --> 01:01:34.370]  And most of the restaurants you used to go to are shut down.
[01:01:34.430 --> 01:01:35.991]  And those factories are shut down.
[01:01:36.051 --> 01:01:38.674]  And sorry, your social security won't buy what it did before.
[01:01:38.734 --> 01:01:40.075]  But there's no inflation though.
[01:01:40.775 --> 01:01:42.157]  And just everything is wonderful.
