[00:00:00.069 --> 00:00:01.109]  The radio starts here.
[00:38:13.265 --> 00:38:19.549]  And they found very concerning results, mammary tumors as well as liver and kidney problems and also premature death.
[00:38:20.130 --> 00:38:24.372]  So, the findings were stunning and the study is getting a lot of critiques.
[00:38:24.412 --> 00:38:33.558]  It was a small study and all this, but so important to point out that the industry is using the same study design for their studies and they're very short-term studies.
[00:38:33.618 --> 00:38:38.381]  So, what's happening is they're doing these short-term studies, finding indications of liver and kidney problems.
[00:38:39.016 --> 00:38:41.678]  And then, what's the responsible thing to do if that's the case?
[00:38:41.718 --> 00:38:46.701]  If you really want to investigate what's the health effect of something, you do a longer-term study.
[00:38:47.061 --> 00:38:48.061]  They don't want to know.
[00:38:48.782 --> 00:38:57.727]  So, the science has been suppressed and hidden, and now we have this first long-term feeding study showing really stunning results.
[00:38:57.847 --> 00:39:07.057]  Stacey, it's infuriating to know that this corn got into the food supply without a long-term animal study ever being conducted.
[00:39:07.337 --> 00:39:16.687]  How on earth did that happen, where humans are eating this food for what could be a lifetime, but yet it was never studied beyond 90 days?
[00:39:16.747 --> 00:39:17.989]  I mean, that is insane!
[00:39:18.009 --> 00:39:19.831]  That's scientifically insane!
[00:39:20.725 --> 00:39:21.645]  That's a great way to put it.
[00:39:21.685 --> 00:39:22.886]  Scientifically insane.
[00:39:23.026 --> 00:39:23.546]  I agree.
[00:39:23.626 --> 00:39:31.448]  The way it happened was back in the 90s when the vice president at the time, Dan Quayle, announced the government's policy on GMOs.
[00:39:32.008 --> 00:39:39.871]  And he said, you know, we're going to treat these foods the same as regular foods, and so therefore we don't need to do safety studies and they don't need to be labeled.
[00:39:40.071 --> 00:39:48.013]  I mean, not surprisingly, the policy was written by a former Monsanto lawyer, Michael Taylor, who when he left the Bush
[00:39:48.493 --> 00:39:53.755]  It's just incredible the power these companies have had over government policies, over the
[00:40:05.174 --> 00:40:05.694]  We're good.
[00:40:22.538 --> 00:40:26.521]  Well yeah, they're not only fundamentally different, I mean, they're fundamentally toxic.
[00:40:26.561 --> 00:40:28.962]  That's what it looks like the study is showing.
[00:40:29.062 --> 00:40:30.583]  Fundamentally, you know, poisonous.
[00:40:30.623 --> 00:40:41.290]  I mean, how do you make a seed that grows poison in the kernel of the corn, which is what kills the insects that try to eat it, and then you say, feed it to your children?
[00:40:45.023 --> 00:40:45.663]  We're good to go.
[00:41:13.114 --> 00:41:13.214]  Right.
[00:41:26.974 --> 00:41:30.496]  Well, the corporate science is not science.
[00:41:30.657 --> 00:41:32.378]  It is complete fraud.
[00:41:32.778 --> 00:41:35.140]  It is quack science, junk science, whatever you want to call it.
[00:41:35.600 --> 00:41:45.927]  I have never seen such despicable, unethical behavior among scientists as I've seen those defending, attempting to defend these toxic GMOs.
[00:41:46.388 --> 00:41:47.809]  These people will lie.
[00:41:48.129 --> 00:41:50.411]  They will fabricate data and results.
[00:41:50.811 --> 00:41:51.872]  They will threaten you.
[00:41:51.892 --> 00:41:53.152]  I mean, I've been threatened.
[00:41:53.173 --> 00:41:53.973]  Others have been threatened.
[00:41:54.013 --> 00:41:56.155]  A guest we have coming on next hour has been threatened.
[00:41:56.915 --> 00:42:06.133]  These people will do anything, and you should stay tuned, Stacey, for the next hour because we've got an email from one of these scientists who says, yeah, we know it kills you.
[00:42:06.373 --> 00:42:08.016]  That's what we're trying to accomplish.
[00:42:08.277 --> 00:42:09.278]  That's what they're saying.
[00:42:10.527 --> 00:42:11.809]  It's just crazy stuff.
[00:42:11.869 --> 00:42:31.171]  I mean, well, what I've seen over the last week, the industry's trotting out all these scientists who are questioning the methods and the size of the study without mentioning that it's the same methods and size as all the industry studies that supposedly show safety, which again are just 90-day studies, and the tumors in this new French study didn't even show up until four months.
[00:42:31.611 --> 00:42:40.036]  So if you were going to design a study that wouldn't find health effects, you know, keep it short term, decide which of those studies are going to get published and which aren't.
[00:42:40.156 --> 00:42:43.478]  It's just truly incredible how much power these companies have.
[00:42:43.898 --> 00:42:58.666]  But now what we see in California is they're now going to pour $32 million into a lie campaign to try to confuse voters about Prop 37, which is a simple, basic labeling law that's already required in 50 other countries.
[00:42:58.846 --> 00:43:00.666]  Of course, of course it's going to be a lying campaign.
[00:43:00.686 --> 00:43:01.647]  Let's talk about that.
[00:43:01.667 --> 00:43:11.029]  What are the biggest lies that we should be prepared to hear from the propaganda campaign funded by all of these big food companies, all the big names that you know?
[00:43:11.869 --> 00:43:16.470]  They're going to lie to the California voters in the next four weeks or so.
[00:43:16.791 --> 00:43:18.971]  What are the big lies that we're likely to hear, Stacey?
[00:43:18.991 --> 00:43:22.272]  So first of all, the two largest funders, Monsanto and
[00:43:23.126 --> 00:43:23.386]  Thank you.
[00:43:38.800 --> 00:43:40.840]  That's the topic they don't want to discuss.
[00:43:41.141 --> 00:43:46.682]  Instead, they're trying to say, oh, the initiative is confusing, and it will raise costs and people would get sued.
[00:43:46.722 --> 00:43:47.942]  And this is all not true.
[00:43:48.422 --> 00:43:54.643]  $32 million can buy a lot of confusion and misleading information, but it can't buy facts.
[00:43:54.883 --> 00:43:59.785]  And the facts are that this is a very simple, straightforward, business-friendly proposition.
[00:43:59.905 --> 00:44:01.005]  It won't raise costs.
[00:44:01.025 --> 00:44:03.685]  There's absolutely no evidence to that effect.
[00:44:03.765 --> 00:44:06.446]  Costs didn't go up in Europe when they implemented labeling.
[00:44:07.727 --> 00:44:15.752]  It's very fair to businesses, and that's why thousands of farmers are behind the Yes on 37 campaign, the largest environmental and health groups in the state.
[00:44:15.812 --> 00:44:24.678]  We're funded by many, many businesses across the state, businesses in the natural organic food industry, which is the crown jewel of California's economy.
[00:44:25.038 --> 00:44:28.981]  These companies are saying, like, we in California are
[00:44:29.801 --> 00:44:34.663]  We lead the nation on important health and environmental issues, and this is one of the most important.
[00:44:35.123 --> 00:44:40.066]  We need to win this in California to bring transparency and fairness to our food system.
[00:44:40.126 --> 00:44:42.687]  We do need to win this, and I think we can win this.
[00:44:42.827 --> 00:44:49.530]  So folks, go to californiarighttoknow.org, get involved there, and if you're listening from California, be sure to vote.
[00:44:49.810 --> 00:44:51.271]  This is actually a good reason to vote.
[00:44:51.611 --> 00:44:55.793]  Even if you don't vote for the next presidential puppet, vote for this
[00:44:56.493 --> 00:44:56.793]  I don't
[00:45:16.201 --> 00:45:18.682]  But he said it's a secret what's in there.
[00:45:18.722 --> 00:45:19.962]  We're not going to tell you the name of it.
[00:45:20.262 --> 00:45:24.184]  And then you go to the pharmacy and you get your prescription filled, but it's it's written in code.
[00:45:24.204 --> 00:45:28.185]  And the pharmacist says, well, we don't want you to know what's in that bottle either.
[00:45:28.545 --> 00:45:32.847]  You're supposed to take these drugs and let it be a mystery because it's a corporate secret.
[00:45:33.087 --> 00:45:34.467]  You're not supposed to know what you're taking.
[00:45:34.988 --> 00:45:37.829]  That would be the equivalent of what's happening with GMOs right now.
[00:45:38.289 --> 00:45:43.030]  Now, I think most common sense people would say, of course, we have a right to know what we're swallowing.
[00:45:43.050 --> 00:45:44.171]  It only makes sense.
[00:45:45.225 --> 00:45:46.767]  Absolutely, absolutely.
[00:45:47.247 --> 00:45:57.159]  And, you know, the biggest challenge for us, and we are running far ahead in the polls right now, 67%, but the No Campaign of Lies has not truly begun yet.
[00:45:57.199 --> 00:46:02.806]  They haven't started with the TV commercials, and they'll be putting $32 million into bombarding the state with
[00:46:03.366 --> 00:46:03.647]  Thank you.
[00:46:21.769 --> 00:46:23.351]  Now here's another thing.
[00:46:23.971 --> 00:46:28.316]  This issue is a people issue, people versus the corporations.
[00:46:29.017 --> 00:46:34.343]  Now everybody that I know is in favor of honest labeling of foods.
[00:46:34.763 --> 00:46:36.865]  What's beautiful about Proposition 37 is that you've got
[00:46:38.507 --> 00:46:53.156]  The progressives behind it, you've got the conservatives behind it, you've got the libertarians behind it, you've got scientists supporting it, you've got moms and dads and everybody with children supporting it because they want to know what they're feeding their children, of course.
[00:46:53.756 --> 00:47:00.941]  This is an across-the-board issue of basic fundamental right to know, which of course is what your website is named after.
[00:47:02.642 --> 00:47:07.545]  Can you describe some of the diversity of support that you're seeing for this proposition, Stacey?
[00:47:08.131 --> 00:47:09.291]  Well, it's incredible.
[00:47:09.331 --> 00:47:15.092]  The polls show across the country, 90% of people want genetically engineered foods to be labeled.
[00:47:15.172 --> 00:47:18.433]  And like you said, that's Republicans, Libertarians, Democrats.
[00:47:18.913 --> 00:47:20.773]  It's all demographics.
[00:47:21.533 --> 00:47:27.655]  People of faith see this as a religious issue because it's tampering with the food system.
[00:47:27.935 --> 00:47:30.975]  There are just so many reasons for support here.
[00:47:31.075 --> 00:47:35.136]  Farmers across the state, as I mentioned, businesses in California, the largest
[00:47:35.516 --> 00:47:35.857]  Thank you.
[00:47:52.601 --> 00:47:54.503]  This is truly a test of our democracy.
[00:47:54.543 --> 00:47:55.884]  Do we have a democracy left?
[00:47:55.944 --> 00:48:00.328]  And I think we will prevail in California, but it's going to be a huge fight.
[00:48:00.448 --> 00:48:05.712]  So if folks can join us, join our website, donate every little bit helps.
[00:48:05.872 --> 00:48:08.495]  And it really is going to come down to money with this fight.
[00:48:08.515 --> 00:48:10.596]  We've got to get our message on the air.
[00:48:10.676 --> 00:48:13.339]  Well, and remember, this is the people brought this to to
[00:48:15.420 --> 00:48:16.381]  Possible legislation.
[00:48:16.862 --> 00:48:22.587]  The legislators wouldn't bring this to the floor because they're all bought off by these corporate interests.
[00:48:22.607 --> 00:48:25.230]  This is the people's effort across the board.
[00:48:25.250 --> 00:48:27.152]  The people put this on the ballot directly.
[00:48:28.035 --> 00:48:30.296]  Absolutely, and yeah, it's incredible.
[00:48:30.336 --> 00:48:34.098]  More than a million people have asked FDA to label GMOs.
[00:48:34.238 --> 00:48:35.098]  They won't do it.
[00:48:35.458 --> 00:48:39.340]  Nineteen states, including California, have tried to pass laws.
[00:48:39.760 --> 00:48:45.943]  They can't get it done because of threats of lawsuits and intimidation tactics by the Monsanto lobby.
[00:48:46.616 --> 00:48:46.876]  Wow.
[00:48:47.337 --> 00:48:48.718]  Monsanto has got to be stopped.
[00:48:49.078 --> 00:48:50.420]  Let me just say that on the record.
[00:48:50.820 --> 00:48:56.426]  That is one of the most evil corporations, in my view, that has ever existed on this planet.
[00:48:56.466 --> 00:48:59.449]  They threaten the entire future of life on our planet.
[00:48:59.829 --> 00:49:02.352]  Not just agriculture, but human life as well.
[00:49:03.353 --> 00:49:06.176]  Stacey, if this proposition passes, what's going to happen?
[00:49:07.159 --> 00:49:11.382]  Well, I think that what's going to happen is, first of all, we'll see labeling in California.
[00:49:11.682 --> 00:49:14.364]  I think there'll be huge pressure across the country.
[00:49:14.884 --> 00:49:17.806]  Other states have already said they're going to be putting forth bills.
[00:49:18.506 --> 00:49:21.168]  I think we'll see renewed pressure on the FDA.
[00:49:21.748 --> 00:49:24.050]  I think there's no stopping this movement.
[00:49:24.270 --> 00:49:25.971]  People are waking up.
[00:49:26.051 --> 00:49:27.992]  They're seeing kids with allergies.
[00:49:28.012 --> 00:49:31.975]  They're seeing, you know, loved ones with chronic diseases and wondering what's going on.
[00:49:32.055 --> 00:49:36.098]  And the people that I talk to out there who are the passion behind this movement, the
[00:49:36.798 --> 00:49:40.080]  You know, we're looking up online on websites like yours.
[00:49:40.100 --> 00:49:43.281]  You know, what's happening with our food?
[00:49:43.461 --> 00:49:45.002]  Why are we seeing so much illness?
[00:49:45.142 --> 00:49:51.245]  Starting to research and finding very disturbing things about GMOs and about chemicals in our food system.
[00:49:51.506 --> 00:50:02.131]  And so I do think that we're seeing an awakening among consumers in general, but largely women and moms who are the ones that are buying the food for families and the product for homes.
[00:50:02.551 --> 00:50:04.292]  We don't want toxins in our food and our products.
[00:50:04.572 --> 00:50:09.034]  They better wake up, or their grandchildren are going to be born as mutants.
[00:50:09.334 --> 00:50:10.494]  I mean, literally.
[00:50:11.134 --> 00:50:12.515]  Or they may not even have grandchildren.
[00:50:12.555 --> 00:50:13.515]  They may not have children.
[00:50:13.875 --> 00:50:17.496]  I mean, if they don't wake up, it's the end of the line for their genetic lineage.
[00:50:17.576 --> 00:50:19.137]  I mean, that's how serious this is.
[00:50:20.114 --> 00:50:32.285]  Well, I think women are waking up, and I think that, you know, what we're doing in California is a huge part of just reaching the tipping point, because if we can win this, I think that the pressure for change will be unstoppable.
[00:50:33.626 --> 00:50:38.150]  And, you know, we just have six weeks left, but we need all the help that we can get.
[00:50:38.672 --> 00:50:39.132]  Well said.
[00:50:40.033 --> 00:50:41.774]  Stacey, Stacey Malkin.
[00:50:42.254 --> 00:50:43.935]  C-A-W-R-I-T-E-T-O-N-O-W-D-O-T-O-R-G.
[00:50:43.955 --> 00:50:45.035]  Visit their website, folks.
[00:50:45.055 --> 00:50:45.876]  Help support this.
[00:50:46.416 --> 00:50:47.257]  This really matters.
[00:50:47.797 --> 00:50:50.478]  And you know, and by the way, thanks for joining us, Stacey.
[00:50:50.498 --> 00:50:51.339]  It's great to have you on the show.
[00:50:51.499 --> 00:50:53.640]  Thanks so much for having me and for all your work too, Mike.
[00:50:53.851 --> 00:50:54.131]  You bet.
[00:50:54.552 --> 00:50:55.412]  All right, we'll be right back.
[00:50:56.073 --> 00:51:01.797]  A lot more straight ahead, including more GMO news and scientists saying they do want to kill you with GMOs.
[00:51:01.817 --> 00:51:02.498]  Yeah, they admit it.
[00:51:03.038 --> 00:51:04.119]  All that straight ahead right here.
[00:51:04.139 --> 00:51:10.564]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:51:10.584 --> 00:51:12.966]  78% of the Midwest corn belt is in drought conditions.
[00:51:13.166 --> 00:51:18.210]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:51:18.550 --> 00:51:23.254]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:51:23.514 --> 00:51:30.900]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[00:51:31.160 --> 00:51:34.843]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:51:35.023 --> 00:51:36.564]  Now is the time to get your supply.
[00:51:36.804 --> 00:51:40.687]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:51:40.827 --> 00:51:43.468]  You know about their delicious, long-term, storable foods.
[00:51:43.728 --> 00:51:46.370]  The fact is, you can eat it anytime to save money today.
[00:51:46.510 --> 00:51:50.933]  And because it stores for 25 years, you're locking in today's prices and avoiding the rising food cost.
[00:51:51.073 --> 00:51:51.613]  Don't wait!
[00:51:51.734 --> 00:51:54.075]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:51:54.195 --> 00:51:56.777]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:51:56.957 --> 00:51:58.798]  You can bet your life on eFoods Direct.
[00:52:03.809 --> 00:52:08.813]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:52:09.013 --> 00:52:18.140]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:52:18.380 --> 00:52:32.411]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:52:32.691 --> 00:52:36.532]  Order the Berkey Light System today, complete with two black Berkey elements for only $231.
[00:52:37.072 --> 00:52:40.634]  And the Berkey Guy will ship your order free of charge.
[00:52:40.814 --> 00:52:46.376]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:52:47.816 --> 00:52:49.957]  That's over 30% off the retail price.
[00:52:50.157 --> 00:52:51.077]  Call the Berkey guy at 1-877-886-3653.
[00:52:51.097 --> 00:52:51.298]  That's 1-877-886-3653.
[00:52:51.318 --> 00:52:52.098]  Or order online at GoBerkey.com.
[00:52:52.118 --> 00:52:52.798]  That's GoBerkey.com today!
[00:53:03.723 --> 00:53:04.944]  Don't throw away leftovers.
[00:53:05.284 --> 00:53:11.088]  Instead, throw all your leftovers, vegetable peels, eggshells, coffee grounds, pizza crusts, and more into the Bokashi!
[00:53:11.368 --> 00:53:19.293]  If you love to garden and compost, but don't like the hassle of turning a compost bin or the smell, then check out the E-M Bokashi Food Waste Recycling System from Terragonics.
[00:53:19.574 --> 00:53:25.037]  Finally, a way to recycle all your food and plant waste safely and effectively and stop using fertilizers.
[00:53:25.237 --> 00:53:27.439]  The E-M Bokashi Food Waste Recycling System.
[00:53:27.739 --> 00:53:37.501]  Rather than decomposition, the Bokashi system uses fermentation to break down waste, so it takes less time to create nutrient-dense humus for crops or gardens with no turning and no obnoxious odors.
[00:53:37.782 --> 00:53:42.663]  To learn more and order your Bokashi online, visit tarragonics.com and click on the orange button.
[00:53:42.863 --> 00:53:44.263]  That's tarragonics.com.
[00:53:44.483 --> 00:53:47.804]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:53:48.044 --> 00:53:50.087]  Or call 866-369-3678.
[00:53:50.267 --> 00:53:54.692]  That's 866-369-3678.
[00:53:54.953 --> 00:54:00.379]  Recycle all your food wastes in about six weeks with the Bokashi Food Waste Recycling System from Terragonics.com.
[00:54:00.620 --> 00:54:01.240]  Terragonics.
[00:54:01.581 --> 00:54:02.262]  Life's getting better!
[00:54:17.928 --> 00:54:22.016]  In constant sorrow, on his day.
[00:54:28.055 --> 00:54:29.016]  Yeah, we're continuing.
[00:54:29.396 --> 00:54:31.238]  Thanks for joining us here on the Alex Jones Show.
[00:54:31.778 --> 00:54:35.001]  This is Mike Adams, the health ranger, filling in for Alex today.
[00:54:35.021 --> 00:54:42.007]  Alex will be back with us tomorrow and tonight on InfoWars Nightly News, an interview with Gary Johnson at 7 p.m.
[00:54:42.367 --> 00:54:42.848]  Central Time.
[00:54:42.868 --> 00:54:47.552]  Of course, airing live on PrisonPlanet.tv for members and if you want to become a member.
[00:54:48.092 --> 00:54:51.414]  Remember, your membership is really like, what, six in one.
[00:54:51.434 --> 00:54:52.615]  I think you can use your password.
[00:54:53.175 --> 00:54:58.758]  You can give it out to five additional friends or family members, so multiple people can access that at the same time.
[00:54:59.299 --> 00:55:00.519]  Spread knowledge.
[00:55:00.919 --> 00:55:01.880]  That's what this is all about.
[00:55:02.360 --> 00:55:03.121]  Help spread awakening.
[00:55:04.335 --> 00:55:20.243]  Now, we just wrapped up an interview with Stacy Malkin from Proposition 37, and we're going to be joined very shortly by Anthony Gucciardi, who's got that email that I've been referring to, where a scientist says he really hopes that GMOs are effective at killing people.
[00:55:20.563 --> 00:55:21.283]  That's their goal!
[00:55:22.724 --> 00:55:25.865]  Wow, I mean, they just come out and admit that.
[00:55:26.066 --> 00:55:27.646]  Yeah, we know GMOs kill you!
[00:55:27.766 --> 00:55:28.507]  That's the plan!
[00:55:29.247 --> 00:55:32.553]  Eat more corn snacks and corn breakfast cereals.
[00:55:33.074 --> 00:55:33.795]  Kill yourself.
[00:55:34.116 --> 00:55:34.757]  That's what they say.
[00:55:35.802 --> 00:55:39.225]  But Stacy mentioned something that I want to comment on first, before we bring Anthony in.
[00:55:40.145 --> 00:55:44.749]  She mentioned that even people of faith are concerned about GMOs, and they should be.
[00:55:45.229 --> 00:55:57.118]  And I did some research on this, and I want to share some fascinating symbology that's going on with the GMO issue, and some symbols from Scripture, some of the stories from Scripture.
[00:55:58.379 --> 00:56:00.481]  This will be real quick, but check this out.
[00:56:01.485 --> 00:56:12.989]  If you look at the Garden of Eden story, and Adam and the forbidden fruit, and the tree of knowledge of good and evil that was there in the garden.
[00:56:13.029 --> 00:56:16.351]  Now, the tree of knowledge of good and evil represents
[00:56:17.628 --> 00:56:23.273]  In my view, at one level, discernment, being able to know the difference between what is good and what is evil.
[00:56:23.834 --> 00:56:32.782]  The apple, it was something that looked like healthy, regular food, but there was an evil element to it that was not visible.
[00:56:33.402 --> 00:56:34.583]  That is GMO.
[00:56:35.424 --> 00:56:38.367]  It looks like regular corn, but there's poison in it.
[00:56:38.767 --> 00:56:41.489]  Now, even worse, it's not just poison.
[00:56:42.583 --> 00:56:49.807]  In the Garden of Eden, there was the serpent that was, of course, trying to get Adam to eat of the forbidden fruit.
[00:56:50.728 --> 00:56:56.211]  And if you look at the symbol of Western medicine, that symbol is called the caduceus.
[00:56:56.652 --> 00:57:00.314]  And I think we've got an image to show on screen for those of you watching on PrisonPlanet.tv.
[00:57:00.994 --> 00:57:02.175]  If you could show that symbol, that'd be great.
[00:57:03.135 --> 00:57:03.436]  There it is.
[00:57:03.476 --> 00:57:06.918]  The caduceus is a symbol of two serpents intertwined.
[00:57:07.950 --> 00:57:16.373]  Two serpents intertwined, and this symbol is found on the diploma of virtually every medical doctor in America.
[00:57:16.833 --> 00:57:19.714]  This symbol is found at every medical school.
[00:57:20.254 --> 00:57:25.796]  It is emblazoned on virtually every medical text, every medical journal in America.
[00:57:25.836 --> 00:57:27.696]  You'll find this in doctor's offices.
[00:57:28.056 --> 00:57:32.758]  These two serpents that are intertwined in the shape of DNA.
[00:57:33.518 --> 00:57:35.139]  In the shape of DNA.
[00:57:36.351 --> 00:57:37.912]  So what does it represent?
[00:57:38.952 --> 00:57:41.194]  Evil DNA, in a sense.
[00:57:42.054 --> 00:57:45.596]  A satanic influence over the seed of life.
[00:57:46.156 --> 00:57:47.837]  And isn't that GMO?
[00:57:48.978 --> 00:57:50.479]  Isn't that what GMO really is?
[00:57:50.499 --> 00:57:58.823]  A destructive, demonic infiltration of the seeds of life that support sustainable life on our planet.
[00:57:59.344 --> 00:58:01.405]  So when you look back at the stories of the Bible,
[00:58:02.512 --> 00:58:16.218]  Even though GMOs didn't exist back then, obviously, or even, you know, 50 years ago, today they do, and those lessons still have merit today, because we've got to watch out for food that is infected with pure evil.
[00:58:17.218 --> 00:58:19.759]  And those symbols are all across Western medicine.
[00:58:19.879 --> 00:58:23.821]  Tells you the truth about what medicine, Western medicine, really stands for.
[00:58:25.081 --> 00:58:26.202]  Serpents and DNA, man.
[00:58:27.398 --> 00:58:28.019]  It's right there.
[00:58:28.039 --> 00:58:29.359]  It's right there on their diplomas.
[00:58:29.840 --> 00:58:30.560]  I'm not making it up.
[00:58:31.401 --> 00:58:39.366]  Anyway, we'll be back with Anthony Gucciardi right after this break and a lot more fascinating news about GMO scientists that say, yep, they want to kill you.
[00:58:39.386 --> 00:58:40.807]  Okay, we'll find out why.
[00:58:40.827 --> 00:58:41.648]  Stay with us.
[00:58:46.511 --> 00:58:50.454]  This is GCN, the Genesis Communications Radio Network.
[00:58:53.911 --> 00:58:57.293]  For thousands of years, silver has been used as both a medicine and a preservative.
[00:58:57.573 --> 00:58:59.034]  But not all silver is equal.
[00:58:59.334 --> 00:59:05.799]  SilverSol is an amazing new technology that has been clinically shown to be several hundred times more effective than colloid or ionic silvers.
[00:59:06.079 --> 00:59:09.481]  It can destroy thousands of times more pathogens than older silver technology.
[00:59:09.841 --> 00:59:17.307]  Silversol resonates at the same frequency as germicidal light used in labs to kill bacteria and viruses, enabling it to kill without direct contact.
[00:59:17.667 --> 00:59:24.452]  Silversol is a broad-spectrum microbial that creates no resistance and does not harm beneficial bacteria, making it ideal for daily use.
[00:59:24.792 --> 00:59:29.936]  It can be used internally as well as topically, and is highly effective against viruses, bacterias, molds, and yeasts.
[00:59:30.436 --> 00:59:36.500]  With threats like West Nile virus, colds, flus, or any other emergency situation, arm yourself with Supernatural Silver.
[00:59:36.960 --> 00:59:42.543]  Silver Sol Liquid and Gel are perfect for on-the-go emergency preparedness and can provide protection at home, school, or work.
[00:59:42.884 --> 00:59:46.066]  Go to SupernaturalSilver.com and be prepared for any emergency.
[00:59:46.486 --> 00:59:48.867]  Remember the promo code Alex says for 20% off.
[00:59:49.388 --> 00:59:53.230]  That's www.SupernaturalSilver.com and like us on Facebook.
[00:59:56.781 --> 00:59:58.702]  Waging war on corruption.
[00:59:59.183 --> 01:00:02.025]  Alex Jones on the GCN Radio Network.
[01:00:08.609 --> 01:00:09.269]  Big Brother.
[01:00:09.910 --> 01:00:10.950]  Mainstream media.
[01:00:11.691 --> 01:00:12.852]  Government cover-ups.
[01:00:13.432 --> 01:00:14.273]  You want answers?
[01:00:15.033 --> 01:00:15.934]  Well, so does he.
[01:00:16.574 --> 01:00:20.217]  He's Alex Jones on the GCN Radio Network.
[01:00:20.757 --> 01:00:24.860]  And now, live from Austin, Texas, Alex Jones.
[01:00:30.031 --> 01:00:32.472]  We're already into hour two here.
[01:00:32.492 --> 01:00:33.653]  Wow.
[01:00:34.113 --> 01:00:36.455]  Time flies when you're waking people up, doesn't it?
[01:00:36.755 --> 01:00:39.156]  This is Mike Adams, the health ranger, filling in for Alex today.
[01:00:39.196 --> 01:00:40.577]  Thank you for continuing with us.
[01:00:40.597 --> 01:00:47.981]  We've got Anthony Gucciardi from NaturalSociety.com joining us by Skype video here in a second.
[01:00:48.701 --> 01:00:49.662]  But first, an announcement.
[01:00:50.731 --> 01:00:57.297]  For those in the Austin area, Governor Gary Johnson is holding a rally today at 5 to 7 p.m.
[01:00:58.238 --> 01:01:01.721]  at the University of Texas, the Hogg Memorial Auditorium.
[01:01:02.382 --> 01:01:08.888]  So you want to check out Gary Johnson, who's on InfoWars Nightly News tonight, go check that out at 5 p.m.
[01:01:09.488 --> 01:01:11.130]  right here in Austin, Texas.
[01:01:13.206 --> 01:01:14.886]  I want to introduce Anthony Gucciardi.
[01:01:14.906 --> 01:01:18.187]  He's been a frequent guest on InfoWars Nightly News.
[01:01:18.627 --> 01:01:25.188]  His website is NaturalSociety.com and he's a very skilled researcher and a good writer too.
[01:01:25.248 --> 01:01:39.611]  He's been able to put together a lot of fascinating articles about what's really happening behind the scenes with GMOs and other issues and he's got some frightening email to share with us today plus a lot of other information.
[01:01:40.211 --> 01:01:50.269]  And we're going to go over this whole thing about GMOs and the anti-human technology that these scientists, so-called scientists, are trying to push on us.
[01:01:50.830 --> 01:01:52.493]  Anthony, thanks for joining us today.
[01:01:52.513 --> 01:01:53.254]  It's great to have you on.
[01:01:53.749 --> 01:01:54.950]  Thanks a lot for having me on, Mike.
[01:01:55.090 --> 01:01:56.871]  And I think it really is anti-human.
[01:01:57.331 --> 01:02:02.314]  As you'll see in this letter, I called it, as well as you do, a traitor against humanity.
[01:02:02.394 --> 01:02:07.517]  These scientists who are essentially creating these gene-altering foods that are in the food supply.
[01:02:07.917 --> 01:02:10.919]  And they're really offended when we call them by that name as well.
[01:02:11.019 --> 01:02:15.441]  That's why you can see the blind rage in this letter is amazing.
[01:02:15.461 --> 01:02:17.522]  And he just thoroughly admits everything.
[01:02:18.163 --> 01:02:18.663]  Lays it down.
[01:02:18.823 --> 01:02:24.786]  We're going to save this letter until 8 after because not all the radio stations carry this particular segment.
[01:02:25.887 --> 01:02:30.669]  But I appreciate you bringing that to us here at InfoWars and it is shocking.
[01:02:30.970 --> 01:02:35.652]  I've read the letter, you sent it to me in advance and it's absolutely shocking.
[01:02:37.233 --> 01:02:44.237]  I've got a list here of some of what I want to cover, but give us a preview of what we're going to talk about during this coming hour, Anthony.
[01:02:44.704 --> 01:02:59.310]  Well I think it's important that we revisit two key GMO studies and that's the wheat study and then the Roundup study that was done in France and that France is now looking into and potentially calling for a worldwide ban on GMOs and with any luck they will do that.
[01:02:59.410 --> 01:03:07.873]  It seems they really have a backbone as opposed to the United States, which is essentially co-opted by Monsanto goons in pretty much every cabinet there is.
[01:03:08.333 --> 01:03:12.635]  And then we can also talk about some of these ridiculous rebuttals to the study.
[01:03:12.935 --> 01:03:16.922]  Like this one guy saying that, oh, if GMOs were so bad, then we'd see an increase in disease.
[01:03:16.963 --> 01:03:17.724]  But we don't see that.
[01:03:18.205 --> 01:03:19.006]  No, we do!
