[00:00:00.684 --> 00:00:01.005]  I got it.
[00:25:31.320 --> 00:25:39.822]  They knew when California passed giant 20-plus percent carbon taxes two years ago that would cause a fleeing from California by businesses of all types.
[00:25:39.822 --> 00:25:40.823]  They don't care.
[00:25:40.823 --> 00:25:45.764]  In fact, they want to destroy the economy and then get more people on the welfare rolls.
[00:25:45.764 --> 00:25:53.166]  Our only businesses can survive that get government subsidies or who wrote the regulations to exempt themselves.
[00:25:53.166 --> 00:25:55.927]  See, we're going into a mafia form of government.
[00:25:56.647 --> 00:25:58.668]  Now, that's the worst financial news.
[00:25:58.668 --> 00:26:02.951]  If you look at the political news, you've got the UN and NATO commanding our military.
[00:26:02.951 --> 00:26:10.976]  You've got Obama shutting down the power plants that aren't owned by General Electric and a handful of other companies, the coal power plants.
[00:26:10.976 --> 00:26:13.818]  If you're General Electric, you can burn dirty, it doesn't even matter.
[00:26:13.818 --> 00:26:18.761]  If you're clean burning and only carbon dioxide and water comes out the top, you're not a globalist, you're shut down.
[00:26:19.758 --> 00:26:23.781]  Many areas of the country have already seen 30-40% increases in the last three and a half years.
[00:26:23.781 --> 00:26:25.802]  Places like Austin have seen a doubling on average.
[00:26:25.802 --> 00:26:28.224]  We're talking about another doubling in the next four years.
[00:26:28.224 --> 00:26:30.945]  I mean, just type in Austin power to double again.
[00:26:30.945 --> 00:26:34.688]  You'll get Austin Energy admitting it themselves.
[00:26:34.688 --> 00:26:36.489]  Those are low estimates.
[00:26:36.489 --> 00:26:38.330]  And I'm just using where I live, folks.
[00:26:38.330 --> 00:26:40.852]  This is bank robbery.
[00:26:40.852 --> 00:26:43.014]  People think of only robbing banks with a gun.
[00:26:43.014 --> 00:26:49.098]  No, no, the real way to rob things is controlling regulations, shutting down your competition, exempting yourself.
[00:26:50.098 --> 00:27:00.142]  But now Obama wants dictatorial power to increase debt and John Cornyn of Texas again told Fox News it's profoundly irresponsible.
[00:27:00.142 --> 00:27:04.123]  So that's a crazy idea and I'm amazed Secretary Geithner had the courage to float it.
[00:27:04.123 --> 00:27:05.344]  And what is it?
[00:27:05.344 --> 00:27:08.945]  Kurt Nemo breaks it down with links to Geithner's own statements and releases.
[00:27:10.067 --> 00:27:13.708]  And it says Obama wants dictatorial power to increase debt.
[00:27:13.708 --> 00:27:26.411]  The former president of the Federal Reserve Bank of New York and current Treasury boss Tim Geithner has informed Republicans that Obama wants absolute authority to increase national debt, taking the power away from Congress.
[00:27:26.411 --> 00:27:34.293]  And we've got traders in Congress saying, oh yeah, we'll hand that authority over to you so everyone gets used to the president launching wars.
[00:27:37.245 --> 00:27:39.266]  Increasing taxes.
[00:27:39.266 --> 00:27:42.507]  Doing signing statements that become executive orders on law.
[00:27:42.507 --> 00:27:45.809]  Hiring nothing but foreign lobbyists to run things.
[00:27:45.809 --> 00:27:57.734]  And folks, just this week, the Transportation Committee in the House wanted to call the head of the TSA, Pistole, up before him.
[00:27:57.734 --> 00:28:04.217]  And he wrote him a letter saying, you do not have jurisdiction over us in the executive bureaucracy.
[00:28:04.217 --> 00:28:06.278]  Folks, if you didn't know in the Constitution,
[00:28:07.657 --> 00:28:12.360]  It states over and over again, Congress is where the bills start.
[00:28:12.360 --> 00:28:15.101]  Everybody remembers Schoolhouse Rock in the 70s, don't you?
[00:28:15.101 --> 00:28:23.025]  About how the bill goes there, and they levy the bill, and they levy the taxes, and the Congress, you know, commissions the officers and declares the wars.
[00:28:23.025 --> 00:28:25.787]  Because you can't just let the President appoint his own military men.
[00:28:25.787 --> 00:28:28.228]  He'll do a coup d'etat, like Julius Caesar.
[00:28:28.228 --> 00:28:29.989]  Or Adolf Hitler.
[00:28:29.989 --> 00:28:31.910]  I mean, this happens over and over again.
[00:28:31.910 --> 00:28:33.851]  Or Hugo Chavez.
[00:28:33.851 --> 00:28:34.711]  Or Joe Stalin.
[00:28:38.424 --> 00:28:39.685]  This is what's amazing me.
[00:28:39.685 --> 00:28:44.308]  I mean, this is what's absolutely blowing me away here.
[00:28:44.308 --> 00:28:48.391]  Is that we are going into a dictatorship, and it's not even a dictatorship of Obama.
[00:28:48.391 --> 00:28:49.812]  They come and go.
[00:28:49.812 --> 00:28:53.815]  But the office itself, run by foreign interest, is dictatorial.
[00:28:53.815 --> 00:28:55.796]  None of us are safe under this.
[00:28:55.796 --> 00:28:58.138]  We'll continue on the other side, tying us into the economy.
[00:29:00.663 --> 00:29:06.447]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:29:06.447 --> 00:29:13.813]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:29:13.813 --> 00:29:16.535]  We're battling the globalists on so many fronts.
[00:29:16.535 --> 00:29:22.600]  Health is an area where we can all take control of our lives and it all starts with that basic building block of water.
[00:29:23.260 --> 00:29:26.303]  It is time to purify our family's water.
[00:29:26.303 --> 00:29:33.188]  The ProPure filtration system with added fluoride filters is the best system from my research to protect you and your family.
[00:29:33.188 --> 00:29:38.472]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[00:29:38.472 --> 00:29:44.157]  But until December 10th, we are going to offer 15% off the already lowest price.
[00:29:44.517 --> 00:29:46.820]  I know what I'm giving my family this Christmas.
[00:29:46.820 --> 00:29:47.561]  ProPure.
[00:29:47.561 --> 00:29:53.567]  Go to Infowarsstore.com and get 15% off the already lowest price out there with the code WATER15.
[00:29:53.567 --> 00:29:55.870]  WATER15 and you get 15% off at Infowarsstore.com.
[00:30:00.017 --> 00:30:03.061]  Have you ever wanted to generate your own supply of electrical power?
[00:30:03.061 --> 00:30:05.044]  Even save money on your electric bill?
[00:30:05.044 --> 00:30:08.669]  If so, this could be one of the most important messages you will ever hear.
[00:30:08.669 --> 00:30:10.872]  Solar power generators are now available.
[00:30:10.872 --> 00:30:14.937]  These emergency backup systems provide life-saving electrical power, unlike gas.
[00:30:14.977 --> 00:30:20.585]  With gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:30:20.585 --> 00:30:24.310]  It's like having an electrical power plant running quietly in your own home.
[00:30:24.310 --> 00:30:32.141]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling, whether it's hurricanes, ice storms, brownouts, or blackouts.
[00:30:32.301 --> 00:30:35.002]  You'll never suffer through painful power outages again.
[00:30:35.002 --> 00:30:36.302]  And here's the best news.
[00:30:36.302 --> 00:30:39.463]  A remarkable fall truckload sale is going on right now.
[00:30:39.463 --> 00:30:43.363]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:30:43.363 --> 00:30:51.225]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:30:51.225 --> 00:30:53.306]  That's falltruckloadsale.com.
[00:30:53.306 --> 00:30:55.466]  Generate your own supply of electricity.
[00:30:55.466 --> 00:30:57.527]  Go to falltruckloadsale.com.
[00:30:57.527 --> 00:30:59.327]  That's falltruckloadsale.com.
[00:30:59.907 --> 00:31:04.030]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:31:04.030 --> 00:31:05.251]  Don't be one of them!
[00:31:05.251 --> 00:31:10.955]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:31:10.955 --> 00:31:20.761]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:31:20.761 --> 00:31:27.426]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:31:27.546 --> 00:31:31.888]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:31:31.888 --> 00:31:40.993]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:31:40.993 --> 00:31:44.655]  The Science Digest Journal says silver is our mightiest germ fighter.
[00:31:44.655 --> 00:31:48.477]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:31:48.477 --> 00:31:54.881]  Go to SupernaturalSilver.com today and use the promo code silver2012 for 20% off.
[00:31:54.881 --> 00:31:56.622]  That's SupernaturalSilver.com.
[00:31:57.162 --> 00:31:58.322]  And like us on Facebook!
[00:32:19.108 --> 00:32:24.310]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:32:24.310 --> 00:32:26.992]  It's time to get your own supply from eFoodsDirect.
[00:32:26.992 --> 00:32:30.633]  I know I won't be standing in a bread line trading my freedom for food.
[00:32:30.633 --> 00:32:34.335]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:32:34.875 --> 00:32:38.318]  Go to efoodsdirect.com forward slash Alex to find the specials.
[00:32:38.318 --> 00:32:42.722]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:32:42.722 --> 00:32:45.925]  Remember, I can warn you, but I can't feed you.
[00:32:45.925 --> 00:32:50.710]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:32:50.710 --> 00:32:53.873]  Would you rather prepare six months too early or one day too late?
[00:32:53.873 --> 00:32:58.357]  409-5633 or efoodsdirect.com forward slash Alex.
[00:33:01.198 --> 00:33:02.719]  Coast to coast.
[00:33:02.719 --> 00:33:04.781]  Direct from Austin.
[00:33:04.781 --> 00:33:08.604]  You're listening to the Alex Jones Broadcasting Network.
[00:33:08.604 --> 00:33:20.834]  We are on the march.
[00:33:20.834 --> 00:33:24.017]  The empire is on the run.
[00:33:24.017 --> 00:33:27.680]  Alex Jones and the GCN Radio Network.
[00:33:45.276 --> 00:33:46.739]  I don't know.
[00:34:00.666 --> 00:34:20.343]  Welcome back ladies and gentlemen I am your host Alex Jones and we are live on this second day of December 2012 and we now have over 140 AM and FM affiliates between the weekday show and the Sunday show in fact it's even more than that right now and I'm very thankful to all of our stations
[00:34:21.044 --> 00:34:25.147]  And I'm going to start every Sunday spending a few minutes starting next week.
[00:34:25.147 --> 00:34:34.033]  It's up to my great crew to remind me to get this ready every week and have one of our affiliates in focus here on air and talk about some of the things that those stations offer and have.
[00:34:34.033 --> 00:34:36.114]  And I'm going to do that for the weekday affiliates.
[00:34:36.114 --> 00:34:37.095]  A lot of them crossover.
[00:34:37.535 --> 00:34:47.663]  But what happens is stations pick up the Sunday show and invariably within a few months we're on the station weeknights and then live within six months weekdays.
[00:34:47.663 --> 00:34:52.646]  So that is the pattern and that's why I started doing this Sunday show now six years ago.
[00:34:52.646 --> 00:34:56.770]  I've been on talk radio for now 16 years.
[00:34:56.770 --> 00:35:02.134]  Started out on AXS television 17 years ago and it's a true American success story and I appreciate
[00:35:02.854 --> 00:35:08.535]  All of you putting up with me over the years as we've grown and tried to learn more about how this world really works.
[00:35:08.535 --> 00:35:15.757]  And I think, unfortunately, it's been proven that we've been extremely accurate chronicling what's going on.
[00:35:15.757 --> 00:35:21.858]  And it is a good sign that we're getting on so many stations showing America starting to actually wake up.
[00:35:21.858 --> 00:35:31.600]  But it's also a bad sign that things have gotten so bad and the globalists have gotten so overt in what they're doing that now world government is just out in the open.
[00:35:32.998 --> 00:35:35.999]  Private Corporate World Government.
[00:35:35.999 --> 00:35:37.099]  Anti-free market.
[00:35:37.099 --> 00:35:38.300]  Remember that.
[00:35:38.300 --> 00:35:40.680]  Okay, I want to go to a special report here in a moment.
[00:35:40.680 --> 00:35:42.901]  We've got several more coming up.
[00:35:42.901 --> 00:35:47.042]  When we start the next hour, I'm going to get into the UN takeover of the Internet.
[00:35:47.042 --> 00:35:48.843]  And, I mean, that's complete mainstream news.
[00:35:50.243 --> 00:35:55.905]  They admit the UN is taking it over, but if you don't like it, you're still an extremist.
[00:35:55.905 --> 00:36:04.388]  And the UN, by the way, does call for restrictions on free speech in Article 29 and Article 30 of their Universal Declaration of Human Rights.
[00:36:04.388 --> 00:36:16.253]  It says you have all these great rights, rights to other people's money, rights to have your guns taken, rights to socialism, basically, rights to collectivism, rights to education, all this other baloney.
[00:36:17.133 --> 00:36:21.836]  But then it says, unless the UN says, and then it can anytime at once turn those off.
[00:36:21.836 --> 00:36:31.743]  And that brings me to this next big point that ties into all of the deception that we're seeing.
[00:36:31.743 --> 00:36:37.487]  And I actually fell for this on Friday.
[00:36:37.487 --> 00:36:43.391]  On Friday, on November 30th, I actually fell for this.
[00:36:45.100 --> 00:36:48.643]  Because I like Rand Paul.
[00:36:48.643 --> 00:36:52.046]  I know Rand Paul for about 14 years and I supported him for the Senate run.
[00:36:52.046 --> 00:36:54.348]  I think he's a good guy overall.
[00:36:54.348 --> 00:36:58.191]  But he does need to respond to this on Monday.
[00:36:58.191 --> 00:37:09.000]  Because I saw the press release and I saw the media cover it that the NDAA secret arrest provisions, the American people, had been repealed.
[00:37:09.000 --> 00:37:12.883]  And I went on air because of who was saying it and I trusted it.
[00:37:14.383 --> 00:37:17.164]  Even though it was mainstream media quoting Rand Paul.
[00:37:17.164 --> 00:37:19.165]  And it's not true.
[00:37:19.165 --> 00:37:21.546]  Not true.
[00:37:21.546 --> 00:37:27.989]  And even Alex Jones gets sucker-punched because maybe that happened to Rand.
[00:37:27.989 --> 00:37:37.573]  I mean, remember in 2008 when the NATO launched a sneak attack on Russian-held areas of northern Georgia, south of Bessetia and Abkhazia?
[00:37:37.573 --> 00:37:39.594]  I went on air that day and said Russia has attacked.
[00:37:40.660 --> 00:37:46.946]  And then all of a sudden they ran in with all these foreign reports, and a week later our media admitted that NATO had actually snuck attack with Georgian forces.
[00:37:46.946 --> 00:37:49.228]  But, I mean, just the level of deception.
[00:37:49.228 --> 00:37:51.690]  It was like Obama saying, I'm against the NDAA.
[00:37:51.690 --> 00:37:54.653]  And it turned out he actually, and his people wrote it.
[00:37:54.653 --> 00:37:56.094]  And he said he wouldn't sign it, and he did.
[00:37:58.498 --> 00:38:12.628]  It's mind-bending, mind-boggling sometimes to see all of this, but sure enough, LewRockwell.com, they did the analysis on Friday, and since then it's been confirmed.
[00:38:14.119 --> 00:38:21.061]  It says, unless an act of Congress expressly authorizes such detention, which the last act of Congress did.
[00:38:21.061 --> 00:38:38.667]  So it says, they're not allowed to secretly arrest and disappear you, unless there's an act of Congress saying it, which the last act of Congress, NDAA, from December 31st, 2011, remember that Obama signed, passed two days before that, December 21st, 2011.
[00:38:41.963 --> 00:38:48.506]  29th it was, that Obama signed it New Year's Eve, December 31st.
[00:38:48.506 --> 00:38:54.209]  And the average person is not a lawyer, and doesn't know what they're reading here, but it's been looked at.
[00:38:54.209 --> 00:38:58.892]  Now there's a bunch of constitutional law groups out saying just new levels of deception.
[00:38:58.892 --> 00:39:01.093]  Don't worry, we're not going to secretly arrest you.
[00:39:01.093 --> 00:39:02.934]  Don't worry, we're not listening to you without warrants.
[00:39:02.934 --> 00:39:03.994]  Remember that five years ago?
[00:39:03.994 --> 00:39:06.536]  And now they go, we listen to everything you do illegally.
[00:39:06.536 --> 00:39:06.916]  Shut up!
[00:39:08.491 --> 00:39:17.835]  This is how these globalists operate now, and it is absolutely, thoroughly disgusting.
[00:39:17.835 --> 00:39:27.719]  Again, we're going to get into a report on Manchurian candidate Mind Control that mainstream media has been picking up concerning the Batman shooter now.
[00:39:27.719 --> 00:39:29.960]  We come back in the next segment, and then I'm going to get into
[00:39:30.840 --> 00:39:41.250]  Globalist propaganda airing on our airwaves with taxpayer money and I'm going to get into the UN takeover of the internet as I mentioned on this Sunday News Blitz every Sunday 4 to 6 p.m.
[00:39:41.250 --> 00:39:41.970]  Central.
[00:39:41.970 --> 00:39:44.513]  Of course there's the weekday show 11 a.m.
[00:39:44.513 --> 00:39:45.073]  to 2 p.m.
[00:39:45.073 --> 00:39:47.095]  Central Standard Time.
[00:39:47.095 --> 00:39:50.818]  The government can still black bag any American.
[00:39:51.559 --> 00:40:17.287]  The Senate passed the much-ballyhooed Feinstein-Lee Amendment last night, which supposedly partially nullifies the provision in the National Defense Authorization Act, NDAA, allowing Americans to be kidnapped by the government, black-bagged, you know, bag over the head, go into a van, and disappear, which they do all over the world to other people, priming the pump, without any charge of due process, including being taken to torture centers, like the Benghazi Center, down the street from where the ambassador got killed.
[00:40:17.287 --> 00:40:18.308]  Oh yeah, the torture continues.
[00:40:19.248 --> 00:40:29.771]  Senator Rand Paul put out a press release declaring victory, but as Congressman Justin Amash points out, the wording of the amendment effectively codifies tyranny.
[00:40:29.771 --> 00:40:43.555]  And they also, New American Magazine picked this up, but also Associated Press, it also gets rid of posse comitatus, the new reauthorization is even worse, saying yeah, no, troops can't arrest for political reasons and disappear American citizens.
[00:40:43.555 --> 00:40:44.436]  Well, that's already in the
[00:40:46.101 --> 00:40:46.901]  Army Manual.
[00:40:46.901 --> 00:40:48.422]  In fact, I forget the exact code of it.
[00:40:48.422 --> 00:40:50.983]  You guys type in Army Manual.
[00:40:50.983 --> 00:40:54.985]  Army Manual Re-education.
[00:40:54.985 --> 00:40:59.588]  And it says how they'll round us up, how they'll put us in re-education camps.
[00:40:59.588 --> 00:41:00.108]  That's from 2010.
[00:41:00.108 --> 00:41:04.010]  They classified this year.
[00:41:04.010 --> 00:41:06.011]  So, it's all right here.
[00:41:06.011 --> 00:41:06.931]  And it's for you.
[00:41:06.931 --> 00:41:09.553]  Remember, the entire Homeland Security training system
[00:41:10.293 --> 00:41:29.368]  From the Homeland Security documents that we've broken repeatedly, the MIAC report, the Homeland Security reports, you remember those, Shang, returning veterans, the number one terror threat, gun owners, conservatives, libertarians, land rights activists, Christians who believe in the second coming of Christ, the entire military, the entire police force, they all, they had a drill this weekend in Austin.
[00:41:29.368 --> 00:41:31.829]  There was even a press release put out.
[00:41:31.829 --> 00:41:38.695]  And we're so conditioned by this, we didn't even, I said send reporters on Friday, but I'm told it didn't happen, which is okay, people deserve a day off.
[00:41:39.875 --> 00:41:50.602]  But the reporters were telling me about it, they showed me the press release, where the city of Austin was practicing with the feds for a terror attack, a dirty bomb attack, and guess how it started?
[00:41:50.602 --> 00:41:52.483]  Libertarians.
[00:41:52.483 --> 00:41:55.525]  The Libertarians are rioting and then a dirty bomb goes off.
[00:41:56.661 --> 00:42:11.948]  I mean, they have drills where homeschoolers, people dressed up in camouflage, attack the elementary school, and it's cops dressed up, saying that they're militias against government schools, and they come in and scare the kids, and then tell the parents, well, we've got to do this.
[00:42:11.948 --> 00:42:13.689]  It's all part of a demonization.
[00:42:13.689 --> 00:42:15.170]  There it is.
[00:42:15.170 --> 00:42:18.731]  Interment Resettlement Operations for the United States, February 2010, FM 3-39.40.
[00:42:18.731 --> 00:42:19.111]  Thank you.
[00:42:22.833 --> 00:42:23.534]  Good job, guys.
[00:42:23.534 --> 00:42:24.455]  There you go.
[00:42:24.455 --> 00:42:26.317]  Or the Civilian Inmate Labor Camp Program.
[00:42:26.317 --> 00:42:26.938]  Just type that in.
[00:42:26.938 --> 00:42:28.339]  You'll be at army.mil.
[00:42:28.339 --> 00:42:31.403]  Or the Model States Health Emergency Powers Act.
[00:42:31.403 --> 00:42:34.786]  Or the Clergy Response Team Program for martial law.
[00:42:34.786 --> 00:42:36.849]  Or the Emergency Centers Establishment Act.
[00:42:36.849 --> 00:42:43.716]  I mean, I'm telling you, FEMA camps, where they're at, how they operate, hundreds of thousands of jail guards, now trained and ready.
[00:42:44.598 --> 00:42:48.687]  And, uh, you know, they take you back in the camp, rape your family, pull your teeth out with pliers.
[00:42:48.687 --> 00:42:50.452]  That's what they do overseas at black sites.
[00:42:50.452 --> 00:42:52.757]  That's what they're training for here in the United States.
[00:42:52.757 --> 00:42:53.439]  We'll be right back.
[00:42:53.439 --> 00:42:53.840]  Stay with us.
[00:43:00.800 --> 00:43:06.584]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:43:06.584 --> 00:43:13.948]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:43:13.948 --> 00:43:16.690]  We're battling the globalists on so many fronts.
[00:43:16.690 --> 00:43:22.734]  Health is an area where we can all take control of our lives, and it all starts with that basic building block of water.
[00:43:23.394 --> 00:43:26.439]  It is time to purify our family's water.
[00:43:26.439 --> 00:43:33.330]  The ProPure filtration system with added fluoride filters is the best system for my research to protect you and your family.
[00:43:33.330 --> 00:43:38.398]  Infowarshstore.com already has the lowest prices on ProPure water filtration.
[00:43:38.618 --> 00:43:44.664]  But until December 10th, we are going to offer 15% off the already lowest price.
[00:43:44.664 --> 00:43:46.987]  I know what I'm giving my family this Christmas.
[00:43:46.987 --> 00:43:47.708]  ProPure.
[00:43:47.708 --> 00:43:53.714]  Go to InfowarsStore.com and get 15% off the already lowest price out there with the code WATER15.
[00:43:53.714 --> 00:43:55.976]  WATER15 and you get 15% off at InfowarsStore.com.
[00:44:02.279 --> 00:44:10.406]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:44:10.406 --> 00:44:14.469]  Alex and his staff have used these pure soap products for years.
[00:44:14.469 --> 00:44:21.776]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:44:21.776 --> 00:44:24.598]  See them on the web at 5starsoap.com.
[00:44:24.798 --> 00:44:29.641]  Or call 800-340-7091 for a free catalog.
[00:44:29.641 --> 00:44:35.564]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:44:35.564 --> 00:44:40.987]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:44:40.987 --> 00:44:42.968]  This is an amazing deal.
[00:44:42.968 --> 00:44:48.211]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:44:48.211 --> 00:44:51.333]  See them on the web at 5starsoap.com or call
[00:44:51.573 --> 00:44:53.056]  Call 800-340-7091 for a free catalog.
[00:44:59.967 --> 00:45:04.069]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:45:04.069 --> 00:45:05.290]  Don't be one of them!
[00:45:05.290 --> 00:45:10.992]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:45:10.992 --> 00:45:20.797]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:45:20.797 --> 00:45:27.460]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:45:27.580 --> 00:45:31.923]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:45:31.923 --> 00:45:41.029]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:45:41.029 --> 00:45:44.691]  The Science Digest Journal says silver is our mightiest germ fighter.
[00:45:44.691 --> 00:45:48.534]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:45:48.534 --> 00:45:54.918]  Go to SupernaturalSilver.com today and use the promo code silver2012 for 20% off.
[00:45:54.918 --> 00:45:56.979]  That's SupernaturalSilver.com.
[00:45:57.199 --> 00:45:58.360]  And like us on Facebook!
[00:46:19.173 --> 00:46:24.376]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:46:24.376 --> 00:46:27.057]  It's time to get your own supply from eFoodsDirect.
[00:46:27.057 --> 00:46:30.698]  I know I won't be standing in a bread line trading my freedom for food.
[00:46:30.698 --> 00:46:34.460]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:46:34.460 --> 00:46:38.102]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:46:38.382 --> 00:46:42.785]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:46:42.785 --> 00:46:45.987]  Remember, I can warn you, but I can't feed you.
[00:46:45.987 --> 00:46:50.770]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:46:50.770 --> 00:46:53.912]  Would you rather prepare six months too early or one day too late?
[00:46:53.912 --> 00:46:58.415]  409-5633 or efoodsdirect.com forward slash Alex.
[00:47:01.314 --> 00:47:04.917]  Coast to coast, direct from Austin.
[00:47:04.917 --> 00:47:12.945]  You're listening to the Alex Jones Broadcasting Network.
[00:47:12.945 --> 00:47:20.692]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:47:48.526 --> 00:47:51.029]  We are back live ladies and gentlemen and I am here.
[00:47:52.196 --> 00:47:55.297]  on the radio every Sunday 4 to 6 p.m.
[00:47:55.297 --> 00:48:15.041]  I am so busy during the breaks going over all this news that I'm coming in later and later on these segments I need to come in a little bit a little bit quicker there I apologize but I'm just pouring over all this news and and the TSA head won't go before Congress because he says they don't have jurisdiction over him and
[00:48:16.721 --> 00:48:24.545]  Obama is telling Congress, just give the power of the purse over to me and you can blame me for bringing us into debt.
[00:48:24.545 --> 00:48:32.868]  Because he doesn't care, he's a Goldman Sachs, JPMorgan frontman, just like Mitt Romney was on record.
[00:48:32.868 --> 00:48:43.013]  And Congress will end up getting held hostage when the economy starts shutting down, when the welfare checks aren't showing up, or when the credits aren't showing up in the welfare cards.
[00:48:45.526 --> 00:48:46.787]  And they will hold us hostage.
[00:48:46.787 --> 00:48:49.568]  They can drop the stock market.
[00:48:49.568 --> 00:48:51.729]  They can do any number of things.
[00:48:51.729 --> 00:48:52.690]  Hold us hostage.
[00:48:52.690 --> 00:48:59.773]  I was listening to Bloomberg Radio earlier this year, off and on, when they were talking about the EU crisis.
[00:48:59.773 --> 00:49:06.937]  And they were bragging with top bankers and hedge fund managers on there that, listen, we can hold Europe hostage.
[00:49:06.937 --> 00:49:14.021]  They will raise taxes to pay off the derivatives, or we will simply drop their markets and give them no credit.
[00:49:15.512 --> 00:49:23.496]  Again, the countries have no credit because they've signed on to the bankers' derivatives fraud.
[00:49:23.496 --> 00:49:34.342]  And then they do this Svengali trick where there's $16 trillion debt, which sounds big compared to the $644 trillion of the $1.5 quadrillion, $1,500 trillion, that the Washington Post two years ago.
[00:49:40.868 --> 00:49:43.130]  That isn't Alex Jones saying that.
[00:49:43.130 --> 00:49:48.593]  I remember in Obama Deception that we made almost four years ago.
[00:49:48.593 --> 00:49:49.934]  That's like prophecy now.
[00:49:49.934 --> 00:49:50.715]  It's free online.
[00:49:50.715 --> 00:49:54.597]  I mean, it all came true because we knew what their battle plan was.
[00:49:54.597 --> 00:49:59.901]  Like we had the playbook of the coach before the game and exactly what they were going to do.
[00:49:59.901 --> 00:50:10.548]  If X happens, they do Y. And that's a very frustrating thing to sit here and to know the facts, do the research, know you're right, know what they're going to do.
[00:50:12.597 --> 00:50:16.247]  And know that they get on the radio.
[00:50:16.247 --> 00:50:17.931]  Well, it's TV with a radio feed.
[00:50:17.931 --> 00:50:18.934]  I was listening to it on XM.
[00:50:20.000 --> 00:50:26.023]  And in multiple shows, hear them brag that, oh, we've conquered Europe, we've conquered the U.S.
[00:50:26.023 --> 00:50:29.345]  There's no way they'll get away, you know, from us.
[00:50:29.345 --> 00:50:31.526]  We'll just drop the stock market.
[00:50:31.526 --> 00:50:33.047]  And they write this in news articles.
[00:50:33.047 --> 00:50:36.488]  Anybody who's an investor and reads this stuff, you see it out there.
[00:50:36.488 --> 00:50:38.269]  They admit it on CNBC.
[00:50:38.269 --> 00:50:40.190]  They admit it in even Time Magazine.
[00:50:40.190 --> 00:50:43.312]  And I'm sitting here while megabanks brag they've conquered me.
[00:50:43.312 --> 00:50:47.014]  They've signed me over to all their fake debt that they created
[00:50:47.674 --> 00:50:57.402]  As a millstone around the neck, as a giant ball and chain around the people of Europe and the United States, Canada, Australia, New Zealand's necks.
[00:50:57.402 --> 00:51:02.546]  They've taken the wealthy West, signed us onto their debt, and they tell us, well, it's your debt.
[00:51:02.546 --> 00:51:05.749]  You know, all these welfare people, 16 trillion debt.
[00:51:07.344 --> 00:51:20.368]  16 trillion when almost three years ago the Washington Post admitted $644 trillion in derivatives that the United States has signed on to.
[00:51:20.368 --> 00:51:24.410]  That's our global share of the 1.5 quadrillion.
[00:51:24.410 --> 00:51:29.411]  And by the way guys, I forget the exact Washington Post headline, but if you type in 644 trillion or maybe 645, memory, type in 640
