[00:00:00.169 --> 00:00:01.290]  Serious tax problem.
[00:22:48.735 --> 00:22:58.840]  It's always governments and media that say this, and then when there isn't an attack this week, and I pray to God there isn't, you're going to call me up and say, you said there was going to be an attack this week.
[00:22:59.741 --> 00:23:02.823]  There's two aircraft carrier groups in the Persian Gulf.
[00:23:03.803 --> 00:23:08.826]  There are four other fleets there with different configurations of ships.
[00:23:09.266 --> 00:23:10.787]  Hundreds of large craft.
[00:23:12.018 --> 00:23:13.939]  Literally thousands of aircraft.
[00:23:14.960 --> 00:23:19.442]  The media, I've got reports here, is now massing in the Gulf states at the hotels.
[00:23:19.962 --> 00:23:22.663]  They're setting up on rooftops.
[00:23:23.183 --> 00:23:24.504]  They're flying into Baghdad.
[00:23:24.544 --> 00:23:26.385]  They're flying into Basra.
[00:23:26.805 --> 00:23:32.948]  They're close to where some of the serious warfare may take place on the Gulf.
[00:23:34.592 --> 00:23:38.333]  And another mega-carrier is on its way.
[00:23:38.414 --> 00:23:40.514]  The French are sending their only aircraft carrier.
[00:23:40.854 --> 00:23:43.255]  The British have massed around half of their fleets there.
[00:23:43.615 --> 00:23:45.836]  This has been called a huge armada.
[00:23:46.757 --> 00:23:55.800]  Now, every time the private banks that own this country, in modern history, because it's not America doing this, let's be clear about that.
[00:23:56.640 --> 00:23:59.501]  Every time they've massed this type of firepower, they have used it, okay?
[00:23:59.701 --> 00:24:01.422]  Now, they'll send a carrier and threaten people.
[00:24:02.125 --> 00:24:04.207]  And once or twice they've sent two carriers.
[00:24:04.547 --> 00:24:09.111]  They've never had three lined up and with other support armadas to do this.
[00:24:09.551 --> 00:24:18.239]  The United States will be ready to launch a missile attack on Iran's nuclear facilities as soon as early this month, perhaps from 4 a.m.
[00:24:18.279 --> 00:24:19.200]  until 4 p.m.
[00:24:19.300 --> 00:24:22.542]  on the 6th, according to reports in the Russian media on Saturday.
[00:24:22.943 --> 00:24:26.606]  And again, the Jerusalem Post and others are just getting around to reporting what we did a week and a half ago.
[00:24:27.483 --> 00:24:28.303]  I'm not tootin' our horn.
[00:24:28.323 --> 00:24:29.343]  I don't know what's wrong with these people.
[00:24:29.363 --> 00:24:31.824]  They can just never get anything before we do.
[00:24:32.244 --> 00:24:36.265]  According to Russian intelligence services, the report said the U.S.
[00:24:36.325 --> 00:24:45.127]  had devised a plan to attack several targets in Iran and as an assault could be carried out by launching missiles from fighter jets and warship stations in the Persian Gulf.
[00:24:45.867 --> 00:24:48.507]  And it goes on to say it was reported by Novosti.
[00:24:49.107 --> 00:24:49.387]  Okay.
[00:24:50.528 --> 00:24:51.228]  That's one report.
[00:24:51.268 --> 00:24:51.888]  Here's another one.
[00:24:52.532 --> 00:24:54.072]  This is out of the London Evening Standard.
[00:24:54.412 --> 00:24:55.693]  Russian officials say U.S.
[00:24:55.713 --> 00:24:57.833]  will be ready to strike Iran in April.
[00:24:58.153 --> 00:24:59.074]  This came out yesterday.
[00:24:59.094 --> 00:25:05.715]  A report filed today by the Russian news agency, RAI, indicates that the Russian intelligence has information that U.S.
[00:25:05.775 --> 00:25:13.697]  armed forces have nearly completed preparations for a possible military operation against Iran, and said they will be ready to strike in early April.
[00:25:14.677 --> 00:25:17.578]  Gee, do you think that's really the case?
[00:25:19.335 --> 00:25:19.896]  The U.S.
[00:25:19.956 --> 00:25:22.058]  carrier deploys amid Iran tensions.
[00:25:22.118 --> 00:25:30.526]  French news agency, nuclear-powered aircraft carrier, the USS Nimitz, he's from Fredericksburg, Texas, will sail Monday to support U.S.
[00:25:30.606 --> 00:25:33.910]  operations in Iraq and Afghanistan, the U.S.
[00:25:33.950 --> 00:25:40.136]  Navy said, amid a spike in tensions over Iran's seizures of 15 British Marines and sailors.
[00:25:40.794 --> 00:25:47.599]  The Nimitz and its battle group of destroyers and guided missile cruisers will relieve the USS Dwight D. Eisenhower.
[00:25:48.020 --> 00:25:48.760]  Do you believe that?
[00:25:48.880 --> 00:25:51.102]  It's also with the USS John S. Stennis.
[00:25:52.163 --> 00:25:54.045]  Okay, here's where we get into the serious news.
[00:25:54.805 --> 00:25:55.606]  Debka file.
[00:25:56.887 --> 00:25:57.147]  U.S.
[00:25:57.207 --> 00:26:03.992]  financial sources in Bahrain report American investors in Bahrain advise to pack up business operations and leave.
[00:26:04.593 --> 00:26:07.395]  The advice came from officers with the U.S.
[00:26:07.415 --> 00:26:09.417]  Central Command at the 5th Fleet HQ
[00:26:11.511 --> 00:26:16.852]  We spoke of security tension, and hint at an approaching war with Iran.
[00:26:16.972 --> 00:26:23.014]  Arab sources report the positioning of a Patriot anti-missile battery in Bahrain this week.
[00:26:23.334 --> 00:26:29.475]  They say occupancy at Emirate hotels has soared past 90 percent, due mostly to an influx of U.S.
[00:26:29.495 --> 00:26:30.495]  military personnel.
[00:26:30.775 --> 00:26:37.237]  They also report Western media crews normally employed in military coverage are arriving in packs.
[00:26:38.201 --> 00:26:52.543]  And it goes on to say that General Khalid al-Abbasi, Bahrain's Chief of Air Defense Operations, disclosed the new alarm networks have been installed and the air defense systems upgraded to handle chemical, biological, and radiological attacks.
[00:26:53.564 --> 00:26:57.944]  British and other allied embassies are preparing for evacuation.
[00:26:57.984 --> 00:27:01.165]  That was in the Associated Press last week out of Tehran.
[00:27:01.185 --> 00:27:04.465]  That's the capital of Iran, ladies and gentlemen.
[00:27:05.526 --> 00:27:07.286]  Okay, with all that going on, I'm going to
[00:27:08.127 --> 00:27:10.688]  Get into why this is all happening and what's really behind it.
[00:27:11.388 --> 00:27:13.308]  First, I thought we'd cover this in more detail.
[00:27:13.748 --> 00:27:14.989]  This is out of the UK Daily Mail.
[00:27:15.029 --> 00:27:17.529]  Now, they're a predominantly conservative publication.
[00:27:17.729 --> 00:27:18.629]  Let's be clear on that.
[00:27:19.069 --> 00:27:22.890]  But I also just so happen to have interviewed this gentleman twice.
[00:27:23.350 --> 00:27:25.871]  He ran the British Maritime Administration.
[00:27:25.891 --> 00:27:27.251]  That is very important in England.
[00:27:27.271 --> 00:27:30.192]  In fact, that's the most important position they have.
[00:27:31.232 --> 00:27:36.396]  Uh, liaisoning between the civilian government and the military, and then also in their trade.
[00:27:36.436 --> 00:27:38.057]  It's a very important position in England.
[00:27:38.357 --> 00:27:39.517]  It's an important position everywhere.
[00:27:39.537 --> 00:27:45.421]  There's a Maritime Administration here, but in England, obviously, you know about the Britannia and their fleets.
[00:27:45.441 --> 00:27:46.282]  That's what they're all about.
[00:27:47.782 --> 00:27:50.464]  So when we get back, we'll get, well, I'll just cover it now.
[00:27:51.124 --> 00:27:54.847]  It says, How I Know Blair Faked Iran Map.
[00:27:55.867 --> 00:28:00.210]  Former Ambassador to Uzbekistan and the head of the Foreign Office Maritime Section.
[00:28:01.269 --> 00:28:08.595]  And it goes on to say, like most senior Royal Navy officers, Commander Nick Lambert has great reserves of personal expertise and common sense.
[00:28:08.975 --> 00:28:18.403]  The Coalition Task Force commander was aboard the HMS Cornwall when 15 Royal Navy personnel serving on the frigate were seized at gunpoint by Iranian forces March 31st, 23rd.
[00:28:18.423 --> 00:28:23.848]  And then it goes into how he reported the truth and then it was twisted.
[00:28:24.408 --> 00:28:28.992]  The Navy stated that 14 men and one woman were on a routine patrol in rigid, inflatable
[00:28:29.915 --> 00:28:30.697]  I don't think so.
[00:28:42.712 --> 00:28:47.356]  Lambert said, there is absolutely no doubt in my mind that they were in Iraqi territorial waters.
[00:28:48.037 --> 00:28:52.660]  Equally, the Iranians may well claim that they were in their waters.
[00:28:53.241 --> 00:29:04.169]  Then Blair and others spin it, because when you read deeper, you learn the official maps were changed by Britain a few months ago, just magically claiming now that that was Iraqi waters.
[00:29:04.269 --> 00:29:04.750]  It wasn't.
[00:29:05.130 --> 00:29:06.111]  It was Iranian.
[00:29:07.626 --> 00:29:15.235]  And before neocons out there, who love open borders and gun control, have heart attacks, stay there and I'll come back and break this down.
[00:29:15.755 --> 00:29:17.738]  Not siding with the moodless.
[00:29:18.218 --> 00:29:19.219]  The facts of the facts.
[00:29:19.239 --> 00:29:19.820]  We'll be right back.
[00:29:33.587 --> 00:29:38.654]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:29:38.714 --> 00:29:46.024]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[00:29:46.164 --> 00:29:50.110]  They can purify raw, untreated water by removing pathogenic bacteria.
[00:29:50.310 --> 00:29:56.739]  Cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[00:29:57.000 --> 00:30:01.606]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[00:30:01.827 --> 00:30:06.814]  Unbelievably, they even remove small micro-particulate from water like food coloring particles.
[00:30:07.014 --> 00:30:09.956]  Yes, and even the nutritional minerals that your body needs.
[00:30:10.196 --> 00:30:20.063]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than two cents per gallon.
[00:30:20.083 --> 00:30:23.445]  Get a two-pack for only $99 or a four-pack for only $188 by calling New Millennium at 888-803-4438.
[00:30:23.505 --> 00:30:24.666]  That's 888-803-4438 or order on the web at berkeywater.com.
[00:30:33.948 --> 00:30:38.011]  People who use cardivite know about the pollutants in our body and want them out.
[00:30:38.231 --> 00:30:41.633]  For over five years, cardivite has proven itself time-tested.
[00:30:41.813 --> 00:30:45.276]  Here's Dr. Mattson, a naturopathic doctor's thoughts on cardivite.
[00:30:45.536 --> 00:30:48.758]  In our mind, there isn't such a great big mystery to disease anymore.
[00:30:48.778 --> 00:30:54.282]  This basic tenant of yeast in the gut and metals in the liver covers at least 70-80% of the diseases that we've seen.
[00:30:54.322 --> 00:31:01.447]  When we do our program, you know, in herbal formulas like cardivite, and you see someone who can barely walk up a hill now going for regular jogs,
[00:31:01.547 --> 00:31:01.907]  I think so.
[00:31:17.415 --> 00:31:27.421]  For more information call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:31:27.801 --> 00:31:31.583]  That toll free number again?
[00:31:31.603 --> 00:31:31.823]  1-877-928-8822.
[00:31:32.263 --> 00:31:39.688]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:31:40.228 --> 00:31:43.630]  Globalists are concerned with what's good for big business and the American empire.
[00:31:44.070 --> 00:31:44.450]  We're good to go.
[00:32:07.028 --> 00:32:10.212]  Be one of the many thousands of loyal readers of The Nationalist Times.
[00:32:10.432 --> 00:32:12.294]  Subscribe now to The Nationalist Times.
[00:32:12.474 --> 00:32:13.956]  Just $19 for one year.
[00:32:14.076 --> 00:32:15.738]  That's 50% off the regular price.
[00:32:15.978 --> 00:32:19.222]  Send your $19 subscription to The Nationalist Times, P.O.
[00:32:19.262 --> 00:32:22.426]  Box 426, Allison Park, PA 15101.
[00:32:22.746 --> 00:32:24.228]  That's The Nationalist Times, P.O.
[00:32:24.248 --> 00:32:26.290]  Box 426, Allison Park, PA 15101.
[00:32:28.352 --> 00:32:40.175]  Craig Walcott, chartered financial consultant and host of the Dead Doctors Don't Lie radio program and million-dollar earner in the network marketing field since 1989.
[00:32:40.555 --> 00:32:42.335]  I certainly know what it takes to succeed.
[00:32:42.575 --> 00:32:48.017]  I also know without proper tools, your chance for significant income in the network marketing field can quickly fade.
[00:32:48.217 --> 00:32:54.118]  The sad truth is that 99% of the people who enter network marketing will never spend the time nor money to develop the skills they need.
[00:32:54.398 --> 00:32:56.839]  That's where MLM Incorporated steps in.
[00:32:57.039 --> 00:33:03.860]  No matter what network marketing venture you're involved in, MLM Incorporated can provide you the successful tools you need to truly succeed.
[00:33:04.140 --> 00:33:13.742]  A subscription to MLM Incorporated will provide you access to the three-hour industrial revolution of network marketing seminar where you will learn to perform at a level you never thought possible.
[00:33:13.902 --> 00:33:17.283]  Radio, TV, Internet, direct mail will all be at your fingertips.
[00:33:17.463 --> 00:33:18.364]  Thank you for listening to GCN.
[00:33:18.384 --> 00:33:19.104]  Visit GCNlive.com today.
[00:33:45.012 --> 00:33:47.253]  Raging for the truth.
[00:33:47.273 --> 00:33:49.134]  Exposing corruption.
[00:33:49.234 --> 00:33:52.195]  Dismantling the false left-right paradigm.
[00:33:52.495 --> 00:33:54.196]  He's Alex Jones.
[00:33:56.317 --> 00:33:57.478]  It is April 1st, 2007.
[00:33:57.598 --> 00:34:07.302]  We're going to be going to your calls in this segment, but continuing with the situation in the Middle East, now with three carrier task force groups.
[00:34:08.542 --> 00:34:12.044]  One steaming that way, two already there with a huge flotilla.
[00:34:12.782 --> 00:34:16.005]  An open discussion of some type of strike in April.
[00:34:17.686 --> 00:34:19.848]  I doubt there'll be a strike on April 6th.
[00:34:19.868 --> 00:34:25.633]  If you ask me from past behavior of the New World Order, this is how the psychology works.
[00:34:28.078 --> 00:34:32.002]  They will claim that Iraq is going to be invaded in 2002 in March.
[00:34:32.042 --> 00:34:32.382]  Remember?
[00:34:32.442 --> 00:34:33.604]  And it was in the Washington Post.
[00:34:33.964 --> 00:34:35.706]  It's going to happen for sure.
[00:34:36.266 --> 00:34:37.948]  It's an absolute guarantee.
[00:34:38.468 --> 00:34:47.877]  And then, of course, I knew that Mr. Graham, the owner of the Washington Post, and his editor had been at the Bilderberg Group meeting that year.
[00:34:47.897 --> 00:34:49.058]  I believe it was in France.
[00:34:49.239 --> 00:34:52.141]  And that it had been decided upon to launch the attack in March of 2003.
[00:34:53.234 --> 00:34:57.798]  So I was able to go on the air, thanks to Jim Tucker who covered the event, and say, no, it'll be in March of 2003.
[00:34:57.838 --> 00:34:59.540]  And, of course, I was told I was an idiot.
[00:34:59.560 --> 00:35:01.221]  We wrote articles about it and it turned out to be the case.
[00:35:01.441 --> 00:35:11.030]  Because we watch the people that run the planet, not the puppet Hillary or George Bush or Karl Rove, these nothings who get to act like they run things for the big banks.
[00:35:11.130 --> 00:35:19.257]  But in truth, they're nothing but complete and total figureheads to absorb all of your anger and ensure that the real elite never gets in any trouble.
[00:35:21.074 --> 00:35:22.916]  But I do think they're going to hit Iran.
[00:35:23.336 --> 00:35:29.861]  It could happen as late as the fall of next year.
[00:35:30.862 --> 00:35:31.903]  It could even happen in the winter.
[00:35:33.004 --> 00:35:35.086]  It could happen as late as next September.
[00:35:38.208 --> 00:35:39.309]  It could happen this week.
[00:35:40.030 --> 00:35:50.018]  But if we really get the word out, and if we really warn the people, and if we really beat the drums, and expose how this is a fraud, it will
[00:35:52.959 --> 00:35:53.940]  It may not happen.
[00:35:53.960 --> 00:36:00.622]  I mean, they would have already been in Iran, but for the public exposed, there were no WMDs and the White House memo and that fraud.
[00:36:01.102 --> 00:36:05.964]  But let me just be clear, before I get back into the 15 captured Brits.
[00:36:09.105 --> 00:36:11.746]  Saying that the world is black and black, not black and white.
[00:36:11.766 --> 00:36:13.767]  People say, well, there's good and there's evil.
[00:36:14.207 --> 00:36:16.848]  Or there's black and white, but most is gray.
[00:36:17.879 --> 00:36:26.768]  Maybe in your own personal life a lot of things are gray, but when it comes to governments, the founding fathers told us this, Plato told us this, it's common sense, it's history.
[00:36:28.790 --> 00:36:35.476]  99% of the time, governments are tyrannical and abusive and serve at the behest of a tiny oligarchy or elite.
[00:36:36.317 --> 00:36:39.140]  In the old times it was royalty, now it's the big business titans.
[00:36:40.277 --> 00:36:42.518]  And they engage in predatory activities.
[00:36:43.158 --> 00:36:53.821]  Iran is run by a bunch of degenerate, corrupt, opulently rich moolahs, who give most of the big business contracts to their family members, and they live in giant palaces.
[00:36:55.761 --> 00:37:08.845]  And the United States has been bought and paid for, since 1913 completely, by foreign, predominantly European banks, and they've done everything they can to butcher the Bill of Rights and Constitution, and blow out our economy and get us all in debt.
[00:37:09.668 --> 00:37:18.314]  And this is a global empire basically picking on a rogue nation that isn't under their control.
[00:37:19.495 --> 00:37:20.135]  It's real simple.
[00:37:20.175 --> 00:37:28.380]  I mean, if you ask me, who were the good guys, you know, 2400 years ago with the popularization of the movie 300, which is totally unhistorical.
[00:37:28.961 --> 00:37:31.442]  I mean, I've actually read history books on the subject and find it quite interesting.
[00:37:32.523 --> 00:37:36.046]  With the phalanx and the, you know, in that movie 300,
[00:37:38.468 --> 00:37:44.751]  They, you know, the Persians are all gay, and the Spartans aren't, and they're wonderful people who are good.
[00:37:44.811 --> 00:38:04.881]  Now, in the real world, the Spartans kept the Hellens, the Hellets, as slaves, and when a boy became 13 and was a Spartan and lived out in the woods, he would then have a human sacrifice, this is an encyclopedia, of a Hellion, or a Hellet, whatever term you want to use, and that they kept as their slaves.
[00:38:04.901 --> 00:38:06.142]  They did human sacrifice.
[00:38:07.066 --> 00:38:10.229]  And it was a pedophile society, and totally degenerate.
[00:38:11.570 --> 00:38:15.212]  And it's held out as the model of democracy, when that was actually the Athenians.
[00:38:15.372 --> 00:38:17.354]  The different branches of the Greeks.
[00:38:17.414 --> 00:38:18.755]  The worst, the Nazis.
[00:38:19.235 --> 00:38:23.659]  There was some laudable things about ancient Greece, but it certainly wasn't the Spartans.
[00:38:24.719 --> 00:38:25.140]  Okay?
[00:38:26.100 --> 00:38:30.544]  And so, but the Spartans were corrupt and brutal, and so were the Babylonians.
[00:38:30.584 --> 00:38:33.506]  See, you can't say one's good and one's bad.
[00:38:34.500 --> 00:38:37.022]  Or, I shouldn't say Babylonians, the Persians.
[00:38:38.202 --> 00:38:39.103]  Babylon is Iraq.
[00:38:41.465 --> 00:38:44.847]  So just go research the history for yourself.
[00:38:45.987 --> 00:38:46.848]  It's the same thing here.
[00:38:48.005 --> 00:38:57.572]  You've got elites that totally own and run this country, doing everything they can to dismantle the family, everything they can to build more prisons and get you in the system by hook or by crook.
[00:38:58.393 --> 00:39:00.094]  Trillions are missing from the Pentagon.
[00:39:01.015 --> 00:39:03.016]  Corruption is just rampant.
[00:39:03.297 --> 00:39:04.497]  The country is dying.
[00:39:04.557 --> 00:39:07.520]  I mean, we've been in the North American Union for two years.
[00:39:07.980 --> 00:39:08.600]  Over two years.
[00:39:08.661 --> 00:39:10.902]  Bush signed it back in March of 2005.
[00:39:11.142 --> 00:39:13.024]  We got four-year documents out last year.
[00:39:13.744 --> 00:39:14.806]  Okay, I mean these guys run things.
[00:39:29.574 --> 00:39:39.823]  And it came out with the minutes that got released that it was the big banks there, literally, with the heads of the State Department and Canada State Department and the Mexico State Department, the Foreign Office, telling them what to do.
[00:39:40.243 --> 00:39:40.964]  This is how it works.
[00:39:41.004 --> 00:39:50.612]  They sit around in big councils and the big corporations that own the majority of the government, because the government for 50 years plus has been investing 70 plus percent of the tax money in that.
[00:39:50.852 --> 00:39:52.033]  You're not even told about that.
[00:39:52.073 --> 00:39:52.753]  It's off budget.
[00:39:52.934 --> 00:39:54.555]  And they just sit there telling the government what to do.
[00:39:56.034 --> 00:40:03.622]  And, uh, the big corporations are passing laws and getting Supreme Court rulings where they can take your private property without just compensation when they want.
[00:40:04.002 --> 00:40:05.764]  It's called fascism, ladies and gentlemen.
[00:40:06.044 --> 00:40:07.525]  It's called command and control.
[00:40:08.286 --> 00:40:17.195]  And so the very people telling you, pro-America, support the troops, this is what America does, America's gonna fight them Iraners and them Iraqers.
[00:40:18.092 --> 00:40:24.533]  You're being manipulated by Madison Avenue propaganda, by slick Wall Street propaganda you're being laughed at.
[00:40:24.833 --> 00:40:29.614]  The people that want to attack Iran are the very people killing America.
[00:40:30.814 --> 00:40:32.094]  Hillary Clinton wants it.
[00:40:32.975 --> 00:40:34.175]  Chuckie Schumer wants it.
[00:40:34.215 --> 00:40:35.335]  George Bush wants it.
[00:40:35.875 --> 00:40:37.655]  Bill Clinton vacations with the Bushes.
[00:40:37.855 --> 00:40:39.456]  It's all staged.
[00:40:40.696 --> 00:40:45.917]  It's like Delano Roosevelt said that something happens in politics, you can bet it was planned that way.
[00:40:46.437 --> 00:40:47.237]  That's a paraphrase.
[00:40:47.967 --> 00:40:50.528]  I mean, this is big money, folks.
[00:40:51.108 --> 00:40:54.989]  There's almost $4 trillion, the Associated Press has reported, missing from the Pentagon.
[00:40:56.049 --> 00:40:57.370]  They've taken the pension funds, everything.
[00:40:57.570 --> 00:40:58.070]  It's gone.
[00:40:58.230 --> 00:41:00.751]  They have congressional hearings about it, and Rumsfeld would say, I'm not going to talk about it.
[00:41:00.771 --> 00:41:01.611]  I'm not going to tell you where it went.
[00:41:02.951 --> 00:41:07.892]  Just like it comes out in the Chicago Tribune about Dyncor and Halliburton running giant child kidnapping rings.
[00:41:08.133 --> 00:41:17.255]  I mean, it comes out in the paper, and it was in the paper that they actually have lobbyists in Congress for the slave rings, and that Congress orders the Pentagon not to act on it.
[00:41:18.326 --> 00:41:20.286]  I mean, you can't make stuff up, okay?
[00:41:20.606 --> 00:41:32.809]  This makes any charnel house, any nightmare, The Saw, or, you know, Terror Planet, or whatever, Quentin Tarantino, that stuff is like milk toast, okay?
[00:41:33.049 --> 00:41:34.509]  That's like pap, okay?
[00:41:34.789 --> 00:41:36.309]  The real world is brutal.
[00:41:36.329 --> 00:41:37.650]  There's six and a half billion people.
[00:41:37.930 --> 00:41:40.150]  The elites say there's nothing cheaper than human life.
[00:41:40.430 --> 00:41:42.931]  They see you as absolute dog meat.
[00:41:44.651 --> 00:41:44.951]  Alright?
[00:41:46.167 --> 00:41:51.911]  By design, they made the decision six years ago to incrementally plunge the dollar.
[00:41:53.312 --> 00:41:55.593]  That's when Treasury Secretary O'Neill quit.
[00:41:56.413 --> 00:41:57.314]  And Snow came in.
[00:41:57.714 --> 00:41:59.495]  The decision was made.
[00:41:59.796 --> 00:42:01.797]  It was in the Financial Times of London.
[00:42:02.117 --> 00:42:03.698]  It was in CFR releases.
[00:42:03.998 --> 00:42:05.979]  It was in IMF press releases.
[00:42:07.600 --> 00:42:10.122]  They made the decision last Monday to drop it even more.
[00:42:10.462 --> 00:42:11.683]  The IMF put out the order.
[00:42:11.763 --> 00:42:13.004]  We covered it last Sunday.
[00:42:13.684 --> 00:42:15.065]  And the dollar dropped again.
[00:42:17.799 --> 00:42:31.697]  Okay, so you're all into, I mean you watch these fake people up here, the private banks own the defense contractors who own the media, the MSNBCs, the Fox, the CNNs, and they sit up there
[00:42:32.834 --> 00:42:41.298]  Trying to one-up each other, going, we love the troops, and anybody that criticizes whatever the government wants to do hates the troops and hates America.
[00:42:41.798 --> 00:42:44.599]  And if you love America, you'll do whatever the government says.
[00:42:45.100 --> 00:42:47.421]  And anybody that disagrees with the government should be arrested.
[00:42:47.801 --> 00:42:50.982]  That is 180 degrees from what our system is.
[00:42:52.143 --> 00:42:53.143]  And I've had enough of it.
[00:42:54.224 --> 00:42:55.864]  These people don't care about the troops.
[00:42:56.805 --> 00:42:57.925]  They pump you all up.
[00:42:58.466 --> 00:42:59.566]  You march off to die.
[00:42:59.586 --> 00:43:01.427]  They give you experimental, deadly vaccines.
[00:43:02.461 --> 00:43:03.702]  You breathe a plethora of uranium?
[00:43:04.943 --> 00:43:06.024]  And they just sit up there.
[00:43:07.285 --> 00:43:09.587]  The country is dying right now.
[00:43:10.327 --> 00:43:12.509]  The Republic is dying right now.
[00:43:12.769 --> 00:43:15.391]  And they've got you looking off at Iran.
[00:43:15.952 --> 00:43:18.133]  Yeah, run by a bunch of crooks as well.
[00:43:18.854 --> 00:43:20.015]  But no threat to us.
[00:43:21.496 --> 00:43:23.498]  I promise, we'll go right to your calls on the other side.
[00:43:23.518 --> 00:43:25.599]  I've got a caller who disagrees with me as well.
[00:43:25.780 --> 00:43:26.120]  Stay with us.
[00:43:34.045 --> 00:43:35.026]  How are you feeling today?
[00:43:35.046 --> 00:43:41.974]  Well, I ask because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[00:43:42.235 --> 00:43:46.700]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[00:43:47.000 --> 00:43:52.667]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[00:43:52.947 --> 00:43:58.053]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[00:43:58.273 --> 00:44:04.821]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[00:44:05.122 --> 00:44:08.306]  You can have this 22-page e-booklet absolutely free.
[00:44:08.506 --> 00:44:12.631]  We're also offering a website with links to actual testimonials and product information.
[00:44:12.851 --> 00:44:15.033]  Could this fruit help you in your quest for total health?
[00:44:15.333 --> 00:44:23.121]  Find out why mangosteen is known as the queen of all fruits, and why it's fast becoming the best-selling wellness product ever brought to the market.
[00:44:23.461 --> 00:44:24.982]  Your health is in your hands.
[00:44:25.242 --> 00:44:26.444]  Do something about it today.
[00:44:26.744 --> 00:44:26.904]  Call 800-658-0597.
[00:44:26.924 --> 00:44:27.224]  Again, that's 800-658-0597.
[00:44:38.303 --> 00:44:40.104]  Hi, Steve Shank, Fearless Task Force.
[00:44:40.624 --> 00:44:42.385]  Sure, you've got a mortgage and credit cards.
[00:44:42.705 --> 00:44:45.826]  Your debt creation is probably the smartest thing you've ever done.
[00:44:46.286 --> 00:44:47.907]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[00:44:51.275 --> 00:44:55.698]  Now the task force has strategies to make these debts into virtual savings accounts.
[00:44:56.258 --> 00:44:58.620]  Ben Franklin said, a penny saved is a penny earned.
[00:44:59.220 --> 00:45:07.666]  By doing nothing more than you're doing right now, because you've used your credit, the right strategies can make the debt part of your financial life the smartest thing you've ever done.
[00:45:08.206 --> 00:45:10.908]  Oh, by the way, your strategies cost you nothing out of pocket.
[00:45:11.569 --> 00:45:14.371]  Go ahead and check out the debt elimination scams if you'd like to.
[00:45:14.871 --> 00:45:19.354]  You wouldn't take money from a loan shark, so you may not want to give your money to a debt shark.
[00:45:20.069 --> 00:45:23.592]  For an understanding of what a financial genius you truly are, call 800-409-5633.
[00:45:23.612 --> 00:45:24.453]  On the web, MyDebtFreePath.com.
[00:45:24.473 --> 00:45:24.513]  800-409-5633.
[00:45:33.826 --> 00:45:39.127]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:45:39.327 --> 00:45:41.408]  Your source for free solar electricity.
[00:45:41.648 --> 00:45:48.769]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:45:48.889 --> 00:46:00.412]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is not available.
[00:46:00.812 --> 00:46:08.196]  It's multi-voltage capabilities, multiple adapters, and rechargeable batteries provide for flexible source of auxiliary backup power.
[00:46:08.456 --> 00:46:13.459]  Simply place the Berkey Solar Charger in the sun, plug in your application, and you have power.
[00:46:13.579 --> 00:46:18.602]  Disconnect your application, the system automatically begins charging its own rechargeable batteries.
[00:46:18.882 --> 00:46:24.185]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888-803-4438.
[00:46:27.467 --> 00:46:29.009]  And tell them Alex Jones sent you.
[00:46:29.289 --> 00:46:30.290]  That's toll free, 888-803-4438.
[00:46:34.389 --> 00:46:38.253]  Did you know that the water you drink every day can be even more beneficial to your health?
[00:46:38.493 --> 00:46:42.356]  I'm not talking so-called enriched water, but I'm talking about electrolyzed water.
[00:46:42.737 --> 00:46:47.741]  RPA Biotech is an amazing American company that provides unique technology to transform water.
[00:46:48.022 --> 00:46:59.212]  Electrolyzed Plus Water will alkalize your water more powerfully than any other single nutraceutical because a body in an alkaline state can't grow pathogens, become allergic, or develop autoimmune disease or vascular degenerative illness.
[00:46:59.532 --> 00:47:03.896]  Electrolyzed water is non-toxic, non-corrosive, and environmentally safe for humans and animals.
[00:47:04.136 --> 00:47:13.463]  Alkaline water is available as a concentrate to be mixed with good, filtered, purified, RO water but not tap water, micro-structured alkaline antioxidant water for consumption.
