[00:00:00.049 --> 00:00:01.309]  That's the law required.
[00:42:56.900 --> 00:42:58.721]  And it's causing major liver problems.
[00:42:59.421 --> 00:43:03.563]  And the rat's life expectancy is more than halved.
[00:43:04.927 --> 00:43:11.909]  And it's causing bizarre mutations, not generationally, but what they didn't think was possible in the animals during development.
[00:43:12.290 --> 00:43:18.452]  I mean, a rat's body won't grow as fast as it should, but the intestines will double in size.
[00:43:18.472 --> 00:43:21.113]  A lot of Crohn's-like type disorders.
[00:43:21.473 --> 00:43:22.853]  By the way, those are now in major studies.
[00:43:23.153 --> 00:43:25.074]  Vaccines are massively linked.
[00:43:26.114 --> 00:43:33.557]  I'd say it's conclusive, but totally linked to Crohn's, where you have an autoimmune response and they've got to cut your guts out of you.
[00:43:35.655 --> 00:43:37.476]  So, let me continue.
[00:43:37.536 --> 00:43:38.477]  What you need to know.
[00:43:39.497 --> 00:43:40.418]  Conventional view.
[00:43:40.478 --> 00:43:50.564]  The corn in question, MON863, is made by the Monsanto Company and approved for use in the Australia, Canada, China, the European Union, Japan, Mexico, Philippines, the United States.
[00:43:51.124 --> 00:44:00.029]  It has the gene inserted from the bacteria Bacillus thrunigenesis, Bt, which causes the plant cells to produce a pesticide.
[00:44:00.650 --> 00:44:01.891]  Now, let me just stop.
[00:44:04.242 --> 00:44:07.065]  A pesticide that kills bugs?
[00:44:09.086 --> 00:44:11.308]  Gee, should we be eating that?
[00:44:12.069 --> 00:44:22.758]  Folks, they know most of the people can't tell you where Iraq is, how many continents there are, who their governor is, who the Speaker of the House is in their state, much less the federal level.
[00:44:23.359 --> 00:44:26.822]  They don't know who one of their city, maybe two of their city council members are.
[00:44:28.746 --> 00:44:38.909]  That's why you find out David Rockefeller and Jay Rockefeller, the governor, or the senator, there in West Virginia, that's why you find out Prince Philip, they are obsessed.
[00:44:38.949 --> 00:44:40.669]  They have their own gardens, folks.
[00:44:40.969 --> 00:44:43.250]  They actually have their own food flown in, okay?
[00:44:44.130 --> 00:44:47.271]  They literally drink water that's been filtered like five times.
[00:44:48.171 --> 00:44:48.551]  Okay?
[00:44:48.611 --> 00:44:49.291]  I mean, they know.
[00:44:49.591 --> 00:44:52.712]  And it's the ultimate selfishness they're doing this to all of us.
[00:44:53.152 --> 00:44:54.412]  The ultimate sickness.
[00:44:54.852 --> 00:44:57.033]  They should all be arrested immediately.
[00:44:59.140 --> 00:45:00.781]  Oh man, I'm so angry at them.
[00:45:01.321 --> 00:45:03.182]  Because you even try to get regular organic.
[00:45:03.262 --> 00:45:03.742]  It's hard.
[00:45:04.443 --> 00:45:07.364]  It's hard, folks.
[00:45:07.404 --> 00:45:08.784]  Pesticide is in most of the food.
[00:45:08.965 --> 00:45:10.565]  Not pesticide they sprayed, folks.
[00:45:11.506 --> 00:45:12.626]  It's in the food.
[00:45:14.247 --> 00:45:15.487]  The animals eat it, they die.
[00:45:16.108 --> 00:45:17.248]  The people eat it, we die.
[00:45:18.429 --> 00:45:19.649]  And I know you're not going to stop.
[00:45:19.669 --> 00:45:21.770]  You're going to keep using cell phones up against your head.
[00:45:22.190 --> 00:45:23.951]  And you're going to keep eating all the GMO food.
[00:45:24.011 --> 00:45:25.432]  So am I. We're all just going to die.
[00:45:26.181 --> 00:45:27.421]  You see, they have discipline.
[00:45:27.441 --> 00:45:28.502]  The elite have discipline.
[00:45:28.542 --> 00:45:28.922]  We don't.
[00:45:30.062 --> 00:45:31.982]  And they say, well, that's the reason you're going to die.
[00:45:32.422 --> 00:45:33.543]  That's the reason you're a slave.
[00:45:33.823 --> 00:45:35.383]  That's the reason we're going to do this to you.
[00:45:35.823 --> 00:45:37.804]  You're not going to get involved and fight us, they say.
[00:45:38.104 --> 00:45:40.704]  You're not going to get involved and stop the electronic voting machines.
[00:45:40.984 --> 00:45:42.485]  You're not going to get us out of Iraq.
[00:45:43.425 --> 00:45:45.265]  You're going to let us keep militarizing your police.
[00:45:45.285 --> 00:45:48.466]  You're going to let us keep building more prisons, and we're going to do it to you.
[00:45:52.026 --> 00:45:59.792]  Researchers fed rats either unmodified corn or diets containing 11 to 30 percent MON-863 for 90 days.
[00:46:01.013 --> 00:46:06.697]  The rats who ate the modified corn were found to exhibit signs of liver and kidney toxicity as well as signs of hormonal changes.
[00:46:06.717 --> 00:46:07.718]  You can read the study itself.
[00:46:07.758 --> 00:46:08.839]  They died much earlier.
[00:46:09.119 --> 00:46:10.160]  They lost body weight.
[00:46:10.260 --> 00:46:11.681]  The young ones didn't develop as fast.
[00:46:12.261 --> 00:46:14.963]  The mechanism that causes the toxicity is not yet known.
[00:46:15.304 --> 00:46:16.805]  Gee, it's not yet known.
[00:46:18.140 --> 00:46:20.563]  Because these studies are so stringent they won't ever make claims.
[00:46:20.843 --> 00:46:24.607]  Let me see, it's a pesticide that kills bugs.
[00:46:25.288 --> 00:46:28.811]  And oh gee, the honeybees are eating this and getting sick and dying.
[00:46:29.072 --> 00:46:29.973]  Wow!
[00:46:30.593 --> 00:46:32.435]  Honeybees just love corn pollen.
[00:46:32.455 --> 00:46:33.276]  You ever seen corn pollen?
[00:46:33.296 --> 00:46:34.958]  Those big old stalks of yellow up there?
[00:46:34.978 --> 00:46:37.661]  It's like, I mean, it's a bonanza with the bees just...
[00:46:38.294 --> 00:46:40.355]  I mean, it's like an all-you-can-eat buffet.
[00:46:40.675 --> 00:46:41.556]  Poor little critters.
[00:46:41.916 --> 00:46:44.177]  They go over there and eat this stuff and they go off and die.
[00:46:44.437 --> 00:46:47.398]  Meanwhile, none of the environmentalists are talking about this on TV.
[00:46:47.619 --> 00:46:51.460]  It's all some stupid tax on carbon dioxide!
[00:46:51.480 --> 00:46:53.301]  Let the plants breathe!
[00:46:55.242 --> 00:46:55.402]  Ah!
[00:46:56.763 --> 00:46:58.244]  We're all breathing the stuff.
[00:46:59.604 --> 00:47:03.886]  Again, no one I knew, very few people growing up had allergies.
[00:47:03.926 --> 00:47:04.447]  Very few.
[00:47:04.907 --> 00:47:05.487]  I say no one.
[00:47:05.507 --> 00:47:06.988]  I mean, literally hardly anybody.
[00:47:09.466 --> 00:47:10.806]  Now everybody I know has got it.
[00:47:11.407 --> 00:47:13.667]  My kids are literally hacking and coughing.
[00:47:13.707 --> 00:47:16.368]  Everybody else I know is coughing four or five months out of the year.
[00:47:17.788 --> 00:47:22.369]  I got, I don't want to go into details, but I'm constantly having to stop and blow my nose here.
[00:47:22.429 --> 00:47:23.410]  You can hear me stopping.
[00:47:24.710 --> 00:47:26.210]  My nose is constantly stopped up.
[00:47:26.571 --> 00:47:29.131]  Everybody I know, people who never had allergies their whole life have got it.
[00:47:29.351 --> 00:47:32.152]  And there's hundreds of studies showing it's the GMO pollen.
[00:47:32.737 --> 00:47:47.564]  What do you think your body does when some pesticide-laden pollen with bacteria genetics, insect genetics, other plant genetics, human genetics, blowing around all mixing with everything else goes in to your nose and goes in to your sinus?
[00:47:49.966 --> 00:47:54.268]  Your body is like, my gosh, I better have an autoimmune response to this!
[00:47:55.445 --> 00:48:00.027]  I better rush in and deal with this and create mucus to block this and wall this.
[00:48:00.387 --> 00:48:03.329]  And so Alex will blow it out of his nose.
[00:48:03.369 --> 00:48:04.509]  That's what my brain says.
[00:48:04.789 --> 00:48:07.490]  That's what the olfactory nerve says.
[00:48:07.791 --> 00:48:12.533]  It says, alert, alert, alert, and alarms are going.
[00:48:12.873 --> 00:48:17.695]  And I'm right here living in a growth belt with every type of agriculture you can imagine all around me.
[00:48:18.535 --> 00:48:22.477]  And then all the normal allergies, all the normal problems compile on top of that.
[00:48:23.263 --> 00:48:33.177]  I'm breathing pesticides in, not... Of course, we're breathing regular pesticides, too, from all the exterminators everywhere and all the toxic fertilizers and all the stuff in the water.
[00:48:33.377 --> 00:48:35.540]  I mean, that's all real environmental crises.
[00:48:36.782 --> 00:48:39.826]  The New World Order are masters, ladies and gentlemen, at misdirection.
[00:48:41.025 --> 00:48:42.346]  They've got you with your religion.
[00:48:42.366 --> 00:48:44.387]  You're going to go to the rock concerts and feel good.
[00:48:44.407 --> 00:48:49.169]  I mean, even if you don't really believe in man-made global warming, you know, your girlfriend's going to believe in it, your boyfriend's going to believe in it.
[00:48:49.189 --> 00:48:53.932]  They're going to want to go to the big concerts coming up in the seventh month of this year in every major city.
[00:48:53.952 --> 00:49:02.717]  You're going to want to go pay $50 to get in that goes for more brainwashing, that we need a global tax, and go into the global government's coffers with all the big movie stars.
[00:49:03.377 --> 00:49:05.958]  And singers like U2 doing it.
[00:49:05.978 --> 00:49:07.758]  And you'll just be sucked along.
[00:49:07.798 --> 00:49:09.999]  And I've talked to scientists, environmentalists.
[00:49:10.019 --> 00:49:12.120]  They go, okay, yeah, it's not conclusive.
[00:49:12.700 --> 00:49:13.320]  Not conclusive.
[00:49:13.400 --> 00:49:14.580]  It is conclusive, but it's a fraud.
[00:49:14.600 --> 00:49:18.062]  But they're saying it's not conclusive that it's man-made or that it's even a problem.
[00:49:18.302 --> 00:49:19.662]  But they'll go, you know, it gets people thinking.
[00:49:19.702 --> 00:49:20.842]  It gets them to be conscious.
[00:49:20.862 --> 00:49:23.063]  It gets them environmentally active.
[00:49:23.083 --> 00:49:25.384]  I mean, so what if peak oil isn't really real?
[00:49:25.404 --> 00:49:29.225]  Are you for using oil and the toxic processes of refining it?
[00:49:29.745 --> 00:49:34.126]  Hey, I'm a lot less worried about the fluoride and the cracking of the molecule chain, which is very toxic.
[00:49:34.386 --> 00:49:36.467]  And I don't like them to have it in the water, and it's a big problem.
[00:49:36.707 --> 00:49:52.490]  But compared to Franken-dust everywhere, pesticide everywhere, I mean, no, it's not... I mean, you know, we've got to get... I know I said I'd go to your calls, but I've been wanting to talk about this.
[00:49:56.171 --> 00:49:59.072]  I mean, these... the globalists are just laughing at us.
[00:50:00.908 --> 00:50:03.729]  So you better get informed on that and you better get involved.
[00:50:03.769 --> 00:50:11.691]  And real environmentalists and conservationists out there, stop giving money to Nature Conservancy and Sierra Club.
[00:50:11.731 --> 00:50:13.192]  All they do is go around grabbing land.
[00:50:13.232 --> 00:50:13.972]  They are criminals.
[00:50:14.312 --> 00:50:15.453]  They are horrible people.
[00:50:15.473 --> 00:50:16.853]  They're land barons.
[00:50:16.953 --> 00:50:17.533]  It's a joke.
[00:50:18.153 --> 00:50:20.214]  And they make you think you're doing something about the environment.
[00:50:20.754 --> 00:50:25.156]  And all you slack-jawed hippies that get in my face and you're all holier than thou.
[00:50:25.236 --> 00:50:27.056]  You don't know your head from the hole in the ground.
[00:50:27.856 --> 00:50:28.937]  And I'm tired of you
[00:50:30.786 --> 00:50:36.228]  I've analyzed what you do and you spend about 5% of your time on GMO and serious issues.
[00:50:38.129 --> 00:50:39.369]  Now deep down you know the truth.
[00:50:39.389 --> 00:50:43.010]  You go and stuff your face and go look for organic stuff for yourself.
[00:50:44.311 --> 00:50:53.554]  But I don't see you picketing outside the schools telling them don't eat GMO foods, don't have GMO BT corn, just one species that has pesticide in it.
[00:50:53.954 --> 00:50:55.435]  I don't see you doing anything real.
[00:50:56.235 --> 00:51:03.218]  You just run around and steal people's property and, you know, hopefully get little patronage, little peerage jobs out of it.
[00:51:03.498 --> 00:51:06.199]  And you need to be slapped upside your face.
[00:51:09.060 --> 00:51:13.922]  Because... I just can't believe what scum you are.
[00:51:14.382 --> 00:51:17.083]  I just... I just... Because, again, you're really bad.
[00:51:17.103 --> 00:51:18.304]  You're not just a dumb public.
[00:51:19.179 --> 00:51:27.569]  You're out there thinking you're doing something and you're actually having your energies used to set up a world tax so these killers can really nail us to the wall.
[00:51:28.330 --> 00:51:31.213]  We'll talk to Collier in Australia, Canada, everywhere when we get back.
[00:51:37.322 --> 00:51:42.769]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:43.170 --> 00:51:50.759]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:51.485 --> 00:51:58.550]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:58.951 --> 00:52:10.379]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:52:10.699 --> 00:52:14.142]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:52:14.662 --> 00:52:16.604]  It's an anthology of government crimes.
[00:52:16.924 --> 00:52:20.747]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:21.354 --> 00:52:28.682]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:34.264 --> 00:52:37.145]  Are terrorist cells or prime terror targets located near you?
[00:52:37.505 --> 00:52:40.365]  Where are military bases and hazardous waste sites located?
[00:52:40.605 --> 00:52:46.807]  How do you find the best area for solar, average rainfalls, fish contamination advisories, and major transportation routes?
[00:52:47.167 --> 00:52:54.488]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:52:54.668 --> 00:52:58.669]  Find everything from housing prices and taxes to brewing environmental catastrophe.
[00:52:59.049 --> 00:53:04.574]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:53:04.774 --> 00:53:17.906]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[00:53:18.086 --> 00:53:21.909]  Get this hard-to-find information by ordering Food and Places U.S.A.
[00:53:22.109 --> 00:53:26.393]  now for only $29 plus shipping and handling by calling New Millennium
[00:53:33.915 --> 00:53:35.616]  Hello friends, Alex Jones here.
[00:53:35.856 --> 00:53:39.557]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:53:39.877 --> 00:53:42.098]  An intruder has taken your personal possessions.
[00:53:42.598 --> 00:53:48.820]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:53:48.960 --> 00:53:53.861]  What's worse is, you realize he got it through your front door because you left it unlocked.
[00:53:54.061 --> 00:53:55.842]  Every time you walk away from your computer,
[00:53:56.102 --> 00:53:56.743]  We're good to go.
[00:54:12.859 --> 00:54:15.940]  There's no software to load, and it's so easy to install.
[00:54:16.301 --> 00:54:21.643]  Right now, you can order your Net7 security switch from Net7 Technologies for only $39.95.
[00:54:22.183 --> 00:54:25.285]  For a limited time, receive free shipping with your order.
[00:54:25.705 --> 00:54:27.666]  Visit net7tech.com.
[00:54:27.846 --> 00:54:32.908]  That's net, the number 7, tech, dot com, and start protecting yourself today.
[00:54:35.303 --> 00:54:40.426]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:54:41.106 --> 00:54:43.447]  Because there's a war on for your mind.
[00:54:46.808 --> 00:54:48.189]  Alright, thanks for holding.
[00:54:48.269 --> 00:54:49.509]  I'm going to go right to your calls.
[00:54:49.569 --> 00:54:55.192]  I'm even going to dispense with plugging the documentary films on the online video and bookstore at InfoWars.com.
[00:54:55.232 --> 00:54:56.292]  That is kind of a plug, isn't it?
[00:54:57.172 --> 00:55:00.214]  Let's go to Sean in Australia, then we'll go to many others.
[00:55:00.254 --> 00:55:00.574]  Go ahead.
[00:55:01.371 --> 00:55:01.971]  Hi, Alex.
[00:55:02.731 --> 00:55:02.911]  Hi.
[00:55:03.151 --> 00:55:04.292]  Thanks for taking my call, mate.
[00:55:04.332 --> 00:55:06.152]  Listen, you've been on fire in the last few weeks.
[00:55:06.232 --> 00:55:07.012]  It's been really great.
[00:55:07.212 --> 00:55:10.753]  I called you up a few weeks ago and you were pretty upset through that whole period.
[00:55:10.793 --> 00:55:18.554]  And I know it's been terrible, the stuff that's been going on, the perversion and the treatment of children and all the sorts of things that have been going on.
[00:55:18.594 --> 00:55:23.555]  And it's all tied in with the way that they think they can manipulate our minds with this fear.
[00:55:23.635 --> 00:55:25.876]  And they'll never get to our souls, though, mate.
[00:55:25.916 --> 00:55:26.896]  They'll never get to our souls.
[00:55:28.004 --> 00:55:31.547]  But, I wanted to tell you about something that I didn't notice on PrisonPlanet.com.
[00:55:32.488 --> 00:55:39.814]  This was a story on Raiders News, and it was titled, Experts Warn Terrorists Could Launch Nuclear Attack on the U.S.
[00:55:40.635 --> 00:55:42.417]  Well, I did see that about a week ago.
[00:55:42.517 --> 00:55:46.841]  I mean, the experts are always saying, we're gonna be nuked, we're gonna be hit, give up all your rights.
[00:55:47.141 --> 00:55:53.847]  Yeah, now this guy, the two experts were Sidney Drell, CFR, and Robert Gallucci,
[00:55:54.597 --> 00:55:54.977]  Okay.
[00:55:55.077 --> 00:55:55.898]  That's Carlisle.
[00:55:55.998 --> 00:55:57.880]  That's the former head of the Carlisle Group.
[00:55:58.200 --> 00:55:58.400]  Yep.
[00:55:58.600 --> 00:56:01.202]  He was the one that put in, uh, uh, what is his fief?
[00:56:01.282 --> 00:56:02.403]  I think his name was?
[00:56:02.584 --> 00:56:03.444]  Yeah, Douglas.
[00:56:03.905 --> 00:56:04.125]  Yeah.
[00:56:04.385 --> 00:56:14.553]  And now what I, I don't know what you know on William Cooper, but he goes into all of the disclosure, you know, like the secretive, uh, high technology and stuff.
[00:56:15.274 --> 00:56:20.338]  And he had said in his, uh, what his research had found was that the New World Order plans were,
[00:56:20.919 --> 00:56:23.760]  To disrupt any disclosure would be through a nuclear attack.
[00:56:23.780 --> 00:56:37.405]  Their contingency plan would be that if the information started to become public, or should any information get close to being widely available, they called for a public announcement that a terrorist group had entered the United States with an atomic weapon.
[00:56:37.845 --> 00:56:40.566]  It would be announced that the terrorists planned to detonate the weapon in a major city.
[00:56:41.026 --> 00:56:45.368]  Martial law would be declared and all persons with implants would be rounded up, blah blah blah, all these sorts of things.
[00:56:46.092 --> 00:56:56.933]  When you look at this article that Drell and Gallucci are featuring, this is their warnings to Congress too, they had said things like that Al-Qaeda could launch a massive attack
[00:56:57.971 --> 00:57:01.833]  You know, basically... And I'll tell you what's scary.
[00:57:01.933 --> 00:57:17.882]  The CFR board, but at that time chaired by Gary Hart and Warren Rudman, put out a report eleven months before 9-11 saying that there'd be attacks on New York, big attacks, and then they called for homeland security.
[00:57:18.322 --> 00:57:22.565]  And so they love to basically openly brag about what's going to happen.
[00:57:22.605 --> 00:57:24.606]  Yes, the cards are on the table.
[00:57:25.046 --> 00:57:26.127]  It is in the game.
[00:57:27.408 --> 00:57:32.132]  They are seriously considering detonating atomic weapons in this country.
[00:57:32.552 --> 00:57:36.175]  Now what's frightening is how, like you mentioned, they love dates.
[00:57:37.637 --> 00:57:43.442]  And here they are looking at this 7-7-7, you know, silly thing about global warming.
[00:57:44.242 --> 00:57:50.648]  It's a frightening prospect that they could utilize that type of placid public
[00:57:51.218 --> 00:57:52.119]  At those sorts of times.
[00:57:52.159 --> 00:57:56.601]  I mean, if we can preempt it by pointing out their stupid, futile plans, then let's do it.
[00:57:57.362 --> 00:58:00.243]  But the truth is, this is how crazy they are.
[00:58:00.803 --> 00:58:05.326]  And then he goes on to say in this article, she said that one of the comments that Gallucci made was,
[00:58:10.939 --> 00:58:16.921]  We will be telling them in advance that we will treat them as though they were the one who launched the attack, and they should expect devastating retaliation.
[00:58:16.961 --> 00:58:28.665]  Yeah, what they're going to do is, and they may well, very well may, and this is what the CFR is saying, detonate a bomb, claim that Iran gave it to Hezbollah, or something like that, and then they've been saying that.
[00:58:28.705 --> 00:58:30.026]  That's what the neocons say every day.
[00:58:30.466 --> 00:58:32.807]  I tell you, Iran's going to give the nuke to Hezbollah.
[00:58:33.027 --> 00:58:33.887]  They're going to nuke us.
[00:58:33.967 --> 00:58:39.649]  And so they get to nuke us, the globalists get to set up a police state when they did it, and then they get to go attack their enemies.
[00:58:40.197 --> 00:58:50.923]  Yeah, and then Gallucci's written this article in a journal of the Annals of American Academy of Political and Social Science that was titled, Averting Nuclear Catastrophe.
[00:58:52.323 --> 00:58:54.304]  Yeah, I did see that a few weeks ago.
[00:58:54.344 --> 00:59:01.748]  Why don't you email it to Aaron at Infowars.com right now or I'll just try to Google search it and pull that up and we'll get that reposted.
[00:59:01.788 --> 00:59:02.729]  I did have that in the stack.
[00:59:03.420 --> 00:59:04.781]  Was it like a week or two ago?
[00:59:04.821 --> 00:59:05.362]  Maybe three weeks?
[00:59:05.382 --> 00:59:05.762]  I don't remember.
[00:59:05.782 --> 00:59:06.423]  It was a while back.
[00:59:06.443 --> 00:59:09.646]  Alright, we'll be right back with the Checkin' Hour.
[00:59:09.686 --> 00:59:11.247]  More of your calls and a special guest.
[00:59:14.330 --> 00:59:19.215]  This broadcast is available on MP3 CD format at GCNLive.com or call toll free 877-300-7645.
[00:59:24.981 --> 00:59:27.843]  Are terrorist cells or prime terror targets located near you?
[00:59:28.203 --> 00:59:31.065]  Where are military bases and hazardous waste sites located?
[00:59:31.305 --> 00:59:37.509]  How do you find the best area for solar, average rainfalls, fish contamination advisories, and major transportation routes?
[00:59:37.869 --> 00:59:45.194]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:59:45.374 --> 00:59:49.397]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:59:49.737 --> 00:59:55.040]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much mud.
[00:59:55.080 --> 01:00:04.464]  The 3,000-plus... ...550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[01:00:04.644 --> 01:00:14.509]  Get this hard-to-find information by ordering Fruit and Places USA now for only $29, plus shipping and handling, by calling New Millennium at 888-803-4438 or order on the web at berkeywater.com.
[01:00:23.070 --> 01:00:24.991]  Waging war on corruption.
[01:00:25.471 --> 01:00:28.372]  Alex Jones on the GCN Radio Network.
[01:00:34.835 --> 01:00:35.475]  Big Brother.
[01:00:36.135 --> 01:00:37.195]  Mainstream media.
[01:00:37.896 --> 01:00:38.996]  Government cover-ups.
[01:00:39.656 --> 01:00:40.477]  You want answers?
[01:00:41.257 --> 01:00:43.158]  Well, so does he.
[01:00:43.178 --> 01:00:46.719]  He's Alex Jones on the GCN Radio Network.
[01:00:46.979 --> 01:00:51.101]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.305 --> 01:00:59.687]  We've got a special guest coming up in the next segment.
[01:01:01.207 --> 01:01:02.327]  Daniel Sunjata.
[01:01:03.448 --> 01:01:05.609]  Talking about 9-11.
[01:01:05.629 --> 01:01:07.029]  Right now, let's go back to your calls.
[01:01:07.049 --> 01:01:12.391]  I just want to make the point that during the one-minute breakup, as the last hour ended, I was thinking,
[01:01:13.286 --> 01:01:18.755]  I'm on the air calmly talking about CFR reports that are saying we're going to have Al Qaeda hit us with nukes.
[01:01:19.276 --> 01:01:21.780]  Before the 2004 election, Dick Cheney told U.S.
[01:01:21.800 --> 01:01:25.085]  News and World Report, quote, we will be nuked by the election.
[01:01:26.408 --> 01:01:27.850]  So it doesn't mean they're always going to do it.
[01:01:28.820 --> 01:01:36.764]  I mean, they love to scaremonger, but sometimes the threats they put out is exactly what they carry out, and then blame on these shadowy, imaginary enemies.
[01:01:37.404 --> 01:01:38.865]  And they get to have their cake and eat it, too.
[01:01:38.905 --> 01:01:39.465]  They get to.
[01:01:39.505 --> 01:01:40.205]  Who says you can't?
[01:01:40.626 --> 01:01:41.406]  In tyranny, you do.
[01:01:41.466 --> 01:01:43.747]  I guess for a while, you can go on for a long time.
[01:01:44.207 --> 01:01:45.508]  Go on for a long time.
[01:01:46.748 --> 01:01:48.929]  But sooner or later, God's going to cut you down.
[01:01:49.870 --> 01:01:56.153]  And they get to carry out the attacks, play the part of the savers and the heroes, set up the domestic police state, launch the wars.
[01:01:57.626 --> 01:01:59.447]  It's unbelievable wickedness, ladies and gentlemen.
[01:02:00.228 --> 01:02:02.529]  Let's talk to Joe in Pittsburgh.
[01:02:02.649 --> 01:02:03.270]  You're on the air.
[01:02:03.330 --> 01:02:03.910]  Thanks for holding.
[01:02:04.830 --> 01:02:05.371]  Hey, Alex.
[01:02:05.391 --> 01:02:06.011]  What's up, man?
[01:02:06.792 --> 01:02:14.276]  I called your show last Friday, and I advertised my Craigslist posting for the truth group that's forming here that I'm trying to put together.
[01:02:15.237 --> 01:02:17.138]  And we had a decent response.
[01:02:18.058 --> 01:02:25.323]  I just wanted to take the opportunity to try to get more people involved and to go to Craigslist, Pittsburgh.
[01:02:26.374 --> 01:02:27.912]  And the groups section.
[01:02:29.062 --> 01:02:31.764]  And you'll see my post for the 9-11 Truth Group for me.
[01:02:32.164 --> 01:02:32.404]  Good.
[01:02:32.464 --> 01:02:32.945]  Listen, listen.
[01:02:32.965 --> 01:02:34.606]  I want to tell you about philosophy, though.
[01:02:35.246 --> 01:02:42.131]  I let people call in and do whatever they want, but I like it when people call in and talk about a subject and then put a plug in.
[01:02:42.471 --> 01:02:47.475]  And also, if it becomes habitualized continually, it'll make stations turn off the show.
[01:02:47.495 --> 01:02:51.457]  Because about seven, eight years ago, my show just turned into, hey, I got a tractor for sale.
[01:02:52.058 --> 01:02:56.281]  And or, hey, you know, my daughter is 21 and she needs to find a nice man.
[01:02:56.721 --> 01:03:00.645]  We're going to try to set up a website where everybody can communicate with each other and where we can do this.
[01:03:00.745 --> 01:03:08.193]  I'm going to have to pretty soon I'm going to put the call out to hire the IT people and to hire the experts to help us really do this right.
[01:03:08.213 --> 01:03:11.777]  I'm going to be doing that in the next few weeks because I just don't have the personnel to do it.
[01:03:12.557 --> 01:03:16.842]  But can you imagine though if it's just kind of every week, hey man here's my plug for my Craigslist.
[01:03:17.202 --> 01:03:20.644]  Well, I'd like to say our first meeting is going to be coming up soon here.
[01:03:20.664 --> 01:03:25.107]  We're trying to get everybody together for that, and what we're trying to do is, as part of the Truth Action
[01:03:43.502 --> 01:03:47.184]  What they're advocating is an action on the 11th of every month.
[01:03:47.884 --> 01:03:50.025]  And it's a perfect opportunity for us.
[01:03:50.125 --> 01:03:53.827]  We're going to go to Latrobe, Pennsylvania, about 30 miles east of Pittsburgh.
[01:03:54.567 --> 01:03:59.029]  And the Lord and Emperor George W. Bush is going to be speaking at St.
[01:03:59.049 --> 01:04:02.191]  Vincent's College that day for the commencement.
[01:04:02.911 --> 01:04:10.975]  And we're going to mobilize and videotape and pass out DVDs and flyers for all the media that want to get their
[01:04:11.678 --> 01:04:12.998]  They're pictures of the Lord.
[01:04:13.598 --> 01:04:17.979]  We're going to have banners present, so hopefully we'll get that on the local media.
[01:04:18.359 --> 01:04:19.400]  I like the way you put it.
[01:04:19.500 --> 01:04:20.760]  Our Supreme Defender.
[01:04:20.780 --> 01:04:21.560]  The Great Defender.
[01:04:22.000 --> 01:04:22.960]  What's the date of that again?
[01:04:23.780 --> 01:04:25.021]  That is May 11th.
[01:04:26.541 --> 01:04:29.042]  And that's going to be where in Pennsylvania?
[01:04:30.082 --> 01:04:31.742]  Latrobe, Pennsylvania at St.
[01:04:31.902 --> 01:04:32.842]  Vincent's College.
[01:04:33.102 --> 01:04:34.323]  Alright, good job my friend.
[01:04:34.603 --> 01:04:36.143]  And listen, I'm not criticizing you.
[01:04:36.815 --> 01:04:43.299]  It's just, I've even had calls with people on air going, hey, I've got a website where I sell your videos, but I don't borrow them from you.
[01:04:44.160 --> 01:04:47.102]  And then they're, you know, it's $5 for all of them.
[01:04:47.962 --> 01:04:49.563]  We won't even be here if that continues.
[01:04:49.604 --> 01:04:54.006]  But I don't even have time to stop those people, plus it's not good quality and it's all just burnt on there.
[01:04:54.807 --> 01:04:55.728]  You know, it's a Catch-22.
[01:04:55.948 --> 01:04:58.009]  I'm like, hey, make copies of my videos.
[01:04:58.049 --> 01:04:59.110]  Do whatever you want with them.
[01:05:00.491 --> 01:05:01.531]  And then, but then there's the Catch-22 of
