[00:00:00.109 --> 00:00:01.490]  A really good idea.
[00:48:13.540 --> 00:48:15.441]  We could probably dig it out from two years ago and play it.
[00:48:17.522 --> 00:48:21.063]  Well, he's now saying, Dr. Jerome, of course he's a liar.
[00:48:23.286 --> 00:48:29.191]  Now, of course he wants to go to war with the Middle East, and of course he's, you know... But he's starting to wake up.
[00:48:29.411 --> 00:48:33.454]  But at least he knows the North American Union is real and gets the actual documents.
[00:48:34.675 --> 00:48:37.938]  And so now all the big national hosts, including Medved, are attacking him.
[00:48:41.541 --> 00:48:43.282]  And calling him a liar.
[00:48:43.542 --> 00:48:45.103]  They give no evidence, no facts.
[00:48:46.264 --> 00:48:47.625]  Well, that's like Lars Larson.
[00:48:48.306 --> 00:48:50.628]  I was on his show for an hour and I couldn't believe the guy.
[00:48:51.545 --> 00:48:53.706]  Was defending the North American Union.
[00:48:56.006 --> 00:48:56.987]  That's what they do!
[00:48:59.728 --> 00:49:02.549]  Now, all those years, Limbaugh said the kook detector test.
[00:49:02.989 --> 00:49:07.310]  There's no CFR, there's no world government, there's no plan for the UN takeover.
[00:49:07.330 --> 00:49:08.330]  If you say it, you're a kook.
[00:49:09.191 --> 00:49:12.652]  Now, okay, well, yeah, there's a North American Union, but it's okay.
[00:49:14.292 --> 00:49:16.173]  They're there to pacify conservatives.
[00:49:24.973 --> 00:49:31.758]  Most of the attacks that I've received have been so ridiculous and so baseless, I never respond to them.
[00:49:33.140 --> 00:49:34.120]  Well, that's not accurate.
[00:49:34.140 --> 00:49:35.641]  I don't respond to them most times.
[00:49:35.681 --> 00:49:36.742]  They're fielded at me.
[00:49:37.583 --> 00:49:43.007]  Because, you know, for somebody who finds some accusation about me, it's always brand new for them.
[00:49:43.708 --> 00:49:47.751]  They email me and say, you need to answer for this right now.
[00:49:49.012 --> 00:49:50.713]  Well, I've answered for it 50 times.
[00:49:52.688 --> 00:49:57.131]  But the fifty times I answered for it was probably one out of a hundred times that I was challenged.
[00:49:58.692 --> 00:50:06.717]  If I spent my life answering for all the baloney that's thrown at me, we would never talk about real issues here.
[00:50:07.798 --> 00:50:10.019]  You would hear a show that was all about me.
[00:50:13.301 --> 00:50:19.345]  You need to answer for that Order of Death flag you had, that Illuminati flag on your TV show.
[00:50:20.379 --> 00:50:27.285]  No, it's liberty, militia, liberty or death, the New Hampshire slogan.
[00:50:28.025 --> 00:50:28.906]  Don't tread on me.
[00:50:29.026 --> 00:50:30.888]  It's something I need to answer for?
[00:50:31.228 --> 00:50:33.410]  Hell, now that people are out there saying that, it'll never end.
[00:50:33.470 --> 00:50:40.956]  Twenty years from now, I'll have somebody saddle up to me at a bus stop and go, you need to answer for that death flag!
[00:50:40.976 --> 00:50:45.459]  Well, you need to answer for America being a police state.
[00:50:45.479 --> 00:50:48.742]  Didn't you go do something about it, or are you just ninny and nitpick all day?
[00:50:51.474 --> 00:51:04.897]  The most insane thing that has no basis in reality, but that's what the Feds do, and this does come from the Feds, no doubt, is that this show and this network is owned by Disney and ABC.
[00:51:07.078 --> 00:51:12.820]  No connection to reality, a total and complete lie.
[00:51:15.220 --> 00:51:18.421]  And they'll sit there with straight faces and say it.
[00:51:23.661 --> 00:51:26.225]  Because, see, they don't want you to know something's legitimate.
[00:51:26.585 --> 00:51:28.668]  They don't want you to focus on fighting the new war.
[00:51:29.229 --> 00:51:32.854]  They want you to focus on not believing the messenger.
[00:51:33.054 --> 00:51:34.697]  Don't believe me, just check out the facts!
[00:51:35.905 --> 00:51:43.831]  For years you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[00:51:44.311 --> 00:51:47.433]  But how can they continue to hold that title for years on end?
[00:51:47.853 --> 00:51:50.875]  The answer is high quality and huge selection.
[00:51:51.296 --> 00:51:56.099]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:51:56.519 --> 00:51:58.861]  You're bound to find the alternative you're looking for.
[00:51:59.601 --> 00:52:04.345]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[00:52:04.786 --> 00:52:10.691]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:52:10.991 --> 00:52:12.152]  And don't forget your pets.
[00:52:12.613 --> 00:52:18.318]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[00:52:18.738 --> 00:52:25.084]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:52:25.624 --> 00:52:30.447]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:52:30.988 --> 00:52:32.369]  HerbalHealer.com.
[00:52:32.629 --> 00:52:34.410]  Working with the power of nature.
[00:52:38.613 --> 00:52:39.173]  It's here.
[00:52:39.333 --> 00:52:44.117]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:52:44.477 --> 00:52:52.122]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:52:52.805 --> 00:52:59.847]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:53:00.248 --> 00:53:11.651]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:53:11.992 --> 00:53:15.513]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:53:15.953 --> 00:53:17.894]  It's an anthology of government crimes.
[00:53:18.214 --> 00:53:22.055]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:53:22.655 --> 00:53:29.642]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:53:35.715 --> 00:53:40.940]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:53:41.080 --> 00:53:49.167]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:53:49.427 --> 00:53:56.493]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:53:56.653 --> 00:53:57.934]  Radioactive poisoning.
[00:53:58.014 --> 00:54:03.898]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:54:04.098 --> 00:54:09.182]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:54:09.322 --> 00:54:18.189]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:54:18.449 --> 00:54:23.052]  Order the official potassium iodate for only $24 and save $5 by calling New Millennium at
[00:54:28.701 --> 00:54:30.243]  Call now and get free shipping!
[00:54:56.138 --> 00:55:01.781]  No, it makes the feds really mad that we won't discredit ourselves here on the show with racism.
[00:55:04.021 --> 00:55:08.663]  It makes them really mad that there's nothing to burn us with, there's no skeletons in the closet.
[00:55:10.084 --> 00:55:13.585]  It really upsets them that they can't get a handle on me and what I do.
[00:55:14.846 --> 00:55:18.127]  And so they just make up mindless information.
[00:55:18.827 --> 00:55:21.008]  And the only reason I'm bringing this up today is because
[00:55:22.276 --> 00:55:26.337]  Every day of every week of every year, it's always the same.
[00:55:26.397 --> 00:55:28.237]  You need to answer for this!
[00:55:28.377 --> 00:55:30.058]  You need to answer for that!
[00:55:31.238 --> 00:55:34.758]  And I just can't believe how it's always so stupid!
[00:55:36.579 --> 00:55:39.759]  I mean, so ridiculous!
[00:55:41.680 --> 00:55:46.521]  And it's like serialized comic books, the lies that are told about me.
[00:55:46.541 --> 00:55:48.421]  And that shows you we're having an effect
[00:55:49.091 --> 00:55:51.332]  It shows you that the enemy is upset.
[00:55:51.492 --> 00:55:54.453]  We are over the target and we are getting the flag.
[00:55:56.594 --> 00:56:01.276]  And it's on days when I'm tired and I don't want to come into a radio show or I don't want to stay up here late at night and work.
[00:56:01.816 --> 00:56:03.317]  It is actually sick.
[00:56:06.558 --> 00:56:12.741]  Because I should come in here and work extra hard for my family and my country and that's a large part of it.
[00:56:14.542 --> 00:56:20.627]  But one of the main reasons I do is because I don't want to let the bastards grind me down, as they say.
[00:56:22.849 --> 00:56:23.769]  And I'm not going to.
[00:56:25.150 --> 00:56:26.371]  I'm not going to back off, ever.
[00:56:28.133 --> 00:56:31.535]  And the more attacks I receive, the more I'm going to do.
[00:56:33.317 --> 00:56:38.421]  And God willing, and this is what I've seen in the past, I'll be here moving forward, fighting the New World Order.
[00:56:39.742 --> 00:56:43.705]  You know, as the COINTELPRO outfits, and I see them come and go, lose their funding.
[00:56:44.381 --> 00:56:46.963]  And just go off into oblivion, or as they get exposed.
[00:56:48.744 --> 00:56:49.664]  So that's the good news.
[00:56:49.824 --> 00:56:51.526]  I've been kind of a space case today.
[00:56:51.546 --> 00:56:54.607]  I've got all this news here in front of me.
[00:56:54.788 --> 00:56:56.989]  They shut down part of downtown today.
[00:56:57.069 --> 00:56:58.870]  They were saying it might be terrorists.
[00:56:58.950 --> 00:56:59.671]  Oh my gosh.
[00:57:00.451 --> 00:57:04.133]  Police officers got sick and had to go to the hospital.
[00:57:07.495 --> 00:57:10.077]  Several dozen pigeons died downtown.
[00:57:12.808 --> 00:57:15.211]  From the Capitol down to First Street.
[00:57:16.612 --> 00:57:19.155]  So I don't know, what is that, 600 yards or so?
[00:57:20.877 --> 00:57:34.411]  And they closed Congress and a few side streets from 3 in the morning until supposedly in the next hour or so, they're going to be opening Congress back up.
[00:57:38.486 --> 00:57:41.407]  And I don't know the truth about what happened down there.
[00:57:41.567 --> 00:57:45.009]  I know that neocons instantly were covering it.
[00:57:46.169 --> 00:57:48.290]  And that makes my suspicion level go up.
[00:57:48.330 --> 00:57:50.391]  But again, it's a very complex issue.
[00:57:51.791 --> 00:57:54.312]  I tend to believe somebody just poisoned a bunch of pigeons.
[00:57:54.372 --> 00:57:59.294]  And as of last break, the news locally is saying the same thing.
[00:58:00.094 --> 00:58:03.235]  Now they think somebody poisoned the pigeons, but they're testing them.
[00:58:04.916 --> 00:58:07.237]  And you're like, Alex, they're talking about attacking Iran.
[00:58:08.237 --> 00:58:10.118]  Why are you talking about dead pigeons?
[00:58:10.178 --> 00:58:13.299]  Well, I mean, this goes to the hysteria.
[00:58:14.179 --> 00:58:20.481]  You've got a better chance of being struck by lightning than you do of dying from a terrorist attack.
[00:58:20.521 --> 00:58:21.902]  And that's when they average 9-11 in.
[00:58:25.083 --> 00:58:34.646]  It's literally like having a relationship with the Tooth Fairy if you don't average the 3,000 dead on 9-11 in.
[00:58:35.006 --> 00:58:35.626]  It isn't real.
[00:58:35.686 --> 00:58:36.707]  It's a fairy tale without 9-11.
[00:58:40.265 --> 00:58:43.467]  But you'd think it was just a pandemic epidemic.
[00:58:43.487 --> 00:58:48.531]  With as much hype as they've got going, people start jumping at shadows.
[00:58:49.532 --> 00:58:52.634]  So, I know we've got loaded phones here.
[00:58:52.654 --> 00:58:54.336]  I just haven't given the number out yet.
[00:58:54.356 --> 00:58:55.576]  1-800-259-9231.
[00:58:55.597 --> 00:58:55.677]  800-259-9231.
[00:58:55.717 --> 00:58:57.858]  I've written some notes here about this pigeon thing.
[00:58:57.998 --> 00:59:01.821]  And it's important, because it's going to open up into a bunch of other issues.
[00:59:07.552 --> 00:59:10.276]  I'll do that at the bottom of the next hour, then we'll get into Israel.
[00:59:10.917 --> 00:59:13.221]  But before we do that, we'll take your phone calls.
[00:59:13.241 --> 00:59:14.142]  Stay with us.
[00:59:15.304 --> 00:59:20.211]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[00:59:26.323 --> 00:59:34.666]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:59:34.826 --> 00:59:44.889]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:59:45.349 --> 00:59:51.214]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:59:51.434 --> 01:00:06.085]  Find out everything from where to get water in an emergency, to geographic income levels, housing prices in the 30,000 plus counties in the U.S., full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:00:06.365 --> 01:00:11.709]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium at
[01:00:11.989 --> 01:00:12.630]  At 888-803-4438.
[01:00:12.850 --> 01:00:16.173]  And tell them Alex Jones sent you.
[01:00:16.213 --> 01:00:17.654]  That's 888-803-4438.
[01:00:17.794 --> 01:00:21.297]  Or order online at berkeywater.com.
[01:00:25.581 --> 01:00:27.503]  Waging war on corruption.
[01:00:27.963 --> 01:00:30.746]  Alex Jones on the GCM Radio Network.
[01:00:37.296 --> 01:00:41.497]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:42.137 --> 01:00:42.958]  You want answers?
[01:00:43.718 --> 01:00:45.638]  Well, so does he.
[01:00:45.658 --> 01:00:48.959]  He's Alex Jones on the GCN Radio Network.
[01:00:49.460 --> 01:00:53.581]  And now, live from Austin, Texas, Alex Jones.
[01:00:59.142 --> 01:01:04.444]  Coming up in half an hour, I'll walk through a mass mind control program
[01:01:05.436 --> 01:01:07.658]  That we can clearly identify and demonstrate.
[01:01:08.779 --> 01:01:23.511]  And a doorway into this larger system is the fact that part of downtown Austin was shut down today, and it's still shut down, last time I checked, because of a bunch of dead pigeons.
[01:01:25.234 --> 01:01:33.659]  And whereas people will just poison pigeons in the past, and that was the end of it, now it causes hysteria because every cop is a wannabe Jack Bauer.
[01:01:34.019 --> 01:01:49.248]  And since terrorism doesn't exist in the real world, outside of government ops, and that is the blue, blue moon, just any excuse to run around in hysteria and fear, cops flopping around sick, collapsing, having to go to the hospital,
[01:01:50.511 --> 01:01:51.311]  Psychosomatic.
[01:01:51.331 --> 01:01:52.992]  They're mental patients, folks.
[01:01:53.072 --> 01:01:55.833]  And that's because they buy in.
[01:01:55.853 --> 01:02:04.755]  And we had two separate PSYOPs that they admitted were PSYOPs in 2000.
[01:02:05.715 --> 01:02:08.316]  Here in Austin.
[01:02:08.516 --> 01:02:09.876]  And I'll tell you about those.
[01:02:10.997 --> 01:02:13.177]  And you know what, Mike Hanson, I know you're busy.
[01:02:14.118 --> 01:02:16.598]  But you've got the master three-quarter inch old tapes.
[01:02:17.539 --> 01:02:18.919]  You're coming to the TV show tonight.
[01:02:20.925 --> 01:02:23.407]  I want you to do whatever you have to.
[01:02:23.427 --> 01:02:28.150]  I want you... This is how I communicate with people now, is over the radio.
[01:02:28.731 --> 01:02:32.513]  I want you to go into your storage area, and I want you... I've asked this before.
[01:02:34.835 --> 01:02:40.759]  I want you to dig out the TV show we did when they did the two fake attacks.
[01:02:42.721 --> 01:02:48.825]  The fake nuclear spill, which we have on video, we did a report on, and the fake bio-attack downtown.
[01:02:50.168 --> 01:02:53.070]  And they also had the fake attack at the DPS.
[01:02:55.152 --> 01:02:57.654]  And then I bluffed them into admitting it was fake on the news.
[01:02:58.154 --> 01:03:00.216]  The local news was involved in it, of course.
[01:03:01.357 --> 01:03:02.638]  I forgot there were three of them.
[01:03:02.678 --> 01:03:04.199]  See, that's another problem.
[01:03:05.440 --> 01:03:13.166]  I'm sitting here, thinking about 30 minutes from now, wanting to cogently go over all the evidence of this, and I... I can't!
[01:03:13.266 --> 01:03:14.187]  I mean, there's too much!
[01:03:16.789 --> 01:03:17.830]  And it's terrorism.
[01:03:20.194 --> 01:03:25.158]  The uh... I'm just totally disgusted.
[01:03:26.399 --> 01:03:27.339]  And then I'm frustrated.
[01:03:27.419 --> 01:03:31.302]  I printed an article here.
[01:03:31.882 --> 01:03:40.569]  There were like ten different articles or more in Texas about the uh... military being involved.
[01:03:40.629 --> 01:03:42.090]  This anti-terrorist squad.
[01:03:42.730 --> 01:03:46.373]  Same guys we've seen running checkpoints long before 9-11 that told us to turn our cameras off.
[01:03:48.019 --> 01:03:51.380]  And their group was listed there, and it didn't print.
[01:03:52.060 --> 01:03:53.280]  See, I print everything.
[01:03:54.420 --> 01:03:59.001]  Because I can't just sit here on the internet and skip around on a web page because I never can find it all.
[01:03:59.821 --> 01:04:02.802]  I printed to have a hard copy of it, and that didn't print.
[01:04:05.762 --> 01:04:09.223]  But it listed that group running around.
[01:04:10.983 --> 01:04:12.463]  It's just a total joke!
[01:04:13.744 --> 01:04:15.604]  That's why they have drills.
[01:04:16.471 --> 01:04:21.155]  To then create the fear and create the perception that it's real.
[01:04:22.096 --> 01:04:23.397]  And that it's a real threat.
[01:04:24.437 --> 01:04:27.140]  So they can then make changes in our liberties and freedoms.
[01:04:30.362 --> 01:04:31.423]  It is a matrix, folks.
[01:04:31.463 --> 01:04:32.904]  We live in a matrix.
[01:04:34.586 --> 01:04:37.448]  And every time they announce the nuclear spill,
[01:04:38.556 --> 01:04:42.719]  Or every time they announced that they'd stopped an Arab downtown.
[01:04:43.059 --> 01:04:43.880]  Turned out it was fake.
[01:04:43.920 --> 01:04:44.540]  It was a drill.
[01:04:45.040 --> 01:04:46.742]  Cops all over started collapsing.
[01:04:48.883 --> 01:04:50.284]  I mean, give me a break.
[01:04:50.344 --> 01:04:51.525]  Psychosomatic, folks.
[01:04:53.406 --> 01:04:54.807]  Psychosomatic.
[01:04:55.307 --> 01:04:56.568]  And every one of them watches 24.
[01:04:56.708 --> 01:05:00.291]  Every one of them watches these anti-terror shows.
[01:05:01.672 --> 01:05:03.793]  And that's a mass psychosis.
[01:05:05.574 --> 01:05:07.976]  And God help us.
[01:05:08.889 --> 01:05:09.550]  God help us.
[01:05:13.072 --> 01:05:15.114]  Dead pigeons, the police are collapsing.
[01:05:16.875 --> 01:05:17.916]  Oh, don't worry though.
[01:05:17.936 --> 01:05:23.000]  A time's coming when your loving federal masters are gonna release something.
[01:05:23.040 --> 01:05:26.903]  Hell, they already launched an anthrax attack on us back in 2001.
[01:05:26.943 --> 01:05:27.863]  That's just a dry run.
[01:05:33.391 --> 01:05:38.353]  Now you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[01:05:38.653 --> 01:05:44.095]  Ideal for sporting games, camping or boating or Sport Berkey is small enough to store in your glove box.
[01:05:44.135 --> 01:05:48.416]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[01:05:48.757 --> 01:05:51.778]  It's simply the best personal water filtration system available.
[01:05:52.098 --> 01:05:55.519]  So effective you can drink raw, untreated water from lakes, rivers and streams.
[01:05:55.859 --> 01:06:05.201]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[01:06:05.461 --> 01:06:08.962]  It even reduces radon-222, lead, and other heavy metals.
[01:06:09.202 --> 01:06:16.323]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[01:06:16.563 --> 01:06:17.924]  Get the Berkey Sport for only $39.
[01:06:18.004 --> 01:06:19.784]  Get two for $70 by calling New Millennium at 888-803-4438.
[01:06:24.725 --> 01:06:26.087]  Order your Berkey Sport today.
[01:06:26.328 --> 01:06:28.931]  That's toll free, 888-803-4438 or order on the web at Berkeywater.com.
[01:06:32.774 --> 01:06:33.354]  It's a fact.
[01:06:33.554 --> 01:06:37.996]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[01:06:38.436 --> 01:06:43.637]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[01:06:43.918 --> 01:06:47.119]  So why should you, the hard-working American, be harassed for yours?
[01:06:47.379 --> 01:06:54.481]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:06:54.841 --> 01:07:02.047]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:07:02.468 --> 01:07:04.309]  We also do credit restoration.
[01:07:04.770 --> 01:07:11.095]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[01:07:11.316 --> 01:07:15.079]  Instead of living each day in fear, it's time to turn your life around.
[01:07:15.439 --> 01:07:18.022]  Call Day of Jubilee open 9 a.m.
[01:07:18.062 --> 01:07:18.882]  to 5 p.m.
[01:07:18.942 --> 01:07:20.164]  Central Standard Time at 920-293-8024.
[01:07:20.184 --> 01:07:20.364]  That's 920-293-8024.
[01:07:20.444 --> 01:07:21.585]  And ask for Robert.
[01:07:21.645 --> 01:07:24.948]  Don't wait any longer to get your life back in order.
[01:07:35.649 --> 01:07:41.093]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:07:41.473 --> 01:07:49.118]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:07:49.798 --> 01:07:56.862]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:07:57.262 --> 01:08:08.669]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:08:08.989 --> 01:08:12.491]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:08:12.951 --> 01:08:14.872]  It's an anthology of government crimes.
[01:08:15.213 --> 01:08:19.055]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:08:19.655 --> 01:08:31.464]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[01:08:33.726 --> 01:08:39.330]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:08:39.450 --> 01:08:47.917]  Alright, we've had the military and the police running around in downtown Austin with some dead pigeons.
[01:08:49.657 --> 01:08:52.638]  Part of New York shut down because of a gas smell.
[01:08:52.678 --> 01:08:54.258]  They think Al Qaeda may be attacking.
[01:08:54.898 --> 01:08:57.819]  This is the type of just hysteria, what they've turned us into.
[01:08:57.839 --> 01:08:59.159]  I'm going to get into it later.
[01:08:59.719 --> 01:09:02.399]  Also Israel openly saying they may nuke Iran.
[01:09:02.959 --> 01:09:04.000]  We'll break that down.
[01:09:05.020 --> 01:09:06.220]  Right now, let's go to your calls.
[01:09:06.760 --> 01:09:08.821]  Brian in California, you're on the air.
[01:09:08.861 --> 01:09:09.221]  Welcome.
[01:09:10.421 --> 01:09:11.021]  How you doing, Alex?
[01:09:11.601 --> 01:09:12.361]  Hey, what's going on?
[01:09:12.861 --> 01:09:15.122]  I just want to wish you a Happy New Year, right off the bat.
[01:09:15.182 --> 01:09:15.742]  Happy New Year.
[01:09:17.737 --> 01:09:29.544]  Seen Destroyed by Design is probably one of your most powerful movies, personally for me, because my family actually owns a piece of land near one of these UN-controlled areas.
[01:09:30.305 --> 01:09:32.666]  I talked to a friend of mine over the weekend.
[01:09:32.686 --> 01:09:36.048]  This person's actually in the military, in the Navy.
[01:09:36.909 --> 01:09:45.454]  They were telling me that this person is stationed in the South Pacific, and that they were
[01:09:46.542 --> 01:09:54.987]  Actually, getting ready to deploy towards South Korea, we were gonna head towards North Korea and then attack on North Korea while we were attacking Iran at the same time.
[01:10:00.030 --> 01:10:00.931]  Go ahead, anything else?
[01:10:01.791 --> 01:10:02.612]  Um, that's it.
[01:10:02.652 --> 01:10:04.753]  I was just wondering if you knew any information on that.
[01:10:06.755 --> 01:10:08.356]  Well, troops get rumors all the time.
[01:10:08.416 --> 01:10:09.856]  It doesn't necessarily mean it's true.
[01:10:10.477 --> 01:10:10.777]  Okay.
[01:10:10.877 --> 01:10:13.719]  But we know that they are certainly discussing a
[01:10:14.938 --> 01:10:43.679]  strike on Iran's facilities and that uh... more than twenty bunker-busting mini-nukes or low-yield weapons have been delivered to Israel in the last two years and we know that uh... there have been open discussions of striking North Korea's facilities and North Korea over the weekend has started rumblings and saber-rattling again that they may test
[01:10:44.745 --> 01:10:46.726]  Another atomic device.
[01:10:48.427 --> 01:10:49.787]  So who knows what's going to happen?
[01:10:50.527 --> 01:10:55.790]  I just know in the case of Iran, they're not anywhere close to an A-bomb, much less a delivery system.
[01:10:56.930 --> 01:11:03.753]  And in the case of North Korea, they've certainly got A-bombs and delivery systems, and our government helped give it all to them.
[01:11:04.733 --> 01:11:05.754]  So it's like the
[01:11:08.331 --> 01:11:18.937]  It's like that imitation that Bill Hicks did of a western, but they do this over and over again in the westerns where the 14-year-old kid comes into town to the general store.
[01:11:19.578 --> 01:11:29.884]  He's, gee mister, I'm just here to get some rock candy and some gigum for my ma and I'm here to get some rope and stuff.
[01:11:30.364 --> 01:11:31.745]  I don't want no trouble.
[01:11:33.612 --> 01:11:41.678]  And the evil hired gunslinger hired by the railroad to run him off their land throws a gun down in front of him and goes, pick up the gun.
[01:11:41.698 --> 01:11:44.980]  And he says, me mister, I really don't want to.
[01:11:45.380 --> 01:11:48.862]  I just want to get my rock candy and go on home.
[01:11:49.422 --> 01:11:50.283]  Pick up the gun.
[01:11:51.384 --> 01:11:54.586]  And then he says, no mister, no.
[01:11:54.606 --> 01:11:56.687]  And he says, ah shit, pick it up.
[01:11:57.167 --> 01:11:59.749]  So the teenager goes to pick it up and he
[01:12:02.555 --> 01:12:03.335]  You saw him.
[01:12:03.855 --> 01:12:04.936]  He had a gun.
[01:12:06.276 --> 01:12:07.997]  And, uh, it's just a sick joke.
[01:12:08.837 --> 01:12:10.878]  But, but, who knows what's gonna happen.
[01:12:10.898 --> 01:12:13.458]  Brian, I want you to have a great New Year, too, my friend.
[01:12:13.999 --> 01:12:14.619]  Thank you very much.
[01:12:14.979 --> 01:12:15.679]  Good to hear from you.
[01:12:16.559 --> 01:12:18.640]  John in California, you're on the air.
[01:12:18.700 --> 01:12:19.140]  Go ahead.
[01:12:19.160 --> 01:12:21.241]  Hello?
[01:12:21.501 --> 01:12:21.861]  Hi!
[01:12:23.021 --> 01:12:30.764]  Yeah, I called you yesterday about the, uh, Secretary of the Federal Reserve being arrested in Germany.
[01:12:32.401 --> 01:12:34.523]  I may have given you the wrong website.
[01:12:34.643 --> 01:12:39.227]  That's www.worldreports.org.
[01:12:40.287 --> 01:12:43.090]  If you go to the archives, you can pick up that article.
[01:12:43.450 --> 01:12:48.014]  Oh, tell me the name of the supposed person that got arrested.
[01:12:48.994 --> 01:12:58.002]  Well, it's the Secretary of the Treasury, Paulson, and he was arrested and released.
[01:12:58.842 --> 01:13:00.764]  It's about WANTA.
[01:13:02.080 --> 01:13:04.481]  Oh, I don't believe any of that.
[01:13:04.862 --> 01:13:05.782]  I don't buy any of that.
[01:13:06.262 --> 01:13:07.323]  Absolutely zero.
[01:13:08.303 --> 01:13:10.384]  Well, it's all over the website.
[01:13:11.065 --> 01:13:11.865]  Believe me, I know.
[01:13:12.185 --> 01:13:12.746]  Now I know.
[01:13:12.766 --> 01:13:13.406]  That's what I thought.
[01:13:13.766 --> 01:13:15.007]  That's where I thought you were going.
[01:13:15.027 --> 01:13:16.287]  Listen, man.
[01:13:17.708 --> 01:13:25.132]  And it's not bad of you to ask, but it sounds like you may just want to believe what they're saying, so just go ahead and believe them.
[01:13:25.192 --> 01:13:27.493]  Don't let me get in the way of your happiness and success.
[01:13:28.073 --> 01:13:29.994]  Would you please check the website out?
[01:13:30.055 --> 01:13:30.915]  I know all about it.
[01:13:31.994 --> 01:13:33.095]  I know all about it.
[01:13:33.115 --> 01:13:34.675]  I've been hearing about it for three years.
[01:13:35.476 --> 01:13:36.837]  Well, this is all new.
[01:13:36.897 --> 01:13:37.797]  It just happened.
[01:13:38.037 --> 01:13:38.297]  No.
[01:13:38.998 --> 01:13:43.520]  In the world record... Listen, we heard, and I appreciate your call.
[01:13:50.724 --> 01:13:54.766]  Nobody wants to write an article about the $3.9 trillion missing from the Pentagon.
[01:13:54.806 --> 01:13:55.166]  Nobody.
[01:13:56.427 --> 01:13:57.467]  Maybe we should write another one.
[01:13:58.748 --> 01:14:00.989]  The AP wrote a few, but I mean, none of the alternative media.
