[00:00:00.029 --> 00:00:01.021]  Bidding talk rates.
[00:46:48.272 --> 00:46:48.832]  600, 800 miles away?
[00:46:48.852 --> 00:46:50.413]  This is nonsense.
[00:46:50.973 --> 00:46:51.373]  Yeah, I know.
[00:46:52.606 --> 00:46:56.709]  I guess Ed and Elaine Brown, the elderly couple, really rattled their cages, eh?
[00:46:57.590 --> 00:46:57.970]  I guess.
[00:46:59.251 --> 00:47:05.916]  We must be a real terror to the federal government corporate structure, huh?
[00:47:05.936 --> 00:47:06.316]  Yeah.
[00:47:06.356 --> 00:47:14.722]  You want to go through the story of what exactly happened when they picked you up, how they did it, what the hell did they do?
[00:47:14.742 --> 00:47:15.943]  How much time are they going to give us here?
[00:47:16.739 --> 00:47:16.999]  Yeah.
[00:47:17.159 --> 00:47:19.801]  They picked us up from when Dutch, he swarmed us.
[00:47:19.881 --> 00:47:22.783]  I had the opportunity to stop Dutch real quick, real brief.
[00:47:22.823 --> 00:47:23.724]  You know I'm pretty fast.
[00:47:24.624 --> 00:47:26.646]  I'm not going to hurt anybody and I don't want to hurt anybody.
[00:47:27.446 --> 00:47:29.628]  In the same token I let it go down and let it happen.
[00:47:30.308 --> 00:47:31.309]  But I did not expect this.
[00:47:32.811 --> 00:47:35.873]  So when Dutch Grass warned me that some little cowardly U.S.
[00:47:35.933 --> 00:47:38.655]  Marshal would say something, I'm a little punk kid, he tasered me.
[00:47:39.195 --> 00:47:39.736]  Oh God.
[00:47:40.236 --> 00:47:42.417]  Oh yeah, they had me down and Dutchess had me down.
[00:47:42.437 --> 00:47:43.678]  I'm not even, I'm not even resistant.
[00:47:43.718 --> 00:47:45.880]  I didn't resist one second, okay?
[00:47:46.320 --> 00:47:49.842]  And this guy comes up to me and he had me down and Dutchess got me down and he's tasering me.
[00:47:50.543 --> 00:47:51.183]  Oh my God.
[00:47:51.563 --> 00:47:56.847]  And they pulled me up, they put me in a cuffs and shackled me, took me down to the police station in Lebanon, the same old story.
[00:47:56.887 --> 00:47:58.768]  Two armed guards in battle dress uniform.
[00:47:59.108 --> 00:47:59.909]  I think they were U.S.
[00:47:59.949 --> 00:48:00.329]  Marshals.
[00:48:01.175 --> 00:48:01.735]  I don't know.
[00:48:01.835 --> 00:48:02.496]  I don't know.
[00:48:02.556 --> 00:48:03.236]  I don't know.
[00:48:30.561 --> 00:48:30.821]  Yeah.
[00:48:31.621 --> 00:48:35.363]  So she came out about 15 minutes later and they cut her off.
[00:48:35.603 --> 00:48:40.405]  They took the usual strip shirts thing like they always do and they spread your cheeks a little bit as usual.
[00:48:40.865 --> 00:48:43.086]  I've done that probably about seven or eight times.
[00:48:43.346 --> 00:48:44.747]  Oh my God, you have?
[00:48:44.787 --> 00:48:45.787]  They do it over and over again.
[00:48:45.847 --> 00:48:49.268]  Even inside when we pass you off from one to the other they all go through the same procedure.
[00:48:49.288 --> 00:48:52.109]  You know, squat and spread your cheeks and whatever.
[00:48:52.269 --> 00:48:53.230]  It's just disgusting.
[00:48:53.430 --> 00:48:55.171]  I had to do that once.
[00:48:55.931 --> 00:48:56.871]  Yeah, so you understand.
[00:48:56.891 --> 00:48:58.052]  But try to do it over and over again.
[00:48:58.872 --> 00:48:59.332]  I don't know.
[00:48:59.392 --> 00:48:59.792]  I don't know.
[00:48:59.812 --> 00:49:00.233]  I don't know.
[00:49:23.903 --> 00:49:27.707]  I even told him I didn't want to go to see if he would try to get me to go.
[00:49:38.756 --> 00:49:41.738]  That's what they do.
[00:49:41.778 --> 00:49:42.758]  I suspected it from where.
[00:49:42.778 --> 00:49:50.143]  That's why I called two locations and told them that we have a suspected sting operation going down here.
[00:49:50.523 --> 00:49:52.444]  I said we'll call you back in a couple of hours.
[00:49:52.664 --> 00:49:54.165]  I was with David Weinkleis.
[00:49:54.205 --> 00:49:55.826]  I called him two hours before it went down.
[00:49:56.306 --> 00:49:58.668]  I called Bernie Bash and let him know about it too.
[00:49:58.688 --> 00:49:59.948]  That's what happened.
[00:50:00.929 --> 00:50:01.989]  So I knew it was coming down.
[00:50:05.658 --> 00:50:08.759]  Alright, and we're going to break and come back with Sean Kratos.
[00:50:08.799 --> 00:50:10.660]  Sean, is that the end of the Total Tape?
[00:50:11.760 --> 00:50:15.701]  Yeah, that's all the tape we have because the recording got cut off.
[00:50:16.261 --> 00:50:19.102]  How were you able to get through to him when nobody else could?
[00:50:20.242 --> 00:50:30.326]  I just set up an attorney call because we're working with a group of lawyers, a team of lawyers, to try to file some motions or a writ.
[00:50:32.828 --> 00:50:39.130]  I'm telling you, you guys need to get Larry Becraft and not one of these Patriot quack lawyers.
[00:50:39.490 --> 00:50:41.631]  Because most of them are feds to begin with.
[00:50:41.691 --> 00:50:42.532]  It's all a big joke.
[00:50:42.552 --> 00:50:43.992]  Trying to give you bad info.
[00:50:44.032 --> 00:50:45.273]  But I don't know who your lawyers are.
[00:50:45.293 --> 00:50:46.913]  But you ought to talk to Becraft.
[00:50:46.933 --> 00:50:47.393]  Stay there.
[00:50:47.413 --> 00:50:49.654]  Let's talk about this on the other side.
[00:50:50.334 --> 00:50:51.615]  And I appreciate you coming on with us.
[00:50:52.015 --> 00:50:55.316]  And then coming up later, folks, Bush says it's going to be World War III.
[00:50:55.916 --> 00:50:56.797]  Oh yeah, stay with us.
[00:51:01.423 --> 00:51:02.824]  It is a big idea.
[00:51:02.844 --> 00:51:04.945]  A new world order.
[00:51:05.665 --> 00:51:09.828]  In the near future, Earth is dominated by a powerful new government.
[00:51:10.548 --> 00:51:13.350]  It's known as the Bilderberg Group.
[00:51:13.390 --> 00:51:15.631]  Won't their objective be world domination?
[00:51:16.171 --> 00:51:18.632]  For thousands of years, their dark order grew.
[00:51:19.353 --> 00:51:26.677]  Now, as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[00:51:29.699 --> 00:51:34.701]  For the first time in history, the elite's plan for world government is blown wide open.
[00:51:35.161 --> 00:51:38.622]  You will learn the secret that drives the entire New World Order agenda.
[00:51:39.002 --> 00:51:41.523]  Bill Burgess makes great progress toward a world government.
[00:51:41.583 --> 00:51:42.523]  Most people have no idea.
[00:51:42.543 --> 00:51:43.483]  They're not after money.
[00:51:43.503 --> 00:51:44.584]  They have all the money they need.
[00:51:44.804 --> 00:51:45.564]  They're after power.
[00:51:45.784 --> 00:51:46.464]  That's what happens.
[00:51:46.944 --> 00:51:51.486]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:51:51.686 --> 00:51:54.747]  Or watch it online right now at PrisonPlanet.tv.
[00:51:54.807 --> 00:51:55.547]  In Game.
[00:51:55.567 --> 00:51:57.948]  Blueprint for global enslaving.
[00:51:58.568 --> 00:51:59.730]  You have been warned.
[00:52:01.772 --> 00:52:02.813]  The War on Terrorism.
[00:52:03.153 --> 00:52:05.936]  Will it be fought overseas or will it affect us here at home?
[00:52:06.196 --> 00:52:10.360]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:52:10.780 --> 00:52:11.621]  So what do you do?
[00:52:11.941 --> 00:52:16.506]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:52:16.986 --> 00:52:19.127]  With a little know-how, it's not that difficult.
[00:52:19.587 --> 00:52:20.467]  Sheltering in Place!
[00:52:20.888 --> 00:52:34.293]  Surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:52:34.333 --> 00:52:41.376]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:52:41.736 --> 00:52:46.159]  Get this critical video every American needs for only $29 plus shipping.
[00:52:46.599 --> 00:52:48.380]  Order by calling New Millennium today at 888-803-4438.
[00:52:48.400 --> 00:52:48.620]  That's 888-803-4438.
[00:52:48.640 --> 00:52:50.141]  Or order on the web at BerkeyWater.com.
[00:52:59.662 --> 00:53:02.224]  Hemp, the superfood for you and your family.
[00:53:02.625 --> 00:53:05.888]  Hemp has nutritional values that far exceed any known plant.
[00:53:06.368 --> 00:53:09.811]  Hemp, used for food, clothing, and shelter since time began.
[00:53:10.151 --> 00:53:17.238]  Hemp, this God-given food source is controlled by your government, making it not legal to grow for American people and farmers, but legal to import.
[00:53:17.598 --> 00:53:20.841]  Our Founding Fathers grew hemp because they knew of the benefits it offered.
[00:53:21.122 --> 00:53:24.965]  The protein powder, seeds, and oil are available through hempusa.org.
[00:53:25.305 --> 00:53:29.630]  Recommended daily intake of this food source will allow the body to heal itself from many ailments.
[00:53:30.010 --> 00:53:36.396]  Loaded with potassium, magnesium, calcium, essential fatty acids, amino acids, and nutrients not available in other plants.
[00:53:36.716 --> 00:53:41.040]  Hemp can be stored with a long shelf life as a life-sustaining food source for you and your family.
[00:53:41.240 --> 00:53:43.102]  Could this be the government's best-kept secret?
[00:53:43.362 --> 00:53:49.587]  Call today at 908-691-2608 and see what the powder, seeds, and oil can do for you.
[00:53:49.947 --> 00:53:53.270]  Learn, help, shop at hempusa.org.
[00:53:53.450 --> 00:53:54.511]  We do not charge for shipping.
[00:53:54.571 --> 00:53:55.732]  That's 908-691-2608 or go to hempusa.org today.
[00:54:14.422 --> 00:54:24.570]  I hurt myself today to see if I still feel.
[00:54:25.030 --> 00:54:32.216]  I focus on the thing, the only thing.
[00:54:32.476 --> 00:54:36.319]  It's so frustrating to know there are federal marshals listening right now.
[00:54:36.339 --> 00:54:37.720]  And I hope that
[00:54:40.879 --> 00:54:41.880]  They would listen to me.
[00:54:42.020 --> 00:54:49.345]  But they're not going to listen.
[00:54:49.465 --> 00:54:53.888]  No, they won't listen to me when I have government documents about what's in the vaccines.
[00:54:56.710 --> 00:54:57.550]  They're not going to listen.
[00:54:59.232 --> 00:55:00.412]  That's just one example.
[00:55:00.432 --> 00:55:01.773]  They'll go ahead and give it to their child.
[00:55:03.174 --> 00:55:05.556]  Just like the general public will.
[00:55:09.659 --> 00:55:11.220]  They don't want to know the truth.
[00:55:11.300 --> 00:55:13.400]  They don't want to know the full magnitude.
[00:55:13.620 --> 00:55:16.561]  They don't want to face that we are the bad guys.
[00:55:18.141 --> 00:55:21.622]  Alright, let's go back to Sean Kradish.
[00:55:21.662 --> 00:55:24.962]  I'm going to get into vaccines, the World War III talk of Bush next hour.
[00:55:25.062 --> 00:55:28.243]  We are definitely living in crazy times, there's no doubt.
[00:55:28.643 --> 00:55:30.644]  Sean, I mean, obviously, Ed there's freaked out.
[00:55:30.664 --> 00:55:32.564]  He's been two weeks in their clutches.
[00:55:33.300 --> 00:55:35.281]  You know, finally a phone call gets through.
[00:55:35.321 --> 00:55:39.863]  You're the guy that ran his main website, so obviously you're the one the feds are going to try to infiltrate.
[00:55:39.883 --> 00:55:44.565]  I mean, I'm not mad at Ed, but at the same time, he can't really be blaming you.
[00:55:45.425 --> 00:55:47.526]  He's the one letting people into the property.
[00:55:47.546 --> 00:55:54.549]  He was using you kind of as a gauge for that, but I mean, what does he expect, letting people on property?
[00:55:54.569 --> 00:55:58.831]  I mean, I made the prediction they were going to come in posing as patriots and do this to him.
[00:55:58.851 --> 00:55:59.571]  It wasn't hard.
[00:55:59.631 --> 00:56:00.712]  Two plus two equals four.
[00:56:01.412 --> 00:56:03.114]  Yeah, well, I don't think he's really blaming me.
[00:56:03.174 --> 00:56:09.499]  He's definitely disappointed at what happened and so am I. It was a failure of communication and a number of other things.
[00:56:31.539 --> 00:56:37.143]  The Infiltrator did appear just like any other supporter.
[00:56:37.203 --> 00:56:39.024]  New supporters come in there all the time.
[00:56:39.905 --> 00:56:44.808]  And, you know, anyone who wants to meet Ed, you know, goes and meets him.
[00:56:44.888 --> 00:56:47.530]  Or, you know, someone else will bring him along.
[00:56:47.690 --> 00:56:54.214]  And, you know, hundreds, if not thousands of people went through there.
[00:56:56.096 --> 00:57:11.822]  Like you said, it was bound to happen, but obviously you can't imagine how I feel after having been the one they used to do that to Anna Lane.
[00:57:12.062 --> 00:57:22.986]  It could have been stopped just with better communication, but now the important thing is getting the word out about these revelations of how he's being mistreated.
[00:57:23.769 --> 00:57:29.431]  In prison, the one thing I'd really like to find out is where exactly they took him in Rhode Island and gassed him.
[00:57:29.911 --> 00:57:31.852]  Because he said it was a private prison.
[00:57:32.832 --> 00:57:35.133]  And I don't know much about prisons.
[00:57:35.594 --> 00:57:38.655]  Now did you release the full tape or did you edit it?
[00:57:38.955 --> 00:57:39.915]  No, I didn't edit it.
[00:57:40.035 --> 00:57:41.176]  I released everything I had.
[00:57:42.705 --> 00:57:49.228]  The only thing that was ever taken out of it was the beginning where I'm actually placing the phone call, but I think you might have played the whole one.
[00:57:50.068 --> 00:57:52.389]  The whole one is out there at places.
[00:57:52.589 --> 00:57:56.591]  Yeah, well, we didn't air the jail guard talk on the phone.
[00:57:58.451 --> 00:57:59.652]  We cut that off.
[00:57:59.672 --> 00:58:06.715]  Technically, we can play that, but it's no point in putting the person's voice on there because they hadn't agreed to it.
[00:58:07.355 --> 00:58:09.996]  Now, I tell you,
[00:58:11.921 --> 00:58:14.102]  Stay there for a few more minutes with me, okay, Sean?
[00:58:14.422 --> 00:58:14.622]  Sure.
[00:58:15.122 --> 00:58:29.966]  We're talking to Sean Kradish, and he runs the website, the main website for Ed and Elaine Brown, and that website is MakeTheStand.com, a chronicle of what's happened there.
[00:58:30.607 --> 00:58:32.267]  This is the GCN Radio Network.
[00:58:34.108 --> 00:58:38.909]  We're going to get into their black ops against the American people later in the next hour.
[00:58:41.801 --> 00:58:46.026]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[00:59:05.623 --> 00:59:09.827]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:59:10.467 --> 00:59:11.288]  You want answers?
[00:59:12.028 --> 00:59:12.989]  Well, so does he.
[00:59:13.610 --> 00:59:17.413]  He's Alex Jones on the GCN Radio Network.
[00:59:17.793 --> 00:59:21.897]  And now, live from Austin, Texas, Alex Jones.
[00:59:28.400 --> 00:59:31.001]  There are thousands of things that I want to do.
[00:59:31.622 --> 00:59:32.522]  Points I want to make.
[00:59:32.622 --> 00:59:33.863]  Websites I want to build.
[00:59:34.363 --> 00:59:35.523]  People I want to warn.
[00:59:35.704 --> 00:59:37.044]  That's my calling.
[00:59:37.624 --> 00:59:40.626]  That's my burning, obsessive desire.
[00:59:41.026 --> 00:59:42.247]  I am consumed by it.
[00:59:44.107 --> 00:59:55.093]  And... We're going to be talking about some of those projects and ideas and information coming up in about 15-20 minutes.
[00:59:55.693 --> 00:59:57.894]  We're also going to have open phones later in the broadcast.
[00:59:58.911 --> 01:00:06.434]  We're talking to Sean Kradish right now, who runs Ed Delane Brown's main website, MakeTheStand.com.
[01:00:07.474 --> 01:00:13.836]  The Feds have gone around deleting other websites that were supporting him, shutting down their MySpace account, but they haven't shut down MakeTheStand.com yet.
[01:00:14.357 --> 01:00:19.679]  He finally got through because he's doing attorney work, trying to get lawyers for Ed Delane Brown.
[01:00:20.099 --> 01:00:23.480]  No one's been able to talk to him for two weeks, not even Elaine's son.
[01:00:25.147 --> 01:00:35.690]  But Sean was able to get through saying that he was liaisoning with lawyers, which he is doing, and we just aired that clip until the jailhouse call cut out.
[01:00:37.050 --> 01:00:49.934]  And Sean, I know you feel like you're under the gun, and also about some of the things you know that you don't really want to get into, but I wish I could get into what you told me about Dutch telling you how he tricked you.
[01:00:51.770 --> 01:00:53.791]  Only because this could be educational for others.
[01:00:53.911 --> 01:00:57.653]  I've had feds try to set me up, try to get me to do illegal things years ago.
[01:00:57.693 --> 01:01:00.414]  They quit when they figured out I could spot them in 10 seconds.
[01:01:01.055 --> 01:01:03.936]  And they always... criminals like to lie.
[01:01:03.956 --> 01:01:07.758]  And they don't even recognize their own gang mentality, their own criminality, their own criminology.
[01:01:08.158 --> 01:01:10.560]  But I can't tell you what Dutch claimed he was.
[01:01:12.360 --> 01:01:14.081]  Or... I mean, should I not tell folks, Sean?
[01:01:15.182 --> 01:01:15.802]  Oh, yeah.
[01:01:15.922 --> 01:01:16.943]  I mean, you can say that.
[01:01:16.963 --> 01:01:19.584]  I just... I don't want to get into everything right now.
[01:01:19.604 --> 01:01:20.905]  I want to focus on...
[01:01:21.938 --> 01:01:40.280]  Um, on how they're treating Ed and what we can do about it because I think that's, you know, it's been two weeks and they haven't even been allowed to make phone calls out and now, you know, we find out Ed's been gassed and tortured and, you know, like I was talking to someone else who's the same age as Ed and Elaine and
[01:01:41.019 --> 01:01:48.062]  And she told me that when you're that age, your body just doesn't bounce back like it does when you're younger.
[01:01:48.082 --> 01:01:55.445]  Ed told me that he thinks he's been permanently damaged, and like he said on the tape, they hurt me real bad.
[01:01:58.267 --> 01:02:03.334]  What can we do about it to get them to treat him better, to get better communications?
[01:02:03.354 --> 01:02:08.261]  Because now I'm worried that with the tape out there, it might be harder.
[01:02:08.281 --> 01:02:11.426]  I might be lucky at all if I can reach him by phone.
[01:02:15.939 --> 01:02:31.487]  I have assessed and studied hundreds of cases and just seen news articles over and over again of how they torture people and one of their favorite ways is to soak your mattress or sheets in gasoline or kerosene or to go into the main vent line and throw a rag in for a few hours it's got it.
[01:02:31.507 --> 01:02:38.631]  I mean that's actually what they publicly brag about doing so I don't think Ed knew that before and he wasn't really an expert in torture.
[01:02:39.651 --> 01:02:42.032]  I've been tracking it long enough to be somewhat of one.
[01:02:42.292 --> 01:02:44.673]  See, he didn't just say they beat me up or they restrained me.
[01:02:44.713 --> 01:02:46.373]  No, it was they gassed me.
[01:02:46.894 --> 01:02:48.474]  And that's exactly what they do.
[01:02:48.534 --> 01:02:49.834]  That's what's so interesting.
[01:02:50.415 --> 01:02:53.516]  Do you know what he meant by private prison?
[01:02:53.756 --> 01:02:55.516]  I mean, are there private prisons?
[01:02:55.596 --> 01:02:56.056]  Oh, yeah.
[01:02:56.096 --> 01:02:57.777]  A lot of the federal prisons are private.
[01:02:57.797 --> 01:02:59.738]  Most of the state ones are private.
[01:03:00.478 --> 01:03:00.778]  Okay.
[01:03:01.568 --> 01:03:05.449]  I mean, you know, too bad he didn't say the particular name of the facility, but most of them are private.
[01:03:05.809 --> 01:03:11.331]  Most of them are owned by drug cartels that loan them through money laundering banks.
[01:03:13.192 --> 01:03:13.912]  It's a great system.
[01:03:13.932 --> 01:03:14.632]  They ship it in.
[01:03:14.672 --> 01:03:15.332]  Our kids use it.
[01:03:15.552 --> 01:03:16.673]  They put them in their own facilities.
[01:03:16.753 --> 01:03:17.553]  It's great, man.
[01:03:17.913 --> 01:03:19.474]  They get their cash coming and going.
[01:03:20.334 --> 01:03:26.996]  Then they pay them 20 cents an hour on average doing prison labor jobs, displacing the local community that's too dumb to know that it's taking all their jobs.
[01:03:28.723 --> 01:03:31.706]  Then the idiot rednecks ride around going, make them prisoners work!
[01:03:32.026 --> 01:03:33.888]  They got hot tubs and cable TV!
[01:03:34.208 --> 01:03:34.768]  No they don't!
[01:03:35.189 --> 01:03:44.217]  They're giant TV criminal factories where they catch diseases we've all got to pay for, they displace our jobs, and then they get outside and spread their diseases everywhere else.
[01:03:44.921 --> 01:03:46.403]  I mean, the government hates your guts.
[01:03:46.483 --> 01:03:52.151]  They took the blood of hundreds of thousands of prisoners knowingly with AIDS and put it into the vaccines for the children.
[01:03:52.351 --> 01:03:53.493]  That's mainstream news.
[01:03:53.533 --> 01:03:56.717]  This government wants to kill you and your family.
[01:03:56.938 --> 01:03:57.518]  Period.
[01:03:57.659 --> 01:03:58.380]  We'll be right back.
[01:04:01.511 --> 01:04:06.757]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[01:04:06.897 --> 01:04:14.987]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[01:04:15.247 --> 01:04:22.315]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[01:04:22.475 --> 01:04:23.395]  We're good to go!
[01:04:51.320 --> 01:04:54.381]  It is a big idea!
[01:04:54.601 --> 01:04:57.262]  A new world order!
[01:04:57.503 --> 01:05:06.606]  In the near future, Earth is dominated by a powerful world government.
[01:05:07.506 --> 01:05:12.328]  It's known as the Bilderbergs.
[01:05:13.409 --> 01:05:15.670]  Could their objective be world domination?
[01:05:16.190 --> 01:05:18.611]  For thousands of years, their dark order grew.
[01:05:19.375 --> 01:05:26.701]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:05:29.713 --> 01:05:34.716]  For the first time in history, the elite's plan for world government is blown wide open.
[01:05:35.177 --> 01:05:38.619]  You will learn the secret that drives the entire New World Order agenda.
[01:05:39.039 --> 01:05:41.541]  Bill of Rights makes great progress toward a world government.
[01:05:41.601 --> 01:05:42.742]  Most people have no idea.
[01:05:42.762 --> 01:05:43.542]  They're not after money.
[01:05:43.562 --> 01:05:44.623]  They have all the money they need.
[01:05:44.823 --> 01:05:45.564]  They're after power.
[01:05:45.824 --> 01:05:46.844]  That's what they're after.
[01:05:46.965 --> 01:05:55.170]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[01:05:55.310 --> 01:05:58.132]  Endgame, blueprint for global enslavement.
[01:05:58.492 --> 01:05:59.513]  You have been warned.
[01:06:00.433 --> 01:06:06.275]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[01:06:06.375 --> 01:06:11.817]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[01:06:11.977 --> 01:06:19.260]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[01:06:19.620 --> 01:06:20.401]  We're good to go.
[01:06:39.498 --> 01:06:42.180]  Want to learn more for yourself and to help others in the future?
[01:06:42.440 --> 01:06:44.802]  Join the Herbal Healer Correspondent Program.
[01:06:44.942 --> 01:06:47.844]  You can work at your own pace from the comfort of your own home.
[01:06:48.004 --> 01:06:51.966]  This accredited, exciting program can help you gain skills and knowledge.
[01:06:52.146 --> 01:06:54.448]  Can you believe you can find all this at one stop?
[01:06:54.688 --> 01:06:56.189]  HerbalHealer.com.
[01:06:56.549 --> 01:06:59.171]  Celebrating 18 years of dedication.
[01:07:02.385 --> 01:07:08.407]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:07:09.028 --> 01:07:10.828]  It's Alex Jones and the GCN Radio Network.
[01:07:10.848 --> 01:07:23.853]  Waging war on corruption, corrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
[01:07:26.886 --> 01:07:28.126]  I'm Alex Jones, your host.
[01:07:28.266 --> 01:07:30.627]  You have found it, the front line of the Infowar.
[01:07:31.367 --> 01:07:37.849]  You have found the very front line of the fight for liberty and freedom and resistance to tyranny and obedience to God.
[01:07:38.929 --> 01:07:45.691]  I literally burn with a desire to warn people about the bioweapon attacks we are now currently under.
[01:07:47.152 --> 01:07:54.774]  I try to warn the public about how our country is literally, economically being turned into melted slag as we speak.
[01:07:55.860 --> 01:07:57.441]  Irreparable damage.
[01:07:58.802 --> 01:07:59.343]  Critical.
[01:07:59.463 --> 01:08:00.023]  Terminal.
[01:08:00.944 --> 01:08:02.445]  It's probably terminal at this point.
[01:08:02.465 --> 01:08:05.407]  I mean, let's just prepare for crash landing is my basic point.
[01:08:06.207 --> 01:08:07.528]  I am completely freaked out.
[01:08:07.568 --> 01:08:09.910]  I mean, I keep saying that because it's all happening!
[01:08:14.193 --> 01:08:16.215]  And I realize that these are hardcore killers.
[01:08:17.075 --> 01:08:20.878]  And I realize that if they win, folks, most of us are dead.
[01:08:22.353 --> 01:08:25.576]  And I know that's an incredible statement, and you're conditioned to not be able to believe it.
[01:08:25.756 --> 01:08:26.156]  I know.
[01:08:26.637 --> 01:08:31.440]  I can't believe it when I say it, but it doesn't change the scientific perspectives.
[01:08:31.901 --> 01:08:34.723]  It doesn't change the fact that that's the truth.
[01:08:36.524 --> 01:08:44.090]  We're on a weird planet, folks, run by psychopathic killers who know how to lie to us, and know how to manipulate us, and know how to punch every button.
[01:08:45.772 --> 01:08:49.575]  Entire parallel governments, shadow government, black ops,
[01:08:53.210 --> 01:08:54.632]  And we're talking about Ed and Elaine Brown.
[01:08:54.712 --> 01:08:57.516]  Sean Kradish from MakeTheStand.com.
[01:08:57.596 --> 01:09:07.408]  After two plus weeks of looking for Ed and Elaine Brown, they were finally able to get through on a phone call via legal help, legal aid, forcing them to let Ed come to the phone saying he's been gassed.
[01:09:08.072 --> 01:09:08.592]  We're good to go.
[01:09:36.975 --> 01:09:42.618]  We're not paying into the private bankers who take all the payments and use them for their eugenics ops on us.
[01:09:43.879 --> 01:09:45.120]  This is what they get.
[01:09:45.160 --> 01:09:47.021]  Any other points you want to make, Sean Kradish?
[01:09:47.681 --> 01:09:48.842]  Yeah, a couple things.
[01:09:49.322 --> 01:09:55.045]  You know, we're trying to raise money right now for Ed and Lane's legal defense.
[01:09:56.786 --> 01:09:59.788]  You know, some lawyers might be willing to work for free, others will probably not.
[01:10:00.028 --> 01:10:01.629]  It's going to take some money no matter what.
[01:10:01.889 --> 01:10:03.290]  Have you contacted Larry B. Kradish?
[01:10:04.133 --> 01:10:04.793]  Yeah, we have.
[01:10:04.953 --> 01:10:05.294]  We have.
[01:10:05.694 --> 01:10:10.016]  I haven't spoken to him myself, but we've sent a message to him.
[01:10:10.216 --> 01:10:11.137]  We're waiting for it back.
[01:10:11.197 --> 01:10:14.018]  We did get a response from Tommy Cryer.
[01:10:14.038 --> 01:10:14.739]  He's willing to help.
[01:10:15.039 --> 01:10:15.879]  Good!
[01:10:17.060 --> 01:10:30.007]  But if anyone can go to MakeTheStand.com and just donate a few dollars or whatever you can spare if you want to help this legal battle, maybe we can get Ed and Elaine a fair trial.
[01:10:31.509 --> 01:10:32.530]  Maybe we can get him out of there.
[01:10:33.090 --> 01:10:33.871]  Something needs to be done.
[01:10:33.891 --> 01:10:44.820]  And then besides that, we need to find out what prison this was in Rhode Island and even the prison he's at right now in Elkton, Ohio.
[01:10:46.701 --> 01:10:54.788]  We need to find a way to get them to treat him better, get him out of the solitary, that shoe or whatever segregated housing unit that he's in.
[01:10:54.808 --> 01:10:57.811]  You know, there's no reason for him to be in solitary.
[01:10:58.743 --> 01:11:01.466]  And he needs to have warm clothes so he's not freezing.
[01:11:01.486 --> 01:11:09.876]  Well, they're keeping him in solitary because it's a higher security level and they're treating him like a medium or maximum security because he's in a minimum security.
[01:11:09.896 --> 01:11:11.338]  They're worried about him being a flight risk.
[01:11:12.119 --> 01:11:13.060]  Yeah.
[01:11:13.581 --> 01:11:16.865]  Well, he's not a risk to anyone else or himself.
[01:11:18.277 --> 01:11:31.765]  You know, the other thing that was disturbing is how they stripped him down like that, completely naked with just a little blanket, and then observed him for 15 hours in a cold cell, supposedly because he was a suicide risk, which is absolutely not true.
[01:11:31.785 --> 01:11:35.887]  Well, they could have gotten him to throw a fit, and we've seen this hundreds of times with other patriots.
[01:11:36.267 --> 01:11:40.549]  Then they'd say he was mentally ill, shoot him up, and then you'd never even see that again.
[01:11:40.589 --> 01:11:45.132]  He'd be a zombie in a hammock that they just injected until he died a few years later.
