[00:00:00.435 --> 00:00:01.215]  They did not talk.
[00:23:22.532 --> 00:23:29.736]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[00:23:30.157 --> 00:23:31.998]  We also do credit restoration.
[00:23:32.458 --> 00:23:38.782]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[00:23:39.002 --> 00:23:42.744]  Instead of living each day in fear, it's time to turn your life around.
[00:23:43.124 --> 00:23:45.705]  Call Day of Jubilee open 9 a.m.
[00:23:45.745 --> 00:23:46.585]  to 5 p.m.
[00:23:46.625 --> 00:23:48.126]  Central Standard Time at 920-293-8024.
[00:23:48.166 --> 00:23:49.626]  That's 920-293-8024 and ask for Robert.
[00:23:49.666 --> 00:23:52.647]  Don't wait any longer to get your life back in order.
[00:24:00.783 --> 00:24:02.484]  Shelly, you make exu... Oh, wait!
[00:24:02.624 --> 00:24:03.705]  Why did you turn that down?
[00:24:03.725 --> 00:24:06.327]  I get so tired of that girl's squeaky voice.
[00:24:06.827 --> 00:24:11.310]  I'm sure the bed fan works, but that squeaky voice... Well, what's the bed fan?
[00:24:11.470 --> 00:24:13.932]  It's a fan that helps hot sleepers stay cool at night.
[00:24:14.192 --> 00:24:15.393]  I could use something like that.
[00:24:15.413 --> 00:24:17.814]  This menopause thing is really getting to me at night.
[00:24:17.954 --> 00:24:20.836]  And you know how I am about doing that hormone therapy thing.
[00:24:20.896 --> 00:24:22.698]  Besides, you're a hot sleeper yourself.
[00:24:22.818 --> 00:24:25.079]  You're always throwing the covers off in the middle of the night.
[00:24:25.439 --> 00:24:26.080]  I guess you're right.
[00:24:26.460 --> 00:24:27.140]  Why don't we try it?
[00:24:27.321 --> 00:24:29.262]  Just think how nice it'll be to sleep through the night.
[00:24:29.662 --> 00:24:34.064]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[00:24:34.084 --> 00:24:35.764]  I know where we can get some more information.
[00:24:36.124 --> 00:24:40.506]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[00:24:40.746 --> 00:24:44.047]  The bed fan will keep you cool and give you the restful sleep you deserve.
[00:24:44.267 --> 00:24:45.927]  With our 30-day 100% guarantee, you risk nothing.
[00:24:47.788 --> 00:24:48.688]  Are you a hot sleeper?
[00:24:48.889 --> 00:24:50.169]  Is your partner a hot sleeper?
[00:24:50.329 --> 00:24:51.670]  The BedFan is the answer!
[00:24:51.890 --> 00:24:55.251]  Visit us today at www.BedFan.com.
[00:24:55.531 --> 00:24:58.292]  That's www.BedFan.com.
[00:24:58.392 --> 00:25:00.713]  That's BedFan.com.
[00:25:01.153 --> 00:25:03.814]  Is your child disrespectful, defiant, or obnoxious?
[00:25:04.135 --> 00:25:06.315]  Does everything turn into an argument with your kid?
[00:25:06.656 --> 00:25:08.356]  I'm behavioral therapist James Lehman.
[00:25:08.576 --> 00:25:12.678]  I'll help you turn your child's behavior around right now with the Total Transformation.
[00:25:13.218 --> 00:25:18.060]  After the Total Transformation, there's no more arguing, no more lecturing, no more backtalking.
[00:25:18.080 --> 00:25:20.360]  Now when I ask him to do something, he does it.
[00:25:20.781 --> 00:25:25.922]  We've learned verbiage from the Total Transformation program, and it's almost like magic.
[00:25:26.242 --> 00:25:28.643]  If you say those words, they stop arguing.
[00:25:28.743 --> 00:25:34.028]  Defiance, back talking, lying, acting out in school, even problems with ADD and ADHD.
[00:25:34.248 --> 00:25:37.752]  The Total Transformation will help you solve even the worst behavior problems.
[00:25:38.152 --> 00:25:42.656]  I guarantee your child will listen to you again and you'll get peace and sanity back in your home.
[00:25:43.037 --> 00:25:47.281]  Call now and get how to turn your child's attitude around in one minute or less free with your order.
[00:25:47.381 --> 00:25:47.761]  1-800-373-0402 1-800-373-0402 Call now!
[00:25:47.781 --> 00:25:47.921]  1-800-373-0402 1-800-373-0402
[00:26:00.695 --> 00:26:02.276]  The statistics are heart-wrenching.
[00:26:02.596 --> 00:26:11.202]  According to the CWC, of the 43 million people who have served in the major wars, from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[00:26:11.562 --> 00:26:17.266]  Most likely, each one of us can say we either knew someone who served, or know a brave soul who is currently serving our country.
[00:26:17.686 --> 00:26:25.110]  Now there is a unique way to pay tribute to the courageous men and women who spend their lives protecting our freedom, and to those who have lost their lives doing so.
[00:26:25.430 --> 00:26:30.813]  Davis Products is offering high quality solid cast aluminum memorial markers for your American flag.
[00:26:31.093 --> 00:26:35.036]  Each memorial marker is specifically designed to represent one of 15 wars.
[00:26:35.336 --> 00:26:41.459]  All markers include a 3-8 inch pointed and threaded aluminum rod, painted and highlighted for an appearance that is unforgettable.
[00:26:41.819 --> 00:26:44.582]  What better way to pay homage to our enlisted loved ones?
[00:26:44.862 --> 00:26:49.145]  Davis Products Memorial Markers are only $9 a piece and can be ordered by calling 814-827-4946.
[00:26:49.205 --> 00:26:49.546]  That's 814-827-4946.
[00:26:49.666 --> 00:26:51.567]  Or visit Davis-Products.com.
[00:26:52.148 --> 00:26:52.748]  That's Davis-Products.com.
[00:26:52.768 --> 00:26:56.732]  You're listening to GCN, the Genesis Communications Radio Network.
[00:27:10.435 --> 00:27:15.304]  Radio 590 KLVJ Raging for the truth.
[00:27:15.524 --> 00:27:16.927]  Exposing corruption.
[00:27:17.548 --> 00:27:20.974]  Dismantling the false left-right paradigm.
[00:27:21.215 --> 00:27:22.778]  He's Alex Jones.
[00:27:25.473 --> 00:27:28.554]  Alright, Jeffrey, Scott, Rudy, and many others that are patiently holding.
[00:27:28.574 --> 00:27:30.694]  We're going to be going to your calls here in just a few minutes.
[00:27:30.714 --> 00:27:38.036]  The toll-free number is 877-590-5525 all over the country, or 8360-590 here locally in Texas.
[00:27:38.056 --> 00:27:41.777]  If you're listening to The Mothership, 590 AM here at Kelby Jay.
[00:27:42.197 --> 00:27:45.138]  Alright, just finishing up with the whole war thing.
[00:27:45.598 --> 00:27:51.700]  If this is a free country, if the people make the rules, if the people make the decisions, if what we want is what is carried out,
[00:27:52.739 --> 00:28:07.407]  And you've got 78%, it's in the high 70s, I just averaged it, 75 to 82, depending on which poll I've looked at, want our troops home, and it's more points every month now, and you've all seen those numbers, want our troops home, and 70% of the troops want to come home.
[00:28:08.008 --> 00:28:09.348]  Why are the troops still there?
[00:28:09.388 --> 00:28:17.513]  We have an election, the Democrats come into power and instantly say, you know what, we want to increase the troops, and Bush goes, yeah, surge!
[00:28:19.501 --> 00:28:21.483]  And, oh, we've got a new plan!
[00:28:21.523 --> 00:28:24.025]  We'll train units of Iraqis to protect themselves!
[00:28:24.645 --> 00:28:27.647]  And I hear these military people propagandizing all over U.S.
[00:28:27.707 --> 00:28:29.789]  airwaves, going, it's a brand new plan!
[00:28:30.009 --> 00:28:33.492]  We'll surge, and then we'll train the Iraqis!
[00:28:33.732 --> 00:28:35.914]  Everything's coming along really well over there!
[00:28:37.055 --> 00:28:40.457]  That's been the same plan all along, the same thing!
[00:28:40.517 --> 00:28:42.559]  But listen, that's the public plan.
[00:28:43.484 --> 00:28:44.484]  Kind of like the drug war.
[00:28:44.524 --> 00:28:47.125]  Yeah, we're really screwing up with the drug war.
[00:28:47.145 --> 00:28:49.686]  There is more drug use and more people in prison.
[00:28:49.706 --> 00:28:51.487]  We'll just have to take more freedoms away.
[00:28:52.027 --> 00:29:00.849]  Meanwhile, every major drug cartel is certified by the CIA which bank they're to launder the money in, and if they don't, they get a military invasion.
[00:29:01.430 --> 00:29:03.830]  Special Forces troops come in and kill every one of them.
[00:29:04.771 --> 00:29:05.871]  I mean, I've talked to the pilots.
[00:29:05.911 --> 00:29:07.592]  I've talked to CIA, FBI.
[00:29:08.132 --> 00:29:12.053]  It's been all over Vanity Fair and Esquire, and I've interviewed so many of them.
[00:29:13.252 --> 00:29:24.859]  They'll sit there and fly in the spray planes in Columbia and Nicaragua, and they'll be spraying crops right here that are owned by some other drug dealer, and they'll be leaving crops owned by the General, you know, right here alone.
[00:29:24.879 --> 00:29:27.921]  So it's the same thing with the war.
[00:29:28.341 --> 00:29:30.422]  They just want something that goes on and on.
[00:29:30.702 --> 00:29:37.326]  The whole point of the war, more than grabbing trillions in oil and not letting it flow, by the way, which then artificially jacks up prices.
[00:29:37.687 --> 00:29:39.948]  See, the good old boys go, you know something?
[00:29:40.771 --> 00:29:42.858]  Very, very much oil flowing out of there.
[00:29:42.878 --> 00:29:46.370]  Doesn't look like the oil companies are doing too well.
[00:29:47.745 --> 00:29:56.291]  You know, they hear that talking point put out in the old company documents back in the 1990s say they don't want oil flowing out of Iraq to then jack up prices.
[00:29:56.311 --> 00:29:57.592]  Have you heard of supply and demand?
[00:29:57.833 --> 00:30:01.896]  They cut off the supply, then they get to artificially jack up the prices.
[00:30:01.936 --> 00:30:04.538]  Just like diamonds that are a semi-precious stone.
[00:30:04.858 --> 00:30:05.758]  I know, don't listen to me.
[00:30:06.019 --> 00:30:14.245]  Go mortgage your house or pay your salary to show off to the woman with some two, you know, carat diamond
[00:30:14.945 --> 00:30:16.927]  Ring that literally is worth 50 cents.
[00:30:17.607 --> 00:30:18.328]  Don't believe me!
[00:30:19.448 --> 00:30:21.130]  Don't learn how you're getting scammed.
[00:30:21.370 --> 00:30:22.911]  Don't learn how you're getting lied to.
[00:30:23.131 --> 00:30:25.353]  Don't learn how so much in this world is a fraud.
[00:30:25.653 --> 00:30:29.235]  Don't check into Comprehensive Annual Financial Reports.
[00:30:30.376 --> 00:30:31.517]  C-A-F-R.
[00:30:31.957 --> 00:30:41.364]  Don't type C-A-F-R into Google, because you'll be at the state of Texas website, state of Kentucky website, state of California, the cities,
[00:30:42.378 --> 00:30:45.759]  The tens of thousands of school districts and water districts?
[00:30:46.479 --> 00:30:48.780]  And you'll learn they've got a double set of books!
[00:30:49.481 --> 00:30:51.341]  And you'll learn the government has plenty of money!
[00:30:51.561 --> 00:30:53.422]  And you'll find out how you've been scammed!
[00:30:53.862 --> 00:31:01.885]  And you'll find out the master plan to bankrupt the government and then have foreign corporations come in and buy up everything and become the government!
[00:31:03.108 --> 00:31:03.909]  Oh, no, no, no.
[00:31:03.969 --> 00:31:08.532]  Then you might have to do something, like save your bank account and save your future.
[00:31:08.792 --> 00:31:10.353]  No, no, no, no, no, no, no, no.
[00:31:10.633 --> 00:31:11.754]  Just don't listen to me.
[00:31:11.874 --> 00:31:13.375]  Diamonds are really precious.
[00:31:14.356 --> 00:31:14.696]  Okay?
[00:31:14.716 --> 00:31:16.357]  And the Iraq War is really good.
[00:31:16.797 --> 00:31:18.178]  And amnesty isn't.
[00:31:18.798 --> 00:31:19.279]  Excuse me.
[00:31:20.780 --> 00:31:21.720]  Sorry, Freudian slip there.
[00:31:22.401 --> 00:31:26.083]  The guest worker program is not an amnesty program.
[00:31:26.864 --> 00:31:28.625]  And Bush wasn't for the assault weapons ban.
[00:31:29.512 --> 00:31:32.195]  And they're not recruiting foreigners for our military.
[00:31:32.755 --> 00:31:34.397]  Everything's fine.
[00:31:35.077 --> 00:31:35.418]  Okay?
[00:31:35.678 --> 00:31:35.958]  There.
[00:31:36.158 --> 00:31:36.359]  There.
[00:31:36.639 --> 00:31:37.940]  That makes it a lot easier.
[00:31:38.000 --> 00:31:40.162]  But, I mean, I hear these people.
[00:31:40.262 --> 00:31:41.584]  The same old story.
[00:31:42.064 --> 00:31:44.707]  George Bush appointed the Iraq Study Group.
[00:31:45.087 --> 00:31:49.271]  The Iraq Study Group is run by all the big oil company executives.
[00:31:49.291 --> 00:31:50.972]  And they call it an independent group.
[00:31:51.253 --> 00:31:53.415]  They come out and recommend more troops.
[00:31:54.392 --> 00:32:06.900]  And then Bush comes out and criticizes them, and the left jumps on being fooled by that little scam, and goes, oh my gosh, we're for the Iraq Study Group, and then a bunch of the public gets fooled with that smoke and mirrors dog and pony show.
[00:32:07.320 --> 00:32:09.241]  I mean, did you even hear what I just said?
[00:32:10.122 --> 00:32:12.583]  Go read the recommendations of the Iraq Study Group.
[00:32:13.464 --> 00:32:18.607]  You see, Bush appoints them, then he acts like he doesn't like them, when the recommendations actually escalate the war.
[00:32:20.668 --> 00:32:21.709]  Man, that is slick.
[00:32:23.013 --> 00:32:27.175]  But see, we're a public that kind of halfway listens, or kind of just looks at the headlines.
[00:32:27.435 --> 00:32:34.779]  Hell, the average American who just reads a few headlines and then struts around the office acting like there's some elite news junkie info warrior.
[00:32:37.180 --> 00:32:39.641]  Folks, you know what it's like when you really read legislation all day?
[00:32:40.042 --> 00:32:45.504]  I spent four hours today researching for this show, and by the time I get here I've got so much information I can't even give it to you.
[00:32:45.665 --> 00:32:46.145]  So fine.
[00:32:46.405 --> 00:32:46.645]  Fine.
[00:32:47.485 --> 00:32:47.646]  Fine.
[00:32:47.706 --> 00:32:48.746]  Everything's wonderful.
[00:32:49.586 --> 00:32:50.907]  The world government's wonderful.
[00:32:51.527 --> 00:32:52.248]  And I'm bad.
[00:32:52.842 --> 00:32:57.003]  And I agree with Laura Ingraham and Michael Medved and Sean Hannity and all of them.
[00:32:57.343 --> 00:33:03.045]  I should be arrested and Jerome Corsi's evil too.
[00:33:03.545 --> 00:33:10.007]  He gets official government documents on the Security and Prosperity Partnership, the North American Union, where they say we're a North American Union.
[00:33:10.327 --> 00:33:11.388]  He's wrong.
[00:33:11.548 --> 00:33:12.888]  That's not patriotic.
[00:33:12.908 --> 00:33:14.969]  Trying to save America, he's wrong.
[00:33:15.429 --> 00:33:15.789]  Okay?
[00:33:16.149 --> 00:33:21.731]  And Bush's plan legalizes every illegal for six years and lets them bring in unlimited skilled and unskilled workers?
[00:33:22.975 --> 00:33:23.775]  That's not amnesty.
[00:33:23.795 --> 00:33:27.557]  I mean, by every definition it is, but I've been wrong!
[00:33:28.217 --> 00:33:29.398]  All along I've been wrong.
[00:33:29.598 --> 00:33:31.299]  Okay, fine, I'll drink the Kool-Aid.
[00:33:31.519 --> 00:33:32.799]  Okay, it's not an amnesty.
[00:33:33.199 --> 00:33:33.560]  Okay?
[00:33:33.780 --> 00:33:34.160]  Fine!
[00:33:35.360 --> 00:33:35.600]  Fine.
[00:33:35.680 --> 00:33:36.721]  Everything's okay.
[00:33:36.881 --> 00:33:37.721]  I'm for the war.
[00:33:37.941 --> 00:33:38.682]  Kill all of them.
[00:33:38.762 --> 00:33:40.482]  Just bomb the Middle East with nukes.
[00:33:40.823 --> 00:33:42.203]  Just, in a parking lot.
[00:33:42.303 --> 00:33:42.803]  Okay?
[00:33:43.544 --> 00:33:43.944]  Fine.
[00:33:45.109 --> 00:33:45.429]  Fine!
[00:33:45.489 --> 00:33:47.091]  In fact, I think I'm going to get on the team.
[00:33:47.111 --> 00:33:48.613]  In fact, I'm going to take calls today.
[00:33:49.013 --> 00:33:52.076]  And I'm just now a member of the New World Order.
[00:33:52.156 --> 00:33:53.498]  I'm now a member of the team here.
[00:33:53.518 --> 00:33:55.099]  And I'm going to go ahead and go to calls.
[00:33:56.401 --> 00:33:58.503]  I'm going to go ahead and talk to Jeffrey.
[00:33:59.267 --> 00:34:05.009]  In Gainesville, Florida, probably some traitor who's anti-government, because he doesn't want them reading his mail for his safety.
[00:34:05.149 --> 00:34:08.290]  He doesn't want them using the microphone on his computer to listen to everything he does.
[00:34:08.670 --> 00:34:09.430]  Openly announced.
[00:34:09.510 --> 00:34:12.651]  And he doesn't like giving his kids mercury to brain damage them.
[00:34:12.671 --> 00:34:13.671]  The government knows best.
[00:34:14.092 --> 00:34:16.212]  And he's probably some type of evil traitor.
[00:34:16.612 --> 00:34:18.553]  So we're going to go ahead and talk to this evil traitor right now.
[00:34:18.573 --> 00:34:19.813]  You need to be in a FEMA camp, boy.
[00:34:20.173 --> 00:34:21.754]  Go ahead, Jeffrey from Gainesville, Florida.
[00:34:21.774 --> 00:34:22.314]  You're on the air.
[00:34:22.954 --> 00:34:23.394]  Hi, Alex.
[00:34:23.474 --> 00:34:24.755]  I'm a first-time caller.
[00:34:25.035 --> 00:34:26.975]  You're probably an Al-Qaeda member, traitor.
[00:34:27.356 --> 00:34:27.796]  Right, Alex.
[00:34:27.816 --> 00:34:28.756]  For the war, boy!
[00:34:29.332 --> 00:34:30.212]  Yeah, right.
[00:34:30.772 --> 00:34:31.933]  I'm a PrisonPlanet.tv member.
[00:34:31.993 --> 00:34:34.013]  I've been listening to you about... Total terrorism.
[00:34:34.733 --> 00:34:35.753]  I used to be a Democrat.
[00:34:35.793 --> 00:34:38.314]  Now I consider myself more of a Constitutionalist.
[00:34:38.554 --> 00:34:42.815]  If anyone out there is really stoked out in reality, 9-11 was an inside job.
[00:34:43.175 --> 00:34:44.115]  You need to be arrested.
[00:34:44.975 --> 00:34:45.215]  Right.
[00:34:46.195 --> 00:34:47.136]  I talked to my brother.
[00:34:47.456 --> 00:34:49.016]  He's a Staff Sergeant in the Army.
[00:34:49.096 --> 00:34:50.816]  He came down to visit me over Christmas.
[00:34:51.317 --> 00:34:53.537]  We were discussing... The EU is good for the troops.
[00:34:53.597 --> 00:34:54.477]  Believe the government.
[00:34:55.137 --> 00:34:55.357]  Right.
[00:34:55.597 --> 00:34:57.698]  Experimental vaccines are good for them.
[00:34:57.738 --> 00:34:58.418]  Don't research it.
[00:34:59.954 --> 00:35:02.797]  You talk to him, you talk to this great, incredible hero.
[00:35:03.017 --> 00:35:03.617]  What did he say?
[00:35:04.618 --> 00:35:12.985]  He said that he was basically taking out the garbage in one of these staff meetings, and he overheard all these high-ranking colonels.
[00:35:13.365 --> 00:35:20.211]  This was about six months before the invasion of Iraq, discussing how they were going, where they were going to attack from, how they were going to occupy it.
[00:35:21.212 --> 00:35:26.254]  During the time when the President was talking about, oh, you know, diplomacy, and I'm the one who makes the decisions.
[00:35:26.274 --> 00:35:28.035]  That's why the White House memo is so important.
[00:35:28.075 --> 00:35:32.057]  It's six-plus months before, and they're talking about staging WMD fines.
[00:35:32.257 --> 00:35:35.219]  They're talking about frame-ups and saying he doesn't have them!
[00:35:35.539 --> 00:35:37.200]  Of course, of course they were lying!
[00:35:37.300 --> 00:35:39.241]  Of course they were planning to attack the whole time!
[00:35:40.001 --> 00:35:40.521]  Right, right.
[00:35:41.242 --> 00:35:44.543]  I think, though, for me, though, that was really the nail in the coffin.
[00:35:44.583 --> 00:35:46.304]  He's slowly waking up, though.
[00:35:46.324 --> 00:35:50.186]  He thinks that the Democrats are going to save us, and I'm just not so convinced.
[00:35:50.734 --> 00:35:52.315]  I've been here on campus at UF.
[00:35:52.395 --> 00:35:54.275]  I've been handing out DVDs to people.
[00:35:54.395 --> 00:35:54.955]  Terrorists?
[00:35:55.576 --> 00:35:57.576]  I've been trying to get the word out, you know.
[00:35:58.597 --> 00:36:03.898]  I'm just curious, on your website, I was looking for an area where maybe you would post your protest.
[00:36:03.958 --> 00:36:06.759]  I was going to think about, after graduation, coming out to your protest.
[00:36:06.779 --> 00:36:10.120]  I was going to see if you had anything like that.
[00:36:10.180 --> 00:36:11.521]  What do you mean, post your protest?
[00:36:12.125 --> 00:36:15.346]  Like, ahead of time, so that way I could plan to go out.
[00:36:15.766 --> 00:36:20.587]  I saw your New York protest, you were protesting the CFR, and I thought to myself, man, I'd really like to be there.
[00:36:21.207 --> 00:36:26.409]  Well, no, I mean, we did announce that, and I guess we did post it, but we probably put up 15 new stories a day.
[00:36:26.709 --> 00:36:28.789]  You probably just missed it, my friend, but good to hear from you.
[00:36:28.809 --> 00:36:29.790]  Appreciate you holding.
[00:36:29.810 --> 00:36:31.150]  We'll start rolling now to your calls.
[00:36:31.550 --> 00:36:33.631]  Scott in New York, Rudy in Pasadena, Texas.
[00:36:34.391 --> 00:36:34.811]  Everybody.
[00:36:35.669 --> 00:36:47.835]  I'm here, I want to give all my rights up, I want Jack Bauer to torture me to make sure I'm a good American, read my mail, I want nothing but pesos used, I love the dollar imploding, I love world government, and I love George W!
[00:37:00.368 --> 00:37:03.090]  Are you concerned about the high cost of prescription drugs?
[00:37:03.450 --> 00:37:10.436]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:37:10.536 --> 00:37:11.937]  That's over 46% savings!
[00:37:12.318 --> 00:37:14.600]  The average savings for generic drugs is over 71%.
[00:37:16.361 --> 00:37:24.866]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[00:37:25.166 --> 00:37:28.448]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:37:28.669 --> 00:37:33.452]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[00:37:33.492 --> 00:37:37.534]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[00:37:37.874 --> 00:37:42.337]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[00:37:42.677 --> 00:37:48.801]  Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[00:37:48.901 --> 00:37:53.084]  Visit us at www.rxdrugcard.com or call us at 888-216-2461.
[00:37:53.144 --> 00:37:53.344]  That's 888-216-2461.
[00:37:53.364 --> 00:37:54.024]  Do it today!
[00:38:01.393 --> 00:38:02.213]  Come on, Bill.
[00:38:02.434 --> 00:38:07.658]  Two weeks ago you were riding a bicycle, and today you're showing up in your new car and telling me you're buying a house?
[00:38:07.999 --> 00:38:09.500]  What did you do, rob Bill Gates?
[00:38:09.600 --> 00:38:11.582]  No, John, I didn't rob Bill Gates.
[00:38:11.882 --> 00:38:17.447]  What I did do is visit the website www.DidYouRobBillGates.com.
[00:38:17.747 --> 00:38:24.053]  That's where I learn how to make $3,000 to $9,000 each and every week, starting with my very first week.
[00:38:24.373 --> 00:38:26.595]  It's a simple program that does all the work for you.
[00:38:26.875 --> 00:38:30.359]  I'm already up to $25,000 just going on my third week.
[00:38:30.579 --> 00:38:31.100]  Whoa!
[00:38:31.380 --> 00:38:32.562]  What was that website again?
[00:38:32.582 --> 00:38:36.206]  It's www.didyourobbillgates.com.
[00:38:36.526 --> 00:38:37.648]  Now write this down, John.
[00:38:37.768 --> 00:38:42.133]  You should go there and learn how this program can help you become financially independent, too.
[00:38:42.273 --> 00:38:42.854]  Thanks, Bill.
[00:38:43.134 --> 00:38:44.335]  I'm going there right now.
[00:38:44.776 --> 00:38:45.437]  Check, please.
[00:38:47.173 --> 00:38:48.695]  Uh, you got this one, right Bill?
[00:38:49.196 --> 00:38:49.777]  Sure, John.
[00:38:49.997 --> 00:38:54.384]  Don't forget, it's www.DidYouRobBillGates.com.
[00:38:54.684 --> 00:38:56.407]  Next time, you'll be buying me lunch.
[00:38:56.567 --> 00:38:56.848]  Deal?
[00:39:00.573 --> 00:39:05.134]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[00:39:05.554 --> 00:39:08.475]  Soon it will be upon us as an overwhelming surprise.
[00:39:08.795 --> 00:39:11.356]  The world is pressing toward a forced one-world religion.
[00:39:11.736 --> 00:39:16.537]  The real issue behind this is the union of church and state nullifying our First Amendment.
[00:39:16.938 --> 00:39:22.299]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[00:39:22.599 --> 00:39:25.560]  In 2005, President Bush signed the REAL ID Act.
[00:39:25.740 --> 00:39:26.320]  We're good to go.
[00:39:47.489 --> 00:39:47.729]  Shelley!
[00:39:47.990 --> 00:39:48.891]  You're like a... Oh, wait!
[00:39:49.151 --> 00:39:49.752]  Why did you turn that down?
[00:40:03.792 --> 00:40:05.993]  I get so tired of that girl's squeaky voice.
[00:40:06.493 --> 00:40:10.975]  I'm sure the bed fan works, but that squeaky voice... Well, what's the bed fan?
[00:40:11.135 --> 00:40:13.596]  It's a fan that helps hot sleepers stay cool at night.
[00:40:13.856 --> 00:40:15.036]  I could use something like that.
[00:40:15.056 --> 00:40:17.477]  This menopause thing is really getting to me at night.
[00:40:17.617 --> 00:40:20.498]  And you know how I am about doing that hormone therapy thing.
[00:40:20.558 --> 00:40:22.359]  Besides, you're a hot sleeper yourself.
[00:40:22.479 --> 00:40:24.739]  You're always throwing the covers off in the middle of the night.
[00:40:25.100 --> 00:40:25.740]  I guess you're right.
[00:40:26.120 --> 00:40:26.800]  Why don't we try it?
[00:40:26.960 --> 00:40:28.941]  Just think how nice it'll be to sleep through the night.
[00:40:29.361 --> 00:40:33.726]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[00:40:33.746 --> 00:40:35.428]  I know where we can get some more information.
[00:40:35.808 --> 00:40:40.193]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[00:40:40.433 --> 00:40:43.717]  The bed fan will keep you cool and give you the restful sleep you deserve.
[00:40:43.957 --> 00:40:45.539]  With our 30-day 100% guarantee, you risk nothing.
[00:40:47.461 --> 00:40:48.342]  Are you a hot sleeper?
[00:40:48.562 --> 00:40:49.883]  Is your partner a hot sleeper?
[00:40:50.023 --> 00:40:51.324]  The BedFan is the answer!
[00:40:51.565 --> 00:41:14.504]  Visit us today at www.bedfan.com That's www.bedfan.com That's bed, F-A-N, dot com Thank you for listening to GCN Visit GCNlive.com today Corruption never had a worse enemy
[00:41:15.419 --> 00:41:17.800]  You're locked into the Alex Jones Show!
[00:41:22.581 --> 00:41:23.881]  Welcome back, my friends.
[00:41:24.862 --> 00:41:28.062]  Blasting out coast-to-coast, border-to-border from right here in Austin, Texas.
[00:41:28.583 --> 00:41:30.523]  We'll be going to your calls here in just a minute or two.
[00:41:30.543 --> 00:41:31.603]  The toll-free number is 877-590-5525.
[00:41:31.623 --> 00:41:32.724]  That's 877-590-5525, or locally, 836-0590.
[00:41:32.804 --> 00:41:35.044]  I remember two years ago, Cy Hirsch at the New Yorker magazine
[00:41:45.484 --> 00:41:55.772]  Reported that they were going to deliver bunker-busting nuclear weapons to the Israelis to use them against the Iranians.
[00:41:57.273 --> 00:42:03.296]  And Jane's Weapons Quarterly, as far as I'm concerned, is the last word on such things, said those were delivered and are ready.
[00:42:03.336 --> 00:42:09.938]  Plus, Israel has between 400 and 600 of their own nukes, which they don't like to admit to, but that's also in Jane's Weapons Quarterly.
[00:42:09.958 --> 00:42:17.441]  A few weeks ago, Olmert, their Prime Minister, finally did have to admit to the head of their Knesset that they do indeed have that.
[00:42:18.342 --> 00:42:26.105]  But then it came out in the Times of London today, the Sunday Times of London, that Israel plans to attack Iran nuke site.
[00:42:27.882 --> 00:42:38.335]  With nuclear weapons, and of course, people who are impotent and weak, and who drive around with lariats in the back of their trucks who don't really rope cows, you know the type you see out there.
[00:42:38.716 --> 00:42:41.579]  They like hearing about nuking people.
[00:42:41.940 --> 00:42:43.642]  I've been around them, heard them on talk radio.
[00:42:44.275 --> 00:42:50.279]  Again, they can't find Iran on a map, but they get very, very excited about the use of nuclear weapons.
[00:42:50.580 --> 00:42:51.560]  And so do the globalists.
[00:42:51.640 --> 00:43:00.146]  They've used the equivalent of 4,000 Hiroshima and Nagasaki A-bombs of DU around the world, and it's really killing our troops.
[00:43:00.467 --> 00:43:01.487]  They like that part, too.
[00:43:02.268 --> 00:43:03.168]  Did they like any?
[00:43:03.228 --> 00:43:03.869]  I mean, I'm serious.
[00:43:03.889 --> 00:43:06.131]  These are scum, ladies and gentlemen.
[00:43:06.311 --> 00:43:10.754]  These are absolute scum, and the fact that Israel and the U.S.
[00:43:10.874 --> 00:43:11.594]  would nuke Iran
[00:43:13.638 --> 00:43:14.819]  It's completely insane.
[00:43:14.839 --> 00:43:31.729]  I mean, even if you want them to illegitimately attack Iran, they could certainly disrupt any of these peaceful atomic programs with a heavy saturation of conventional bunker busters.
[00:43:31.749 --> 00:43:37.032]  But no, they want to set the precedent to use nuclear weapons.
[00:43:37.893 --> 00:43:41.575]  And of course, the last time it was used was back in 1945 at Hiroshima and Nagasaki.
[00:43:45.208 --> 00:43:49.914]  Just absolutely amazing that this type of thing is going on.
