[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[00:26:54.087 --> 00:26:56.568]  And then we'd have another guy across the street catching that on video.
[00:26:57.168 --> 00:26:59.849]  Training the local Boy Scouts how to tattle on their parents.
[00:27:00.569 --> 00:27:05.011]  Training local Boy Scouts how to go into their homes and report if their parents have guns.
[00:27:05.491 --> 00:27:07.532]  It's all in my three police state films.
[00:27:07.812 --> 00:27:09.532]  By the way, they're all free on Google and YouTube.
[00:27:09.992 --> 00:27:15.594]  And Kurt Nemo's written an article, Marines establish military presence in San Bernardino County, California.
[00:27:17.430 --> 00:27:24.975]  And you can go there to that article and you can watch the video for yourself.
[00:27:26.016 --> 00:27:32.680]  And you can see the military training with role players screaming, I'm an American, please don't put me in a camp, please don't take my guns.
[00:27:33.301 --> 00:27:45.349]  Obviously I was going to come back on the radio and make films and scream and yell and freak out over this and tell you it was coming and tell you they were going to stage terror as the pretext to introduce this to you, the public, but that it was really for when they financially imploded the nation.
[00:27:45.999 --> 00:27:46.779]  How did I know that?
[00:27:46.879 --> 00:27:54.222]  Because in the IMF and World Bank documents that have been declassified, in what Smedley Butler, the most highly decorated Marine in U.S.
[00:27:54.242 --> 00:28:12.028]  history, two-time Congressional Medal of Honor winner, he was about to become the Commandant of the Marine Corps in the 30s, they said, we want to hire you for martial law, you've overthrown all these other third world countries, we want to do this in America, we want you to covertly train the police to merge with the Marines, and he went and reported it to Congress and they arrested a bunch of people.
[00:28:12.805 --> 00:28:15.967]  So see, they've been trying this for a long time.
[00:28:16.367 --> 00:28:18.108]  Now they're actually going with it.
[00:28:19.569 --> 00:28:19.930]  Okay?
[00:28:20.610 --> 00:28:24.352]  And only real patriots in the Marine Corps and the Army and other places have stopped this.
[00:28:24.393 --> 00:28:25.673]  And I want to explain something to you.
[00:28:28.015 --> 00:28:38.041]  This is about stealing your bank accounts, your pension funds, destroying property rights, nationalizing your businesses, socializing America so the bankers can manage us and control us.
[00:28:38.642 --> 00:28:39.882]  I'm begging you.
[00:28:40.803 --> 00:28:41.984]  I'm begging you.
[00:28:42.904 --> 00:28:45.665]  To check into what we've claimed and what we've said and find out it's true.
[00:28:46.285 --> 00:28:51.006]  Marines at checkpoints all over California, pulling people out of their cars.
[00:28:51.567 --> 00:28:53.967]  Ladies and gentlemen, this is tyranny.
[00:28:54.447 --> 00:28:55.688]  This is corruption.
[00:28:56.068 --> 00:28:57.748]  This is martial law.
[00:28:57.989 --> 00:29:03.250]  There has been a silent coup, not by a president, but by the foreign banks through the executive.
[00:29:04.891 --> 00:29:06.011]  The headlines are clear.
[00:29:06.701 --> 00:29:09.183]  The worldwide economic collapse is here.
[00:29:09.623 --> 00:29:12.205]  The military is being positioned for martial law.
[00:29:12.845 --> 00:29:14.566]  The mark of the beast is at hand.
[00:29:14.606 --> 00:29:17.868]  Governments are calling for a new world cashless economic system.
[00:29:17.908 --> 00:29:20.570]  Having a long-term food solution is your only hope.
[00:29:20.650 --> 00:29:21.531]  To stay free.
[00:29:22.571 --> 00:29:25.993]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[00:29:26.214 --> 00:29:29.556]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[00:29:29.576 --> 00:29:32.317]  For true patriots and homesteaders wanting food insurance.
[00:29:32.457 --> 00:29:36.600]  That's over 5 pounds of rare historic seeds for a penny per seed.
[00:29:36.620 --> 00:29:40.262]  15,000 seeds that will feed a family healthy food for 7 years.
[00:29:40.282 --> 00:29:49.247]  Big John Lipska, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him.
[00:29:49.408 --> 00:29:50.868]  Restaurants and small delis.
[00:29:50.888 --> 00:29:51.849]  Don't buy from copycats.
[00:29:51.889 --> 00:29:52.290]  We're good.
[00:30:04.660 --> 00:30:10.307]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:30:10.487 --> 00:30:15.653]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:30:15.933 --> 00:30:20.999]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:30:21.299 --> 00:30:24.863]  People who alkalize the water they drink experience normalized blood sugar.
[00:30:25.083 --> 00:30:25.503]  I'm good to go.
[00:30:52.174 --> 00:30:56.718]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:30:56.738 --> 00:30:58.139]  Are you safe when you walk to your car?
[00:30:58.159 --> 00:30:59.881]  Are your kids safe when they go out?
[00:30:59.981 --> 00:31:02.503]  Everyone needs something to give that extra edge in
[00:31:21.274 --> 00:31:21.594]  We're good.
[00:31:53.996 --> 00:32:07.626]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen bad to me?
[00:32:07.726 --> 00:32:13.050]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[00:32:13.170 --> 00:32:15.932]  Do you have at least a year's supply of food for your family?
[00:32:16.072 --> 00:32:18.734]  This is Kurt, the armchair survivalist, heard on this network.
[00:32:18.875 --> 00:32:20.636]  Survival Enterprises sells real food.
[00:32:24.616 --> 00:32:31.760]  Freeze-dried fruits and vegetables, Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkfeld water filter, and more.
[00:32:31.900 --> 00:32:34.821]  If you want to prepare now, go to BeforeIt'sTooLate.us.
[00:32:34.881 --> 00:32:36.882]  That's BeforeIt'sTooLate.us.
[00:32:37.062 --> 00:32:38.903]  Or call 1-800-753-1981.
[00:32:39.343 --> 00:32:42.505]  That's 1-800-753-1981.
[00:32:42.625 --> 00:32:46.807]  Or you can put your head in the sand and be just another sheeple in the corporate-controlled flock.
[00:32:46.887 --> 00:32:50.269]  But remember, those who don't learn from history are bound to repeat it.
[00:33:06.515 --> 00:33:08.596]  Thank you for listening to GCN.
[00:33:09.136 --> 00:33:12.299]  Be sure to visit GCNlive.com today.
[00:33:28.456 --> 00:33:29.857]  Don't say you weren't warned.
[00:33:32.639 --> 00:33:38.262]  Think about how cold-blooded it is that for decades they've been giving public questionnaires to troops.
[00:33:38.302 --> 00:33:39.723]  Will you fire on US citizens?
[00:33:40.303 --> 00:33:41.624]  Will you confiscate their guns?
[00:33:41.664 --> 00:33:43.825]  They have Marine Corps and Army chants about it.
[00:33:45.286 --> 00:33:48.148]  They take the guys that'll do it and keep them at home and promote them.
[00:33:48.568 --> 00:33:49.709]  Put them in police departments.
[00:33:49.729 --> 00:33:51.049]  They got files on all of it.
[00:33:51.910 --> 00:33:55.372]  Those that say they won't get shipped overseas and get kicked out of the military later.
[00:33:57.169 --> 00:33:58.089]  It's just unbelievable.
[00:33:58.129 --> 00:34:04.071]  So for decades, they've been sifting through the military, picking out the people that are ready to fire on U.S.
[00:34:04.091 --> 00:34:09.993]  citizens, that are ready to confiscate our guns, that are ready to carry out all these operations.
[00:34:10.713 --> 00:34:20.836]  Now, by the way, in my film Road to Tyranny, he gave me all the documents and photos and all of it, and photos of him in his police uniform after he got out of the Marine Corps.
[00:34:20.856 --> 00:34:24.957]  Then he started a computer company in Austin and retired out of the police department.
[00:34:25.675 --> 00:34:32.139]  But he was a Marine officer, top of his class, and so pretty young.
[00:34:32.199 --> 00:34:34.320]  He was already a mid-level officer.
[00:34:36.601 --> 00:34:44.706]  And they openly turned him loose with other Marines to raid gun dealers and others in Norfolk, Virginia.
[00:34:45.767 --> 00:34:48.088]  And he showed me all the evidence of that.
[00:34:48.635 --> 00:34:53.078]  And then I did internet searches and talked to other experts and found more out about it.
[00:34:53.478 --> 00:35:02.384]  And then I found out that they were coming to emergency managers in Texas and Maryland and California and offering them cash, big satchels of money.
[00:35:03.385 --> 00:35:04.565]  Work with the Marine Corps.
[00:35:04.645 --> 00:35:05.426]  Work with the Army.
[00:35:06.924 --> 00:35:07.665]  Well, why are you giving me $100,000?
[00:35:07.725 --> 00:35:12.066]  Because we know you're a good patriot and you deserve $100,000 cash.
[00:35:12.086 --> 00:35:19.429]  But once the cop, once the police chief, once the sheriff takes that, they're now, hey, I'll report you took a bribe.
[00:35:21.670 --> 00:35:23.070]  This is national security now.
[00:35:23.150 --> 00:35:24.351]  You now have to do what we say.
[00:35:24.911 --> 00:35:27.312]  So that's how they've covertly taken over the U.S.
[00:35:31.520 --> 00:35:36.187]  ...using the same black ops manuals that the army has to take over third world nations.
[00:35:37.388 --> 00:35:39.972]  So I wanted to play this clip before our guest comes on.
[00:35:39.992 --> 00:35:40.653]  This is from...
[00:35:41.485 --> 00:35:46.688]  The film I made, that I released in February of 2002, 9-1-1, The Road to Tyranny.
[00:35:47.208 --> 00:35:49.910]  And we have all the video of Marines training to take your guns.
[00:35:50.390 --> 00:35:54.072]  Understand, they are training school children to take your guns.
[00:35:54.752 --> 00:35:55.813]  I have it on video.
[00:35:56.133 --> 00:35:57.774]  They are training to take your guns.
[00:35:57.834 --> 00:35:58.855]  What they do in New Orleans.
[00:35:59.215 --> 00:36:04.678]  What is the now, you know, destroyed Governor of Illinois using the National Guard to confiscate guns.
[00:36:05.138 --> 00:36:11.282]  It's all, they're training to take your guns and they first have to acclimate you to accept troops on the streets.
[00:36:11.322 --> 00:36:12.442]  And what are the troops trained to do?
[00:36:12.763 --> 00:36:14.764]  They train to take over counties and cities.
[00:36:14.784 --> 00:36:16.205]  And that's the last key point I want to make.
[00:36:17.886 --> 00:36:31.734]  In the John Warner Defense Authorization Act, in PDD 51, in the new Defense Department Directives they've put out, it's all about taking over governors, state legislatures,
[00:36:32.463 --> 00:36:35.105]  Taking over cities that say no in the future.
[00:36:35.465 --> 00:36:44.791]  What is it that's so bad that the criminal government that's in foreign banker receivership, what is it that's so bad they're planning they know cities and states are going to secede?
[00:36:45.171 --> 00:36:50.315]  Well, the Army report this year says they know that's a danger because they're destroying the United States.
[00:36:50.595 --> 00:36:51.936]  Now, the grunts on the ground don't know.
[00:36:51.976 --> 00:36:56.979]  They'll see rioting, starving, you know, all of this and think, well, we've been trained for this, we've got to go out and take care of it.
[00:36:57.515 --> 00:36:58.576]  You're being shut up.
[00:36:58.596 --> 00:37:00.437]  You're helping destroy America.
[00:37:00.697 --> 00:37:02.859]  We have to politically say no to the foreign banks.
[00:37:03.199 --> 00:37:07.002]  Expose the fact they've stolen 8.5 trillion in seven weeks and counting.
[00:37:07.642 --> 00:37:09.464]  We have to expose that this is illegitimate.
[00:37:09.904 --> 00:37:12.226]  But Fox and CNN and all of them every time
[00:37:12.910 --> 00:37:16.431]  Kashkari or Paulson or Bernanke, the private Fed chief, are on TV.
[00:37:17.792 --> 00:37:22.133]  They'll show their statement in Congress and then cut away, never showing what the Congress is saying.
[00:37:22.413 --> 00:37:26.134]  If you watch C-SPAN, Republicans and Democrats are going, you stole the money!
[00:37:26.374 --> 00:37:27.435]  It's all going offshore!
[00:37:27.695 --> 00:37:31.136]  You've bought houses in Dubai where there's no extradition!
[00:37:31.496 --> 00:37:32.716]  You stole all of this!
[00:37:32.756 --> 00:37:34.017]  And Kashkari just laughs.
[00:37:35.692 --> 00:37:40.435]  There's nothing you can do, because the media is owned by the bankers, the big TV.
[00:37:41.555 --> 00:37:43.076]  Folks, this is the biggest heist.
[00:37:43.377 --> 00:37:47.519]  The crime is so big, and the public has no idea what's happened.
[00:37:47.839 --> 00:37:49.000]  They have destroyed us.
[00:37:49.540 --> 00:37:56.124]  All we can hope is to pick up the pieces, but instead, they're going to pose as the state savior as they destroy the economy and bring in the New World Order.
[00:37:56.184 --> 00:37:58.225]  Do you understand what is happening?
[00:37:59.466 --> 00:38:02.728]  Please, I have all the documents, all the proof, all the photos, all the video.
[00:38:02.948 --> 00:38:04.829]  They're on InfoWars.com right now.
[00:38:06.912 --> 00:38:08.653]  And this is in the story Kurt Nemo posted.
[00:38:08.673 --> 00:38:11.594]  He's actually got Part 11 and 12 from Road Attorney posted in clips.
[00:38:11.894 --> 00:38:13.374]  You want to watch Part 13.
[00:38:13.735 --> 00:38:22.458]  Here is the Marine Corps officer, ROTC, an officer gets out, becomes a police officer, starts a computer company, leaves.
[00:38:22.998 --> 00:38:28.420]  The point is, he ran into a secret checkpoint, by secret they didn't announce it on the news, in 2000 on South
[00:38:31.949 --> 00:38:36.214]  IH-35 and Kyle got upset by it, knowing it was part of a secret takeover program.
[00:38:36.494 --> 00:38:37.495]  This was Army, he saw.
[00:38:37.975 --> 00:38:40.258]  So, he called me, I went out to his house.
[00:38:40.298 --> 00:38:41.839]  But again, now it's all public.
[00:38:41.920 --> 00:38:42.820]  Now it's all admitted.
[00:38:43.541 --> 00:38:47.946]  Now, this is the Marines confiscating guns, secretly in America!
[00:38:49.341 --> 00:38:51.201]  In the late 1980s, here it is.
[00:38:51.541 --> 00:38:59.923]  He interviewed a former Marine Corps officer, who in 1989, while he was in the Marine Corps, was serving search warrants on American citizens' homes and businesses.
[00:39:00.483 --> 00:39:01.663]  Just start at the beginning for us.
[00:39:02.203 --> 00:39:16.466]  A little bit about your past, how you first got involved in the military, and some of the things you did, and then later in life, some of the questions that you started raising yourself after you'd been a police officer.
[00:39:17.126 --> 00:39:17.226]  Okay.
[00:39:18.073 --> 00:39:19.994]  I started out, I joined the Marines.
[00:39:20.574 --> 00:39:24.715]  Tested real high on the ASVAB, which is the Armed Forces Vocational Aptitude Battery.
[00:39:24.735 --> 00:39:28.275]  Did real well in that and was an MP5800 Military Police.
[00:39:29.556 --> 00:39:34.277]  From that I was sent over to various duty stations.
[00:39:35.777 --> 00:39:43.239]  I still had an interest in civilian law enforcement, so I was able to take part in joint military police and civilian police exercises.
[00:39:44.402 --> 00:39:59.866]  We've seen the early warfare training all across the country, the black helicopters, the special forces in cities, and it seems like it's been ratcheted up in the last five years from just basic training to actual live fire in city streets.
[00:40:01.066 --> 00:40:04.107]  What type of relationship did you have with law enforcement when you were in the Marine Corps?
[00:40:04.607 --> 00:40:05.347]  Very cohesive.
[00:40:05.667 --> 00:40:06.428]  A lot of interaction.
[00:40:09.001 --> 00:40:14.843]  1988 and 1989, like I told you prior, I helped the system through search warrants.
[00:40:15.324 --> 00:40:34.871]  A lot of entry team operations giving civilian law enforcement advice and critiquing how they're doing that to raid such as crack houses or supposed terrorist organizations as far as multiple entry points of a home, whether it be through the roof, the windows, in front door, or a combination of all at the same time.
[00:40:36.520 --> 00:40:48.348]  So, you were actively, as a member of the United States Marine Corps active duty, out with civilian law enforcement serving search warrants to homes?
[00:40:49.229 --> 00:40:49.669]  That's correct.
[00:40:50.650 --> 00:41:00.016]  There were missions that were called exercises, but it was actual with real, what we call combatants, real live, it was the real deal, helping execute search warrants.
[00:41:01.599 --> 00:41:02.160]  Late 80s.
[00:41:03.841 --> 00:41:08.884]  I've actually been on point with an MP5 and I was not in a police uniform.
[00:41:08.904 --> 00:41:14.168]  I had a police flat vest on and a police jacket and black BDUs.
[00:41:14.188 --> 00:41:17.430]  I think they were obviously drug dealers.
[00:41:19.432 --> 00:41:19.952]  One, maybe.
[00:41:20.172 --> 00:41:21.333]  What were the other raids concerned?
[00:41:23.555 --> 00:41:24.275]  Pawn shop owners.
[00:41:24.676 --> 00:41:26.877]  One was a pawn shop owner and the other was for
[00:41:29.116 --> 00:41:31.157]  Joint working with ATF.
[00:41:31.717 --> 00:41:43.483]  As a member of the Marine Corps, David, you're telling us you raided a civilian business with the BATF going after guns?
[00:41:44.184 --> 00:41:45.424]  It was the business owner's home.
[00:41:46.185 --> 00:41:47.285]  Oh, the business owner's home.
[00:41:48.626 --> 00:41:52.768]  The homes were civilian homes in some upper
[00:41:53.653 --> 00:41:55.353]  Middle-class to white-collar homes.
[00:41:57.134 --> 00:41:58.494]  One was a warehouse facility.
[00:41:59.014 --> 00:42:01.835]  Later on in life, you got out of the Marine Corps, you got into law enforcement.
[00:42:01.895 --> 00:42:07.697]  Is that when you started asking questions once you learned more about the civilian role?
[00:42:07.977 --> 00:42:11.597]  Towards my end in law enforcement, I started getting discouraged with it, yes.
[00:42:11.858 --> 00:42:12.798]  That's when I started questioning.
[00:42:12.818 --> 00:42:21.540]  But when you're younger and you're trying to achieve and you're, you know, you got all the fancy jewelry on and all the badge and the car with all the nice decals and lights and, you know.
[00:42:23.343 --> 00:42:28.667]  You're disillusioned by a lot of different things once reality... It's just the way law enforcement has changed a lot.
[00:42:28.767 --> 00:42:30.369]  It's changing a lot.
[00:42:30.909 --> 00:42:31.650]  How has it changed?
[00:42:33.791 --> 00:42:37.634]  How people perceive law enforcement is more of an occupying army.
[00:42:38.235 --> 00:42:39.336]  More of an occupying army?
[00:42:39.616 --> 00:42:41.577]  You can go watch Tim in an interview, it's in the film.
[00:42:42.418 --> 00:42:44.620]  Confiscating guns secretly.
[00:42:45.120 --> 00:42:46.041]  Total felony.
[00:42:46.221 --> 00:42:48.503]  Hardcore, twenty-something years in prison.
[00:42:50.024 --> 00:42:51.285]  They're committing crimes everywhere.
[00:42:52.091 --> 00:42:55.919]  Now remember, military, army, marines, police doing this.
[00:42:56.420 --> 00:42:58.123]  You are special.
[00:42:58.183 --> 00:42:59.786]  You are the ones destroying America.
[00:43:00.227 --> 00:43:01.930]  I mean, what you're doing is very special.
[00:43:02.351 --> 00:43:04.135]  You're doing something our military's never done.
[00:43:04.835 --> 00:43:05.716]  So I want you to know that.
[00:43:06.096 --> 00:43:06.836]  You are special.
[00:43:07.136 --> 00:43:08.497]  You are treasonous trade.
[00:43:09.157 --> 00:43:11.299]  The holidays are right around the corner.
[00:43:11.619 --> 00:43:12.239]  The crowds.
[00:43:12.619 --> 00:43:14.280]  The countless hours in traffic.
[00:43:14.420 --> 00:43:18.843]  Finding a parking spot just to buy a gift you're worried they might not like anyway.
[00:43:19.123 --> 00:43:23.865]  How about surprising your loved ones with a gift they can use every day of the year?
[00:43:24.185 --> 00:43:27.067]  Give the gift of safety with security products from
[00:43:27.227 --> 00:43:28.388]  Pepperspray.com.
[00:43:28.588 --> 00:43:38.077]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the web for your spouse, your children, your co-workers, and more!
[00:43:38.337 --> 00:43:46.064]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN.
[00:43:46.445 --> 00:43:53.051]  What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[00:43:53.411 --> 00:43:55.394]  Shop now at Pepperspray.com or call 1-800-908-9988.
[00:43:55.474 --> 00:43:55.775]  That's 1-800-908-9988.
[00:43:55.795 --> 00:43:58.559]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[00:44:08.487 --> 00:44:10.348]  Heart disease is on the rise.
[00:44:10.468 --> 00:44:17.151]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:44:17.431 --> 00:44:25.594]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:44:25.834 --> 00:44:31.557]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:44:31.857 --> 00:44:32.117]  I think so.
[00:44:50.447 --> 00:44:52.989]  Order your two-month supply today by calling 866-295-5305.
[00:44:53.029 --> 00:44:53.530]  That's 866-295-5305.
[00:44:53.730 --> 00:44:55.151]  Or order online at HBextract.com.
[00:44:55.191 --> 00:44:56.873]  Heart and Body Extract, 866-295-5305.
[00:44:57.053 --> 00:44:57.873]  Or HBextract.com.
[00:45:08.388 --> 00:45:08.588]  Here.
[00:45:08.768 --> 00:45:11.790]  Special Roast Hemp Coffee from hempusa.org.
[00:45:12.310 --> 00:45:23.176]  Our coffee grows in the dense volcanic rich soil, herbicide and pesticide free, in the high altitudes of Guatemala, in conditions that are ideal for the natural growth of this high quality coffee.
[00:45:23.676 --> 00:45:29.001]  Try our Mellow Cup of Coffee that is ground and roasted with 25% hemp seed from Canada.
[00:45:29.301 --> 00:45:38.289]  With a wonderful nutty flavor that contains 18% protein, our roasters bring out a unique flavor that make this the best cup of coffee you'll ever have.
[00:45:38.610 --> 00:45:44.295]  Try our new Special Roast Hemp Coffee from HempUSA.org and wake up your brain without the jitters.
[00:45:44.655 --> 00:45:47.378]  Our customers look forward to their next cup of hemp coffee.
[00:45:48.098 --> 00:45:49.419]  Visit us at hempusa.org or call 908-691-2608.
[00:45:49.439 --> 00:45:52.340]  That's 908-691-2608 and see if you'll change your mind about drinking coffee again.
[00:45:52.360 --> 00:45:55.621]  Taste the difference, feel the difference at hempusa.org today!
[00:46:09.133 --> 00:46:11.694]  Toxic heavy metals negatively impact our health.
[00:46:11.935 --> 00:46:17.157]  They're in the air we breathe, the water we drink, the food we eat, the products we use, and the objects we touch.
[00:46:17.477 --> 00:46:19.278]  Exposure is impossible to avoid.
[00:46:19.519 --> 00:46:23.341]  Heavy metals build up within the body over a period of time, causing poor health.
[00:46:23.621 --> 00:46:28.023]  However, with KiloRacks, they can be mobilized and excreted in a safe and effective manner.
[00:46:28.303 --> 00:46:28.784]  I think so.
[00:46:43.436 --> 00:46:44.196]  Thank you for listening to GCN.
[00:47:13.473 --> 00:47:18.277]  Be sure to visit GCNlive.com today.
[00:47:22.621 --> 00:47:30.508]  Yeah, just putting bookends on what I've been covering the last 40 minutes and we're going to our guests for the balance of the broadcast and then of course your calls in the next hour.
[00:47:33.797 --> 00:47:36.683]  The military openly is to be used on the streets of America.
[00:47:36.743 --> 00:47:40.530]  They have them for PR purposes at car wrecks and DWI checkpoints.
[00:47:40.891 --> 00:47:45.079]  The Army admits, the Marine Corps admits, to condition the public to accept occupation.
[00:47:45.948 --> 00:47:49.591]  The foreign financial institutions have just done a corporate takeover of the United States.
[00:47:50.052 --> 00:48:04.064]  The military and police are their security guards to make sure that transfer goes smoothly, and our journey into serfdom and third world slavery, and the end of the middle class, and the seizure of your bank accounts, your pension funds, your 401ks, goes smoothly.
[00:48:04.124 --> 00:48:06.466]  And that's being discussed right now in Congress.
[00:48:07.807 --> 00:48:09.829]  So I made films about this a decade ago.
[00:48:10.890 --> 00:48:13.312]  My last film I made on this was, what, eight years ago?
[00:48:14.105 --> 00:48:20.548]  And I warned you, I saw the documents, I went to the drills, and now we're in the middle of it, and I asked the military and police.
[00:48:21.088 --> 00:48:23.049]  I know most of you don't like what you're being told to do.
[00:48:23.589 --> 00:48:25.050]  The public doesn't like what's happening.
[00:48:25.070 --> 00:48:27.831]  This has made a big stir out in California with the Marines on the streets.
[00:48:29.052 --> 00:48:31.813]  And it's not about terrorism anymore, it's about petty crime.
[00:48:32.453 --> 00:48:34.974]  I mean, this is just classical treason.
[00:48:36.015 --> 00:48:38.156]  So don't be a traitor, don't be a treacherous
[00:48:38.872 --> 00:48:39.853]  A new World Order of Minions.
[00:48:39.893 --> 00:48:40.794]  Say no to this now.
[00:48:40.874 --> 00:48:43.577]  This is so over the top, there is a lot of resistance to it.
[00:48:43.597 --> 00:48:44.398]  We've got to say no.
[00:48:46.801 --> 00:48:52.487]  International best-selling author Jeffrey M. Smith is a leading spokesman on the health dangers of genetically modified organisms.
[00:48:52.527 --> 00:48:54.029]  His globally respected research and
[00:48:56.258 --> 00:49:03.142]  Magnetic communication style captured public attention in 2003 with his first book on the serious yet unknown side effects of genetically engineered foods.
[00:49:03.802 --> 00:49:09.305]  Seeds of deception exposing industry and government lies about the safety of the genetically engineered foods you're eating.
[00:49:09.725 --> 00:49:13.527]  And he's been involved in a bunch of films and other books.
[00:49:13.567 --> 00:49:18.610]  We carry quite a few of them at InfoWars.com and PrisonPlanet.com and this is another
[00:49:19.631 --> 00:49:46.711]  Another group of stations you're on, Jeffrey, with us today, so we can kind of recap the basics of what we're facing and just how serious the GMO and the rest of it is, and then get into all the new studies coming out about how this stuff is sterilizing mammals and linked to cancer and so many other serious problems and why all the scientists and people you've interviewed, why the data shows it's causing an increase in cancer and sterility and so many other issues.
[00:49:46.771 --> 00:49:48.853]  So, Jeffrey, it's great to have you here with us.
[00:49:49.253 --> 00:49:50.014]  It's great to be back.
[00:49:50.054 --> 00:49:50.474]  Thank you.
[00:49:51.135 --> 00:49:54.277]  You're leaving the country here in a few days.
[00:49:54.697 --> 00:50:00.822]  I meant to add, you've testified to governments worldwide and to the European Union and to legislatures here.
[00:50:01.302 --> 00:50:02.323]  Where are you going next week?
[00:50:02.823 --> 00:50:04.644]  Well, I'm going to India in a couple of days.
[00:50:05.185 --> 00:50:06.546]  India is really under attack.
[00:50:07.066 --> 00:50:13.571]  Monsanto has really pushed genetically engineered cotton into the country.
[00:50:14.324 --> 00:50:38.862]  And it's apparently causing huge allergic reactions in thousands of people touching the genetically engineered cotton, sickness, death and sterility in animals that eat the cotton products, and also the Daily Mail estimates 125,000 suicides among farmers who planted it and ended up going broke and in debt, unable to repay their debt.
[00:50:38.902 --> 00:50:41.284]  So it's a huge disaster going on.
[00:50:41.977 --> 00:50:56.262]  In India, and I'm going to be not only investigating and documenting it in new film, I'm also going to be speaking about the dangers of genetically engineered food and trying to drum some sense into those that have been making the decisions to give open door to Monsanto.
[00:50:57.387 --> 00:50:59.929]  SeedsOfDeception.com is the website.
[00:50:59.969 --> 00:51:05.292]  Again, we carry our books and videos as well at InfoWars.com, but SeedsOfDeception.com.
[00:51:06.013 --> 00:51:08.214]  Particularly, let's start out with the cotton first.
[00:51:08.675 --> 00:51:09.995]  And by the way, that's a conservative number.
[00:51:10.035 --> 00:51:14.378]  Some news reports are over 200,000 have committed suicide because they were already at subsistence level.
[00:51:14.859 --> 00:51:18.261]  Then the animals eat the seeds, they die en masse, the communities are wiped out.
[00:51:18.781 --> 00:51:20.742]  Well, there's a number of reasons why it might be bad.
[00:51:20.762 --> 00:51:22.662]  There's a lot of stories associated with it.
[00:51:39.677 --> 00:51:46.506]  To give some background to the listeners, genetic engineering is you take genes from one species and you force it into the DNA of another species.
[00:51:47.046 --> 00:51:58.981]  Now, what happens is the process of insertion causes massive collateral damage in the DNA, which can create new proteins, new toxins, new diseases, new carcinogens.
[00:51:59.611 --> 00:52:23.051]  In fact, I was talking to one former Monsanto employee who said he discovered, a PhD told him that the process of creating the genetically engineered cotton that he was looking at created completely new proteins that were never intended and they decided to ignore those proteins and just feed the cotton seed cakes to dairy cows that were living near his house.
[00:52:23.091 --> 00:52:24.752]  He was absolutely concerned.
[00:52:24.772 --> 00:52:26.714]  He knew that feeding animals
[00:52:27.327 --> 00:52:31.989]  Deadly or dangerous proteins could influence the food supply for the milk and meat.
[00:52:32.009 --> 00:52:37.590]  And he tried to get the Monsanto people to not feed it into the food supply until they had tested it.
[00:52:38.090 --> 00:52:41.451]  One guy said, we've always done it this way and we're going to do it this way and continue to do it this way.
[00:52:41.471 --> 00:52:43.412]  All right, let me just throw this in for the people to understand.
[00:52:43.852 --> 00:52:53.795]  We hear the spin from mainstream corporate media that, oh, this is like George Washington Carver crossing two types of soybean or two types of corn or two types of potato.
[00:52:53.835 --> 00:52:55.196]  This is what plants naturally do.
[00:52:55.936 --> 00:53:00.838]  We're talking about putting spider genes in goats to create body armor out of their milk.
[00:53:01.178 --> 00:53:05.200]  We're talking about putting human genes in pigs so they can take their organs out and put them in humans.
[00:53:05.720 --> 00:53:17.846]  And they fire with a gene gun into the DNA to randomly get mutations to see which mutation they like, but it causes randomly thousands of other things to happen and that's why we now see
[00:53:18.506 --> 00:53:26.689]  I believe the evidence shows, like Ebola in pigs, all of this stuff jumping around, and they admit this is happening, but don't seem to care.
[00:53:27.189 --> 00:53:29.050]  It's a brilliant summary, Alex.
[00:53:29.130 --> 00:53:41.674]  In fact, when you look at the genetically engineered plant, and you compare it to the natural plant before it was genetically engineered, DNA is about 2-4% different, and that's mostly hundreds or thousands of mutations.
[00:53:42.265 --> 00:53:46.026]  Any one of which can become dangerous or deadly to human beings.
