[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[00:54:42.057 --> 00:54:46.499]  All they want us to do is keep on killing one another.
[00:55:05.009 --> 00:55:06.992]  What an amazing discussion with David Icke.
[00:55:07.032 --> 00:55:11.136]  During the breaks, we're doing some behind-the-scenes talking, but I'd like to keep it congruent with the full audience.
[00:55:11.757 --> 00:55:16.202]  You can go over to the InfoWars.com streams, the PrisonPlanet.com streams.
[00:55:16.223 --> 00:55:23.431]  Those are separate from many others, including Genesis, and hear the expanded interview there or watch on PrisonPlanet.tv.
[00:55:23.471 --> 00:55:23.952]  Don't forget,
[00:55:24.532 --> 00:55:27.353]  With your PresidentPlanet.tv membership, you make what we do here possible.
[00:55:27.373 --> 00:55:31.715]  You get all my films in super high quality to burn them to the desk and give to folks a factory of resistance.
[00:55:32.916 --> 00:55:45.341]  All my films, 20 of them now, 19 I made, 20th I produced, my book and so many other great books and videos we carry are available at InfoWars.com and it is your funding of our operation that allows us to continue.
[00:55:45.361 --> 00:55:48.462]  But the most important thing is the materials are waking people up and people
[00:55:49.743 --> 00:55:53.706]  Are more ready to receive this information than ever before.
[00:55:53.786 --> 00:56:04.757]  Another great place to find out a lot of shocking information, which regardless will open your horizons, make you question, and regardless of whether it's all correct or not, it is extremely positive to question.
[00:56:05.457 --> 00:56:09.621]  And I see that's the genius of David Icke, and I really agree with him on 98% of what he covers.
[00:56:10.021 --> 00:56:12.063]  I just haven't been able to tangibly prove the other 2%.
[00:56:13.284 --> 00:56:24.931]  My gut tells me, and I hope for God's sake it's probably true, but the point is, is that I stick to what I can prove more in this plane of existence, because I've found that's more successful with people who aren't further down the research line.
[00:56:25.251 --> 00:56:32.056]  Everybody should visit davideike.com, just google David Icke, and of course you spell his name, I-C-K-E,
[00:56:34.757 --> 00:56:38.480]  And he's got a lot of great books and videos available there at DavidIke.com.
[00:57:05.258 --> 00:57:05.378]  Yes.
[00:57:21.476 --> 00:57:21.796]  Thank you.
[00:57:42.249 --> 00:57:45.232]  Everything in the end comes down to a vibrational state.
[00:57:45.272 --> 00:57:47.254]  The lower it is, the more limited you are.
[00:57:48.335 --> 00:57:56.423]  The more narrow-minded, I would say narrow-banded you are, the more you expand your consciousness, the more the energy vibrates quicker.
[00:57:58.645 --> 00:58:01.246]  We are experiencing a band of frequencies.
[00:58:01.286 --> 00:58:04.307]  Now, our consciousness is vibrating too quickly to interact with it.
[00:58:05.047 --> 00:58:17.830]  If my consciousness tried to interact with this book on this table in front of me, I couldn't pick it up, just as Radio A couldn't interact with Radio 2, because they share the same space, but they're not close enough on the dial to interact with each other.
[00:58:18.150 --> 00:58:21.671]  So consciousness takes on an outer shell that is vibrating.
[00:58:22.331 --> 00:58:22.551]  I think?
[00:58:37.441 --> 00:58:37.821]  I think so.
[00:58:59.600 --> 00:59:09.273]  You're in a state of seeing everything as a part, which is the perfect vehicle, the perfect landscape to bring about divide and rule to different religions and... One minute!
[00:59:09.553 --> 00:59:15.200]  Thank you for listening to GCN.
[00:59:15.261 --> 00:59:17.443]  Visit GCNlive.com today.
[00:59:25.717 --> 00:59:27.018]  It's an inside job!
[00:59:27.078 --> 00:59:28.219]  Do you like being a puppet, sir?
[00:59:28.239 --> 00:59:29.839]  Do you like being a puppet for the New World Order?
[00:59:29.940 --> 00:59:37.064]  How do the American people know that 9-11 wasn't staged, wasn't engineered by you, David Rockefeller, the Trilateral Commission, the C.A.R.?
[00:59:37.464 --> 00:59:46.089]  The day that we stop asking questions is the day that we have allowed the seeds of despotism to grow at our own door!
[00:59:46.129 --> 00:59:50.692]  Seven years after the attacks of September 11th, the global awakening has taken place.
[00:59:58.884 --> 01:00:02.286]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:00:02.427 --> 01:00:04.808]  All hell is breaking loose on 6th Avenue.
[01:00:04.949 --> 01:00:10.633]  And if the government has not told the truth in 5 years, we will be here on the 10th anniversary of that.
[01:00:10.653 --> 01:00:11.654]  Truth Rising.
[01:00:11.674 --> 01:00:14.276]  Download the film at PrisonPlanet.tv right now.
[01:00:14.516 --> 01:00:16.478]  Or get the DVD at Infowars.com.
[01:00:16.758 --> 01:00:19.320]  It's now time to take the revolution to the next level.
[01:00:22.302 --> 01:00:24.244]  Waging war on corruption.
[01:00:24.684 --> 01:00:27.487]  Alex Jones on the GCN Radio Network.
[01:00:36.021 --> 01:00:39.022]  We are now into hour number four on the internet streams.
[01:00:39.242 --> 01:00:41.803]  We are number one on shoutcast period.
[01:00:41.924 --> 01:00:45.605]  Number one on the web for radio on the internet.
[01:00:45.665 --> 01:00:46.866]  And we're not just on the internet.
[01:00:46.886 --> 01:00:48.607]  We're on AM and FM, shortwave satellite.
[01:00:48.867 --> 01:00:49.888]  We thank all those affiliates.
[01:00:49.948 --> 01:00:50.588]  Okay, David Icke.
[01:00:51.068 --> 01:01:02.714]  Finishing up with the nature of reality and then expanding into not just the positive reality and love and light and goodness, but then we're going to get into the dark side and what makes up the enemy.
[01:01:02.754 --> 01:01:03.855]  People need to understand that.
[01:01:03.915 --> 01:01:04.315]  David Icke.
[01:01:05.235 --> 01:01:19.242]  Well, this is the key, and this might, you know, shock a few people when they think about it, but this reality that we are experiencing as solid walls and an apparently solid world is just an illusion.
[01:01:19.823 --> 01:01:25.946]  The only place it exists is in our heads, and it is what I call the holographic internet.
[01:01:27.106 --> 01:01:34.711]  I'm in this room now, and if I look around, the wireless internet is in this room, but I can't see it.
[01:01:35.212 --> 01:01:47.160]  But if I get a computer and I tune it into the wireless internet, suddenly I have a complete worldwide collective reality called the World Wide Web, which can be accessed anywhere in China,
[01:01:47.856 --> 01:01:48.076]  I don't
[01:02:03.484 --> 01:02:10.549]  If you said to people, tell me about the Internet, they'd say, well, it's graphics and websites and colors on a screen.
[01:02:10.609 --> 01:02:11.930]  Yes, it is.
[01:02:12.091 --> 01:02:14.953]  But the only place the Internet exists in that form is on the screen.
[01:02:14.993 --> 01:02:15.493]  Nowhere else.
[01:02:15.593 --> 01:02:17.434]  Everywhere else it's electronic circuits, etc.
[01:02:18.075 --> 01:02:19.776]  You say to people, tell me about television.
[01:02:19.836 --> 01:02:22.017]  They say, well, it's programs that are moving pictures on the screen.
[01:02:22.038 --> 01:02:22.498]  Yes, it is.
[01:02:23.138 --> 01:02:26.300]  But the only place that television exists in that form is on the screen.
[01:02:26.661 --> 01:02:32.685]  Everywhere else it is electronic circuits and frequency fields which the television decodes into those pixels.
[01:02:33.567 --> 01:02:44.918]  What we do through this physical vehicle, what we call physical anyway, is we're decoding a reality on exactly the same principle, though fantastically more sophisticated, as the wireless internet.
[01:02:45.358 --> 01:02:47.320]  And this is where we get our collective reality from.
[01:02:47.360 --> 01:02:50.764]  Now this is vital to the conspiracy, Alex, because
[01:02:51.713 --> 01:03:00.899]  If you know this and the people don't, then you can manipulate the way they decode reality to fit what you want those people to do.
[01:03:01.219 --> 01:03:03.521]  What is that stage hypnotist doing on a stage?
[01:03:03.801 --> 01:03:07.023]  He is manipulating the stoogiest sense of reality.
[01:03:07.143 --> 01:03:09.105]  In other words, the way they decode reality.
[01:03:09.505 --> 01:03:12.767]  So he'll give one, for instance, a potato and he'll
[01:03:13.499 --> 01:03:20.180]  I'll eat the potato, but he beforehand will have programmed the brain, the decoding system, to believe that it's an apple.
[01:03:20.720 --> 01:03:29.362]  So as the message goes from the taste buds to the brain, as an electrical signal, the brain decodes that not as a potato, but as an apple.
[01:03:29.422 --> 01:03:33.043]  You try telling that guy he's not eating an apple, because he's tasting it.
[01:03:33.583 --> 01:03:36.983]  I went to stage images shows when I was researching all this, and I watched it happen.
[01:03:37.243 --> 01:03:40.684]  I watched people reel back with fantastic smells.
[01:03:41.884 --> 01:04:01.188]  Well it shows predictive programming and they have those TV shows where they really do it and they found in studies that the population is more suggestible, massively more suggestible than they were just 10, 20, 30, 40 years ago.
[01:04:01.428 --> 01:04:05.749]  We're being programmed by TV to be more suggestible and now everything's like
[01:04:06.849 --> 01:04:16.573]  You know, Times Square, where they're taking over reality with blimps and with TV screens, and where everything is becoming this Minority Report world.
[01:04:18.113 --> 01:04:27.337]  And because they know that this information I'm talking about now, they understand this at the shallow people level, and they are programming just like hypnotists.
[01:04:27.897 --> 01:04:28.258]  I think so.
[01:04:44.899 --> 01:04:45.680]  And that's what we are.
[01:04:46.700 --> 01:05:08.972]  We're all these individual biomechanical machines marching around the surface of a giant planetoid covered by oceans and a thin ribbon of atmosphere who are all individually experiencing just a very narrow band of reality and then they're even trying to program that narrow band and use our social conditioning to keep us in very small parameters, David, correct?
[01:05:09.412 --> 01:05:16.616]  They're trying to isolate us in the body consciousness vehicle, which has an ability to think for itself.
[01:05:16.696 --> 01:05:18.136]  It's not just like an ordinary computer.
[01:05:18.557 --> 01:05:19.817]  It's a biological computer.
[01:05:19.837 --> 01:05:23.439]  It has the ability to think for itself and react to environmental changes.
[01:05:23.479 --> 01:05:24.900]  That's what we call physical evolution.
[01:05:24.940 --> 01:05:26.060]  David, we're going to skip this break.
[01:05:26.140 --> 01:05:26.941]  It's too important.
[01:05:27.081 --> 01:05:29.382]  Only on the InfoWars streams and PrisonPlanet.tv.
[01:05:30.102 --> 01:05:33.224]  A day unlike any other in the long course of American history.
[01:05:33.304 --> 01:05:36.446]  A terrorist act of war against this country.
[01:05:36.786 --> 01:05:38.447]  The enemy struck America on September 11th.
[01:05:39.427 --> 01:05:40.447]  But who is the enemy?
[01:05:40.968 --> 01:05:41.508]  Bin Laden.
[01:05:41.748 --> 01:05:42.568]  This is his M.O.
[01:05:42.608 --> 01:05:44.108]  We have to look to the Middle East.
[01:05:44.148 --> 01:05:45.809]  We have to look to Osama Bin Laden.
[01:05:46.129 --> 01:05:52.871]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:05:53.271 --> 01:05:53.711]  Some U.S.
[01:05:53.751 --> 01:05:59.393]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:06:00.093 --> 01:06:03.576]  I'm aware that some Israeli citizens have been detained.
[01:06:03.596 --> 01:06:06.698]  Either you are with us, or you are with the terrorists.
[01:06:29.975 --> 01:06:36.643]  GCN listeners, now you can transform your living room's HDTV into a virtual war room command center with ZV.
[01:06:37.063 --> 01:06:43.110]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all your HDTVs.
[01:06:43.671 --> 01:06:46.034]  Enjoy any internet audio feed, podcast,
[01:06:46.414 --> 01:06:49.655]  Video feed, radar, free movies and TV shows.
[01:06:50.235 --> 01:06:56.318]  Anything that can be viewed on your PC can be controlled from your couch with the ZV remote with its built-in mouse touchpad.
[01:06:56.618 --> 01:07:04.041]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more.
[01:07:04.561 --> 01:07:06.762]  And all in HD and just a click away.
[01:07:07.382 --> 01:07:10.103]  With ZV there are no subscriptions or download fees.
[01:07:10.543 --> 01:07:12.824]  The ZV is bundled with everything you need to easily
[01:07:17.709 --> 01:07:21.331]  That's freedom on my tv.com or call us today at 800-611-1776.
[01:07:21.351 --> 01:07:21.611]  Call today!
[01:07:31.747 --> 01:07:34.408]  We have a new president coming into office in January.
[01:07:34.768 --> 01:07:37.029]  His number one word of use is change.
[01:07:37.349 --> 01:07:40.650]  What if the change was not the change America expected?
[01:07:40.830 --> 01:07:45.811]  What if all natural products were handed over to the pharmaceutical companies to be eradicated?
[01:07:46.011 --> 01:07:50.333]  What if the only remedy for sickness and disease was to take drugs?
[01:07:50.593 --> 01:07:51.613]  This hasn't happened yet.
[01:07:51.613 --> 01:07:51.753]  Not yet.
[01:07:52.053 --> 01:07:53.514]  I repeat, not yet.
[01:07:53.774 --> 01:07:57.496]  Prepare and defend your body with GetTheTea.com.
[01:07:57.616 --> 01:07:59.877]  That's GetTheTea.com.
[01:08:00.157 --> 01:08:09.021]  In an ever-changing world where toxins, chemicals, fluoride infiltrate every level of your system every day, take charge and get the tea.
[01:08:09.321 --> 01:08:11.202]  Online, that's GetTheTea.com.
[01:08:11.342 --> 01:08:13.023]  GetTheTea.com.
[01:08:13.123 --> 01:08:13.763]  Or call us, 928-308-0408.
[01:08:18.285 --> 01:08:18.546]  928-308-0408.
[01:08:18.786 --> 01:08:20.731]  Don't wait until it's too late.
[01:08:20.911 --> 01:08:22.074]  Get the T dot com.
[01:08:36.016 --> 01:08:39.519]  You want answers?
[01:08:40.279 --> 01:08:41.781]  Well, so does he.
[01:08:41.841 --> 01:08:45.684]  He's Alex Jones on the GCN Radio Network.
[01:08:46.024 --> 01:08:50.848]  And now, live from Austin, Texas, Alex Jones.
[01:08:50.968 --> 01:08:55.151]  I asked David Eicher earlier to plug some of his books and videos, and he said, nope, I'm not going to plug them.
[01:08:55.171 --> 01:08:56.052]  I don't care about that.
[01:08:58.273 --> 01:09:01.716]  It's an amazing individual, but he does have a great bunch of videos, very enlightening.
[01:09:02.176 --> 01:09:04.978]  He'll make a lot of people laugh, and you need to get him at DavidIke.com.
[01:09:05.559 --> 01:09:06.940]  And I've gotten to that point, too.
[01:09:06.960 --> 01:09:09.021]  That's why I say my videos are all free on the internet.
[01:09:09.362 --> 01:09:12.284]  They're in higher quality at PrisonPlanet.tv, or get them and make copies.
[01:09:12.804 --> 01:09:18.228]  But at the same time, you need to support people like David Ike and myself, because then we can have more people, do more, take more action.
[01:09:18.528 --> 01:09:21.030]  I'm running more of a news organization, so my needs are greater.
[01:09:21.290 --> 01:09:24.913]  So that keeps me back on the, you know, straight and narrow of just trying to fund this operation.
[01:09:26.454 --> 01:09:33.096]  Now, he's just traveling around the world, speaking to huge crowds of people and writing books and making videos every year, and we just really appreciate him.
[01:09:33.456 --> 01:09:39.558]  David, I was asking you the question for the InfoWars Internet audience, now we're back on the main audience, about the mapmakers of the mind.
[01:09:40.558 --> 01:09:44.579]  It's also dangerous if we unlock minds.
[01:09:45.439 --> 01:09:48.161]  Or people unlock their own minds by us pointing out that they're locked.
[01:09:48.541 --> 01:10:05.311]  And then the New World Order has set up lots of spiritual traps, or lots of, you wouldn't even call it spiritual coding traps is what I would call them, of false rabbit trails, which are meant to suck people into very dangerous cults, very dangerous Eastern organizations, all sorts of New World Order stuff.
[01:10:05.331 --> 01:10:14.877]  Because the New World Order knows this, they're into it, so they've made it all very dark, and they capture people that break up through the control matrix, and they're swimming up,
[01:10:15.198 --> 01:10:17.027]  And the New World Order captures them in...
[01:10:20.474 --> 01:10:21.215]  I'm on TV right now.
[01:10:21.235 --> 01:10:31.542]  I'm showing people, you know, here's the mass-controlled consciousness that believes the Federal Reserve is federal, and the government loves you, and everything's fine, and melamine plastic's good for your kidneys, and poison's good for you.
[01:10:31.562 --> 01:10:48.293]  You know, they're down here, but more and more are breaking through, swimming up, so the New World Order's created lots of false solutions, and lots of, I mean, it's very sophisticated, and then they infest the, you know, consciousness crowd, and knowing that people are going to escape, they're there to capture them.
[01:10:48.573 --> 01:10:49.974]  How do people protect themselves from that?
[01:10:51.535 --> 01:10:54.858]  Well, this is the bottom line of what they're doing, Alex.
[01:10:56.299 --> 01:11:00.223]  You can call it soul, I call it infinite consciousness, expanded consciousness, whatever you like.
[01:11:00.843 --> 01:11:12.493]  The idea is to keep that from imposing or infusing its level of wisdom and awareness and love and the understanding that everything is one.
[01:11:13.033 --> 01:11:13.514]  We're good to go.
[01:11:29.071 --> 01:11:44.956]  Yeah, the thing is that once you disconnect from, if you like, higher levels of awareness and you become encased in body consciousness, you're looking outside of yourself for information to get a fix on life, yourself, the nature of reality, and what comes back
[01:11:45.316 --> 01:11:50.619]  What you learn at school, what you learn through the media, what you learn from bankers and politicians and all the rest of it.
[01:11:50.659 --> 01:12:00.604]  In other words, what they're doing is isolating the computer from our consciousness, what you would call soul, and then programming the computer with the reality that suits the agenda.
[01:12:01.024 --> 01:12:10.049]  Now, as people awaken, there are, what I've called in my books, endless cul-de-sacs, which are being set up, little mouse traps.
[01:12:10.589 --> 01:12:10.869]  I think so.
[01:12:10.889 --> 01:12:11.169]  I think so.
[01:12:37.078 --> 01:12:45.644]  New Age guy or whatever just as the religions in all their forms are about the people Handing their power and their belief systems over to others.
[01:12:46.165 --> 01:12:47.205]  We are consciousness.
[01:12:47.225 --> 01:13:01.015]  We are infinite consciousness We're all expressions of the same consciousness That's why the fighting between it is so idiotic and stupid and ridiculous But that's what happens when you lose that understanding of unity and you see everything in in a partners because you're caught in the in the body
[01:13:01.015 --> 01:13:04.116]  Yeah, back into myself, and that's the incredible thing, is that
[01:13:26.866 --> 01:13:35.833]  Just in a meat and potatoes way, let's say there is no consciousness about this, which we know is a lie, but through genetic consciousness, it's all a mirror.
[01:13:35.853 --> 01:13:48.844]  I understand that I am all those that came before me, and I am passing on through my children, everybody that came before me and who I was, and I realize I'm going to love my children's grandchildren, who I'll never meet, or their great-grandchildren,
[01:13:49.404 --> 01:13:57.231]  As much as I love my children, or I love myself, in fact, more so, and so why would I want to commit a crime against the genetic code?
[01:13:57.592 --> 01:14:09.863]  Why would I want to commit a crime against humanity when I'm related to all these people, whether they be black or white, Chinese or German, and I realize that, and then I ask myself, how, why does the New World Order revel
[01:14:10.203 --> 01:14:12.404]  They know the Mercury is damaging the genetic code.
[01:14:12.664 --> 01:14:15.765]  They know the GMO is attacking and actually mutating the human species.
[01:14:16.105 --> 01:14:17.525]  They know they're attacking the Earth.
[01:14:17.925 --> 01:14:21.727]  And then they give us fake environmentalism when we rebel against that and then use it to control us more.
[01:14:22.067 --> 01:14:23.987]  They know they are killing things.
[01:14:24.767 --> 01:14:27.668]  Now we've talked about the positive side, the enemy.
[01:14:27.968 --> 01:14:32.990]  They understand this system, but the controllers, the shadow behind the throne,
[01:14:33.750 --> 01:14:40.373]  The power behind the throne, they have made the conscious decision to revel in darkness and destruction.
[01:14:40.713 --> 01:14:41.173]  Why?
[01:14:41.874 --> 01:14:46.336]  Well, let's just go one point, which kind of relates to this, but relates to what you just said.
[01:14:46.356 --> 01:14:51.378]  Take consciousness to be the most brilliant computer programmer in the world.
[01:14:52.330 --> 01:15:04.194]  And he's sitting at his desk in front of a computer, symbolic of the body, shall we say, and he's trying to get his genius through that computer into the reality on the screen, this world.
[01:15:04.998 --> 01:15:22.271]  If that computer is destabilized, if it's not working, if it's got viruses, if it's not decoding properly, if it's got various things wrong with it, if it's electrically imbalanced and its decoding system is distorted, I don't care if that guy in that chair
[01:15:23.067 --> 01:15:28.052]  Symbolic of our true self, our true consciousness is the best computer programmers ever lived.
[01:15:28.292 --> 01:15:30.594]  He's not going to pass that genius through that computer.
[01:15:30.914 --> 01:15:45.708]  So this conspiracy, Alex, is about attacking the vehicle, the decoding system, to make sure that it is inefficient and imbalanced and doesn't operate to the true efficiency and magnitude that it possibly
[01:15:45.708 --> 01:15:46.048]  We could.
[01:15:46.148 --> 01:15:47.069]  I've got to add something.
[01:15:47.149 --> 01:15:48.630]  It's so incredible what you're saying.
[01:15:49.111 --> 01:15:50.752]  That's the true reason for the microchip, Alex.
[01:15:51.132 --> 01:15:59.939]  In a computer, the central processing unit, the CPU, that filters all the information traffic, is a microchip.
[01:16:00.679 --> 01:16:06.824]  The reason they're talking now about having human computing... It's an electrochemical computer.
[01:16:07.385 --> 01:16:07.565]  Yeah.
[01:16:08.085 --> 01:16:15.371]  Because they're talking now about connecting the human brain to a computer, and you can work the computer through your thoughts, is because they're
[01:16:15.811 --> 01:16:16.472]  Thank you very much.
[01:16:35.545 --> 01:16:36.826]  No, I was just going to agree with you.
[01:16:55.177 --> 01:17:24.205]  That's why, when you study eugenics, publicly they say it's about making the race better and getting rid of the bad, but real eugenics, at the PhD level, they say, no, we've got to mutate and dumb down the mass of people, so we in the future, and this is a hundred years ago, you know, all the top eugenicists, and we put it in the film Endgame, Blueprint for Global Enslavement, all the proof, there's a bibliography of it, whatistheendgame.com, they say, we really want to wreck humanity, so we can greedily control it for ourselves, because they'd rather rule in hell than serve in heaven.
[01:17:25.646 --> 01:17:26.046]  Exactly.
[01:17:26.126 --> 01:17:33.551]  And so, when you look at the body computer on one level, it is an electro-chemical organism.
[01:17:33.992 --> 01:17:37.234]  What are they bombarding us, not least our kids, with?
[01:17:38.395 --> 01:17:42.378]  Chemical cocktails called soft drinks and food.
[01:17:43.398 --> 01:17:49.843]  Electromagnetic microwave attacks and pollution which we're living in.
[01:17:49.863 --> 01:17:52.345]  And if you want to affect every fish,
[01:17:52.905 --> 01:17:53.486]  We're good to go.
[01:18:13.824 --> 01:18:18.406]  Let me throw a point out.
[01:18:18.426 --> 01:18:21.427]  Let me throw a point out.
[01:18:21.447 --> 01:18:26.609]  When you go out to southern Utah and Monument Valley, and there's nobody around, you can be in your tent.
[01:18:26.669 --> 01:18:28.130]  It's not just the beautiful vistas that...
[01:18:28.610 --> 01:18:34.192]  You know, raise the soul, as people say, or, you know, make the soul sore.
[01:18:34.692 --> 01:18:39.855]  It is that you are not around all the electrochemical pollution.
[01:18:40.495 --> 01:18:43.716]  You are outside of that, and you're also outside the pollution.
[01:18:43.736 --> 01:18:44.416]  And they've proven this.
[01:18:44.456 --> 01:18:46.317]  There's, like, wavelengths coming off the mind.
[01:18:46.357 --> 01:18:47.177]  They broadcast.
[01:18:47.858 --> 01:18:52.500]  All the programmed brains that are broadcasting the evil, you're also away from those.
[01:18:52.820 --> 01:18:55.761]  And it's the incredible peace of being out in the middle of nowhere.
[01:18:57.032 --> 01:19:01.018]  Yep, you know the computer talks, consciousness knows.
[01:19:01.619 --> 01:19:08.768]  That's why when you go into the silence and you quieten your mind, you can get incredible insights that you can't when the mind chatter is going.
[01:19:08.788 --> 01:19:11.312]  Because the computer mind chatter never really stops.
[01:19:11.372 --> 01:19:13.335]  Everyone listening to this show will understand what I mean.
[01:19:13.755 --> 01:19:14.135]  I don't know.
[01:19:41.662 --> 01:19:49.889]  Yeah, there was a line in that which encapsulates what we're saying here.
[01:19:49.929 --> 01:19:53.371]  It said, keep them busy, busy, busy back on the farm with their other animals.
[01:19:53.391 --> 01:19:56.654]  They're trying to keep our mines occupied constantly.
[01:19:57.114 --> 01:19:57.534]  I think so.
[01:20:16.561 --> 01:20:19.963]  Okay, David, I want to ask you advice about myself personally.
[01:20:19.983 --> 01:20:22.004]  I really respect you in this area.
[01:20:22.424 --> 01:20:27.726]  In the behind-the-scenes, internet-only discussion at PrisonPlanet.tv and the InfoWars exclusive streams right now.
[01:20:27.746 --> 01:20:28.867]  For everybody else, we'll be right back.
[01:20:31.070 --> 01:20:33.734]  What will happen when the grocery stores are empty?
[01:20:34.214 --> 01:20:36.537]  What are you going to do once your food is gone?
[01:20:37.138 --> 01:20:40.983]  What will you do when the dollar is worthless and your family needs to eat?
[01:20:41.423 --> 01:20:46.389]  Growing your own food is the only way to have real self-sufficiency and peace of mind.
[01:20:46.810 --> 01:20:49.694]  GetSeeds.net is offering an amazing special
[01:20:49.974 --> 01:20:50.414]  We're good to go.
[01:21:12.461 --> 01:21:17.304]  Go to GetSeeds.net and get 100 seed packets for only $49 with free shipping or call 877-394-6657.
[01:21:17.324 --> 01:21:18.385]  That's 877-394-6657 or go to GetSeeds.net.
[01:21:29.918 --> 01:21:31.599]  Our beloved Republic is on her knees.
[01:21:31.880 --> 01:21:35.442]  The forces of globalism are destroying national sovereignty worldwide.
[01:21:35.502 --> 01:21:37.324]  But in Liberty's darkest hour, there is hope.
[01:21:37.804 --> 01:21:40.686]  For the first time in modern history, the people are beginning to wake up.
[01:21:40.987 --> 01:21:46.451]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:21:46.731 --> 01:21:50.654]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:21:50.974 --> 01:21:55.876]  In the Infowar, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:21:56.156 --> 01:21:58.937]  PrisonPlanet.tv is a vault of forbidden information.
[01:21:59.218 --> 01:22:06.040]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:22:06.441 --> 01:22:12.243]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:22:12.403 --> 01:22:16.885]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:22:17.245 --> 01:22:19.766]  The Info War is waiting for you to set it free.
[01:22:20.086 --> 01:22:21.766]  Join PrisonPlanet.TV.
[01:22:22.147 --> 01:22:23.927]  Burn the info bombs to disk.
[01:22:24.127 --> 01:22:25.948]  Put them on the file sharing networks.
[01:22:26.268 --> 01:22:27.708]  Bring down the New World Order.
[01:22:28.049 --> 01:22:29.429]  PrisonPlanet.TV.
[01:22:29.989 --> 01:22:31.470]  Alex Jones here with a question.
[01:22:31.670 --> 01:22:33.090]  What does humidity mean to you?
[01:22:33.410 --> 01:22:35.591]  Most people think of hot and sticky summer days.
[01:22:35.891 --> 01:22:36.292]  I think so.
[01:22:50.828 --> 01:22:51.168]  We're good to go.
[01:23:16.656 --> 01:23:18.438]  They have a 30-day money-back guarantee.
[01:23:18.778 --> 01:23:20.360]  Call Ecola Blue right now at 866-585-4044.
[01:23:20.380 --> 01:23:20.680]  That's 866-585-4044.
[01:23:20.820 --> 01:23:22.802]  Or visit Ecola Blue at ecoloble.com today.
[01:23:30.726 --> 01:23:31.367]  Santa!
[01:23:31.487 --> 01:23:33.528]  Christmas Eve and you haven't left yet?
[01:23:33.628 --> 01:23:36.650]  Ho ho ho ho ho!
[01:23:36.990 --> 01:23:37.731]  No!
[01:23:37.751 --> 01:23:39.612]  I can't find my keys!
[01:23:39.892 --> 01:23:41.013]  Here's the perfect gift.
[01:23:41.213 --> 01:23:44.955]  Our patented Find One Find All Key Finder or FOFA XD for short.
[01:23:45.275 --> 01:23:50.479]  Once a FOFA Key Finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[01:23:50.699 --> 01:23:56.723]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[01:23:56.843 --> 01:23:57.343]  FOFA goes
[01:23:57.363 --> 01:23:59.465]  Where did I put my glasses, Mrs. Claus?
[01:23:59.526 --> 01:24:00.487]  Oh, here they are!
[01:24:00.707 --> 01:24:03.070]  Luckily, Rudolph's nose isn't the only thing that lashes.
[01:24:14.644 --> 01:24:18.490]  Order your Fofa today with batteries included along with a 30-day money-back guarantee.
[01:24:18.530 --> 01:24:18.810]  Call 866-245-8670.
[01:24:18.871 --> 01:24:19.151]  That's 866-245-8670.
[01:24:19.191 --> 01:24:20.754]  Or buy online at findonefindall.com.
[01:24:20.774 --> 01:24:21.936]  Again, that's findonefindall.com.
[01:24:31.323 --> 01:24:31.663]  All right.
[01:24:32.825 --> 01:24:34.347]  The time's almost up with David Icke.
[01:24:34.547 --> 01:24:37.772]  I might be able to twist his arm for 10 minutes more into overdrive today, but I doubt it.
[01:24:38.794 --> 01:24:40.356]  There's so much he wants to talk about.
[01:24:40.376 --> 01:24:45.884]  I want to know about why the elite, who are aware of all of this, like to get into the darkness.
[01:24:46.365 --> 01:24:48.506]  And why they revel in that and some of the rituals they do.
[01:24:48.866 --> 01:24:54.248]  I mean now Macy's has come out with 666 Knights of Hell Bohemian Grove wear.
[01:24:54.308 --> 01:24:55.708]  It says Bohemian Grove on it.
[01:24:56.188 --> 01:24:58.289]  It's using official Bohemian Grove logos.
[01:24:58.689 --> 01:24:59.770]  Macy's nationwide.
[01:24:59.830 --> 01:25:01.890]  It's up on InfoWars.com.
[01:25:01.971 --> 01:25:06.552]  I want to get into that and then anything else you want to cover, David, and then take a few phone calls at 1-800-259-9231.
[01:25:09.153 --> 01:25:15.158]  But everything you say makes all these other ideas and thoughts I've already had, but at a deeper level, start exploding.
[01:25:15.178 --> 01:25:16.319]  So that's why I'm jumping in.
[01:25:16.539 --> 01:25:18.441]  But I want you to have a chance to really run.
