[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[00:47:15.731 --> 00:47:18.392]  Yeah, but right now Alex, there is not a lot of supply.
[00:47:18.472 --> 00:47:27.595]  I try, I mean look at Kitco's front page, look at everywhere, just type in... Well look at this, gold falls as dollar strengthens, but then yesterday the dollar was dropping.
[00:47:27.915 --> 00:47:34.257]  So it's that same thing we saw for a year going into the Great Depression where it's just like a seesaw or a roller coaster.
[00:47:34.457 --> 00:47:38.840]  Well, if anybody has any bit of brains in their head, they're going to know that they have to have something.
[00:47:38.860 --> 00:47:42.102]  They're going to have to have their food, they're going to have to have their guns, and they certainly need their gold.
[00:47:43.182 --> 00:47:46.344]  Give them the number, Ted.
[00:47:46.364 --> 00:47:46.925]  It's 1-800-686-2237.
[00:47:46.945 --> 00:47:50.006]  To take advantage of that, tell them it's the Ted Anderson Alex Jones Special.
[00:47:50.307 --> 00:47:54.729]  Just mention our names right there at MinusResources in the same building as the network.
[00:47:54.749 --> 00:47:55.250]  1-800-686-2237.
[00:47:56.931 --> 00:48:01.053]  Or there's links on DailySpecials at InfoWars.com.
[00:48:01.093 --> 00:48:02.954]  Over to Ted at MinusResources.com.
[00:48:05.417 --> 00:48:07.319]  686-2237.
[00:48:07.820 --> 00:48:08.942]  Please don't wait, folks.
[00:48:09.002 --> 00:48:09.903]  Give them a call today.
[00:48:10.224 --> 00:48:14.650]  Physically Hold Metals 800-686-2237.
[00:48:14.750 --> 00:48:15.772]  Great folks at Midas.
[00:48:16.012 --> 00:48:17.614]  We'll be right back with more financial news.
[00:48:19.807 --> 00:48:21.047]  Everybody's attention please.
[00:48:21.187 --> 00:48:23.608]  I've come with a message of information.
[00:48:23.628 --> 00:48:26.209]  9-11 was an inside job.
[00:48:26.229 --> 00:48:27.410]  Do you like being a puppet, sir?
[00:48:27.430 --> 00:48:29.050]  Do you like being a puppet for the New World Order?
[00:48:29.130 --> 00:48:31.971]  How do the American people know that 9-11 was a stage?
[00:48:32.031 --> 00:48:36.133]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:48:45.314 --> 00:48:50.238]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:48:51.479 --> 00:48:52.620]  An inside job?
[00:48:53.981 --> 00:48:55.022]  How dare you?
[00:48:56.423 --> 00:49:01.487]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:49:01.507 --> 00:49:04.270]  People know that 9-11 was a state.
[00:49:04.290 --> 00:49:07.953]  It was engineered by you, David Rockefeller, the Trilateral Commission, the CFR.
[00:49:17.627 --> 00:49:22.446]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:49:30.345 --> 00:49:33.809]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:49:33.829 --> 00:49:36.211]  All hell is breaking loose on 6th Avenue.
[00:49:36.271 --> 00:49:42.138]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of that.
[00:49:42.178 --> 00:49:43.119]  Truth Rising.
[00:49:43.179 --> 00:49:45.762]  Download the film at PrisonPlanet.tv right now.
[00:49:46.002 --> 00:49:48.024]  Or get the DVD at Infowars.com.
[00:49:48.264 --> 00:49:50.767]  It's now time to take the revolution to the next level.
[00:49:53.462 --> 00:49:55.363]  We live in a world of vanishing privacy.
[00:49:55.623 --> 00:50:03.147]  The added threat of invisible radio waves sending out personal information to anyone willing to receive them makes our privacy as citizens even less secure.
[00:50:08.349 --> 00:50:11.350]  Your source for high quality spy and security equipment.
[00:50:11.711 --> 00:50:14.132]  Visit us online at prospy.com.
[00:50:14.352 --> 00:50:16.833]  That's prospy.com today.
[00:50:28.240 --> 00:50:34.044]  You've heard the commercials on Life Change Tea, the all-natural clean your system and lose weight product.
[00:50:34.585 --> 00:50:36.026]  Well, maybe you don't believe.
[00:50:36.726 --> 00:50:37.527]  Maybe you doubt.
[00:50:38.067 --> 00:50:41.710]  For those who don't believe, we will give you a money-back guarantee.
[00:50:42.110 --> 00:50:44.752]  That's right, a 45-day money-back guarantee.
[00:50:44.832 --> 00:50:45.913]  Some restrictions apply.
[00:50:46.073 --> 00:50:49.936]  That's right, if you don't feel better and lose weight, you can get your money back.
[00:50:50.256 --> 00:50:51.357]  So what are you waiting for?
[00:50:51.757 --> 00:50:52.377]  Call now.
[00:50:52.518 --> 00:50:54.219]  Friendly operators are standing by.
[00:50:54.599 --> 00:50:55.400]  928-308-0408.
[00:50:56.260 --> 00:51:00.883]  That's 928-308-0408.
[00:51:01.884 --> 00:51:04.065]  Or you can order online.
[00:51:04.425 --> 00:51:06.347]  GetTheTea.com.
[00:51:06.427 --> 00:51:08.688]  That's GetTheTea.com.
[00:51:09.028 --> 00:51:11.490]  Or you can go to LifeChangeTea.com.
[00:51:11.610 --> 00:51:12.411]  Read up on us!
[00:51:12.931 --> 00:51:15.693]  You have nothing to lose, but wait.
[00:51:28.726 --> 00:51:35.538]  Look at your women crying Look at your young men dying
[00:51:42.521 --> 00:51:45.324]  They get you trained in the markets and look at it day by day, week by week.
[00:51:45.924 --> 00:51:48.307]  Look at it in terms of years and months.
[00:51:48.787 --> 00:51:50.529]  You can really see the trend.
[00:51:50.569 --> 00:51:52.330]  The death of the dollar.
[00:51:52.791 --> 00:51:56.454]  And it's all by design to bring in a new world order.
[00:51:56.635 --> 00:51:59.057]  I mean, we got it from inside Bilderberg.
[00:51:59.177 --> 00:51:59.958]  Those bastards.
[00:52:00.658 --> 00:52:01.739]  They're greedy.
[00:52:01.819 --> 00:52:06.003]  They want to destroy the economy so they can buy it all up.
[00:52:09.167 --> 00:52:10.168]  We're going to open the phones up.
[00:52:10.228 --> 00:52:11.749]  We have Cindy Sheehan on with us.
[00:52:11.769 --> 00:52:14.931]  We'll talk about the economy, the war, a host of issues.
[00:52:14.991 --> 00:52:15.291]  Weather 1-800-259-9231.
[00:52:15.311 --> 00:52:15.372]  1-800-259-9231.
[00:52:15.392 --> 00:52:16.032]  You know, what am I doing?
[00:52:16.052 --> 00:52:18.354]  I just now remembered the main lines for Genesis are down.
[00:52:18.374 --> 00:52:19.695]  So I can't give out the phone number.
[00:52:19.715 --> 00:52:22.016]  Well, I guess we can give out our phone number.
[00:52:37.631 --> 00:52:41.594]  Oh no, the phone lines are back up for the callers.
[00:52:42.956 --> 00:52:43.556]  Okay, good.
[00:52:43.576 --> 00:52:45.117]  Well, what phone lines aren't back up then?
[00:52:48.761 --> 00:52:50.662]  Okay, okay, okay.
[00:52:50.682 --> 00:52:51.683]  You guys can't call out.
[00:52:51.703 --> 00:52:52.544]  People can call in.
[00:52:52.584 --> 00:52:53.044]  Oh, that's good.
[00:52:53.064 --> 00:52:53.124]  1-800-259-9231.
[00:52:53.144 --> 00:52:54.806]  We have got so much to cover here.
[00:52:54.826 --> 00:52:55.386]  You know, I could
[00:53:04.551 --> 00:53:06.072]  Recap some of the things that have happened.
[00:53:06.452 --> 00:53:08.253]  Really important story by Paul Watson.
[00:53:08.333 --> 00:53:11.074]  Run on the banks, Americans could lose their deposits.
[00:53:12.775 --> 00:53:16.257]  You know it's bad when Yahoo.com features a story about fiscal Armageddon.
[00:53:19.699 --> 00:53:27.363]  And then we have another report here about Goldman earnings fall 70 percent, sending shares still lower.
[00:53:27.463 --> 00:53:29.524]  Banking crisis in Britain.
[00:53:29.884 --> 00:53:31.965]  Heading for the worst recession since the 1930s.
[00:53:31.985 --> 00:53:32.525]  London Telegraph.
[00:53:36.078 --> 00:53:41.180]  Hewlett-Packard to axe 24,000 jobs, take a $1.7 billion charge.
[00:53:43.321 --> 00:53:51.104]  HP said it will carry out the cutbacks over the next three years while replacing about half the jobs in new areas of its service businesses.
[00:53:51.624 --> 00:53:57.506]  It announced the plan ahead of a meeting with Wall Street analysts to detail the merger plans.
[00:53:58.546 --> 00:54:02.948]  So they're all merging, trying to stay afloat, which is good for the globalist consolidation.
[00:54:03.914 --> 00:54:07.276]  Best Buy Profit Below View Shares Fall.
[00:54:08.197 --> 00:54:10.838]  Best Buy, one of the most successful retailers out there in trouble.
[00:54:11.379 --> 00:54:18.943]  Consumer Electronics Retailer Best Buy reported a worse-than-expected 19% drop in second quarter earnings as it spent more money to improve stores, sending its shares down 7%.
[00:54:18.983 --> 00:54:23.766]  FTSE 100 plunges through $5,000 mark as share route continues.
[00:54:29.142 --> 00:54:41.588]  London Index shares down 229 points, HBOS shares plummet more than 40%, the global market panic followed by the bankruptcy of Lehman Brothers deepened today when the FTSE plunged to the 5000 point.
[00:54:42.728 --> 00:54:46.530]  Investors continue to reel from yesterday's high drama.
[00:54:48.271 --> 00:54:49.491]  It's kind of patronizing, isn't it?
[00:54:49.551 --> 00:54:50.411]  It's high drama.
[00:54:50.932 --> 00:54:53.693]  And central banks pumped more into the system.
[00:54:54.702 --> 00:54:55.703]  More money into the system.
[00:54:56.223 --> 00:55:03.668]  The index 100 tumbled 229 points to 4,975.2 or almost 4.5%.
[00:55:06.250 --> 00:55:07.731]  Confidence has been shattered.
[00:55:08.411 --> 00:55:11.033]  Well, yeah, for a year they keep telling us it's a conspiracy theory.
[00:55:11.053 --> 00:55:12.174]  If you say it's going to get worse.
[00:55:12.594 --> 00:55:13.555]  They actually use those terms.
[00:55:14.916 --> 00:55:15.436]  Later, the U.S.
[00:55:15.456 --> 00:55:19.719]  Federal Reserve offered to lend $50 billion to banks, having to put $70 billion in yesterday.
[00:55:19.979 --> 00:55:20.039]  See?
[00:55:20.059 --> 00:55:21.480]  Oh, $50 billion today, $70 billion yesterday.
[00:55:23.462 --> 00:55:24.482]  Just all this happening.
[00:55:26.283 --> 00:55:31.904]  Meanwhile, yesterday on Black Monday, McCain said, the fundamentals of our economy are still strong.
[00:55:33.004 --> 00:55:35.184]  Oh yeah, record consumer debt, record corporate debt.
[00:55:36.224 --> 00:55:38.305]  All the real assets have been taken out the back door.
[00:55:38.325 --> 00:55:42.986]  I mean, your cities had billions and billions in assets and secret investments.
[00:55:43.006 --> 00:55:44.666]  See, that's all been transferred out now.
[00:55:45.766 --> 00:55:47.607]  Huge Enron-level collapses.
[00:55:47.707 --> 00:55:47.947]  Bigger.
[00:55:48.287 --> 00:55:48.867]  Bigger than those.
[00:55:49.307 --> 00:55:50.007]  Every day.
[00:55:51.960 --> 00:55:53.922]  Also, the Ukrainian government falls apart.
[00:55:53.962 --> 00:55:55.243]  That's the BBC headline.
[00:55:55.803 --> 00:55:57.845]  Israel's waging a secret war with Iran.
[00:55:57.865 --> 00:55:58.405]  Stay with us.
[00:56:01.287 --> 00:56:04.910]  You are listening to GCN.
[00:56:04.950 --> 00:56:07.452]  Visit GCNlive.com today.
[00:56:10.134 --> 00:56:16.539]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:56:16.899 --> 00:56:18.580]  The enemy struck America on September 11th.
[00:56:19.517 --> 00:56:20.537]  But who is the enemy?
[00:56:21.058 --> 00:56:21.598]  Bin Laden.
[00:56:21.858 --> 00:56:22.918]  This is his M.O.
[00:56:22.938 --> 00:56:24.159]  We have to look to the Middle East.
[00:56:24.219 --> 00:56:26.199]  We have to look to Osama Bin Laden.
[00:56:26.219 --> 00:56:32.961]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:56:33.362 --> 00:56:33.822]  Some U.S.
[00:56:33.862 --> 00:56:39.604]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:56:40.204 --> 00:56:43.665]  I'm aware that some Israeli citizens have been detained.
[00:56:43.905 --> 00:56:53.948]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:56:54.189 --> 00:56:54.929]  Fabled enemies.
[00:56:55.409 --> 00:57:02.711]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:57:03.132 --> 00:57:06.553]  Either you are with us or you are with the terrorists.
[00:57:12.543 --> 00:57:14.463]  Waging war on corruption.
[00:57:14.943 --> 00:57:17.804]  Alex Jones on the GCN Radio Network.
[00:57:24.225 --> 00:57:24.885]  Big Brother.
[00:57:25.545 --> 00:57:26.606]  Mainstream media.
[00:57:27.306 --> 00:57:28.426]  Government cover-ups.
[00:57:29.066 --> 00:57:29.886]  You want answers?
[00:57:30.646 --> 00:57:31.506]  Well, so does he.
[00:57:32.206 --> 00:57:35.847]  He's Alex Jones on the GCN Radio Network.
[00:57:36.387 --> 00:57:40.468]  And now, live from Austin, Texas, Alex Jones.
[00:57:42.014 --> 00:57:52.503]  Well, for the next 30 minutes of the show, we're joined by Cindy to check in with us once a month or so with her historic campaign against the treacherous Nancy Pelosi.
[00:57:53.964 --> 00:57:59.149]  It is treacherous to claim that she was with anti-war, pro-peace people, folks that are against murder.
[00:58:00.990 --> 00:58:07.516]  It's treacherous to then get into power and enthusiastically actually expand the war and cheerlead for it.
[00:58:09.404 --> 00:58:15.198]  And you've got 90 plus percent in polls in the San Francisco Bay Area of the district she's in against the war.
[00:58:15.238 --> 00:58:16.100]  They won it over now.
[00:58:18.737 --> 00:58:20.118]  But Pelosi ignores that.
[00:58:20.158 --> 00:58:24.002]  So if Cindy Sheehan doesn't win, we know something's rotten in the state of Denmark.
[00:58:24.442 --> 00:58:26.104]  We've got fifty-something days until the election.
[00:58:26.144 --> 00:58:34.551]  Here's your chance to get in there, to canvas, to donate, to help Cindy Sheehan as she runs against Nancy Pelosi.
[00:58:34.771 --> 00:58:37.594]  This is what we need to see from people out there.
[00:58:38.174 --> 00:58:41.257]  And she's here to talk about the economy, the war.
[00:58:43.078 --> 00:58:44.440]  She just gets better and better in the speech.
[00:58:44.480 --> 00:58:45.380]  I saw her give out and
[00:58:46.141 --> 00:58:47.542]  Denver was just really powerful.
[00:58:47.582 --> 00:58:52.245]  She talked about the two parties, the twins, and she is now with us for the next 30 minutes.
[00:58:52.926 --> 00:58:54.187]  Cindy Sheehan, good to have you here.
[00:58:54.207 --> 00:58:57.489]  See you again.
[00:58:58.349 --> 00:58:59.630]  Well, it's good to have you here with us.
[00:59:01.552 --> 00:59:06.915]  There's so much to talk about, but how about instead of me throwing questions at you, talk about what you think is most important right now.
[00:59:06.935 --> 00:59:07.656]  What's on your mind?
[00:59:08.396 --> 00:59:13.520]  Well, these past days I've been really sorry that I didn't
[00:59:15.054 --> 00:59:16.315]  Major and economic.
[00:59:17.295 --> 00:59:24.839]  So I've been trying to really focus on that and try to get a handle on what's happening.
[00:59:25.279 --> 00:59:33.623]  And I know what the government is doing is not the best correction for what's happening with our economy collapsing.
[00:59:34.243 --> 00:59:39.446]  And I think that, you know, the major issue around the whole economy is
[00:59:40.979 --> 00:59:42.580]  And people don't acknowledge this.
[00:59:42.700 --> 00:59:54.609]  You don't see anybody in mainstream America on the news or are candidates for president in the two major parties, which I call the monopoly now.
[00:59:54.649 --> 01:00:00.674]  I used to call it a duopoly, but why even pretend that it's, you know, there's any difference in it?
[01:00:01.194 --> 01:00:10.361]  But they don't talk about how our military economy is collapsing, this country, like it collapsed
[01:00:11.039 --> 01:00:27.569]  All other empires before it, and they're not talking about decreasing military spending, or bringing our troops home from Iraq or Afghanistan, or closing our bases around the world, which are just basic imperialism.
[01:00:28.270 --> 01:00:36.595]  They're talking about bailouts, and stimulus, and all these Keynesian things that
[01:00:37.133 --> 01:00:44.277]  that haven't worked for a long time because that they're designed to make the rich richer and disappear our middle class.
[01:00:44.357 --> 01:00:44.877]  Well, you're right.
[01:00:44.917 --> 01:00:50.020]  In fact, they're saying they're going to continue all the exact same policies and then bail out.
[01:00:50.040 --> 01:00:51.240]  And they really designed all this.
[01:00:51.260 --> 01:00:52.381]  We have their documents, Cindy.
[01:00:53.101 --> 01:00:55.283]  Designed this to fully implode the economy.
[01:00:55.363 --> 01:00:59.905]  Basically, the military-industrial complex is just eating the country.
[01:00:59.945 --> 01:01:01.266]  They do what they do everywhere else.
[01:01:01.326 --> 01:01:03.547]  They are eating their own.
[01:01:03.587 --> 01:01:05.068]  They're engaged in cannibalism.
[01:01:05.828 --> 01:01:12.153]  Or strip mining, and they're imploding the economy so they can, quote, have the taxpayers bail them out.
[01:01:12.173 --> 01:01:15.396]  But really that's just so bigger banks can gobble up smaller banks.
[01:01:15.596 --> 01:01:16.817]  Well, you know, absolutely.
[01:01:16.937 --> 01:01:25.885]  And I just don't understand how people think that continuing failed policies is going to make a correction in the economy.
[01:01:26.325 --> 01:01:31.930]  And instead of blaming Republicans, or instead of blaming George Bush or whoever,
[01:01:32.335 --> 01:01:46.365]  You know, we can go all the way back to the Clinton administration for a majority of what's happening today, but we really need to get down to business and we don't need false hope or false change.
[01:01:47.310 --> 01:01:53.131]  A leader who will actually identify the problem and say that we're in deep trouble.
[01:01:53.271 --> 01:01:54.492]  And something beautiful happened.
[01:01:54.512 --> 01:01:56.072]  I want to talk to you about this after the break.
[01:01:57.172 --> 01:02:02.034]  Ron Paul, Ralph Nader, Dennis Kucinich all together saying what you just said, what you've been saying.
[01:02:02.434 --> 01:02:03.674]  We don't need false change.
[01:02:04.114 --> 01:02:09.595]  We need real change and truly diverse political movements that are huge coming together.
[01:02:09.615 --> 01:02:12.596]  They need to get behind Cindy Sheehan and they are behind Cindy Sheehan.
[01:02:12.896 --> 01:02:13.536]  Cindy, stay there.
[01:02:13.556 --> 01:02:14.777]  We'll be back in just three minutes.
[01:02:15.017 --> 01:02:15.397]  Alrighty.
[01:02:15.537 --> 01:02:15.977]  Stay with us.
[01:02:19.051 --> 01:02:20.712]  Our beloved Republic is on her knees.
[01:02:21.012 --> 01:02:24.435]  The forces of globalism are destroying national sovereignty worldwide.
[01:02:24.635 --> 01:02:26.496]  But in Liberty's darkest hour, there is hope.
[01:02:27.077 --> 01:02:29.819]  The first time in modern history, the people are beginning to wake up.
[01:02:30.119 --> 01:02:35.583]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:02:35.863 --> 01:02:39.766]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:02:40.106 --> 01:02:45.007]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:02:45.287 --> 01:02:48.068]  PrisonPlanet.tv is a vault of forbidden information.
[01:02:48.348 --> 01:02:55.189]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:02:55.549 --> 01:03:01.370]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:03:01.530 --> 01:03:06.051]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:03:06.371 --> 01:03:08.872]  The Info War is waiting for you to set it free.
[01:03:09.233 --> 01:03:10.894]  Join PrisonPlanet.tv.
[01:03:11.274 --> 01:03:13.015]  Burn the info bombs to disk.
[01:03:13.255 --> 01:03:15.056]  Put them on the file sharing networks.
[01:03:15.396 --> 01:03:16.817]  Bring down the New World Order.
[01:03:17.177 --> 01:03:18.578]  PrisonPlanet.tv.
[01:03:19.379 --> 01:03:22.240]  Hello, this is Tom with HempUSA.org.
[01:03:22.760 --> 01:03:29.945]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[01:03:30.485 --> 01:03:35.748]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family,
[01:03:36.226 --> 01:03:37.727]  The time to act is now!
[01:03:38.307 --> 01:03:44.652]  At HempUSA.org, we still believe that food will be your greatest asset in these trying times ahead.
[01:03:45.232 --> 01:03:51.717]  Please call 1-908-691-2608 and see what our powder seeds and oil can do for you.
[01:03:51.997 --> 01:03:54.319]  Beware, be smart, and be ready!
[01:03:54.799 --> 01:03:56.860]  Call 908-691-2608 or visit us at HempUSA.org.
[01:04:01.158 --> 01:04:06.980]  Families need this high quality natural food source for its low price and long storage shelf life.
[01:04:07.480 --> 01:04:11.042]  This incredible food source should be a staple part of your diet every day.
[01:04:11.442 --> 01:04:17.844]  Call 908-691-2608 or visit us at hempusa.org today.
[01:04:18.865 --> 01:04:20.685]  Government is best, which governs least.
[01:04:20.805 --> 01:04:22.226]  Wake up and smell the fascism.
[01:04:22.266 --> 01:04:25.187]  Being in government means never having to say you're sorry.
[01:04:25.307 --> 01:04:28.128]  What part of unconstitutional do you not understand, George?
[01:04:28.370 --> 01:04:31.051]  It's not who votes that counts, it's who counts the votes.
[01:04:31.571 --> 01:04:38.013]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[01:04:38.353 --> 01:04:46.156]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at LibertyStickers.com.
[01:04:46.436 --> 01:04:49.937]  LibertyStickers.com can even customize your own bumper stickers.
[01:04:50.117 --> 01:04:52.118]  It's time to stand up for what you believe.
[01:04:52.498 --> 01:04:53.518]  Invest in your freedom.
[01:04:53.758 --> 01:04:58.239]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[01:04:58.339 --> 01:05:00.500]  For a limited time, go to LibertyStickers.com.
[01:05:00.540 --> 01:05:02.480]  Just IMA the colors.
[01:05:02.520 --> 01:05:05.041]  With any purchase by entering the coupon code GCN.
[01:05:05.101 --> 01:05:10.502]  LibertyStickers.com is the place to go for custom stickers for your business or your political campaign.
[01:05:10.582 --> 01:05:13.883]  Go to LibertyStickers.com or call 877-873-9626 and express your freedom of speech today.
[01:05:18.812 --> 01:05:23.853]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:05:24.214 --> 01:05:26.534]  Because there's a war on for your mind.
[01:05:29.375 --> 01:05:36.117]  Okay, going right back to Cindy Sheehan, who's running for Congress against the traitor Nancy Pelosi.
[01:05:36.797 --> 01:05:39.038]  And it's almost even worse than being George Bush.
[01:05:39.058 --> 01:05:40.718]  You know, he's a warmonger.
[01:05:40.818 --> 01:05:41.759]  We know what he stands for.
[01:05:41.799 --> 01:05:42.559]  He didn't lie.
[01:05:43.039 --> 01:05:45.700]  Say he didn't want foreign entanglements like Clinton had done.
[01:05:46.440 --> 01:05:52.104]  Well, you know, I was in Norway last week when they did that press conference and I think that it's really important to support third party or independent candidates.
[01:06:14.648 --> 01:06:38.903]  I could really just walk into this office here in San Francisco if I would just endorse Barack Obama, but I'm not going to sell out my principles and I'm not going to sell out humanity to endorse somebody who I don't think will be good for the country or good for the world or really have any policies that differ from McPalin or the Bush administration.
[01:06:39.383 --> 01:06:43.946]  So I think that it was very important, it was very historic for
[01:06:44.571 --> 01:06:45.872]  It's beautiful to see this happening.
[01:06:45.932 --> 01:06:47.254]  But break that down for listeners.
[01:06:47.374 --> 01:06:48.715]  If you endorse Barack Obama,
[01:07:07.259 --> 01:07:20.048]  The party, I guess locally, has let you know that they might even let you take Pelosi's seat, or not try to block you, then be a shoe-in, because you're very, very popular, especially with people in the San Francisco area, but all across the country.
[01:07:21.209 --> 01:07:24.031]  But you can't support Obama, because then you'd be compromised.
[01:07:24.431 --> 01:07:28.834]  He is supporting and expanding the war, continuing the conflict.
[01:07:29.434 --> 01:07:32.977]  Well, you know, not only that, he is just
[01:07:34.034 --> 01:07:39.957]  A very conservative Democrat, and there's not very many things that he differs with on McCain.
[01:07:39.977 --> 01:07:46.241]  And yes, I have had pressure from even people on my own staff to come out and endorse Obama.
[01:07:46.881 --> 01:07:48.602]  And I'm not like Obama.
[01:07:48.642 --> 01:07:59.008]  I don't pander to people, and I don't change what I know is right in my heart to get votes, or to get money, or to go forward.
[01:07:59.108 --> 01:08:03.390]  If win or lose on November 4th, I'm going to win or lose with my integrity intact.
[01:08:04.033 --> 01:08:17.382]  And then we can, you know, just like Ron Paul, I don't agree with everything he says, but you know, he is a man of integrity and principle, and he won't sell out his principles for votes for money.
[01:08:17.582 --> 01:08:22.726]  And how successful was he in raising money and raising awareness over the primary season?
[01:08:23.226 --> 01:08:24.087]  So I think that
[01:08:25.307 --> 01:08:27.750]  People recognize and they want leadership.
[01:08:27.790 --> 01:08:31.155]  They want leadership with integrity and they want leadership with courage.
[01:08:31.375 --> 01:08:33.578]  Well, I want to bring up a tough subject.
[01:08:34.620 --> 01:08:36.082]  I was out in the countryside
[01:08:37.509 --> 01:09:04.483]  over the weekend visiting family and uh... some family was visiting and they were uh... some families visiting family that i was visiting were sitting around the dinner table and and one of them was aware that i like you and interviewed you and it's a you know military family most of them are in the military and he said well that she and lady you know she's got a right to say what she wants but what she did is make her son to death count for nothing
[01:09:05.760 --> 01:09:09.543]  She's taken away the sacrifice he made and I just said no.
[01:09:09.563 --> 01:09:34.759]  I don't want to speak for her but I would imagine that she would say that I'm trying to stop other people's sons and daughters from needlessly being killed and instead of him dying for a lie, dying in a fraud, I am making his memory stand out as a testament to the crimes that have been committed so that his life does mean something and so that he didn't die
[01:09:35.920 --> 01:09:40.141]  For a lie that, by the way, he didn't support and wrote to you in letters.
[01:09:40.521 --> 01:09:41.782]  Now, is that accurate?
[01:09:41.802 --> 01:09:43.162]  And I'm sure you can add something to it.
[01:09:43.362 --> 01:09:45.503]  Well, that's 100% accurate.
[01:09:45.583 --> 01:10:00.286]  You know, George Bush is the one who has abused our military and sent people over to die for lies, to kill innocent people for lies, to destroy a country for lies, or to be wounded for lies and deception.
[01:10:00.306 --> 01:10:02.767]  And, you know, it's not a reflection on
[01:10:03.297 --> 01:10:09.361]  Casey or the military is the reflection on the leadership that have done this.
[01:10:09.481 --> 01:10:12.203]  And I believe that Casey did die for nothing.
[01:10:12.623 --> 01:10:17.766]  You know, he died, he was killed by an Iraqi insurgent who wanted Casey out of his country.
[01:10:18.226 --> 01:10:29.974]  And I don't blame that Iraqi insurgent, I blame the system who sent Casey and his comrades to Iraq for no reason except for profit and imperial greed.
[01:10:30.512 --> 01:10:43.803]  So, you know, you answered it absolutely correct, and the reason I fight so hard is to make Casey's death count for something positive, but also for, you know, our children and grandchildren, so they won't have to go through this.
[01:10:43.883 --> 01:10:56.853]  Now, I'll be damned if I let the neocon elite, which Nancy Pelosi is part of that, send our country, or neoliberal, I think her and Obama's views would be more like neoliberal, allow them
[01:10:57.412 --> 01:10:57.692]  I think.
[01:11:10.086 --> 01:11:14.890]  I don't want him to grow up in the same kind of country that Casey grew up in.
[01:11:15.130 --> 01:11:15.591]  Absolutely.
[01:11:15.631 --> 01:11:25.379]  How do we ever get to the point where you're not supposed to question the government, you're not supposed to be involved, and we all know the greatest expression of patriotism is to engage in dissent.
[01:11:25.819 --> 01:11:32.465]  I mean, the vast majority of us are against the war, we were taken there over a lie, and they somehow, a million plus Iraqis are dead.
[01:11:32.485 --> 01:11:38.170]  This is an incredible Nazi-level crime, and then they just turn it around and say, oh, you hate America.
[01:11:39.031 --> 01:11:40.332]  I mean, this is incredible.
[01:11:40.412 --> 01:11:53.462]  Well, it's an absolute genocide, and the America that they love is an America that tortures people, imprisons people without, you know, habeas corpus, which has been a basic right for centuries.
[01:11:53.883 --> 01:11:57.485]  This is a country that buys on people without warrant.
[01:11:57.926 --> 01:12:05.892]  This is a country that is impoverishing people to increase the wealth in the bottom line of the
[01:12:06.300 --> 01:12:07.302]  Well, it certainly is.
[01:12:18.223 --> 01:12:24.025]  In fact, I mean, it's so asinine, the lie is so big, it's hard to even articulate it.
[01:12:24.745 --> 01:12:37.890]  I mean, to be butchering and systematically dismantling the entire Bill of Rights, the Constitution, everything good about this nation, everything that made us great, not that we've ever been perfect, but better than most, and then to claim that they're doing it for America.
[01:12:38.690 --> 01:12:41.371]  This is just more dirt if we don't have our morals.
[01:12:41.912 --> 01:12:57.360]  And we've had our name destroyed worldwide and then we're trying to salvage some of America and then they tell us we hate America because we love freedom and liberty and not attacking innocent countries and not killing a million two hundred thousand Iraqis in the last six years and
[01:12:58.547 --> 01:13:05.589]  Not torturing children and raping and the White House memos about torturing children.
[01:13:05.909 --> 01:13:08.590]  They're saying we're bad because we're against that.
