[00:00:02.142 --> 00:00:02.562]  Michael Hoffman.
[00:25:52.184 --> 00:25:53.545]  Do you agree with the statement I just made?
[00:25:54.548 --> 00:25:55.269]  Well, yes, I do.
[00:25:55.289 --> 00:25:59.652]  I would articulate it as not fighting with carnal weapons.
[00:26:00.332 --> 00:26:03.654]  We know from Oklahoma City that the system loves violence.
[00:26:03.734 --> 00:26:07.837]  They love that McVeigh and the conspiracy behind him attacked that building.
[00:26:07.877 --> 00:26:12.080]  Bill Clinton was able to add a number of Orwellian police state laws.
[00:26:12.140 --> 00:26:15.042]  And, of course, we know what happened with the 9-11 conspiracy.
[00:26:15.583 --> 00:26:18.725]  But I don't believe there's any quick fix to this, Alex.
[00:26:19.406 --> 00:26:43.056]  I believe that we need to organize, we need to build our communities, the reform starts with ourselves and our own lives with deep study and reflection, and then having organized be more a part of our own local communities, then together we can build on something which offers a pro-life alternative to this death system that they're imposing on us.
[00:26:43.536 --> 00:26:46.998]  And if I may, I wanted to give my website one more time, if that's alright.
[00:26:48.084 --> 00:26:52.673]  That's www.revisionisthistory.org.
[00:26:53.314 --> 00:26:55.718]  Now, I've been meaning to get you on for years.
[00:26:55.739 --> 00:26:56.941]  I don't know why I haven't, but here you are.
[00:26:56.961 --> 00:26:57.882]  We're gonna have you back up.
[00:26:59.326 --> 00:27:01.807]  It's just, take the example of Zionism.
[00:27:01.827 --> 00:27:04.427]  You know, you talk about how that's a core global system right now.
[00:27:04.767 --> 00:27:07.388]  Key to all of it, going right back to the roots of Egypt and Babylon.
[00:27:08.228 --> 00:27:15.290]  But then I find hundreds of times where Adam Gadon poses as Al-Qaeda, the ideal, you know, head's grandson of Adam Perlman.
[00:27:16.010 --> 00:27:20.791]  I see where they catch rabbis running white supremacist groups, British intelligence, German intelligence.
[00:27:21.171 --> 00:27:26.132]  And then I see all these groups who think they're fighting this, and when they fight it only on that front,
[00:27:26.832 --> 00:27:28.273]  They don't see the big picture of it.
[00:27:28.293 --> 00:27:29.014]  It's a system.
[00:27:29.054 --> 00:27:31.296]  It's like a river cuts a Grand Canyon.
[00:27:32.217 --> 00:27:33.078]  We're all in it.
[00:27:33.118 --> 00:27:37.322]  We're all connected to each other, and it's much bigger than just that group.
[00:27:37.382 --> 00:27:42.366]  And when I try to say, hey, it isn't one bank robber, it's ten bank robbers, but they're all
[00:27:43.187 --> 00:27:48.029]  I think that one of the viruses or memes that's been implanted in our ranks is that there is an enemy people.
[00:28:04.270 --> 00:28:09.539]  And whenever you go that way and I don't go that way, then you're falling into their snare.
[00:28:09.679 --> 00:28:12.484]  Because the enemy is not any group of people.
[00:28:12.544 --> 00:28:14.347]  The enemy is an ideology.
[00:28:14.487 --> 00:28:15.269]  It's a spirit.
[00:28:15.882 --> 00:28:17.624]  It's a spiritual ideology.
[00:28:17.764 --> 00:28:18.764]  It can affect you.
[00:28:18.965 --> 00:28:20.005]  It can infect me.
[00:28:20.146 --> 00:28:21.927]  It can infect any nation of people.
[00:28:22.467 --> 00:28:24.169]  No one is invulnerable to it.
[00:28:24.229 --> 00:28:25.690]  And science is now showing that.
[00:28:25.790 --> 00:28:31.635]  Monkeys in one research lab, five miles from another, if they can teach these monkeys, suddenly the other monkeys learn it.
[00:28:32.035 --> 00:28:34.017]  It's like a radio waves being broadcast.
[00:28:34.673 --> 00:28:45.342]  So much is undiscovered about the way that we are used, and more and more we're discovering how what was called magic in the past is actually science today.
[00:28:45.662 --> 00:28:55.550]  But I do want to advise people to stay away from targeting any population, whether it's the Khazars, the Judaics, the Israelis, the Palestinians, or the Arabs.
[00:28:56.011 --> 00:28:56.972]  They're not the issue.
[00:28:57.112 --> 00:28:59.654]  Everybody is capable of having good will.
[00:29:00.319 --> 00:29:01.820]  And of changing their lives.
[00:29:01.960 --> 00:29:04.162]  The enemy is an ideology.
[00:29:04.322 --> 00:29:05.003]  It's a spirit.
[00:29:05.023 --> 00:29:06.884]  And if we stick to that, we can win, Alex.
[00:29:07.385 --> 00:29:10.687]  And the globalists, this evil force, it recruits the intelligent.
[00:29:11.088 --> 00:29:13.930]  It recruits the creative.
[00:29:14.290 --> 00:29:18.193]  So that's why, at the highest places everywhere, you're going to find this spirit.
[00:29:18.414 --> 00:29:22.757]  Because if you take that spirit, you're giving the earth, just like the devil told Jesus on the mountain.
[00:29:24.078 --> 00:29:24.739]  Yes, that's true.
[00:29:25.470 --> 00:29:32.352]  All right, well we appreciate you joining us and we really appreciate the time and we'll talk to you next Friday.
[00:29:32.372 --> 00:29:34.613]  I'm going to have my producer call you in the next five minutes, sir.
[00:29:35.373 --> 00:29:35.714]  Thank you.
[00:29:35.754 --> 00:29:36.714]  I look forward to it, Alex.
[00:29:36.874 --> 00:29:37.154]  Thank you.
[00:29:37.174 --> 00:29:39.095]  He'll be with us two hours coming up.
[00:29:39.175 --> 00:29:39.815]  In fact, just stay there.
[00:29:39.835 --> 00:29:40.735]  I'd like to talk to you during the break.
[00:29:41.355 --> 00:29:43.016]  We'll be right back with another special guest.
[00:29:43.036 --> 00:29:43.456]  Stay with us.
[00:29:49.658 --> 00:29:50.458]  All right, I have Joseph.
[00:29:50.819 --> 00:29:54.840]  If you take that spirit, you're giving the earth, just like the devil told Jesus on the mountain.
[00:29:56.149 --> 00:29:56.830]  Yes, that's true.
[00:29:57.610 --> 00:29:57.991]  All right.
[00:29:58.031 --> 00:30:02.214]  Well, we appreciate you joining us, and we really appreciate the time.
[00:30:02.975 --> 00:30:04.496]  And we'll talk to you next Friday.
[00:30:04.516 --> 00:30:06.758]  I'm going to have my producer call you in the next five minutes, sir.
[00:30:07.479 --> 00:30:07.799]  Thank you.
[00:30:07.839 --> 00:30:08.820]  I look forward to it, Alex.
[00:30:09.040 --> 00:30:09.300]  Thank you.
[00:30:09.340 --> 00:30:11.242]  He'll be with us two hours coming up.
[00:30:11.322 --> 00:30:11.962]  In fact, just stay there.
[00:30:11.982 --> 00:30:12.883]  I'd like to talk to you during the break.
[00:30:13.504 --> 00:30:15.185]  We'll be right back with another special guest.
[00:30:15.205 --> 00:30:15.605]  Stay with us.
[00:30:21.450 --> 00:30:22.331]  We're on the march.
[00:30:22.811 --> 00:30:24.333]  The Empire's on the run.
[00:30:25.325 --> 00:30:28.130]  Alex Jones and the GCN Radio Network.
[00:30:32.998 --> 00:30:39.368]  Harness the power of nature's thunderstorm to make your home smell fresh and reduce the threat of MRSA black mold, bird flu and more.
[00:30:40.410 --> 00:30:46.396]  The EPA has stated that indoor air is up to five times more polluted than outdoors, causing 50% of all illnesses.
[00:30:46.676 --> 00:30:52.241]  Now you can protect your home and family with the world's best air purifier using technology developed for NASA.
[00:30:52.602 --> 00:31:03.212]  Our patented proven system eliminates up to 99.9% viruses, bacteria, molds, mildew and germs from surfaces and covers up to 3,000 square feet with no expensive filters to replace.
[00:31:03.852 --> 00:31:05.733]  Nothing else compares to our product.
[00:31:05.953 --> 00:31:11.535]  See the independent laboratory test proving our technology at tryfreshair.com slash safehome.
[00:31:11.755 --> 00:31:17.737]  Reduce airborne allergens and up to 99.9% of deadly MRSA, black mold, E. coli and more on surfaces.
[00:31:17.797 --> 00:31:20.518]  Go to tryfreshair.com slash safehome.
[00:31:20.538 --> 00:31:21.919]  Hi, this is Dave from Ready Reserve Foods.
[00:31:21.939 --> 00:31:26.945]  I have been waiting patiently for the government and mainstream media to inform you of what is turning out to be the biggest problem facing the world in the last 50 years.
[00:31:41.252 --> 00:31:46.536]  For the last three years, the Earth has consumed more food than it has been able to produce, and it has now finally caught up with us.
[00:31:46.856 --> 00:31:53.020]  In the U.S., commodities such as flour and rice are already being rationed, and the next rice crop won't be available for another four to five months.
[00:31:53.781 --> 00:32:00.426]  It's fall in the Southern Hemisphere, and many countries are short the food necessary to make it through the winter and have stopped exporting certain commodities altogether.
[00:32:01.206 --> 00:32:02.347]  Remember our trade deficit?
[00:32:02.787 --> 00:32:07.971]  Trillions of dollars have stacked up outside the country and are now rushing in to buy our food production at any price.
[00:32:08.624 --> 00:32:14.450]  By late summer, if not early fall, it is likely our government will step in and control food and food exports under martial law.
[00:32:15.031 --> 00:32:17.733]  Call Ready Reserve Foods at 1-800-453-2202 1-800-453-2202 or visit us at www.readyreservefoods.com
[00:32:29.386 --> 00:32:29.686]  1-800-453-2202.
[00:32:31.346 --> 00:32:34.108]  Are you concerned about the high cost of prescription drugs?
[00:32:34.448 --> 00:32:40.930]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:32:40.970 --> 00:32:42.991]  That's over 46% savings!
[00:32:43.331 --> 00:32:45.592]  The average savings for generic drugs was over 71%.
[00:32:47.473 --> 00:32:55.917]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page so you can get an idea of your discounted price before you enroll.
[00:32:56.217 --> 00:32:59.499]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:33:14.981 --> 00:33:17.244]  Joseph Stiglitz is our guest.
[00:33:17.984 --> 00:33:20.167]  New book out, The Three Trillion Dollar War.
[00:33:20.207 --> 00:33:22.389]  We had him on with us last January.
[00:33:22.429 --> 00:33:24.271]  We also interviewed him here in Austin for the TV show.
[00:33:24.912 --> 00:33:27.194]  And he said that within two and a half years,
[00:33:28.388 --> 00:33:36.815]  If the global financial order did not make some serious reforms, we would have the hyperinflation that could lead to a worldwide depression.
[00:33:37.436 --> 00:33:41.379]  And you can go to the websites, InfoWars.com, if you want to read that article from last year.
[00:33:41.399 --> 00:33:44.902]  He is a Nobel Prize winner in economics.
[00:33:45.563 --> 00:33:48.066]  He is a former World Bank Chief Economist.
[00:33:48.726 --> 00:33:53.671]  If I tried to go over his entire bio, it would take hours, but you can just Google Joseph Stiklitz.
[00:33:54.032 --> 00:33:56.714]  He's written quite a few best-selling books as well.
[00:33:56.734 --> 00:34:04.282]  The new one, The Three Trillion Dollar War, and that's just how much it costs now, not to mention our good name worldwide.
[00:34:05.243 --> 00:34:07.785]  And so I really appreciate Joseph Stiglitz joining us.
[00:34:08.086 --> 00:34:09.067]  Thank you for coming on, sir.
[00:34:09.087 --> 00:34:10.308]  Nice to be here.
[00:34:11.709 --> 00:34:23.159]  You were here about a year and four months ago, and you laid out in 20 minutes a forecast of what indeed happened, but we've gone about 90% near forecast.
[00:34:23.480 --> 00:34:28.164]  I'm hoping the rest of the 10% isn't correct and we don't have a depression in another two years.
[00:34:29.045 --> 00:34:30.286]  What do you see happening?
[00:34:31.269 --> 00:34:36.390]  Well, actually, the prospects of our economy right now are not very good.
[00:34:37.191 --> 00:34:42.492]  To some extent what happens depends on what the American government and other governments do.
[00:34:43.532 --> 00:34:50.614]  But right now, even the IMF, and I've often disagreed with the IMF, but right now I think they're on target.
[00:34:51.534 --> 00:35:03.822]  They are saying that the American economy is going to be very weak, not only this year but next year, and it won't be until 2010 before the economy really starts to show a recovery.
[00:35:04.963 --> 00:35:11.407]  Part of the problem is that the current administration has been doing too little too late.
[00:35:11.748 --> 00:35:18.512]  What they've been doing is not well designed, and the fundamentals of economic policy are that it takes a while
[00:35:19.369 --> 00:35:22.611]  Before any action that you take has full effect.
[00:35:22.671 --> 00:35:30.757]  So if this administration isn't going to do anything, it's going to be until the next administration comes into office.
[00:35:31.497 --> 00:35:38.202]  And that means that we won't begin to get the right medicine until the beginning of 2009.
[00:35:38.262 --> 00:35:42.885]  And that means we're talking about late 2009, 2010, before we start seeing really a solid recovery.
[00:35:50.658 --> 00:35:53.321]  Now, a lot of people thrown around the term depression.
[00:35:53.341 --> 00:35:54.602]  A lot of top economists have.
[00:35:54.642 --> 00:35:56.024]  You've used that term before.
[00:35:56.044 --> 00:36:01.910]  A depression, I guess, would be... I would be a little bit cautious about using that term.
[00:36:03.338 --> 00:36:16.363]  I think that we tend to reserve that for the Great Depression, or for the kind of situation that was in the island of Java in 1997.
[00:36:17.523 --> 00:36:32.148]  A breakdown, a collapse, starving, but I mean, a recession, you're the Nobel Prize winning economist, but tell me if I'm wrong, a recession is two continual quarters of zero growth, and then a depression would be how many quarters?
[00:36:32.968 --> 00:36:41.473]  Well, we usually think of a depression as really very strong negative growth for an extended period of time.
[00:36:42.554 --> 00:36:43.674]  But it doesn't make any difference.
[00:36:44.094 --> 00:36:46.516]  The fundamental question is whether the U.S.
[00:36:46.556 --> 00:36:52.439]  economy is going to be performing below its potential for an extended period of time.
[00:36:52.479 --> 00:36:57.542]  On that, I think there is almost unanimity now among economists.
[00:36:58.055 --> 00:37:06.560]  That we're looking towards an extended period of the economy operating below its potential.
[00:37:07.544 --> 00:37:19.251]  And there's a very simple reason, and part of the reason why there's a little bit of discussion, depression, is that the fundamental reason for this downturn is very similar to that of the Great Depression.
[00:37:20.032 --> 00:37:21.693]  Weaknesses in the financial system.
[00:37:22.993 --> 00:37:31.999]  The losses that the banks are incurring, the financial system incurring, are quite literally mind-boggling.
[00:37:33.220 --> 00:37:35.581]  We're talking about hundreds of billions of dollars.
[00:37:35.621 --> 00:37:37.042]  We've seen lots of write-offs.
[00:37:38.141 --> 00:37:44.486]  And the IMF estimates the total amount to be nearly a trillion dollars.
[00:37:45.707 --> 00:37:59.459]  And then there's that cascading effect as you have the bubble popping, everybody leveraged out in the western world, more and more housing crises with subprimes, more and more of all these instruments that are AAA rated.
[00:38:02.481 --> 00:38:15.171]  It's all leading towards, I mean you said here a year ago that, I mean you talked about the term depression, now you, I guess things are so serious you don't want to use that term.
[00:38:15.331 --> 00:38:27.260]  What I'm trying to understand here is how we could get out of this, where you see this, hey where do you see it going with the current management and the different
[00:38:28.201 --> 00:38:31.665]  The basic thing is that what happens to the financial sector is not unconnected.
[00:38:31.745 --> 00:38:33.647]  It's very closely connected with the real sector.
[00:38:33.747 --> 00:38:35.589]  Wall Street and Main Street are very closely linked.
[00:38:48.817 --> 00:38:53.402]  As is what's happening, the financial sector is having serious economic problems.
[00:38:54.042 --> 00:38:56.825]  It has no choice but to start raining in credit.
[00:38:57.566 --> 00:39:05.594]  If it's not making loans, individuals, households, firms can't do the investment that they would otherwise have done.
[00:39:06.135 --> 00:39:12.001]  As they cut back their economic activity, the whole economy slows down.
[00:39:12.781 --> 00:39:17.024]  And the whole thing just sort of unravels.
[00:39:17.464 --> 00:39:22.567]  And that's what we're beginning to see go through our economy going through.
[00:39:22.667 --> 00:39:27.250]  Now, you are absolutely right, and I've been talking about this actually now for several years.
[00:39:27.410 --> 00:39:34.595]  It was so clear that we faced a housing bubble, and that housing bubble was sustaining a consumption boom.
[00:39:35.876 --> 00:39:40.639]  Savings in the United States plummeted to zero, some quarters negative.
[00:39:41.199 --> 00:39:42.981]  It was clear that that was not sustainable.
[00:39:43.802 --> 00:39:44.742]  What was going on?
[00:39:45.003 --> 00:39:57.514]  Well, it's pretty simple and it's actually related to my book, The $3 Trillion War, where I argue that, in fact, there's not two issues in this campaign, but one, the war and the economy are very closely connected.
[00:39:58.134 --> 00:40:02.979]  The war was having a very negative effect on the economy for a variety of reasons that I spelled out.
[00:40:03.519 --> 00:40:06.462]  The Fed said we have to cover it up.
[00:40:07.263 --> 00:40:09.205]  Our job is to keep the economy going.
[00:40:10.106 --> 00:40:12.368]  And they did it in a very short-sighted way.
[00:40:13.129 --> 00:40:17.072]  They let loose a flood of liquidity and loose regulations.
[00:40:17.913 --> 00:40:23.499]  And what happened was it did cover up the negative effects of the war.
[00:40:24.329 --> 00:40:30.014]  But we were living on borrowed money and borrowed time, and a day of reckoning had to come.
[00:40:30.574 --> 00:40:33.917]  We couldn't predict when it was going to come, but we knew that it was going to come.
[00:40:33.937 --> 00:40:36.659]  So in layman's terms, how bad is it going to get?
[00:40:36.699 --> 00:40:49.609]  Because I've had the head of the New York Business School on, I've had all these other former Treasury policy heads, I've had the Shadow Stats people on about what real inflation is, like 15% now.
[00:40:50.070 --> 00:40:52.752]  Look at the food, look at the oil, look at the dollar plunging.
[00:40:53.172 --> 00:40:56.519]  And then Bush is out giving speeches saying we're not even in a recession.
[00:40:56.559 --> 00:41:02.430]  He said that two days ago at the SPP meeting, you know, on the North American integration.
[00:41:02.490 --> 00:41:03.151]  I mean, it's just...
[00:41:04.345 --> 00:41:09.809]  And, you know, the old cliche of, it's a recession if your neighbor's out of work, it's a depression if you're out of work.
[00:41:10.209 --> 00:41:27.141]  I mean, if half the Social Security check value has been cut in the last five years, compounded, and believe me, I know, I've got families on Social Security, if people are out of work, if I'm seeing more homeless people, if there's houses going, you know, all over the place going under, I mean, hell, this is just the beginning, Mr. Stiklitz!
[00:41:27.161 --> 00:41:27.982]  How bad is it going to get?
[00:41:28.968 --> 00:41:29.208]  Worse.
[00:41:29.809 --> 00:41:42.641]  I mean, we expect now, at least in the next year, about 2.2 million Americans will lose their homes, and with that, much of their life savings, many of these will lose their entire life savings.
[00:41:43.842 --> 00:41:50.149]  The forecast is that housing prices, already going down 10%, are probably going to go down another 10 to 20%.
[00:41:52.559 --> 00:42:05.007]  When that happens, we're not sure how many houses will be underwater, but numbers, 14-15 million households will have mortgages exceeding the value of their house.
[00:42:06.821 --> 00:42:11.143]  We're in for, very unlikely, a very bad time.
[00:42:11.183 --> 00:42:20.847]  Now, the President is trying to push the problems of the economy onto the next administration, just like he pushed the problem of the war onto the next administration.
[00:42:20.867 --> 00:42:29.571]  I think he'd hoped that the whole bubble wouldn't break until after November 2008, but it began to unravel in August 2007.
[00:42:30.652 --> 00:42:36.014]  Like so many other things in the last few years, they haven't gone quite according to plan.
[00:42:37.700 --> 00:42:44.802]  The big uncertainty, as I say, is what will be done.
[00:42:46.543 --> 00:42:49.083]  Let me tell you some of the things that need to be done.
[00:42:50.024 --> 00:42:51.024]  We need a stimulus.
[00:42:51.064 --> 00:42:56.585]  The President seems to think that a tax cut is the solution to all problems, particularly tax cuts for the rich.
[00:42:56.625 --> 00:43:01.887]  In fact, I would argue that our current problems actually began with the
[00:43:04.206 --> 00:43:08.391]  2001 tax cut, it actually set us on a wrong course.
[00:43:08.571 --> 00:43:16.000]  What about the argument that cutting taxes generally raises the general amount of tax receipts because it accelerates the economy?
[00:43:17.308 --> 00:43:23.753]  You know, that old idea of supply-side economics, it was totally discredited in the 80s, and you see it right now.
[00:43:24.194 --> 00:43:28.777]  The way that I was supposed to work it... But I thought increased spending, I mean, more money did come in.
[00:43:28.817 --> 00:43:30.799]  Well, let me try to go through the two sides of it.
[00:43:30.879 --> 00:43:38.105]  On the supply side, that's the traditional argument, is that it's supposed to encourage labor supply and savings.
[00:43:38.565 --> 00:43:39.946]  Well, it hasn't exactly done that.
[00:43:39.986 --> 00:43:41.487]  Savings has gone down to zero.
[00:43:41.507 --> 00:43:44.990]  I don't see how you can say that the tax cuts help savings.
[00:43:45.130 --> 00:43:46.031]  No, it's not the opposite, no.
[00:43:46.731 --> 00:43:53.596]  Uh, and labor force participation, which is the labor side, is weaker than it was in the 90s, so it hasn't worked.
[00:43:53.656 --> 00:44:04.323]  Now, on the demand side, it did help a little bit, but much, much less than would have been the case had we given a tax cut to lower middle-income Americans.
[00:44:04.363 --> 00:44:07.085]  We gave tax cuts to the very rich Americans.
[00:44:07.385 --> 00:44:08.065]  Oh, I agree.
[00:44:08.105 --> 00:44:11.086]  We need to slash taxes on the middle class.
[00:44:11.126 --> 00:44:16.687]  The problem is the blue collar folks think the middle class are the elite, Dr. Stiglitz.
[00:44:16.707 --> 00:44:18.068]  I mean, that's the larger issue.
[00:44:18.148 --> 00:44:27.290]  And I want to get into your book in the time we've got, in the 15 minutes we've got left before we end this at 58 after with you, sir, because it's a very powerful book.
[00:44:28.732 --> 00:44:40.014]  I saw the Financial Times of London about eight months ago say the headline that bigger institutional banks could stand to gain from all this, and that they all played the game of issuing liquidity.
[00:44:40.254 --> 00:44:49.756]  They bought real assets, they grabbed infrastructure, they grabbed different commodities, and then now governments are coming in, bailing that out, they're gobbling up more banks.
[00:44:50.076 --> 00:44:52.497]  The Federal Reserve is talking about taking over three federal
[00:44:53.277 --> 00:44:58.440]  Federal regulatory agencies, the private Fed, you know, more foxes watching the hen house.
[00:44:59.181 --> 00:45:19.153]  And so I also see a predatory capitalism, and I'm for capitalism but not the predatory crony type, here where it's not just a bunch of people screwing up, it's a bunch of reckless people that knew they could create a money bubble that they could use to literally buy the planet up with, and then we the people get left holding the bag with hyperinflation and with taxes to pay it back.
[00:45:20.193 --> 00:45:22.995]  Well, you know, you've identified one of the big problems.
[00:45:23.035 --> 00:45:27.798]  What we've been doing is we've been socializing risk and privatizing wealth.
[00:45:50.153 --> 00:45:50.574]  I think so.
[00:46:06.023 --> 00:46:17.633]  Bear Stearns shareholders walked off with over a billion dollars of money totally without paying a cent of insurance premium for the risk that taxpayers have picked up.
[00:46:17.693 --> 00:46:21.396]  I mean notice Bear Stearns got their bonuses right before all this happened.
[00:46:21.436 --> 00:46:23.218]  That was very suspicious.
[00:46:23.618 --> 00:46:25.140]  Was that used as a cover for
[00:46:25.660 --> 00:46:38.688]  JP Morgan Chase being in trouble that they grabbed Bear Stearns because there's talk that they were in trouble as well, and there are a lot of other brokerage houses that were in worse trouble than Bear Stearns, but I mean, that was very strange what happened there.
[00:46:39.529 --> 00:46:41.110]  Oh, I agree it was very strange.
[00:46:41.370 --> 00:46:54.218]  All I can say is that there's a lot of lack of transparency in the financial markets, and to be honest, we don't really know what is going on.
[00:46:54.338 --> 00:47:02.428]  Well, as you know, sir, in the last month, three big central bankers in Europe have said that in mid-March we narrowly avoided total financial collapse.
[00:47:02.488 --> 00:47:06.213]  Now, I know you're a very important person, Nobel Prize winner, former Chief Economist, World Bank.
[00:47:06.513 --> 00:47:10.077]  You don't want to freak people out or anything, but, I mean, on the good side,
[00:47:10.678 --> 00:47:19.104]  What, two or three years of recession, tell me if I'm wrong, and then we come out of it with some new bubble, and then we just kind of have some inflation.
[00:47:19.744 --> 00:47:24.527]  On the bad side, just war in the streets, starving people, running around with machine guns.
[00:47:24.587 --> 00:47:27.529]  I mean, the government's building FEMA camps, it's in the news.
[00:47:27.810 --> 00:47:29.791]  Bush has said he's gotten ready for martial law.
[00:47:30.111 --> 00:47:32.853]  I mean, I'm sure you're an educated guy, you've seen that in the news.
[00:47:33.173 --> 00:47:35.074]  The government's acting really weird right now.
[00:47:35.475 --> 00:47:40.538]  What are the chances of the good side, bad recession, bad side, depression, really bad side?
[00:47:40.538 --> 00:47:42.959]  Right now, the world is in a rather unusual situation.
[00:47:42.979 --> 00:47:45.620]  At the same time, we're facing one of the most troubling
[00:47:57.585 --> 00:47:58.125]  I think?
[00:48:17.549 --> 00:48:19.210]  Well, things are bad in the United States.
[00:48:19.270 --> 00:48:24.591]  We have to remember how much worse they are in most of the developing countries.
[00:48:26.972 --> 00:48:36.034]  They have to spend most of their money to get by on food and energy, and with food and energy prices soaring, they're having real trouble.
[00:48:36.094 --> 00:48:44.857]  And it's not a surprise that riots have been breaking out in many developing countries, and I anticipate to see more of that.
[00:48:46.252 --> 00:48:52.795]  And that just highlights the difficulty that the global economy is facing.
[00:48:52.875 --> 00:48:59.318]  Meanwhile, a few billion dollars could have fed these people, but instead, like your new book says, three trillion has been spent.
[00:48:59.358 --> 00:49:00.559]  So who are the real culprits?
[00:49:00.619 --> 00:49:03.080]  I mean, who are the bad guys in all of this?
[00:49:03.100 --> 00:49:05.701]  I mean, who are the main companies, the main individuals?
[00:49:05.741 --> 00:49:07.922]  We know it's bigger than George Bush, Mr. Stiglitz.
[00:49:08.082 --> 00:49:14.085]  Well, the point that you just made, I just want to emphasize, three trillion dollars is a lot of money.
[00:49:14.105 --> 00:49:14.825]  A lot of money.
[00:49:15.425 --> 00:49:25.022]  And if we expend that on helping people in the developing countries, helping America!
[00:49:26.180 --> 00:49:36.005]  I was just in Gary, Indiana, the city I was born in, and talking to the mayor, and he said, you know, three trillion dollars, we can't get three cents out of the federal government.
[00:49:37.046 --> 00:49:47.751]  Our city is decaying, schools need help, our road infrastructure filled with potholes, and we just can't get the money that we need to help revive our economy.
[00:49:47.791 --> 00:49:49.892]  And it's no-bid contracts to Dubai.
[00:49:49.932 --> 00:49:51.173]  Halliburton is even here now.
[00:49:52.093 --> 00:49:55.716]  Well, that is another part of the scandal.
[00:49:56.617 --> 00:49:58.599]  You asked who were the winners.
[00:49:58.619 --> 00:50:00.940]  There are actually only two winners in this war.
[00:50:01.281 --> 00:50:12.370]  The oil companies have made out fantastically with the soaring oil prices, but the real winners are the defense contractors, and number one on that is Halberton.
[00:50:12.430 --> 00:50:14.912]  Their stock price has almost tripled.
[00:50:15.752 --> 00:50:18.975]  In previous wars,
[00:50:20.176 --> 00:50:23.738]  There's been a sense of shared sacrifice.
[00:50:24.219 --> 00:50:26.220]  You send our young men and women off to fight.
[00:50:27.181 --> 00:50:30.303]  The rest of us make a contribution by paying taxes.
[00:50:31.324 --> 00:50:33.646]  There's an effort to make sure that there's no profiteering.
[00:50:34.166 --> 00:50:38.770]  Well, this is the first war in America's history that we put entirely on the credit card.
[00:50:39.130 --> 00:50:40.592]  And that's what Lee Iacocca said.
[00:50:40.632 --> 00:50:41.934]  Stay there, Joseph Stiklitz.
[00:50:42.034 --> 00:50:47.041]  The new book, ladies and gentlemen, bookstores everywhere will tell you about it.
[00:50:47.061 --> 00:50:51.947]  The $3 trillion war on the other side of this quick break with our guest.
[00:50:51.967 --> 00:50:53.990]  We'll have five minutes with him on the other side.
[00:50:54.030 --> 00:50:56.193]  Really appreciate him spending time with us today.
[00:51:00.273 --> 00:51:01.654]  Let me talk to him.
[00:51:01.734 --> 00:51:03.155]  ...taxes.
[00:51:03.395 --> 00:51:05.717]  There's an effort to make sure that there's no profiteering.
[00:51:06.217 --> 00:51:10.901]  Well, this is the first war in America's history that we put entirely on the credit card.
[00:51:11.261 --> 00:51:12.722]  And that's what Leon Koca said.
[00:51:12.762 --> 00:51:14.083]  Stay there, Joseph Stiklitz.
[00:51:14.163 --> 00:51:19.146]  The new book, ladies and gentlemen, bookstores everywhere will tell you about it.
[00:51:19.186 --> 00:51:24.050]  The $3 trillion war on the other side of this quick break with our guest.
[00:51:24.070 --> 00:51:26.111]  We'll have five minutes with him on the other side.
[00:51:26.151 --> 00:51:28.293]  Really appreciate him spending time with us today.
[00:51:31.423 --> 00:51:32.824]  It is a big idea.
[00:51:33.385 --> 00:51:36.968]  Of course, if that happens, we know it's a disaster.
[00:51:37.888 --> 00:51:38.749]  Well, that's what I'm saying.
[00:51:38.909 --> 00:51:40.110]  What do we do?
[00:51:40.771 --> 00:51:46.075]  I mean, if they continue the war, continue all the spending and it doesn't stop, doesn't that assure a depression?
[00:51:46.436 --> 00:51:50.419]  I mean, if they don't make the reforms now, then it seems like they're not going to make any of the reforms.
[00:51:51.500 --> 00:51:56.144]  Well, I think the good news is that we have democracy and
[00:51:58.044 --> 00:52:02.247]  I think there's enough anger about what is going on.
[00:52:03.247 --> 00:52:13.834]  The fact is that money that, you know, they've defended what they've done on the basis of a need for security, but actually our security is less.
[00:52:14.992 --> 00:52:16.192]  as a result of this war.
[00:52:16.512 --> 00:52:17.052]  Well, exactly.
[00:52:17.072 --> 00:52:22.433]  There weren't many real terrorists before, but now the army admits that it's been a factory creating them in Iraq.
[00:52:23.234 --> 00:52:23.734]  That's right.
[00:52:24.214 --> 00:52:26.174]  Al-Qaeda was not there in 2003.
[00:52:26.674 --> 00:52:28.435]  Now Al-Qaeda is there.
[00:52:28.455 --> 00:52:40.397]  Well, what about the asinine statement that, and we'll talk about this scenario when we get back, the asinine statement that Iran is Al-Qaeda, and then McCain just said to Petraeus last week in the testimony, isn't Iran Al-Qaeda?
[00:52:40.417 --> 00:52:41.617]  And Petraeus said, yes, they are.
[00:52:44.030 --> 00:52:45.631]  No, I mean, it's totally different.
[00:52:45.691 --> 00:52:51.092]  In fact, their perspectives on even Islam are totally different.
