[00:00:00.009 --> 00:00:00.309]  Big Brother!
[00:28:45.089 --> 00:28:47.770]  What it does not need is toxins.
[00:28:48.471 --> 00:28:58.497]  If you are eating conventional American food, what we call the Standard American Diet, or SAD, you are already eating weaponized food.
[00:28:58.982 --> 00:29:14.193]  I just published an article in one of our blog spots which you can get to by going to our main website healthfreedomusa.org and then clicking on the second button on the left which takes you to the Health Freedom blog.
[00:29:14.253 --> 00:29:28.284]  I just published an article today on the fact that the food supply already contains food grown from seeds which have been irradiated not to prevent
[00:29:29.120 --> 00:29:30.681]  I don't know.
[00:29:49.850 --> 00:30:00.378]  They mix it in the food supply and you're eating that mutated food that's different from genetic modification and if that isn't weaponizing food
[00:30:00.916 --> 00:30:02.898]  And I don't know what is.
[00:30:04.018 --> 00:30:04.779]  And they're open air.
[00:30:04.819 --> 00:30:05.539]  Can you speak to this?
[00:30:05.980 --> 00:30:07.481]  And then the General wants to come and pop in.
[00:30:08.622 --> 00:30:23.332]  They are open air planting thousands of varieties of x-rayed and gamma-rayed and cross-species plant varieties which are cousins to all these other plants and it's openly jumping in to all the other crops.
[00:30:23.392 --> 00:30:24.093]  That's on record.
[00:30:24.533 --> 00:30:25.233]  Absolutely.
[00:30:25.534 --> 00:30:26.174]  Absolutely.
[00:30:26.254 --> 00:30:27.255]  And they are also
[00:30:27.916 --> 00:30:38.560]  Openly, the United States Department of Agriculture is in the process, in these last lame-duck disastrous days of deregulating everything in the world that the U.S.
[00:30:38.580 --> 00:30:51.906]  government can, is in the process of essentially eliminating any controls or regulations on the outdoor growth and therefore the genetic mixing of genetically modified plants.
[00:30:51.926 --> 00:30:52.166]  Dear God!
[00:30:52.186 --> 00:30:52.606]  That means
[00:30:55.595 --> 00:31:18.207]  That, for instance, foods that are genetically altered to produce industrial chemicals or pharmaceuticals will be allowed to mix their DNA with everything else, not just other food crops of the same species, but food crops of other species and weeds, and they get into insects, and they get into animals that eat them that we eat.
[00:31:18.708 --> 00:31:21.809]  We're talking about food Armageddon.
[00:31:22.530 --> 00:31:22.710]  Now,
[00:31:23.365 --> 00:31:25.546]  That's not acceptable to me.
[00:31:25.606 --> 00:31:29.186]  We're talking about intentionally despoiling the Earth.
[00:31:29.666 --> 00:31:40.529]  And if anybody doubts that it's intentional, all they need to do is go to your data, Alex, or go to our data on our website, healthfreedomusa.org.
[00:31:40.869 --> 00:31:49.931]  We have something called the GMO files in our Health Freedom blog, and there's an abundance of truly horrifying independent science.
[00:31:50.393 --> 00:31:52.273]  This is designed to kill.
[00:31:52.393 --> 00:31:53.814]  This is designed to maim.
[00:31:53.874 --> 00:31:56.274]  This is designed to weaken the immune system.
[00:31:56.714 --> 00:31:59.515]  And this is designed to cause infertility.
[00:32:00.115 --> 00:32:04.436]  Now, if that's what you want for yourself, then that's fine.
[00:32:04.696 --> 00:32:05.296]  Do nothing.
[00:32:05.436 --> 00:32:07.316]  Continue to eat processed food.
[00:32:07.656 --> 00:32:16.118]  Continue to be a person with a slave mentality and be amused by the deceit of the mainstream media.
[00:32:16.158 --> 00:32:18.259]  Just to add a question here to both of you.
[00:32:20.914 --> 00:32:40.076]  I've had Nobel Prize winning geneticists on, I've had top scientists, I mean these are people that were running multi-billion dollar companies, and they'll talk about how if you change one gene in a rat, or one gene in a tomato, or one gene in a pig, it randomly, you get the change you want, but it randomly changes thousands of other things and they admit
[00:32:40.757 --> 00:32:49.387]  That the German studies killing the honeybees with just one form of GMO corn that has a pesticide grown naturally in it so other bugs won't eat it but the honeybees will.
[00:32:49.668 --> 00:32:56.035]  Then they feed us those pesticides that are secreted in the corn naturally as you know but for audience listening
[00:32:56.516 --> 00:33:00.298]  You know, they talk about global warming and climate change and world taxes.
[00:33:00.738 --> 00:33:07.841]  That's a red herring to divert everybody off of all the genetic manipulation of the very biosphere of the planet.
[00:33:07.861 --> 00:33:10.482]  I mean, when you say Armageddon, you're not kidding.
[00:33:10.863 --> 00:33:12.783]  Already most of the... I'm not kidding.
[00:33:13.104 --> 00:33:15.225]  Already most of the live oaks are dying in Texas.
[00:33:15.485 --> 00:33:16.485]  The bees are all dying.
[00:33:16.505 --> 00:33:17.526]  There's hardly any birds.
[00:33:17.566 --> 00:33:18.466]  Everything's dying.
[00:33:19.126 --> 00:33:19.547]  Go ahead.
[00:33:21.007 --> 00:33:23.108]  I wouldn't call it Armageddon.
[00:33:23.208 --> 00:33:24.689]  I would say that there's a war.
[00:33:25.379 --> 00:33:28.059]  I mean, this is a war that we're in.
[00:33:28.079 --> 00:33:33.420]  And as a war, you must take action.
[00:33:33.480 --> 00:33:40.322]  You cannot, you cannot sit back and not do anything unless you want to be a slave.
[00:33:40.982 --> 00:33:41.462]  Or dead.
[00:33:41.722 --> 00:33:43.302]  Yeah, well, they're not even wanting to enslave us!
[00:33:44.522 --> 00:33:45.262]  Choose.
[00:33:45.863 --> 00:33:46.803]  Slave or dead.
[00:33:46.923 --> 00:33:53.564]  Well, I think that in previous wars, the idea was to capture the population and
[00:33:54.691 --> 00:33:56.471]  Use it for your own purposes.
[00:33:56.692 --> 00:33:58.552]  This war... But they were called slaves.
[00:33:58.612 --> 00:33:59.492]  They were called serfs.
[00:33:59.572 --> 00:34:00.232]  You're right.
[00:34:00.292 --> 00:34:01.553]  They were called serfs.
[00:34:01.673 --> 00:34:02.813]  This is genocide, though.
[00:34:02.833 --> 00:34:04.993]  This war is a genocidal war.
[00:34:05.033 --> 00:34:13.595]  There will be a few serfs, but with mechanized labor-saving devices, with machines, with cyborgs.
[00:34:13.916 --> 00:34:15.676]  We don't need very many serfs.
[00:34:16.116 --> 00:34:23.258]  What they are going to want to do, and we were told this by a head of state whom we were treating in our practice.
[00:34:23.338 --> 00:34:24.118]  I mentioned this on
[00:34:24.625 --> 00:34:26.567]  The radio a couple of days ago with you, Alex.
[00:34:26.967 --> 00:34:47.723]  This woman is a head of state, and she said that she had been raised to believe that the useless leaders of the earth, that's us, our children, our friends, our family, our loved ones, were consuming their, that's the master classes, non-renewable resources.
[00:34:48.183 --> 00:34:51.746]  And I said, and therefore they had to be eliminated, and the time was coming
[00:34:52.148 --> 00:34:54.148]  When that would finally be accomplished.
[00:34:54.228 --> 00:34:54.788]  This was in 2002.
[00:34:57.049 --> 00:35:04.410]  I believe that we are now at that next phase and the tools have been put in place.
[00:35:04.930 --> 00:35:21.273]  The fear is being marshaled, managed and very much manipulated to quell the populace and the genocidal weaponization of food, of vaccines, of
[00:35:21.892 --> 00:35:33.142]  Medicine has all been put in place to enact this final cleansing so that we do not use up their non-renewable resources.
[00:35:33.162 --> 00:35:33.982]  Let me stop you there.
[00:35:34.803 --> 00:35:46.773]  Then people say, well, they're destroying the Earth's biosphere in the name of saving it, but they say, what you read earlier is what the head of Sun Microsystems and others have said, the elite plan to kill the majority of us and then have a small group
[00:35:47.614 --> 00:36:15.815]  With this whole technological system, this is the official UN plan, and I want the General to comment on it after you do, but my question here, that's why they're creating all the governmental seed banks, the ARCs, because they plan to release all these plagues, then quote, manage it, claiming they're fighting it, use that as the pretext to basically exterminate the majority of us, and then they think they're going to put the genie back in the bottle, but the geneticists and the engineers I talked to, they say it probably can't be put back in, so at the final equation,
[00:36:17.395 --> 00:36:25.198]  They are completely insane, though they are intelligently insane, with kind of a dark logic or... General, what would you call that?
[00:36:27.299 --> 00:36:28.219]  I'd call it stupid.
[00:36:33.420 --> 00:36:34.401]  It's very simple.
[00:36:34.641 --> 00:36:36.121]  You know, I'm a simple guy.
[00:36:37.102 --> 00:36:39.322]  I think that it's crazy.
[00:36:39.462 --> 00:36:43.404]  I mean, you know, food as a weapon is not new.
[00:36:45.329 --> 00:36:53.051]  You know, did a scorched earth policy during the Civil War when he was down in Georgia.
[00:36:53.491 --> 00:36:59.232]  He was trying to kill everybody inside, and he was killing the food.
[00:36:59.272 --> 00:37:00.533]  He was going to kill the people.
[00:37:00.813 --> 00:37:01.673]  I mean, that's what he did.
[00:37:02.353 --> 00:37:14.456]  So this is not new in terms of a way of waging war, except that this now, instead of just burning everything, this has
[00:37:15.307 --> 00:37:25.016]  Genetically modified ingredients which they don't even have a clue which way they're going to jump, which way they're going to go.
[00:37:25.096 --> 00:37:29.800]  We don't know except that we do know it is not going to be good.
[00:37:30.290 --> 00:37:32.151]  For what we, for our bellies.
[00:37:32.291 --> 00:37:41.496]  And they've done, and they've done, they've done, they've done tens of thousands of different ones, and some are going bad, some are going kind of sideways, none of it's good.
[00:37:41.516 --> 00:37:45.478]  And some are going to make people infertile so that there won't be any kids.
[00:37:45.898 --> 00:37:46.338]  Exactly.
[00:37:46.358 --> 00:37:56.303]  I hope all of your listeners, Alex, know about the Austrian study that was released about ten days ago, which shows, pardon me?
[00:37:56.583 --> 00:37:57.464]  Yeah, tell them about the mice.
[00:37:59.715 --> 00:38:13.105]  Two types of corn, NK-603 and MON-810, are ubiquitously approved, even in Europe, for animal feed and for human consumption.
[00:38:13.166 --> 00:38:17.549]  Now these corns, remember when food used to have names?
[00:38:17.629 --> 00:38:20.812]  Well, once it starts to have numbers, you're in big trouble.
[00:38:21.252 --> 00:38:27.437]  These patented types of corn cause infertility in mice.
[00:38:28.035 --> 00:38:29.976]  We're not very different from mice.
[00:38:30.436 --> 00:38:40.178]  If you'll notice, think about when your parents, or when you, if you're older than 20 or 30, started to have children.
[00:38:40.578 --> 00:38:44.760]  You and your friends all became pregnant pretty much when you wanted to.
[00:38:44.800 --> 00:38:56.783]  Well, at this point, the numbers of infertile couples, the number of people who have to go for fertility treatment or never do manage to become parents through biological means,
[00:38:57.287 --> 00:39:09.257]  The number of people who have huge reproductive problems is increasing rapidly, and if anybody thinks that's an accident, they really need to get their head out of the sand.
[00:39:11.082 --> 00:39:25.953]  Doctor, as you know, that's why the main guinea pig they use is mice and rats, because biologically they found that mice, rats, and pigs, with cross-spectrum drugs and tests, are the closest to our metabolic system.
[00:39:26.494 --> 00:39:34.379]  And so, conclusively, in a whole bunch of studies, it's sterilizing mammals that eat all sorts of GMO, and that's clearly being engineered into that.
[00:39:36.781 --> 00:39:45.928]  Now you've mentioned this out of state, and I know for confidentiality reasons you can't get into it, but specifically, flesh it out, was there anything else she said you haven't told us?
[00:39:47.829 --> 00:39:50.952]  Oh yes, she said a great deal that I haven't discussed.
[00:39:51.772 --> 00:39:56.276]  One of the things that she did was bring her children to me, these were grown children,
[00:39:56.880 --> 00:40:03.341]  To find out whether they had been conditioned through mind control techniques as she believed that she had been.
[00:40:03.381 --> 00:40:08.922]  Now remember, people say, well, she would know whether she was conditioned through mind control techniques.
[00:40:09.042 --> 00:40:09.882]  No, not at all.
[00:40:10.242 --> 00:40:17.584]  Because people have their awareness compartmentalized through the horrific processes that are used.
[00:40:18.064 --> 00:40:24.825]  And many of the things that we call satanic or ritual abuse are in fact mind control
[00:40:26.210 --> 00:40:41.077]  programs that are disguised in a quasi-religion of Satanism, which of course is no religion at all, but is really a political program designed to produce the desired effect in human behavior.
[00:40:41.117 --> 00:40:53.483]  Because after all, just as biology and life are not sacred to these people, so behavior and the essence of humanity that many people call the soul
[00:40:54.019 --> 00:40:55.420]  It's not sacred either.
[00:40:55.860 --> 00:41:01.003]  And people may say, my God, have they no limit to what they will invade and destroy?
[00:41:01.023 --> 00:41:02.544]  And the answer is no, they have no limit.
[00:41:02.664 --> 00:41:07.426]  Well, I've studied the globalists for a long time and what you're saying is their religion is betrayal.
[00:41:07.486 --> 00:41:12.529]  Their religion is defiling innocence and destroying beauty and hurting the order of things.
[00:41:12.589 --> 00:41:15.811]  They want to remake creation in their own image.
[00:41:16.111 --> 00:41:19.693]  General Stubblebine, I know it's all classified, you can't get into it, but you ran special forces.
[00:41:20.253 --> 00:41:21.354]  You brought that up.
[00:41:21.394 --> 00:41:22.875]  One of the things that very interestingly
[00:41:50.174 --> 00:41:50.795]  Came to me.
[00:41:51.555 --> 00:41:54.958]  I've got to go back into just a very quick bit of history.
[00:41:55.538 --> 00:42:10.009]  When I took over the Intelligence and Security Command, which was my final man, I actually had under me all of the Army's strategic intelligence forces around the world.
[00:42:10.710 --> 00:42:16.294]  Every one of the Army's strategic intelligence forces belonged to me, not the tactical, just the strategic.
[00:42:17.383 --> 00:42:22.467]  But during that period, our resources were going down and our requirements were going up.
[00:42:22.527 --> 00:42:27.051]  So what I did was I put together a thing I called the High Performance Task Force.
[00:42:27.812 --> 00:42:40.103]  Go out and find all of the things that would allow a person to work better, not longer, so that we could still meet our requirements.
[00:42:40.903 --> 00:42:45.187]  Well, out of that came some very fascinating things.
[00:42:45.698 --> 00:43:03.642]  One of which, and this is in this stupid book about staring at goats, one of that items was a thing which could be used if you stared at a goat, it could explode its heart.
[00:43:03.742 --> 00:43:05.342]  Stay there, stay there General.
[00:43:05.382 --> 00:43:07.202]  We've got to talk about, we've got to break.
[00:43:07.222 --> 00:43:07.982]  We'll be back in three minutes.
[00:43:08.002 --> 00:43:10.143]  We'll finish up with this powerful information.
[00:43:10.463 --> 00:43:10.863]  Stay with us.
[00:43:12.791 --> 00:43:14.292]  Alex Jones here with a question.
[00:43:14.472 --> 00:43:15.913]  What does humidity mean to you?
[00:43:16.233 --> 00:43:18.455]  Most people think of hot and sticky summer days.
[00:43:18.915 --> 00:43:23.638]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:43:24.038 --> 00:43:26.900]  That's why I'd like you to visit acolablue.com.
[00:43:27.240 --> 00:43:30.702]  Acolablue is a state-of-the-art atmospheric water generator.
[00:43:31.129 --> 00:43:43.142]  Producing purified drinking water from the humidity in the air, using reverse osmosis, and a five-stage carbon and UV light filtration system, which produces great tasting water at an unbeatable price.
[00:43:43.682 --> 00:43:45.705]  Finally, drinking water that you control.
[00:43:46.005 --> 00:43:47.006]  I use one every day.
[00:43:47.426 --> 00:43:49.829]  Say goodbye to expensive water delivery services.
[00:43:49.889 --> 00:43:50.609]  I think so.
[00:44:12.754 --> 00:44:19.136]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:44:19.496 --> 00:44:21.477]  The enemy struck America on September 11th.
[00:44:22.137 --> 00:44:23.177]  But who is the enemy?
[00:44:23.677 --> 00:44:24.217]  Bin Laden.
[00:44:24.478 --> 00:44:25.298]  This is his ammo.
[00:44:25.438 --> 00:44:26.778]  We have to look to the Middle East.
[00:44:26.838 --> 00:44:28.519]  We have to look to Osama Bin Laden.
[00:44:28.839 --> 00:44:35.601]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:36.001 --> 00:44:36.421]  Some U.S.
[00:44:36.461 --> 00:44:42.103]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:42.823 --> 00:44:46.304]  I'm aware that some Israeli citizens have been detained.
[00:44:46.324 --> 00:44:49.125]  Either you are with us, or you are with the terrorists.
[00:45:12.560 --> 00:45:17.302]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:45:17.642 --> 00:45:23.965]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[00:45:41.701 --> 00:45:45.383]  Call 908-691-8000 or visit hempusa.org today.
[00:46:03.396 --> 00:46:05.359]  So don't delay, call today!
[00:46:05.379 --> 00:46:08.284]  908-691-2608 and see what our powder, seeds and oil can do for you!
[00:46:16.883 --> 00:46:17.884]  Okay, General.
[00:46:18.804 --> 00:46:20.785]  You were tasked with studying all this.
[00:46:20.825 --> 00:46:21.985]  The Russians were studying it.
[00:46:22.746 --> 00:46:30.450]  So there at Fort Bragg and other places, you had gotten up to the point about some of the experiments with animals.
[00:46:31.010 --> 00:46:32.030]  Please continue, sir.
[00:46:32.410 --> 00:46:42.555]  What I was talking about was that I had put together this high-performance task force to try to figure out how we could cope with the lack of resources and more requirements.
[00:46:44.386 --> 00:46:48.087]  Many, many different kinds of things, you know, appeared on my desk.
[00:46:48.407 --> 00:46:54.688]  One of which was this ability to use the mind to stare at an animal.
[00:46:54.828 --> 00:46:56.769]  It doesn't need to be a goat, but an animal.
[00:46:57.389 --> 00:47:02.190]  And with mental power, explode the heart.
[00:47:02.970 --> 00:47:06.711]  Well, that was not my responsibility.
[00:47:06.871 --> 00:47:13.973]  My responsibility, and I got to underscore this, Alex, my responsibility was the intelligent side of this thing.
[00:47:15.185 --> 00:47:19.588]  Going out and exploding somebody's heart is the operational side.
[00:47:19.748 --> 00:47:24.511]  That's the G3 instead of the G2 in military policy.
[00:47:25.492 --> 00:47:27.433]  My responsibility was intelligence.
[00:47:27.793 --> 00:47:44.064]  So when this thing appeared on my desk, and it did, there's no doubt about that, what I did was I took it to the Special Forces folks to say, here, this is a technology that you probably need
[00:47:44.699 --> 00:47:45.459]  I think so.
[00:47:45.479 --> 00:47:46.060]  I think so.
[00:48:13.012 --> 00:48:13.432]  Did it work?
[00:48:13.452 --> 00:48:14.472]  I mean is that classified?
[00:48:14.492 --> 00:48:14.753]  I don't know.
[00:48:38.303 --> 00:48:39.263]  I really don't know.
[00:48:39.703 --> 00:48:39.983]  Do I?
[00:48:40.003 --> 00:48:40.043]  No.
[00:48:41.064 --> 00:48:42.984]  Let me turn it a different way.
[00:48:43.724 --> 00:48:44.865]  Do I believe it worked?
[00:48:45.165 --> 00:48:45.425]  Yes.
[00:48:46.665 --> 00:48:48.106]  Do I know that it worked?
[00:48:48.426 --> 00:48:48.706]  No.
[00:48:48.906 --> 00:48:55.248]  Because I never tried it myself and I never saw any goat that ended up dead.
[00:48:56.908 --> 00:49:02.309]  However, I did see a number of testimonials that said that that worked.
[00:49:02.469 --> 00:49:03.110]  From the Army?
[00:49:04.310 --> 00:49:04.410]  Yep.
[00:49:05.157 --> 00:49:06.638]  Special Forces said it was working.
[00:49:06.998 --> 00:49:22.327]  They're not normally the type to just make things up internally, but I mean the point is, this has been on the TV, on mainstream TV, that the Russians believed all this, and is that, I know you can't get into intelligence, but I would imagine that's where this intelligence came from, so the Army tested it and tried to see if it was real.
[00:49:24.168 --> 00:49:29.271]  Well, incidentally, I don't have any problem believing that it worked.
[00:49:30.491 --> 00:49:33.273]  I do have, I cannot say that,
[00:49:33.792 --> 00:49:36.793]  Because I have no direct information.
[00:49:36.893 --> 00:49:41.315]  I wasn't there, I didn't see it, I haven't seen one explode.
[00:49:42.376 --> 00:49:49.199]  So, other than testimonials, I don't know capability.
[00:49:49.259 --> 00:49:50.820]  But Bragg is saying it worked.
[00:49:53.201 --> 00:49:53.441]  Yes.
[00:49:54.141 --> 00:49:56.242]  Or at least that's my understanding, yes.
[00:49:57.762 --> 00:49:59.763]  Well, we've kind of gotten off the track there, but that's interesting.
[00:49:59.803 --> 00:50:05.265]  So that gets into what these elites believe and some of the things that's going on just in that little window that you saw into.
[00:50:05.285 --> 00:50:06.886]  We're going to break and start the final hour.
[00:50:06.906 --> 00:50:12.088]  I want to get into solutions with you guys and why you guys have moved to Panama.
[00:50:12.128 --> 00:50:17.770]  You're trying to teach folks how to grow organically, then export the technology all over the world so people can get ready.
[00:50:18.290 --> 00:50:20.171]  Dr. Labo has talked a lot about this.
[00:50:21.532 --> 00:50:25.694]  You guys had a very successful practice in all sorts of organizations and foundations here in the U.S.
[00:50:26.055 --> 00:50:31.738]  So I'll ask you when we get back in one minute or 70 seconds, technically, why you decided to go down to Panama.
[00:50:32.119 --> 00:50:35.541]  Last time I talked to you a year ago or so, you guys were still coming back to the U.S.
[00:50:35.561 --> 00:50:35.801]  some.
[00:50:35.841 --> 00:50:36.502]  Now you're not.
[00:50:36.942 --> 00:50:43.486]  And we've got to talk about what happened at the Codex Alimentarius meeting a few months ago that you covered in Europe as well.
[00:50:43.566 --> 00:50:47.489]  So our amazing guest with us for one more hour straight ahead.
[00:50:47.809 --> 00:50:50.651]  Healthfreedomusa.org is their website.
[00:50:50.811 --> 00:50:53.675]  Thank you for listening to GCN.
[00:50:53.695 --> 00:50:54.976]  Visit GCNlive.com today.
[00:51:03.032 --> 00:51:05.574]  Terror Storm, a history of government-sponsored terror.
[00:51:05.895 --> 00:51:07.176]  Loose Change Final Cut.
[00:51:07.456 --> 00:51:09.458]  Endgame, blueprint for global enslavement.
[00:51:09.618 --> 00:51:11.359]  The true story of the Bilderberg Group.
[00:51:11.520 --> 00:51:12.741]  The late, great USA.
[00:51:13.001 --> 00:51:14.422]  America, freedom to fascism.
[00:51:14.762 --> 00:51:21.608]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:51:21.788 --> 00:51:25.712]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:51:25.872 --> 00:51:29.215]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:51:29.555 --> 00:51:30.036]  We're good to go.
[00:51:49.549 --> 00:51:59.792]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:52:00.152 --> 00:52:01.692]  Join the info war today!
[00:52:05.493 --> 00:52:07.394]  Waging war on corruption!
[00:52:07.854 --> 00:52:10.655]  Alex Jones on the GCM Radio Network!
[00:52:24.184 --> 00:52:34.388]  All right, we're now into the final hour of this quick five-minute segment, but a long segment, coming up with both of our guests joining us.
[00:52:34.808 --> 00:52:41.251]  My website's InfoWars.com, of course, PrisonPlanet.com, JonesReport.com, their site's HealthFreedomUSA.org.
[00:52:41.371 --> 00:52:43.091]  We're going to put that up on the screen.
[00:52:43.652 --> 00:52:47.833]  Again, we're now live at PrisonPlanet.tv, been live for the last 55 minutes.
[00:52:50.740 --> 00:52:56.004]  And we are talking to Major General Albert Burt N. Stubblebine, the third U.S.
[00:52:56.044 --> 00:52:56.704]  Army retired.
[00:52:56.724 --> 00:52:59.266]  You can read his bio at healthfreedomusa.org.
[00:52:59.666 --> 00:53:04.690]  And his wife, Rima E. LeBeau, M.D., graduate of Albert Einstein College of Medicine.
[00:53:06.272 --> 00:53:07.373]  There's so much to get into.
[00:53:07.854 --> 00:53:12.277]  Perhaps we should get a report from you guys about going to Codex Alimentarius' U.N.
[00:53:12.297 --> 00:53:15.659]  meeting and what it is and how they're trying to block our access.
[00:53:15.859 --> 00:53:16.459]  Here's an example.
[00:53:16.660 --> 00:53:20.522]  Toronto bans bottled water sales, but junk sodas remain legal.
[00:53:21.203 --> 00:53:22.063]  That's natural news.
[00:53:22.123 --> 00:53:24.805]  Mike Adams, that you guys work some with, another great guy.
[00:53:26.967 --> 00:53:29.669]  Again, if they can ban bottled water, they can start banning other foods.
[00:53:30.149 --> 00:53:31.810]  This is setting precedence.
[00:53:31.850 --> 00:53:32.971]  Tell us what's going on with that.
[00:53:34.738 --> 00:53:44.143]  Well, what's going on with that is that Codex Alimentarius is designed to make it impossible to get healthy food anywhere.
[00:53:44.763 --> 00:53:48.685]  And the reason that we came to Panama is directly related to that.
[00:53:48.865 --> 00:54:01.091]  And indeed, General Stubblebine and I have been met at gunpoint in a public meeting, a Codex Alimentarius Commission meeting, which is their annual big meeting where they ratify the harm
[00:54:01.533 --> 00:54:01.813]  That's good.
[00:54:18.743 --> 00:54:21.144]  She's talking about when they came to get us.
[00:54:21.504 --> 00:54:25.004]  And this is not something that other observers were treated to.
[00:54:25.024 --> 00:54:25.925]  None.
[00:54:26.385 --> 00:54:26.645]  None.
[00:54:26.945 --> 00:54:28.685]  We were sequestered.
[00:54:29.505 --> 00:54:46.069]  The main meeting room had about 180 empty seats and we were in the fourth floor gallery way up above with a guard at the door and anytime either one of us tried to go to the bathroom or to get lunch or whatever, we were followed by the guards.
[00:54:46.476 --> 00:54:46.616]  Okay.
[00:55:01.795 --> 00:55:03.877]  To ordinary unarmed citizens?
[00:55:03.917 --> 00:55:11.883]  There were only a hundred extra seats, and we were told that there were no extra seats, so we had to go to the upper balcony.
[00:55:11.923 --> 00:55:15.706]  But why did they choose to do that, to perpetrate that lie?
[00:55:15.747 --> 00:55:18.329]  Well, obviously because we're being very, very effective.
[00:55:18.389 --> 00:55:28.517]  Now, at the last Codex meeting that we attended, we were able to galvanize the African nations in their
[00:55:30.342 --> 00:55:38.609]  Their opposition to having GM food and feed brushed down their throats to kill them, to sterilize them, and so on, because they know the score.
[00:55:39.890 --> 00:55:55.043]  Tragically, the last Codex meeting that we wanted to attend, which was in South Africa at the beginning of November, dealt very much with the issue of genetically modified food and toxins for babies and for sick people.
[00:55:55.784 --> 00:55:58.086]  And when we have attended these meetings,
[00:55:58.430 --> 00:56:15.082]  We've been able to achieve striking positive forward movement like banning fluoride from formula for normal infants through our efforts at the same committee meeting in Thailand two years ago.
[00:56:15.562 --> 00:56:22.307]  That was an incredible victory that was brought about by presenting science and by using the
[00:56:23.163 --> 00:56:37.414]  Coalition of the Unwilling that we have spent years creating at this last meeting of the same committee, the Committee on Nutrition and Foods for Special Dietary Uses, that was meeting in November in South Africa that I mentioned, we weren't there.
[00:56:37.754 --> 00:56:38.815]  Why weren't we there?
[00:56:39.295 --> 00:56:51.484]  Because the economic crisis had hit and our donations had plummeted to the point where we literally could not afford the airfare, we could not afford the hotel, we could not afford
[00:56:52.020 --> 00:56:59.283]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:56:59.383 --> 00:57:01.344]  The enemy struck America on September 11th.
[00:57:22.307 --> 00:57:23.348]  But who is the enemy?
[00:57:23.848 --> 00:57:24.388]  Bin Laden.
[00:57:24.648 --> 00:57:25.669]  This is his M.O.
[00:57:25.689 --> 00:57:26.950]  We have to look to the Middle East.
[00:57:27.010 --> 00:57:28.711]  We have to look to Osama Bin Laden.
[00:57:29.011 --> 00:57:35.755]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:57:36.155 --> 00:57:36.595]  Some U.S.
[00:57:36.635 --> 00:57:42.319]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:57:42.999 --> 00:57:46.442]  I'm aware that some Israeli citizens have been detained.
[00:57:46.462 --> 00:57:49.284]  Either you are with us, or you are with the terrorists.
[00:58:12.797 --> 00:58:15.178]  David J. Smith for Newswatch Magazine.
[00:58:15.819 --> 00:58:20.061]  Did you know that the United Nations has never fulfilled its sole goal for existing?
[00:58:20.622 --> 00:58:21.842]  Maintaining world peace?
[00:58:22.423 --> 00:58:23.343]  Do you know why?
[00:58:23.523 --> 00:58:25.865]  Everywhere they've been involved, it becomes worse.
[00:58:26.425 --> 00:58:30.708]  You can call for a free one-year subscription to Newswatch Magazine by calling 1-800-516-8736.
[00:58:30.728 --> 00:58:30.968]  That's 1-800-516-8736.
[00:58:30.988 --> 00:58:31.188]  Call now.
[00:58:42.558 --> 00:58:44.920]  David J. Smith for Newswatch Magazine.
[00:58:45.600 --> 00:58:51.804]  Did you know the rogue nations and terrorist organizations have been purchasing suitcase nuclear bombs on the black market?
[00:58:52.585 --> 00:58:53.985]  Will they use them on America?
[00:58:54.546 --> 00:59:00.530]  You can receive an absolutely free one-year subscription to Newswatch Magazine by calling our toll-free number 1-800-516-8736.
[00:59:00.550 --> 00:59:01.310]  That's 1-800-516-8736.
[00:59:12.537 --> 00:59:15.960]  Free yourself from expensive cable and satellite fees.
[00:59:16.140 --> 00:59:18.021]  Control what you want to see.
[00:59:18.101 --> 00:59:25.386]  GCN listeners, now you can transform your living room's HDTV into a virtual war room command center with ZV.
[00:59:25.506 --> 00:59:31.591]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all of your HDTVs.
[00:59:31.811 --> 00:59:37.115]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows.
[00:59:37.987 --> 00:59:44.593]  Anything that can be viewed in your PC can be controlled from your couch with a ZV remote with its built-in mouse touchpad.
[00:59:44.673 --> 00:59:54.362]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more in HD and all just a click away.
[00:59:54.462 --> 00:59:57.605]  With ZV there are no subscription or download fees.
