[00:00:00.049 --> 00:00:00.389]  Watch it.
[00:22:11.763 --> 00:22:16.527]  It'll just kind of be a haze and everything will be fine for you, my friend.
[00:22:16.943 --> 00:22:17.804]  That's probably the best move.
[00:22:17.844 --> 00:22:18.965]  I'll quit being sarcastic.
[00:22:19.265 --> 00:22:22.287]  We're going to break, come back and talk to Mike, Don, and many others.
[00:22:22.307 --> 00:22:29.073]  Then I'm going to get more into Fox News' contributor, Coulter, saying, quote, Hillary's our girl!
[00:22:29.573 --> 00:22:30.273]  Yeah!
[00:22:30.414 --> 00:22:32.095]  Hillary Clinton, she's good!
[00:22:32.355 --> 00:22:34.657]  How many times did I tell you you'd see it happen?
[00:22:35.117 --> 00:22:38.840]  Full Fox News Pentagon machinery behind the Clintonistas.
[00:22:39.421 --> 00:22:42.263]  Then, Bloomberg Financial News.
[00:22:43.846 --> 00:22:48.608]  One of their top strategists saying buy seed fertilizer a home in the country.
[00:22:49.988 --> 00:22:52.329]  Get ready for total depression.
[00:22:52.389 --> 00:22:53.489]  I don't know how that's going to happen.
[00:22:54.469 --> 00:22:55.950]  I just know that we're going to cover it.
[00:22:56.050 --> 00:23:00.371]  We'll be right back.
[00:23:00.471 --> 00:23:01.952]  Hi, this is Brother Michael Diamond.
[00:23:02.292 --> 00:23:07.793]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:23:08.274 --> 00:23:11.815]  Find out how this massive crisis concerning the Catholic Church happened.
[00:23:12.235 --> 00:23:12.775]  What happened?
[00:23:13.135 --> 00:23:16.217]  And how the Bible predicted it would take place in the last days.
[00:23:16.697 --> 00:23:20.339]  The package contains six DVDs that contain ten different programs.
[00:23:20.660 --> 00:23:24.262]  Two books that combined are over a thousand pages in other information.
[00:23:24.582 --> 00:23:27.704]  Order now at our website mostholyfamilymonastery.com.
[00:23:27.924 --> 00:23:31.886]  That's mostholyfamilymonastery.com.
[00:23:32.166 --> 00:23:36.029]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y.
[00:23:36.409 --> 00:23:37.049]  Or call us at 1-800-275-1126.
[00:23:40.251 --> 00:23:44.913]  That's 1-800-275-1126 or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:23:45.013 --> 00:23:48.915]  The total cost for this massive package of information is only $10.
[00:23:48.955 --> 00:23:50.796]  $15 for UPS ground or $30 outside the U.S.
[00:24:00.367 --> 00:24:00.867]  I don't know.
[00:24:15.998 --> 00:24:16.718]  I think so.
[00:24:43.032 --> 00:24:44.033]  Honey, I'll be right back.
[00:25:02.719 --> 00:25:05.560]  Brittany, your husband looks so good tonight.
[00:25:05.740 --> 00:25:07.421]  I just worry about his high blood pressure.
[00:25:07.601 --> 00:25:09.162]  He gets uptight so easily.
[00:25:09.382 --> 00:25:09.782]  I know.
[00:25:10.043 --> 00:25:13.184]  My Gary has high blood pressure and high cholesterol.
[00:25:13.304 --> 00:25:15.165]  I always think about the what if.
[00:25:15.525 --> 00:25:16.085]  I know.
[00:25:16.325 --> 00:25:19.687]  Ladies, you need to get your husband's Coco Pure Chocolate Tea.
[00:25:19.827 --> 00:25:20.768]  Chocolate tea?
[00:25:20.848 --> 00:25:21.868]  That sounds delicious.
[00:25:21.968 --> 00:25:23.689]  The information is all over the news.
[00:25:23.929 --> 00:25:32.073]  Coco without the high fat and an extract from red wine are both shown to have health benefits, including supporting healthy blood pressure and cholesterol levels.
[00:25:32.513 --> 00:25:35.616]  See, I told you chocolate was good for us.
[00:25:35.656 --> 00:25:38.058]  To try CocoPure risk-free, call 1-800-457-9914.
[00:25:40.420 --> 00:25:45.524]  CocoPure contains a red wine extract and pure cocoa, and is natural and healthy for anyone.
[00:25:45.644 --> 00:25:51.329]  CocoPure is especially recommended for those with high blood pressure, high cholesterol, or a family history of heart disease.
[00:25:51.509 --> 00:25:53.931]  Call now for your delicious risk-free trial.
[00:25:54.091 --> 00:25:54.371]  Call 1-800-457-9914.
[00:25:54.391 --> 00:25:54.631]  That's 1-800-457-9914.
[00:26:00.646 --> 00:26:02.047]  It is a big idea.
[00:26:02.067 --> 00:26:04.168]  A new world order.
[00:26:04.888 --> 00:26:09.130]  In the near future, Earth is dominated by a powerful new government.
[00:26:09.791 --> 00:26:12.572]  It's known as the Bilderberg Group.
[00:26:12.592 --> 00:26:14.853]  Could their objective be world domination?
[00:26:15.394 --> 00:26:17.775]  For thousands of years, their dark order grew.
[00:26:18.570 --> 00:26:25.956]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:26:28.918 --> 00:26:33.882]  For the first time in history, the elite's plan for world government is blown wide open.
[00:26:34.382 --> 00:26:37.823]  You will learn the secret that drives the entire New World Order agenda.
[00:26:38.243 --> 00:26:40.744]  Bill Burgess makes great progress for the world government.
[00:26:40.804 --> 00:26:41.944]  Most people have no idea.
[00:26:41.984 --> 00:26:42.724]  They're not after money.
[00:26:42.744 --> 00:26:43.825]  They have all the money they need.
[00:26:44.005 --> 00:26:44.765]  They're after power.
[00:26:44.985 --> 00:26:46.025]  That's what they're after.
[00:26:46.145 --> 00:26:50.687]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:26:50.907 --> 00:26:54.348]  Or watch it online right now at PrisonPlanet.tv.
[00:26:54.448 --> 00:26:55.248]  Endgame.
[00:26:55.628 --> 00:26:57.328]  Blueprint for global enslavement.
[00:26:57.669 --> 00:26:58.809]  You have been warned.
[00:27:02.179 --> 00:27:11.704]  Thank you for listening to GCN.
[00:27:11.724 --> 00:27:13.485]  Visit GCNlive.com today.
[00:27:15.045 --> 00:27:20.628]  Welcome back, ladies and gentlemen, on this Super Sunday, Super Bowl broadcast.
[00:27:22.449 --> 00:27:24.730]  Super Tuesday is coming up in about two and a half days.
[00:27:25.230 --> 00:27:26.071]  Really a day and a half.
[00:27:28.052 --> 00:27:28.492]  Tuesday.
[00:27:30.128 --> 00:27:31.850]  We're going to get into some of that election news.
[00:27:31.990 --> 00:27:36.213]  I know that we have Mike, Don, Andrew, Blake, and many others that are patiently holding.
[00:27:36.273 --> 00:27:44.841]  Remember to join us at 877-590-5525 or if you're listening to us off the Mothership Station, we transmit out of the stations across the country, 836-0590.
[00:27:49.639 --> 00:27:51.540]  Let's get into some economic news first.
[00:27:51.560 --> 00:27:58.642]  There's a lot of it, so I'm going to get into Part 2 of this later, and then I want to get into the nanny state and just what life's going to be like underneath this New World Order.
[00:27:58.662 --> 00:28:00.102]  You think the government's in your business now.
[00:28:00.563 --> 00:28:04.964]  You ain't seen nothing yet, and the Republicans are openly merging with the Democratic Party.
[00:28:05.004 --> 00:28:10.006]  Now they were always joined at the hip the last 30, 40 years, but now it's going to become a lot more public for you.
[00:28:10.026 --> 00:28:12.767]  Here's a story I mentioned the last few days.
[00:28:12.787 --> 00:28:14.687]  You know, I have a weekday show that I hadn't got into.
[00:28:15.087 --> 00:28:16.828]  This is Bloomberg News reporting.
[00:28:17.748 --> 00:28:21.630]  I'm going to get this guy on.
[00:28:22.630 --> 00:28:29.293]  He is one of the partners and chief global strategist at Morgan Stanley.
[00:28:29.433 --> 00:28:33.495]  Chief global strategist at one of the big five firms.
[00:28:35.136 --> 00:28:37.277]  And this is in Bloomberg Financial.
[00:28:37.797 --> 00:28:39.438]  Bigs tip for rich.
[00:28:39.498 --> 00:28:40.198]  Expect war.
[00:28:42.168 --> 00:28:46.590]  And he goes on to say, uh, Barton Biggs has some offbeat advice for the rich.
[00:28:46.690 --> 00:28:47.190]  It's offbeat.
[00:28:47.730 --> 00:28:56.633]  Insure yourself against war and disaster by buying a remote farm or ranch and stocking it with seed, fertilizer, canned food, wine, medicine, clothes, etc.
[00:28:57.153 --> 00:29:00.454]  And I would just add, not because it's going to happen, because there's a good chance it will.
[00:29:01.055 --> 00:29:02.455]  If there's any chance it will, you should.
[00:29:02.495 --> 00:29:06.737]  That's why I've got two alternate locations to go to.
[00:29:06.837 --> 00:29:07.397]  Do you?
[00:29:08.537 --> 00:29:10.758]  It's not expensive to buy four or five acres somewhere.
[00:29:11.189 --> 00:29:18.714]  Even if you don't have a lot of money, just quit eating fast food and buying baubles and junk so you can strut around acting cool with other yuppie neighbors and you can prepare yourself.
[00:29:20.315 --> 00:29:22.217]  And it goes on to say, you need to have guns.
[00:29:22.357 --> 00:29:30.943]  A few rounds over the approaching brigade's heads would probably be a compelling persuader that there are easier farms to pillage.
[00:29:31.283 --> 00:29:33.364]  He writes his new book, Wealth, War, and Wisdom.
[00:29:34.945 --> 00:29:38.868]  And he goes in to talk about what we face as a society.
[00:29:39.995 --> 00:29:42.176]  Now, none of this is happening by accident.
[00:29:42.196 --> 00:29:56.643]  To give you the long and short of it, the central banks, we have their own internal documents that have been leaked, openly have said they plan to implode the western world and bring the economy down to absolute rock bottom so they can buy everything up.
[00:29:57.970 --> 00:30:21.298]  For the last five years, the institutional buyers, sovereign wealth, Fortune 500 companies have been snatching up all of the different commodities, that is, things you need like grain, wheat, corn, pork bellies, beef, infrastructure like roads, water districts, reservoirs, communications,
[00:30:22.805 --> 00:30:28.548]  And they've been telling you, though, increasing the ads on television, telling you to buy all the junk stuff they're pushing.
[00:30:29.088 --> 00:30:34.851]  So they had to really increase their advertising the last four years as they move their money out.
[00:30:36.312 --> 00:30:38.473]  And again, I know quite a few very wealthy people.
[00:30:39.873 --> 00:30:46.736]  For some reason, I get calls from four-star generals and billionaires and Hollywood people and rock stars and the rest of it.
[00:30:47.697 --> 00:30:50.838]  Might be hearing one of the biggest icons coming up during this week.
[00:30:50.878 --> 00:30:51.999]  Okay, I'm not going to get into it.
[00:30:52.338 --> 00:31:05.944]  The point is that I have learned in the last four or five years that anybody who's anybody is going to the Cook Islands, they're going to New Zealand, they're going to Costa Rica, they're going to the Pacific side of Mexico.
[00:31:06.504 --> 00:31:14.287]  The analogy is the fall of Saigon at the end of the Vietnam War where our troops and people were hanging off helicopter skids, flying off the tops of the buildings.
[00:31:14.907 --> 00:31:16.908]  And that's basically what money's doing.
[00:31:17.930 --> 00:31:21.574]  I mean, you talk to real money, they say, RMO is, there's not going to be in America.
[00:31:21.934 --> 00:31:24.016]  And I was talking to this top lawyer, and I said, what do you mean?
[00:31:24.036 --> 00:31:25.197]  And they just said, well, that's the word.
[00:31:25.217 --> 00:31:26.518]  And I go, what do you mean, not going to be?
[00:31:26.538 --> 00:31:27.439]  And they say, total collapse.
[00:31:28.100 --> 00:31:33.765]  And I interviewed the former head of the Treasury, the father of economics, Dr. Paul Craig Roberts, former Wall Street Journal editor.
[00:31:34.186 --> 00:31:40.852]  He says, if the central banks continue their policies of devaluing the dollar and inflation, that we'll have a total collapse back to barter.
[00:31:41.656 --> 00:31:51.666]  And then you have the managing global director, let me give you his exact quote, chief global strategist and partner at Morgan Stanley, saying similar things.
[00:31:52.587 --> 00:31:54.029]  I'm not the one saying this.
[00:31:54.449 --> 00:31:55.871]  Let's just be clear about that.
[00:31:58.353 --> 00:31:59.635]  I mean, a miracle might happen.
[00:32:00.315 --> 00:32:03.779]  We may just have a horrible, long-term, five-year recession.
[00:32:04.713 --> 00:32:11.655]  But when you watch the news up until a month ago saying there is no recession, it's a conspiracy theory, and then overnight they say, okay, we've been in a recession for a while.
[00:32:11.795 --> 00:32:13.676]  The MOI I've got, we've been in a recession for years.
[00:32:14.416 --> 00:32:26.840]  From 2000 to 2007, the average median income household lost a thousand dollars in revenue and their debt went to higher than late 1933, winter 1933, depths of the depression.
[00:32:27.080 --> 00:32:31.881]  We have the highest private debt, individual debt, family debt that we've ever had in our history.
[00:32:32.462 --> 00:32:33.862]  We have a debt bubble that
[00:32:34.537 --> 00:32:40.480]  Makes the debt bubble in 1929 look like a flea on the hind end of an African elephant.
[00:32:41.661 --> 00:32:43.502]  I mean, literally, in size.
[00:32:44.182 --> 00:32:45.163]  I think it's even bigger than that.
[00:32:45.203 --> 00:32:49.225]  You add thousands of trillions of dollars to hundreds of billions.
[00:32:49.345 --> 00:32:52.187]  It's just, that's the differences.
[00:32:52.907 --> 00:32:57.109]  And the big central banks, probably owned by less than 20 families, what do you expect them to do?
[00:32:57.409 --> 00:33:01.492]  They can create credit out of nothing, issue credit out of nothing, liquidity, currency.
[00:33:01.752 --> 00:33:03.493]  They flooded everything since the early 90s.
[00:33:04.233 --> 00:33:14.405]  They've used that, and now they need to blow everything out, so everybody's over-leveraged, so when everything implodes, goes bankrupt, they then get to take retainership of all the real assets.
[00:33:15.966 --> 00:33:16.627]  It's chess.
[00:33:16.948 --> 00:33:19.711]  It's why they're in control, because they're cold-blooded and they're smart.
[00:33:21.352 --> 00:33:23.535]  And they openly say they're going to do this to all of us.
[00:33:24.281 --> 00:33:29.502]  Joseph Stiglitz left the World Bank as our Chief Strategist and Economist in 2002.
[00:33:29.582 --> 00:33:35.643]  We made a big deal out of it and said, he says that by 2008, 2009, if we don't turn this around, total implosion.
[00:33:36.024 --> 00:33:44.565]  Magically, and I've interviewed him several times, magically, all of this is now unfolding, just as he said, and it's by design.
[00:33:45.626 --> 00:33:47.566]  But let's not listen to Nobel Prize winners.
[00:33:47.606 --> 00:33:49.547]  Let's not listen to the father of Reaganomics.
[00:33:49.607 --> 00:33:51.387]  Let's not listen to the
[00:33:53.672 --> 00:33:56.413]  Chief Global Strategist and Partner in Morgan Stanley.
[00:33:57.013 --> 00:34:04.735]  Let's listen to the still amazing corporate media that tells us by the end of the year we'll be out of the recession, and they tell us it's mild.
[00:34:06.675 --> 00:34:09.396]  Starbucks is cutting their coffee price in about half.
[00:34:10.596 --> 00:34:12.016]  They're not going to serve sandwiches anymore.
[00:34:12.036 --> 00:34:18.138]  I went into a local Austin deli that I've been going to for decades, because I'll work until like 10, 12, 11 at night.
[00:34:18.918 --> 00:34:20.438]  I'll go there, it's always jam-packed.
[00:34:21.158 --> 00:34:21.739]  No one was in there.
[00:34:21.759 --> 00:34:23.219]  There was like 10 people in there in seats, hundreds.
[00:34:24.549 --> 00:34:25.930]  I was in Dallas a few weeks ago.
[00:34:26.270 --> 00:34:28.632]  More than 80% of the billboards were empty.
[00:34:31.554 --> 00:34:32.555]  It's all unraveling.
[00:34:32.575 --> 00:34:34.496]  It's absolutely horrible already.
[00:34:35.657 --> 00:34:38.299]  But see, a recession is if your neighbor's out of work.
[00:34:38.339 --> 00:34:39.721]  A depression is if you're out of work.
[00:34:40.201 --> 00:34:43.864]  And so they know that if they just keep saying, oh, we're in a recession,
[00:34:44.660 --> 00:34:52.901]  That people will just keep playing along, and now they're saying, oh, we want you to get a third mortgage, and we're going to give you all $600 a piece, and we're going to give you more lines of credit.
[00:34:52.961 --> 00:34:54.242]  Yes, let's get deeper!
[00:34:55.302 --> 00:34:57.222]  Let's get deeper into all of this.
[00:34:58.822 --> 00:35:01.323]  So, that's some of the news I have for you on the economy.
[00:35:02.343 --> 00:35:05.724]  Do what you will with the information I've given you.
[00:35:07.284 --> 00:35:13.785]  It's probably easier if you hear there's any corruption in government, or any corruption in the financial markets, is just say nothing bad exists.
[00:35:14.850 --> 00:35:20.692]  That's kind of the know-it-all, trendy, windy banner or anthem.
[00:35:21.772 --> 00:35:26.974]  But in my experience, people who are realists, people who study how the world really works, we get ahead.
[00:35:27.514 --> 00:35:28.834]  So I've been giving you good advice.
[00:35:28.894 --> 00:35:32.815]  I mean, I told you six years ago, get gold when it was $300 an ounce.
[00:35:32.835 --> 00:35:34.036]  It's $930 smackers.
[00:35:34.096 --> 00:35:35.636]  It melts right now.
[00:35:35.696 --> 00:35:38.497]  And the Wall Street Journal's reporting that it will hit $2,200-plus.
[00:35:42.927 --> 00:35:43.167]  Yeah.
[00:35:59.773 --> 00:36:02.774]  Was six D's, as they say in Soylent Green.
[00:36:03.215 --> 00:36:13.479]  It was six denaro, six dollars, six clams, rubles, marks, lira, shekels, yen.
[00:36:14.500 --> 00:36:17.201]  It is now 17 plus.
[00:36:17.721 --> 00:36:22.143]  But I'm sure you're not going to buy, because CNN and Fox have told you not to.
[00:36:22.423 --> 00:36:23.684]  They still tell you it's a bad buy.
[00:36:24.004 --> 00:36:24.624]  Don't buy at 17.
[00:36:25.605 --> 00:36:27.146]  Rush it and buy when it's 100.
[00:36:28.658 --> 00:36:31.240]  Because you've got it all figured out!
[00:36:31.520 --> 00:36:37.865]  You listen to neocons on the radio, or you listen to Talkum, you know, whatever the idiot liberal channel is.
[00:36:39.266 --> 00:36:40.347]  What's the idiot liberal?
[00:36:41.087 --> 00:36:41.607]  No, not NPR.
[00:36:41.808 --> 00:36:45.510]  That's the Rockefeller National Petroleum, Air America.
[00:36:45.530 --> 00:36:47.632]  Yeah, not National Petroleum Radio, but Air America.
[00:36:48.032 --> 00:36:51.775]  All brought in by one of the foundations, the bankers that rule and issue all the currency.
[00:36:51.875 --> 00:36:53.236]  We'll be right back, slaves!
[00:37:00.686 --> 00:37:13.411]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:37:13.832 --> 00:37:24.476]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:37:24.876 --> 00:37:28.079]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:37:28.279 --> 00:37:30.000]  From hijackers being trained at U.S.
[00:37:30.040 --> 00:37:35.784]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:37:36.185 --> 00:37:41.368]  Secure your copy of Loose Change Final Cut today at Infowars.com or PrisonPlanet.com.
[00:37:41.589 --> 00:37:51.396]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:37:51.816 --> 00:37:54.059]  We're in a no-holds-bar information war.
[00:37:54.439 --> 00:37:59.785]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:38:00.425 --> 00:38:00.966]  Hi, neighbor.
[00:38:01.306 --> 00:38:06.792]  No matter when the time comes to survive on our food supply, every single one of us who have prepared will have two regrets.
[00:38:07.433 --> 00:38:13.159]  Even those who haven't wasted a single penny on Christmas, birthdays, and vacations in order to store all the food possible.
[00:38:13.895 --> 00:38:17.156]  Even those who have sold stuff and taken on part-time jobs to buy food.
[00:38:17.796 --> 00:38:21.077]  Even those who have traded their gold while it will still buy food.
[00:38:21.697 --> 00:38:25.078]  Yes, we will have been called stupid, crazy, and foolish.
[00:38:25.679 --> 00:38:30.180]  When folks won't be able to afford food and there won't be any food for any amount of money.
[00:38:30.920 --> 00:38:32.881]  We will still have two regrets.
[00:38:33.541 --> 00:38:36.882]  We will regret that we didn't get more serious about more food sooner.
[00:38:37.562 --> 00:38:40.403]  We will deeply regret that we didn't get enough food.
[00:38:41.218 --> 00:38:48.059]  Putting off emergency food preparations to celebrate the holidays will be the most dangerous decision that some of us will ever make.
[00:38:48.079 --> 00:38:48.820]  Call 800-409-5633.
[00:38:48.840 --> 00:38:49.840]  On the web, efoodsdirect.com.
[00:38:49.860 --> 00:38:49.900]  800-409-5633.
[00:38:49.920 --> 00:38:50.240]  It is a big idea.
[00:38:50.280 --> 00:38:51.560]  A new world order in the near future.
[00:38:51.620 --> 00:38:53.641]  Earth is dominated by a powerful government.
[00:39:10.083 --> 00:39:12.284]  It's known as the Bilderberg Theory.
[00:39:12.885 --> 00:39:15.146]  Could their objective be world domination?
[00:39:15.707 --> 00:39:18.128]  For thousands of years, their dark order grew.
[00:39:18.869 --> 00:39:26.273]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:39:29.215 --> 00:39:34.178]  For the first time in history, the elite's plan for world government is blown wide open.
[00:39:34.678 --> 00:39:38.139]  You will learn the secret that drives the entire New World Order agenda.
[00:39:38.519 --> 00:39:41.039]  Bill of Rights is making big progress toward a world government.
[00:39:41.079 --> 00:39:42.240]  Most people have no idea.
[00:39:42.260 --> 00:39:43.020]  They're not after money.
[00:39:43.040 --> 00:39:44.100]  They have all the money they need.
[00:39:44.300 --> 00:39:45.080]  They're after power.
[00:39:45.280 --> 00:39:46.140]  That's what they're after.
[00:39:46.460 --> 00:39:54.642]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:39:54.782 --> 00:39:55.522]  Endgame.
[00:39:55.922 --> 00:39:57.523]  Blueprint for global enslavement.
[00:39:57.963 --> 00:39:59.103]  You have been warned.
[00:39:59.683 --> 00:40:00.364]  It's a fact.
[00:40:00.564 --> 00:40:08.032]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:40:08.172 --> 00:40:17.001]  With never-ending late fees over the limit fees and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:40:17.301 --> 00:40:27.843]  The Federal Debt Relief System has created a successful attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecure debts which have been fraudulently created by the banks.
[00:40:28.103 --> 00:40:34.165]  We can terminate your unsecure debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:40:34.365 --> 00:40:39.406]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:40:39.586 --> 00:40:44.067]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:40:44.227 --> 00:40:45.887]  Call the Federal Debt Relief System at
[00:40:46.067 --> 00:40:47.948]  You're listening to GCN, the Genesis Communications Radio Network.
[00:41:13.471 --> 00:41:14.913]  All right, let's go to your calls at 877-590-5525.
[00:41:14.953 --> 00:41:21.139]  Then I'm going to get into, hey, let's just not give health care to the old people.
[00:41:21.159 --> 00:41:22.420]  That's what our governments are saying.
[00:41:22.881 --> 00:41:25.123]  That's what the global government plans for you and your family.
[00:41:25.383 --> 00:41:31.009]  You know, they call you slaves in their own handbooks, their own PhD-level papers on how to control populations.
[00:41:31.750 --> 00:41:32.551]  I'm not their slave.
[00:41:32.571 --> 00:41:33.672]  You shouldn't be their slave.
[00:41:33.972 --> 00:41:35.654]  I'm just letting you know what they call you.
[00:41:36.300 --> 00:41:38.922]  To get you thinking and stop being a slave.
[00:41:38.962 --> 00:41:41.024]  Stop acting like a slave.
[00:41:41.564 --> 00:41:44.227]  Let's go to Blake in Beaumont, Texas.
[00:41:44.287 --> 00:41:45.147]  You're on the air.
[00:41:45.207 --> 00:41:45.568]  Welcome.
[00:41:46.429 --> 00:41:47.289]  Hey Alex, how you doing?
[00:41:47.369 --> 00:41:47.650]  Good.
[00:41:48.370 --> 00:41:55.036]  I'm an education major at Lamar University here in Beaumont and I have some very almost emergency-like information.
[00:41:55.056 --> 00:41:57.898]  The children... I saw your YouTube videos.
[00:41:57.958 --> 00:41:58.899]  You've got a beard, right?
[00:41:59.597 --> 00:41:59.957]  I do.
[00:42:00.157 --> 00:42:00.377]  I do.
[00:42:00.437 --> 00:42:05.659]  And you've done like eight or nine of them where you go through the actual textbooks saying your family isn't your family.
[00:42:05.959 --> 00:42:08.580]  The global government is your family.
[00:42:09.120 --> 00:42:15.162]  And they use terms like interdependence, which was first coined by Marx in the 1848 Communist Manifesto.
[00:42:15.682 --> 00:42:16.263]  Yeah, go ahead.
[00:42:16.283 --> 00:42:17.043]  You've got the floor.
[00:42:17.083 --> 00:42:20.504]  For folks in South Texas, Southeast Texas, I mean, it's everywhere.
[00:42:20.544 --> 00:42:21.164]  It's all the same.
[00:42:21.644 --> 00:42:23.145]  But just go ahead and tell them what's in your textbooks.
[00:42:23.934 --> 00:42:35.280]  All right, so this is directly off the Junior Achieving website, JA.org, and this is the curricula for the first-graders that they're forcing college students to teach.
[00:42:37.561 --> 00:42:38.722]  For example, your family.
[00:42:38.742 --> 00:42:44.024]  You know, I was taught in school that your family was your mom, your dad, you know, aunts, uncles, grandparents.
[00:42:44.044 --> 00:42:45.905]  And it says the global economic community, yes?
[00:42:47.608 --> 00:42:59.478]  You know, it emphasizes the role people play in local economies and engage students about interdependence, wants, and tools, and the concepts.
[00:42:59.618 --> 00:43:00.659]  See, these are just ideas.
[00:43:00.959 --> 00:43:05.463]  The concepts behind them is what, you know, the idea is just the vehicle for the concept.
[00:43:05.503 --> 00:43:09.166]  The concept behind family is business, economic institutions.
[00:43:09.795 --> 00:43:13.917]  Yeah, it tells you that family is not your family.
[00:43:14.377 --> 00:43:14.878]  Exactly.
[00:43:15.318 --> 00:43:19.120]  And on the website, I also found just a shocking discovery.
[00:43:19.520 --> 00:43:21.741]  I was just looking at some of the people they are.
[00:43:21.761 --> 00:43:25.724]  They use examples of what it is to be successful.
[00:43:26.384 --> 00:43:32.047]  And on their 2007 Laureate Bios, Vernon Jordan, it actually says,
[00:43:32.883 --> 00:43:35.568]  He's a member of the Bilderberg meetings.
[00:43:35.608 --> 00:43:37.191]  This is on their website.
[00:43:38.374 --> 00:43:40.699]  Let me explain what's happening for those who just joined us.
[00:43:41.582 --> 00:43:47.928]  The government will say there's no chemical spraying out of government aircraft in the population, even though it's declassified.
[00:43:47.968 --> 00:43:49.269]  They know you don't know how to look into that.
[00:43:50.450 --> 00:43:54.294]  They will then put it in children's textbooks, government approved, that they are spraying us for our own good.
[00:43:54.775 --> 00:43:56.376]  They will then admit there's a world government.
[00:43:56.516 --> 00:43:57.978]  It says your parents aren't cool.
[00:43:58.038 --> 00:43:59.839]  This is in my film, The Takeover.
[00:44:00.180 --> 00:44:01.481]  Your parents aren't cool.
[00:44:01.901 --> 00:44:04.524]  They don't understand how cool it is to have chips put in your body.
[00:44:05.304 --> 00:44:08.026]  They also tell the kids how to tattle on their parents right here in Austin.
[00:44:08.246 --> 00:44:10.727]  They give them $200 discount credit cards to do it.
[00:44:11.047 --> 00:44:13.008]  They enroll them in little spy agencies.
[00:44:13.368 --> 00:44:20.192]  And so, they won't tell the adults all this is going on, but they admit the global government, Bilderberg Group runs everything, but they love you.
[00:44:20.632 --> 00:44:21.493]  It's why they do it.
[00:44:21.633 --> 00:44:22.673]  And so, yes.
[00:44:24.294 --> 00:44:25.635]  By the way, Hawaii University
[00:44:26.396 --> 00:44:33.710]  Um, is where Eric Pinaka, the eugenicist at UT... Uh-huh, the guy that says he can't wait for 90% of us to die and how great it's going to be.
[00:44:33.730 --> 00:44:34.231]  Isn't that guy?
[00:44:34.251 --> 00:44:37.337]  He says we need a global poor state to enforce an exact quote.
[00:44:37.437 --> 00:44:37.838]  Oh, that guy?
[00:44:37.878 --> 00:44:38.118]  Sure.
[00:44:38.891 --> 00:44:40.132]  He's in Endgame, by the way.
[00:44:40.172 --> 00:44:42.253]  They gave him a scanning ovation.
[00:44:42.273 --> 00:44:43.454]  This is the school I go to.
[00:44:43.474 --> 00:44:49.678]  Yeah, but a lot of the listeners out there aren't going to go read and find out that sodium chloride was put in the water to reduce their IQ and poison them.
[00:44:49.798 --> 00:44:55.101]  They're not going to find out there's an official global government plan to kill us after the global government's set up.
[00:44:55.301 --> 00:44:57.102]  And they don't care what curriculum is.
[00:44:57.583 --> 00:45:01.845]  They don't care if they're making Spanish first language in Texas, forcing it in a program.
[00:45:02.105 --> 00:45:02.666]  They don't care.
[00:45:02.706 --> 00:45:03.586]  They like being slaves.
[00:45:03.686 --> 00:45:04.567]  And don't worry, you will be.
[00:45:05.067 --> 00:45:05.688]  One last thing.
[00:45:05.708 --> 00:45:06.750]  Here's the sad thing about it.
[00:45:07.110 --> 00:45:09.253]  This is a requirement of all education majors.
[00:45:09.694 --> 00:45:10.555]  And I got out of it.
[00:45:10.635 --> 00:45:14.100]  I presented my facts to the education people there and said I wasn't going to do this.
[00:45:14.500 --> 00:45:16.063]  But the education people
[00:45:16.739 --> 00:45:22.104]  The students are being forced to go and teach this, and if they don't teach this, they're going to give them an S-class.
