[00:00:00.089 --> 00:00:00.549]  So much more.
[00:33:26.482 --> 00:33:28.203]  I think we were talking to Rob in Florida, that's right.
[00:33:28.243 --> 00:33:31.283]  He was asking about why do they go take out dictators?
[00:33:31.324 --> 00:33:37.365]  Okay, let me try to give you my answer to this and then get your take on it or any follow-up questions, Rob.
[00:33:38.406 --> 00:33:39.866]  And it's basically just this.
[00:33:42.067 --> 00:33:43.347]  They're good, bad, and indifferent.
[00:33:43.407 --> 00:33:50.169]  They don't care if a nation really is run by a thug or run by an angel or run by a mix of in-between as it normally is.
[00:33:51.210 --> 00:33:54.991]  They just want a client state that will
[00:33:56.348 --> 00:33:57.229]  Follow orders.
[00:33:57.289 --> 00:34:01.071]  They want a client state that will do the will of the New World Order.
[00:34:01.651 --> 00:34:05.573]  And if Manuel Noriega, who they openly worked with, George Bush Sr.
[00:34:05.613 --> 00:34:18.140]  met with, and openly worked with the CIA, and he owned giant palaces in Switzerland and France, and one next door to the Bushes, and laundered the money, and he publicly stopped paying his cocaine cut,
[00:34:18.760 --> 00:34:21.361]  And they just had a huge military invasion a few months later.
[00:34:21.721 --> 00:34:24.182]  And they announced that some of our women had been kidnapped.
[00:34:24.642 --> 00:34:25.622]  We have interviews with the women.
[00:34:25.642 --> 00:34:26.602]  They said, we were never kidnapped.
[00:34:26.962 --> 00:34:29.223]  Special forces showed up and said, stay inside our house.
[00:34:29.843 --> 00:34:32.564]  They were there to protect us, and the gunships an hour later attacked.
[00:34:35.465 --> 00:34:39.448]  So, whenever I say we shouldn't attack Iran, that doesn't mean I'm even defending Iran.
[00:34:39.909 --> 00:34:41.470]  Most governments are wicked and evil.
[00:34:41.510 --> 00:34:45.674]  That's the nature of governments and powerful type people that are willing to do what it takes to get into power.
[00:34:46.094 --> 00:34:47.555]  They're intelligent, but also ruthless.
[00:34:48.356 --> 00:34:49.737]  So, but you have the globalists.
[00:34:49.837 --> 00:34:51.338]  It's like a global risk game.
[00:34:51.378 --> 00:34:55.522]  They've almost got all the countries on the table, but a few, quote, rogue nations.
[00:34:55.882 --> 00:34:58.444]  Some of those nations are good, some are bad, some are in between.
[00:34:59.005 --> 00:35:03.568]  The point is the globalists want a monopoly so that they have total control across the planet.
[00:35:04.329 --> 00:35:06.170]  And they say that that's what they want.
[00:35:07.511 --> 00:35:10.553]  So, that's why they overthrow dictators and put other dictators in.
[00:35:10.873 --> 00:35:24.301]  I mean, all over the world, the United States, again, a unit of the Anglo-American Empire, regardless of who's running it, we know it's the Anglo-American Empire, they go around overthrowing nations and actually putting dictators in.
[00:35:26.368 --> 00:35:31.595]  The Arabs were somewhat secular in the 20s, 30s, 40s, 50s, and the public U.S.
[00:35:31.655 --> 00:35:41.369]  policy was to go in and fund radical, mainly Wahhabist, that the British controlled and created Saudi Arabia, to radically go in and machine gun, bomb, kill as a shock force.
[00:35:41.409 --> 00:35:42.991]  They used those on all the other Arab and
[00:35:43.431 --> 00:35:44.332]  We're good to go.
[00:36:01.024 --> 00:36:01.364]  Well, no.
[00:36:01.424 --> 00:36:06.428]  It was the Russians were a corrupt empire, but then the globalists went and attacked them to get them to come in.
[00:36:06.788 --> 00:36:14.393]  And at a higher level, that was all a game too, to really play off the nations, the Central Asian nations, and keep them from industrializing.
[00:36:14.773 --> 00:36:16.254]  That was meant to wreck infrastructure.
[00:36:16.274 --> 00:36:20.196]  It was also meant to bankrupt Russia to bring further banker control in.
[00:36:21.257 --> 00:36:22.858]  So, this is how they operate.
[00:36:22.878 --> 00:36:26.220]  It's like they used the Muslims to attack the Serbs, because they were sovereign.
[00:36:27.141 --> 00:36:28.422]  So, does that answer your question, sir?
[00:36:29.675 --> 00:36:30.656]  That certainly does.
[00:36:30.696 --> 00:36:36.861]  The reason why I ask that is because, from my heritage, my grandmother immigrated here from Panama.
[00:36:36.921 --> 00:36:40.344]  My grandfather was stationed in the Panama Canal during World War II.
[00:36:41.025 --> 00:36:52.033]  And my great-uncle, who was still living in Panama at the time, he was high up in the government of Panama before Noriega took over and had to flee the country for his life.
[00:36:52.053 --> 00:36:58.018]  Because once Noriega gained power, he basically was exterminating anyone who was dissident to his rule.
[00:36:59.478 --> 00:37:13.823]  And it's just kind of having known the United States' dealings with Noriega, kind of a matter of hypocrisy that they will deal with somebody and then turn around and go and then depose them.
[00:37:14.083 --> 00:37:16.164]  Well, I agree, but it's not even hypocrisy.
[00:37:17.164 --> 00:37:18.024]  This is a plan.
[00:37:18.065 --> 00:37:20.946]  I mean, there's declassified textbooks on this.
[00:37:22.166 --> 00:37:25.387]  They didn't want the poet that spoke five languages and had 170 IQ and was secular
[00:37:28.314 --> 00:37:30.235]  Mohammed Mosaddegh was pro-U.S.
[00:37:30.295 --> 00:37:32.417]  and trained in the West as a president.
[00:37:32.837 --> 00:37:35.999]  They sent in Wahhabist Muslims into the Shiite Iran.
[00:37:36.759 --> 00:37:37.900]  They sent Al-Qaeda in.
[00:37:38.661 --> 00:37:45.705]  The British Intel with the Section Chief CIA Commander Kermit Roosevelt, grandson of the President, and they wrote books about it.
[00:37:45.765 --> 00:37:46.706]  It's all declassified.
[00:37:46.766 --> 00:37:48.547]  They staged terror attacks and blamed it on him.
[00:37:48.987 --> 00:37:50.428]  They bombed mosques and blamed it on him.
[00:37:50.508 --> 00:37:51.669]  A reverse false flag.
[00:37:52.169 --> 00:37:56.112]  Very complex to implement, but they admit they did it.
[00:37:57.072 --> 00:37:58.173]  And it's the same thing.
[00:37:59.294 --> 00:38:02.616]  It isn't that they deal with dictators.
[00:38:02.696 --> 00:38:09.462]  They got Saddam when he was 18, top of his class, military academy, well-known secular family.
[00:38:10.522 --> 00:38:16.027]  They sent him to Egypt for four years in CIA, in coding, espionage.
[00:38:16.987 --> 00:38:18.588]  Explosives, there's a commander.
[00:38:18.988 --> 00:38:23.591]  He helped run hit teams that killed hundreds of the Socialist Ba'ath Party.
[00:38:23.651 --> 00:38:24.631]  He was unstoppable.
[00:38:25.051 --> 00:38:26.412]  Then the Ba'athists came to the U.S.
[00:38:26.452 --> 00:38:28.393]  and said, we now want to do whatever you say.
[00:38:28.813 --> 00:38:31.875]  He machine-gunned the President, shot him twice, almost killed him.
[00:38:32.475 --> 00:38:34.496]  So they came and said, look, stop trying to kill us.
[00:38:34.556 --> 00:38:38.879]  And the U.S., controlled by the globalists, this is all declassified public.
[00:38:39.870 --> 00:38:55.624]  Said, okay, put our man, now thirty-something years old, Saddam Hussein, in 1969, trained in 48 through 52, in Egypt by the CIA, this is all admitted, they said, put him in power as the head of Ba'ath security and we'll stop trying to kill you.
[00:38:56.044 --> 00:38:56.745]  So they made a deal.
[00:38:57.666 --> 00:39:06.333]  Once he got his people in place, the globalists then were treacherous, killed the Ba'athist leadership, put Saddam in, in a pure CIA slash Israeli government,
[00:39:07.174 --> 00:39:24.851]  Uh, now that they were in place, they started a war with Iran, hundreds of billions, but he owed 35 billion, he over-pumped oil to try to pay off his debts, he then wanted to actually be a leader, and they said, no, you work for us, then he said, well I'm gonna invade Kuwait, they're stealing oil, they said go ahead, we're behind you, then they set him up, claimed he threw babies out of incubators,
[00:39:25.211 --> 00:39:25.451]  We're good.
[00:39:43.857 --> 00:40:06.762]  Armored techno-citadels that then direct the turning of Iraq into a stone-age nation, then they roll in with the UN forces as the saviors later, after a decade of US occupation, with forced inoculation, sterilization compounds, further black up, which they mean to roll into Iran, Syria, and every other Arab nation to carry out eugenics operations against them.
[00:40:08.700 --> 00:40:09.740]  Does that answer your question, sir?
[00:40:10.381 --> 00:40:11.041]  It sure does.
[00:40:11.381 --> 00:40:11.701]  Okay.
[00:40:12.021 --> 00:40:12.862]  That's the black op.
[00:40:12.902 --> 00:40:13.542]  Totally evil.
[00:40:13.902 --> 00:40:16.803]  But the globalists, I appreciate your call, will say, well that's why we're in control.
[00:40:17.023 --> 00:40:17.824]  We're willing to do this.
[00:40:18.084 --> 00:40:19.784]  We got the organizational skills to do it.
[00:40:19.984 --> 00:40:21.345]  We got the institutions to do it.
[00:40:21.525 --> 00:40:23.346]  And by the way, we're going to do it to you too, Americans.
[00:40:23.526 --> 00:40:24.426]  And you're going to love it.
[00:40:24.446 --> 00:40:25.327]  Okay?
[00:40:25.347 --> 00:40:26.047]  Enjoy your cancer.
[00:40:26.835 --> 00:40:27.195]  All right.
[00:40:27.375 --> 00:40:29.156]  It's all part of the freedom, ladies and gentlemen.
[00:40:29.777 --> 00:40:35.579]  That's why I don't even... I want to live, I don't want to die, but I'm not even worried if they kill me anymore, because it's like, you've got to fight these people.
[00:40:35.599 --> 00:40:39.561]  I mean, this is the most diabolical stuff that anybody could ever come up with.
[00:40:39.641 --> 00:40:40.522]  I mean, it's just...
[00:40:42.259 --> 00:40:42.719]  Oh, God.
[00:40:43.700 --> 00:40:48.843]  They always betray their minions, just like they create the Mujahideen 80 years ago.
[00:40:48.903 --> 00:40:50.824]  They use them to take over regional areas.
[00:40:50.844 --> 00:40:52.164]  They use them against Russia.
[00:40:52.464 --> 00:40:53.825]  They use them against Iran.
[00:40:54.145 --> 00:40:58.067]  The government admits they're using, quote, Al-Qaeda to attack Iran.
[00:40:58.267 --> 00:41:00.409]  They've been bombing mosques, blowing up government buildings.
[00:41:01.049 --> 00:41:02.770]  Right now, Iran's suing the U.S.
[00:41:02.810 --> 00:41:05.451]  because they said you publicly admit you fund Al-Qaeda.
[00:41:07.712 --> 00:41:10.234]  It's so sick how dumb they treat us.
[00:41:11.260 --> 00:41:14.890]  You know what, I'm just going to play this right now and then go to your calls because I don't want to run out of time and miss this.
[00:41:15.953 --> 00:41:17.356]  This is the New World Order on trial.
[00:41:17.437 --> 00:41:18.860]  It's up on InfoWars.com.
[00:41:20.259 --> 00:41:22.300]  Right now, it is really good.
[00:41:22.340 --> 00:41:27.181]  If you're a PrisonPlanet.TV member, you can see the video of this right now.
[00:41:27.381 --> 00:41:41.105]  So go sign up at PrisonPlanet.TV if you have not yet become a member, because this fourth hour, or like yesterday, we did three hours live, an hour and a half with Galen Ross, an hour and a half with myself, and then we post these later if you don't watch it live at PrisonPlanet.TV for members.
[00:41:41.665 --> 00:41:43.125]  And by the way, there's a lot of good shows.
[00:41:43.145 --> 00:41:44.926]  There's like 20 plus of them archived now.
[00:41:45.746 --> 00:41:54.852]  They're on PrisonPlanet.tv that a lot of you probably haven't seen, so be sure and get those and make copies of them, put them on disk, the file size isn't too big, and you can get them out to people.
[00:41:56.753 --> 00:42:01.556]  See, I figured out their formula by reading their own documents, and I'm just trying to warn people.
[00:42:01.596 --> 00:42:02.477]  That's all I'm trying to do.
[00:42:02.857 --> 00:42:07.500]  You can figure out who's behind it and what the penultimate goal is and the rest of it yourself.
[00:42:07.880 --> 00:42:10.282]  I'm just exposing how they operate, what they're doing.
[00:42:11.122 --> 00:42:12.323]  I'm going to go ahead and go to this now.
[00:42:12.503 --> 00:42:12.823]  Here it is.
[00:42:12.883 --> 00:42:14.865]  New World Order on trial.
[00:42:33.769 --> 00:42:38.570]  What is at stake is more than one small country.
[00:42:39.770 --> 00:42:41.211]  It is a big idea.
[00:42:41.231 --> 00:42:43.391]  A new world order.
[00:42:43.411 --> 00:42:53.753]  Out of these troubled times, our fifth objective, a new world order, can emerge.
[00:42:53.833 --> 00:42:56.554]  Now we can see a new world coming into view.
[00:42:57.748 --> 00:43:01.910]  A world in which there is a very real prospect of a new world order.
[00:43:02.490 --> 00:43:09.854]  We have before us the opportunity to forge for ourselves and for future generations a new world order.
[00:43:10.514 --> 00:43:16.437]  A world where the rule of law, not the law of the jungle, governs the conduct of nations.
[00:43:17.717 --> 00:43:24.661]  When we are successful, and we will be, we have a real chance at this new world order in order...
[00:43:48.581 --> 00:43:50.202]  This is no fantasy.
[00:43:51.922 --> 00:43:54.643]  No careless product of wild imagination.
[00:43:55.743 --> 00:43:56.984]  No, my good friends.
[00:43:59.684 --> 00:44:10.068]  These indictments that I've brought you today... Specific charges listed herein against the individuals.
[00:44:11.068 --> 00:44:14.669]  Their acts of treason, their ultimate aim of sedition.
[00:44:18.147 --> 00:44:24.132]  These are matters of undeniable fact.
[00:44:27.074 --> 00:44:35.640]  I ask you now to pronounce judgment on those accused.
[00:44:41.044 --> 00:44:41.404]  On this
[00:44:43.158 --> 00:44:49.640]  This mindless aberration, whose only means of expression are wanton violence and destruction.
[00:44:51.240 --> 00:44:56.422]  Once trusted by this council, charged with maintaining the defense of the planet itself.
[00:44:56.902 --> 00:45:00.983]  Chief architect of this intended revolution and author of this insidious plot.
[00:45:02.003 --> 00:45:04.064]  To establish a new order amongst us.
[00:45:05.884 --> 00:45:08.045]  With himself as absolute ruler.
[00:45:11.306 --> 00:45:12.306]  You have heard the evidence.
[00:45:14.574 --> 00:45:16.579]  The decision of the council will now be heard.
[00:45:16.599 --> 00:45:17.260]  Guilty.
[00:45:17.300 --> 00:45:17.842]  Guilty.
[00:45:19.505 --> 00:45:19.766]  Guilty.
[00:45:57.603 --> 00:46:04.388]  After 1989, President Bush said, and it's a phrase that I often use myself, that we needed a new world order.
[00:46:04.468 --> 00:46:06.390]  A new world order.
[00:46:06.450 --> 00:46:08.992]  A new world, a new world, a new world order.
[00:46:31.258 --> 00:46:32.139]  We're good to go.
[00:47:24.403 --> 00:47:33.967]  The way we're gonna win over the long term is not just militarily, we gotta give them a stake in creating the kind of world order that I think all of us would like.
[00:47:33.987 --> 00:47:38.489]  The problem of the Bush presidency
[00:47:52.455 --> 00:47:55.256]  It will be the emergence of a new international order.
[00:47:56.076 --> 00:48:00.217]  Within the next four years, we will see the emergence of a new international order.
[00:48:00.257 --> 00:48:03.519]  The beginning of a new international order.
[00:48:04.259 --> 00:48:09.640]  In this new world, we'll have a profound impact.
[00:48:09.680 --> 00:48:20.384]  The forces shaping this world, at this moment, are so strong, and they all tend in one direction.
[00:48:49.113 --> 00:48:53.016]  To establish a new world order amongst us.
[00:48:53.056 --> 00:48:55.397]  It is a big idea.
[00:48:55.417 --> 00:48:56.418]  A new world order.
[00:48:57.299 --> 00:49:05.304]  Where diverse nations are drawn together in common cause.
[00:49:07.386 --> 00:49:08.746]  It is a big idea.
[00:49:09.647 --> 00:49:10.888]  The new world order.
[00:49:11.508 --> 00:49:13.450]  A new world order.
[00:49:13.470 --> 00:49:14.771]  A new world order.
[00:49:14.971 --> 00:49:16.372]  It is a big idea.
[00:49:16.972 --> 00:49:18.153]  The new world order.
[00:49:20.697 --> 00:49:23.141]  A new world order.
[00:49:24.423 --> 00:49:26.506]  A new world order.
[00:49:28.008 --> 00:49:30.111]  It is a big idea.
[00:49:47.265 --> 00:49:49.726]  Alright, and you can see a little bit more of that online.
[00:50:08.934 --> 00:50:14.517]  Yeah, that's Dick Cheney laughing at everybody saying that he wouldn't tell his constituents the CFR existed.
[00:50:14.537 --> 00:50:17.278]  Of course, Limbaugh, his buddy, lies to him and says it doesn't.
[00:50:18.319 --> 00:50:21.400]  We'll come back, take a few final phone calls, and I guess I didn't get to all the news.
[00:50:21.981 --> 00:50:23.161]  I don't think I'm due in a fifth hour.
[00:50:23.722 --> 00:50:24.802]  Wait a minute, maybe I should.
[00:50:25.563 --> 00:50:26.823]  But wait, I have films to make.
[00:50:27.604 --> 00:50:28.564]  I have too much work to do.
[00:50:28.584 --> 00:50:32.906]  All right, ladies and gentlemen, final segment.
[00:50:32.926 --> 00:50:35.047]  We're going to talk to Mike.
[00:50:36.688 --> 00:50:37.329]  We're going to talk to
[00:50:40.211 --> 00:50:43.481]  Hayley and Evian.
[00:50:43.521 --> 00:50:44.524]  What a pretty name, Evian.
[00:50:46.651 --> 00:50:47.393]  We'll be right back.
[00:50:51.391 --> 00:50:54.894]  Hi, this is Alex Jones, and I want to talk to you about the high price of gasoline.
[00:50:55.154 --> 00:50:59.597]  It's no secret that gasoline quality is poor, even though we're paying record prices at the pump.
[00:50:59.858 --> 00:51:04.741]  I have run across a company called SFR, who has developed two products that improve gas mileage.
[00:51:05.162 --> 00:51:16.150]  Instead of paying a mechanic as much as $300 to clean your injection system, Protect-A-Complete Fuel System Treatment cleans to 95% of new engine condition, improving mileage in only one tank full.
[00:51:17.211 --> 00:51:18.872]  Actually, John, I have to go over.
[00:51:20.794 --> 00:51:23.196]  Because I gotta get to Alex and George in Florida.
[00:51:23.677 --> 00:51:32.667]  So just tell the callers Mike and Haley and Evian to call right now 512-646-5400 and I'll get to them.
[00:51:33.207 --> 00:51:34.088]  Okay, I'll do that right now.
[00:51:34.569 --> 00:51:34.909]  Okay, thanks.
[00:51:34.949 --> 00:51:36.972]  What's the Alex Jones Money Bomb website?
[00:51:37.961 --> 00:51:38.801]  ...a mechanic as much as $300.
[00:51:38.841 --> 00:51:48.266]  To clean your injection system, Protect-A-Complete fuel system treatment cleans to 95% of new engine condition, improving mileage in only one tank full.
[00:51:48.506 --> 00:51:53.008]  Protect-A-Engine treatment not only reduces friction, but it extends the life of your engine.
[00:51:53.308 --> 00:51:56.769]  Let's face it, with the high price of gasoline, it's time to take action.
[00:51:57.070 --> 00:52:03.252]  Purchase a Protect-A-Fuel system treatment for only $9.95 and receive a free engine treatment, which is a $12.95 value free.
[00:52:05.073 --> 00:52:07.134]  Call 888-USE-SFR1.
[00:52:07.354 --> 00:52:10.634]  That number again is 888-USE-SFR1.
[00:52:10.974 --> 00:52:14.255]  Or check them out online at oilcompanysecret.com.
[00:52:14.535 --> 00:52:16.276]  That's oilcompanysecret.com.
[00:52:16.716 --> 00:52:19.136]  Satisfaction is guaranteed, or your money back.
[00:52:19.556 --> 00:52:20.997]  And it's safe for all cars.
[00:52:21.197 --> 00:52:21.617]  Act now.
[00:52:23.477 --> 00:52:24.897]  It is a big idea.
[00:52:24.917 --> 00:52:27.018]  A new world order.
[00:52:27.738 --> 00:52:32.059]  In the near future, Earth is dominated by a powerful world government.
[00:52:32.603 --> 00:52:34.764]  It's known as the Bilderberg Group.
[00:52:35.444 --> 00:52:37.665]  Put their objective being world domination.
[00:52:38.225 --> 00:52:40.666]  For thousands of years, their dark order grew.
[00:52:41.407 --> 00:52:48.730]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:52:51.747 --> 00:52:56.730]  For the first time in history, the elite's plan for world government is blown wide open.
[00:52:57.191 --> 00:53:00.673]  You will learn the secret that drives the entire New World Order agenda.
[00:53:01.073 --> 00:53:03.555]  Build America is making great progress toward a world government.
[00:53:03.635 --> 00:53:04.776]  Most people have no idea.
[00:53:04.796 --> 00:53:05.576]  They're not after money.
[00:53:05.596 --> 00:53:06.657]  They have all the money they need.
[00:53:06.877 --> 00:53:07.598]  They're after power.
[00:53:07.838 --> 00:53:08.538]  That's their aphrodisiac.
[00:53:08.999 --> 00:53:13.522]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:53:13.742 --> 00:53:17.244]  Or watch it online right now at PrisonPlanet.tv.
[00:53:17.704 --> 00:53:18.085]  Endgame.
[00:53:18.465 --> 00:53:20.006]  Blueprint for global enslaving.
[00:53:20.526 --> 00:53:21.547]  You have been warned.
[00:53:22.568 --> 00:53:23.108]  Hey Emily!
[00:53:23.389 --> 00:53:24.270]  Wow, you look great!
[00:53:24.470 --> 00:53:25.291]  I feel great!
[00:53:25.531 --> 00:53:27.313]  I've been using MediCleanse Colon Cleanse.
[00:53:27.593 --> 00:53:27.893]  Really?
[00:53:28.133 --> 00:53:28.534]  What is it?
[00:53:28.754 --> 00:53:29.214]  How does it work?
[00:53:29.415 --> 00:53:36.021]  MediCleanse is a natural fiber therapy with ground flaxseed, psyllium, and bentonite clay that eliminates toxins from your body.
[00:53:36.161 --> 00:53:38.443]  MediCleanse is easy to use without being intrusive.
[00:53:38.664 --> 00:53:43.969]  You take two tablespoons of MediCleanse powder, mix with water or juice, drink, and it does all the work for you!
[00:53:44.189 --> 00:53:44.769]  Well, that's it?
[00:53:44.989 --> 00:53:46.610]  Well, it sounds so easy and convenient.
[00:53:46.830 --> 00:53:47.530]  It is easy.
[00:53:47.750 --> 00:53:56.132]  Plus, the FDA says flaxseed works to prevent cancer and help... Alright, I'm going into overdrive.
[00:53:56.592 --> 00:54:09.276]  Because I want to get to, uh... Mike, Haley, Evan, Alex, George, Leo, and Hell, do the news splits like I promised.
[00:54:11.236 --> 00:54:12.437]  So, uh, we're gonna do that.
[00:54:18.688 --> 00:54:20.609]  You know, we're going to fix things with an inside job.
[00:54:20.969 --> 00:54:22.230]  Changing ourselves first.
[00:54:22.270 --> 00:54:23.591]  Having the courage to stand up.
[00:54:23.691 --> 00:54:25.872]  The courage to fight back.
[00:54:25.892 --> 00:54:26.952]  The courage to get involved.
[00:54:29.253 --> 00:54:31.074]  Just like it always is.
[00:54:32.715 --> 00:54:36.917]  Chalk it up to business as usual.
[00:54:39.498 --> 00:54:41.759]  I know it's hard to live out in the light.
[00:54:57.250 --> 00:55:17.145]  Alright, final segment of the main Genesis transmission back tomorrow.
[00:55:20.732 --> 00:55:27.576]  We're going to go in overdrive for about 20 minutes today to take everybody's calls and hit some news I wanted to get to.
[00:55:27.596 --> 00:55:30.957]  But before we do that, here at the end of the main show, I'm showing my new film, 9-11 Truth Rising.
[00:55:41.963 --> 00:55:43.943]  I mean, it's just an amazing documentary.
[00:55:44.043 --> 00:55:45.204]  It's cinema verite.
[00:55:45.484 --> 00:55:46.424]  There's no voiceover.
[00:55:46.484 --> 00:55:47.464]  It's very well done.
[00:55:47.604 --> 00:55:48.404]  Very professional.
[00:55:48.964 --> 00:55:49.664]  Two showings!
[00:55:49.745 --> 00:55:53.905]  And then I'm going to take your feedback and make a few tweaks and release the film in about a month and a half.
[00:55:54.405 --> 00:55:59.266]  It'll first be on PrisonPlanet.tv for PrisonPlanet.tv viewers and the DVDs will ship out to everybody.
[00:55:59.286 --> 00:56:00.407]  It really is an amazing film.
[00:56:01.247 --> 00:56:02.207]  Two years in the making.
[00:56:02.807 --> 00:56:06.008]  And it's kind of a sleeper because I'm so busy working I haven't had time to hype it up.
[00:56:06.148 --> 00:56:06.968]  But it really is
[00:56:08.308 --> 00:56:11.949]  The best-looking, most entertaining film I've ever made, and it's also very informative.
[00:56:12.389 --> 00:56:14.210]  So, I hope you'll be there this Saturday.
[00:56:14.250 --> 00:56:31.535]  Go to Infowars.com, link through to buy your tickets, at Infowars.com, to the Saturday, 3.30 p.m., downtown Austin, at the Alamo Drafthouse Ritz, and then Sunday night, after my radio show, 6.30 to like 9 at night, I'll be giving a 30-minute speech at the beginning as well, so get your tickets.
[00:56:31.635 --> 00:56:35.436]  More than half have sold for the first showing, half have sold for the second showing, so
[00:56:37.168 --> 00:56:38.468]  There aren't a lot of tickets left.
[00:56:38.488 --> 00:56:41.269]  They always hold about 10% of the tickets, though, at the door.
[00:56:41.670 --> 00:56:46.431]  So you can go to the door now and buy them, or buy them the day of at the door, but it's limited.
[00:56:46.771 --> 00:56:47.512]  So I hope to see you there.
[00:56:47.832 --> 00:56:49.592]  Also, I meant to talk about this during the main show.
[00:56:49.732 --> 00:56:50.172]  I didn't.
[00:56:50.753 --> 00:56:52.313]  It's the InfoWars Money Bomb.
[00:56:52.333 --> 00:56:54.914]  The website's InfoWarsMoneyBomb.com.
[00:56:54.974 --> 00:56:56.675]  InfoWarsMoneyBomb.com.
[00:56:57.755 --> 00:57:03.317]  This is the guy that originally came up with the idea of the May 31st 08 Money Bomb.
[00:57:04.452 --> 00:57:06.393]  And then it got picked up by Trevor Lyman and others.
[00:57:06.654 --> 00:57:07.714]  And I want to get this guy on.
[00:57:09.055 --> 00:57:14.599]  But I have been so busy that this has been out for like a week and I haven't even mentioned it.
[00:57:15.219 --> 00:57:20.523]  Now I thought about not even mentioning it because frankly I don't really ask for donations and I'm not trying to get donations but
[00:57:21.523 --> 00:57:30.512]  It just so happens that I want to gear up, build a stage, build a system to do a national TV show at least once a week on cable.
[00:57:31.093 --> 00:57:32.434]  On Dish Network or one of those.
[00:57:32.474 --> 00:57:33.455]  It's very easy to do.
[00:57:34.676 --> 00:57:36.858]  Well, it's hard to do, but easier than you think is the way to put it.
[00:57:36.878 --> 00:57:38.199]  It just takes capital.
[00:57:39.020 --> 00:57:39.681]  We want to do that.
[00:57:39.701 --> 00:57:43.385]  We want to go into a bigger office, do a lot of new things, but it takes money.
[00:57:43.985 --> 00:57:45.446]  And this is perfect.
[00:57:45.506 --> 00:57:47.646]  The Infowars money bomb for May 31st.
[00:57:47.926 --> 00:57:53.728]  Go pledge on the site and they want to get 20,000 people to give $100 on that day.
[00:57:54.229 --> 00:57:57.330]  We did this for Ron Paul and everybody else and I can't think of a better place to give.
[00:57:58.370 --> 00:58:00.551]  Also, if I don't plug this and then it's a bomb...
[00:58:01.651 --> 00:58:04.293]  In a bad way, then it'll be like, oh look, they only raised $10,000.
[00:58:05.233 --> 00:58:08.295]  We can raise people hundreds of thou all the time.
[00:58:08.355 --> 00:58:10.296]  Ron Paul admits we raised millions of his millions.
[00:58:10.736 --> 00:58:19.701]  So, I would hope you'd raise money, and we will put it all into, all of it, into buying cameras, better equipment, better studio, and paying for airtime on TV.
[00:58:20.161 --> 00:58:24.804]  So, InfoWarsMoneyBomb.com will be right back in Overdrive at InfoWars.com.
[00:58:24.984 --> 00:58:29.526]  You gotta go to InfoWars when you hear the audio stream of PrisonPlanet.tv in the 20 minutes of Overdrive.
[00:58:29.566 --> 00:58:30.667]  Gotta go to that stream right now.
[00:58:31.087 --> 00:58:34.468]  Thank you for listening to GCN.
[00:58:34.768 --> 00:58:35.928]  John, great job.
[00:58:36.128 --> 00:58:39.029]  I will see you tomorrow, my friend.
[00:58:39.489 --> 00:58:39.949]  Excellent.
[00:58:40.009 --> 00:58:40.949]  Good job, as usual.
[00:58:41.009 --> 00:58:41.789]  Thank you, my friend.
[00:58:41.829 --> 00:58:43.070]  Tell Ted I'll call him in 20 minutes.
[00:58:43.110 --> 00:58:43.930]  I know he wants to talk.
[00:58:44.530 --> 00:58:45.590]  And I will see you tomorrow.
[00:58:45.630 --> 00:58:46.370]  I'm in overdrive.
[00:58:46.910 --> 00:58:47.211]  Excellent.
[00:58:47.231 --> 00:58:47.551]  Take care.
[00:58:47.711 --> 00:58:48.331]  Thank you, my friend.
[00:58:48.471 --> 00:58:48.731]  Bye-bye.
[00:58:49.371 --> 00:58:51.231]  Entirely new two-hour film.
[00:58:51.532 --> 00:58:52.792]  The completely destroyed theater.
[00:58:54.432 --> 00:58:54.812]  All right.
[00:58:54.852 --> 00:58:56.052]  That's it, ladies and gentlemen.
[00:58:56.072 --> 00:58:58.073]  We're now in overdrive.
[00:59:01.149 --> 00:59:04.009]  And you know what we do during this music at the start of Overdrive.
[00:59:11.771 --> 00:59:12.631]  Gotta have some fun.
[00:59:15.331 --> 00:59:16.732]  See?
[00:59:16.872 --> 00:59:17.892]  I'm having fun.
[00:59:17.912 --> 00:59:19.752]  That's why I want to do Overdrive now.
[00:59:19.772 --> 00:59:22.833]  Here comes Eddie Bear.
[00:59:24.593 --> 00:59:25.493]  What a character.
[00:59:26.413 --> 00:59:28.754]  What do they call those 50's style hats he wears?
[00:59:29.514 --> 00:59:30.334]  40's style hats?
[00:59:31.781 --> 00:59:40.406]  I don't think people have seen Eddie Bear.
[00:59:40.626 --> 00:59:42.187]  Have him come stand in front of the window.
[00:59:43.428 --> 00:59:46.930]  I want to get people a shot of him out the window for PrisonPlanet.tv members.
[00:59:48.191 --> 00:59:48.811]  Hey, Trey!
[00:59:48.831 --> 00:59:51.152]  Come on in here in your fedora.
[00:59:51.172 --> 00:59:51.853]  I want people to see it.
[00:59:53.823 --> 00:59:55.023]  Here he is, ladies and gentlemen.
[01:00:00.685 --> 01:00:04.526]  Here, go ahead and say hi to folks.
[01:00:08.327 --> 01:00:08.987]  How's it going?
[01:00:09.627 --> 01:00:10.347]  Going good.
