[00:00:23.695 --> 00:00:24.115]  Whenever you're ready.
[00:24:01.893 --> 00:24:07.015]  And it is an honor to be subbing in for Alex Jones, the man, the myth, the legend.
[00:24:08.730 --> 00:24:19.096]  For these days, while he calls in from Chantilly, Virginia, while these globalists, you know, plot out the next big oil crisis, the next big invasion, the next big false flag attack.
[00:24:19.336 --> 00:24:23.539]  Last time they were in Chantilly was, of course, 2002, the first Bilderberg meeting.
[00:24:23.939 --> 00:24:29.482]  Since 9-11, that's where they made the decision to go into Iraq in 2003, spread it out a little bit.
[00:24:30.483 --> 00:24:33.484]  And, you know, Justin, how do we fight these guys?
[00:24:33.505 --> 00:24:35.205]  Do we just continue going full-on?
[00:24:35.286 --> 00:24:37.527]  Organizations like yours always give me hope, bro.
[00:24:38.894 --> 00:24:56.780]  Well, I think that, I mean, obviously, I think that, you know, visibility, making it clear, because, I mean, until the last couple of years with, you know, the internet and everything really surging on there, I mean, you haven't had a lot of people aware of what the Bilderberg is.
[00:24:57.240 --> 00:25:01.341]  When I tell people about the Bilderberg, you know, they go, wow, that's messed up.
[00:25:01.401 --> 00:25:03.262]  I mean, awareness is the main thing.
[00:25:03.786 --> 00:25:09.767]  Because no one with a straight face can possibly defend what's going on at the Bilderberg meeting.
[00:25:09.867 --> 00:25:11.208]  Well, let me interrupt you there.
[00:25:11.228 --> 00:25:15.489]  There is a guy out there that loves to defend the Bilderberg group, knows that they're globalists.
[00:25:15.569 --> 00:25:22.130]  He did the My Adventures with Extremists special, the one where he helped Alex Jones infiltrate the Bohemian Grove.
[00:25:22.150 --> 00:25:24.311]  He followed Jim Tucker around, and this is back in...
[00:25:25.191 --> 00:25:28.732]  I want to say 99-2000 is when he did this whole series.
[00:25:29.132 --> 00:25:37.075]  His name is John Ronson, and he went on CNN International talking about the Bilderberg Group, talking about the New World Order, how they want this global order.
[00:25:37.375 --> 00:25:38.675]  But he thinks it's a good thing, man.
[00:25:39.055 --> 00:25:40.416]  He's all positive about it.
[00:25:40.456 --> 00:25:41.056]  It's unbelievable.
[00:25:41.096 --> 00:25:42.096]  I mean, he literally helps Joe.
[00:25:42.116 --> 00:25:43.016]  Well, I mean, it's ridiculous.
[00:25:43.076 --> 00:25:44.237]  I mean, with a straight face.
[00:25:44.797 --> 00:25:47.037]  He's got a straight face, a very dry straight face.
[00:25:47.077 --> 00:25:48.178]  No, he is dead serious.
[00:25:48.478 --> 00:25:51.499]  Well, I mean, all I'm saying is that it's ridiculous, obviously.
[00:25:52.390 --> 00:25:58.735]  I mean, what he's doing is ridiculous, and it will appear ridiculous to most fair-minded viewers of his material.
[00:26:01.217 --> 00:26:14.168]  And, you know, it's funny, because I see all the comments I see on the Hillary Clinton Bilderberg group, the only negative ones I see is, well, she just said she didn't know what it was, because she didn't feel like dealing with you guys, because you always just disrupt events.
[00:26:15.149 --> 00:26:21.594]  Well, it looks like you went up to her, you approached her in a civil manner, you asked her a real question, and she didn't want to answer it,
[00:26:22.734 --> 00:26:23.714]  Because she couldn't.
[00:26:25.535 --> 00:26:30.637]  Yeah, you know, especially because she wasn't on the official guest list.
[00:26:30.777 --> 00:26:33.419]  I mean, she was spotted there, I believe.
[00:26:33.579 --> 00:26:37.660]  Yeah, she was just there for some kind of a meeting, probably like Rumsfeld was in 2002.
[00:26:38.241 --> 00:26:44.663]  Let's keep taking callers before I gotta let you go, Justin, and taking G. Edward Griffin, who's just an amazing author and speaker.
[00:26:44.683 --> 00:26:47.345]  I've been lucky enough to have dinner with him a couple times and watch
[00:26:48.499 --> 00:26:51.061]  His lecture is on both the New World Order and the Federal Reserve.
[00:26:51.101 --> 00:26:51.922]  An amazing fellow.
[00:26:51.942 --> 00:26:54.403]  Let's go to Dave in California.
[00:26:54.464 --> 00:26:55.124]  Dave, are you with us?
[00:26:55.424 --> 00:26:55.985]  Yes, I am.
[00:26:56.005 --> 00:26:56.465]  Hi, guys.
[00:26:56.745 --> 00:26:57.306]  How are you doing?
[00:26:57.606 --> 00:26:58.987]  This goes out to the Bilderbergs.
[00:26:59.007 --> 00:27:04.331]  It's something they can put in their iPods, and it's for all the Infowarriors, and especially the ones that are Chantilly.
[00:27:04.351 --> 00:27:06.573]  Freedom!
[00:27:06.733 --> 00:27:07.593]  Freedom!
[00:27:07.693 --> 00:27:08.534]  Freedom!
[00:27:08.634 --> 00:27:09.455]  Freedom!
[00:27:09.555 --> 00:27:10.395]  Freedom!
[00:27:10.475 --> 00:27:11.296]  Freedom!
[00:27:11.376 --> 00:27:12.197]  Freedom!
[00:27:12.277 --> 00:27:13.037]  Freedom!
[00:27:13.137 --> 00:27:13.858]  Freedom!
[00:27:16.181 --> 00:27:18.242]  I'm with you man, 110% brother.
[00:27:18.802 --> 00:27:19.362]  Absolutely.
[00:27:19.743 --> 00:27:25.966]  And you know, I hope that you're out there telling your friends about this stuff, copying videos, holding movie night.
[00:27:26.206 --> 00:27:28.087]  It's the way that we're going to defeat these globalists.
[00:27:28.127 --> 00:27:30.768]  Alright, let's jump to Joe in California.
[00:27:30.828 --> 00:27:32.068]  Joe, you're on the air.
[00:27:32.569 --> 00:27:34.129]  Hi, how are you doing, Jason?
[00:27:34.169 --> 00:27:34.469]  Good.
[00:27:34.830 --> 00:27:35.730]  Yes, absolutely.
[00:27:36.170 --> 00:27:36.430]  Great.
[00:27:36.550 --> 00:27:44.114]  Look, the reason why I'm calling is, you're talking about the Clintons and their constant twisting and lying.
[00:27:44.767 --> 00:27:45.307]  etc.
[00:27:45.828 --> 00:27:54.053]  And Alex posted, I don't know if you had a chance to read the article that I wrote on Dr. Quigley's tragedy and hope revealing a call by Cecil Rhodes for an American Union.
[00:27:54.473 --> 00:27:56.294]  No, but I know all about you.
[00:27:56.314 --> 00:27:57.715]  That is in one of the lectures.
[00:27:57.735 --> 00:28:00.817]  We're going to get into that in about ten minutes with G. Edward Griffin.
[00:28:01.077 --> 00:28:08.522]  But yeah, the Rhodes Group, it's a roundtable group, and they said if they were ever figured out, they would just change the name of their organization.
[00:28:09.312 --> 00:28:11.574]  Well, not only that, he also called for an American Union.
[00:28:12.394 --> 00:28:15.436]  And it's on Infowars.com right now, the article.
[00:28:15.476 --> 00:28:18.218]  And Carol Quigley, by the way, is Bill Clinton's mentor.
[00:28:18.258 --> 00:28:24.062]  For those that don't know, he was mentioned in both his inauguration speech and I think a separate speech after that.
[00:28:24.343 --> 00:28:26.464]  But yeah, Quigley and Clinton were big time.
[00:28:27.205 --> 00:28:27.725]  Absolutely.
[00:28:27.825 --> 00:28:29.186]  And the article covers that also.
[00:28:29.226 --> 00:28:36.291]  But the reason why I'm following up on that and bringing it up to your attention is because in my article I talk about the 1968 stroke Talbot.
[00:28:37.006 --> 00:28:38.327]  I think so.
[00:28:57.805 --> 00:28:59.305]  And guess what it says, above all things?
[00:28:59.385 --> 00:29:04.287]  It's a letter, and I'm quoting from it, the annual Norman Cousins Global Governance Award.
[00:29:04.587 --> 00:29:04.847]  Oh!
[00:29:04.927 --> 00:29:10.208]  And Clinton writes, I am pleased to extend my warmest congratulations to my good friend, Stroke Talbot.
[00:29:10.589 --> 00:29:15.170]  Well, you know, his wife also commended Walter Cronkite on that same award.
[00:29:15.430 --> 00:29:16.390]  They love the globalists.
[00:29:16.410 --> 00:29:17.630]  They are globalists, Joe.
[00:29:17.670 --> 00:29:18.291]  You know that.
[00:29:18.531 --> 00:29:19.531]  Keep up the good work, man.
[00:29:19.571 --> 00:29:20.831]  This is the Alex Jones Show.
[00:29:21.271 --> 00:29:23.012]  We're going to be back with G. Edward Griffin.
[00:29:23.252 --> 00:29:24.992]  Justin, thanks for doing a half an hour with me, brother.
[00:29:25.092 --> 00:29:25.313]  SST911.org.
[00:29:37.042 --> 00:29:37.943]  We're on the march.
[00:29:38.444 --> 00:29:40.025]  The Empire's on the run.
[00:29:40.966 --> 00:29:43.668]  Alex Jones and the GCN Radio Network.
[00:29:47.136 --> 00:29:50.079]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:29:50.239 --> 00:29:55.483]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:29:55.763 --> 00:30:01.108]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:30:01.468 --> 00:30:02.609]  Hi, this is Alex Jones.
[00:30:02.949 --> 00:30:11.837]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:30:12.277 --> 00:30:13.899]  Now compare a Calben Pure Soap.
[00:30:14.119 --> 00:30:18.284]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:30:18.324 --> 00:30:22.949]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:30:23.350 --> 00:30:25.432]  Start saving over $1,000 a year for your family of four.
[00:30:27.174 --> 00:30:27.934]  Keep it natural.
[00:30:28.255 --> 00:30:31.856]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091.
[00:30:32.316 --> 00:30:36.398]  Or log on to 5starsoap.com.
[00:30:36.658 --> 00:30:42.160]  Try Calvin Pure Soaps, and I'll bet you'll never use any other cleaning products again.
[00:30:42.440 --> 00:30:45.582]  Call 1-800-340-7091 for all your cleaning needs.
[00:30:45.762 --> 00:30:46.922]  Mr. Edwards is all set.
[00:30:47.142 --> 00:30:47.623]  Alrighty.
[00:30:48.903 --> 00:30:51.244]  Forces of globalism are destroying National Soap.
[00:30:51.324 --> 00:30:52.885]  We'll have some more calls for you in a second.
[00:30:52.925 --> 00:30:53.245]  Okay.
[00:30:53.717 --> 00:30:54.257]  There is hope.
[00:30:54.757 --> 00:30:57.578]  For the first time in modern history, the people are beginning to wake up.
[00:30:57.878 --> 00:31:03.340]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:31:03.620 --> 00:31:07.561]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:31:07.861 --> 00:31:12.783]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:31:13.063 --> 00:31:15.784]  PrisonPlanet.tv is a vault of forbidden information.
[00:31:16.104 --> 00:31:22.949]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:31:23.329 --> 00:31:29.133]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:31:29.313 --> 00:31:33.816]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:31:34.096 --> 00:31:36.639]  The Info War is waiting for you to set it free.
[00:31:36.979 --> 00:31:38.620]  Join PrisonPlanet.tv.
[00:31:39.041 --> 00:31:40.823]  Burn the info bombs to disk.
[00:31:41.023 --> 00:31:42.825]  Put them on the file sharing networks.
[00:31:43.165 --> 00:31:44.566]  Bring down the new world order.
[00:31:44.927 --> 00:31:45.687]  PrisonPlanet.tv
[00:31:46.838 --> 00:31:48.479]  Attention GCN listeners.
[00:31:48.559 --> 00:31:52.721]  Would you like to watch uncensored, unregulated, even banned TV on your computer?
[00:31:52.841 --> 00:32:04.345]  Well now you can watch satellite TV on your PC with an extremely simple hookup that allows computer owners to pick up more channels than any sane person can even watch without paying monthly cable or satellite fees.
[00:32:04.726 --> 00:32:05.566]  Here's the story.
[00:32:05.866 --> 00:32:10.368]  New video feed technology lets anyone with a high-speed internet connection... Alright.
[00:32:11.306 --> 00:32:13.410]  Alright, we have Graham from Washington.
[00:32:19.091 --> 00:32:20.731]  Attention GCN listeners.
[00:32:20.811 --> 00:32:24.993]  Would you like to watch uncensored, unregulated, even banned TV on your computer?
[00:32:25.093 --> 00:32:36.596]  Well now you can watch satellite TV on your PC with an extremely simple hookup that allows computer owners to pick up more channels than any sane person can even watch without paying monthly cable or satellite fees.
[00:32:36.976 --> 00:32:37.816]  Here's the story.
[00:32:38.116 --> 00:32:45.978]  New video feed technology lets anyone with a high-speed internet connection gain instant access to an endless list of underground channels from all over the globe.
[00:32:46.278 --> 00:32:47.339]  And here's the best part.
[00:32:47.419 --> 00:32:47.859]  It's 100% legal.
[00:32:49.119 --> 00:32:50.060]  And it works at home.
[00:33:00.509 --> 00:33:01.810]  Alright folks, we are back.
[00:33:02.351 --> 00:33:03.872]  It is the Alex Jones Show.
[00:33:03.912 --> 00:33:04.612]  I'm Jason Burmess.
[00:33:04.653 --> 00:33:10.758]  I'm subbing in for the week while he is down in Chantilly, Virginia at the 2008 Bilderberg Conference.
[00:33:10.778 --> 00:33:13.600]  If you want to get at me, it's myspace.com slash jason burmess.
[00:33:14.001 --> 00:33:15.342]  My website is loosechange911.com.
[00:33:16.963 --> 00:33:24.849]  PrisonPlanet.com, InfoWars.com are where you're going to find the latest and greatest articles about what's going down at Bilderberg, but I have a very special guest right now.
[00:33:25.009 --> 00:33:27.191]  I have G. Edward Griffin on the line.
[00:33:27.231 --> 00:33:29.292]  He is an accomplished author and speaker.
[00:33:29.372 --> 00:33:35.717]  I've been lucky enough to see his lectures on both the New World Order and the creation of the Federal Reserve Banking System.
[00:33:35.977 --> 00:33:39.120]  I've also been lucky enough to sit down and have dinner with the man a couple times.
[00:33:39.420 --> 00:33:42.863]  He is a true patriot and a scholar, working on a new book right now.
[00:33:43.483 --> 00:33:44.564]  Mr. Griffin, how are you, sir?
[00:33:45.217 --> 00:33:46.358]  I'm very well, Jason.
[00:33:46.378 --> 00:33:46.798]  How are you?
[00:33:46.918 --> 00:33:47.539]  I'm very well.
[00:33:49.340 --> 00:33:50.861]  So let's just get right into it.
[00:33:51.101 --> 00:33:52.182]  It's Bilderberg time.
[00:33:52.803 --> 00:33:57.146]  What do you think is going to be on the table in this elitist meeting with 125 people?
[00:33:58.527 --> 00:34:05.432]  Oh, boy, you know, I've never even thought about that, but it doesn't take much of a genius to figure out what they're working on.
[00:34:06.193 --> 00:34:07.393]  They've got two agendas.
[00:34:08.414 --> 00:34:10.095]  This is all coming to mind as I speak.
[00:34:10.155 --> 00:34:12.157]  So I think there are two basic agendas.
[00:34:12.697 --> 00:34:13.398]  One is how to
[00:34:13.877 --> 00:34:15.258]  Yes, it's getting difficult.
[00:34:35.194 --> 00:34:36.795]  Of course, they've anticipated that.
[00:34:37.236 --> 00:34:37.816]  We know that.
[00:34:38.417 --> 00:34:40.078]  They knew that there would be opposition.
[00:34:40.418 --> 00:34:51.827]  I don't think, in the long range, they really anticipated how much impact the Internet would have in being able to give people a means of running around the major controlled media.
[00:34:52.147 --> 00:35:03.536]  But they certainly have the picture now, which is, I think, why they're almost at a frenzy speed to control the Internet and to turn it over to international monitoring and international control at the UN.
[00:35:04.955 --> 00:35:09.156]  Because they want to prevent political dissent.
[00:35:09.196 --> 00:35:13.077]  They want to prevent distribution of information and facts.
[00:35:13.637 --> 00:35:16.257]  And they want to do it, of course, in the name of protecting the people.
[00:35:16.597 --> 00:35:23.859]  So they'll always be talking about stopping pornography, or terrorism, or crime, or something like that.
[00:35:24.559 --> 00:35:26.159]  So the people will say, oh, good for you.
[00:35:26.299 --> 00:35:27.239]  I'm glad you're doing that.
[00:35:27.559 --> 00:35:31.600]  But meanwhile, their real motive, we know, is just to get control over the flow of information.
[00:35:32.119 --> 00:35:36.762]  So that they can control the internet just the way they now control radio and television and print media.
[00:35:37.162 --> 00:35:42.385]  Absolutely, and you know they love to pose as our saviors when they are anything but our saviors.
[00:35:42.605 --> 00:35:51.631]  They are working towards eroding our sovereignty, destroying our economy, and bringing us into a North American Union so that they can get their New World Order.
[00:35:51.671 --> 00:35:54.672]  And this is really their term for it, Mr. Griffin.
[00:35:54.692 --> 00:35:57.054]  I mean, we have people like George H.W.
[00:35:57.094 --> 00:36:00.536]  Bush, Dick Cheney, let me think, Blair,
[00:36:01.016 --> 00:36:07.598]  Gordon Brown, Henry Kissinger, all on tape using this, I guess, ambiguous term for global governance.
[00:36:08.478 --> 00:36:21.241]  Well, it is an ambiguous term, and of course they're masters at using words so that they sound good, and people don't really know what they mean, but as long as they sound good and give you that nice feeling inside, they accomplish their mission.
[00:36:21.801 --> 00:36:30.203]  There's been quite a science built up in the last five or six decades since the introduction of psychology as a
[00:36:31.366 --> 00:36:49.032]  As a social scientist, as you call it, people have been perfecting means by which they can create impressions using words, not as a means of communication, but as a means of obfuscation, and as a means of bewildering and confusing people rather than informing people.
[00:36:49.272 --> 00:36:50.373]  And they're quite good at that now.
[00:36:50.393 --> 00:36:55.334]  It's a new science, and you have to admire the skill with which they apply that science.
[00:36:55.395 --> 00:36:59.516]  Of course, the average person who's not aware that he's the target of that is pretty
[00:37:00.014 --> 00:37:02.956]  That pretty easily influences, like putty in their hands.
[00:37:04.216 --> 00:37:05.938]  So, yeah, that's what's going on right now.
[00:37:05.998 --> 00:37:10.560]  It's control for the mind, and as your show says, it's an info war.
[00:37:10.580 --> 00:37:13.962]  That's really what it is, because people are computers.
[00:37:14.042 --> 00:37:15.363]  Our minds are like computers.
[00:37:15.423 --> 00:37:21.627]  The smarter we are, the more high-powered the computer is, which means the more easily it can be programmed with garbage.
[00:37:22.407 --> 00:37:24.669]  Computers are not inherently smart.
[00:37:25.249 --> 00:37:27.090]  They're inherently fast, perhaps, or
[00:37:27.614 --> 00:37:27.694]  It's
[00:37:48.604 --> 00:37:50.124]  Of course, that's what I was talking about a moment ago.
[00:37:50.164 --> 00:37:51.885]  That's the science of mind control.
[00:37:52.385 --> 00:37:53.465]  It's far advanced today.
[00:37:53.725 --> 00:37:55.926]  Yeah, it is very far advanced.
[00:37:55.946 --> 00:38:09.090]  There's a guy out there, his name is Darren Brown, and he's big over in the UK, but he really exposes how fragile the human mind really is and how easily we really are influenced through subliminals and other techniques.
[00:38:09.870 --> 00:38:14.153]  And I recently watched this National Geographic special on U.S.
[00:38:14.193 --> 00:38:29.864]  mine control, and of course they admit to MKUltra, they even bring up Sirhan Sirhan as a possible Manchurian candidate, but overall at the end, of course, they say, well, they haven't done this in years and it wasn't really useful and they weren't able to program everybody, so it's time to go back to sleep.
[00:38:30.264 --> 00:38:31.445]  Why don't you speak to that?
[00:38:32.205 --> 00:38:37.169]  Well, naturally, if people are catching on to something that you want to hide,
[00:38:37.814 --> 00:38:39.435]  And the facts are out there in the open.
[00:38:39.975 --> 00:38:44.138]  You cannot deny it forever, so the next best move is to say, oh yeah, well, it's true.
[00:38:44.698 --> 00:38:46.159]  Actually, it's true, and isn't it terrible?
[00:38:46.219 --> 00:38:46.820]  I agree with you.
[00:38:47.240 --> 00:38:49.061]  It's terrible, and I'm glad they put an end to it.
[00:38:52.243 --> 00:38:53.584]  And stop asking questions!
[00:38:54.244 --> 00:38:59.988]  But you know, this whole issue of mind control came up, at least in my mind.
[00:39:00.669 --> 00:39:05.992]  During the commercial, before you introduced me to the show, we heard Alex talking about the New World Order,
[00:39:06.656 --> 00:39:19.547]  And then you mentioned it again, because it was George Bush Senior that introduced the phrase into popular usage, and that brought up the issue of how nice that sounds, the New World Order.
[00:39:19.988 --> 00:39:34.400]  And even global government or world government may sound pretty nice to people, and I think it's time to stop fighting it on the basis of global government, because you might say, well, what is wrong with world government?
[00:39:35.054 --> 00:39:42.739]  And the answer really, well, nothing is wrong with world government until you decide what kind of world government we're talking about.
[00:39:43.199 --> 00:40:00.551]  If it was a world government based on the principles of freedom force, for example, with individual liberty and freedom and respect for everybody's culture and the use of non-coercion in social activities and political activities, it might be a pretty good world to live in.
[00:40:01.175 --> 00:40:06.279]  But believe me, folks, this is not the kind of world government that these guys are talking about.
[00:40:06.619 --> 00:40:09.361]  The model they're using is not the model of the Freedom Force.
[00:40:09.741 --> 00:40:12.603]  They're using the model of Adolf Hitler and Joseph Stalin.
[00:40:12.984 --> 00:40:17.447]  They're using the collectivist model of total control over the lives of every human being.
[00:40:17.827 --> 00:40:22.230]  So the issue is not really whether it's global government or not, or national government.
[00:40:23.131 --> 00:40:25.012]  The issue is what kind of government.
[00:40:25.032 --> 00:40:27.534]  And I wish more people would start talking about that.
[00:40:28.034 --> 00:40:30.056]  Because even if we retain our sovereignty
[00:40:30.501 --> 00:40:39.250]  And stay out of global government, we can still be in pretty deep trouble if we adopt the philosophy of collectivism, as we have done right here in our nation.
[00:40:39.270 --> 00:40:40.191]  Well, that's what I was about to say.
[00:40:40.251 --> 00:40:42.953]  I mean, our Constitution and Bill of Rights are virtually gone.
[00:40:42.993 --> 00:40:44.455]  We barely have a First Amendment.
[00:40:44.835 --> 00:40:50.681]  Now that, you know, the Patriot Acts I and II and parts of III have been signed into law, the Military Commissions Act of 2006, which
[00:40:52.522 --> 00:40:58.083]  Got rid of habeas corpus effectively for you and me and now, you know, we don't even have the rights to face our accusers.
[00:40:58.823 --> 00:41:04.044]  It doesn't seem like we have a government that is just a government for and by the people as it was originally designed.
[00:41:04.324 --> 00:41:08.585]  A government with three branches that ran checks and balances on one another.
[00:41:08.625 --> 00:41:12.906]  It seems like anything that they don't want you to know about can now just be said up.
[00:41:13.006 --> 00:41:14.506]  National Security can't talk about it.
[00:41:15.066 --> 00:41:15.506]  That's right.
[00:41:15.526 --> 00:41:16.847]  So it's all over.
[00:41:16.927 --> 00:41:18.907]  The system of government that we had
[00:41:19.694 --> 00:41:19.934]  Yes.
[00:41:41.648 --> 00:41:41.949]  Words.
[00:41:42.029 --> 00:41:42.849]  We're back to words.
[00:41:43.310 --> 00:41:48.815]  They can be used to communicate or they can be used to obfuscate and manipulate.
[00:41:50.056 --> 00:41:50.576]  Absolutely.
[00:41:50.857 --> 00:41:51.237]  But you know what?
[00:41:51.277 --> 00:41:52.538]  I am seeing people step up.
[00:41:52.578 --> 00:41:55.241]  For instance, Alex went out to the Bilderberg meeting in 2006.
[00:41:55.281 --> 00:42:03.468]  There were about 15 people out there that knew what was going on, that were by Alex's side, that realized that these globalists
[00:42:04.389 --> 00:42:14.237]  Don't have their best interests at heart, while the report today is between one and two hundred people outside of Chantilly, Virginia, outside of the Marriott, protesting.
[00:42:14.477 --> 00:42:16.318]  Even the police seem to know what's going on.
[00:42:16.518 --> 00:42:27.587]  They're getting orders from the FBI and Secret Service to move these people, but the police are standing up for the protesters and saying, look, they have a First Amendment right, they're on a public sidewalk, you're going to have to leave them alone, which is very encouraging to me.
[00:42:28.237 --> 00:42:29.378]  That is very encouraging.
[00:42:29.858 --> 00:42:32.941]  I'm surprised to hear it, but boy, that's good news, yes.
[00:42:33.342 --> 00:42:39.147]  It's amazing news, and I know that we have it in us to step up and defeat this system.
[00:42:39.407 --> 00:42:45.132]  I remember you were on the show not so long ago and you were talking about how in times of great peril,
[00:42:46.313 --> 00:42:47.754]  Things are often switched.
[00:42:47.914 --> 00:42:52.315]  They don't usually get what they want, especially tyrannical governments.
[00:42:52.576 --> 00:42:56.817]  A lot of time, at the darkest hour, we are able to turn this around.
[00:42:57.417 --> 00:42:58.458]  And I hope we can do that.
[00:42:58.518 --> 00:43:00.039]  I hope that we're waking up the masses.
[00:43:00.419 --> 00:43:08.322]  I hope that people are taking it upon themselves to write stories, start blogs, copy videos, spread, you know, G. Edward Griffin's books.
[00:43:08.462 --> 00:43:13.824]  I mean, The Creature from Jekyll Island is just an amazing account about how our economy truly works now.
[00:43:15.267 --> 00:43:17.769]  Well, you're certainly on target there, I think, Jason.
[00:43:18.709 --> 00:43:26.274]  We can have all these wonderful plans of what should be done, what must be done, and all these essays that we write about, you know, this is how we're going to solve the problem.
[00:43:26.514 --> 00:43:36.421]  But unless we've got the manpower, unless we have the American people well enough informed that they understand what we're talking about, and therefore support these reforms, then we're just wasting our time.
[00:43:36.986 --> 00:43:48.722]  So, as much as we'd like to say, you know, it's no longer time for education, let's get busy and solve these problems, we still have a big educational job ahead of us because it's almost like guerrilla warfare.
[00:43:48.742 --> 00:43:54.550]  You know, the guerrillas can never succeed unless they have the support of the general population.
[00:43:55.054 --> 00:43:56.795]  So that's pretty much where we stand today.
[00:43:56.875 --> 00:44:03.099]  We've got to awaken our fellow citizens to the reality and we need their support, even if they're not going to do much about it.
[00:44:03.659 --> 00:44:09.723]  We need them to understand what it is we're talking about and support us when we bring about the reforms.
[00:44:10.285 --> 00:44:15.328]  Absolutely, and you helped support us this weekend when we did the InfoWars Money Bomb.
[00:44:15.348 --> 00:44:16.749]  We made over $200,000.
[00:44:17.049 --> 00:44:33.679]  We left it open until tomorrow, folks, and we're going to give out the grand total to start a new television show, a new network, hopefully on Dish TV, where we do an hour-long show, you know, like a 60 Minutes, like a 20-20, without the spin, with the real story, with the true grit.
[00:44:34.199 --> 00:44:47.285]  The reality that the American people need to see, they need to understand, just because Obama is a great speaker and his logo is Change You Can Vote For, doesn't mean there's going to be any real change.
[00:44:47.345 --> 00:44:54.448]  The man behind the man is Zygmunt Brzezinski, you know, Trilateral Commission, CFR, top-level globalist.
[00:44:54.708 --> 00:44:55.769]  Why don't you speak to that?
[00:44:56.553 --> 00:45:02.122]  Well, that's what we were just talking about before, how words can be used to obfuscate change.
[00:45:02.162 --> 00:45:03.885]  Well, that's wonderful, I suppose.
[00:45:03.985 --> 00:45:04.746]  But what change?
[00:45:04.807 --> 00:45:06.710]  Nobody's talking about what the change is.
[00:45:07.170 --> 00:45:09.254]  The change only is in the change of the name.
[00:45:09.915 --> 00:45:15.459]  The change of the candidate to replace Bush with Obama, I suppose that's change?
[00:45:15.799 --> 00:45:22.304]  Well, it is in a way, but when you get down to the nitty-gritties of the policies that they support, you're quite right.
[00:45:22.925 --> 00:45:30.390]  They're part of the CFR agenda, they're totally locked into it, and so nothing is really going to change at a fundamental level.
[00:45:31.051 --> 00:45:34.853]  Wow, isn't it time that the American people pick up on this?
[00:45:34.893 --> 00:45:35.694]  You know, it's like
[00:45:36.371 --> 00:45:48.758]  I'm not a tennis player, but I understand that tennis players, if they're up against an opponent, they better study their opponent's serve very carefully so they don't fall for it time and time and time again.
[00:45:49.098 --> 00:45:57.443]  And yet, the American voters are falling for the same serve, the same sliced serve, every two or every four years.
[00:45:58.123 --> 00:46:00.324]  And I don't know how they expect to win the game.
[00:46:00.424 --> 00:46:03.526]  They're not going to unless they wake up to the tricks of their opponent.
[00:46:04.110 --> 00:46:19.801]  Well, that's why the internet is so powerful and I think that some of these YouTube videos that only have, you know, two or fifteen thousand hits need two or fifteen million hits, especially the ones where Bill Clinton recently admits that he indeed did attend the Bilderberg Conference when he was out in Europe.
[00:46:20.041 --> 00:46:24.285]  He denies that he was there to set up a North American Union or even discuss any U.S.
[00:46:24.325 --> 00:46:24.945]  policy at all.
[00:46:24.965 --> 00:46:30.169]  He said, well, I was there and I talked to some Europeans about what was going to happen in Russia.
[00:46:30.569 --> 00:46:36.834]  And then I played a clip earlier of the Student Scholars for 9-11 Truth asking Hillary Clinton if she attended the conference in 2006.
[00:46:37.294 --> 00:46:38.875]  And she's like, what conference?
[00:46:38.895 --> 00:46:39.896]  I don't even know what it is.
[00:46:40.216 --> 00:46:41.837]  And then they say, well, your husband attended.
[00:46:41.857 --> 00:46:42.758]  And she kind of nods.
[00:46:43.198 --> 00:46:44.499]  Oh, I really can't tell you.
[00:46:44.559 --> 00:46:45.460]  I just don't know.
[00:46:45.580 --> 00:46:46.301]  All right, thanks.
[00:46:46.861 --> 00:47:14.740]  And uh... we are changed just in front of both of them i totally play i can only play half the clip because you know these rabid clinton supporters start to get violent they start to curse and they start to grab the camera but when they ask bill clinton you know why doesn't the media cover builder birdies i don't know i haven't been there in fifteen years well i think he went in ninety nine so it was a little little uh... sooner than fifteen years ago and he knows damn well why the media is not outside reporting on it because they're on the inside helping the agenda
[00:47:15.580 --> 00:47:16.500]  Yeah, that's right.
[00:47:16.520 --> 00:47:18.041]  They're very much a part of the mechanism.
[00:47:19.402 --> 00:47:31.868]  Well, yeah, but it's encouraging to see that gradually, ever so gradually, like water slowly coming up inside the well, the water level is rising, the level of understanding is rising.
