[00:00:00.009 --> 00:00:00.792]  Term free, 33 dollars.
[00:23:03.982 --> 00:23:04.862]  It's like CSI.
[00:23:04.982 --> 00:23:06.243]  And it's not just what's in your book.
[00:23:06.323 --> 00:23:08.104]  Once they know the language, they see it everywhere.
[00:23:08.344 --> 00:23:15.487]  Oh yes, because this is an encyclopedia of secret Illuminati designs, Masonic architecture, and occult places.
[00:23:15.927 --> 00:23:18.888]  And what I do is show what all the symbology means.
[00:23:19.368 --> 00:23:20.749]  What is the numerology?
[00:23:20.849 --> 00:23:26.571]  Why is the Washington Monument, an Egyptian obelisk, exactly 555 feet tall?
[00:23:27.091 --> 00:23:29.032]  Well, it's because five is the number of
[00:23:29.832 --> 00:23:30.693]  Regeneration.
[00:23:31.274 --> 00:23:33.816]  And it's the number of the death of the old.
[00:23:34.657 --> 00:23:34.957]  You see?
[00:23:34.977 --> 00:23:37.359]  And the bringing in of the new order.
[00:23:37.939 --> 00:23:40.802]  So we have a triple witching, you might say, with 555.
[00:23:41.202 --> 00:23:46.867]  But in Houston, Texas, they're planning to build a great goddess statue.
[00:23:47.347 --> 00:23:48.969]  They call her the Spirit of Houston.
[00:23:49.509 --> 00:23:52.332]  And of course, she is a sex goddess.
[00:23:53.012 --> 00:23:56.573]  And she's exactly five hundred and fifty five feet tall.
[00:23:56.793 --> 00:23:58.354]  The same as the Washington Monument.
[00:23:58.754 --> 00:24:00.875]  So everything is done with numbers.
[00:24:01.175 --> 00:24:03.836]  And again I want to tell people, I want people to understand something.
[00:24:04.256 --> 00:24:14.059]  Sometimes this monumental architecture is inaugurated on an astrologically auspicious day, but also it has to go along with the numbers.
[00:24:14.099 --> 00:24:19.141]  For example, and by the way, usually when this architecture is begun,
[00:24:20.846 --> 00:24:23.967]  It begins a great period of bloodshed in human history.
[00:24:23.987 --> 00:24:24.987]  This is too important.
[00:24:25.007 --> 00:24:29.848]  Come back and recap and get into all this when we come back in about 15 seconds, Tex.
[00:24:29.908 --> 00:24:34.089]  This is so important and we'll show people all these great images that you're kind enough to show us.
[00:24:34.329 --> 00:24:35.529]  We have Tex Mars here with us.
[00:24:35.569 --> 00:24:39.290]  We're going back into the main transmission in T-minus 5 seconds.
[00:24:39.330 --> 00:24:39.650]  Here we go.
[00:24:39.670 --> 00:24:40.370]  344-3420 today.
[00:24:51.468 --> 00:24:56.412]  We are back live.
[00:24:56.792 --> 00:25:02.556]  I have run into quite a few Hollywood people over the years and a lot of prominent folks have really sought me out.
[00:25:02.576 --> 00:25:05.879]  And it happened once, it happened twice, it happened three times.
[00:25:07.080 --> 00:25:11.003]  You hear about Ronald Reagan, what time he'd give a speech, what day he'd give a speech, what color tie.
[00:25:11.343 --> 00:25:13.325]  They would consult with three different astrologers.
[00:25:13.385 --> 00:25:16.668]  Tony Blair being possessed by the spirit of the light each morning.
[00:25:16.688 --> 00:25:18.169]  We talked about that a few weeks ago with Tex.
[00:25:18.989 --> 00:25:19.950]  And people couldn't believe it.
[00:25:19.970 --> 00:25:22.372]  They googled it and found all the mainstream news and freaked out.
[00:25:24.494 --> 00:25:26.315]  Times of London, BBC, you name it.
[00:25:27.136 --> 00:25:29.878]  But I don't put me stock in all that stuff.
[00:25:30.078 --> 00:25:30.999]  I know it's dangerous.
[00:25:31.059 --> 00:25:33.181]  I stay away from it, whether it's real or not, that whole culture.
[00:25:33.521 --> 00:25:34.442]  But you know, I was born on 2-11-74.
[00:25:36.323 --> 00:25:52.434]  And separately, I guess these globalists, I guess even the police when they're looking at you at high levels, they go and look at when you're born, and they do charts, and also the date, and the numerology, and when I had three separate prominent people go, I've looked into your date of birth, and you know, 2-11-74,
[00:25:54.895 --> 00:26:08.925]  And you put the 2 and the 11 together, and the 74 makes 11, and oh, this is the best number you can have for your birth, and then we did your chart, you know, we found out when you were born at 1 o'clock in the morning on this day when Mars was in the transit with this.
[00:26:09.145 --> 00:26:11.807]  But the point is, it's all gobbledygook, but they live it!
[00:26:11.867 --> 00:26:18.131]  They are literally obsessed, and that's the language they operate off of, and numerology.
[00:26:18.351 --> 00:26:19.772]  And behind the scenes, Tex was getting into it.
[00:26:20.072 --> 00:26:22.614]  Recap some of what you said, and then get more into it.
[00:26:22.934 --> 00:26:23.735]  Please, Tex Mars.
[00:26:24.235 --> 00:26:34.723]  Well, you know, Alex, I was thinking while you were talking about that, in World War II, British intelligence working with the OSS, which is the precursor of the CIA of the United States,
[00:26:35.518 --> 00:26:39.380]  Did the astrological chart on Adolf Hitler and Himmler.
[00:26:39.820 --> 00:26:41.080]  Well, can you imagine here?
[00:26:41.301 --> 00:26:44.182]  We're in the midst of World War II, they're doing the astrological chart.
[00:26:44.362 --> 00:26:47.983]  They want to understand the personality of Hitler and Himmler.
[00:26:49.664 --> 00:26:53.566]  One of the things we have to understand is that the Illuminist elite
[00:26:54.814 --> 00:27:00.561]  How this monumental architecture, remember they are empire builders, and architecture is a great part of that.
[00:27:00.882 --> 00:27:03.805]  Hitler, for example, had his own personal architect.
[00:27:04.185 --> 00:27:11.975]  They say he spent more time than even war making and war planning with Albert Speer, his architect, and he had great drawings.
[00:27:11.995 --> 00:27:14.478]  Remember he considered himself a little bit of an artist architect.
[00:27:15.329 --> 00:27:17.471]  And so he had these fantastic plans.
[00:27:17.971 --> 00:27:20.633]  Stalin also had his architects all around him.
[00:27:21.534 --> 00:27:30.801]  They tore down one of the most famous churches, just raised it to the ground in Moscow, so they could build a great temple, you know, a great monument.
[00:27:30.821 --> 00:27:31.402]  To the Soviet man.
[00:27:31.662 --> 00:27:40.109]  Yeah, to the Soviet man with linen at the top, raising his hand and looking toward the prince of the power of the air, which the Bible says is Satan.
[00:27:41.122 --> 00:27:52.792]  And then Lennon, as I learned from you, and I went and found it in mainline history books, he was obsessed with Lucifer and blood and death and just a complete maniac, and like you said, go to an island and just murder little bunny rabbits?
[00:27:53.392 --> 00:27:54.793]  Oh, he was a monster.
[00:27:55.134 --> 00:27:56.515]  He kept calling for more blood.
[00:27:56.935 --> 00:27:59.777]  Here again we have the death situation.
[00:28:01.539 --> 00:28:03.480]  Let me give people a little picture of this.
[00:28:04.369 --> 00:28:17.301]  Now, this is, and I know this is the radio, but this is the great Maltese Temple of Blood that has been built in Santo Domingo, the Dominican Republic, off the coast of the United States.
[00:28:17.321 --> 00:28:21.424]  Now, this is the other part of, you know, Haiti is on one side, and there is Dominican Republic.
[00:28:21.885 --> 00:28:25.948]  They built this, and they began the planning for this, Alex, in 1939.
[00:28:27.950 --> 00:28:31.132]  Now, they had the foresight to build this thing.
[00:28:31.152 --> 00:28:35.394]  Remember, 1939 kicked off World War II, and they began the building.
[00:28:36.915 --> 00:28:40.697]  And the reason this was so important, remember, great bloodshed began.
[00:28:40.717 --> 00:28:43.698]  50 million people perished in World War II.
[00:28:44.159 --> 00:28:45.940]  They were planning this great temple.
[00:28:46.360 --> 00:28:46.500]  Now, 1992,
[00:28:48.681 --> 00:28:50.223]  They had the grand opening of this.
[00:28:50.643 --> 00:28:51.604]  Everybody was there.
[00:28:51.704 --> 00:28:53.906]  Meanwhile, Bush is announcing 1,000 points of light.
[00:28:53.966 --> 00:28:57.289]  Simultaneously, all sorts of weird celebrations all over the world.
[00:28:57.309 --> 00:29:00.152]  The New Edgers are on top of mountains, calling in the New Age.
[00:29:00.172 --> 00:29:02.534]  The Harmonic Convergence and so forth.
[00:29:02.574 --> 00:29:05.096]  They were having the Great Earth Day situations.
[00:29:05.517 --> 00:29:06.718]  Now, what is this?
[00:29:06.858 --> 00:29:08.239]  It's a gigantic building.
[00:29:08.940 --> 00:29:10.962]  It's many football fields long.
[00:29:11.662 --> 00:29:12.743]  It's bigger than the U.S.
[00:29:12.783 --> 00:29:13.623]  Capitol building.
[00:29:14.183 --> 00:29:16.885]  It's shaped like a great Mayan temple.
[00:29:16.925 --> 00:29:22.488]  In fact, there's a great Mayan pyramid on top of it with a gigantic laser light.
[00:29:22.528 --> 00:29:25.149]  They actually create the image of the beast in the sky.
[00:29:25.189 --> 00:29:27.711]  That shines out of the torch was another Illuminati symbol.
[00:29:28.051 --> 00:29:40.798]  Remember those Mayan temples and the millions of people who were sacrificed to the sun god, to Lucifer, in those Mayan, Incan, Aztec temples in Meso and South Central America.
[00:29:41.038 --> 00:29:43.179]  And I'm noticing, as you said, there's no windows in this.
[00:29:43.219 --> 00:29:52.624]  There's no window in this gigantic thing, but I understand that some people claim that there are many prison cells, many dungeons, torture centers in this.
[00:29:52.664 --> 00:29:55.366]  Now, when this first came to my attention,
[00:29:56.449 --> 00:30:14.519]  The report to me was that this is going to be used, people will be taken on jets, dissidents in America, okay, resistors to the New World Order, will be taken on jet aircraft, brought here, tortured and disposed of, and I said, no, no, that can't, why would they take people on jet aircraft?
[00:30:16.795 --> 00:30:17.656]  Can you believe it?
[00:30:18.136 --> 00:30:20.938]  Extraordinary rendition is the euphemism they used.
[00:30:21.479 --> 00:30:33.148]  We're picking up people who resist the New World Order, calling them potential terrorists, and we now have a system, according to European reports, 39 gulags around the world.
[00:30:33.368 --> 00:30:39.452]  I want to ask the question, is this Maltese Temple of Blood, inaugurated in 1992, was this not a precursor
[00:30:43.171 --> 00:30:51.399]  to what we have today two great wars uh... in the middle east maybe another one to come now everywhere you go the new york
[00:30:52.392 --> 00:30:55.353]  World Trade Centers were brought down, these two great towers.
[00:30:55.913 --> 00:31:04.216]  But prior to bringing them down, they erected four great towers with pyramidal structures on top.
[00:31:04.616 --> 00:31:08.857]  They call it the World Financial Center, and it sits right on the harbor at New York City.
[00:31:09.457 --> 00:31:14.519]  So they built four, each one being a corner of the world, the four corners of the world.
[00:31:15.039 --> 00:31:18.160]  Now why did they bring down the two World Trade Center towers?
[00:31:18.560 --> 00:31:19.720]  This was the signal.
[00:31:20.140 --> 00:31:21.781]  This was the Illuminati's goal.
[00:31:22.441 --> 00:31:28.305]  They were saying it is the end of the American superiority in the World Financial Center.
[00:31:28.885 --> 00:31:37.151]  At the same time, they were planning to bring down the two World Trade Center towers, which would mean the end of American glory, you see.
[00:31:37.411 --> 00:31:38.612]  The end of the dollar.
[00:31:39.132 --> 00:31:48.519]  Over in Europe, they were building a great statue of the goddess, and she is holding up, and I have a picture of her in my book, she is holding up the Euro.
[00:31:49.531 --> 00:31:55.774]  And beneath her, in a supine, cowering, you know, admiring position, are the people of the world.
[00:31:56.054 --> 00:31:56.935]  This is a statue.
[00:31:57.015 --> 00:31:57.915]  About where is that?
[00:31:57.935 --> 00:31:58.716]  Because I remember seeing that.
[00:31:58.736 --> 00:31:59.356]  It's incredible.
[00:31:59.376 --> 00:32:05.139]  Yeah, this is on pages four, let's see, page fifty-seven.
[00:32:05.999 --> 00:32:07.060]  In Mysterious Monuments.
[00:32:07.620 --> 00:32:11.523]  There is the Euro Goddess, and look at her!
[00:32:11.983 --> 00:32:14.044]  You can see the picture, she's holding up the Euro!
[00:32:14.585 --> 00:32:17.487]  She's exalting the Euro among all the nations in the world.
[00:32:17.507 --> 00:32:22.650]  And then there's a pyramid structure made up of basically crushed people who are supine on their backs.
[00:32:23.110 --> 00:32:30.975]  And not only that, over in Berlin, Germany, they had a huge, and I have the headline in this book, I think that's page 40, 41, The Reichstag Reborn.
[00:32:34.235 --> 00:32:45.180]  But it's not just the old outside, it looks like the Reichstag, but inside they have a great inverse cone or pyramid down into the assembly.
[00:32:45.580 --> 00:32:54.624]  And that channels all of the Prince of the Power there, all of the energy forces from the cosmic gods and goddesses into the German Reichstag.
[00:32:54.644 --> 00:32:59.326]  So they added that feature, that satanic feature to the architecture of the Reichstag.
[00:32:59.746 --> 00:33:00.927]  But here again we have
[00:33:01.087 --> 00:33:02.287]  And they have that in the Louvre, too.
[00:33:02.567 --> 00:33:04.248]  Pyramids on top, pyramids below.
[00:33:04.568 --> 00:33:13.891]  And then Francois Mitterrand said, I'm an occultist, and I've had this guy design it with 666 pieces of yellow-pink glass, and that this is a power talisman.
[00:33:14.351 --> 00:33:17.011]  He was in the news saying it was kind of a national thing.
[00:33:17.031 --> 00:33:17.792]  God, is he crazy?
[00:33:17.832 --> 00:33:18.912]  And they said, no.
[00:33:19.412 --> 00:33:21.794]  I have a whole lot on the architect, I.M.
[00:33:22.374 --> 00:33:23.915]  Pye, Chinese-American.
[00:33:24.195 --> 00:33:26.497]  By the way, he's doing a lot of projects in Red China today.
[00:33:27.477 --> 00:33:30.960]  He also, I think he was the designer of the Kennedy Center.
[00:33:31.620 --> 00:33:32.721]  But I.M.
[00:33:32.801 --> 00:33:35.483]  Pye specializes in pyramids.
[00:33:36.243 --> 00:33:40.946]  And he did build, and it's odd to see this ancient King Louis XIV.
[00:33:44.389 --> 00:33:50.575]  The Louvre Museum, and right in front of it is an Egyptian pyramid of crystal glass.
[00:33:51.256 --> 00:34:05.030]  But it's interesting that Mitterrand, according to Le Monde, that's the Paris newspaper of the world in English, Mitterrand went to the top of a sacred mountain in the Pyrenees.
[00:34:06.019 --> 00:34:09.200]  And there he beat on drums and sat lotus-legged.
[00:34:09.220 --> 00:34:12.800]  And remember, this is the president of France!
[00:34:13.161 --> 00:34:18.322]  He has the ability to destroy much of the world with the nuclear weapons of France.
[00:34:18.342 --> 00:34:19.782]  So they've got more than a thousand nukes.
[00:34:20.082 --> 00:34:24.243]  And he beat the drums to evoke the spirits to come forth.
[00:34:24.583 --> 00:34:27.064]  And they instructed him to build a Great Pyramid.
[00:34:27.504 --> 00:34:33.425]  Now this is no different than an American, a billionaire named Isaac Tigrett, who went to the Great Pyramid
[00:34:34.506 --> 00:34:44.359]  In Egypt, and spent the night in the Pharaoh's King's Chamber, in the very middle, and at the stroke of midnight, according to his testimony.
[00:34:44.700 --> 00:34:47.544]  By the way, I have a picture of Isaac Tegret in this book.
[00:34:48.104 --> 00:34:48.805]  Isaac Tegret.
[00:34:49.506 --> 00:34:55.732]  Says, a great light came, and a voice said to him, build a pyramid like this in the United States.
[00:34:56.292 --> 00:35:05.341]  So we went to the sister city of Memphis, which is Memphis, Memphis, Egypt, Memphis, Tennessee, and he built the Great American Pyramid.
[00:35:05.361 --> 00:35:06.081]  What page is that, Tex?
[00:35:06.101 --> 00:35:07.443]  I want to show them that, it's amazing.
[00:35:08.263 --> 00:35:11.426]  I don't remember the page of that, but it's probably in the first 50 pages that I remember.
[00:35:11.446 --> 00:35:12.527]  624 pages, it sort of sometimes escapes me.
[00:35:15.610 --> 00:35:21.992]  There's so much here, but I believe you'll see on the right-hand side there a picture of Isaac Tegret.
[00:35:22.612 --> 00:35:28.074]  Isaac Tegret is the founder of Hard Rock Cafes, the chain.
[00:35:29.094 --> 00:35:32.695]  And he, of course, worships Sai Baba, the Hindu guru, and so forth.
[00:35:33.276 --> 00:35:35.696]  But he also owned the Phoenix Suns.
[00:35:35.776 --> 00:35:36.637]  Now get that Sun.
[00:35:36.657 --> 00:35:40.058]  Remember the Sun God motif of the ancient mystery religions?
[00:35:41.960 --> 00:35:46.264]  I have pictured the t-shirt they sell, and I've seen young people wearing this t-shirt.
[00:35:46.665 --> 00:35:49.367]  It says Hard Rock Cafe, and then it's the sun.
[00:35:49.928 --> 00:35:51.109]  Just an image of the sun.
[00:35:51.549 --> 00:35:53.091]  Here again, we get to this sun god.
[00:35:53.411 --> 00:35:55.012]  By the way, here's something else.
[00:35:55.032 --> 00:35:57.154]  If you want to talk about the Harbinger, there we go.
[00:35:57.415 --> 00:35:58.335]  There you see the picture.
[00:35:58.696 --> 00:36:00.537]  By the way, this is American Airlines Magazine.
[00:36:01.438 --> 00:36:07.142]  And I was flying somewhere and, wow, there on the front cover is the Great American Pyramid.
[00:36:07.162 --> 00:36:13.026]  See, he's telling us, it says hip and holy is the American Airlines Magazine and they're telling you this is religious.
[00:36:13.667 --> 00:36:17.749]  American Airlines is saying this is a holy, these pyramids are religious, baby.
[00:36:18.350 --> 00:36:18.710]  That's right.
[00:36:18.750 --> 00:36:19.591]  And there's the government.
[00:36:19.971 --> 00:36:21.632]  Look at the t-shirt here on the left-hand side.
[00:36:21.932 --> 00:36:22.653]  This is an ad.
[00:36:23.093 --> 00:36:25.755]  I got it out of the Minneapolis Magazine and look what it says at the top.
[00:36:26.315 --> 00:36:26.876]  Revolution.
[00:36:27.076 --> 00:36:27.596]  Anarchy.
[00:36:27.676 --> 00:36:28.197]  Rebellion.
[00:36:29.337 --> 00:36:30.518]  Bring the whole family!
[00:36:30.558 --> 00:36:32.058]  Bring the whole family, oh yeah!
[00:36:32.738 --> 00:36:56.906]  By the way, the interesting thing about this Great Pyramid is that rumors began when this was built that Isaac Tegret, this billionaire, owner of the Phoenix Suns, this is one of the richest guys in America, that Isaac Tegret had had the engineers and the builders to place a small sealed metal box right at the very apex
[00:36:58.185 --> 00:37:00.246]  Way up at the top, hundreds and hundreds of feet up.
[00:37:00.906 --> 00:37:05.607]  And it was rumored that that building was dedicated to the devil by Isaac Tegret.
[00:37:05.887 --> 00:37:11.348]  Now, the city fathers, this rumor got so big in Memphis, they were afraid nobody would come to the pyramid.
[00:37:11.388 --> 00:37:16.349]  They were going to have all these athletic games and so forth, and there was going to be a rock and roll museum there.
[00:37:16.689 --> 00:37:19.410]  So they said, what are we going to do to get the people to come to this?
[00:37:19.430 --> 00:37:22.871]  They're afraid that it's been dedicated to the devil in Memphis, Tennessee.
[00:37:23.391 --> 00:37:24.851]  So they made fun of it.
[00:37:25.012 --> 00:37:26.032]  Now listen to this, Alex.
[00:37:26.292 --> 00:37:26.972]  They made fun.
[00:37:27.012 --> 00:37:31.853]  They said, can you believe these crazy people out there, conspiracy theorists, are claiming this was dedicated to the devil?
[00:37:32.033 --> 00:37:38.015]  They're claiming there was a strange box that was planted at the very top and welded down.
[00:37:38.475 --> 00:37:40.016]  So they made a big deal of it.
[00:37:40.056 --> 00:37:41.296]  The mayor and the city council.
[00:37:41.376 --> 00:37:42.076]  Ha, ha, ha.
[00:37:42.536 --> 00:37:47.638]  And they sent their engineers up with the newspapers, the cameras moving in the local channels.
[00:37:48.178 --> 00:37:48.738]  Guess what?
[00:37:49.478 --> 00:37:51.019]  They said, we're going to show you there's nothing there.
[00:37:51.079 --> 00:37:52.339]  They found the box.
[00:37:53.231 --> 00:37:58.241]  They took welding torches, they brought it down, they opened it up, and boy, they were shocked!
[00:37:58.501 --> 00:38:00.625]  There was a velvet patch in there!
[00:38:01.403 --> 00:38:02.524]  Or, I'm sorry, a bag.
[00:38:02.824 --> 00:38:05.186]  They opened up the bag and there were artifacts.
[00:38:05.946 --> 00:38:07.768]  Obviously, talismans, charms.
[00:38:08.288 --> 00:38:14.953]  It had been dedicated to his gods, just as had been rumored by the builders of that pyramid.
[00:38:15.053 --> 00:38:25.100]  Well, just like we told you, in West Virginia they had the North American Union obelisk and the pyramids and the flags and there it is, folks.
[00:38:26.645 --> 00:38:28.026]  Again, a lot of atheists out there.
[00:38:28.046 --> 00:38:30.487]  The New World Order trains people to not believe in the spiritual.
[00:38:30.867 --> 00:38:34.369]  But that's only because they want them to be blind so that they can control them.
[00:38:34.809 --> 00:38:44.374]  But when you get into it, I don't know a globalist who isn't completely obsessed and who in their writings doesn't admit that they're basically flopping around daily being possessed by entities.
[00:38:44.414 --> 00:38:45.054]  They believe it.
[00:38:45.374 --> 00:38:46.715]  Whether they're schizophrenic or not,
[00:38:47.645 --> 00:38:52.967]  And as you said, they now say that their gods are telling them to kill almost everyone on Earth.
[00:38:53.527 --> 00:38:56.908]  And so I want to get into their world population reduction, and then go back through your other notes.
[00:38:56.928 --> 00:38:58.748]  We've got about 45 minutes left with you, Tex.
[00:38:59.169 --> 00:39:10.092]  You really have gotten into their documents, their plans, how they created that special forces group that's job was to, quote, be the beast and the Earth force to kill everybody.
[00:39:10.112 --> 00:39:11.512]  Yeah, the Earth Battalion.
[00:39:11.772 --> 00:39:12.613]  Yeah, the first Earth Battalion.
[00:39:12.633 --> 00:39:13.993]  Colonel Jim Shannon's Earth Battalion.
[00:39:14.153 --> 00:39:18.071]  Yeah, and then now they've announced, and right here at Office Depot in town...
[00:39:20.776 --> 00:39:21.537]  Two stories now.
[00:39:21.577 --> 00:39:22.577]  We put photos up there.
[00:39:22.697 --> 00:39:25.519]  It says you've got to park around back if you've got an SUV.
[00:39:26.080 --> 00:39:27.060]  And they come out and tow you.
[00:39:27.160 --> 00:39:31.523]  And then it says this is dedicated to the earth and this is for the earth and this is this and that.
[00:39:31.543 --> 00:39:32.984]  And of course it all sounds reasonable.
[00:39:33.284 --> 00:39:37.567]  Meanwhile they're the ones destroying the earth with all the toxic waste and GMO and the rest of it.
[00:39:38.688 --> 00:39:42.491]  And they're now inculcating us with an anti-human, pro-death view.
[00:39:43.031 --> 00:39:46.613]  And I wanted to let people understand that that's what's guiding all of this.
[00:39:46.633 --> 00:39:48.995]  And I wanted you to speak to that and some of their monuments to death.
[00:39:49.595 --> 00:39:58.941]  You know, back in the 18th century, the French Revolution, the Illuminists, of course, engendered that incredible bloody thing with the guillotines and so forth.
[00:40:00.041 --> 00:40:03.143]  But they said, we're inaugurating an age of reason.
[00:40:03.443 --> 00:40:06.485]  And they claimed that they worshipped a god of reason.
[00:40:06.825 --> 00:40:09.427]  Not the god of the other religions, but a new god.
[00:40:09.947 --> 00:40:15.110]  The great architect who would build a great new order of the ages, the God of Reason.
[00:40:15.470 --> 00:40:21.314]  Now on page 21 of Mysterious Monuments, I have a picture of the Georgia Guidestones.
[00:40:22.094 --> 00:40:23.415]  Now this is something that I visited.
[00:40:23.755 --> 00:40:26.557]  Here are these, it's almost like an American Stonehenge.
[00:40:28.756 --> 00:40:40.320]  I went there and I saw they had a great bronze plaque, and it's written in eight different languages, including English, French, Babylonian, cuneiform, back to Babylon,
[00:40:41.572 --> 00:40:46.114]  And they said, let these be guidestones to an age of reason.
[00:40:46.515 --> 00:40:48.175]  Now remember, this is a new thing.
[00:40:49.036 --> 00:40:49.876]  Remember what I said?
[00:40:50.276 --> 00:40:55.319]  That the Illuminati elite signal future events through architecture.
[00:40:55.859 --> 00:41:00.181]  They built these Georgia Guidestones near the little town of Eberton, Georgia.
[00:41:00.221 --> 00:41:02.282]  They spent many millions of dollars
[00:41:03.138 --> 00:41:11.361]  And the first of the Ten Guides, these replace the Ten Commandments, you see, for this new environmental world order.
[00:41:12.141 --> 00:41:22.265]  The first one says that the world must be reduced to 500 million people so that mankind will be in harmony
[00:41:23.163 --> 00:41:25.044]  Perpetually with nature.
[00:41:25.625 --> 00:41:35.391]  Now since there are seven billion people on this planet, all they have to do is massacre six and a half billion to make it sustainable.
[00:41:35.431 --> 00:41:36.832]  They use the word sustainable.
[00:41:37.332 --> 00:41:40.995]  And they say five hundred million is the most this planet can sustain.
[00:41:41.115 --> 00:41:44.297]  And now the Pope came out today and said we must be sustainable.
[00:41:44.817 --> 00:41:50.921]  All the other big, they've had both Pat Robertson and Al Sharpton get together and say we agree.
[00:41:50.981 --> 00:41:51.682]  Newt Gingrich
[00:41:52.302 --> 00:42:01.029]  I had a good friend the other day, where she worked, she mentioned that she didn't believe in global warming.
[00:42:18.493 --> 00:42:24.895]  And a lady that worked there, right, and they've been friends for years, in the desk next door, got up and screamed at her.
[00:42:25.615 --> 00:42:27.456]  How dare you not believe in global warming?
[00:42:27.816 --> 00:42:28.756]  You're a monster!
[00:42:29.516 --> 00:42:32.557]  And started calling her names, and it was like religious fervor.
[00:42:33.037 --> 00:42:33.678]  How dare you?
[00:42:34.078 --> 00:42:35.438]  You must believe in global warming.
[00:42:36.078 --> 00:42:41.560]  Don't you understand we've got to save the planet, we've got to save... Well, they're now saying in the US and England that we need to be arrested.
[00:42:41.800 --> 00:42:44.021]  We'll talk behind the scenes more about this right now.
[00:42:47.950 --> 00:42:50.672]  Yeah, Tex, that is the incredible part about this.
[00:42:50.892 --> 00:42:55.876]  I'm not getting this from myself looking at it and guessing.
[00:42:55.916 --> 00:43:02.620]  They say that they're going to control our lives, micromanage everything we do, how much resources we can have on a card.
[00:43:02.940 --> 00:43:04.401]  That will also track everything we do.
[00:43:05.282 --> 00:43:22.777]  And then it also hijacks any sensible environmental stuff, toxic waste, nuclear reactors in the ocean, the genetically cross-species chimeras that are giving rise to super viruses, things that really can hurt the earth, the grey goo type scenario, nanotech, all of that.
[00:43:23.417 --> 00:43:24.818]  None of that is an issue.
[00:43:25.479 --> 00:43:30.823]  The only thing that we're being told that matters now is that we just not question
[00:43:32.014 --> 00:43:35.735]  And we will buy our carbon credits from the federal government of each nation.
[00:43:35.835 --> 00:43:37.435]  We'll buy them from the private bankers.
[00:43:37.935 --> 00:43:42.397]  This is what the bankers said in the Club of Rome documents in 1992, Richard N. Haas, now head of the CFR.
[00:43:42.437 --> 00:43:55.820]  He said, this will control all resources and all energy, and all animal life will basically be under our control, and it, quote, makes humanity the enemy, and the state will prosecute operations against the enemy.
[00:43:56.160 --> 00:43:59.961]  So, even if you believe man-made global warming is real and carbon is bad, which it isn't,
[00:44:00.461 --> 00:44:01.201]  You know, plants breathe it.
[00:44:01.642 --> 00:44:03.102]  They put out oxygen animals breathe.
[00:44:05.543 --> 00:44:13.947]  This Kyoto deal and the carbon credits will only transfer it to India and Mexico and China and a hundred plus other countries.
[00:44:13.987 --> 00:44:17.108]  And studies actually show it will radically increase it.
[00:44:17.408 --> 00:44:20.389]  But then you tell that to the environmentalists and they just go, No!
[00:44:20.790 --> 00:44:21.070]  No!
[00:44:21.090 --> 00:44:21.130]  No!
[00:44:21.490 --> 00:44:21.670]  No!
[00:44:21.710 --> 00:44:24.771]  I mean, it is... and see, they don't care about the environment.
[00:44:24.891 --> 00:44:26.252]  It is their cult.
[00:44:26.572 --> 00:44:28.513]  They were taught there is no religion, but
[00:44:29.113 --> 00:44:30.915]  Humans have a place in themselves for that.
[00:44:31.376 --> 00:44:37.603]  And so they've now been given the false religion, thinking it's humanism, when it's really anti-humanism.
[00:44:37.643 --> 00:44:38.645]  Can you speak to that, Tex?
[00:44:39.130 --> 00:44:57.803]  Well, five minutes of research, just Google it up, you'll find that the four top weather tracking scientific stations on this planet, the four top, including NASA, all say we have gone into an era of global cooling, and it's just a cyclical thing.
[00:44:58.223 --> 00:45:00.264]  We started cooling ten years ago.
[00:45:00.324 --> 00:45:02.666]  That's right, and so we're in a period of global cooling.
[00:45:02.946 --> 00:45:05.348]  That's why, of course, the environmental crazies,
[00:45:06.788 --> 00:45:08.969]  No longer really use global warming very much.
[00:45:09.029 --> 00:45:15.252]  They change the name to climate change, or earth changes, because they know now they're going to sound more and more like idiots.
[00:45:15.352 --> 00:45:21.094]  And Club of Rome first said ice age in the 60s, then it was global warming, and now it's climate change.
[00:45:21.254 --> 00:45:28.737]  In 86, 87, 88 era, in Colorado, the Rothschilds, the Rockefellers, and others met, okay, with world leaders.
[00:45:28.797 --> 00:45:29.518]  Maury Strong, right?
[00:45:29.558 --> 00:45:30.418]  That's right, the Maury Strong.
[00:45:30.418 --> 00:45:32.419]  We're coming back to the main transmission.
[00:45:32.459 --> 00:45:32.759]  Stay there.
[00:45:32.779 --> 00:45:35.040]  I want to hear about this with Tex Marsh right now.
[00:45:35.060 --> 00:45:38.061]  Get a little bit of behind the scenes when we've got a full radio audience.
[00:45:38.281 --> 00:45:39.081]  I just want to warn them.
[00:45:39.421 --> 00:45:41.162]  And see, we've got so much more knowledge.
[00:45:41.222 --> 00:45:42.883]  I'm not interrupting Tex to be obnoxious.
[00:45:43.183 --> 00:45:45.384]  I want to add to what he's saying and back him up.
[00:45:45.784 --> 00:45:48.665]  I neurotically like to finish his sentences to show people out there watching.
[00:45:48.885 --> 00:45:50.345]  We're not making this up, folks.
[00:45:50.365 --> 00:45:51.146]  We've done the research.
[00:45:51.186 --> 00:45:51.526]  It's real.
[00:45:51.726 --> 00:45:52.086]  Here we go.
[00:45:54.087 --> 00:45:56.808]  Alright, before we go any further.
