[00:00:00.129 --> 00:00:02.651]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:26:05.254 --> 00:26:09.097]  They care if the Cowboys lose, or if the Titans lose, or if the Dolphins lose.
[00:26:09.777 --> 00:26:14.860]  And we're a gelded population meant to stand by, where action is looked down upon.
[00:26:15.686 --> 00:26:17.470]  Alright, I've already been ranting too long here.
[00:26:17.530 --> 00:26:18.653]  I want to go to your phone calls.
[00:26:19.936 --> 00:26:22.481]  Steve in Utah, you're on the air worldwide.
[00:26:22.521 --> 00:26:22.842]  Welcome.
[00:26:23.904 --> 00:26:24.325]  Hey, what's up?
[00:26:24.345 --> 00:26:24.967]  How you doing?
[00:26:25.207 --> 00:26:25.568]  Good, sir.
[00:26:25.628 --> 00:26:25.929]  Go ahead.
[00:26:27.072 --> 00:26:30.354]  I just wanted to bring up some subtle things.
[00:26:30.774 --> 00:26:43.462]  I've seen a toy advertisement on TV the other day for a police helmet and handlebars for your kid to run around the house and make believe he's a police officer.
[00:26:43.502 --> 00:26:45.804]  It showed a picture of Dad behind bars.
[00:26:47.276 --> 00:26:48.797]  I just thought that was pretty interesting.
[00:26:48.817 --> 00:26:52.120]  Yeah, that's all part of... They do that in the Soviet Union and Nazi Germany.
[00:26:52.160 --> 00:26:54.362]  They tell the children, you're going to be over your parents.
[00:26:54.742 --> 00:26:55.723]  You're going to command them.
[00:26:55.743 --> 00:26:59.726]  Time Magazine for kids, in two different issues, has said, you're going to take the microchip.
[00:26:59.786 --> 00:27:00.446]  You're cool.
[00:27:00.867 --> 00:27:02.388]  You know, you know what to do.
[00:27:02.448 --> 00:27:03.589]  Your parents are dumb.
[00:27:04.209 --> 00:27:09.794]  And all over the country, in the name of the war on drugs, not some war on terror, they have the kids write dossiers on their parents.
[00:27:09.814 --> 00:27:15.278]  I mean, the country is so far gone, and for about a decade, all the children's toys go to the store.
[00:27:15.678 --> 00:27:19.221]  None of it's a USA flag on the tanker, the jet, or the helicopter, or the troops.
[00:27:19.722 --> 00:27:24.626]  It's all troops wearing black masks, troops, you know, United Nations force, global force.
[00:27:25.287 --> 00:27:26.688]  They're brainwashing the children.
[00:27:28.389 --> 00:27:37.497]  Well, I just wanted to, yeah, bring up, you know, you made me aware of things like that, and then I just, I just seen it, and I was just like, whoa, that's kind of weird.
[00:27:37.517 --> 00:27:39.279]  And then another thing, there was a
[00:27:40.291 --> 00:27:40.711]  I don't know.
[00:28:03.677 --> 00:28:15.220]  Well, that's how they got Oliver Stone to sell out and make all these brainwashing movies like W that makes him some lovable idiot savant and he really thought WMDs were their all lies.
[00:28:15.880 --> 00:28:19.301]  That's how they got him to make these pro-government view 9-11 film.
[00:28:19.321 --> 00:28:23.682]  A lot of people in Hollywood, it's all these drug convictions and they just said, look, you're going to play ball.
[00:28:24.535 --> 00:28:34.083]  The average American doesn't know that billions a year are spent on fake newscasts, buying reporters, placing propaganda in TV and movies that are pro-government, pro-New World Order.
[00:28:34.904 --> 00:28:39.108]  You know, the average American doesn't know that we didn't have Halloween until the 50s.
[00:28:39.188 --> 00:28:40.429]  Madison Avenue created that.
[00:28:40.449 --> 00:28:44.572]  They don't know that Santa Claus wasn't even involved in Christmas until Coca-Cola promoted it.
[00:28:45.093 --> 00:28:48.736]  They don't know that bacon and eggs was Edward Bernays, the father of modern advertising.
[00:28:48.756 --> 00:28:50.998]  They don't understand our whole culture is fake.
[00:28:51.804 --> 00:28:52.804]  And it's manufactured.
[00:28:52.924 --> 00:29:02.206]  And now they're shifting that same social brainwashing system into conditioning the public to totally give up their liberties and freedoms so they'll acquiesce to becoming third world slaves.
[00:29:02.846 --> 00:29:16.528]  And now Barack Obama and John McCain are saying global taxes, carbon taxes, regulating your life, bureaucrats involved in your daily life, million man youth brigades, three million man tattletale environmental brigades, they're here.
[00:29:16.989 --> 00:29:19.169]  And none of it has anything to do with the environment or helping the earth.
[00:29:19.896 --> 00:29:22.265]  It's all about control, feudalism, serfdom.
[00:29:23.048 --> 00:29:24.654]  And things are just gonna get worse and worse.
[00:29:25.473 --> 00:29:27.214]  The elite are eating our lunch.
[00:29:27.715 --> 00:29:34.619]  We'll be right back with more calls from Canada, New York... Everyone knows that Omega-3 should be an essential part of our daily diet.
[00:29:34.679 --> 00:29:40.323]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:29:40.423 --> 00:29:44.465]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:29:44.766 --> 00:29:47.067]  Nature's Gem Premium Omega-3.
[00:29:47.227 --> 00:29:53.191]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures,
[00:29:53.291 --> 00:29:54.032]  We're good to go!
[00:30:10.367 --> 00:30:14.668]  If your body isn't feeling too well these days, you're gonna start taking this hemp.
[00:30:14.688 --> 00:30:16.069]  I say go to hempusa.org.
[00:30:41.118 --> 00:30:45.521]  You may not like what I'm about to say, but you know I'm gonna say it anyway.
[00:30:45.541 --> 00:30:48.002]  The government doesn't want the best for you.
[00:30:48.362 --> 00:30:50.503]  They keep you down, they keep you blue.
[00:30:50.784 --> 00:30:53.705]  They starve your body for all its nutrients.
[00:30:55.726 --> 00:30:57.828]  They won't let you grow industrial hemp.
[00:30:58.168 --> 00:31:03.531]  It really doesn't make any kind of sense when it's so healthy for the world and useful for you, my friends.
[00:31:05.459 --> 00:31:10.000]  I hope Mr. Bush will hear this song, for the heart of America wants this one.
[00:31:10.020 --> 00:31:13.421]  Go to hempusa.org.
[00:31:14.861 --> 00:31:19.762]  If you're a truther, an anarchist, a renegade, you only want things that God has made.
[00:31:19.823 --> 00:31:24.004]  Go to hempusa.org.
[00:31:24.304 --> 00:31:26.444]  We offer free shipping anywhere in the states.
[00:31:26.524 --> 00:31:27.504]  Go to hempusa.org.
[00:31:30.768 --> 00:31:35.369]  Phase 1 of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:31:35.690 --> 00:31:42.872]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:31:42.892 --> 00:31:44.552]  But we've only seen the beginning.
[00:31:44.752 --> 00:31:48.653]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:31:48.894 --> 00:31:52.495]  Shortages and empty shelves will spread fear and panic across the land.
[00:31:52.735 --> 00:31:56.776]  The Insiders have discovered that they must control two things to seize total power.
[00:31:57.196 --> 00:32:01.201]  Phase 1 is a one-world currency, which we are currently being prepared to accept.
[00:32:01.542 --> 00:32:05.326]  Phase 2 of their insidious plan is complete control of our food supplies.
[00:32:05.667 --> 00:32:09.952]  Go to www.foodshortageusa.com for the details.
[00:32:10.333 --> 00:32:13.376]  That's www.foodshortageusa.com.
[00:32:13.937 --> 00:32:17.340]  To learn how to prepare for the unthinkable, don't wait for empty shelves.
[00:32:17.640 --> 00:32:20.543]  Learn how to make your own survival foods for pennies on the dollar.
[00:32:20.683 --> 00:32:23.486]  Go to foodshortageusa.com or call 877-327-0365.
[00:32:23.526 --> 00:32:23.726]  That's 877-327-0365.
[00:32:30.672 --> 00:32:34.435]  Drinking a chlorophyll-rich beverage has been found to benefit your entire body.
[00:32:34.655 --> 00:32:42.721]  AlkaVision GreenShield Green Drink is a specifically formulated nutritional supplement, which provides many nutritional elements that are missing from our modern diet.
[00:32:43.041 --> 00:32:47.064]  GreenShield helps neutralize acid in your body and maintains a healthy pH balance.
[00:32:47.304 --> 00:32:51.247]  And having the proper pH balance has been known to balance blood sugar levels.
[00:32:51.627 --> 00:32:52.988]  Something we can all benefit from.
[00:32:53.288 --> 00:32:58.671]  Green Shield combines the perfect blend of powerful whole food vegetables, immune-boosting herbs and grasses.
[00:32:58.971 --> 00:33:04.414]  Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[00:33:04.734 --> 00:33:07.275]  The powder mixes easily with water and tastes great.
[00:33:07.596 --> 00:33:13.379]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[00:33:13.599 --> 00:33:17.861]  Order your AlkaVision Green Shield Green Drink now by going directly to AlkaVision.com.
[00:33:18.101 --> 00:33:20.422]  That's ALKAVISION.COM today.
[00:33:20.442 --> 00:33:20.942]  Or call 269-344-3420.
[00:33:20.962 --> 00:33:21.522]  That's 269-344-3420 today.
[00:33:21.622 --> 00:33:22.482]  You're listening to GCN.
[00:33:22.582 --> 00:33:24.043]  The Genesis Communication Radio Network.
[00:33:48.448 --> 00:34:00.158]  We are back live, 48 hours out from the big diversion, the big corporate diversion, the big PR extravaganza to make you think that the President's actually run things.
[00:34:01.179 --> 00:34:04.642]  You know, the big foreign banks engineered the derivatives crisis.
[00:34:05.422 --> 00:34:10.286]  They gave themselves unlimited power through Congress by terrorizing the Congress, threatening them with martial law.
[00:34:10.767 --> 00:34:13.089]  Now they're openly stealing all the money for themselves.
[00:34:13.129 --> 00:34:15.571]  You'll have to pay back in tax money.
[00:34:17.583 --> 00:34:33.296]  And when I talk about corporate propaganda, you know, how we didn't celebrate Halloween until the fifties, or how we didn't celebrate Christmas the way we do, until going back into the 1920s with Christmas and Coca-Cola and Santa Claus.
[00:34:33.356 --> 00:34:36.259]  I'm not even attacking those supposed institutions.
[00:34:36.679 --> 00:34:40.922]  My point is that that shows you how they mold your mind.
[00:34:41.563 --> 00:34:46.207]  That shows you how they're able to engineer societies.
[00:34:47.746 --> 00:34:49.748]  I mean, how did they get women to smoke cigarettes?
[00:34:49.828 --> 00:34:52.351]  Women had always seemed unladylike to smoke cigarettes.
[00:34:52.811 --> 00:34:56.175]  Well, they had the Women's Lib Movement, and they funded them hundreds of thousands of dollars.
[00:34:56.195 --> 00:34:57.756]  That was millions at the time, an equivalent.
[00:34:58.277 --> 00:35:05.865]  And they had them go out and lead the parades, and the newspapers would publish, oh look, they're free, they're radical, they're smoking cigarettes.
[00:35:07.146 --> 00:35:09.729]  Here's another example of how they form your ideas.
[00:35:10.456 --> 00:35:16.804]  And all I'm asking people to do is to start realizing that we are living in a sea of propaganda.
[00:35:16.824 --> 00:35:19.908]  We are living in a sea of manipulation.
[00:35:22.091 --> 00:35:25.656]  We live under a completely federalized, micromanaged society.
[00:35:28.183 --> 00:35:30.625]  I mean, I have a stack of news articles here in front of me.
[00:35:30.665 --> 00:35:35.889]  Some of them are up on InfoWars.com, the headline, The New Technology of Repression by Consortium News.
[00:35:36.489 --> 00:35:46.756]  And it goes through what Bob Woodward a few months ago talked about, these secret weapons that are as big as the Manhattan Project that our military, really the globalist military, is using in Iraq and Afghanistan.
[00:35:46.796 --> 00:35:49.919]  And they're now admitting what a lot of it is, something I told you about years ago.
[00:35:50.459 --> 00:35:51.540]  Face scanning cameras,
[00:35:52.814 --> 00:36:04.019]  Retina scanning cameras, license plate scanning cameras, systems that track you everywhere you go, even if you cover your face by the way you walk, that is all in place here in the United States under NORTHCOM.
[00:36:04.520 --> 00:36:08.662]  That is the power of oppression and tyranny that has already been set up.
[00:36:09.502 --> 00:36:20.287]  And all over the country, you know, you may not be aware of this, but you should ask your children in public schools, and even in private schools under federal accreditation, which is through the states, they are training your children to spy on you, to tattle on you.
[00:36:20.971 --> 00:36:23.972]  The cartoons, the movies, the culture, it's all about being spies.
[00:36:24.692 --> 00:36:32.074]  They aren't, you know, not just selling us on a new holiday or a new style, or that you gotta have bacon with your eggs, you know, that was a PR thing.
[00:36:32.354 --> 00:36:33.474]  Nobody ate bacon with eggs.
[00:36:34.394 --> 00:36:37.215]  They are now selling you to be a snitch, to be a tattletale.
[00:36:37.635 --> 00:36:41.716]  They are now selling you on just so many things that are horrible.
[00:36:41.756 --> 00:36:43.917]  But the good news is their propaganda isn't working.
[00:36:45.497 --> 00:36:49.398]  You get 95% in major polls or higher against the banker takeover bill,
[00:36:50.100 --> 00:36:50.901]  But it still happens.
[00:36:50.941 --> 00:36:51.821]  That's the bad news.
[00:36:51.901 --> 00:36:55.324]  Or 91% in the Gallup polls against open borders, but still the borders are open.
[00:36:55.844 --> 00:36:58.986]  Or 75% or higher against the war, but it continues.
[00:37:01.308 --> 00:37:03.089]  So the good news is the people are waking up.
[00:37:03.570 --> 00:37:09.434]  The bad news is the establishment is completely ignoring everything we're saying, everything we're doing.
[00:37:13.336 --> 00:37:16.859]  And they're setting up a tyranny here in the United States.
[00:37:18.191 --> 00:37:25.536]  You know, I was listening to another talk show earlier today on the radio, a well-known doctor, Dr. Dina Dell.
[00:37:25.556 --> 00:37:26.577]  We've actually interviewed him.
[00:37:26.637 --> 00:37:33.262]  Trey, I want to get him back on, because I was nice to him the last time we had him on, and then made him backpedal on a bunch of things.
[00:37:33.302 --> 00:37:35.564]  But this time, I'm not going to be as nice.
[00:37:35.604 --> 00:37:38.286]  But I want you to set him up again for an hour, please, the next few weeks.
[00:37:39.106 --> 00:37:40.788]  And I heard a lady call in, and she said,
[00:37:41.877 --> 00:37:47.080]  It's a few hours ago, because they rear him on the weekend here on the station we transmit out of and syndicate across the country.
[00:37:47.140 --> 00:37:49.061]  Again, 590 AM here in Central Texas.
[00:37:49.981 --> 00:37:51.722]  And, you know, it's an interesting, entertaining show.
[00:37:51.742 --> 00:37:52.682]  I'm not even attacking the show.
[00:37:53.763 --> 00:38:03.128]  It's just that the tactic, we're going to your calls here in a moment after that, the tactic he uses is the one I see used by the mainstream media and people on the left and the right, who all work for the same masters.
[00:38:03.828 --> 00:38:11.492]  The lady called in and she said, I can't find chewing gum, bubble gum, any gum that doesn't have aspartame with sugar now.
[00:38:12.572 --> 00:38:13.273]  And that's true.
[00:38:13.373 --> 00:38:19.901]  You go to a 7-Eleven or you go to a store, you go to the grocery store, they may have 20 different types of gum, and right on the back they all say Aspartame.
[00:38:22.024 --> 00:38:25.548]  And it's an artificial sweetener approved in 1982 by Searle.
[00:38:25.769 --> 00:38:26.790]  Searle got it approved.
[00:38:26.810 --> 00:38:27.591]  Rumsfeld was the head of it.
[00:38:29.085 --> 00:38:38.431]  And she said, you know, I remember when I was in college, the former head of the EPA came and he said that, you know, in his speech, he said, I know I wouldn't feed this stuff to my family.
[00:38:38.471 --> 00:38:39.292]  And she said, is it true?
[00:38:39.352 --> 00:38:39.972]  It's bad for you.
[00:38:40.012 --> 00:38:43.795]  And he said, no, no, it's nothing's wrong with it.
[00:38:44.635 --> 00:38:45.316]  It's wonderful.
[00:38:46.437 --> 00:38:52.361]  Since the Internet got big in the late 90s, there's a fake email that goes around listing fake doctors and fake information.
[00:38:53.121 --> 00:38:54.222]  And it's all fake.
[00:38:54.422 --> 00:38:55.883]  And aspartame is good for you.
[00:38:57.124 --> 00:38:58.625]  You know, it's funny, I probably interviewed
[00:39:00.789 --> 00:39:07.532]  More than 50 or 60 scientists, doctors, neurologists, toxicologists.
[00:39:09.433 --> 00:39:14.756]  We went back and got the documents from the approval of Aspartame in 1982.
[00:39:16.776 --> 00:39:26.461]  And so that they could get Aspartame universally adopted as the new sweetener, the media falsely demonized and lobbyists from Searle demonized Saccharin.
[00:39:27.259 --> 00:39:37.761]  Which they found, if you fed rats, I think it was half their diet for something like a year, you can go pull the actual study up, half their diet, I mean half of what they were eating was saccharine.
[00:39:38.501 --> 00:39:47.082]  Just thousands of times what a human would ingest per capita for their body weight, that they got these fatty, non-cancerous, benign tumors in their kidneys.
[00:39:49.303 --> 00:39:50.163]  Okay?
[00:39:50.183 --> 00:39:54.724]  And so they demonized an artificial sweetener that actually wasn't really bad for you.
[00:39:55.244 --> 00:39:55.844]  Comparatively.
[00:39:57.808 --> 00:40:03.229]  And then they got Aspartame approved, known as NutraSweet or Equal, as the brand names.
[00:40:04.269 --> 00:40:05.810]  And it's patent ran out about five years ago.
[00:40:05.830 --> 00:40:09.370]  That's why now it's in tens of thousands of foods, not just a few.
[00:40:11.111 --> 00:40:12.251]  So it's so inexpensive now.
[00:40:13.471 --> 00:40:16.031]  And it's 64 times sweeter per gram than sugar.
[00:40:16.952 --> 00:40:23.393]  And at 87 degrees in the stomach, at 87 degrees, it breaks down into what?
[00:40:23.473 --> 00:40:23.733]  Alcohol.
[00:40:24.798 --> 00:40:36.783]  And that's a fact, and I've read on air, I mean these are from universities, the studies of when it got approved, where they gave it to rhesus monkeys, and half the baby rhesus monkeys they gave it to in their milk, was more than half of them died.
[00:40:38.103 --> 00:40:52.169]  And so, I mean there's so much evidence that aspartame is an excitotoxin, is toxic, is deadly, that it'll make your head spin, and I've interviewed the medical doctors, the scientists, I've held those documents in my hand, so I'm gonna get him on.
[00:40:53.234 --> 00:40:57.557]  And then I'm going to read him those studies.
[00:40:58.157 --> 00:40:59.878]  And these were FDA studies.
[00:41:02.500 --> 00:41:17.048]  And that reminds me of two weeks ago, the Food and Drug Administration came out and said, well, there's melamine from China and it's sickened 56,000 children there, killed a bunch of people, but we're saying melamine is no longer bad for you.
[00:41:18.829 --> 00:41:22.972]  And I've got government reports coming out now saying mercury in the shots isn't bad for you.
[00:41:24.324 --> 00:41:28.847]  And I even have a CBS News report here.
[00:41:29.148 --> 00:41:30.429]  It's up on InfoWars.com.
[00:41:30.449 --> 00:41:34.431]  We're not going to play it, but it's a link where they have a medical doctor on.
[00:41:34.471 --> 00:41:47.941]  And the FDA scientist unanimously came out and said that the BPA that's in most the plastics, most the plastic products you and your family, your babies drink out of, is an estrogen mimicker and very toxic.
[00:41:48.742 --> 00:41:51.043]  That's why we have girls when they're five going into puberty.
[00:41:51.384 --> 00:41:53.145]  That's why we have boys that are hyper-feminine.
[00:41:54.309 --> 00:41:56.831]  And Europe and Japan banned this stuff years ago.
[00:41:57.391 --> 00:41:58.151]  And there's no reason.
[00:41:58.191 --> 00:41:59.132]  Most plastics don't have it.
[00:41:59.152 --> 00:42:02.073]  And it's just the one that they chose to put in here.
[00:42:04.254 --> 00:42:14.440]  But they had the FDA... The EPA is also saying it's bad, but this is the FDA Ignore Science Advisory Panel on Poisonous Baby Bottles, BPA.
[00:42:15.240 --> 00:42:16.721]  And they just said, we don't care.
[00:42:16.821 --> 00:42:20.903]  It's going to stay in the plastic here in the United States.
[00:42:22.057 --> 00:42:26.961]  Now, I'm sorry, melamine will kill you, will make you sick, will attack your kidneys.
[00:42:27.962 --> 00:42:35.568]  BPA that leaches out of these plastics is a big problem and it's been well known and you just can't sit up there and say that it's not.
[00:42:36.069 --> 00:42:41.574]  There are thousands of studies that cell phones are giving people brain tumors from governments and universities.
[00:42:41.674 --> 00:42:42.715]  It's an absolute fact.
[00:42:42.795 --> 00:42:44.796]  It's a microwave relay system.
[00:42:44.816 --> 00:42:47.378]  That's why your computers go crazy when your cell phone rings.
[00:42:49.660 --> 00:42:50.241]  It's powerful.
[00:42:51.329 --> 00:42:55.154]  And it's microwaving right through your skull and the people get the tumor right there.
[00:42:55.734 --> 00:42:57.877]  It's the same thing with sodium fluoride put in the water.
[00:42:59.338 --> 00:43:03.443]  I have all these reports about they give it to horses and cows, fluoride water, they all die.
[00:43:04.104 --> 00:43:05.025]  But they put it in our water.
[00:43:06.574 --> 00:43:10.197]  So, I'm tired of the denial here, ladies and gentlemen.
[00:43:11.058 --> 00:43:17.423]  And I'm tired of the fact that we have a criminal eugenics elite putting us in our water and our food on purpose.
[00:43:17.443 --> 00:43:18.945]  Yes, it's all on purpose.
[00:43:18.985 --> 00:43:24.009]  Okay, your calls from Chris, Matt, Chad, George, Jawad, Joe, Jim, everybody.
[00:43:24.349 --> 00:43:28.633]  When we get back after this quick break, I'll continue with calls throughout this transmission.
[00:43:29.333 --> 00:43:30.874]  We're just trying to give you the facts you can make.
[00:43:30.994 --> 00:43:31.555]  You invest.
[00:43:31.715 --> 00:43:32.575]  You buy insurance.
[00:43:32.755 --> 00:43:33.776]  You wear your seatbelt.
[00:43:34.016 --> 00:43:36.698]  You do things to ensure your family's future and protection.
[00:43:36.858 --> 00:43:37.358]  But why?
[00:43:37.718 --> 00:43:38.359]  Just in case?
[00:43:38.959 --> 00:43:41.761]  With the current state of affairs, ask yourself, am I ready?
[00:43:42.041 --> 00:43:44.663]  Preparation starts at survivalgearsource.com
[00:43:44.983 --> 00:43:55.166]  Survivalgearsource.com has a huge selection of vital products, emergency survival kits, gas masks, MREs, communication devices, products for pet care, your car, home, office, and school.
[00:43:55.426 --> 00:43:59.527]  Protect against all natural disasters and terror attacks that can happen at any time.
[00:43:59.887 --> 00:44:03.368]  If you are not prepared, the last place you want to be is standing in FEMA lines.
[00:44:03.668 --> 00:44:05.069]  Invest in your future now!
[00:44:05.569 --> 00:44:07.751]  Visit survivalgearsource.com or call 877-231-1925.
[00:44:07.771 --> 00:44:07.971]  That's 877-231-1925.
[00:44:08.011 --> 00:44:08.552]  Survivalgearsource.com.
[00:44:08.732 --> 00:44:09.913]  That's survivalgearsource.com.
[00:44:10.033 --> 00:44:10.874]  Or call 877-231-1925.
[00:44:10.894 --> 00:44:10.934]  877-231-1925.
[00:44:10.954 --> 00:44:11.715]  Survivalgearsource.com.
[00:44:11.735 --> 00:44:13.136]  Prepare for tomorrow now.
[00:44:30.928 --> 00:44:40.591]  In a world of government oppression and tyranny, the struggle between freedom and fascism, comes a story about two people who are faced with the challenge to stand up and do the right thing for liberty.
[00:44:40.691 --> 00:44:43.992]  Her face was every face I've ever known.
[00:44:44.412 --> 00:44:46.152]  Her face was my own face.
[00:44:46.412 --> 00:44:50.933]  GCN brings you Uncivil Liberties, a movie the government does not want you to see.
[00:44:51.033 --> 00:44:53.574]  A political thriller ripped from today's headlines.
[00:44:53.654 --> 00:44:56.615]  Domestic spying, wiretapping, government chipping and more.
[00:44:56.835 --> 00:44:59.877]  The enemy of my enemy is my ally.
[00:44:59.977 --> 00:45:09.044]  For your copy of this hard-hitting film that will open your eyes, go to uncivilliberties.com to receive your full-length feature on DVD for only $13.95.
[00:45:09.484 --> 00:45:13.827]  People should look one another in the eye before they go killing for causes.
[00:45:13.927 --> 00:45:18.370]  That's uncivilliberties.com to view the movie trailer, read reviews, and purchase.
[00:45:18.370 --> 00:45:18.730]  We're good.
[00:45:31.340 --> 00:45:41.422]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:45:41.903 --> 00:45:42.963]  Garden in a Can.
[00:45:43.323 --> 00:45:46.904]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:45:47.464 --> 00:45:49.224]  Garden in a Can is ready when you are.
[00:45:49.484 --> 00:45:51.765]  Plant them now or store them for when you really need them.
[00:45:52.246 --> 00:46:01.265]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:46:01.920 --> 00:46:02.920]  Garden in a Can.
[00:46:03.340 --> 00:46:04.201]  It's that simple.
[00:46:04.541 --> 00:46:06.401]  Fresh, healthy, easy.
[00:46:06.921 --> 00:46:10.903]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:46:11.283 --> 00:46:12.203]  Ready when you are.
[00:46:12.843 --> 00:46:16.464]  Stop procrastinating and start preparing with Garden in a Can.
[00:46:16.924 --> 00:46:20.025]  For more details visit Gardeninacan.com today.
[00:46:20.405 --> 00:46:22.926]  That's Gardeninacan.com or call 866-598-7396.
[00:46:22.946 --> 00:46:22.986]  866-598-7396.
[00:46:35.493 --> 00:46:38.093]  What will you do when it happens?
[00:46:38.113 --> 00:46:49.356]  When you turn to your loved ones, will you see starvation and fear or confidence because you knew what was coming and got prepared with Patriotfood.com?
[00:46:49.797 --> 00:46:51.297]  The signs are everywhere.
[00:46:51.657 --> 00:46:53.278]  You have no excuses.
[00:46:53.678 --> 00:46:57.919]  Your indifference today will determine the magnitude of your suffering tomorrow.
[00:46:58.659 --> 00:47:03.840]  What good is it to know the truth about any conspiracy unless you take action?
[00:47:04.060 --> 00:47:09.681]  Patriotfood.com has 100 pounds of dry food supplies for just $3 a pound.
[00:47:09.921 --> 00:47:13.362]  At Patriotfood.com, you'll get 20 survival foods.
[00:47:13.682 --> 00:47:19.983]  Varieties like dried tomatoes, wild rice blend, beef base, granola, vegetable mix, and much more.
[00:47:20.203 --> 00:47:22.324]  There are just two kinds of people.
[00:47:22.944 --> 00:47:24.424]  Slave and free.
[00:47:24.944 --> 00:47:25.525]  Be ready.
[00:47:25.985 --> 00:47:26.766]  Be free.
[00:47:26.986 --> 00:47:29.368]  With patriotfood.com.
[00:47:33.352 --> 00:47:35.513]  This is the GCN Radio Network.
[00:47:36.314 --> 00:47:45.542]  Home to hard-hitting talk radio.
[00:47:46.323 --> 00:47:50.687]  Okay, let's continue with your phone calls right now, talking about the private banks.
[00:47:51.432 --> 00:48:06.280]  Taking over the United States, openly announcing they want a quote, New World Order, using that term, run for and by a private group of banks that will control our governments and set our taxes and levy a bunch of new carbon taxes, phony environmental taxes on us.
[00:48:06.741 --> 00:48:10.423]  That's all openly being announced, exactly as we told you they would because we have their own documents.
[00:48:11.883 --> 00:48:14.925]  You can stand up against these people, or I guess just stand down.
[00:48:15.906 --> 00:48:18.327]  Kind of like Americans do now when they see a crime being committed.
[00:48:19.662 --> 00:48:23.006]  The land of the free, home of the brave, to the land of the thumb-sucking cowards.
[00:48:24.167 --> 00:48:26.290]  That's not all of us, but that's a large portion of us.
[00:48:26.310 --> 00:48:30.975]  We have to wait for the mainstream media or the establishment to tell us that we can stand up or take action.
[00:48:31.356 --> 00:48:34.760]  See, that's all part of the mind control, to be a bunch of passive TV-watching
[00:48:35.683 --> 00:48:36.323]  Sick offense.
[00:48:36.503 --> 00:48:38.224]  Chris in San Marcos, Texas.
[00:48:38.264 --> 00:48:38.924]  You're on the air.
[00:48:38.964 --> 00:48:39.264]  Welcome.
[00:48:39.684 --> 00:48:39.904]  Yeah.
[00:48:39.944 --> 00:48:40.224]  Howdy.
[00:48:40.704 --> 00:48:40.985]  Hello.
[00:48:41.665 --> 00:48:43.405]  I wanted to talk about the election.
[00:48:43.465 --> 00:48:52.248]  I went in on the 20th and I voted Bob Barr for Libertarian because I'll die with a smile on my face if I don't ever have to vote Republican or Democrat again.
[00:48:52.888 --> 00:48:56.589]  I mean, it's gotten so bad that two parties have merged into the same enemy.
[00:48:57.069 --> 00:49:01.450]  And if people don't even realize that, it's time to shut off the Rush Limbaugh, you know?
[00:49:02.311 --> 00:49:03.311]  Well, what's happened is
[00:49:04.961 --> 00:49:13.184]  They have sold the public on voting like it's a horse race or a football game on who you think is going to win, instead of whose policies you actually agree with.
[00:49:13.504 --> 00:49:18.526]  And you notice the two parties don't ever want to make it about policies, because their policies are almost identical.
[00:49:18.906 --> 00:49:20.987]  It turns into, what is Sarah Palin wearing?
[00:49:21.087 --> 00:49:23.608]  Or, are you a racist if you don't like Barack Obama?
[00:49:23.628 --> 00:49:24.708]  On and on and on.
[00:49:24.748 --> 00:49:26.709]  If you wear the American flag pin, yeah.
[00:49:27.395 --> 00:49:32.459]  But, uh, you know, it's no longer a viable option to say, I'm voting for the lesser of two evils.
[00:49:32.519 --> 00:49:36.462]  The system's never gonna recover if we don't start voting for our beliefs.
[00:49:37.443 --> 00:49:41.986]  And the way I see it, the Libertarians are the only people that still seem to care about the Constitution.
[00:49:42.606 --> 00:49:45.829]  I mean, there was that one guy, Ron Paul, but, oh, he was a wacko.
[00:49:47.063 --> 00:49:47.944]  Yeah, he was a wacko.
[00:49:47.984 --> 00:49:52.426]  He told us the derivatives market was being set up for collapse and they were devaluing the currency.
[00:49:52.826 --> 00:49:54.768]  Alright, he's voting for Bob Barr.
[00:49:55.668 --> 00:49:59.310]  Let's go ahead now and talk to Jawad in New York.
[00:49:59.390 --> 00:50:00.151]  You're on the air.
[00:50:00.211 --> 00:50:00.571]  Welcome.
[00:50:01.612 --> 00:50:02.392]  Hello, Alex.
[00:50:02.632 --> 00:50:02.912]  Hi.
[00:50:03.773 --> 00:50:05.374]  Hey, thank you very much for taking my call.
