[00:00:00.009 --> 00:00:01.190]  File sharing networks.
[00:26:27.777 --> 00:26:28.697]  They knew what he was doing.
[00:26:29.098 --> 00:26:30.719]  One guy wasn't running this whole scam.
[00:26:31.199 --> 00:26:37.003]  He's taking the blame, the fall guy, because a larger Ponzi scheme being run by Israel got caught.
[00:26:37.023 --> 00:26:38.244]  And there's a lot of other
[00:26:41.408 --> 00:26:43.610]  Scams that are going on around the world as well.
[00:26:43.950 --> 00:26:45.292]  He's not the only Ponzi scheme.
[00:26:45.612 --> 00:26:47.734]  That's what Wall Street and the CIA is.
[00:26:47.774 --> 00:26:51.718]  The CIA was founded out of the OSS by Wall Street, by the Ivy League.
[00:26:52.258 --> 00:27:01.287]  They are a surly, arrogant, know-it-all group of Eddie Haskell criminals, a gang with a flag, who use fake patriotism to get you to go along with their tyranny.
[00:27:01.707 --> 00:27:03.369]  They are the ones that want globalism.
[00:27:03.409 --> 00:27:04.830]  They want to kill the United States.
[00:27:05.171 --> 00:27:06.952]  They want to bring in their own form of government.
[00:27:07.213 --> 00:27:08.434]  They want to bring in their own tyranny.
[00:27:08.454 --> 00:27:09.515]  They own both parties.
[00:27:09.895 --> 00:27:13.959]  And guess who got five times the Wall Street money that John McCain did?
[00:27:14.912 --> 00:27:17.154]  His name was Barack H. Obama.
[00:27:17.514 --> 00:27:20.256]  So he's not some black liberation guy like the left thinks.
[00:27:21.577 --> 00:27:24.138]  The right attacks him for all of those diversions and distractions.
[00:27:24.539 --> 00:27:32.024]  The real issue, this guy's a thoroughbred frontman meant to sell the left and betray the left just like George Bush was meant to betray the right.
[00:27:32.825 --> 00:27:35.266]  So that's what these guys really are and that's what they're really all about.
[00:27:35.987 --> 00:27:42.811]  Continuing looking at the screen here for folks, some of the other
[00:27:45.191 --> 00:27:51.555]  Articles that we're going over here for folks is this one I mentioned.
[00:27:51.575 --> 00:27:51.955]  Report.
[00:27:52.035 --> 00:27:56.778]  Automatic speed limiting devices should be fitted to cars.
[00:27:57.638 --> 00:28:04.222]  Half of middle class homeowners fear their properties could be repossessed in the near future.
[00:28:06.072 --> 00:28:12.294]  See, it's a country of debtors, and the minute the bankers, in 2007, January 2007, we became a debtor nation.
[00:28:12.935 --> 00:28:34.723]  We were the apple of the eye, had more than half the world's wealth, had the greatest savings rate, the greatest ownership rate, then we were taught in the 70s and 80s and 90s that being in debt was cool, and all the financial experts told you to do it on the news, and the cities invested their pension funds in these systems, and the bankers ran off with your money and bought real resources and real infrastructure, and now they're screwing you, now they're cheating you.
[00:28:40.578 --> 00:28:45.222]  Oh look, NFL encourages fans to send text messages, security staff to report troublemakers.
[00:28:45.902 --> 00:28:50.886]  And of course, humanity is breaking down, society is falling apart, the people are turning into animals.
[00:28:52.447 --> 00:28:54.168]  A football game is not a family event.
[00:28:54.448 --> 00:28:56.690]  Believe me, I've been to them in the last decade.
[00:28:57.310 --> 00:29:02.734]  And so now the answer is put everybody in jail, arrest everybody, taser a woman if she doesn't get out of her seat fast enough.
[00:29:04.436 --> 00:29:06.137]  And tattle on everybody.
[00:29:08.240 --> 00:29:09.200]  No, that's not going to fix it.
[00:29:09.560 --> 00:29:12.101]  Our society is unraveling.
[00:29:12.181 --> 00:29:13.982]  That is the major issue.
[00:29:14.342 --> 00:29:17.723]  That is the major problem that we face as a society.
[00:29:17.743 --> 00:29:25.486]  Alright, when we come back, I'm going to take some calls and I'm going to blitzkrieg through some of the news that we haven't gotten to yet.
[00:29:27.707 --> 00:29:30.227]  Obama's stimulus plan, $775 million.
[00:29:30.407 --> 00:29:31.808]  That'll be a buy-off of the states.
[00:29:32.068 --> 00:29:34.009]  That'll be given to all his political cronies and everybody.
[00:29:35.745 --> 00:29:37.585]  Of course, the bankers will then get interest on all that.
[00:29:37.645 --> 00:29:42.227]  Exclusive RNC draft rips Bush bailouts, says that it's socialism.
[00:29:42.247 --> 00:29:43.167]  We'll get into that a little bit.
[00:29:44.267 --> 00:29:46.928]  That is some of the news coming up today.
[00:29:46.948 --> 00:29:52.769]  And I promise to get to this as if things weren't bad enough, Russian professor predicts, end of the U.S.
[00:29:53.530 --> 00:29:55.110]  It's not just the Russians that are saying this.
[00:29:55.190 --> 00:29:56.030]  It's the globalists.
[00:29:56.050 --> 00:29:58.631]  They want the end of the United States.
[00:29:59.611 --> 00:30:00.312]  So stay with us.
[00:30:00.712 --> 00:30:02.113]  We'll be right back after this quick break.
[00:30:02.133 --> 00:30:03.194]  Don't forget the website.
[00:30:03.214 --> 00:30:05.135]  It's PrisonPlanet.tv and Infowars.com.
[00:30:05.316 --> 00:30:06.196]  We're on the march.
[00:30:06.697 --> 00:30:08.278]  The Empire's on the run.
[00:30:09.239 --> 00:30:11.901]  Alex Jones and the GCN Radio Network.
[00:30:15.279 --> 00:30:18.202]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:30:18.362 --> 00:30:23.626]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:30:23.886 --> 00:30:29.251]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:30:29.611 --> 00:30:30.732]  Hi, this is Alex Jones.
[00:30:31.092 --> 00:30:39.980]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:30:40.400 --> 00:30:42.021]  Now compare a Calben Pure Soap.
[00:30:42.222 --> 00:30:46.405]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:30:46.445 --> 00:30:51.068]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:30:51.468 --> 00:30:53.550]  Start saving over $1,000 a year for your family of four.
[00:30:55.291 --> 00:30:56.071]  Keep it natural.
[00:30:56.371 --> 00:30:59.972]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091.
[00:31:00.452 --> 00:31:04.473]  Or log on to 5starsoap.com.
[00:31:04.773 --> 00:31:09.954]  Try Calvin Pure Soaps, and I'll bet you'll never use any other cleaning products again.
[00:31:09.994 --> 00:31:13.934]  Call 1-800-340-7091 for all your cleaning needs.
[00:31:15.094 --> 00:31:21.476]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:31:21.836 --> 00:31:23.496]  The enemy struck America on September 11th.
[00:31:24.491 --> 00:31:25.512]  But who is the enemy?
[00:31:26.032 --> 00:31:26.532]  Bin Laden.
[00:31:26.812 --> 00:31:27.833]  This is his M.O.
[00:31:27.853 --> 00:31:29.113]  We have to look to the Middle East.
[00:31:29.173 --> 00:31:30.814]  We have to look to Osama Bin Laden.
[00:31:31.194 --> 00:31:37.938]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:31:38.338 --> 00:31:38.778]  Some U.S.
[00:31:38.818 --> 00:31:44.481]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:31:45.161 --> 00:31:48.704]  I'm aware that some Israeli citizens have been detained.
[00:31:49.045 --> 00:31:58.913]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:31:59.154 --> 00:31:59.894]  Fabled Enemies.
[00:32:00.375 --> 00:32:07.641]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:32:08.142 --> 00:32:11.485]  Either you are with us or you are with the terrorists.
[00:32:14.878 --> 00:32:20.463]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators starting at $299.
[00:32:21.123 --> 00:32:34.854]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[00:32:35.074 --> 00:32:38.237]  What else can three oxygen atoms, in other words, ozone, do?
[00:32:38.677 --> 00:32:38.937]  I think so.
[00:33:00.410 --> 00:33:01.251]  We're good to go.
[00:33:24.232 --> 00:33:25.012]  Alright, here's the deal.
[00:33:25.052 --> 00:33:25.773]  I'm going to your calls.
[00:33:25.813 --> 00:33:26.933]  I'm giving you each a minute a piece.
[00:33:26.953 --> 00:33:30.815]  I've got a bunch of news and I've got a video clip from Russian TV I want to play.
[00:33:30.835 --> 00:33:32.817]  It's been picked up by the Wall Street Journal.
[00:33:35.078 --> 00:33:37.299]  But right now, let's go ahead and go back to the calls.
[00:33:37.799 --> 00:33:39.440]  Pat in Texas, you're on the air.
[00:33:39.520 --> 00:33:39.920]  Go ahead.
[00:33:39.940 --> 00:33:42.782]  I need more than a minute.
[00:33:44.503 --> 00:33:52.607]  I know you haven't done it, but you need to do a show about this danger we have to the Constitutional Convention because Texas is guilty again
[00:33:53.174 --> 00:33:57.476]  Roe v. Wade, and now it may be our fault if we lose the Constitution.
[00:33:58.016 --> 00:34:07.580]  There was an aide, they don't say this on Wikipedia, but he was an aide to a former transportation czar who fell dead, Rick Williamson.
[00:34:08.000 --> 00:34:09.941]  And the guy's name was Gregory Watson.
[00:34:10.442 --> 00:34:10.922]  I was there.
[00:34:10.942 --> 00:34:12.743]  I was trying to fight it.
[00:34:13.663 --> 00:34:20.826]  He went back 200 years and got called for the Constitutional Convention on the Roots.
[00:34:21.146 --> 00:34:22.807]  Well, at that time, I thought it was important.
[00:34:24.657 --> 00:34:27.918]  That you could not write yourself a raise while you were in office.
[00:34:27.938 --> 00:34:29.679]  You couldn't get it until you re-elected.
[00:34:29.699 --> 00:34:33.460]  Well, it hasn't stopped them from doing it under COLA.
[00:34:33.480 --> 00:34:36.961]  It's been to court and cost of living raises.
[00:34:36.981 --> 00:34:38.241]  They're getting themselves raises.
[00:34:38.822 --> 00:34:45.684]  But what this guy was really working on when he did that was an ERA amendment.
[00:34:45.824 --> 00:34:49.265]  And what it amounts to, Alex, is this.
[00:34:49.705 --> 00:34:50.785]  He wanted to prove.
[00:34:51.125 --> 00:34:52.286]  He started doing that in 82.
[00:34:53.342 --> 00:35:04.465]  And when we approached Rick Williamson, he acted like he really didn't know anything that Texas had a call for a constitutional amendment to a convention with a ruse to balance the budget.
[00:35:05.374 --> 00:35:08.336]  It's a bait-and-switch thing.
[00:35:08.356 --> 00:35:09.337]  No, I understand.
[00:35:09.357 --> 00:35:11.438]  They're always trying to get a state income tax, too.
[00:35:12.239 --> 00:35:15.741]  For those that don't know, a Constitutional Convention is where they can call all the states together.
[00:35:16.141 --> 00:35:22.265]  There are only two states short of it right now, the closest we've been in decades to getting a Constitutional Convention.
[00:35:22.305 --> 00:35:25.548]  They can rewrite the entire Bill of Rights, entire Constitution.
[00:35:26.608 --> 00:35:30.492]  Uh, and they've got the ruse of gay marriage for the left to get behind it in some states.
[00:35:30.953 --> 00:35:34.516]  In right-wing states, they claim it's for, you know, an illegal alien amendment.
[00:35:34.536 --> 00:35:40.422]  Uh, but, but, but the group's pushing and admit it's really about gutting everything once they get it.
[00:35:41.143 --> 00:35:45.488]  And, uh, hell, the, the, you know, the executive's already declared itself dictator above the legislative.
[00:35:45.908 --> 00:35:47.328]  But that doesn't mean that's legitimate.
[00:35:47.368 --> 00:35:53.990]  But they could legitimately, it would still be tyrannical, but more legitimately at least, ram through in a con con.
[00:35:54.010 --> 00:35:55.310]  So we need to beat that.
[00:35:55.350 --> 00:35:56.390]  I appreciate your call.
[00:35:56.430 --> 00:35:58.091]  Good to hear from you, Pat.
[00:35:58.531 --> 00:35:59.791]  Joshua in Oregon.
[00:35:59.811 --> 00:36:00.451]  You're on the air.
[00:36:00.511 --> 00:36:00.832]  Welcome.
[00:36:02.672 --> 00:36:03.372]  Yeah, hey Alex.
[00:36:04.712 --> 00:36:08.033]  I want to talk to you about something that's really important to you.
[00:36:08.393 --> 00:36:08.793]  Are you there?
[00:36:09.314 --> 00:36:09.814]  Yes, I am.
[00:36:10.714 --> 00:36:11.834]  Okay.
[00:36:11.954 --> 00:36:15.395]  I heard you're having some difficulty with your websites in Google.
[00:36:16.938 --> 00:36:19.980]  Um, you know, SEO is my job.
[00:36:20.060 --> 00:36:22.082]  All day long, I handle search engines and stuff.
[00:36:22.602 --> 00:36:29.907]  And, you know, when I heard about that, I went and checked out InfoWars and PrisonPlanet.com, and your problem is not with Google.
[00:36:30.488 --> 00:36:32.189]  It's with the design of your website.
[00:36:33.570 --> 00:36:41.816]  Your website should be pulling a huge amount of traffic, but because there's some simple errors on your website, Google is completely ignoring them.
[00:36:42.839 --> 00:36:44.821]  Well, sir, I mean, it's more than that.
[00:36:44.941 --> 00:36:49.104]  It's my videos being delisted or erased off Google or YouTube.
[00:36:50.065 --> 00:36:53.968]  It's a lot of other things that are going on that are happening.
[00:36:54.008 --> 00:36:57.611]  But yes, we moved to the WordPress so people could comment.
[00:36:58.570 --> 00:37:04.752]  And then we have problems with WordPress, not letting, like I can't comment from my house for some reason, we don't know why.
[00:37:05.612 --> 00:37:09.133]  And then people accuse us of censorship because it's got such traffic.
[00:37:10.133 --> 00:37:16.015]  And yes, I know a lot of people told us it's not listed right for the search engine, so do me a favor, email Aaron
[00:37:17.159 --> 00:37:19.743]  at Infowars.com, and he'll pass that on to Kurt.
[00:37:20.644 --> 00:37:23.968]  Email, because I've had a lot of people tell me that we don't have the tags done right on there.
[00:37:24.609 --> 00:37:25.751]  And, you know, we're trying.
[00:37:26.552 --> 00:37:27.753]  We're just normal folks.
[00:37:28.835 --> 00:37:31.398]  You know, we're lucky if we can keep my websites up for a week straight.
[00:37:32.699 --> 00:37:49.705]  And so, yes, I know there's a lot of ineffective things we're doing, and since we moved from HTML to the WordPress, we've lost a lot of our search engine rankings, and that's horrible because we're not reaching as many people randomly out there with our news and information, so that needs to be changed.
[00:37:50.225 --> 00:37:52.026]  Please send me that info.
[00:37:52.086 --> 00:37:56.867]  Why don't you tell me on, right now, the errors, and I'll tell you that's the same errors I've been told about.
[00:37:56.887 --> 00:38:00.989]  Yeah, your title tags are missing on all your sites.
[00:38:02.674 --> 00:38:11.683]  PrisonPlanet.com, it has a robot text file right there that is deliberately telling Google to ignore it, to ignore the entire website.
[00:38:13.645 --> 00:38:21.452]  All of the links on PrisonPlanet.com have nofollow tags on them, which again tells Google to completely ignore it.
[00:38:21.492 --> 00:38:27.138]  I mean, to me, you know, it would be hard to set up a WordPress site that is worse.
[00:38:27.935 --> 00:38:29.277]  You know, then prisonplanet.com.
[00:38:29.297 --> 00:38:31.319]  It's as bad as it possibly can be, you know.
[00:38:31.500 --> 00:38:31.700]  It is.
[00:38:31.780 --> 00:38:32.521]  I understand.
[00:38:33.122 --> 00:38:34.724]  It's worse than anything.
[00:38:35.084 --> 00:38:36.846]  We work hard around here, let me tell you.
[00:38:38.609 --> 00:38:40.972]  Oh my God, the lost opportunities to get the word out.
[00:38:41.232 --> 00:38:43.094]  Listen, that's what I've been told by other people.
[00:38:44.622 --> 00:38:47.483]  And then it's basically show me the money.
[00:38:48.463 --> 00:38:49.083]  Do me a favor.
[00:38:49.723 --> 00:38:51.143]  Go there, contact Watson.
[00:38:51.943 --> 00:38:54.744]  Tell him what he needs to change.
[00:38:55.344 --> 00:38:56.524]  Yes, I'm aware of that.
[00:38:56.564 --> 00:38:57.964]  We need to get it fixed immediately.
[00:38:58.604 --> 00:39:03.145]  Because with friends like ourselves, who needs enemies?
[00:39:03.945 --> 00:39:08.286]  Email Watson, do me a favor, email Aaron right now and I'll make sure Kurt gets that.
[00:39:08.486 --> 00:39:10.907]  Have we set up Kurt's email in the last year he's been working here yet?
[00:39:11.667 --> 00:39:13.187]  Is it Kurt at InfoWars.com?
[00:39:14.389 --> 00:39:15.050]  Is that his email?
[00:39:16.552 --> 00:39:18.434]  We think so, yeah.
[00:39:18.554 --> 00:39:23.240]  Sir, I am aware of the problems and I tell my people and they're doing what they can.
[00:39:24.622 --> 00:39:25.322]  We need more money.
[00:39:25.803 --> 00:39:29.087]  We need people to support us so we can hire more web people and get it done.
[00:39:31.730 --> 00:39:32.832]  Do you want to volunteer to help us?
[00:39:32.852 --> 00:39:33.853]  Do you want to give me your name and number?
[00:39:34.847 --> 00:39:36.167]  Yeah, I would like to do that, sure.
[00:39:36.427 --> 00:39:36.667]  Okay.
[00:39:37.127 --> 00:39:43.129]  And then, John, don't let me forget at the end of the show to get this info from him so I can have some folks.
[00:39:43.169 --> 00:39:43.969]  Look, I'm aware of it.
[00:39:43.989 --> 00:39:48.470]  Other people tell me that we couldn't have our tags worse, is basically what I've been told.
[00:39:49.190 --> 00:39:52.330]  And it's because my web guys know the New World Order.
[00:39:52.631 --> 00:39:54.891]  They know how to analyze it, write stories, post.
[00:39:56.371 --> 00:39:59.412]  And, I mean, Paul Watson's not even a web designer.
[00:40:00.051 --> 00:40:02.573]  And you know, he writes articles, does customer service, stuff like that.
[00:40:02.593 --> 00:40:05.995]  You know, he's a contracted, not even an employee, but he does a good job.
[00:40:06.315 --> 00:40:14.601]  And then Kurt is an employee here, and you know, again, I don't want to knock my guys, but yes, I know we need to fix it.
[00:40:14.661 --> 00:40:15.081]  Thank you.
[00:40:15.881 --> 00:40:20.024]  Get his name and number, and I'll see that it all gets handled.
[00:40:22.613 --> 00:40:26.456]  Let's go ahead and talk to David in Georgia.
[00:40:26.476 --> 00:40:27.676]  David, you're on the air.
[00:40:27.696 --> 00:40:29.658]  Hey, Alex.
[00:40:29.998 --> 00:40:31.939]  First off, I just have some comments.
[00:40:32.840 --> 00:40:38.163]  A couple years ago, I did the TerrorStorm Remix video that's on YouTube.
[00:40:38.843 --> 00:40:45.528]  I believe the old InfoWars site featured it, and I'd like people to check that out if they haven't seen it.
[00:40:45.568 --> 00:40:50.691]  You can go to YouTube and type in TerrorStorm Remix, and it should be the first result.
[00:40:51.684 --> 00:41:20.033]  Alex Jones Incision, Terror Storm Remix, and also I have a close family member who worked for the Air Force civilian DOD side and classified areas avionics for about 40 years and I was able to convince him about 9-11 truth and I had a discussion with him about how they might have remote control of the planes with Global Hawk
[00:41:21.412 --> 00:41:31.804]  Oh, well, full grown adults still say there's no such thing as remote control when they can shoot cruise missiles through people's chimneys, down their chimneys, and Joe Kennedy Jr.
[00:41:31.904 --> 00:41:38.172]  died remote controlling in a chase plane a B-17 loaded with explosives as a drone.
[00:41:38.652 --> 00:41:40.214]  I mean, they've had it since World War II.
[00:41:41.195 --> 00:41:48.482]  They've been having jumbo jets take off in LA and fly to Australia since the 70s, but the public just says it doesn't exist.
[00:41:48.923 --> 00:41:54.288]  But then they say cell phones work at 20,000 feet, when they don't work at 5,000 feet!
[00:41:54.728 --> 00:41:56.070]  They're making cell phone calls!
[00:41:56.570 --> 00:42:03.857]  And then now, Barbara Olson's husband has been caught having to admit with the phone records that Barbara Olson never called him.
[00:42:04.077 --> 00:42:05.359]  It wasn't real, it isn't true!
[00:42:06.724 --> 00:42:20.547]  Yeah, but I had this conversation with him, and like I said, he worked in classified avionics, and I asked him about that, and he said that is exactly how that it was done, using Global Hawk.
[00:42:21.567 --> 00:42:36.190]  And I also had a couple questions I wanted to ask you about false flag attacks, and if you had to hypothesize, what kind of black ops outfit do you think was behind it?
[00:42:36.997 --> 00:42:37.817]  Like Delta?
[00:42:38.438 --> 00:42:41.099]  Or was it the CIA special activities?
[00:42:41.119 --> 00:42:41.319]  No.
[00:42:41.840 --> 00:42:42.320]  Exactly.
[00:42:42.800 --> 00:42:46.703]  It's a nexus of CIA running the drills to make everybody stand down.
[00:42:46.723 --> 00:42:53.706]  NORAD keep people standing down to screw up all the other groups that were tracking it at NORAD and the FAA.
[00:42:54.907 --> 00:43:15.743]  And then they used, because they were loyal and would do it, I believe Mossad was involved on the ground, along with other Cold Warrior groups, Christian Zionists, who really believe that the Muslim threat is so great that the attacks had to be staged to get America's head screwed on right, to let us know we've got to deal with this threat.
[00:43:15.783 --> 00:43:20.747]  And now they've written all these articles in the news saying 9-11 sure helped us, we need another one.
[00:43:22.327 --> 00:43:27.072]  So, you know, and we've got all these Republican memos that have come out about, man, we sure need another attack.
[00:43:27.112 --> 00:43:27.933]  That was sure great.
[00:43:27.953 --> 00:43:34.860]  You know, PNAC explained, Dick Cheney explained that the terror attacks would help them get through with their agenda.
[00:43:34.980 --> 00:43:41.648]  So I believe they used contractors, people who've been in special forces, people who, you know, are at that level above government.
[00:43:42.348 --> 00:43:49.011]  And it would take about a hundred people to do the ground ops inside those buildings where they had complete access and control.
[00:43:50.311 --> 00:43:53.113]  Jeb Bush, brother Marvin Bush, was running security.
[00:43:54.233 --> 00:43:57.455]  And I mean it's this nexus of all these key people there.
[00:43:57.775 --> 00:43:58.835]  I appreciate your call.
[00:43:59.015 --> 00:44:02.797]  I want to get to this clip so I can come back and take more calls in the final segment.
[00:44:03.757 --> 00:44:09.919]  Wall Street Journal reports, as if things weren't bad enough, Russian professor predicts end of U.S.
[00:44:10.739 --> 00:44:18.060]  And the whole article says, you know, the evil corrupt Russians, they just want America to fall and they just hate America.
[00:44:19.741 --> 00:44:21.341]  So now if you talk about the U.S.
[00:44:21.381 --> 00:44:24.202]  breaking up, going bankrupt, you're an evil Ruski.
[00:44:25.652 --> 00:44:34.345]  All the Russians are saying, he's been saying this for 10 years, is that through globalization and balkanization that the United States is falling apart.
[00:44:35.607 --> 00:44:40.073]  And he actually goes on his real reports to say this is going to hurt Russia, Russia doesn't want this.
[00:44:43.106 --> 00:44:49.989]  But if you look at the international banks, they've always, and they've bragged, the Club of Rome has bragged, that they want America to have a low standard of living.
[00:44:50.009 --> 00:44:51.250]  They want to get rid of the middle class.
[00:44:51.530 --> 00:44:52.511]  They want the U.S.
[00:44:52.551 --> 00:44:55.992]  to fall apart, so they can buy it all up cheaper and control the population.
[00:44:56.573 --> 00:45:04.437]  So, see, now they ignore Gerald Solente and Peter Schiff and myself and all these others and Ron Paul, who have been predicting this for years.
[00:45:05.077 --> 00:45:08.739]  I'm predicting a lot longer than Schiff and others, but I don't care if I get credit, whatever.
[00:45:09.680 --> 00:45:17.225]  The point is that they pretty much ignore us, but then they go, oh look, the Russkies are saying it.
[00:45:17.545 --> 00:45:20.307]  The Russkies, they hate America.
[00:45:20.527 --> 00:45:25.130]  No, the globalists are the ones that want this to happen, and they are breaking the U.S.
[00:45:25.210 --> 00:45:25.290]  up.
[00:45:25.531 --> 00:45:28.833]  So let's go ahead and look at this clip from Russia Today a few weeks ago.
[00:45:35.140 --> 00:45:35.349]  It is.
[00:45:37.128 --> 00:45:42.511]  The financial crisis and its potential consequences have been occupying the minds of many experts across the globe recently.
[00:45:42.551 --> 00:45:44.853]  Indeed, the turmoil originated in the U.S.
[00:45:45.173 --> 00:45:51.117]  And a Russian professor of economics has put forward his own theory about the impact the credit crunch will have on America.
[00:45:51.417 --> 00:45:53.938]  Joining the studio now by Igor Panarin, who says the U.S.
[00:45:53.958 --> 00:45:57.741]  will split into six pieces because of the crisis.
[00:45:58.121 --> 00:45:59.102]  Let's talk more about this.
[00:45:59.142 --> 00:45:59.882]  Sir, good evening to you.
[00:45:59.922 --> 00:46:01.383]  Thanks for joining us in the studio.
[00:46:02.003 --> 00:46:04.165]  Quite controversial thoughts, these.
[00:46:04.305 --> 00:46:05.826]  Explain your thought process, sir.
[00:46:12.569 --> 00:46:17.514]  I believe that in 1998 I was right in my theory.
[00:46:17.534 --> 00:46:31.006]  It has to do with the fact that, first of all, different states of the United States have different history, different culture, and different level of financial and economical significance in the life and activities of the United States.
[00:46:31.026 --> 00:46:33.329]  Today I believe that the world
[00:46:33.953 --> 00:46:44.419]  My immediate thought is, do you think this would have happened, may happen, according to your theory, if it weren't for the financial crisis, and if this scenario did happen, where would the power base be?
[00:47:05.863 --> 00:47:11.585]  Well, the main power base, there will be actually three power bases on the territory of the United States.
[00:47:11.645 --> 00:47:15.726]  New York and Washington, which will be under the influence of London, first of all.
[00:47:15.746 --> 00:47:19.827]  It's California and Texas, which will be under the influence of three countries.
[00:47:19.887 --> 00:47:23.068]  Russia, China and Mexico, from my point of view.
[00:47:23.568 --> 00:47:25.629]  Now, German Chancellor Angela Merkel says the U.S.
[00:47:25.669 --> 00:47:28.890]  got into this trouble in the first place by borrowing cheap money and using cheap money.
[00:47:28.930 --> 00:47:29.550]  Do you agree with her?
[00:47:34.323 --> 00:47:35.324]  I believe that she's right.
[00:47:35.404 --> 00:47:43.308]  First of all, I can emphasize that Russia and Germany often have the same points of view as far as the financial crisis is concerned in particular.
[00:47:43.608 --> 00:47:50.272]  But I also want to emphasize that the problem is that the dollar is not backed by gold, and there are too many dollars in this world.
[00:47:50.632 --> 00:47:55.455]  Well, Mr. Pinara, what are your forecasts for the outcome here in Russia regarding the financial crisis?
[00:47:57.364 --> 00:48:11.836]  I believe that the crisis in Russia can be finally prevented only with making the ruble the main reserve currency of Eurasia and turning Moscow into the main financial center of the Eurasian continent.
[00:48:12.376 --> 00:48:21.443]  Just very briefly, I just want to also pick up on something you said in your report that you even speculated, this scenario, that Alaska might want to renew its ties with Russia.
[00:48:21.483 --> 00:48:22.004]  Why is that then?
[00:48:24.318 --> 00:48:32.245]  I believe that Alaska should return to Russia, and there is a very good manager, Roman Abramovich, who's been really successful in managing... Alright, that's enough.
[00:48:33.086 --> 00:48:36.008]  Okay, that a bit fanciful there at the end.
[00:48:36.408 --> 00:48:40.152]  But decadent, bankrupt, bully nations do fall apart and do get usurped.
[00:48:40.512 --> 00:48:48.479]  But again, just like 150 years ago, 10 Western powers went in and divided up China into their own private business district.
[00:48:49.709 --> 00:48:57.395]  And had paramilitary police on every street corner and different companies and nations had different armed mercenary groups that protected them.
[00:48:58.356 --> 00:49:01.258]  That's what the United States is shifting to.
[00:49:02.319 --> 00:49:04.400]  That's why the Navy is creating its own army now.
[00:49:06.962 --> 00:49:10.044]  The criminals have taken over government and they have decided to loot the hell out of us.
[00:49:11.525 --> 00:49:12.846]  I want to bring up Ted Anderson right now.
[00:49:12.866 --> 00:49:14.367]  They've got a few final calls right at the end of the show.
[00:49:14.708 --> 00:49:16.209]  Ted, I'm not going to belabor this long.
[00:49:17.259 --> 00:49:21.905]  Gold is up over $180 in the last, it went up to $883 yesterday, and you bought gold last buy when it was at $770.
[00:49:29.795 --> 00:49:33.357]  You have a little bit of gold left at those prices.
[00:49:33.437 --> 00:49:36.359]  You are also one of our great sponsors here on the TV shows.
[00:49:36.379 --> 00:49:40.541]  We'll put some of your phone numbers and graphics up on the screen at PrisonPlanet.tv.
[00:49:41.021 --> 00:49:42.502]  Ted Anderson joining us from Minnesota.
[00:49:42.522 --> 00:49:42.862]  Are you there?
[00:49:43.302 --> 00:49:44.303]  Yeah, I'm right here with you.
[00:49:45.344 --> 00:49:48.445]  Ted, correct, you're still offering gold that you bought at the $770 level?
[00:49:48.645 --> 00:49:49.526]  Yeah, we sure are.
[00:49:49.566 --> 00:49:54.469]  We still have those francs at $205, and we have the British Sovereigns at $254.
[00:49:55.629 --> 00:49:58.771]  We were talking last time, what's the best buy in the house right now?
[00:49:59.751 --> 00:50:06.956]  I'm still offering silver dollars at The Creature from Jekyll Island for $26.45, and people sure need to know about central banking.
[00:50:07.937 --> 00:50:09.478]  We have the Walking Liberty Halves.
[00:50:09.518 --> 00:50:10.779]  They're currently at $8.40.
[00:50:11.539 --> 00:50:12.800]  I just can't say it enough.
[00:50:12.860 --> 00:50:15.622]  I mean, there's just so much going on economically in this world.
[00:50:16.517 --> 00:50:20.260]  That you simply have to take a serious look at your investments.
[00:50:20.520 --> 00:50:29.948]  Well, Ted, let's be clear, that Creature from Jekyll Island deal, the book I know, you paid $14 for those, and then you're offering a silver dollar that they're selling everywhere for above $20.
[00:50:31.329 --> 00:50:35.753]  And so, I mean, for $26, you are losing money on this?
[00:50:36.213 --> 00:50:43.159]  Well, yeah, Alex, we lose money on it, but the point of it is that we need to carry this message not just to the listeners here of the Alex Jones Show,
