[00:00:00.029 --> 00:00:01.095]  It's a political talk.
[00:28:34.805 --> 00:28:45.033]  And of course the election is just a big distraction from that, but we're going to see no major change to the economic situation other than greater takeover and greater crises.
[00:28:46.514 --> 00:28:48.755]  No, there's nothing they can do.
[00:28:49.396 --> 00:28:52.298]  Now, to give the Democrats some credit,
[00:28:52.901 --> 00:28:57.563]  They do have a platform where you have certain features that could make a difference.
[00:28:57.623 --> 00:29:03.805]  For example, in the Democratic platform, you have a feature of a national infrastructure bank.
[00:29:04.705 --> 00:29:15.848]  This is the kind of bank that was used during the Great Depression to capitalize economic recovery during the 30s, 40s, and even into the early 1950s.
[00:29:16.409 --> 00:29:18.909]  It's really what built the modern U.S.
[00:29:18.989 --> 00:29:19.750]  infrastructure.
[00:29:19.810 --> 00:29:20.770]  Nobody's ever heard of it.
[00:29:21.383 --> 00:29:29.066]  Because the financiers don't want you to know how easy it is for the government to capitalize infrastructure development and create jobs.
[00:29:29.506 --> 00:29:31.827]  There's legislation before Congress to do that.
[00:29:31.927 --> 00:29:34.528]  Kucinich introduced legislation for it.
[00:29:35.108 --> 00:29:38.730]  In the Senate, Senator Dodd introduced legislation for it.
[00:29:39.230 --> 00:29:41.531]  And it's in the Democratic Party platform.
[00:29:41.931 --> 00:29:49.174]  But they're nowhere near doing it because the current political environment will not allow
[00:29:49.767 --> 00:30:09.296]  Something as simple and as basic as an infrastructure bank, even though we see the growth of infrastructure programs that are now being used to at least address some of the problems we have with roads and highways and bridges and this sort of thing, but it's not nearly enough.
[00:30:09.936 --> 00:30:15.539]  The Republicans in McCain's stance against earmarks
[00:30:16.466 --> 00:30:24.412]  That's really, earmarks are really a surrogate for his opposition and the Republicans' opposition to infrastructure spending.
[00:30:24.973 --> 00:30:43.066]  The reason they're opposed to infrastructure spending is that when the government spends money on infrastructure, you are using public funds to do what is needed to be done to create jobs and to shore up the physical economy.
[00:30:43.546 --> 00:30:45.708]  They want everything to go through the banking system.
[00:30:46.127 --> 00:30:50.150]  They want people to have to borrow money from the banks in order to do things like this.
[00:30:50.830 --> 00:31:04.198]  They want to use private credit to privatize the economy, where private companies and corporations come in and buy water systems and even buy roads like they did with the Indiana Turnpike.
[00:31:04.859 --> 00:31:06.320]  This is what the Republicans want.
[00:31:06.420 --> 00:31:14.385]  They want to drive the economy totally into the hands of the financiers, the banking system, the big international financial
[00:31:15.294 --> 00:31:23.039]  Conglomerates, the equity funds, they couldn't care less about public support of the economy, about public financing of the economy.
[00:31:23.739 --> 00:31:32.965]  And if the Republicans are elected, it will be the worst possible thing that could happen for the economy of this country.
[00:31:35.166 --> 00:31:38.068]  Are you saying it's actually going to make a difference if Obama's elected?
[00:31:38.088 --> 00:31:40.409]  Will he put in any of these backbone infrastructures?
[00:31:40.859 --> 00:31:46.624]  In my opinion, we're going to see a little bit of tinkering around the edges the way Clinton did.
[00:31:47.705 --> 00:31:56.852]  A little bit more of certain aspects of the welfare state which are oriented primarily to the lower economic rungs, to the poverty level people.
[00:31:56.952 --> 00:31:59.714]  You know, we might see some more food stamps out there.
[00:32:00.555 --> 00:32:04.398]  We might see the earned income tax credit being expanded a little bit.
[00:32:05.178 --> 00:32:09.522]  I can't see right now the Democrats doing anything significant
[00:32:10.103 --> 00:32:25.674]  To increase the job base in this country that does not go through private enterprise, but we won't see anything really major because I don't think the Democrats have the power to go up against the financial elite that runs the system.
[00:32:27.035 --> 00:32:28.936]  At least that's the way it looks right now.
[00:32:28.996 --> 00:32:34.200]  I think that the only way to do it is to attack the Federal Reserve System at its root.
[00:32:34.881 --> 00:32:47.588]  The way Ron Paul has advocated, the way this group that met in Washington today was talking about, the one that included Nader, included Cynthia McKinney, we need a complete overhaul of the financial system.
[00:32:48.189 --> 00:33:02.397]  In addition to that, what I think we need to put into place immediately is a national dividend that would involve direct payment to individuals of the kind of resource revenues that they do through the Alaska Permanent Fund, where this year
[00:33:03.069 --> 00:33:14.358]  They've raised the Alaska Permanent Fund to a $3,200 stipend to each resident of Alaska that includes a fuel subsidy and includes a resource revenue royalty.
[00:33:14.938 --> 00:33:23.545]  We need to do something like this nationwide to attack the oncoming depression at its very roots and it's very difficult.
[00:33:23.665 --> 00:33:32.372]  I can't see the Democrats doing this without just throwing out everything that they have been doing the last 20 years
[00:33:33.459 --> 00:33:46.707]  Under the centrist regime that Clinton and the Democratic Leadership Council put in place, which is really what you might call Republican-lite, I think we need a complete revolution in public finance in this country.
[00:33:47.548 --> 00:33:53.471]  But instead, it'll just continue to leverage out to the global banking system, and the larger beast will continue to die.
[00:33:54.252 --> 00:33:54.952]  I think so.
[00:33:55.112 --> 00:34:02.557]  I think that what the Democrats are really doing is to support the so-called soft landing.
[00:34:03.188 --> 00:34:07.550]  Where we just kind of continue to slide into a prolonged depression.
[00:34:09.852 --> 00:34:12.373]  And when do you think Americans will actually start to feel it?
[00:34:12.433 --> 00:34:13.994]  When will it be obvious on the streets?
[00:34:14.734 --> 00:34:16.455]  Well, you know, people I know.
[00:34:16.475 --> 00:34:18.716]  Let's hope it's not.
[00:34:19.017 --> 00:34:32.824]  Well, I guess, I don't know, maybe Austin is different, but you know, where I am in Virginia and Maryland, it's an area that gets a lot of federal money to support it because there's so much government around here and so much military.
[00:34:33.729 --> 00:34:41.996]  But, you know, my sister and my mother go to the grocery store and they're flabbergasted at what they have to pay, or at what she has to pay for medication.
[00:34:42.877 --> 00:34:51.564]  Well, I guess at a base level I just see the dull optimism in people's eyes, hoping that a new president will actually run things and change things.
[00:34:52.345 --> 00:34:57.649]  I don't know exactly, I just have the feeling that at a gut level we have no idea what's going on on the ground floor.
[00:34:58.823 --> 00:35:18.927]  Well, that's true, and that's why one of the things that I'm constantly saying to people is that you have to get informed about the issues, and you have to understand that the root of the problem is the debt-based, usury-oriented monetary system that we have had in this country from the very beginning.
[00:35:19.547 --> 00:35:25.668]  And it's really the fact that the only way money is introduced into circulation in our economy
[00:35:26.371 --> 00:35:37.474]  It's through a bank loan at interest that is, along with the export of our manufacturing jobs to third world countries, it's bankrupted the United States.
[00:35:37.954 --> 00:35:52.437]  And until the American people understand that and get educated on that, and demand that we have political leaders who can take back the control of the financial system, of the monetary system, from the international financiers,
[00:35:53.388 --> 00:35:56.852]  Who have run this thing in this country for decades, nothing will change.
[00:35:56.872 --> 00:35:57.833]  It will only get worse.
[00:35:58.453 --> 00:36:05.900]  And it could get so bad that we have a complete loss of our democratic system, our democratic values.
[00:36:05.960 --> 00:36:07.422]  I mean, it's getting to be that critical.
[00:36:09.096 --> 00:36:12.478]  Yeah, shifting gears but probably a parallel with what's going on.
[00:36:12.939 --> 00:36:18.642]  I've got a Register article here, NASA chief blasts US space policy and leaked email.
[00:36:19.123 --> 00:36:25.627]  Mike Griffin says the White House is waging jihad against the space shuttle and offers a gloomy view of the future.
[00:36:26.528 --> 00:36:35.094]  Basically it's everything to do with our Russian relations and basically we're giving up our spot on the International Space Station system.
[00:36:35.394 --> 00:36:36.274]  What do you know about this?
[00:36:37.395 --> 00:36:41.236]  What does this mean economically and in terms of our future in space?
[00:36:41.976 --> 00:36:44.157]  Yes, we have given up on the space station.
[00:36:44.637 --> 00:36:53.040]  Once the shuttle is retired in 2010, we will not have a vehicle any longer that can take astronauts to the space station.
[00:36:53.700 --> 00:37:03.043]  Now, the space station was supposed to be a vehicle of international cooperation where the U.S., Russia, the European Space Agency, Japan and other nations would work together
[00:37:04.035 --> 00:37:06.818]  For the economic development of space resources.
[00:37:06.898 --> 00:37:08.359]  The United States has given that up.
[00:37:08.399 --> 00:37:19.209]  We've walked away from the space station and we've put all of the money that we have into this program of establishing a base on the moon.
[00:37:19.790 --> 00:37:24.374]  But the problem is that all the other countries that are now in space are going to do the same thing.
[00:37:24.915 --> 00:37:34.200]  We thought we were going to control the avenue from the Earth to the Moon through this latest venture, which is really the Apollo program rolled out again.
[00:37:34.900 --> 00:37:52.270]  But now Russia, China, the European Space Agency, Japan, and even India, if you can imagine that, are all announcing the fact that they're going to set up Moon bases in the next 20-30 years that will compete with the United States.
[00:37:52.330 --> 00:37:54.191]  We're even losing our ability to
[00:37:55.035 --> 00:37:56.656]  Uh, have leadership in space.
[00:37:57.997 --> 00:38:01.699]  And how does that relate to our game of balderdash with Russia on the ground?
[00:38:01.719 --> 00:38:14.947]  Uh, basically stepping up tensions at every level, uh, defense missile shield, uh, the Georgia conflict, uh, the central caucus region, and now in space, we're giving it all up to, uh, what's going on with Russia?
[00:38:15.587 --> 00:38:22.411]  Well, it depends on, uh, who controls the, uh, government coming out of the next election.
[00:38:23.864 --> 00:38:27.888]  Right now, we're playing a game of chicken with Russia that could lead to a World War III.
[00:38:28.608 --> 00:38:47.945]  The United States instigated the attack on South Ossetia that led to the recent conflict over Georgia, and we did that in order to escalate tensions with Russia because it's all a way to run away from our own economic collapse.
[00:38:48.505 --> 00:38:50.267]  It's called a flight forward.
[00:38:51.427 --> 00:38:52.348]  syndrome.
[00:38:52.448 --> 00:39:10.620]  Bush has this great scheme of world conquest that he's been carrying out, and Russia's the next target for this, because Russia is the one nation in the world that has the ability to separate itself completely from the financial system of the Western financial powers.
[00:39:11.340 --> 00:39:20.466]  And they're doing this, they're taking a stand, and they may be taking China, Central Asia, and possibly even India with them into a coalition
[00:39:21.147 --> 00:39:28.653]  It will draw the line in the sand where the Western financiers who control the Western nations, including the United States, cannot pass.
[00:39:29.273 --> 00:39:43.804]  Now, at that point, they either have a choice of trying to go to war against Russia, which a lot of them want to do, or of recognizing that our system is a parasitic system that's totally bankrupt and that has to be changed.
[00:39:44.284 --> 00:39:45.745]  The system can be changed.
[00:39:46.185 --> 00:39:48.367]  That's something that monetary reformers
[00:39:49.085 --> 00:39:51.327]  Including myself, I've tried to get across to people.
[00:39:51.367 --> 00:39:52.748]  The system can be changed.
[00:39:52.768 --> 00:40:03.797]  The American system, as it was founded as a republic, under the Declaration of Independence and our Constitution, give us the ability to change the system, to control our own destiny.
[00:40:03.837 --> 00:40:13.165]  We gave that power up when we allowed the financiers to come in and take over our country and our economy, when the Federal Reserve System was set up in 1913.
[00:40:13.825 --> 00:40:16.868]  Everything that's happened since then, with one war after another,
[00:40:17.518 --> 00:40:24.063]  And the military industrial state that we have now is all a consequence of losing our financial and our monetary freedom.
[00:40:24.563 --> 00:40:26.224]  We need to recapture that freedom.
[00:40:26.344 --> 00:40:27.265]  It can be done.
[00:40:29.726 --> 00:40:31.768]  But what is it going to take to accomplish that?
[00:40:32.128 --> 00:40:34.230]  I mean, I don't see it happening.
[00:40:34.290 --> 00:40:37.092]  I see it's just moving more towards that World War III scenario.
[00:40:37.652 --> 00:40:41.875]  In my opinion, what it takes is the creation of a new political party.
[00:40:42.695 --> 00:40:44.797]  We've seen things like the Reform Party,
[00:40:46.064 --> 00:41:01.213]  The Libertarian Party, the Green Party, but none of them has really stepped up to the necessity of recreating our constitutional system, and by starting with control of our financial and monetary system.
[00:41:01.713 --> 00:41:09.198]  Now, there is one party that recognizes this, and I don't know if they've been on Alex's show.
[00:41:09.278 --> 00:41:10.739]  It's the Constitution Party.
[00:41:12.199 --> 00:41:13.080]  I have met with
[00:41:13.670 --> 00:41:33.988]  Officials and candidates of the Constitution Party who recognize what the problem really is, and who see the monetary system as being the core issue that needs to be addressed, of going back and looking at what the Constitution says about the monetary system, where it gives authority over the monetary system to Congress.
[00:41:34.528 --> 00:41:39.673]  Now, I've met with Daryl Castle, for instance, and Daryl is the vice presidential candidate
[00:41:40.519 --> 00:41:41.920]  For the Constitution Party.
[00:41:42.020 --> 00:41:43.081]  He understands this.
[00:41:43.261 --> 00:41:49.387]  Daryl spoke in Denver at a rally during the Democratic National Convention.
[00:41:50.948 --> 00:41:53.470]  And, you know, brought this to people's attention.
[00:41:53.490 --> 00:41:55.752]  He's been going all over the country talking about this.
[00:41:56.473 --> 00:41:59.415]  Now, not very many people know about the Constitution Party.
[00:42:00.056 --> 00:42:02.658]  Not very many people are going to vote for it.
[00:42:03.218 --> 00:42:06.381]  But, they have an answer to the problem.
[00:42:06.481 --> 00:42:07.562]  And it's people like them
[00:42:08.277 --> 00:42:14.319]  that need to get into the forefront and that all of us who are writing in this area need to call attention to it.
[00:42:14.519 --> 00:42:24.482]  If they don't, if the American people are too blind, too asleep to begin to think for themselves about these things, then no, there's no hope for them.
[00:42:25.582 --> 00:42:29.623]  Sure, we need to return to the Constitution, but first we have to defeat the strange loves.
[00:42:30.443 --> 00:42:32.264]  A few more minutes with Richard C. Cook.
[00:42:32.524 --> 00:42:36.805]  I'm Aaron Dykes, and for Alex Jones, we will be back in just a few moments.
[00:42:39.548 --> 00:42:39.988]  We're good to go.
[00:42:57.466 --> 00:42:59.988]  Terror Storm, a history of government-sponsored terror.
[00:43:00.328 --> 00:43:01.609]  Loose Change Final Cut.
[00:43:01.889 --> 00:43:03.870]  Endgame, blueprint for global enslavement.
[00:43:04.050 --> 00:43:05.771]  The true story of the Bilderberg Group.
[00:43:05.932 --> 00:43:07.172]  The late, great USA.
[00:43:07.432 --> 00:43:08.853]  America, freedom to fascism.
[00:43:09.194 --> 00:43:16.018]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:43:16.218 --> 00:43:20.141]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:43:20.301 --> 00:43:23.683]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:43:23.983 --> 00:43:24.464]  We're good to go.
[00:43:43.986 --> 00:43:54.244]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:43:54.605 --> 00:43:56.068]  Join the info war today!
[00:43:56.897 --> 00:44:03.782]  Drink and Mate proudly presents another mind-boggling episode of America's toughest quiz show, That's Too Complicated!
[00:44:04.143 --> 00:44:09.727]  Let's see if we can figure out which contestant got the intellectual edge after an evening of partying by using Drink and Mate!
[00:44:09.907 --> 00:44:17.373]  For 20 points in the wind, Milt, Glur5 and blank kinate receptor subunits in hippocampal neurons co-assemble to form functional receptors.
[00:44:17.753 --> 00:44:18.914]  Uh, uh, Pony?
[00:44:20.235 --> 00:44:21.236]  Oh, too bad!
[00:44:21.736 --> 00:44:22.317]  Yes, Chip!
[00:44:23.027 --> 00:44:25.608]  The illogical companion of Glur 5, Glur 6.
[00:44:26.708 --> 00:44:27.708]  You've won the game!
[00:44:28.048 --> 00:44:35.711]  Hey, life is like a game, and if you want to win, you've got to give it your best every day, which doesn't always happen after an evening of celebrating with friends and family.
[00:44:35.931 --> 00:44:42.092]  That's why there's Drink and Mate, a patented formula of guava leaf extract proven to reduce the effects of hangover.
[00:44:42.332 --> 00:44:46.934]  It restores balance to your body, keeping headaches and nausea at bay, and it really works!
[00:44:47.074 --> 00:44:47.694]  Tell them, Don!
[00:44:58.644 --> 00:45:03.949]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:45:04.289 --> 00:45:06.571]  At LaysMedInc, the future is here.
[00:45:06.932 --> 00:45:10.375]  Now it's cancer's turn to die with our patented methodology.
[00:45:10.595 --> 00:45:13.538]  Without cutting, bleeding, drugs, or damaging radiation,
[00:45:13.698 --> 00:45:21.841]  We can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[00:45:22.001 --> 00:45:25.082]  We offer a real solution using real science.
[00:45:25.462 --> 00:45:29.303]  Our unique approach to cancer treatment is what everyone has been waiting for.
[00:45:29.583 --> 00:45:32.744]  A simple, easy way to eliminate the threat of cancer.
[00:45:33.044 --> 00:45:35.085]  Laser technology at its best.
[00:45:35.305 --> 00:45:38.506]  To receive an information packet, call our treatment center at 501-255-0525.
[00:45:41.647 --> 00:45:42.288]  We're good to go.
[00:46:14.787 --> 00:46:15.968]  All right, we are back.
[00:46:16.008 --> 00:46:21.613]  This is Aaron Dykes in just briefly for Alex Jones while he's getting ready for an interview with Press TV.
[00:46:22.393 --> 00:46:29.439]  And something I wanted to mention, today is the day they launched the Super Hadron Collider at CERN over in Switzerland.
[00:46:29.819 --> 00:46:35.724]  And an item in the Hindustan Times, Shiva the Destroyer presides over Big Bang mock-up.
[00:46:36.244 --> 00:46:49.419]  The symbolism is strong as scientists at the European Organization for Nuclear Research, CERN, near Geneva smash subatomic particles in the world's largest experiment, Shiva the Destroyer, will be in close proximity.
[00:46:49.819 --> 00:46:55.926]  That is right, they have a statue of the Hindu god of destruction over this new god-like
[00:46:56.807 --> 00:47:05.313]  project and they're always trying to play God, this time literally trying to go back to the first seconds, the first milliseconds, the first moments after the Big Bang.
[00:47:05.733 --> 00:47:08.155]  It's the same thing they did after the Manhattan Project.
[00:47:08.575 --> 00:47:14.179]  Robert Oppenheimer, who presided over the atomic bomb, wasn't even a scientist.
[00:47:14.239 --> 00:47:18.442]  He was an Eastern poet and philosopher researcher.
[00:47:19.102 --> 00:47:25.687]  And there's a quote he said after they dropped the bomb that was very similar to this business about Shiva the Destroyer.
[00:47:26.167 --> 00:47:27.227]  John, do you have that clip ready?
[00:47:28.327 --> 00:47:29.808]  The world would not be the same.
[00:47:29.828 --> 00:47:32.728]  Few people laughed.
[00:47:33.768 --> 00:47:34.869]  Few people cried.
[00:47:35.989 --> 00:47:37.329]  Most people were silent.
[00:47:38.329 --> 00:47:43.210]  I remembered the line from the Hindu scripture, the Bhagavad Gita.
[00:47:44.250 --> 00:47:54.112]  Vishnu is trying to persuade the prince that he should do his duty and to impress him.
[00:48:03.495 --> 00:48:10.621]  That's right, destroyer of worlds.
[00:48:10.681 --> 00:48:17.447]  The problem I have isn't that they're probably or even possibly one in a million chance going to end the world, it's that they're playing God.
[00:48:17.787 --> 00:48:19.309]  They're scientific dictatorships.
[00:48:19.389 --> 00:48:20.690]  Richard Cook, any final thoughts?
[00:48:21.621 --> 00:48:30.144]  Well, yeah, I think they're kind of nuts, but if I could just mention, I've got a new article coming out today.
[00:48:31.164 --> 00:48:32.324]  Check on Global Research.
[00:48:32.384 --> 00:48:36.005]  It's called The Real Reasons for the Fannie Mae-Freddie Mac Takeover.
[00:48:36.045 --> 00:48:39.006]  It talks about some of the issues we've discussed today.
[00:48:39.086 --> 00:48:42.147]  I've got a new special report coming out.
[00:48:42.707 --> 00:48:48.529]  It's called Election 08, Crime, Family, Food Fight, or Threat to Mankind.
[00:48:49.286 --> 00:48:50.267]  It's a long report.
[00:48:50.327 --> 00:49:02.835]  It's available, uh, if you will write to our email, uh, that's maintained by my partner, Susan Boskey, and it's, uh, right to economicsanity at gmail.com.
[00:49:03.356 --> 00:49:06.338]  And we'll give you the information about getting hold of that report.
[00:49:06.358 --> 00:49:12.102]  The title is Election 08, Crime, Family, Food Fight, or Threat to Mankind.
[00:49:12.122 --> 00:49:15.264]  Uh, I always like to maintain hope.
[00:49:15.364 --> 00:49:18.506]  I think, uh, we live on a beautiful planet.
[00:49:19.304 --> 00:49:20.888]  We're a talented people.
[00:49:20.908 --> 00:49:27.463]  I think there's hope, but people have to take responsibility for themselves and do the right thing.
[00:49:29.318 --> 00:49:29.838]  That's right.
[00:49:29.899 --> 00:49:31.300]  Let's turn this thing around.
[00:49:31.340 --> 00:49:32.360]  Thank you, Richard Cook.
[00:49:32.941 --> 00:49:36.504]  And I just wanted to mention tomorrow, September 11th, get out there.
[00:49:36.584 --> 00:49:37.765]  Let's turn this thing around.
[00:49:38.425 --> 00:49:44.970]  Do your part wherever you are, whether it's New York City, West Coast, East Coast, over in Europe.
[00:49:45.030 --> 00:49:47.893]  Just get out there and let's let them know we know what really happened.
[00:49:48.473 --> 00:49:52.837]  And don't forget the podcast is about to restart in just a few seconds.
[00:49:53.377 --> 00:49:55.439]  I'm Aaron Dykes, just popping in briefly.
[00:49:55.459 --> 00:49:57.760]  I usually just sit in the back while Alex
[00:49:58.621 --> 00:49:59.762]  You know, rides the mic here.
[00:50:01.903 --> 00:50:02.784]  So, check it out.
[00:50:02.864 --> 00:50:05.686]  Infowars.com, PrisonPlanet.com.
[00:50:05.726 --> 00:50:06.406]  Thank you very much.
[00:50:12.470 --> 00:50:14.611]  Podcast at Infowars.com.
[00:50:14.992 --> 00:50:17.313]  Retransmission in less than 60 seconds.
