[00:00:00.836 --> 00:00:01.256]  Yes, sir.
[00:23:13.584 --> 00:23:16.745]  A simple, easy way to eliminate the threat of cancer.
[00:23:17.065 --> 00:23:19.085]  LASER technology at its best.
[00:23:19.305 --> 00:23:22.846]  To receive an information packet, call our treatment center at 501-255-0528.
[00:23:22.906 --> 00:23:23.526]  That's 501-255-0528.
[00:23:23.666 --> 00:23:25.986]  Or visit our website at lasmedinc.com.
[00:23:26.187 --> 00:23:28.047]  That's L-A-S-E-M-E-D-I-N-C dot com today.
[00:23:40.879 --> 00:23:57.127]  Imagine if I'd come to you a couple of years ago and said to you, hey, gasoline prices are going to jump to $5 a gallon, and I know a way that we can store several hundred gallons for you, a year or two supply of gasoline, buy it today at $2 a gallon, and when it goes to $5 a gallon, you'll be way ahead of the game.
[00:23:57.447 --> 00:24:01.709]  And you probably at the time would have said to me, you're nuts, get away, you're crazy, go bye-bye!
[00:24:02.049 --> 00:24:07.732]  And okay, fine, now I'm telling you what's happened to gasoline is happening to food, your grocery bills.
[00:24:09.585 --> 00:24:10.887]  We've got to do our duty.
[00:24:10.987 --> 00:24:12.148]  Consequence belongs to God.
[00:24:12.209 --> 00:24:14.412]  We've got to try to warn people what this war is going to mean.
[00:24:14.432 --> 00:24:17.295]  The economy to our name.
[00:24:18.905 --> 00:24:19.025]  Well,
[00:24:48.132 --> 00:24:50.093]  It not only looks like it, it's a fact.
[00:24:52.855 --> 00:24:55.296]  You won't get any argument out of me on that score, Alex.
[00:24:58.758 --> 00:25:04.561]  I think that's another important sign of just the disconnect from reality we're seeing in the power structure, Dr. Roberts.
[00:25:06.763 --> 00:25:10.505]  Well, don't you know they bragged on how disconnected they were?
[00:25:12.846 --> 00:25:16.128]  They would create the reality and we'd have to go find out what it was.
[00:25:17.560 --> 00:25:20.681]  So they don't accept any limits.
[00:25:21.642 --> 00:25:24.323]  They think they're omnipotent.
[00:25:25.884 --> 00:25:30.405]  And it's so hilarious, because these are the guys that can't occupy Baghdad.
[00:25:31.266 --> 00:25:45.732]  These are the guys that have to allow the Chinese to pay their salaries, and lend us money to pay Social Security wealth, and lend us money to buy fuel for the planes we use to bomb
[00:25:46.587 --> 00:25:50.109]  Civilians in the Middle East and Africa and wherever.
[00:25:51.730 --> 00:25:54.052]  And yet they think they're omnipotent.
[00:25:55.073 --> 00:25:57.394]  We already decided, didn't we, that they were insane.
[00:25:59.075 --> 00:26:03.218]  So, of course, that means they're a huge danger to us.
[00:26:03.238 --> 00:26:06.120]  I don't think people, short of taking up arms,
[00:26:14.918 --> 00:26:18.840]  During what Thomas Jefferson said that we needed to do every 200 years.
[00:26:18.860 --> 00:26:22.121]  And of course, he lived in a time of very slow change.
[00:26:22.481 --> 00:26:27.464]  So 200 years, he would probably shorten that if he was around today.
[00:26:28.624 --> 00:26:34.407]  Other than, you know, overthrowing the government, starting over, there's nothing we can do because they don't listen to us.
[00:26:34.967 --> 00:26:36.948]  The people don't count.
[00:26:37.008 --> 00:26:39.709]  Bush has made it clear there's no interest in public opinion.
[00:26:41.267 --> 00:26:42.828]  The Democrats aren't either.
[00:26:42.848 --> 00:26:53.292]  I mean, the electorate tried to stop it when we elected the Democrats in 2006, and the Democrats did nothing.
[00:26:53.913 --> 00:26:54.913]  They've not used the power.
[00:26:55.173 --> 00:26:58.195]  Why do you think Conyers and Pelosi are blocking any impeachment?
[00:26:58.255 --> 00:26:58.535]  Fear?
[00:26:59.895 --> 00:27:01.016]  Paid off money.
[00:27:01.876 --> 00:27:02.536]  They've been bought.
[00:27:04.137 --> 00:27:08.259]  Somebody's put, you know, 10, 20, 30 million dollars on the account somewhere for them.
[00:27:09.352 --> 00:27:10.592]  That's my view of it.
[00:27:10.812 --> 00:27:11.913]  I mean, I can't prove that.
[00:27:11.973 --> 00:27:12.813]  Nobody can prove it.
[00:27:14.193 --> 00:27:15.254]  I think they're all balls.
[00:27:15.294 --> 00:27:16.954]  They're not any sincere people.
[00:27:17.434 --> 00:27:19.715]  Who do we know that's sincere in politics?
[00:27:19.775 --> 00:27:21.956]  Ron Paul and Dennis Kucinich.
[00:27:22.256 --> 00:27:24.196]  And Ron Paul almost died a few days ago.
[00:27:24.216 --> 00:27:25.216]  I'm sure you heard about that.
[00:27:25.817 --> 00:27:26.357]  No, I didn't.
[00:27:26.697 --> 00:27:29.158]  The depressurization and nosedive of the aircraft?
[00:27:29.958 --> 00:27:30.858]  No, I didn't know about that.
[00:27:30.878 --> 00:27:32.218]  With seven congressmen on board?
[00:27:32.238 --> 00:27:35.739]  Well, maybe that was a warning.
[00:27:38.806 --> 00:27:40.907]  Listen, I don't want to get too conspiratorial.
[00:27:42.167 --> 00:27:46.569]  And I don't want to get people too, you know, down and give up.
[00:27:46.629 --> 00:27:49.630]  But I think we've reached the point now where it's out of our hands.
[00:27:50.930 --> 00:27:55.732]  The question really is how the rising powers view this.
[00:27:55.752 --> 00:27:59.613]  The rising powers are China, Russia, India.
[00:28:01.734 --> 00:28:03.514]  In 20 years, they'll rule the world.
[00:28:03.574 --> 00:28:04.295]  We'll be nothing.
[00:28:05.335 --> 00:28:08.276]  And the question is how will they view this?
[00:28:10.575 --> 00:28:15.216]  Do the Russians want radioactivity on their borders?
[00:28:15.776 --> 00:28:21.438]  Do the Chinese want all their energy investments destroyed in Iran?
[00:28:24.038 --> 00:28:31.760]  Do the Europeans want this with their large Muslim populations who will probably be radicalized by it?
[00:28:34.371 --> 00:28:41.237]  And whether or not any of them do anything, and whether they all say, well, look, let's just let the fools go ahead, because this is the best way to get rid of America.
[00:28:41.557 --> 00:28:43.038]  Well, that's what the Russians are saying.
[00:28:43.058 --> 00:28:44.399]  They're saying, go ahead, fools.
[00:28:45.380 --> 00:28:59.211]  Yeah, I think maybe that's... I think that's what the Chinese decided, that rather than interfere and get in a conflict with us that might re-energize us in some other way,
[00:29:00.439 --> 00:29:02.601]  They'll just let us go on dry doom.
[00:29:02.621 --> 00:29:05.243]  You know, nobody tried to stop Hitler from marching into Germany.
[00:29:07.204 --> 00:29:10.407]  When he did that, the British Churchill said, well, now we've won.
[00:29:11.988 --> 00:29:22.276]  So, I don't think anybody will stop us in order to save the Iranians, because they haven't got anything against the Iranians, but they've got a lot against us.
[00:29:22.597 --> 00:29:25.599]  And if we self-destruct, it's easier.
[00:29:26.523 --> 00:29:27.804]  Yeah, they don't like us anyhow.
[00:29:27.824 --> 00:29:34.788]  I mean, we're always bossing people around, criticizing them for sins that are a fraction of our own sins.
[00:29:34.808 --> 00:29:36.289]  Dr. Roberts, stay there.
[00:29:37.850 --> 00:29:39.371]  Okay, stay there with us.
[00:29:40.051 --> 00:29:45.754]  We're gonna come right back and finish up how you see this unfolding and taking phone calls.
[00:29:45.835 --> 00:29:46.555]  Stay with us.
[00:29:50.577 --> 00:29:51.418]  We're on the Valley 1.
[00:29:53.359 --> 00:29:54.940]  So, I don't think anybody
[00:29:56.144 --> 00:30:03.669]  We'll stop us in order to save the Iranians, because they haven't got anything against the Iranians, but they got a lot against us.
[00:30:03.950 --> 00:30:08.093]  And if we self-destruct, it's easier for them.
[00:30:08.113 --> 00:30:09.173]  They don't like us anyhow.
[00:30:09.193 --> 00:30:16.199]  I mean, we're always bossing people around, criticizing them for sins that are a fraction of our own sins.
[00:30:16.219 --> 00:30:17.700]  Dr. Roberts, stay there.
[00:30:19.261 --> 00:30:20.802]  Okay, stay there with us.
[00:30:20.822 --> 00:30:24.885]  We're gonna come right back and finish up how you see this unfolding.
[00:30:25.743 --> 00:30:27.964]  And, uh, taking phone calls, stay with us.
[00:30:31.926 --> 00:30:32.867]  We're on the march.
[00:30:33.327 --> 00:30:34.948]  The Empire's on the run.
[00:30:35.868 --> 00:30:38.670]  Alex Jones and the GCN Radio Network.
[00:30:44.733 --> 00:30:47.654]  Imagine walking down the street and hearing footsteps behind you.
[00:30:48.115 --> 00:30:52.237]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:30:52.957 --> 00:30:54.618]  What are you going to do to defend yourself?
[00:30:55.433 --> 00:30:59.540]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[00:31:00.141 --> 00:31:08.236]  With everything from stun guns and tasers to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[00:31:08.940 --> 00:31:09.881]  Not sure where to start?
[00:31:10.321 --> 00:31:13.684]  The Tebowtech Essentials Package is great for you or to share with your family.
[00:31:14.225 --> 00:31:24.954]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:31:25.595 --> 00:31:31.640]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:31:32.333 --> 00:31:34.197]  Don't be a victim, be a victor!
[00:31:34.798 --> 00:31:35.479]  Stock up now!
[00:31:35.860 --> 00:31:39.587]  tbotech.com that's t-b-o-t-e-c-h dot com
[00:31:44.551 --> 00:31:46.672]  Once, America was led by real politicians.
[00:31:46.893 --> 00:31:51.796]  Now politicians in the U.S., city, county, state, and federal are owned and controlled by corporations.
[00:31:51.976 --> 00:31:54.457]  We have corporate representatives instead of politicians.
[00:31:54.677 --> 00:31:58.800]  Criminal corporate manipulation has caused grain prices to soar to the highest levels in history.
[00:31:58.960 --> 00:32:01.842]  Shortages of rice, corn, and wheat now exist in most countries.
[00:32:02.002 --> 00:32:05.244]  Natural disasters have put millions worldwide at risk of starvation.
[00:32:05.344 --> 00:32:10.207]  Food riots and breadlines occur daily in 30 nations, and not only is that list growing, but it's headed this way.
[00:32:10.407 --> 00:32:14.349]  Survival Enterprises are master distributors of the highest quality long-term storage foods.
[00:32:14.469 --> 00:32:19.311]  Mountain House freeze-dried foods, canned beef, chicken, turkey, butter, bacon, spices, cheese, fruit, and more.
[00:32:19.391 --> 00:32:21.052]  We have tons of food in stock now.
[00:32:21.252 --> 00:32:22.732]  Call 1-800-753-1981.
[00:32:22.952 --> 00:32:26.334]  That's 1-800-753-1981.
[00:32:26.534 --> 00:32:28.455]  Or go to BeforeIt'sTooLate.us.
[00:32:28.555 --> 00:32:30.676]  That's BeforeIt'sTooLate.us.
[00:32:30.836 --> 00:32:33.617]  Where you'll find what you need to keep you and your loved ones secure.
[00:32:33.757 --> 00:32:37.459]  And remember, those without food will be servants of those with the food.
[00:32:37.759 --> 00:32:38.179]  Call now.
[00:32:41.698 --> 00:32:43.720]  May I have everybody's attention, please?
[00:32:43.841 --> 00:32:46.263]  I've come with a message of information.
[00:32:46.283 --> 00:32:48.906]  9-11 was an inside job.
[00:32:48.926 --> 00:32:50.068]  Do you like being a puppet, sir?
[00:32:50.088 --> 00:32:51.689]  Do you like being a puppet for the New World Order?
[00:32:51.789 --> 00:32:54.653]  How do the American people know that 9-11 was a stage?
[00:32:54.693 --> 00:32:58.477]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:32:58.717 --> 00:33:00.359]  Are you listening?
[00:33:00.419 --> 00:33:00.860]  Shut up!
[00:33:06.670 --> 00:33:11.075]  David, George, Steve, Todd, Mike, and many others are going to be on your phone calls here in about five minutes.
[00:33:11.776 --> 00:33:15.280]  I wanted to first get, Dr. Roberts is an expert on the economy.
[00:33:16.832 --> 00:33:19.074]  He was the engineer of one of the biggest boom times in U.S.
[00:33:19.094 --> 00:33:21.275]  history during the 80s and the early 90s.
[00:33:22.116 --> 00:33:25.699]  And of course, he added up the Department of the Treasury policy.
[00:33:25.739 --> 00:33:26.800]  He called the shots there.
[00:33:27.220 --> 00:33:30.382]  Really honored that he spent so much time with us and we appreciate that.
[00:33:30.763 --> 00:33:38.889]  Your call is coming up in a moment after I ask him where he thinks the economy is currently with these bank runs and commodities and the rest of it.
[00:33:38.909 --> 00:33:39.710]  Before we do that,
[00:33:40.714 --> 00:33:44.555]  Two sponsors that make this radio show possible are really fabulous folks.
[00:33:45.175 --> 00:33:46.756]  One of them is Acola Blue.
[00:33:47.316 --> 00:33:48.296]  Acolablue.com.
[00:33:48.336 --> 00:33:50.637]  Big fat banner up on InfoWars.com.
[00:33:52.598 --> 00:33:56.459]  If you forget the web address, it's E-C-O-L-O-Blue.com.
[00:33:56.519 --> 00:34:00.980]  Acolablue.com or 1-866-585-4044.
[00:34:01.040 --> 00:34:01.500]  What is it?
[00:34:02.781 --> 00:34:04.201]  I saw one of these a decade ago.
[00:34:04.321 --> 00:34:06.102]  It's put out by Hendrix.
[00:34:07.002 --> 00:34:09.483]  It's just an amazing system that gets
[00:34:11.038 --> 00:34:14.061]  As much as 7.5 gallons a day in humid areas.
[00:34:14.241 --> 00:34:16.122]  In desert it gets about 2 gallons a day.
[00:34:16.142 --> 00:34:17.984]  It grabs it out of the atmosphere.
[00:34:18.044 --> 00:34:19.665]  Then it puts it through 5 filters.
[00:34:20.586 --> 00:34:25.891]  Okay, and very easy to maintenance and you can plug it into a solar panel if you want or use power to do it.
[00:34:27.014 --> 00:34:35.539]  An amazing system, acolablue.com, 1-866-585-4844, or check out the website, acolablue.com.
[00:34:36.139 --> 00:34:38.121]  Also another sponsor, efoodsdirect.com.
[00:34:38.141 --> 00:34:41.543]  Look, I don't know what's going to happen, but if there's a 10% chance we're going to have a depression,
[00:34:42.583 --> 00:34:43.524]  Or World War III.
[00:34:44.104 --> 00:34:45.746]  It's a lot worse than that, obviously.
[00:34:46.106 --> 00:34:47.987]  We can only hope to collapse like the Soviet Union.
[00:34:48.007 --> 00:34:49.208]  That's what all the experts are saying.
[00:34:49.248 --> 00:34:55.033]  Instead of just going on in a Hitlerian event of endless war and national drafts and total martial law.
[00:34:55.413 --> 00:34:56.474]  You need to have storable food.
[00:34:56.494 --> 00:34:57.675]  They'll use food as a weapon.
[00:34:57.715 --> 00:34:58.656]  It's in the cards.
[00:34:59.096 --> 00:35:00.317]  You need to have storable food.
[00:35:00.377 --> 00:35:02.679]  High quality, freeze-dried food.
[00:35:02.699 --> 00:35:03.680]  They got it in stock.
[00:35:03.760 --> 00:35:06.582]  It's where I've gotten storable foods four times and bought it for family.
[00:35:07.102 --> 00:35:07.823]  Wonderful people.
[00:35:09.560 --> 00:35:12.581]  eFoodsDirect.com, eFoodsDirect.com is the website.
[00:35:12.601 --> 00:35:17.983]  Huge banners at the top of InfoWars.com and PrisonPlanet.com or give them a call, get a free brochure, a free audio CD.
[00:35:18.663 --> 00:35:21.985]  About their product line is the J. Michael Stevens Group, 800-409-5633, 1-800-409-5633 or eFoodsDirect.com.
[00:35:28.587 --> 00:35:36.592]  And before we go back to Dr. Roberts, I do want to then also remind everybody that Dr. Roberts has a best-selling book now in its second edition, The Tyranny of Good Intentions.
[00:35:36.732 --> 00:35:41.535]  You need to get it to see how they're setting up a total police state here in the United States.
[00:35:41.655 --> 00:35:42.696]  It's in bookstores everywhere.
[00:35:42.716 --> 00:35:45.458]  In fact, I was at the bookstore about a month ago and saw a stack of them sitting there.
[00:35:45.858 --> 00:35:46.918]  So be sure and get that.
[00:35:46.958 --> 00:35:51.721]  Even if you know all about this stuff, get it and give it to somebody that reads in your family who's not fully awakened.
[00:35:52.082 --> 00:35:55.324]  Because that's the only way to stop this is educating people one step at a time.
[00:35:56.785 --> 00:36:01.089]  Dr. Roberts, briefly, because I want to go to calls while we have you for people who want to talk to you.
[00:36:02.210 --> 00:36:07.875]  The economy, give us a rundown with your expertise on the current state of affairs and where you see it going.
[00:36:08.956 --> 00:36:12.259]  Okay, Alex, you know, the situation is different than ever before.
[00:36:12.839 --> 00:36:14.481]  These financial instruments are different.
[00:36:15.001 --> 00:36:17.704]  The risks that people have taken are much greater.
[00:36:19.005 --> 00:36:21.367]  The damage is far more widespread.
[00:36:23.030 --> 00:36:30.172]  Most likely outcome, in my opinion, we're going to have an inflationary recession.
[00:36:30.192 --> 00:36:32.672]  A serious recession.
[00:36:33.533 --> 00:36:37.554]  Inflationary, not deflationary.
[00:36:37.794 --> 00:36:47.156]  Because the Federal Reserve is going to supply the liquidity to make whole all of these bad investments.
[00:36:48.396 --> 00:36:51.617]  And therefore, there's going to be an outpouring of money.
[00:36:52.537 --> 00:36:56.519]  But it's going to have literally no effect in raising employment.
[00:36:57.179 --> 00:36:59.640]  So we're going to have high inflation, high unemployment.
[00:37:00.061 --> 00:37:11.506]  It's going to be a very difficult situation to get out of because the policy levers just don't exist to deal with that kind of catastrophe.
[00:37:12.127 --> 00:37:21.211]  It's amazing that the government of the United States was capable of producing such an unholy mess.
[00:37:21.906 --> 00:37:22.586]  Well, you think.
[00:37:22.706 --> 00:37:27.108]  It wasn't that long ago that we had a very strong economy.
[00:37:27.688 --> 00:37:29.648]  Reagan gave us back the economy.
[00:37:29.688 --> 00:37:33.230]  We were growing without rising inflation.
[00:37:34.090 --> 00:37:34.970]  Everything was fine.
[00:37:34.990 --> 00:37:36.671]  It was just completely wrecked.
[00:37:37.711 --> 00:37:48.354]  And they've now got a situation, as I said, that I think will be an inflationary recession that they will have no way to get out of.
[00:37:48.374 --> 00:37:48.414]  So,
[00:37:52.173 --> 00:37:53.214]  It's not good.
[00:37:53.734 --> 00:37:55.636]  Nothing good.
[00:37:55.716 --> 00:37:57.177]  There's no leadership.
[00:37:57.257 --> 00:37:59.079]  There's no awareness.
[00:37:59.099 --> 00:38:01.280]  They're full of hubris.
[00:38:01.300 --> 00:38:03.342]  They still think they're a superpower.
[00:38:05.504 --> 00:38:06.184]  What can you do?
[00:38:07.245 --> 00:38:09.707]  Isn't that, historically, the worst combination?
[00:38:10.068 --> 00:38:15.992]  To have a retracting, contracting economy while you have inflation going into hyperinflation?
[00:38:16.293 --> 00:38:18.915]  Or is there any other... Oh, so it is the worst?
[00:38:19.693 --> 00:38:20.634]  That is the worst.
[00:38:20.974 --> 00:38:21.955]  You nailed it, Alex.
[00:38:21.995 --> 00:38:22.495]  You nailed it.
[00:38:22.595 --> 00:38:29.801]  That is the worst situation, and there's no obvious remedy.
[00:38:30.201 --> 00:38:40.149]  In fact, the remedy is so serious, difficult, and imposes such cost that people shy away from it.
[00:38:41.169 --> 00:38:41.889]  Well, isn't that it?
[00:38:41.929 --> 00:38:49.671]  We have an infantile public that can't deal with interest rate hikes, or with tariffs, or with other things, or with investment in manufacturing.
[00:38:49.711 --> 00:38:50.932]  They want things that are instant.
[00:38:51.412 --> 00:38:58.514]  And so instead, they're going to give us kind of the morphine, putting us into a coma, and then economic death, collapse?
[00:38:59.914 --> 00:39:03.615]  Yeah, I think people are not going to be able to afford anything.
[00:39:03.636 --> 00:39:04.736]  They're not going to have income.
[00:39:04.756 --> 00:39:06.816]  The government is going to pay its bills by printing money.
[00:39:10.587 --> 00:39:15.331]  This great unipower will disappear off the face of the earth really quick.
[00:39:16.211 --> 00:39:18.053]  People have no idea how vulnerable we are.
[00:39:18.633 --> 00:39:29.301]  You know, the United States trade deficit is larger than the combined trade deficits of every other country in the world that's in deficit position.
[00:39:32.443 --> 00:39:33.284]  This is extraordinary.
[00:39:33.344 --> 00:39:38.788]  Our budget deficit is larger than the annual budget deficit of the government.
[00:39:39.656 --> 00:39:42.437]  Then the combined budget debits of every other country in the world.
[00:39:42.557 --> 00:39:43.597]  Okay, let me ask you this question.
[00:39:44.538 --> 00:39:47.699]  Alex, we finance these by foreigners lending us the money.
[00:39:49.300 --> 00:39:55.182]  And then there's no industry to have the money to buy goods anymore, so it's going to cause a worldwide problem, isn't it?
[00:39:55.202 --> 00:39:56.102]  We've got nothing to sell.
[00:39:56.322 --> 00:39:59.063]  We've got nothing to sell to close the trade debt.
[00:39:59.143 --> 00:40:06.066]  And now that they've run up the oil price so much, the trade debit must be somewhere over a trillion dollars.
[00:40:08.078 --> 00:40:13.681]  I mean, it was seven, eight hundred billion back when the oil price was, what, thirty dollars?
[00:40:15.261 --> 00:40:16.582]  Let me ask you this.
[00:40:18.563 --> 00:40:22.485]  It's got to be, the trade deficit must be somewhere around a trillion dollars.
[00:40:23.445 --> 00:40:28.207]  And the only way we pay for that is by turning over the ownership of our existing assets.
[00:40:28.748 --> 00:40:29.568]  And that's happening now?
[00:40:30.328 --> 00:40:31.109]  That's been happening.
[00:40:31.149 --> 00:40:35.811]  So now we're going to start giving them, instead of giving them seven, eight hundred billion dollars a year of what we have,
[00:40:36.713 --> 00:40:37.754]  A trillion dollars.
[00:40:37.814 --> 00:40:51.925]  That's our companies, you know, all the natural resources, we're selling the toll roads to them, so they get the revenues from toll roads, the real estate, anything we can offer them.
[00:40:52.185 --> 00:40:53.726]  How long until all that runs out?
[00:40:56.408 --> 00:40:57.629]  It wouldn't last very long.
[00:40:57.649 --> 00:41:00.611]  A trillion dollars a year runs through wealth pretty fast.
[00:41:02.032 --> 00:41:04.314]  Even for a country that's, you know,
[00:41:05.012 --> 00:41:07.013]  It's been successful and accumulated.
[00:41:07.113 --> 00:41:09.455]  So this brings a new meaning to the word, looted.
[00:41:09.475 --> 00:41:12.256]  Looted, yeah.
[00:41:13.357 --> 00:41:19.380]  We thought we were so smart, we were looting the world, getting all their goods, getting them to finance us and handing them paper.
[00:41:20.141 --> 00:41:22.582]  But the paper comes back and buys up our assets.
[00:41:23.863 --> 00:41:29.226]  The only question is, will the paper collapse completely before they can buy it all up?
[00:41:29.266 --> 00:41:30.167]  In a way that might be good.
[00:41:30.827 --> 00:41:32.068]  Last question, we're going to go to calls.
[00:41:33.354 --> 00:41:42.636]  They are announcing, and it's in the housing bill, and I've got the bill right here, we had Ron Paul on about it today, that every credit card transaction will instantly be uploaded to the IRS.
[00:41:43.056 --> 00:41:50.478]  Major gas companies, ABC News reports, are going to make you register with a credit card to be able to buy gas, to track everything you're doing.
[00:41:50.898 --> 00:41:53.579]  They're hiring more police, more checkpoints, more tickets.
[00:41:55.939 --> 00:41:58.021]  Newborn baby will be visited by CPS.
[00:41:58.121 --> 00:41:59.422]  That bill is about to pass.
[00:42:00.343 --> 00:42:02.445]  Turning carbon taxes, harassment.
[00:42:02.805 --> 00:42:05.407]  Government is just, as you know, tripled in the last eight years.
[00:42:05.828 --> 00:42:10.512]  It just seems to be about to divide again and get even bigger like a bacterial infection.
[00:42:11.172 --> 00:42:12.673]  They'll all have badges.
[00:42:43.534 --> 00:42:48.196]  You know, there's no reason for any of this to happen, and we certainly don't have any money to pay for it.
[00:42:49.417 --> 00:42:52.018]  And the Chinese aren't going to keep lending them all this money.
[00:42:52.538 --> 00:42:53.499]  You know, I just don't know.
[00:42:53.519 --> 00:42:57.680]  If it's really going to be something like that, I think people should just leave the country.
[00:43:00.082 --> 00:43:01.102]  They should just get out.
[00:43:01.262 --> 00:43:02.403]  Well, that's what your book is about.
[00:43:02.463 --> 00:43:03.443]  I mean, what is it now?
[00:43:04.343 --> 00:43:05.824]  I mean, what are they making?
[00:43:05.884 --> 00:43:07.085]  I mean, that's what they're setting up.
[00:43:08.445 --> 00:43:09.846]  Well, what is the point of this?
[00:43:10.959 --> 00:43:22.549]  uh... credit card business and and all of them purchases going to the government and investing every child is born by child protect what is the point of all this?
[00:43:22.589 --> 00:43:25.231]  I mean, what purpose does that serve?
[00:43:25.551 --> 00:43:26.412]  Total control!
[00:43:27.613 --> 00:43:29.094]  Just to intimidate people, huh?
[00:43:29.795 --> 00:43:35.940]  Well then, then what they'll do is they'll alienate everyone from the government.
[00:43:36.040 --> 00:43:37.721]  I don't know if that's good for them or not.
[00:43:37.841 --> 00:43:38.782]  That's what I'm saying.
[00:43:38.862 --> 00:43:39.563]  It's like
[00:43:41.448 --> 00:43:43.330]  Well, I've got an ABC News report.
[00:43:43.350 --> 00:43:44.611]  We don't have time to play it today.
[00:43:44.951 --> 00:43:45.632]  You know what, John?
[00:43:45.672 --> 00:43:46.553]  Cue it up to the part.
[00:43:47.153 --> 00:43:48.274]  This is ABC News.
[00:43:48.395 --> 00:43:50.517]  I just want to play like 30 seconds of this before you leave us.
[00:43:51.357 --> 00:43:52.178]  After we take some calls.
[00:43:52.639 --> 00:43:54.300]  You know the one I sent you about the airport screeners?
[00:43:54.801 --> 00:43:59.785]  And it talks about, you know, a World War II vet with a metal knee.
[00:44:01.127 --> 00:44:04.009]  And they pulled his pants down in front of everybody.
[00:44:04.029 --> 00:44:04.970]  Oh, I saw that.
[00:44:04.990 --> 00:44:05.531]  I sent you that.
[00:44:06.351 --> 00:44:08.692]  Oh great, well that's why it's on our website, thank you.
[00:44:08.792 --> 00:44:11.612]  And then they start beating their chest going, I HAVE POWER!
[00:44:12.092 --> 00:44:13.113]  I HAVE POWER!
[00:44:13.513 --> 00:44:19.354]  And then like just grabbing young women's breasts and just, and like a woman asks a question so they just punch her and knock her over.
[00:44:19.374 --> 00:44:21.755]  I mean, and I had that happen to me at LAX.
[00:44:21.775 --> 00:44:25.916]  They started making fun of me and saying my feet stunk and I just had a shower, they were new shoes, they didn't.
[00:44:26.216 --> 00:44:28.557]  And these guys are standing over me saying, you got a problem?
[00:44:28.577 --> 00:44:29.457]  You want to make a move?
[00:44:29.857 --> 00:44:31.857]  I mean this is, you want to comment on that?
[00:44:31.937 --> 00:44:33.038]  I HAVE POWER!
[00:44:33.218 --> 00:44:33.978]  I HAVE POWER!
[00:44:35.000 --> 00:44:38.523]  Well, I recently wrote a column, I think, about the airport, the stopover.
[00:44:38.543 --> 00:44:40.004]  I think it's about two columns back.
[00:44:41.225 --> 00:44:45.468]  And if you have any callers waiting, we should take them.
[00:44:45.548 --> 00:44:46.949]  And if you don't, we'll keep talking.
[00:44:46.989 --> 00:44:50.151]  Oh no, we have loaded phones, but I want to get your take on the I have power comment.
[00:44:53.354 --> 00:45:02.380]  Well, those kinds of occupations, police, airport security, any of that stuff, attract sociopaths.
[00:45:02.781 --> 00:45:03.761]  Peon sociopaths.
[00:45:05.336 --> 00:45:06.596]  They don't attract good people.
[00:45:07.757 --> 00:45:16.399]  They attract people that want to abuse people, but they ain't got enough guts to go join the Marines and actually have to go somewhere and get shot back at.
[00:45:16.519 --> 00:45:21.280]  So they like to have power where their victims are powerless.
[00:45:22.841 --> 00:45:23.821]  So they're cowards.
[00:45:24.161 --> 00:45:24.701]  They know it.
[00:45:25.722 --> 00:45:26.902]  All bullies are cowards.
[00:45:28.722 --> 00:45:31.843]  And so it's this massive bureaucracy that protects them.
[00:45:34.542 --> 00:45:37.824]  So that's the kind of people that take those jobs.
[00:45:37.864 --> 00:45:45.928]  When you create those kinds of jobs, you're creating homes, places, employment for those kinds of people.
[00:45:46.408 --> 00:45:47.829]  Yeah, it's incredible.
[00:45:47.849 --> 00:45:48.929]  John, do you have that queued up yet?
[00:45:48.989 --> 00:45:49.950]  I have the power comment.
[00:45:51.511 --> 00:45:52.131]  I'm trying to find it.
[00:45:52.311 --> 00:45:53.792]  Okay, great.
[00:45:53.812 --> 00:45:54.552]  We'll play in a few minutes.
[00:45:54.572 --> 00:45:55.133]  Let's go to calls.
[00:45:55.153 --> 00:45:56.233]  We're going to skip this break, too.
[00:45:56.593 --> 00:45:59.055]  David in Florida, you're on the air with Dr. Paul Greg Roberts.
[00:45:59.075 --> 00:45:59.595]  Thanks for holding.
[00:46:00.440 --> 00:46:01.040]  How are you doing?
[00:46:01.480 --> 00:46:01.641]  Good.
[00:46:01.661 --> 00:46:03.041]  Thanks for taking my call.
[00:46:03.261 --> 00:46:04.782]  I'm really thankful for what you do.
[00:46:04.842 --> 00:46:05.962]  I mean, you don't even know.
[00:46:07.182 --> 00:46:18.106]  I'm calling because I heard, I just checked out this guy named Jeff Rents last night, and he had a guy named Benjamin Fulford, and he's some big-wig Forbes guy or something.
[00:46:18.126 --> 00:46:21.727]  Yeah, talking about how the Asian elites are sick of the New World Order and done with us.
[00:46:22.467 --> 00:46:24.628]  Yeah, and like they have a hit on...
[00:46:25.553 --> 00:46:28.575]  They're ready to die on August 8th if they don't calm down.
