[00:00:00.009 --> 00:00:01.650]  Waging war on corruption!
[00:22:45.541 --> 00:22:48.923]  What was your reason for bringing up the anti-Semitic point?
[00:22:50.944 --> 00:22:51.124]  Yeah.
[00:22:51.745 --> 00:22:52.525]  I'll take it from there.
[00:22:54.977 --> 00:22:55.297]  You know what?
[00:22:55.337 --> 00:22:56.037]  Maybe I wasn't clear.
[00:22:56.137 --> 00:22:57.318]  We're on air right now, Richard.
[00:22:57.958 --> 00:22:59.558]  Oh, I'm sorry.
[00:22:59.598 --> 00:23:01.038]  I thought we had four minutes.
[00:23:01.199 --> 00:23:02.319]  No, no, no, no, no, no.
[00:23:02.479 --> 00:23:04.419]  I do behind the scenes for the TV show.
[00:23:04.459 --> 00:23:05.960]  Maybe I should brief people beforehand.
[00:23:06.260 --> 00:23:06.880]  It's my fault.
[00:23:07.040 --> 00:23:07.680]  Yeah, yeah, yeah.
[00:23:08.020 --> 00:23:09.100]  Well, you know what?
[00:23:09.120 --> 00:23:09.841]  It doesn't matter, Richard.
[00:23:10.101 --> 00:23:11.541]  We are back live in just a moment.
[00:23:12.301 --> 00:23:14.502]  And so we'll just come in and address that then, okay?
[00:23:15.102 --> 00:23:15.342]  Okay.
[00:23:15.642 --> 00:23:16.142]  You're awesome.
[00:23:16.622 --> 00:23:18.583]  I mean, yes, for all intents and purposes,
[00:23:19.463 --> 00:23:21.684]  Maybe 10,000 people are watching us right now.
[00:23:21.744 --> 00:23:22.725]  Well, not even watching us.
[00:23:22.765 --> 00:23:26.688]  Maybe 1,000 are watching us, and then 10,000 are listening on the web.
[00:23:26.908 --> 00:23:29.449]  But then this gets posted on the web and is shown over and over again.
[00:23:29.709 --> 00:23:34.052]  But the main radio show, that's millions, and we'll be back right now.
[00:23:34.092 --> 00:23:34.733]  So now I understand.
[00:23:35.033 --> 00:23:36.734]  I just didn't want to waste any of our breaks.
[00:23:37.234 --> 00:23:39.456]  I wanted to have full time to talk about this with you.
[00:23:39.996 --> 00:23:41.377]  So we'll do that right now, okay?
[00:23:42.065 --> 00:23:42.285]  Understood.
[00:23:42.305 --> 00:23:42.685]  Thank you.
[00:23:42.786 --> 00:23:47.589]  And maybe this is a good description for everybody watching right now, too, because it seems to confuse people on the web as well.
[00:23:48.189 --> 00:23:49.330]  Maybe I should just quit doing it.
[00:23:50.011 --> 00:23:51.752]  Maybe you want more commercials.
[00:23:52.192 --> 00:23:54.714]  Fine, we'll have 16 minutes of commercials an hour.
[00:23:54.934 --> 00:23:55.354]  Here we go.
[00:23:55.454 --> 00:24:00.738]  Okay, Richard.
[00:24:09.284 --> 00:24:11.065]  Let's let's right now get back into
[00:24:16.553 --> 00:24:23.458]  Not only are they demonizing 9-11 truth, you're a group who is just scientifically not even saying who blew the towers up, or the building 7.
[00:24:23.658 --> 00:24:31.464]  You're just saying, man, ejecting steel 500 feet, turned into dust, blown to little pieces, all the explosives residue, we better investigate this.
[00:24:31.924 --> 00:24:33.905]  And then they run up saying, why do you love Hitler?
[00:24:34.245 --> 00:24:43.972]  When you're not talking about Israel, you're not talking about Jews, you're not talking about Keebler elves or clockwork elves, you are talking about these buildings were blown up.
[00:24:44.593 --> 00:24:46.134]  That's pretty suspicious, isn't it?
[00:24:47.256 --> 00:24:48.557]  It really, really is.
[00:24:49.197 --> 00:24:56.361]  We're concerned about being drawn into and called anti-Semitic and so forth.
[00:24:56.421 --> 00:25:00.063]  We're just architects and scientists and building professionals.
[00:25:00.584 --> 00:25:09.509]  And here, I think I can address this by pointing out that the physics of 9-11 is not anti-Semitic.
[00:25:09.929 --> 00:25:11.990]  And that is all we are talking about.
[00:25:13.442 --> 00:25:21.768]  I wrote to Mark Weitzman, our Constitutional Republic was founded upon the fundamental right to ask questions, demand answers, and to seek truth and justice.
[00:25:22.228 --> 00:25:27.192]  This is all that we in the 9-11 Truth Movement are seeking, of all people and of all organizations.
[00:25:27.672 --> 00:25:38.556]  You, Mark Weitzman, and the Simon Wiesenthal Center, who highlight the virtue of tolerance, should be honoring our right to ask these questions, not branding us as terrorists or anti-Semites.
[00:25:38.596 --> 00:25:40.076]  Yeah, I thought it was the Nazis.
[00:25:40.156 --> 00:25:42.417]  I thought it was the Nazis that wanted to restrict free speech.
[00:25:43.998 --> 00:25:44.338]  Yeah.
[00:25:44.858 --> 00:25:47.039]  Yeah, I mean, we're fighting Nazism.
[00:25:49.320 --> 00:25:52.821]  That seems like a close parallel, yeah.
[00:25:53.402 --> 00:26:02.192]  Your behavior, I tell him, reeks of the McCarthyism of the 1950s and is totally unacceptable to me, our members, and all Americans who cherish the First Amendment.
[00:26:02.473 --> 00:26:13.165]  Regarding this anti-Semitism noted in your letter, we too abhor bigotry in all its forms and have distanced ourselves from those few in the 9-11 Truth Movement who have engaged in it.
[00:26:13.584 --> 00:26:21.526]  But anti-Semitism has nothing to do with our website or the science of the destruction of the three World Trade Center high-rise buildings on 9-11 to which it's dedicated.
[00:26:22.006 --> 00:26:27.287]  The scientific method is non-partisan, apolitical, and a transparent process.
[00:26:27.787 --> 00:26:37.689]  Scientists defend their positions in public based on accepted, defensible processes, while reports put forth by the government and others have labored in vain to explain a way
[00:26:38.149 --> 00:26:53.060]  The massive scientific evidence for controlled demolition left behind in the rubble, the witness testimony, the videos, we at AE911 Truth have simply collected, assembled, and structured it in a way which enables everyone to understand it easily.
[00:26:53.280 --> 00:26:58.884]  Simon Wiesenthal was a paragon for seeking the truth, however hard and difficult it might have been.
[00:26:59.731 --> 00:27:09.556]  The Simon Wiesenthal Center should be honoring our right to publish technical information and encourage fact-based forensic inquiry into the three largest structural failures in U.S.
[00:27:09.636 --> 00:27:13.438]  history, not branding us as insiders of terrorism.
[00:27:13.962 --> 00:27:18.905]  Tolerance arises from understanding, and understanding from direct experience.
[00:27:19.266 --> 00:27:27.992]  In this light, we'd like to meet with you and your board and staff to present to you the specific concerns documented at AE911Truth regarding the science of these collapses.
[00:27:28.032 --> 00:27:36.718]  We'd like to learn from you what you perceive as so threatening, so as to deem it necessary to warn Congress about us.
[00:27:37.838 --> 00:27:43.142]  By understanding each other's concerns, we will strengthen our mutual resolve to work toward the creation of a more truthful
[00:27:43.766 --> 00:27:50.048]  And we asked to meet with them, which they have never responded to.
[00:27:50.369 --> 00:27:51.029]  Oh, they never do.
[00:27:51.489 --> 00:27:54.750]  Now, you guys have gotten so many other engineers.
[00:27:54.770 --> 00:27:55.170]  You said over 400.
[00:27:55.370 --> 00:27:59.452]  There's all these other physicists, scientists, underwriting laboratories people.
[00:27:59.512 --> 00:28:03.193]  I mean, the evidence, NIST admits that they're having to look at bombs in the buildings now.
[00:28:03.653 --> 00:28:06.755]  We have all these firefighters saying they're going to blow it up, get back.
[00:28:06.775 --> 00:28:07.615]  We've been told, get back.
[00:28:08.075 --> 00:28:12.717]  And no, don't misrepresent us, 9-11 debunkers, truth debunkers.
[00:28:13.197 --> 00:28:14.798]  We're not saying the firefighters did it.
[00:28:14.938 --> 00:28:17.140]  They were compartmentalized and told to get back.
[00:28:17.540 --> 00:28:19.141]  So don't try to misrepresent again.
[00:28:19.621 --> 00:28:23.784]  We believe it was a demolition team, some control demolition company, that did it.
[00:28:23.804 --> 00:28:25.345]  It would only take about 100 people to do it.
[00:28:26.206 --> 00:28:30.469]  Well, there are witnesses also of sounds of explosions at the base of Building 7.
[00:28:30.569 --> 00:28:31.429]  Kevin McPadden
[00:28:32.666 --> 00:28:57.157]  uh... former air force uh... uh... search-and-rescue officer uh... discusses the hearing these sounds of explosions that shook the ground and then the building came down in fact prior to that a couple of seconds he heard uh... uh... a radio uh... in the hands of a of a red cross where i don't know where you are to count down and i said run for your life yeah as a matter of three two
[00:28:59.833 --> 00:29:03.974]  I don't know why he would have said that, but fires don't respond to countdowns.
[00:29:04.674 --> 00:29:05.855]  It just doesn't happen like that.
[00:29:06.195 --> 00:29:12.436]  Well, the reason he said that is, is the firefighters were all pulling out, the police were pulling out, and the volunteer AMTs were going, why is everybody running?
[00:29:12.716 --> 00:29:15.657]  And the guy's like, hold on, hold on, he's got the thing, and he's like, just run for your lives, alright?
[00:29:15.877 --> 00:29:16.197]  Listen!
[00:29:16.417 --> 00:29:18.178]  And then he let them hear it, and they all start running.
[00:29:18.878 --> 00:29:23.439]  Because, you know, the firefighters and police weren't involved, they told them, get back, building's coming down, and then they heard the countdown.
[00:29:24.139 --> 00:29:27.661]  Which is admitted, they kept saying during the news, they may bring that building down.
[00:29:28.201 --> 00:29:31.342]  I actually heard that on ABC News in my car that day.
[00:29:31.903 --> 00:29:35.824]  They're thinking about bringing down the Solomon Brothers building for safety concerns.
[00:29:36.225 --> 00:29:38.265]  But see, they don't want an investigation about that.
[00:29:38.866 --> 00:29:39.646]  We'll be right back.
[00:29:42.387 --> 00:29:45.289]  We're on the march, the Empire's on the run.
[00:29:45.309 --> 00:29:46.289]  Hey Richard.
[00:29:46.309 --> 00:29:47.009]  Alex Jones.
[00:29:47.650 --> 00:29:48.070]  Hey Richard.
[00:29:48.837 --> 00:29:49.077]  Yes.
[00:29:49.477 --> 00:29:56.579]  Yeah, for the 10,000 live viewers that are on the web, or listeners, and then people that watch this later when it's uploaded, let's not waste time.
[00:29:56.959 --> 00:30:01.060]  Let's spend a few minutes behind the scenes talking about how you're doing in your life.
[00:30:01.680 --> 00:30:04.201]  You've made some personal sacrifices, haven't you?
[00:30:05.962 --> 00:30:08.482]  Yeah, Alex, it's getting more interesting.
[00:30:10.043 --> 00:30:15.224]  The work is getting so much more, well, successful
[00:30:16.316 --> 00:30:27.702]  That I'm unable to keep up a full-time work at my job, and yet we don't have the income coming in to support us.
[00:30:28.282 --> 00:30:31.604]  So we're looking at some additional sacrifices.
[00:30:31.684 --> 00:30:33.885]  It looks like we're going to have to move.
[00:30:34.125 --> 00:30:36.106]  My wife has already moved out.
[00:30:36.906 --> 00:30:41.448]  She's not in favor of anything having to do with 9-11, pro or con.
[00:30:41.528 --> 00:30:42.889]  There's a lot of people like that.
[00:30:43.484 --> 00:31:02.891]  So there's a sacrifice there six months ago, but also now it appears as if I'll be having to, because I want to carry on the work, sell my house and find less expensive arrangements where we can continue the work.
[00:31:02.951 --> 00:31:10.073]  We have about three to six people who show up at our home office here and
[00:31:10.683 --> 00:31:11.204]  I don't know.
[00:31:29.139 --> 00:31:36.982]  That I would have had, were I working 40 hours a week at my current job, I'm down to... No, I understand.
[00:31:37.002 --> 00:31:41.423]  9-11, Blueprint for Truth, The Architecture of Destruction, available at InfoWars.com.
[00:31:42.003 --> 00:31:44.924]  It is also available at PrisonPlanet.com.
[00:31:45.345 --> 00:31:47.906]  You can also get it over Richard Gage's website.
[00:31:47.946 --> 00:31:48.786]  It's an excellent film.
[00:31:49.426 --> 00:31:54.451]  And really documents it from an architecture, engineering point of view, 9-11 blueprint for truth.
[00:31:54.851 --> 00:31:59.555]  You know, the sick thing about it is your wife leaves you because of all the stress and the pressure and the threats and the phone calls.
[00:32:00.056 --> 00:32:02.838]  And then the scumbags celebrate that, Richard.
[00:32:02.858 --> 00:32:04.220]  I mean, showing their evil.
[00:32:04.720 --> 00:32:08.543]  And I want everybody to know that those of you that are covering up these attacks,
[00:32:09.284 --> 00:32:15.165]  When it all comes out that it was an inside job and there are arrests being made, your bank accounts are going to be looked at.
[00:32:15.606 --> 00:32:19.347]  And some of you big guys, we know are on the payroll already, you're going to get arrested.
[00:32:19.987 --> 00:32:25.728]  Taking government money to go out and cover up the crime, you are now guilty accomplices of the fact of murder.
[00:32:26.108 --> 00:32:27.188]  Richard, do you want to comment on that?
[00:32:28.769 --> 00:32:35.611]  I'm not sure I understood the context of that question, Alex.
[00:32:36.111 --> 00:32:37.091]  Are you referring to
[00:32:37.876 --> 00:32:39.357]  My bank account's being looked at.
[00:32:39.737 --> 00:32:40.237]  No, no, no.
[00:32:40.597 --> 00:32:45.880]  We're going to go back live on the main transmission in a minute, and I'll explain it when we come back, and then I want to get your take on it.
[00:32:47.741 --> 00:32:51.683]  Half the time I'm in here video switching and running the show myself, so maybe I'm being incoherent.
[00:32:51.823 --> 00:32:52.103]  Here we go.
[00:33:17.867 --> 00:33:25.078]  I was making the point to Richard Gage during the break behind the scenes for PrisonPlanet.tv viewers that the debunkers
[00:33:28.959 --> 00:33:33.101]  They have been making fun of the fact that Richard Gage's wife left him over all of this.
[00:33:34.402 --> 00:33:36.423]  They call up threatening other people at their homes.
[00:33:36.463 --> 00:33:37.704]  They post the tapes online.
[00:33:37.724 --> 00:33:38.764]  They're very proud of themselves.
[00:33:39.185 --> 00:33:45.248]  Every dirty trick, every form of lying, every form of threat, I had them call up and threaten to call CPS on my kids.
[00:33:45.748 --> 00:33:48.210]  And then they're mad that I threatened them back and said, I'm going to have to sue you.
[00:33:48.230 --> 00:33:50.531]  And they posted something else about it the other day.
[00:33:50.571 --> 00:33:53.413]  I mean, just if the CPS shows up at my house, you will be sued.
[00:33:54.173 --> 00:33:55.515]  Okay, you understand, you bastard?
[00:33:56.296 --> 00:33:57.497]  I think I'm just going to go ahead and do it.
[00:33:57.517 --> 00:33:58.058]  I'm just tired.
[00:33:58.098 --> 00:33:59.500]  I don't even know who this person is.
[00:34:00.321 --> 00:34:06.408]  But the point is that these are the type of threats we get from the big 9-11 debunkers.
[00:34:06.849 --> 00:34:10.013]  Now, some of them we know are government agents and on a government payroll.
[00:34:13.877 --> 00:34:15.839]  When it comes out, the 9-11 is an inside job.
[00:34:15.899 --> 00:34:21.683]  When it comes out, just like it's come out the Liberty was staged, now declassified mainstream news, just like it came out Gov.
[00:34:21.723 --> 00:34:24.125]  Tonkin was staged, but this was 3,000 people you killed.
[00:34:24.745 --> 00:34:35.073]  Those of you that debunked and covered up, and when your bank accounts get checked, and it gets shown that you were involved in taking government money for this, you're going to go to prison.
[00:34:36.334 --> 00:34:36.915]  You understand?
[00:34:37.195 --> 00:34:38.076]  You're going to go to prison.
[00:34:39.662 --> 00:34:46.347]  Because your threats, your lies, your intimidation, all the crap you've pulled, it's not funny that Richard Gage's wife left him.
[00:34:46.688 --> 00:34:49.510]  It's not funny those towers were blown up and all those people died.
[00:34:49.890 --> 00:34:51.632]  It's not funny that you threatened me.
[00:34:52.372 --> 00:34:53.873]  And look, it's going to come out.
[00:34:53.953 --> 00:34:54.814]  I know in my gut.
[00:34:55.034 --> 00:34:55.955]  The new order's coming down.
[00:34:55.975 --> 00:34:57.796]  It may take five years, ten years, twenty years.
[00:34:58.057 --> 00:35:03.721]  But we're going to haul your butt out of your house, you're going to go before a grand jury, and you're going to get indicted, and you're going to go to prison.
[00:35:04.422 --> 00:35:05.923]  What do you say to them apples, Richard Gage?
[00:35:06.827 --> 00:35:08.148]  I find that comforting, Alex.
[00:35:09.890 --> 00:35:11.291]  It'll be a nice switch around.
[00:35:11.311 --> 00:35:17.817]  The people that are telling the truth are so in the minority.
[00:35:17.937 --> 00:35:26.725]  Speaking out, there's so few of us, and we're working so hard against such great odds against media complicity and violence.
[00:35:26.825 --> 00:35:31.590]  I've had them call up and say, I'm going to file a false report and have your children taken.
[00:35:32.352 --> 00:35:35.274]  And I'm just like, my God, you're actually telling me this to my face.
[00:35:36.234 --> 00:35:38.476]  And I go, go ahead, go ahead and do your crime.
[00:35:39.296 --> 00:35:41.778]  I know the cops aren't going to do anything, but you're going to pay.
[00:35:42.238 --> 00:35:45.500]  Don't make me spend thirty grand to sue you, and they just can't control them.
[00:35:45.540 --> 00:35:46.901]  I've had to do this a couple other times.
[00:35:47.441 --> 00:35:51.483]  You think I like having to go build a case, drag you through the mud, make you hire lawyers?
[00:35:51.823 --> 00:35:54.024]  Just, you know, folks, give me a bunch of money.
[00:35:54.344 --> 00:35:56.765]  Because I want to sue a bunch of people, too, and I'm not litigious.
[00:35:56.805 --> 00:35:57.686]  It's not even for money.
[00:35:58.166 --> 00:36:01.848]  When I sue them, and it isn't even for money, it's to make them hire lawyers to hurt them back.
[00:36:02.228 --> 00:36:08.171]  I am sick of being messed with, I'm sick of the harassment, and I'm not going to be pushed around anymore, Richard.
[00:36:10.012 --> 00:36:10.232]  Good.
[00:36:13.718 --> 00:36:17.518]  I don't have the same set of experiences, fortunately, yet.
[00:36:18.039 --> 00:36:18.919]  I hope I don't.
[00:36:18.979 --> 00:36:20.399]  I don't know what I'll do if I do that.
[00:36:20.499 --> 00:36:23.380]  Well, Richard, I'm just getting real with my audience.
[00:36:23.400 --> 00:36:30.541]  I was at the dinner table with my grandmother and my parents last night for a party, and I just started saying what I really thought about other issues.
[00:36:30.601 --> 00:36:37.363]  I mean, I'm going to just start saying what I really think and what's really going on behind the scenes here, because listeners need to know the kind of stuff we go through every day.
[00:36:37.423 --> 00:36:37.743]  Go ahead.
[00:36:39.181 --> 00:36:57.486]  Yeah, I think they do because I'm now, at the presentations, I'm having to make sure people are aware that we cannot save this country by continuing to drain the equity in our home and having to sell it by ourselves.
[00:36:57.506 --> 00:37:06.268]  You know, the few leaders in the 9-11 Truth Movement must be supported by those of your listeners and those who come to the presentations.
[00:37:06.730 --> 00:37:15.474]  We have a lot of work to do and it is very expensive to produce new informational products to wake up the American people.
[00:37:15.774 --> 00:37:21.236]  It's very expensive to put ads in paper and we rarely break even on these presentations.
[00:37:22.377 --> 00:37:26.259]  We're not financially successful.
[00:37:26.519 --> 00:37:28.179]  Maybe we're not the best business people.
[00:37:28.540 --> 00:37:31.121]  I don't know about you, but we are
[00:37:32.112 --> 00:37:41.216]  We need a lot of help, and people can go to our website if they really want to help, and click the Become a Sustaining Member button.
[00:37:41.276 --> 00:38:00.323]  I mean, for as little as $10 a month, people can make a huge difference in this organization, which is at the forefront, along with Stephen Jones and David Ray Griffin and yourself and others, because we have the necessary credibility with those architects and engineers
[00:38:00.883 --> 00:38:10.158]  And when we have a thousand, and we won't get to a thousand without the help of your members, we will turn heads in Congress.
[00:38:10.218 --> 00:38:13.342]  But we've got to have the support, so I hear that too.
[00:38:14.676 --> 00:38:22.380]  Yeah, well I also want to point out that every day I have people like yourself on and then try to be a aircraft carrier for everybody else so that people then go support you.
[00:38:22.740 --> 00:38:23.360]  That's what I do.
[00:38:23.440 --> 00:38:26.942]  I have hundreds of people on every month and try to get my listeners to support them.
[00:38:26.962 --> 00:38:28.443]  I know my listeners can't support everybody.
[00:38:28.663 --> 00:38:32.125]  That's why we need to grow this audience because that's all this is, is a launch pad.
[00:38:32.585 --> 00:38:41.810]  You know, the other organizations and groups and things and churches that do other things, they just tell you feel good, don't be politically involved, do what the government says, and only give money to this ministry.
[00:38:42.270 --> 00:38:42.911]  I don't do that.
[00:38:43.071 --> 00:38:44.532]  I've never asked for money in the past.
[00:38:44.812 --> 00:38:46.634]  I've had to tell everybody to give money to everybody else.
[00:38:46.994 --> 00:38:48.376]  Now I'm saying support me!
[00:38:48.976 --> 00:38:52.019]  Because I need to be able to defend myself from lawsuits if they happen.
[00:38:52.279 --> 00:38:54.721]  I need to be able to protect my own family by suing people.
[00:38:55.042 --> 00:38:57.324]  Believe me, I don't want to waste my time doing it, but sometimes I just have to.
[00:38:57.964 --> 00:39:03.206]  I need to be able to pay for a Zogby poll to get major attention on something, or on 9-11.
[00:39:04.007 --> 00:39:10.450]  I need to be able to get a bigger office, better bandwidth, better cameras, fly somewhere to cover something, to get media coverage.
[00:39:10.830 --> 00:39:13.571]  I mean, we are having an effect, and we do need support.
[00:39:13.851 --> 00:39:16.192]  That's why the InfoWars Money Bomb is coming up Saturday.
[00:39:16.712 --> 00:39:20.134]  And I'm asking everybody I've supported, even other talk show hosts and other groups, to come on.
[00:39:22.455 --> 00:39:25.896]  And, you know, Jebber Griffin, who I got him thousands of new members to his Freedom Force.
[00:39:25.956 --> 00:39:27.297]  I'm asking him to come on and support me.
[00:39:27.637 --> 00:39:32.198]  Because, you know, I am really a nexus point, this radio show is, and we need people's support.
[00:39:32.979 --> 00:39:34.599]  And we need it as fast as possible.
[00:39:35.399 --> 00:39:36.500]  So, absolutely.
[00:39:36.560 --> 00:39:38.600]  Richard, you've got the floor for a few minutes.
[00:39:39.121 --> 00:39:43.122]  Get into some of the basic science of what happened.
[00:39:44.955 --> 00:39:45.495]  You got it.
[00:39:45.996 --> 00:39:55.982]  And that is our mission and our goal, to raise awareness with the architecture and engineering community and all others, actually.
[00:39:56.042 --> 00:40:02.325]  That's what we'll be doing in Chicago at 7pm this Friday night at the University of Chicago.
[00:40:03.086 --> 00:40:08.609]  And we're going to be talking about the fact that in the Twin Towers,
[00:40:09.133 --> 00:40:25.206]  We're told that there's this 15-story section of building that crushes the rest of the building at free-fall speed and crushing 80,000 tons of structural steel as if it didn't even exist underneath this section.
[00:40:25.607 --> 00:40:29.810]  Well, there's a few problems with it, other than the fact that it violates the laws of physics.
[00:40:31.031 --> 00:40:33.674]  There is no 15-story section up there.
[00:40:33.714 --> 00:40:36.116]  It's destroyed itself in about
[00:40:37.242 --> 00:40:38.844]  Uh, two or three seconds.
[00:40:39.364 --> 00:40:46.352]  Uh, it has decomposed into nothing, and then after that, what we see is the building tearing itself apart at free-fall speed.
[00:40:46.652 --> 00:40:58.865]  We have asymmetrical damage from the airplane up above, but all the videos from down below show equal bands of explosions traveling down the, the, the building in about ten seconds.
[00:40:59.486 --> 00:41:14.237]  It's very clear, clearly, sets of explosions that were heard by 118 firefighters that we finally learned about in August of 2005, who were recorded by their chief fire commissioner.
[00:41:15.037 --> 00:41:21.902]  They talk about flashes of light, sounds of explosions at the onset of both of these collapses in the towers.
[00:41:23.049 --> 00:41:29.952]  We have then, they talk about this debris being expelled out prior to the building coming down.
[00:41:29.972 --> 00:41:40.475]  And this debris is expelled at 70 to 100 miles per hour and lands 600 feet away from the tower's perimeter.
[00:41:41.416 --> 00:41:44.257]  Some of it, some of these 4 and 20 ton wall units.
[00:41:44.577 --> 00:41:50.099]  Well that takes about the same energy as to fire a 200 pound cannonball 3 miles.
[00:41:51.595 --> 00:41:53.437]  So where's that energy coming from?
[00:41:53.817 --> 00:42:03.485]  Where's the energy coming from to pulverize 90,000 tons of concrete to a fine powder, much of which is smaller than the human hair?
[00:42:04.006 --> 00:42:16.276]  Where does the energy come from to produce tons of molten metal that's seen by the first responders and even the World Trade Center structural engineer Leslie Robertson himself, who said at a conference in October of 2001,
[00:42:19.788 --> 00:42:23.490]  As of 21 days after the attack, molten steel was still running.
[00:42:24.010 --> 00:42:26.071]  Well, it turns out not to be molten steel.
[00:42:26.132 --> 00:42:27.192]  It's a different product.
[00:42:27.272 --> 00:42:28.333]  It's molten iron.
[00:42:28.733 --> 00:42:31.234]  Where did tons of molten iron come from?
[00:42:31.734 --> 00:42:33.635]  You know, it doesn't have chromium in it.
[00:42:33.655 --> 00:42:34.496]  This is iron.
[00:42:35.836 --> 00:42:43.580]  Well, molten iron is the byproduct of thermite, a high-tech incendiary used to cut through steel like a hot knife through butter.
[00:42:44.224 --> 00:42:56.130]  So, it turns out that the ends of the beams that are ejected out of these twin towers, FEMA finds that they're partially evaporated.
[00:42:56.590 --> 00:43:02.874]  That they have the evidence of intergranular melting, oxidation, sulfidation.
[00:43:03.794 --> 00:43:05.615]  This doesn't happen by fires.
[00:43:05.695 --> 00:43:07.956]  Normal office fires are 1400 degrees maximum.
[00:43:09.873 --> 00:43:14.659]  And even jet fuel doesn't burn any hotter than that, like desks, chairs, carpeting, etc.
[00:43:15.240 --> 00:43:23.450]  So where does the temperature come from to melt steel, which takes up to 2700 degrees before it even begins to melt?
[00:43:25.312 --> 00:43:26.513]  We've got to leave it right there.
[00:43:26.953 --> 00:43:30.935]  People can find out more about your Chicago and other appearances at your websites.
[00:43:31.355 --> 00:43:34.757]  Thank you so much for spending time with us and thank you for the great job you're doing.
[00:43:35.217 --> 00:43:45.082]  And as soon as we have some pre-DVDs burned in the next few weeks, we don't even have them yet, we'll be able to send you out an advanced copy of 9-11 Chronicles Part 1 Truth Rising.
[00:43:45.382 --> 00:43:46.403]  Thank you for spending time with us.
[00:43:47.253 --> 00:43:48.054]  Can't wait to see it.
[00:43:48.214 --> 00:43:48.814]  Thanks, Alex.
[00:43:48.834 --> 00:43:49.455]  I appreciate it.
[00:43:49.475 --> 00:43:50.035]  God bless you.
[00:43:50.075 --> 00:43:50.776]  Great having you on.
[00:43:50.796 --> 00:43:52.758]  Richard Gage, what a great person.
[00:43:52.778 --> 00:43:58.062]  Yeah, I mean, it really does disgust me, the little celebrations they have about his wife leaving him over this stuff.
[00:43:58.843 --> 00:44:00.924]  It's not because he believes it's an inside job, she said.
[00:44:01.445 --> 00:44:05.868]  It's because she just doesn't like the threats, the calls, the... You know, she wants her life!
[00:44:06.629 --> 00:44:07.850]  Hey, I don't want to deal with this!
[00:44:07.930 --> 00:44:11.173]  Well, you don't deal with this, you get Nazi Germany, you get Soviet Russia.
[00:44:12.432 --> 00:44:13.775]  Oh, I said something bad about Nazis.
[00:44:13.795 --> 00:44:15.238]  I'll have the ADL saying I'm bad now.
[00:44:16.260 --> 00:44:16.841]  Marines?
[00:44:17.161 --> 00:44:18.183]  Now, let me shift gears.
[00:44:20.049 --> 00:44:22.590]  Marines bringing combat training to Indy.
[00:44:22.991 --> 00:44:24.772]  Indianapolis Star.
[00:44:25.352 --> 00:44:30.475]  We don't want anyone thinking that there's an invasion happening or that we declared martial law or something like that.
[00:44:30.795 --> 00:44:36.138]  Fletcher said, the local emergency manager, who the Marines are being integrated and merged into.
[00:44:36.158 --> 00:44:45.483]  It goes on, our aim in Indianapolis is to expose our Marines to realistic scenarios and stress posed by operating in an actual urban community.
[00:44:51.084 --> 00:45:08.134]  And it then goes on, our aim in Indianapolis is to expose our Marines to realistic scenarios and stresses posed by operating in an actual urban community, thereby increasing their proficiency in built-up areas, said Colonel Mark J. Denson, commander of the 26th MEU.
[00:45:09.515 --> 00:45:12.376]  And it goes on to say, we'll be in residential areas.
[00:45:12.416 --> 00:45:17.799]  Residents in many areas can expect to see helicopters flying overhead, military vehicles on the roads, and Marines patrolling on foot.
[00:45:19.864 --> 00:45:20.564]  Denson said.
[00:45:21.725 --> 00:45:35.389]  And then it goes on from there, uh, the Marines will practice firing weapons, conducting patrols, running vehicle checkpoints, reacting to ambushes, and employing non-lethal weapons according to the statement.
[00:45:36.669 --> 00:45:41.191]  And it goes on to say that, uh, the police will be working with them at local schools and other things.
[00:45:41.471 --> 00:45:42.991]  Okay, I've been to these drills.
[00:45:43.111 --> 00:45:45.192]  I didn't know what they were when I was told I needed to go to them.
[00:45:46.730 --> 00:45:50.553]  I ran into police chiefs who they tried to bribe with buckets of cash, bags of cash.
[00:45:51.033 --> 00:45:58.039]  I ran into emergency managers who had been in Army Intelligence, so they were let in to be told we're training for gun confiscation sometime in the future.
[00:45:58.479 --> 00:46:04.304]  I went to urban warfare drills with thousands of troops, foreign troops, role players saying, I'm an American, no, not the camp.
[00:46:04.864 --> 00:46:09.768]  I've got about nine hours, four films covering this.
[00:46:09.848 --> 00:46:12.811]  I mean, it's not me, it's the video of it happening, and the documents.
[00:46:13.451 --> 00:46:38.482]  of army, marines, others engaging in all manners of crime, without violating the posse comitatus, using the military on the American people, calling it drills, pulling over real buses, nine hours late, searching their bus for nine hours, not letting them know it's a drill while they freak out, taking people to jail, arresting people on the side of the highway, the police come over, stop your car, then they let the marines feed on you,
[00:46:39.122 --> 00:46:41.203]  And it's not, quote, training.
[00:46:41.223 --> 00:46:42.744]  The cops are so dumb they don't know this.
[00:46:42.764 --> 00:46:43.845]  It's in all the documents.
[00:46:44.985 --> 00:46:46.486]  But the higher-ups all know what they're doing.
[00:46:46.726 --> 00:46:49.348]  It's to acclimate the police, the military, the public, everybody.
[00:46:50.448 --> 00:47:00.313]  But all that aside, instead of debating this, the documents are now out that illegally, back in the eighties, the Marines were doing gun confiscations already with the police.
