[00:00:11.010 --> 00:00:12.771]  Monday through Friday from 11 a.m.
[00:26:32.193 --> 00:26:39.616]  You know, in the Big International League, he also, of course, was a big presenter, one of the top presenters on the sports on BBC.
[00:26:40.236 --> 00:26:44.918]  What a life he has led, and he is the author of scores of best-selling books.
[00:26:45.539 --> 00:26:53.402]  I agree with about 99% of what David Ogg has to say, and now I've got to sometimes say, as weird as things are, who knows the other 1% might be right.
[00:26:53.742 --> 00:26:55.823]  I mean, we're on a planet hurtling through space, and
[00:26:56.503 --> 00:27:03.909]  God only knows, and so I really respect him, I appreciate him, and he's just a great speaker and a very interesting mind, riveting individual.
[00:27:04.369 --> 00:27:10.373]  And so he wants to first talk about this election, and then I want to get into where he sees things going in the next few years.
[00:27:10.413 --> 00:27:12.735]  He's made predictions before and they've come true, unfortunately.
[00:27:13.235 --> 00:27:18.980]  What he's forecasting in the next five to ten years, what he's forecasting in the short term with Iran, how he thinks
[00:27:19.720 --> 00:27:24.962]  This is going to play out with the forces of good and evil, where he thinks mankind is going.
[00:27:25.002 --> 00:27:29.063]  A conversation with David Icke, and of course his website is DavidIcke.com.
[00:27:29.104 --> 00:27:34.846]  He has many others, and we have links to those up on Infowars.com and PrisonPlanet.com.
[00:27:35.126 --> 00:27:36.846]  David Icke, thank you for spending time with us.
[00:27:37.447 --> 00:27:37.947]  Pleasure, Alex.
[00:27:39.047 --> 00:27:39.867]  You've got the floor.
[00:27:39.907 --> 00:27:41.048]  Talk about whatever you'd like, sir.
[00:27:41.892 --> 00:27:49.016]  Well, it's kind of interesting, just in the last hour I'm looking at some of the things that are happening around me here.
[00:27:49.436 --> 00:28:01.663]  What happened was that a guy called David Davis, who's a Conservative Member of Parliament, they're in the opposition here to the Labour government, he was the Home Affairs spokesman.
[00:28:02.504 --> 00:28:06.746]  And when the Labour government forced through with outrageous manipulation,
[00:28:07.575 --> 00:28:08.036]  I think?
[00:28:23.465 --> 00:28:35.771]  He was going to resign his seat and he was going to stand again in his constituency and seek re-election on the issue, totally one issue, of the Big Brother State in Britain.
[00:28:36.852 --> 00:28:42.635]  Yeah, he said that the police state and the cameras was to oppress, that the government was out of control, unprecedented.
[00:28:43.416 --> 00:28:50.961]  Yeah, and it was unprecedented from whichever angle you look at it, this man doing this.
[00:28:53.542 --> 00:28:59.586]  Obviously, you put him on the back burner and you see how this plays out, this guy David Davis.
[00:29:00.046 --> 00:29:05.570]  Anyway, I'm watching the news one night a couple of weeks ago.
[00:29:06.390 --> 00:29:14.632]  And it's clear that the Labour Party is not going to put up a candidate against him, because they say the election is a farce.
[00:29:14.852 --> 00:29:20.474]  For that, put it through the translation decoder, we would get slaughtered, and here's our excuse not to.
[00:29:20.494 --> 00:29:29.316]  The other major party in Britain, the Liberal Democrats, are not standing against him because they say they agree with what he's doing, and so basically he's on his own.
[00:29:29.356 --> 00:29:31.277]  So I thought, well, okay, I'll stand.
[00:29:31.757 --> 00:29:32.857]  And I'll stand for two reasons.
[00:29:33.637 --> 00:29:49.124]  One, to have a debate with him about the Big Brother State, and two, to point out, and this is the major point, that it is not just the arrogant, authoritarian Labour government in this country that's bringing in the Big Brother State.
[00:29:49.444 --> 00:29:51.825]  It's global, and it doesn't just include...
[00:29:52.525 --> 00:29:54.766]  Surveillance cameras and DNA databases.
[00:29:55.226 --> 00:29:59.388]  It's a whole tapestry of interconnected change.
[00:29:59.508 --> 00:30:02.930]  Everything from the European Union to the War on Terror.
[00:30:02.970 --> 00:30:04.651]  Well take Texas and other states.
[00:30:04.991 --> 00:30:14.536]  They're passing laws that the computer repairman, by the way he's not paid by the government to do this, must snoop through your computer and have a law enforcement degree to repair computers.
[00:30:14.936 --> 00:30:17.217]  Not even a pretense of a fourth amendment
[00:30:17.697 --> 00:30:18.398]  Or privacy.
[00:30:18.418 --> 00:30:20.700]  They're training all the children publicly in the U.S.
[00:30:20.760 --> 00:30:24.244]  and in England now to spy on their parents.
[00:30:24.584 --> 00:30:27.387]  I mean, it's like everything has gone into warp drive.
[00:30:28.428 --> 00:30:29.470]  Exactly, it has.
[00:30:30.050 --> 00:30:38.219]  And, you know, the point I've been making, since I started to decide to stand,
[00:30:38.719 --> 00:30:42.822]  With this very point, it's happening in every country.
[00:30:42.882 --> 00:30:45.303]  So how on earth can it just be the Labour government?
[00:30:45.363 --> 00:30:48.705]  And the reason I'm standing here... Well the programs even have the same names!
[00:30:49.486 --> 00:30:49.946]  Exactly.
[00:30:50.346 --> 00:31:00.252]  So I'm standing here to use the platform and get what mainstream media coverage I can as they cover these things like by-elections to get this point across.
[00:31:00.312 --> 00:31:01.333]  And I'm going on the line
[00:31:02.003 --> 00:31:03.965]  Big Brother, the big picture.
[00:31:04.666 --> 00:31:15.235]  But what then starts to emerge is that people that are coming up to this constituency to support David Davis and are on his website.
[00:31:15.255 --> 00:31:18.558]  Yeah, he's coming up to support me in opposing Big Brother.
[00:31:19.079 --> 00:31:21.781]  Well, there are some very strange bedfellows this guy's got.
[00:31:21.941 --> 00:31:23.583]  First of all, there's a guy coming up here.
[00:31:24.395 --> 00:31:24.896]  We're good.
[00:31:46.517 --> 00:31:50.719]  Sir Richard Dearlove, head of MI6 from 1999 to 2004.
[00:31:50.799 --> 00:32:02.406]  Erwin Steltzer, former managing director of the Rothschilds Bank, now living in London, US economist, a contributor to the Weekly Standard, of course, Murdoch's neocon rag.
[00:32:02.426 --> 00:32:07.709]  So they're trying to co-opt the revolution against tyranny, they know they can't stop it, so they're trying to pre-empt it.
[00:32:07.729 --> 00:32:09.550]  So you're pre-empting, they're pre-empting.
[00:32:10.134 --> 00:32:24.718]  Well, yeah, it's becoming clear what this scam here that I'm in the middle of here is about now, because he was also a resident scholar of the American Enterprise Institute, and now he's with the Hudson Institute.
[00:32:24.758 --> 00:32:33.480]  Of course, now we're starting to talk major neocon organizations that were orchestrators and propagandists for the war on terror, but it goes further.
[00:32:34.458 --> 00:32:46.020]  International patrons for the Henry Jackson Society of this guy who's coming to support David Davis against Big Brother include Richard Perle, one of the major architects.
[00:32:46.200 --> 00:32:47.541]  The Prince of Darkness!
[00:32:47.721 --> 00:32:48.721]  The Prince of Darkness.
[00:32:49.001 --> 00:32:53.302]  William Crystal, co-founder of the Project for the New American Century.
[00:32:53.582 --> 00:32:57.342]  James Woolsey, former head of the CIA and neocon.
[00:32:57.422 --> 00:32:59.743]  That's all the head neocons you just listed.
[00:33:00.913 --> 00:33:01.554]  We're good to go.
[00:33:15.575 --> 00:33:19.477]  With Norman Dodds, found out, was actually manipulating war.
[00:33:19.817 --> 00:33:28.401]  He's the senior speech writer for George Shultz, one of the major manipulators behind the scenes in the United States when he was Secretary of State.
[00:33:28.421 --> 00:33:31.062]  He's still a top Kingmaker, yes.
[00:33:31.142 --> 00:33:32.222]  Yeah, exactly.
[00:33:32.242 --> 00:33:36.504]  These are the people who are connected to this organization.
[00:33:37.205 --> 00:33:41.246]  And this guy, Ed Vasey, who's coming up to support David Davis to fight Big Brother.
[00:33:41.686 --> 00:33:44.748]  And there's another guy coming up called Patrick Mercer, MP.
[00:33:45.647 --> 00:33:48.667]  He's a consultant for something called Blue Hackle.
[00:33:49.238 --> 00:33:52.861]  Which is a security firm, akin to Blackwater, that kind of operation.
[00:33:52.881 --> 00:33:53.601]  Yeah, private mercs.
[00:33:53.621 --> 00:33:59.446]  Let me stop you, David, because a lot of Americans, people in the U.S., don't know the British nomenclature for elections.
[00:33:59.546 --> 00:34:07.532]  By standing, that means you're running for his seat, he's pulling back in this stunt, you know, to claim he's running from outside to come in and fix things.
[00:34:08.092 --> 00:34:11.474]  And it's not like he's just signed on to a group that has some neocons on it.
[00:34:11.755 --> 00:34:15.417]  They're coming to his district to push and campaign for him.
[00:34:15.698 --> 00:34:17.099]  That's what you mean by coming up.
[00:34:17.639 --> 00:34:20.160]  Yes, I'm coming up to this constituency where I'm sitting in the middle of it now.
[00:34:20.180 --> 00:34:20.800]  Exactly.
[00:34:20.880 --> 00:34:27.242]  The neocons are actively flocking in to this area of England to push this guy actively.
[00:34:27.262 --> 00:34:27.662]  Go ahead.
[00:34:28.082 --> 00:34:28.502]  Exactly.
[00:34:28.782 --> 00:34:33.204]  Patrick Mercer MP is also sponsored by something called the Heart Group.
[00:34:33.604 --> 00:34:34.404]  Now this is a guy
[00:34:35.184 --> 00:34:40.628]  Just to confirm again, who's coming up to support the challenge to Big Brother?
[00:34:40.968 --> 00:34:52.435]  Well, this Hart Group that sponsors this Patrick Mercer produces electronic passports, border control systems for security, vehicle registration and tracking, biometric identification systems, etc, etc.
[00:34:53.849 --> 00:34:56.531]  And it's very clear that you know what it's like, Alex.
[00:34:56.671 --> 00:35:14.543]  If you have an awareness starting to express itself, an understanding of some of what's going on, you want to put your people in there to become the focus and therefore control and direct or misdirect that gathering awareness.
[00:35:16.520 --> 00:35:22.244]  It's clear, as I'm up here going through this election, which I don't want to win, of course.
[00:35:22.384 --> 00:35:24.786]  It's a waste of time going to Parliament.
[00:35:24.846 --> 00:35:26.047]  But you have to, David.
[00:35:26.087 --> 00:35:26.988]  I mean, you have to win.
[00:35:27.048 --> 00:35:27.708]  I don't want to win.
[00:35:27.828 --> 00:35:36.675]  I don't want to win because what it will do is catch me in the web, which will stop me doing all the other things that I need to do that are far more important.
[00:35:36.695 --> 00:35:38.936]  Well, I mean, I understand, but have you calculated?
[00:35:38.996 --> 00:35:42.059]  I mean, is this going to hurt who he's running against more than it hurts him?
[00:35:44.061 --> 00:35:44.561]  He'll win.
[00:35:44.981 --> 00:35:46.102]  He'll win easily.
[00:35:46.583 --> 00:35:47.944]  But you're just educating people.
[00:35:47.964 --> 00:35:52.607]  But to be clear, what they're doing here is... Do you agree?
[00:35:52.627 --> 00:35:53.508]  This is what he'll do then.
[00:35:54.489 --> 00:36:06.518]  He'll say, look, I'm against Big Brother, what we need is this, and it'll be worse Big Brother, but they'll label that as anti-Big Brother, and then he'll be the savior, and only give you the good ID cards that are safe.
[00:36:07.359 --> 00:36:11.162]  Yeah, and the other thing that is happening, and it's already happened, is because he's done this,
[00:36:11.920 --> 00:36:17.990]  He's now the man the British media go to if ever a Big Brother type story breaks.
[00:36:26.508 --> 00:36:26.868]  I don't
[00:36:43.144 --> 00:36:43.524]  Yes.
[00:36:43.545 --> 00:36:43.845]  So he is...
[00:37:02.080 --> 00:37:07.483]  He has absolutely point-blank refused to debate with me, a fellow candidate in this election.
[00:37:07.963 --> 00:37:08.403]  Amazing.
[00:37:08.663 --> 00:37:13.466]  So bottom line, he is a change agent masquerading as the alternative.
[00:37:13.726 --> 00:37:15.347]  He is controlled opposition.
[00:37:15.947 --> 00:37:19.249]  There's a very good chance that that is what this game is about.
[00:37:19.309 --> 00:37:20.130]  Well, there's no doubt.
[00:37:20.170 --> 00:37:31.057]  If you've got every top neocon, the inner circle of global neocon power, coming to his district to campaign for him because he's fighting the New World Order, I mean, this is incredibly obvious.
[00:37:31.317 --> 00:37:35.660]  We're going to do a behind-the-scenes discussion for PrisonPlanet.tv and internet listeners right now.
[00:37:35.680 --> 00:37:37.321]  We'll be back for everybody else in just a few minutes.
[00:37:37.722 --> 00:37:38.202]  Stay with us.
[00:37:38.222 --> 00:37:38.642]  David Icke.
[00:37:40.684 --> 00:37:41.744]  Alright.
[00:37:41.784 --> 00:37:42.045]  David?
[00:37:42.793 --> 00:37:43.173]  Yes Mike.
[00:37:43.594 --> 00:37:51.782]  What I'm doing now is with a really big guest is I just skipped the breaks for the internet audience so we don't waste any time and we'll come back and get into other issues in just a few minutes.
[00:37:53.463 --> 00:37:57.447]  But we will take the bottom of the hour break in about ten minutes so you'll have a break then.
[00:37:57.908 --> 00:38:06.696]  Why don't you right now, we'll do this before you leave on the full show, tell us about some of the websites, some of the things you're working on right now, some of the new books and videos.
[00:38:10.707 --> 00:38:12.109]  I'll go ahead and tell us about that now, David.
[00:38:12.549 --> 00:38:22.298]  Okay, what's happened since 9-11 particularly, but certainly in the last couple of years, there's been an explosion of interest in this whole information that I'm putting out.
[00:38:22.979 --> 00:38:32.248]  And when I finish with this election, I'm going to speak in Croatia, in Romania, in Italy, then I'm coming to America to speak in Santa Clara last weekend in September.
[00:38:34.424 --> 00:38:42.346]  A DVD coming out in seven hours of what I did to 2,500 people in London at the Brixton Academy a few weeks ago.
[00:38:42.706 --> 00:38:56.390]  There's another interesting video coming out in two hours for people who are new to this, which is a presentation I did to the Oxford Union about six weeks ago at Oxford University, and it's interesting.
[00:38:56.750 --> 00:39:01.171]  When you're talking to closed minds as opposed to open minds, how
[00:39:01.997 --> 00:39:07.822]  People of supposedly top intellect at one of the leading universes in the world.
[00:39:08.242 --> 00:39:10.004]  Honestly, they're babes in arms.
[00:39:10.284 --> 00:39:13.066]  They're babes in arms when it comes to the world as it really is.
[00:39:14.707 --> 00:39:16.129]  Well, I totally agree with you.
[00:39:17.870 --> 00:39:18.871]  What was the difference?
[00:39:19.111 --> 00:39:29.680]  I mean, a few palpable examples of talking to the educated idiots who are in this small, sequestered world looking at the universe through a straw versus talking to open-minded people.
[00:39:31.038 --> 00:39:32.379]  Well, you know, it's interesting.
[00:39:32.399 --> 00:39:43.707]  The more that I've traveled this journey, of course, the more subjects I've realized you've got to get some kind of understanding of to appreciate how all the pieces fit.
[00:39:44.448 --> 00:39:47.130]  And one area is the way the brain works.
[00:39:47.630 --> 00:39:51.533]  You know, there are two sides to the brain, two hemispheres of the brain.
[00:39:51.873 --> 00:39:53.674]  The right brain is the creative.
[00:39:53.714 --> 00:39:54.555]  It's the out there.
[00:39:54.615 --> 00:39:55.816]  It can see connections.
[00:39:56.516 --> 00:39:57.477]  It can think in a
[00:39:58.237 --> 00:39:58.577]  I think?
[00:40:27.262 --> 00:40:33.564]  You have to take information into the left brain overwhelmingly, because it's all about mathematics and language.
[00:40:33.604 --> 00:40:37.225]  That's the German-Prussian model of 200 years ago.
[00:40:37.705 --> 00:40:44.467]  The modern education model based on that was about keeping you only in the left brain, where it's basically regurgitation.
[00:40:45.069 --> 00:40:45.970]  Yes, exactly.
[00:40:46.291 --> 00:41:02.212]  And so if you analyze the system, you go through school, and if you're very good at taking in left brain information, holding it, and then regurgitating it out on an exam paper, then you progress into university and what have you, and you do the same again at a higher level.
[00:41:02.652 --> 00:41:24.504]  You then choose your specialization, medicine, science, whatever, and you do the same again at a higher level in your specialized... And you're like specialized insects who were sequestered, perfect to be inserted into the Illuminati compartmentalized pyramid, whereas you have the artist's free-thinking, truly creative mind, which has always been the enemy of the New World Order.
[00:41:25.134 --> 00:41:25.434]  Right.
[00:41:25.814 --> 00:41:44.084]  And if you look at, therefore, that the system and the way it brings its people to the top of its various pyramids to run its institutions, they are people who have been very, very good at taking in left-brain information and regurgitating it out on an exam paper.
[00:41:44.124 --> 00:41:45.444]  In other words, they are... Amazing!
[00:41:45.484 --> 00:41:47.565]  Tell you what, we're coming back to the main audience, David.
[00:41:47.585 --> 00:41:48.466]  Here we go, main audience.
[00:41:52.546 --> 00:41:59.531]  Boy, folks listening on InfoWars.com and watching on PrisonPlanet.tv just heard David totally switch into left-right brain science.
[00:41:59.931 --> 00:42:02.193]  Restate that without me interrupting, David.
[00:42:02.253 --> 00:42:12.280]  Break down the left-right, and I've read the research, you're absolutely accurate in what you're saying for people, and how this Illuminati pyramid goes after certain compartmentalized, shuttered individuals.
[00:42:12.641 --> 00:42:21.487]  Like, you'll talk to globalists and you'll find out they're compartmentalized and have been selected because like a specialized insect in an anthill, they carry out
[00:42:21.767 --> 00:42:24.328]  A specific function, which has totally left brain.
[00:42:25.309 --> 00:42:30.932]  Yeah, once I began to understand how the brain works, society started to make real sense to me.
[00:42:31.772 --> 00:42:33.913]  Because we have two hemispheres of the brain.
[00:42:33.933 --> 00:42:38.996]  There's the right brain, which is the creative, it's the out there, it's the maverick, it's the free thinking.
[00:42:39.476 --> 00:42:41.917]  It's that which will not be imprisoned.
[00:42:42.317 --> 00:42:49.461]  It's that which can see connections between things, and not just see everything as divided and apart.
[00:42:50.081 --> 00:43:04.368]  Now, the left brain really helps us function in this world, because it's about language, it's about structure, it's about the world of the five senses, if you like, and it's important.
[00:43:04.428 --> 00:43:13.452]  You know, we need whole-brain people, because if you're only right-brained, we all know people like that, they're very creative, but they can't function in this world.
[00:43:13.912 --> 00:43:20.701]  But there's another extreme, which is becoming a left brain prisoner, which I have to say is where most people are, particularly those that run the system.
[00:43:21.382 --> 00:43:22.764]  And if you're in the left brain,
[00:43:23.602 --> 00:43:33.948]  You're just dealing with five-sense reality, which is a fraction of what there is to understand, and certainly a fraction of what there is to express yourself.
[00:43:34.668 --> 00:43:48.116]  And the system is designed to lock people in that tiny left-brain reality, and they do it, not least through the bravely entitled education system, because as you go through school,
[00:43:48.836 --> 00:43:49.497]  What are you doing?
[00:43:49.517 --> 00:43:58.001]  You're taking in left brain information, hold it, and now give it me back on an exam paper, tell the system what it's told you, and then you progress.
[00:43:58.841 --> 00:44:00.542]  Because you're very successful at school.
[00:44:00.702 --> 00:44:02.423]  That's basic programming.
[00:44:03.043 --> 00:44:04.184]  Programming, yes it is.
[00:44:04.424 --> 00:44:14.249]  I mean, it's interesting, you know, Alex, that when you go through a secret society, you go up through degrees, and then when you, you know, you go to university, you get a degree.
[00:44:14.269 --> 00:44:16.970]  Well, it's a degree of programming to a very large extent.
[00:44:17.410 --> 00:44:39.304]  So you go to university from school, you go through the same process of taking in left brain information and putting it out on an exam paper, you then choose your specialization of medicine, of whatever it is, science, law, all of these things, and then you go through your specialization and to pass those exams you do the same again.
[00:44:39.645 --> 00:44:43.327]  So what you've been doing all your formative life
[00:44:44.039 --> 00:44:44.199]  I think?
[00:45:01.435 --> 00:45:17.207]  And so, the system is run by left-brain prisoners who are operating with a fraction of their potential of understanding reality and creativity, and therefore we live in a left-brain society.
[00:45:17.668 --> 00:45:25.974]  And it's interesting, again, you know, when you understand these things, you start to see the significance of apparently things that are not connected.
[00:45:26.955 --> 00:45:41.458]  The British government a few months ago announced that it was going to introduce 500 tests, intellectual type tests, for preschool children.
[00:45:42.322 --> 00:45:47.068]  And the teachers were saying, hold on a minute, when are the kids going to have time to play?
[00:45:47.428 --> 00:45:49.030]  They don't want them to play.
[00:45:49.711 --> 00:45:52.394]  Let me stop you.
[00:45:52.975 --> 00:45:56.559]  Here in the U.S., and I don't know about England, they have banned dodgeball.
[00:45:56.599 --> 00:45:58.221]  Then it was play, then it was tag.
[00:45:58.261 --> 00:45:59.803]  Now they're just getting rid of recess.
[00:46:01.324 --> 00:46:06.287]  And again, they want to keep you in that left brain, as the Prussians discovered over a hundred years ago.
[00:46:06.987 --> 00:46:15.111]  Their own documents, as you know, David, I'm sure you've seen them, say that they don't ever want you to relax or have time to think or daydream or have a philosophic.
[00:46:15.391 --> 00:46:20.334]  It's all just machines compartmentalizing the mind with the seven periods.
[00:46:20.934 --> 00:46:21.795]  That's absolutely right.
[00:46:21.835 --> 00:46:23.756]  Daydreaming is a very, very important point.
[00:46:24.136 --> 00:46:26.758]  Daydreaming is a right brain genome.
[00:46:26.818 --> 00:46:33.662]  Well, it's also a communion between the cerebral cortex, the left and right, and the subconscious, which is the larger, more powerful system.
[00:46:34.654 --> 00:46:44.722]  Yeah, so what they want to do is lock people into left-brain reality, because it's basically putting them into a reality bubble, what I call the eggshell.
[00:46:45.282 --> 00:46:58.452]  And when I went to Oxford University, of course, if you're very, very good at this left-brain give-it-me-and-I'll-give-it-you-back-on-an-exam-paper, you are considered in this left-brain, bewildered world.
[00:46:58.952 --> 00:47:02.053]  To be a kind of intellectual genius.
[00:47:02.093 --> 00:47:06.434]  These are the people who are professors at universities, who are teaching the next generation.
[00:47:07.154 --> 00:47:11.015]  When I went to talk at Oxford University, it was extraordinary.
[00:47:11.935 --> 00:47:18.396]  The concrete minds that you see, who are perceived by society to be... David Icke, we got a break.
[00:47:18.496 --> 00:47:18.996]  Stay there.
[00:47:19.096 --> 00:47:19.396]  Stay there.
[00:47:19.436 --> 00:47:19.956]  Three minute break.
[00:47:19.976 --> 00:47:20.617]  We'll be right back.
[00:47:20.637 --> 00:47:21.177]  Get into this.
[00:47:21.537 --> 00:47:24.497]  Then get into the big picture, the end game with David Icke.
[00:47:24.617 --> 00:47:25.418]  I'm Alex Jones.
[00:47:25.498 --> 00:47:26.478]  PrisonPlanet.com.
[00:47:26.498 --> 00:47:26.878]  Stay with us.
[00:47:31.374 --> 00:47:32.314]  We're on the march.
[00:47:32.775 --> 00:47:34.375]  The Empire's on the run.
[00:47:35.295 --> 00:47:38.076]  Alex Jones and the GCN Radio Network.
[00:47:41.838 --> 00:47:43.498]  Life has changed.
[00:47:43.898 --> 00:47:45.359]  We're not 21 anymore.
[00:47:45.739 --> 00:47:47.479]  We have responsibilities.
[00:47:48.900 --> 00:47:51.381]  That's why there's drinkin' made hangover defense.
[00:47:51.841 --> 00:47:53.441]  Sure, we've done our share of partying.
[00:47:53.521 --> 00:47:54.262]  Yeah, dude.
[00:47:54.322 --> 00:47:57.843]  Now, kickin' back with the neighbors and a few beers is more our style.
[00:47:58.450 --> 00:48:03.892]  Well, let's face it, as we get older, even that can leave us feeling run down the next morning.
[00:48:04.813 --> 00:48:09.454]  With Drink and Mate, you can have a few drinks tonight without waking up feeling like you had a few.
[00:48:09.795 --> 00:48:20.979]  Drink and Mate's patented and proven formula of guava leaf extract has antioxidants and other unique properties that help prevent the headache, queasy stomach, and dehydration even a few drinks can leave behind.
[00:48:21.499 --> 00:48:25.061]  Just dissolve one Drink and Mate in water and take it before bed.
[00:48:25.341 --> 00:48:25.941]  It's that easy.
[00:48:26.812 --> 00:48:29.133]  The next morning, bring on the responsibilities!
[00:48:30.713 --> 00:48:34.194]  Drink and Mate Hangover Defense is available at retailers nationwide.
[00:48:34.554 --> 00:48:35.394]  Pick up some today!
[00:48:36.215 --> 00:48:39.096]  Remember your Drink and Mate, and wake up feeling great!
[00:48:40.596 --> 00:48:41.996]  It is a big idea.
[00:48:42.016 --> 00:48:44.117]  A new world order.
[00:48:44.837 --> 00:48:49.138]  In the near future, Earth is dominated by a powerful world government.
[00:48:49.699 --> 00:48:51.839]  It's known as the Builderberg Group.
[00:48:52.559 --> 00:48:54.700]  Could their objective be world domination?
[00:48:55.325 --> 00:48:57.768]  For thousands of years, their dark order grew.
[00:48:58.509 --> 00:49:05.839]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:49:08.860 --> 00:49:13.823]  For the first time in history, the elite's plan for world government is blown wide open.
[00:49:14.304 --> 00:49:17.786]  You will learn the secret that drives the entire New World Order agenda.
[00:49:18.166 --> 00:49:20.648]  Bill Burgess is making great progress toward a world government.
[00:49:20.748 --> 00:49:21.889]  Most people have no idea.
[00:49:21.909 --> 00:49:22.669]  They're not after money.
[00:49:22.689 --> 00:49:23.790]  They have all the money they need.
[00:49:23.970 --> 00:49:24.571]  They're after power.
[00:49:24.591 --> 00:49:25.791]  That's what they're after these years.
[00:49:26.112 --> 00:49:30.635]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:49:30.855 --> 00:49:33.637]  Or watch it online right now at PrisonPlanet.tv.
[00:49:33.777 --> 00:49:37.379]  In Game, blueprint for global enslavement.
[00:49:37.619 --> 00:49:38.680]  You have been warned.
[00:49:39.617 --> 00:49:43.900]  Prepare for an uncertain future with DVDs from the winner of 13 Telly Awards.
[00:49:44.040 --> 00:49:47.383]  Hoods Woods is the world leader in survival instructional videos.
[00:49:47.483 --> 00:49:56.630]  Hoods Woods produces an outstanding collection of survival DVDs, from cave cooking to survival basics to home survival DVDs, covering topics such as food storage and home
[00:49:56.650 --> 00:49:57.111]  We're good.
[00:50:11.727 --> 00:50:12.488]  We're good to go.
[00:51:04.296 --> 00:51:07.378]  DavidIke.com, just Google his name.
[00:51:08.567 --> 00:51:31.157]  Dave, before we get back into these educated idiots or, like, insects, highly specialized individuals who are only in their little discipline and fit nicely into the New World Order Illuminati power pyramid, into their place for the Master Queen Bee up at the top, you've got a lot of websites, a lot of books, a lot of videos.
[00:51:32.257 --> 00:51:36.059]  Tell folks where they should go to find out more about those books and videos and materials.
[00:51:36.724 --> 00:51:38.706]  Well, DavidIke.com is the center of it.
[00:51:39.566 --> 00:51:40.107]  Really, Alex?
[00:51:40.167 --> 00:51:45.552]  So if people go there, they'll be able to get all of them.
[00:51:45.972 --> 00:51:51.717]  I've written about 16 books overall, and it's been a journey like it has for you.
[00:51:51.817 --> 00:52:02.026]  It's been a journey of seeing that something wasn't right, and then as you keep walking, the path just gets bigger and the information gets bigger and the picture gets bigger.
[00:52:02.871 --> 00:52:12.693]  And so, you know, we've reached this point today where we've now at last started to get some kind of real fix on the scale of this, and therefore we have a chance of turning it around.
[00:52:13.113 --> 00:52:31.718]  Sure, let's go ahead and get back and finish up your story about talking to just the general public, much more open-minded, much more intelligent, much, you know, just on the facts, people who know about the New World Order are really into info, wide-ranging analysis of different disciplines, versus these specialized New World Order minions.
[00:52:32.578 --> 00:52:37.759]  Yeah, what we've got to do, Alex, is we've got to re-evaluate our understanding of intelligence.
[00:52:38.259 --> 00:52:44.380]  You know, cleverness is not wisdom, and cleverness without wisdom is the most destructive force on Earth.
[00:52:44.960 --> 00:52:55.662]  And what happens with left-brain-dominated... ...cleverness, in terms of technology and stuff like that... David, let me stop you.
[00:52:55.742 --> 00:52:59.083]  I think the cord to your phone may be loose because we're losing your audio.
[00:52:59.103 --> 00:52:59.803]  Can you check that?
[00:53:01.010 --> 00:53:04.231]  Yeah, it's a hotel phone, I should complain.
[00:53:04.751 --> 00:53:11.732]  I would imagine that you're walking around and when it's tugging... No, no, I'm sitting perfectly still.
[00:53:11.812 --> 00:53:13.893]  I'm coming and going.
[00:53:14.473 --> 00:53:15.473]  Start over, start over.
[00:53:15.533 --> 00:53:16.974]  Go back to what you were saying.
[00:53:17.214 --> 00:53:22.495]  When you have these individuals, you were saying cleverness is not wisdom.
[00:53:23.157 --> 00:53:35.804]  Yeah, cleverness without wisdom is the most destructive force on Earth, because without the balance of wisdom, cleverness can just, you know, go wild and create infinite death and destruction.
[00:53:35.844 --> 00:53:43.168]  I mean, it's very, very clever to know how to create an atomic bomb, but it's not wise to do so, especially not to use it.
[00:53:43.668 --> 00:53:46.830]  And so we've got these left-brain prisoners running the system,
[00:53:47.390 --> 00:53:54.897]  Who are clever, well some of them are, some of them are bloody stupid, but clever, but they don't have the balance of wisdom.
[00:53:55.297 --> 00:54:05.586]  And intelligence is not just being able to remember, you know, what size shoes the Normans took in the Battle of Hastings in 1066.
[00:54:05.746 --> 00:54:13.492]  It's being able to see things that less intelligent people can't see.
[00:54:13.752 --> 00:54:15.434]  And I'll give you an example of the difference.
[00:54:15.994 --> 00:54:31.997]  I spoke at the Brixton Academy in London to two and a half thousand people about a month ago, and in that audience was every race, every income bracket, every range of society aged the lot.
[00:54:32.478 --> 00:54:39.559]  And I gave them everything I could give them, because the reason they were there is they had open-minded intelligence.
[00:54:40.019 --> 00:54:44.020]  But when I spoke to these, quote, brilliant students at Oxford University,
[00:54:44.680 --> 00:54:51.268]  I'm sitting in the hotel room in the afternoon thinking, how do I put this in baby steps so these people have any chance of getting it?
[00:54:52.089 --> 00:54:59.037]  It's because we have misunderstood what intelligence is, and intelligence is not just
[00:54:59.697 --> 00:55:00.398]  I agree.
[00:55:00.438 --> 00:55:03.140]  Let me ask you a question.
[00:55:03.180 --> 00:55:05.942]  Let me bring forward an example of what I think of as wisdom.
[00:55:05.982 --> 00:55:06.122]  Exactly.
[00:55:06.142 --> 00:55:07.743]  They can come up with a GMO food
[00:55:15.729 --> 00:55:25.475]  Now that makes some huge profits and corners the market on food, and that would be clever, but did they with wisdom think about what that will even do to their own grandchildren?
[00:55:25.935 --> 00:55:26.216]  No!
