[00:00:00.029 --> 00:00:00.817]  They can read along.
[00:26:09.215 --> 00:26:14.999]  So that's what the elite think of the American military personnel, men and women in uniform.
[00:26:15.039 --> 00:26:20.503]  They're just a bunch of morons to send them out, and who the hell cares that they get killed?
[00:26:20.643 --> 00:26:22.385]  They were just a bunch of animals anyway.
[00:26:23.265 --> 00:26:33.833]  As a matter of fact, according to English law and the English language, a man and a woman, by the correct use of English language, man or woman,
[00:26:34.418 --> 00:26:36.279]  It's masculine or feminine.
[00:26:36.679 --> 00:26:41.562]  That's the correct way to talk about a man or woman.
[00:26:41.882 --> 00:26:43.423]  It's masculine or feminine.
[00:26:43.663 --> 00:26:50.826]  According to British English law, animal is referred to as male or female.
[00:26:51.807 --> 00:26:57.010]  And so consequently, on all of our ID, it says, are you male or female?
[00:26:58.467 --> 00:27:09.996]  You are not considered by law a man or woman, because man or woman, according to British Maritime Law, have certain rights and privileges that an animal don't have.
[00:27:10.196 --> 00:27:15.241]  And since we don't have that, we are male and female, not masculine, feminine.
[00:27:15.801 --> 00:27:16.582]  That's the law.
[00:27:16.702 --> 00:27:19.364]  Alright, we're going to go back live on the main show here in just a moment.
[00:27:19.404 --> 00:27:24.168]  JordanMaxwell.com, InfoWars.com, PrisonPlanet.tv.
[00:27:24.948 --> 00:27:25.789]  Here we go, Jordan.
[00:27:25.809 --> 00:27:26.830]  We'll be back in 30 seconds.
[00:27:29.463 --> 00:27:29.963]  That's right.
[00:28:01.610 --> 00:28:07.635]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:28:08.256 --> 00:28:11.278]  It's Alex Jones and the GCN Radio Network.
[00:28:13.720 --> 00:28:18.024]  In the last month there have been more car bombings, more rocket attacks, more killings.
[00:28:18.124 --> 00:28:21.207]  Mexican troops in uniform came into Phoenix and killed people.
[00:28:22.892 --> 00:28:24.233]  How many miles over the border is that?
[00:28:25.674 --> 00:28:28.156]  And LAPD won't ask about immigrant status.
[00:28:28.237 --> 00:28:29.978]  Associated Press, I was mentioning that.
[00:28:30.578 --> 00:28:34.982]  I've got several articles like this in front of me today.
[00:28:35.062 --> 00:28:36.203]  That's out of the Associated Press.
[00:28:37.044 --> 00:28:47.233]  And my whole point is, is that the Spanish stations are all got names like the rebel, the race, it's all we're going to take over, we're going to get you, we're going to overthrow the U.S.
[00:28:48.257 --> 00:28:53.442]  And the government's saying, oh my gosh, give all your rights up, there's Al-Qaeda everywhere, and there's no real Al-Qaeda, it's Al-Cieda.
[00:28:54.263 --> 00:29:00.629]  But meanwhile, there is a real group with TV companies buying 700 billboards saying, L.A.
[00:29:00.689 --> 00:29:01.790]  belongs to Mexico.
[00:29:03.011 --> 00:29:08.756]  You've got people that are tourists to Mexico get shook down and robbed, the media covers that up.
[00:29:09.897 --> 00:29:11.798]  You've got the illegal aliens, and I've been told this.
[00:29:11.838 --> 00:29:14.559]  Cops called in yesterday and agreed, but I've had it happen right here in Austin.
[00:29:14.800 --> 00:29:17.741]  You can drunk drive, no insurance, no license, above the law.
[00:29:18.121 --> 00:29:21.823]  Citizens, the books are thrown at, and the police are told, do not arrest illegals.
[00:29:21.843 --> 00:29:24.644]  And it says right here, they can be under felony charges.
[00:29:25.605 --> 00:29:28.506]  And they do not bring up if they're illegal or legal or not.
[00:29:29.166 --> 00:29:30.047]  That is not an issue.
[00:29:30.107 --> 00:29:33.689]  So, for all intents and purposes, the borders are wide open.
[00:29:33.949 --> 00:29:36.490]  That fence they're putting up is to keep Americans in.
[00:29:39.451 --> 00:29:50.099]  You know, my whole point is, during the break you were talking about Henry Kissinger's own book, Kiss the Boys Goodbye, and it's a quote he admits, where he said the military are dumb animals to be used by us.
[00:29:51.380 --> 00:30:08.173]  The police are hated by the New World Order and used, the military are hated and used, they call them dumb animals, our future is being destroyed, and I guess, Jordan Maxwell, we the people and the establishment, the minions, I guess we're just going to assist in our own destruction, Jordan.
[00:30:09.108 --> 00:30:09.688]  I guess so.
[00:30:09.908 --> 00:30:13.049]  I guess it's part of who we are as a people.
[00:30:13.209 --> 00:30:21.412]  We have lost our souls, we have lost our minds, and we've lost our republic, and now we're just going to lose, period.
[00:30:21.572 --> 00:30:27.094]  And the reason why is because most people, I understand, it bothers me, but I understand why
[00:30:28.084 --> 00:30:28.765]  Do you?
[00:30:42.429 --> 00:30:51.753]  And it has to do with researching and studying the movements of the bankers, the history of the world, ancient history and how it impacts our modern day world.
[00:30:51.773 --> 00:30:54.074]  But why would people not want to know how the world really works?
[00:30:54.114 --> 00:30:56.255]  This is all incredible.
[00:30:56.315 --> 00:30:58.476]  It doesn't have anything to do with basketball.
[00:30:59.716 --> 00:31:01.477]  So what is the importance of it all?
[00:31:01.517 --> 00:31:06.939]  I mean, if it had something to do with hooters or football, it might be of importance.
[00:31:07.765 --> 00:31:10.506]  So most people don't give a damn about America.
[00:31:10.686 --> 00:31:13.788]  Well, they better care that their children are being implanted with cancer.
[00:31:14.328 --> 00:31:14.848]  Well, I know.
[00:31:16.189 --> 00:31:19.931]  Look at, like the Bible has Jesus saying, look, by their fruit you shall know them.
[00:31:20.669 --> 00:31:22.870]  We're supposedly a very Christian nation.
[00:31:22.930 --> 00:31:25.092]  We're a very holy and righteous nation.
[00:31:25.612 --> 00:31:27.573]  By their fruits, you shall know them.
[00:31:27.653 --> 00:31:30.635]  What is the fruitage of the American civilization today?
[00:31:30.655 --> 00:31:36.659]  50 million abortions, huge buckets of pus, just mental illness, total degeneracy.
[00:31:37.039 --> 00:31:38.420]  That's it.
[00:31:38.680 --> 00:31:43.223]  Throw in drive-by shootings, crimes, gang members, rapes.
[00:31:43.704 --> 00:31:44.504]  Incredible.
[00:31:44.624 --> 00:31:45.225]  And law?
[00:31:45.325 --> 00:31:46.265]  There is no law.
[00:31:46.365 --> 00:31:47.226]  Law is a mockery.
[00:31:48.601 --> 00:31:50.843]  That's by their fruit, you shall know them.
[00:31:51.624 --> 00:31:54.086]  I'm telling you, it's just an incredible story.
[00:31:54.126 --> 00:32:00.911]  And then here's a great quote by George Bush's mother, the President's mother.
[00:32:00.951 --> 00:32:02.072]  Her beautiful mind?
[00:32:02.152 --> 00:32:11.199]  Yeah, Barbara Bush said when she was asked about all the coffins coming back from the Middle East, all the young men who are dying there.
[00:32:11.219 --> 00:32:12.580]  That was Larry King Live, yeah.
[00:32:13.120 --> 00:32:14.982]  Larry King Live, she says, quote,
[00:32:15.563 --> 00:32:18.465]  This is Barbara Bush saying it about American troops.
[00:32:18.945 --> 00:32:22.307]  She said, why should we hear about body bags and death?
[00:32:23.147 --> 00:32:24.308]  It's not relevant.
[00:32:24.928 --> 00:32:28.170]  So why should I waste my beautiful mind on something like that?
[00:32:29.800 --> 00:32:34.982]  I was just amazed that the president's mother would say, who the hell cares about these chumps?
[00:32:35.042 --> 00:32:39.584]  And in that same newscast, exactly, in that same newscast she was kind of having a meltdown.
[00:32:39.984 --> 00:32:43.345]  She said, if you talk bad about my family, I will have you killed.
[00:32:43.806 --> 00:32:44.866]  Yeah, I loved it.
[00:32:45.306 --> 00:32:47.647]  So I mean, she's really telling us who they are.
[00:32:48.067 --> 00:32:57.151]  It's, you know, you're a bunch of scum troops, you're going to serve us and love us, I don't want to hear about your dead bodies, shut up maggot scum and help me bring down this country!
[00:32:57.791 --> 00:32:59.992]  And they even tell us, you are scum!
[00:33:00.213 --> 00:33:02.534]  Kissinger writes a book and says, I hate you filth!
[00:33:02.714 --> 00:33:04.395]  And they say, yes, yes, I love you.
[00:33:04.435 --> 00:33:05.096]  Call me filth.
[00:33:05.436 --> 00:33:06.637]  I want to attack more countries.
[00:33:07.317 --> 00:33:08.838]  Inject me full of deadly shots.
[00:33:08.938 --> 00:33:09.519]  Let me breathe.
[00:33:09.799 --> 00:33:10.399]  D-U.
[00:33:10.739 --> 00:33:11.580]  I love dying.
[00:33:11.700 --> 00:33:12.501]  Oh, it's so good.
[00:33:12.521 --> 00:33:17.404]  Yeah, and as I said, Henry Kissinger wrote a book called Kiss the Boy's Goodbye.
[00:33:17.424 --> 00:33:19.485]  You could buy it in any good book store.
[00:33:19.505 --> 00:33:26.990]  And he said, quite literally, in a quote, he says in his own book, military men are just dumb, stupid animals to be used
[00:33:27.435 --> 00:33:29.276]  As pawns in foreign policy.
[00:33:29.756 --> 00:33:30.176]  Period.
[00:33:30.676 --> 00:33:34.158]  They're just animals, so who the hell cares if they get killed?
[00:33:34.298 --> 00:33:35.598]  My God, who cares?
[00:33:35.678 --> 00:33:39.560]  And the sick thing is, you try to tell one of these average guys that, they will laugh right at you.
[00:33:40.020 --> 00:33:41.160]  You know what, go read his book.
[00:33:41.220 --> 00:33:42.021]  I didn't write the book.
[00:33:42.121 --> 00:33:43.982]  No, I know, but I mean, that's the incredible part.
[00:33:44.022 --> 00:33:51.484]  You go, your master says you're nothing, and that they're using you, and they'll just smile at you, and say, but I've got some pieces of brass on my chest.
[00:33:51.825 --> 00:33:52.625]  Yeah, yeah.
[00:33:52.765 --> 00:33:54.165]  Well, Napoleon talked about that.
[00:33:54.206 --> 00:33:55.026]  He said, man, people
[00:33:56.087 --> 00:33:59.629]  They'll step over each other to get killed if you just give them some pieces of metal.
[00:34:00.229 --> 00:34:00.529]  I know.
[00:34:01.430 --> 00:34:11.735]  And then of course, you know, the Leopold Stone, that's also on page one of my box on, let's see, what is it, on questions.
[00:34:12.296 --> 00:34:25.503]  On page one, research, on the bottom, the most holy of all relics in all of England, the most holiest relic in all of England is something called the Leopold Stone.
[00:34:27.712 --> 00:34:34.537]  It's treasured by the royalty as a very important symbol for royalty power in England.
[00:34:34.897 --> 00:34:35.918]  The Leopold Stone.
[00:34:36.018 --> 00:34:44.283]  Go on my website to questions and scroll down on the first page to the bottom and you will see the Leopold Stone.
[00:34:45.124 --> 00:34:46.805]  All it is is a phallic symbol.
[00:34:47.646 --> 00:34:49.127]  Have you seen it yourself yet?
[00:34:49.387 --> 00:34:50.168]  Yes, I've seen it.
[00:34:50.248 --> 00:34:50.708]  I've seen it.
[00:34:53.447 --> 00:34:58.191]  So, they put the stuff in your face, phallic symbols, mail-in elections.
[00:34:58.291 --> 00:35:03.034]  In fact, we'll put the, I saw it weeks ago, we'll put the layout of Bill Stone up on the screen.
[00:35:03.054 --> 00:35:04.015]  Which sub-page is that?
[00:35:04.796 --> 00:35:12.702]  It's on page one of questions, on the research box called questions, page one at the bottom.
[00:35:12.722 --> 00:35:15.764]  Okay, so you click research, and then you click on the one that says questions.
[00:35:16.264 --> 00:35:16.464]  Right.
[00:35:17.425 --> 00:35:19.647]  And then you scroll to the bottom of page one.
[00:35:20.549 --> 00:35:24.931]  And you will see the most holy relic in all of England.
[00:35:25.731 --> 00:35:27.232]  It's called the Leopold Stone.
[00:35:27.432 --> 00:35:28.412]  There it is, sitting there.
[00:35:28.492 --> 00:35:29.073]  I'm on research.
[00:35:29.153 --> 00:35:32.394]  I see words to search, pictures, quotes.
[00:35:32.514 --> 00:35:33.635]  No, go to questions.
[00:35:34.435 --> 00:35:35.756]  The box that says questions.
[00:35:35.796 --> 00:35:36.796]  Have you ever wondered?
[00:35:38.437 --> 00:35:39.797]  I think it's called, have you ever wondered?
[00:35:39.837 --> 00:35:40.398]  Yeah, yeah, there it is.
[00:35:40.438 --> 00:35:41.078]  Have you ever wondered?
[00:35:41.438 --> 00:35:42.338]  Go to page one.
[00:35:44.019 --> 00:35:44.939]  Have you ever wondered?
[00:35:44.959 --> 00:35:48.281]  Then scroll down to the bottom of the page, number four.
[00:35:49.531 --> 00:35:51.272]  And you will see the Leopold Stone.
[00:35:51.492 --> 00:35:59.076]  And then beneath it, of course, is a footnote that you can go on the web and study the subject of the Leopold Stone for yourself.
[00:36:00.537 --> 00:36:01.397]  Do you see it yet?
[00:36:01.517 --> 00:36:02.217]  Yes, I'm on there.
[00:36:03.758 --> 00:36:07.420]  So, that's the most holy relic of British royalty.
[00:36:08.621 --> 00:36:10.682]  And so, I don't know what that tells you.
[00:36:11.122 --> 00:36:12.883]  Tell folks what the dog tags mean.
[00:36:13.922 --> 00:36:24.507]  Yeah, the dog tag, that's what military people and people in law enforcement have an identification thing on a chain around their neck and it's called a dog tag.
[00:36:25.428 --> 00:36:29.510]  And the reason why is because that's exactly what the military is conceived to be.
[00:36:30.230 --> 00:36:31.171]  A bunch of dogs.
[00:36:31.591 --> 00:36:33.292]  I mean, that's what Henry Kissinger said.
[00:36:33.312 --> 00:36:37.654]  I don't know, it's just outrageous to me.
[00:36:38.295 --> 00:36:40.135]  All you gotta do is just read a book.
[00:36:40.155 --> 00:36:43.017]  Just go to the library and get a book on any of these subjects.
[00:36:43.633 --> 00:36:45.535]  And like I said, just go on my website.
[00:36:45.575 --> 00:36:47.336]  I've already done all the research for you.
[00:36:47.396 --> 00:36:50.880]  Just go on my website and go to Research Boxes.
[00:36:50.980 --> 00:36:54.303]  And there's all kinds of boxes there on all kinds of subjects.
[00:36:55.083 --> 00:36:59.167]  And go through my website because there's a lot of material on the links.
[00:37:00.228 --> 00:37:04.472]  And I do it even, there's just so much on my website.
[00:37:05.297 --> 00:37:09.799]  Well, let's go through words of this research, and just spend a minute or so on each one.
[00:37:10.119 --> 00:37:11.079]  The Black Hand.
[00:37:11.119 --> 00:37:12.299]  Tell folks about the Black Hand.
[00:37:12.780 --> 00:37:15.801]  Well, that was a precursor to what we today call Mafia.
[00:37:16.841 --> 00:37:17.701]  La Cosa Nostra.
[00:37:18.081 --> 00:37:25.124]  A long time ago in the Middle Ages, what we call today Mafia, La Cosa Nostra, was called Black Hand.
[00:37:25.984 --> 00:37:31.406]  Black, of course, being the planet Saturn, so it was a Saturnian secret society.
[00:37:31.626 --> 00:37:34.527]  The Black Hand later become known as La Cosa Nostra.
[00:37:35.574 --> 00:37:39.597]  It was connected to the Masonic Orders.
[00:37:39.818 --> 00:37:44.661]  And of course, Hoover said it didn't exist, kind of like the North American Union doesn't exist.
[00:37:45.422 --> 00:37:47.043]  I mean, this incredible denial.
[00:37:47.623 --> 00:37:53.608]  How do you deal with the denial when all of this is going on around people and they just say it doesn't exist?
[00:37:54.328 --> 00:37:54.629]  I know.
[00:37:54.809 --> 00:37:55.669]  And so what can you do?
[00:37:55.729 --> 00:37:56.590]  I mean, what can you say?
[00:37:57.391 --> 00:37:59.192]  All I know is I just put it out there.
[00:37:59.790 --> 00:38:03.851]  And people, like I said, ask me questions that are right here on my website.
[00:38:03.911 --> 00:38:05.652]  No, I know, but we're doing this live on the radio.
[00:38:06.172 --> 00:38:07.552]  British East India Company.
[00:38:07.572 --> 00:38:10.013]  I mean, I know all about them, but tell folks why that's so important.
[00:38:10.033 --> 00:38:12.794]  This is the modern model of the corporate fascism.
[00:38:13.294 --> 00:38:13.774]  That's right.
[00:38:13.834 --> 00:38:16.755]  That's where the United States is a corporation.
[00:38:16.775 --> 00:38:23.898]  There's a world of difference between the United States of America up until 1868, and after 1868, we have a new operation called United States.
[00:38:28.815 --> 00:38:31.776]  It's not a republic anymore, it's called a public policy.
[00:38:32.556 --> 00:38:52.502]  You know, even the Supreme Court, the head of the Supreme Court, I've got a quote on my website, or I'm going to put it on if I don't have it, where the head of the Supreme Court said that the Constitution of the United States was officially done away with in 1868, officially, by law, in 1868.
[00:38:53.662 --> 00:38:54.062]  Period.
[00:38:54.662 --> 00:38:56.723]  It has not been enforced, it has not been
[00:38:57.590 --> 00:39:02.794]  of any value in this country or in this operation of this republic at all, period.
[00:39:02.854 --> 00:39:11.119]  But now that they still kept some of the old conventions, now they're fully doing away with it, even in practice, chattel property.
[00:39:11.699 --> 00:39:15.682]  Yeah, chattel property, that's you.
[00:39:15.862 --> 00:39:19.044]  It's movable dirt, it's property, it's like a real estate.
[00:39:19.620 --> 00:39:22.942]  And part of the real estate is you, because you live on the real estate.
[00:39:23.002 --> 00:39:28.726]  So they refer to humans as chattel property or movable dirt.
[00:39:29.366 --> 00:39:30.467]  Cognitive dissidence.
[00:39:31.027 --> 00:39:38.012]  Yeah, cognitive dissidence is what the whole country, this whole entire republic is filled with cognitive dissidence.
[00:39:38.132 --> 00:39:46.717]  Meaning, if you hear something that you've never heard before, or is in opposition to something you've always believed,
[00:39:47.222 --> 00:39:51.384]  Your mind cannot be wrapped around that information.
[00:39:51.444 --> 00:39:52.384]  You just don't want to hear it.
[00:39:52.985 --> 00:40:00.068]  You don't want to hear it because it doesn't have anything to do with what you believe, and you have your own truth, and so you don't want to look at the facts.
[00:40:00.348 --> 00:40:01.709]  You can't even deal with it.
[00:40:02.989 --> 00:40:11.333]  Like the fact that we told everybody there was mercury in there, and the government said there's no mercury in the shots, and now that they've had to admit, okay, it brand-damaged tens of millions, and it is in there.
[00:40:11.912 --> 00:40:12.452]  Yeah, I know.
[00:40:14.953 --> 00:40:25.378]  Like I said... But the slaves were told that it was not in there, so they will default to the old line and say, I don't care if the government admits it now, I love it.
[00:40:26.018 --> 00:40:28.199]  Yeah, I know.
[00:40:28.540 --> 00:40:31.521]  Another word in the box of words to research Congress.
[00:40:32.219 --> 00:40:33.760]  We talk about the Congress.
[00:40:34.420 --> 00:40:37.382]  People have no idea in the world what the word Congress really means.
[00:40:37.502 --> 00:40:38.302]  Tell them what it means.
[00:40:39.663 --> 00:40:42.764]  If you go to any good dictionary, Congress is sex.
[00:40:42.965 --> 00:40:48.027]  You know, I have two words, to caress and then Congress.
[00:40:48.087 --> 00:40:52.009]  And you have the upper and lower house with the goddess and the male phallus coming together.
[00:40:52.349 --> 00:40:52.910]  That's right.
[00:40:52.970 --> 00:40:59.713]  The Washington Monument is a male erection and it connects directly to the ovaries of the oval office.
[00:41:02.580 --> 00:41:10.208]  And that's why you have the Congress, because you've got the male phallic Washington Monument connecting to the oval, or ovaries, or oval ovaries.
[00:41:10.228 --> 00:41:13.452]  Basically, we have a sun guy slash sex cult running things.
[00:41:14.192 --> 00:41:15.173]  Well, that's the bottom line.
[00:41:15.193 --> 00:41:16.234]  And they love killing people.
[00:41:17.071 --> 00:41:20.694]  I want to talk about the enjoyment of slaughtering.
[00:41:20.974 --> 00:41:24.096]  Like, you or I would feel bad murdering masses of people, especially children.
[00:41:24.556 --> 00:41:27.999]  They are very pious and say it's a very beautiful, loving thing.
[00:41:28.479 --> 00:41:31.481]  Well, I mean, that one general said it on my website.
[00:41:31.521 --> 00:41:33.382]  I've got that quote in the box of quotes.
[00:41:34.083 --> 00:41:42.889]  There's a picture of the general and testify where he said, one of the top generals in the Middle East said, for American generals, said, yeah, it's sometimes fun to kill people.
[00:41:43.809 --> 00:41:44.509]  We kind of like it.
[00:41:44.529 --> 00:41:46.050]  It's kind of fun shooting people.
[00:41:46.190 --> 00:41:47.331]  It's kind of like a game.
[00:41:48.331 --> 00:41:50.532]  See how many you can take down before lunch.
[00:41:50.812 --> 00:41:52.533]  You know, so it's kind of fun to kill people.
[00:41:52.553 --> 00:41:55.034]  But then if you were going after his family, you'd take it real serious.
[00:41:55.134 --> 00:41:57.855]  Oh no, that's different, because now you are a terrorist.
[00:41:59.076 --> 00:42:03.417]  I mean, I just don't know what to think about the whole world I live in anymore.
[00:42:03.458 --> 00:42:05.078]  Hey, what was the... I'm going crazy.
[00:42:05.158 --> 00:42:06.419]  What was the Inquisition?
[00:42:06.439 --> 00:42:07.799]  I mean, there were so many Inquisitions.
[00:42:08.140 --> 00:42:11.281]  Yeah, there were so many, but basically the Pope today
[00:42:12.377 --> 00:42:22.165]  Ratzinger was the head, before he became Pope, was the head of that organization in the Vatican that was, we call, the Inquisition.
[00:42:22.265 --> 00:42:25.648]  Yeah, that upkeeps, quote, the doctrine, that keeps the continuity of the Church together.
[00:42:26.088 --> 00:42:35.295]  Yes, and what it was during the Middle Ages, we call it the Dark Ages, because the human race was going through things which were very dark, and that's why we call it
[00:42:35.720 --> 00:42:40.944]  That time as the Dark Ages because we were in the really going through some dark stuff.
[00:42:40.964 --> 00:42:43.786]  Now why were they trying to suppress all scientific knowledge?
[00:42:43.806 --> 00:42:45.827]  We knew they'd hoarded it all and knew the truth.
[00:42:46.247 --> 00:42:46.948]  Why did they want it?
[00:42:47.028 --> 00:43:01.237]  And now they want to, the Club of Rome, the Bilderberg, they say again, they want 10% of us to be living, basically living on farms, everybody else exterminated, and then they'll be in high-tech citadels, bases separately from us.
[00:43:01.798 --> 00:43:03.759]  Well I know, but that's exactly right.
[00:43:03.819 --> 00:43:04.860]  But the Inquisition
[00:43:05.421 --> 00:43:28.199]  It was an extraordinarily important time in human history in Europe when anyone who would even act like you're going to, that you are for liberty and justice and freedom, freedom of thought, freedom of religion, freedom to think, you were hunted down by the Vatican, brought in, and we know the stuff that went on.
[00:43:28.239 --> 00:43:31.782]  The Vatican priests would pour hot lead into children's faces
[00:43:32.449 --> 00:43:36.672]  In front of the parents, they would open your mouth, the children's mouth, and pour hot lead.
[00:43:36.732 --> 00:43:38.254]  Now we see that being repeated.
[00:43:38.314 --> 00:43:54.286]  Now, psychologically, they know when they do the White House memos, ordering the Joint Chiefs of Staff to tell them to torture children with pliers, rip their genitals off, and then the public hears that and accepts it, and says, oh yeah, that's Jack Bauer.
[00:43:54.546 --> 00:43:56.367]  That's a great journey of evil, isn't it?
[00:43:56.648 --> 00:44:01.932]  If they can get us to accept the most evil thing, torturing children sexually, then they've got us, don't they, Jordan?
[00:44:03.053 --> 00:44:04.414]  They've got the whole human race.
[00:44:04.714 --> 00:44:06.195]  They've got the entire human race.
[00:44:06.555 --> 00:44:08.257]  Go to any good law book.
[00:44:08.297 --> 00:44:12.300]  Here's one on the words to research.
[00:44:12.360 --> 00:44:13.841]  Look up the word human being.
[00:44:13.861 --> 00:44:21.967]  A human being, according to this particular law book, says a human being is an animal, a monster.
[00:44:22.468 --> 00:44:23.929]  Then you look up the word monster.
[00:44:24.522 --> 00:44:30.484]  And it will tell you a monster is a human being and has no rights to anything, it's just an animal.
[00:44:30.604 --> 00:44:33.985]  So it's all a big joke to them, that they've changed all the terms, you don't know what it means.
[00:44:34.485 --> 00:44:36.505]  Office of Controlled Conflict Operations.
[00:44:36.765 --> 00:44:53.210]  Yeah, and when you read Mein Kampf, Adolf Hitler's book, Mein Kampf, we've known for, I mean, I grew up as a kid knowing, I had the New York Times, my dad showed it to me many years ago, and the New York Times had a huge article
[00:44:53.803 --> 00:44:56.745]  about Mein Kampf was written by a Jesuit priest.
[00:44:57.465 --> 00:45:03.108]  It was written by a Father Stemple, S-T-A-E-M-P-F-L-E.
[00:45:03.668 --> 00:45:11.752]  Go on my website and look up Father Stemple, and it will tell you all of the information there about who actually wrote Mein Kampf.
[00:45:11.812 --> 00:45:17.315]  It was a Jesuit priest at the Vatican who wrote Mein Kampf for Adolf Hitler.
[00:45:18.535 --> 00:45:20.016]  And so, you know,
[00:45:20.879 --> 00:45:24.045]  I just am amazed at how much people don't read.
[00:45:24.526 --> 00:45:26.249]  That's what my website is all about.
[00:45:26.370 --> 00:45:32.100]  Just go on my website and wander through all of the boxes, all of the links.
[00:45:33.172 --> 00:45:35.794]  All of the, uh, esoteric research boxes.
[00:45:35.894 --> 00:45:37.255]  A lot of stuff there.
[00:45:37.275 --> 00:45:39.177]  Okay, Jordan, we are going to take calls.
[00:45:39.197 --> 00:45:43.060]  We're not going to, because I want to just spend every minute covering issues with you here.
[00:45:43.520 --> 00:45:45.001]  People want Jordan Maxwell on the show.
[00:45:45.041 --> 00:45:46.382]  You've got him twice in one week.
[00:45:46.422 --> 00:45:47.123]  We appreciate him.
[00:45:47.523 --> 00:45:48.644]  JordanMaxwell.com.
[00:45:48.664 --> 00:45:51.526]  We'll talk behind the scenes from PrisonPlanet.tv viewers right now.
[00:45:51.546 --> 00:45:52.647]  Everybody else will be right back.
[00:45:57.375 --> 00:46:04.938]  Hey, Jordan, most of these terms I know about, but I remember reading a little bit about Office of Controlled Conflict Operations.
[00:46:05.098 --> 00:46:06.059]  Can you tell me about that?
[00:46:06.679 --> 00:46:09.900]  Well, like you said, you know that.
[00:46:11.401 --> 00:46:22.645]  They already have departments in government that will start the trouble, the wars or whatever, then control it, and then bring in, like we know, the opposing party.
[00:46:24.761 --> 00:46:26.122]  They financed both sides.
[00:46:26.222 --> 00:46:31.164]  It's just, you know, there were television shows made years ago.
[00:46:32.445 --> 00:46:32.905]  What was it?
[00:46:33.105 --> 00:46:33.785]  Get Smart?
[00:46:34.466 --> 00:46:35.566]  Remember on Get Smart?
[00:46:35.746 --> 00:46:42.249]  They got a new movie out, Get Smart, but in the television series Get Smart, there were two sides.
[00:46:42.449 --> 00:46:46.371]  One side was called Chaos, and the other side was Control.
[00:46:46.991 --> 00:46:52.314]  And what do you think they're telling you in the comic series Chaos and Control?
[00:46:53.331 --> 00:46:57.313]  And consequently it was always both sides of being financed by the same people.
[00:46:57.954 --> 00:47:02.176]  The same people caused the chaos are also the ones who are bringing the new control.
[00:47:02.617 --> 00:47:05.218]  And that way they're always ready to roll out and be the saviors.
[00:47:05.659 --> 00:47:07.680]  You accept their control and things get worse.
[00:47:08.080 --> 00:47:08.480]  That's it.
[00:47:08.580 --> 00:47:11.142]  And then they got more to save you and then it gets worse.
[00:47:12.142 --> 00:47:17.065]  And worse and worse until one day you wake up and find out you've been had from day one.
[00:47:17.085 --> 00:47:24.589]  Well, I was just going to say that all the power, all the control they've got, all the money, they really hate happy, healthy families.
[00:47:24.609 --> 00:47:26.831]  They really hate people enjoying themselves.
[00:47:27.131 --> 00:47:32.294]  Misery loves company, and the elite really just like to hurt people.
[00:47:33.514 --> 00:47:39.498]  Can you talk about the mentality, or what makes the higher level initiates tick?
[00:47:40.239 --> 00:47:46.301]  Well, look at what the way the SS Gestapo worked in Nazi Germany.
[00:47:46.642 --> 00:47:55.405]  Watch the, you know, look at the way they, their pompous, arrogant attitude that all humans were nothing more to be used as animals.
[00:47:55.585 --> 00:47:59.607]  That is precisely the attitude today in America today.
[00:48:00.287 --> 00:48:14.834]  That the working class people are nothing more than just their kids can be raped, you can run them into the ground, jack up their gas prices, do anything you want to these people, because they're nothing but masses of ignorant human flesh.
[00:48:15.434 --> 00:48:16.935]  So just do anything you want.
[00:48:17.015 --> 00:48:23.898]  Take the good-luckin' ones and rape them, and take the children, sell them, do anything you please, because it really doesn't matter.
[00:48:23.938 --> 00:48:26.439]  The people aren't going to do anything.
[00:48:26.999 --> 00:48:28.220]  They didn't do anything with
[00:48:29.068 --> 00:48:36.551]  Ruby Ridge, they didn't do anything with, uh, what was it, the Branch Davidians?
[00:48:36.631 --> 00:48:36.991]  Waco, yeah.
[00:48:37.011 --> 00:48:38.812]  They didn't do anything at Waco.
[00:48:38.852 --> 00:48:39.772]  They didn't do anything.
[00:48:39.872 --> 00:48:42.373]  All of those were just to see if you would do something.
[00:48:42.933 --> 00:48:46.595]  Now they have finally figured out the American people ain't gonna do nothing.
[00:48:46.875 --> 00:48:47.255]  Period.
[00:48:47.715 --> 00:48:49.716]  They're gonna go along with whatever you tell them.
[00:48:50.356 --> 00:48:52.997]  So if you tell them to take off their pants at the airport, they'll do it.
[00:48:53.177 --> 00:48:54.558]  Whatever you tell them, they'll do.
[00:48:55.339 --> 00:48:58.360]  So as far as I'm concerned, I just look at the whole thing and I'm just amazed.
[00:48:58.620 --> 00:48:59.281]  Alright, here we go.
[00:48:59.321 --> 00:48:59.721]  Here we go.
[00:49:03.242 --> 00:49:10.566]  Everybody knows that the days are loaded.
[00:49:11.466 --> 00:49:15.328]  Everybody rolls with their fingers crossed.
[00:49:16.128 --> 00:49:19.990]  Everybody knows the war is over.
[00:49:20.750 --> 00:49:24.172]  Everybody knows the good guy's lost.
[00:49:33.576 --> 00:49:37.858]  But now the elite don't even need us to tell their fields to run their machinery with robotics.
