[00:00:00.029 --> 00:00:00.970]  Alright, we're back!
[00:26:12.714 --> 00:26:13.275]  Yeah, I think so.
[00:26:23.384 --> 00:26:43.710]  uh... and uh... and and informed citizenry policy i think it's so much for the kind words judy and uh... yeah we do need to hold them accountable i'm gonna be going after these guys long after the bush administration is out of office we need to hold cheney accountable we need to hold rumsfeld accountable we need to hold wolfowitz accountable we even need to uh... hold the puppet king george w bush who was nothing
[00:26:44.170 --> 00:26:48.911]  But a, you know, rich intelligence guy's kid, accountable for what he knew after the fact.
[00:26:48.951 --> 00:26:50.291]  We can't let these guys get away with it.
[00:26:50.531 --> 00:26:53.032]  I'm with you 100% and again, thank you for those kind words.
[00:26:53.312 --> 00:26:55.333]  Let's jump to Bart in Texas.
[00:26:55.413 --> 00:26:56.153]  Bart, what's on your mind?
[00:26:56.173 --> 00:27:10.596]  Hey Jason, I wanted to touch back for a second on this whole, this Malkin confrontation because it kind of hit the sore spot with me that I've just continually noticed that I want to talk about is that the left and the leftist
[00:27:11.540 --> 00:27:22.387]  really do hate Alex Jones, and I see that they... I encounter this a lot in my own work with, you know, trying to spread this kind of information, and I think it's two primary things.
[00:27:22.667 --> 00:27:35.195]  One is Alex has really re-energized the entire Patriot-Libertarian movement, and that is, you know, just on a face value, taking away from their organizations, you know?
[00:27:35.215 --> 00:27:35.735]  Absolutely.
[00:27:35.755 --> 00:27:38.417]  He's really brought the whole Patriot resistor
[00:27:39.167 --> 00:27:42.248]  Back into the forefront of things, and that's just sapping their movement.
[00:27:42.628 --> 00:27:44.709]  So, I mean, that's one end of the spectrum.
[00:27:45.069 --> 00:27:54.353]  And the other end of the spectrum is if you read Lenin, and you read about the way communism is supposed to be implemented, is that you have to vilify all other social movements.
[00:27:55.253 --> 00:28:02.576]  You have to destroy every other social movement so that your social movement is the only movement that has any real power
[00:28:03.044 --> 00:28:03.865]  Or credibility.
[00:28:04.205 --> 00:28:13.691]  So, I mean, I'm not saying that it's this mastermind plot from the leftist faction, but it's really kind of this whole gambit of hate and strategy.
[00:28:13.711 --> 00:28:14.312]  Well, hold on.
[00:28:14.352 --> 00:28:26.160]  How goofy is it that the guy that's supposedly leading this, you know, leftist, quote-unquote, anarchist group, dressed up like Mickey Mouse from Fantasia to, quote-unquote, levitate the Mint.
[00:28:26.380 --> 00:28:27.061]  You know what I'm saying?
[00:28:27.796 --> 00:28:28.916]  No, I completely agree.
[00:28:28.936 --> 00:28:30.377]  It's a clown costume.
[00:28:30.657 --> 00:28:36.639]  You know, Malkin loves to show up and get pictures of that, because that just reinforces the whole left-right paradigm.
[00:28:36.959 --> 00:28:45.882]  Because then some guy out in California that's just middle America and buys into the whole, you know, smorgasbord of lies looks at that and goes, my God, these people are absolute morons.
[00:28:46.422 --> 00:28:46.843]  Absolutely.
[00:28:46.863 --> 00:28:47.363]  You know what I'm saying?
[00:28:47.423 --> 00:28:47.883]  Absolutely.
[00:28:48.444 --> 00:28:52.026]  Then if you share those views, you know, you must be an absolute moron.
[00:28:52.686 --> 00:28:55.607]  So, you know, I just, I really encourage people to do that.
[00:28:56.007 --> 00:28:57.388]  You know, break through that.
[00:28:57.768 --> 00:29:00.549]  You're not going to get through to the leaders, but do your best.
[00:29:00.609 --> 00:29:07.773]  Don't, oh, and the other danger here is don't allow them to suck us into the same cycle of confrontation with them.
[00:29:07.873 --> 00:29:09.894]  We, our message is above that.
[00:29:10.034 --> 00:29:14.976]  We are really trying to have effective change, and the most effective change is not to allow them to polarize us.
[00:29:15.437 --> 00:29:17.944]  We have to break through their own conditioning.
[00:29:18.225 --> 00:29:18.566]  I'm with you.
[00:29:18.586 --> 00:29:20.111]  Thank you so much for the call, Bart.
[00:29:21.874 --> 00:29:23.275]  We've got a lot of work to do in this country.
[00:29:23.856 --> 00:29:27.579]  Luckily, Alex Jones is doing a lot of that work for us over at the DNC right now.
[00:29:28.400 --> 00:29:30.382]  Live streaming over at InfoWars.com.
[00:29:30.402 --> 00:29:38.789]  If you missed any of this, you know, blockbuster broadcast, in about a half an hour we're going to start re-streaming over at PrisonPlanet.com and InfoWars.com.
[00:29:38.969 --> 00:29:43.193]  And if you want to see my pretty little face before I get braces tomorrow, check out PrisonPlanet.tv.
[00:29:43.413 --> 00:29:44.214]  We'll be back after this.
[00:29:44.274 --> 00:29:45.255]  It's the Alex Jones Show!
[00:29:49.688 --> 00:29:52.692]  We're on the march, the empire's on the run.
[00:29:53.593 --> 00:29:56.437]  Alex Jones and the GCN Radio Network.
[00:29:59.801 --> 00:30:06.189]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:30:06.549 --> 00:30:08.211]  The enemy struck America on September 11th.
[00:30:09.170 --> 00:30:10.271]  But who is the enemy?
[00:30:10.711 --> 00:30:11.251]  Bin Laden.
[00:30:11.511 --> 00:30:12.532]  This is his ammo.
[00:30:12.552 --> 00:30:13.853]  We have to look to the Middle East.
[00:30:13.893 --> 00:30:15.554]  We have to look to Osama Bin Laden.
[00:30:15.874 --> 00:30:22.618]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:30:23.018 --> 00:30:23.478]  Some U.S.
[00:30:23.519 --> 00:30:29.202]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:30:29.862 --> 00:30:33.365]  I'm aware that some Israeli citizens have been detained.
[00:30:33.385 --> 00:30:43.593]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:30:43.834 --> 00:30:44.574]  Fabled enemies.
[00:30:45.055 --> 00:30:52.381]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:30:52.821 --> 00:30:56.184]  Either you are with us or you are with the terrorists.
[00:30:59.542 --> 00:31:02.583]  You ever have one of those days where everything goes right?
[00:31:02.963 --> 00:31:05.024]  First, I get the best parking space at work.
[00:31:05.284 --> 00:31:08.284]  Tonight, I have a date with a very lovely Rachel.
[00:31:08.564 --> 00:31:15.066]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston.
[00:31:15.446 --> 00:31:17.567]  Online, from my desk, with Webex.
[00:31:18.067 --> 00:31:21.129]  Webex lets me take meetings and give presentations from my desk.
[00:31:21.369 --> 00:31:25.993]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:31:26.153 --> 00:31:29.855]  So I can travel the world and still be here for my date tonight with Rachel.
[00:31:30.075 --> 00:31:31.596]  Travel less, meet online.
[00:31:31.717 --> 00:31:34.198]  Go to Webex.com and try Webex free.
[00:31:34.378 --> 00:31:39.982]  Just click the radiographic and enter promo code 500 to get a free trial and a free webcam too.
[00:31:40.322 --> 00:31:43.745]  Remember that code 500 to qualify for the free webcam.
[00:31:44.045 --> 00:31:48.631]  Webex, now part of Cisco, and used by more than five and a half million people every month.
[00:31:48.732 --> 00:31:49.412]  Give it a try.
[00:31:49.713 --> 00:31:50.053]  Free.
[00:31:50.314 --> 00:31:52.517]  Go to Webex.com and enter the promo code 500.
[00:31:53.318 --> 00:31:55.641]  Webex.com.
[00:31:55.721 --> 00:31:57.143]  Free webcams available while supplies last.
[00:31:57.163 --> 00:31:58.104]  Terms and restrictions apply.
[00:31:58.125 --> 00:31:58.946]  See website for details.
[00:31:59.566 --> 00:32:03.049]  The pressures of everyday life can deliver a serious blow to your health.
[00:32:03.309 --> 00:32:08.753]  Stress increases blood pressure, potential heart problems, strokes, ulcers, depression, and insomnia.
[00:32:08.953 --> 00:32:11.955]  Stress suppresses your immune system and inhibits weight control.
[00:32:12.215 --> 00:32:14.717]  Stress makes you nervous, anxious, or irritable.
[00:32:14.897 --> 00:32:18.019]  Introducing Nature's Renewal Supreme Anti-Stress Formula.
[00:32:18.199 --> 00:32:23.563]  When you're stressed out or need to ease nervousness, our Supreme Anti-Stress Formula calms simple nervous tension.
[00:32:23.783 --> 00:32:24.423]  We're good to go!
[00:32:45.771 --> 00:32:46.231]  I think so.
[00:33:16.035 --> 00:33:22.639]  I am a Midwest farmer.
[00:33:23.059 --> 00:33:24.940]  I make a living off the lamb.
[00:33:25.020 --> 00:33:27.381]  I ride a John Deere tractor.
[00:33:27.962 --> 00:33:31.183]  I'm a liberated... Alright, hopefully this is gonna just cue right in.
[00:33:31.284 --> 00:33:33.865]  Oh man, alright.
[00:33:33.905 --> 00:33:37.987]  My board today, it's gonna heal itself.
[00:33:38.247 --> 00:33:39.168]  While Willie sings us a...
[00:33:41.100 --> 00:33:47.363]  It's the Alex Jones Show, folks.
[00:33:47.403 --> 00:33:48.163]  I'm Jason Burmess.
[00:33:48.203 --> 00:33:49.724]  I'll be in through Thursday.
[00:33:49.784 --> 00:33:51.585]  Friday will be a best of the week.
[00:33:51.605 --> 00:33:56.587]  We're probably going to be playing some clips that didn't make the radio show, especially if some things go down Thursday.
[00:33:56.607 --> 00:34:00.409]  And the way they're looking, more and more is going down every single day.
[00:34:00.769 --> 00:34:03.050]  All right, we've got a ton of callers, and like I said, I take them all.
[00:34:03.090 --> 00:34:05.151]  So let's jump to Nate in Indiana.
[00:34:05.211 --> 00:34:05.951]  Nate, what's on your mind?
[00:34:07.429 --> 00:34:08.050]  Nate dropped off.
[00:34:08.110 --> 00:34:08.971]  All right, that's all right.
[00:34:08.991 --> 00:34:10.192]  Let's go to Roger in Minnesota, then.
[00:34:11.113 --> 00:34:11.673]  Roger, what's up?
[00:34:12.274 --> 00:34:12.814]  Hey, Jason.
[00:34:12.955 --> 00:34:15.117]  As everybody said, kudos to you.
[00:34:15.177 --> 00:34:15.697]  Great job.
[00:34:15.737 --> 00:34:16.558]  Great job to Alex.
[00:34:17.359 --> 00:34:31.073]  One question that I have, something that's intrigued me for quite some time, is with the assassination of several members of the Kennedy family, how can the living Kennedy family members
[00:34:32.023 --> 00:34:40.350]  Uh, endorse people like Obama and whatever, that they have to have known what was behind their family members getting killed.
[00:34:40.470 --> 00:34:42.572]  I just, I don't comprehend it.
[00:34:42.752 --> 00:34:44.033]  Well, I'll tell you what it is.
[00:34:44.093 --> 00:34:47.957]  It's the graves of John Kennedy and John Kennedy Jr.
[00:34:48.077 --> 00:34:50.419]  I mean, if you watch JFK to the Bush connection,
[00:34:51.159 --> 00:34:54.141]  It really lays out a case for George H.W.
[00:34:54.181 --> 00:35:04.747]  Bush's involvement in the assassination of Kennedy and this whole power struggle between that faction of the establishment and Joe Kennedy's faction.
[00:35:05.068 --> 00:35:13.353]  Now, after they killed John, they killed Robert right at the moment that he was going to win the Democratic nominee.
[00:35:13.633 --> 00:35:15.054]  It was at the California
[00:35:15.954 --> 00:35:40.293]  primary where he won so i mean there's two dead bodies now robert kennedy junior goes about as far as anybody on the left will uh... he's had uh... you know dylan uh... myself on the rate on his radio show he's open to a lot of aspects of nine eleven truth it's rather surprising he's a rather good speaker and who knows maybe he's setting himself up to be running for president i'm not sure ted kennedy also
[00:35:41.554 --> 00:35:46.522]  I mean went through that whole Chappaquiddick thing and has been silent ever since.
[00:35:46.843 --> 00:35:50.909]  Basically I think they give you a choice when you're at that establishment level.
[00:35:51.370 --> 00:35:52.271]  Go along or
[00:35:53.154 --> 00:35:53.935]  You're going to get killed.
[00:35:54.896 --> 00:35:56.218]  Even with Caroline Kennedy?
[00:35:56.258 --> 00:35:58.440]  That was her own father, for God's sake.
[00:35:59.101 --> 00:36:00.783]  I hear you, man.
[00:36:00.823 --> 00:36:05.688]  Just look at Jackie O. She kept quiet and tried to raise her kids under the radar.
[00:36:05.829 --> 00:36:10.093]  She wasn't successful in letting them keep their hands off of John.
[00:36:10.133 --> 00:36:11.735]  He put out a mainstream magazine.
[00:36:11.996 --> 00:36:13.998]  He had a legitimate shot at the presidency.
[00:36:14.178 --> 00:36:20.499]  He had a legitimate shot of reopening the investigations into his uncle and father's murder, and then all of a sudden his plane goes down.
[00:36:21.159 --> 00:36:25.140]  Actually, the same guy that did JFK 2 did a John F. Kennedy Jr.
[00:36:25.180 --> 00:36:26.141]  documentary as well.
[00:36:26.161 --> 00:36:27.081]  His name is John Hanke.
[00:36:27.341 --> 00:36:27.921]  I've interviewed him.
[00:36:27.961 --> 00:36:31.342]  He's a hell of a researcher, but I think fear plays into it.
[00:36:31.382 --> 00:36:37.083]  Even on those own establishment levels, not everybody is as righteous as you or me.
[00:36:37.343 --> 00:36:37.943]  You know what I'm saying?
[00:36:38.203 --> 00:36:42.664]  But somebody like Caroline Kennedy, even though if it was fear that was the motivating factor,
[00:36:43.204 --> 00:36:47.547]  They wouldn't kill her, I don't think, for not necessarily supporting Obama.
[00:36:47.588 --> 00:36:50.650]  So how can she do that when she knows what happened to her father?
[00:36:50.730 --> 00:36:51.350]  I just don't get it.
[00:36:51.370 --> 00:36:54.112]  Well, you know, they're still stuck in these left-right politics.
[00:36:54.152 --> 00:36:57.315]  They probably see a lot of other things behind the scenes that we don't see.
[00:36:57.655 --> 00:37:00.797]  I'm sure that they are believers in the lesser of two evils.
[00:37:00.877 --> 00:37:03.980]  But, you know, to say that they wouldn't kill her, I don't...
[00:37:04.520 --> 00:37:05.801]  I don't think that they would put a pass killer.
[00:37:05.821 --> 00:37:06.901]  I could see a car accident.
[00:37:06.921 --> 00:37:07.722]  I thank you for the call.
[00:37:07.962 --> 00:37:14.826]  I don't think anybody is above these assassins' bullets, especially not a Kennedy, or even Caroline Kennedy.
[00:37:14.846 --> 00:37:16.227]  I mean, that's just my personal opinion.
[00:37:16.567 --> 00:37:18.789]  All right, let's jump to Mike in Tennessee.
[00:37:18.849 --> 00:37:19.589]  Mike, what's on your mind?
[00:37:20.330 --> 00:37:20.770]  Good afternoon.
[00:37:20.810 --> 00:37:27.474]  This is Carl Beckman, who may be listening, and if not, Mr. Beckman, tune in in another four hours and re-catch the broadcast.
[00:37:27.494 --> 00:37:29.015]  But we need your help.
[00:37:29.495 --> 00:37:32.357]  We need you to prepare a presentation that we can direct at veterans
[00:37:33.447 --> 00:37:40.154]  jurors because they understand the concept of defending our Republic and the Constitution against all enemies foreign and domestic.
[00:37:40.174 --> 00:37:40.854]  Well, I'll say this.
[00:37:40.894 --> 00:37:41.195]  Hold on.
[00:37:41.235 --> 00:37:47.321]  There is quite a few presentations by Red Beckman already up at YouTube, so if you have internet access you can see those.
[00:37:48.301 --> 00:37:49.282]  Okay, what's the website?
[00:37:49.543 --> 00:37:55.468]  If you just go to YouTube.com and you just type in Red Beckman, a few of his lectures are up in separate parts.
[00:37:55.669 --> 00:37:56.870]  I checked it out before he came on.
[00:37:57.785 --> 00:38:09.567]  Well, also there's a problem right now that the jury pools are being pre-screened by the government and the jurors are being loaded up with the spouses of police officers, government employees, and they're doing what they're told and they're otherwise beholding to government.
[00:38:10.248 --> 00:38:15.909]  And also the jurors are being asked by the judges if they will follow the law as the judge instructs.
[00:38:16.089 --> 00:38:22.230]  And if the juror says anything other than yes, or indicates they will also judge the law, well they're booted off the jury.
[00:38:22.410 --> 00:38:27.271]  And the judge never tells the jury that they judge not only the facts, but also the law.
[00:38:27.944 --> 00:38:32.249]  Well, there's no doubt that our court system, especially in this country, is completely and totally rigged.
[00:38:33.090 --> 00:38:38.656]  In light of a miracle, the average citizen doesn't really have that much of a chance against the state or the district attorney.
[00:38:38.696 --> 00:38:39.497]  I thank you for the call.
[00:38:40.598 --> 00:38:42.859]  We have to keep standing up for ourselves, you know.
[00:38:42.939 --> 00:38:46.160]  We just have to keep saying, well, you know, that's against the Constitution and Bill of Rights.
[00:38:46.200 --> 00:38:47.940]  And yeah, there are a lot of corrupt judges out there.
[00:38:47.960 --> 00:38:49.100]  There are a lot of judges on the take.
[00:38:49.120 --> 00:38:52.841]  There are a lot of judges that are just pompous and just arrogant with power.
[00:38:53.722 --> 00:38:56.823]  That just speaks to the nature of the America citizen to me.
[00:38:57.023 --> 00:39:01.004]  You know, we feel a sense of entitlement, and when we're given power, we often abuse it.
[00:39:01.044 --> 00:39:01.644]  Why is that?
[00:39:02.744 --> 00:39:04.705]  Alright, let's jump to Hal in Florida.
[00:39:04.745 --> 00:39:05.485]  Hal, what's on your mind?
[00:39:06.368 --> 00:39:19.735]  Yeah, Jason, I would have liked to have asked this question of Red Beckman, but it's a problem that's being repeated thousands of times literally daily in this country, and it's a violation of law.
[00:39:21.597 --> 00:39:29.381]  Now, what I'm speaking of is a violation of recording your voice without your permission.
[00:39:29.681 --> 00:39:31.242]  Like in Florida, where I am,
[00:39:31.815 --> 00:39:39.719]  It's a violation of Chapter 934.01 Parenthesis 4 to record your voice without your permission.
[00:39:41.079 --> 00:39:50.183]  And when you use the telephone anytime nowadays, you are informed by a machine.
[00:39:50.303 --> 00:39:52.264]  And I'll call it a machine.
[00:39:52.344 --> 00:39:53.184]  It's a recorder.
[00:39:53.565 --> 00:39:54.505]  It's not a person.
[00:39:55.405 --> 00:39:57.686]  And so we'll just refer to it as a robot.
[00:39:57.726 --> 00:39:59.267]  This robot records you and
[00:40:02.205 --> 00:40:31.414]  My question is, uh, can you be faced in court by a robot as your accuser, number one, and I have complained to AT&T about this, I've complained to Public Service Commission, I've complained to the Federal Communications Commission, I've even called a lawyer about it, and I get no satisfactory answer that they can get by by recording your voice without your permission and, uh,
[00:40:32.512 --> 00:40:41.218]  If they can do it with a machine, who am I going to charge with this third class felony in violation of the Florida law?
[00:40:41.820 --> 00:40:52.227]  Well, they've eviscerated the Constitution and Bill of Rights, and I don't think that there is a law that says that this guy, that the computer concharger, what they'll do is they'll say whatever computer that department belongs to.
[00:40:52.247 --> 00:40:53.628]  Now, you mentioned AT&T.
[00:40:54.148 --> 00:41:09.158]  About six months ago, there was a gentleman that blew the whistle on AT&T, saying that they had the secret room, and he was the IT professional that basically attended to that secret room, where they were copying records of all phone conversations, all emails, whatsoever.
[00:41:09.178 --> 00:41:10.339]  It was thrown out of federal court.
[00:41:10.519 --> 00:41:11.680]  Now, he tried to sue them.
[00:41:12.701 --> 00:41:15.744]  And that was also thrown out with a Supreme Court decision.
[00:41:15.784 --> 00:41:31.299]  So unfortunately, I would say you probably in the system that it stands today, not the true Constitution and Bill of Rights system, you have little to no argument with this new national security apparatus, this new military-industrial complex that has literally taken over our country.
[00:41:31.460 --> 00:41:32.741]  And I'm not saying that's the right thing.
[00:41:33.141 --> 00:41:44.611]  I'm saying it's the complete wrong thing, and it's totally against the law, but until we bring these bastards that are doing this out in the open to justice, and we reverse the decision by the Supreme Court, we have little to no recourse.
[00:41:44.931 --> 00:41:45.912]  I thank you for the call, Hal.
[00:41:46.513 --> 00:41:48.434]  Let's jump to Ken in New York.
[00:41:48.474 --> 00:41:49.275]  Ken, what's on your mind?
[00:41:50.596 --> 00:41:51.357]  Yeah, hello, Jason.
[00:41:51.597 --> 00:41:51.797]  Yes.
[00:41:52.278 --> 00:41:53.098]  Yes, this is Ken.
[00:41:53.138 --> 00:41:55.921]  I'm actually out on Long Island, and I have to say that
[00:41:56.644 --> 00:41:59.607]  Right now, this is probably the most brainwashed area of the country.
[00:42:00.127 --> 00:42:01.048]  It's pretty bad, man.
[00:42:01.088 --> 00:42:14.579]  I mean, I go to Long Island a lot, and you know, it's all about blowouts and popped collars and some trendy bar where I'm gonna spend $8 on a beer and $15 on a mixed drink, and people are totally gone from reality.
[00:42:14.759 --> 00:42:20.144]  It's all about going to the shore and the Hamptons and what car I drive and how much gel's in my hair.
[00:42:20.344 --> 00:42:21.005]  It's pretty sickening.
[00:42:21.536 --> 00:42:21.977]  Yeah, it is.
[00:42:21.997 --> 00:42:27.906]  I mean, beyond the superficial nature of that, like you're saying, but I'm just saying, just like the working person.
[00:42:29.909 --> 00:42:32.870]  But I've also noticed lately that people are waking up a little bit.
[00:42:33.710 --> 00:42:38.232]  In the city you see a lot more people waking up in Queens and in the Bronx and in Brooklyn.
[00:42:38.412 --> 00:42:44.033]  It's because those people are working class people and they don't have this aristocratic, elitist attitude.
[00:42:44.053 --> 00:42:47.654]  I went to school in upstate New York with a lot of friends from Long Island.
[00:42:47.734 --> 00:42:53.636]  Actually, when I take off on Thursday, I'm going to a Long Island wedding and my ex-girlfriend is from Long Island.
[00:42:54.156 --> 00:42:57.780]  And they just are just on another level of non-reality.
[00:42:58.160 --> 00:43:03.065]  You kind of feel a sense of entitlement if you didn't grow up in Long Island and you're able to move there.
[00:43:03.165 --> 00:43:03.806]  Have you noticed that?
[00:43:03.826 --> 00:43:05.868]  They're like, oh, I live on Long Island now.
[00:43:05.948 --> 00:43:08.130]  Oh yeah, well the newest thing on Long Island is the McMansion.
[00:43:09.902 --> 00:43:19.187]  Instead of building like communities where the average person can afford a house, for the last 10 years all the contractors have been building, you know, they're buying a piece of property they used to put 50 houses on and putting 10.
[00:43:19.888 --> 00:43:20.708]  Well, that's why you do that, John.
[00:43:20.728 --> 00:43:22.649]  Because they put a profit margin on it.
[00:43:22.769 --> 00:43:24.731]  Oh yeah, well that's why I'm down to ground zero, man.
[00:43:24.771 --> 00:43:27.892]  It's not for those Long Island creeps, although if they want to listen, they can.
[00:43:27.932 --> 00:43:35.877]  I mean, I'm not against people that are able to make it in this world and go out there, but the attitude, man, the elitist attitude of these people, it's something that's kind of
[00:43:36.477 --> 00:43:39.480]  Unbelievable if you're not a New Yorker and you don't know it.
[00:43:39.960 --> 00:43:44.664]  I mean, I'm out in Texas, people really can't relate, but really they treat you like you're less of a person.
[00:43:44.924 --> 00:43:53.491]  They send their kids to college in Eddie Bauer mobiles and, you know, 2006 luxury sedans, and these kids have no grip on reality.
[00:43:53.531 --> 00:43:59.456]  They literally got like an eight or nine hundred on their SAT, they're in a state school, they have no idea what they want in life.
[00:43:59.656 --> 00:44:04.279]  They leave college and then they go and move back in with their parents, most of the time.
[00:44:04.359 --> 00:44:04.580]  I mean,
[00:44:05.140 --> 00:44:06.421]  Dude, it's a sick culture down there.
[00:44:06.482 --> 00:44:07.663]  I know a lot of people who do that.
[00:44:07.703 --> 00:44:18.955]  I know people who have families, because it's, you know, the fact of the matter is, is with all the people who are moving here, for that McMansion thing, you know, people have made some money in the stock market, or they became lawyers or whatever.
[00:44:19.656 --> 00:44:22.719]  Basically, I grew up on Long Island, and when I was a kid, we made things.
[00:44:22.759 --> 00:44:23.600]  We put a man on the moon.
[00:44:24.778 --> 00:44:26.619]  You know, I mean, neighbors were engineers.
[00:44:26.679 --> 00:44:32.803]  My friend's father built his business by working nights building the Long Island Expressway so he could afford his own business.
[00:44:32.823 --> 00:44:33.563]  You know, people worked.
[00:44:33.963 --> 00:44:36.005]  They actually were people who were getting ahead in the world.
[00:44:36.565 --> 00:44:39.307]  Now it's all nothing but doctors and lawyers and bankers.
[00:44:39.627 --> 00:44:40.147]  Well, absolutely.
[00:44:40.167 --> 00:44:42.008]  Well, we don't make anything in this country.
[00:44:42.208 --> 00:44:47.531]  Yeah, there's no room for blue-collar workers in Long Island anymore unless you got your house 25 years ago.
[00:44:48.092 --> 00:44:53.395]  And it's also an angle of brainwashing, too, because if you talk to older people, like I'm 43, I'm like right at the
[00:44:54.119 --> 00:44:55.980]  The beginning of the Gen X generation.
[00:44:56.080 --> 00:45:01.784]  And I see my friends and people younger than me either leaving or finding it very difficult to make a living here.
[00:45:02.024 --> 00:45:02.264]  Yeah.
[00:45:02.484 --> 00:45:03.345]  No, mine too, man.
[00:45:03.385 --> 00:45:13.751]  I mean, a lot of my friends, well, you know, a couple of them have paid a lot of money to go again, live out in Queens or the Bronx and they work in Manhattan, but you know, their parents grew up in Long Island and they just can't afford it.
[00:45:13.811 --> 00:45:15.652]  And like you said, more and more elitists will move in there.
[00:45:15.672 --> 00:45:17.994]  What really bothers me there is, again, the
[00:45:18.934 --> 00:45:20.655]  Willingness not to even look at this stuff.
[00:45:20.695 --> 00:45:21.776]  This is the problem.
[00:45:21.836 --> 00:45:23.757]  The apathetic, oh, well, you know what?
[00:45:23.777 --> 00:45:25.098]  I got a big screen television.
[00:45:25.138 --> 00:45:26.059]  I'm in a nice area.
[00:45:26.139 --> 00:45:26.959]  I drive a nice car.
[00:45:26.999 --> 00:45:28.440]  I could care less about politics.
[00:45:28.700 --> 00:45:31.962]  I don't need to tell you anything that isn't on CNN or MSNBC.
[00:45:32.003 --> 00:45:32.843]  That should be enough for you.
[00:45:32.883 --> 00:45:33.503]  Oh, people are hooked.
[00:45:34.204 --> 00:45:34.504]  They are.
[00:45:34.524 --> 00:45:37.506]  But the funny thing is I do find more people aren't listening now.
[00:45:38.187 --> 00:45:42.029]  But also, I find the people who are against it are even angrier when you say it.
[00:45:42.569 --> 00:45:44.591]  So it's almost like we're being polarized a little bit.
[00:45:45.382 --> 00:45:48.824]  Like, there are people out there who maybe they didn't get angry, but they were afraid to just say anything.
[00:45:48.844 --> 00:45:57.808]  Well, one of the great things about that area is at least you guys have WBAI that broadcasts pretty broad, and they're not the greatest, they're a little leftist, but they do broadcast a bit of the truth.
[00:45:58.008 --> 00:46:00.169]  I thank you for the call, Ken, I hope you call me later in the week.
[00:46:00.429 --> 00:46:02.630]  Alright, let's jump to Tim in Wisconsin.
[00:46:02.650 --> 00:46:03.411]  Tim, what's on your mind?
[00:46:04.491 --> 00:46:04.731]  Hiya.
[00:46:06.032 --> 00:46:13.756]  Even though I didn't make it on time with Red Beckman, the thing I felt I'd still... that I felt was still good to say to you is
[00:46:14.580 --> 00:46:28.427]  About how much I just really couldn't help agreeing with Red Beckman about how we're supposed to be the enforcers of the Constitution, and I just wish I could get them in a lot of the churches to realize that, because I've been trying to wake them up in a few churches.
[00:46:28.467 --> 00:46:31.848]  The problem is that we're in a society that feels like it's entitled to something.
[00:46:32.108 --> 00:46:41.613]  They don't understand that without actual citizens knowing about, understanding, and defending the Constitution and Bill of Rights, we're going to have nothing but tyranny in this country.
[00:46:41.633 --> 00:47:02.009]  And the thing I was going to say about the response, I can only remember the response of one of them for sure, saying stuff like, Christianity isn't supposed to be a political movement, it's a spiritual movement, and other kinds of Christian rationalizations that they can come up with.
[00:47:02.984 --> 00:47:11.450]  Well, I thank you for the call, Tim, and yeah, I mean, I'm upset with the slave class that is the supposed, you know, citizenship of America.
[00:47:11.550 --> 00:47:12.131]  That's what we are.
[00:47:12.391 --> 00:47:14.532]  We're disgusting, lazy slaves.
[00:47:14.552 --> 00:47:16.954]  And that's not all of us, but it's the majority of us.
[00:47:17.194 --> 00:47:18.515]  I'm guilty of it, too, at times.
[00:47:18.555 --> 00:47:19.556]  You know, I'm not perfect.
[00:47:19.976 --> 00:47:24.380]  You know, I'll probably sit down when I get home and watch some Simpsons I miss or some Family Guy or...
[00:47:25.441 --> 00:47:29.724]  Catch up on my Yankees when I get home, but that's all secondary.
[00:47:29.744 --> 00:47:31.125]  That's maybe even third.
[00:47:31.405 --> 00:47:32.326]  It's not primary.
[00:47:32.386 --> 00:47:42.492]  My primary concern is my family and my friends, and in order to protect them and protect myself, I have to inform myself every day of what's really going on in the world.
[00:47:42.512 --> 00:47:54.520]  I have to look at all angles, and I feel like I've got a better chance of survival and a better chance of living in a constitutional republic if I share that information with those friends and families, and even perfect strangers.
[00:47:55.401 --> 00:47:55.881]  Great audience.
[00:47:56.761 --> 00:47:58.982]  Alright, let's jump to Tony in Canada.
[00:47:59.022 --> 00:47:59.722]  Tony, what's on your mind?
[00:48:00.983 --> 00:48:01.423]  Hi, Amir.
[00:48:01.723 --> 00:48:01.903]  Yes.
[00:48:03.103 --> 00:48:08.605]  I'm just seeing right now on CNN that they're reporting there's a glitch with the FAA.
[00:48:09.685 --> 00:48:10.486]  Are you guys seeing that?
[00:48:11.146 --> 00:48:12.286]  I don't have CNN in front of me.
[00:48:12.306 --> 00:48:13.407]  Why don't you tell me what they're talking about?
[00:48:14.607 --> 00:48:22.449]  They're not sure exactly yet, but it's just saying that there's a problem with the information going through and they can't have any contact with the planes.
