[00:00:00.009 --> 00:00:01.810]  We're live at PrisonPlanet.tv
[00:28:09.249 --> 00:28:19.514]  They can cut it off, then terrorize the Congress into giving their private banks trillions of dollars, and then they tell us, we said you could look at what we did, but we're not going to tell you anything we did.
[00:28:19.814 --> 00:28:20.714]  It's all secret.
[00:28:21.575 --> 00:28:24.356]  So, it's a new level of corruption, Michelle.
[00:28:25.464 --> 00:28:30.630]  Alex, I get that and it sounds like a lot of Americans are starting to get that.
[00:28:31.070 --> 00:28:34.834]  The issue for me is Canadians just aren't buying it.
[00:28:34.934 --> 00:28:40.220]  I'm fully aware of this and when I post comments on cbc.ca
[00:28:41.465 --> 00:28:46.911]  You know, there'll be like ten pages of replies and only about three posters there where you can see, get it.
[00:28:47.671 --> 00:28:50.514]  Well, that's because they're invested in the system.
[00:28:50.734 --> 00:28:51.455]  They're in denial.
[00:28:51.775 --> 00:28:53.257]  They're invested in the system.
[00:28:53.597 --> 00:28:56.160]  They don't want to admit bad people are robbing them.
[00:28:56.440 --> 00:28:58.162]  And so they just say, it's not true.
[00:28:59.443 --> 00:29:06.470]  As things get worse and worse, they're going to remember what you said in British Columbia, Michelle.
[00:29:06.790 --> 00:29:08.812]  They're going to remember what I said in Austin, Texas.
[00:29:08.832 --> 00:29:13.197]  They're going to remember what people said in London, and Germany, and Japan, and Russia, and Mexico.
[00:29:14.258 --> 00:29:15.980]  And there are more people taking action.
[00:29:16.020 --> 00:29:16.901]  I appreciate your call.
[00:29:17.341 --> 00:29:19.063]  So just continue on warning them.
[00:29:19.083 --> 00:29:21.485]  They're going to laugh, but later they're going to remember.
[00:29:23.499 --> 00:29:27.643]  I keep meaning to plug this, and by plug it, I mean I want to just commend these guys.
[00:29:27.683 --> 00:29:38.874]  There are so many 9-11 truth groups, so many We Are Change groups, so many groups doing yeoman's work of getting involved, confronting politicians, getting out there and educating people.
[00:29:39.474 --> 00:29:42.977]  Getting out there and getting off their butts and turning the tide.
[00:29:43.337 --> 00:29:44.939]  And we are Change San Antonio.
[00:29:44.979 --> 00:29:46.500]  We posted some of their videos yesterday.
[00:29:46.900 --> 00:29:48.402]  The persecution they're going through.
[00:29:48.422 --> 00:29:52.545]  I want to salute those three young men down there in San Antonio, Texas.
[00:29:53.086 --> 00:29:53.686]  Great job.
[00:29:54.006 --> 00:29:55.728]  We'll be right back with Larry Prett.
[00:29:57.369 --> 00:29:58.250]  We're on the march.
[00:29:58.750 --> 00:30:00.252]  The Empire's on the run.
[00:30:01.264 --> 00:30:04.025]  Alex Jones and the GCN Radio Network.
[00:30:04.265 --> 00:30:06.886]  Yeah, I'm going to keep going and go ahead and talk to John during the break.
[00:30:07.286 --> 00:30:08.146]  Hey, John?
[00:30:09.146 --> 00:30:09.466]  Yes, sir?
[00:30:10.086 --> 00:30:13.967]  Have you got Pratt on ISDN line?
[00:30:14.407 --> 00:30:17.948]  Yep, I'm going to have to disconnect the backup line and then connect him right now on that.
[00:30:18.949 --> 00:30:19.589]  Alright, great.
[00:30:19.609 --> 00:30:21.449]  And then go ahead and get his audio up and everything.
[00:30:21.489 --> 00:30:22.810]  He always has it low.
[00:30:25.110 --> 00:30:27.571]  And we'll talk to everybody out there.
[00:30:28.853 --> 00:30:29.495]  Okay, pal.
[00:30:30.278 --> 00:30:30.599]  Thanks.
[00:30:31.181 --> 00:30:31.723]  Sure, no problem.
[00:30:43.823 --> 00:30:46.506]  Use them and love them, knowing they're all natural and safe.
[00:30:46.786 --> 00:30:47.887]  And I say big time.
[00:30:48.207 --> 00:30:49.789]  Call Calvin Pure Soap at 1-800-340-7091.
[00:30:49.849 --> 00:30:50.069]  That's 1-800-340-7091.
[00:30:50.089 --> 00:30:51.751]  Or log on to 5starsoap.com now for a free catalog.
[00:30:51.771 --> 00:30:52.411]  Again, that number, 1-800-340-7091.
[00:30:52.431 --> 00:30:53.613]  5starsoap.com for all your cleaning needs.
[00:31:07.208 --> 00:31:13.572]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:31:13.952 --> 00:31:15.933]  The enemy struck America on September 11th.
[00:31:16.594 --> 00:31:17.634]  But who is the enemy?
[00:31:18.135 --> 00:31:18.655]  Bin Laden.
[00:31:18.935 --> 00:31:19.856]  This is his ammo.
[00:31:19.876 --> 00:31:21.237]  We have to look to the Middle East.
[00:31:21.297 --> 00:31:22.958]  We have to look to Osama Bin Laden.
[00:31:23.298 --> 00:31:30.042]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:31:30.442 --> 00:31:30.882]  Some U.S.
[00:31:30.922 --> 00:31:36.606]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:31:37.266 --> 00:31:40.789]  I'm aware that some Israeli citizens have been detained.
[00:31:41.149 --> 00:31:51.017]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:31:51.237 --> 00:31:51.998]  Fabled enemies.
[00:31:52.478 --> 00:31:59.764]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:32:00.244 --> 00:32:03.587]  Either you are with us or you are with the terrorists.
[00:32:07.725 --> 00:32:10.167]  David J. Smith for Newswatch Magazine.
[00:32:10.948 --> 00:32:16.574]  Over the last 40 years, we've seen prayer and God thrown out of the schools by decisions of the U.S.
[00:32:16.614 --> 00:32:17.354]  Supreme Court.
[00:32:18.135 --> 00:32:22.439]  Yet on February 29, 1892, in an eye-nothing decision of the U.S.
[00:32:22.479 --> 00:32:26.123]  Supreme Court, America was declared a Christian nation.
[00:32:27.064 --> 00:32:32.289]  There is an ongoing assault on your First Amendment right of freedom of religion and freedom of assembly.
[00:32:33.109 --> 00:32:41.413]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[00:32:42.954 --> 00:32:44.715]  Just call our toll-free number 1-800-516-8736.
[00:32:44.735 --> 00:32:44.935]  That's 1-800-516-8736.
[00:32:57.017 --> 00:32:57.597]  Call now.
[00:32:57.758 --> 00:33:04.282]  Operators are standing by to receive your call for a free one-year subscription to NewsWatch Magazine.
[00:33:28.474 --> 00:33:31.214]  There is more and more guerrilla media taking place.
[00:33:31.814 --> 00:33:36.335]  Somebody put out 1.5 million fake New York Post papers.
[00:33:36.355 --> 00:33:38.396]  Must have been a big organization.
[00:33:39.796 --> 00:33:42.297]  With the headline, Iraq War Over.
[00:33:43.957 --> 00:33:44.877]  Bush Arrested.
[00:33:47.238 --> 00:33:52.499]  And it's those type of things that will shock people out of their catatonic state.
[00:33:54.690 --> 00:34:10.323]  Getting my films, my books, my videos, the materials we carry, getting them out to people, making copies of them, other materials, other information, starting your own local radio show, starting a website, a blog, an audio blog, a video blog, fighting for internet freedom.
[00:34:12.044 --> 00:34:18.069]  In fact, let's punch up the PrisonPlanet.tv document cam.
[00:34:18.089 --> 00:34:21.632]  I want to show folks shots of the New York Times.
[00:34:24.591 --> 00:34:27.052]  The guys were telling me about it during the break, reading me the headline.
[00:34:27.072 --> 00:34:28.532]  They told me the New York Post for some reason.
[00:34:28.772 --> 00:34:31.232]  It's the New York Times, so that's why I ran in and told you about this.
[00:34:31.852 --> 00:34:32.433]  But here it is.
[00:34:33.193 --> 00:34:34.353]  The New York Times.
[00:34:35.413 --> 00:34:37.394]  Iraq War Ends.
[00:34:38.514 --> 00:34:43.955]  And they've got, again, all these other fake headlines there.
[00:34:44.015 --> 00:34:44.955]  Let's read some of them here.
[00:34:46.015 --> 00:34:49.296]  It says, Nation sets its sights on
[00:34:53.123 --> 00:34:54.583]  Building sane economy.
[00:34:55.624 --> 00:34:57.484]  Treasury announces true cost.
[00:34:58.704 --> 00:34:59.504]  Tax plan.
[00:35:00.185 --> 00:35:01.185]  Popular pressure.
[00:35:02.665 --> 00:35:03.225]  Bolsters.
[00:35:03.805 --> 00:35:04.866]  Recent progressive.
[00:35:06.006 --> 00:35:09.027]  It's so small I can't read all of it in the screenshot of it.
[00:35:12.187 --> 00:35:14.888]  Ex-Secretary apologizes for WMD scare.
[00:35:18.942 --> 00:35:19.863]  So it goes on and on.
[00:35:20.563 --> 00:35:24.206]  This is obviously from a liberal bent, which you're not going to get from Barack Obama.
[00:35:24.226 --> 00:35:27.048]  You're going to get more wars, more corporate looting.
[00:35:27.068 --> 00:35:29.650]  He's saying he's now going to have lobbyists in his administration.
[00:35:30.130 --> 00:35:32.112]  He's saying that torture is going to continue.
[00:35:32.932 --> 00:35:35.274]  He's saying Guantanamo is going to stay open for now.
[00:35:35.694 --> 00:35:38.757]  The troops are going to stay there for 18 months before he looks at it again.
[00:35:39.717 --> 00:35:41.799]  He's saying wiretapping will continue.
[00:35:42.680 --> 00:35:44.301]  In fact, it's all over the news here today.
[00:35:46.044 --> 00:35:49.807]  Obama's bailout bunch brings us more of the same.
[00:35:50.307 --> 00:35:52.829]  That's out of Bloomberg Financial today.
[00:35:55.470 --> 00:35:58.532]  And that's exactly what he's doing.
[00:35:59.333 --> 00:36:02.355]  Most in AP poll confident Obama will fix economy.
[00:36:02.595 --> 00:36:05.297]  But I went and looked up the actual poll, not just the AP article.
[00:36:05.317 --> 00:36:07.398]  I went and looked it up by the folks that did it.
[00:36:07.758 --> 00:36:11.341]  They only asked registered Republicans and Democrats who had voted in the election.
[00:36:13.024 --> 00:36:15.606]  And so, you know, that's 30-40% of the public.
[00:36:15.806 --> 00:36:17.427]  Well, almost 40% of the public that didn't vote.
[00:36:17.687 --> 00:36:18.568]  They didn't ask them.
[00:36:19.509 --> 00:36:23.552]  But 70% believe Obama will try to fix the economy.
[00:36:24.552 --> 00:36:25.913]  I mean, that's just ridiculous.
[00:36:26.494 --> 00:36:31.798]  Now, if you research into this more, the majority of the public think the economy is going to get worse.
[00:36:34.094 --> 00:36:35.016]  That's the thing with polls.
[00:36:35.036 --> 00:36:37.960]  You've got to look at them from different angles.
[00:36:38.401 --> 00:36:40.464]  Here's an inter-press service report.
[00:36:40.824 --> 00:36:42.006]  Obama's foreign policy.
[00:36:42.066 --> 00:36:43.288]  No sharp break from Bush.
[00:36:45.150 --> 00:36:46.572]  As more companies seek aid.
[00:36:48.083 --> 00:36:49.404]  Where do the bailouts stop?
[00:36:49.484 --> 00:36:51.225]  Well, we haven't had real bailouts of U.S.
[00:36:51.265 --> 00:36:54.927]  companies or actual manufacturing or people's mortgages.
[00:36:54.987 --> 00:36:55.568]  And I'm against it.
[00:36:56.168 --> 00:36:57.188]  By the way, it's socialism.
[00:36:57.909 --> 00:36:58.990]  This isn't even socialism.
[00:36:59.030 --> 00:37:01.911]  This is just foreign banks looting us of over $2 trillion.
[00:37:02.932 --> 00:37:10.937]  But I'm going to shut up about that and go to Larry Pratt for just one segment because we've had record gun sales in the country.
[00:37:12.447 --> 00:37:16.849]  Breaking all of the instant background check records the FBI says.
[00:37:17.310 --> 00:37:20.671]  Gun shops everywhere are almost sold out or sold out.
[00:37:21.111 --> 00:37:26.294]  Most types of semi-autos that Obama wants to go after are there.
[00:37:26.534 --> 00:37:31.977]  But I thought we'd get Larry Pratt on just briefly to talk about what the real threat is and how they're going to do this by stealth.
[00:37:34.901 --> 00:37:40.125]  Where Barack Obama and his Chief of Staff really do stand on the Second Amendment.
[00:37:40.165 --> 00:37:44.428]  He wants a 500% tax on firearms.
[00:37:44.508 --> 00:37:46.029]  So if a gun cost $100, they would add $500 on it.
[00:37:49.639 --> 00:37:53.061]  They want to ban .50 cals, they want to restrict .308, .223.
[00:37:54.162 --> 00:37:56.283]  So they've said that they want to shut down gun shows.
[00:37:56.963 --> 00:38:02.227]  They are coming for your guns, but they've got to stage a mass shooting first, or hype one up.
[00:38:02.387 --> 00:38:05.669]  Larry Pratt, head of Gunners of America, thanks for coming on with us.
[00:38:06.469 --> 00:38:07.810]  Alex, thank you for having me.
[00:38:08.090 --> 00:38:09.651]  I think you're absolutely correct.
[00:38:10.291 --> 00:38:19.137]  In many ways, I would imagine Obama being a Marxist thug right out of Chicago politics.
[00:38:19.918 --> 00:38:21.859]  Not to mention his Kenya connections.
[00:38:22.359 --> 00:38:23.240]  He's going to go for it.
[00:38:23.380 --> 00:38:25.521]  He's going to go for a lot of different things.
[00:38:26.201 --> 00:38:27.582]  Not speaking of guns at the moment.
[00:38:29.403 --> 00:38:35.426]  Especially I would imagine he's going to go after changing further the voting rules to further
[00:38:36.030 --> 00:38:38.752]  Keep his group of Marxists in power.
[00:38:38.952 --> 00:38:50.279]  Now again, the bankers put him in because the bankers, as Carol Quigley and others said, they like Marxists because they'll destroy the middle class, the competition of the elite, and hand all that money and power and real estate over to them.
[00:38:50.619 --> 00:38:53.041]  And so if you really look at what he's doing, he's coming after the middle class.
[00:38:53.341 --> 00:38:55.922]  His carbon tax will destroy the middle class.
[00:38:56.162 --> 00:39:03.307]  That'll produce poverty and unhappiness, and by changing the voting rules, they will be able to contain
[00:39:04.005 --> 00:39:09.890]  Any voting uprising that might occur, people standing in line all day for a loaf of bread.
[00:39:10.130 --> 00:39:13.353]  All we have to do is look at the Soviet Union, Cuba, other places.
[00:39:13.853 --> 00:39:16.835]  They don't have time to plan an election campaign or anything else.
[00:39:16.976 --> 00:39:20.779]  Yeah, I know you're a student, I mean you're a best-selling author and a student of history.
[00:39:21.239 --> 00:39:24.562]  Explain to people that communists aren't stupid.
[00:39:25.442 --> 00:39:27.104]  They always want to steal the wealth.
[00:39:27.224 --> 00:39:30.286]  They know that making you poor is a way to control you.
[00:39:30.326 --> 00:39:30.807]  Tell them about it.
[00:39:31.774 --> 00:39:37.938]  This has been a pattern that we have seen and I've had to conclude they really do know what they're doing.
[00:39:38.058 --> 00:39:39.519]  It is a control technique.
[00:39:39.959 --> 00:39:43.141]  Communism, socialism is not an economic theory.
[00:39:43.561 --> 00:39:49.605]  It's a political theory on how to rule, on how to maintain a monopoly of power.
[00:39:50.025 --> 00:39:56.689]  Now obviously guns being controlled by the government is part of it, but frankly I think they're going to have us on our knees before they
[00:39:57.150 --> 00:40:00.531]  Do something bold like even renewing the Clinton gun ban.
[00:40:00.731 --> 00:40:01.171]  Exactly.
[00:40:01.191 --> 00:40:04.531]  They're not going to try to bring in troops to the streets.
[00:40:04.731 --> 00:40:12.213]  They're all set up and locked and loaded until the economic system causes riots and degradation and then the public will beg for it.
[00:40:12.613 --> 00:40:13.413]  Will applaud.
[00:40:13.513 --> 00:40:14.433]  Exactly correct.
[00:40:14.773 --> 00:40:18.714]  I think that's exactly the scenario that they would seek.
[00:40:19.534 --> 00:40:24.135]  And all we have to do is look either in rules for radicals to see what
[00:40:24.922 --> 00:40:32.188]  His communist mentor, not a live mentor, but he read him, Saul Alinsky and Rules for Radicals.
[00:40:32.628 --> 00:40:42.455]  Or look at the way he collaborated with the takeover in Kenya, a power-sharing arrangement that had no constitutional basis.
[00:40:44.218 --> 00:40:50.623]  Victor in the election felt it was the only thing he could do to stop the mayhem, the killing of Christians in Kenya.
[00:40:50.723 --> 00:41:00.310]  And it turns out that Obama advised Odinga, and that's been documented in the emails, even mainstream news, on how to stage riots and kill people.
[00:41:00.630 --> 00:41:04.373]  So, I mean, this guy isn't playing games.
[00:41:04.653 --> 00:41:06.094]  No, he's not playing games.
[00:41:06.194 --> 00:41:12.799]  He's going to have the youth corps, the million man spy army, which is now admitted back in the... I mean, we're talking about hellish.
[00:41:13.419 --> 00:41:24.208]  So look for something to go through before his first two years that says that for a federal election you have to allow for election day registration.
[00:41:24.668 --> 00:41:38.780]  Of course, amnesty will produce a lot of new Democrat voters, and they might even go so far as to bring statehood for Puerto Rico and D.C., which means four new socialist senators right there.
[00:41:39.200 --> 00:41:41.742]  That gives them closer and closer to a
[00:41:43.419 --> 00:41:45.520]  A defeat-proof majority.
[00:41:46.140 --> 00:41:55.603]  It may be that a majority of the country will be opposed to them, but you won't be able to register that effectively in an acorn-driven election with all the new rules.
[00:41:55.983 --> 00:42:06.666]  And so then gun owners can... We're going to be faced, very likely, with the prospect of the rules being changed, the BATFE, the Federal Gun Police,
[00:42:07.399 --> 00:42:21.467]  Marching even worse than they are now under Bush against not only individual owners, but stores, and as you mentioned, gun shows I think will be the first legislative item up because the NRA has supported that.
[00:42:21.807 --> 00:42:23.748]  It was John McCain's legislation.
[00:42:24.248 --> 00:42:28.310]  It ultimately failed because they got greedy and had too many other things on it.
[00:42:28.631 --> 00:42:30.912]  But if they kept it to a pure gun show bill,
[00:42:31.782 --> 00:42:34.364]  They could get that through about any time they wanted.
[00:42:35.225 --> 00:42:37.746]  And that's what they want to stop is private sales.
[00:42:38.046 --> 00:42:42.309]  And the way they write these is a citizen won't be able to even sell one to his neighbor.
[00:42:42.649 --> 00:42:50.375]  That gives the BATF an end to go after their favorite target, the law-abiding citizen who wants it for self-defense.
[00:42:50.835 --> 00:42:53.457]  That's who they love to throw the book at, not the real criminals.
[00:42:53.757 --> 00:42:55.438]  And so then they can really
[00:42:55.778 --> 00:43:00.579]  Start going after people, seizing whole gun collections to, quote, track where they were bought.
[00:43:00.880 --> 00:43:02.340]  You don't have a receipt for that.
[00:43:03.040 --> 00:43:04.280]  Just hellish control.
[00:43:04.741 --> 00:43:06.441]  And we know it's not going to bother criminals.
[00:43:06.481 --> 00:43:08.842]  They've got this and more in England.
[00:43:09.442 --> 00:43:19.065]  And all they've gotten for their trouble is almost now three times the number of illegal guns in the country as were there when they confiscated them at the beginning of 1997.
[00:43:21.731 --> 00:43:31.075]  We are looking at a really bad ride, and I think this guy is dedicated enough to power.
[00:43:31.095 --> 00:43:40.198]  He's no Bill Clinton who at least had the quote-unquote redeeming virtue of having, shall we say, extracurricular interest.
[00:43:40.579 --> 00:43:41.639]  This guy's all business.
[00:43:42.019 --> 00:43:45.941]  He is a hard, core, hate-filled Marxist.
[00:43:46.434 --> 00:43:50.536]  Who really hates Western civilization, and America in particular.
[00:43:51.357 --> 00:43:52.817]  And his wife and he have said that.
[00:43:52.897 --> 00:43:53.898]  He is focused.
[00:43:54.238 --> 00:43:55.879]  He wants to destroy the middle class.
[00:43:56.159 --> 00:43:57.760]  He loves the internationalists.
[00:43:58.060 --> 00:43:59.260]  He loves the bankers.
[00:43:59.661 --> 00:44:01.502]  He hates this country.
[00:44:01.662 --> 00:44:03.263]  There's no doubt about that.
[00:44:03.523 --> 00:44:07.084]  These internationalists, they hate the free market.
[00:44:07.305 --> 00:44:08.405]  And they can't wait.
[00:44:08.665 --> 00:44:10.886]  They say it on NPR.
[00:44:11.146 --> 00:44:13.107]  The spoiled, rotten consumers.
[00:44:13.428 --> 00:44:14.228]  The Americans.
[00:44:14.268 --> 00:44:15.789]  The carbon tax will teach you.
[00:44:17.296 --> 00:44:18.236]  That's exactly right.
[00:44:18.536 --> 00:44:27.058]  I mean, the misery it's going to cause poor folks to quote, bankrupt the coal plants and tax everything that's energy related to carbon.
[00:44:27.338 --> 00:44:28.219]  I mean, this is hellish.
[00:44:28.259 --> 00:44:28.879]  Go ahead, Larry.
[00:44:30.219 --> 00:44:36.601]  To them, it doesn't matter that they will kill the productive engine of the United States and probably the West.
[00:44:38.547 --> 00:44:41.388]  No, that they will always be able to live well.
[00:44:41.448 --> 00:44:44.028]  Look at, what's the guy's name in Korea?
[00:44:44.508 --> 00:44:46.129]  Kim Il-Soon or something like that?
[00:44:46.149 --> 00:44:47.089]  Oh, funny you mention him.
[00:44:47.129 --> 00:44:48.869]  Let me play a clip of him first.
[00:44:49.629 --> 00:44:53.710]  Come in with Kim Jong-Il introducing Hans Blix.
[00:44:53.730 --> 00:44:54.150]  Here it is.
[00:44:55.291 --> 00:44:56.171]  Hans Blix, oh no!
[00:45:01.956 --> 00:45:04.178]  All right, all right, all right.
[00:45:04.198 --> 00:45:04.478]  Okay, Hans.
[00:45:04.498 --> 00:45:06.580]  Hey, you liked him!
[00:45:23.908 --> 00:45:26.049]  I'm sorry, just a little bit of joking here.
[00:45:26.089 --> 00:45:27.009]  I meant to play that earlier.
[00:45:27.349 --> 00:45:34.791]  I'm not sad he's had a second stroke and that piece of filth who's murdered millions of his own people is probably going to die soon.
[00:45:35.231 --> 00:45:36.051]  Sorry, Larry, go ahead.
[00:45:36.472 --> 00:45:39.893]  Well, it hasn't stopped him, even though he's destroyed the middle class.
[00:45:39.913 --> 00:45:41.473]  They hardly produce anything.
[00:45:42.003 --> 00:45:52.311]  In North Korea, he lives perfectly luxuriously, or has, at least in the past, until his present illness, and that's the way socialists think.
[00:45:52.351 --> 00:45:55.273]  They look at economics as distribution.
[00:45:55.453 --> 00:46:07.863]  To the extent they believe their own propaganda, they look kind of like Michelle Obama, saying, well, we've got to take a piece of your pie and give it to somebody else who needs it more.
[00:46:09.169 --> 00:46:23.601]  It never occurs to them that the pie is going to be gone and there won't be anything to distribute, but they don't care because they will have attained power, total control for a very long period of time, and so doing.
[00:46:23.901 --> 00:46:29.186]  And of course they're going to come after the guns, but they're going to come after the guns someday when we're standing in line.
[00:46:29.266 --> 00:46:31.027]  I was talking to a guy from Bolivia.
[00:46:31.728 --> 00:46:33.269]  They're having terrible times down there.
[00:46:33.289 --> 00:46:36.712]  They have to get in line about one in the morning if they want a loaf of bread later in the day.
[00:46:40.287 --> 00:46:46.989]  Well, that's what these control freaks do, Larry Pratt, as you know, over and over again.
[00:46:47.009 --> 00:46:49.050]  I mean, that's like UNIDIR said on July 7, 2000.
[00:46:50.090 --> 00:46:54.532]  They said we must disarm the civilians to have the power monopoly of the state.
[00:46:54.832 --> 00:47:07.536]  To them, they understand that independent people that are middle class are the enemy, and it's the lower classes dumbed down, working for socialism, that give the power structure to the elite to destroy the middle class.
[00:47:07.596 --> 00:47:09.117]  Again, this is so central.
[00:47:09.157 --> 00:47:09.817]  Please continue.
[00:47:10.905 --> 00:47:18.390]  So, you know, if we're standing in line waiting for a loaf of bread since 1, 2 o'clock in the morning, they can come by our house and collect the guns.
[00:47:18.410 --> 00:47:19.411]  We won't even be there!
[00:47:21.152 --> 00:47:24.034]  That's metaphorically, or figuratively, that's how it's going to be.
[00:47:24.054 --> 00:47:28.137]  Yeah, you won't even have a house to be able to buy guns, or shoot them, or have a culture.
[00:47:28.697 --> 00:47:29.758]  I have to accept the point.
[00:47:29.798 --> 00:47:30.218]  You're right.
[00:47:31.079 --> 00:47:33.640]  There will be, and it may not happen right away.
[00:47:33.661 --> 00:47:34.961]  You can look at South Africa.
[00:47:35.021 --> 00:47:35.762]  It's been happening
[00:47:36.493 --> 00:47:42.352]  Little by little, but very steadily for a number of years since the Communists took over the African National Congress.
[00:47:43.165 --> 00:47:44.446]  That's what's coming.
[00:47:44.546 --> 00:47:55.709]  And by the way, they allow selective gangs in South Africa and other countries to kill and murder other African tribes, groups of whites, whites killing other whites, and it's left alone.
[00:47:56.129 --> 00:48:07.913]  I've seen two different videos, and I'm not in a bashing fest here, folks, but if a gay guy got punched in the face and had something taken away and stomped, say a rainbow flag, it'd be international top news.
[00:48:08.373 --> 00:48:10.574]  In California, a group of
[00:48:12.076 --> 00:48:29.904]  Protesters stormed a church, tore things apart, chanted against Jesus, and then on video, punched an old lady in the face, grabbed her cross away on news cameras, beat her up, and the news, it's up on InfoWars.com, says, well, there was a scuffle today.
[00:48:30.684 --> 00:48:36.387]  So, again, they're going to allow their people... And both sides were probably saying hateful things, I'm sure.
[00:48:36.627 --> 00:48:37.127]  No, they weren't.
[00:48:37.167 --> 00:48:42.269]  But the point is, is that they're going to allow selective thuggism.
[00:48:43.310 --> 00:48:43.750]  Exactly.
[00:48:44.430 --> 00:48:44.851]  Exactly.
[00:48:44.951 --> 00:48:50.033]  And they will actually blame the victim by saying it was the church that was speaking hateful stuff.
[00:48:51.073 --> 00:48:54.615]  And so that's why those poor homosexuals were provoked to do what they did.
[00:48:57.236 --> 00:49:00.637]  That's the world we're rapidly becoming part of.
[00:49:00.697 --> 00:49:04.459]  I mean, we've been dealing with a media that was skewered for some time.
[00:49:05.553 --> 00:49:12.782]  They try to make it seem as if we're in the middle of a big crime wave when we are not, but that's the way they can always sell gun control.
[00:49:12.802 --> 00:49:19.650]  Like you say, every time there's a big shooting, that's the next opportunity for grabbing some more guns.
[00:49:19.892 --> 00:49:26.556]  Well Larry Pratt, the silver lining here that I want you to speak to in closing is that 10 years ago, 20 years ago, we were in trouble.
[00:49:26.596 --> 00:49:27.437]  They were advancing.
[00:49:27.937 --> 00:49:39.484]  Now they're advancing covertly with manufacturing lawsuits, importation restrictions, buying up all the ammo, but they're not advancing overtly anymore.
[00:49:40.845 --> 00:49:44.067]  And that's why Handgun Control and others have said, well, we'll just brainwash your kids.
[00:49:44.087 --> 00:49:45.288]  They brag, we've got your kids.
[00:49:45.568 --> 00:49:46.708]  I've seen them brag and say that.
[00:49:47.029 --> 00:49:54.053]  So the good news is, these bastards are having to go more covert now, because we're winning the fight for the hearts and minds.
[00:49:55.093 --> 00:49:56.194]  Well, I hope that's right.
[00:49:56.434 --> 00:50:01.737]  And if it is, we may find that we're going to have to switch to satellite radio.
[00:50:01.777 --> 00:50:03.458]  You're already there, of course.
[00:50:04.279 --> 00:50:08.341]  But these guys could even come after the Internet through a treaty with the UN.
[00:50:08.789 --> 00:50:10.591]  There are so many stealth ways.
[00:50:11.011 --> 00:50:12.212]  We've only scratched the surface.
[00:50:12.432 --> 00:50:13.574]  Oh, I forgot to bring that up.
[00:50:13.634 --> 00:50:14.614]  Stay with us.
[00:50:14.795 --> 00:50:24.103]  Speaking of the internet, we won't be on the AM and FM dial in the shortwave, but during this three-minute break, just for the PrisonPlanet.tv viewers and hundreds of thousands listening on the web,
[00:50:25.239 --> 00:50:33.165]  And on the podcast, explain how they may try a UN treaty to do that, Larry Pratt.
[00:50:33.205 --> 00:50:39.250]  But before we end this segment, give people the website and toll-free number to find out more.
[00:50:39.891 --> 00:50:42.933]  GunOwners is at gunowners.org on the web.
[00:50:43.614 --> 00:50:46.156]  That's the best way to get us, gunowners.org.
[00:50:46.196 --> 00:50:50.559]  You can join there, you can get on our email alert, which is a freebie, gunowners.org.
[00:50:51.752 --> 00:51:00.479]  And you've also got the Bitter Clinger t-shirt, which we'll talk about behind the scenes right now for the PrisonPlanet.tv viewers.
[00:51:00.580 --> 00:51:04.603]  Please stay with us, and then I'll be back in the final segment for everybody else.
[00:51:08.747 --> 00:51:12.049]  Okay Larry, get into the UN angle for folks.
[00:51:12.870 --> 00:51:18.375]  Well, for years they've been trying to get the United States looped into a treaty
[00:51:19.146 --> 00:51:23.909]  At the U.N., a small arms treaty is normally the way they call it.
[00:51:24.329 --> 00:51:28.632]  Well, small arms might sound military, and, hey, I don't have a military gun.
[00:51:28.672 --> 00:51:32.734]  I just have a semi-automatic handgun or hunting rifle.
[00:51:33.175 --> 00:51:38.898]  Well, believe me, that's what they mean by small arms, and that's the way they could come against us.
[00:51:38.918 --> 00:51:41.760]  They've got this very, very wrong
[00:51:42.316 --> 00:51:46.098]  notion that a treaty trumps anything in the Constitution.
[00:51:46.418 --> 00:51:49.379]  Actually, it only trumps something that the U.S.
[00:51:49.579 --> 00:51:53.120]  government had authority to enter into a treaty for to begin with.
[00:51:53.501 --> 00:51:55.902]  But they'll look at it as, oh, we got the treaty.
[00:51:55.982 --> 00:51:57.962]  Well, now we have to kiss off the Second Amendment.
[00:51:58.303 --> 00:51:59.123]  Sorry about that.
[00:51:59.283 --> 00:52:01.004]  Sorry about that D.C.
[00:52:01.184 --> 00:52:02.864]  decision that overturned gun bans.
[00:52:03.225 --> 00:52:03.765]  That was then.
[00:52:04.005 --> 00:52:04.605]  This is now.
[00:52:05.025 --> 00:52:06.046]  No more Second Amendment.
[00:52:06.646 --> 00:52:11.208]  And this is the way they've been advancing a lot of their agenda.
[00:52:11.721 --> 00:52:15.264]  For almost a hundred years, they started it with migratory birds.
