[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[00:21:18.648 --> 00:21:23.913]  He's got the cover paper where they're literally blaming Oswald for the assassination before it happens.
[00:21:24.173 --> 00:21:25.935]  I mean, think for yourselves, people.
[00:21:26.195 --> 00:21:30.219]  If they can print this before an event, it's obviously not that guy.
[00:21:30.239 --> 00:21:30.499]  He's a patsy.
[00:21:30.539 --> 00:21:31.801]  They've got their time zones off.
[00:21:31.821 --> 00:21:32.021]  Yeah.
[00:21:32.041 --> 00:21:32.942]  I mean, they're going to make mistakes.
[00:21:32.962 --> 00:21:33.923]  The government's not perfect.
[00:21:34.183 --> 00:21:34.924]  They're not invincible.
[00:21:35.164 --> 00:21:36.125]  Byron Miss, thanks for coming in.
[00:21:36.205 --> 00:21:36.625]  Thank you.
[00:21:37.286 --> 00:21:38.167]  Well, let's talk during this break.
[00:21:39.983 --> 00:21:40.884]  We're on the march.
[00:21:41.604 --> 00:21:43.365]  All right, go ahead and get my next guest on.
[00:21:43.385 --> 00:21:43.745]  Thank you, John.
[00:21:43.765 --> 00:21:44.886]  I'm going to keep talking with Burmess.
[00:21:46.047 --> 00:21:49.169]  Burmess, I mean, any other comments you want to make about Ventura?
[00:21:49.849 --> 00:21:53.371]  You know, just that he's a brave guy, he's going to bring more and more people into 9-11 Truth.
[00:21:53.451 --> 00:22:03.037]  I was very, very happy with his conversation with the Minnesotans where he likened the press to pedophiles, you know, with the same disdain as for pedophiles because they're just there to attack.
[00:22:03.077 --> 00:22:05.159]  Well, he said that because they were going after his kids.
[00:22:05.179 --> 00:22:05.599]  That's right.
[00:22:05.919 --> 00:22:06.780]  That's right, that's right.
[00:22:06.960 --> 00:22:09.822]  And he refuses to talk to the Minnesota Press, and God bless him for that.
[00:22:10.082 --> 00:22:18.349]  But he also brought up the Gulf of Tonkin, and how he was very surprised when he was over at Harvard, and McNamara came out in a speech and said, yeah, the whole thing was staged.
[00:22:18.709 --> 00:22:20.050]  He said he really took that to heart.
[00:22:20.811 --> 00:22:28.636]  And when some people in the audience who are obviously just not that educated on false flag terrorism or the Vietnam War in general heard that, they couldn't believe it.
[00:22:28.656 --> 00:22:30.057]  And he's like, yes, that's true.
[00:22:30.237 --> 00:22:31.878]  The Gulf of Tonkin never happened.
[00:22:31.979 --> 00:22:33.139]  It's well documented.
[00:22:33.419 --> 00:22:36.301]  Maybe it's time that you start rethinking 9-11 now.
[00:22:36.662 --> 00:22:38.203]  And the woman's like, yeah, maybe it is time.
[00:22:40.327 --> 00:22:43.930]  Well, I mean, the neocons have basically admitted what they've done.
[00:22:44.851 --> 00:22:49.174]  They have, I mean, they write letters to Akhmedinejad saying we'll stage more terror.
[00:22:49.895 --> 00:22:52.657]  The neocons write articles and memos saying, boy, it was sure great for us.
[00:22:52.917 --> 00:22:57.581]  Now, they did just, after eight years, take the PNAC website down last week.
[00:22:57.941 --> 00:22:59.902]  We've cached it, 9-11 bloggers cached it.
[00:23:00.263 --> 00:23:02.484]  We need to do a story on that, but I've only got three or four writers.
[00:23:02.524 --> 00:23:03.325]  Maybe a lister could do it.
[00:23:03.345 --> 00:23:06.828]  I wonder why they've now pulled where they said they wanted staged events.
[00:23:07.108 --> 00:23:14.033]  Absolutely, and I think the big problem was that all of their policy papers were available in PDF format, as well as their members.
[00:23:14.073 --> 00:23:17.075]  In other words, they had a list of members that were very high-profile people.
[00:23:17.375 --> 00:23:25.701]  People started getting hip to the Rebuilding America's Defenses document, which clearly states they need to stage a new Pearl Harbor-type event to go into the Middle East.
[00:23:26.002 --> 00:23:34.087]  They literally talk about the transformation of the military to UAVs and small robots, but they really say, yo, we're taking over the Middle East.
[00:23:34.147 --> 00:23:35.028]  We need to protect U.S.
[00:23:35.188 --> 00:23:41.617]  They also say they're going to use race-specific bioweapons and kill certain races, and Dick Cheney wrote that, and so here's the problem.
[00:23:43.137 --> 00:23:49.198]  I've already been on national shows and had them say those documents don't exist, and I'll direct them to PNAC, then they go, ooh, and look stupid.
[00:23:49.698 --> 00:23:52.159]  Now, you watch, they're going to now say those aren't real.
[00:23:52.439 --> 00:23:52.879]  Guaranteed.
[00:23:53.059 --> 00:23:53.599]  Oh, absolutely.
[00:23:53.619 --> 00:23:54.439]  That'll be the new thing.
[00:23:54.759 --> 00:23:55.279]  Absolutely.
[00:23:55.419 --> 00:24:04.061]  Well, even the cached stuff that you can find that was on their website that we didn't cache, in other words, just the stuff that's left over from their site, only has partial documents.
[00:24:04.101 --> 00:24:07.561]  For instance, if you go to the... Oh, no, they've been slowly for the last couple years pulling it down.
[00:24:07.622 --> 00:24:08.242]  Yeah, absolutely.
[00:24:08.262 --> 00:24:10.102]  Like, if you go to the... We need a site that archives that.
[00:24:10.683 --> 00:24:17.431]  I'm hoping there's somebody out there that archived the entire site because you know in those policy papers the next false flag has been laid out.
[00:24:17.451 --> 00:24:20.315]  These are think tanks that put out all these different types of scenarios.
[00:24:20.335 --> 00:24:22.337]  They're also proud of themselves how they murder us.
[00:24:22.457 --> 00:24:24.260]  It's a celebration of their power.
[00:24:24.300 --> 00:24:26.362]  Well let's look at some of the people that signed that document.
[00:24:26.402 --> 00:24:26.683]  Let's see.
[00:24:27.303 --> 00:24:28.784]  Dan Quayle, George H.W.'
[00:24:28.744 --> 00:24:30.145]  's former vice president.
[00:24:30.526 --> 00:24:36.210]  Dick Cheney, Don Rumsfeld, Jeb Bush, Scooter Libby, William Crystal.
[00:24:37.071 --> 00:24:40.754]  All of these neocons have literally signed on to this thing.
[00:24:40.854 --> 00:24:41.374]  It's incredible.
[00:24:41.394 --> 00:24:43.456]  They're terrorists and they're going to continue their black ops.
[00:24:43.476 --> 00:24:45.417]  I mean, they write memos saying they torture children.
[00:24:45.457 --> 00:24:46.058]  It's pure evil.
[00:24:46.338 --> 00:24:47.198]  Burmas, thanks for coming in.
[00:24:47.238 --> 00:24:47.559]  Thank you.
[00:24:48.620 --> 00:24:50.401]  Okay, folks, we're going back live on the main network.
[00:24:50.721 --> 00:24:51.582]  We've got our next guest.
[00:24:51.762 --> 00:24:52.282]  He's over there.
[00:24:52.382 --> 00:24:52.803]  Stand by.
[00:25:10.666 --> 00:25:18.969]  We are now into hour number three, but we've now got a fourth hour coming up because there's so much news and information to cover.
[00:25:19.629 --> 00:25:27.072]  We'll cover a lot of news with Arizona State Senator Karen Johnson coming up in the fourth hour today.
[00:25:27.612 --> 00:25:31.653]  Somebody I've wanted to get in studio for quite a while is a radio talk show host.
[00:25:32.453 --> 00:25:33.934]  He also does presentations.
[00:25:34.954 --> 00:25:38.275]  I guess I'll let him describe what he thinks he is and the work he does.
[00:25:38.295 --> 00:25:39.716]  There's a lot of
[00:25:40.999 --> 00:25:46.564]  These kind of tinkerers in law and the Constitutional Bill of Rights, and most of them are very unsuccessful.
[00:25:46.984 --> 00:25:57.233]  I've seen them send many people I know, acquaintances to prison, magical straw man theories, UCC theories, imaginary quackery.
[00:25:59.655 --> 00:26:00.876]  So I don't traffic in that.
[00:26:00.936 --> 00:26:05.019]  Or people setting up trust and then they have you sign your property over to them and they take it.
[00:26:05.802 --> 00:26:14.654]  Some of the folks around ten years ago used to do that and so I wouldn't have anything to do with them and then they'd say I was a government agent because I wouldn't promote sending my listeners to somebody and get them sent to prison.
[00:26:15.575 --> 00:26:17.959]  You know, basic stuff like you saw with the poor Freeman.
[00:26:18.680 --> 00:26:20.661]  You know, passing all these fake notes around.
[00:26:20.941 --> 00:26:22.341]  I'm not even saying they're bad people.
[00:26:22.401 --> 00:26:25.762]  They just are given a line of bull and they run with it.
[00:26:25.782 --> 00:26:29.363]  And that's why I have Larry Becraft on and other real lawyers and constitutional scholars.
[00:26:29.783 --> 00:26:32.163]  Because there are, George Gordon's another good one.
[00:26:32.183 --> 00:26:37.325]  He's won the Supreme Court and other state courts and state Supreme Courts and federal appellate courts.
[00:26:38.525 --> 00:26:42.228]  So I only have on people who I know won't send you directly to jail.
[00:26:42.668 --> 00:26:45.250]  Still, fighting the enemy will have them come after you in many cases.
[00:26:45.290 --> 00:26:50.934]  These are criminals who've had their way, that almost always win, who even think being criminal is good.
[00:26:52.014 --> 00:26:54.856]  And so, Randy Kelton, we'll also be talking during the breaks.
[00:26:54.896 --> 00:27:04.683]  If you're listening to InfoWars.com audio streams or watching on PrisonPlanet.tv, we're kind of overbooked today, and so I want to give him most of the full hour.
[00:27:05.003 --> 00:27:07.185]  So we're just going to talk straight through during the three-minute breaks.
[00:27:07.785 --> 00:27:12.171]  So folks, sorry to the MNFMs, this info is too important, but we appreciate you.
[00:27:12.451 --> 00:27:25.328]  Folks will hear that after the break, but for internet listeners and for folks watching at PrisonPlanet.tv, this is so important, it's a public service announcement, that we're going to go ahead and blow through the breaks, but you'll have to go to InfoWars.com to hear those on those streams.
[00:27:26.229 --> 00:27:29.691]  Also, even though you hear this, don't think you can just run out and do this immediately.
[00:27:30.071 --> 00:27:31.252]  Understand it's at your own peril.
[00:27:31.292 --> 00:27:33.293]  This is a lawless, criminal government.
[00:27:33.893 --> 00:27:35.374]  So there is no silver bullet here.
[00:27:36.315 --> 00:27:37.956]  But I want to thank Randy Kelton for coming in.
[00:27:38.016 --> 00:27:42.478]  Randy, take a minute or two to tell folks about yourself, a veteran, how you woke up with the New World Order.
[00:27:43.158 --> 00:27:51.923]  I like how you talk about some of the wrong things you did, how you woke up to that, because people can always turn back and become good people like you've done, and then stand up for righteousness.
[00:27:52.463 --> 00:27:53.084]  Thanks for coming in.
[00:27:54.497 --> 00:27:54.977]  You're welcome.
[00:27:55.918 --> 00:27:57.900]  I started this in 1981.
[00:27:58.501 --> 00:28:00.763]  I spent the night in jail for driving with a headlight out.
[00:28:02.165 --> 00:28:03.386]  That did not seem right.
[00:28:03.987 --> 00:28:08.852]  So when I got out of jail, I got out the Penal Code and Code of Criminal Procedure and I read them.
[00:28:09.747 --> 00:28:14.791]  And then I looked at what they were actually doing, and I thought, I must have stepped to the looking glass.
[00:28:15.532 --> 00:28:19.816]  Or there's some major maxim of law that I have missed.
[00:28:20.436 --> 00:28:20.937]  But let's go back.
[00:28:20.977 --> 00:28:22.658]  Let's talk about you, Randy Kelton, the person.
[00:28:23.239 --> 00:28:23.879]  About your life.
[00:28:23.939 --> 00:28:24.640]  Regular guy?
[00:28:25.120 --> 00:28:26.662]  Well, I was just a regular guy.
[00:28:26.682 --> 00:28:27.682]  I had my own business.
[00:28:27.703 --> 00:28:29.444]  I'm a combat veteran.
[00:28:30.885 --> 00:28:32.647]  Talk a little bit about your experience there.
[00:28:34.497 --> 00:28:45.264]  Well, my main experience I had there was Uncle Sam gave me the honor and privilege of holding my twin brother's hand in Chulai, South Vietnam, while he died of gangrene.
[00:28:46.705 --> 00:28:59.954]  The last intelligible thing he said to me on this earth, before the gangrene, the pain, and morphine took his mind away, he was looking across the hall at a VC they were taking care of, and he said, you know, they're going to win this war.
[00:29:00.990 --> 00:29:02.291]  And I said, well, why would you say that?
[00:29:03.011 --> 00:29:03.831]  They're the good guys.
[00:29:04.252 --> 00:29:05.312]  We should never have been here.
[00:29:06.273 --> 00:29:08.874]  My brother died thinking he was the bad guy.
[00:29:09.694 --> 00:29:12.636]  And in my later studies, I found he was right.
[00:29:13.636 --> 00:29:15.337]  They were fighting for their independence.
[00:29:15.817 --> 00:29:16.778]  We were shooting at them.
[00:29:16.798 --> 00:29:17.678]  We shouldn't have been there.
[00:29:17.858 --> 00:29:19.079]  Tell you what, stay there, folks.
[00:29:19.099 --> 00:29:19.919]  We'll be back in three minutes.
[00:29:19.939 --> 00:29:23.021]  But Randy, let's continue this discussion during this break.
[00:29:23.041 --> 00:29:25.522]  For all the PrisonPlanet.TV viewers, stay with us.
[00:29:33.075 --> 00:29:34.296]  Okay, Randy, continue.
[00:29:34.536 --> 00:29:38.039]  Normally I wouldn't have went there, but this is what motivated me.
[00:29:38.300 --> 00:29:39.741]  This is what kept me going.
[00:29:39.821 --> 00:29:41.522]  What did you do in the military in Vietnam?
[00:29:41.943 --> 00:29:44.765]  I loaded bombs and rockets on fighter-type aircraft.
[00:29:45.106 --> 00:29:48.008]  And how did your brother get gangrene?
[00:29:48.088 --> 00:29:52.852]  He was in the Army and was the last man off the LZ, stepped on a bouncing Betty.
[00:29:53.433 --> 00:29:55.635]  He said he knew what it was when he heard it function.
[00:29:55.655 --> 00:29:58.898]  A bouncing Betty shoots a projectile up about three feet.
[00:29:59.418 --> 00:30:00.920]  And then it explodes to blow your genitals off?
[00:30:01.080 --> 00:30:03.042]  So it's anti-personnel.
[00:30:03.402 --> 00:30:06.285]  Well, he dropped down on it to capture it and it just blew him all to pieces.
[00:30:07.266 --> 00:30:11.270]  When I got to Chula, I was in... He dropped down on it to capture it?
[00:30:11.290 --> 00:30:13.032]  You mean to protect his body?
[00:30:13.092 --> 00:30:13.292]  Yes.
[00:30:13.613 --> 00:30:14.454]  He was trained to do that?
[00:30:14.654 --> 00:30:14.854]  Right.
[00:30:14.974 --> 00:30:18.298]  One other person got hurt, but he was the only one that didn't survive.
[00:30:19.379 --> 00:30:22.162]  And he would have survived, except he had a negative blood type.
[00:30:23.208 --> 00:30:28.772]  When I got to Vietnam, the doctor met me in the doorway of the medevac hospital and asked me my blood type.
[00:30:28.852 --> 00:30:29.693]  I said A-positive.
[00:30:30.593 --> 00:30:32.495]  He said, you're Richard's twin?
[00:30:32.515 --> 00:30:33.035]  Yes, I am.
[00:30:33.676 --> 00:30:34.216]  That can't be.
[00:30:34.256 --> 00:30:35.157]  His is A-negative.
[00:30:35.457 --> 00:30:36.117]  Yes, it can.
[00:30:36.398 --> 00:30:37.298]  Darn near killed me.
[00:30:37.318 --> 00:30:42.282]  It's not supposed to be possible for twins to be opposite RH factor.
[00:30:43.162 --> 00:30:46.425]  He said he didn't think there were 10 pints of A-negative blood in country.
[00:30:46.485 --> 00:30:47.466]  He put out a call and got 100.
[00:30:47.506 --> 00:30:48.987]  The 63rd killed him.
[00:30:51.309 --> 00:31:03.919]  Something in it he responded to shut down his kidneys and from that point they knew he was gonna he would not survive and the gangrene took him and he went hard.
[00:31:06.742 --> 00:31:15.689]  So when these guys come after me what in the heck do they think they can throw at me that doesn't pale into insignificance?
[00:31:16.741 --> 00:31:19.284]  And they staged a terror attack to get us into that war.
[00:31:19.544 --> 00:31:20.205]  Yes, they did.
[00:31:20.225 --> 00:31:23.068]  And they've done it every time since.
[00:31:24.490 --> 00:31:28.775]  I'm trying to do the only thing I can to undermine these guys.
[00:31:30.677 --> 00:31:31.698]  I'm very focused.
[00:31:32.820 --> 00:31:36.043]  I don't look into all kinds of different theories of law.
[00:31:37.719 --> 00:31:41.042]  It is my position that you and I are sovereign citizens.
[00:31:41.682 --> 00:31:48.507]  Not sovereign in the context of my sovereign rights and my sovereign privileges, but in my sovereign duty.
[00:31:49.688 --> 00:31:53.110]  These people are my employees and they are not to forget it.
[00:31:54.351 --> 00:31:56.472]  When I go into a court, I wear two hats.
[00:31:56.692 --> 00:31:58.132]  I go in with my litigants hat on.
[00:31:59.052 --> 00:32:07.074]  But when one of my public officials steps across one of my legal lines, that litigants hat comes off, and my sovereign hat goes on, and we're gonna fight.
[00:32:08.015 --> 00:32:09.995]  Okay, we're about to come back on the main show.
[00:32:10.155 --> 00:32:12.516]  Let's get into your early 1980s.
[00:32:12.876 --> 00:32:13.416]  What happens?
[00:32:13.436 --> 00:32:20.178]  You start reading how they're supposed to conduct their activities and what they really do, and you find out that it's just all lawless criminal activity.
[00:32:20.959 --> 00:32:27.395]  And just explain what you've gone through, what you've witnessed, the victories you've had, the defeats you've had, that Williamson County story.
[00:32:27.435 --> 00:32:27.736]  Here we go.
[00:32:36.787 --> 00:32:37.427]  Big Brother.
[00:32:38.087 --> 00:32:39.108]  Mainstream media.
[00:32:39.868 --> 00:32:40.968]  Government cover-ups.
[00:32:41.609 --> 00:32:42.429]  You want answers?
[00:32:43.189 --> 00:32:44.070]  Well, so does he.
[00:32:44.750 --> 00:32:48.371]  He's Alex Jones on the GCN Radio Network.
[00:32:48.951 --> 00:32:53.053]  And now, live from Austin, Texas, Alex Jones.
[00:33:02.436 --> 00:33:04.576]  He's Randy Kelton, the rule of law.
[00:33:04.817 --> 00:33:05.957]  That's what he talks about.
[00:33:07.797 --> 00:33:10.178]  And we'll give you one of his websites.
[00:33:11.498 --> 00:33:13.658]  It's jurisprudence.com.
[00:33:13.799 --> 00:33:17.599]  Not jurisprudence, but jurisprudence.com.
[00:33:17.659 --> 00:33:19.540]  J-U-R-I-S-I-M.
[00:33:20.040 --> 00:33:20.920]  Prudence.com.
[00:33:20.940 --> 00:33:24.161]  We'll tell you more about that as we have him with us in the hour.
[00:33:25.041 --> 00:33:26.402]  So, it's the early 1980s.
[00:33:26.462 --> 00:33:27.202]  Start back there.
[00:33:27.782 --> 00:33:42.486]  You get pulled over, then you get taken to jail for a headlight out, and you go back and look at the law, and look at what they're supposed to do, and look at the code, break that down, then we'll go through the sagas, and the things you've witnessed, and the people you've gotten fired, the people you've gotten in trouble, because you have had some successes.
[00:33:42.506 --> 00:33:43.427]  Yes, I have.
[00:33:44.007 --> 00:33:45.047]  And I've had some failures.
[00:33:46.347 --> 00:33:54.750]  The reason I brought that up is so many people go before the courts, and they get screwed around, and they think there must be some magic thing that I missed.
[00:33:55.933 --> 00:33:57.974]  There's something important I don't know.
[00:33:58.974 --> 00:33:59.814]  Well, there's not.
[00:34:00.454 --> 00:34:01.835]  These guys are just criminals.
[00:34:02.635 --> 00:34:06.196]  They're just doing whatever they want to do because they believe they can.
[00:34:07.397 --> 00:34:10.057]  I kicked this dog for some 25 years.
[00:34:11.678 --> 00:34:14.539]  Three dislocated ribs, two broken collarbones, and a broken elbow.
[00:34:15.993 --> 00:34:20.235]  I never brought this to anyone else because I hadn't found a way to do it safely.
[00:34:20.355 --> 00:34:21.875]  Well, let's go through all the things that happened.
[00:34:21.895 --> 00:34:24.576]  I mean, let's go back to the cop arrest you for no headlight.
[00:34:24.616 --> 00:34:25.256]  How did that happen?
[00:34:25.276 --> 00:34:27.117]  And then go through all the things you've been through.
[00:34:27.477 --> 00:34:37.821]  He was in a bad mood and he asked me for my proof of insurance and I said, well, if I show you my proof of insurance and you look at it and see that it expired yesterday, what will you do?
[00:34:37.881 --> 00:34:38.721]  He said, I'll arrest you.
[00:34:39.341 --> 00:34:40.642]  In that case, I'm not going to show it to you.
[00:34:42.073 --> 00:34:43.195]  Well, he arrested me anyway.
[00:34:44.276 --> 00:34:45.958]  But that was really a minor thing.
[00:34:46.018 --> 00:34:47.180]  It just opened the door.
[00:34:48.061 --> 00:34:51.326]  After that, I had a sheriff's deputy try to kill me once in front of my house.
[00:34:52.007 --> 00:34:52.768]  What happened with that?
[00:34:53.969 --> 00:34:54.710]  We went to court.
[00:34:54.770 --> 00:34:55.692]  I beat him in court.
[00:34:56.531 --> 00:34:59.653]  But the deputies made up a story that never happened.
[00:35:00.353 --> 00:35:01.694]  And there was a street full of witnesses.
[00:35:01.734 --> 00:35:03.155]  And that shocks you when they lie.
[00:35:03.475 --> 00:35:05.736]  I've had them do it to me, and it's like, you're a criminal!
[00:35:06.136 --> 00:35:07.777]  And they just smile and go, yeah, I am.
[00:35:08.037 --> 00:35:09.558]  We had a whole street full of witnesses.
[00:35:09.778 --> 00:35:13.000]  I'm thinking, how can they imagine they can get this past the courts?
[00:35:13.541 --> 00:35:14.001]  They could.
[00:35:14.561 --> 00:35:17.743]  The courts was not interested in anything anyone had to say.
[00:35:18.443 --> 00:35:21.365]  They were intent on prosecuting me no matter what.
[00:35:22.626 --> 00:35:24.707]  But the jury was not quite so intent.
[00:35:26.677 --> 00:35:36.267]  My daughter worked for a woman whose husband was on the jury and she said they were irate when they found out what was actually going on.
[00:35:37.409 --> 00:35:43.315]  So I beat them there, but I was in the process of trying to fix the system.
[00:35:43.375 --> 00:35:45.637]  I felt like I owed this to my brother.
[00:35:46.738 --> 00:35:52.420]  That I should lay down and roll over for these scum after what he paid for.
[00:35:53.080 --> 00:35:54.020]  So the fight was on.
[00:35:54.960 --> 00:36:01.322]  And I didn't, I just appeared recently on the scene because I wouldn't ask someone to take the kind of risks I was taking.
[00:36:01.362 --> 00:36:05.303]  So you've been doing this for two decades plus and you've now developed some things you think work.
[00:36:05.683 --> 00:36:14.370]  Yes, when I came across actually filing criminal charges against them, and going after grand juries, everything changed.
[00:36:15.371 --> 00:36:17.172]  Folks, there is an answer out there.
[00:36:17.192 --> 00:36:19.734]  Well, we're going to talk about it, but let's go back to how you got bones broken.
[00:36:20.855 --> 00:36:23.417]  Well, I had a sheriff deputy grab me.
[00:36:24.257 --> 00:36:27.780]  He was just one of these policemen who shouldn't have been a policeman.
[00:36:27.800 --> 00:36:28.741]  That's a power trip, yeah.
[00:36:28.821 --> 00:36:35.026]  Yeah, he had stopped my son in front of my house a day after I filed suit against the sheriff over at Open Records.
[00:36:36.047 --> 00:36:37.508]  It's just a technical suit.
[00:36:38.649 --> 00:36:44.172]  And the next day I looked out my front door and I saw this policeman out there throw something down, kick it up in the air.
[00:36:45.453 --> 00:36:46.574]  And I thought that looked odd.
[00:36:46.874 --> 00:36:47.654]  I stepped outside.
[00:36:47.674 --> 00:36:49.475]  He had my son pulled over in front of my house.
[00:36:50.296 --> 00:36:52.917]  And when I went to find out what was going on, he tried to kill me.
[00:36:54.518 --> 00:36:58.841]  And people claim that the sheriff sent him to do it, but I don't think so.
[00:36:58.861 --> 00:36:59.862]  The guy was just crazy.
[00:37:00.643 --> 00:37:08.068]  Well, I've seen cases where the guy's got a sign saying our judicial system's a joke outside the judge's jurisdiction, and he has cops go arrest him for saying that.
[00:37:08.869 --> 00:37:09.689]  I mean, they're crazy.
[00:37:10.890 --> 00:37:13.292]  What I do will help put an end to that.
[00:37:14.392 --> 00:37:15.533]  It really does work.
[00:37:16.334 --> 00:37:21.438]  When you start thinking and acting like a sovereign, I don't even mess with policemen anymore.
[00:37:21.498 --> 00:37:23.239]  Well, I want to talk about all that, and we're going to.
[00:37:23.259 --> 00:37:30.404]  We'll have you back again, Randy, but right now, I want people to get the backside of this, kind of the war stories, I mean, abbreviated, the saga.
[00:37:30.925 --> 00:37:35.468]  Some of the things you've seen, like a few months ago in Williamson County, you went to file a complaint, and what happened there?
[00:37:35.488 --> 00:37:42.374]  I mean, I don't think citizens, until it happens to them, then they're isolated, nobody cares, realize what it's like till they're there framing you.
[00:37:43.257 --> 00:37:55.821]  Yes, for me it was difficult and I absolutely knew that I'm going to kick you guys behinds every way from Sunday, but it was still difficult standing on that cold concrete floor for 29 hours.
[00:37:59.335 --> 00:38:00.556]  This happens to everybody.
[00:38:00.636 --> 00:38:01.657]  I've had a number of things.
[00:38:01.697 --> 00:38:02.537]  My elbow got broke.
[00:38:02.557 --> 00:38:18.947]  It was kind of my fault because I told a bailiff when I was trying to file criminal charges with the grand jury against the district attorney and he demanded to know what my purpose was in the building today and I had already asked him for the grand jury so he knew.
[00:38:20.068 --> 00:38:23.410]  So I told him, well I have business here today and it's none of yours.
[00:38:24.730 --> 00:38:29.458]  He said, well I'm the court security officer and the bailiff and court bailiff and I want to know what your business is.
[00:38:30.179 --> 00:38:34.687]  I said, well if you're the court bailiff then right there at the courtroom just scoot on in there and be a good little bailiff.
[00:38:35.027 --> 00:38:35.628]  You're dismissed.
[00:38:36.809 --> 00:38:38.590]  Well, he didn't take that well.
[00:38:38.610 --> 00:38:39.990]  You don't talk to a God like that.
[00:38:40.030 --> 00:38:41.771]  They talk to us, the slaves, like that.
[00:38:42.111 --> 00:38:42.931]  Not the other way around.
[00:38:43.471 --> 00:38:45.752]  They drug me down the stairs and pushed me out the door.
[00:38:46.792 --> 00:38:49.353]  But to his credit, he didn't intend to break my elbow.
[00:38:49.813 --> 00:38:50.573]  Oh, how nice of him.
[00:38:50.673 --> 00:38:51.914]  Okay.
[00:38:52.094 --> 00:39:00.236]  As I stepped out the door, my foot stepped down on a throw rug, a carpet there, and he was pushing me, so it gave me a little forward movement.
[00:39:00.576 --> 00:39:02.977]  It scooted that carpet out from under me, and I fell and broke my elbow.
[00:39:05.151 --> 00:39:07.215]  But I didn't charge him with that.
[00:39:08.717 --> 00:39:10.300]  I've been real careful in what I do.
[00:39:11.822 --> 00:39:16.650]  If they can get you into a fight with them, they will win every time.
[00:39:17.346 --> 00:39:20.807]  Well, that's why they'll come up and yell and scream at you while you're calm and say, why are you so upset?
[00:39:21.087 --> 00:39:27.150]  Yeah, and if they get too excited with me, I like to take out my cell phone and dial 9-1-1.
[00:39:27.910 --> 00:39:30.311]  I got this policeman here, I think he's going crazy.
[00:39:30.651 --> 00:39:34.873]  He's got slobber dripping out of his mouth, his eyes are bugging out, I think he's going to have a heart attack.
[00:39:35.233 --> 00:39:37.374]  You need to get somebody out here before he shoots me.
[00:39:38.714 --> 00:39:40.355]  This always slows him down.
[00:39:41.209 --> 00:39:43.111]  Because they wind up with another policeman out there.
[00:39:43.131 --> 00:39:44.391]  And you call that the chicken dance?
[00:39:44.612 --> 00:39:54.960]  Yeah, they start doing this little chicken dance where the one I call and I'm asking him to arrest his buddy and he's got my call on 9-1-1 and that's not going to go away.
[00:39:54.980 --> 00:40:02.385]  He don't want to arrest his buddy and I keep insisting and with him I get real obnoxious.
[00:40:03.206 --> 00:40:08.870]  And he starts scooting back and forth from one foot to another and I call that their little chicken dance.
[00:40:09.850 --> 00:40:17.935]  When you become the sovereign and invoke the same law that they use against you, it changes everything.
[00:40:19.116 --> 00:40:22.939]  So, I've been doing this quite a while and it took some time.
[00:40:22.959 --> 00:40:26.301]  It took some learning of things you can do and things you can't do.
[00:40:26.881 --> 00:40:28.002]  Stay away from the sheriff.
[00:40:28.503 --> 00:40:29.904]  Stay away from the police department.
[00:40:30.624 --> 00:40:31.845]  All that'll do is get you beat up.
[00:40:33.200 --> 00:40:39.606]  Well, I was thrown out of the Sheriff's Department one day by the Chief Deputy when I was there to file criminal complaints.
[00:40:39.646 --> 00:40:47.494]  And I stood in front of the place and looked around and thought, I bet if I try to leave this county, somebody's going to be waiting for me.
[00:40:48.375 --> 00:40:52.459]  So I went to the county judge and asked him to call the Sheriff's Department and see if they had a warrant for me.
[00:40:53.199 --> 00:40:54.581]  Asked him to call the Chief Deputy.
[00:40:55.985 --> 00:40:59.388]  And the county judge wanted to know why I wanted him to do that.
[00:41:00.068 --> 00:41:04.451]  I said, well, I got a bad feeling he's going to be sitting out there on the highway waiting for me.
[00:41:04.932 --> 00:41:06.253]  Oh, he wouldn't do a thing like that.
[00:41:07.093 --> 00:41:08.975]  I don't know, but if he did, it'd be bad news.
[00:41:09.315 --> 00:41:11.877]  He called the Sheriff's Department and asked for Doug.
[00:41:12.777 --> 00:41:13.718]  Well, Doug's not here.
[00:41:13.778 --> 00:41:14.919]  He's out in his cruiser.
[00:41:16.417 --> 00:41:23.222]  The judge looked at me and kind of gave me a halfway smile and said, well, have Doug call me.
[00:41:23.242 --> 00:41:32.970]  Doug called him and he said, I have Randy Kelton in my office and he's concerned that someone may be out waiting on the highway for him to go home.
[00:41:33.939 --> 00:41:35.881]  Where are you, Mr. Whitehead?
[00:41:36.321 --> 00:41:38.483]  Oh, well, I'm just making some rounds in my cruiser.
[00:41:38.683 --> 00:41:40.985]  Since when does the Chief Deputy make rounds?
[00:41:41.225 --> 00:41:42.967]  Well, I had business to take care of.
[00:41:43.627 --> 00:41:46.990]  Well, Mr. Whitehead, I hope your business is back at the Sheriff's Department.
[00:41:47.070 --> 00:41:48.752]  Now, now, that's not even paranoia.
[00:41:48.792 --> 00:41:50.493]  Tell folks what just happened to you in Williamson County.
[00:41:50.974 --> 00:41:52.195]  Why you were there, what happened?
[00:41:52.575 --> 00:41:59.621]  Well, I went to Williamson County because everyone told me that Williamson County is the most corrupt in the nation.
