[00:00:00.049 --> 00:00:01.010]  It is November 18, 2008.
[00:28:29.438 --> 00:28:30.298]  It's all so accurate.
[00:28:30.338 --> 00:28:32.599]  I want listeners to know this isn't a joke.
[00:28:32.679 --> 00:28:34.900]  This is earth-shatteringly important.
[00:28:35.780 --> 00:28:37.921]  But encapsulating it, and then I want to go to calls.
[00:28:40.620 --> 00:28:42.882]  Again, you're trying to give people the facts, like you always do.
[00:28:42.922 --> 00:28:43.662]  I do the same thing.
[00:28:44.523 --> 00:28:59.753]  But going from the up-close view to the wider view, just in a general gestalt, what their time frame is, what the world's going to look like, what their endgame is, Alan Watt from CuttingThroughTheMatrix.com.
[00:29:00.753 --> 00:29:08.819]  Yeah, they want to manage the takedown of society, and at the same time, they want a unified world to come out of it at the very end.
[00:29:09.542 --> 00:29:11.763]  With the survivors.
[00:29:11.863 --> 00:29:22.527]  With a new system, a standardized world system, where they can literally replace all the old types with better, enhanced, genetically enhanced types that'll serve the elite better.
[00:29:22.788 --> 00:29:26.449]  Now, we know that the elite themselves are not going to dumb themselves down.
[00:29:27.269 --> 00:29:31.691]  Charles Galton Darwin was very explicit about that in his writings, so was Arthur Kessler.
[00:29:32.212 --> 00:29:37.974]  He said, we, the elite, must retain our survival capabilities because we will be guiding planet Earth.
[00:29:38.482 --> 00:29:43.545]  But the rest of the people will not need theirs because the state will be making all the decisions for them.
[00:29:44.446 --> 00:29:46.767]  So that's what they want to come out at the very, very end.
[00:29:46.827 --> 00:29:53.971]  A placid, compliant, genetically enhanced, more productive species, but a far reduced, more efficient population.
[00:29:54.752 --> 00:30:01.776]  And when you tie that in with the Department of Defense's think tank study for NATO, which was echoed by the U.S.
[00:30:01.816 --> 00:30:03.457]  military's one, it's quite identical.
[00:30:03.877 --> 00:30:06.259]  They see nothing but riots starting around 2010, 2012.
[00:30:08.772 --> 00:30:14.474]  To do with food and various other things, necessities really, and escalating for 30 years.
[00:30:14.554 --> 00:30:22.976]  Now that ties in with the timelines that the United Nations has talked about for their new global society with the reduced population.
[00:30:23.296 --> 00:30:28.618]  They say in their own documents now there'll be a vastly reduced population by the year 2030, 2035.
[00:30:30.958 --> 00:30:36.720]  So we're looking at a long-term business plan that's going to reduce population
[00:30:37.527 --> 00:30:42.795]  During that time, they will be putting big money into genetic enhancing of specific people.
[00:30:43.533 --> 00:30:45.094]  To serve them better new strains.
[00:30:45.575 --> 00:30:49.318]  And at the end, as the old man dies off, they'll bring in the new type.
[00:30:49.758 --> 00:30:52.861]  In fact, the old man will be unable to even procreate and reproduce.
[00:30:53.401 --> 00:30:54.562]  So they'll bring in the new type.
[00:30:54.622 --> 00:30:57.224]  And this will be the reason for bringing in the new type.
[00:30:57.745 --> 00:30:58.906]  Well, we've all gone sterile.
[00:30:58.966 --> 00:30:59.806]  We have to do it.
[00:31:00.367 --> 00:31:01.348]  And no one will complain.
[00:31:01.408 --> 00:31:02.489]  No one will object.
[00:31:02.929 --> 00:31:06.552]  They'll think it's just a necessity and a strange thing in nature.
[00:31:07.052 --> 00:31:10.075]  That's how... See, most people don't think on a conscious level.
[00:31:10.375 --> 00:31:12.317]  They're in a state of almost perpetual
[00:31:12.955 --> 00:31:13.596]  Hypnosis.
[00:31:14.378 --> 00:31:22.512]  And this has been done by scientific indoctrination from birth, plus the masses of entertainment they take in.
[00:31:22.532 --> 00:31:24.175]  They cannot tell fact from fiction.
[00:31:24.435 --> 00:31:25.958]  They have no reasoning abilities.
[00:31:26.690 --> 00:31:31.673]  And they do expect, like Brzezinski says, they expect the media to do the reasoning for them.
[00:31:31.993 --> 00:31:34.554]  And unfortunately for most folk, that has happened.
[00:31:34.835 --> 00:31:37.436]  And that's why we see all the pre-programming.
[00:31:37.456 --> 00:31:50.243]  I mean, the Pentagon back in 2000, as you know, said, we'll use Hollywood, we'll use movies, we'll use security, we'll use the call for Alzheimer's patients, we will use the fad-driven PR.
[00:31:51.804 --> 00:31:58.710]  Peer pressure system, public relations system, to sell the public on taking microchips.
[00:31:59.511 --> 00:32:12.222]  And they talk in all these government white papers and documents, I covered one on Sunday, I think I'm going to play that clip later, Dr. Kaufman talking about it, from the document, about how most people don't even have their own thoughts, how we're pathetic slaves.
[00:32:13.743 --> 00:32:15.244]  I mean, they're really doing this to you.
[00:32:16.405 --> 00:32:21.347]  I just feel so sorry for the yuppies and people who are so arrogant and so into themselves being powerful.
[00:32:21.647 --> 00:32:33.151]  They've been trained to laugh at us, and then they wonder why their son, you know, is sterile, or why they are sterile, or why they're so unhappy, or why their wife has breast cancer at 40.
[00:32:33.691 --> 00:32:37.812]  And it's all engineered, and they just sit there dying, still loving the lie.
[00:32:38.833 --> 00:32:39.713]  They do, they do.
[00:32:39.733 --> 00:32:45.375]  The trick was, and it's been written about too, is to make a generation believe
[00:32:46.021 --> 00:32:46.662]  That's good to hear.
[00:32:59.850 --> 00:33:00.771]  Everything that we've been told.
[00:33:00.971 --> 00:33:06.594]  An arrogance, a haughtiness, a self-false satisfiedness that they're members of the elite.
[00:33:06.614 --> 00:33:07.755]  I mean, here's a microcosm.
[00:33:08.135 --> 00:33:11.697]  There have been tens of thousands of urban warfare drills the last 25 years.
[00:33:12.118 --> 00:33:13.358]  I mean, they have thousands a year.
[00:33:13.899 --> 00:33:18.361]  So, I mean, it's got to be tens of thousands, more than tens of thousands, probably hundreds of thousands.
[00:33:18.842 --> 00:33:23.925]  And they always tell the town or city, even though they may have been there 15 times over the years,
[00:33:24.565 --> 00:33:26.307]  You are the first city to have this drill.
[00:33:26.427 --> 00:33:27.248]  You are special.
[00:33:27.588 --> 00:33:31.271]  You are the first city to have us tax you to drive your car with transponders.
[00:33:31.592 --> 00:33:32.452]  You are the first.
[00:33:32.533 --> 00:33:35.375]  And I always see that and go, but they're not the first.
[00:33:35.395 --> 00:33:38.018]  But again, it's part of that, oh my God, I'm part of the first.
[00:33:38.458 --> 00:33:39.239]  I'm cutting edge.
[00:33:39.299 --> 00:33:40.240]  I'm a trailblazer.
[00:33:40.580 --> 00:33:41.161]  Go ahead, please.
[00:33:42.174 --> 00:33:47.856]  Exactly, that that is how it's done, and they truly believe that the most advanced species has ever existed.
[00:33:48.536 --> 00:33:51.958]  That's exactly what Bertrand Russell and others said in the 50s.
[00:33:52.078 --> 00:34:03.001]  They said, we shall create an egocentronic society, a hedonistic society, where they'll live for themselves and think they know it all, and they will be the willing fools for our strategy.
[00:34:03.302 --> 00:34:04.242]  Well, that's happened.
[00:34:06.192 --> 00:34:12.197]  And you can take them to the documents, the published works, government policy, and they will just laugh at you.
[00:34:12.498 --> 00:34:16.641]  They'll get this pre-programmed little smile and go, haha, sure.
[00:34:18.062 --> 00:34:18.823]  Man, I tell you.
[00:34:19.183 --> 00:34:21.265]  And now they're openly announcing world government, Alan.
[00:34:21.445 --> 00:34:24.588]  They're now openly announcing the banks are going to run it all, carbon taxes.
[00:34:25.209 --> 00:34:29.973]  And still, people email me and post on InfoWars.com and PrisonPilot.com in the comments,
[00:34:31.448 --> 00:34:35.429]  They say, oh, they're announcing world government, but that's different than the one you're talking about.
[00:34:36.329 --> 00:34:38.170]  Governance isn't government.
[00:34:38.210 --> 00:34:41.511]  It says Lord Rothschild called last week for governance.
[00:34:41.871 --> 00:34:44.951]  Well, governance is, in the definitions, government, the system of government.
[00:34:45.852 --> 00:34:47.352]  So global system of government.
[00:34:48.092 --> 00:34:53.234]  And then they say, okay, they're calling for a new world order, but that just means a new system.
[00:34:53.514 --> 00:34:57.915]  And I go, but we told you specifically it would be by the bankers that they would create the collapse.
[00:34:57.935 --> 00:34:58.855]  We had their documents.
[00:34:59.155 --> 00:34:59.795]  Most of them you can't.
[00:34:59.815 --> 00:35:03.297]  I've even had people, yuppies, who say that they do want librarianship.
[00:35:17.802 --> 00:35:23.644]  And the big benefactors at the top that designed it, designed it to help them and to make them happy.
[00:35:23.824 --> 00:35:24.785]  Do you really believe this?
[00:35:24.945 --> 00:35:26.125]  I've had them tell me that, too.
[00:35:27.005 --> 00:35:35.248]  And I say to them, I say, well, don't forget there are going to be central computers to program that chip, which means you're not going to be in control of your own mind anymore.
[00:35:35.268 --> 00:35:36.789]  And they're just laughing.
[00:35:36.809 --> 00:35:37.809]  Yeah.
[00:35:38.189 --> 00:35:38.389]  Yeah.
[00:35:41.690 --> 00:35:42.811]  So they're a lost cause.
[00:35:43.618 --> 00:35:46.600]  Well, the good news is there are more people than ever that do want to hear, that do want to know.
[00:36:09.031 --> 00:36:19.352]  And it's so three-dimensional and even four-dimensional, how it's all interlocked, and after decades of study you can get a map of it in your own mind, you can articulate it, but still...
[00:36:21.134 --> 00:36:23.756]  It's so hard to articulate the subtleties to people.
[00:36:23.796 --> 00:36:27.839]  The globalists in their own documents articulate it and try to articulate it.
[00:36:28.619 --> 00:36:39.246]  And because the public can't see it as one-dimensional or two-dimensional, they'll just throw it out of hand saying, that's too complicated for anyone to run, when it is being run and they say they're running it.
[00:36:40.247 --> 00:36:43.709]  They say, and that's the key to the term they're using of governance.
[00:36:44.409 --> 00:36:50.093]  You see, the new system that's already here, it's been here for a long time, is a system
[00:36:50.865 --> 00:36:53.787]  That to the public appears to be something called democracy.
[00:36:54.268 --> 00:37:04.796]  In reality, you have a parallel government run by foundations, which in turn are a front for the ancient establishment, the very wealthy rich establishment.
[00:37:05.277 --> 00:37:10.301]  They fund the non-governmental organizations that appear to speak on behalf of the public.
[00:37:11.161 --> 00:37:15.185]  In reality, they're speaking on behalf of the very foundations that fund them.
[00:37:15.865 --> 00:37:18.027]  That's the new type of governance they're talking about.
[00:37:18.087 --> 00:37:19.388]  It is the Soviet system.
[00:37:20.171 --> 00:37:30.303]  The Soviet means rule by councils, and in the Soviet Union they had NGO groups with their leaders appointed from the Politburo.
[00:37:31.064 --> 00:37:34.548]  We have the exact same system here as they merged the two systems together.
[00:37:35.449 --> 00:37:39.954]  That came out from the Ford Foundation during the Rees Commission.
[00:37:40.891 --> 00:37:40.991]  I'm
[00:38:02.665 --> 00:38:02.865]  That's
[00:38:19.108 --> 00:38:20.509]  And they call them stakeholders.
[00:38:20.569 --> 00:38:31.493]  The individual has no voice, but all these subgroups who then have heads, who are globalists, who speak for them and really control them, they are stakeholders.
[00:38:31.994 --> 00:38:36.375]  And we see all this nomenclature now coming in and replacing everything.
[00:38:39.277 --> 00:38:42.038]  Alan, I want to go to calls here, but just in closing before we do that,
[00:38:43.717 --> 00:38:49.741]  The official UN documents, as you know, and government documents say they want to reduce this by 80%.
[00:38:51.742 --> 00:39:02.350]  And everything we've seen up until now is just testing the soft kill weapons, testing how to sell to the public, how to not have the public notice that people are dying all around them, how to try to cook the numbers and spin things.
[00:39:04.110 --> 00:39:14.815]  But we know there's been hot kill going on in Iraq, hot kill in Serbia, Afghanistan, Africa, Latin America, where large portions of populations are being killed, 10, 20, 30, 40% in some cases.
[00:39:15.656 --> 00:39:22.339]  The hot killing, the fast killing in the West, when are they going to start launching those?
[00:39:24.151 --> 00:39:28.775]  I think fairly shortly they have big plans to standardize the world quickly.
[00:39:29.095 --> 00:39:51.251]  What they're doing, and that's exactly what they're doing, they're eradicating all older cultures that haven't gone along and accepted this very vague term of democracy, and they haven't accepted World Bank running their system, they haven't accepted basically the British-style parliamentary system, because this whole world system was born in London, England,
[00:39:52.385 --> 00:39:53.246]  It's from the 1500s.
[00:39:54.207 --> 00:39:57.950]  John Dee wrote about the creation of a world empire based on the British system.
[00:39:58.731 --> 00:40:04.296]  And it's now come out that the Crown, MI5 and MI6, run the whole Parliament, spy on it.
[00:40:04.556 --> 00:40:07.019]  They kill any member or set them up that gets out of line.
[00:40:07.299 --> 00:40:09.841]  It is totally ceremonial, just like the Congress.
[00:40:10.742 --> 00:40:17.428]  Yes, and after World War II, there were big talks at the United Nations and wanted to set it up.
[00:40:18.004 --> 00:40:24.493]  That those colonial countries would not be pulled out of by Britain until they had set up in those countries.
[00:40:25.314 --> 00:40:30.878]  a mini British type system of government and then they could pull it out and withdraw it.
[00:40:30.938 --> 00:40:39.683]  And they wrote hundreds of books from Quigley's to others bragging about the system but you go to Wikipedia or to the mainline Encyclopedia Britannica and they say the New World Order doesn't exist!
[00:40:39.984 --> 00:40:47.969]  Does it matter if it's taught at Princeton and Harvard and Oxford and they admit the system of world governance through the shadow roundtables?
[00:40:48.469 --> 00:40:50.791]  They will just still laugh at us and say it doesn't exist!
[00:40:51.711 --> 00:41:08.038]  That's right, even though the historian for the Council on Foreign Relations, which is part of the Parliament, Carol Quigley himself, wrote his big book on it, The Anglo-American Establishment and Tragedy and Hope, and he outlines them there, their whole agenda.
[00:41:08.358 --> 00:41:09.479]  It was quite fascinating.
[00:41:11.192 --> 00:41:11.912]  Yeah, that's a great book.
[00:41:11.952 --> 00:41:16.274]  I read that back when I was about 15, and I had no idea what I was reading was the keys to how it all worked.
[00:41:16.314 --> 00:41:17.834]  And this is the government commissioning.
[00:41:17.854 --> 00:41:20.695]  Because, you know, the people in government really have to know how it works.
[00:41:20.755 --> 00:41:21.535]  These are the slaves.
[00:41:21.575 --> 00:41:22.816]  We're poisoning them.
[00:41:22.836 --> 00:41:23.996]  We're going to get rid of them, okay?
[00:41:24.036 --> 00:41:27.457]  And if you work with us, you'll be allowed to procreate, and we won't kill you.
[00:41:27.497 --> 00:41:27.978]  How's that sound?
[00:41:29.038 --> 00:41:37.821]  Another odd thing, too, was back in the 90s, I don't know if it... I think it's the same in the U.S., but politicians in Canada and the British Commonwealth countries
[00:41:38.735 --> 00:41:45.179]  They made a law to treat the politicians and their families in special military hospitals.
[00:41:46.140 --> 00:41:48.582]  And I thought at the time, well, what's all this about?
[00:41:49.402 --> 00:41:51.563]  Aren't the hospitals that we have good enough for them?
[00:41:52.304 --> 00:41:59.168]  And I realized, too, what it is, is all these coming plagues that are scheduled to come out, they do have treatments for them.
[00:41:59.529 --> 00:42:01.390]  They do have the real antidotes to them.
[00:42:02.230 --> 00:42:07.213]  And I think they've been giving the politicians and the families these particular antidotes.
[00:42:07.553 --> 00:42:09.274]  Well that's actually already come out.
[00:42:09.935 --> 00:42:15.978]  They get all the cancer cures, they get it all, and this is so diabolical.
[00:42:16.478 --> 00:42:25.524]  And that's why they go along with these politicians and they will keep their mouths shut, they will play the game because they're getting all these benefits and a fairly good guarantee they will live.
[00:42:28.624 --> 00:42:34.668]  Ultra-vicious, ultra-wicked, ultra-selfish, and a lot of you listening will continue to laugh.
[00:42:35.529 --> 00:42:43.955]  But, God forbid, as you're burying your children, your wife, your husband, from what your masters are going to do to you, maybe then you'll fight back.
[00:42:44.355 --> 00:42:56.044]  Then you'll be facing the drone aircraft, and the swords, and the brainwashed chipped troops, but we can still get into their deep underground bases, even after this happens, and probably beat them.
[00:42:57.076 --> 00:42:57.917]  But we'll see.
[00:42:58.277 --> 00:42:58.938]  We'll be right back.
[00:42:58.958 --> 00:42:59.358]  Stay with us.
[00:43:00.599 --> 00:43:01.440]  Let's skip this break.
[00:43:01.480 --> 00:43:02.941]  I'm going to keep rolling.
[00:43:03.902 --> 00:43:05.203]  I'm going to go ahead and skip this break.
[00:43:05.243 --> 00:43:05.403]  Why?
[00:43:05.443 --> 00:43:05.963]  What's going on?
[00:43:06.003 --> 00:43:06.584]  Hold on a second.
[00:43:06.604 --> 00:43:14.490]  Something behind the scenes.
[00:43:14.730 --> 00:43:23.137]  I got the Trachems in here laughing with the local TV producers.
[00:43:23.157 --> 00:43:25.539]  They want me to do some 9-11 hit piece and I'm not going on it.
[00:43:25.639 --> 00:43:26.600]  Now they're all upset about it.
[00:43:27.517 --> 00:43:29.079]  I mean, we can waste our time all day.
[00:43:29.719 --> 00:43:30.080]  Do what?
[00:43:32.543 --> 00:43:33.564]  I can't understand you, man.
[00:43:34.985 --> 00:43:35.506]  Ah, whatever.
[00:43:36.327 --> 00:43:37.428]  Anyways, craziness here.
[00:43:37.548 --> 00:43:44.936]  Alan, we're still on the internet right now streaming, but we're going to come back to the whole full audience in about two minutes, and then we'll start taking calls, okay?
[00:43:45.517 --> 00:43:45.677]  Yeah.
[00:43:46.237 --> 00:43:46.758]  Thanks a lot.
[00:43:46.878 --> 00:43:47.419]  We'll be right back.
[00:43:49.756 --> 00:43:51.477]  Drying123.com.
[00:43:51.758 --> 00:43:54.240]  That's D-R-Y-I-N-G-123.com.
[00:43:54.420 --> 00:43:59.944]  Excalibur Dehydrator wishes you and yours health and wellness for the new year.
[00:44:10.430 --> 00:44:11.450]  But who is the enemy?
[00:44:11.971 --> 00:44:12.491]  Bin Laden.
[00:44:12.751 --> 00:44:13.631]  This is his ammo.
[00:44:13.671 --> 00:44:15.072]  We have to look to the Middle East.
[00:44:15.112 --> 00:44:16.793]  We have to look to Osama Bin Laden.
[00:44:17.133 --> 00:44:23.876]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:44:24.276 --> 00:44:24.716]  Some U.S.
[00:44:24.756 --> 00:44:30.439]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:44:31.119 --> 00:44:34.562]  I'm aware that some Israeli citizens have been detained.
[00:44:34.582 --> 00:44:36.603]  Either you are with us, or you are with the terrorists.
[00:45:01.047 --> 00:45:11.135]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:45:11.616 --> 00:45:12.677]  Garden in a Can.
[00:45:13.037 --> 00:45:16.600]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:45:17.180 --> 00:45:18.942]  Garden in a Can is ready when you are.
[00:45:19.202 --> 00:45:21.484]  Plant them now or store them for when you really need them.
[00:45:21.944 --> 00:45:31.009]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:45:31.630 --> 00:45:32.630]  Garden in a can.
[00:45:33.051 --> 00:45:33.911]  It's that simple.
[00:45:34.251 --> 00:45:34.552]  Fresh.
[00:45:34.952 --> 00:45:35.332]  Healthy.
[00:45:35.812 --> 00:45:36.112]  Easy.
[00:45:36.653 --> 00:45:40.595]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:45:40.995 --> 00:45:41.876]  Ready when you are.
[00:45:42.561 --> 00:45:46.186]  Stop procrastinating and start preparing with Garden In A Can.
[00:45:46.647 --> 00:45:49.731]  For more details visit GardenInACan.com today.
[00:45:50.112 --> 00:45:52.695]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[00:46:15.284 --> 00:46:20.808]  We're going to Don in Costa Rica, Jimmy, Dustin, Donna, Rico, Dustin, Jeremy and others.
[00:46:21.308 --> 00:46:23.370]  You know, I've done a lot of hit pieces.
[00:46:23.390 --> 00:46:30.295]  I've gone on a lot of national TV shows where they tape you for days or hours and then cut up what you said.
[00:46:30.315 --> 00:46:34.919]  They never let you put out your real evidence of a 9-11 minute inside job or the New World Order.
[00:46:37.387 --> 00:46:40.129]  And, you know, the key is the mainstream media has lost all their credibility.
[00:46:40.149 --> 00:46:42.171]  They've been caught putting out their disinfo forever.
[00:46:42.791 --> 00:46:47.855]  And, you know, I said I'd do this first History Channel thing and others, and I did them.
[00:46:48.675 --> 00:46:53.359]  I mean, it's a stacked deck, but this newest one, Alan, was
[00:46:55.310 --> 00:47:05.333]  A guy that specializes in hit pieces on JFK researchers and others, and really puts out ridiculous pieces, where it's not even based in reality.
[00:47:06.173 --> 00:47:07.594]  The very foundations of it aren't.
[00:47:08.954 --> 00:47:12.235]  And he's doing a big piece for National Geographic.
[00:47:12.995 --> 00:47:14.796]  And I said, you know what, I don't think I'm going to do that interview.
[00:47:14.856 --> 00:47:16.016]  No, I'm not going to be interviewed by it.
[00:47:16.196 --> 00:47:23.118]  And they just can't believe that I don't care about going on their national TV show, so that I can have them stack the deck.
[00:47:30.680 --> 00:47:55.736]  It's true, it's interesting as well to recognize that Professor Carroll Quigley himself mentioned that that was a technique they used in mainstream media because they often called on him to bring on with a guest who was coming out with a theory of the world being manipulated and they'd bring him on to try and repudiate the guest.
[00:47:56.417 --> 00:48:02.899]  So that was part of his function, and he admits that in his own book, that they try and stack the deck and make the person look ridiculous.
[00:48:02.919 --> 00:48:12.302]  You gotta go on TV, here he is, government historian, who's writing a book for the government, laughing at how he would go lie to the American people and say this didn't exist.
[00:48:12.703 --> 00:48:15.944]  I mean, how do they get these guys to do this against their fellow man?
[00:48:17.544 --> 00:48:20.405]  Many people out there are so easily bribed.
[00:48:21.185 --> 00:48:21.966]  Ego status,
[00:48:23.974 --> 00:48:24.614]  Yeah, I think so.
[00:48:35.846 --> 00:48:37.707]  Which we call integrity.
[00:48:37.727 --> 00:48:39.207]  They can't understand that at all.
[00:48:39.628 --> 00:48:43.069]  It's a foreign... They actually go into a stunned look when you say it.
[00:48:43.089 --> 00:48:49.451]  Well, I mean, they've killed 3 million Iraqis in the last 18 years.
[00:48:49.471 --> 00:48:50.632]  I mean, I don't want to be part of that.
[00:48:50.692 --> 00:48:51.872]  I mean, killing little kids?
[00:48:52.593 --> 00:48:53.993]  Yes, and to them that's nothing.
[00:48:54.053 --> 00:48:55.054]  That's nothing at all.
[00:48:55.714 --> 00:48:56.434]  They sleep well.
[00:48:56.454 --> 00:48:57.455]  They plan this kind of thing.
[00:48:57.475 --> 00:48:58.575]  They don't need sleeping pills.
[00:48:59.164 --> 00:49:03.628]  They are psychopathic types, and we really cannot relate to them.
[00:49:03.848 --> 00:49:11.654]  They're so far removed as a species in psychopathy, and so inbred that it is guaranteed to pass on to their offspring.
[00:49:11.674 --> 00:49:18.540]  All right, let's talk about that term later, but right now let's go to Don in Costa Rica, and then we'll hold him over.
[00:49:18.580 --> 00:49:20.582]  Don, thanks for holding her on the air with Alan Watt.
[00:49:21.624 --> 00:49:22.385]  Hola, Alex.
[00:49:22.485 --> 00:49:28.230]  Yeah, I'm calling from an IP phone in Costa Rica, a first-time caller, former Californian.
[00:49:28.390 --> 00:49:29.231]  Can you hear me okay?
[00:49:29.331 --> 00:49:29.732]  Yes, sir.
[00:49:31.013 --> 00:49:31.393]  Okay.
[00:49:31.974 --> 00:49:46.547]  I just wanted to talk a little bit about global warming and supposedly it's caused CO2, which a lot of people call greenhouse gas, but if you want to find some information on it,
[00:49:47.527 --> 00:49:52.130]  You could better find it by looking up industrial gases on the internet.
[00:49:53.511 --> 00:49:57.813]  And you'll find all the uses that industry uses CO2 for.
[00:49:57.833 --> 00:50:07.039]  So my plan to stop all talk of global warming would be simply just to outlaw the sale of CO2.
[00:50:08.660 --> 00:50:15.224]  And when you do that, the first people to raise a stink about it would be the soft drink industry.
[00:50:16.810 --> 00:50:18.531]  And also, maybe they're consumers.
[00:50:18.571 --> 00:50:19.811]  Yeah, well they're not going to do that.
[00:50:19.831 --> 00:50:20.852]  They're going to tax it.
[00:50:21.212 --> 00:50:26.394]  They know it's based on all manufacturing, life on this planet, you know, a key.
[00:50:26.814 --> 00:50:31.036]  It's sunlight, water, oxygen, carbon dioxide, makes the world go round.
[00:50:31.956 --> 00:50:32.336]  Stay there.
[00:50:32.356 --> 00:50:34.297]  We'll get Alan Watts' take on this when we get back.
[00:50:34.337 --> 00:50:37.098]  Yeah, the global feudalism tax.
[00:50:37.178 --> 00:50:37.598]  Stay with us.
[00:50:37.618 --> 00:50:43.781]  Thank you for listening to GCN.
[00:50:46.697 --> 00:50:48.928]  Visit GCNlive.com today!
[00:50:51.343 --> 00:50:53.884]  Terror Storm, a history of government-sponsored terror.
[00:50:54.204 --> 00:50:55.484]  Loose Change Final Cut.
[00:50:55.764 --> 00:50:57.765]  Endgame, blueprint for global enslavement.
[00:50:57.905 --> 00:50:59.666]  The true story of the Bilderberg Group.
[00:50:59.826 --> 00:51:01.046]  The late, great USA.
[00:51:01.306 --> 00:51:02.706]  America, freedom to fascism.
[00:51:03.067 --> 00:51:09.889]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:51:10.089 --> 00:51:14.030]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:51:14.170 --> 00:51:17.571]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:51:17.951 --> 00:51:20.512]  Or you would like a book on the history of the Federal Reserve.
[00:51:20.712 --> 00:51:23.533]  We've got the most well-researched and documented titles.
[00:51:23.793 --> 00:51:25.894]  All available at PrisonPlanet.com.
[00:51:26.154 --> 00:51:31.196]  Or if you'd like, you can give the Info War store a call at 888-253-3139.
[00:51:31.837 --> 00:51:36.819]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:51:37.859 --> 00:51:48.085]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:51:48.466 --> 00:51:50.006]  Join the info war today.
[00:51:53.669 --> 00:51:55.550]  Waging war on corruption.
[00:51:56.050 --> 00:51:58.832]  Alex Jones on the GCM Radio Network.
[00:52:22.247 --> 00:52:23.027]  All right, Don.
[00:52:24.007 --> 00:52:30.629]  Yes, CO2 is just used in almost every type of manufacturing imaginable.
[00:52:30.709 --> 00:52:31.449]  Soft drinks.
[00:52:33.169 --> 00:52:34.550]  The oceans are filled with it.
[00:52:34.670 --> 00:52:36.390]  The atmosphere is where the plants breathe.
[00:52:37.170 --> 00:52:39.331]  But it's the perfect thing to restrict
[00:52:40.205 --> 00:52:52.535]  It's what humans exhale, and as the Club of Rome said, Richard N. Haas had the CFR writing for them, he said it's about making humans the enemy, and the state is the solution to deal with the enemy.
[00:52:54.016 --> 00:52:55.478]  So it's about making us bad.
[00:52:55.538 --> 00:52:56.038]  Alan Watt?
[00:52:57.239 --> 00:53:04.765]  Yes, that's in the book The First Global Revolution, and that's put out by the Club of Rome, and they said that back in the 70s,
[00:53:05.871 --> 00:53:19.036]  They were looking at a way to unite the planet and allow the public to be dominated, to allow themselves to be dominated, and they said that they hit upon the idea of making man the enemy of an environment, and could say that global warming was caused by man.
[00:53:19.056 --> 00:53:20.857]  They said that would fit the bill.
[00:53:21.017 --> 00:53:21.957]  That excuse would fit the bill.
[00:53:21.978 --> 00:53:22.658]  Yeah, that's a quote.
[00:53:22.738 --> 00:53:24.378]  Now, now, now, this is published publicly.
[00:53:24.418 --> 00:53:26.199]  Now, think about this, listeners.
[00:53:26.879 --> 00:53:35.063]  Openly saying it's fake, and openly saying they want a global state waging war against the individual and exterminating us.
[00:53:36.229 --> 00:53:37.650]  These are not nice people, Alan.
[00:53:38.071 --> 00:53:39.171]  Any comments on that, Don?
[00:53:39.191 --> 00:53:52.122]  What we know too is that the Club of Rome is not just a think tank, it's the premier think tank that creates strategy for the future and hands it to governments to put into policy.
[00:53:52.622 --> 00:54:00.665]  Meanwhile you have all these well-meaning liberals and mainline people and having global warming parties and getting involved in knifing tires of SUVs.
[00:54:01.105 --> 00:54:03.406]  I'm proving, oh, I'm so loving.
[00:54:03.946 --> 00:54:11.688]  And then now Obama openly has announced these youth brigades, three million man environmental squads, one million man domestic spy force.
[00:54:11.929 --> 00:54:13.229]  He says it on TV.
[00:54:13.649 --> 00:54:15.310]  His chief of staff says it.
[00:54:16.030 --> 00:54:16.870]  All of them do it.
[00:54:16.910 --> 00:54:18.731]  He puts it on his website and pulls it off.
[00:54:19.031 --> 00:54:21.772]  And I'm getting hundreds of emails every day, Alan, saying I'm a liar.
[00:54:22.832 --> 00:54:23.973]  Yeah.
[00:54:23.993 --> 00:54:37.463]  And then I was watching PBS Sunday, a show called Fueled, and they had a roundtable on PBS with Robert Kennedy and others saying, we're going to take everybody out of work and have them work for the environment, fighting for the environment.
[00:54:37.723 --> 00:54:49.612]  Can you imagine all these dumbed down fluoride heads, sterilized, running around, literal zombie creatures, coming after us that know what's going on, because the government gives them a little uniform?
