[00:00:00.129 --> 00:00:00.890]  Federal agents!
[00:28:59.604 --> 00:29:02.886]  And you just do statistical analysis.
[00:29:03.126 --> 00:29:15.515]  Okay, what's the average level, or percent of kids, for instance, who have more than what was the conventional level of danger, which is 10 micrograms per deciliter.
[00:29:15.555 --> 00:29:19.477]  That is, how many kids have high blood lead, or what's the average blood lead?
[00:29:19.497 --> 00:29:23.540]  And what we found is that where there's silico fertilizer in the water,
[00:29:24.750 --> 00:29:29.532]  I've taken everything into consideration, like economics and race and everything else.
[00:29:30.132 --> 00:29:32.653]  Where there's silicone in the water, there's more lead in the kids.
[00:29:33.934 --> 00:29:44.558]  And it's partly because silicone is a complicated atom that combines a lot of other things, and the chemistry of that, that's not my business.
[00:29:44.618 --> 00:29:46.459]  What's my business is the effects of it.
[00:29:46.999 --> 00:29:51.481]  And all the statistics involve taking lots of things into consideration,
[00:29:52.244 --> 00:29:52.404]  Amazing!
[00:29:52.424 --> 00:29:52.484]  Now,
[00:30:22.785 --> 00:30:27.526]  Interviewing chemists and doctors on this subject, they describe fluoride and the different variants of it.
[00:30:27.546 --> 00:30:29.806]  That's why Prozac is made out of it and so many other things.
[00:30:30.327 --> 00:30:35.087]  It's amazing because it's electrically basically charged and it just binds to everything.
[00:30:35.148 --> 00:30:36.328]  It goes through everything.
[00:30:36.848 --> 00:30:40.949]  It's really an active volatile thing to put that in dumbed down layman's terms.
[00:30:41.129 --> 00:30:41.909]  Is that accurate?
[00:30:43.529 --> 00:30:46.030]  My concern is not with the fluoride.
[00:30:46.230 --> 00:30:52.351]  It's with this other chemical and the point is that this other chemical, silicon fluoride,
[00:30:53.055 --> 00:31:03.620]  When you put them in water, the German study by Westendorf in 1975 is the only major study in the literature, and it showed it had big effect on brain chemistry.
[00:31:05.020 --> 00:31:10.783]  Okay, so separately... Okay, we keep calling it fluoride, but there's a different family of different compounds.
[00:31:11.063 --> 00:31:12.924]  What are they putting in the water in the cities?
[00:31:13.864 --> 00:31:21.868]  Over 90% of water fluoridation uses one of these two silico fluorides, either phosphoric acid, which is a liquid,
[00:31:22.708 --> 00:31:28.590]  Or Sodium Silicofluoride, which is very close, closely resembles it, but it's solid and it's in pebbles.
[00:31:29.071 --> 00:31:30.091]  In little pebbles.
[00:31:30.731 --> 00:31:42.676]  But these Silicofluorides are totally different from Sodium Fluoride, and they have these harmful effects on children or adults, and they have never been tested.
[00:31:44.517 --> 00:31:47.698]  The key thing, first of all, that they've never been tested.
[00:31:48.138 --> 00:31:49.439]  Don't take that, that's not my word.
[00:31:50.140 --> 00:31:59.291]  The National Toxicology Program, in 2002, nominated these two chemicals for study on the grounds that their toxicology was not known.
[00:31:59.351 --> 00:32:03.116]  That is, the study of how they harm the brain or the body was not known.
[00:32:03.577 --> 00:32:05.019]  But it is known that they harm.
[00:32:05.339 --> 00:32:05.799]  Stay there.
[00:32:06.160 --> 00:32:06.540]  Stay there.
[00:32:06.560 --> 00:32:07.161]  A quick break.
[00:32:07.181 --> 00:32:08.283]  We'll be right back, Professor.
[00:32:15.330 --> 00:32:19.733]  Cameras are everywhere, above stoplights, on toll... ...that they've never been tested.
[00:32:20.354 --> 00:32:21.695]  Don't take that, that's not my word.
[00:32:22.375 --> 00:32:29.860]  The National Toxicology Program, in 2002, nominated these two chemicals for study on the ground.
[00:32:29.880 --> 00:32:31.501]  Their toxicology was not known.
[00:32:31.561 --> 00:32:35.304]  That is, the study of how they harm the brain or the body was not known.
[00:32:35.865 --> 00:32:37.286]  But it is known that they harm.
[00:32:37.606 --> 00:32:38.086]  Stay there.
[00:32:38.446 --> 00:32:38.827]  Stay there.
[00:32:38.927 --> 00:32:40.568]  A quick break, we'll be right back, Professor.
[00:32:47.549 --> 00:32:57.195]  Cameras are everywhere, above stoplights, on toll booths, and scanning the freeways just waiting to snap a photo of your license plate, only to slam you with ridiculous fines.
[00:32:57.536 --> 00:33:00.818]  In California, red light tickets are as high as $400.
[00:33:01.138 --> 00:33:05.461]  Spray Your Plate is a spray-on photoblocker that protects against all types of cameras.
[00:33:05.761 --> 00:33:11.805]  Spray Your Plate photoblocker spray reflects and protects against flash photo images, making your plate unreadable.
[00:33:12.246 --> 00:33:17.449]  One can of photoblocker will pay for itself many times over, last forever, and is completely unreadable.
[00:33:17.549 --> 00:33:19.110]  Don't give your money to the state.
[00:33:19.170 --> 00:33:19.911]  Spray your plate.
[00:33:47.569 --> 00:33:53.950]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:33:54.310 --> 00:33:56.271]  The enemy struck America on September 11th.
[00:33:56.971 --> 00:33:57.991]  But who is the enemy?
[00:33:58.511 --> 00:33:59.031]  Bin Laden.
[00:33:59.311 --> 00:34:00.212]  This is his M.O.s.
[00:34:00.232 --> 00:34:01.632]  We have to look to the Middle East.
[00:34:01.672 --> 00:34:03.352]  We have to look to Osama Bin Laden.
[00:34:03.652 --> 00:34:10.414]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:34:10.814 --> 00:34:11.254]  Some U.S.
[00:34:11.294 --> 00:34:16.955]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:34:17.635 --> 00:34:21.158]  I'm aware that some Israeli citizens have been detained.
[00:34:21.538 --> 00:34:31.384]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:34:31.624 --> 00:34:32.365]  Fabled enemies.
[00:34:32.845 --> 00:34:40.150]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:34:40.590 --> 00:34:43.973]  Either you are with us or you are with the terrorists.
[00:34:49.190 --> 00:34:54.473]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:34:54.833 --> 00:34:57.095]  At LaysMedInc, the future is here.
[00:34:57.475 --> 00:35:00.917]  Now it's cancer's turn to die with our patented methodology.
[00:35:01.137 --> 00:35:12.304]  Without cutting, bleeding, drugs, or damaging radiation, we can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[00:35:19.480 --> 00:35:23.663]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:35:24.324 --> 00:35:25.124]  You want answers?
[00:35:25.885 --> 00:35:27.806]  Well, so does he.
[00:35:27.826 --> 00:35:31.088]  He's Alex Jones on the GCN Radio Network.
[00:35:31.649 --> 00:35:35.692]  And now, live from Austin, Texas, Alex Jones.
[00:35:50.071 --> 00:35:52.773]  This is really important information, ladies and gentlemen.
[00:35:53.594 --> 00:35:55.635]  I've got some more vital information.
[00:35:55.655 --> 00:35:58.257]  It'll be a surprise at the bottom of the hour after our guest leaves us.
[00:35:58.658 --> 00:36:02.861]  We've got to move quick, Professor, because we've only got about 21 minutes left with you.
[00:36:02.881 --> 00:36:10.107]  I think for PrisonPlanet.tv viewers and InfoWars.com listeners, though, I'm going to skip this next break coming up, because this is so important.
[00:36:10.527 --> 00:36:17.773]  And I've also got one of your studies here, the silico fluorides in higher blood lead, a national problem that particularly harms blacks.
[00:36:18.653 --> 00:36:27.819]  This is online as well, so before you leave, I want people to be able to go and read for themselves the different studies that you and your colleagues have done.
[00:36:28.160 --> 00:36:29.080]  Okay, continuing.
[00:36:29.520 --> 00:36:31.562]  Now, we kind of skipped ahead here.
[00:36:31.782 --> 00:36:37.526]  When did they decide to put these two different chemical compounds that they use publicly?
[00:36:37.586 --> 00:36:40.848]  The cover story is it's fluoride, but it's even more than that.
[00:36:40.868 --> 00:36:45.411]  And the studies that it's binding other heavy metals, bringing things in.
[00:36:47.509 --> 00:36:50.330]  I'll have to commit that I don't know some of the things that you have mentioned at all.
[00:36:50.370 --> 00:36:54.971]  Maybe it's just the professors that cut tunnel vision, but all I've focused on is that once
[00:37:16.451 --> 00:37:35.910]  We started to get rid of this waste from separating the uranium from the rock and decided to just throw that in the water supply because it was assumed that they would all come apart and it was never tested and as I said the National Toxicology Program in 2002
[00:37:38.198 --> 00:37:41.080]  Well, one of the things that has been a problem is that the
[00:38:08.385 --> 00:38:21.750]  American Dental Association and the AMA have repeatedly spoken about fluoridation as good, but they have not dealt with the fact that there were no studies
[00:38:22.774 --> 00:38:24.276]  Yeah, now let's be clear!
[00:38:39.933 --> 00:38:42.954]  Because if one thing is good, it doesn't mean another thing is good.
[00:38:43.354 --> 00:38:43.814]  Exactly.
[00:38:43.854 --> 00:38:48.675]  They say milk is good, but it isn't milk, it's battery acid that kids are drinking.
[00:38:49.256 --> 00:38:54.137]  So let's say sodium fluoride is good for your teeth and good for you, which there are studies on and it shows they're not.
[00:38:54.937 --> 00:38:57.118]  But regardless, let's just say it's good.
[00:38:57.438 --> 00:39:08.821]  What you're saying is, what we're hearing as, quote, fluoridation, isn't even that at all, and the studies are clear it's bad, they just don't know why, and now that's being looked at.
[00:39:10.435 --> 00:39:13.277]  Yeah, and look, let me give some concrete numbers.
[00:39:15.058 --> 00:39:24.284]  When you have lead in the water, or in the environment, the pollution in the environment, there's a higher lead in the kids.
[00:39:25.265 --> 00:39:28.427]  But when you have the silico fluoride, it goes up.
[00:39:28.447 --> 00:39:36.993]  So that just the lead alone, that increases the lead in kids' blood, okay?
[00:39:37.693 --> 00:39:38.134]  It's about
[00:39:40.963 --> 00:39:52.806]  The measure of micrograms per deciliter is about one of those measures, let alone... The silico fluorides boost these other poisons.
[00:39:53.246 --> 00:39:53.926]  That's right.
[00:39:54.246 --> 00:39:59.888]  It goes up in whites by another microgram per deciliter, from about 2.3 to 3.5.
[00:40:00.048 --> 00:40:01.468]  In blacks, it goes up about 2.5, from 5.5 to 8.
[00:40:09.668 --> 00:40:12.969]  It way increases the vulnerability of blacks.
[00:40:13.849 --> 00:40:15.830]  Oh, it just so happens to hurt blacks?
[00:40:16.150 --> 00:40:20.911]  I'm sure that hurts the feelings of the eugenicists that happen to run our entire government.
[00:40:21.251 --> 00:40:34.315]  Well, look, let me not get into eugenicists and just get into science because the main thing is that the effects of lead include learning disabilities, substance abuse, and violent behavior.
[00:40:35.715 --> 00:40:35.815]  Oh!
[00:40:36.570 --> 00:40:43.196]  Because lead destroys the ability of the brain chemicals that inhibit your behavior.
[00:40:43.216 --> 00:40:45.277]  It just slows down your impulsiveness.
[00:40:46.518 --> 00:40:49.781]  The brain chemicals aren't working right if you've got a lot of lead in your system.
[00:40:51.042 --> 00:40:53.564]  If you have a lot of it, it'll kill you.
[00:40:54.365 --> 00:41:03.753]  When I was on the Get the Lead Out of Vermont Task Force, the government task force in Vermont, we looked at this tradition of saying that, well,
[00:41:04.762 --> 00:41:08.105]  Only get worried if there's over 10 micrograms per deciliter of lead in the blood.
[00:41:08.746 --> 00:41:15.292]  And we found there was no level of lead in the blood that was completely without action, and we lowered the state
[00:41:16.738 --> 00:41:19.320]  The state level of concern from ten to five.
[00:41:19.381 --> 00:41:25.025]  Because where you have silico fluorides, then the whole scale has to be changed because it boosted.
[00:41:25.285 --> 00:41:26.326]  How much does it boost?
[00:41:27.727 --> 00:41:28.227]  That's right.
[00:41:28.427 --> 00:41:31.330]  I know you were just giving us the numbers, Professor, but give us those numbers again.
[00:41:31.690 --> 00:41:41.197]  Let's say you've got a Caucasian versus a Negroid, you know, in the same city with a set amount, and then give us the differences there.
[00:41:42.258 --> 00:41:44.740]  Well, if you take the
[00:41:46.767 --> 00:42:01.713]  White kids who have low silico fluoride and lead, they get up to about three and a half from two and two thirds or something like that.
[00:42:01.793 --> 00:42:05.034]  The black kids, it goes up from five and a half to eight.
[00:42:05.054 --> 00:42:07.775]  So that blacks are just much more vulnerable.
[00:42:07.895 --> 00:42:09.256]  Partly this is poverty.
[00:42:10.677 --> 00:42:11.817]  And it's calcium.
[00:42:13.249 --> 00:42:14.730]  In particular, and lots of other things.
[00:42:14.750 --> 00:42:16.831]  The chemistry of the body is complicated.
[00:42:16.851 --> 00:42:18.251]  Well, are there studies on that?
[00:42:18.291 --> 00:42:25.455]  I mean, you're saying it's the diets of the blacks, or is it on average the metabolic difference?
[00:42:26.055 --> 00:42:30.517]  When I do these studies, I'm just doing population studies to find out where it's bad.
[00:42:30.777 --> 00:42:35.840]  But certainly you've had other scientists contact you that have an idea why it's so much more worse for blacks.
[00:42:37.032 --> 00:42:55.309]  When we take the best evidence we've got and look at the difference between poor kids and kids who have average or above average income, poor kids, whether they're white or black, whether they're exposed to silico friars or not, it's always the poor kids who are most vulnerable to lead.
[00:42:56.261 --> 00:43:02.587]  And those vulnerabilities are much worse for blacks, and for everybody, they're much worse for the silico flora.
[00:43:02.707 --> 00:43:03.428]  Well, here's an example.
[00:43:03.448 --> 00:43:20.965]  There's more diabetes in, quote, Hispanics that have the, you know, Native American bloodline, and then certainly, you know, the cliché is true that, quote, Natives can't drink as much whiskey as, say, a Northern European who's had in their development, you know, generationally more drinking.
[00:43:21.485 --> 00:43:23.907]  And of course that gets into, you know, development and species.
[00:43:24.347 --> 00:43:30.951]  But I understand it's too many disciplines here and you're a scientist, you like to, or a professor who likes to look at the science and just go with what you have.
[00:43:30.971 --> 00:43:35.033]  So you're saying it's not a genetic difference or you don't know between blacks and whites.
[00:43:35.373 --> 00:43:40.576]  Well, actually the point is we think about genes versus environment.
[00:43:41.477 --> 00:43:48.381]  The phrase genes versus environment is like saying when you write an answer in long division
[00:43:49.201 --> 00:43:53.842]  Do you use the even numbers only when you write the answer, or the odd numbers only?
[00:43:55.043 --> 00:43:57.304]  You're going to say, Masters, you idiot!
[00:43:57.604 --> 00:43:59.344]  I use both even and odd numbers.
[00:44:00.164 --> 00:44:02.805]  You're not going to say, oh, you can use both even and odd ones.
[00:44:03.365 --> 00:44:09.427]  The point is that everything in life involves what are called interactions between the human and the environment.
[00:44:09.447 --> 00:44:09.787]  No, I agree.
[00:44:09.848 --> 00:44:17.530]  And that's the problem with most professors and academics and scientists, is they do narrowly only look at one little area, instead of that integration of the info.
[00:44:18.550 --> 00:44:21.931]  That's what I'm trying to do with my last year's research.
[00:44:21.971 --> 00:44:28.534]  To try and show how, once you look at the integration, sometimes you find that there's one thing that's easy to change.
[00:44:29.354 --> 00:44:32.315]  The message I want your listeners to hear is simple.
[00:44:33.476 --> 00:44:36.457]  This stuff in the water has never been tested for safety.
[00:44:37.077 --> 00:44:37.677]  Turn it off.
[00:44:38.618 --> 00:44:44.320]  And make sure it isn't put back in the water until it's tested and proven to be safe by utterly independent people.
[00:44:44.340 --> 00:44:46.521]  And I don't mean the bureaucrats and government agencies.
[00:44:47.613 --> 00:44:49.094]  They like to cover up mistakes.
[00:44:49.174 --> 00:44:55.115]  As I keep on asking people, when was the last time you heard of a bureaucrat who admitted his pants were around his ankles?
[00:44:55.996 --> 00:45:04.538]  Well, why is it that it's known that these fluoride compounds that resemble Prozac are being put in the water?
[00:45:04.578 --> 00:45:07.439]  And it just accidentally does all of this.
[00:45:07.579 --> 00:45:13.941]  And then the original studies I saw in Pulitzer Prize winning books from World War II is the Soviets and Germans believed
[00:45:14.761 --> 00:45:15.562]  But let me ask you a question.
[00:45:15.582 --> 00:45:21.328]  Chemical compounds that differ, and when they differ they have different effects.
[00:45:37.214 --> 00:45:46.580]  It's like, my asking the question when I'm talking to students, tell me, if you drink scotch, bourbon, and vodka in the same night, is that different than just drinking one scotch?
[00:45:47.501 --> 00:45:47.781]  Yes.
[00:45:47.901 --> 00:45:53.905]  I never, no student didn't admit that, well, mixing scotch, bourbon, and vodka was a very bad idea.
[00:45:54.645 --> 00:46:01.089]  I tried it once, my parents had a cocktail party when I was just going into my sophomore year of high school.
[00:46:01.502 --> 00:46:04.023]  They went out after the cocktail party and left a lot of glasses around.
[00:46:04.083 --> 00:46:05.924]  I decided to try them all at one night.
[00:46:06.204 --> 00:46:06.625]  Oh boy!
[00:46:08.345 --> 00:46:08.646]  Morning?
[00:46:08.746 --> 00:46:09.086]  Boy!
[00:46:09.466 --> 00:46:12.668]  I did the exact same thing a few times, yeah.
[00:46:12.968 --> 00:46:17.690]  I didn't dare tell my mother what happened, but I thought I'd roll my head down the sidewalk nice.
[00:46:17.730 --> 00:46:19.371]  But don't mix your drinks.
[00:46:20.111 --> 00:46:25.614]  And in the same way, when we mix chemicals, we have effects that we don't have one at a time.
[00:46:26.615 --> 00:46:29.336]  This is important because basically,
[00:46:29.983 --> 00:46:33.627]  The government regulates, the EPA, one thing at a time.
[00:46:35.068 --> 00:46:49.342]  And there's another thing, which is just in the paper today about, I think it's report, that there's a, the EPA has found a compound that seemed to be really dangerous, and they wanted to have some rules on it, and the White House intervened.
[00:46:49.972 --> 00:46:53.555]  And change the document to take some of the stuff out.
[00:46:53.676 --> 00:46:54.096]  That's right.
[00:46:54.136 --> 00:47:00.022]  Now the White House, now the White House is practicing medicine, science.
[00:47:00.662 --> 00:47:03.084]  They just decide on a whole host of issues.
[00:47:03.405 --> 00:47:04.946]  We're going to skip this break with our guest.
[00:47:05.006 --> 00:47:06.428]  We have a full ten minutes left with him.
[00:47:06.828 --> 00:47:09.551]  Got to go to InfoWars.com here, this part of the M and F stations.
[00:47:09.571 --> 00:47:10.632]  We'll be back in just a few minutes.
[00:47:11.653 --> 00:47:14.816]  Roger D. Masters, research professor at Dartmouth College, is our guest.
[00:47:15.572 --> 00:47:17.713]  I'm going to skip this break and talk to him.
[00:47:18.053 --> 00:47:25.638]  Look, bottom line, I want to explain to the listeners out there, and this is a fact, that we're told it's just fluoridation.
[00:47:26.650 --> 00:47:33.492]  When they can argue about that and then argue about what type of fluoride, calcium, stannous, sodium, but it's mainly, quote, sodium they claim they put in the water.
[00:47:33.852 --> 00:47:37.213]  But when you really look at it, that's the same thing I see with DU.
[00:47:37.233 --> 00:47:41.614]  They got a toxic waste, gotta get rid of it, they just put it in weapon systems and spray it around everywhere.
[00:47:41.994 --> 00:47:49.156]  Or they've gotta get rid of all the heavy metals and stuff that are left over from aluminum plants.
[00:47:49.716 --> 00:48:00.922]  And also, the manufacturer of different chemicals and the breakdown of petrochemicals making gasoline, and they just put that into lawn fertilizer and say, well, it doesn't get in our crops.
[00:48:01.142 --> 00:48:12.869]  Don't put it on crops you eat, but put it on your yard and it's lead and arsenic and all these toxins and your dog lays in it and its hair falls out, but it still runs right into your aquifer, so you drink it.
[00:48:13.289 --> 00:48:37.520]  So, I mean, what I'm really interested in, Professor, is this practice of claiming a dangerous, expensive, toxic waste that, for the strategic reasons in the economy, they want to delist as a toxic waste, and then they put, you know, use things as a cover to put it into, and that's what I see as the story of chemicals they were using, you know, during the atomic bomb production.
[00:48:37.820 --> 00:48:38.981]  Any comments on that front?
[00:48:39.588 --> 00:48:40.489]  For sure.
[00:48:40.569 --> 00:48:49.653]  The point is that when you think of humans, say, 200,000 years ago, if you had some junk, I suppose you might throw it in the water and say, well, it'll float down the river and be gone.
[00:48:50.314 --> 00:48:55.096]  But we now have a highly technical society.
[00:48:55.576 --> 00:49:01.559]  They thought just throwing this in the water supply, it would disappear and it would be gone, but it turned out to be dangerous.
[00:49:02.000 --> 00:49:04.521]  And let me give a couple other statistics.
[00:49:05.301 --> 00:49:08.503]  Where this is in the water, there's a higher rate of cocaine use.
[00:49:09.588 --> 00:49:20.172]  Now, we measured that by the arrests, the proportion of people who are, uh, when you arrest violent criminals, who test positive for cocaine.
[00:49:21.113 --> 00:49:37.579]  Where there's, uh, where there's, uh, you can go from two people who are violent with, uh, uh, two out of a thousand criminals, uh, testing positive for cocaine, where there's no silico fluoride, and, and, uh,
[00:49:39.089 --> 00:49:47.872]  You go up by a couple where there's silico fluoride and you go up by even a little bit more if there's both silico fluoride and lead.
[00:49:47.952 --> 00:49:59.376]  So what I'm trying to get to is that we've got to put the dots together and be aware that when you have dangerous things, don't use them until you've tested them for safety.
[00:50:00.056 --> 00:50:04.438]  We think of that, obviously, if somebody starts selling a pill to cure a head cold.
[00:50:05.138 --> 00:50:07.439]  But why is it any different for putting something in the water
[00:50:07.952 --> 00:50:09.872]  I mean, you can brush your teeth, for goodness sakes!
[00:50:10.733 --> 00:50:14.113]  That is, the scientific community hasn't studied this.
[00:50:15.154 --> 00:50:19.955]  And one thing to remember is Einstein's advice about working in science.
[00:50:20.875 --> 00:50:24.355]  He said that you have to be intelligent and very, very stubborn.
[00:50:25.096 --> 00:50:30.397]  A chemical engineer is intelligent and very stubborn, but the critical thing here is that
[00:50:32.179 --> 00:50:37.561]  When you have a new idea, what Einstein pointed out is, at first you're completely ignored.
[00:50:37.641 --> 00:50:38.661]  Nobody pays attention to you.
[00:50:39.662 --> 00:50:42.703]  We've been working on this for over 10 years, and at first absolutely nobody paid attention.
[00:50:43.603 --> 00:50:44.484]  Then you're attacked.
[00:50:44.504 --> 00:50:46.604]  Oh, this is junk science, this is foolish.
[00:50:47.305 --> 00:50:50.046]  And then ultimately, everybody's going to agree it's true.
[00:50:50.066 --> 00:50:52.106]  That's what Einstein had with relativity.
[00:50:52.687 --> 00:50:58.269]  And I think once people begin to ask the question, have you tested this stuff for safety?
[00:50:58.569 --> 00:50:59.429]  What's the evidence?
[00:51:00.570 --> 00:51:01.390]  My website,
[00:51:02.540 --> 00:51:04.841]  We're going back to the full audience.
[00:51:04.901 --> 00:51:05.422]  Here we go.
[00:51:38.598 --> 00:51:41.359]  Professor Masters wants you to go to his website.
[00:51:41.399 --> 00:51:49.141]  It's http://www.dartmouth.edu.
[00:51:49.402 --> 00:51:58.324]  It's much easier just to type in Roger D. Masters into Google and it's the top link that comes up.
[00:51:58.344 --> 00:51:59.585]  You can read his research papers.
[00:52:00.245 --> 00:52:01.386]  And so much more.
[00:52:01.406 --> 00:52:12.351]  I mean, this is a nightmarish compound that they just accidentally decided out of the Manhattan Project to put in our water supplies.
[00:52:12.411 --> 00:52:14.072]  It was all just an accident.
[00:52:14.532 --> 00:52:21.895]  And it accelerates absorbing heavy metals and other toxins, causes massive increases in the brain, being drug addicted to cocaine.
[00:52:22.115 --> 00:52:23.996]  He was just going all over the study numbers on that.
[00:52:24.497 --> 00:52:26.297]  Massive increases in violent crime.
[00:52:26.858 --> 00:52:29.199]  It's all just an accident, you know.
[00:52:29.779 --> 00:52:33.962]  Again, it's a complete accident that any of this is going on.
[00:52:34.762 --> 00:52:38.725]  And, of course I'm being sarcastic, but he just covers the scientific fact.
[00:52:39.025 --> 00:52:41.486]  Okay, you were plugging your website as we came out of the break.
[00:52:41.827 --> 00:52:44.408]  Why do folks need to go there, Professor Masters?
[00:52:45.929 --> 00:52:58.377]  I was going to say, the website, the way I usually say it is after the tilde R Masters slash, the letter is A-H-A-B-S slash.
[00:52:59.711 --> 00:53:00.574]  Uh, at the very end.
[00:53:00.594 --> 00:53:08.353]  So, if you have trouble getting me with, uh, something at the end, go back to the cutoff end until you get to the R Masters.
[00:53:14.432 --> 00:53:16.994]  I found with radio, you try to give out long addresses, it doesn't work.
[00:53:17.574 --> 00:53:23.677]  Folks need to Google, you know, Fluoride, Roger D. Masters, and they will, because I'm doing it here.
[00:53:23.717 --> 00:53:24.678]  I'm testing it on Google.
[00:53:25.118 --> 00:53:25.818]  It's all you.
[00:53:26.239 --> 00:53:28.140]  People can read the studies and see the information.
[00:53:28.660 --> 00:53:30.601]  I've got to get you back up for a part two.
[00:53:30.621 --> 00:53:31.642]  We really appreciate you
[00:53:32.162 --> 00:53:34.964]  I see more and more citizens who are concerned, and some people in the public area,
[00:53:58.884 --> 00:54:04.027]  But I think one of our problems is the way we talk about, they did this, they did that.
[00:54:04.847 --> 00:54:06.188]  They are human beings like us.
[00:54:07.149 --> 00:54:14.633]  I think it's only fair to say that most of the people in the public health sphere don't know much about the details of this research.
[00:54:14.653 --> 00:54:15.673]  It's not that wide.
[00:54:15.754 --> 00:54:18.755]  Yeah, they're compartmentalized.
[00:54:19.135 --> 00:54:27.360]  And if you are in the medical profession, you've always been taught that fluoridation is a very good public step.
[00:54:28.132 --> 00:54:32.355]  You've never heard of a difference between sodium fluoride and silico fluoride?
[00:54:32.375 --> 00:54:33.856]  You think that fluoride is putting fluorine?
[00:54:33.916 --> 00:54:41.220]  Nobody puts pure fluorine in the water, for a lot of technical reasons that my chemical colleague Mike Copeland would explain.
[00:54:42.020 --> 00:54:47.384]  But the key, he's told me, the key thing is that there's some new scientific evidence.
[00:54:48.364 --> 00:54:57.650]  We've published in journals like Neurotoxicology, which is the best journal in the world on how toxic chemicals harm the brain, published two papers in that.
[00:54:58.511 --> 00:55:02.418]  So it's not just a funny professor from the Ivy League.
[00:55:03.059 --> 00:55:04.902]  And if I'm wrong, I want to know I'm wrong.
[00:55:05.142 --> 00:55:12.414]  But I think the crucial thing is when in doubt, for anything, the farm's health, behavior,
[00:55:14.354 --> 00:55:22.820]  Yeah, I mean, if they, quote, haven't studied it, which is their official story, why put it in when all the evidence shows it's not good for you?
[00:55:23.060 --> 00:55:34.548]  But separately, they have studied different types of fluoride and what it does, and it calcifies bones, causes bone fractures, cancers radically shoot up in boys.
[00:55:35.188 --> 00:55:50.697]  I mean, you know, just like all these studies on cell phones, my God, frying the testicles, frying the breast, frying any fast-growing cells that have a lot of hormonal flux going on that are already, you know, leaning towards being places where you'll have a cancer problem.
[00:55:51.137 --> 00:55:55.980]  I mean, bottom line, Professor, they know what's going on at the top.
[00:55:56.300 --> 00:55:58.942]  You're right, people mid-level and different compartments don't.
[00:56:01.943 --> 00:56:05.845]  I mean, look how much trouble they go to to keep this stuff in the water.
[00:56:06.466 --> 00:56:07.687]  I guess it's because they love us?
[00:56:08.787 --> 00:56:14.191]  No, I think a lot of it is simply that people don't like to admit they made a mistake.
[00:56:15.371 --> 00:56:19.234]  That is, a lot of it is just people want to have the idea.
[00:56:20.094 --> 00:56:24.297]  You're in a bureaucracy, and a bureaucrat is a kind of territorial animal.
[00:56:24.877 --> 00:56:27.719]  He owns his desk, and you better not get near it.
[00:56:27.859 --> 00:56:30.981]  He's got a bunch of things, and he's in charge of that, and that's his stuff.
[00:56:31.980 --> 00:56:35.661]  Well, my experience in the Army is that... Cover your ass.
[00:56:36.141 --> 00:56:45.342]  Well, I think actually we ought to go back and have a good draft, because I think not only we've destroyed a military manpower, but it's a very good thing for people to discover.
[00:56:46.202 --> 00:56:49.143]  First of all, the country has to have people to protect them.
[00:56:49.363 --> 00:56:50.883]  Hold on, I'm going to skip this break, too.
[00:56:50.903 --> 00:56:54.284]  I'm going to do three more minutes with our guest for your listening on InfoWars.com.
[00:57:00.065 --> 00:57:00.405]  Okay.
[00:57:03.682 --> 00:57:06.483]  Professor, you're there, right?
[00:57:06.823 --> 00:57:07.604]  Yeah.
[00:57:07.644 --> 00:57:15.947]  Look, in closing, I want to get you back up on all these issues, but I wanted to talk to you about Leo Strauss, The End Justifies the Means.
[00:57:17.907 --> 00:57:20.949]  What do you think of the fruit of Leo Strauss and the neocons?
[00:57:22.129 --> 00:57:23.710]  Leo Strauss wasn't a neocon.
[00:57:24.790 --> 00:57:32.533]  He was a believer in the need to read a great writer in the past, a great writer like Plato,
[00:57:33.371 --> 00:57:35.152]  Trying to figure out what he was trying to say.
[00:57:35.272 --> 00:57:36.053]  Or Machiavelli.
[00:57:36.433 --> 00:57:37.154]  Or Machiavelli.
[00:57:37.954 --> 00:57:51.263]  And you have to figure out when you go to read Machiavelli, you have to realize that everything he says, on the surface of it, have some meaning that's a little subtle.
[00:57:51.783 --> 00:57:52.664]  That's not trivial.
[00:57:52.824 --> 00:57:57.687]  Machiavelli, the year before he wrote The Prince, he was tortured for a full year and in jail.
[00:57:58.655 --> 00:57:59.836]  Because there was a change of government.
[00:57:59.856 --> 00:58:00.957]  He's been a government official.
[00:58:01.738 --> 00:58:11.706]  It was a very rebellious thing to do, to put out a blueprint of the black nobility's tactics.
[00:58:11.726 --> 00:58:13.568]  He was letting out the trade secrets.
