[00:00:00.981 --> 00:00:01.781]  I've been warned.
[00:23:08.901 --> 00:23:13.563]  Yeah, I was interrupting you there when you were trying to make the point about, yeah, just committing fully and never stopping.
[00:23:14.423 --> 00:23:14.903]  That's right.
[00:23:15.563 --> 00:23:19.004]  And all you people out there, you've got to have the guts to do it.
[00:23:20.085 --> 00:23:24.186]  You have to have the guts when you tell people what's going on, and you get rejected.
[00:23:24.226 --> 00:23:26.626]  Just smile and say, that's okay, I'll be back.
[00:23:27.007 --> 00:23:28.387]  And you go on to the next person.
[00:23:29.133 --> 00:23:31.955]  All you have to do is convince one out of a hundred and we're winners.
[00:23:32.876 --> 00:23:34.097]  You gotta look at it that way.
[00:23:34.117 --> 00:23:39.542]  Yeah, I mean, I remember 15 years ago going around to city events and trying to just speak to people on the street when I first really woke up.
[00:23:39.922 --> 00:23:42.524]  Then I figured out I better get on the air, that's the way you're supposed to do this.
[00:23:43.385 --> 00:23:47.708]  But people would laugh at me and it would kind of hurt a little bit, but I was so desperate to warn them that I didn't mind it.
[00:23:48.109 --> 00:23:56.095]  Now, it actually makes me work harder and doesn't, I mean, my ego, I don't want to say it's shrunk, but it's more like I just don't care.
[00:23:56.115 --> 00:23:57.116]  It doesn't exist.
[00:23:58.157 --> 00:24:03.241]  Yeah, I mean, I'm so mission-oriented that it doesn't matter if a whole group of people are booing at me.
[00:24:03.281 --> 00:24:05.062]  I mean, I know I'm telling the truth and that's it.
[00:24:06.163 --> 00:24:06.684]  That's right.
[00:24:06.764 --> 00:24:08.345]  And that's the same attitude I have.
[00:24:08.785 --> 00:24:11.467]  And that's why at 73 years old I'm still doing this.
[00:24:11.807 --> 00:24:13.869]  And I will do it until I can't do it anymore.
[00:24:13.929 --> 00:24:14.550]  They have defeated.
[00:24:14.810 --> 00:24:15.971]  Let's go back to the full audience.
[00:24:16.011 --> 00:24:16.471]  Here we go.
[00:24:18.192 --> 00:24:21.355]  I hurt myself today.
[00:24:23.524 --> 00:24:50.821]  To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting Try to kill it
[00:24:52.160 --> 00:24:54.402]  All the way.
[00:24:54.702 --> 00:24:58.325]  But I remember everything.
[00:24:58.505 --> 00:25:03.709]  What have I become?
[00:25:06.891 --> 00:25:08.913]  My sweetest friend.
[00:25:11.695 --> 00:25:18.520]  Everyone I know goes away in the end.
[00:25:21.860 --> 00:25:27.144]  AJ and Mayne, you're on the air with Bob Chapman.
[00:25:27.164 --> 00:25:30.167]  Go ahead.
[00:25:30.427 --> 00:25:36.732]  Bob, with all your great insight there, Paul, all your hard work, I have a statement, a link, and a question.
[00:25:37.813 --> 00:25:44.458]  With all this talk of the crisis, you know, especially nuclear aspect of things, I really want to know what prevents any public awareness and
[00:25:47.003 --> 00:25:56.551]  Well, those were conditioning programs to make people think there was this big threat.
[00:25:56.571 --> 00:25:57.691]  It really didn't do any good.
[00:25:58.032 --> 00:26:09.281]  Kind of like anti-terror drills they have now is to create the illusion or SWAT teams freaking out on cardboard boxes to give us, or local police trained by the feds for IED removal.
[00:26:10.182 --> 00:26:13.885]  It's all about creating fear, but they've gotten rid of the civil
[00:26:14.545 --> 00:26:15.605]  Isn't that really important now?
[00:26:15.645 --> 00:26:17.266]  I heard a lot of World War III talk today on the show.
[00:26:17.326 --> 00:26:20.327]  Back then, isn't that really important to the American people nowadays to be informed?
[00:26:38.348 --> 00:26:41.829]  More of those type of programs after the attack on 9-11, you know?
[00:26:42.529 --> 00:26:47.751]  There's a really good layer... No, they don't want the people involved because it's a fake attack by the people running the government.
[00:26:48.031 --> 00:26:48.871]  But let me explain.
[00:26:48.911 --> 00:26:50.652]  You didn't hear World War III talk today.
[00:26:50.972 --> 00:26:54.253]  It's in all over the major Chinese papers, all over European papers.
[00:26:54.733 --> 00:27:01.635]  Rand Corporation saying they want to start World War III with Russia or China as a pretext for global domination, basically.
[00:27:03.618 --> 00:27:05.479]  Yeah, and I'm scared, you know?
[00:27:05.779 --> 00:27:06.219]  I'm scared.
[00:27:06.279 --> 00:27:09.321]  I'm trying to tell people about this stuff, you know?
[00:27:09.501 --> 00:27:10.261]  Well, I mean, listen!
[00:27:10.661 --> 00:27:15.584]  Our criminal government, two months ago, ran a sneak attack through Georgia on Russian troops.
[00:27:16.224 --> 00:27:21.426]  And Russia said, do it one more time, we're going to nuke all your forces in Europe, and then if you hit us, we're going to hit you.
[00:27:21.946 --> 00:27:27.049]  Because, you know, we've got less nukes than you, we've got to go ahead and have a total release on you.
[00:27:27.645 --> 00:27:29.906]  You think it has anything to do with the depopulation thing?
[00:27:29.946 --> 00:27:34.229]  You know, they want... No, listen, it's like Moonraker.
[00:27:34.549 --> 00:27:35.990]  They built their underground bases.
[00:27:36.871 --> 00:27:38.732]  Bob, chime in on all this.
[00:27:40.413 --> 00:27:49.738]  Well, I'm not as up to speed as you are on these underground bases, but the gentleman bringing up population control is important.
[00:27:50.239 --> 00:27:55.602]  It's part of the reason why they do what they do, having wars to do away with people.
[00:27:56.209 --> 00:28:06.214]  And to keep economies going and for people not to keep their eye on the financial and economic problems that exist not only now in the United States, but throughout the entire world.
[00:28:10.536 --> 00:28:11.556]  There's a link on YouTube.
[00:28:11.576 --> 00:28:19.340]  If you search We The Altar, there's a lot of links to, you know, fallout shelters and how to prepare yourself for all this, you know, and I think it's pretty informative if you just search for that.
[00:28:19.380 --> 00:28:24.502]  So I just wanted to add that, you know, I just think it's crazy that we're not preparing for that, you know.
[00:28:25.663 --> 00:28:34.289]  Well, Alex ties all this together in his broadcasts, and his staff does too in their releases, and we do the best we can in our limited way.
[00:28:34.329 --> 00:28:41.313]  We're kind of a two-horse operation, and we just do what we can do.
[00:28:42.494 --> 00:28:48.859]  Thank you for all you've done, and you get a lot of great insight, Bob, and you're pretty intelligent, so thanks.
[00:28:48.939 --> 00:28:49.399]  I just wanted to
[00:28:50.491 --> 00:28:51.051]  Thank you.
[00:28:51.331 --> 00:28:51.991]  Well, thank you.
[00:28:52.171 --> 00:28:52.611]  Thank you.
[00:28:52.731 --> 00:29:07.454]  In the story up on PrisonPlanet.com about the Pentagon looking into starting World War III, there's a link here to the Air Force Times from January of this year talking about similar things.
[00:29:07.514 --> 00:29:12.015]  So, we know they've been wargaming all of this out, but this isn't a hypothetical scenario.
[00:29:12.595 --> 00:29:16.776]  They're saying, let's go ahead and start a war to maintain our power.
[00:29:19.349 --> 00:29:21.072]  Let's go ahead and take another call.
[00:29:21.593 --> 00:29:24.638]  Bob, if you've got to go, I'll let you go, but I'm really enjoying taking these calls.
[00:29:24.658 --> 00:29:25.820]  You want to stay one more segment?
[00:29:26.762 --> 00:29:27.703]  Sure, I'll do it.
[00:29:28.144 --> 00:29:29.226]  Alright, folks.
[00:29:30.043 --> 00:29:30.924]  And then I've got another guest.
[00:29:31.004 --> 00:29:38.048]  If you can still come on, I'm going to get this local guy on who's fighting the warrantless blood-sucking checkpoints where they take your blood.
[00:29:38.749 --> 00:29:40.410]  So that's coming up, too.
[00:29:40.970 --> 00:29:41.770]  This is a big story.
[00:29:41.871 --> 00:29:43.992]  Rand lobbies Pentagon start war to save U.S.
[00:29:44.032 --> 00:29:44.492]  economy.
[00:29:45.053 --> 00:29:48.375]  Shocking proposal urges military leaders to attack major foreign power.
[00:29:48.935 --> 00:29:52.397]  PrisonPlanet.com by Paul Watson and Yihan Dai.
[00:29:52.778 --> 00:29:53.298]  Stay with us.
[00:29:55.393 --> 00:29:56.294]  We're on the march.
[00:29:56.774 --> 00:29:58.356]  The Empire's on the run.
[00:29:58.376 --> 00:30:02.039]  I'm gonna go ahead and skip this before I can talk to Bob real fast.
[00:30:02.319 --> 00:30:02.900]  Still going, yeah?
[00:30:03.580 --> 00:30:04.101]  Hey, Bob?
[00:30:05.021 --> 00:30:05.942]  Yes, yes, Alex.
[00:30:06.262 --> 00:30:08.424]  We're gonna come back and plug your newsletter and stuff, too.
[00:30:08.444 --> 00:30:09.785]  That's okay.
[00:30:09.946 --> 00:30:12.408]  I'll make sure you have that toll-free number for folks that want to get a free copy.
[00:30:12.488 --> 00:30:13.669]  Yeah, I have it right in front of me.
[00:30:13.749 --> 00:30:17.032]  And, you know, Ted's always anxious about that.
[00:30:18.157 --> 00:30:21.499]  Yeah, Ted loves getting those... He gets a lot of leads from that.
[00:30:21.559 --> 00:30:22.200]  Yeah, that's great.
[00:30:22.300 --> 00:30:23.080]  That's fantastic.
[00:30:23.420 --> 00:30:25.081]  Yeah, we do too, of course.
[00:30:25.322 --> 00:30:26.923]  Yeah, well it's good to get the word out to the people.
[00:30:26.963 --> 00:30:28.083]  I notice gold's back up.
[00:30:28.123 --> 00:30:29.825]  We're still streaming over the web right now.
[00:30:29.885 --> 00:30:37.690]  Maybe for a few minutes we could, just for folks out there, talk about what's happening, Bob, with gold.
[00:30:38.850 --> 00:30:42.613]  That'd be a great idea because we really haven't touched any of that stuff today.
[00:30:43.033 --> 00:30:47.636]  We could do it briefly, just take two or three minutes, where I think things are going.
[00:30:48.460 --> 00:31:02.785]  And the fact that, you know, we got blindsided on this downside in gold and silver and commodities and didn't realize how bad or how extended the hedge funds were at 30 to 200 to 1.
[00:31:05.586 --> 00:31:06.747]  God knows what's going to happen.
[00:31:07.027 --> 00:31:10.568]  Yeah, and then we'll just talk to George, Fred, Ruth and Robert and let you go.
[00:31:10.688 --> 00:31:17.911]  And then, John, did you talk to that John Bush guy about getting him to pop in for the last 10 minutes?
[00:31:18.757 --> 00:31:19.037]  Yes.
[00:31:19.297 --> 00:31:20.877]  You want him on at the 50 after?
[00:31:21.237 --> 00:31:22.738]  Yeah, and I have his bio here.
[00:31:22.878 --> 00:31:23.578]  Oh, here it is.
[00:31:24.058 --> 00:31:24.978]  Yeah, for folks to get out.
[00:31:24.998 --> 00:31:27.059]  But this is nationwide, so people everywhere need to know.
[00:31:27.099 --> 00:31:30.039]  They're federal funds that run these checkpoints to take your blood.
[00:31:30.399 --> 00:31:31.899]  So we'll cover that too when we get back.
[00:31:31.959 --> 00:31:45.162]  Again, Bob, what I'm doing with these breaks is we're not on the AM and FM, shortwave or satellite, but on my huge internet audience and PrisonPlanet.tv viewing audience, we skip a lot of these breaks here and just give the viewers kind of the behind the scenes as we have these discussions.
[00:31:46.042 --> 00:31:50.864]  Incidentally, we pick up a lot of your stuff and put it as links in the Quarcaster.
[00:31:51.464 --> 00:31:52.904]  I've seen that, and we appreciate that.
[00:31:52.924 --> 00:31:53.664]  We appreciate that.
[00:31:53.684 --> 00:31:55.925]  Yeah, well, listen, hey, that's the least I can do.
[00:31:56.905 --> 00:32:01.167]  And, you know, I don't take them all, but the ones I really like, I put in there.
[00:32:01.207 --> 00:32:04.568]  And, of course, that one that Paul's doing today will be in there.
[00:32:05.648 --> 00:32:06.888]  It's already up, right?
[00:32:07.208 --> 00:32:07.589]  Yes, sir.
[00:32:08.249 --> 00:32:10.129]  Yeah, well, Judy, my wife will pick it up.
[00:32:10.449 --> 00:32:13.510]  Randy Rand lobbies Pentagon.
[00:32:13.550 --> 00:32:14.811]  Start war to save U.S.
[00:32:14.851 --> 00:32:15.271]  economy.
[00:32:17.893 --> 00:32:19.875]  I still like to know the source on that.
[00:32:20.296 --> 00:32:21.758]  How they got the information.
[00:32:21.778 --> 00:32:25.202]  You see, somebody on the inside tattled on them.
[00:32:25.883 --> 00:32:26.865]  They don't want it to happen.
[00:32:28.120 --> 00:32:28.880]  No, no, absolutely.
[00:32:28.900 --> 00:32:32.903]  That's like three months ago when Cheney wanted to have Navy SEALs stage attacks on U.S.
[00:32:32.943 --> 00:32:34.084]  ships in the Strait of Hormuz.
[00:32:34.684 --> 00:32:44.630]  The White House leaked that, and that was confirmed to be, MSNBC reported on it, and so did, well, the first person to break it was Cy Hirsch, Seymour Hirsch.
[00:32:44.670 --> 00:32:48.032]  White House sources, we wouldn't give the source out, but you know if Hirsch is reporting it, it's accurate.
[00:32:48.712 --> 00:32:51.454]  And so what the guy said to another lady,
[00:32:52.341 --> 00:32:53.902]  Was, look, these people are nuts.
[00:32:53.982 --> 00:32:54.943]  I don't want this to happen.
[00:32:54.983 --> 00:32:55.644]  Here's the story.
[00:32:55.704 --> 00:32:56.685]  Break it, and they can't do it.
[00:32:56.925 --> 00:32:59.667]  Yeah, well, it's in a bunch of European papers.
[00:32:59.767 --> 00:33:01.028]  French dailies are reporting it.
[00:33:01.589 --> 00:33:05.932]  And the Chinese national newspapers and stuff are all freaking out over it.
[00:33:05.952 --> 00:33:12.557]  We'll go into the European stuff, because we do Spanish, Italian, French, and German.
[00:33:12.578 --> 00:33:13.278]  All right, here we go.
[00:33:13.398 --> 00:33:13.678]  Here we go.
[00:33:20.626 --> 00:33:26.329]  Well, we had Jesse Ventura on again today, got into a bunch of issues like martial law and things we haven't covered yet with him.
[00:33:26.349 --> 00:33:33.112]  That'll be re-airing on the internet only and on the MNFMs across the country as they re-air those, but on the web at InfoWars.com.
[00:33:33.132 --> 00:33:34.873]  The show ends here in about 27 minutes.
[00:33:35.613 --> 00:33:40.896]  I want to jam in George, Fred, Ruth, Robert, and Billy because Bob's got to go here soon.
[00:33:40.936 --> 00:33:43.877]  I wanted to get his take on the bottom for golds.
[00:33:43.897 --> 00:33:46.438]  It must have been hit because it's going back up in the last four days.
[00:33:47.099 --> 00:33:49.560]  But real fast, George and PA, you're on the air.
[00:33:51.508 --> 00:33:52.048]  Hello, Bob.
[00:33:52.088 --> 00:33:53.029]  Thank you for your newsletter.
[00:33:53.049 --> 00:33:54.850]  I was just trying to skim through the latest one.
[00:33:55.370 --> 00:34:00.133]  And I just wondered, do you have one place where you have your current recommendations?
[00:34:01.934 --> 00:34:04.956]  Yes, we have it in the newsletter once a month.
[00:34:05.837 --> 00:34:12.520]  And anything that we see changes in, we'll include it in one of the issues or have a special.
[00:34:13.581 --> 00:34:15.462]  And I haven't made many changes.
[00:34:15.482 --> 00:34:18.384]  You know, we're long gold and silver related assets.
[00:34:19.259 --> 00:34:24.142]  We're also low along Swiss franc government bonds, and we're short a host of companies.
[00:34:24.602 --> 00:34:29.364]  In fact, I'm watching one of them right now called Goldman Sachs, and we recommended the short.
[00:34:29.444 --> 00:34:36.107]  Now, this is betting it's going to go down at $190, and it's trading under $100 right now, and I love it!
[00:34:37.468 --> 00:34:39.609]  You'd go short on that again at this point?
[00:34:40.789 --> 00:34:42.450]  Once it goes through $86, $88 to the downside, it's gone.
[00:34:46.750 --> 00:34:49.072]  And we just saw that to happen to others.
[00:34:49.092 --> 00:34:51.214]  They're in serious trouble, like everybody else is.
[00:34:51.594 --> 00:34:53.456]  They get greedy and did what they shouldn't have done.
[00:34:53.596 --> 00:34:56.779]  And that's why they want to start World War III to cover it up, or failing forward.
[00:34:56.799 --> 00:34:57.639]  Exactly, Alex.
[00:34:57.759 --> 00:34:58.340]  Exactly.
[00:34:58.740 --> 00:35:04.045]  It seems to me like the government's trying to inflate their way out by printing a bunch of money way out of their debt.
[00:35:04.305 --> 00:35:09.930]  Are you going to go short on other fixed income things, like utility companies and such?
[00:35:10.090 --> 00:35:14.093]  I haven't decided that as yet, but I do think that the market is going lower.
[00:35:15.302 --> 00:35:22.568]  An election rally here, and also an opportunity to make a lot of money for the people who created this rally.
[00:35:22.588 --> 00:35:23.849]  That's what you said two weeks ago.
[00:35:23.889 --> 00:35:30.674]  You said it would run back up to 9,500, maybe even 10,000, and then it's going to race back down and maybe even bump again.
[00:35:30.714 --> 00:35:32.595]  But when are you saying it's really going to tank?
[00:35:34.316 --> 00:35:38.420]  After the election, early next year, it'll get out and test 7,268 on the Dow.
[00:35:40.949 --> 00:35:43.892]  Would you get out of the market right now that it did rally up to $9,000?
[00:35:43.972 --> 00:35:45.274]  Oh, absolutely.
[00:35:46.014 --> 00:35:47.296]  General stocks, yes.
[00:35:47.816 --> 00:35:49.037]  Not gold and silver stocks.
[00:35:49.418 --> 00:36:01.009]  As a matter of fact, my favorite stock is Agnico Eagle, and I see this evening at 6 o'clock Eastern Time that Shawn Boyd from Agnico Eagle is going to be on the Mad Kramer Show.
[00:36:01.759 --> 00:36:03.581]  That should be very informative for you people.
[00:36:03.621 --> 00:36:05.762]  He's just a wonderful person.
[00:36:05.863 --> 00:36:06.523]  I've got to jump.
[00:36:06.583 --> 00:36:08.184]  George and P.A., thank you.
[00:36:08.505 --> 00:36:10.486]  Fred and Philly, you're on the air with Bob Chapman.
[00:36:11.207 --> 00:36:13.228]  Okay, I have a question, Bob.
[00:36:16.571 --> 00:36:22.336]  The Lehman Brothers bankruptcy, $639 billion bankruptcy that was declared.
[00:36:23.577 --> 00:36:31.043]  People lost money that were debtors, and I don't understand how that was
[00:36:33.380 --> 00:36:40.262]  A hundred times bigger than the world, than the Enron stated figure for their bankruptcy of $6 billion.
[00:36:41.122 --> 00:36:45.063]  Okay, what they were doing was running a bookmaking operation.
[00:36:45.463 --> 00:36:47.663]  And that's really what the stock market is all about.
[00:36:47.723 --> 00:36:49.463]  I spent 28 years on Wall Street.
[00:36:50.204 --> 00:36:53.304]  And so it's a high-level bookmaking operation.
[00:36:53.884 --> 00:36:57.405]  And what they were doing is they were naked writing derivatives.
[00:36:58.516 --> 00:37:00.338]  And I can't go into what derivatives are.
[00:37:00.358 --> 00:37:02.780]  That means no money-backing and just made-up crap.
[00:37:03.761 --> 00:37:04.321]  Exactly.
[00:37:04.901 --> 00:37:06.523]  And they got caught with their pants down.
[00:37:07.283 --> 00:37:16.251]  And it swept through not only Lehman Brothers, but a host of other firms and banks and financial institutions throughout the world.
[00:37:16.731 --> 00:37:24.578]  And that's why, when they went to settle the derivatives, which was three or four weeks late, they wouldn't tell you what went on.
[00:37:25.009 --> 00:37:25.049]  No.
[00:37:25.069 --> 00:37:25.849]  Because the U.S.
[00:37:25.890 --> 00:37:32.633]  government stepped in and lent the money to whomever were the writers to settle the issues.
[00:37:33.593 --> 00:37:35.695]  And they're doing all this stuff behind the scenes.
[00:37:35.775 --> 00:37:37.515]  Yeah, that's why everything's blacked out.
[00:37:38.176 --> 00:37:40.257]  They're just giving each other billions of dollars.
[00:37:40.337 --> 00:37:42.638]  I mean, they're just stealing everything.
[00:37:43.018 --> 00:37:53.043]  Alex, I just want to, and Bob, I just want to say that I have, I don't have it in front of me, but I have a reference book that talks about the establishment of hedge funds as early as 1948.
[00:37:55.135 --> 00:37:58.978]  And now they're going to pay it all off through hyperinflating the currency.
[00:38:15.570 --> 00:38:16.330]  That's right.
[00:38:16.350 --> 00:38:23.712]  You have the real government, the real economy, guarded by men in black uniforms who do whatever the hell they want, and you've got all of us down here, the schmuck slaves.
[00:38:23.732 --> 00:38:24.432]  That's got to change.
[00:38:24.972 --> 00:38:26.832]  Alright, Ruth in North Carolina, you're on the air.
[00:38:26.852 --> 00:38:27.432]  Go ahead, Ruth.
[00:38:29.493 --> 00:38:30.253]  Yes, Alex.
[00:38:30.793 --> 00:38:32.513]  I've got a big complaint.
[00:38:33.314 --> 00:38:39.235]  For three weeks, I have not been able to hear your program, 12160 in the afternoon.
[00:38:39.395 --> 00:38:40.795]  It's just horrible.
[00:38:45.618 --> 00:38:54.182]  And then when it's repeated at night, I can occasionally hear part of it, but never all of it.
[00:38:54.542 --> 00:38:57.464]  You need to check with WWCR.
[00:38:57.484 --> 00:38:58.324]  Well, have you called them?
[00:38:58.404 --> 00:39:00.906]  I mean, look, look, those are the best frequencies they're giving us.
[00:39:01.646 --> 00:39:03.827]  I've called them a dozen times.
[00:39:05.268 --> 00:39:10.410]  And anyway, the program before you on 5070 is perfectly great.
[00:39:10.450 --> 00:39:11.231]  No, I know, I know.
[00:39:11.691 --> 00:39:14.032]  I can't ever get anybody
[00:39:14.882 --> 00:39:16.663]  On 1-2-1-6-0.
[00:39:17.183 --> 00:39:20.145]  And they give me stupid answers.
[00:39:20.365 --> 00:39:21.206]  Where are you again?
[00:39:21.626 --> 00:39:24.007]  I'm in southeastern North Carolina.
[00:39:24.027 --> 00:39:26.288]  Well, that's also because you're so close to Tennessee.
[00:39:26.308 --> 00:39:28.229]  No, wait a minute.
[00:39:28.269 --> 00:39:32.672]  Through the years, I've been hearing those frequencies wonderfully.
[00:39:33.372 --> 00:39:38.495]  And now all of a sudden, in the past, about the past three weeks, it's just gone to pot.
[00:39:38.555 --> 00:39:40.436]  No, I know, but a lot of it, it's atmospherics.
[00:39:41.336 --> 00:39:42.337]  I don't know why.
[00:39:42.357 --> 00:39:43.758]  And the sun is dead right now.
[00:39:44.693 --> 00:39:51.196]  The sun, in the 300 years they've been recording it, over 100 with devices, is the coolest it's ever been.
[00:39:51.216 --> 00:39:59.799]  And so those solar flares do weird things, where you might hear an AM from China sometimes over here, or you might be able to hear shortwave great somewhere and then not hear it great.
[00:40:00.160 --> 00:40:01.400]  Now, there has been jamming.
[00:40:01.420 --> 00:40:03.961]  You know, usually when our website goes down, everybody says, we've been hacked.
[00:40:04.521 --> 00:40:05.462]  Most of the time, it's not that.
[00:40:05.502 --> 00:40:06.442]  We have been hacked before.
[00:40:06.702 --> 00:40:08.263]  But nine times out of ten, it's not.
[00:40:08.783 --> 00:40:09.343]  We have.
[00:40:09.824 --> 00:40:12.845]  People have recorded it, where one show is clear, and then my show comes on and it goes
[00:40:13.445 --> 00:40:14.927]  Or they put a tone over it.
[00:40:15.567 --> 00:40:18.951]  And we know that's been happening on the WWCR.
[00:40:19.511 --> 00:40:22.294]  And I guess I could just quit being on there if that's what folks want.
[00:40:22.314 --> 00:40:26.618]  I mean, I don't have the money to go lease other shortwave stations.
[00:40:26.658 --> 00:40:27.359]  I just can't do it.
[00:40:27.419 --> 00:40:28.560]  So, I'm sorry.
[00:40:29.461 --> 00:40:30.983]  Have you ever thought about buying a computer?
[00:40:32.273 --> 00:40:34.294]  I'm too old to bother with one.
[00:40:34.334 --> 00:40:36.034]  I'm 81 years old.
[00:40:37.374 --> 00:40:38.615]  You're a sweetheart to tune in.
[00:40:38.935 --> 00:40:47.257]  You know, we need somebody in your area to get us an Amorath affiliate or somebody with the internet to hook it up to a micro, you know, 100 water and broadcast to the whole town.
[00:40:47.317 --> 00:40:49.198]  I mean, stuff's so bad now, the lawless government.
[00:40:49.218 --> 00:40:50.478]  I'm all for micro FM.
[00:40:51.578 --> 00:40:52.459]  Well, I'm too old.
[00:40:52.479 --> 00:40:54.539]  Oh, ma'am, ma'am, I have a way for you to listen every day.
[00:40:54.559 --> 00:40:56.520]  Do you have long distance?
[00:40:57.705 --> 00:40:57.965]  Oh yes.
[00:40:58.105 --> 00:40:59.666]  Do you have unlimited long distance?
[00:41:00.086 --> 00:41:01.987]  No, I just have a regular telephone.
[00:41:02.027 --> 00:41:05.189]  Well listen, a lot of old folks don't know that long distance has gotten a lot cheaper.
[00:41:05.209 --> 00:41:08.491]  I've seen exposes on this where you're still paying 1980s prices.
[00:41:08.911 --> 00:41:14.134]  You can get long distance for like 4 cents a minute or unlimited long distance.
[00:41:14.154 --> 00:41:14.735]  Unlimited?
[00:41:14.915 --> 00:41:17.176]  You know, Vonage is a good example.
[00:41:17.216 --> 00:41:23.982]  Yeah, and ma'am, what happens is you just call Vonage or another company, they come put it in, and then you have unlimited, and it's like $50 for the phone, okay?
[00:41:24.422 --> 00:41:26.183]  And that's just making a phone call.
[00:41:26.464 --> 00:41:29.446]  Let me give you a number, okay?
[00:41:29.466 --> 00:41:33.789]  And if you can pay to call, because we can't pay for toll-free, this cost me $2,000 a month just to do this with 180 lines.
[00:41:33.810 --> 00:41:33.850]  512-646-5000.
[00:41:33.870 --> 00:41:33.910]  512-646-5000.
[00:41:33.950 --> 00:41:35.311]  We put in 188 lines, is it?
[00:41:44.538 --> 00:41:47.160]  188 lines for people to listen free.
[00:41:47.680 --> 00:41:50.061]  Now, I'm paying to put this out, but I can't pay for toll free.
[00:41:50.101 --> 00:41:52.863]  I'm going to have to pay for your call, but I'm paying for you to be able to call it.
[00:41:52.883 --> 00:41:54.164]  It cost me $2,000 a month.
[00:41:55.004 --> 00:41:55.785]  Did you get that number?
[00:41:55.805 --> 00:41:56.325]  512-686-5000.
[00:41:56.345 --> 00:41:56.465]  No, 512-646-5000.
[00:41:56.485 --> 00:41:56.525]  512-646-5000.
[00:42:09.212 --> 00:42:13.413]  Well, I wish you would call them, see if you can do anything with them.
[00:42:13.433 --> 00:42:14.613]  Yeah, there's nothing I can do.
[00:42:14.693 --> 00:42:15.954]  There's nothing I can do but drop it.
[00:42:17.514 --> 00:42:17.974]  I hear you.
[00:42:17.994 --> 00:42:19.335]  Well, I just gave you a number to call.
[00:42:20.335 --> 00:42:21.655]  Thank you, Ruth.
[00:42:21.695 --> 00:42:22.216]  I'm sorry.
[00:42:22.236 --> 00:42:24.516]  I mean, you know, they're shutting the web down, too.
[00:42:24.556 --> 00:42:26.017]  Got big articles about that up there.
[00:42:26.077 --> 00:42:29.017]  I mean, play the first 30 seconds of Australian TV.
[00:42:29.437 --> 00:42:29.918]  Play it, John.
[00:42:29.958 --> 00:42:30.858]  This is yesterday.
[00:42:33.118 --> 00:42:38.640]  And Senator Xenophon, who has an anti-gambling agenda, has said that he wants the system used to block out...
[00:42:39.528 --> 00:42:45.549]  But first, making news this morning, the federal government will make internet censorship compulsory for all Australians.
[00:42:45.829 --> 00:42:56.651]  The Daily Telegraph says controversial websites on euthanasia and anorexia could be banned, and that would put our level of net censorship alongside places like China, Cuba, Iran and North Korea.
[00:42:56.971 --> 00:43:00.412]  A poll on Sunrise this morning asked, should the government censor the internet?
[00:43:00.852 --> 00:43:04.712]  Now, 20% said yes, a whopping 80% said no.
[00:43:05.052 --> 00:43:07.533]  Dale Claperton is from Electronic Frontiers Australia.
[00:43:07.553 --> 00:43:08.133]  Alright, that's enough.
[00:43:08.533 --> 00:43:17.239]  Point is, the same hubs to censor the web, and put it in the US, put it in England, put it in Canada, put it in New Zealand, put it in Europe, and they're turning them on.
[00:43:17.259 --> 00:43:18.820]  That's only one way they're censoring.
[00:43:19.961 --> 00:43:22.643]  Already, if you're on Time Warner Cable, you go through their hub.
[00:43:22.663 --> 00:43:25.025]  If you do a wrong URL, you'll be on their site, you'll notice.
[00:43:25.825 --> 00:43:26.426]  It's all here.
[00:43:26.866 --> 00:43:28.127]  I mean, Bob, they're not playing games.
[00:43:28.167 --> 00:43:30.369]  If they start World War III, we're off the air.
[00:43:30.989 --> 00:43:32.550]  Yeah, I mean, that's it.
[00:43:32.690 --> 00:43:33.050]  Bye-bye.
[00:43:33.070 --> 00:43:34.031]  You won't hear Alex anymore.
[00:43:35.872 --> 00:43:37.053]  You want to explain that to them, Bob?
[00:43:37.073 --> 00:43:37.874]  This is the real world?
[00:43:39.520 --> 00:43:45.442]  They do what they want to do, and they don't care, and they're arrogant, and they're going for the whole thing.
[00:43:46.422 --> 00:43:49.443]  And as far as I'm concerned, nothing's going to stop them.
[00:43:50.123 --> 00:43:52.584]  And sooner or later, they will take us down off the internet.
[00:43:54.264 --> 00:43:56.485]  Yeah, folks, you'd better appreciate it while it's here.
[00:43:56.505 --> 00:44:04.928]  I don't know if we've got weeks, months, or years, but they are openly announcing 20, 30 different ways, but 10 main ways.
[00:44:05.328 --> 00:44:07.588]  We've done articles on it, but a whole group of things.
[00:44:07.608 --> 00:44:08.789]  They're attacking it right now.
[00:44:09.694 --> 00:44:10.174]  Oh, I don't know.
[00:44:10.194 --> 00:44:10.714]  Oh, my God.
[00:44:12.355 --> 00:44:13.555]  Robert in California.
[00:44:13.615 --> 00:44:14.516]  Robert, you're on the air.
[00:44:16.276 --> 00:44:16.576]  Hello?
[00:44:17.137 --> 00:44:17.657]  Yes, Robert.
[00:44:19.277 --> 00:44:23.219]  Yeah, actually, Alex, thanks for waking me up to all this.
[00:44:23.279 --> 00:44:25.740]  I've been listening to you for about two years now.
