[00:00:00.535 --> 00:00:01.095]  Try Bundle.
[00:26:25.084 --> 00:26:25.224]  Call 877-817-9829.
[00:26:25.244 --> 00:26:25.904]  That's 877-817-9829 to order.
[00:26:25.924 --> 00:26:27.645]  Only $249 plus shipping and handling and we'll ship
[00:26:34.650 --> 00:26:34.870]  I think so.
[00:27:05.928 --> 00:27:20.217]  You know, we asked Ross Ball to run more than a year ago, against overwhelming odds.
[00:27:29.560 --> 00:27:30.200]  He did run.
[00:27:30.220 --> 00:27:31.561]  He's put up an amazing fight.
[00:27:32.021 --> 00:27:42.445]  He's going to fight on in the primaries for ideas to inject real issues into the debate to show how the Republicans and Democrats are lockstep behind their globalist corporate masters.
[00:27:44.005 --> 00:27:53.468]  He needs to fend his congressional seat from right here in Texas as well so that he can represent the tens of millions of people that have woken up into the political process.
[00:27:56.850 --> 00:27:57.770]  That's the bottom line.
[00:28:00.649 --> 00:28:08.992]  Now I'm going to take a bunch of your calls and I'm going to get back into the basic analysis of what Ron Paul has done, what he has announced, and the facts.
[00:28:09.893 --> 00:28:12.994]  There is going to be no broker convention with Ron Paul.
[00:28:13.634 --> 00:28:14.634]  He said that himself.
[00:28:15.775 --> 00:28:27.559]  Then the only avenue he had left, he's got 50 delegates or less, and McCain's got 800 and something, he only needs to get 1100 and something.
[00:28:28.200 --> 00:28:29.320]  Go look at the numbers for yourself.
[00:28:30.678 --> 00:28:31.058]  Okay?
[00:28:31.418 --> 00:28:37.059]  So if he isn't going to run third party, then very soon he'll be out of this race.
[00:28:37.119 --> 00:28:40.400]  But he intends to stay in it all the way to the convention so he can be part of the convention.
[00:28:41.280 --> 00:28:42.440]  And that's fine and dandy.
[00:28:44.140 --> 00:28:45.601]  But we're just reporting the facts here.
[00:28:45.981 --> 00:28:50.802]  And frankly, the New York Times is reporting the facts when they say Paul concedes race, sort of.
[00:28:51.442 --> 00:28:55.443]  That's what every other political analyst that looked at this came away from it with.
[00:28:55.503 --> 00:28:56.163]  In fact, you know what?
[00:28:56.863 --> 00:28:58.003]  I know we got loaded phone lines.
[00:28:58.516 --> 00:29:03.217]  And I'm going to go to everybody, but let me just go ahead and read this article now, or should I get to it after I take calls?
[00:29:04.298 --> 00:29:08.419]  Because I think the article that Paul Watson and I wrote yesterday breaks it down best.
[00:29:08.439 --> 00:29:11.700]  Yeah, let me just do that now, instead of keeping people hanging there.
[00:29:12.220 --> 00:29:15.301]  Why has Ron Paul all but suspended his presidential campaign?
[00:29:15.801 --> 00:29:20.343]  Congressman makes a shrewd decision to safeguard amazing progress made by retaining congressional seat.
[00:29:21.163 --> 00:29:24.584]  So we need to be talking now about how to keep the Ron Paul revolution
[00:29:25.214 --> 00:29:34.481]  The thousands of meet-up groups, the hundreds of thousands of people that are in them, all the MySpace accounts, all the organizations, the grassroots, the record fundraising mechanisms.
[00:29:34.521 --> 00:29:35.722]  How do we keep that going?
[00:29:36.402 --> 00:29:40.725]  How do we continue and take this huge grassroots movement and fight the North American Union with it?
[00:29:41.906 --> 00:29:52.394]  Congressman Ron Paul's decision to essentially suspend his presidential campaign and focus instead on safeguarding his congressional seat will confuse and disappoint many of his supporters, while delighting establishment media debunkers.
[00:29:53.260 --> 00:29:59.883]  But the truth of how far we have progressed and the reality of the battles that lie ahead show that the campaign has made a shrewd decision.
[00:30:00.404 --> 00:30:08.268]  After months of media censorship, smear attacks, and dirty tricks, and no doubt election fraud I would add, Ron Paul was essentially left with four choices.
[00:30:09.908 --> 00:30:17.632]  One, drop out of the Republican race altogether and allow the establishment to claim a hollow victory while disappointing his legions of supporters.
[00:30:17.912 --> 00:30:18.913]  This was never going to happen.
[00:30:19.429 --> 00:30:25.670]  Drop out, now this is two, drop out of the Republican race and run as a third-party candidate up against Hillary and McCain.
[00:30:26.350 --> 00:30:32.912]  Paul would have a 20-30 percent chance of success but would have immediately endangered his congressional seat.
[00:30:34.872 --> 00:30:42.314]  Seek to, this is number three, seek to capitalize on a broker convention should the Republicans' conservative base move against the left-leaning McCain.
[00:30:42.954 --> 00:30:48.535]  This was always a remote option because to have any chances of success Paul would have to have had
[00:30:49.056 --> 00:30:53.739]  to have been trailing McCain by just a few percentage points in primary results, which is not the case.
[00:30:54.499 --> 00:30:56.220]  This is number four in what he decided to do.
[00:30:56.901 --> 00:31:10.288]  Stay in the presidential race in the hope that a scandal would cripple McCain and leave Paul going head-to-head with Huckabee, but essentially shift all campaigning efforts to focus on his congressional seat, which is now under great threat.
[00:31:10.909 --> 00:31:11.569]  And that's what he did.
[00:31:11.629 --> 00:31:13.130]  And something may still happen.
[00:31:13.390 --> 00:31:14.831]  But looking at these four options,
[00:31:16.033 --> 00:31:19.135]  I have to tell you, it is the safest direction and he is gone.
[00:31:21.497 --> 00:31:27.381]  A rearguard action in Texas, where the party machinery and the media are going after him big time, and I live here and they are.
[00:31:27.881 --> 00:31:28.382]  Let me tell you.
[00:31:30.023 --> 00:31:43.592]  While continuing to make sure that real issues of anti-war, pro, you know, the majority of the troops, he got more campaign contributions from the troops than, and from veterans than all the Republican candidates combined.
[00:31:46.581 --> 00:31:47.361]  This is amazing!
[00:31:49.183 --> 00:31:58.028]  So he needs to stay in there, and he is staying in there, to continue educating and to continue making sure that constitutional ideals are injected.
[00:32:00.229 --> 00:32:08.374]  But if he did a third party, he would have a slight chance, some chance, to stay in it presidentially, but he would probably lose his congressional seat.
[00:32:08.635 --> 00:32:10.356]  Now I ask you, what should Ron Paul do?
[00:32:11.416 --> 00:32:13.938]  Paul rightfully picked the fourth option and is going
[00:32:14.679 --> 00:32:23.548]  And in doing so has adopted a rear-guard stance to safeguard the influence he has already accrued as a result of appearing in the debates on the campaign trail.
[00:32:23.948 --> 00:32:33.258]  Should he retain his seat, Paul will return to Congress with the backing of a gigantic grassroots following, the likes of which has not been enjoyed by any other politician in recent times.
[00:32:33.798 --> 00:32:38.563]  The congressman summed it up in a passage of his press release last night.
[00:32:39.187 --> 00:32:40.388]  I also have another priority.
[00:32:40.508 --> 00:32:43.150]  I have constituents in my home district that I must serve.
[00:32:43.611 --> 00:32:45.152]  I cannot and will not let them down.
[00:32:45.432 --> 00:32:47.494]  And I have another battle I must face here as well.
[00:32:48.295 --> 00:32:55.921]  If I were to lose the primary for my congressional seat, all our opponents would react with glee and pretend it was a rejection of our ideas.
[00:32:56.341 --> 00:32:58.043]  I cannot and will not let that happen.
[00:33:00.037 --> 00:33:02.218]  And the article continues on from there.
[00:33:02.278 --> 00:33:03.239]  Let me just read the rest of it.
[00:33:03.559 --> 00:33:15.426]  Paul's Texas District 14 congressional seat is being challenged by pro-war neocon Chris Peden, who deceived the congressman by going back on his word that he would not run against Paul during the presidential race.
[00:33:15.987 --> 00:33:22.272]  The Paul campaign have evaluated the circumstances and the consequences of losing the congressional seat, and have responded accordingly.
[00:33:22.772 --> 00:33:35.221]  In shifting the focus of his campaign, Paul will still be able to use the millions raised in his name to hold his district, and he will still appear in national debates to educate people about the real power structure that seeks to control and dominate us.
[00:33:35.621 --> 00:33:38.904]  Undoubtedly, a certain portion of Ron Paul supporters will feel disappointed.
[00:33:39.264 --> 00:33:46.608]  And let down by the fact that the congressman is all but suspending his presidential campaign and most of these individuals will be new to politics.
[00:33:47.129 --> 00:33:52.292]  They need to understand that we cannot and will not win the game with the first roll of the dice.
[00:33:52.572 --> 00:33:56.154]  America was not gutted overnight and it will not be restored overnight.
[00:33:57.219 --> 00:33:57.840]  Absolutely.
[00:33:57.880 --> 00:33:59.661]  People are talking about the Federal Reserve being private.
[00:33:59.681 --> 00:34:01.302]  They're talking about world government.
[00:34:01.322 --> 00:34:03.143]  They're talking about NAFTA superhighways.
[00:34:03.503 --> 00:34:05.284]  They're talking about the inflation tax.
[00:34:05.565 --> 00:34:12.389]  They're talking about how both parties are pro-war, despite the fact that 75 to 80 percent of the public, depending on the poll, are against the war.
[00:34:12.989 --> 00:34:14.110]  He has done a great job.
[00:34:14.230 --> 00:34:15.151]  You have done a great job.
[00:34:15.391 --> 00:34:16.932]  But you asked him to get in the arena.
[00:34:17.212 --> 00:34:18.173]  You asked him to fight.
[00:34:18.991 --> 00:34:23.495]  Okay, against incredible odds, and you can't be sore losers in the end.
[00:34:23.995 --> 00:34:29.760]  We have made great strides, instead of just letting the two parties stage-manage a dog and pony show.
[00:34:30.300 --> 00:34:33.743]  Also, we've proven election fraud, and he said it was definitely there in Louisiana.
[00:34:34.284 --> 00:34:38.347]  They cheated him in Nevada, saying he only got fourth place when he really got second place.
[00:34:38.707 --> 00:34:39.568]  That's now been admitted.
[00:34:39.928 --> 00:34:40.949]  People have now learned.
[00:34:41.370 --> 00:34:47.755]  People always email me and call me and write me and say, why are you saying there's election fraud coast to coast, but we should still vote?
[00:34:48.846 --> 00:34:55.552]  Because by having poll watchers, by voting, by being involved in the political process, we educate people that there is fraud.
[00:34:56.973 --> 00:34:59.715]  You see, we have to be in the arena, even if it's a stacked deck.
[00:34:59.995 --> 00:35:01.176]  We can't just give up.
[00:35:02.197 --> 00:35:07.521]  People are going to prison for election fraud in Ohio from the presidential election, as we said they would.
[00:35:08.102 --> 00:35:11.945]  People are in deep trouble in New Hampshire for what went on there.
[00:35:12.426 --> 00:35:16.668]  The population is being educated right now about what's going on.
[00:35:16.948 --> 00:35:20.369]  If we don't fight back, and if we don't stay in the fight, that doesn't happen.
[00:35:21.630 --> 00:35:25.852]  The Ron Paul Revolution was the first major salvo in a battle for our freedom that will never end.
[00:35:26.232 --> 00:35:30.774]  What we are fighting is a war of ideas, an information war, and a game of brinksmanship.
[00:35:31.094 --> 00:35:40.278]  The fact that Ron Paul's message resonated and woke up millions of people is a victory in itself and provides us with a niche with which to focus and continue our efforts.
[00:35:41.089 --> 00:35:53.995]  The focus now shifts to the Congressional race, and if we can help Ron Paul retain his seat, then the power of our message will be amplified in Congress, especially even when Hillary Clinton is anointed in the White House and continues the same policies we saw under Bush.
[00:35:54.555 --> 00:36:01.899]  It is essential and shrewd to maintain a positive attitude and consider how far along the path we have traveled in the pursuit of restoring liberty.
[00:36:02.219 --> 00:36:08.722]  A powerful message has been broadcast to those who would attempt to enslave us, that we are here, and that we will be
[00:36:09.648 --> 00:36:13.449]  There will be a reaction, and our numbers and influence will only continue to grow.
[00:36:13.769 --> 00:36:15.770]  Presidential race or no presidential race.
[00:36:17.550 --> 00:36:20.851]  As we have said all along, this is not about a political campaign.
[00:36:21.271 --> 00:36:25.172]  This is about 2008, and this is not even about Ron Paul.
[00:36:25.632 --> 00:36:26.832]  This is about an idea.
[00:36:27.192 --> 00:36:33.514]  An idea that surpasses the transitory nature of a presidential election, and one which can
[00:36:34.298 --> 00:36:37.521]  Not, and will not be stopped, no matter what the circumstances.
[00:36:38.061 --> 00:36:40.643]  As Ron Paul says himself, the revolution is permanent.
[00:36:40.863 --> 00:36:43.025]  It will not end at the Republican Convention.
[00:36:43.045 --> 00:36:43.946]  It will not end in November.
[00:36:44.166 --> 00:36:47.389]  It will not end until we have won the great battle on which we have embarked.
[00:36:47.829 --> 00:36:49.630]  We'll be right back after this quick break.
[00:36:49.670 --> 00:36:51.892]  I'll go directly to the loaded phone line.
[00:36:51.972 --> 00:36:52.473]  Stay with me.
[00:36:52.793 --> 00:36:54.835]  Hi neighbor.
[00:37:03.920 --> 00:37:05.621]  We all know that knowledge is power.
[00:37:06.061 --> 00:37:09.162]  We've tried to give you knowledge to help you prepare for rough times.
[00:37:09.762 --> 00:37:14.444]  There's the worldwide famine and our country's dependence on often dangerous food imports.
[00:37:15.085 --> 00:37:17.066]  You know about genetically poisoned food.
[00:37:17.606 --> 00:37:23.188]  Two-thirds of the food is disappearing with the bees along with huge crop failures from all-time record water shortages.
[00:37:23.908 --> 00:37:27.570]  You know they're turning food into fuel with corn ethanol plants.
[00:37:28.513 --> 00:37:32.255]  If we do not control our food, food will be used to control us.
[00:37:32.755 --> 00:37:37.897]  Food control has been the plan historically in every enslaved population and is the plan for America.
[00:37:38.577 --> 00:37:46.821]  The only value of the knowledge you have to take control of your food is if you choose to get a supply while you still have the freedom to choose.
[00:37:47.301 --> 00:37:48.422]  Call 800-409-5633 on the web efoodsdirect.com.
[00:37:48.442 --> 00:37:48.602]  Call 800-409-5633.
[00:38:00.669 --> 00:38:05.616]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming, and the end of the world?
[00:38:05.936 --> 00:38:07.818]  You shall hear of wars, and rumors of wars.
[00:38:08.019 --> 00:38:11.063]  For nation shall rise against nation, and kingdom against kingdom.
[00:38:11.243 --> 00:38:14.387]  And there shall be famines, disease, and earthquakes in many places.
[00:38:14.687 --> 00:38:16.530]  We are living in this time of earth's history.
[00:38:16.790 --> 00:38:20.494]  Many people are trying to understand the climactic world events in light of human wisdom.
[00:38:20.794 --> 00:38:23.457]  But without the wisdom of God, this is impossible!
[00:38:24.078 --> 00:38:28.342]  2 Peter says, We have a more sure word of prophecy, and you do well if you take heed.
[00:38:28.562 --> 00:38:32.867]  But first know this, that no prophecy of the Scripture is of any private interpretation.
[00:38:33.267 --> 00:38:37.592]  The Bible says, Would like you to receive this new offer, Packet B, The Unholy Alliance.
[00:38:37.912 --> 00:38:39.934]  These materials document the global leaders,
[00:38:40.094 --> 00:38:44.255]  If your body isn't feeling too well these days, you're gonna start taking this hemp.
[00:38:44.315 --> 00:38:44.855]  I say go to hempusa.org.
[00:39:10.876 --> 00:39:15.319]  You may not like what I'm about to say, but you know I'm gonna say it anyway.
[00:39:15.679 --> 00:39:17.781]  The government doesn't want the best for you.
[00:39:18.121 --> 00:39:19.202]  They keep you down.
[00:39:19.362 --> 00:39:20.263]  They keep you blue.
[00:39:20.563 --> 00:39:23.465]  They starve your body for all its nutrients.
[00:39:25.486 --> 00:39:27.588]  They won't let you grow industrial hemp.
[00:39:27.948 --> 00:39:33.312]  It really doesn't make any kind of sense when it's so healthy for the world and useful for you, my friends.
[00:39:35.220 --> 00:39:39.762]  I hope Mr. Bush will hear this song, for the heart of America wants this one.
[00:39:39.802 --> 00:39:43.443]  Go to hempusa.org.
[00:39:44.644 --> 00:39:49.526]  If you're a truther, an anarchist, a renegade, you only want things that God has made.
[00:39:49.586 --> 00:39:53.508]  Go to hempusa.org.
[00:39:54.088 --> 00:39:56.229]  We offer free shipping anywhere in the states.
[00:39:56.309 --> 00:39:58.490]  Go to hempusa.org.
[00:40:00.700 --> 00:40:03.221]  Terror Storm, a history of government-sponsored terror.
[00:40:03.561 --> 00:40:04.841]  Loose Change Final Cut.
[00:40:05.121 --> 00:40:07.102]  Endgame, blueprint for global enslavement.
[00:40:07.262 --> 00:40:09.003]  The true story of the Bilderberg Group.
[00:40:09.163 --> 00:40:10.403]  The late, great USA.
[00:40:10.643 --> 00:40:12.063]  America, freedom to fascism.
[00:40:12.424 --> 00:40:19.266]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:40:19.446 --> 00:40:23.367]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:40:23.527 --> 00:40:26.908]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:40:27.208 --> 00:40:27.548]  We're good.
[00:40:57.809 --> 00:41:04.874]  Thank you for listening to GCN.
[00:41:05.294 --> 00:41:08.616]  Be sure to visit GCNlive.com today.
[00:41:10.037 --> 00:41:16.662]  Alright, we're back live.
[00:41:16.822 --> 00:41:18.543]  I interviewed Willie Nelson on Monday.
[00:41:18.563 --> 00:41:21.165]  I'll tell you about that and play some excerpts.
[00:41:21.905 --> 00:41:23.587]  I haven't done that yet since I had him on.
[00:41:24.750 --> 00:41:29.492]  Coming up in the second hour, dealing with 9-11 truth.
[00:41:29.612 --> 00:41:31.552]  Well, he thinks it's an inside job.
[00:41:32.153 --> 00:41:33.253]  Tell you who else thinks so.
[00:41:33.273 --> 00:41:38.735]  But right now, let's go to your calls at 877-590-5525.
[00:41:39.115 --> 00:41:45.457]  Let's go ahead and talk to Neil in New York.
[00:41:45.497 --> 00:41:46.157]  You're on the air.
[00:41:46.197 --> 00:41:46.798]  Thanks for holding.
[00:41:46.818 --> 00:41:47.198]  Go ahead.
[00:41:47.218 --> 00:41:48.978]  How you doing, Alex?
[00:41:49.038 --> 00:41:51.459]  My name's Neil, not Neil, but I got that mixed up.
[00:41:51.479 --> 00:41:52.840]  How you doing today?
[00:41:53.060 --> 00:41:53.380]  I'm all right.
[00:41:53.400 --> 00:41:53.620]  Go ahead.
[00:41:56.461 --> 00:41:57.941]  I want to show one of your films.
[00:41:58.441 --> 00:42:03.864]  It's Endgame and My School at Hudson County Community College and I'd just like to have your endorsement and your consent.
[00:42:04.704 --> 00:42:06.405]  Yeah, it's for free on Google Video.
[00:42:06.465 --> 00:42:08.506]  I give the consent to everybody to show it to whoever they want.
[00:42:09.246 --> 00:42:10.427]  No, I don't want to buy the hard copy.
[00:42:10.467 --> 00:42:12.268]  I went to Barnes & Noble today and I couldn't find it.
[00:42:12.288 --> 00:42:14.028]  So I thought I'd have to order online.
[00:42:14.048 --> 00:42:22.712]  Yeah, it's been in Barnes & Nobles and all those places, but it's been in Best Buy, but I think most stores order like five, six copies and then they sell out.
[00:42:24.986 --> 00:42:26.207]  Yeah, it's sad.
[00:42:26.227 --> 00:42:29.491]  You know, you see all these movies about diehard and this and that.
[00:42:29.511 --> 00:42:34.616]  And then your movie, Endgame, where he finds his copy selling in stock.
[00:42:35.036 --> 00:42:36.357]  It's really sad about this.
[00:42:36.858 --> 00:42:46.668]  About this government and people who I try to tell and wake them up and tell them about what President Bush does when he's out in Bolton and Grove.
[00:42:47.068 --> 00:42:48.890]  But they literally make him crazy.
[00:42:49.457 --> 00:42:50.397]  Well, so what?
[00:42:50.477 --> 00:42:51.538]  You know, let them be slaves.
[00:42:51.578 --> 00:42:53.158]  They like having their dollar devalued.
[00:42:53.358 --> 00:42:55.299]  They like being shot up with mercury vaccines.
[00:42:55.519 --> 00:42:56.980]  They like drinking sodium fluoride.
[00:42:57.000 --> 00:42:57.460]  They like it.
[00:42:58.080 --> 00:42:58.941]  So just let them like it.
[00:43:00.281 --> 00:43:01.642]  Feel free to show it at your school, sir.
[00:43:02.102 --> 00:43:04.943]  Okay, let's go ahead now and go to Clint.
[00:43:05.563 --> 00:43:07.304]  And, Clint, where are you calling us from today?
[00:43:08.164 --> 00:43:09.445]  I'm calling from Missouri, Alex.
[00:43:09.545 --> 00:43:09.765]  Welcome.
[00:43:09.785 --> 00:43:12.826]  It's been a while since I talked to you, but I listen often.
[00:43:12.886 --> 00:43:14.426]  I used to have a lot more time to call you.
[00:43:16.457 --> 00:43:40.032]  I gotta tell you, this whole thing has left a bad taste in my mouth because I just feel like Paul has abandoned us and has retreated to Texas to save Texas and I don't agree with the idea that millions of hard-working Americans have donated their money for him to run for president and then turn around and use it in a congressional race.
[00:43:42.594 --> 00:43:43.434]  I voted for him.
[00:43:43.855 --> 00:43:44.215]  I did.
[00:43:44.235 --> 00:43:45.656]  But I don't agree with that.
[00:43:47.065 --> 00:43:48.686]  Well, we're not even sure that's what's happening.
[00:43:48.706 --> 00:43:51.569]  He says he's going to keep spending it in the presidential race.
[00:43:51.609 --> 00:43:53.050]  He's staying in the presidential race.
[00:43:53.690 --> 00:43:56.993]  It's just he doesn't have much of a prayer of winning it now, sir.
[00:43:57.473 --> 00:44:04.199]  Well, I know he doesn't, but I also felt like his campaign kind of botched it.
[00:44:04.839 --> 00:44:14.667]  Even though it's not right that it works this way, I don't know why they just didn't use a very large portion of that money in either New Hampshire or South Carolina
[00:44:15.256 --> 00:44:19.777]  To try and get an early win so the public might possibly back him more.
[00:44:19.937 --> 00:44:23.919]  Well, they did try and it was clearly fraud in New Hampshire, but I understand your concerns.
[00:44:24.319 --> 00:44:28.440]  Listen, it's not fun to lose, but we won in the war of ideas.
[00:44:28.460 --> 00:44:29.380]  We could have just laid there.
[00:44:30.241 --> 00:44:31.681]  And look at what the grassroots did.
[00:44:31.721 --> 00:44:36.122]  Just an example of what the grassroots can do and that the American people don't want this tyranny.
[00:44:36.463 --> 00:44:38.483]  Breaking all those fundraising records.
[00:44:38.503 --> 00:44:40.624]  6.4 million in one day.
[00:44:41.984 --> 00:44:42.865]  That broke all records.
[00:44:42.905 --> 00:44:44.245]  That was small donations.
[00:44:45.347 --> 00:44:45.708]  Okay.
[00:44:46.369 --> 00:44:50.014]  I mean, let's let this flesh out a little bit before we get mad.
[00:44:52.097 --> 00:44:55.462]  Alrighty, let's go ahead and talk to Steve in Los Angeles.
[00:44:55.802 --> 00:44:56.643]  You're on the air, Steve.
[00:44:56.663 --> 00:44:57.024]  Go ahead.
[00:44:57.524 --> 00:44:58.085]  Hello, Alex.
[00:44:58.225 --> 00:44:58.386]  Hi.
[00:44:59.437 --> 00:45:05.160]  Hey, first of all, I heard at the front of your show you were a little discouraged, and I just wanted to tell you there is hope.
[00:45:06.641 --> 00:45:21.590]  I've been laughed at by my wife for a couple of years now since I've been listening to you, and I gave her a copy of Creature from Jekyll Island, and it has totally changed her way of thinking, and she's now out telling everybody she knows about the Federal Reserve, so there is hope.
[00:45:22.351 --> 00:45:22.791]  That's right.
[00:45:22.831 --> 00:45:27.133]  A great book by G. Edward Griffin about the private nature and how the Federal Reserve took over.
[00:45:27.534 --> 00:45:27.714]  Right.
[00:45:28.762 --> 00:45:29.263]  Excellent book.
[00:45:29.743 --> 00:45:31.464]  Anyway, about Ron Paul.
[00:45:31.644 --> 00:45:33.245]  I'm a supporter out here in California.
[00:45:33.265 --> 00:45:34.686]  I'm driving around with a bumper sticker.
[00:45:35.327 --> 00:45:36.988]  I'm talking to as many people as I can.
[00:45:37.008 --> 00:45:48.976]  I've got to tell you, I feel just like the last caller that Ron Paul is taking the donations and kind of retreating back to his congressional seat to save it.
[00:45:49.776 --> 00:45:55.580]  I understand the logic and I understand where you're coming from with that, but I just wanted to throw out a couple of ideas here.
[00:45:57.944 --> 00:46:04.207]  The first is, Ron Paul is not the brand name of this revolution.
[00:46:04.487 --> 00:46:09.609]  It belongs to all of us as the people, as American citizens.
[00:46:09.629 --> 00:46:12.791]  Ron Paul is not the only one who can stand up for us.
[00:46:13.691 --> 00:46:16.192]  We can throw our support behind other candidates.
[00:46:16.493 --> 00:46:20.954]  If Ron Paul isn't willing to do a third-party run, we still need to have a horse in the race.
[00:46:21.375 --> 00:46:26.417]  Now let me just point your attention to somebody who you know, who's been on your show, Cynthia McKinney.
[00:46:26.777 --> 00:46:35.481]  She's never backed away from 9-11 Truths, she's never backed away from DynCorp, and I've seen her stand up in Congress and confront Donald Rumsfeld.
[00:46:35.821 --> 00:46:37.402]  She has got more courage than
[00:46:38.361 --> 00:46:42.335]  Anybody who's ever held, as far as I'm concerned, that holds a seat in Congress.
[00:46:42.697 --> 00:46:44.463]  And she has given up her local seat.
[00:46:45.606 --> 00:46:47.968]  You know, she sacrificed her local seat for her beliefs.
[00:46:48.528 --> 00:46:52.390]  She didn't back down and say, hey look, I'm going to preserve my seat here in Georgia.
[00:46:52.731 --> 00:46:53.431]  She lost it.
[00:46:53.611 --> 00:46:55.572]  And then she came back and fought and won it again.
[00:46:56.113 --> 00:46:58.594]  And then she was beat again by the election fraud.
[00:46:59.075 --> 00:47:04.638]  So let's think about throwing some of our support behind Cynthia McKinney just to keep our voice out there.
[00:47:04.818 --> 00:47:06.739]  No, I hear you and I'm looking at that.
[00:47:07.180 --> 00:47:08.080]  I like Cynthia.
[00:47:08.120 --> 00:47:12.183]  She exposed the dying court child kidnapping rings, the trillions missing from the Pentagon.
[00:47:12.574 --> 00:47:14.695]  Just incredible information, and I know her.
[00:47:14.715 --> 00:47:15.255]  I've interviewed her.
[00:47:15.275 --> 00:47:16.575]  She's in with Ron Paul.
[00:47:16.595 --> 00:47:17.795]  He's in my film, Matrix of Evil.
[00:47:17.836 --> 00:47:18.836]  Ron Paul and her are both in there.
[00:47:19.816 --> 00:47:25.878]  But, you know, the gun control and a few other stances she's in make it really hard for me to support her.
[00:47:25.898 --> 00:47:28.118]  I like a lot of Dennis Kucinich's ideas.
[00:47:28.158 --> 00:47:30.459]  He's now dropped out, but I don't like some of his ideas.
[00:47:30.819 --> 00:47:34.960]  Ron Paul and I were, you know, right together as constitutionalists.
[00:47:36.181 --> 00:47:39.062]  I know people are mad about Ron Paul and what's happened here.
[00:47:41.792 --> 00:47:42.833]  I don't know how to explain it.
[00:47:44.014 --> 00:47:44.835]  He will lose.
[00:47:44.895 --> 00:47:47.758]  If he goes third party, he will lose that congressional seat.
[00:47:49.099 --> 00:47:50.460]  Now, I would probably be reckless.
[00:47:50.520 --> 00:47:52.883]  I would probably go with the third party and I think he's got a shot.
[00:47:53.483 --> 00:47:59.409]  And frankly, I've been pulling for a third party and not this broker convention business.
[00:48:00.590 --> 00:48:01.831]  It's only good in close races.
[00:48:05.379 --> 00:48:07.040]  But I understand why.
[00:48:07.220 --> 00:48:08.721]  Look, he's staying in the presidential race.
[00:48:09.061 --> 00:48:10.482]  Something could happen with McCain.
[00:48:10.943 --> 00:48:11.963]  Scandals could come out.
[00:48:11.983 --> 00:48:12.744]  They already are.
[00:48:14.145 --> 00:48:16.546]  And then it could just be Ron Paul and Huckabee.
[00:48:17.527 --> 00:48:18.627]  Or Huckabee could drop out.
[00:48:18.707 --> 00:48:19.848]  Who knows what's going to happen?
[00:48:20.248 --> 00:48:23.591]  He had some good showings in quite a few states last night.
[00:48:23.631 --> 00:48:24.271]  Ron Paul did.
[00:48:25.772 --> 00:48:29.334]  It's just things don't look very good on the presidential run within the party.
[00:48:29.975 --> 00:48:30.335]  And so
[00:48:31.634 --> 00:48:34.535]  I've tried to break that down as best I can, but we're taking your calls.
[00:48:34.555 --> 00:48:35.695]  We're taking your views on this.
[00:48:35.775 --> 00:48:37.975]  We want to hear what you have to say.
[00:48:38.075 --> 00:48:39.735]  Mark in Boise, Idaho.
[00:48:39.755 --> 00:48:40.336]  You're on the air.
[00:48:40.356 --> 00:48:40.676]  Welcome.
[00:48:41.976 --> 00:48:42.556]  Hi, Alex.
[00:48:42.596 --> 00:48:44.356]  This is my first time caller.
[00:48:44.556 --> 00:48:44.876]  Welcome.
[00:48:46.457 --> 00:48:46.777]  Hi.
[00:48:47.157 --> 00:48:53.818]  I want to say that Ron Paul had an excellent idea for civil liberties when it came to law enforcement.
[00:48:54.698 --> 00:49:00.599]  Personal experience with a civil liberties violation, both difficulties on both sides, which is why I came up.
[00:49:01.385 --> 00:49:04.667]  with an idea of how to create video evidence.
[00:49:04.767 --> 00:49:11.651]  I wanted to share briefly with your listeners on how to use VHS tapes instead of computerized video software.
[00:49:11.671 --> 00:49:12.652]  Okay, go ahead.
[00:49:14.393 --> 00:49:24.399]  Well, what you do is you take one of the digital video cameras and you have a VCR connected to your TV making sure everything works.
[00:49:25.019 --> 00:49:27.801]  You put in a VHS tape about two hours worth
[00:49:28.792 --> 00:49:32.595]  You pop in the AV cable to connect... Okay, I understand all that.
[00:49:32.635 --> 00:49:33.116]  Get to it.
[00:49:33.216 --> 00:49:33.516]  Please.
[00:49:34.477 --> 00:49:34.757]  Yes.
[00:49:36.559 --> 00:49:40.802]  Um... I... Sorry.
[00:49:42.404 --> 00:49:43.565]  Look, I'm not in a good mood today.
[00:49:43.605 --> 00:49:44.806]  I'm just going to tell you right now, sir.
[00:49:45.286 --> 00:49:47.889]  If you want to, uh... They're laughing.
[00:49:48.849 --> 00:49:50.451]  I probably shouldn't do shows when I'm in a bad mood.
[00:49:50.491 --> 00:49:52.372]  I'm mad about the Ron Paul stuff, too, okay?
[00:49:52.412 --> 00:49:56.456]  I'm so mad that I probably shouldn't even be on the air right now, but I'm trying to be calm.
[00:49:57.301 --> 00:49:58.061]  Trying to be nice.
[00:49:58.502 --> 00:49:59.482]  Trying to be positive.
