[00:00:09.471 --> 00:00:11.312]  Vulnerable has no price.
[00:26:20.029 --> 00:26:22.952]  A town north of San Antonio, about New Braunfels, has got cases.
[00:26:22.952 --> 00:26:26.195]  They've confirmed they're shutting down multiple Texas schools.
[00:26:26.195 --> 00:26:32.320]  That's going on, but nobody has died, though some people are at hospitals in South Texas, like San Antonio.
[00:26:32.320 --> 00:26:34.843]  You can just Google that, San Antonio hospitals.
[00:26:34.843 --> 00:26:36.784]  Have patients quarantined.
[00:26:36.784 --> 00:26:38.826]  People are quarantined in some of their homes.
[00:26:38.826 --> 00:26:40.267]  They've had family members that have gotten it.
[00:26:41.148 --> 00:26:52.235]  And it's over 20 cases in California and Texas right now, and now it's in Italy, it's in Spain, it's in Israel, it's in Canada, it's all over the place.
[00:26:52.235 --> 00:26:56.657]  The latest news is posted at Infowars.com and PrisonPlanet.com.
[00:26:56.657 --> 00:27:01.360]  And so, somebody is lying here.
[00:27:01.360 --> 00:27:09.345]  Because either it is just 80 people dead, and that really is terrible for them, but that's not unusual for a big flu outbreak.
[00:27:10.481 --> 00:27:19.446]  Just because this is a bird, swine, human flu, and it kills some people, well, if you got tens of thousands that get sick, some are gonna die, especially elderly.
[00:27:19.446 --> 00:27:28.172]  What's scary is, just like the Spanish flu outbreak in 1918 that killed over 40 million, it's hitting young, healthy people.
[00:27:28.172 --> 00:27:30.793]  And that's what the 76 one did, too.
[00:27:30.793 --> 00:27:33.395]  And then the government came out with a vaccine that killed a bunch of people.
[00:27:34.733 --> 00:27:36.657]  So let's go to Santiago.
[00:27:36.657 --> 00:27:39.703]  Santiago from Mexico City says lots of sick people.
[00:27:39.703 --> 00:27:41.506]  Santiago, thank you for calling in.
[00:27:41.506 --> 00:27:42.688]  Let us know exactly what's happening.
[00:27:46.537 --> 00:27:54.659]  I am calling right now from Valle de Bravo, which is approximately 100 miles outside of La Federal.
[00:27:54.659 --> 00:27:56.299]  I'm very, very fortunate.
[00:27:56.299 --> 00:27:58.980]  I speak fluent English.
[00:27:58.980 --> 00:28:03.941]  My family evacuated to Valle de Bravo yesterday.
[00:28:03.941 --> 00:28:14.983]  The symptoms that we have seen firsthand are basically, it comes down to a common flu type in the initial onset, but then the problem occurs where you have blood and a very bad type of mucus.
[00:28:16.043 --> 00:28:21.227]  And I'm presently, you know, I took the antibiotics and we're very fortunate enough to have, you
[00:28:22.958 --> 00:28:34.185]  We have the money to take care of ourselves, as far as my family goes, and I feel very much obligated to call and let you know and your listeners that this has been going on for two weeks approximately, leading up to this last week.
[00:28:34.185 --> 00:28:37.847]  That's right, the Mexican government now says March 18th, they were already aware of it, go ahead.
[00:28:37.847 --> 00:28:48.574]  Well, I'm an IT professional, and basically it was a common cold initially, and then it escalated day by day.
[00:28:53.075 --> 00:28:53.515]  So you got it?
[00:28:53.515 --> 00:28:54.675]  You're saying you got sick?
[00:28:54.675 --> 00:29:00.097]  Yeah, well the really bad flu, as you know, that killed 40-plus million people in 1918, and stay there Santiago, I want to come right back to you, it was respiratory.
[00:29:20.302 --> 00:29:21.144]  That's what this is.
[00:29:21.144 --> 00:29:25.794]  It's actually, it's all in the lungs, so if I sound congested, um... Alright, stay there, sir.
[00:29:25.794 --> 00:29:26.916]  Can you hold for three minutes?
[00:29:26.916 --> 00:29:27.176]  No problem.
[00:29:27.176 --> 00:29:28.198]  Alright, we'll put you on hold.
[00:29:28.198 --> 00:29:31.686]  We'll come right back to Santiago, right outside Mexico City when we get back.
[00:29:33.249 --> 00:29:34.369]  Spring is here.
[00:29:34.369 --> 00:29:35.330]  Growing season.
[00:29:35.330 --> 00:29:37.530]  The economy is not getting any better.
[00:29:37.530 --> 00:29:39.230]  In fact, it's getting worse.
[00:29:39.230 --> 00:29:40.211]  Think about it.
[00:29:40.211 --> 00:29:44.292]  At this rate, how will your life be in a month or even a year?
[00:29:44.292 --> 00:29:47.993]  Maybe you've been putting things off, but the time to act is now.
[00:29:47.993 --> 00:29:50.813]  You need to get your seeds before it's too late.
[00:29:50.813 --> 00:30:02.676]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:30:02.916 --> 00:30:03.456]  I think so.
[00:30:31.978 --> 00:30:38.165]  How would you like to finally be debt-free without paying another cent to creditors and not have to file bankruptcy?
[00:30:38.165 --> 00:30:41.789]  DebtCrisisSolutions.com can help free you from the debt trap.
[00:30:41.789 --> 00:30:46.655]  This is not a debt settlement program which has tax consequences or debt consolidation.
[00:30:46.655 --> 00:30:50.119]  With our program, there are no more payments to creditors or collectors.
[00:30:50.339 --> 00:30:50.860]  We're good to go.
[00:31:05.998 --> 00:31:06.899]  We're good to go.
[00:31:31.909 --> 00:31:33.391]  So you want to stop smoking?
[00:31:33.391 --> 00:31:34.672]  Well, here's what I want you to do.
[00:31:34.672 --> 00:31:37.535]  Go to a drugstore and take a stop smoking product off the shelf.
[00:31:37.535 --> 00:31:41.540]  Go to the cashier, tell him you don't want to pay for the product, you just want to take it home and try it.
[00:31:41.540 --> 00:31:45.304]  And if and only if you stop smoking, will you then come back and pay for it?
[00:31:45.304 --> 00:31:47.326]  Most likely, if you try this, you'd be arrested.
[00:31:47.326 --> 00:31:51.211]  But as silly as this sounds, this is exactly what the smoke-free free trial offer is.
[00:31:51.611 --> 00:31:58.673]  Smoke Free is a complete all-natural stop smoking system and when you call today they'll send you a 30-day supply of the program absolutely free.
[00:31:58.673 --> 00:32:06.696]  This program eliminates withdrawals and cravings and includes a 30-day supply of the Smoke Free Capsules, a guide to living smoke-free book, and audio support program.
[00:32:07.196 --> 00:32:07.576]  I think so.
[00:32:31.468 --> 00:32:32.790]  Hi, this is Alex Jones.
[00:32:32.790 --> 00:32:38.375]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:32:38.375 --> 00:32:43.380]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:32:43.380 --> 00:32:48.966]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:32:48.966 --> 00:32:53.651]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:32:54.178 --> 00:33:01.284]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:33:01.284 --> 00:33:02.405]  And here's the best part.
[00:33:02.405 --> 00:33:09.110]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:33:09.110 --> 00:33:12.293]  So visit them today at survivalseedbank.com.
[00:33:12.293 --> 00:33:15.455]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[00:33:15.455 --> 00:33:15.896]  That's 877-327-0365.
[00:33:15.896 --> 00:33:16.376]  Remember,
[00:33:24.215 --> 00:33:28.147]  In a real crisis, non-hybrid seeds are the ultimate barter item.
[00:33:28.147 --> 00:33:30.534]  This is Alex Jones for survivalseedbank.com.
[00:33:31.610 --> 00:33:34.431]  The GCN Radio Network.
[00:33:34.431 --> 00:33:37.893]  Providing the world with hard-hitting talk radio.
[00:33:37.893 --> 00:33:39.053]  GCN.
[00:33:39.053 --> 00:33:43.115]  Great talk radio starts here.
[00:33:43.115 --> 00:33:55.239]  Look, bottom line, we've got psychopathic, eugenicist, New World Order control freaks that think we're a cancer on the precious earth.
[00:33:55.239 --> 00:33:56.640]  We've got to have our numbers reduced.
[00:33:58.496 --> 00:34:00.377]  And we know they've developed weaponized flus.
[00:34:00.377 --> 00:34:02.198]  They've released them in the past.
[00:34:02.198 --> 00:34:06.501]  They've tested chemical biologicals on every major population of the planet.
[00:34:06.501 --> 00:34:12.325]  And so, when something like this happens, we have to look at it very, very closely.
[00:34:12.325 --> 00:34:20.590]  But, on its face, if they're telling the truth that it's only 80 deaths in Mexico of thousands and thousands and thousands that have this flu,
[00:34:21.732 --> 00:34:24.334]  You know, they're saying it's only a couple thousand people that have it.
[00:34:24.334 --> 00:34:25.334]  That's ridiculous.
[00:34:25.334 --> 00:34:29.177]  I mean, they're saying people are sick all over Mexico, and only 80 deaths?
[00:34:29.177 --> 00:34:35.461]  Well, then, it's bad if you're that 80, you know, those 80 people, but overall, flu always kills people.
[00:34:35.461 --> 00:34:37.582]  Then why is the media hyping it?
[00:34:37.582 --> 00:34:38.883]  Why all the fear?
[00:34:38.883 --> 00:34:41.825]  Why is the White House declaring a health emergency?
[00:34:41.825 --> 00:34:43.326]  Why is all this going on?
[00:34:43.326 --> 00:34:44.747]  Why am I getting calls from Mexico?
[00:34:44.747 --> 00:34:46.588]  There are people vomiting and sick all over.
[00:34:47.128 --> 00:34:51.369]  Okay, going back to Santiago, right outside Mexico City.
[00:34:51.369 --> 00:34:54.170]  He got it a few weeks ago, but got better.
[00:34:54.170 --> 00:35:01.112]  Specifically, Santiago, from what you're seeing around you, is the media covering this up or is the media telling the truth?
[00:35:01.112 --> 00:35:04.233]  What's really going on from your vantage point, sir?
[00:35:06.794 --> 00:35:10.775]  Absolutely, there's a complete media washout.
[00:35:10.775 --> 00:35:14.676]  For example, myself and my family went to Valle de Bravo.
[00:35:14.676 --> 00:35:16.077]  We were evacuated yesterday.
[00:35:16.077 --> 00:35:24.479]  The IT company that I work for, I cannot mention, but we will not be at work tomorrow.
[00:35:24.479 --> 00:35:25.900]  There's been a mandatory one week.
[00:35:27.221 --> 00:35:31.244]  Stay as far as we're not going to be going to inside our offices.
[00:35:31.244 --> 00:35:33.765]  The office was sick approximately 10 days ago.
[00:35:33.765 --> 00:35:40.270]  We are given the proper medication, the forms of penicillin in the states, amoxicillin.
[00:35:41.671 --> 00:35:47.935]  It's a state of, right now, complete disarray, and there's a very foreboding panic on the streets.
[00:35:47.935 --> 00:35:50.497]  That's what we left, my family.
[00:35:50.497 --> 00:36:07.809]  Now, Valle de Bravo is about, I'd say, 100 miles, 150 kilometers outside of Dejefe, and that's a state of almost, there's a lot of bodyguards protecting the families that evacuated, that are fortunate enough not to be in the city.
[00:36:07.809 --> 00:36:11.071]  The city right now is going through chaos because everybody is sick.
[00:36:11.964 --> 00:36:15.425]  It's not, now the question is like the degree and severity of the sickness.
[00:36:15.425 --> 00:36:27.528]  There's different symptoms, which I was getting at, like, it is respiratory, and there's blood mixed with very dark forms of mucus, and I'm sorry to be so upfront with your listeners.
[00:36:27.528 --> 00:36:33.789]  No, no, that's important, but I'm getting calls from Mexico saying that it's just people all over the place vomiting.
[00:36:33.789 --> 00:36:36.070]  I mean, are you witnessing any of that?
[00:36:36.890 --> 00:36:38.774]  That was witnessed unfortunately by myself.
[00:36:38.774 --> 00:36:39.556]  It's going on.
[00:36:48.430 --> 00:37:07.689]  Then, if it's so widespread and just a flu that makes people sick, then 80 deaths out of hundreds of thousands that are probably really sick is not that big of a deal, unless they're lying and more people than 80 have died, as some doctors are telling the BBC and others out of Mexico City.
[00:37:07.689 --> 00:37:10.332]  Are you hearing from anybody that they're covering up the number of deaths?
[00:37:10.712 --> 00:37:11.533]  Yeah, I think so.
[00:37:26.208 --> 00:37:36.052]  As far as, you know, breaking down a culture and a people and whatever you call it, to be civilized humanity, that's exactly what's happened in that city.
[00:37:36.052 --> 00:37:38.013]  And that's why we have evacuated.
[00:37:38.013 --> 00:37:44.975]  Do you think Santiago, calling from outside Mexico City, do you think this strengthens the government that was on the verge of collapsing?
[00:37:44.975 --> 00:37:46.476]  Or does this weaken the government?
[00:37:48.081 --> 00:37:53.247]  Well, this absolutely gives them the power to do what they like.
[00:37:53.247 --> 00:38:01.276]  As I'm sure you're aware of, the people of Mexico are extremely oppressed, and this is something right now that could escalate further.
[00:38:01.276 --> 00:38:02.617]  People are very, very sick right now.
[00:38:02.617 --> 00:38:04.679]  I mean, it's not just 3,000, it's millions.
[00:38:07.617 --> 00:38:13.759]  And they've passed emergency powers to forcibly quarantine, forcibly medicate into lockdown cities.
[00:38:13.759 --> 00:38:19.921]  Incidentally, the new powers were declared as well in the United States this morning, but with little fanfare.
[00:38:19.921 --> 00:38:30.525]  But the health emergency clauses and executive orders that have already been signed in decades past have now been implemented and are now in force for martial law.
[00:38:30.525 --> 00:38:31.986]  If you read the executive orders,
[00:38:32.746 --> 00:38:35.008]  That is basically what this states.
[00:38:35.008 --> 00:38:36.849]  Now, will they exercise it?
[00:38:36.849 --> 00:38:44.755]  The White House is saying this is just a formality, but it will take us several weeks for this flu to run its course, and I guess we're going to find out.
[00:38:44.755 --> 00:38:58.846]  That's what I was calling mainly because I wanted to let you know, you know, as somebody who looks at the calendar every single day, this started about at least 11, 10, 11 days ago, and these symptoms were like a regular flu in the office, and
[00:39:00.496 --> 00:39:08.285]  You know, the head of the museum that Obama first visited this week when he shook hands with the curator, he died of this flu.
[00:39:08.285 --> 00:39:09.246]  The AP is reporting.
[00:39:09.246 --> 00:39:11.448]  Do you know anybody that's died?
[00:39:23.010 --> 00:39:23.791]  Me personally?
[00:39:23.791 --> 00:39:25.152]  Yes.
[00:39:25.152 --> 00:39:25.853]  I do not know.
[00:39:25.853 --> 00:39:26.494]  I can't.
[00:39:26.494 --> 00:39:28.095]  That is good news.
[00:39:28.095 --> 00:39:32.760]  I would imagine if you say everybody... When you say everybody's sick, are you saying 80%, 90%?
[00:39:32.760 --> 00:39:33.601]  Oh no, I'd say probably...
[00:39:38.366 --> 00:39:38.586]  I think so.
[00:39:56.536 --> 00:39:58.158]  No, I got it, because people are poor.
[00:39:58.158 --> 00:39:59.800]  The flu really spreads bad down there.
[00:39:59.800 --> 00:40:00.681]  Very, very true.
[00:40:00.681 --> 00:40:13.735]  So, I mean, I personally do not know people because of my fortunate circle of those that I mingle with, and that's why I felt obligated to call you, because there is something very severe happening, and this started about 10, 11 days ago.
[00:40:15.469 --> 00:40:18.091]  Okay, so in closing, Santiago, we appreciate your call.
[00:40:18.091 --> 00:40:19.973]  We've got more calls from Mexico.
[00:40:19.973 --> 00:40:27.919]  Specifically, though, what is your overall feeling just a few days into this really becoming a worldwide, you know, number one story?
[00:40:27.919 --> 00:40:36.666]  People panicking all over the world, buying mask up off the shelves, buying Tamiflu off the shelves that Rumsfeld and Bush and Obama own the stock in.
[00:40:36.666 --> 00:40:38.167]  That's in the news today.
[00:40:38.167 --> 00:40:42.010]  I mean, what's your gut feeling on what's really happening?
[00:40:42.010 --> 00:40:42.911]  Is this media hype?
[00:40:43.412 --> 00:40:45.678]  Or are they actually covering up how severe it is?
[00:40:53.508 --> 00:40:57.752]  In the capital, I mean, it's complete chaos.
[00:40:57.752 --> 00:41:00.154]  And, you know, that's why we left.
[00:41:00.154 --> 00:41:04.198]  And, you know, by the Bravo right now is under complete lockdown.
[00:41:04.198 --> 00:41:08.882]  And, you know, there's bodyguards and there's people, you know, making sure they're preparing for the worst.
[00:41:08.882 --> 00:41:12.085]  This could escalate to something that you could never imagine.
[00:41:12.085 --> 00:41:14.247]  And that's why Albin felt obligated to leave.
[00:41:14.247 --> 00:41:16.810]  This is no around El Mundo.
[00:41:17.757 --> 00:41:21.001]  Okay, well thank you, Santiago.
[00:41:21.001 --> 00:41:23.444]  Last question, we're going to have more calls in Mexico.
[00:41:23.444 --> 00:41:31.833]  Specifically, I've seen the President, I've confirmed, he's on TV talking about he's going to get a vaccine for everybody.
[00:41:31.833 --> 00:41:34.236]  There's no way they can already have a vaccine unless they
[00:41:35.545 --> 00:41:59.055]  I had been involved in this flu and then when you look at the chances of one out of 99 or the numbers are even higher but I've been reading what doctors have been saying to have a mutagen that's part animal part human the swine human now they're saying it's bird flu swine flu and human flu from Europe Asia and North America this has all the telltale signs and I'm seeing doctors on record saying this
[00:42:00.063 --> 00:42:23.519]  of a designer virus and then as you and I've started my show last night and people were calling in from Mexico thinking what I was already thinking but not saying that people in Mexico are just spontaneously saying the government is doing this or hyping this to again pose as the savior, use this as an excuse to kind of just blast society down so all they've got is the state to cling to.
[00:42:23.519 --> 00:42:25.020]  What are other people saying around you?
[00:42:25.020 --> 00:42:27.282]  Are they thinking the government is involved in this?
[00:42:29.664 --> 00:42:41.073]  It's a very hard question you put me in to answer because I work with professionals that don't necessarily believe the same thoughts that you and your listeners believe.
[00:42:41.073 --> 00:42:47.278]  However, they are very upset because they realize the severity of this sickness could end up
[00:42:48.243 --> 00:42:48.803]  We're good to go.
[00:43:17.862 --> 00:43:18.923]  Wow, okay.
[00:43:18.923 --> 00:43:21.425]  So, thank you Santiago for that report.
[00:43:21.425 --> 00:43:24.487]  Steve in Tepic, Mexico.
[00:43:24.487 --> 00:43:28.310]  You are on as soon as we come back.
[00:43:28.310 --> 00:43:29.311]  Everybody else, stay with us.
[00:43:29.311 --> 00:43:29.731]  We'll be back.
[00:43:31.713 --> 00:43:39.959]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:43:39.959 --> 00:43:44.522]  In these troubled times, one of the most important things your family can have is good health.
[00:43:44.522 --> 00:43:49.185]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:43:49.185 --> 00:43:50.606]  It's a documented fact.
[00:43:50.786 --> 00:43:58.230]  About 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:43:58.230 --> 00:44:10.335]  Now you can fight internal parasites, heavy metals, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:44:10.335 --> 00:44:13.997]  FPP is now available to you from FreshwaterOrganics.com.
[00:44:14.597 --> 00:44:17.741]  A two-month supply starts at just $17.
[00:44:17.741 --> 00:44:21.466]  FPP is so affordable you can't afford to do without.
[00:44:21.466 --> 00:44:24.770]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:44:24.770 --> 00:44:24.971]  That's 888-949-3570.
[00:44:31.715 --> 00:44:34.376]  Are you concerned for the safety of your loved ones?
[00:44:34.376 --> 00:44:37.998]  Listen closely to this message from Pepperspray.com.
[00:44:37.998 --> 00:44:41.159]  Every 22 seconds a violent crime is committed.
[00:44:41.159 --> 00:44:45.581]  America has changed and your personal safety is your first priority.
[00:44:45.581 --> 00:44:46.381]  Be smart.
[00:44:46.381 --> 00:44:47.361]  Be safe.
[00:44:47.361 --> 00:44:49.962]  Trust Pepperspray instead of your luck.
[00:44:49.962 --> 00:44:56.185]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:44:56.525 --> 00:45:02.527]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:45:02.527 --> 00:45:05.208]  From big to small, we have it all.
[00:45:05.208 --> 00:45:09.250]  Pepper spray, mace, animal repellents, stun guns, and tasers.
[00:45:09.250 --> 00:45:15.972]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:45:15.972 --> 00:45:20.854]  Enter SAFE in the coupon box and you'll receive a special discount off of your order.
[00:45:20.854 --> 00:45:21.834]  So what are you waiting
[00:45:27.856 --> 00:45:36.098]  Do you have more than $15,000 in credit card debt?
[00:45:36.098 --> 00:45:43.060]  Before you spend another dollar on minimum payments, call American Debt Specialists right now and find out how much of your debt can be eliminated.
[00:45:43.060 --> 00:45:44.421]  That's right, eliminated.
[00:45:44.421 --> 00:45:47.442]  Call 800-237-7042.
[00:45:47.442 --> 00:45:51.483]  While the government is bailing out the credit card companies, we're here to make sure you get help too.
[00:45:51.923 --> 00:45:56.766]  Just one call could reduce your credit card debt by as much as 60%.
[00:45:56.766 --> 00:45:57.107]  60%!
[00:45:57.107 --> 00:46:02.070]  We'll bring you peace of mind with reduced debt and just one low monthly payment that fits your budget.
[00:46:02.070 --> 00:46:05.152]  It's simple, legal, and we'll get the job done for you fast.
[00:46:05.152 --> 00:46:06.072]  It was amazing.
[00:46:06.072 --> 00:46:10.575]  They helped me consolidate all my credit card debt into one low monthly payment.
[00:46:10.575 --> 00:46:12.577]  Now, we don't have to file for bankruptcy.
[00:46:12.577 --> 00:46:15.759]  Managing one payment is giving me my life back.
[00:46:16.059 --> 00:46:20.843]  For a free debt evaluation and to learn how you can save thousands right now, call 800-237-7660.
[00:46:20.843 --> 00:46:21.083]  That's 1-800-237-7660.
[00:46:21.083 --> 00:46:21.123]  800-237-7660.
[00:46:32.222 --> 00:46:33.383]  You are a rebel.
[00:46:33.383 --> 00:46:34.124]  Admit it.
[00:46:34.124 --> 00:46:37.087]  You refuse to read the directions when assembling a new item.
[00:46:37.087 --> 00:46:39.490]  You won't ask for directions when you're lost.
[00:46:39.490 --> 00:46:43.434]  Once in a while, you drive in the carpool lane with only you in the car.
[00:46:43.434 --> 00:46:45.476]  Your neighbors call you a crackpot.
[00:46:45.476 --> 00:46:47.298]  And you can count your real friends on one hand.
[00:46:49.872 --> 00:46:52.193]  Alex Jones is working to save that very country.
[00:46:52.193 --> 00:46:52.794]  So go ahead, be a rebel.
[00:46:52.794 --> 00:46:54.595]  Put in a food supply from efoodsdirect.com.
[00:46:54.595 --> 00:46:56.656]  Everyone will realize you were not a nutcase after all.
[00:46:56.656 --> 00:46:57.597]  If you're going to pick
[00:47:19.701 --> 00:47:21.502]  Have enough food to keep on standing.
[00:47:21.502 --> 00:47:22.203]  800-409-5633. efoodsdirect.com.
[00:47:22.203 --> 00:47:22.543]  That's 800-409-5633.
[00:47:22.543 --> 00:47:24.424]  Are you tired of searching for great talk radio?
[00:47:24.424 --> 00:47:24.904]  Search no more.
[00:47:24.904 --> 00:47:25.785]  We are the GCN Radio Network.
[00:47:43.281 --> 00:47:46.284]  Evil minds that plot destruction.
[00:47:46.284 --> 00:47:48.605]  Sorcerers!
[00:47:48.605 --> 00:47:54.210]  Sorcerer of death's construction.
[00:47:54.210 --> 00:47:59.674]  In the fields the bodies burning.
[00:47:59.674 --> 00:48:04.978]  As the war machine keeps turning.
[00:48:04.978 --> 00:48:06.439]  Death and hatred to
[00:48:12.037 --> 00:48:18.541]  All right, ladies and gentlemen.
[00:48:18.541 --> 00:48:19.382]  The New World Order.
[00:48:19.382 --> 00:48:21.963]  All right, let me give you an actual document.
[00:48:21.963 --> 00:48:22.684]  Would you like to hear it?
[00:48:24.176 --> 00:48:38.263]  September 20th, 2001, Rebuilding America's Defenses, written by the Vice President, before he was Vice President, Dick Cheney, called for the use of race-specific bioweapons on third world populations.
[00:48:38.263 --> 00:48:44.006]  And even the Austin American Statesman wrote a rebuke, saying, what are you, Adolf Hitler, basically?
[00:48:45.712 --> 00:48:48.653]  Okay, folks, it's time to grow up and realize what we're dealing with now.
[00:48:48.653 --> 00:48:50.433]  Look, I believe this is just fear-mongering.
[00:48:50.433 --> 00:48:53.474]  It is a bad flu, gets you very sick.
[00:48:53.474 --> 00:48:57.194]  Any bad flu is gonna kill a certain amount of people.
[00:48:57.194 --> 00:49:04.716]  I got the flu one time, I was sick for a week and lost like 20 pounds when I was a teenager, and literally was hallucinating four or five days into it.
[00:49:04.716 --> 00:49:08.397]  And I had to go to the doctor and get shot up with some stuff, so I quit throwing up.
[00:49:08.397 --> 00:49:09.877]  You get dehydrated, that's what kills you.
[00:49:11.082 --> 00:49:13.482]  I guess they shot me up with Finnegran, I think they called it.
[00:49:13.482 --> 00:49:16.063]  That end of the nausea right there, and I could finally eat.
[00:49:16.063 --> 00:49:19.884]  But I was weak for weeks after.
[00:49:19.884 --> 00:49:24.704]  But this is clearly... I'm 95% there that it's manufactured.
[00:49:24.704 --> 00:49:27.765]  By the way, is Dr. D going to be on next hour, a little bit?
[00:49:27.765 --> 00:49:28.805]  Okay.
[00:49:28.805 --> 00:49:32.486]  Yeah, let's have him on at the last 20 minutes or so, real fast, to pop in.
[00:49:32.486 --> 00:49:33.466]  He's a medical doctor.
[00:49:33.466 --> 00:49:37.647]  I got a bunch of medical doctors lined up for the weekday show, coming up, who've been talking about this.
[00:49:37.647 --> 00:49:39.467]  Now, my earlier issue was,
[00:49:40.575 --> 00:49:42.197]  I've been covering bird flu.
[00:49:42.197 --> 00:49:47.041]  Paul, uh, Jaron, have I not been lately saying I feel bird flu's in the cards?
[00:49:47.041 --> 00:49:50.484]  I've, I, I, I mean, it's not like I'm psychic here.
[00:49:50.484 --> 00:49:52.305]  I studied the enemy.
[00:49:52.305 --> 00:49:53.386]  I studied their propaganda.
[00:49:53.386 --> 00:49:55.028]  I've seen them hyping bird flu.
[00:49:55.028 --> 00:49:59.312]  Uh, Baxter was mixing it in with the regular vaccines.
[00:49:59.312 --> 00:50:01.954]  You can't make stuff up like this.
[00:50:01.954 --> 00:50:07.419]  And then suddenly all these people are dying in Europe of bird flu and taking the vaccines and the media kind of just sweeps them out of the rug.
[00:50:08.584 --> 00:50:13.117]  And I said I feel a tremor in the force the last time I felt it was in the presence of my old master.
[00:50:13.117 --> 00:50:16.566]  Uh, and, uh, so something is going on.
[00:50:17.441 --> 00:50:19.242]  And I'm right here in Texas.
[00:50:19.242 --> 00:50:21.063]  I mean, they're shutting down schools here and there.
[00:50:21.063 --> 00:50:23.423]  There's cases more and more popping up in Texas.
[00:50:23.423 --> 00:50:25.224]  This is only just beginning.
[00:50:25.224 --> 00:50:28.906]  Whether it's a deadly flu or a moderate flu or a no-big-deal flu.
[00:50:28.906 --> 00:50:44.872]  But, you know, here they say it's no big deal and, you know, it isn't going to kill you, but in Mexico they're saying it's killed 80-something people, and that's the conservative number, and doctors are saying it's in the hundreds and hundreds and hundreds, and every caller I get says it's really bad, and everybody they know, or 70 percent, are sick.
[00:50:44.872 --> 00:50:46.293]  Let's go to Steve in
[00:50:47.984 --> 00:50:51.327]  How do I pronounce that?
[00:50:51.327 --> 00:50:53.408]  Topeak, Mexico.
[00:50:53.408 --> 00:50:54.890]  Steve, you are on the air, sir.
[00:50:54.890 --> 00:50:56.571]  Tell us what's going on.
[00:50:56.571 --> 00:50:57.932]  How's it going, Alex?
[00:50:57.932 --> 00:50:58.853]  This is Steve.
[00:50:58.853 --> 00:51:01.875]  I called you last night concerning the Aztec anews.
[00:51:01.875 --> 00:51:02.536]  Yes, that's right.
[00:51:02.536 --> 00:51:10.742]  You're married to a Mexican lady living down in Mexico, and you're telling me that, and I did confirm that he's on TV, the President's signal, where we've got a vaccine for you.
[00:51:10.742 --> 00:51:11.583]  What's the latest info?
[00:51:12.659 --> 00:51:12.999]  Correct.
[00:51:12.999 --> 00:51:15.181]  That aired last night at 7 p.m.
[00:51:15.181 --> 00:51:18.504]  and that was on Millennial and Aztec News.
[00:51:18.504 --> 00:51:22.648]  So I'm just gonna translate a little bit of what the speech was into English.
[00:51:22.648 --> 00:51:28.432]  On the first part of the speech it was, I have to tell you this is a serious moment to the national level.
[00:51:28.432 --> 00:51:39.082]  I have to mention it too, that this is about an epidemic, not because of the number of cases which are in a controllable range, it's because the virus has not been present in the world before.
[00:51:39.082 --> 00:51:39.342]  And then
[00:51:40.325 --> 00:51:41.487]  Well, that's total fear-mongering!
[00:51:41.487 --> 00:51:41.728]  I mean...
[00:51:53.134 --> 00:51:57.638]  They always act like they're trying to assuage fears, but they're actually hyping it.
[00:51:57.638 --> 00:52:00.520]  Every new virus is a new virus.
[00:52:00.520 --> 00:52:05.344]  I mean, there's literally, scientists say, millions of new flu viruses a year.
[00:52:05.344 --> 00:52:08.047]  They identify tens of thousands, but they can't go out and find them all.
[00:52:08.047 --> 00:52:09.528]  They guess there's millions.
[00:52:09.528 --> 00:52:15.013]  I mean, you've got thousands of different bacteria in your mouth alone in viruses.
[00:52:15.013 --> 00:52:18.916]  So he's saying, oh my gosh, it's deadly because it's so new.
[00:52:18.916 --> 00:52:19.817]  But, go ahead, sir.
[00:52:21.238 --> 00:52:32.281]  Uh, anyways, uh, an hour and a half after I got off air with you yesterday, they rebroadcasted it on the news, but they also cut out the part of his speech where he said this was good news and they do have a vaccine for it.
