[00:00:07.393 --> 00:00:10.658]  I love you folks.
[00:24:43.192 --> 00:24:43.753]  Two things.
[00:24:44.273 --> 00:24:45.313]  To pay for everything.
[00:24:45.753 --> 00:24:52.615]  To pay for the way it's been, the way it was set up, for all the millions of people that died and suffered for nothing in their lives.
[00:24:53.355 --> 00:24:55.536]  And also at the same time, for it to change.
[00:24:56.556 --> 00:25:01.837]  You know, everybody can be informed all they want, but I think these people are going to battle us until the very end.
[00:25:02.538 --> 00:25:04.058]  And it's not going to be a happy
[00:25:04.750 --> 00:25:07.191]  Revolution or some fearful pheromone.
[00:25:07.211 --> 00:25:07.832]  No, exactly!
[00:25:08.192 --> 00:25:13.075]  They are on point, they are vicious, they are wicked, they love stench and death and hurting goodness.
[00:25:13.095 --> 00:25:13.835]  I mean, they really do.
[00:25:14.335 --> 00:25:15.236]  They really are evil.
[00:25:15.276 --> 00:25:20.198]  When you talk to globalists, and I've been around them, they just go... I mean, they just enjoy it.
[00:25:20.218 --> 00:25:21.899]  They're like grinding on a nerve.
[00:25:21.959 --> 00:25:26.222]  It's like a... It's like a just... Oh, they're sick.
[00:25:26.562 --> 00:25:28.443]  It's just... And they're not going to give us a quarter.
[00:25:29.884 --> 00:25:30.544]  Anything else, sir?
[00:25:30.564 --> 00:25:31.425]  You're making some good points.
[00:25:31.485 --> 00:25:31.865]  Anything else?
[00:25:32.410 --> 00:25:39.852]  Uh, I just, I mean, if you can talk about what's it gonna take for all this to change and stay changed and get these people out of power, that's my concern.
[00:25:39.872 --> 00:25:41.973]  I'll tell you what, I'll talk about that when we get back.
[00:25:41.993 --> 00:25:47.015]  Stay there, I'm gonna get your comment on my points and then we're gonna, at the bottom of the hour, we'll play these video clips coming up.
[00:25:47.035 --> 00:25:51.056]  Looks like they've taken the Hillary video down that I saw with her saying she works for the CFR.
[00:25:51.721 --> 00:25:58.568]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[00:25:58.868 --> 00:26:14.763]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[00:26:15.063 --> 00:26:20.207]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[00:26:20.427 --> 00:26:26.712]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[00:26:26.952 --> 00:26:30.595]  If so, this will be the most important information you have ever heard.
[00:26:30.835 --> 00:26:33.437]  Solar-powered generators are finally available.
[00:26:33.537 --> 00:26:38.901]  They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[00:26:39.201 --> 00:26:41.822]  Remember, the government doesn't own the sun.
[00:26:41.882 --> 00:26:44.084]  So go to MySolarBackup.com.
[00:26:44.104 --> 00:26:46.565]  That's MySolarBackup.com.
[00:26:46.605 --> 00:26:50.947]  Check out MySolarBackup.com before you lose your power.
[00:26:52.468 --> 00:26:56.190]  Hi, this is John Swenson again at Midas Resources and let me ask just one question.
[00:26:56.971 --> 00:27:00.033]  What would you list as the things that the federal government does really well?
[00:27:00.694 --> 00:27:03.036]  The armed forces and printing bogus money doesn't count.
[00:27:03.576 --> 00:27:09.560]  Now take that blank page of yours and list the ways that you have to protect your assets and escape the paper markets.
[00:27:10.161 --> 00:27:11.982]  The only real option is precious metals.
[00:27:12.523 --> 00:27:18.267]  For your retirement, your kid's education, or just plain survival when the whole Obama mess comes crashing down.
[00:27:19.188 --> 00:27:21.810]  You are the only one you can count on for a stimulus package.
[00:27:22.310 --> 00:27:26.233]  And I'd like to discuss a proven strategy to create that safety net for you and your family.
[00:27:26.795 --> 00:27:30.999]  Please give me a call at 800-686-2237, extension 128.
[00:27:31.239 --> 00:27:35.784]  That's 800-686-2237, extension 128.
[00:27:36.845 --> 00:27:40.128]  And together we can develop a Make Sense program before the clock runs out.
[00:27:40.749 --> 00:27:42.490]  Once more, John Swenson at 800-686-2237, extension 128.
[00:27:42.530 --> 00:27:44.072]  And take charge of your future and thank you.
[00:27:52.210 --> 00:27:57.517]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:27:58.237 --> 00:28:03.584]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:28:04.124 --> 00:28:10.292]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:28:10.532 --> 00:28:12.433]  Well, Obama's already fudging.
[00:28:12.573 --> 00:28:14.975]  He's fudged since day one in this election.
[00:28:15.055 --> 00:28:25.981]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:28:28.222 --> 00:28:29.523]  It's not about left or right.
[00:28:29.903 --> 00:28:31.304]  It's about a one-world government.
[00:28:31.764 --> 00:28:37.988]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:28:38.661 --> 00:28:46.424]  Get your copy of the Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:28:46.924 --> 00:28:48.044]  The Obama Deception.
[00:28:48.504 --> 00:28:49.765]  The people strike back.
[00:28:51.545 --> 00:28:58.047]  This is Alex Jones and I want to tell you about Graf Undersafes.com, the makers of the highest quality vault doors and safes available.
[00:28:58.547 --> 00:29:01.188]  Graf Undersafes are known as the Rolls-Royce of safes.
[00:29:01.548 --> 00:29:06.330]  Since 1968, they have operated based on their original principle, quality above all else.
[00:29:06.730 --> 00:29:11.874]  Whether it's a custom-fitted vault door or safe, you can rest assured that your valuables will be protected.
[00:29:12.154 --> 00:29:15.696]  Do not buy into the illusion of security at GraffUndersafes.com.
[00:29:15.776 --> 00:29:18.638]  The security of your valuables is their sole purpose.
[00:29:18.958 --> 00:29:23.581]  Go to GraffUndersafes.com today to see the entire line of amazing products available.
[00:29:23.941 --> 00:29:29.185]  Graff Undersafes use only the highest quality heavy metals and cold steel locking bolts.
[00:29:29.645 --> 00:29:33.708]  Graff Undersafes are fire and burglar resistant and they even come with a lifetime warranty.
[00:29:34.208 --> 00:29:35.549]  Protect the things you care about.
[00:29:35.569 --> 00:29:37.329]  Go to graphundersafes.com.
[00:29:37.610 --> 00:29:41.091]  That's G-R-A-F-F-U-N-D-E-R, safes.com.
[00:29:41.471 --> 00:29:42.392]  Or give them a call at 866-457-1801.
[00:29:42.492 --> 00:29:43.992]  Or click on their banner at infowars.com today.
[00:29:59.107 --> 00:30:13.316]  To answer Chad in Florida's question... How do we wake people up?
[00:30:13.356 --> 00:30:15.937]  How do we get them involved?
[00:30:17.078 --> 00:30:18.199]  How do we get them to see the light?
[00:30:21.160 --> 00:30:23.622]  Our culture has degenerated very slowly.
[00:30:24.915 --> 00:30:27.697]  And it's all been adopted as habits.
[00:30:28.318 --> 00:30:35.423]  And the globalists take a lot of evil things and bad things, we do naturally, and they accentuate them.
[00:30:36.284 --> 00:30:37.665]  They legitimize them.
[00:30:38.646 --> 00:30:42.749]  They say it's honorable not to care about your neighbor, honorable to not be involved.
[00:30:48.133 --> 00:30:51.256]  And it's going to take people breaking out of the control mode.
[00:30:52.659 --> 00:30:57.883]  It's going to take individuals realizing they're not fulfilled because they're not living right.
[00:30:58.904 --> 00:30:59.925]  And they're not informed.
[00:31:00.706 --> 00:31:05.650]  And their subconscious mind knows they're being scammed and lied to and that bad things are going on.
[00:31:07.371 --> 00:31:16.058]  And they're not going to get fulfillment diving deeper into denial.
[00:31:16.619 --> 00:31:18.440]  Deeper into the sick culture.
[00:31:19.421 --> 00:31:20.482]  Yet they're only going to get
[00:31:21.946 --> 00:31:31.090]  Fulfillment by finding out the truth and standing up for what's good and pure and honest and wholesome.
[00:31:32.690 --> 00:31:33.791]  And the globalists know that.
[00:31:33.851 --> 00:31:41.614]  They know we're having a cultural crisis worldwide in this controlled high-tech society and all the changes that are happening.
[00:31:43.499 --> 00:31:50.522]  And so, they come out and say, oh, we need to have a green revolution to fix all this and a new way of life and simplicity.
[00:31:50.962 --> 00:31:55.885]  And they say a lot of things that are true, but then piggyback on that all of their tyranny and control.
[00:31:57.525 --> 00:32:05.489]  So, they have a lot of the best and brightest and good people working with them, believing they're doing it for the greater good.
[00:32:05.529 --> 00:32:10.251]  It's psychology, it's sociology, it's anthropology.
[00:32:10.791 --> 00:32:12.192]  The establishment knows what they're doing.
[00:32:13.464 --> 00:32:21.092]  So it takes people kind of breaking out of the status quo, the comfort zone they're in, and seeing the bigger picture.
[00:32:23.595 --> 00:32:36.008]  And because the globalists are making their move from a somewhat controlled society to a totally controlled, feudal, neo-serf society, people are getting uncomfortable now.
[00:32:37.346 --> 00:32:39.728]  And they're starting to stand up and say no.
[00:32:40.148 --> 00:32:52.737]  But the globalists foresaw all of that decades ago and have been setting up a giant archipelago of prisons and police and surveillance and military and citizen surveillance squads.
[00:32:53.938 --> 00:32:58.561]  And as they implode the economy, there's only going to be jobs serving the system.
[00:33:01.063 --> 00:33:04.245]  Even if you work for a corporation, it's going to be servicing a government contract.
[00:33:06.587 --> 00:33:12.489]  So our society is converting to a planned, organized, highly controlled tyranny.
[00:33:15.710 --> 00:33:18.250]  And so, take the issue of eugenics.
[00:33:20.491 --> 00:33:32.715]  I get up here on air and I read from all these textbooks and government documents how they want to poison the water in the air and how they want to sterilize us, which they are doing, and how they want to break up the families and have CPS, you know, in the nuclear family.
[00:33:32.755 --> 00:33:33.935]  This is stated policy.
[00:33:37.785 --> 00:33:42.007]  In scores of government management level manuals.
[00:33:43.328 --> 00:33:44.048]  And we're here now.
[00:33:45.029 --> 00:33:51.492]  And I tell you folks, this is, for all of human society, this has been recognized as despotism.
[00:33:52.772 --> 00:33:53.433]  As the tyrant.
[00:33:54.853 --> 00:34:03.838]  And they may try to package it up in 21st century bows and paper and bells and whistles, but it's bad.
[00:34:06.058 --> 00:34:08.779]  And so it's going to take a lot of people getting hurt by the system.
[00:34:09.879 --> 00:34:18.242]  But if we don't speak out and point out what this really is, then as the system gets more abusive, people won't even be able to recognize that.
[00:34:18.662 --> 00:34:21.583]  They'll get caught up in the moment and not see the big picture.
[00:34:22.043 --> 00:34:27.745]  Our job is just to get folks to pull back, see the big picture, not get so caught in the everyday
[00:34:29.088 --> 00:34:39.872]  Grind the everyday groove of doing the same thing the same way that they let life pass them by without ever thinking, what makes human societies operate?
[00:34:39.932 --> 00:34:42.373]  What makes me want the things I want?
[00:34:42.453 --> 00:34:44.073]  What makes me do the things I do?
[00:34:48.475 --> 00:34:53.217]  So it's gonna take, really all I am is like a cold bucket of water on somebody to wake them up.
[00:34:54.877 --> 00:34:57.058]  And I'm ham-fisted half the time, I'm not perfect.
[00:34:58.499 --> 00:35:04.222]  But I'm jolting people out of their status quo, and that's what we all have to do.
[00:35:05.043 --> 00:35:09.566]  You don't have to get somebody to believe exactly what you believe or to go out and take action immediately.
[00:35:09.906 --> 00:35:11.347]  It's only waking them up.
[00:35:11.547 --> 00:35:13.748]  America and the world need to awaken.
[00:35:14.088 --> 00:35:16.210]  Does that answer your question, Chad in Florida?
[00:35:17.671 --> 00:35:18.731]  Yes, yes it does.
[00:35:18.791 --> 00:35:24.094]  I mean, the one thing that I was pointing out was just what is everybody going to pay that set all this up?
[00:35:24.155 --> 00:35:26.376]  I mean, I'm concerned about that, you know.
[00:35:28.260 --> 00:35:30.541]  Well, I do want to bring the globalists to justice as well.
[00:35:30.861 --> 00:35:34.762]  But, I mean, first I'm just trying to slow down their operation.
[00:35:36.762 --> 00:35:38.583]  Then we can beat them, then we can bring them to justice.
[00:35:38.603 --> 00:35:39.383]  We'll be right back.
[00:35:41.943 --> 00:35:42.844]  We're on the march.
[00:35:43.324 --> 00:35:44.924]  The empire's on the run.
[00:35:45.864 --> 00:35:48.545]  Alex Jones and the GCN Radio Network.
[00:35:51.015 --> 00:35:52.115]  This is Alex Jones.
[00:35:52.395 --> 00:35:54.196]  Have you heard of the Millionaire Patriot?
[00:35:54.396 --> 00:35:55.036]  Well, you should.
[00:35:55.376 --> 00:35:59.618]  He has a free handgun and five days of firearms training waiting for you.
[00:35:59.858 --> 00:36:00.358]  That's right.
[00:36:00.678 --> 00:36:10.582]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:36:10.682 --> 00:36:11.822]  Plus, if you act fast,
[00:36:12.042 --> 00:36:17.664]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:36:18.025 --> 00:36:24.547]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:36:24.928 --> 00:36:30.110]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:36:30.430 --> 00:36:31.591]  This is real.
[00:36:31.892 --> 00:36:32.632]  Don't miss out.
[00:36:32.953 --> 00:36:41.322]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:36:41.522 --> 00:36:43.704]  Go to FrontSight.com today.
[00:36:43.884 --> 00:36:47.388]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:36:47.588 --> 00:36:50.491]  Go to FrontSight.com for your training and free gun.
[00:36:51.272 --> 00:36:56.235]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:37:21.152 --> 00:37:21.352]  We're good.
[00:37:51.274 --> 00:37:52.835]  Hello friends, this is Alex Jones.
[00:37:52.955 --> 00:37:57.616]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:37:57.676 --> 00:38:00.437]  We need to be independent, and food and water is the key.
[00:38:00.638 --> 00:38:03.519]  You'll never have to stand in a bread line if you have your own bread.
[00:38:03.679 --> 00:38:09.541]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:38:09.761 --> 00:38:12.704]  No one is going to take care of your family in the final equation, but you.
[00:38:13.004 --> 00:38:19.911]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:38:20.011 --> 00:38:23.134]  And they do it at almost half the cost of last year's grocery prices.
[00:38:23.274 --> 00:38:23.474]  Call 1-800-409-5633.
[00:38:23.534 --> 00:38:25.156]  Or on the web, go to efoodsdirect.com.
[00:38:28.419 --> 00:38:34.502]  Visit eFoodsDirect.com and look over the fine list of high quality, pre-scribed, and dehydrated foods they have to offer.
[00:38:34.682 --> 00:38:38.444]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:38:38.464 --> 00:38:39.784]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:38:39.804 --> 00:38:40.385]  Take action today.
[00:38:40.425 --> 00:38:42.246]  The first step is getting storable food.
[00:39:02.597 --> 00:39:14.707]  I know I've covered this repeatedly on air in the last few days, but you want to know what the solution is, I'm looking at it.
[00:39:16.288 --> 00:39:25.116]  And you heard the last caller where they went to a big event in Louisiana with all these different cabinet heads pushing
[00:39:27.315 --> 00:39:30.896]  For government takeover of health care, grabbing more of the economy.
[00:39:31.696 --> 00:39:33.337]  GM, Chrysler isn't enough.
[00:39:33.377 --> 00:39:36.898]  The banking isn't enough.
[00:39:36.918 --> 00:39:42.819]  23 plus trillion in the last nine months isn't enough for them.
[00:39:44.940 --> 00:39:47.181]  This is John in Tampa Bay, Florida.
[00:39:49.161 --> 00:39:51.802]  Activity report for your encouragement.
[00:39:53.254 --> 00:39:55.815]  Hello, just to let you know what is happening in Tampa Bay.
[00:39:55.935 --> 00:40:06.198]  On July 4th holiday, I was able to get about 240 Obama deception videos at events that day, including a tea party on a major roadway.
[00:40:06.759 --> 00:40:09.179]  Cars at the intersection got the most DVDs.
[00:40:09.840 --> 00:40:12.340]  Also, a fireworks event was a hit.
[00:40:14.261 --> 00:40:17.002]  At the fireworks event, the city of Tampa police officer approached me.
[00:40:17.482 --> 00:40:19.183]  I had on my attorney response team uniform.
[00:40:19.823 --> 00:40:22.344]  He saw what I was doing and he wanted a free DVD.
[00:40:23.982 --> 00:40:28.383]  I thanked him for taking it and told him we were depending on him to uphold the Constitution.
[00:40:28.863 --> 00:40:29.764]  He said he would do his best.
[00:40:30.884 --> 00:40:40.446]  This last Saturday, this is a week later, July 11th, I passed out DVDs at a busy intersection at a red light, passing them out to cars and pedestrians alike.
[00:40:41.066 --> 00:40:46.128]  At one point, a Hillsborough County Sheriff pulled up and rolled down his window.
[00:40:46.588 --> 00:40:50.169]  He asked, is this Alex Jones movie?
[00:40:50.289 --> 00:40:50.529]  Yes.
[00:40:51.604 --> 00:40:52.745]  I have watched it several times.
[00:40:53.205 --> 00:40:55.607]  He had a copy of the DVD on his car seat and showed me.
[00:40:55.867 --> 00:40:56.467]  I said, wow!
[00:40:57.308 --> 00:41:00.330]  A few minutes later he was able to pull off the road to talk.
[00:41:00.990 --> 00:41:10.036]  He said that his brother had sent him the DVD and he'd heard several of Alex's movies, had several of them, and was a regular listener of the radio show via internet.
[00:41:10.776 --> 00:41:13.858]  I told him also that we were depending on him to uphold the Constitution.
[00:41:14.238 --> 00:41:18.021]  We shook hands in parting and he said the answer to 1984 is 1776.
[00:41:21.288 --> 00:41:23.350]  Well, I was on cloud nine after this.
[00:41:23.830 --> 00:41:25.412]  I hope you're encouraged as well.
[00:41:25.892 --> 00:41:26.933]  I believe we're going to win.
[00:41:27.253 --> 00:41:27.814]  We have to.
[00:41:27.894 --> 00:41:31.217]  Sincerely, John in Tampa Bay, Florida.
[00:41:31.357 --> 00:41:39.304]  Now, there's a video I'm going to play a little bit later in the hour titled 21st Century Traitors.
[00:41:39.324 --> 00:41:43.829]  It's up on InfoWars.com and PrisonPlanet.com.
[00:41:44.149 --> 00:41:45.090]  Posted it this weekend.
[00:41:47.102 --> 00:41:52.024]  And this is police running warrantless checkpoints and arresting people that refuse to be searched.
[00:41:52.964 --> 00:41:56.005]  It's police telling folks they have to have a permit to protest.
[00:41:57.325 --> 00:42:02.887]  We've seen the videos of police coming and saying you can't stand off the side of a highway with a banner.
[00:42:04.088 --> 00:42:11.130]  Police saying that you can't stand out front of a mall on public property and hand out DVDs and arresting people.
[00:42:13.071 --> 00:42:16.472]  Our own cameramen had Federal Reserve security guards
[00:42:17.958 --> 00:42:28.301]  Walk half a mile down the road on the city property, there's a local World War I memorial in Kansas City, and say, we're going to arrest you if you don't leave.
[00:42:29.021 --> 00:42:34.322]  And my guys could have, I guess, just stayed and got arrested, but they wanted to, you know, get back to Austin with their footage.
[00:42:34.942 --> 00:42:36.563]  They'd been there to interview an economist.
[00:42:38.717 --> 00:42:40.558]  I mean, the point is, that's tyranny.
[00:42:41.379 --> 00:42:48.823]  So, that's 1984, and the answer is 1776, the police should be wanting political material.
[00:42:49.103 --> 00:42:50.304]  They should be involved.
[00:42:50.344 --> 00:42:58.749]  They should be there to guard people's First Amendment, and stop other people from attacking a demonstration.
[00:43:00.850 --> 00:43:03.492]  But instead, as you see in my mini-film,
[00:43:08.024 --> 00:43:19.631]  Battle for the Republic, the extra, one of the extras on Endgame, Blueprint for Global Enslavement, has Battle for the Republic featurette with extended interviews and footage.
[00:43:21.452 --> 00:43:24.134]  The illegal aliens are doing a non-permanent demonstration.
[00:43:24.654 --> 00:43:30.778]  They're blocking traffic for hours, huge tens of thousands in Seattle.
[00:43:34.013 --> 00:43:49.481]  Some of the citizens start protesting back, and the cops come over, take the guy out of the car, he's not resisting, ram his head into the ground, blood starts pouring out his eyebrows, the illegal aliens come over and celebrate, and the cops are high-fiving him.
[00:43:49.562 --> 00:43:50.042]  Yeah!
[00:43:50.622 --> 00:43:51.022]  Yeah!
[00:43:51.042 --> 00:43:59.467]  Because see, you the illegal alien, the invader, helping to break down the United States, bankrupt the states, you were smiled on by the globalists.
[00:44:01.084 --> 00:44:05.065]  But this citizen that dare protest back, he's bad.
[00:44:07.005 --> 00:44:07.225]  That's 1984.
[00:44:07.686 --> 00:44:10.126]  The answer to that is 1776.
[00:44:10.286 --> 00:44:19.788]  But let's go ahead now and play Hillary, being introduced by Richard N. Haas, head of the Council on Foreign Relations.
[00:44:20.929 --> 00:44:26.510]  And she says, you know, we get a lot of advice from you guys, and she says, I'm really glad there's a D.C.
[00:44:26.930 --> 00:44:29.751]  Council on Foreign Relations because it's closer than New York.
[00:44:31.874 --> 00:44:41.361]  The Council on Foreign Relations set up in 1921 by British intelligence publicly to help take over the United States as a Cecil Rhodes Roundtable Group.
[00:44:41.842 --> 00:44:43.203]  And Cecil Rhodes bragged about it.
[00:44:43.243 --> 00:44:47.766]  Carol Quigley wrote a book about it in 1969, the head of Georgetown Political Science.
[00:44:49.828 --> 00:45:01.497]  Just two weeks ago I showed you the Council on Foreign Relations website where it said the CFR has written Obama's Comprehensive Immigration Reform Plan.
[00:45:03.942 --> 00:45:06.703]  And that Jeb Bush has written it, and that Obama is going to adopt it.
[00:45:09.104 --> 00:45:13.505]  Showing that this tyranny is bipartisan, that there is no partisanship at the top.
[00:45:14.846 --> 00:45:21.448]  But the CFR, you have to read the CFR to see what the plan is going to say, because Congress is writing the bill now and is making it secret.
[00:45:21.888 --> 00:45:26.210]  But we always know what the bill is going to say, because the CFR probably writes.
[00:45:29.691 --> 00:45:31.291]  They write close to 100%.
[00:45:33.738 --> 00:45:35.679]  Of big policy bills.
[00:45:36.039 --> 00:45:36.979]  Healthcare, they wrote.
[00:45:38.139 --> 00:45:39.860]  Amnesty, the last four times they wrote.
[00:45:40.740 --> 00:45:41.660]  They slightly changed it.
[00:45:41.700 --> 00:45:43.540]  North American Union, SPP, they wrote.
[00:45:45.361 --> 00:45:47.461]  They wrote the greenhouse gas tax plan.
[00:45:47.902 --> 00:45:54.203]  They've written the terraforming geoengineering chemtrail report, written six years ago, now being adopted word for word.
[00:45:56.624 --> 00:46:00.565]  What you see from them years ago, word for word, is then in the Wall Street Journal.
[00:46:01.245 --> 00:46:01.885]  On every issue.
[00:46:05.279 --> 00:46:17.881]  They wrote the entire Homeland Security proposal that was then adopted word for word into law as this new giant bureaucracy above all federal agencies.
[00:46:19.542 --> 00:46:23.703]  And it's filled with CFR members, so it's a revolving door between government and the CFR.
[00:46:25.343 --> 00:46:26.663]  Here's the CFR, here's the government.
[00:46:26.683 --> 00:46:30.584]  They just, they interweave themselves.
[00:46:34.298 --> 00:46:35.059]  This is the government.
[00:46:35.619 --> 00:46:39.742]  And I had to, in college, hear Rush Limbaugh say it didn't exist.
[00:46:41.043 --> 00:46:44.566]  And if you're a new listener, know I'm not a Democrat or a Socialist or a Liberal.
[00:46:45.767 --> 00:46:50.670]  If you criticize Rush Limbaugh, that doesn't mean you're automatically in the Liberal-Conservative camp.
[00:46:51.511 --> 00:46:54.673]  I'm mad at the leftist publications that said it didn't exist.
[00:46:55.694 --> 00:47:00.498]  Because when you boil down Rush Limbaugh versus a Democrat pundit, it's the same thing.
[00:47:01.058 --> 00:47:02.039]  Just different rhetoric.
[00:47:02.239 --> 00:47:03.580]  But the same endgame.
[00:47:07.116 --> 00:47:18.689]  The issue is the CFR does exist and they brag everywhere, everywhere, that they are setting the policy and running this country.
[00:47:20.030 --> 00:47:26.037]  And in fact, now that I'm thinking about it, it's actually in Endgame, but pull up the clip
[00:47:27.765 --> 00:47:32.046]  Cheney says he doesn't tell constituents about CFR.
[00:47:32.126 --> 00:47:33.707]  He says the same thing, but worse.
[00:47:33.727 --> 00:47:39.808]  You know, I don't tell my constituents that I was the president of the CFR back home in Wyoming.
[00:47:41.669 --> 00:47:48.351]  Yeah, back 10 years ago, you couldn't tell your constituents it even existed.
[00:47:48.851 --> 00:47:51.732]  Because, you know, that's a conspiracy theorist thing.
[00:47:53.492 --> 00:47:55.573]  But see, now that they think they've got us where they want us,
[00:47:58.643 --> 00:48:00.884]  They're going ahead and announcing it all, but here she is.
[00:48:05.287 --> 00:48:10.150]  Thank you very much, Richard, and I am delighted to be here in these new headquarters.
[00:48:11.251 --> 00:48:21.217]  I have been often to, I guess, the mothership in New York City, but it's good to have an outpost of the Council right here down the street from the State Department.
[00:48:21.917 --> 00:48:26.100]  We get a lot of advice from the Council, so this will mean I won't have as far to go to
[00:48:27.267 --> 00:48:32.271]  Be told what we should be doing and how we should think about the future.
[00:48:32.932 --> 00:48:35.974]  Richard just gave what... Now did you see that?
[00:48:36.555 --> 00:48:42.740]  And her posture and her words, her body language is, you're my boss.
[00:48:42.900 --> 00:48:48.004]  And Richard in Haas is one of the co-presidents of America.
[00:48:49.145 --> 00:48:50.206]  In the power structure,
[00:48:52.961 --> 00:48:56.163]  It goes basically in government circles, quasi-government.
[00:48:56.744 --> 00:48:58.425]  Federal Reserve isn't government, it's private.
[00:48:58.705 --> 00:49:00.507]  Neither is the CFR, but they have government power.
[00:49:00.527 --> 00:49:05.671]  I mean, they write the real legislation, the master legislation, the master key.
[00:49:07.052 --> 00:49:08.032]  They are the key masters.
[00:49:13.857 --> 00:49:20.422]  Ben Bernanke, then under him, Treasury Secretary Geithner, under him, Richard Inhofe,
[00:49:22.099 --> 00:49:26.202]  And then advising all three of those posts as the Trilateral Commission Chairman.
[00:49:27.964 --> 00:49:40.994]  And then when you go to a CFR meeting to cover it, it's the heads of the CFR, head of the Trilateral Commission, head of the Royal Institute of International Affairs, the heads of the world's major roundtable groups from the top 15, 20 governments are all there.
[00:49:43.419 --> 00:49:44.819]  The uh... G8s there.
[00:49:45.980 --> 00:49:46.800]  These are the guys.
[00:49:46.900 --> 00:49:47.500]  It's real funny.
[00:49:47.860 --> 00:49:52.682]  These guys have stolen twenty plus trillion in the last nine months and it's funny to them.
[00:49:53.682 --> 00:49:55.162]  And they're going to tax your toilet paper.
[00:49:55.482 --> 00:49:59.763]  They're going to tax beef, ice cream, your house, home inspections, youth brigades.
[00:50:00.984 --> 00:50:02.164]  And they're arming up, folks.
[00:50:02.244 --> 00:50:03.464]  These people are killers.
[00:50:04.545 --> 00:50:08.786]  Zbigniew Brzezinski, one of their chief advisors, wrote a book two years ago bragging
[00:50:09.591 --> 00:50:16.459]  That his government under Nixon funded Pol Pot that killed 3 million people or 30% of Cambodia.
[00:50:17.299 --> 00:50:19.582]  They'll pull a trigger on you in a minute.
[00:50:20.403 --> 00:50:26.590]  They're funding and writing, the CFR writes the plans for coups in third world countries.
[00:50:27.070 --> 00:50:29.453]  This is a gang of murdering crooks.
[00:50:31.792 --> 00:50:34.054]  Now there's over 4,000 members of the CFR now.
[00:50:34.294 --> 00:50:36.796]  The top 300 or so are murdering crooks.
[00:50:37.617 --> 00:50:40.799]  An Angelina Jolie or somebody, you know, she's going to join it.
[00:50:42.041 --> 00:50:42.841]  For whatever reasons.
[00:50:43.382 --> 00:50:44.222]  Doesn't look good though.
[00:50:44.823 --> 00:50:46.084]  Alright, let's go to Dick Cheney.
[00:50:46.124 --> 00:50:46.844]  Here's Dick Cheney.
[00:50:49.046 --> 00:50:50.608]  Saying he doesn't tell the slaves.
[00:50:51.248 --> 00:50:56.272]  I've been a member for a long time and was actually a director for some period of time.
[00:50:57.033 --> 00:51:00.516]  I never mentioned that when I was campaigning for re-election back home in Wyoming.
[00:51:02.142 --> 00:51:06.864]  Yeah, why don't you... That's a clip from Endgame.
[00:51:06.884 --> 00:51:09.965]  Why don't you find the longer clip, actually from C-Span.
[00:51:10.405 --> 00:51:14.006]  Try Dick Cheney CFR.
[00:51:14.206 --> 00:51:15.486]  It'll be one of the ones that comes up.
[00:51:16.167 --> 00:51:19.848]  Or try... And this is good we do this on air, because it shows others how to find this.
[00:51:19.908 --> 00:51:22.109]  I mean, it's like showing somebody how to ride a bike.
[00:51:22.149 --> 00:51:22.529]  It's easy.
[00:51:22.809 --> 00:51:24.990]  Not like saying, ooh, we know how to find stuff.
[00:51:25.050 --> 00:51:25.870]  Oh, we're so smart.
[00:51:26.310 --> 00:51:29.291]  It's good to show folks how easy it is to find stuff for themselves.
[00:51:31.696 --> 00:51:34.437]  Uh, try... Yeah, that's it.
