[00:00:00.655 --> 00:00:01.636]  Initiate launch.
[00:49:33.107 --> 00:49:45.721]  bubble they engineered this is on record by design in twenty nine and so they do the same thing then they give us an income tax then they give us the federal control they expand their power and now they're making a move much bigger but globally this time
[00:49:47.139 --> 00:50:00.144]  And I think the globe is rebelling against that, and that's the real underlying reason between these riots in Greece, and Iceland, and Ireland, and France, and all these other places where people are standing up and saying they recognize what's going on.
[00:50:00.184 --> 00:50:01.844]  They've seen the guy behind the curtain.
[00:50:01.864 --> 00:50:08.767]  They realize it's all a scam that's designed to reduce them to being indentured servants for the rest of their life.
[00:50:09.167 --> 00:50:10.548]  And they're fighting back against it.
[00:50:10.648 --> 00:50:13.689]  And as I said, I don't understand why we're not seeing it here in the U.S.
[00:50:13.729 --> 00:50:13.869]  yet.
[00:50:14.775 --> 00:50:16.916]  Well, Mike, I can pull up the mainstream news articles.
[00:50:16.956 --> 00:50:27.040]  I'm sure you've seen them, where they've proposed putting serotonin reuptake inhibitors, or the Prozac class of drugs, which are also fluoride-based, for those that don't know, in the water supply.
[00:50:27.520 --> 00:50:30.561]  They just manipulate the fluoride molecule, according to scientists we've interviewed.
[00:50:31.401 --> 00:50:38.285]  Uh, and so, um, and for some reason there are much higher levels of these drugs in water supplies where it shouldn't even be there.
[00:50:38.665 --> 00:50:40.086]  You know, these are water supplies, many of them.
[00:50:40.246 --> 00:50:45.629]  I've seen the articles where there isn't runoff from sewage, from humans, you know, putting it into the sewage system.
[00:50:45.849 --> 00:50:47.770]  So why is it there in high levels, Mike?
[00:50:47.790 --> 00:50:49.071]  You think an Easter Bunny put it there?
[00:50:50.331 --> 00:50:54.554]  Well, I'm not sure, but I know you can't go in and examine the water systems these days.
[00:50:55.774 --> 00:50:56.835]  Government loves us, don't they?
[00:50:58.766 --> 00:51:00.267]  They really care about us a lot, folks.
[00:51:00.307 --> 00:51:01.268]  Drink lots of tap water.
[00:51:01.288 --> 00:51:04.931]  You see all the TV ads saying, drink tap water, it's safe, it's good.
[00:51:04.951 --> 00:51:07.113]  They also tell you corn syrup's good.
[00:51:07.133 --> 00:51:09.495]  It's filled with mercury, of course.
[00:51:09.515 --> 00:51:10.897]  Stay with us.
[00:51:11.607 --> 00:51:19.693]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:51:19.873 --> 00:51:24.256]  In these troubled times, one of the most important things your family can have is good health.
[00:51:24.436 --> 00:51:28.939]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:51:29.099 --> 00:51:30.500]  It's a documented fact.
[00:51:31.380 --> 00:51:37.983]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:51:38.144 --> 00:51:49.989]  Now, you can fight internal parasites, heavy metals and high cholesterol naturally and safely by mixing fossilized phytoplankton powder also known as FPP with your favorite beverage once a day.
[00:51:50.229 --> 00:51:53.891]  FPP is now available to you from FreshwaterOrganics.com.
[00:51:54.511 --> 00:51:56.914]  A two-month supply starts at just $17.
[00:51:57.654 --> 00:52:01.318]  FPP is so affordable you can't afford to do without.
[00:52:01.378 --> 00:52:04.661]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:52:04.681 --> 00:52:04.881]  That's 888-949-3570.
[00:52:11.588 --> 00:52:13.609]  May I have everybody's attention, please?
[00:52:13.749 --> 00:52:16.050]  I've come with a message of information.
[00:52:16.070 --> 00:52:18.270]  9-11 was an inside job.
[00:52:18.410 --> 00:52:19.971]  Do you like being a puppet, sir?
[00:52:20.011 --> 00:52:21.611]  Do you like being a puppet for the New World Order?
[00:52:21.711 --> 00:52:24.532]  How do the American people know that 9-11 was a stage?
[00:52:24.572 --> 00:52:28.234]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:52:37.877 --> 00:52:42.804]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:52:44.026 --> 00:52:45.127]  An inside job.
[00:52:46.540 --> 00:52:47.620]  How dare you?
[00:52:47.780 --> 00:52:54.042]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:52:54.062 --> 00:52:56.843]  All hell is breaking loose on 6th Avenue.
[00:52:56.943 --> 00:53:03.125]  And if the government has not told the truth, in five years we will be here on the 10th anniversary of... Truth Rising.
[00:53:03.145 --> 00:53:05.986]  Download the film at prisonplanet.tv right now.
[00:53:06.246 --> 00:53:08.246]  Or get the DVD at infowars.com.
[00:53:08.506 --> 00:53:10.987]  It's now time to take the revolution to the next level.
[00:53:11.730 --> 00:53:16.031]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[00:53:16.291 --> 00:53:18.891]  Can't afford a new vehicle or even an expensive repair?
[00:53:19.172 --> 00:53:25.753]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[00:53:25.953 --> 00:53:29.734]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[00:53:29.914 --> 00:53:36.015]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[00:53:36.275 --> 00:53:40.661]  We'll give you enough Protecta Engine Oil Booster for five complete oil changes for only $22.95.
[00:53:41.002 --> 00:53:44.246]  That's enough for two vehicles for up to one year.
[00:53:44.507 --> 00:53:46.329]  Start taking care of your vehicle today.
[00:53:46.630 --> 00:53:49.594]  Take advantage of this limited time offer and receive free shipping.
[00:53:49.754 --> 00:53:53.279]  Protecta Engine Oil Booster is the last defense against engine wear.
[00:53:53.459 --> 00:53:56.102]  Go to oilcompanysecret.com or call 1-888-873-7371.
[00:53:56.142 --> 00:53:57.003]  That's oilcompanysecret.com or 888-873-7371.
[00:53:57.023 --> 00:53:58.265]  Satisfaction guaranteed or your money back.
[00:53:58.305 --> 00:54:00.307]  Call 888-873-7371 or visit oilcompanysecret.com.
[00:54:13.706 --> 00:54:17.567]  All right, let's go right back into this transmission, ladies and gentlemen.
[00:54:18.648 --> 00:54:25.490]  You know, I mentioned that 90% of baby formula has melamine that attacks their brains and kidneys and every other organ.
[00:54:26.670 --> 00:54:28.211]  I mentioned this a week and a half ago.
[00:54:28.231 --> 00:54:29.571]  I got emails not believing it.
[00:54:29.631 --> 00:54:30.992]  It's in hundreds of publications.
[00:54:31.352 --> 00:54:33.953]  Study finds high fructose corn syrup contains mercury.
[00:54:34.573 --> 00:54:34.853]  Half
[00:54:36.668 --> 00:54:46.869]  55 popular brand-name foods, breads, cookies, everything with high-fructose corn syrup has mercury in it and they don't know why because it's not involved in the manufacturing at any point.
[00:54:47.785 --> 00:54:49.666]  It's being added, ladies and gentlemen.
[00:54:50.207 --> 00:54:55.410]  They have found it is the ultimate chemical weapon, heavy metal, because other heavy metals just create plaques.
[00:54:55.790 --> 00:54:57.331]  Mercury continues to kill.
[00:54:57.631 --> 00:54:58.512]  Seen the movie Alien?
[00:54:58.912 --> 00:55:01.554]  When it drips, the acid just keeps burning through the whole of the ship.
[00:55:01.974 --> 00:55:03.315]  That's what it does electrochemically.
[00:55:03.375 --> 00:55:03.615]  Bam!
[00:55:03.635 --> 00:55:03.855]  Bam!
[00:55:03.875 --> 00:55:04.095]  Bam!
[00:55:04.135 --> 00:55:04.355]  Bam!
[00:55:04.375 --> 00:55:04.996]  Chain reaction.
[00:55:05.256 --> 00:55:07.397]  Just keeps killing, keeps killing, keeps killing.
[00:55:07.657 --> 00:55:08.758]  You're brain damaged.
[00:55:09.018 --> 00:55:09.879]  I'm brain damaged.
[00:55:10.179 --> 00:55:11.480]  I would have been genius level.
[00:55:11.720 --> 00:55:12.961]  I'm just average intelligence.
[00:55:13.341 --> 00:55:14.542]  I have chemical lobotomy.
[00:55:15.302 --> 00:55:16.783]  And I'm not joking when I say that.
[00:55:16.863 --> 00:55:18.664]  This is chemical warfare.
[00:55:18.704 --> 00:55:19.564]  We have it in the U.N.
[00:55:19.584 --> 00:55:20.244]  zone documents.
[00:55:20.565 --> 00:55:24.346]  We have it from top globalists 80, 90 years ago saying they were going to do this.
[00:55:24.687 --> 00:55:31.150]  And as scary as it sounds, Mike Rivera, why do half the brand names have high levels of mercury in them when it's not even supposed to be there?
[00:55:31.170 --> 00:55:33.751]  Mike, is it just the... I mean, again, is it Easter Bunny putting it in there?
[00:55:34.778 --> 00:55:39.583]  Well, it is a mystery why that's going on, and mercury is very contraindicated.
[00:55:39.623 --> 00:55:50.636]  If you've ever heard the expression, mad as a hatter, from the Alice in Wonderland books, it's actually based on a real fact, which was that hat makers would use mercury to prepare the felt
[00:55:51.096 --> 00:55:51.537]  I think so.
[00:56:10.134 --> 00:56:10.514]  I think?
[00:56:29.289 --> 00:56:29.570]  Thank you.
[00:56:44.807 --> 00:56:52.934]  We're going to come back and start going directly to everybody that's holding Mark, Bill, Michael, Dan, Dave, and others that told their number to join us, 800-259-9231.
[00:56:53.115 --> 00:57:03.264]  For God's sakes, folks, a lot of people at six months start giving their baby sugar, fruit juice drinks that has fructose, corn syrup, even if you don't care about yourself.
[00:57:04.185 --> 00:57:09.770]  And you want to say that mercury isn't in at least half of the products that have it.
[00:57:09.830 --> 00:57:10.851]  It's in thousands of products.
[00:57:11.929 --> 00:57:13.210]  At least care about your children.
[00:57:13.270 --> 00:57:15.411]  Mercury is not good for your children.
[00:57:15.491 --> 00:57:18.132]  It is deadly poison and attacks their brains.
[00:57:18.672 --> 00:57:21.614]  And so that's another big reason we're seeing autism go up so high.
[00:57:22.394 --> 00:57:24.915]  But you look at the Amish, no known cases.
[00:57:25.455 --> 00:57:32.999]  In Illinois, where they did a study, a university study of over 200,000 Amish over a decade, no cases of it.
[00:57:33.179 --> 00:57:36.921]  Because they don't eat corn syrup, they don't take vaccines,
[00:57:38.928 --> 00:57:43.073]  It's a fact, ladies and gentlemen, you do not want mercury in your brain.
[00:57:43.114 --> 00:57:43.654]  Mike Rivera.
[00:57:44.585 --> 00:58:10.864]  Absolutely, it's highly toxic and again we have seen such recklessness with products being put out on the market and I remember you were mentioning melanin before when it was a big stink when it was showing up in these Chinese products and then all of a sudden it turned up in American manufactured baby food products and the FDA comes out and says, oh well we've changed our mind and certain amounts are acceptable and safe and coincidentally the safe level was set just above what all the American manufacturers were using.
[00:58:11.184 --> 00:58:13.645]  And it turned out the American manufacturers, they're dying.
[00:58:13.685 --> 00:58:15.065]  Tens of thousands in hospitals.
[00:58:15.585 --> 00:58:18.085]  Tens of thousands, you know, in hospitals, thousands dying.
[00:58:18.566 --> 00:58:22.286]  And then here they just say, oh, we're even worse than China, but it's now good for you.
[00:58:22.746 --> 00:58:23.907]  Dying is good.
[00:58:25.687 --> 00:58:26.707]  Talk about mad as a hatter.
[00:58:26.727 --> 00:58:28.668]  I think the people running things are mad as hatters, Mike.
[00:58:29.588 --> 00:58:30.808]  I think they're drunk on their power.
[00:58:31.948 --> 00:58:34.249]  Well, I mean, it's the ultimate psycho power trip.
[00:58:35.191 --> 00:58:37.713]  What does the Joker do in the first Batman movie?
[00:58:37.733 --> 00:58:41.175]  He puts poison in the cosmetics and in the food.
[00:58:42.196 --> 00:58:48.159]  See, and then they say, just like the Gulf of Tonkin in that movie, throwing it in your face in Hollywood.
[00:58:48.399 --> 00:58:49.780]  We'll be right back with Mike Rivero.
[00:58:52.982 --> 00:58:56.385]  Thank you for listening to GCN.
[00:58:56.405 --> 00:58:58.226]  Visit GCNlive.com today.
[00:59:01.476 --> 00:59:03.037]  Hello friends, this is Alex Jones.
[00:59:03.157 --> 00:59:07.760]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:59:07.900 --> 00:59:10.661]  We need to be independent, and food and water is the key.
[00:59:10.861 --> 00:59:13.723]  You'll never have to stand in a bread line if you have your own bread.
[00:59:13.903 --> 00:59:18.626]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:59:18.846 --> 00:59:19.787]  If you simply prepare.
[00:59:19.988 --> 00:59:22.912]  No one is going to take care of your family in the final equation but you.
[00:59:23.232 --> 00:59:30.121]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:59:30.221 --> 00:59:33.365]  And they do it at almost half the cost of last year's grocery prices.
[00:59:33.506 --> 00:59:33.766]  Call 1-800-409-5633.
[00:59:36.169 --> 00:59:38.410]  Or, on the web, go to eFoodsDirect.com.
[00:59:38.630 --> 00:59:44.713]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:59:44.893 --> 00:59:48.635]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:59:48.655 --> 00:59:49.916]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:59:49.936 --> 00:59:50.616]  Take action today.
[00:59:50.636 --> 00:59:52.457]  The first step is getting storable food.
[01:00:04.210 --> 01:00:06.131]  Waging war on corruption.
[01:00:06.591 --> 01:00:09.451]  Alex Jones on the GCN Radio Network.
[01:00:15.913 --> 01:00:16.573]  Big Brother.
[01:00:17.233 --> 01:00:18.293]  Mainstream media.
[01:00:18.994 --> 01:00:20.094]  Government cover-ups.
[01:00:20.754 --> 01:00:21.574]  You want answers?
[01:00:22.314 --> 01:00:23.235]  Well, so does he.
[01:00:23.255 --> 01:00:27.596]  He's Alex Jones on the GCN Radio Network.
[01:00:28.076 --> 01:00:32.137]  And now, live from Austin, Texas, Alex Jones.
[01:00:35.646 --> 01:00:37.587]  There's a lot of other news I haven't even gotten to.
[01:00:37.647 --> 01:00:39.609]  Mike's with us for another 20-30 minutes or so.
[01:00:39.989 --> 01:00:43.832]  Let's go to your phone calls and see what important issues the callers bring up.
[01:00:44.312 --> 01:00:52.017]  Mark, up in the Great White North, having record cold, below zero temperatures nationwide during this incredible global warming.
[01:00:53.218 --> 01:00:59.482]  Volcanoes are going off everywhere, which will put out more than all human activity in history, each one, but we'll get into that with Mike Rivera later as well.
[01:01:00.102 --> 01:01:02.124]  Mark, in Canada, you're on the air.
[01:01:02.184 --> 01:01:02.524]  Welcome.
[01:01:03.184 --> 01:01:04.445]  Thanks for taking my call, Alex.
[01:01:04.725 --> 01:01:05.306]  Thanks for calling.
[01:01:05.819 --> 01:01:11.503]  Okay, a couple of things I just want your listeners to hear, and then I'll get into it.
[01:01:12.484 --> 01:01:29.176]  First off, here in Canada, I've seen only one time where they've announced that we've already got one guy in British Columbia who has the avian bird flu, and they've already destroyed about 80,000 turkeys and chickens, four farms across British Columbia.
[01:01:30.056 --> 01:01:35.400]  Now, I'm going to get into what I believe are three important dates that everybody needs to look into.
[01:01:36.297 --> 01:01:41.779]  February 10, which is the date that HR 4040 goes into effect.
[01:01:42.739 --> 01:01:48.921]  February 17, which is when the United States is going to switch from analog to digital.
[01:01:49.721 --> 01:01:52.942]  And February 19 is when Barack Obama is coming to Canada.
[01:01:53.582 --> 01:01:56.403]  I believe that these are pieces to a puzzle I've put together.
[01:01:57.243 --> 01:02:01.725]  Simply, when you switch over from analog to digital, it serves two purposes.
[01:02:02.465 --> 01:02:02.545]  One,
[01:02:03.217 --> 01:02:09.718]  It frees up the analog signal for the rescue squads, the police, and the firemen to have more bandwidth.
[01:02:10.378 --> 01:02:19.240]  And I believe it's also a way to track everybody through the RFID chip, because analog signals go through, radio frequency goes through walls and buildings.
[01:02:20.140 --> 01:02:25.482]  And in the digital signal, you can hide subliminal messages to keep the sheep asleep.
[01:02:25.622 --> 01:02:30.043]  Well, that's been admitted with, I mean, it's all very effective, even old television.
[01:02:30.583 --> 01:02:31.583]  I just don't like to
[01:02:32.677 --> 01:02:34.919]  I mean, I'll look at a pattern like massing U.S.
[01:02:34.939 --> 01:02:41.325]  troops around Afghanistan, the news introducing Obama, you know, as the savior, you know, years ago.
[01:02:41.985 --> 01:02:43.987]  You'll see things like that and be able to trend it.
[01:02:44.467 --> 01:02:48.271]  But looking at dates, I see this over and over again, people putting dates on things.
[01:02:48.731 --> 01:02:55.036]  You know, July 25th I went on air and said they're going to attack the World Trade Center, they're going to blame it on some of bin Laden.
[01:02:56.209 --> 01:03:01.134]  And I was able to go on air and say in the next few months I believe this is going to happen, call the White House, tell them don't do it.
[01:03:01.434 --> 01:03:02.855]  But I couldn't put dates on it.
[01:03:03.416 --> 01:03:04.857]  Mike Rivero, you want to comment on this?
[01:03:05.978 --> 01:03:21.233]  Yeah, it's very hard to put dates on it because usually when people are planning these kinds of covert operations, whether it's 9-11 or various assassinations, they'll put the plans in place and then they'll wait for an opportune moment, or what they think is an opportune moment, and very often
[01:03:21.713 --> 01:03:25.215]  It'll be like the night before, the day before, and they'll say, yeah, we're going to go tomorrow.
[01:03:25.756 --> 01:03:31.459]  And so it's really rather hard to say a particularly given date is when something is going to happen.
[01:03:31.779 --> 01:03:34.621]  We know that the U.S.
[01:03:34.661 --> 01:03:38.924]  government is probably considering some kind of a false flag attack to kick off a new war with Iran.
[01:03:39.344 --> 01:03:41.566]  We just don't know when it's going to happen.
[01:03:41.826 --> 01:03:47.790]  One of the frustrating things about fighting against war itself is you never know when you've won, only when you fail.
[01:03:48.869 --> 01:04:04.900]  Absolutely, and at the same time, the fact that 9-11 truth is so huge and international, the fact that it's now in the mental meme and lexicon, it's now in the dictionary, you know, false flag, staged terror, self-inflicted wound, that has damaged their tool.
[01:04:04.940 --> 01:04:13.666]  But there's other false flags, economic false flags, we're in one now, an economic 9-11, the bio-attack, I do believe is one of the chief things, they can claim it, came out,
[01:04:14.468 --> 01:04:19.010]  You know, incidentally, accidentally, that it came from pigs or sheep or cows or chickens or goats.
[01:04:19.430 --> 01:04:24.552]  And then still it'll be the government that organizes that and uses that to control.
[01:04:24.572 --> 01:04:33.335]  Take the foot and mouth release in 2000 that took over most of the cows and sheep and the government killed them in England, those that weren't even infected.
[01:04:33.715 --> 01:04:36.696]  It turned out the government released that and it was a weaponized form.
[01:04:36.916 --> 01:04:38.137]  Then they said it was an accident.
[01:04:38.657 --> 01:04:41.318]  We don't know how it got out of the Level 4 Bioweapons Lab, Mike.
[01:04:42.506 --> 01:04:47.430]  Well, we know that the anthrax sent with the anthrax letters was also weaponized anthrax from a U.S.
[01:04:47.490 --> 01:04:47.810]  lab.
[01:04:48.150 --> 01:04:49.511]  It wasn't from the Mideast at all.
[01:04:50.732 --> 01:04:52.793]  And they denied that, but now they've been forced to admit that.
[01:04:54.334 --> 01:04:55.035]  We were right again.
[01:04:55.135 --> 01:04:55.715]  Thank you, caller.
[01:04:55.735 --> 01:04:56.376]  Appreciate the call.
[01:04:56.396 --> 01:04:57.397]  We'll watch those dates, though.
[01:04:59.058 --> 01:05:04.322]  Let's now go to Bill, Michael, Dan, Dave, and others when we get back after this quick break with Mike Rivero.
[01:05:04.462 --> 01:05:05.222]  I'm Alex Jones.
[01:05:05.542 --> 01:05:08.685]  My website's InfoWars.com and PrisonPlanet.com.
[01:05:08.705 --> 01:05:09.765]  Check out WhatReallyHappened.com.
[01:05:09.805 --> 01:05:10.246]  That's Mike's.
[01:05:11.815 --> 01:05:15.098]  The United States is bankrupt and the bankers want you bankrupt also.
[01:05:15.338 --> 01:05:17.700]  How would you like to be debt free in 90 days?
[01:05:17.820 --> 01:05:18.480]  Guaranteed!
[01:05:18.881 --> 01:05:25.526]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[01:05:25.806 --> 01:05:33.512]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[01:05:33.752 --> 01:05:41.582]  With Debt Crisis Solutions Program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[01:05:41.842 --> 01:05:49.052]  Debt Crisis Solutions dot com specializes in credit report restoration, preventing wage garnishment and bank levies, liens and judgments.
[01:05:49.452 --> 01:05:50.133]  Thanks for watching!
[01:06:11.494 --> 01:06:13.158]  Our beloved Republic is on her knees.
[01:06:13.458 --> 01:06:16.904]  The forces of globalism are destroying national sovereignty worldwide.
[01:06:17.085 --> 01:06:18.928]  But in Liberty's darkest hour, there is hope.
[01:06:19.549 --> 01:06:22.274]  The first time in modern history, the people are beginning to wake up.
[01:06:22.595 --> 01:06:23.677]  It is essential that patriots
[01:06:25.012 --> 01:06:25.453]  Let's do it!
[01:06:49.855 --> 01:06:53.817]  From tainted vaccines to martial law can be found in this online video library.
[01:06:53.977 --> 01:06:58.499]  By weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:06:58.840 --> 01:07:01.341]  The Info War is waiting for you to set it free.
[01:07:01.681 --> 01:07:03.362]  Join PrisonPlanet.tv.
[01:07:03.722 --> 01:07:05.523]  Burn the info bombs to disk.
[01:07:05.723 --> 01:07:07.504]  Put them on the file sharing networks.
[01:07:07.844 --> 01:07:09.245]  Bring down the New World Order.
[01:07:09.625 --> 01:07:10.366]  PrisonPlanet.tv.
[01:07:11.506 --> 01:07:13.006]  Alex Jones here with a question.
[01:07:13.187 --> 01:07:14.627]  What does humidity mean to you?
[01:07:14.927 --> 01:07:17.168]  Most people think of hot and sticky summer days.
[01:07:17.608 --> 01:07:22.349]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[01:07:22.749 --> 01:07:25.590]  That's why I'd like you to visit acolablue.com.
[01:07:25.930 --> 01:07:29.411]  Acolablue is a state-of-the-art atmospheric water generator.
[01:07:29.833 --> 01:07:41.848]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[01:07:42.409 --> 01:07:44.392]  Finally, drinking water that you control.
[01:07:44.412 --> 01:07:45.713]  I use one every day.
[01:07:46.134 --> 01:07:48.597]  Say goodbye to expensive water delivery services.
[01:07:48.937 --> 01:07:51.578]  And storing 5 gallon bottles of water in your home.
[01:07:51.798 --> 01:07:54.098]  The Ecola Blue 28 is shipped right to your home.
[01:07:54.378 --> 01:07:56.539]  Ready to make close to 7 gallons a day.
[01:07:56.919 --> 01:07:57.699]  Right out of the box.
[01:07:58.179 --> 01:07:59.960]  They have a 30 day money back guarantee.
[01:08:00.300 --> 01:08:01.880]  Call Ecola Blue right now at 866-585-4044.
[01:08:01.900 --> 01:08:02.220]  That's 866-585-4044.
[01:08:02.240 --> 01:08:04.181]  Or visit Ecola Blue at ecoloble.com today.
[01:08:12.876 --> 01:08:18.899]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:19.500 --> 01:08:22.561]  It's Alex Jones and the GCN Radio Network.
[01:08:28.684 --> 01:08:31.346]  By the way, I just thought of this because Rob reminded me.
[01:08:32.066 --> 01:08:38.550]  I was watching Super Bowl ads in the airport before I flew back Sunday.
[01:08:40.257 --> 01:08:45.602]  And it's Alec Baldwin talking about how the TV set by design has destroyed half your brain cells.
[01:08:45.622 --> 01:08:46.663]  It's going to destroy the other half.
[01:08:46.963 --> 01:08:49.285]  And he goes, I'm also a reptoid alien ruling the earth.
[01:08:49.305 --> 01:08:51.347]  So it's a direct attack on David Icke.
[01:08:52.947 --> 01:09:00.911]  And then another ad, and again I was sitting there 30 minutes in pre-game stuff at the airport, so that's all I saw.
[01:09:02.051 --> 01:09:05.493]  Another one about high fructose corn syrup, it's so good for you, nutritious.
[01:09:05.753 --> 01:09:08.514]  There's lying conspiracy theorists that say it isn't good.
[01:09:09.054 --> 01:09:20.840]  Doesn't matter if literally hundreds of studies show that the way its molecules are designed, it's not like regular sugar, it goes into the liver that metabolizes it and the body then doesn't say I'm full,
[01:09:22.937 --> 01:09:23.778]  You're still hungry.
[01:09:23.798 --> 01:09:27.161]  So that's one reason they put it in things.
[01:09:27.462 --> 01:09:29.424]  Not just that it's cheap, but it makes you eat more.
[01:09:30.931 --> 01:09:34.513]  And it also has been directly linked in a bunch of studies of diabetes.
[01:09:34.573 --> 01:09:36.193]  It fries your body.
[01:09:36.313 --> 01:09:42.016]  It's chemically extracted and manufactured and then carried around these big tankers on the trains.
[01:09:42.796 --> 01:09:47.639]  And it's put in most foods now that are processed, along with everything else, the MSG, the other excitotoxins.
[01:09:47.739 --> 01:09:50.020]  Aspartame is in most candies that aren't even sugar-free.
[01:09:50.060 --> 01:09:50.960]  They just add it.
[01:09:51.020 --> 01:09:52.521]  Look on the back of your gum or your candy.
[01:09:52.721 --> 01:09:54.802]  They're putting it in candy bars now, chocolate bars.
[01:09:55.714 --> 01:09:56.714]  They know what it does.
[01:09:57.094 --> 01:09:58.515]  They know people won't eat it now.
[01:09:58.755 --> 01:10:02.095]  People are saying no to Diet Coke, which is a drug, by the way, an excitotoxin.
[01:10:03.036 --> 01:10:04.036]  So they're moving on to other things.
[01:10:04.316 --> 01:10:08.457]  And now they're running TV ads, going, oh, people are lying about it.
[01:10:08.517 --> 01:10:09.357]  It's really good.
[01:10:09.737 --> 01:10:19.879]  Mike, that shows we're having an effect on them, that there's all these ads on TV now about how wonderful vaccines are and how it's a lie that they're not good for you and how it doesn't cause autism.
[01:10:21.460 --> 01:10:23.600]  This shows they're really getting desperate, aren't they?
[01:10:24.437 --> 01:10:25.699]  Yeah, absolutely it does.
[01:10:25.899 --> 01:10:39.736]  There's a new show out called The Beast, starring Patrick Swayze, and in one of their first episodes they had a 9-11 truth activist, but they portrayed him as just this completely wacko-bananas character, and it's just part of that general smearing.
[01:10:40.096 --> 01:10:43.821]  But yeah, they're absolutely afraid, they're losing their grip on the minds of America,
[01:10:44.361 --> 01:10:52.307]  And so yeah, it's going to be demonization and smearing and all they're doing is they're raising people's awareness because it's the band in Boston effect.
[01:10:52.627 --> 01:10:57.411]  People are going to start tuning into the websites and say, you know, I want to find out what all the fuss is about.
[01:10:58.091 --> 01:11:07.138]  They're, you know, Roland Emmerich's new film 2012, apparently Woody Harrelson is playing a radio show host who's always predicting disaster and doom.
[01:11:07.538 --> 01:11:21.389]  And he says he's got the curse of Cassandra on him and I'm getting emails from people saying that it sounds like this Woody Harrelson character is based either on you or on me and uh... you know I'm waiting to see whether he'll be treated as a serious character or if they're just gonna make him a goofball.
[01:11:21.469 --> 01:11:26.813]  You know I actually was in a movie, Scanner Darkly, with Woody Harrelson and he has hung out with him a lot.
[01:11:26.893 --> 01:11:28.954]  He is totally anti-New World Order.
[01:11:29.575 --> 01:11:31.316]  He knows all about the globalists.
[01:11:31.737 --> 01:11:34.118]  He knows all about how the government ships the narcotics in.
[01:11:34.419 --> 01:11:35.640]  He's very very smart.
[01:11:36.941 --> 01:11:38.562]  And he gave me his card.
[01:11:38.642 --> 01:11:41.544]  This is how not into stars I am.
[01:11:41.584 --> 01:11:45.227]  Back then I didn't realize how important it was to have them on air because it really gets the buzz going.
[01:11:45.247 --> 01:11:46.728]  People then tune in to see what the deal is.
[01:11:47.489 --> 01:11:48.690]  I don't know where the card is.
[01:11:49.751 --> 01:11:52.353]  Chuck Norris gave me his number and email.
[01:11:53.013 --> 01:11:57.076]  I, last night, woke up and went, my God, Chuck Norris gave me his contact.
[01:11:57.497 --> 01:11:58.898]  I never even gave it to the producer.
[01:11:59.138 --> 01:12:01.400]  And I got up in the middle of the night, went and dug out the book.
[01:12:02.080 --> 01:12:05.522]  And got, you know, not the producer contacted, the publicist, but found it.
[01:12:05.722 --> 01:12:07.743]  So I've got to remember to use all these contacts.
[01:12:08.643 --> 01:12:10.484]  But side issue from Chuck Norris.
[01:12:12.330 --> 01:12:17.654]  The point is, is that Woody Harrelson is completely and totally anti-New World Order.
[01:12:17.794 --> 01:12:21.977]  And I need somebody call me with his best contact in Maui.
[01:12:21.997 --> 01:12:25.359]  I guess I could call Willie Nelson, but I don't like calling him and bugging him for phone numbers.
[01:12:25.499 --> 01:12:27.961]  I had Woody Harrelson's number.
[01:12:28.461 --> 01:12:33.024]  Then I was contacted about a year ago by his office saying, are you in California?
[01:12:33.044 --> 01:12:33.924]  Somebody thought I lived there.
[01:12:34.425 --> 01:12:35.906]  Can you come see Woody?
