[00:00:00.433 --> 00:00:02.796]  Organicacede.com today!
[00:34:35.042 --> 00:34:35.742]  I've proven it.
[00:34:35.802 --> 00:34:36.942]  They're killing you, dude.
[00:34:37.042 --> 00:34:38.583]  Why do you want to die?
[00:34:39.043 --> 00:34:40.784]  Why do you want to believe their lies?
[00:34:41.104 --> 00:34:42.464]  What is your problem?
[00:34:46.165 --> 00:34:48.346]  What is your major malfunction?
[00:34:51.809 --> 00:34:57.295]  You want to thank God for me up here warning you that I've still got my head screwed on straight and I'm angry and upset.
[00:35:00.278 --> 00:35:02.300]  Folks, I have got as much instinct as a cow.
[00:35:03.615 --> 00:35:07.259]  Humans just have the best instincts, the smartest, the most cunning, the best sixth sense.
[00:35:07.279 --> 00:35:08.300]  You've had it bred out of you.
[00:35:08.901 --> 00:35:09.662]  Engineered out of you.
[00:35:09.682 --> 00:35:10.443]  Poisoned out of you.
[00:35:11.184 --> 00:35:21.415]  You get a bunch of cows at the slaughterhouse, and that's why they get them in tiny squeeze chutes, and then only bring them into the main slaughter area one at a time in most plants, and they usually got an air gun.
[00:35:22.216 --> 00:35:22.876]  We're good to go.
[00:35:45.458 --> 00:35:56.522]  They got one cow up hanging by its legs in front of you, blood pouring out its neck, and huge pools, and you're just snickering, telling me that isn't one of our fellow cows getting their throats slit right in front of us, you idiots!
[00:36:00.383 --> 00:36:01.504]  God, I can't do it anymore.
[00:36:02.124 --> 00:36:02.624]  I can't.
[00:36:02.884 --> 00:36:03.724]  I want out of here.
[00:36:04.125 --> 00:36:06.625]  I want to go to some happy, friendly country where this isn't going on.
[00:36:07.046 --> 00:36:08.706]  There's evil going on all around you!
[00:36:08.826 --> 00:36:10.607]  They're feeding on your neighbors down the street!
[00:36:13.561 --> 00:36:16.567]  But you don't know your neighbors anymore, so you're not aware of what's happening.
[00:36:21.237 --> 00:36:24.062]  I get so mad reading this article, I just can't control myself.
[00:36:25.684 --> 00:36:26.044]  Jesus.
[00:36:27.065 --> 00:36:34.389]  Assembly Bill 10942 introduced at the... We're only a few years away from cops coming to your house and SWAT teaming you if you don't shoot your kids up.
[00:36:35.470 --> 00:36:37.731]  And I'm just telling the cops right now, you're pushing and pushing.
[00:36:37.751 --> 00:36:39.933]  The globalists know people are going to fight back.
[00:36:39.973 --> 00:36:41.954]  Then they're going to say, see, there is homegrown terrorism.
[00:36:42.554 --> 00:36:45.076]  And then you're going to all get your butts kicked and they're going to bring in foreign troops.
[00:36:46.323 --> 00:36:47.764]  I understand you pushed far enough.
[00:36:47.824 --> 00:36:50.047]  You slimeball, think you're tough punks.
[00:36:51.288 --> 00:37:04.381]  Assembly Bill 10942, introduced at the request of Richard Danes, the Commissioner of the New York State Department of Health, calls for changes to the law in order to make recommended inoculation compulsory in order for children to attend school.
[00:37:05.885 --> 00:37:11.767]  The bill would also permit the administration of vaccines for sexually transmitted infections to minors without parental consent.
[00:37:11.787 --> 00:37:13.628]  Now that is huge.
[00:37:13.648 --> 00:37:15.928]  They're already taking your kids for abortions without your consent.
[00:37:16.569 --> 00:37:23.491]  Your 12 or 13 year olds, in some cases as young as 10, they gotta have a letter to go to the zoo with the government training camp.
[00:37:25.077 --> 00:37:26.619]  It's hot to have a baby ripped out of them.
[00:37:26.819 --> 00:37:27.520]  But you don't care.
[00:37:27.540 --> 00:37:28.842]  It's all part of being scum.
[00:37:29.283 --> 00:37:39.016]  You let the scum, filth, degenerate, viperous, murdering, trash, commie government just have its way with your kids while they train them to tat along you and everything else.
[00:37:40.177 --> 00:37:50.440]  And you've got all your instincts sucked out of you, where you think a bunch of vampiric scumbag government leering over your children, the state stating in California's Supreme Court that the state owns your children.
[00:37:50.460 --> 00:37:52.601]  Remember that?
[00:37:52.621 --> 00:37:55.242]  And that homeschooling's illegal in California.
[00:37:55.402 --> 00:37:56.282]  You're out of control!
[00:37:56.302 --> 00:37:57.723]  The government's dirtbag!
[00:38:04.181 --> 00:38:10.085]  The bill would also permit the administration of vaccines for sexually transmitted infections to minors without parental consent.
[00:38:10.626 --> 00:38:21.433]  Merck, when they're not killing you with their Vioxx, they've got their Gardasil, which admittedly has killed a whole bunch of people and causes horrible autoimmune things that look like Ebola with blood pouring out of every orifice.
[00:38:21.473 --> 00:38:21.954]  Go read it.
[00:38:22.754 --> 00:38:23.375]  Had women on it.
[00:38:23.395 --> 00:38:24.756]  It's almost killed on this show.
[00:38:26.292 --> 00:38:28.253]  And, uh, it's been in the news it's killed a bunch.
[00:38:28.593 --> 00:38:35.595]  And then they say on the insert, go look it up on their own website, says it doesn't protect you from cancer, doesn't protect you from this type of virus.
[00:38:35.795 --> 00:38:38.456]  We think it might protect you from a few strains of 350.
[00:38:38.596 --> 00:38:40.236]  It might cover four to six.
[00:38:41.016 --> 00:38:42.357]  But if you already have the virus...
[00:38:43.377 --> 00:38:46.760]  Which around half the population has, of men and women.
[00:38:47.340 --> 00:38:49.882]  Then it gives you a 45% increase in cancer.
[00:38:49.922 --> 00:38:53.304]  Oh, they know it gives you cancer, but you're too stupid.
[00:38:53.524 --> 00:39:02.671]  You think the government gives you sweet milk, and you sit there suckling off of its snake breast, when you don't understand it's PURE DEATH!
[00:39:05.133 --> 00:39:10.516]  I have to watch my fellow humans march into the death camps in front of me!
[00:39:11.533 --> 00:39:16.618]  That it's all done in an orderly fashion of ignorance and moronicness.
[00:39:16.638 --> 00:39:20.562]  Do you hear all the scientists and guests and new old order people I have on who I tear apart?
[00:39:21.263 --> 00:39:22.424]  And it's not because I'm smart.
[00:39:22.524 --> 00:39:23.465]  I understand the system.
[00:39:23.525 --> 00:39:24.086]  I study it.
[00:39:24.246 --> 00:39:24.926]  It's what I do.
[00:39:25.067 --> 00:39:26.748]  I know what I'm talking about.
[00:39:26.948 --> 00:39:30.112]  I've told you the truth and nothing but the truth!
[00:39:30.552 --> 00:39:31.913]  And this is why I want to reach people.
[00:39:31.953 --> 00:39:33.555]  This is why I want to get out to more people.
[00:39:33.615 --> 00:39:45.386]  This is why I want to bust my butt and build a studio and do it myself and tape a TV show and try to get it on five nights a week on Dish Network because then we can hype it and get big listenership and have street teams out getting the word out.
[00:39:46.387 --> 00:39:48.649]  My God, if it was all paid for, I'd have no commercials on it.
[00:39:49.770 --> 00:39:51.031]  As it is, it'll probably have commercials.
[00:39:51.131 --> 00:39:52.372]  I mean, I need your help, man.
[00:39:52.732 --> 00:39:53.633]  I just want to warn people.
[00:39:53.773 --> 00:39:53.974]  Listen.
[00:39:54.770 --> 00:39:56.751]  You go warn people about how this stuff's killing them.
[00:39:56.771 --> 00:39:57.512]  You write articles.
[00:39:57.552 --> 00:39:58.372]  You go out and tell them.
[00:39:58.592 --> 00:39:59.693]  I just want to tell people!
[00:39:59.893 --> 00:40:01.054]  I just want to reach people!
[00:40:01.074 --> 00:40:09.119]  Because it's going to get worse and worse and worse and worse and worse and worse and worse.
[00:40:09.199 --> 00:40:10.500]  It isn't going to stop.
[00:40:11.281 --> 00:40:13.362]  They do everything they said they were going to do.
[00:40:15.023 --> 00:40:15.863]  Right down the line.
[00:40:16.684 --> 00:40:17.484]  They say they're going to do this.
[00:40:17.504 --> 00:40:17.845]  They do it.
[00:40:18.125 --> 00:40:18.905]  They say they're going to do that.
[00:40:18.965 --> 00:40:21.927]  And they've said... So I've seen their whole battle plan.
[00:40:21.947 --> 00:40:22.948]  They admit what they're going to do.
[00:40:24.252 --> 00:40:32.978]  And up here it's killing eighty to ninety percent of us, flying over, spraying us in the end, killing us in mass, activating cancer systems they put in us, all this stuff.
[00:40:33.138 --> 00:40:36.701]  And they're already up to here and I'm like, my God, they keep doing everything they say they're going to do!
[00:40:37.021 --> 00:40:38.182]  My God, they're really going to do it!
[00:40:38.242 --> 00:40:38.783]  My God!
[00:40:39.023 --> 00:40:39.523]  My God!
[00:40:39.583 --> 00:40:40.444]  WARN PEOPLE!
[00:40:46.388 --> 00:40:47.169]  And they're evil!
[00:40:47.209 --> 00:40:48.049]  They're so evil!
[00:40:48.289 --> 00:40:51.232]  And I just wish good people would wake up and fight back against this!
[00:40:54.994 --> 00:40:57.136]  I was screaming so loud earlier I tore something up my throat.
[00:40:57.496 --> 00:40:58.657]  I was coughing up blood earlier.
[00:41:00.599 --> 00:41:02.440]  It's because my soul is torn apart.
[00:41:02.620 --> 00:41:03.821]  I am just so angry.
[00:41:03.921 --> 00:41:05.342]  I don't have the strength or the will.
[00:41:05.743 --> 00:41:07.204]  I'm trying to push a rock up a hill.
[00:41:07.304 --> 00:41:08.005]  I need your help.
[00:41:08.125 --> 00:41:09.666]  I just want to warn people.
[00:41:09.686 --> 00:41:11.988]  I just want to arrest all these people that have done this.
[00:41:13.009 --> 00:41:14.870]  It's their own documents, their own treason.
[00:41:15.391 --> 00:41:18.974]  They all write books about how they're going to enslave us and how it's funny and how we're dumb.
[00:41:19.534 --> 00:41:22.657]  And you just sit there laughing at me while they're laughing at you!
[00:41:27.867 --> 00:41:28.567]  I want to get them!
[00:41:31.729 --> 00:41:33.531]  I want to get people that want to get me.
[00:41:36.813 --> 00:41:42.036]  I don't go around looking for fights, but I sure as hell will stand up against somebody that starts one with me.
[00:41:42.937 --> 00:41:44.237]  And I've tried to get away from it.
[00:41:44.257 --> 00:41:45.218]  I've tried to run away.
[00:41:45.498 --> 00:41:47.199]  I've tried to tell myself it's going to be alright.
[00:41:47.540 --> 00:41:51.142]  I've tried to tell myself we're going to win and it's going to be okay, but not unless we put out a full effort.
[00:41:52.887 --> 00:41:53.987]  I've tried to avoid this.
[00:41:54.027 --> 00:41:55.127]  I've tried to deny this.
[00:41:55.147 --> 00:41:57.808]  This is something you can't run away from this.
[00:41:58.328 --> 00:41:59.568]  You don't have a choice.
[00:41:59.768 --> 00:42:01.109]  They're not going to stop coming.
[00:42:01.309 --> 00:42:02.649]  They're not going to stop pushing.
[00:42:03.029 --> 00:42:03.929]  They're organized.
[00:42:03.949 --> 00:42:04.689]  They're focused.
[00:42:04.709 --> 00:42:06.510]  They're coming to kill you.
[00:42:07.330 --> 00:42:09.990]  From the bottom of my heart, go research the facts.
[00:42:10.550 --> 00:42:11.531]  Research it all.
[00:42:14.891 --> 00:42:18.232]  The bill would also permit the administration of vaccines for sexually transmitted infections
[00:42:21.789 --> 00:42:23.911]  To minors without parental consent.
[00:42:23.971 --> 00:42:25.633]  God, that's the state becoming the parents.
[00:42:26.193 --> 00:42:30.258]  Separate sessions of the bill will also come into effect next year, with others becoming law in 2010.
[00:42:30.298 --> 00:42:32.940]  So there you have it.
[00:42:33.020 --> 00:42:35.423]  No more do you control your children or do they control it.
[00:42:35.463 --> 00:42:38.266]  The state, under the new eugenic social system, controls you.
[00:42:40.948 --> 00:43:02.352]  ACHAMP, a national non-partisan political action organization formed by parents to support of children with neurodevelopmental and communication disorders, has called for rejection of the bill and is demanding the passage of A5468-S3031 in the Senate, a bill that would give individuals a right to a philosophical exemption.
[00:43:02.992 --> 00:43:05.132]  They don't have to give us, see, we already have the right.
[00:43:05.152 --> 00:43:06.873]  They're now claiming we don't have that right.
[00:43:07.173 --> 00:43:09.433]  A new world order in the near future.
[00:43:10.749 --> 00:43:13.170]  Earth is dominated by a powerful world government.
[00:43:13.810 --> 00:43:15.571]  It's known as the Builder Bird.
[00:43:16.631 --> 00:43:18.852]  Could their objective be world domination?
[00:43:19.413 --> 00:43:21.874]  For thousands of years, their dark order grew.
[00:43:22.614 --> 00:43:29.917]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:43:32.967 --> 00:43:37.910]  For the first time in history, the elite's plan for world government is blown wide open.
[00:43:38.391 --> 00:43:41.853]  You will learn the secret that drives the entire New World Order agenda.
[00:43:42.273 --> 00:43:44.735]  Bill of Rights is making great progress for the world government.
[00:43:44.835 --> 00:43:45.976]  Most people have no idea.
[00:43:45.996 --> 00:43:46.776]  They're not after money.
[00:43:46.796 --> 00:43:47.857]  They have all the money they need.
[00:43:48.077 --> 00:43:48.778]  They're after power.
[00:43:49.038 --> 00:43:50.078]  That's what they're after these years.
[00:43:50.199 --> 00:43:54.742]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:43:54.942 --> 00:43:58.444]  Or watch it online right now at PrisonPlanet.tv.
[00:43:58.904 --> 00:44:01.706]  Endgame, blueprint for global enslavement.
[00:44:01.726 --> 00:44:02.767]  You have been warned.
[00:44:03.888 --> 00:44:10.893]  Did you know that there are tiny hidden radio transmitters, also known as RFID chips, in millions of passports, credit cards, and licenses?
[00:44:11.133 --> 00:44:14.775]  In the current state of the economy, it's no surprise that identity theft has increased.
[00:44:15.075 --> 00:44:23.161]  With current technology, thieves can purchase a simple device online that allows them to steal your credit card number and other personal information by scanning your wallet or purse.
[00:44:23.401 --> 00:44:26.103]  Think of this identity theft device as a garage door opener.
[00:44:26.303 --> 00:44:28.785]  You push a button and within a certain distance your door opens.
[00:44:29.065 --> 00:44:33.307]  Thieves get near you, push a button, and these tiny radios give out personal information.
[00:44:33.508 --> 00:44:34.928]  Put a stop to identity theft.
[00:44:35.168 --> 00:44:37.049]  Visit IDStronghold.com.
[00:44:37.250 --> 00:44:39.571]  Here you will find radio blocking secure sleeves.
[00:44:39.991 --> 00:44:47.355]  Simply place your credit cards and passports into these slim, lightweight sleeves, and you will put a stop to anyone trying to collect your private information.
[00:44:47.595 --> 00:44:51.297]  For around $5, you will be protected against RFID theft.
[00:44:51.517 --> 00:44:53.839]  Visit IDStronghold.com.
[00:44:53.979 --> 00:44:56.140]  That's IDStronghold.com.
[00:44:56.460 --> 00:44:57.081]  Or call 1-800-610-2770.
[00:44:57.101 --> 00:44:57.361]  1-800-610-2770 today.
[00:44:57.382 --> 00:44:57.582]  You worry.
[00:44:57.602 --> 00:44:59.745]  If you don't, you don't understand the situation.
[00:44:59.765 --> 00:44:59.805]  Hi.
[00:44:59.825 --> 00:45:02.048]  Summer's coming and now's the time to learn self-sufficiency.
[00:45:11.812 --> 00:45:12.312]  We're good to go.
[00:45:41.732 --> 00:45:42.272]  We're good to go.
[00:46:09.452 --> 00:46:11.994]  Yeah, it's actually big news in England.
[00:46:12.174 --> 00:46:13.014]  It's happened to me there.
[00:46:13.354 --> 00:46:15.155]  You're just walking along videotaping stuff.
[00:46:15.175 --> 00:46:17.457]  Cops walk over and they're gonna put you in a terror database.
[00:46:17.877 --> 00:46:19.338]  Not allowed to talk to people on the street.
[00:46:20.018 --> 00:46:22.459]  And they grab mainstream news cameras now.
[00:46:22.479 --> 00:46:26.021]  See, the government's gonna surveil you, the slave.
[00:46:27.402 --> 00:46:30.984]  But you're not gonna point a camera anywhere near them.
[00:46:31.564 --> 00:46:38.008]  You're gonna learn that when the government says jump, you say, yes, master, how high.
[00:46:39.722 --> 00:46:42.644]  You're here to serve government and be a slave.
[00:46:43.105 --> 00:46:45.426]  You're here to work and pay taxes.
[00:46:45.847 --> 00:46:46.367]  Scum!
[00:46:47.168 --> 00:46:49.189]  Shut up and learn to be a slave.
[00:46:49.589 --> 00:46:51.711]  Learn to be a schmuck, okay?
[00:46:52.091 --> 00:46:53.492]  Don't listen to people like me.
[00:46:53.632 --> 00:46:54.173]  I'm bad.
[00:46:54.833 --> 00:46:55.814]  I'm not patriotic.
[00:46:55.854 --> 00:47:00.037]  Patriotic means be a slave, worship criminal government, okay?
[00:47:00.757 --> 00:47:01.178]  I'm bad.
[00:47:01.578 --> 00:47:02.098]  I don't like it.
[00:47:02.319 --> 00:47:03.259]  But you are good.
[00:47:03.339 --> 00:47:04.260]  You've got it all figured out.
[00:47:05.266 --> 00:47:08.489]  The media says the gas is up because of speculation.
[00:47:08.549 --> 00:47:09.490]  It's true, it doesn't matter.
[00:47:09.890 --> 00:47:12.552]  You're supposed to parrot that like a little parrot.
[00:47:12.993 --> 00:47:14.214]  Like a cockatoo.
[00:47:15.491 --> 00:47:26.460]  You could admit it was the dollar devaluation by the Federal Reserve and politically force them to stop it and save your future, but you're not going to, because you're members of the establishment.
[00:47:26.921 --> 00:47:37.409]  You don't listen to conspiracy theorists when they read to you directly from press releases by OPEC begging the government to stop devaluing the dollar, because it's destroying the world economy.
[00:47:37.910 --> 00:47:38.230]  No, no, no, no.
[00:47:39.477 --> 00:47:43.560]  Let's go ahead and go to someone who tried to go out with a Tyranny Response Team shirt.
[00:47:43.780 --> 00:47:45.562]  We have those at InfoWars.com.
[00:47:45.862 --> 00:47:46.683]  I imagine you got it from us.
[00:47:46.783 --> 00:47:47.263]  Great listener.
[00:47:47.623 --> 00:47:51.566]  And he had his First Amendment rights violated in this third world cesspit.
[00:47:52.227 --> 00:47:53.668]  Go ahead, Alex, and floor to finish up.
[00:47:54.270 --> 00:48:01.135]  Yes, so as I'm walking away, they grabbed my arm and twisted behind me, and somehow I'm able to get my camera, which was running the entire time, in my pocket.
[00:48:01.175 --> 00:48:06.518]  So everything that I'm about to tell you, I've got... And let me guess, after they assaulted you, they charged you with assault?
[00:48:06.979 --> 00:48:09.240]  Um, actually, my only charge was resisting arrest.
[00:48:09.400 --> 00:48:11.582]  Oh my God, this is unprecedented, huh?
[00:48:11.642 --> 00:48:11.922]  Okay.
[00:48:12.042 --> 00:48:14.484]  And my charge was actually dropped 24 hours later.
[00:48:14.504 --> 00:48:15.644]  I never even saw a judge.
[00:48:15.664 --> 00:48:17.546]  Well, that's because they know there were other camera shots of it.
[00:48:17.566 --> 00:48:18.466]  Were there other people's cameras?
[00:48:18.526 --> 00:48:19.007]  Oh, yes, yes.
[00:48:19.047 --> 00:48:20.007]  Well, that's only why.
[00:48:20.147 --> 00:48:23.710]  You see, they would have probably gone ahead and tasered you till you had a heart attack,
[00:48:24.110 --> 00:48:25.311]  I don't know, man.
[00:48:25.331 --> 00:48:26.491]  I was actually... Yeah, I know.
[00:48:26.571 --> 00:48:26.772]  And they...
[00:48:47.134 --> 00:48:50.678]  Oh, and then they actually tried to delete the footage once I was in... Good!
[00:48:50.698 --> 00:48:52.159]  That's what slaves deserve!
[00:48:52.259 --> 00:48:55.422]  They didn't count on the fact that... Campering with evidence is good!
[00:48:56.043 --> 00:49:00.447]  They didn't count on the fact that we're a bunch of computer people... DESTROYING EVIDENCE IS GOOD!
[00:49:00.868 --> 00:49:03.931]  KILLING AMERICA IS GOOD!
[00:49:05.749 --> 00:49:07.850]  See, they're cancer cells racing through.
[00:49:07.890 --> 00:49:08.791]  They think they're winning.
[00:49:08.991 --> 00:49:09.731]  They think they're winning.
[00:49:09.751 --> 00:49:10.772]  They're really killing the body.
[00:49:10.932 --> 00:49:12.012]  They're really killing the country.
[00:49:12.132 --> 00:49:13.773]  But it feels good to be cancer!
[00:49:13.993 --> 00:49:15.754]  It feels good to kill America!
[00:49:16.154 --> 00:49:17.635]  And don't worry, you're gonna win!
[00:49:17.815 --> 00:49:18.955]  Don't worry, scum!
[00:49:18.975 --> 00:49:19.916]  New world order!
[00:49:19.936 --> 00:49:20.796]  You're winning!
[00:49:20.836 --> 00:49:22.377]  You're destroying it all!
[00:49:22.917 --> 00:49:23.838]  Go ahead, I'm sorry.
[00:49:23.858 --> 00:49:31.461]  That's what they're trying to do, but we actually modeled our news organization based on the work that you're doing and that we at Change is doing.
[00:49:31.860 --> 00:49:36.603]  And we've actually distributed over a thousand copies of your movies on Endgame, 9-11, New York City, and New Martial Law.
[00:49:37.043 --> 00:49:40.865]  We're actually trying to be the satellite in South Florida for the work you guys are doing.
[00:49:40.885 --> 00:49:42.446]  We've actually hooked up with Florida Change.
[00:49:43.107 --> 00:49:46.228]  And we're actually... How dare you criminals!
[00:49:46.328 --> 00:49:47.629]  Engage in the First Amendment!
[00:49:47.789 --> 00:49:49.790]  That's hot treason against the New World Order!
[00:49:50.711 --> 00:49:51.591]  Give us any websites.
[00:49:51.651 --> 00:49:54.113]  I don't know where you see your photos and video.
[00:49:54.213 --> 00:49:54.953]  Sure.
[00:49:55.113 --> 00:49:56.334]  Federaljack.com.
[00:49:56.374 --> 00:49:57.835]  That's the news website.
[00:49:57.875 --> 00:49:58.956]  Federaljack?
[00:49:59.096 --> 00:50:01.057]  Oh, that sounds like a... So it's about the God?
[00:50:01.491 --> 00:50:04.032]  Yes, the federal government hijacked the system.
[00:50:04.092 --> 00:50:06.794]  Can I go worship the men in black uniforms at that site?
[00:50:07.194 --> 00:50:10.215]  Oh, there's plenty of photos and stuff like that.
[00:50:10.255 --> 00:50:12.296]  Federaljack.com?
[00:50:12.677 --> 00:50:15.158]  Maybe you'll be allowed to be a boot licker.
[00:50:15.178 --> 00:50:20.821]  Like, on every corner, they'll just walk over and have a slave in a chain who will lick their boots.
[00:50:20.841 --> 00:50:21.801]  That's how they'll polish them.
[00:50:22.181 --> 00:50:23.722]  I think that's how the country ought to run.
[00:50:24.402 --> 00:50:25.903]  Yeah, that sounds about like South Florida.
[00:50:25.923 --> 00:50:28.505]  Last week, we actually tried to get him to the U.S.
[00:50:28.545 --> 00:50:29.205]  Mayor's Conference
[00:50:29.747 --> 00:50:31.929]  We've got a story up there about that, and a Post Inc.
[00:50:31.949 --> 00:50:32.689]  reporter was arrested.
[00:50:32.709 --> 00:50:33.470]  Well, I'll tell you what.
[00:50:33.530 --> 00:50:34.851]  Hey, Trey, my producer's in there.
[00:50:34.871 --> 00:50:35.972]  He bored us on the Sunday Show.
[00:50:36.332 --> 00:50:39.174]  I want you to find, uh, check out his website.
[00:50:39.214 --> 00:50:39.975]  I'm sure it's good stuff.
[00:50:40.015 --> 00:50:40.815]  Let's have this guy on.
[00:50:40.875 --> 00:50:41.896]  What's your name, Alex?
[00:50:41.916 --> 00:50:42.917]  My name's Alex.
[00:50:45.599 --> 00:50:46.960]  Thank you for listening to GCN.
[00:50:47.000 --> 00:50:50.823]  Visit GCNlive.com today.
[00:50:54.070 --> 00:50:55.650]  Hello friends, this is Alex Jones.
[00:50:55.770 --> 00:51:00.392]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:51:00.492 --> 00:51:03.252]  We need to be independent, and food and water is the key.
[00:51:03.452 --> 00:51:06.293]  You'll never have to stand in a bread line if you have your own bread.
[00:51:06.493 --> 00:51:12.395]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:51:12.595 --> 00:51:15.515]  No one is going to take care of your family in the final equation but you.
[00:51:15.815 --> 00:51:18.316]  You know eFoodsDirect.com is still able to shift store
[00:51:18.396 --> 00:51:18.957]  We're good to go.
[00:51:43.860 --> 00:51:48.703]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[00:51:48.843 --> 00:51:49.843]  Take action today.
[00:51:49.863 --> 00:51:51.824]  The first step is getting storable food.
[00:51:56.927 --> 00:51:58.848]  Waging war on corruption.
[00:51:59.289 --> 00:52:02.230]  Alex Jones on the GCN Radio Network.
[00:52:08.574 --> 00:52:09.254]  Big Brother.
[00:52:09.874 --> 00:52:10.815]  Mainstream media.
[00:52:11.611 --> 00:52:12.712]  Government cover-ups.
[00:52:13.373 --> 00:52:14.194]  You want answers?
[00:52:14.954 --> 00:52:15.815]  Well, so does he.
[00:52:16.516 --> 00:52:20.119]  He's Alex Jones on the GCN Radio Network.
[00:52:20.700 --> 00:52:24.803]  And now, live from Austin, Texas, Alex Jones.
[00:52:27.446 --> 00:52:34.512]  They're about to pass bills to regulate and tax and do home inspections and tax all carbon.
[00:52:36.234 --> 00:52:37.115]  It's been all over the news.
[00:52:40.776 --> 00:52:41.798]  It's Washington Post.
[00:52:42.939 --> 00:52:43.601]  Man detained.
[00:52:45.464 --> 00:52:46.325]  Oh, now I'm going crazy.
[00:52:46.345 --> 00:52:47.587]  Let me think of the exact headline.
[00:52:49.049 --> 00:52:49.931]  Exact headline.
[00:52:56.467 --> 00:52:59.869]  It is now illegal to take photos of buildings in D.C.
[00:53:00.089 --> 00:53:00.870]  But there's no law!
[00:53:01.070 --> 00:53:02.110]  But they have weapons!
[00:53:02.551 --> 00:53:07.033]  And it's their country and they're going to ship the coke and heroin in and your kids are going to use it and go to their own prisons.
[00:53:07.214 --> 00:53:09.175]  And they're going to make your kids take Ritalin and Prozac.
[00:53:09.355 --> 00:53:11.116]  And they're going to take your guns and they're going to hurt you.
[00:53:11.156 --> 00:53:16.559]  And they've got a lot of stupid goons who like to push people around who aren't real warriors who like to pick on innocent people.
[00:53:16.759 --> 00:53:19.061]  And they enjoy just destroying the Republic.
[00:53:19.101 --> 00:53:21.843]  Just fill... Yes, there it is, there it is, Washington Post.
[00:53:22.163 --> 00:53:23.744]  Secret buildings you may not photograph.
[00:53:25.165 --> 00:53:26.805]  There's the Washington Post right there.
[00:53:27.505 --> 00:53:29.286]  Secret buildings you may not photograph.
[00:53:30.546 --> 00:53:31.006]  DARPA.
[00:53:33.287 --> 00:53:44.949]  I am sick of you criminal filth trying to domesticate us and intimidate us and set the precedent that we're your slaves so your offshore banker masters can suck us dry!
[00:53:45.309 --> 00:53:46.829]  Stop being traitors!
[00:53:47.169 --> 00:53:49.070]  Stop destroying the United States!
[00:53:49.430 --> 00:53:51.090]  Stop claiming you're patriots!
[00:53:58.297 --> 00:54:06.203]  I just see stuff like this and it makes me mad and I'm already wound up over the Federal Reserve Dictatorship and saying Congress has no authority over the coining and issuance of currency and money.
[00:54:09.025 --> 00:54:12.288]  I go to events and they have the Army watching us and it's now in the news.
[00:54:12.528 --> 00:54:13.929]  The Army follows us around.
[00:54:13.989 --> 00:54:15.951]  We go protest the Federal Reserve and Ron Paul.
[00:54:16.251 --> 00:54:17.292]  You're criminals!
[00:54:17.632 --> 00:54:18.633]  You're in the wrong!
[00:54:18.913 --> 00:54:19.774]  You're bad!
[00:54:20.034 --> 00:54:20.515]  Got it?
[00:54:20.995 --> 00:54:21.976]  Get it through your head!
[00:54:21.996 --> 00:54:27.380]  But see they hire these little nobody scumbags and people used to torturing people and spying on people in Iraq.
[00:54:27.680 --> 00:54:29.621]  And they're bringing them all back here to do it to us.
[00:54:29.902 --> 00:54:30.722]  You are trash.
[00:54:30.742 --> 00:54:31.483]  You are scum.
[00:54:31.643 --> 00:54:32.643]  You're worse than Stalin.
[00:54:32.663 --> 00:54:33.764]  You're as bad as Hitler.
[00:54:34.024 --> 00:54:35.065]  You're as bad as linen.
[00:54:35.225 --> 00:54:35.925]  You're trash.
[00:54:35.945 --> 00:54:36.506]  You're filth.
[00:54:36.706 --> 00:54:37.847]  You're malice crap.
[00:54:38.067 --> 00:54:39.768]  You're pieces of un-American trash.
[00:54:39.988 --> 00:54:41.609]  Get the American flags off your car.
[00:54:41.869 --> 00:54:45.372]  Stop putting Browning stickers, deer-hunting stickers on your cars.
[00:54:45.612 --> 00:54:47.853]  Swaggin' around, you're an American.
[00:54:48.053 --> 00:54:49.234]  I know who you people are.
[00:54:49.414 --> 00:54:51.676]  You're a bunch of trash on power trips!
[00:54:52.256 --> 00:54:55.417]  And I swear we're going to bring you to justice when we take this country back.
[00:54:55.437 --> 00:54:57.938]  We've got to make sure you all get in trouble for what you've done.
[00:54:57.958 --> 00:55:00.259]  Because you'll just come right back like cancer!
[00:55:05.281 --> 00:55:09.303]  God, they go on ABC News and brag how they listen to you have sex with your wife and sit around laughing.
[00:55:09.523 --> 00:55:12.324]  The NSA guys literally just sit there in their offices masturbating.
[00:55:13.240 --> 00:55:17.343]  I mean, that's just a bunch of scumbags masturbating, is what the NSA is.
[00:55:18.063 --> 00:55:18.764]  And covering up.
[00:55:18.964 --> 00:55:23.927]  Local cops were about to bust a government child kidnapping ring, NSA comes in to stop.
[00:55:24.467 --> 00:55:29.010]  Somebody catches government shipping drugs in, NSA finds out, comes in and blocks the investigation.
[00:55:29.230 --> 00:55:31.151]  It's all to make sure their crimes continue.
[00:55:31.391 --> 00:55:37.876]  And spying on Congress illegally, and running all their scams, and MI6 and MI5 spies on the British Parliament.
