[00:00:04.192 --> 00:00:10.015]  The web, efoodsdirect.com, 800-409-5633.
[00:25:06.716 --> 00:25:13.719]  Representative John Conyers, who won't go after Bush for his crimes, Gerald Nadler and others requested the investigation.
[00:25:14.625 --> 00:25:29.590]  And it focuses on Sheriff Joe Arpaio and dozens of officers under his command who are trained for the Department of Homeland Security's Immigration and Customs Enforcement Agreements of cooperation in communities to enhance safety and security, which partners with federal and local law enforcement to enforce immigration laws.
[00:25:30.655 --> 00:25:37.840]  In a letter, March 10, 2009, Loretta Smith, Acting Assistant Attorney General of the Department of Justice, detailed what her department would be investigating.
[00:25:37.840 --> 00:25:40.122]  And they just say they're going to go after him, basically.
[00:25:40.122 --> 00:25:41.783]  So you can read that if you want.
[00:25:41.783 --> 00:25:42.463]  Here's another one.
[00:25:42.463 --> 00:25:44.384]  Department of Homeland Security, U.S.
[00:25:44.384 --> 00:25:47.727]  gun laws to fight Mexican drug cartels.
[00:25:47.727 --> 00:25:53.851]  They want to ban most semi-automatic rifles, ban gun shows, further register American citizens.
[00:25:53.851 --> 00:25:55.132]  It's from the Associated Press.
[00:25:55.860 --> 00:25:57.741]  Mexico has a total gun ban.
[00:25:57.741 --> 00:25:59.501]  They have one of the highest crime rates in the world.
[00:25:59.501 --> 00:26:01.582]  I think the highest now, as of last year.
[00:26:01.582 --> 00:26:03.982]  That's right, it's the highest now.
[00:26:03.982 --> 00:26:05.603]  State Department's reported.
[00:26:05.603 --> 00:26:09.844]  And, you know, Chicago and New York have the highest crime rates in our country with total gun bans.
[00:26:09.844 --> 00:26:19.166]  And actually, when you read their report saying the majority of guns they find cartels with are from the U.S., that's low-level gangbangers selling drugs here in the U.S.
[00:26:19.619 --> 00:26:25.421]  When you read the reports on Mexico from the State Department, they're buying them from the Mexican military and police.
[00:26:25.421 --> 00:26:26.741]  They're fully auto.
[00:26:26.741 --> 00:26:33.723]  In fact, in this AP article, they have the Attorney General Holder last week, Monday, bad-mouthing the Second Amendment.
[00:26:33.723 --> 00:26:41.926]  Remember, he debated and filed a brief last year for a gun control group before he was even Attorney General.
[00:26:41.926 --> 00:26:43.546]  He was previously Deputy Attorney General under Clinton.
[00:26:44.534 --> 00:26:45.114]  It's not true.
[00:27:02.938 --> 00:27:04.339]  They just know the public's ignorant.
[00:27:04.339 --> 00:27:08.501]  Every day on the news they show polar bears on floating ice and say they can't swim.
[00:27:08.501 --> 00:27:11.042]  It's the best swimming mammal there is.
[00:27:11.042 --> 00:27:12.403]  They go out there to hunt seals.
[00:27:12.403 --> 00:27:14.924]  But they know the public's uninformed.
[00:27:14.924 --> 00:27:15.964]  So they'll tell you they're drowning.
[00:27:15.964 --> 00:27:16.605]  Okay, whatever.
[00:27:16.605 --> 00:27:18.786]  Their population's actually exploded to record levels.
[00:27:18.786 --> 00:27:20.907]  But you know, so what?
[00:27:20.907 --> 00:27:21.667]  Back to the border.
[00:27:21.667 --> 00:27:23.968]  Homeland Security plans for violence on U.S.
[00:27:23.968 --> 00:27:24.348]  border.
[00:27:24.348 --> 00:27:25.789]  This out of the Associated Press.
[00:27:26.789 --> 00:27:29.671]  Talk about how the border's basically collapsing and Mexico's collapsing.
[00:27:29.671 --> 00:27:30.212]  Their answer?
[00:27:30.212 --> 00:27:31.232]  Disarm the American people.
[00:27:31.232 --> 00:27:35.456]  Yeah, that's a wonderful idea so that only the criminals will have guns.
[00:27:35.456 --> 00:27:39.439]  Big story we broke four days ago at Infowars.com.
[00:27:39.439 --> 00:27:48.946]  Two different state police officers out of California and Missouri sent me federally written threat integration fusion center documents where they list Ron Paul, Libertarian Party, Bob Barr,
[00:27:50.237 --> 00:27:53.559]  People that believe in North American Union as a dangerous terrorist.
[00:27:53.559 --> 00:28:10.628]  They said followers of Ron Paul want to kill police and but it says you know don't don't release these documents these are secret and then we put it out and with the phone number to the state police offices where they issued these but it was federally written people didn't believe it so we've since updated it with the names we called up the state police.
[00:28:11.980 --> 00:28:15.821]  And we've got Captain Hull and Holtz and all of them.
[00:28:15.821 --> 00:28:17.262]  There, you can call the phone number.
[00:28:17.262 --> 00:28:18.502]  You can talk to them.
[00:28:18.502 --> 00:28:19.182]  It's real.
[00:28:19.182 --> 00:28:20.783]  It really happened.
[00:28:20.783 --> 00:28:21.943]  This is really going on.
[00:28:21.943 --> 00:28:24.324]  This is how they're brainwashing police.
[00:28:24.324 --> 00:28:27.965]  So, stop living in denial out there.
[00:28:27.965 --> 00:28:30.746]  Meanwhile, Ron Paul, he really is a congressman.
[00:28:30.746 --> 00:28:32.107]  Congressman really does exist.
[00:28:32.107 --> 00:28:33.587]  Congress really does exist.
[00:28:33.587 --> 00:28:34.748]  Madoff really does exist.
[00:28:34.748 --> 00:28:38.469]  The $9.7 trillion stolen in the bailout really does exist.
[00:28:39.431 --> 00:28:42.814]  They're openly announcing a world government bank that will control everything we do.
[00:28:42.814 --> 00:28:44.796]  That really does exist.
[00:28:44.796 --> 00:28:45.737]  I really do exist.
[00:28:45.737 --> 00:28:48.860]  I mean, there really are threats to our liberty in history.
[00:28:48.860 --> 00:28:53.124]  Ron Paul, culprits of financial collapse, should be arrested.
[00:28:53.124 --> 00:29:03.674]  Congressman Ron Paul says the people responsible for the economic crisis should not be hailed as saviors and given more power to fix the problem they created, but arrested and criminally prosecuted.
[00:29:04.454 --> 00:29:17.764]  Paul told the Alex Jones Show that the only way the private Federal Reserve could be brought under control would be the result of a mass uprising, noting that there is a lot more awareness in Washington about the Fed's contribution to the economic crisis.
[00:29:17.764 --> 00:29:22.607]  He's also introduced a bill to abolish the private Federal Reserve and audit the private Federal Reserve.
[00:29:22.607 --> 00:29:24.349]  I was speaking on my show a few days ago.
[00:29:24.349 --> 00:29:25.890]  A weekday show.
[00:29:25.890 --> 00:29:31.133]  Okay, we're going to come back, take your phone calls, and get into a bunch of other, even more important news.
[00:29:31.133 --> 00:29:31.594]  Stay with us.
[00:29:32.678 --> 00:29:36.382]  Everyone knows that Omega-3 should be an essential part of our daily diet.
[00:29:36.382 --> 00:29:42.128]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:29:42.128 --> 00:29:46.473]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:29:46.473 --> 00:29:48.915]  Nature's Gem Premium Omega-3.
[00:29:48.915 --> 00:29:54.701]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[00:29:54.701 --> 00:29:55.061]  I think so.
[00:30:12.341 --> 00:30:14.363]  Nature's Gem Golden Flax is pure.
[00:30:14.363 --> 00:30:17.886]  There is nothing added and nothing taken away and non-GMO.
[00:30:17.886 --> 00:30:20.328]  We offer a 100% money-back guarantee.
[00:30:20.328 --> 00:30:24.171]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[00:30:24.171 --> 00:30:26.073]  Golden F-L-A-X.com.
[00:30:26.073 --> 00:30:26.593]  Or call 800-387-5516.
[00:30:26.593 --> 00:30:26.813]  That's 800-387-5516.
[00:30:26.813 --> 00:30:27.494]  Free shipping included.
[00:30:34.420 --> 00:30:36.261]  Life Change Tea sets the standard.
[00:30:36.261 --> 00:30:43.346]  Have you heard on radio all the new teas with funny names, movie stars, celebrities endorsing these products and so on?
[00:30:43.346 --> 00:30:44.947]  Have you checked the results?
[00:30:44.947 --> 00:30:48.329]  Not the pictures of the bikini babes and such, but the results.
[00:30:48.329 --> 00:30:53.672]  Have you checked their pricing and the funky three-month contracts and all that stuff?
[00:30:53.672 --> 00:30:54.833]  Have you checked their results?
[00:30:54.833 --> 00:30:55.934]  Oh, that's right, I said that.
[00:30:55.934 --> 00:30:58.395]  Did you check the ingredients and you checked for caffeine?
[00:30:58.395 --> 00:30:58.916]  Yeah!
[00:30:59.676 --> 00:31:01.538]  Life Change Tea's the real deal.
[00:31:01.538 --> 00:31:06.564]  Not a new yippee-yi-yay tea, but a tea if you drink it daily, it'll change your life.
[00:31:06.564 --> 00:31:08.026]  And it will clean your body.
[00:31:08.026 --> 00:31:09.348]  Our middle name is Results.
[00:31:09.348 --> 00:31:11.590]  You can pay more and you can have a celebrity smile.
[00:31:11.590 --> 00:31:12.832]  Or you can get Results.
[00:31:12.832 --> 00:31:13.392]  Your call.
[00:31:13.392 --> 00:31:15.375]  Or should I say, make the call.
[00:31:15.615 --> 00:31:16.136]  Get the tee at 928-308-0408.
[00:31:16.136 --> 00:31:16.376]  That's 928-308-0408.
[00:31:16.376 --> 00:31:17.597]  Or you can order online at GetTheTee.com.
[00:31:17.597 --> 00:31:18.117]  That's GetTheTee.com.
[00:31:18.117 --> 00:31:19.198]  Order now for real results.
[00:31:33.081 --> 00:31:35.822]  This year, millions of people will lose electricity.
[00:31:35.822 --> 00:31:40.262]  Ice storms, earthquakes, flooding, or hurricanes could leave you without power for days.
[00:31:40.262 --> 00:31:44.563]  Anyone that's ever been in a blackout knows that the first thing you need is a flashlight.
[00:31:44.563 --> 00:31:46.764]  That's why you need the Paclite.
[00:31:46.764 --> 00:31:51.544]  The Paclite is powered by a 9-volt battery and lasts up to 1,200 hours.
[00:31:51.544 --> 00:31:58.446]  It's so small, it fits right in your pocket and glows in the dark, making it easy to find when you need it most.
[00:31:58.446 --> 00:31:59.646]  One Florida customer says,
[00:32:00.126 --> 00:32:08.728]  My Paclite has lasted through four hurricanes in two years, over 30 days without electricity, and I'm still using the same battery.
[00:32:08.728 --> 00:32:13.369]  The Paclite comes with a 25-year warranty and prices start at just $12.99.
[00:32:13.369 --> 00:32:16.710]  It's time for you to be prepared with a Paclite.
[00:32:16.710 --> 00:32:18.950]  Visit us at 9voltlite.com.
[00:32:18.950 --> 00:32:21.111]  That's 9voltlite.com.
[00:32:21.111 --> 00:32:23.311]  Or call us today, toll free at 877-715-4448.
[00:32:26.852 --> 00:32:30.394]  That's 877-715-4448.
[00:32:30.394 --> 00:32:36.377]  It's a new year full of uncertainties.
[00:32:36.377 --> 00:32:39.438]  People are being laid off in record numbers.
[00:32:39.438 --> 00:32:43.600]  The price of food continues to rise and the economy continues to falter.
[00:32:44.381 --> 00:32:46.484]  You know that you need to prepare.
[00:32:46.484 --> 00:32:49.887]  And maybe you've been putting it off, but the time to act is now.
[00:32:49.887 --> 00:32:53.191]  That's why you need to visit OrganicaSeed.com.
[00:32:53.191 --> 00:33:04.524]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds and survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[00:33:04.964 --> 00:33:11.747]  Imagine growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco.
[00:33:11.747 --> 00:33:17.790]  With detailed growing guides available to you at no charge, you can maximize your harvest and investment.
[00:33:17.790 --> 00:33:18.830]  And the best part?
[00:33:18.830 --> 00:33:21.552]  All orders ship within 24 hours.
[00:33:21.552 --> 00:33:24.553]  So head over to OrganicaSeed.com.
[00:33:24.553 --> 00:33:29.515]  That's O-R-G-A-N-I-C-A-Seed.com.
[00:33:29.515 --> 00:33:31.216]  OrganicaSeed.com today!
[00:33:34.272 --> 00:33:36.273]  You are listening to GCN.
[00:33:36.273 --> 00:33:38.533]  Visit GCNlive.com today.
[00:33:59.776 --> 00:34:02.178]  All right, ladies and gentlemen, we are back live.
[00:34:02.178 --> 00:34:03.879]  Thank you for joining us on this Sunday edition.
[00:34:03.879 --> 00:34:05.520]  Your calls are coming up.
[00:34:05.520 --> 00:34:08.142]  Folks all across the country and the planet.
[00:34:08.142 --> 00:34:16.028]  The toll-free number to join us is 877-590-5525.
[00:34:16.028 --> 00:34:18.169]  Some of the other news I have here in front of me.
[00:34:18.169 --> 00:34:26.075]  Governor Perry, who's about as conservative as Mao Tse-Tung, rejects $555 million in federal stimulus money.
[00:34:26.075 --> 00:34:29.077]  Now, seven hundred and...
[00:34:29.685 --> 00:34:32.708]  What, 87 billion dollars?
[00:34:32.708 --> 00:34:39.294]  And I know that at least, in the reports I saw, 60 billion of that was going to Texas.
[00:34:39.294 --> 00:34:45.220]  They take our state money, they take it to Washington, they send back a few pennies of it, and then call it free federal money.
[00:34:45.220 --> 00:34:50.405]  And I hear all these newscasts, the feds are saying this is the only money we get and that we're bad.
[00:34:50.405 --> 00:34:53.007]  But we're lucky they're there, basically.
[00:34:53.007 --> 00:34:54.429]  Meanwhile, it's our money.
[00:34:54.429 --> 00:34:55.870]  And then Perry does this stunt.
[00:34:59.008 --> 00:35:09.811]  He engages in this stunt where he comes out and says, I'm rejecting $555 million of it because it's very unpopular.
[00:35:09.811 --> 00:35:11.751]  So he's trying to, again, look conservative.
[00:35:11.751 --> 00:35:25.074]  From the center of a Houston hardware store, Governor Rick Perry ignited a debate about Texas job cuts, business taxes, and President Barack Obama's so-called economic stimulus program Thursday by rejecting the federal government's offer of $555 million in aid to the unemployed.
[00:35:29.989 --> 00:35:40.756]  The action now moves the legislature, which can bypass Perry and take the offer as long as it changes state laws and blocks Republican Perry's potential veto.
[00:35:40.756 --> 00:35:44.939]  Democratic lawmakers said they will try that.
[00:35:44.939 --> 00:35:51.743]  So, you know, he's taken billions of it, but he's turning back five hundred and something million of it.
[00:35:51.743 --> 00:35:55.866]  You know, they've created two new income taxes on business owners.
[00:35:55.866 --> 00:35:58.708]  They always say Texas doesn't have an income tax, so it made business flood here.
[00:35:59.286 --> 00:36:02.189]  Well, we do have one now.
[00:36:02.189 --> 00:36:03.851]  And I own a business, small business.
[00:36:03.851 --> 00:36:10.458]  You know, that's my studio and TV studio and the film production studio we've got in South Austin.
[00:36:10.458 --> 00:36:12.800]  I got like 20 employees now.
[00:36:12.800 --> 00:36:19.888]  And just bureaucrats show up at your office and they demand to be let in without warrants or anything.
[00:36:19.888 --> 00:36:22.150]  We say no, but then they just magically assess you.
[00:36:23.778 --> 00:36:26.559]  And they just say, oh, this computer's worth $50,000.
[00:36:26.559 --> 00:36:30.461]  It could be a literal $500 computer.
[00:36:30.461 --> 00:36:36.324]  And we've got some of those little cheap e-machines and stuff, you know, just for basic stuff.
[00:36:36.324 --> 00:36:38.225]  They go, no, that computer's worth $10,000.
[00:36:38.225 --> 00:36:42.467]  And they just guesstimate.
[00:36:42.467 --> 00:36:45.448]  And this has been going on for four years.
[00:36:45.448 --> 00:36:46.849]  So this year we let them in.
[00:36:46.849 --> 00:36:49.811]  And they said, oh, that couch has got to be worth $10,000.
[00:36:54.617 --> 00:36:57.238]  Oh, this stack of videotapes, what's that worth?
[00:36:57.238 --> 00:36:57.658]  $1,000?
[00:36:57.658 --> 00:37:16.184]  And so then you have to go prove and hold receipts and spend all your time bookkeeping just to prove that your $1,000 computer didn't cost $10,000, or your $500 computer didn't cost $6,000, or God forbid you actually have a $4,000, $5,000 editing computer for film.
[00:37:16.184 --> 00:37:17.265]  We've got quite a few of those.
[00:37:17.265 --> 00:37:21.086]  Oh, that's got to be a $20,000 machine!
[00:37:21.086 --> 00:37:23.967]  And then they want a percentage, just like Massachusetts,
[00:37:24.631 --> 00:37:25.912]  Of everything in your office.
[00:37:25.912 --> 00:37:27.853]  It is a property tax.
[00:37:27.853 --> 00:37:29.054]  A business property tax.
[00:37:29.054 --> 00:37:31.336]  But now they have a business franchise tax.
[00:37:31.336 --> 00:37:33.157]  It's really an income tax.
[00:37:33.157 --> 00:37:35.178]  And they look at your gross.
[00:37:35.178 --> 00:37:38.961]  And they do a calculation with what you keep.
[00:37:38.961 --> 00:37:42.203]  And then you gotta give all your federal income tax stuff to them.
[00:37:42.203 --> 00:37:45.085]  And it's just bureaucrats, bureaucrats.
[00:37:45.085 --> 00:37:47.007]  It's disgusting.
[00:37:47.007 --> 00:37:50.209]  Meanwhile, the businesses are shutting down and everything else is leaving the country.
[00:37:50.816 --> 00:37:55.839]  There's just more and more police and more and more bureaucrats and more and more checkpoints and more and more fines and fees and regulations.
[00:37:55.839 --> 00:38:00.542]  It's just really disgusting to have this going on.
[00:38:00.542 --> 00:38:05.986]  And they're talking about some type of new regional EMS tax.
[00:38:05.986 --> 00:38:08.047]  Well, you're for saving people when they're hurt, aren't you?
[00:38:08.047 --> 00:38:08.808]  It has nothing to do with that.
[00:38:08.808 --> 00:38:13.351]  Like, we're for the lottery.
[00:38:13.351 --> 00:38:14.832]  It'll be for education.
[00:38:14.832 --> 00:38:15.953]  Oh, yeah.
[00:38:15.953 --> 00:38:19.715]  And then a pittance goes towards that, and then all the poor people go and dump their paycheck on it every week.
[00:38:20.376 --> 00:38:22.638]  I mean, it just goes on and on, the scams.
[00:38:22.638 --> 00:38:28.142]  We have a mafia government that engages in stunts like Perry.
[00:38:28.142 --> 00:38:38.571]  You know, Ron Paul has said properly, and he's right, he votes against the bills, the spending bills, but then once the money's being served out, he gets record amounts of money to South Texas.
[00:38:38.571 --> 00:38:39.912]  What's the point?
[00:38:39.912 --> 00:38:49.420]  The money's gonna go somewhere else, he votes against the bill, but then when the money is gonna be served out anyways, he actually tries to get it down to South Texas for shrimp and
[00:38:49.815 --> 00:38:55.498]  Other fisheries to try to restock the ocean so we can have some business down there left for people.
[00:38:55.498 --> 00:38:57.598]  And he pointed out we need more earmarks.
[00:38:57.598 --> 00:39:00.560]  An earmark just says what it's supposed to be spent on in a bill.
[00:39:00.560 --> 00:39:06.262]  You know, you have the $9.7 trillion, according to Bloomberg and AP, stolen so far by the offshore private banks.
[00:39:06.262 --> 00:39:09.824]  Yeah, it's $9.7 trillion, not $700 billion.
[00:39:09.824 --> 00:39:13.025]  I was watching Fox News today and they were saying it was $2 billion.
[00:39:13.025 --> 00:39:17.167]  That's Bloomberg's lawsuit from four and a half months ago, a few weeks into the bailout.
[00:39:18.072 --> 00:39:22.014]  Where the federal government said, we're not going to let you know how much money we've spent of the two billion.
[00:39:22.014 --> 00:39:23.434]  It's now 9.7.
[00:39:23.434 --> 00:39:25.455]  But see, the media is still debating that two trillion number.
[00:39:25.455 --> 00:39:28.016]  I was watching Fox right before it went on air.
[00:39:28.016 --> 00:39:29.176]  They were having a special on it.
[00:39:29.176 --> 00:39:30.337]  Some of you might have seen it.
[00:39:30.337 --> 00:39:32.118]  And it was just more disinformation.
[00:39:32.118 --> 00:39:34.199]  In the name of whistleblowing, they're whitewashing.
[00:39:34.199 --> 00:39:35.819]  You understand how that works?
[00:39:35.819 --> 00:39:40.881]  So... It's bad.
[00:39:40.881 --> 00:39:41.421]  It's real bad.
[00:39:41.421 --> 00:39:42.842]  And Ron Paul wants earmarks.
[00:39:42.842 --> 00:39:44.863]  He wants to know where that money's going.
[00:39:44.863 --> 00:39:46.443]  But oh no, we can't have earmarks.
[00:39:46.443 --> 00:39:47.684]  I mean, they train the public.
[00:39:50.569 --> 00:39:53.850]  A hundred eighty degrees from what reality is.
[00:39:53.850 --> 00:39:57.331]  An earmark just means that it's listed where it's going to be spent.
[00:39:57.331 --> 00:39:59.132]  And is there pork associated with that?
[00:39:59.132 --> 00:40:01.412]  You bet your butt.
[00:40:01.412 --> 00:40:09.295]  But the media always talks about these, you know, pork barrel projects of bridges or wooden arrows or sports stadiums.
[00:40:09.295 --> 00:40:09.755]  Hey, that's...
[00:40:10.734 --> 00:40:16.778]  Fascism, because they give it to their cronies, you know, the contracts, and it's kind of socialism as far as the jobs go.
[00:40:16.778 --> 00:40:22.583]  But it's a lot better than just, hey, here's $9.7 trillion to foreign banks, and we don't know where it is.
[00:40:22.583 --> 00:40:34.391]  So instead they've got us debating all day the $787 million stimulus instead of the $9.7 trillion banker hijacking that they call a bailout.
[00:40:34.391 --> 00:40:35.732]  We knew this was going to come out.
[00:40:35.732 --> 00:40:36.833]  I told you so.
[00:40:36.833 --> 00:40:37.894]  It's now come out that the
[00:40:38.687 --> 00:40:47.772]  Shooter in Alabama was in some weird government training program with the military and the police as an auxiliary and was in psychiatric care, probably on medication.
[00:40:47.772 --> 00:40:55.936]  And the AP reports the German shooter was in psychiatric care and was on a serotonin reuptake inhibitor of the Prozac class.
[00:40:55.936 --> 00:40:57.477]  They won't say what drug.
[00:40:57.477 --> 00:41:00.959]  Because I've never seen a case where it doesn't come out where they aren't.
[00:41:00.959 --> 00:41:06.922]  That chimpanzee that ripped the woman's jaw off and eyeballs out, he was on a Prozac drug.
[00:41:08.203 --> 00:41:09.924]  Forget which one, but this is the same thing.
[00:41:09.924 --> 00:41:13.827]  It's like, a McDonald's is a Burger King, a Prozac is a Luvox.
[00:41:13.827 --> 00:41:16.268]  I mean, you know.
[00:41:16.268 --> 00:41:17.649]  In fact, let me get the exact drug.
[00:41:17.649 --> 00:41:20.451]  Google, uh, chimpanzee was on drugs.
[00:41:20.451 --> 00:41:22.952]  And then, and then just shot in my ear with the name of it, because I can't remember.
[00:41:22.952 --> 00:41:26.174]  I just want to give out the actual name of the, of the, quote, antidepressant.
[00:41:26.174 --> 00:41:28.055]  Well, it went on the inserts of those by law.
[00:41:28.055 --> 00:41:30.677]  It admits it causes psychotic breaks.
[00:41:30.677 --> 00:41:35.160]  Oh, gee, every shooter and every chimpanzee that murders people is on these.
[00:41:36.624 --> 00:41:37.684]  But everything's okay.
[00:41:37.684 --> 00:41:39.445]  Let's just ban the guns.
[00:41:39.445 --> 00:41:43.827]  Let's not have people running around on the loony pills.
[00:41:43.827 --> 00:41:44.747]  Oh yeah, they're real happy.
[00:41:44.747 --> 00:41:47.729]  Until they have a bad trip.
[00:41:47.729 --> 00:41:49.489]  Serotonin reuptake inhibitor.
[00:41:49.489 --> 00:41:50.130]  Xanax.
[00:41:50.130 --> 00:41:52.090]  Yeah, the chimpanzee was on Xanax.
[00:41:52.090 --> 00:41:52.391]  Thank you.
[00:41:52.391 --> 00:41:54.051]  That's one of the really strong ones.
[00:41:54.051 --> 00:41:55.092]  Even stronger than Prozac.
[00:41:55.092 --> 00:41:55.932]  Okay, thank you.
[00:41:55.932 --> 00:42:00.914]  I thought that, but I wanted to double check.
[00:42:00.914 --> 00:42:01.815]  But it goes on here.
[00:42:01.815 --> 00:42:05.136]  The Associated Press confirms the story widely published across the world.
[00:42:06.038 --> 00:42:17.485]  Police investigator Siegfried Mahler states, on the record that the shooter underwent severe treatment sessions for depression in a psychiatric clinic and was prescribed a session of outpatient therapy, which he never began.
[00:42:17.485 --> 00:42:21.787]  Thus, the shooter was on psychiatric medications and then quit using them.
[00:42:21.787 --> 00:42:24.509]  This created a classic antidepressant withdrawal crisis.
[00:42:24.509 --> 00:42:30.973]  Oh yeah, they'll make you go cuckoo for Cocoa Puffs and chop your children's arms off every time you hear about that.
[00:42:30.973 --> 00:42:32.394]  I've talked about this before.
[00:42:32.394 --> 00:42:32.994]  I mean, every time...
[00:42:34.266 --> 00:42:35.447]  Yeah, that was a Dallas case.
[00:42:35.447 --> 00:42:37.429]  You were working at a news station at the time.
[00:42:37.429 --> 00:42:38.730]  I remember she was on that.
[00:42:38.730 --> 00:42:41.512]  But they had another woman chop her baby's arms off in Houston.
[00:42:41.512 --> 00:42:42.433]  She was on it.
[00:42:42.433 --> 00:42:44.334]  And the woman that drowned her kids was on it.
[00:42:44.334 --> 00:42:46.076]  And the women that killed their kids.
[00:42:46.076 --> 00:42:47.497]  They're always on it.
[00:42:47.497 --> 00:43:03.830]  Because it's very rare to have people, or simians for that matter, and we're certainly somewhat similar to chimpanzees, don't do things like this unless they're hopped up on hallucinogens.
[00:43:06.189 --> 00:43:11.873]  But, um, that's just some of the news and information I have here in front of me.
[00:43:11.873 --> 00:43:16.557]  Okay, I promise we're going to Sean, Dan, Brian, Scott, Matt, and many others as soon as we come back.
[00:43:16.557 --> 00:43:20.320]  And then later in the next hour, I'll tell you about my new film, The Obama Deception.
[00:43:20.320 --> 00:43:24.883]  It's out right now at PrisonPlanet.tv in super high quality, or order the DVD.
[00:43:24.883 --> 00:43:27.866]  Start shipping tomorrow at InfoWars.com.
[00:43:27.866 --> 00:43:31.809]  This is the preeminent film exposing Obama as a New World Order frontman.
[00:43:31.809 --> 00:43:32.229]  Stay with us.
[00:43:32.549 --> 00:43:37.472]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:43:37.472 --> 00:43:44.657]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:43:44.657 --> 00:43:46.538]  But we've only seen the beginning.
[00:43:46.538 --> 00:43:50.680]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:43:50.680 --> 00:43:54.523]  Shortages and empty shelves will spread fear and panic across the land.
[00:43:54.523 --> 00:43:58.986]  The Insiders have discovered that they must control two things to seize total power.
[00:43:58.986 --> 00:44:00.947]  Phase One is a One World Currency.
[00:44:01.107 --> 00:44:01.848]  We're good to go.
[00:44:32.588 --> 00:44:37.153]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[00:44:37.153 --> 00:44:40.015]  Can't afford a new vehicle or even an expensive repair?
[00:44:40.015 --> 00:44:46.801]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[00:44:46.801 --> 00:44:50.585]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[00:44:50.765 --> 00:44:57.129]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[00:44:57.129 --> 00:45:01.851]  We'll give you enough Protecta Engine Oil Booster for 5 complete oil changes for only $22.95.
[00:45:01.851 --> 00:45:05.353]  That's enough for 2 vehicles for up to 1 year.
[00:45:05.353 --> 00:45:07.474]  Start taking care of your vehicle today.
[00:45:07.474 --> 00:45:10.596]  Take advantage of this limited time offer and receive free shipping.
[00:45:10.596 --> 00:45:14.118]  Protecta Engine Oil Booster is the last defense against engine wear.
[00:45:14.298 --> 00:45:16.979]  Go to oilcompanysecret.com or call 1-888-873-7371.
[00:45:16.979 --> 00:45:17.919]  That's oilcompanysecret.com or 888-873-7371.
[00:45:17.919 --> 00:45:19.140]  Satisfaction guaranteed or your money back.
[00:45:19.140 --> 00:45:21.441]  Call 888-873-7371 or visit oilcompanysecret.com.
[00:45:33.067 --> 00:45:40.731]  We know identity scams have grown in the past six months because identity thieves are working overtime, taking advantage of this economic crisis.
[00:45:40.731 --> 00:45:42.752]  I'm Todd Davis, CEO of LifeLock.
[00:45:42.752 --> 00:45:47.795]  I talk to people every day about identity theft, and I know a lot of you are scared and nervous.
[00:45:48.135 --> 00:45:50.197]  I'm here to tell you, you don't have to be.
[00:45:50.197 --> 00:45:58.583]  Another identity is stolen every three seconds, but you can have the security and peace of mind that comes with being protected by LifeLock for just pennies a day.
[00:45:58.583 --> 00:46:08.070]  LifeLock is number one in identity theft protection because we work to stop identity theft before it happens, or we fix it at our expense up to one million dollars.
[00:46:08.070 --> 00:46:10.152]  Don't spend another minute worrying.
[00:46:10.152 --> 00:46:11.253]  Call LifeLock now.
[00:46:11.493 --> 00:46:13.255]  Get instant protection by calling 1-800-605-4229.
[00:46:13.255 --> 00:46:15.037]  Call right now and you'll also get 30 days absolutely free.
[00:46:15.037 --> 00:46:15.757]  That's 1-800-605-4229.
[00:46:15.757 --> 00:46:18.080]  Get the peace of mind LifeLock provides today.
[00:46:18.080 --> 00:46:19.481]  Use promo code FREEMONK.
[00:46:19.481 --> 00:46:19.681]  Call 1-800-605-4229.
[00:46:19.681 --> 00:46:19.861]  Again, 1-800-605-4229.
[00:46:32.719 --> 00:46:40.964]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[00:46:40.964 --> 00:46:45.526]  In these troubled times, one of the most important things your family can have is good health.
[00:46:45.526 --> 00:46:50.189]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:46:50.189 --> 00:46:51.610]  It's a documented fact.
[00:46:51.790 --> 00:46:59.254]  About 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
